
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly Andy and I co Renee rich you'll join me. We got lots to talk about
[01:08:14.720 --> 01:08:19.120]   What's my phone? Oh, it's an iphone. I'm gonna pick the home pod. What's my phone? Oh, it's a google pixel
[01:08:19.120 --> 01:08:24.320]   I'm gonna pick the google pod google max and then when you want to change phones you have to change everything
[01:08:24.320 --> 01:08:27.040]   Well, but that's about lock in right?
[01:08:27.040 --> 01:08:33.440]   Yeah, but you have the choice of picking something else, you know, I mean that is
[01:08:33.440 --> 01:08:39.120]   And we're just showing the article it says you can now if you have an android app use air pods with
[01:08:39.120 --> 01:08:43.200]   Google assistant, but you know what that's gonna be cluji and it's not gonna always work
[01:08:43.520 --> 01:08:47.760]   I mean, that's well. Yeah, I mean, I've well again i'm famous for saying that i'm an android user
[01:08:47.760 --> 01:08:52.400]   But my favorite my favorite earphones are are actually earpods. They work great as bluetooth headphones
[01:08:52.400 --> 01:08:56.480]   How did you get that logo on there? That's kind of cool
[01:08:56.480 --> 01:08:59.440]   That's a rebel. Well, yeah, he's a rebel alliance guy
[01:08:59.440 --> 01:09:02.800]   You have to have your adopted uncles burned to death by the hateful empire
[01:09:02.800 --> 01:09:05.440]   and then
[01:09:05.440 --> 01:09:10.080]   No, that's also the symbol on the seek church right outside my house by the way. I think that's where luke is probably
[01:09:10.560 --> 01:09:15.120]   Oh, really? Yeah, it's a seek symbol. Oh, that's it. I don't know but the seek church right across from my or the seek temple
[01:09:15.120 --> 01:09:17.120]   I cross my house has almost exactly the same logo
[01:09:17.120 --> 01:09:21.840]   I just I realized I have so many friends with air pods. I did not differentiate mine
[01:09:21.840 --> 01:09:23.920]   I was I wasn't I wasn't concerned
[01:09:23.920 --> 01:09:29.840]   I wasn't concerned about swapping earwax so much so I was concerned with you know doing that pat down before you get up from
[01:09:29.840 --> 01:09:32.560]   Like a lunch for somebody's like, oh my god
[01:09:32.560 --> 01:09:36.320]   I almost left my earpods behind and then putting in my pocket and then like when I get home realized
[01:09:36.320 --> 01:09:38.720]   Oh, I've got three pairs of earpods in my pocket
[01:09:39.680 --> 01:09:42.000]   I took other people's earpods in not call
[01:09:42.000 --> 01:09:45.520]   They are just very generic aren't they?
[01:09:45.520 --> 01:09:50.240]   Has the gum stickers on her and you buy a sticker? What is that? Is it a
[01:09:50.240 --> 01:09:56.880]   That is it job? No, no, that's a that's a rebel alliance sticker that I'm sure is completely licensed
[01:09:56.880 --> 01:10:02.480]   No, it's a seek temple. It's a seek temple sticker. That's what it is
[01:10:02.480 --> 01:10:07.040]   Oh, no, he's wandered off
[01:10:07.440 --> 01:10:09.440]   I'm sorry. Were we boring you?
[01:10:09.440 --> 01:10:14.240]   He's disappeared. He got up and disappeared. No, the Lucas lawyers arrived
[01:10:14.240 --> 01:10:20.480]   I think Darth Vader showed up at the door. Here he comes a new trailer. Sorry. I just uh
[01:10:20.480 --> 01:10:25.440]   I really I needed to give you a complete answer and so
[01:10:25.440 --> 01:10:29.920]   There are people on eBay with like really good like laser cutters
[01:10:29.920 --> 01:10:35.840]   So you can buy like really good so you can buy like really good a couple of line stickers
[01:10:36.000 --> 01:10:39.440]   He's got a rebel alliance bicycle helmet. There you go
[01:10:39.440 --> 01:10:46.880]   And one of my bike too so that if someone steals my bike, I can say I'm sorry. I don't believe you are gold leader. I am gold
[01:10:46.880 --> 01:10:52.160]   It's just like shooting wap rats. I tell you
[01:10:52.160 --> 01:10:54.320]   Nice
[01:10:54.320 --> 01:10:56.080]   They're like a buck
[01:10:56.080 --> 01:11:01.920]   Literally, they're like a buck 25. You can even get them as big as like your christmas decorations on the door
[01:11:03.040 --> 01:11:08.080]   I don't want any spoilers. I have intentionally not watched the trailer in fact
[01:11:08.080 --> 01:11:11.520]   I was watching the money that I football game and I looked away
[01:11:11.520 --> 01:11:17.360]   When they showed the last jet I uh trailer, but I'm sure rene richy watched it. Yeah, there's already
[01:11:17.360 --> 01:11:23.600]   Things in it the star worsey things in it leo i'm not big on the I don't zap rudder the trailers to look for things
[01:11:23.600 --> 01:11:26.160]   I just it made me feel like star wars and I was happy
[01:11:26.160 --> 01:11:30.880]   I saw a animated gif by gif analysis
[01:11:31.600 --> 01:11:36.880]   Of that for their nerds are wondrous people. I just I just want that feeling but I will admit
[01:11:36.880 --> 01:11:45.040]   I immediately went online fast forwarded in my local theaters ticket sales to december 14th and bought six seats
[01:11:45.040 --> 01:11:49.760]   For the first I couldn't do it. I spent an hour trying to get tickets and I couldn't do it
[01:11:49.760 --> 01:11:54.720]   It was like it just would not use my combination of like it. I don't want to but it was you got a move to petaloma
[01:11:54.720 --> 01:11:59.760]   I do I do the funny thing though is I don't want to pay that close attention to star wars movies
[01:11:59.840 --> 01:12:05.440]   Because it inevitably ruins it for me. There was this great comic panel right after um roge one came out
[01:12:05.440 --> 01:12:10.000]   Where princess lea is on the blockade runner and she's like I am an ambassador
[01:12:10.000 --> 01:12:15.680]   This is a consular ship and vader's like no no you just stole the plans. I saw you I saw you see me
[01:12:15.680 --> 01:12:21.200]   I was right there. I followed you here you saw me following you and it just it changes the context of the movie
[01:12:21.200 --> 01:12:23.680]   So I just as long as it makes me feel star wars and i'm happy
[01:12:23.680 --> 01:12:27.680]   You've spoiled for me now
[01:12:28.320 --> 01:12:34.960]   Hello, it is it is like that like they're they're now they're they're sites that they won't they don't they understand the idea of spoilers
[01:12:34.960 --> 01:12:37.040]   We're not gonna we're not gonna tell you that you know
[01:12:37.040 --> 01:12:45.120]   They won't tell you how empire strikes back ends even 30 years later, but they will they will say like here's how here's how they
[01:12:45.120 --> 01:12:47.120]   Here's how they got uh
[01:12:47.120 --> 01:12:52.320]   Here's how they got like a teenage harrison ford to appear in the new like okay now
[01:12:52.320 --> 01:12:56.640]   I know that harrison ford as a teenager appears as a character in this
[01:12:57.040 --> 01:13:01.440]   Thank you very much. That would have been that would be surprising. I don't want to hear anything because I want to see this
[01:13:01.440 --> 01:13:04.640]   Is gonna be a really good challenge for next three months
[01:13:04.640 --> 01:13:10.400]   Contradictions in canon because you know, that's just a level of detail. It's beyond me. I just want to enjoy a good movie
[01:13:10.400 --> 01:13:13.200]   Yeah, no, that's exactly i will i will
[01:13:13.200 --> 01:13:20.880]   Not to turn this into a movie podcast, but okay. We are we are in like the the after iphone announcement. Well, so we have time
[01:13:20.880 --> 01:13:26.160]   That's that's one thing that kind of gets me. I like I like the
[01:13:26.720 --> 01:13:28.720]   I don't like in comics and
[01:13:28.720 --> 01:13:33.200]   In movies everything like that. I don't like I like it when they expand what's going on
[01:13:33.200 --> 01:13:37.600]   I don't like it when we find out that oh, but did you know that there was actually a
[01:13:37.600 --> 01:13:45.200]   an oss agent who was also looking for looking for the arc of the government covenant and the reason why that that uh that
[01:13:45.200 --> 01:13:46.800]   That uh, that
[01:13:46.800 --> 01:13:52.720]   India happened to have happened upon this person who could who could sneak him in was that he was actually this agent in disguise
[01:13:53.120 --> 01:13:57.840]   It's like no, you're changing the movie without changing a frame of the original raves of the last dark
[01:13:57.840 --> 01:14:03.520]   You are changing the movie now you're now you're changing this this guy who you know is making it up as he goes along
[01:14:03.520 --> 01:14:10.400]   And as seems to be guided by the hand of god to no, there was some tough as nails wonder woman character and some
[01:14:10.400 --> 01:14:14.880]   uh angry scotsman with a grudge who was actually trying to
[01:14:14.880 --> 01:14:22.160]   Who's actually making sure that that marion got off the the get got off the the transport truck before the thing blew up like no
[01:14:23.120 --> 01:14:27.600]   That's why i won't watch the new alien's movies. I just I banned them from my can and they're like star wars pretty close to me
[01:14:27.600 --> 01:14:29.760]   I'm sorry. I brought this up. I yeah, sorry
[01:14:29.760 --> 01:14:36.160]   Although I I am thrilled that this is the first time that I could get reserved seats
[01:14:36.160 --> 01:14:39.040]   So I will not be waiting in line. I just so great showing up
[01:14:39.040 --> 01:14:46.480]   For the six p.m. Showing december 14th with five of my close personal friends will be auctioning off those tickets a little later on
[01:14:46.480 --> 01:14:50.480]   Uh, so great. IOS 11.1 is coming
[01:14:51.360 --> 01:14:53.360]   with new emojai
[01:14:53.360 --> 01:14:56.960]   So great hedgehog or is that a pork upon
[01:14:56.960 --> 01:14:59.920]   It's a hedgehog. It looks like a hedgehog to me
[01:14:59.920 --> 01:15:02.640]   Hedgehog. I see it's a scary grasshopper
[01:15:02.640 --> 01:15:09.840]   Very high res mittens scarves trench was the Canadian emoji. There's even a there's even a um, this should be a two
[01:15:09.840 --> 01:15:13.920]   A curling stone there is a curling stone, which is really wild
[01:15:13.920 --> 01:15:16.880]   Look at that there it is. Hurry hurry
[01:15:16.880 --> 01:15:19.040]   Wow
[01:15:19.040 --> 01:15:23.520]   That uh is curling played in any other country besides can
[01:15:23.520 --> 01:15:29.280]   Uh, the scar there's the scandinavians play because I thought the emojis had to be kind of universal
[01:15:29.280 --> 01:15:35.040]   Well, I'm sure it's big in japan. I mean that's where emojis originated. So yeah curling huge Japan
[01:15:35.040 --> 01:15:36.880]   As our wizards
[01:15:36.880 --> 01:15:39.760]   Else or is that a fairy vampires in mermaids?
[01:15:39.760 --> 01:15:43.520]   It's so funny because a lot of people just roll their eyes at this but the minute this was announced
[01:15:43.520 --> 01:15:46.560]   I there was a bunch like I have friends who are civilians who are not in the industry
[01:15:46.640 --> 01:15:50.160]   They're like, oh, I gotta get those emoji. They're gonna upgrade for no other future
[01:15:50.160 --> 01:15:55.760]   I was 11 other than getting this is the one i'm gonna upgrade for it looks like hook them horns, but it isn't
[01:15:55.760 --> 01:16:00.960]   This is uh, I love you an asl and I think that's awesome
[01:16:00.960 --> 01:16:05.360]   You can tell it's not the iphone 10 display because the thumb is out. Otherwise it would just be the
[01:16:05.360 --> 01:16:08.000]   Just the horns
[01:16:08.000 --> 01:16:11.920]   Okay, I get it. I get what you're saying the thumb makes it. I love you. All right. Yes
[01:16:12.640 --> 01:16:17.440]   Um, I will I think my will i'm willing to wager that will be the most used emoji
[01:16:17.440 --> 01:16:23.280]   Ever of all time more though more so than the hearts mind blown mind blown is pretty good
[01:16:23.280 --> 01:16:28.480]   Uh the expert of angry face. Yeah, that's a good one. It is here's the angry face
[01:16:28.480 --> 01:16:33.600]   And there's a I guess the monopoly man. There's a monocle happy face
[01:16:33.600 --> 01:16:37.120]   The 1% yeah, that's the 1%er
[01:16:37.120 --> 01:16:40.000]   Um
[01:16:40.000 --> 01:16:42.480]   Broccoli this is not going to be the most used
[01:16:42.480 --> 01:16:44.800]   That's terrible
[01:16:44.800 --> 01:16:50.240]   I mean, we'll see with a with a lot of these the part of the fun is trying to figure out a year from their release
[01:16:50.240 --> 01:16:54.160]   What's sexual act or body part is going to be used?
[01:16:54.160 --> 01:17:00.800]   That is a kind of a reference. Well, see that's the point. I that's why I think it will not be widely used. It's just broccoli
[01:17:00.800 --> 01:17:03.440]   Amen. I want to broccoli
[01:17:04.480 --> 01:17:08.320]   No, it's just no, that's it. It's broccoli. There's not it's not
[01:17:08.320 --> 01:17:11.440]   And finally they have an emoji that looks like me look
[01:17:11.440 --> 01:17:12.880]   Oh
[01:17:12.880 --> 01:17:14.400]   You got him
[01:17:14.400 --> 01:17:16.560]   Yeah, I always say the beta came out yesterday
[01:17:16.560 --> 01:17:19.840]   Uh for the developers and I think the public beta comes out tomorrow
[01:17:19.840 --> 01:17:23.280]   Yeah, because I have 11 1 but i'm on the public beta so I don't have it yet
[01:17:23.280 --> 01:17:28.240]   Yeah, and it's beta 2 beta 2 also brings back the 3d touch swipe to multitask which a lot of
[01:17:28.240 --> 01:17:31.520]   That has been driving me crazy because I didn't know it was taken out
[01:17:32.800 --> 01:17:38.480]   It was like pressing really hard on the left side saying come on. I know you're there. I know you're there and it won't work
[01:17:38.480 --> 01:17:43.520]   Yeah, it was taken out that it was it was brought back for iOS 11.1 beta 2
[01:17:43.520 --> 01:17:46.040]   So once once you get that you'll be back and where iike fedoreg
[01:17:46.040 --> 01:17:50.640]   It was it or eddy q said there was a technical reason why they took it out. I don't understand
[01:17:50.640 --> 01:17:52.240]   Yeah, there was it
[01:17:52.240 --> 01:17:53.760]   I think they were trying to
[01:17:53.760 --> 01:17:58.400]   They were trying to unify how the gestures would work between multiple devices, especially with iphone 10 coming out
[01:17:58.400 --> 01:18:00.960]   But then there was a bit of a pushback on it. I think
[01:18:00.960 --> 01:18:04.240]   Do you think that's why that it's not technical they're bringing it back because people
[01:18:04.240 --> 01:18:06.480]   yelled
[01:18:06.480 --> 01:18:10.960]   I think it was fun. There's always these just like again the discussions we have externally or the same discussions
[01:18:10.960 --> 01:18:15.920]   They have internally and previously the people who thought having a unified gesture vocabulary would be better
[01:18:15.920 --> 01:18:17.440]   uh
[01:18:17.440 --> 01:18:20.480]   One out on that one and then they're like oh all these people want it and leave
[01:18:20.480 --> 01:18:22.240]   There's no reason not to give it to them
[01:18:22.240 --> 01:18:27.120]   And I believe some people at the event even had it on there because they were running iphone 11.1 already
[01:18:27.120 --> 01:18:29.760]   So we got a sort of a hint that it was coming back because they were using it
[01:18:30.240 --> 01:18:32.320]   Um, and now everybody has it back. Huh?
[01:18:32.320 --> 01:18:36.480]   Yeah, I use it. You know why I use it last pass
[01:18:36.480 --> 01:18:41.600]   Because that's the one time I really often am switching back and forth between apps
[01:18:41.600 --> 01:18:46.080]   I get I need a password I switch to last pass and that makes it really easy to and you can go literal back
[01:18:46.080 --> 01:18:48.560]   Like if you just go all the way across it goes right back to the previous app
[01:18:48.560 --> 01:18:52.080]   It doesn't give you the multitask exactly so it's really an easy way to do it
[01:18:52.080 --> 01:18:54.480]   I mean you could still double press the
[01:18:54.480 --> 01:18:59.760]   Uh the home button to get the same thing, but I really liked that swipe once I learned it
[01:18:59.760 --> 01:19:01.760]   It took me a while to learn it
[01:19:01.760 --> 01:19:03.760]   Let's talk about high sira. So
[01:19:03.760 --> 01:19:08.880]   I keep checking on my mac. I have it on as a beta on one, but on the other mac
[01:19:08.880 --> 01:19:15.360]   It's not pushing it. It's just offering it in the app store. When do they start saying there's an update for uh, uh, mac macOS
[01:19:15.360 --> 01:19:18.320]   It should give you a notification telling you that it's in the app store
[01:19:18.320 --> 01:19:23.520]   They often stage it outside not everybody's downloading it at once so it might be a week or two weeks after release
[01:19:23.520 --> 01:19:25.680]   But it's been a laugh too. It's more than
[01:19:25.680 --> 01:19:29.680]   It's not like a regular update where it says oh you have updates press the button in it updates
[01:19:29.840 --> 01:19:33.040]   It you actually have to kind of there's more excuses you have to want it. You have to want it
[01:19:33.040 --> 01:19:36.240]   Okay, I want it because I
[01:19:36.240 --> 01:19:40.480]   It's it's like computers are still treated differently and it's not like we're gonna force everybody to update
[01:19:40.480 --> 01:19:43.840]   They want you to go like to say there's some good reasons because of apfs
[01:19:43.840 --> 01:19:46.000]   It's not compatible with a fusion drive
[01:19:46.000 --> 01:19:51.920]   That although that's coming there have been some issues with apfs breaking time machine
[01:19:51.920 --> 01:19:55.040]   There's some stuff with a new file system that causes problems
[01:19:55.600 --> 01:19:59.840]   So I can understand now our and they do have a bug fix
[01:19:59.840 --> 01:20:02.480]   Did that come out?
[01:20:02.480 --> 01:20:07.760]   Yeah, so it's a it's a out of it's a special update. Um, I forget what the actual term was supplemental update
[01:20:07.760 --> 01:20:10.720]   supplemental update that's it and it fixed two things one was
[01:20:10.720 --> 01:20:13.200]   apfs was the
[01:20:13.200 --> 01:20:16.320]   Disc utility GUI not the command line version, but if you're using the GUI
[01:20:16.320 --> 01:20:21.920]   It was storing the password in the password handling correctly and then displaying it to you. Yeah
[01:20:22.560 --> 01:20:26.080]   Um, not not I mean the chances of someone running a crawl like someone who has access
[01:20:26.080 --> 01:20:28.800]   They have to have access to your machine. Yeah, so that doesn't bother me
[01:20:28.800 --> 01:20:32.800]   But they'd have to have access to your computer, but not access to a drive that you created a secondary
[01:20:32.800 --> 01:20:35.600]   secure container on without giving them bad
[01:20:35.600 --> 01:20:37.920]   So it's not but I mean that stuff just should never happen
[01:20:37.920 --> 01:20:40.480]   Uh, and then it it also fixed the issue with a
[01:20:40.480 --> 01:20:45.280]   Keychain forcing keychain passwords by requiring a login for keychain
[01:20:45.280 --> 01:20:50.400]   So that will be the 10.13 a supplemental update
[01:20:50.880 --> 01:20:54.400]   Yeah, you probably do want to get that if you've upgraded the high sierra
[01:20:54.400 --> 01:20:57.440]   Is it I think this might now be
[01:20:57.440 --> 01:21:02.640]   Once this comes out, it might be time to get high sierra if you've been putting it off or no. What do you think?
[01:21:02.640 --> 01:21:04.880]   You I mean there's it's
[01:21:04.880 --> 01:21:10.560]   Most people will not see a change. It's incredibly like it looks almost exactly like sierra looked if you're not running
[01:21:10.560 --> 01:21:14.320]   Um sd drives like if you have a hard drive or fusion drive you won't even be asked
[01:21:14.320 --> 01:21:17.840]   For apfs, so that'll be largely you know, it's too irrelevant to you
[01:21:17.840 --> 01:21:21.200]   But you do want if you have an ssd don't you I mean that's yeah
[01:21:21.200 --> 01:21:27.520]   It absolutely is better with ssd's and all you know and just because the system is hardened more like it has protection for
[01:21:27.520 --> 01:21:32.480]   Um, for firmware and things like it just better security features. Yeah, there's an efi issue
[01:21:32.480 --> 01:21:37.680]   Somebody studied max and by the way, it's all pcs that usfi are vulnerable
[01:21:37.680 --> 01:21:42.320]   Efi often if the update fails doesn't warn you that it's failed and never tries again
[01:21:42.320 --> 01:21:49.040]   So they found that many max were running older insecure out of date versions of the efi firmware
[01:21:49.040 --> 01:21:54.560]   But there is a firmware checker in the in the high sierra that will say oh you're out of date. Let's update
[01:21:54.560 --> 01:21:57.200]   That's I suspect related, but maybe not
[01:21:57.200 --> 01:22:02.240]   Um, yeah, they're they're good reasons, but the biggest reason is the new file system
[01:22:02.240 --> 01:22:07.840]   Now did they enable snapshot somebody call me? Uh this week on the radio show saying
[01:22:07.840 --> 01:22:11.920]   Uh, my time machine broke with apfs or I had to redo it
[01:22:12.800 --> 01:22:18.080]   And I and I wanted to say well, you know most of these copy and write file systems have a snapshot capability
[01:22:18.080 --> 01:22:22.240]   I know apfs theoretically does which would make time machine kind of
[01:22:22.240 --> 01:22:30.640]   Easier it would work better. You could but are they could use the mobile time machine which what was not never function properly under storage
[01:22:30.640 --> 01:22:36.000]   So are they but they didn't enable that right away? I believe no I believe and I could be wrong
[01:22:36.000 --> 01:22:38.640]   But I believe that snapch that snapchots are in there
[01:22:38.640 --> 01:22:45.280]   I just it seems like apfs is not well enough documented for developers that people like carbon copy cloner and
[01:22:45.280 --> 01:22:47.120]   Super duper
[01:22:47.120 --> 01:22:48.320]   Super duper that snapshot
[01:22:48.320 --> 01:22:53.120]   Yeah, it can get in there and figure out apfs to the degree that they need to and that's something apple has to fix
[01:22:53.120 --> 01:22:55.280]   Well, that one comes in something
[01:22:55.280 --> 01:22:59.840]   Something that's that's that's not well understood is that apple is actually documenting the stuff for themselves at the same
[01:22:59.840 --> 01:23:04.320]   Time they're writing all this stuff. So outside developers. They are often at the day of release
[01:23:04.320 --> 01:23:07.680]   They have no idea how many of this any of this works or any idea of how to test it
[01:23:08.000 --> 01:23:12.320]   So that's one the reasons why third-party utilities take a long time to catch up
[01:23:12.320 --> 01:23:19.040]   And if it seems like a backup backup utility in particular is kind of dragging its heels. It's not it's just trying to it's working
[01:23:19.040 --> 01:23:22.080]   It's context. It's using backdoor access to people
[01:23:22.080 --> 01:23:23.920]   They know it's here. I'm not dragging its heels
[01:23:23.920 --> 01:23:27.280]   Right. I mean there there are times when people will just
[01:23:27.280 --> 01:23:33.760]   It's you'll find that a developer is suddenly not available for lunch or whatever
[01:23:34.560 --> 01:23:39.360]   For like a month before the new operating system comes out and suddenly their instagram
[01:23:39.360 --> 01:23:44.320]   It's like all pictures of San Francisco and all pictures of Cupertino even though they're from Ames, Iowa
[01:23:44.320 --> 01:23:49.680]   It's like that's because they are basically living in a hotel suite near the apple campus and just running
[01:23:49.680 --> 01:23:54.880]   Inside and out saying hi. Yeah, you see this big purple smoking hole in the screen
[01:23:54.880 --> 01:24:00.080]   That's what happened after I implemented this piece of this piece of API that you told me was going to work well
[01:24:00.080 --> 01:24:02.400]   So yeah, here's a blog
[01:24:02.400 --> 01:24:04.480]   named maclouvin
[01:24:04.960 --> 01:24:06.960]   So i'm not sure if I should trust it or not
[01:24:06.960 --> 01:24:14.880]   maclouvin.org that says that you can do a snapshot from the command line pseudo tm utill
[01:24:14.880 --> 01:24:17.200]   snapshot
[01:24:17.200 --> 01:24:19.440]   And if you do that you can use
[01:24:19.440 --> 01:24:26.400]   The mac os recovery utilities. You'll see that snapshot as restore from a time machine
[01:24:26.400 --> 01:24:28.320]   backup
[01:24:28.320 --> 01:24:30.880]   And then it will actually show you the snapshots
[01:24:31.920 --> 01:24:36.800]   So this is something worth looking into it even calls them snapshots
[01:24:36.800 --> 01:24:42.960]   They call them time machine local snapshots, but what a snapshot is is it's essentially
[01:24:42.960 --> 01:24:45.760]   a risk it's a risk
[01:24:45.760 --> 01:24:49.600]   How would you describe it? Is it like a restore point? Is it the full image?
[01:24:49.600 --> 01:24:54.880]   Sort of I think the problem with traditional like when time machine was previously implemented was that there could there could be
[01:24:54.880 --> 01:24:59.680]   Conflicts there could be things that haven't right before right after that weren't properly recorded and this is an absolute
[01:25:00.160 --> 01:25:04.560]   You know bit perfect state of what your machine was in at the time of that snapshot
[01:25:04.560 --> 01:25:07.360]   And this is one of the features of zfs and other cow
[01:25:07.360 --> 01:25:13.680]   File systems like apfs so it says are you sure you want to restore the disk depth to its snapshot state from
[01:25:13.680 --> 01:25:19.040]   Two days ago you say yes, and it takes he says at maclouvin
[01:25:19.040 --> 01:25:25.520]   says it takes only a few seconds and you reboot and then you're you're done so
[01:25:26.640 --> 01:25:31.440]   This is this is going to be very interesting, but as you say it's not well documented
[01:25:31.440 --> 01:25:32.720]   I'm a here. I am relying on it's also
[01:25:32.720 --> 01:25:35.680]   I mean it's hard to people to understand because we're used to traditional file systems
[01:25:35.680 --> 01:25:40.720]   For example, just clone clone sounds great because it takes literally no time to make a copy of a file
[01:25:40.720 --> 01:25:45.120]   But then if you if you're in your old mentality and you're like I need to open up some space on my drive
[01:25:45.120 --> 01:25:48.000]   I'm going to delete these three files. Why didn't I get any space back?
[01:25:48.000 --> 01:25:53.920]   Well, it's because those were clones of original file that's still there and you got to go and track down every version of that and delete that and it just
[01:25:54.720 --> 01:26:00.480]   Has many many good points, but you have to fundamentally change the way you think about file systems to really get
[01:26:00.480 --> 01:26:04.480]   Yeah, also it's the difference between like with with time machine
[01:26:04.480 --> 01:26:12.160]   Faking these features that were built into cfs and now apfs having those features actually built in so it's it's
[01:26:12.160 --> 01:26:15.440]   There's a there's a hack that works as transparent to the user
[01:26:15.440 --> 01:26:21.280]   But we'll break under a lot of circumstances and it kind of circumvents all the reasons why this feature is a good idea to begin with
[01:26:21.520 --> 01:26:26.160]   And then there's actually doing it properly and the new file system actually does it properly
[01:26:26.160 --> 01:26:29.520]   So if people aren't terribly excited about the new operating system
[01:26:29.520 --> 01:26:36.000]   It's because most of the features are under the hood as opposed to things that make things make a daily life easier and more productive
[01:26:36.000 --> 01:26:44.880]   We talked last week about the lte issue with the new series three apple watch low and behold shortly after our conversation apple fixed it
[01:26:44.880 --> 01:26:51.360]   Right. Yep. Yeah. Well the update they pushed out a watch was 4.0.1
[01:26:51.440 --> 01:26:57.120]   I think was right. Yep. Yeah, and it fixed that they claim the fit the cellular bug
[01:26:57.120 --> 01:27:04.960]   Yeah, I haven't I didn't I actually never got bit by the bug. So I can't I don't know where to go to see if it's fixed
[01:27:04.960 --> 01:27:13.920]   But I hope somebody did this was the issue of you would go somewhere with a open Wi-Fi access point the watch would think it had joined it
[01:27:13.920 --> 01:27:19.760]   But it hadn't so it would turn off the lte connectivity and then you would therefore have zero connectivity
[01:27:20.000 --> 01:27:23.840]   If your phone had connected to it and it was a known network it would try to connect to it
[01:27:23.840 --> 01:27:29.840]   But because it had no webcam implementation it couldn't give you the agreed-of-terms of service or click okay or whatever password intercept
[01:27:29.840 --> 01:27:36.160]   So you would just be stuck there forever. So apple said it was aware of the issue just before the series three launched
[01:27:36.160 --> 01:27:43.360]   Uh, which is funny because they didn't tell us but it was discovered pretty quickly and uh, they they fixed it right away
[01:27:43.360 --> 01:27:45.360]   So that's encouraging we had
[01:27:45.680 --> 01:27:51.120]   Some fears greg ferro on twit last week said oh, I don't I think it's gonna be harder fixing you think I guess not
[01:27:51.120 --> 01:27:54.320]   I guess not good news
[01:27:54.320 --> 01:27:55.520]   Uh
[01:27:55.520 --> 01:28:01.840]   apple has patented self-adjusting apple watch bands just in case you uh, you care
[01:28:01.840 --> 01:28:09.440]   Do they have tiny motor the fuse has tiny more they have a little motor in it dynamic feed adjustment for wearable electronic devices
[01:28:09.440 --> 01:28:15.520]   Uh, a users could electronically adjust the tightness or loses their watch bands
[01:28:16.080 --> 01:28:20.240]   In response to biometric data from the watch, you know why this might be a good thing is because
[01:28:20.240 --> 01:28:25.600]   I like to wear my watch a little loose but for better results with the heart rate monitor
[01:28:25.600 --> 01:28:27.600]   You want to wear it fairly tight, right?
[01:28:27.600 --> 01:28:29.600]   You want to have loose in the morning and then
[01:28:29.600 --> 01:28:32.560]   Yeah, right
[01:28:32.560 --> 01:28:37.360]   By the way, I love the new heart rate stuff. I actually put the uh, yeah, I turned on the heart rate complication
[01:28:37.360 --> 01:28:41.840]   Just so I could see it resting rate nice 64 baits per minute. That's pretty good
[01:28:42.480 --> 01:28:48.720]   Walking average 88 currently I am a calm cool and collected 73 beats per minute
[01:28:48.720 --> 01:28:54.960]   Although I was seven no anomalies no anomalies Leo. Oh, that's the thing i'm waiting for it will warn me if I haven't moved
[01:28:54.960 --> 01:28:58.080]   But my heart rate goes up
[01:28:58.080 --> 01:29:03.440]   Yeah, I'm waiting for that. That should be exciting. I think that's what this pattern is about
[01:29:03.440 --> 01:29:06.160]   I think it's more about health than just comfort on the band. Yes
[01:29:06.160 --> 01:29:11.840]   There probably there probably gonna be a bunch of sensors in the count in the offing that uh, can do an okay reading if
[01:29:12.080 --> 01:29:15.600]   Depending on how the band is set but can also say if i'm not getting a good enough reading
[01:29:15.600 --> 01:29:20.560]   I will alert I will basically if the if the user asks for a blood pressure reading or ask for a
[01:29:20.560 --> 01:29:23.280]   Blood sugar reading I will
[01:29:23.280 --> 01:29:28.480]   To know the user will know that there will be a little cams just because simply it's just like a nautilus
[01:29:28.480 --> 01:29:35.680]   Can't just kind of simply turn a quarter inch. It's me a quarter turn just to snug up the band and make sure those senses are in really good context
[01:29:35.680 --> 01:29:41.360]   When get a good reading there's a we've seen all the controversies about how certain fitness bands are good at
[01:29:41.760 --> 01:29:45.280]   Heart rate monitoring and some are really off by 10 plus or minus
[01:29:45.280 --> 01:29:50.480]   You don't know which one if apple really wants to be a health device as opposed to a fitness device
[01:29:50.480 --> 01:29:52.640]   They're really going to have to nail that accuracy
[01:29:52.640 --> 01:29:56.480]   It's like the spider-man suit where the whole thing just zips up on you
[01:29:56.480 --> 01:29:59.440]   a couple of anniversaries
[01:29:59.440 --> 01:30:05.280]   Siri is uh, six years old. It was announced alongside the iphone s
[01:30:05.280 --> 01:30:08.160]   October 4th, uh, 2011
[01:30:09.280 --> 01:30:12.560]   sadly that was also the sixth anniversary of
[01:30:12.560 --> 01:30:16.640]   The death of steven jobs. I can't believe it's been six years
[01:30:16.640 --> 01:30:18.640]   Yep
[01:30:18.640 --> 01:30:23.360]   And uh, this is the link, uh, I guess karston put in there which i'm glad he did
[01:30:23.360 --> 01:30:31.520]   From october 30th, 2011 mona simpson steve jobs sister wrote that was I think this the single best kind of
[01:30:31.520 --> 01:30:37.600]   Uh summary of this it was just beautifully written mark well very very moving
[01:30:38.560 --> 01:30:44.400]   Uh highly and yeah and generous. I mean they have every right to there to be private but recognizing that
