
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly show where we talk about all the apples stuff
[01:06:32.160 --> 01:06:37.280]   Uh, the travel cover and your choice of harries
[01:06:37.840 --> 01:06:42.800]   Uh foaming shave gel or the cream I use the cream but a lot of people prefer a foaming shave gel
[01:06:42.800 --> 01:06:45.680]   And harries just does it right for about half the cost
[01:06:45.680 --> 01:06:50.240]   Of your drugstore blade you get a great shave
[01:06:50.240 --> 01:06:56.080]   It feels good and when you need new blades, they just come automatically in the mail
[01:06:56.080 --> 01:06:58.560]   by subscription
[01:06:58.560 --> 01:07:04.160]   I love harries you to love harries a great gift for the man in your life or you
[01:07:04.960 --> 01:07:10.160]   If you're the man in your life h a r r y s harries
[01:07:10.160 --> 01:07:17.600]   Dot com and when you get there they do have a lot of extra little stuff you can get as gifts like the the razor stand
[01:07:17.600 --> 01:07:24.960]   And the face wash and their travel kit. There's lots of really great stuff h a r r y s dot com
[01:07:24.960 --> 01:07:29.520]   They give 1% of their sales and 1% of their time back to the communities they serve which is really nice
[01:07:29.520 --> 01:07:34.400]   And uh, man, it just feels so good and it smells so good
[01:07:34.960 --> 01:07:36.640]   I feel like it just came from the barber
[01:07:36.640 --> 01:07:39.520]   And I have my nice harries
[01:07:39.520 --> 01:07:41.200]   She
[01:07:41.200 --> 01:07:47.200]   Harries dot com don't forget to use the off-code mac break to get five dollars off your first order
[01:07:47.200 --> 01:07:50.160]   Harry's
[01:07:50.160 --> 01:07:54.320]   iOS 9.3 beta 1
[01:07:54.320 --> 01:08:02.080]   And now we can talk about it right because we should just reiterate this that apples change their non-disclosure policy
[01:08:02.480 --> 01:08:06.240]   Well, they've they've become like they'll actually they're talking about it themselves. They want you to know
[01:08:06.240 --> 01:08:11.520]   Yeah, and they have a preview up and they have a website up that has a lot of features listed and it's it's really cool
[01:08:11.520 --> 01:08:16.800]   Uh, why is that it's an actual like product information base. Why are they doing that?
[01:08:16.800 --> 01:08:20.000]   Uh, I think it's just part of
[01:08:20.000 --> 01:08:22.880]   I hate to call it new apple because apple has always done different things
[01:08:22.880 --> 01:08:26.640]   But it they have features that they're excited about and they want you to know that they're coming
[01:08:26.640 --> 01:08:30.880]   Right and you know, sometimes they want to do surprise and delight and they want to shock you with things you never expected
[01:08:31.200 --> 01:08:36.320]   But they they have to put this out for developers anyway and trying to make sure that nothing leaks out and it's just it's just gave up
[01:08:36.320 --> 01:08:38.400]   Everybody good. This is getting out in front of it
[01:08:38.400 --> 01:08:43.040]   And the thing is this is not a product they sell so I can understand why secrecy is important on products
[01:08:43.040 --> 01:08:48.240]   They sell but this is really something that's coming to an iOS device near you soon
[01:08:48.240 --> 01:08:55.360]   Yes, so why not let people know a little bit when will we get 9.3? This is beta 1 that means we're still pretty early, right?
[01:08:55.360 --> 01:08:58.640]   They haven't said there's typically around six beta's give or take for any
[01:08:59.200 --> 01:09:03.040]   For any release and there's usually about two weeks in between them so late February early March
[01:09:03.040 --> 01:09:06.080]   Oh, maybe around the march event would make sense interesting
[01:09:06.080 --> 01:09:09.680]   Interesting
[01:09:09.680 --> 01:09:13.600]   So really again another piece of evidence that they are going to have a march event
[01:09:13.600 --> 01:09:17.200]   What tell us about 9.3? What's new in 9.3?
[01:09:17.200 --> 01:09:22.240]   So there's a few things one is night shift and this is sort of people who are familiar with uh f dot l ux flux on
[01:09:22.240 --> 01:09:24.720]   Jailbreak it sort of changes the colors
[01:09:25.280 --> 01:09:31.280]   Georgia has spoken really well about this before but technology especially the screens has an adverse effect on you when you're trying to go to sleep at night
[01:09:31.280 --> 01:09:35.680]   The colors that they shift towards are ones that promote you staying awake, which is the opposite of what you want
[01:09:35.680 --> 01:09:40.240]   So with this iOS will will intelligently modify the spectrum that is providing
[01:09:40.240 --> 01:09:45.440]   Uh at nighttime to sort of put you in a state that's less um agitated more actually kind of brilliant
[01:09:45.440 --> 01:09:47.440]   It's less blue in other words
[01:09:47.440 --> 01:09:50.560]   Yeah, it's not a night theme. Some people thought it was going to be a complete night theme
[01:09:50.560 --> 01:09:55.120]   And you know they probably are working on that but this for now is a night shift the shifts towards the warmer
[01:09:55.200 --> 01:09:58.560]   End of the spectrum from blue to yellow and you know if you're a photographer
[01:09:58.560 --> 01:10:00.960]   You know that blue is daylight is bright light
[01:10:00.960 --> 01:10:08.080]   And uh yellow is uh more evening light and that makes sense that your body is tuned to that light and prepared to wake up
[01:10:08.080 --> 01:10:10.400]   When it sees blue and go to sleep when it sees the yellow
[01:10:10.400 --> 01:10:15.360]   If they if they if they perfect this and really have it so that you get really tired when you're looking at it
[01:10:15.360 --> 01:10:17.360]   Ah, it's gonna be a perfect tool for here
[01:10:17.360 --> 01:10:23.120]   Of hey kids, let's let's have ipad time. It's eight o'clock, you know, and uh, that'd be awesome
[01:10:23.200 --> 01:10:28.000]   This could be it's part of a it's part of a plan where the ipad gets you you're getting sleepy
[01:10:28.000 --> 01:10:30.000]   You're getting sleepy
[01:10:30.000 --> 01:10:32.000]   Reorder the new ipad pro 2
[01:10:32.000 --> 01:10:34.640]   You just you just have dinner with a little trip to fan
[01:10:34.640 --> 01:10:41.200]   You know, so you look at some milks some turkey and then you and then you hand them the ipad and and there's no argument
[01:10:41.200 --> 01:10:44.880]   They're just they just fall asleep just slumped over the ipad and then just carry them to bed
[01:10:44.880 --> 01:10:47.200]   Perfect the next one is a little more confusing to me
[01:10:47.200 --> 01:10:51.520]   And it's it's basically you can set a password or use touch id for your notes
[01:10:52.080 --> 01:10:57.200]   And this is really cool and it shows some of the advances that apples made with their architecture for things like password protecting and
[01:10:57.200 --> 01:11:00.400]   Uh, and biometric protection, but they're only doing it for notes
[01:11:00.400 --> 01:11:01.760]   So if you type a note
[01:11:01.760 --> 01:11:06.880]   You can then go into options and make that note a secure note that you'd have to retype your default notes password
[01:11:06.880 --> 01:11:10.880]   Which is separate from your device password or use touch id to gain entrance to it
[01:11:10.880 --> 01:11:16.240]   So you can put things like financial information health information website logins if you want to keep those in notes
[01:11:16.240 --> 01:11:19.840]   That's fine sort of like apples version of the one password notes field
[01:11:20.240 --> 01:11:24.000]   Or or or one pass um loads sorry last pass notes field
[01:11:24.000 --> 01:11:29.760]   But to me like a system wide version this would be great because maybe you want to protect your messages or your photographs
[01:11:29.760 --> 01:11:32.880]   Or any of the other apps that you have on your device
[01:11:32.880 --> 01:11:37.280]   So i'm hopeful that this is a first step towards you being able to flip a switch and making any app
[01:11:37.280 --> 01:11:41.200]   Or any set any data set protected by your passcode or your touch id
[01:11:41.200 --> 01:11:44.400]   Yeah, sometimes like someone might just want your phone because they're locked out of their house
[01:11:44.400 --> 01:11:48.240]   And you want to give it to them or or someone's kids might be actually at a doctor's office
[01:11:48.240 --> 01:11:51.280]   And you want to lend them your iPad to use and if you have some sort of guest
[01:11:51.280 --> 01:11:58.560]   Wear mode for this then I'd make it you know much safer for everybody or this could be a beginning of a good password protector
[01:11:58.560 --> 01:12:05.600]   For a password fault for apple apple's got a really good password system with iCloud keychain
[01:12:05.600 --> 01:12:06.800]   But there's no way to secure it
[01:12:06.800 --> 01:12:10.240]   So if you give someone your phone they have access to all your logins and all your credit cards
[01:12:10.240 --> 01:12:14.020]   And being able to intermediate that with touch id and you know like in a perfect st
[01:12:14.020 --> 01:12:18.980]   Gibson world if you could have touch id and a password so it's multi-factor right it would be a nice addition
[01:12:18.980 --> 01:12:21.140]   nice
[01:12:21.140 --> 01:12:27.380]   Uh, ever see are we seeing true multi-users because the only stuff that I really saw was the education options?
[01:12:27.380 --> 01:12:29.940]   No, so um
[01:12:29.940 --> 01:12:34.260]   Obviously the infrastructure is going to be there whether they unlock it for regular users
[01:12:34.260 --> 01:12:40.420]   Right. Yeah, so they built out a lot of stuff that could be useful for multi-user in general
[01:12:40.420 --> 01:12:46.740]   But the way it's set up right now specifically for schools and using the mobile device management the same thing that you'd use to manage devices
[01:12:46.740 --> 01:12:49.380]   in enterprise or in any sort of large
[01:12:49.380 --> 01:12:51.940]   Organization like schools or government
[01:12:51.940 --> 01:12:58.660]   And they're doing that in two ways they're creating a new form of apple id and it's really smart because they understand that kids in kindergarten and grade one
[01:12:58.660 --> 01:13:02.100]   Don't have the same concept of a password that people in grade 12 might have
[01:13:02.100 --> 01:13:05.220]   So for kids they have a sort of a combined token
[01:13:05.220 --> 01:13:10.100]   That's four digits and they can put that in and it logs them in and unlocks the device at the same time
[01:13:10.340 --> 01:13:13.860]   Sort of abstracts away both the apple id and the passcode for the device
[01:13:13.860 --> 01:13:18.980]   And then the kid can choose their settings and this is a part that I love about apple over the last year
[01:13:18.980 --> 01:13:22.020]   Is there going all in on something which is typically called nearline?
[01:13:22.020 --> 01:13:25.300]   So because any kid could pick up this ipad and use it
[01:13:25.300 --> 01:13:29.140]   What they do is they presume that they the kids going to use the same ipad over and over again
[01:13:29.140 --> 01:13:30.900]   So they keep their data
[01:13:30.900 --> 01:13:32.900]   Local and they keep it highly available
[01:13:32.900 --> 01:13:36.660]   But if another kid picks it up it'll still store all the data until it starts running out of space
[01:13:36.980 --> 01:13:38.980]   Then it'll push that data back up to the cloud
[01:13:38.980 --> 01:13:41.940]   So you know if 30 days from now some other kid comes and picks it up
[01:13:41.940 --> 01:13:43.940]   It might have to download a bunch of stuff for that child
[01:13:43.940 --> 01:13:47.060]   But they try to be really respectful of networks and of the data
[01:13:47.060 --> 01:13:53.540]   So if you think about how iCloud photo library or how on-demand resources work, this is similar but for um
[01:13:53.540 --> 01:13:57.620]   multi-user systems specifically multi-user systems for the classroom
[01:13:57.620 --> 01:14:00.820]   And yeah, it'd be super nice to have multi-user in general for iOS
[01:14:00.820 --> 01:14:05.700]   But this one seems really really architected for being run in a managed school environment
[01:14:06.340 --> 01:14:10.580]   Yeah, there's another aspect to that that makes it a really good deal for everybody
[01:14:10.580 --> 01:14:18.020]   Google has been having tremendous success selling Chromebooks for classrooms because you know everyone's standardized on
[01:14:18.020 --> 01:14:22.740]   Google apps and they're so inexpensive, but they're also getting some flack from school systems because
[01:14:22.740 --> 01:14:32.260]   They're the students will use a special google id that doesn't track them as aggressively as a regular google id will
[01:14:32.340 --> 01:14:37.300]   But it still gives google the ability to at least create a skeleton profile of them
[01:14:37.300 --> 01:14:41.700]   And so if you don't want your kids to have an advertising profile anywhere
[01:14:41.700 --> 01:14:44.980]   You might be out of luck depending on how these systems are configured
[01:14:44.980 --> 01:14:49.380]   So it's really good for apple to detach the student use of an ipad from an apple id
[01:14:49.380 --> 01:14:55.220]   Because if they start using that apple id outside of the classroom for personal stuff that would give
[01:14:55.220 --> 01:14:59.380]   Theoretically apple or a company like apple, excuse me
[01:14:59.380 --> 01:15:01.860]   If a copy that does something like that that would give them the ability to
[01:15:01.860 --> 01:15:05.380]   Really see what they're doing inside the classroom and outside the classroom
[01:15:05.380 --> 01:15:11.620]   That's certainly not something that would be consistent with what apple presents itself to be as one that really cares about security and privacy
[01:15:11.620 --> 01:15:16.820]   And they're really good about it because there's also laws in many areas about what exactly age people can have accounts
[01:15:16.820 --> 01:15:22.420]   And my my god kids got google accounts at their school and they got home and immediately they logged in and the first thing they did
[01:15:22.420 --> 01:15:25.700]   Was a game where you use pac-man to eat all the houses on your street?
[01:15:25.780 --> 01:15:30.340]   But at the same time their parents are going okay now this this thing knows where we live because you just gave them a street
[01:15:30.340 --> 01:15:33.940]   Uh, and that's not what every even if you think it's completely mundane
[01:15:33.940 --> 01:15:41.220]   It's just it's not an experience that we're used to and this really is for a classroom setting and it's super respectful for privacy and for account handling
[01:15:41.220 --> 01:15:48.100]   All those kinds of things kids can't be expected to have the same knowledge and the same awareness that an adult adult adults have a certain obligation to understand
[01:15:48.100 --> 01:15:51.540]   The the agreement that they're entering into but you have to protect kids
[01:15:52.900 --> 01:15:56.900]   They say the news you want even more personalized actually apple got in a little
[01:15:56.900 --> 01:16:01.460]   I think a little bit of heat from news publishers admitting that they'd been screwing up the
[01:16:01.460 --> 01:16:06.500]   Estimates that they've been sending the publishers as to the number of people reading their articles in news
[01:16:06.500 --> 01:16:09.940]   Like when Steve jobs at the bars were wrong. We were supporting the bars wrong
[01:16:09.940 --> 01:16:14.900]   Uh, but now more news personalization
[01:16:14.900 --> 01:16:17.700]   Is news succeeding?
[01:16:17.700 --> 01:16:23.060]   Is it takes weirdly or like the news is one of those things where it was like a secret project at apple and very few people knew what
[01:16:23.060 --> 01:16:26.100]   What it was and that's great because you can surprise people with this news thing
[01:16:26.100 --> 01:16:31.300]   But I look at my iphone and in the series suggestions page. There's a bunch of news that has no relation to the news app
[01:16:31.300 --> 01:16:34.660]   I go to safari and it's pulling links from my social feed
[01:16:34.660 --> 01:16:37.940]   And it's it's it's sharing things that you know like I follow Andy
[01:16:37.940 --> 01:16:43.380]   So it's any like Andy shares is in there and there's also things that I've used the bookmarking feature the read later feature
[01:16:43.380 --> 01:16:47.380]   But none of these are connected to news so I go into news and I don't see things you guys have recommended
[01:16:47.460 --> 01:16:50.900]   I don't see things that I bookmarked I go to the the series minus one page
[01:16:50.900 --> 01:16:54.820]   I don't see anything from my for you and news and it's really a disconnected experience
[01:16:54.820 --> 01:16:59.940]   This is adding a layer of personalization and they're going to be doing editorial picks and they're going to be doing uh trends
[01:16:59.940 --> 01:17:04.260]   So it gives you a better sort of a slice of what it thinks might be interesting to you
[01:17:04.260 --> 01:17:08.420]   But it's still sort of sitting in this news jail and it's not being allowed to propagate
[01:17:08.420 --> 01:17:12.500]   To the operating system and one of my biggest wishes for this for news for iOS 10
[01:17:12.500 --> 01:17:17.300]   Is that they'll sort of break down those walls and let news be a core level feature like photos and like so many
[01:17:17.300 --> 01:17:19.300]   Other things are yeah
[01:17:19.300 --> 01:17:25.140]   I think that one of the things that I've seen with a lot of the news things is there's obviously there's the publishers who want to really control that
[01:17:25.140 --> 01:17:29.380]   Experience and they're trying to have some kind of lock in and have it be there
[01:17:29.380 --> 01:17:31.860]   And then of course there's how most of us want to interact with it
[01:17:31.860 --> 01:17:37.060]   Which is that it's kind of free roaming and everywhere that we're that we are and I think that trying
[01:17:37.060 --> 01:17:43.700]   Most people have been having a hard time with this. I think the only place that I've really seen it work. Well still is flip board
[01:17:44.420 --> 01:17:48.900]   Yeah, it's kind of a mixture of the two and even then you get into kind of these weird things where someone's kind of manipulated
[01:17:48.900 --> 01:17:51.700]   So that you see a little bit of it then you go to something that's totally messed up
[01:17:51.700 --> 01:17:55.540]   But for the most part, I think flip board is still the kind of the gold standard as far as
[01:17:55.540 --> 01:17:59.540]   uh grabbing that stuff and nuzzle I think is quite good on iOS that's
[01:17:59.540 --> 01:18:04.260]   It's hardly or like news it still pulls RSS and a lot of sites won't give you full RSS
[01:18:04.260 --> 01:18:06.260]   So you open it up and using they write right at the top
[01:18:06.260 --> 01:18:09.220]   There's a link to go to the website then you're out of the news and in the website already
[01:18:09.220 --> 01:18:10.660]   Yeah
[01:18:10.660 --> 01:18:13.540]   But that's and that's fine too. I just my difficulty
[01:18:14.100 --> 01:18:16.740]   I'm only speaking as a personal user that um
[01:18:16.740 --> 01:18:21.780]   It seems to be really the grad the gravity of the sap seems to be almost exclusively towards
[01:18:21.780 --> 01:18:25.060]   Let us tell you stuff that we think that you want to see
[01:18:25.060 --> 01:18:29.380]   We're asked when I I've I've done things like say I want to find out
[01:18:29.380 --> 01:18:34.740]   I want more news that's related to uh rene richy things that he's been writing and it will give me oh
[01:18:34.740 --> 01:18:38.020]   I we know that rene richy is a technology writer
[01:18:38.020 --> 01:18:40.820]   So we're going to give you a whole bunch of apple based technology sources
[01:18:41.060 --> 01:18:48.660]   No, I'm saying I want to here's the website. Please add this. No. Whoa. Oh, I'm more. Okay. Uh, here's during fireball and here's recode and here's no
[01:18:48.660 --> 01:18:51.700]   I see the words that let you do
[01:18:51.700 --> 01:18:53.620]   If you tell me about an article
[01:18:53.620 --> 01:18:57.540]   I can't find it like if you say like leo says and you wrote this great article and I want to go to use
[01:18:57.540 --> 01:19:01.300]   There's no way for me to find the article that and you wrote in news. I can find the topics
[01:19:01.300 --> 01:19:03.700]   I can find publications, but I can't find that hard
[01:19:03.700 --> 01:19:08.260]   I see I know I know that when they when they first announced this I did like fill out the form and had an
[01:19:08.260 --> 01:19:28.060]   where my stuff looks like in this news feed. Again, type in a not go, doesn't find my site but it knows I'm kind of a technology writer. I'll give the URL and we'll still think I'm just giving it a clue as to what I want as opposed to a map to the thing that I want.
[01:19:28.100 --> 01:19:45.100]   So it's not it's just hasn't been such a and even when it does the the flip board style just pick news stories for me. It hasn't been doing such a significantly better job than flip board or even Google news that it makes me want to dive into the features and understand how it works.
[01:19:45.100 --> 01:19:57.100]   I don't think that I've tested Apple news from top to bottom inside and out and found it lacking. I feel as though I haven't found that thing that got me encouraged to stick at it until I solve the problems that I seem to be having with it.
[01:19:57.100 --> 01:20:01.100]   I think it's three countries only right now. I think it's still US, UK and Australia.
[01:20:01.100 --> 01:20:07.100]   I changed my region to the US in order to use it and now I have to deal with miles. I mean it's just.
[01:20:07.100 --> 01:20:15.100]   Oh, I'm so sorry and Fahrenheit. How many of you have news on the front page of your device?
[01:20:15.100 --> 01:20:18.100]   I keep my device standard. So, okay.
[01:20:18.100 --> 01:20:20.100]   You don't modify it. You keep all the.
[01:20:20.100 --> 01:20:27.100]   I reinstall so often. I don't know where my apps are. Like I spend like an hour putting him in new places and then I'll reinstall the beta and be gone.
[01:20:27.100 --> 01:20:28.100]   So I don't.
[01:20:28.100 --> 01:20:35.100]   So are your apps just kind of a hodgepodge on page two through 80? Yeah.
[01:20:35.100 --> 01:20:42.100]   Sort of when I download them and when I reinstall they go into alphabetical order eventually. Oh, that's so sucks. It's learned helplessness.
[01:20:42.100 --> 01:20:48.100]   Andy, you don't have news on your front page. Oh, you use an Android device. Never mind.
[01:20:48.100 --> 01:20:54.100]   Alex got it. I got no I got a I've got a I've got a Mac book here, but I got an Android phone card.
[01:20:54.100 --> 01:21:02.100]   Yeah. You know, I'm looking at it. I think they're pretty much, you know, my most of my half of my front page is just messaging apps.
[01:21:02.100 --> 01:21:21.100]   Yeah, I know. And then social apps and maps and photos and then flip board and so I don't really have, you know, and then when I kind of like, you know, where I, you know, I used to organize it so that the most important things were on the first page and then the next important things were on the second page and so on and so forth.
[01:21:21.100 --> 01:21:27.100]   And now I just realized that if it's not on the front page, I'm just going to search. You know, I don't think that's not so bad. Is it?
[01:21:27.100 --> 01:21:31.100]   I just search for the app and I'm not going to try to remember where it is.
[01:21:31.100 --> 01:21:36.100]   I must be the only really anal one here because I have serious sometimes too. I just opened this app and just open it.
[01:21:36.100 --> 01:21:45.100]   Just open it. And I have a very carefully call. You only have three pages. I have my front page. By the way, I just moved news back saying I'm going to give it another shot.
[01:21:45.100 --> 01:21:54.100]   And then I have all these folders on the second page. So I find it like the death gnaw. Like if I put it right, nothing I never see too deep.
[01:21:54.100 --> 01:22:03.100]   But it's organization and then the third page is like newly installed apps and I want to check out plus a utilities app and Apple app and the settings in the app store.
[01:22:03.100 --> 01:22:07.100]   So it has to be homepage worthy to work. It's way to the top. It's tough.
[01:22:07.100 --> 01:22:13.100]   But I'm not probably a typical iPhone user because I don't know.
[01:22:13.100 --> 01:22:19.100]   Well, and I found I think that what happened for me was that in case you're wondering what happens if you add apps after you filled all the pages.
[01:22:19.100 --> 01:22:20.100]   Yeah.
[01:22:20.100 --> 01:22:21.100]   Which I've tested.
[01:22:21.100 --> 01:22:23.100]   There's a limit on how many pages you can have.
[01:22:23.100 --> 01:22:31.100]   There is. I think it's like 10 pages or something like that. And you when you get to the end of that, you keep on installing apps but they just aren't anywhere in your interface.
[01:22:31.100 --> 01:22:35.100]   They're literally just they're like magically not there. So the only way to get to them is search.
[01:22:35.100 --> 01:22:41.100]   And so I filled up one of my phones a while ago and I just found that I was searching for these apps that I just added.
[01:22:41.100 --> 01:22:44.100]   And if you delete other apps and then restart the phone, they'll magically appear.
[01:22:44.100 --> 01:22:49.100]   So you know, they're like they were there, but they were not they were in an invisible page.
[01:22:49.100 --> 01:22:51.100]   And so that is endless.
[01:22:51.100 --> 01:22:54.100]   You know, and so so you then you go kind of go through.
[01:22:54.100 --> 01:22:57.100]   Oh, I really want that app to be somewhere that I can find it because I don't remember what it's called.
[01:22:57.100 --> 01:23:02.100]   And so then you go back and you delete a couple of the whatever and the absurd number that you have.
[01:23:02.100 --> 01:23:05.100]   I have a real clutter problem because I just I have.
[01:23:05.100 --> 01:23:07.100]   Oh, well, that was such a good idea for an app.
[01:23:07.100 --> 01:23:08.100]   I really should go back and use it.
[01:23:08.100 --> 01:23:09.100]   I'm not going to delete it yet.
[01:23:09.100 --> 01:23:12.100]   And that's how I end up with 10 pages about.
[01:23:12.100 --> 01:23:18.100]   See, I could have a photo retouching folder and I have a productivity folder.
[01:23:18.100 --> 01:23:20.100]   But how about one stuffs in there? It's like you don't.
[01:23:20.100 --> 01:23:23.100]   But if I find if I need to find it, I can get to it.
[01:23:23.100 --> 01:23:30.100]   See, I don't want to have to type in, you know, and I don't even frankly have to time remember what the name of the app was.
[01:23:30.100 --> 01:23:34.100]   So it's not that helpful to ask Siri or to type it in.
[01:23:34.100 --> 01:23:35.100]   I have that.
[01:23:35.100 --> 01:23:38.100]   When I have to admit, I have different computers, I have different clients.
[01:23:38.100 --> 01:23:40.100]   I can never remember which one to launch and which one.
[01:23:40.100 --> 01:23:41.100]   So how do you find it?
[01:23:41.100 --> 01:23:43.100]   You have to just dig through page after page.
[01:23:43.100 --> 01:23:49.100]   Well, and I have to admit that what I've learned to do now is that when I get a new phone, I don't restore the phone.
[01:23:49.100 --> 01:23:51.100]   I literally like, I start over.
[01:23:51.100 --> 01:23:53.100]   And I just go, here's the deal.
[01:23:53.100 --> 01:23:55.100]   When I go, oh, I really want that app.
[01:23:55.100 --> 01:23:56.100]   I've already bought it.
[01:23:56.100 --> 01:23:57.100]   It's just a cloud download.
[01:23:57.100 --> 01:23:58.100]   Just download it.
[01:23:58.100 --> 01:24:02.100]   So when it comes to me that I don't have that app and I actually miss it, I put it on the phone.
[01:24:02.100 --> 01:24:03.100]   That's a good idea.
[01:24:03.100 --> 01:24:09.100]   And then it starts very, you know, it's kind of a meritocracy of what ends up on the phone, the next phone compared to the last phone.
[01:24:09.100 --> 01:24:10.100]   That's actually good.
[01:24:10.100 --> 01:24:12.100]   I recommend people do that with their computers.
[01:24:12.100 --> 01:24:15.100]   Don't install stuff until you, until you need it.
[01:24:15.100 --> 01:24:18.100]   But now, see, this is a thing that gripes me about springboard.
[01:24:18.100 --> 01:24:21.100]   I've always thought it was just primitive as hell.
[01:24:21.100 --> 01:24:24.100]   You can only have, but maybe I'm wrong and you guys will tell me I'm wrong.
[01:24:24.100 --> 01:24:29.100]   You can only have one instance of any, there's no aliases or shortcut idea.
[01:24:29.100 --> 01:24:31.100]   There's only one instance of any icon.
[01:24:31.100 --> 01:24:38.100]   So I can't have a folder that has photos and retouching and have an icon for the same app in both.
[01:24:38.100 --> 01:24:40.100]   That seems to be very primitive.
[01:24:40.100 --> 01:24:41.100]   Yeah.
[01:24:41.100 --> 01:24:48.100]   I mean, I agree that the launcher, the springboard is just so overdue for just a total slash and burn and rebuild.
[01:24:48.100 --> 01:24:56.100]   I, I, I, I, there was, there was, there was a couple days of rehab when I went back, when I went back to Android.
[01:24:56.100 --> 01:25:03.100]   And one of them was reminding myself that the, that the desktop on Android is simply a blank canvas that you can set up.
[01:25:03.100 --> 01:25:09.100]   However you want that I've got, I've got, I've probably got about 90 to 100 apps on the phone.
[01:25:09.100 --> 01:25:14.100]   Of which only about 18 are actually icons I have on the desktop.
[01:25:14.100 --> 01:25:15.100]   Right.
[01:25:15.100 --> 01:25:19.100]   And I can have multiple instances of them and I can set up screens that are just, just widgets.
[01:25:19.100 --> 01:25:26.100]   And just every time that, and it's, it seems silly on the iPhone and never stops silly, seeming silly on the iPhone.
[01:25:26.100 --> 01:25:35.100]   And now that I have the iPad Pro, which I legitimately use as much as I use my MacBook, it seems downright stupid.
[01:25:35.100 --> 01:25:38.100]   You know, if Apple, if you don't want to rewrite springboard, there's an easier way.
[01:25:38.100 --> 01:25:43.100]   Just say allow people to install third party launchers.
[01:25:43.100 --> 01:25:46.100]   There's a wonderful ecosystem of third party launchers on Android.
[01:25:46.100 --> 01:25:48.100]   Microsoft even makes one.
[01:25:48.100 --> 01:25:50.100]   Yeah, it's amazing.
[01:25:50.100 --> 01:25:56.100]   That's, that's, I have a couple of launchers that I haven't gone back to yet because I just haven't looked back into them.
[01:25:56.100 --> 01:26:01.100]   That are just so much, so good at predicting what app you're going to be using in any one circumstance.
[01:26:01.100 --> 01:26:05.100]   And you just want to see that kind of assistance.
[01:26:05.100 --> 01:26:14.100]   I am, I am encouraged by the fact that Apple seems to be putting a lot of that effort that they would be putting into creating a brand new version of springboard
[01:26:14.100 --> 01:26:25.100]   into trying to make springboard irrelevant, either through app launching via Siri or through trying to predict, put that little translucent icon at the corner of the screen to say,
[01:26:25.100 --> 01:26:27.100]   I'm guessing you're going to want the Starbucks app here.
[01:26:27.100 --> 01:26:29.100]   So we're going to put that there in case you want it.
[01:26:29.100 --> 01:26:34.100]   But I really need for them to stop like, you know, moving the chess piece, but leaving their finger, you know, on the rook.
[01:26:34.100 --> 01:26:36.100]   Just make them move.
[01:26:36.100 --> 01:26:42.100]   Either say you're going to either say you're going to improve springboard or say you're going to give us the next thing that makes springboard irrelevant.
[01:26:42.100 --> 01:26:45.100]   Because this is starting to become embarrassing.
[01:26:45.100 --> 01:26:52.100]   And again, I think that for me, you know, like, what it has gotten good at is on the apps that I use when we're talking about typing them in doing a search.
[01:26:52.100 --> 01:26:53.100]   It's not like I'm typing the whole name in.
[01:26:53.100 --> 01:27:01.100]   Usually, you know, if I hit F, field runners comes up immediately because that's my number one use for the F key at the beginning.
[01:27:01.100 --> 01:27:04.100]   So it's actually pretty smart and figuring out what that is.
[01:27:04.100 --> 01:27:11.100]   You know, and so, so the, so it really is, you know, pretty smart where you just like scroll down and hit the end.
[01:27:11.100 --> 01:27:18.100]   Yes, but I think we're creatures of habits. We create pathways and we, one of the pathways is just physical gesture to the app we want.
[01:27:18.100 --> 01:27:23.100]   And that searching is not even if it's just swipe down F.
[01:27:23.100 --> 01:27:27.100]   That's a change, right? You're going to have to relearn that.
[01:27:27.100 --> 01:27:30.100]   Yeah, you know, and there's got to be a better way.
[01:27:30.100 --> 01:27:33.100]   But I just find you will find that if you do it that way, it gets much faster.
[01:27:33.100 --> 01:27:40.100]   I feel like people who use iPhones kind of Stockholm syndrome, we're all just kind of, we're battered and.
[01:27:40.100 --> 01:27:43.100]   Well, also, I mean, like they were just so desperate not to repeat the mistakes of the hierarchy.
[01:27:43.100 --> 01:27:46.100]   That's why they resisted folders and first few versions.
[01:27:46.100 --> 01:27:49.100]   Right. They just didn't, they didn't think that people should have to interact with a.
[01:27:49.100 --> 01:27:56.100]   Maybe those people just have 20 apps and, or maybe I should just only have the front page apps and delete everything or.
[01:27:56.100 --> 01:27:57.100]   Well, it's a larger point though.
[01:27:57.100 --> 01:28:05.100]   I think Andy mentioned this earlier. It's the, it works on the original iPhone because it's a very simple device and they're on third party apps and you have one app in screen.
[01:28:05.100 --> 01:28:13.100]   It's easy. I mean, so many people who were just so intimidated and found computers so inaccessible could put tap an icon, tap the home button, go back, tap another icon.
[01:28:13.100 --> 01:28:19.100]   Super simple usage model, but then you look at something like the iPad Pro and it just, it doesn't make any sense anymore.
[01:28:19.100 --> 01:28:26.100]   No, and you have Carousel for the watch and you have, um, pine board and headboard for the Apple TV and there's no board for the iPad.
[01:28:26.100 --> 01:28:34.100]   And it really says like this, this can, I think Jason Snell said this, but if Apple sat down and thought about an iPad today, there's no way they just randomly come up with, with springboard again.
