;FFMETADATA1
title=You Can't Touch This
artist=Leo Laporte, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-05-10
track=817
language=English
genre=Podcast
comment=The history of the iPod, Apple & FIDO, Apple's AR plans
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.340]   It's time for Mac Break Weekly. Alex has the day off Andy and Renee are here as we started the show
[01:11:24.000 --> 01:11:26.240]   And then you know this new ba
[01:11:26.240 --> 01:11:30.960]   Well first it was ba2 now. It's ba. What is it two 12 22 or something?
[01:11:30.960 --> 01:11:36.240]   Yeah, there's a new one the 20 percent 25 percent spike or 33 percent spike on the 25 percent spike and
[01:11:36.800 --> 01:11:43.040]   Enough of these already. We've already had for the first time ever because I was really proud for we went two years. Nobody
[01:11:43.040 --> 01:11:47.840]   uh none of our employees got it and now people are getting it and
[01:11:47.840 --> 01:11:51.680]   Yeah, we're sending people home. We got to wear a mask in the studio again
[01:11:51.680 --> 01:11:57.200]   So there is you know, there's a couple of reasons you might know i'm coming I could work one for you know purely
[01:11:57.200 --> 01:12:02.400]   You know for health reasons, but I think we've also learned that we can get the job done maybe even better
[01:12:03.120 --> 01:12:07.040]   Yeah at home if i'm a coder. I would rather work at home on my system
[01:12:07.040 --> 01:12:11.360]   Without having employees because i peek over the partition saying what you're working on
[01:12:11.360 --> 01:12:17.760]   And without me like record years, but they also had so many people pull purchases forward because they needed new devices
[01:12:17.760 --> 01:12:20.880]   They needed new things during work from home for themselves
[01:12:20.880 --> 01:12:26.000]   So people who said that apple was way more successful during the shutdown and lockdown and work from home
[01:12:26.000 --> 01:12:30.400]   That's a huge distortion. You have to remove like everybody who suddenly needed a mac or needed an ipad
[01:12:30.640 --> 01:12:38.000]   We wanted to upgrade early from that list and I think it's inarguable that the the like the ios and mac o s
[01:12:38.000 --> 01:12:41.360]   We're not feature complete over the last two years
[01:12:41.360 --> 01:12:47.040]   And a lot of that is also a distortion because people were dealing with so much like they were they were not used to working from home
[01:12:47.040 --> 01:12:51.760]   They had no child care. Maybe at first they had the pressure of like six family members all of those things
[01:12:51.760 --> 01:12:55.920]   So I would throw out the negatives and throw out the positives and say like we really don't know
[01:12:56.240 --> 01:13:00.560]   What it would be like for a company like apple, but you do have these I did a whole video on this
[01:13:00.560 --> 01:13:01.440]   I'm not going to go over the whole thing
[01:13:01.440 --> 01:13:03.360]   But I put up a long video on this this morning
[01:13:03.360 --> 01:13:08.800]   But you have like the apple boomers who really believe in this culture that you have to be there that it works together
[01:13:08.800 --> 01:13:11.760]   That's they're going to inculturate you by dealing with everybody else on the team
[01:13:11.760 --> 01:13:18.480]   And then you have like the apple zoomers who just think that they are relics and fossils and have no idea how like modern things should work
[01:13:18.480 --> 01:13:24.080]   And it's it's a really big culture clash and unfortunately it doesn't seem like apple is paying as much attention to
[01:13:24.640 --> 01:13:26.720]   Managing it as they are managing the supply chain
[01:13:26.720 --> 01:13:31.120]   They're like legit 9,000 IQ geniuses at getting products out during the pandemic
[01:13:31.120 --> 01:13:35.520]   But all of this stuff keeps bubbling up over and over again and it doesn't seem like they have a handle on it
[01:13:35.520 --> 01:13:39.440]   So what is so one of the things we were talking about we had Alex cantorwits
[01:13:39.440 --> 01:13:46.000]   And briano woo on on sunday on twit great show and one of the things Alex thought was a little weird was
[01:13:46.000 --> 01:13:48.160]   uh
[01:13:48.160 --> 01:13:49.360]   apple's famous
[01:13:49.360 --> 01:13:54.000]   Secrecy prevents employees from talking across departments to other employees
[01:13:54.000 --> 01:14:01.440]   So some of the benefits that apple's talking about other companies talk about of this kind of mixing of ideas isn't going to happen in apple
[01:14:01.440 --> 01:14:04.560]   Anyway, oh no, it's it's engineered that way like in apple park
[01:14:04.560 --> 01:14:08.560]   Like they have those rings but you are locked into your like vertical slice of that ring
[01:14:08.560 --> 01:14:11.280]   And it's adjacent teams that are that are locked together
[01:14:11.280 --> 01:14:15.200]   So like you got to go out of your way to see anybody who's not already disclosed on what you're working on
[01:14:15.200 --> 01:14:18.080]   Is it unfortunately does not solve for that problem sieve jobs
[01:14:18.240 --> 01:14:19.280]   uh
[01:14:19.280 --> 01:14:24.080]   Reportedly when that apple ring was going to be built said we only want one bathroom per floor
[01:14:24.080 --> 01:14:27.120]   So everybody who can talk to each other is that apocryphal
[01:14:27.120 --> 01:14:29.920]   I believe so
[01:14:29.920 --> 01:14:31.920]   Just like
[01:14:31.920 --> 01:14:33.920]   Around
[01:14:33.920 --> 01:14:39.120]   Uh, no, but like like you like you go or you don't go around at apple park you go up and down like that's my understanding
[01:14:39.120 --> 01:14:43.520]   Oh interesting so you can't go around the ring you can only i mean depends on your card
[01:14:43.520 --> 01:14:46.480]   I'm guessing but like you'll hit those invisible doors. It's um wow
[01:14:47.520 --> 01:14:50.800]   I'd love to go in there once though. Of course I will never
[01:14:50.800 --> 01:14:56.400]   But uh, I would love to just see it be very cool. I saw it on the early years. Did you
[01:14:56.400 --> 01:15:00.800]   Yeah, it like when it was first opening it took some of us in for for different stuff
[01:15:00.800 --> 01:15:02.480]   Oh, you got to go inside beautiful
[01:15:02.480 --> 01:15:08.160]   It was way like it was like night and day to compare to infinite loop because infinite loop already had like a huge overcrowding problem
[01:15:08.160 --> 01:15:13.040]   By then and this was just very early like I don't think the whole the whole company certainly hadn't moved in yet
[01:15:13.040 --> 01:15:16.560]   So it was very sterile and serene and fresh and clean
[01:15:17.120 --> 01:15:21.360]   Well, yes, all the offices are until if the humans arrive till the humans arrive
[01:15:21.360 --> 01:15:29.120]   Um somebody till till the until the apple gangs each the individual apple gangs claims their turf. Yeah. Yeah
[01:15:29.120 --> 01:15:35.680]   Um, somebody said that there's a drone footage of apple of people returning
[01:15:35.680 --> 01:15:41.600]   Is that true? It's me the chat room said that there was so much on twitter about people having to commute again
[01:15:41.600 --> 01:15:43.600]   And I think like a lot of us who aren't in the bay area
[01:15:43.680 --> 01:15:49.600]   Don't understand like how long it takes to go even just a few miles in rush hour and that that's real lost time
[01:15:49.600 --> 01:15:54.320]   That's lost time. That's bad for the like it's bad for nature because they're burning all these fossil fuels
[01:15:54.320 --> 01:16:00.240]   And it's it's a huge cut into their day and a lot of them have a lot of people in in that area have like
[01:16:00.240 --> 01:16:03.440]   They don't need money anymore. They're they're there because they want to dent universes
[01:16:03.440 --> 01:16:07.120]   And they were working from beaches and ski slopes for the last two years
[01:16:07.120 --> 01:16:13.520]   Or they're seeing their kids and their pets a lot more often than they used to or they or they could take exactly an hour
[01:16:13.520 --> 01:16:17.680]   And a half off for dental employment is seven to take an entire personal day off for dental appointment
[01:16:17.680 --> 01:16:23.280]   Here's this this is this is this is the this is the flip of labor already in last 2022 that people asking gee
[01:16:23.280 --> 01:16:25.280]   Why are we doing these procedures?
[01:16:25.280 --> 01:16:28.720]   And the wrong answer is because we've already done always done it this way
[01:16:28.720 --> 01:16:32.880]   Give us a reason why I can't work from from home two or three days out of the week
[01:16:32.880 --> 01:16:34.160]   here's a
[01:16:34.160 --> 01:16:38.160]   one drone shot of uh people in the meal area
[01:16:38.800 --> 01:16:42.960]   I see all the picnic tables and line aligned to get into the cafeteria
[01:16:42.960 --> 01:16:47.120]   So um by May 23rd
[01:16:47.120 --> 01:16:49.920]   You'll have to spend three days a week
[01:16:49.920 --> 01:16:54.800]   Uh waiting in line for lunch instead of all tim asked johnnie for was a corner office
[01:16:54.800 --> 01:16:58.720]   All he said is we're making a new headquarters. Just give me a corner corner leave me showed up
[01:16:58.720 --> 01:17:04.240]   That's a real falling out right there does trip meckle cover that in the book. I wonder no
[01:17:05.440 --> 01:17:09.040]   But google. I doesn't have any corners and it's an art museum. You think are you better than the
[01:17:09.040 --> 01:17:18.640]   Fast company story how apple overcame its culture of secrecy to create air pods pro
[01:17:18.640 --> 01:17:23.280]   Uh a former hr business partner
[01:17:23.280 --> 01:17:29.040]   Uh chris deaver wrote this he joined apple in 2015
[01:17:30.320 --> 01:17:36.400]   Uh he actually talks about the the the dark sides of secrecy hoarding of critical information
[01:17:36.400 --> 01:17:39.280]   pushing personal agendas in fighting
[01:17:39.280 --> 01:17:45.200]   As a new hr business partner. I was often pulled into these escalations and was usually
[01:17:45.200 --> 01:17:48.560]   Winging about the team is not sharing
[01:17:48.560 --> 01:17:52.800]   Dad
[01:17:52.800 --> 01:17:58.320]   I remember like when news when the apple news was announced at the same time they announced a news aggregation feature in safari
[01:17:58.560 --> 01:18:03.520]   And they didn't work together and everyone's like why why not do that is because the two people had no idea what they were working on
[01:18:03.520 --> 01:18:05.520]   They were both black operations
[01:18:05.520 --> 01:18:09.440]   That's what secrecy was getting in the way dree deaver writes and what we'd seen
[01:18:09.440 --> 01:18:13.840]   With the development of the air puzzles an example of what exactly would happen when we hadn't solved for it
[01:18:13.840 --> 01:18:20.480]   Teams were innovating for months in silos only to finally converge in the 11th hour before lunch launch
[01:18:20.480 --> 01:18:27.120]   Or lunch ending up in five or six hour long daily meetings creating tremendous friction and burnout
[01:18:27.760 --> 01:18:33.200]   People were frustrated they wanted to leave or quote never work with that one person again
[01:18:33.200 --> 01:18:38.000]   Customers don't know these behind the scenes struggles of giving birth to the air pods
[01:18:38.000 --> 01:18:43.360]   Just like most engineers to develop the air pods didn't know the air pods would be such an explosively successful
[01:18:43.360 --> 01:18:45.760]   Meme worthy project product
[01:18:45.760 --> 01:18:50.400]   Would you remember the home pod where like the home pod was announced and it was delayed and it was supposed to run airplay
[01:18:50.400 --> 01:18:53.600]   But it turned out airplay was like a weekend project and was never meant to scale like this
[01:18:53.600 --> 01:18:58.400]   Oh, it's get to go and rewrite airplay and then they had to realize that oh core audio has so much technical debt
[01:18:58.400 --> 01:19:03.440]   We got to fix you know 20 10 years of Mac problems now as well just to get this to work
[01:19:03.440 --> 01:19:04.720]   Yeah
[01:19:04.720 --> 01:19:09.920]   That's very sad this very sad to hear because one of the hallmarks of apple as a as a business is
[01:19:09.920 --> 01:19:12.320]   For me has been how
[01:19:12.320 --> 01:19:18.480]   Little infighting that they've had compared to most other companies that I know about and compared to the apple of old
[01:19:18.640 --> 01:19:25.840]   I mean the uh 1997 apple there were people who are actively trying to undermine each other's to get access to their resources and their
[01:19:25.840 --> 01:19:28.320]   And their human power
[01:19:28.320 --> 01:19:32.720]   And it seemed as though apple had kind of beat that but the secrecy of not being not
[01:19:32.720 --> 01:19:35.360]   Left-hand not knowing what the right hand is doing. That's why
[01:19:35.360 --> 01:19:39.520]   Bad products happen. That's why you wind up with extremely brilliant
[01:19:39.520 --> 01:19:44.400]   Industrial design and technological features that the operating system is not really support
[01:19:44.400 --> 01:19:47.680]   Is not really has not really been built in order to take advantage of
[01:19:48.320 --> 01:19:51.360]   He says that they were inspired by ed catmull
[01:19:51.360 --> 01:19:57.600]   His book creative creativity incorporated and the notion of of the brain trust at pixar
[01:19:57.600 --> 01:20:01.280]   A collective team committed to egos off the table building blocks
[01:20:01.280 --> 01:20:06.000]   On the table this inspiration led to a brain trust
[01:20:06.000 --> 01:20:08.800]   For the development of air pods
[01:20:08.800 --> 01:20:11.680]   deeper collaboration
[01:20:11.680 --> 01:20:17.600]   A culture shift apple does that but at the executive level like they they are very good at having their weekly monday meetings
[01:20:17.840 --> 01:20:21.520]   And then having their feature meetings where the svp's get together and they figure everything out
[01:20:21.520 --> 01:20:24.160]   But then it's it's given off to the individual teams and
[01:20:24.160 --> 01:20:39.680]   About this 10 years ago. Yeah, like why doesn't find my work with serious? Well, you s
[01:20:40.800 --> 01:20:45.760]   Read people in individually remember in the early iphone days like and when steve wasn't there they couldn't read people in and they had to go
[01:20:45.760 --> 01:20:50.400]   Back and forth from the whiteboard to this unsecure room to tell them what they had just drawn on the whiteboard
[01:20:50.400 --> 01:20:55.360]   Also, there's there people make fun of management as being you know, michael scott's
[01:20:55.360 --> 01:21:01.120]   But the thing is brilliant management is all about traffic management of being the person who's aware of these people are about
[01:21:01.120 --> 01:21:07.040]   Are about to infringe into each other's lanes. They should be driving together or they should be aware of what's what's going on between each other
[01:21:07.200 --> 01:21:11.120]   So there's no it's it's one it's one of the worst ways to step on a rake possible
[01:21:11.120 --> 01:21:14.000]   And it's one of the hardest problems to solve I think in in management
[01:21:14.000 --> 01:21:16.480]   So
[01:21:16.480 --> 01:21:20.080]   They apparently tried this brain trust when developing the camera
[01:21:20.080 --> 01:21:26.080]   For the ipone phone and then uh try to apply the same approach to the next iteration of airpods
[01:21:26.080 --> 01:21:29.600]   regular cross-staff sessions transparency
[01:21:29.600 --> 01:21:35.920]   And shared voice what happened next was amazing again. This is diva writing as teams converge with leaders
[01:21:36.400 --> 01:21:39.600]   Becoming more open connected and driving higher quality collaboration
[01:21:39.600 --> 01:21:42.560]   Then ever before we spent time coaching collaborating
[01:21:42.560 --> 01:21:48.560]   And influencing key leaders and engineers driving the next frontier of airpods what emerged as a brain trust
[01:21:48.560 --> 01:21:51.680]   with regular sessions openness and connection
[01:21:51.680 --> 01:21:57.200]   Uh, and he says that was what brought to life the insanely great noise canceling airpods
[01:21:57.200 --> 01:22:01.840]   Pro so this is really an article and fast company for other I think intended for other business leaders
[01:22:01.840 --> 01:22:03.360]   Um
[01:22:03.360 --> 01:22:06.080]   Saying, you know, there's there's possible to do this better
[01:22:06.240 --> 01:22:08.240]   This is uh, chris diva
[01:22:08.240 --> 01:22:14.160]   Writing former HR. That's not even necessarily dysfunction side apple people again
[01:22:14.160 --> 01:22:18.480]   We we are so attached to the personalities that we know about in the history and the culture
[01:22:18.480 --> 01:22:21.680]   We forget that it is as I keep saying a two trillion dollar company
[01:22:21.680 --> 01:22:25.520]   And that means that there's there's so big that there are some things that they are not going to be
[01:22:25.520 --> 01:22:29.760]   Very good at in terms of management in terms of workflow in terms of all these other things that
[01:22:29.760 --> 01:22:34.000]   They have the same problems everybody else. It's not because the it's not because the company's falling apart
[01:22:34.240 --> 01:22:36.240]   It's because it's a huge freaking company
[01:22:36.240 --> 01:22:42.400]   The shanhead really weird company because they like apple uniquely amongst the giant tech companies
[01:22:42.400 --> 01:22:47.920]   Almost died like they were close to bankruptcy and a lot of the executives there still think that they're beatable
[01:22:47.920 --> 01:22:53.840]   Like they know what it's like to lose and so they uh, some of those departments have historically been so incredibly stingy
[01:22:53.840 --> 01:22:58.080]   That is like one person or one engineer who's in charge of an entirely important feature
[01:22:58.080 --> 01:23:03.520]   For a device like like famously ken kishinda made the iphone keyboard at microsoft. That would be 200 people
[01:23:03.840 --> 01:23:08.480]   Working on the keyboard for a mobile device and it creates like I think in some companies
[01:23:08.480 --> 01:23:10.720]   There's way too many cooks in the kitchen, but at apple
[01:23:10.720 --> 01:23:16.160]   There's historically been way too few and that creates whole different set of problematic, you know, the challenges
[01:23:16.160 --> 01:23:21.200]   The company the corrupt during the during the depression and has to use every yes nine times, you know
[01:23:21.200 --> 01:23:27.200]   Shanghai's covid lockdown and it's sixth week is absolutely affecting
[01:23:27.200 --> 01:23:33.200]   Apple and it is not getting any easier. This article in wall street journal for a couple of days ago
[01:23:33.760 --> 01:23:38.960]   Uh, the covid lockdown gets tougher if one person tests positive the whole building isolates
[01:23:38.960 --> 01:23:46.000]   Um quanta, which is where apple makes its laptops is one of the companies shut down
[01:23:46.000 --> 01:23:47.760]   um
[01:23:47.760 --> 01:23:50.080]   tighter restrictions since the beginning of april
[01:23:50.080 --> 01:23:55.760]   And uh, there's a video that was shared on twitter and youtube of workers
[01:23:55.760 --> 01:23:58.400]   rushing through the barriers
[01:23:58.400 --> 01:24:00.640]   Trying to trying to get out
[01:24:00.640 --> 01:24:03.200]   Uh, this is from a may sixth
[01:24:03.600 --> 01:24:07.360]   um trying to escape the lockdown and uh
[01:24:07.360 --> 01:24:13.200]   There's a lot of suffering going on. It's it's bad news. It's really uh, it's really bad news
[01:24:13.200 --> 01:24:19.280]   Um, so we yeah, we could talk about the supply chain shortages and how long it's gonna take you to get a
[01:24:19.280 --> 01:24:21.440]   Max studio
[01:24:21.440 --> 01:24:26.080]   Your o spread is it's not untenable. Yeah, it's not. Yeah, it's not it's unattainable
[01:24:26.080 --> 01:24:31.520]   It's unattainable and it and it's untenable and it's yeah, uh, a great human tragedy
[01:24:31.520 --> 01:24:36.800]   Just gonna cause so much pain just sticking to it. Yeah. Yeah, I'm fully convinced of that
[01:24:36.800 --> 01:24:38.720]   Although, you know
[01:24:38.720 --> 01:24:44.720]   We're still making people give facts that in wear their masks there's stuff you can do without locking the you know sealing
[01:24:44.720 --> 01:24:47.920]   Building the last mandate at least for five more days. Yeah
[01:24:47.920 --> 01:24:53.760]   Yeah, but but then again, we didn't have almost started we weren't the epicenter of the epidemic
[01:24:53.760 --> 01:24:59.040]   And so there the day the early days of the epidemic in china were pretty horrific
[01:24:59.680 --> 01:25:04.960]   Uh, and this was this was I'd like to think that the swift response that other countries had was seeing
[01:25:04.960 --> 01:25:11.920]   Exactly how badly it hit certain cities in china with a medical system that was unprepared for disease that nobody knew anything about
[01:25:11.920 --> 01:25:19.440]   So I I I can understand academically I can understand the depth and the intensity of the government's response
[01:25:19.440 --> 01:25:24.320]   But yeah, they're not they they've it seems as though they have been enforcing rules that they are not
[01:25:24.720 --> 01:25:28.800]   The government is not equipped to support the citizens and saying well, yes, we will lock you down
[01:25:28.800 --> 01:25:34.080]   But we will take care of you will make sure that you are well supplied you are well equipped that your health is well taken care of
[01:25:34.080 --> 01:25:41.600]   That we are not going to do more damage than we absolutely have to but when you're really tearing families apart and saying here's here's a bag of groceries
[01:25:41.600 --> 01:25:45.440]   That may or may not work for you. Good luck. If you need medical care. Good luck
[01:25:45.440 --> 01:25:47.440]   It's not good
[01:25:47.440 --> 01:25:50.080]   Graham tate is an australian based photographer
[01:25:50.880 --> 01:25:55.200]   Traveling in the flinders ranges with $7,000 worth of gear
[01:25:55.200 --> 01:26:00.240]   It was stolen from his car in the parking lot of his hotel fortunately
[01:26:00.240 --> 01:26:02.880]   He had air tags attached
[01:26:02.880 --> 01:26:08.400]   To the items he opened the find my app found the location of his stolen gear
[01:26:08.400 --> 01:26:14.080]   Now i'm going to insist that he did not go then to that location and you shouldn't either
[01:26:14.080 --> 01:26:16.480]   He called the police
[01:26:16.480 --> 01:26:20.320]   And was fortunate that in this case the police responded instead of saying yeah, right
[01:26:20.800 --> 01:26:23.440]   And was able to recover everything including his wallet
[01:26:23.440 --> 01:26:29.120]   His laptop is camera and gopro. The items were found in a room in the same hotel
[01:26:29.120 --> 01:26:33.760]   So yeah, so yeah puts he is nice
[01:26:33.760 --> 01:26:37.440]   It's nice to click on that story with that headline and not have it
[01:26:37.440 --> 01:26:42.480]   You're I was sort of tensing myself to for like paragraph nine to say he actually didn't own the air pod
[01:26:42.480 --> 01:26:45.600]   The air pod was slipped into the bag by another thief who intended to drop
[01:26:49.840 --> 01:26:54.000]   All right, anything else that we we should talk about weird story from Linus tech tips
[01:26:54.000 --> 01:26:56.880]   I don't know if you saw it, but he got swindled out of $90,000
[01:26:56.880 --> 01:27:01.040]   Because somebody hacked his contractor while he was busy redoing his house
[01:27:01.040 --> 01:27:06.080]   And they they jumped onto an existing thread saying that if well if you give us a bank draft for
[01:27:06.080 --> 01:27:11.840]   $90,000 will cut this much money off of the price and because it was part of the ongoing conversation
[01:27:11.840 --> 01:27:16.400]   They thought it was legitimate sent the check off a couple days later their contactor said they were hacked
[01:27:16.560 --> 01:27:19.760]   He's like, well, why didn't you tell me that earlier and then spent like a
[01:27:19.760 --> 01:27:25.280]   Few days trying to get the RCMP which is like the Canadian FBI to help and they were not helpful but a
[01:27:25.280 --> 01:27:32.160]   listener a viewer managed to get the the bank in Toronto involved and then the Toronto RCMP seemed to get involved
[01:27:32.160 --> 01:27:36.960]   But it's just like the the amount of the the quality of social engineering attacks
[01:27:36.960 --> 01:27:42.560]   Is getting so high now that like there's believe nothing. It's gonna be so careful. Send no money
[01:27:43.680 --> 01:27:46.560]   Always use a second channel to authenticate the first channel
[01:27:46.560 --> 01:27:51.360]   Oh my god, I'm terrified. I'm paying my bills by travel is checks from now on
[01:27:51.360 --> 01:27:58.640]   Can you still get travel is checks? That would be that would be a good challenge that
[01:27:58.640 --> 01:28:04.320]   That should be for the for the next I don't know if Linus tech tips is doing their
[01:28:04.320 --> 01:28:08.960]   That they they do these challenges with travelers exactly
[01:28:09.440 --> 01:28:12.880]   By bill build a thousand you have a budget of a thousand dollars
[01:28:12.880 --> 01:28:18.960]   You you have to pay with travel is check there are younger people listening Andy who do not know what travelers checks are I believe
[01:28:18.960 --> 01:28:24.400]   They don't even know who call them all than this. No god. Don't leave home without it. Not even through his movie work
[01:28:24.400 --> 01:28:28.960]   In the old days kids before atms
[01:28:28.960 --> 01:28:34.880]   If you went to a foreign land you would buy before you went you would buy something called travelers checks
[01:28:34.880 --> 01:28:37.280]   often from american express
[01:28:37.600 --> 01:28:39.600]   You would sign the front
[01:28:39.600 --> 01:28:42.160]   But not the back
[01:28:42.160 --> 01:28:45.680]   Then when you arrived in a foreign land you would go to an american express office
[01:28:45.680 --> 01:28:52.800]   And you would sign the back in front of the teller and they would give you the dollar value of the travelers checks in the local currency
[01:28:52.800 --> 01:28:58.880]   Lo and behold you also used to be able to get mail at the american express offices. Yeah, that's how old I am
[01:28:58.880 --> 01:29:03.200]   I'm looking at that. I I'm so lucky
[01:29:03.840 --> 01:29:08.000]   I'm just young enough that like the first time like when I was 20 years old
[01:29:08.000 --> 01:29:13.200]   I traveled on business like I had I had a look for an atm that supported my network back in boston
[01:29:13.200 --> 01:29:15.520]   But I was able to simply like take out money from there
[01:29:15.520 --> 01:29:21.920]   And my my dad who traveled a lot because he was he was an engineer for like electrical power companies part of his career
[01:29:21.920 --> 01:29:25.200]   It's like all the infrastructure he had taught me about like
[01:29:25.200 --> 01:29:28.880]   It was like all dad all I got to do is like
[01:29:28.880 --> 01:29:31.920]   Everything
[01:29:31.920 --> 01:29:37.040]   Believe of course you have to pay a huge exchange rate nine dollars in transaction fees as well, but
[01:29:37.040 --> 01:29:42.320]   You have to pay for transaction for travelers checks. They still offer them by the way
[01:29:42.320 --> 01:29:45.680]   CHE Q us
[01:29:45.680 --> 01:29:52.480]   For more than a century our travelers checks have helped travelers protect their money
[01:29:52.480 --> 01:29:57.200]   Anything that you would rely on when around the world in 80 days
[01:29:57.200 --> 01:30:00.800]   It was Lloyd's bank in american express
[01:30:01.600 --> 01:30:02.560]   Uh
[01:30:02.560 --> 01:30:05.200]   Wow one thing we didn't mention and it's it's not worth the whole thing
[01:30:05.200 --> 01:30:07.280]   But there's a lovely scene apple put up a
[01:30:07.280 --> 01:30:14.080]   May the fourth be with you video with skywalker audio and they have a lovely scene of their server room just replete with mac pros
[01:30:14.080 --> 01:30:19.120]   Oh, yes, this this was actually pretty cool. Let me let me let me find that
[01:30:19.120 --> 01:30:25.440]   There's nothing that r2d2 can't make adorable even when it's just his sound. Yeah, it's uh, can I you think I could play it?
[01:30:27.280 --> 01:30:30.560]   I'm on youtube. I feel like it's on youtube. I should be able to play it, right?
[01:30:30.560 --> 01:30:34.320]   Let me just play it without going full screen. You were to close your eyes
[01:30:34.320 --> 01:30:40.240]   And just listen to the sounds could you identify the movie?
[01:30:40.240 --> 01:30:43.440]   And where we are in the movie
[01:30:43.440 --> 01:30:46.560]   Everything is just so I think so
[01:30:46.560 --> 01:30:49.520]   This is the one you're talking about, right?
[01:30:49.520 --> 01:30:54.720]   Yeah, as long as we critique it. It's fair usely. Yeah, we're continuing like oh, that's Star Wars. That's holy Star Wars
[01:30:54.720 --> 01:30:56.720]   So, uh, what's he using?
[01:30:56.720 --> 01:31:01.280]   Using a um, that is a stormtrooper. I guess they couldn't afford a color or camera
[01:31:01.280 --> 01:31:04.720]   They're not apple displays. So I think that's why they keep the logos really
[01:31:04.720 --> 01:31:08.240]   Oh, they're not apple displays. Um, there's a
[01:31:08.240 --> 01:31:11.760]   There are there are mac books and they are mac pros and are they using logic or
[01:31:11.760 --> 01:31:16.560]   The old post was actually say the name postman says pro tools
[01:31:16.560 --> 01:31:19.760]   Which means you can't use a macOS monoray
[01:31:21.120 --> 01:31:24.560]   You can't even use Catalina. I love how much fun they're having
[01:31:24.560 --> 01:31:26.960]   Nice
[01:31:26.960 --> 01:31:31.440]   May the four oh, there's a film. Wait a minute. This is yeah, that's the trailer. No, it's the next the other
[01:31:31.440 --> 01:31:36.400]   Okay, trailer came out. Oh, man. There are some color parts, but again, I think they're going out of their way to not show
[01:31:36.400 --> 01:31:42.080]   They're not apple stuff. It's hysterical. Well, good. I just played the tease. You can't fault me for that. Exactly
[01:31:42.080 --> 01:31:44.720]   You're helping drive traffic
[01:31:44.720 --> 01:31:45.920]   You're being a good
[01:31:45.920 --> 01:31:50.400]   The way it works is like it's all robots like if they sense it the content ID system will flag it
[01:31:50.400 --> 01:31:51.840]   And then you just got a thing. No, I just
[01:31:51.840 --> 01:31:56.080]   I know it's the worst and they will never they will never well not never but like unless you're egregiously violating it
[01:31:56.080 --> 01:31:57.760]   They can't really do anything
[01:31:57.760 --> 01:32:02.640]   Well, they can demonetize they I mean, there's all sorts of stuff they can do and then you have to fight it
[01:32:02.640 --> 01:32:08.480]   Yeah, well, it's just like you just say no, it's wrong and then like usually within a couple days or like the same day a lot of times
[01:32:08.480 --> 01:32:14.480]   It's cleaned up. Oh, yeah, not been our experience. We'll say no, it's wrong and then they'll say come come get us big boy
[01:32:14.480 --> 01:32:20.640]   It's not a good system
[01:32:20.640 --> 01:32:24.240]   No
[01:32:24.240 --> 01:32:26.720]   All right
[01:32:26.720 --> 01:32:32.160]   I guess we could talk about the fact that apple better and google and everyone else better mind their peas and cues because
[01:32:32.160 --> 01:32:36.720]   The uk antitrust body will be able to find apple and google
[01:32:36.720 --> 01:32:40.880]   5% of their global revenue every day
[01:32:41.920 --> 01:32:46.560]   Yeah, that means in three weeks you make no money revenue cheese
[01:32:46.560 --> 01:32:50.320]   cheese
[01:32:50.320 --> 01:32:54.160]   Uh, I find it odd that you can sue based that you can find based on global revenue
[01:32:54.160 --> 01:32:59.200]   That doesn't that seems like an overreach. Yeah, well, that's that's that's that's the sort of
[01:32:59.200 --> 01:33:02.720]   Damocles that they need to have like the poison pill to make sure that people
[01:33:02.720 --> 01:33:06.960]   Companies like apple and and facebook and google aren't just gonna simply wake stuff out
[01:33:06.960 --> 01:33:09.920]   This and this shows the money that's
[01:33:10.960 --> 01:33:13.920]   Well, like all these countries are gonna say we want money. We're gonna just take it
[01:33:13.920 --> 01:33:20.400]   They they they they want they want a solution so that they actually get what they want and what they want isn't money
[01:33:20.400 --> 01:33:25.920]   They want they want people to operate by the rules that the EU and the individual local governments have actually created
[01:33:25.920 --> 01:33:32.000]   They know they know that once they start once they start asking for like 200 billion dollars from a company
[01:33:32.000 --> 01:33:34.880]   They they you know, they they know that at that point
[01:33:34.880 --> 01:33:39.680]   That's when you were no longer prime minister and the new prime minister is being well backed
[01:33:39.680 --> 01:33:42.720]   And they they're for they used to run the iPod division, you know
[01:33:42.720 --> 01:33:47.600]   But this just that this just comes to show you that why you should if you're interested in the subject
[01:33:47.600 --> 01:33:52.720]   You need to absolutely follow what what the EU is deciding because the EU is EU is a
[01:33:52.720 --> 01:33:59.520]   Antitrust and privacy legislation is very much being written as a template for all governments everywhere
[01:33:59.520 --> 01:34:00.960]   And so every government is looking at it
[01:34:00.960 --> 01:34:08.720]   So if if the United States government ever seriously got its act together about antitrust and was able to really develop
[01:34:09.200 --> 01:34:10.320]   broad
[01:34:10.320 --> 01:34:15.600]   Broad across the alis support for the sort of thing it would be something very very similar to what the EU
[01:34:15.600 --> 01:34:18.240]   Paston is going to be enacted in 2023
[01:34:18.240 --> 01:34:22.480]   Not that I don't realize it's complicated and nuanced and there's a lot of stuff that needs to be worked out
