
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[01:34:55.480 --> 01:34:59.560]   But once you add the separate processor, uh, the t1 chip for the touch id
[01:34:59.560 --> 01:35:03.080]   Uh, you're running code anyway, then that needs a display because the
[01:35:03.080 --> 01:35:06.760]   OS 10 does not so mac OS does not run the display for the numbers
[01:35:06.760 --> 01:35:11.160]   They don't want anyone to be able to hack the numbers and say we're charging you a dollar and then charge you a hundred dollars
[01:35:11.160 --> 01:35:13.800]   So the t1 chip has to have a display to communicate to it
[01:35:13.800 --> 01:35:15.800]   So they're gonna put a small display in there anyway
[01:35:15.800 --> 01:35:17.720]   and once you do that just
[01:35:17.720 --> 01:35:20.360]   Making it a full display and doing extra things do it
[01:35:20.440 --> 01:35:23.800]   Gives them a better show piece for the whole the whole embed
[01:35:23.800 --> 01:35:26.200]   We won't go through this all over again
[01:35:26.200 --> 01:35:32.040]   But I don't think you get it for free because apple does take things away from you to give you that that touch bar so
[01:35:32.040 --> 01:35:38.360]   I just wish I agree with a sentiment that I wish the people had the people who said that this the touch bar offers me
[01:35:38.360 --> 01:35:43.400]   Nothing that interests me. I think it's a big pain in the butt. I would much rather have a physical escape key that's always there
[01:35:43.400 --> 01:35:46.920]   Uh, I I think that's a credible thing
[01:35:46.920 --> 01:35:51.480]   Both cut off the end instead of that dumb black end that doesn't show anything and just put a escape button back
[01:35:51.480 --> 01:35:57.240]   So I can't read the arc of what he's saying. I still want the fingerprint reader. I just don't want the touch bar
[01:35:57.240 --> 01:36:01.720]   Yeah, well, and then you need a display for the thing you need to display for the fingers. That's
[01:36:01.720 --> 01:36:05.720]   That's just creating another skew. I don't understand, you know, that wouldn't make any
[01:36:05.720 --> 01:36:11.160]   I bought the lower end I replaced my touch bar at mac pro with a lower end admittedly not as fast
[01:36:11.160 --> 01:36:13.800]   touch barless macbook pro
[01:36:16.360 --> 01:36:19.640]   Because I the touch bar just got in the way and I wanted an escape key
[01:36:19.640 --> 01:36:23.640]   I would like I you know, I but I don't think I can live without the fingerprint reader just
[01:36:23.640 --> 01:36:27.480]   Make put more processor power in the touch barless
[01:36:27.480 --> 01:36:32.520]   Soon we'll have face ID on the mac too leo and then you'll never have to bother that again exactly
[01:36:32.520 --> 01:36:35.160]   Exactly
[01:36:35.160 --> 01:36:37.880]   The future fixes everything and just creates new problems as it comes
[01:36:37.880 --> 01:36:39.160]   Yeah
[01:36:39.160 --> 01:36:42.600]   So it is it is another skew, but it's the kind of skew that's not a difficult
[01:36:42.600 --> 01:36:49.000]   Apple does all the time where you have BTOs with higher end processors more RAM that kind of thing at a touch bar for a hundred bucks
[01:36:49.000 --> 01:36:52.680]   Yeah, I guess you could do that
[01:36:52.680 --> 01:36:55.720]   Yeah, I guess you could do that
[01:36:55.720 --> 01:37:00.920]   Uh moving along, let's see. I just want to get through all of this
[01:37:00.920 --> 01:37:04.680]   Before we get to your picks of the week where you're just around the corner
[01:37:04.680 --> 01:37:09.480]   I think we've covered most of the big stories lte watch
[01:37:10.920 --> 01:37:13.080]   We'll find out about that in a couple of weeks as well
[01:37:13.080 --> 01:37:16.520]   Um
[01:37:16.520 --> 01:37:20.840]   Maybe exciting. I mean preg federiki spoke about as fast as the micromachines guy at wwdc
[01:37:20.840 --> 01:37:23.000]   One thing after another after another after another
[01:37:23.000 --> 01:37:28.200]   I think we'll get the hardware and not exactly the hardware equivalent of that, but it'll still be a stacked event
[01:37:28.200 --> 01:37:31.880]   Oh, I know one more story because we've talked a lot about it's not exactly an apple story
[01:37:31.880 --> 01:37:34.920]   But as the home hub gets cli home pod gets closer
[01:37:34.920 --> 01:37:39.320]   to reality sonos has got to be a little bit worried they just
[01:37:40.360 --> 01:37:45.480]   Submitted for fcc approval a new sonos speaker with a array microphone in it
[01:37:45.480 --> 01:37:50.360]   And of course they pushed out a couple of weeks ago. We talked about it new
[01:37:50.360 --> 01:37:55.800]   New user agreement new terms of service that would
[01:37:55.800 --> 01:38:02.440]   Change a little bit their privacy agreement in preparation for this I think in an upgrade in the software
[01:38:02.440 --> 01:38:07.240]   Do we know what I still think that they'll go with a licensed assistant rather than making their own
[01:38:07.560 --> 01:38:12.600]   This implies a lot of work. This implies multiple voice platforms and music services
[01:38:12.600 --> 01:38:15.880]   Oh, you could choose your own assistant that would choose your own assistant
[01:38:15.880 --> 01:38:20.440]   Wouldn't that be interesting if you could choose from syria or echo or google assistant or tana or something?
[01:38:20.440 --> 01:38:25.000]   One of the problems with course with a with a home pod is it'll only support probably only support apple music
[01:38:25.000 --> 01:38:28.760]   I want to use say yeah, as far as I mean, I think they'll grow that over time
[01:38:28.760 --> 01:38:32.120]   You'll be able to say no no you gotta be in the apple ecosystem
[01:38:33.800 --> 01:38:36.920]   I mean, I think it'll behoove them too over time add
[01:38:36.920 --> 01:38:43.080]   Additional features and what we're all waiting for is just the syria kit plug-in for music and and all those things
[01:38:43.080 --> 01:38:46.120]   And then it really it'll just support anything over the syria kit. Yeah
[01:38:46.120 --> 01:38:50.280]   Well, we'll anyway fcc approval
[01:38:50.280 --> 01:38:56.360]   Pending that means you're probably not too far off from an update, but if you had to buy all new sonos speakers
[01:38:56.360 --> 01:39:01.080]   That's gonna be a non-starter. Not doing it. It's not gonna do it
[01:39:01.800 --> 01:39:09.320]   When be pregnant this dunk I would hope they would sell a little plug-in that would plug into my speaker that I could use or something like that
[01:39:09.320 --> 01:39:13.880]   All right. Yeah, the you know, they're all networked. I mean all the sonos are network
[01:39:13.880 --> 01:39:17.560]   So yeah, it doesn't even have to plug in just let you tie into it and echo dot
[01:39:17.560 --> 01:39:22.920]   Actually, really all they have to do and I guess it's just harder than it seems is to have a skill on the echo
[01:39:22.920 --> 01:39:25.080]   for sonos
[01:39:25.080 --> 01:39:30.520]   Right. I mean I think that if you're if you're if you're thinking about your sonos as a as a network where you have lots of them
[01:39:30.680 --> 01:39:34.920]   You know, you have 10 or 15 of them or five of them or whatever. I think you know, I think you're still going to do that
[01:39:34.920 --> 01:39:36.920]   I don't think the the current speakers
[01:39:36.920 --> 01:39:41.880]   Reprise that the ability to do that but I think that as a single where you are
[01:39:41.880 --> 01:39:44.760]   But if you're but if as a single
[01:39:44.760 --> 01:39:47.400]   I think the problem they have is that there's no reason to buy a sonos
[01:39:47.400 --> 01:39:51.400]   Uh, if you're only buying one of them like unless you're gonna buy a bunch of them for rooms
[01:39:51.400 --> 01:39:54.600]   I think that it's it's not a very compelling solution anymore
[01:39:56.680 --> 01:40:04.280]   Well now amazon echo has added the capability to support echo free multi room audio
[01:40:04.280 --> 01:40:10.680]   So that's fine, you know, and i'm sure the home pot will do this. I think sonos has got to be at this point
[01:40:10.680 --> 01:40:13.960]   Fighting a you know, this is a this is a losing battle
[01:40:13.960 --> 01:40:18.760]   Yeah, I mean I think that they're they have a better a better opportunity with their connect
[01:40:18.760 --> 01:40:23.720]   Products then with you know that are connecting to professional stereo systems and so on so forth
[01:40:24.200 --> 01:40:28.760]   Then necessarily the I have two of those I have two stereo systems connected to sonos
[01:40:28.760 --> 01:40:32.200]   I also have a and this might be another area where sonos can survive
[01:40:32.200 --> 01:40:38.360]   Uh, they also with the sound bar and surrounds subwoofer. They could do home very dude very nice
[01:40:38.360 --> 01:40:43.800]   Theater audio. They've been very reticent to expand like I would have in an instant right now. I have the this one
[01:40:43.800 --> 01:40:47.400]   Oh home theater, but it's still uh just the basic home theater setup
[01:40:47.400 --> 01:40:51.160]   I would have loved for them to go to 7.0 for example or to offer an atmos
[01:40:51.240 --> 01:40:53.640]   alternative or something but they seem to have been incredibly
[01:40:53.640 --> 01:41:00.200]   Conservative with what they would offer there and hopefully either this pressures them into doing it or someone else comes along and
[01:41:00.200 --> 01:41:05.880]   Maybe yamaha puts out us a smart speaker that does atmos. Well, yeah, I think everybody's gonna I mean
[01:41:05.880 --> 01:41:11.640]   Anyway, uh, it's only frustrating for those of us who spent thousands of dollars on sonos
[01:41:11.640 --> 01:41:14.600]   I we have a support club lio
[01:41:14.600 --> 01:41:17.160]   I tried the other day. I put a dot on the sonos
[01:41:17.160 --> 01:41:20.840]   uh through the uh auxiliary jack hoping to add
[01:41:21.160 --> 01:41:24.040]   But it won't use stereo. It was one per speaker
[01:41:24.040 --> 01:41:27.560]   You can't do this room thing and it forgets it so you have to
[01:41:27.560 --> 01:41:32.280]   Every once in a while tell the sonos speaker. No, no you get your audio from the jack
[01:41:32.280 --> 01:41:37.480]   It's not an airplay. So I had an airport express and now I have an apple tv hooked up and I can use that
[01:41:37.480 --> 01:41:40.440]   But it's just it's not not native. Yep. Oh well
[01:41:40.440 --> 01:41:43.800]   All right, let's take a break and uh move on
[01:41:43.800 --> 01:41:50.040]   To our picks of the week in just a moment with andi and anaco from the chicago sun times run a richy from i'mor.com
[01:41:50.680 --> 01:41:52.680]   the pixel cores
[01:41:52.680 --> 01:41:53.800]   handsome
[01:41:53.800 --> 01:41:57.480]   Alex lizzy who got his rapping he got his yearly haircut. It looks like
[01:41:57.480 --> 01:42:05.400]   Exactly gotta do it once a year once a year came. I wandered up to petaluma. So yeah, we we have we share a hairdresser
[01:42:05.400 --> 01:42:10.600]   I uh, I actually just I missed my last appointment and I decided i'm just gonna let it all grow out
[01:42:10.600 --> 01:42:15.320]   I want to look like uh the unibomber. Oh, there you go. Oh, you're gonna say hipster
[01:42:15.320 --> 01:42:19.800]   Oh, you think i'll have a little I think I would like to have a hair hair
[01:42:19.880 --> 01:42:24.040]   A man bun a man or a bun. I think you grow it out. I think you grow it out and you and you braid it
[01:42:24.040 --> 01:42:26.120]   I think yeah a little a little leo braid
[01:42:26.120 --> 01:42:31.880]   Don't break. No, no just one big break in the bag like yeah. Yeah. Oh, yeah, dothraki would be good too
[01:42:31.880 --> 01:42:36.200]   Oh, yeah options once you grow your own. I was thinking ponytail, but a man bun sounds awfully
[01:42:36.200 --> 01:42:43.320]   Go away. Go for a battle on five like mambari up sweep. Oh, yes, fangir. Yeah, I think that's ready to come back
[01:42:43.320 --> 01:42:47.400]   I just bought all about one five on itunes. So i'm really digging in these references this
[01:42:47.960 --> 01:42:49.960]   week
[01:42:49.960 --> 01:42:53.080]   I show today brought to you by
[01:42:53.080 --> 01:42:55.640]   zip
[01:42:55.640 --> 01:42:57.160]   recruiter
[01:42:57.160 --> 01:43:01.080]   I love zip recruiter. I'll tell you what they have solved a fundamental problem
[01:43:01.080 --> 01:43:03.400]   We were talking about the difference between governments and companies
[01:43:03.400 --> 01:43:09.960]   Companies are amazing. It's the same thing there. They're they really don't exist in reality. They're a fiction
[01:43:09.960 --> 01:43:15.000]   A legal fiction that there's a company, but it's more than that. Steve jobs was very aware of this
[01:43:15.000 --> 01:43:19.080]   He said the company is one of the greatest inventions of humankind the idea of
[01:43:19.080 --> 01:43:26.120]   a bunch of people uniting around a common goal and a hundred people or 25 people or a 10,000 people can
[01:43:26.120 --> 01:43:33.880]   do something completely different than what one individual can do and ultimately building a company is is an incredible lever
[01:43:33.880 --> 01:43:38.120]   And and if you're in a company especially if you're a person does the hiring for the company
[01:43:38.120 --> 01:43:42.280]   You know that intimately because hiring the right person can forward you towards that
[01:43:42.600 --> 01:43:45.640]   That goal hiring the wrong person can hold you back
[01:43:45.640 --> 01:43:50.680]   It's like you're all rowing in a ship and you get one person rowing at a sequence. It's terrible
[01:43:50.680 --> 01:43:55.400]   So that's why when you're hiring your your it's um, it's like the most important thing
[01:43:55.400 --> 01:43:58.120]   The company is made up the people you hire
[01:43:58.120 --> 01:44:03.480]   So that's where zip recruiter comes in zip recruiter makes it easy to find the right person
[01:44:03.480 --> 01:44:07.320]   Fast the right person's out there, but how do you know where to go to find them?
[01:44:07.320 --> 01:44:11.000]   Where do you post jobs to find the most qualified candidates that varies
[01:44:12.200 --> 01:44:15.480]   With one click at zip recruiter you can post to 100 plus job sites
[01:44:15.480 --> 01:44:17.880]   Really improving
[01:44:17.880 --> 01:44:21.480]   Your chance of hitting the right person then also twitter and facebook
[01:44:21.480 --> 01:44:26.840]   So your chance of of of the right person seeing that posting goes up exponentially
[01:44:26.840 --> 01:44:29.960]   And then I love this
[01:44:29.960 --> 01:44:35.160]   All those applicants run roll into the zip recruiter interface not to your inbox not to your phone
[01:44:35.160 --> 01:44:41.080]   And their powerful technology can efficiently match the right people to your job. It does better than anyone else
[01:44:42.120 --> 01:44:46.680]   Unlike other job sites zip recruiter doesn't depend on candidates finding you it finds them
[01:44:46.680 --> 01:44:51.800]   In fact 80 percent of employers who post a job on zip recruiter to get a qualified candidate
[01:44:51.800 --> 01:44:54.920]   Through the site within a day within a day
[01:44:54.920 --> 01:44:58.360]   So, you know, it's always urgent when you need somebody
[01:44:58.360 --> 01:45:03.160]   But it's a lot easier with zip recruiter. No more juggling emails or calls to your office
[01:45:03.160 --> 01:45:08.120]   You just they all go into the interface. They've pre-format the resume so they're easy to read
[01:45:08.360 --> 01:45:12.760]   You can screen them with true false questions multiple choice essay questions
[01:45:12.760 --> 01:45:16.920]   Then rate them and manage the candidates all in one place
[01:45:16.920 --> 01:45:22.680]   Connect with a wide variety of professionals of course it experts mac experts whatever it is
[01:45:22.680 --> 01:45:26.440]   You need exactly what you need to take your company the next level today
[01:45:26.440 --> 01:45:30.520]   Don't try to fit a square peg into the round hole get exactly the right peg
[01:45:30.520 --> 01:45:34.840]   More than 300 million applications delivered more than a million users
[01:45:35.800 --> 01:45:40.680]   If you're currently searching for a job zip recruiter will also help you find your future job in an industry
[01:45:40.680 --> 01:45:46.200]   Including technology government business finance and more just upload your resume apply with one click and all those zip recruiter
[01:45:46.200 --> 01:45:49.480]   Companies all those million plus companies that use zip recruiter
[01:45:49.480 --> 01:45:52.120]   Will be able to see you too
[01:45:52.120 --> 01:45:55.480]   By the way, I haven't I never mentioned this, but they have a great blog
[01:45:55.480 --> 01:46:00.280]   Where you can get lots of recruiting tips or if you're applicant career advice
[01:46:00.280 --> 01:46:03.480]   They really do a nice job zip recruiter.com
[01:46:03.800 --> 01:46:09.000]   Slash twit and right now you could try it for free zip recruiter.com
[01:46:09.000 --> 01:46:11.000]   slash
[01:46:11.000 --> 01:46:12.760]   twit
[01:46:12.760 --> 01:46:19.480]   Build your company with the right person fast and zip recruiter.com slash twit or find the right company for you to work it
[01:46:19.480 --> 01:46:22.440]   Renee richy pick of the week, sir
[01:46:22.440 --> 01:46:29.240]   So this is not something i've tried myself yet because they have just been announced but uh, whenever there's new home kit kit
[01:46:29.320 --> 01:46:33.720]   So to speak I always love it because it just increases the functionality of what I can do around the house
[01:46:33.720 --> 01:46:37.960]   And elgato has a bunch of new stuff that they announced today. I believe it's part of the efa
[01:46:37.960 --> 01:46:44.760]   preamble so they've got the eve thermo, which is a connected radiator valve. We still have radiators
[01:46:44.760 --> 01:46:45.720]   Why?
[01:46:45.720 --> 01:46:48.360]   Wow. Oh my god. That's hysterical
[01:46:48.360 --> 01:46:50.360]   Radiators are humans too. Really?
[01:46:50.360 --> 01:46:53.880]   I mean if you live in an apartment or something where I mean, yeah, of course
[01:46:53.880 --> 01:46:59.160]   Absolutely total and they have the eve smoke the eve window guard the eve lock and the eve
[01:46:59.240 --> 01:47:04.760]   aqua, which is a connected irrigation controller and I just love that this stuff is spreading like it's it's going to be everywhere
[01:47:04.760 --> 01:47:11.400]   Soon. I'll just be able to walk around with my iphone or other guys and just say uh water on lock open
[01:47:11.400 --> 01:47:18.920]   Radiator 30 degrees and this is the george jetson future that I have been looking forward to for low those many years
[01:47:18.920 --> 01:47:23.720]   Well, and I love elgato. I use their tv tuners for years and i'm just glad they found another
[01:47:23.720 --> 01:47:25.160]   uh
[01:47:25.160 --> 01:47:27.560]   Avenue to for their great engineering
[01:47:27.560 --> 01:47:32.120]   Absolutely and they've been all in from the beginning and one of the nice things about it is that they don't use a hub
[01:47:32.120 --> 01:47:35.800]   I mean, there are some advantages to hubs and that you can just buy the satellite device
[01:47:35.800 --> 01:47:39.560]   You can swap out a new hub if the technology changes and keep the satellite equipment
[01:47:39.560 --> 01:47:44.280]   But it's also one more thing to buy and with elgato all the logic all the encryption all the transmission
[01:47:44.280 --> 01:47:48.200]   Is built right into the device and that way you just buy the components you need
[01:47:48.200 --> 01:47:50.840]   You don't have to worry about anything being connected to your router or anything else
[01:47:50.840 --> 01:47:52.120]   They just all
[01:47:52.120 --> 01:47:58.040]   Work intelligently and you know, I think that the the radiator valve has to do with the fact that elgato is a german company
[01:47:58.040 --> 01:48:00.920]   Yes, and these must be but just become more common in
[01:48:00.920 --> 01:48:02.920]   Das radiator das laity eta
[01:48:02.920 --> 01:48:10.280]   I just want to know why the sphere is not available in my country the sphere the ava sphere that they have there
[01:48:10.280 --> 01:48:16.200]   I can get the the flare and I can get the bulb, but the sphere is not available in my country
[01:48:16.200 --> 01:48:18.600]   And there must be some very what does the sphere do?
[01:48:19.480 --> 01:48:23.080]   It's a light it's one of their lights. Oh, it's like they're one of the controllable lights
[01:48:23.080 --> 01:48:25.800]   They have three lights and one of them. I was learning the website while you
[01:48:25.800 --> 01:48:28.120]   Was it a voltage is it a voltage issue?
[01:48:28.120 --> 01:48:31.560]   No, it just it's not available. It's like
[01:48:31.560 --> 01:48:36.280]   Transforms your home with beautiful dynamic light moods because it available in Canada
[01:48:36.280 --> 01:48:38.520]   I don't think so. I haven't seen it
[01:48:38.520 --> 01:48:42.760]   They do have an eve core though. So other companies now can also just get the car to make their own home
[01:48:42.760 --> 01:48:44.760]   So this is very much like the hue
[01:48:45.960 --> 01:48:51.560]   Well, I like the sphere that is avia. I think that's avia. That's not the eve stuff. That's the avia stuff. Yeah
[01:48:51.560 --> 01:48:54.840]   Look, you can get an egg that glows on your deck
[01:48:54.840 --> 01:49:00.200]   I like it. Oh, I want this you're right. Okay. Now. I agree with you, Alex
[01:49:00.200 --> 01:49:03.240]   100 bucks
[01:49:03.240 --> 01:49:07.480]   Oh, man, the sphere is even cheaper. Yeah, it's not available in Canada either
[01:49:07.480 --> 01:49:12.600]   It pairs with your watch
[01:49:12.760 --> 01:49:15.800]   Or your phone so you could have your apple watch you could choose to make your
[01:49:15.800 --> 01:49:20.840]   Oh, I want this they got all spheres and flares
[01:49:20.840 --> 01:49:27.000]   Well, why are they product not available in your country, but they charge $99 us so I don't get it
[01:49:27.000 --> 01:49:33.960]   You know, I'm gonna it's available for european sockets. That's why oh type c sock
[01:49:33.960 --> 01:49:38.360]   Doesn't see you could have a green egg next to your green egg. Oh, yeah
[01:49:39.720 --> 01:49:42.920]   I love that. Okay, so they haven't made it for our socket yet
[01:49:42.920 --> 01:49:45.000]   You gotta get there eventually
[01:49:45.000 --> 01:49:49.800]   Elgato despite the name there in germany elgato.com. Thank you Renee. Good pick
[01:49:49.800 --> 01:49:51.640]   So
[01:49:51.640 --> 01:49:53.640]   Andy and aco pick of the week
[01:49:53.640 --> 01:50:01.880]   Uh, this might be an old one, but someone uh friend just gave me a copy of iconic a photographic tribute to apple innovation
[01:50:01.880 --> 01:50:06.760]   Oh, that's such a pretty book. Yeah, it's an amazing it's an amazing coffee table book
[01:50:07.160 --> 01:50:10.360]   Uh apple of course came out with their own like self tribute book
[01:50:10.360 --> 01:50:15.080]   But it this one remembers that there was the time before steve came back to apple
[01:50:15.080 --> 01:50:20.280]   So it covers all of the cool apple design even like you know apple to game controllers
[01:50:20.280 --> 01:50:23.880]   Like every it's all the frog design stuff
[01:50:23.880 --> 01:50:27.720]   Uh the challenges of even making i'm sure i wouldn't find it
[01:50:27.720 --> 01:50:34.760]   But even like a of the apple file server, which is of course the ultimate in just plain gray boxes
[01:50:34.840 --> 01:50:39.880]   But you have to yeah, I think they're like the quadra 950. You know again you have really really
[01:50:39.880 --> 01:50:45.560]   uh utilitarian max that have to look good too and it really is the sort of thing where
[01:50:45.560 --> 01:50:48.120]   Uh every single page is beautifully photographed
[01:50:48.120 --> 01:50:52.440]   There are quotes from johnny. I have another people who are involved in apple design
[01:50:52.440 --> 01:50:57.720]   Throughout that are relevant and informative. Uh, there are a lot of stuff that they uh,
[01:50:57.720 --> 01:51:03.800]   Product they have a lot of stuff that they didn't actually wind up making as well. Uh, you can see
[01:51:04.440 --> 01:51:05.400]   I
[01:51:05.400 --> 01:51:10.920]   Remember when like everybody had you had to make at least one version of your machine
[01:51:10.920 --> 01:51:14.040]   In like clear acrylic for demonstration purposes
[01:51:14.040 --> 01:51:19.160]   And you would beg and borrow to see who has one of these and how you can get them for yourself
[01:51:19.160 --> 01:51:25.400]   Uh, it's just an amazing book and it's it's it's really just another hour of your life
[01:51:25.400 --> 01:51:30.200]   sped just sitting or standing right there at the door because you took it out of the amazon box and
[01:51:30.760 --> 01:51:33.560]   You just wanted to glance through it and it's an hour later. You're still looking through it
[01:51:33.560 --> 01:51:35.640]   It's available in a whole bunch of different editions
[01:51:35.640 --> 01:51:40.760]   The cheapest one is like something like $50 which for a book as beautiful as this
[01:51:40.760 --> 01:51:43.400]   Is just not doesn't seem like a lot of money
[01:51:43.400 --> 01:51:46.360]   Uh, but then you can spend a little more and get the slipcase edition
[01:51:46.360 --> 01:51:51.880]   Uh, or you can even get the one that is housed in special table top slipcase
[01:51:51.880 --> 01:51:54.360]   That looks like an apple too
[01:51:54.360 --> 01:51:58.280]   That's hysterical. Yeah, that is so that's terrible
[01:51:59.000 --> 01:52:03.000]   That's the special edition very special edition very special
[01:52:03.000 --> 01:52:07.800]   Yeah, wow, and I think I think it makes a hell of a gift against it's not it's not a lot of money
[01:52:07.800 --> 01:52:09.880]   But oh boy the amount of impact
[01:52:09.880 --> 01:52:15.800]   That that it creates by just being for anybody who has been a fan of apple anybody who's been an apple user for a long long time
[01:52:15.800 --> 01:52:19.560]   Uh, it's not just nostalgia. It's just appreciating the beauty of design
[01:52:19.560 --> 01:52:22.840]   Uh, apple designers have come and gone
[01:52:23.480 --> 01:52:26.840]   Perp me up before johnny. I came and came to prominence
[01:52:26.840 --> 01:52:31.800]   But the commitment to design was always there and you can definitely see that throughout this entire book. So
[01:52:31.800 --> 01:52:37.400]   They also have an edition that looks like it's got a glowing on off switch
[01:52:37.400 --> 01:52:46.680]   That's hysterical. You know, Alex gumple who is a not a he's a windows user, but he's a collector of vintage max
[01:52:46.680 --> 01:52:50.600]   He has a copy of this. So i've actually seen this book. It's beautiful. Yeah, it's really cool
[01:52:52.280 --> 01:52:56.040]   Iconic and you could find it at iconic book. Oh look in Alex's
[01:52:56.040 --> 01:53:01.240]   Is this is a different one? He says I have a post it note that says this is good too
[01:53:01.240 --> 01:53:07.000]   This is new. I haven't seen is this new? This is from uh harkton with ecelynger the founder of frog design
[01:53:07.000 --> 01:53:10.360]   Keep it simple the early design years of apple
[01:53:10.360 --> 01:53:14.760]   Um, Alex collects all this stuff Alex gumple. Oh, this is nice
[01:53:14.760 --> 01:53:17.640]   Look at that
[01:53:17.640 --> 01:53:19.000]   Wow
[01:53:19.000 --> 01:53:24.760]   I missed the frog design design language. I thought that was really really pretty. Yeah, they just some interesting stuff
[01:53:24.760 --> 01:53:28.440]   They were Lisa era designers
[01:53:28.440 --> 01:53:31.800]   uh Alex wenzi your pick of the week
[01:53:31.800 --> 01:53:38.520]   So I have been uh, I got a one of those little mavics the mavic pro to fly about
[01:53:38.520 --> 01:53:44.600]   It's probably one of the easier ones to do. I'm not recommend. I'm recommending the mavic pro, but that's not my recommendation
[01:53:44.600 --> 01:53:47.080]   I'll do something a little less
[01:53:47.080 --> 01:53:52.920]   Less expensive. Um the the mavic pro is great. Uh, and the dji products in general are pretty pretty fun
[01:53:52.920 --> 01:53:58.360]   One of the one of the one of the avoc there was a thousand bucks. That's uh, that's too much for me. Yeah
[01:53:58.360 --> 01:54:01.000]   Yeah, yeah, but it's it
[01:54:01.000 --> 01:54:05.320]   It's kind of a nice mix of it's not it's not as expensive some of the other
[01:54:05.320 --> 01:54:11.080]   drones we have right, uh, so and it's also super compact you can carry it around um and uh
[01:54:11.800 --> 01:54:15.480]   But what i've been using with it if you have already have a drone if you're and you're listening
[01:54:15.480 --> 01:54:22.920]   Is this thing called drone deploy and and branch nah on our team recommended it to me and uh, so drone deploy what it does is you take
[01:54:22.920 --> 01:54:27.160]   You literally draw a little and this is just more of like take a look at it
[01:54:27.160 --> 01:54:35.240]   And look at the technology now, uh, but you literally go to a google map essentially and you draw an outline of I want to map this area
[01:54:35.240 --> 01:54:40.280]   Um, I want a 2d map and I want a 3d a 3d map of it, uh, you know 3d
[01:54:40.760 --> 01:54:46.680]   You know and and you hit go and it literally just goes up and the the it takes over the drone the drone just goes
[01:54:46.680 --> 01:54:49.720]   Oh, that's what I'm exact exact exact exact exact exact exact
[01:54:49.720 --> 01:54:55.240]   It just and it builds the whole grid you say I want overlap of 65 or I want overlap of this much
[01:54:55.240 --> 01:54:59.400]   And it figures it all out of what it needs to do to do that and it'll tell you oh you need two batteries for this
[01:54:59.400 --> 01:55:02.280]   So it'll go out and it'll go halfway it'll go halfway done
[01:55:02.280 --> 01:55:07.400]   And then it comes back and it lands you swap the battery and then you start it up again and takes off again and goes
[01:55:07.400 --> 01:55:09.480]   That starts where it left off and just keeps on going
[01:55:09.960 --> 01:55:13.880]   And uh and taking the photos and and then if that wasn't good enough
[01:55:13.880 --> 01:55:18.520]   You take all those photos and you uh, you just upload them to their website
[01:55:18.520 --> 01:55:24.760]   And you get back a stitched photo of your of your area and a little 3d, you know, little 3d model of the area
[01:55:24.760 --> 01:55:28.520]   It's extruded it all out and you know popped it all up and I was um
[01:55:28.520 --> 01:55:33.720]   Playing in my family's golf course and I'm trying to map that place for 15 years and I finally, you know
[01:55:33.720 --> 01:55:37.560]   It was 15, you know, it took 25 minutes for do it and then I uploaded it
[01:55:37.560 --> 01:55:41.320]   I came back six hours later and it was cooked, you know, and there it was, you know
[01:55:41.320 --> 01:55:46.760]   And so uh if you already have a dji drone it integrates with it very well and it's just a lot of fun
[01:55:46.760 --> 01:55:51.720]   Uh, and and it shows you the technology of where it's going where you're you know a lot of these apps
[01:55:51.720 --> 01:55:56.520]   What's incredible is is just being able to control these drones without you're not flying it around which is fun
[01:55:56.520 --> 01:56:00.520]   Um, but you're literally saying I need this this this and this and you can even have it
[01:56:00.520 --> 01:56:06.120]   It'll do this thing where you it'll map the whole thing and then around the center. It'll do this big circle kind of at an angle
[01:56:06.600 --> 01:56:10.760]   Um, so you kind of get all the extra kind of side information as well and and watching the drone
[01:56:10.760 --> 01:56:13.320]   Kind of do all that work on its own is
[01:56:13.320 --> 01:56:17.240]   Something very filling about that. I don't know what it is. What do you think is this spark?
[01:56:17.240 --> 01:56:21.560]   So I don't I almost bought a spark. I almost bought a spark
[01:56:21.560 --> 01:56:27.320]   Um, the problem is it doesn't fold so like I was kind of surprised that they built one that didn't that didn't fold
[01:56:27.320 --> 01:56:31.400]   So I was literally I went in to buy I went to a best buy to buy a spark we
[01:56:31.400 --> 01:56:32.920]   um
[01:56:32.920 --> 01:56:34.920]   We were doing
[01:56:34.920 --> 01:56:38.680]   Laser scanning of a location this is light r and um
[01:56:38.680 --> 01:56:44.040]   And what happened was this the line to our system stopped working and so I was like, oh, I gotta get something
[01:56:44.040 --> 01:56:45.880]   I gotta I gotta walk away with some kind of data
[01:56:45.880 --> 01:56:48.840]   So so I was like I went to best buy and I was gonna get the spark
[01:56:48.840 --> 01:56:50.680]   I figured out that'll be enough to do what I need to do
[01:56:50.680 --> 01:56:55.400]   Uh, and then when I opened it up and the and they showed to me I was like, oh, you can't fold the wings
[01:56:55.400 --> 01:56:58.840]   and uh, and so I I went to pack it
[01:56:58.840 --> 01:57:03.880]   It would be very hard to pack and that's the big advantage of the mavic and and the go pro
[01:57:04.520 --> 01:57:05.400]   solution
[01:57:05.400 --> 01:57:09.000]   Um, I chose the mavic because of the integration with all these tools that are already out there
