
[00:00:00.000 --> 00:00:05.760]   It's time for Mac Break Weekly Andy and Akko's here and it's a rare sighting of Alex Lindsey
[01:06:00.280 --> 01:06:04.440]   You know, it's nice to have i like chrome i use chrome on most of my platforms as you could see so
[01:06:04.440 --> 01:06:09.240]   It's nice to have it if you go into the habit now where you go to any other browser and you just start typing searches into the main
[01:06:09.240 --> 01:06:10.520]   Into the main bar
[01:06:10.520 --> 01:06:13.880]   I think i use chrome like by 90 percent of the time. That's exactly why i'm like, and then you're like
[01:06:13.880 --> 01:06:18.120]   What's wrong with these, you know, and then you're gonna fix in the wrong browser fix in it the next safari is gonna fix it
[01:06:18.120 --> 01:06:22.280]   You don't have to worry about that wrong. We'll have one box you enter everything into one box
[01:06:22.280 --> 01:06:27.160]   Firefox doesn't have that although you could still type in the url box the search right it will still work
[01:06:27.160 --> 01:06:31.000]   Um, but you did you didn't bring up a good point leo. I mean i the the
[01:06:31.000 --> 01:06:36.600]   I almost there's almost the moment that I that uh that I started thinking about something
[01:06:36.600 --> 01:06:41.160]   I was I moved over to the during fireball page and I saw the group were was thinking the exact same thing
[01:06:41.160 --> 01:06:47.560]   Which is that man if apple is allowing a third a such a prominent third party browser
[01:06:47.880 --> 01:06:52.280]   But they're not allowing people to change the default browser away from safari
[01:06:52.280 --> 01:06:56.360]   Is that going to be a future source of legal trouble for apple?
[01:06:56.360 --> 01:07:02.680]   Is that going to be a real non-competitive problem that is that it's not a vulnerability that a
[01:07:02.680 --> 01:07:06.440]   A sufficiently
[01:07:06.440 --> 01:07:11.640]   Company that apple has declared war against could make trouble for apple in return
[01:07:11.640 --> 01:07:15.000]   One good thing google
[01:07:15.160 --> 01:07:17.400]   This analysis the google IO you can now edit
[01:07:17.400 --> 01:07:24.200]   Uh google docs look it's huge. I am editing my google
[01:07:24.200 --> 01:07:26.360]   Dark
[01:07:26.360 --> 01:07:31.400]   Right from within ios that's a nice feature. I left to say happy about that
[01:07:31.400 --> 01:07:34.200]   um
[01:07:34.200 --> 01:07:38.040]   Google is working on offline editing as well, although not implemented
[01:07:38.040 --> 01:07:43.480]   Yet that's going to be a nice capability when you can just get on the plane and everything
[01:07:43.480 --> 01:07:46.920]   There that shows up for me every time I get on a plane because I have so much stuff that'll do that a lot
[01:07:46.920 --> 01:07:50.840]   And you're just kind of like oh, yeah, so that's gonna be huge for you. Yeah, yeah, absolutely
[01:07:50.840 --> 01:07:58.280]   I presume it'll do it ios in on the ios ios web market share now past 65 percent
[01:07:58.280 --> 01:08:00.680]   so uh
[01:08:00.680 --> 01:08:05.720]   Net net market share does this ios dominates when it comes to
[01:08:05.720 --> 01:08:09.000]   web access
[01:08:09.000 --> 01:08:11.480]   65 15 percent increase year over year
[01:08:12.040 --> 01:08:14.040]   Android 1 percent
[01:08:14.040 --> 01:08:20.680]   Blackberry 2 percent i probably spent 80 percent of my web browsing on
[01:08:20.680 --> 01:08:27.400]   On uh, why on my iPad or if these numbers about android adoption are correct. Why is android only 1 percent?
[01:08:27.400 --> 01:08:30.120]   iPad
[01:08:30.120 --> 01:08:31.960]   ah
[01:08:31.960 --> 01:08:36.280]   I don't believe I I I haven't read that every time i've seen a number like that
[01:08:36.280 --> 01:08:39.720]   I've seen like how they how they affected it is
[01:08:40.360 --> 01:08:45.400]   Every time i've seen a number like that it turns out that it's been all of ios versus all of android
[01:08:45.400 --> 01:08:49.400]   When you factor in tens of millions of ipads into the equation. It's no it's no wonder
[01:08:49.400 --> 01:08:54.200]   I haven't seen that exact uh that exact study that you're you're quoting right there, but I wouldn't be surprised
[01:08:54.200 --> 01:08:56.520]   It's pretty amazing
[01:08:56.520 --> 01:09:03.720]   Yeah, especially especially because right but it's it's amazing how much traffic full stop is being done via mobile devices
[01:09:03.720 --> 01:09:05.000]   I just hooked up
[01:09:05.000 --> 01:09:09.400]   I just hooked up analytics on my own blog on the celestial waste of plan with just like a month and a half ago
[01:09:09.880 --> 01:09:16.760]   And it really did surprise me that uh by by a considerable stretch most people are in our accessing my blog
[01:09:16.760 --> 01:09:18.680]   Like via some kind of a mobile device
[01:09:18.680 --> 01:09:21.480]   I I would not have predicted that
[01:09:21.480 --> 01:09:23.960]   So android has 50 percent market share
[01:09:23.960 --> 01:09:31.400]   But apple has 65 percent browsing i had to admit that I find that that browsing i mean I have a galaxy s2 that i use probably 30
[01:09:31.400 --> 01:09:33.400]   Of the day and um
[01:09:33.400 --> 01:09:36.920]   Uh, I don't find that browsing on it is particularly easy
[01:09:37.480 --> 01:09:41.160]   It's hard on any phone. It's hard on any phone. It says good on the iPhone. I think it's easier on the iPhone
[01:09:41.160 --> 01:09:43.480]   Okay, I think it's I would go to the iPad or a desktop
[01:09:43.480 --> 01:09:48.280]   I think the auto film on the the auto film on the iphone is better than the android than the s2
[01:09:48.280 --> 01:09:52.120]   There's a patent for that. Yeah, evidently because it's it's really painful
[01:09:52.120 --> 01:09:58.280]   The app store will soon have its own food and drink you'll be happy about this
[01:09:58.280 --> 01:10:03.720]   Griller and bartender its own food and drink category. I already have most of those applications
[01:10:07.240 --> 01:10:10.200]   This is from max stories developers are getting emails
[01:10:10.200 --> 01:10:15.080]   Saying we will migrate your relevant apps to the new food and drink category
[01:10:15.080 --> 01:10:18.440]   If you have a food or drink product
[01:10:18.440 --> 01:10:25.080]   That's good. Yeah, I wonder what they what the criterion is for giving a
[01:10:25.080 --> 01:10:28.040]   Product its own category
[01:10:28.040 --> 01:10:31.240]   Maybe enough flow because I mean the thing is I think that this is the
[01:10:31.240 --> 01:10:34.120]   uh
[01:10:34.120 --> 01:10:37.800]   I think that food and drink is just such a huge place for a platform for university the iPad
[01:10:37.800 --> 01:10:43.000]   Right, that's how I make like crepes or something is that I I put an iPad, you know, carefully way
[01:10:43.000 --> 01:10:47.960]   Yeah, and I go to epicureus and I search for the the crepes that I'm looking for and made
[01:10:47.960 --> 01:10:53.640]   And if you have something like this is the um, I have the logitech ultra sin uh keyboard cover
[01:10:53.640 --> 01:10:57.320]   Which is a keyboard, but it's also a perfect angle for cooking right?
[01:10:57.320 --> 01:11:01.240]   So I use this I actually leave this on my counter in my kitchen all the time
[01:11:01.640 --> 01:11:05.880]   Uh, that's the iPad and yes he throws a towel over the keyboard kind of messy
[01:11:05.880 --> 01:11:10.760]   Exactly. It's kind of but you know the I'll just I run my keyboard through the dishwasher
[01:11:10.760 --> 01:11:16.040]   What can I say bob man's field retiring? He's the heavy set guy you see on all those videos
[01:11:16.040 --> 01:11:19.400]   He's the you know, I had okay, please forgive me for this
[01:11:19.400 --> 01:11:26.440]   Apple, you know when they show the videos they're all very feet nicely dressed and bob man's feels the good blue collar guy
[01:11:27.080 --> 01:11:31.480]   In those videos it makes you feel like it as a guy in there who's who's really getting down
[01:11:31.480 --> 01:11:36.120]   He's doing the job. He's waking he is of course the senior vice president of hardware engineering
[01:11:36.120 --> 01:11:40.680]   Right, but he just looks like that nice blue collar guy in there who's really fixing his stuff
[01:11:40.680 --> 01:11:44.680]   You know, I I can get in there with a wrench you give me a some pliers
[01:11:44.680 --> 01:11:47.800]   And I will fix it. So there's johnny. I've it's very a feat
[01:11:47.800 --> 01:11:54.520]   There's you know scott forest all is very a feat. They're all hipsters. Look at johnny. I have in his black collarless t-shirt
[01:11:54.600 --> 01:11:59.880]   And then scroll down to bob man's hey, I can you give me a wrench a hammer in 15 minutes
[01:11:59.880 --> 01:12:01.880]   I can fix that right away. You give me a
[01:12:01.880 --> 01:12:06.120]   I need a wrench a hammer to chinese dictionary
[01:12:06.120 --> 01:12:08.520]   I'm good to go you catch me with a collar this shirt
[01:12:08.520 --> 01:12:14.600]   You could kick my butt because I am not gonna wear one of them things and uh, yeah, they made me take the pocket protector out just
[01:12:14.600 --> 01:12:18.280]   For this picture, but I'm putting it back in immediately afterwards
[01:12:18.280 --> 01:12:22.120]   He's a real man and he left us. He was like, I'm embarrassed
[01:12:22.760 --> 01:12:25.240]   I'm embarrassed to be with these guys. No, I'm just
[01:12:25.240 --> 01:12:29.080]   I I'm not I'm not the smartest human being in the world
[01:12:29.080 --> 01:12:33.800]   But there's some dumb things that I don't do and that is make comments, but other people's personal appearance. That's all
[01:12:33.800 --> 01:12:40.520]   If we're if we're still doing this podcast as like audio only maybe I think dumb enough to risk it
[01:12:40.520 --> 01:12:46.360]   But I've gotten out of the same that subject you guys can drink your shirt and age your shab leezers there
[01:12:46.360 --> 01:12:50.760]   I give me a good beer anytime. I want to hang town. Hell yeah, that's all i'm gonna drink
[01:12:51.240 --> 01:12:56.120]   Anyway, no employees mentioned in the past five minutes. I think you're all lovely lovely people
[01:12:56.120 --> 01:12:58.920]   Lovely lovely
[01:12:58.920 --> 01:13:02.760]   And of course it's it's completely big and unbiased to me and I apologize
[01:13:02.760 --> 01:13:06.920]   But I love the fact that you get bob man's feel on these videos
[01:13:06.920 --> 01:13:12.840]   And he's just he's he looks like me is always and he's a little heavy set no nonsense no nonsense
[01:13:12.840 --> 01:13:16.120]   Like this is what we had to do it looks like it might be from pittsburgh
[01:13:16.120 --> 01:13:21.180]   Which is always something that I respect. Yeah, don't you think I like that he talks like an
[01:13:21.180 --> 01:13:26.540]   Engineer though. He's an engineer. Anyway, we'll be sorry to miss him. I just wanted to give him a nice farewell
[01:13:26.540 --> 01:13:30.140]   Now that he did that so well
[01:13:30.140 --> 01:13:32.860]   With his prominent position you thought you'd say some things
[01:13:32.860 --> 01:13:38.780]   Hey, I gave up on getting invited apple events a long time ago. Let me tell you right now
[01:13:38.780 --> 01:13:42.380]   Orbitz get this and they and they admit it
[01:13:42.380 --> 01:13:48.140]   When you search orbits, which is the travel site where you get hotels flights so forth when you search orbits
[01:13:48.780 --> 01:13:52.380]   On a mac it recommends more expensive hotels
[01:13:52.380 --> 01:13:59.900]   And and they admit it saying the travel search engine is simply showing users what it thinks they prefer
[01:13:59.900 --> 01:14:03.260]   Orbitz chief executive officer barney harford
[01:14:03.260 --> 01:14:10.540]   Said data collected by orbits shows mac users are 40 more likely than pc users to book four or five star hotels
[01:14:10.540 --> 01:14:15.340]   So we're going to show them the four or five star hotels. This is good business
[01:14:16.700 --> 01:14:21.020]   You see the other ones. It's just it's just what it's list where a windows user i'd be hurt
[01:14:21.020 --> 01:14:26.620]   And here's the thing is all i gotta say is that if you're using orbits to buy your hotels to crazy
[01:14:26.620 --> 01:14:33.340]   That's most mac users your smart windows. You're too smart to do using hotels.com because you get one is that the one for every 10 nights
[01:14:33.340 --> 01:14:37.660]   And they're not paying me to say that i've got like 15 nights waiting for me for free
[01:14:37.660 --> 01:14:41.900]   We should do a travel program. I'd love to do a travel. You are the frequent traveler. I would love to do it
[01:14:42.860 --> 01:14:45.180]   You and johnny jet get you on together. I'm good to go
[01:14:45.180 --> 01:14:50.460]   So where do you use hotels hotels. I'll tell us that calm not price line. No, no, no
[01:14:50.460 --> 01:14:52.460]   Not jet setter. No
[01:14:52.460 --> 01:14:55.500]   Not not hip month. Let me repeat
[01:14:55.500 --> 01:15:00.620]   For every 10 nights you get one free night. See i don't get 10 nights or change in you get real
[01:15:00.620 --> 01:15:03.500]   No, see i get i have like i have like 17 free nights
[01:15:03.500 --> 01:15:08.540]   I do that's because oh wait a minute in order to get 17 free nights at a point out folks
[01:15:08.540 --> 01:15:11.740]   He has to spend 170 nights in a hotel
[01:15:12.700 --> 01:15:15.100]   But how are those hotels in the tenderloi
[01:15:15.100 --> 01:15:19.580]   Still with the really crunchy over here's the best part is that it's just it's just you get
[01:15:19.580 --> 01:15:24.940]   It just discounts whatever you have 10% so i'll have a coupon for like a the average of those 10 nights
[01:15:24.940 --> 01:15:27.820]   So 170 so if I want to stay in a really nice five star hotel
[01:15:27.820 --> 01:15:31.660]   And it's too expensive. It's too expensive for me. I can't afford that kind of thing on my own
[01:15:31.660 --> 01:15:34.860]   I can just get it. I can just discount whatever that cost is as well
[01:15:34.860 --> 01:15:40.780]   And it's great because it keeps your wife from being totally upset with you because you're spent 170 nights in a hotel
[01:15:41.340 --> 01:15:46.220]   170 and that's in a year probably so just to be fair. It's like a lot of the stuff that's booked for our companies
[01:15:46.220 --> 01:15:51.740]   Books through my account. So it's not just me. Oh, okay. All right. All right
[01:15:51.740 --> 01:15:55.660]   I was talking that's when I when I realized that I was talking to someone at hotels.com and i was talking about how much I love
[01:15:55.660 --> 01:15:58.940]   Their their service and blah blah blah and and they said yeah travel ages use it all the time
[01:15:58.940 --> 01:16:02.940]   They just booked everything for their clients through their through their through that account and then they get they get
[01:16:02.940 --> 01:16:04.860]   110
[01:16:04.860 --> 01:16:06.860]   They say yeah, they'll have like 100 cruises work too
[01:16:06.860 --> 01:16:09.900]   You know that's one of the reasons we get these mac mac mania cruises
[01:16:10.220 --> 01:16:12.300]   Is if you book if you if for every I think it's 100
[01:16:12.300 --> 01:16:18.540]   Uh, or I can't remember what is you get a room a free room for every I don't know 50 rooms, whatever it is you book on the cruise
[01:16:18.540 --> 01:16:22.460]   So all the speakers get free rooms, right? I shouldn't say this because Andy
[01:16:22.460 --> 01:16:26.060]   It's probably a little jealous because i'm going Australia November
[01:16:26.060 --> 01:16:29.100]   I'm going next week
[01:16:29.100 --> 01:16:34.300]   Oh, that's that's fine because if I if I if I if I joined that cruise leo my feelings
[01:16:34.300 --> 01:16:37.740]   We've heard because everybody would want to mob you and talk to you
[01:16:38.220 --> 01:16:42.940]   Have you entertained them and I just be the little wallflower now that's so untrue you're such a star
[01:16:42.940 --> 01:16:49.500]   Andy play the ukulele on stage and to roaring applause thunderous applause
[01:16:49.500 --> 01:16:55.260]   Maybe it was because you stopped. I'm not saying
[01:16:55.260 --> 01:17:01.180]   It was for the ukulele perhaps it was for stopping but nevertheless thunderous applause
[01:17:01.180 --> 01:17:08.060]   Although I will say that I've got I have like a I'm an African fire miles to get a ticket anywhere in the world
[01:17:08.300 --> 01:17:11.820]   On American Airlines. I have to but then you have to fly American Airlines
[01:17:11.820 --> 01:17:17.260]   Exactly, but I've also I have to like buy that ticket sometime like in the next month month and a half
[01:17:17.260 --> 01:17:22.700]   So I've been through thinking about saying is anybody wants to like get me a hotel room for three days in a place
[01:17:22.700 --> 01:17:27.180]   I want to go. I've always wanted to go to New Zealand or Australia or Paris
[01:17:27.180 --> 01:17:29.340]   I have a stripey shirt and a berry and I could
[01:17:29.340 --> 01:17:33.180]   Let me be maybe clays Isaacson who's watching us right now
[01:17:33.180 --> 01:17:34.620]   in
[01:17:34.620 --> 01:17:36.620]   Lulia, sweden
[01:17:37.100 --> 01:17:40.140]   It looks like he might have a nice couch. He could probably look at that
[01:17:40.140 --> 01:17:44.460]   He's got it look an old Mac classic there. It looks like it's under glass
[01:17:44.460 --> 01:17:49.660]   That's nice. That's nice. I'm saying butchering his name
[01:17:49.660 --> 01:17:54.940]   Here's uh, here's daniel shiller. He's watching it from his 70s basement
[01:17:54.940 --> 01:18:00.780]   That is so psychedelic carpet. That looks like a holiday in I stay that once
[01:18:00.780 --> 01:18:04.140]   Leo daniel in austin texas. He's at work
[01:18:05.500 --> 01:18:09.900]   How about how about marcus phillix he's watching us in do by today
[01:18:09.900 --> 01:18:12.700]   Let's see if we can get this picture
[01:18:12.700 --> 01:18:16.540]   From the by this turned out to be the best part of the show. I know forget the news
[01:18:16.540 --> 01:18:22.540]   Whoa, is he on the train? I guess so he's listening on the train. Wow. That's Dubai right there
[01:18:22.540 --> 01:18:27.500]   The show has gotten him so depressed. He's walking to the tracks and he's facing away from the train
[01:18:27.500 --> 01:18:31.340]   Just waiting for the sweet release of death chris porter plugged the headphones
[01:18:31.340 --> 01:18:36.220]   There's too much to live for his porters at shot skis having a chicken pesto sandwich
[01:18:36.220 --> 01:18:42.540]   Nice. Hey, schlotski. Schlotski. You know schlotski. Yeah, it's an austin texas original
[01:18:42.540 --> 01:18:48.940]   Oh, shall I say looks weird name awesome sandwich. Yeah, he's actually in lexington, south carolina
[01:18:48.940 --> 01:18:54.060]   That's probably where it was. Hey, let's talk a little bit about audible.com before we go traveling the world again
[01:18:54.060 --> 01:18:56.460]   Maybe he's driving the train watching mac break weekly
[01:18:56.460 --> 01:18:58.940]   He's the train driver in Dubai
[01:18:59.900 --> 01:19:01.900]   That could be what he is
[01:19:01.900 --> 01:19:06.460]   Wow, you should be just keep your eyes on the track. He is. I guess you really have to keep your eyes
[01:19:06.460 --> 01:19:11.340]   You don't have to worry this
[01:19:11.340 --> 01:19:13.180]   Train can't go onto your track
[01:19:13.180 --> 01:19:15.340]   It's very high tech. I'm sure that you're just there to make sure the
[01:19:15.340 --> 01:19:19.340]   Look at all these people tweeting this stuff. It's awesome
[01:19:19.340 --> 01:19:22.060]   Justin kenyan
[01:19:22.060 --> 01:19:24.620]   We got to figure out someone to make a gallery g mccourt jr
[01:19:25.420 --> 01:19:28.380]   Ooh, naughty pine paneling love that
[01:19:28.380 --> 01:19:32.540]   Jason's in his home office. Jason tomsen. He's a son's van
[01:19:32.540 --> 01:19:40.060]   Is anybody listening to the show in hot tub across from their beach volleyball playing a husband or wife
[01:19:40.060 --> 01:19:42.540]   I'm sure that many of us
[01:19:42.540 --> 01:19:45.980]   Viewers would like to see that get sexy with us. How about this baby?
[01:19:45.980 --> 01:19:49.020]   He said the wrong thing. You know the mon tooth's baby
[01:19:49.020 --> 01:19:53.020]   Is he sleepy and all of you who are yeah, it looks like he's sleeping to us
[01:19:54.060 --> 01:19:56.060]   I use it and Sam's watching on his
[01:19:56.060 --> 01:19:57.660]   I said it's a good baby
[01:19:57.660 --> 01:20:03.580]   Oh, Alex is going to get in trouble. Alex sortly he is streaming it on his galaxy nexus
[01:20:03.580 --> 01:20:09.260]   Wow, there you go stick it to the man speak truth to power. Yeah, I got a galaxy nexus
[01:20:09.260 --> 01:20:13.180]   And i'm not afraid to jog with whoo somebody's at the gym working out. That's Jared
[01:20:13.180 --> 01:20:17.100]   Jared jana check he's got he's notice what's missing
[01:20:17.100 --> 01:20:22.860]   Alex you're a weight lifter. Ah, he's looking he's using the 30 pound weights. That's right probably for curls
[01:20:22.940 --> 01:20:26.140]   That's right. This guy's got biceps arms crosses. Yeah
[01:20:26.140 --> 01:20:34.540]   I know that for you audio listeners you really feel that's kind of sexy rust Ford ice nice guys got a dead pig on his
[01:20:34.540 --> 01:20:39.260]   Oh wait, no, that's a dog
[01:20:39.260 --> 01:20:44.380]   It looked like no, it looked like a dead pig those of you listening. You just I don't know what to say
[01:20:44.380 --> 01:20:48.620]   Yeah, your dog is lovely. It's a lovely lovely dog
[01:20:48.700 --> 01:20:53.420]   It just looks like a dead pig from that angle poor dc tech. He got stuck in the basement
[01:20:53.420 --> 01:20:55.820]   Excuse me. You have my staper
[01:20:55.820 --> 01:21:02.460]   And in my ridge steeper. I think this is his office. He's in the basement this poor guy. It looks like this queen on the wall
[01:21:02.460 --> 01:21:08.140]   Nice what nice drum this poor guy. He's sitting on a folding chair
[01:21:08.140 --> 01:21:13.820]   With a 10 it looks like that looks like a 10 inch macbook. I hope that's not your workspace. That's all i'm saying
[01:21:13.820 --> 01:21:17.100]   you're in my nightmare
[01:21:18.300 --> 01:21:20.300]   And here's another one from
[01:21:20.300 --> 01:21:23.740]   Chuck Chuckie Chuck Jacobson
[01:21:23.740 --> 01:21:27.820]   All right back to audible talk
[01:21:27.820 --> 01:21:30.700]   This week in ad
[01:21:30.700 --> 01:21:36.540]   But you know I can't because all these people are sending us I mean there's hundreds of these
[01:21:36.540 --> 01:21:40.780]   Look at all of these there's tons of them
[01:21:40.780 --> 01:21:43.660]   Wow
[01:21:43.660 --> 01:21:46.220]   I've just this twitter stream is jammed
[01:21:47.340 --> 01:21:50.460]   Russ says that's not a dead pig that's spanky the french bulldog
[01:21:50.460 --> 01:21:52.220]   Okay, sorry
[01:21:52.220 --> 01:21:54.620]   Look like a dead pig from that. It's a look like a dead pig
[01:21:54.620 --> 01:22:00.380]   And the baby is named katie. She's a girl
[01:22:00.380 --> 01:22:06.540]   Xam doesn't say whether she's actually sleeping one more picture. This is from why you've been solely in oh
[01:22:06.540 --> 01:22:08.860]   Narvey
[01:22:08.860 --> 01:22:10.860]   That's not your picture
[01:22:10.860 --> 01:22:13.500]   No, no, that's my picture. That's my desktop
[01:22:13.500 --> 01:22:16.460]   It's actually Norway. I think
[01:22:17.420 --> 01:22:22.700]   All right, all right, what were we doing audible audible what we were thinking about it. We're threatening
[01:22:22.700 --> 01:22:30.620]   My personal audio audible concierge is saying can you stay with audible, please stop switching away
[01:22:30.620 --> 01:22:35.980]   No, you don't need to help me. I know everything there's to know about audible because I love that something new
[01:22:35.980 --> 01:22:39.580]   They have the audible concierge. How can I help you? Can I find a book for you?
[01:22:39.580 --> 01:22:41.340]   They've their
[01:22:41.340 --> 01:22:45.100]   Their support has gotten better and better since they I think it's might because they joined amazon
[01:22:45.100 --> 01:22:49.580]   But they it's really good support now. I think it's since they made a lot of money because they have all the books
[01:22:49.580 --> 01:22:55.980]   They have a hundred thousand titles audio books the best audio books. There is no number two is there an audio book. This is it
[01:22:55.980 --> 01:22:57.980]   It's audible is it? Yeah
[01:22:57.980 --> 01:23:02.060]   Uh talk about owning the market and there's a good reason did you see uh
[01:23:02.060 --> 01:23:07.180]   The remains of the day the movie if you haven't read the book. I see they've just released
[01:23:07.180 --> 01:23:11.340]   Simon Preble who's wonderful reading
[01:23:11.340 --> 01:23:13.980]   It's about an english butler
[01:23:14.380 --> 01:23:19.100]   In post-war england and is a wonderful wonderful book. I just saw that cesia. I'm gonna add this to my
[01:23:19.100 --> 01:23:23.660]   My my wish list andy. What are you listening to on audible these days?
[01:23:23.660 --> 01:23:28.780]   Well, uh, I'm revisiting a classic because uh here in new england
[01:23:28.780 --> 01:23:36.060]   Uh huge sharks have been spotted off the coast of chatham on the cape cod because they've been they've been eating seals
[01:23:36.060 --> 01:23:41.340]   And so uh, they are actually you and I look like seals to sharks
[01:23:43.020 --> 01:23:48.300]   Well, yeah, I have that sort of like aerodynamic sort of shape. Yes, this is true
[01:23:48.300 --> 01:23:55.180]   None of those like turbulent turbulence causing like ripples on the front of the chest that you know that would cut down on my uh,
[01:23:55.180 --> 01:23:57.660]   That would increase the water resistance. Um
[01:23:57.660 --> 01:24:03.900]   Uh, and yeah, I'm also sort of the play drives myself by mentioning that
[01:24:03.900 --> 01:24:12.380]   Yeah, I I'm not as familiar with the beaches of chatham on cape cod as I am with the cream and cone restaurant
[01:24:12.780 --> 01:24:17.100]   uh home of immensely good fried clams they're on the very very elbow
[01:24:17.100 --> 01:24:19.660]   area of uh of cape cod
[01:24:19.660 --> 01:24:24.860]   Uh, but yeah, so so they're they're now beach warnings as of there's two more responder this morning
[01:24:24.860 --> 01:24:29.180]   They're saying you know what we're not gonna close the beaches, but if you see seals swimming around
[01:24:29.180 --> 01:24:34.460]   You might not want to be near those seals. You might not want to be look tastier and bigger and pump
[01:24:34.460 --> 01:24:41.180]   Splash if the shark bites you just play dead. Just let it just let it, you know, it'll it'll it'll get bored
[01:24:41.260 --> 01:24:47.500]   It'll spit you out. That's usually I heard you says it probably be fine put your fist into its into its into its uh
[01:24:47.500 --> 01:24:52.460]   Gills
[01:24:52.460 --> 01:24:56.380]   So what was your book though?
[01:24:56.380 --> 01:25:00.060]   Oh, I get you I'm not sure you never guessed it
[01:25:00.060 --> 01:25:05.980]   It's a petro bench lease jaws the unabridged version of it all something like what night uh nearly 10 hours of it
[01:25:06.540 --> 01:25:11.740]   Available on audible good beach book good beach reading good thing to listen to while you're
[01:25:11.740 --> 01:25:14.300]   You know eating your frog clams with the cream and cone
[01:25:14.300 --> 01:25:20.060]   There is also ice cream at the cream and cone by the way, so that's uh is aptly named but gonna need a big a cone
[01:25:20.060 --> 01:25:22.700]   It's like
[01:25:22.700 --> 01:25:26.700]   It's your rice shiner impression
[01:25:26.700 --> 01:25:30.860]   Any any rice shiner impressions long see like sort of mass the tip of your nose down like that
[01:25:30.860 --> 01:25:33.740]   You're gonna
[01:25:33.740 --> 01:25:35.740]   Just right what are you gonna do now?
[01:25:35.740 --> 01:25:42.860]   What a great it's such a good movie, but you know what the book is really the thing I see
[01:25:42.860 --> 01:25:47.900]   I am a fan of audiobooks because they're kind of um, you know, it's in between the printed page and the movie
[01:25:47.900 --> 01:25:53.580]   You're hearing the all the words around the printed page so you get the full book, but you you hear it when you hear it
[01:25:53.580 --> 01:25:55.580]   It somehow becomes visual. I know this sounds weird
[01:25:55.580 --> 01:26:00.460]   But a lot of times I've I've read the book and not seen the movie and I think I've seen the movie because I've seen the book
[01:26:01.020 --> 01:26:05.180]   In my head and if you I'll tell you if you read or listen to I guess peter bedchley's jaws
[01:26:05.180 --> 01:26:10.780]   Oh, it's awesome and you could play the music in the background. Yes
[01:26:10.780 --> 01:26:13.660]   Make it more fun
[01:26:13.660 --> 01:26:16.860]   All right. Well, I'll tell you what you can get this book for free. You can actually get a credit for
[01:26:16.860 --> 01:26:24.940]   Any of audibles books 100,000 strong by going to audible.com/macbreak. That's gonna sign you up for that gold account
[01:26:24.940 --> 01:26:26.780]   That's the book a month subscription
[01:26:26.780 --> 01:26:32.140]   And but your first month's free your first credit is free and the book is yours to keep forever. You cancel any time and pay nothing
[01:26:32.140 --> 01:26:36.060]   Um, I think that's a good choice. And then after you read that you should read it the deep
[01:26:36.060 --> 01:26:38.780]   Another great peter bedchley novel, right
[01:26:38.780 --> 01:26:44.700]   Or shark trouble true stories about sharks and the sea also by peter bedchley
[01:26:44.700 --> 01:26:47.420]   You could really go on and on
[01:26:47.420 --> 01:26:50.620]   Really terrify yourself at the beach. Do you go to the beach Andy?
[01:26:51.580 --> 01:26:58.700]   Yeah, I go at least twice a year once to like a nearby beach that's cold and horrible and just but gauge the credit for going to the beach
[01:26:58.700 --> 01:27:03.820]   And then I actually do go to a beach on the south shore of of uh, uh, kick-aud
[01:27:03.820 --> 01:27:07.100]   I just take the day off beautiful like warm water
[01:27:07.100 --> 01:27:13.740]   And again frad clams frid clams ice cream and pirate theme mini golf. That is a good way to spend the day in wiggles. Yes
[01:27:13.740 --> 01:27:18.300]   now here in uh in providence we have the uh, we have the uh
[01:27:19.100 --> 01:27:21.580]   clam cakes if you have a clam cake
[01:27:21.580 --> 01:27:26.860]   I've had clam cakes often. Yes. They come in a brown paper bag studded with grease spots
[01:27:26.860 --> 01:27:33.820]   That's how you know that inside it dumped you all kinds of vena gan top vena go salt. Well
[01:27:33.820 --> 01:27:36.700]   so good
[01:27:36.700 --> 01:27:43.500]   audible.com/macbreak somebody said in the chair are they have star wars books do they have star 147 star?
[01:27:43.500 --> 01:27:46.380]   They've got every star wars book ever written
[01:27:47.100 --> 01:27:49.180]   On audible in short. Yes. Yes
[01:27:49.180 --> 01:27:55.580]   There's like every one of them is here. They have a lot of ones that i've never heard of yeah
[01:27:55.580 --> 01:28:03.500]   They do have a star wars drama drama. Yeah, this this I think we've recommended before this five hours mark hamill anthony daniels the whole cast
[01:28:03.500 --> 01:28:10.380]   Uh, it's a dramatized audio version of star wars. I think this came from a national public radio
[01:28:10.380 --> 01:28:13.020]   I think they did this
[01:28:13.020 --> 01:28:15.340]   Shortly after the movie came out. So it's episode three
[01:28:16.140 --> 01:28:21.100]   It is dramatized condensed version of it. Yeah, it's quite good
[01:28:21.100 --> 01:28:26.780]   What skywalk is here?
[01:28:26.780 --> 01:28:31.260]   What don't bother me with small fry. Where's the juice? I'm thirsty
[01:28:31.260 --> 01:28:36.140]   Don't bother me with small fry
[01:28:36.140 --> 01:28:38.460]   He must be in that bar
[01:28:38.460 --> 01:28:43.100]   What did you want to tell me chance you were holding up episode four not three. Oh, yeah one two three four
[01:28:43.740 --> 01:28:47.740]   Right. Thank you. You got to keep me honest here was the origin of the first one 97 star wars
[01:28:47.740 --> 01:28:50.300]   Holy trilogy. Holy trilogy
