
[00:00:00.000 --> 00:00:05.060]   It's time for Mac break weekly Andy Renee and Alex are all here
[01:07:55.160 --> 01:07:58.040]   You don't have to pay top dollar for a great device
[01:07:58.040 --> 01:08:04.920]   And you probably would like to get top dollar for your old device. You could do both at gazelle.com
[01:08:04.920 --> 01:08:07.240]   Here's the deal
[01:08:07.240 --> 01:08:10.440]   Give new life to use devices trade them in for cash
[01:08:10.440 --> 01:08:15.800]   Or buy a certified pre-owned device or in my opinion do both
[01:08:16.280 --> 01:08:20.680]   gazelle.com
[01:08:20.680 --> 01:08:25.640]   So your gadget is the fast and simple way with gazelle.com
[01:08:25.640 --> 01:08:29.240]   Tim cook interview with axios
[01:08:29.240 --> 01:08:32.840]   Said some interesting things including
[01:08:32.840 --> 01:08:38.200]   This about bro culture in silicon valley o we met I thought I had the
[01:08:38.200 --> 01:08:43.160]   Had the video here we go the the bro culture in silicon valley
[01:08:43.880 --> 01:08:50.120]   Well, I would have the audio and I'm probably doing something wrong
[01:08:50.120 --> 01:08:56.200]   Different people from different. Let me let me start again. You worry about the male dominated culture out here
[01:08:56.200 --> 01:09:00.120]   I think the valley has been open and accepting
[01:09:00.120 --> 01:09:06.120]   to many different people from different walks of life, but I agree 100%
[01:09:06.120 --> 01:09:09.080]   from a gender point of view that
[01:09:10.120 --> 01:09:16.280]   The valley has missed it and tech in general has missed it. I know for one
[01:09:16.280 --> 01:09:22.600]   We spend a lot of the energy on this and are constantly asking ourselves
[01:09:22.600 --> 01:09:26.680]   How can we improve more and listening to what our folks tell us
[01:09:26.680 --> 01:09:30.280]   And I I got to believe other people are doing this too
[01:09:30.280 --> 01:09:34.280]   And uh, so I'm I'm actually encouraged
[01:09:34.280 --> 01:09:39.800]   At this point that there will be more marked improvement over time
[01:09:40.680 --> 01:09:45.400]   I wonder if johnnie. Yeah, I've told tim to wear frames that matches eyes because that's a good
[01:09:45.400 --> 01:09:49.720]   That's a good look. All right. You can see the entire interview tonight on hbo
[01:09:49.720 --> 01:09:55.880]   On axios. There's a thing. There's a thing called tripods. I was gonna. I didn't want to say but yeah, that's
[01:09:55.880 --> 01:09:58.760]   It was a little shaking at their style
[01:09:58.760 --> 01:10:01.480]   I think we're shocked by bro
[01:10:01.480 --> 01:10:03.880]   Yeah, no, that's their style obviously
[01:10:03.880 --> 01:10:09.400]   It goes along with a lot of beard and uh rolled up jeans and they're trying to compete with vice
[01:10:10.360 --> 01:10:12.600]   Right, the vice doesn't even do that. I don't think
[01:10:12.600 --> 01:10:15.080]   That
[01:10:15.080 --> 01:10:21.640]   To watch for those of you listening it was easy to listen to nice and nice audio also asked about regulation
[01:10:21.640 --> 01:10:27.080]   He said i'm a big believer in the free market, but we have to admit when the free market is not working and it hasn't worked here
[01:10:27.080 --> 01:10:29.880]   I think it's inevitable. There'll be some level of regulation
[01:10:29.880 --> 01:10:35.880]   I think all of silicon valley is kind of holding their breath and tipping and tip towing around waiting for the other
[01:10:36.760 --> 01:10:40.840]   Shoot a drop. I think that silicon valley hasn't proven that they can regulate themselves
[01:10:40.840 --> 01:10:42.200]   I mean they're trying
[01:10:42.200 --> 01:10:47.160]   But they haven't you know the problem is is that you have uh you have companies that they're making a lot of money
[01:10:47.160 --> 01:10:50.680]   And it's not just that making a lot of money. It's not just that they're getting rich
[01:10:50.680 --> 01:10:52.680]   You just have to remember that for a company
[01:10:52.680 --> 01:10:56.360]   They do have to consider this thing called payroll like we own companies
[01:10:56.360 --> 01:11:01.160]   You know, there's a thing called payroll and so changing your business model dramatically
[01:11:01.160 --> 01:11:04.840]   Is not something that you can just do especially when you have tens of thousands of employees
[01:11:04.840 --> 01:11:07.800]   Even if you have hundreds or even tens of employees, you can't just decide you're going to pivot
[01:11:07.800 --> 01:11:10.680]   You know and so for them they have a lot of money coming in
[01:11:10.680 --> 01:11:15.640]   That is related to the thing that people are complaining about and I I guarantee they're back
[01:11:15.640 --> 01:11:18.840]   They're trying to figure out how to engineer their way out of it, but they can't just decide
[01:11:18.840 --> 01:11:22.200]   Okay, this month we're not going to do that anymore because that's bringing in billions of dollars
[01:11:22.200 --> 01:11:27.000]   And that's how you pay for everything and so so I think that we have to understand that that's the issue but
[01:11:27.000 --> 01:11:29.800]   them struggling with that
[01:11:29.800 --> 01:11:33.720]   is taking longer than most people are
[01:11:34.440 --> 01:11:36.520]   Patient for so they do have they have to move faster
[01:11:36.520 --> 01:11:40.520]   But we also have to understand that there are business reasons to continue to work
[01:11:40.520 --> 01:11:43.400]   also part of the problem is that
[01:11:43.400 --> 01:11:46.600]   Oh, google and facebook and twitter particularly
[01:11:46.600 --> 01:11:52.440]   They didn't they when they designed their service and when they created their corporate culture
[01:11:52.440 --> 01:11:56.680]   They were they were not creating an infrastructure for news and communication
[01:11:56.680 --> 01:12:03.480]   Globally they were creating a fun and wacky way to send pictures of your pets and kids to friends
[01:12:04.200 --> 01:12:08.440]   And send and share links and so now that they find themselves in the terrible position
[01:12:08.440 --> 01:12:13.640]   It's kind of like a car manufacturer that suddenly finds themselves making pizzas
[01:12:13.640 --> 01:12:16.120]   Because they don't understand
[01:12:16.120 --> 01:12:17.880]   Conceptually they don't
[01:12:17.880 --> 01:12:23.080]   institutionally they don't understand that if you're selling food the kitchen has to be clean 100% of the time
[01:12:23.080 --> 01:12:29.640]   That it doesn't matter that you have standing inventory of a perishable item. You have to throw it out. You can't just keep using it
[01:12:30.360 --> 01:12:37.160]   That's the analogy that I think really works here. They don't institutionally know how to run a basic infrastructure where
[01:12:37.160 --> 01:12:42.840]   If you screw things up in the simplest of ways, we're not just talking about a couple of people
[01:12:42.840 --> 01:12:45.560]   Get get their feelings hurt
[01:12:45.560 --> 01:12:50.200]   Or or even that people couple people get killed genocide can be powered
[01:12:50.200 --> 01:12:57.320]   By a lack of attention to what people are doing with your platform and they are absolutely not set up to do that
[01:12:57.320 --> 01:13:06.040]   So this is why they are running so far behind the requirements of what needs to be done to maintain twitter and facebook and google as
[01:13:06.040 --> 01:13:12.120]   Potentially instruments of good as opposed to just this horrible horrible thing
[01:13:12.120 --> 01:13:15.800]   This this stick that anybody can grab for free and hit anybody over the head with
[01:13:15.800 --> 01:13:23.880]   Cook says regulation is inevitable of the tech industry. He also says the tech industry shouldn't
[01:13:24.600 --> 01:13:30.280]   As chewity says that regulation is not necessarily the enemy of innovation
[01:13:30.280 --> 01:13:32.920]   uh that you can have both
[01:13:32.920 --> 01:13:34.920]   and uh
[01:13:34.920 --> 01:13:37.720]   So the only the only thing i'll say about that is that that he'll talk about it
[01:13:37.720 --> 01:13:42.520]   He's talking about it in the context of privacy, but I or in or the people's lack of privacy
[01:13:42.520 --> 01:13:46.680]   But but does he think it's inevitable if they decide to say we have to have a backdoor to
[01:13:46.680 --> 01:13:51.400]   Yeah, that's like that kind of inevitable that but i'm just saying that there's that way. What?
[01:13:51.400 --> 01:13:54.920]   Really dangerous talk, you know to talk about that process of saying
[01:13:54.920 --> 01:14:00.040]   You know we think that the government should step in because the government can step in on a whole bunch of different sides of this of this conversation
[01:14:00.040 --> 01:14:03.320]   He yeah, I think he's talking about privacy more than he is
[01:14:03.320 --> 01:14:07.240]   But it's but he's they are fighting off
[01:14:07.240 --> 01:14:12.200]   regulation in other areas, um, you know with some of the stuff the governments want to do
[01:14:12.200 --> 01:14:16.760]   The part that I thought was really good on twitter when you addressed this was when georgias said that
[01:14:17.400 --> 01:14:21.720]   Mark Zuckerberg and uh, saryll samberg they just keep saying we didn't know we didn't know we didn't know
[01:14:21.720 --> 01:14:24.120]   And it's sort of like I didn't know my kid broke that window
[01:14:24.120 --> 01:14:28.520]   But you still have to pay for that window and if you didn't know your kid is breaking all the windows and that becomes
[01:14:28.520 --> 01:14:34.040]   Negligence at some point and if you want to window repair company then it starts to be a little bit malicious
[01:14:34.040 --> 01:14:38.520]   Or benevolent or something like that and that's I think the part that's gonna bite them in the butt
[01:14:38.520 --> 01:14:45.480]   Is that they they keep playing the same dodge deflect or we didn't know achucks game and that that opens up a huge vulnerability
[01:14:45.560 --> 01:14:47.880]   Well, and I will say that these companies are really big
[01:14:47.880 --> 01:14:53.960]   I don't think we understand like the scale of these companies. There is no way he would know or she would know what you don't say that
[01:14:53.960 --> 01:14:56.120]   Like I never said that they're like
[01:14:56.120 --> 01:14:59.320]   The there you know, it's it would be obvious, but I think it's
[01:14:59.320 --> 01:15:00.840]   We think of our little companies
[01:15:00.840 --> 01:15:06.120]   There's no way a company that size that they would know what communications firm was being used to to manage something like that
[01:15:06.120 --> 01:15:10.680]   That is like three layers down from from them to make that decision and it's it is a
[01:15:11.240 --> 01:15:15.160]   It's absurd that we would think that that that they would know that they would be in the
[01:15:15.160 --> 01:15:17.720]   Everything
[01:15:17.720 --> 01:15:19.720]   But it's the answer to everything. It's not the
[01:15:19.720 --> 01:15:22.920]   Thing is is that okay? I think that we
[01:15:22.920 --> 01:15:29.640]   That we think that they're making every decision there and and you know, there's this thing called delegation that happens in these companies
[01:15:29.640 --> 01:15:34.600]   There's tens of thousands of people making decisions and they're not those decisions aren't being made by that person
[01:15:34.600 --> 01:15:37.880]   You know that person's making decision making very high level decisions
[01:15:38.280 --> 01:15:41.240]   Of we need to move down this direction. You know, I don't think that
[01:15:41.240 --> 01:15:43.880]   I'm not saying they have to fix what they're doing
[01:15:43.880 --> 01:15:47.400]   I mean and I and that was a crazy idea to hire that firm to do that
[01:15:47.400 --> 01:15:50.520]   So someone needs to be you know that needs to be sorted
[01:15:50.520 --> 01:15:56.280]   I'm not saying that bad decision, but to assume that people at the very top are making decisions of that granular would be absurd
[01:15:56.280 --> 01:15:59.880]   Sandberg's responsibility for hiring them. She said she knew
[01:15:59.880 --> 01:16:02.920]   Well, I don't care
[01:16:02.920 --> 01:16:07.720]   I recuse myself from Facebook discussions because I've done what any sane
[01:16:08.200 --> 01:16:11.320]   Person should do which is get completely get Facebook out of their lives
[01:16:11.320 --> 01:16:14.840]   It's it's clearly a rogue company
[01:16:14.840 --> 01:16:17.080]   in my opinion
[01:16:17.080 --> 01:16:22.920]   Again, there's institutional character and it was not surprising to me that their reaction to this over the course of the past two years
[01:16:22.920 --> 01:16:26.840]   Has not been there is a problem. It doesn't matter how it happened. It's our response
[01:16:26.840 --> 01:16:30.040]   We are in a position where we can fix it. It's also our responsibility to fix it
[01:16:30.040 --> 01:16:34.360]   Their position is going to start and end with it's not our fault
[01:16:34.440 --> 01:16:41.720]   We got to make sure we deflect attention away even if it means that we have to put other stories into play that make google and apple and twitter look bad
[01:16:41.720 --> 01:16:47.080]   That is the unfortunately. That's the character of facebook. Um, I would also have to with regret
[01:16:47.080 --> 01:16:49.400]   say that
[01:16:49.400 --> 01:16:53.080]   Facebook still has something that no one else can provide which is
[01:16:53.080 --> 01:17:00.120]   If if there is no place else on the entire internet where if I say that oh by the way
[01:17:00.680 --> 01:17:04.920]   I am going to be in the hospital for two weeks having life-saving surgery
[01:17:04.920 --> 01:17:10.600]   And that everybody will if I tweet that all my readers and listeners will like oh my god
[01:17:10.600 --> 01:17:16.200]   I hope things work out. Well, if I put it on pictures on flicker, no one will find out about it. If I put it on facebook
[01:17:16.200 --> 01:17:19.800]   That's the only way that I'm sorry. I should I should have picked a more uplifting thing
[01:17:19.800 --> 01:17:26.040]   But like that's the only place where unfortunately all of my friends were not deep deep deep nerds
[01:17:26.280 --> 01:17:32.280]   And more importantly than that all of my family members are so if I want to find out how my niece did
[01:17:32.280 --> 01:17:37.720]   In a basketball game. I have to go on to facebook to find that and I don't know that
[01:17:37.720 --> 01:17:43.000]   It's I did make the decision a few years ago that I hate facebook
[01:17:43.000 --> 01:17:47.640]   I don't think that they're trustworthy. I'm going to limit the amount of mission the amount of information I give them
[01:17:47.640 --> 01:17:51.960]   But if I don't want to cut myself off from those kinds of interactions
[01:17:51.960 --> 01:17:55.240]   I'm going to have to have I feel as though that transaction is
[01:17:56.040 --> 01:18:00.600]   With great regret worthwhile rene has to run so before you go rene
[01:18:00.600 --> 01:18:04.280]   Uh, I would like to give you I'd like to ask you one question
[01:18:04.280 --> 01:18:07.960]   Should I buy my mom air pods or wait for an update
[01:18:07.960 --> 01:18:15.480]   For christmas, um, I mean there's always again apple has released products in december before they released a smart battery case in december
[01:18:15.480 --> 01:18:19.000]   But it is unlikely and the last rumors I heard was like a springtime
[01:18:19.000 --> 01:18:23.720]   Okay, uh and right now air pods are in stock more than they've ever been before they've always been sort of in a shortage
[01:18:23.960 --> 01:18:27.400]   They're in stock and there's amazing deals on them. Well, that's the second question
[01:18:27.400 --> 01:18:30.840]   Uh apple's event begins the 23rd
[01:18:30.840 --> 01:18:36.760]   That's all they'll say right now historically apple has not given us great deals on black friday
[01:18:36.760 --> 01:18:42.360]   Should we worry should we wait should I mean i'm not going to buy anything to black friday anyway, but
[01:18:42.360 --> 01:18:47.560]   Um, I did I did a video on this last week and like best buy is going to do a hundred bucks off home pods
[01:18:47.560 --> 01:18:50.200]   It's going to be a bunch of sales on air pods. It's going to be yeah
[01:18:50.200 --> 01:18:54.360]   So best buy amazon those sort of traditional retailers are always your best bet
[01:18:54.360 --> 01:18:57.960]   And if you if you miss one don't worry because it's not black friday anymore
[01:18:57.960 --> 01:19:02.680]   It's like black vember fest like a whole month and a half of sales there will be another one
[01:19:02.680 --> 01:19:07.640]   So just keep an eye out and probably find have a few seconds is there pick you wanted to give us before you leave
[01:19:07.640 --> 01:19:11.480]   Oh the new hue playlights. I've got them on behind me right now
[01:19:11.480 --> 01:19:14.600]   I replaced the blooms with those they're they're hard to find in stock everywhere
[01:19:14.600 --> 01:19:18.440]   And I think best buy has an exclusive so you can't get them on amazon in the us
[01:19:18.440 --> 01:19:21.320]   But you can't get them on amazon in other countries, but they are great
[01:19:21.320 --> 01:19:27.560]   You can put them on your tv behind your tv horizontal vertical and they just pump out whatever color light you want rene get out of here
[01:19:27.560 --> 01:19:35.160]   You're great guys so much i'm more dot com rene richy giving yes happy thanksgiving. Well, you think so what a happy thursday
[01:19:35.160 --> 01:19:39.000]   It's just going to be regular thursday for you
[01:19:39.000 --> 01:19:44.120]   Does do canadian celebrate black friday because that makes no sense. We do now
[01:19:45.880 --> 01:19:51.640]   Have a great every one on your cyber monday giving tuesday and i'll see you next week. Absolutely. Thank you guys
[01:19:51.640 --> 01:19:56.840]   Uh, let's take a break and then i'll get andy and Alex's pick of the week
[01:19:56.840 --> 01:20:01.640]   Uh, but first a word in honor of rene from our canadian friends at fresh books
[01:20:01.640 --> 01:20:06.120]   Fresh books is actually a great site ridiculously easy to use cloud accounting
[01:20:06.120 --> 01:20:09.480]   I don't even want to use the word counting because it sounds like it's going to be scary
[01:20:09.480 --> 01:20:15.800]   But but it's not what it really it does is it does the accounting software kind of automatically behind the season
[01:20:15.880 --> 01:20:17.320]   Why you
[01:20:17.320 --> 01:20:21.800]   Do what you want to do you're the small business owner you're in charge of your business
[01:20:21.800 --> 01:20:26.840]   You continue to do business and let fresh books do the hard stuff. It starts with invoices
[01:20:26.840 --> 01:20:32.920]   You know you gotta send those out let fresh books send professional looking invoices. It's easy to create them in seconds
[01:20:32.920 --> 01:20:38.760]   And you can always see with those invoices when not only in their fresh books dashboard when they were sent
[01:20:38.760 --> 01:20:44.440]   But also when they were viewed by your client when they were paid if they're not paid when
[01:20:45.000 --> 01:20:47.000]   Which ones are overdue?
[01:20:47.000 --> 01:20:51.560]   So there you go by just doing that you've got your accounts receivable don't tell anybody you're doing accounting
[01:20:51.560 --> 01:20:53.640]   You just you know you're sending out invoices. That's all
[01:20:53.640 --> 01:20:59.000]   Incidentally because the minute you sign up for fresh books you can accept online payments
[01:20:59.000 --> 01:21:05.000]   That's part of the fresh books deal. You're going to get paid an average of twice as fast turns out your client
[01:21:05.000 --> 01:21:09.480]   Hates paying bills as much as you hate making bills sending bills
[01:21:09.480 --> 01:21:14.440]   So if there's a button that says pay leo now they're going to push that button just get it out of the way
[01:21:14.680 --> 01:21:16.680]   So you get paid twice as fast
[01:21:16.680 --> 01:21:19.720]   So there you go and you can also now let's see that's uh expenses
[01:21:19.720 --> 01:21:25.080]   Yeah, easy to get the expenses into fresh books take a picture with the fresh books app or the receipt boom
[01:21:25.080 --> 01:21:28.920]   It's in there it can go into the invoice, which makes it very simple
[01:21:28.920 --> 01:21:35.720]   Uh effect they'll even import expenses directly from your bank account every day if you set it up to do that
[01:21:35.720 --> 01:21:37.720]   That's part of it. It's an easy deal
[01:21:37.720 --> 01:21:40.680]   Let's see. So that's accounts receivable
[01:21:40.680 --> 01:21:43.480]   That's expenses
[01:21:43.880 --> 01:21:48.840]   I think and then revenue just by based on paid in but I think you pretty much got yes true
[01:21:48.840 --> 01:21:53.400]   Industry standard accounting and you didn't do anything except stuff you do anyway
[01:21:53.400 --> 01:21:58.920]   It's and you can generate and access real accounting reports general ledger trial balance
[01:21:58.920 --> 01:22:05.240]   You could share those reports with your counter financial advisor only impressed them. They'll say wow you're really doing a good job on those books
[01:22:05.240 --> 01:22:06.440]   That's great
[01:22:06.440 --> 01:22:09.720]   Pretty impressive. Oh, yeah, it's just you know i'm good at this i'm good
[01:22:10.040 --> 01:22:16.360]   But you not spend any extra time at all you're doing your business. You're doing your thing the stuff you love let fresh books do the stuff you don't
[01:22:16.360 --> 01:22:22.520]   They add features all the time. It's a web based app so you can create proposals with rich text content and images
[01:22:22.520 --> 01:22:26.840]   You'll now be able to accept e signatures in those proposals
[01:22:26.840 --> 01:22:29.720]   At from your clients. That's awesome
[01:22:29.720 --> 01:22:34.760]   You can send invoices estimates and proposals in multiple languages and multiple currencies
[01:22:34.760 --> 01:22:36.920]   That's what saved my life when I was billing Canada
[01:22:37.320 --> 01:22:43.160]   It's billing rogers in Canada and Canadian dollars and I kind of hated tapping to figure that all out. They just do it automatically
[01:22:43.160 --> 01:22:48.760]   Fresh books has a mobile app as I mentioned. Let you keep tapping your business no matter where you are
[01:22:48.760 --> 01:22:54.520]   And they're always adding new stuff you can search for uncategorized expenses for instance
[01:22:54.520 --> 01:22:57.960]   Something I always wanted to do it if I categorized everything they just do a search you can find them all
[01:22:57.960 --> 01:23:02.840]   Save time automate more of your workflow. They have more than 70 apps and integrations
[01:23:03.800 --> 01:23:07.720]   With fresh books more than 70 different third party applique like everlands for instance
[01:23:07.720 --> 01:23:13.080]   You with everlands you can maximize deductions autumn actually automatically capture every work mile
[01:23:13.080 --> 01:23:15.880]   They've got bulk actions
[01:23:15.880 --> 01:23:19.240]   You can easily delete businesses under your account. You don't have to contact support to do it
[01:23:19.240 --> 01:23:23.720]   And if there's anything you don't understand not only do they have the best support team these nice Canadian folks
[01:23:23.720 --> 01:23:27.160]   But they've got great learning hub videos you can watch
[01:23:27.160 --> 01:23:29.720]   Although I gotta tell you
[01:23:30.440 --> 01:23:34.360]   It's so intuitive you're not probably gonna need to watch those videos, but they're there if you need them
[01:23:34.360 --> 01:23:37.960]   And the year on a high note hit the ground running in 2019
[01:23:37.960 --> 01:23:42.440]   Do it all with fresh books join the 24 million people including me
[01:23:42.440 --> 01:23:47.320]   Who've used fresh books to painlessly send invoices track time capture expenses
[01:23:47.320 --> 01:23:52.280]   You'll always know whether you've made money or lost money at any given time with fresh books fresh books
[01:23:52.280 --> 01:23:56.920]   Try it free for 30 days at fresh books.com/macbreak if you do me a favor though
[01:23:57.560 --> 01:24:05.000]   In the how did you hear about a section? Please put mac break weekly. I just want to make sure that we get credit for fresh books.com
[01:24:05.000 --> 01:24:07.400]   slash
[01:24:07.400 --> 01:24:08.360]   mac
[01:24:08.360 --> 01:24:15.560]   Break andy and not go you're picking a week my friend a couple of tips because you're probably gonna hear this early enough
[01:24:15.560 --> 01:24:18.840]   Before you do your Thanksgiving cooking indoor baking
[01:24:18.840 --> 01:24:25.160]   I just want to share two or three tips that I have considered game changers over the past 10 or 15 years
[01:24:25.800 --> 01:24:27.800]   One of which is crispy turkey skin
[01:24:27.800 --> 01:24:35.880]   Take it off the okay take it off the turkey and make turkey cracklins or like turkey chips instead
[01:24:35.880 --> 01:24:39.720]   You take this you take the skin off while it's still raw. Okay
[01:24:39.720 --> 01:24:44.440]   You basically put it on the put parchment paper over a cookie sheet
[01:24:44.440 --> 01:24:47.400]   Put the turkey skin on there if you want to season it a little bit
[01:24:47.400 --> 01:24:51.080]   That's fine, but it's even fine just as is another sheet of parchment paper
[01:24:51.080 --> 01:24:56.360]   And then like a heavy pot on top of it put it into like a 375 degree free heat an oven for half hour
[01:24:56.360 --> 01:25:01.560]   And you want and serve on the table this basket of like cracked just chips of turkey
[01:25:01.560 --> 01:25:05.560]   Or if you're if you're the household where you don't pass around a platter you basically
[01:25:05.560 --> 01:25:13.000]   Plates get passed forward and someone slices everyone gets like a turkey chip. It's the most wonderful thing
[01:25:13.000 --> 01:25:20.440]   Evac it's almost worth like buying extra turkeys and giving the cats all of the turkey meat just have extra of these chips
[01:25:20.840 --> 01:25:26.680]   Uh, and it's guaranteed crispy turkey skin because you cook the skin separately
[01:25:26.680 --> 01:25:32.280]   Um, the other two tips have to do with making cookies. I'm the cookie person in the family
[01:25:32.280 --> 01:25:34.600]   Uh, two game changers are two
[01:25:34.600 --> 01:25:37.400]   Uh, by making chocolate chip and oatmeal this year
[01:25:37.400 --> 01:25:38.600]   Uh
[01:25:38.600 --> 01:25:43.000]   Take it you probably have seen people like use an ice cream scoop to make sure the portions are
[01:25:43.000 --> 01:25:45.080]   Absolutely identical. That's nice too
[01:25:45.080 --> 01:25:50.040]   But what you want to do is you want to do it the night before make your make your dough
[01:25:50.600 --> 01:25:53.640]   To use the ice cream scoop to make these like half domes of dough
[01:25:53.640 --> 01:25:56.680]   Put them on a baking sheet and put them in the freezer overnight
[01:25:56.680 --> 01:26:01.000]   Because not only does that improve the flavor, but also it the the next day
[01:26:01.000 --> 01:26:03.160]   That's how you get like nice
[01:26:03.160 --> 01:26:07.240]   Thick chewy cookies instead of like spread out or lumpy and crumbly things
[01:26:07.240 --> 01:26:10.200]   It defrost and cooks while it blew it while it bakes
[01:26:10.200 --> 01:26:15.400]   Uh, and also it makes it so much easier that you're just reaching into the kitchen for one two three four five six seven eight nine ten
[01:26:15.400 --> 01:26:19.240]   Half domes put them on the sheet bake them go back in the freezer one two three
[01:26:20.200 --> 01:26:24.600]   And that way you can easily like make fresh cookies that morning without having to be up all night
[01:26:24.600 --> 01:26:28.760]   Uh, and then particularly with like a chocolate a really really sweet cookie
[01:26:28.760 --> 01:26:31.880]   Put some sea salt or some kosher salt on the top of each one
[01:26:31.880 --> 01:26:37.320]   Uh before you bake them they don't know where that extra hit of flavor is coming from but oh my god
[01:26:37.320 --> 01:26:41.400]   It is a game changer. So i gotta write this all down. I really like the one
[01:26:41.400 --> 01:26:43.880]   I'm trying with thanksgiving. I have so much cooking to do i
[01:26:43.880 --> 01:26:49.800]   Like yesterday I made all the lasagnas. I want a bit by bit cook everything and then pop it all in the oven at the end
[01:26:50.040 --> 01:26:53.160]   I even made it I use and this is my this is one of my tips
[01:26:53.160 --> 01:27:00.200]   I used apples reminders and notepad to make a timeline off to ask Stacy tomorrow she did a game
[01:27:00.200 --> 01:27:02.840]   But I had I've three ovens with this shirt
[01:27:02.840 --> 01:27:04.040]   She made a ganture
[01:27:04.040 --> 01:27:07.800]   But I have a june oven and up upper oven alone oven and I have a lot of stuff to do
[01:27:07.800 --> 01:27:12.680]   And all these different temperatures and I had to use a bit I made a timeline. So now on thursday
[01:27:12.680 --> 01:27:18.520]   Nine a.m. Starting at nine a.m. I'm gonna know exactly what to put in when at what temperature and i've got it all figured out
[01:27:19.000 --> 01:27:21.800]   You know that I have cookies because that's a good idea. I like that
[01:27:21.800 --> 01:27:27.240]   That's that's one of the that's one of the really great winds of a sous vide people talk about it for cooking
[01:27:27.240 --> 01:27:34.040]   But it's also beautiful for reheating because uh it's like mashed potatoes make them the day or day or two before
[01:27:34.040 --> 01:27:36.440]   And then just reheat them
[01:27:36.440 --> 01:27:44.600]   Most vegetables I will I can I when comes like green beans I can either have the choice of making beautiful like fully done green beans
[01:27:45.000 --> 01:27:51.560]   Two days before with with almonds and again and the dressing and everything and then reheat them or I can do just plain
[01:27:51.560 --> 01:27:58.280]   Boil them and then shock them butter them and throw them into a dish on the morning of it's so because the sous vide
[01:27:58.280 --> 01:27:59.720]   It's not like it's not like
[01:27:59.720 --> 01:28:04.280]   Nuclea and microwaving something or like putting something in the stove so they they all dry out
[01:28:04.280 --> 01:28:10.840]   It really is it's if it's a wet if it's a moist wet sort of thing stuffing potatoes
[01:28:12.280 --> 01:28:16.920]   Things with sauces it actually will come back right back to life right back to temperature
[01:28:16.920 --> 01:28:19.080]   How long do you sous vide the potatoes for like an hour?
[01:28:19.080 --> 01:28:22.440]   I cook them normally and I just reheat them at
[01:28:22.440 --> 01:28:27.400]   165 usually because people like really really hot potatoes
[01:28:27.400 --> 01:28:32.840]   The only thing 165 is my usual like reheat so that they're piping hot temperature
[01:28:32.840 --> 01:28:36.440]   However, if there's meat in there like a chicken or a turkey or whatever
[01:28:36.440 --> 01:28:39.080]   You've well no a meeting again
[01:28:39.080 --> 01:28:43.880]   Something that some of this already cooked we're talking about reheating the probably sometimes I forget that
[01:28:43.880 --> 01:28:49.000]   If at 165 now you're continue you're continuing the cooking process
[01:28:49.000 --> 01:28:52.760]   And the chicken or the pork that you cook that was perfect at 140
[01:28:52.760 --> 01:28:57.720]   Is now like a little bit tougher and a little bit drier and it's not quite so nice
[01:28:57.720 --> 01:29:01.720]   I I like to get a sous vide that would hold a 16 pound ham
[01:29:01.720 --> 01:29:04.440]   I would be cold
[01:29:05.000 --> 01:29:07.000]   Plus like a pleasant
[01:29:07.000 --> 01:29:09.640]   Vacuum bag about the size of what a hefty bag
[01:29:09.640 --> 01:29:14.360]   I could put actually that's really all I'm missing because I could put an ANOVA and a giant tub
[01:29:14.360 --> 01:29:18.920]   I use that for ribs and a cooler. Yeah cooler or something. I could fit the ham in there
[01:29:18.920 --> 01:29:20.920]   But I need a vacuum bag
[01:29:20.920 --> 01:29:25.720]   It's a 16 pound turkey. It's in a bag now. I'm in a bag now. I wonder if it's sealed
[01:29:25.720 --> 01:29:30.520]   It's probably sealed right? Yeah, I just throw those bags right in a sous vide I have
[01:29:31.480 --> 01:29:33.480]   I take things that are vacuum bag tonight
[01:29:33.480 --> 01:29:38.520]   I've taken all kinds of things that are bagging pack and I just throw them in like I've taken like steaks that are already marinated or whatever
[01:29:38.520 --> 01:29:39.800]   And just that's a good tip
[01:29:39.800 --> 01:29:45.560]   But you know trader joe's does some really nice tri marinated tri tip in a sealed bag. I know those in yeah
[01:29:45.560 --> 01:29:47.320]   I do. Yeah, don't take the label off
[01:29:47.320 --> 01:29:51.880]   Yeah, the label usually doesn't come off you'd want to be careful about that getting sucked up into the ANOVA, but
[01:29:51.880 --> 01:29:56.360]   Yeah, it doesn't come off. It doesn't. Yeah, it's no no good tip sandy
[01:29:56.360 --> 01:29:58.360]   Thank you
[01:29:58.360 --> 01:30:01.960]   By the way, if you want to make a conversation piece out of those uh the chocolate chip cookies
[01:30:01.960 --> 01:30:08.840]   There's if you've ever made ona giri, which is the it's like a rice ball that has it's like an in a triangle
[01:30:08.840 --> 01:30:11.320]   There's a little form you can get on
[01:30:11.320 --> 01:30:14.040]   on amazon that
[01:30:14.040 --> 01:30:20.120]   Forms the the triangle, you know for the for the ona giri it makes a great form for chocolate cookies
[01:30:20.120 --> 01:30:25.720]   You know, it's just it's just different. You know, you just have a you're making chocolate chip cookies that are triangular and
[01:30:26.520 --> 01:30:29.080]   And you can just you can press it you're basically sticking that
[01:30:29.080 --> 01:30:29.960]   I don't know about that one
[01:30:29.960 --> 01:30:34.840]   But but there's ones that that you can just that have a press from the top and you can just press down on it
[01:30:34.840 --> 01:30:37.160]   And it'll form it into this nice little triangle
