
[00:00:00.000 --> 00:00:03.620]   It's time for Mac break weekly Rene Richie and Andy and not go over here
[01:09:13.560 --> 01:09:18.200]   uh about sonos because all they have to do is just make one car trip up to
[01:09:18.200 --> 01:09:21.240]   Amazon headquarters or one car trip up to google headquarters
[01:09:21.240 --> 01:09:26.280]   And put them both against each other saying we want which we're thinking about putting either
[01:09:26.280 --> 01:09:31.800]   Uh, scallop or putting in google assistant into every single sonos product
[01:09:31.800 --> 01:09:35.960]   What can you do for us and they solve that problem? Not only do they solve that problem
[01:09:35.960 --> 01:09:43.160]   There's a there's a there's a argument to be made they could leapfrog apple not maybe not for the audio quality
[01:09:43.240 --> 01:09:45.800]   But certainly from the uh smart assistant quality
[01:09:45.800 --> 01:09:49.720]   So they don't say I think they don't say you have to agree to it or we're going to turn you off
[01:09:49.720 --> 01:09:54.760]   They just say you won't be able to get further updates and that means that you'll probably get decreasing functionality over time
[01:09:54.760 --> 01:10:00.360]   But then by the way, I spent so much on sonos that I know I do i'm handcuffed
[01:10:00.360 --> 01:10:03.960]   What am I gonna do say no, I don't want do you think they'd license it leo or do you think they'd roll their own?
[01:10:03.960 --> 01:10:06.760]   I think they're probably licensed at this point like a little sister and drill
[01:10:07.400 --> 01:10:14.680]   If they want if if they really want to be competitive and I don't I cannot imagine that amazon or google would not be ecstatic
[01:10:14.680 --> 01:10:20.680]   To simply have I have a big problem solved that is to say that we will we will continue to make the $129
[01:10:20.680 --> 01:10:25.160]   A little kitchen speaker, but if someone wants the full symphonic effect
[01:10:25.160 --> 01:10:30.520]   By all means go to our partner at sonos who has the latest version of the assistant or the latest version of our voice assistant
[01:10:30.520 --> 01:10:35.320]   I don't I I don't see that as a problem. I would be surprised if there wasn't some sort of
[01:10:36.440 --> 01:10:41.560]   Red binder already on the shelf ready to be pulled down when it feels like it's the right time to execute that plan
[01:10:41.560 --> 01:10:47.080]   Sonos says users quote can opt out of submitting certain types of personal information to the company
[01:10:47.080 --> 01:10:50.760]   For instance additional usage data such as performance and activity information
[01:10:50.760 --> 01:10:55.480]   We've seen by the way this issue before but most recently with microsoft windows 10
[01:10:55.480 --> 01:10:59.320]   Where if you want to use cortana, you have to agree to give up a lot of stuff
[01:10:59.320 --> 01:11:03.160]   Mostly because everything you say to cortana has to be sent back to
[01:11:03.880 --> 01:11:08.520]   The whole office for analysis and i'm sure that's the same just too because they don't have a mic as far as an owner
[01:11:08.520 --> 01:11:11.480]   Either speaker so they use your smartphone as a mic you have a mic
[01:11:11.480 --> 01:11:13.960]   But I don't think they could use it for this
[01:11:13.960 --> 01:11:18.680]   The many saunter speakers have will adjust right they have I came on what they call
[01:11:18.680 --> 01:11:23.400]   They'll adjust their sound for the room that's true. Yeah, who sticks right? You have to have a mic to do that
[01:11:23.400 --> 01:11:25.800]   Yeah, that's true. So there's a mic in sum at least
[01:11:25.800 --> 01:11:29.320]   Um, but I think I remember when they when they put it in there everybody said oh
[01:11:29.320 --> 01:11:32.520]   Oh, there's a mic in the new sonos speakers are you gonna
[01:11:33.080 --> 01:11:36.920]   Have speech assistant they said no, it's just for the adjusting but maybe
[01:11:36.920 --> 01:11:42.360]   Yeah, I don't know that I would expect them to have an extra accessory you plug into the network to make it work
[01:11:42.360 --> 01:11:48.280]   Because think about exactly how sophisticated the antenna array is even on even on the echo
[01:11:48.280 --> 01:11:58.040]   Uh and think about how sophisticated the pickups are on on the home pod. It's not as realized that the reason the reason why voice assistance tend to fail is
[01:11:58.680 --> 01:12:01.800]   All is not always because of the intelligence
[01:12:01.800 --> 01:12:08.360]   It's because there is not a microphone that is pointed directly at wherever that command is coming from that the device can then hone in on
[01:12:08.360 --> 01:12:11.320]   Uh to make sure that it's getting that that voice accurately so
[01:12:11.320 --> 01:12:15.320]   So sonos says in order for us to provide
[01:12:15.320 --> 01:12:19.800]   The functions we will or do provide I guess the future functions
[01:12:19.800 --> 01:12:23.160]   You'll need to give us your email address your ip address your account login information
[01:12:23.160 --> 01:12:28.440]   Device data information about Wi-Fi antennas and other hardware information room names and error data
[01:12:28.440 --> 01:12:30.440]   That all makes sense
[01:12:30.440 --> 01:12:33.720]   They say we're not going to look at your library and see what you're listening to
[01:12:33.720 --> 01:12:39.800]   Yeah, but it's still valuable valuable information just the simple fact that I have labeled a
[01:12:39.800 --> 01:12:43.160]   Random collection of speakers as living room
[01:12:43.160 --> 01:12:49.560]   And a second as master bedroom and a third as the kids room that in itself is a lot of information
[01:12:49.560 --> 01:12:55.720]   Particularly when you think about how much it also contains how much money i've spent on speakers in each one of those three rooms
[01:12:56.280 --> 01:13:00.680]   It's it's I can't I wish I I wish I could even tell myself
[01:13:00.680 --> 01:13:05.880]   Whether or not this is something to get annoyed about or something. That's not a big deal on one level
[01:13:05.880 --> 01:13:09.240]   It isn't it is not a big deal because if they want to continue to add services
[01:13:09.240 --> 01:13:15.320]   They're going to have to be able to connect you to those services without having to make you click through in another agreement every single
[01:13:15.320 --> 01:13:18.120]   Time they add another service like this on the other hand again
[01:13:18.120 --> 01:13:22.520]   This is complete. This is definitely valuable information from them to have and if they if they are
[01:13:23.480 --> 01:13:25.480]   barring a federal law
[01:13:25.480 --> 01:13:30.280]   Defining my personal information as something that I owned and I simply licensed to
[01:13:30.280 --> 01:13:35.880]   Companies like sonos for my benefit and I can restrict that restrict or rescind that license at any time
[01:13:35.880 --> 01:13:41.320]   There's absolutely no reason why sonos would take a look at this big bag of money on the table
[01:13:41.320 --> 01:13:44.920]   Labeled sell and he's personal information to a tire company
[01:13:44.920 --> 01:13:50.360]   And say well, it's it's legal for us to do it. We have the data. We have his agreement. We can salt to anybody
[01:13:50.600 --> 01:13:53.000]   Why would we not pick up this big bag of money on the table?
[01:13:53.000 --> 01:13:56.440]   Funny
[01:13:56.440 --> 01:13:58.280]   Plex by the way is doing a similar thing
[01:13:58.280 --> 01:13:59.240]   They updated their
[01:13:59.240 --> 01:14:02.280]   The updated the terms of service essentially saying that we said we
[01:14:02.280 --> 01:14:07.240]   Previously we said that we're not looking we don't have any information on you that we're keeping now
[01:14:07.240 --> 01:14:10.120]   We're saying that we do have we are going to be keeping information about you
[01:14:10.120 --> 01:14:15.800]   That the phrasing of it suggests that it's not like they're going to market your information
[01:14:16.040 --> 01:14:19.160]   It's more like they're they're going to add new services like live tv
[01:14:19.160 --> 01:14:22.840]   Like they're going to add new services that again require access that sort of thing
[01:14:22.840 --> 01:14:27.560]   But once again every time you give something up you're not getting something back for it
[01:14:27.560 --> 01:14:33.400]   And that's so cause for concern analysts piper jafree surveyed teens and found
[01:14:33.400 --> 01:14:39.320]   Wow a big change between spring 2016 and spring 2017
[01:14:39.320 --> 01:14:43.240]   In the year intervening
[01:14:43.240 --> 01:14:45.880]   76 now teens have their own
[01:14:46.600 --> 01:14:48.440]   Phone and it's an iPhone
[01:14:48.440 --> 01:14:53.800]   And 81 expect their next phone to be an iPhone
[01:14:53.800 --> 01:15:00.840]   That is that is huge domination of a very important market segment for people who
[01:15:00.840 --> 01:15:07.960]   You know are following along you want to get those teens hooked on your iPhones early because that that means a lifetime of phone buying
[01:15:07.960 --> 01:15:14.200]   uh juseppe stuto who is the ceo from a fam smack high and ux junkie
[01:15:15.640 --> 01:15:18.840]   Says that's a good news for iam message
[01:15:18.840 --> 01:15:23.480]   And it makes sense. I mean we talk all the time about market share for what's happened
[01:15:23.480 --> 01:15:27.160]   And you know a facebook messenger, but really
[01:15:27.160 --> 01:15:30.920]   If you have 76 percent of all the teens
[01:15:30.920 --> 01:15:37.560]   And they're all using iMessage. That's the dominant messaging platform forget those other guys at least in the
[01:15:37.560 --> 01:15:41.720]   Now they're putting apple pay into it and they're increasing the value of just being inside that ecosystem
[01:15:41.720 --> 01:15:47.880]   And it's also one of the reasons so many teens do use it because if you don't use iMessage if you're on android you're left out
[01:15:47.880 --> 01:15:53.640]   You can get text messages, but you don't get the you know group messaging you don't get all the fun
[01:15:53.640 --> 01:15:56.200]   Get the laser scream don't get lasers
[01:15:56.200 --> 01:16:00.520]   And you wouldn't and i presume wouldn't get paid
[01:16:00.520 --> 01:16:05.000]   You use it well you have third party integration so like venmo and things like that
[01:16:05.000 --> 01:16:07.560]   But the built-in stuff is always nice the more you can increase the value
[01:16:07.560 --> 01:16:11.080]   I mean it's it's an old game plan and we chat is mastered this to a
[01:16:11.480 --> 01:16:18.120]   Beyond anyone else's art and science, but the more you can create value in the communications layer the more you that becomes the platform for people
[01:16:18.120 --> 01:16:20.600]   Yeah, iMessage doing okay
[01:16:20.600 --> 01:16:26.280]   Although you have to point out centennial is actually spell it i i i i p h oh
[01:16:26.280 --> 01:16:29.320]   And e when they ask their parents to buy them
[01:16:29.320 --> 01:16:31.240]   Really?
[01:16:31.240 --> 01:16:34.520]   No, well, that's you see that like the texting is now iPhone me
[01:16:34.520 --> 01:16:37.160]   Yeah
[01:16:37.160 --> 01:16:40.440]   Well kit you know it's funny because uh, I noticed this when my kids were teenagers
[01:16:41.080 --> 01:16:44.040]   They they always would add a vowel they go dad
[01:16:44.040 --> 01:16:47.240]   And
[01:16:47.240 --> 01:16:49.240]   exasperation dad
[01:16:49.240 --> 01:16:53.480]   And um, I think that this is just that turned into text
[01:16:53.480 --> 01:16:56.200]   iPhone
[01:16:56.200 --> 01:16:58.680]   Yes, iphone
[01:16:58.680 --> 01:17:01.160]   Daddy
[01:17:01.160 --> 01:17:04.920]   It's like those those people at on twitter who every christmas they retweet people who are angry
[01:17:04.920 --> 01:17:08.760]   They only got a car and an iphone for gifts so it was 69
[01:17:09.160 --> 01:17:12.840]   November 2016 April 2017 76 percent that is
[01:17:12.840 --> 01:17:15.640]   massive growth
[01:17:15.640 --> 01:17:17.880]   Methif growth
[01:17:17.880 --> 01:17:19.800]   You know
[01:17:19.800 --> 01:17:25.080]   I we were talking about this and I was today. I said really that's kind of surprising given how expensive the iphone is but megan reminded me
[01:17:25.080 --> 01:17:29.000]   There are a lot, you know, there's hand me downs. Yeah a lot of hand me
[01:17:29.000 --> 01:17:34.040]   There's the se in fact, I just got an offer from atnt for a free se if I signed up for two years
[01:17:34.040 --> 01:17:37.320]   So there are ways to get cheaper free iphones
[01:17:37.720 --> 01:17:42.520]   When you see a lot of older people like people who using at least I still see out and about people using iphone
[01:17:42.520 --> 01:17:47.320]   Five iphone five s that they got from their parents or their over sibling or their you know, whoever and I miss works
[01:17:47.320 --> 01:17:52.200]   Just as well on that and they've got good build quality and they generally I mean they there are problems
[01:17:52.200 --> 01:17:56.520]   Of course, but they generally seem to last for several years and they get updates for several years, right
[01:17:56.520 --> 01:18:02.600]   Uh anything else we uh, we should mention here. I'm just looking real quickly
[01:18:04.040 --> 01:18:08.200]   Apple says they're going to spend a billion dollars. We already talked about that on hollywood programming
[01:18:08.200 --> 01:18:10.440]   Netflix topped that
[01:18:10.440 --> 01:18:13.880]   Netflix announced they were going to spend $7 billion
[01:18:13.880 --> 01:18:16.920]   So can I just make a plea right now to netflix, please adopt
[01:18:16.920 --> 01:18:20.600]   Core ml because the recommendations i'm getting from you lately
[01:18:20.600 --> 01:18:25.640]   They make me super sad and I think if you could do some rene like when he doesn't like when he doesn't like when he likes rene
[01:18:25.640 --> 01:18:29.160]   Likes you could give me like thrifter for netflix you could give me much better results
[01:18:29.160 --> 01:18:33.160]   You don't you suppose you see i bet what you're not doing you're not rating every movie after you watch it
[01:18:34.120 --> 01:18:36.120]   But it still says 97 percent
[01:18:36.120 --> 01:18:39.960]   Uh, like 90s rating for you and I look at it. I said i'm never wrong
[01:18:39.960 --> 01:18:44.360]   Yeah, I have never watched anything like you sir. I would never watch anything. Yeah, no, it's completely wrong
[01:18:44.360 --> 01:18:48.440]   But you together you gotta rate your movies on netflix if you want better recommend it
[01:18:48.440 --> 01:18:54.040]   You see like I watch a lot of terra this is a thing though is that there are movies that I think are brilliant that I don't like and movies that I know
[01:18:54.040 --> 01:18:57.080]   We're horrible and I just love that i'll watch that you're confusing it
[01:18:57.080 --> 01:19:01.080]   Well, i'll watch that Schwarzenegger's sheriff movie when he's retiring for the ninth time
[01:19:01.080 --> 01:19:05.080]   We're all watched that even seagull thing which clearly got a squirrel on your head no taste
[01:19:05.080 --> 01:19:08.280]   I know but it's like it's fun to watch and I just I want it to now
[01:19:08.280 --> 01:19:12.680]   But then i'll see like a brilliant merch and ivory movie and i'll just say not not for me
[01:19:12.680 --> 01:19:17.880]   I can't take a third queen's guard in this in this sequence. Yeah, so i'm it's a tough part
[01:19:17.880 --> 01:19:22.280]   Anything to say about we got beta six in the public beta
[01:19:22.280 --> 01:19:25.240]   Vio s 11 and the developers got beta seven
[01:19:25.240 --> 01:19:28.600]   Seems like the pace the cadence has sped up
[01:19:29.160 --> 01:19:34.760]   That anything to say is there is it bug fixes at this point do we get any new features in uh in beta six
[01:19:34.760 --> 01:19:41.480]   They've been making a lot of adjustments like they famously they stopped the the x behavior on the cards in the
[01:19:41.480 --> 01:19:45.320]   In the scene view, there's already the fast apps which are on ipad
[01:19:45.320 --> 01:19:49.480]   They've added the swipe back to the notifications on iponkibor upset that you didn't have those
[01:19:49.480 --> 01:19:52.280]   They've added those back they've tuned a lot of behaviors
[01:19:52.280 --> 01:19:54.760]   Just based on feedback
[01:19:54.760 --> 01:20:00.120]   To work at a lot of these are discussions and a lot of them don't have clear winners as people who have opinions on both sides and
[01:20:00.120 --> 01:20:04.520]   Getting feedback from tens of thousands of people helps you own in on the better approach
[01:20:04.520 --> 01:20:10.120]   And it also it also shows you the stuff that's now at the bottom of the list they're they have time to get to know
[01:20:10.120 --> 01:20:12.920]   So yeah, that's it's it's a good sign that we're really close
[01:20:12.920 --> 01:20:19.080]   Well, here's another sign apple has put up as you mentioned earlier in the show rene videos on how to use ios 11
[01:20:19.080 --> 01:20:21.480]   Yep, which is kind of unprecedented
[01:20:21.480 --> 01:20:25.480]   I mean, I don't remember them doing this before with a version of ios that isn't out yet
[01:20:25.480 --> 01:20:30.360]   I would be breaking nda if I'd done this in previous years. Yeah, right? They certainly couldn't do it
[01:20:30.360 --> 01:20:33.720]   Certainly not while I was writing books on this stuff. Yeah, yes
[01:20:33.720 --> 01:20:39.720]   I mean, I think they could even said we should a working version of a feature under nda while I was writing books on this stuff
[01:20:39.720 --> 01:20:42.760]   Here's uh, here's how to use the doc apparently involves lightning
[01:20:42.760 --> 01:20:48.040]   How to harness the power of the amazing new doc must have shot that during winter
[01:20:50.920 --> 01:20:55.320]   Your hands are test like coins. Ios 11 you need a can from look from it. Look familiar rene
[01:20:55.320 --> 01:21:01.640]   For starters, you can customize your doc with even more of your favorite apps by just dragging them in by the way
[01:21:01.640 --> 01:21:07.560]   This voice sounds very young if you want to open a recent file like touch and hold an app like a teenager
[01:21:07.560 --> 01:21:10.600]   Show less
[01:21:10.600 --> 01:21:13.320]   Which tells you something that's the market apple would love to get
[01:21:13.320 --> 01:21:17.480]   They want all these kids to buy these for their school or laptop, right?
[01:21:17.480 --> 01:21:18.840]   and
[01:21:18.840 --> 01:21:20.840]   drop
[01:21:21.320 --> 01:21:24.280]   And that's how to harness the power of the amazing new doc
[01:21:24.280 --> 01:21:29.080]   Sounds like Emma ston a little bit
[01:21:29.080 --> 01:21:32.440]   Actually for all I know it really is who
[01:21:32.440 --> 01:21:37.640]   The apple certainly has the money to afford that. Yeah, lake bells for a while. I like those commercials. Yeah
[01:21:37.640 --> 01:21:41.080]   Here's uh, how to easily manage your files and folders with the new
[01:21:41.080 --> 01:21:45.080]   File app. I have to open these in a separate page for some reason on my
[01:21:45.800 --> 01:21:51.080]   Lineage and fly through your files using the new search. She's in a wind tunnel with smoke trails. What you'll need
[01:21:51.080 --> 01:21:55.160]   Ios 11 and an iPad
[01:21:55.160 --> 01:22:01.720]   And donut 11 your stuff is all in one definitely aiming at kids and just open up the files app
[01:22:01.720 --> 01:22:07.560]   Now you can manage your most recent files and folders or you can ever send your files and folders
[01:22:07.560 --> 01:22:10.680]   You can even make and manage favorites
[01:22:11.160 --> 01:22:15.320]   Donut is there anything you can search your files from a
[01:22:15.320 --> 01:22:18.680]   Different I know I know we're supposed to be focusing the tutorial
[01:22:18.680 --> 01:22:25.480]   But all I can think about is that donut money. How much money they spent making a hundred donuts
[01:22:25.480 --> 01:22:27.480]   selecting
[01:22:27.480 --> 01:22:29.480]   Three that were okay
[01:22:29.480 --> 01:22:35.640]   And then how complicated that move of hand goes in lifts up donut and and enters the frame again
[01:22:35.640 --> 01:22:37.560]   And there's a bite taken out of it
[01:22:37.560 --> 01:22:42.600]   If that wasn't if they didn't spend like one 60 amount of money that picks our spends an entire feature
[01:22:42.600 --> 01:22:48.200]   Just on that move. Oh, and finally it turned out craig had the perfect bite after all the donut
[01:22:48.200 --> 01:22:51.560]   It was the one that craig had just picked up when he wasn't supposed to but you know, it's a contractor
[01:22:51.560 --> 01:22:56.760]   Somebody like Alex Lindsay doing it. It's not you know, all right. Here's one that involves arubics cube
[01:22:56.760 --> 01:22:59.720]   And chopsticks done more quickly
[01:22:59.720 --> 01:23:03.640]   With multi-tastic. Oh, he caught the fly with a chopstick like mr
[01:23:03.640 --> 01:23:05.960]   Is on me yaki right
[01:23:06.200 --> 01:23:10.600]   Say you're putting together a keynote presentation. So that's a that's a good my generation
[01:23:10.600 --> 01:23:15.160]   Swipe up to open the dock. I don't think any teenagers remember the karate kid or do that
[01:23:15.160 --> 01:23:16.680]   It is on your screen
[01:23:16.680 --> 01:23:18.680]   Oh, yeah, the horrible new little smith version
[01:23:18.680 --> 01:23:22.840]   Not well, but jade windows are live with de jade and smiths have a chopstick fly
[01:23:22.840 --> 01:23:26.040]   Probably not
[01:23:26.040 --> 01:23:28.200]   Wow
[01:23:28.200 --> 01:23:32.280]   And he saw the rubix cube with his left hand with multi-tasking
[01:23:32.280 --> 01:23:35.080]   That's actually pretty cool. Good job hands
[01:23:36.040 --> 01:23:38.040]   Oh three of them
[01:23:38.040 --> 01:23:41.080]   Oh, that's confusing as hell
[01:23:41.080 --> 01:23:43.800]   Three armed man
[01:23:43.800 --> 01:23:47.400]   My wife was killed by a three armed man, you know though, you know now
[01:23:47.400 --> 01:23:49.400]   I now understand what the donut and this chopstick
[01:23:49.400 --> 01:23:53.160]   You go to the next video to find out what prop they use in the next video, don't you?
[01:23:53.160 --> 01:23:55.720]   That's the whole whole point of that
[01:23:55.720 --> 01:24:00.600]   How to ask a scam sign and send a document so they're making the pencil float
[01:24:00.600 --> 01:24:03.960]   Wow pencil and an ipad pro
[01:24:04.360 --> 01:24:06.360]   That was cool with iOS and three hands
[01:24:06.360 --> 01:24:11.640]   And this is super simple first black coconut notes
[01:24:11.640 --> 01:24:15.640]   I'm sorry. It's buffering
[01:24:15.640 --> 01:24:20.920]   Start by tapping the plus plus knows we're seeing diversity in the hands as well. Yes
[01:24:20.920 --> 01:24:26.520]   Diversity it's the new the new diversity. It's like a
[01:24:26.520 --> 01:24:29.960]   Well, at least the hand models are ever gonna merigone
[01:24:31.480 --> 01:24:33.880]   Okay, you're all set to sign but first
[01:24:33.880 --> 01:24:39.880]   Not so much in the in the yeah. Oh coffee ring who painted the coffee ring
[01:24:39.880 --> 01:24:43.720]   And how many times did they have to paint the coffee ring to be perfect, right?
[01:24:43.720 --> 01:24:50.520]   Look at that. Oh perfect coffee ring perfect. They're not just not just that but they had to get approvals on that ring
[01:24:50.520 --> 01:24:52.600]   Do you think?
[01:24:52.600 --> 01:24:55.640]   I bet you I'm sure i'm sure jonnie signed off on it. Yeah
[01:24:55.640 --> 01:24:59.080]   That's not exactly the ring. I was imagining
[01:24:59.720 --> 01:25:01.720]   Whoosh
[01:25:01.720 --> 01:25:04.280]   Sign and send a document
[01:25:04.280 --> 01:25:09.880]   Wow, so yes, it got to get the guy get the magnets in the right place for the hover mode
[01:25:09.880 --> 01:25:12.120]   You were right
[01:25:12.120 --> 01:25:14.760]   So there's quite a few of these had a markup stuff how to
[01:25:14.760 --> 01:25:17.960]   Get around with multi touch
[01:25:17.960 --> 01:25:22.200]   But not not only that but they're short enough that even if people don't use those features
[01:25:22.200 --> 01:25:28.040]   They're aware that these features exist and that's kind of like what we were discussing earlier about how it's difficult when you have
[01:25:28.600 --> 01:25:34.440]   A touch operating system that has features that aren't behind a button or behind a menu or something like that
[01:25:34.440 --> 01:25:38.360]   You have to you have to be taught that you can drag stuff off of
[01:25:38.360 --> 01:25:42.040]   A window tile and into the dock
[01:25:42.040 --> 01:25:46.280]   Icon and then drag it back into someplace else again
[01:25:46.280 --> 01:25:50.440]   These these these are things that people are probably not might not figure out on their own
[01:25:50.440 --> 01:25:55.320]   I mean, I myself in the share in the share sheet and just the regular ios
[01:25:55.480 --> 01:25:59.880]   It took me a long time to realize that I don't have to keep my if I want to
[01:25:59.880 --> 01:26:04.760]   Share something to drop box. I don't have to keep scroll scroll scroll sideways to reveal the drop box icon
[01:26:04.760 --> 01:26:08.600]   I could just press and hold it and then drag it to the number one position
[01:26:08.600 --> 01:26:11.880]   It took me a shockingly long time to figure that out
[01:26:11.880 --> 01:26:16.120]   Because there wasn't a there wasn't an obvious pip or an obvious guide
[01:26:16.120 --> 01:26:21.240]   On the screen to show me though, by the way, you if you hold if you're pressing hold on something it does something
[01:26:21.560 --> 01:26:25.240]   So these even if this isn't really teaching people how to do something use a feature
[01:26:25.240 --> 01:26:30.120]   They're actually going to use it's going to show them that this feature at least exists and they might remember it later on
[01:26:30.120 --> 01:26:36.040]   You know, they if they were smart they put those in snapchat by some maybe they are I don't know buy some snapchat ads
[01:26:36.040 --> 01:26:42.360]   That's where the teens are right or or they're on instagram now. Yeah, I bet they are actually i've seen apple ads i think an instagram
[01:26:42.360 --> 01:26:48.280]   The reason i think it's snapchat is i just read that nbc news, which i didn't know this they have a special
[01:26:48.280 --> 01:26:50.760]   News show just for snapchat
[01:26:51.400 --> 01:26:55.000]   There are a couple minute long news updates a couple of times a day
[01:26:55.000 --> 01:26:58.440]   29 million viewers in the first month
[01:26:58.440 --> 01:27:02.840]   29 and this isn't even the premier platform anymore
[01:27:02.840 --> 01:27:08.600]   If that's what i'm glad i'm glad that they're not wearing t-shirts
[01:27:08.600 --> 01:27:13.400]   I don't I don't know why that annoys the hell out of me that there's i saw a
[01:27:13.400 --> 01:27:15.720]   a
[01:27:15.720 --> 01:27:19.160]   I don't know if you call it beta, but let's sort of sort of a test show of
[01:27:19.480 --> 01:27:25.480]   This company that was bought out by a huge company media company for 12 13 million dollars
[01:27:25.480 --> 01:27:32.440]   And so here's some of the things we're working on on our new news show and it is again your basic scrawny guy who could be 22
[01:27:32.440 --> 01:27:38.200]   Could be 41 in a t-shirt unshavin with this very very self-consciously
[01:27:38.200 --> 01:27:46.200]   Homemade like news map behind him saying just don't pretend you have you're not a 14 million dollar company
[01:27:46.200 --> 01:27:47.880]   You could you could buy you go on amazon
[01:27:47.880 --> 01:27:51.160]   You could buy a map of the world that hang it behind you if you wanted to
[01:27:51.160 --> 01:27:53.800]   You could shave and you could put on a halfway decent shirt
[01:27:53.800 --> 01:28:00.120]   If you want to do don't pretend that you're just a bunch of exciting kids making your way in the big city trying to reinvent the platform
[01:28:00.120 --> 01:28:02.120]   You're not come on
[01:28:02.120 --> 01:28:06.840]   How's your power situation there Renee? It's been going on and off, but I think i'm good
[01:28:06.840 --> 01:28:13.960]   Uh, well, you know what I I back on right now. Okay. I'm just nervous. So I tell you what let's
[01:28:15.160 --> 01:28:17.720]   Wrap this up and get your pick of the week
[01:28:17.720 --> 01:28:21.800]   Uh here so that we we don't have the embarrassing
[01:28:21.800 --> 01:28:25.000]   Darkness hit your scrum Charles gone dark much
[01:28:25.000 --> 01:28:31.560]   Dark actually we were talking about where your teens can get their inexpensive iPhones so they can be like every other teen
[01:28:31.560 --> 01:28:36.120]   Gazelle of course gazelle calm
[01:28:36.120 --> 01:28:43.400]   For trade-ins you go to gazelle calm find your device and get an instant quotes great place to sell your old devices shipping is free
[01:28:44.200 --> 01:28:49.160]   Payment is fast by the way you can trade in your pixel or your galaxy s8 phone
[01:28:49.160 --> 01:28:53.320]   Why do they say that because here comes the pixel too and the galaxy note eight
[01:28:53.320 --> 01:28:55.880]   This is I love it because
[01:28:55.880 --> 01:29:00.360]   If you something like me who wants the latest and greatest is really nice to be able to sell
[01:29:00.360 --> 01:29:03.960]   That old phone and kind of subsidize the purchase of the new phone
[01:29:03.960 --> 01:29:09.960]   It's also a great place for parents to get an iphone for their teens or for you to get a great deal on a phone
[01:29:10.520 --> 01:29:16.200]   Gazelle is an incredible selection of quality pre-owned phones and other devices at great prices iphone
[01:29:16.200 --> 01:29:19.320]   567 even the 7 plus
[01:29:19.320 --> 01:29:22.920]   iPad airs mini ipad pros
[01:29:22.920 --> 01:29:29.560]   For laptops you can take a look at the macbook air and the macbook pro you can even get an android phone is a galaxy phone
[01:29:29.560 --> 01:29:37.560]   They've got a great selection every device when you're buying a pre-owned phone at gazelle is fully inspected and backed by a 30 day
[01:29:37.560 --> 01:29:40.280]   ironclad return policy
[01:29:40.440 --> 01:29:45.560]   And they're all sold without carrier contracts. Don't worry about another two years on your carrier. You get a great
[01:29:45.560 --> 01:29:48.280]   Great deal on a great phone
[01:29:48.280 --> 01:29:55.000]   Without any strings go to gazelle gazelle.com find out where your old device is worth
[01:29:55.000 --> 01:30:00.280]   And check out this selection of pre-owned devices today. And by the way, when you buy it gazelle
[01:30:00.280 --> 01:30:05.880]   You can also finance on checkout with a firm. It's very easy
[01:30:05.960 --> 01:30:13.160]   It's part of the checkout process and you could pay it off at three six or twelve months much better deal frankly than the than getting it from the phone company
[01:30:13.160 --> 01:30:17.320]   Devices available in not just excellent condition
[01:30:17.320 --> 01:30:21.800]   But you can save even more if you're willing to take a you know good or fair condition all of them work on it
[01:30:21.800 --> 01:30:23.640]   Percent they're all put through a 30-point inspection
[01:30:23.640 --> 01:30:28.040]   They work with all the major carriers at and t Verizon t mobile and sprint
[01:30:28.040 --> 01:30:30.760]   But you know a lot of times it's a replacement phone
[01:30:30.760 --> 01:30:33.320]   You know new phones coming out you're gonna want the next iPhone for instance
[01:30:33.320 --> 01:30:39.160]   Just need to get a few months in you can get one that's a you know a little bit gentle wear and save even more
[01:30:39.160 --> 01:30:41.560]   Give new life to use electronics
[01:30:41.560 --> 01:30:44.440]   Trade them in for cash or buy certified pre-owned
[01:30:44.440 --> 01:30:48.600]   Our favorite place to go gazelle.com. It's so funny because
[01:30:48.600 --> 01:30:53.640]   Uh, I know there's a new whenever we get the gazelle ads. I know oh there must be a new phone coming
[01:30:53.640 --> 01:31:01.560]   Because they want it they want to remind you you can get that new phone and you can subsidize that purchase at gazelle.com by selling the old one
[01:31:02.200 --> 01:31:07.880]   All right, we'll start with rene so you can get out of here if power goes out again rene richy your pick of the week
[01:31:07.880 --> 01:31:10.920]   I appreciate that so uh my pick of the week is the aki
[01:31:10.920 --> 01:31:15.240]   It's it's this wonderful little aki power adapter if you still have those old lighter ports
[01:31:15.240 --> 01:31:18.760]   In your car. You don't have fancy usb ports like my car
[01:31:18.760 --> 01:31:24.520]   What I like about this one is it sits flush you just put it in and it's almost invisible that it was anything ever other than
[01:31:24.520 --> 01:31:29.560]   Usb ports now it is 2.4, you know, which is it's good for most things
[01:31:29.960 --> 01:31:35.400]   Um, actually might have 4.8. I like I'm not because who uses cigarette lighters anymore, right?
[01:31:35.400 --> 01:31:37.560]   Totally this is perfect
[01:31:37.560 --> 01:31:39.960]   They exist because people made adapters to fit in cigarette writers
[01:31:39.960 --> 01:31:44.840]   Yeah, the only reason they exist and I tweeted out they were on sale yesterday. They're still on sale today
[01:31:44.840 --> 01:31:46.840]   They were on sale for even less yesterday
[01:31:46.840 --> 01:31:51.080]   And you know like mark or I'm wanting a bunch of other people started telling me how long they'd had it and how much they loved it
