
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[01:28:36.120 --> 01:28:43.960]   iPhone 5 is a close number two and number three is pretty far down beyond that and the reason why is not because they have a sensor that has
[01:28:43.960 --> 01:28:49.000]   41 megapixels or an L a lens there are a lens in a image sensor. That's this big
[01:28:49.000 --> 01:28:51.880]   It's because they have a custom digital signal processor. That is
[01:28:51.880 --> 01:28:55.800]   Incredibly good at what it does softness everything at this point
[01:28:55.800 --> 01:28:59.000]   And so it's not something that you have to show people photos of it
[01:28:59.000 --> 01:29:04.280]   But you don't have that. Oh, by the way, the iphone 6 has a 68 megapixel sensor. That's the size of a
[01:29:04.280 --> 01:29:08.040]   That's the size of one quarter of a dollar bill
[01:29:08.040 --> 01:29:12.280]   It's about it's about the size of the size of a frame of medium format film
[01:29:12.280 --> 01:29:16.040]   And it can if you if you aim at the right side of the side of the planet
[01:29:16.040 --> 01:29:18.920]   You'll get a beautiful crop down picture of exactly what you wanted
[01:29:18.920 --> 01:29:22.040]   You can't simply say hello digital signal processing is what makes it
[01:29:22.600 --> 01:29:28.680]   Murphy says now you have to write an automator script to import your skydrive photos into your ios photo stream
[01:29:28.680 --> 01:29:31.240]   exactly
[01:29:31.240 --> 01:29:33.880]   Probably do services services. I'm probably doable
[01:29:33.880 --> 01:29:39.240]   See anything else we want to talk about before we get to our tips of the week
[01:29:39.240 --> 01:29:43.160]   I'm just looking at the rundown the Chad Johnson prepared for us all the great stories
[01:29:43.160 --> 01:29:44.920]   um
[01:29:44.920 --> 01:29:49.880]   You did mention that the worker group that is alleging abuses at pegatron in china
[01:29:49.880 --> 01:29:51.880]   I'm sure we'll have you're more about that
[01:29:51.880 --> 01:29:59.640]   Apple worker this is the strangest story I ever heard of file apple workers file a lawsuit
[01:29:59.640 --> 01:30:04.600]   Saying they lost wages. This is the employees at apple stores in New York in Los angeles
[01:30:04.600 --> 01:30:11.080]   Because apple required them to stand in line for up to 30 minutes every shift to wait for a manager to search their bags
[01:30:11.080 --> 01:30:16.520]   Uh, they want 1,500 dollars a year in unpaid wages
[01:30:17.720 --> 01:30:23.720]   Um, they're searching for merchants, you know stolen merchandise shoplift merchandise. Sorry when I when I see these
[01:30:23.720 --> 01:30:28.360]   I'm just like I don't think that these employees are probably at the top of the
[01:30:28.360 --> 01:30:30.040]   Food chain it
[01:30:30.040 --> 01:30:33.800]   Well, I mean what I mean by that is they probably weren't the highest performers at apple and they're no longer working
[01:30:33.800 --> 01:30:37.320]   They're trying to figure out how to get a little extra money to yeah stretch things out a little bit further
[01:30:37.320 --> 01:30:42.520]   Although I have to say if you have to wait five to ten minutes or longer before you can go and break or have lunch
[01:30:42.520 --> 01:30:46.440]   I don't think it's on break getting your bag is emerged. Yeah, it says no no no it says
[01:30:47.000 --> 01:30:51.880]   They're being forced to stand around for five to 15 minutes every time they clock out for a meal break or leave work at the end of the shift
[01:30:51.880 --> 01:30:54.680]   I think b&a should have to pay me then because they do that too
[01:30:54.680 --> 01:30:56.360]   You have to give them your bag
[01:30:56.360 --> 01:30:58.200]   So you just you just hand the hand your bag in and you
[01:30:58.200 --> 01:31:02.520]   The first time you do it you get really defensive about it in the second after a while you just go here
[01:31:02.520 --> 01:31:09.240]   You got that but that's one of the complaints about uh, the conditions at the amazon fulfillment centers where you get 30 minutes for
[01:31:09.240 --> 01:31:14.120]   For lunch, but it's such a big complex of the break place might be a 10-minute walk away
[01:31:14.200 --> 01:31:17.160]   And that counts as part of your lunch break so 10-minute walk
[01:31:17.160 --> 01:31:23.000]   Five minutes to heat up your hot pocket and then five minutes to eat it before I start walking back to be back on time
[01:31:23.000 --> 01:31:24.120]   And that's just that's not fair
[01:31:24.120 --> 01:31:28.760]   I think it is fair to say hey if I have to do something and I want to I want to be paid for the the time
[01:31:28.760 --> 01:31:30.520]   I guess I just wouldn't bring a bag
[01:31:30.520 --> 01:31:34.440]   I mean if someone was making I guess you're a woman you bring a purse. I'm sorry. That's normal
[01:31:34.440 --> 01:31:39.640]   I understand I think they can't I don't think that's reasonable say don't bring your purse because it's gonna take you a while to get out of here
[01:31:39.640 --> 01:31:41.640]   well, I guess
[01:31:43.640 --> 01:31:47.160]   I've just left you know, I left a lot of jobs that I didn't like and I just yeah, I don't like the job
[01:31:47.160 --> 01:31:50.520]   I just agree, you know, you know, just like if that's really that big of a deal
[01:31:50.520 --> 01:31:54.520]   But there are rules and you got a champion for the time you inquire. It's fine
[01:31:54.520 --> 01:31:59.240]   It's because people are that low on the totem pole that they need to be protected right
[01:31:59.240 --> 01:32:05.320]   I understand but when someone like files a class action lawsuit as an employer if their names ever came up I'd be like, uh, no
[01:32:05.320 --> 01:32:07.560]   Yeah
[01:32:07.560 --> 01:32:09.560]   You never get to get to a job
[01:32:10.200 --> 01:32:14.040]   Is that legal to ask on a employment form? Have you ever sued a previous employer?
[01:32:14.040 --> 01:32:17.880]   No, you can't ask that you should be able to because that would be good
[01:32:17.880 --> 01:32:21.240]   I don't know but you when you see it when the name when the name comes up you can't ask that Lisa
[01:32:21.240 --> 01:32:24.840]   No, Lisa says you can't I mean you can't ask that but I can say if those two names came up
[01:32:24.840 --> 01:32:27.560]   I you know, I don't have to look out at it. I just
[01:32:27.560 --> 01:32:33.960]   You can ask if they're criminal if they've been arrested, but you can't ask them if they've ever sued we google everybody now
[01:32:33.960 --> 01:32:37.960]   I mean, you know the thing is we just so the point is if you're gonna have a class action lawsuit
[01:32:37.960 --> 01:32:40.200]   Don't trumpet it on facebook. Well, just don't put it on
[01:32:40.200 --> 01:32:43.000]   I
[01:32:43.000 --> 01:32:46.840]   I'm sure apple will settle that pretty quickly. Um
[01:32:46.840 --> 01:32:50.600]   Everyone will get free sandwiches
[01:32:50.600 --> 01:32:57.720]   Ice sandwiches for all ice sandwiches. We'll take a break. Uh, actually we don't need to take a break
[01:32:57.720 --> 01:32:59.720]   We can get to our tips right away
[01:32:59.720 --> 01:33:02.920]   Uh tips tools anything you want to share with the world?
[01:33:02.920 --> 01:33:06.840]   I think rene richies got one already queued up you fire away rene
[01:33:07.560 --> 01:33:13.560]   Uh, my pick of the week is dj 2 and I have to preface this by saying that I have absolutely no musical talent
[01:33:13.560 --> 01:33:15.720]   I am tone deaf and I cannot keep a beat
[01:33:15.720 --> 01:33:21.080]   And that makes me leery of ever looking at any music based applicant. I mean I can listen to music, but that's about it
[01:33:21.080 --> 01:33:25.480]   But the original dj was interesting because it was a very tactile very easy way of
[01:33:25.480 --> 01:33:33.240]   You know, it was like basically skeuomorphic turntables and what they've done now is they've taken that and they've taken it to an entirely new level
[01:33:33.880 --> 01:33:39.160]   So for example, you look at the turntable there and the actual groove marks of the music are superimposed there
[01:33:39.160 --> 01:33:44.920]   So if you're somebody who's an old school dj and you were used to being able to play something according to the grooves on the record album
[01:33:44.920 --> 01:33:48.360]   You can do that again. Jump to a cut based on the grooves
[01:33:48.360 --> 01:33:54.120]   I I had a they were nice enough. I saw the guys who made the app and I was they were nice enough to give me the complete demo for it
[01:33:54.120 --> 01:33:59.400]   That's a stir and they showed me that they also showed me and that's by the way album art taken from the cut
[01:33:59.480 --> 01:34:05.320]   So those those graphics are automatically put on the cd this next thing that you're on right now the hd waveforms leo
[01:34:05.320 --> 01:34:08.600]   It's amazing. You have a waveform and they color code it depending on the instrument
[01:34:08.600 --> 01:34:13.880]   So the voice is different than the drums. So if you're kind of looking physically see what part of a song you want to go to
[01:34:13.880 --> 01:34:18.120]   You can quickly find it in the waveform and not only that it will divide it
[01:34:18.120 --> 01:34:23.240]   And then all of those squares there are buttons and you can press those buttons almost like a keyboard to play the song
[01:34:23.240 --> 01:34:25.480]   But there's more
[01:34:25.480 --> 01:34:31.720]   Those little sync buttons on the top will automatically sync the song so that you can jump back and forth without having to be all skillful about it
[01:34:31.720 --> 01:34:36.520]   And what they've managed to do is make something that you know for me. It's a fun music player
[01:34:36.520 --> 01:34:39.160]   But they had a bunch of dj showing off
[01:34:39.160 --> 01:34:41.000]   Things that they've done with it
[01:34:41.000 --> 01:34:44.760]   And from anyone like a little kid who just wants to play in the back of a car on a road trip
[01:34:44.760 --> 01:34:49.160]   To someone who wants to have this next to their analog turntable in a real dj rig
[01:34:49.160 --> 01:34:51.160]   They've made a phenomenal piece of
[01:34:52.120 --> 01:34:55.880]   Of software and it works is on the iphone now as well
[01:34:55.880 --> 01:35:01.640]   So you can have one small little table if you just want to mess around or try something or do rough sets and rough cuts
[01:35:01.640 --> 01:35:03.480]   And it goes all the way up to the big ipad
[01:35:03.480 --> 01:35:09.480]   Which you can really have one turntable and put it next to your your dj rig and do stuff and the amount of depth
[01:35:09.480 --> 01:35:13.800]   And thought they put into it was even again someone with no musical talent
[01:35:13.800 --> 01:35:16.280]   I was really impressed with the app
[01:35:16.280 --> 01:35:20.280]   Unfortunately, it's a new app and apple does not allow upgrade pricing
[01:35:20.280 --> 01:35:25.400]   So what they did is make it on sale for everybody so whether you owned it before or you didn't you can get it
[01:35:25.400 --> 01:35:27.000]   I think half off
[01:35:27.000 --> 01:35:28.840]   Uh for a limited time
[01:35:28.840 --> 01:35:32.440]   But it's it's well worth the mere pittance that they are charging for it either way
[01:35:32.440 --> 01:35:36.520]   It was I think like 499 when they first released it. I don't know if the price has gone up yet
[01:35:36.520 --> 01:35:40.040]   Uh, and it's the original one one an apple design award to know their stuff
[01:35:40.040 --> 01:35:43.320]   So check it out though, you know the the price is gonna go up
[01:35:43.320 --> 01:35:49.000]   But if it hasn't already gone up, I haven't can you I can't tell can you tell I can't tell I tried to bring it up
[01:35:49.000 --> 01:35:52.040]   And I just said bought and I hate that because I know you can't I know me too
[01:35:52.040 --> 01:35:55.400]   I have to log out
[01:35:55.400 --> 01:35:57.640]   What was the what does it say?
[01:35:57.640 --> 01:35:59.880]   499 still okay good good deal
[01:35:59.880 --> 01:36:03.160]   First week only so run and get it now because it's gonna go up
[01:36:03.160 --> 01:36:06.760]   I don't know how much it's gonna be but it probably be at least 10 bucks it's worth 20
[01:36:06.760 --> 01:36:12.840]   My friends who are dj mark edwards who a friend of mine was a dj he was trying it and he fell instantly in love with it
[01:36:12.840 --> 01:36:13.880]   It's yeah
[01:36:13.880 --> 01:36:15.800]   Very nice pieces of work really sweet
[01:36:16.440 --> 01:36:19.480]   Buy it now while it's cheap even if you'll never use it
[01:36:19.480 --> 01:36:27.400]   Uh, mr. Lindsay that was $5. What do you got? Um, you raised us at Alex
[01:36:27.400 --> 01:36:30.920]   Um, yeah, so
[01:36:30.920 --> 01:36:36.840]   I you know you're gonna back down now in that $15,000 heart rate you were gonna recommend
[01:36:36.840 --> 01:36:39.560]   No, it wasn't 15,000
[01:36:39.560 --> 01:36:43.480]   Um, we've bought by the way everything Alex is every recommended. We've ended up buying
[01:36:43.880 --> 01:36:48.920]   See we have all these sound devices devices the elemental we have all this crap. No one believes me and then you go
[01:36:48.920 --> 01:36:51.560]   I really find it turns out that you really like it to work
[01:36:51.560 --> 01:36:55.480]   I want I just wish black magic had like a yearly fee. We just have everything they make
[01:36:55.480 --> 01:37:00.360]   I know the problem is I need lots of them. They make a subscription the black magic hardware
[01:37:00.360 --> 01:37:03.400]   We got I want a black magic hardware
[01:37:03.400 --> 01:37:06.840]   We're talking about becoming a resell for for a company and uh
[01:37:06.840 --> 01:37:12.120]   And they were like well you have to have a minimum minimum sale of this much per per year
[01:37:12.280 --> 01:37:15.480]   You know you have to be able to do you think you can sell that much? I'm like, uh, we could buy that
[01:37:15.480 --> 01:37:17.480]   I was like we bought that much
[01:37:17.480 --> 01:37:23.080]   Months have you got the black magic cinema any of these
[01:37:23.080 --> 01:37:27.000]   I'm waiting. I'm waiting. I'm waiting cameras. Yeah, I haven't gotten them yet. I really want
[01:37:27.000 --> 01:37:30.120]   I'm really looking at the cinema camera and the 4k camera
[01:37:30.120 --> 01:37:33.880]   So there's the cinema camera which uses um micro four thirds
[01:37:33.880 --> 01:37:39.480]   Uh lenses, which is very cool. Yep. That's $3,000 records in pro res or via thunderbolt
[01:37:40.200 --> 01:37:43.160]   Um and then for 4,000, we'll use the cannon mounts
[01:37:43.160 --> 01:37:48.840]   But it's a 4k camera. Yes, so I have a ton of good cabinet lenses. I could just pop on there
[01:37:48.840 --> 01:37:51.160]   Well, I'm I'm really um
[01:37:51.160 --> 01:37:56.120]   I'm really interested in uh the 4k camera the four that they have a studio switcher too
[01:37:56.120 --> 01:37:59.640]   That so you can switch in 4k and then you see the fine. Yeah
[01:37:59.640 --> 01:38:03.240]   So because you can barely edit 4k
[01:38:03.240 --> 01:38:04.760]   But I still think I have this theory
[01:38:04.760 --> 01:38:08.440]   I have a theory that the 4k live revolution is actually going to happen on the web
[01:38:08.440 --> 01:38:12.040]   Not because tv and film have already bet on hd
[01:38:12.040 --> 01:38:15.960]   Right and so but it's easy for youtube or netflix or apple or whatever
[01:38:15.960 --> 01:38:16.600]   Us
[01:38:16.600 --> 01:38:18.120]   You can go to 4k
[01:38:18.120 --> 01:38:22.600]   Right exactly so the whole thing is is that so being able to stream to 4k you could you might be able to you know
[01:38:22.600 --> 01:38:26.680]   That those crystal clear um things that were kind of interested so we're playing around with hd
[01:38:26.680 --> 01:38:29.320]   Anyway, so I think our next studio probably 4k
[01:38:29.320 --> 01:38:33.000]   You're the guy who did 10a p video before anybody mac break the original mac break video
[01:38:33.000 --> 01:38:34.760]   10a p
[01:38:34.760 --> 01:38:37.720]   You could do the first episode you couldn't edit it. You couldn't watch it
[01:38:38.120 --> 01:38:42.200]   There was no mac hardware that was powerful enough to play it at a normal frame rate
[01:38:42.200 --> 01:38:43.880]   This wasn't even that wide ago, right?
[01:38:43.880 --> 01:38:46.200]   We're already starting to expect we've done a mac break in 4k
[01:38:46.200 --> 01:38:48.680]   So we were already yeah, we've done one one
[01:38:48.680 --> 01:38:51.400]   It was a couple years ago and then we decided we're gonna wait for a little while longer
[01:38:51.400 --> 01:38:54.360]   The tools weren't quite when you're saying 4,000 for cameras
[01:38:54.360 --> 01:38:58.360]   So the cameras we're using now hd cameras were about 1,500 bucks each
[01:38:58.360 --> 01:38:59.720]   But we had to add
[01:38:59.720 --> 01:39:04.200]   Uh an s s di converter from black magic. It was 500 bucks in a special amount
[01:39:04.200 --> 01:39:06.280]   So it's about 2,500 bucks per camera
[01:39:07.000 --> 01:39:09.720]   We're not talking a huge leap to go to 4k
[01:39:09.720 --> 01:39:12.840]   It's you know black magic has really figured out how to
[01:39:12.840 --> 01:39:14.840]   you know
[01:39:14.840 --> 01:39:19.000]   Most of some of this stuff is new like that a lot of what black magic does is you had a great idea
[01:39:19.000 --> 01:39:21.480]   And a bad business model. So we're just going to incorporate this in
[01:39:21.480 --> 01:39:25.400]   You know, we'll take the thing you were selling for $80,000 and sell it for 10
[01:39:25.400 --> 01:39:27.400]   You know, and um
[01:39:27.400 --> 01:39:29.640]   And so uh, so anyway, so it's it's uh
[01:39:29.640 --> 01:39:34.040]   Yeah, we've talked to the red guy said they'd come over there you go. There's the first 10a 80 p
[01:39:35.160 --> 01:39:37.160]   That was this oh, that's 4k
[01:39:37.160 --> 01:39:40.760]   Oh man. Yes with south. So you south segue in uh, mr
[01:39:40.760 --> 01:39:44.440]   Original one with mr. Apple script and automator. Uh, look at that. Look at that
[01:39:44.440 --> 01:39:47.320]   You can see every pour on his forehead
[01:39:47.320 --> 01:39:53.320]   Every hair and his beard turned out capturing the screen at anywhere near 4k was painful
[01:39:53.320 --> 01:39:55.800]   That was the video was actually fine because we shot on a red
[01:39:55.800 --> 01:40:02.840]   Um, but it was uh the the screen dealing with the screen took a lot of yeah, how many bathans many bathans died
[01:40:03.800 --> 01:40:07.720]   So, um, you know, but the first time we've done anything like zenety p was a big mess too
[01:40:07.720 --> 01:40:08.520]   Oh, it was horrible
[01:40:08.520 --> 01:40:12.840]   You know, it was it took the reason that there's a if you go back in the early mac breaks and it says the road to tenety p
[01:40:12.840 --> 01:40:17.400]   The reason there's a road to tenety p is because we were so far behind releasing the first one
[01:40:17.400 --> 01:40:21.960]   And you released shows about how we're making this show how we're making the show and here and today
[01:40:21.960 --> 01:40:25.000]   To date it is still the most feud mac break ever
[01:40:25.000 --> 01:40:28.440]   Was the one where all I did was like I got to do something so I opened up
[01:40:28.440 --> 01:40:32.200]   I opened up a I opened up screen share and just drew one things like see this see this
[01:40:32.840 --> 01:40:39.240]   I did it. I hope this will work. Yeah. Yeah, it's of course. I sounded very optimistic, you know, which is the job, you know, so um
[01:40:39.240 --> 01:40:44.440]   So anyways, so we're we're playing with 4k. Um, what's gonna, uh, uh, uh, play back though?
[01:40:44.440 --> 01:40:47.320]   It's gonna be an issue of 4k, isn't it? Well, it's gonna be an issue. I mean
[01:40:47.320 --> 01:40:49.000]   What's happening?
[01:40:49.000 --> 01:40:54.200]   At AP tv's are gonna be you're gonna have thousand dollar 4k. I mean every every tv soul will be 4k in two years
[01:40:54.200 --> 01:40:57.480]   Right. I mean except for the really cheap stuff, but I mean everything that you see a Walmart
[01:40:57.480 --> 01:40:59.720]   So then bandwidth is the issue delivery becomes the issue
[01:40:59.720 --> 01:41:05.400]   Well, you're gonna have a whole bunch of hardware companies and a whole bunch of resellers that are all selling 4k and no one creating content for that
[01:41:05.400 --> 01:41:09.320]   You so they'll so all of them are gonna have how you deliver it. You're you're in an oh, you know,
[01:41:09.320 --> 01:41:16.280]   But but youtube is gonna go hey, you can watch 4k on youtube, you know, you know your content apples and apple
[01:41:16.280 --> 01:41:17.320]   Or apple
[01:41:17.320 --> 01:41:23.480]   Yeah, but I mean it's it's not that like when you look at h. 265 and some of the new um compression technologies
[01:41:23.480 --> 01:41:25.560]   It's gonna look very very good
[01:41:25.560 --> 01:41:28.360]   It's gonna look as good as 10 any p does now at 4k
[01:41:28.760 --> 01:41:36.040]   You know with the new with the new compression technologies even the streaming technologies and so so the um so apple and google and you know
[01:41:36.040 --> 01:41:39.720]   Amazon and netflix are all gonna be you know netflix. I bet you
[01:41:39.720 --> 01:41:45.160]   Um all their original content within the next year or two is all if it is not already being shot on 4k
[01:41:45.160 --> 01:41:50.200]   It'll be on 4k and netflix will go you can watch 4k on netflix and so are you done trials when we were at ces
[01:41:50.200 --> 01:41:56.440]   Much of the 4k content was provided by netflix right and so so the so the whole thing is is that is that all the online
[01:41:56.920 --> 01:42:00.040]   Companies are actually going to be the big the highest resolution that you can find
[01:42:00.040 --> 01:42:04.600]   And so these little cameras that black magic's creating is like the you know, it's kind of the beginning of that
[01:42:04.600 --> 01:42:10.520]   Um that revolution and it's it's an interesting thing for a lot of us because just like when hd happened
[01:42:10.520 --> 01:42:13.160]   It was a big deal to you know everyone wanted to generate content hd
[01:42:13.160 --> 01:42:17.000]   You know getting ahead of it, which is gonna red was honestly way ahead
[01:42:17.000 --> 01:42:19.960]   I just want to point out all I do is I stand behind Alex and I watch
[01:42:19.960 --> 01:42:23.320]   Well, he's got all figured out
[01:42:23.320 --> 01:42:27.720]   And once once the bleeding stops Leo goes, okay now we'll make it actually
[01:42:27.720 --> 01:42:34.360]   You know, yeah, exactly so so even I don't know if you have a pic. Can I ask you one other thing logic pro 10?
[01:42:34.360 --> 01:42:40.680]   All right, let's see anyway, so so you know, I know I will say that I've only done a cursory like I opened some stuff up
[01:42:40.680 --> 01:42:42.680]   persecutory
[01:42:42.680 --> 01:42:49.080]   It's like a thrush's word. Gursatory. I did a cursory cursory. Look, yeah, it's been a long day
[01:42:49.080 --> 01:42:51.480]   I've already been talking too much when you curse
[01:42:51.480 --> 01:42:53.800]   It was very so so I um
[01:42:53.800 --> 01:43:01.320]   But cursory sounds so much better. It's such a good I think it's an
[01:43:01.320 --> 01:43:05.400]   So anyway, so the um
[01:43:05.400 --> 01:43:11.000]   Cursory glance so here's the deal it is just for $200 is
[01:43:11.000 --> 01:43:16.360]   Insane it is amazing. It is insane like what this does i'm 32 gigs of loops alone
[01:43:16.760 --> 01:43:21.080]   Are we no it's and you keep on downloading like the thing is you install it and it goes
[01:43:21.080 --> 01:43:23.640]   Would you like to install all the plugins? It's like another 30 gigs
[01:43:23.640 --> 01:43:28.680]   I mean it is and you just keep on downloading from from the apple store. I like I can't believe they're giving me all these loops and
[01:43:28.680 --> 01:43:34.040]   Um, it is, you know, it runs really well. It's it's you know, it's so powerful and I don't I don't know
[01:43:34.040 --> 01:43:39.800]   I mean, you know apple obviously is what it does is it engages you in the hardware, but it's it is a
[01:43:39.800 --> 01:43:42.520]   Um, you know, they've really stepped it up
[01:43:42.520 --> 01:43:47.560]   I mean, I don't I didn't feel like I was losing anything from you know from earlier versions
[01:43:47.560 --> 01:43:51.400]   I just felt like it was just you know, just a wrapped up interface and now you can see
[01:43:51.400 --> 01:43:57.480]   You know as as apple continues to um, you know tie all these things together. I'm I get more excited
[01:43:57.480 --> 01:43:59.400]   I have to admit about
[01:43:59.400 --> 01:44:03.960]   Uh the mac pro because you know that all of these things are being designed to sit on that platform, you know
[01:44:03.960 --> 01:44:08.360]   Then they'll run even faster and so um so I think that I mean I don't usually you know
[01:44:08.360 --> 01:44:11.800]   I was I didn't want to say anything until I really got a chance to to noodle with it
[01:44:11.800 --> 01:44:14.840]   And I still haven't built a whole project in it. So maybe I'll come back in two weeks and go
[01:44:14.840 --> 01:44:19.240]   But I don't even know how you go wrong at $200 for an apple. I just did
[01:44:19.240 --> 01:44:20.520]   I mean I just said well, okay
[01:44:20.520 --> 01:44:22.280]   An app with that much power
[01:44:22.280 --> 01:44:26.600]   How you go wrong with a 200, you know paying $200 to get that is is um
[01:44:26.600 --> 01:44:29.720]   Uh is amazing. Yeah, so
[01:44:29.720 --> 01:44:33.560]   Yeah, and I installed it immediately and downloaded 32 gigabytes
[01:44:33.560 --> 01:44:36.840]   Worth of littles. I know you just keep on you know, yeah
[01:44:36.840 --> 01:44:39.560]   It's pretty amazing
[01:44:39.560 --> 01:44:40.280]   Um
[01:44:40.280 --> 01:44:42.280]   Andy and I call your pick of the week
[01:44:42.280 --> 01:44:46.920]   Uh my pick of the week is this backpack. I will explain the maker in a minute
[01:44:46.920 --> 01:44:49.480]   Uh two features of it that I really like about it
[01:44:49.480 --> 01:44:52.200]   It's big enough to hold a 15 inch notebook
[01:44:52.200 --> 01:44:55.000]   But it is super super slim so that if you're not
[01:44:55.000 --> 01:44:56.520]   There too
[01:44:56.520 --> 01:44:59.480]   To uh if all you need is the notebook and your accessories
[01:44:59.480 --> 01:45:03.400]   You don't have to basically take this huge frickin backpack with you when you travel
[01:45:03.400 --> 01:45:09.000]   I've been looking for something very much like this for like i'm just going to new york for a day or for an overnight
[01:45:09.080 --> 01:45:12.840]   I don't need I would like to not have to carry my my notebook wherever I go
[01:45:12.840 --> 01:45:14.600]   But this is so nice and slim
[01:45:14.600 --> 01:45:16.920]   But the cool thing is that this is made by cocoon
[01:45:16.920 --> 01:45:22.680]   They're the makers of the griddit packing system that I really really i'm sorry griddit. It's something called
[01:45:22.680 --> 01:45:25.560]   Griddit. Thank you
[01:45:25.560 --> 01:45:28.680]   Sometimes like your brain does those unhelpful things wait a minute
[01:45:28.680 --> 01:45:31.560]   Is that the name of another packing system you stopped using seven years ago Andy
[01:45:31.560 --> 01:45:36.840]   Anyway, but uh, I love because this is they're they're the makers of this system where
[01:45:37.480 --> 01:45:41.880]   It's like little like palettes of nothing but like interlocking
[01:45:41.880 --> 01:45:42.920]   Oh my god, look at that
[01:45:42.920 --> 01:45:44.120]   Web so
[01:45:44.120 --> 01:45:49.240]   What happens because the problem when you packing is that it's not that you have these things but they get buried inside pockets
[01:45:49.240 --> 01:45:51.960]   With this you can just take all of your accessories
[01:45:51.960 --> 01:45:56.360]   And just simply anywhere you want you stick them under the band
[01:45:56.360 --> 01:45:59.080]   Exactly. It's just kind of free form
[01:45:59.080 --> 01:46:01.960]   In one of those i mean
[01:46:01.960 --> 01:46:03.160]   Kids
[01:46:03.160 --> 01:46:05.560]   Put your kid under there just no it's like, you know, and your
[01:46:05.560 --> 01:46:10.520]   And literally everything and they have and they have lots and lots of stretch to them
[01:46:10.520 --> 01:46:14.760]   So even if you had like a really really thick and bulky item like I bet
[01:46:14.760 --> 01:46:21.080]   You know like here is like of course I need to I need to have my my the clips that I use to hold on to my
[01:46:21.080 --> 01:46:23.880]   uh, hold on to my uh
[01:46:23.880 --> 01:46:25.720]   Uh, my my my my windows together
[01:46:25.720 --> 01:46:29.720]   And so since they flex and they stretch they just simply stay right there
[01:46:30.120 --> 01:46:35.320]   And so once you have it all loaded up, essentially you don't have to dig through anything to find whatever cable
[01:46:35.320 --> 01:46:37.320]   Whatever adapter whatever thing is you need
[01:46:37.320 --> 01:46:42.360]   It's just a big not but if you had a can it's really a great place
[01:46:42.360 --> 01:46:44.520]   Exactly
[01:46:44.520 --> 01:46:48.040]   First of all we call it. We call it cha. Sorry
[01:46:48.040 --> 01:46:51.240]   Dilleton
[01:46:51.240 --> 01:46:56.040]   But yeah, I mean and you and by the way, you can also you can go to cocoon technologies
[01:46:56.040 --> 01:47:02.680]   I believe that this cocoon innovations calm cocoon innovations calm that has the whole line of products like this
[01:47:02.680 --> 01:47:08.840]   And I used to I've been a big fan of them ever since their main product was the what you're looking at right there in the screenshot
[01:47:08.840 --> 01:47:12.680]   Which is just these flat like pallets you can then put into any bag because
[01:47:12.680 --> 01:47:17.480]   I I have the I have the little ipad bag. I have the slightly larger bag for 13 inch notebooks
[01:47:17.480 --> 01:47:20.680]   And you know they have they they'll have like a zippered outside pocket
[01:47:20.680 --> 01:47:25.160]   But then you have to empty out the entire pocket because all you need is
[01:47:25.800 --> 01:47:30.280]   Is your earphones and you can't just get at them. This let you just get at that one thing
[01:47:30.280 --> 01:47:33.400]   So you whip you whip the little thing out and everything
[01:47:33.400 --> 01:47:39.400]   Or you're kidding me a big thing out and you get uh you got everything is in there
[01:47:39.400 --> 01:47:47.640]   Exactly. So I'm I'm glad to see that they're now putting like embedding this in like actual laptop cases because that like saves saves one step
[01:47:47.640 --> 01:47:52.040]   This is the this is the the the backpack that they set me across 79 99
[01:47:52.600 --> 01:47:57.800]   But they also have like a really nice 13 inch notebook case that's kind of on this idea
[01:47:57.800 --> 01:48:00.200]   It's not a backpack. It's a regular like, you know, sort of uh
[01:48:00.200 --> 01:48:07.800]   Satchel sort of thing but again use unzip unzip a flap and reveal like this entire deck where every single thing you need is
[01:48:07.800 --> 01:48:11.080]   Nicely organized or if you keep it nicely organized that is
[01:48:11.080 --> 01:48:16.360]   And easily accessible. So if you need a backpack if you need a laptop case good choice
[01:48:16.360 --> 01:48:19.480]   But even if you don't if you're if you're happy with the case that you have already
[01:48:19.960 --> 01:48:25.080]   Get one of these little palettes because they make them in so many different sizes and it's it's not only
[01:48:25.080 --> 01:48:29.960]   It doesn't just save you trouble when you're trying to get access to something when i'm packing
[01:48:29.960 --> 01:48:33.400]   I have a big one that goes on top of my uh, my my rollaway
[01:48:33.400 --> 01:48:38.440]   Uh, and so, you know, you're you're packing and it's like an hour before you're gonna leave and you think wait a minute
[01:48:38.440 --> 01:48:42.760]   There's so many times i've taken like three different three identical usb chargers
[01:48:42.760 --> 01:48:47.320]   Because I wasn't completely certain that i packed one and so by the time when I get to the hotel
[01:48:47.320 --> 01:48:53.480]   It's like, okay, so you put one in this outside bag one inside the bag and another one inside this other pouch because you work sure
[01:48:53.480 --> 01:48:58.920]   With this you simply look at this one little palace. Yep. There's my usb charger. Don't need another one. I'm good
[01:48:58.920 --> 01:49:04.840]   So i'm i mean you can get bags, but i'm thinking i want to put this in my carry-on
[01:49:04.840 --> 01:49:09.160]   Yeah, uh, just one of these i'll have to measure it and figure out what the inside is like
[01:49:09.160 --> 01:49:12.520]   Because i could just when i get on the plane just pop it in i'll get going for you too
