;FFMETADATA1
title=Treat It Like a Buritto
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=674
genre=Podcast
comment=http://twit.tv/mbw
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.280]   Hi, I'm Renee Ritchie.
[01:14:59.880 --> 01:15:04.600]   of course they are. That's what everyone's doing. Whether or not the self-driving car of the future
[01:15:04.600 --> 01:15:13.800]   happens while I'm still capable of driving a car. That I'm not so sure about. It might happen
[01:15:13.800 --> 01:15:20.040]   in my driving lifetime. It might not happen until I'm no longer have the vision.
[01:15:20.040 --> 01:15:22.520]   That's perfect timing, Laurie. As soon as you're ready for it, it will be there.
[01:15:22.520 --> 01:15:25.160]   Yeah, it's true.
[01:15:26.680 --> 01:15:29.800]   How should people interpret these stories though, Andy? Should they be following them,
[01:15:29.800 --> 01:15:33.640]   or are they just like curiosities to note as you pick up your latte and head on out the door?
[01:15:33.640 --> 01:15:42.520]   I mean, it's trivia. It's kind of like being on a fan message board and finding out,
[01:15:42.520 --> 01:15:48.280]   oh, here's a shot that I pass her by God of the next Avengers movie. And it doesn't mean
[01:15:48.280 --> 01:15:54.280]   if I saw some guy in a gray suit with spots all over it. And you saw somebody's boyfriend or
[01:15:54.280 --> 01:15:57.800]   girlfriend that indicates that maybe their girlfriend or boyfriend is part of the cast.
[01:15:57.800 --> 01:16:01.640]   And it's nice, but it doesn't really mean anything. But it's fun because we're fans and we kind of
[01:16:01.640 --> 01:16:06.360]   follow these things. It's just really difficult when it's a company like Apple that again,
[01:16:06.360 --> 01:16:09.720]   you know, they're working on lots of stuff. They're not going to talk about it. No matter how
[01:16:09.720 --> 01:16:14.520]   interesting it is, compared and contrast to pretty much every other tech company that will,
[01:16:14.520 --> 01:16:20.280]   like again, Google has decided that we know that people that know that news about the new
[01:16:21.080 --> 01:16:27.160]   Pixel 4 is going to leak anyway. Let's leak it ourselves. And we'll explain to you why we have
[01:16:27.160 --> 01:16:33.640]   this big unibrow at the top of the screen that looks kind of like off-putting. Well, it's because
[01:16:33.640 --> 01:16:37.720]   we put these really cool sensors in there. And okay, well, yes, we did put four cameras in the
[01:16:37.720 --> 01:16:42.280]   back of it. Aren't you going to enjoy that? And we'll explain exactly what's used for three months
[01:16:42.280 --> 01:16:48.360]   of advanced while you've got $1,000 burning a hole in your pocket, maybe for another person's phone.
[01:16:48.360 --> 01:16:53.640]   So we can talk about that sort of stuff when it comes to a Samsung phone or Google phone,
[01:16:53.640 --> 01:16:59.720]   or a Microsoft laptop with Apple. Again, it's fun. It's fun to think about what they're going to do
[01:16:59.720 --> 01:17:05.240]   with the camera. It's fun to think about what an iPhone Pro would be like. It's fun to think about
[01:17:05.240 --> 01:17:11.480]   what would be like to have an iPad with multiple cameras. In the end, we just know that we're
[01:17:11.480 --> 01:17:16.600]   just, again, we're having a big sleepover. We've got the popcorn, we've got the MTV Movie Awards
[01:17:16.600 --> 01:17:21.320]   on, and we're just gossiping. And we're not going to know anything until the big day comes. They
[01:17:21.320 --> 01:17:26.760]   actually announced. >> That reminds me too, we saw Google pre-announced Project Soli
[01:17:26.760 --> 01:17:32.360]   is coming to the Pixel 4. We've now seen LG's attempt at gestures where you sort of claw your hand
[01:17:32.360 --> 01:17:37.160]   in the middle of the thing and turn and hope that it does something. Samsung now has these pencil
[01:17:37.160 --> 01:17:42.040]   gestures where even though you're whole, I forgot how Andrew Martone mentioned it, but even though
[01:17:42.040 --> 01:17:45.960]   you're holding the phone in your hand, it'd be easier to actually touch it. You can still swipe
[01:17:45.960 --> 01:17:51.560]   above it to go through it, but it's kind of wonky. We're seeing LIDAR, we're seeing radar. Does
[01:17:51.560 --> 01:17:55.400]   radar have a place on your phone, Andy? Are you hungry for radar on your iPhone?
[01:17:55.400 --> 01:18:03.000]   >> Ask me, this is something that you and I can commiserate on, Renee. We both live in areas that
[01:18:03.000 --> 01:18:09.640]   have this thing called intense cold during the winter. And the first time that I can interact
[01:18:09.640 --> 01:18:14.440]   with my phone without having to pull my glove off and lose a fingertip to frostbite, that's
[01:18:14.440 --> 01:18:18.680]   what I'm going to say. You know what? That was a really good idea. I'm glad I got this.
[01:18:18.680 --> 01:18:26.120]   >> Yeah, the criticism of it right now is that it's not intuitive to do what you think it's going
[01:18:26.120 --> 01:18:31.800]   to do, and it doesn't do what you want it to do most of the time. And I think Google probably
[01:18:31.800 --> 01:18:36.920]   is best positioned to fix that part of it. And then once it does exactly what I want in the way
[01:18:36.920 --> 01:18:40.600]   that I think I want it done, I'm definitely going to want it when I have gloves on, Andy.
[01:18:40.600 --> 01:18:45.160]   >> Yeah, that's a good point because we don't have the double click, the double click and drag,
[01:18:45.160 --> 01:18:50.120]   the option shift click, yet things that are completely not intuitive at all. But we all know,
[01:18:50.120 --> 01:18:54.280]   I can plop anybody in front of their first Linux system for the first time. They would be double
[01:18:54.280 --> 01:18:58.440]   clicking, they would be control clicking, they would be doing all this sort of stuff. But it
[01:18:58.440 --> 01:19:03.080]   seems like Google is starting small by simply saying, okay, do this to go to the next track,
[01:19:03.080 --> 01:19:07.480]   or do this in front of the phone to say, shut up now. And then I'm sure they're not going to pile
[01:19:07.480 --> 01:19:09.960]   on with the gestures to begin with. Yeah, exactly.
[01:19:09.960 --> 01:19:15.560]   Do you want that kind of stuff, Tular? Are you interested in all the air gestures that we've been
[01:19:15.560 --> 01:19:26.360]   seeing? >> As a fun thing, but certainly not as a feature that would, if it meant taking away
[01:19:26.360 --> 01:19:32.760]   something that I need a news on my phone or my tablet, I know. But I think what I think is great
[01:19:32.760 --> 01:19:40.440]   about what Google does is they just go for it and they let everybody try it out. And they just,
[01:19:40.440 --> 01:19:44.920]   they throw caution to the wind and they say, here's a feature, what are you going to do with it?
[01:19:44.920 --> 01:19:49.960]   And it's not kept in a box where only a handful of people are researching on it.
[01:19:49.960 --> 01:19:53.560]   They throw it out there. And then if it turns out that everybody thinks that this
[01:19:53.560 --> 01:20:01.240]   gesture-based control is dumb, useless, difficult, doesn't work, they'll pull it. And it won't be in
[01:20:01.240 --> 01:20:04.360]   the next phone. And I think they know that and they're not afraid to try that.
[01:20:04.360 --> 01:20:11.080]   And maybe it's partly because they don't get quite as much heat when they do something wrong as the
[01:20:11.080 --> 01:20:16.520]   way Apple does it. But it's something that I've always been so impressed with Google for what they
[01:20:16.520 --> 01:20:23.000]   do is that they're much more open and they love to hear people's ideas and they love to try new
[01:20:23.000 --> 01:20:29.720]   things and experiment with things like that. And this gesture-based control is a perfect example.
[01:20:29.720 --> 01:20:35.080]   I went to Google I/O a few years back. It's probably been five years now. And they were first
[01:20:35.080 --> 01:20:43.080]   introducing the solely. It was incredible. The minute they were doing this, which if you're listening
[01:20:43.080 --> 01:20:51.800]   and not watching, I'm making the tiniest fiddle in the world movement. And they were controlling a
[01:20:51.800 --> 01:20:59.320]   digital knob by just rubbing their two fingers together. And that's incredible. And the only way
[01:20:59.320 --> 01:21:04.360]   that we get to things like that in this world is by experimenting with them and experimenting
[01:21:04.360 --> 01:21:08.120]   with the world with them and finding out what they're doing with it so that we can
[01:21:08.120 --> 01:21:14.120]   further that technology. And there are definitely two different reasons why we do or don't use
[01:21:14.120 --> 01:21:21.320]   Google or Apple. And on the one hand, we may not want our phone manufacturers to know
[01:21:21.320 --> 01:21:25.800]   everything that we're doing with our devices. And that's why we choose Apple. But on the other
[01:21:25.800 --> 01:21:31.240]   hand, we might want to help future this technological world. And that's why we use Google because they
[01:21:31.240 --> 01:21:36.520]   use that information to create new and better technologies in the future just based on what
[01:21:36.520 --> 01:21:44.520]   happens in the wild. Yeah, I hope that as soon as I saw the first solely demo and as soon as
[01:21:44.520 --> 01:21:48.760]   I got into the phase this year of, okay, this is a real thing now. And now I have to look at all
[01:21:48.760 --> 01:21:53.080]   the research papers of what researchers have been doing with the solely developers kits that Google
[01:21:53.080 --> 01:22:00.200]   has been sending out. It really, really got me super excited because this could be as if this,
[01:22:00.200 --> 01:22:06.040]   if Google does a good job of implementing this and also getting other people and developers excited
[01:22:06.040 --> 01:22:10.760]   about this, this could be as transformative as the touch screen as multi touch was for phones.
[01:22:10.760 --> 01:22:15.400]   Because because we're not just we're not just talking about, oh boy, it's so difficult for me
[01:22:15.400 --> 01:22:20.280]   to press this button for me to change the volume on this thing without having a gesture. But okay,
[01:22:20.280 --> 01:22:24.680]   here's something that's really, really out there. And this is this is from a research paper. Like
[01:22:24.680 --> 01:22:30.760]   what if the solely equipment that is that is possibly probably going to be on the next
[01:22:30.760 --> 01:22:39.240]   Google for the next pixel phone will allow a developer of a music app or podcast app to use the
[01:22:39.240 --> 01:22:45.800]   solely sent the this radar sensor to basically do whatever they want it to do. So imagine that
[01:22:45.800 --> 01:22:50.760]   I've got the phone just basically like on the table. I met my usual diner having my Tuesday morning
[01:22:50.760 --> 01:22:58.120]   breakfast. And what if I were able to simply take a salt shaker or anything like from the
[01:22:58.120 --> 01:23:03.240]   little caddy that's in front of me, set it in front of the phone, a phone. And then is it the
[01:23:03.240 --> 01:23:09.240]   salt shaker, which does not have Bluetooth or Wi-Fi or lightning or anything becomes a volume control
[01:23:09.240 --> 01:23:15.240]   knob just simply because if I because the set the radar, the sense that this object is being turned
[01:23:15.240 --> 01:23:21.160]   and then turned that into an active control. There are even some studies that are there was one
[01:23:21.160 --> 01:23:29.960]   study that came that came across that was fascinating about the because this radar this
[01:23:29.960 --> 01:23:36.440]   millimeter radar doesn't just hit the surface it actually can go below below the surface of certain
[01:23:36.440 --> 01:23:42.040]   certain surfaces. It can go below the surface of skin. And so one researcher was trying to figure
[01:23:42.040 --> 01:23:46.920]   out would it be possible to figure out what's what someone's blood glucose level was
[01:23:46.920 --> 01:23:52.120]   through one of these sensors. And so they set up an analog of human skin. They set up an analog
[01:23:52.120 --> 01:23:56.680]   of blood underneath it. And this was highly experimental. This is not a practical demonstration,
[01:23:56.680 --> 01:24:02.840]   but they said that yes, we can detect blood in this highly artificial environment. We can detect
[01:24:02.840 --> 01:24:08.840]   blood glucose levels. That just shows you how big this how broad this technology could be gone.
[01:24:08.840 --> 01:24:14.280]   And the last thing is it's almost we see ironic for Google to be promoting this because a lot
[01:24:14.280 --> 01:24:18.440]   of the stuff that is being talked about by using gestures, they certainly can be done with cameras
[01:24:18.440 --> 01:24:24.040]   of a way, way higher CPU overload, but it could be done with cameras. But the great thing about
[01:24:24.040 --> 01:24:31.560]   sonar is that radar is that it doesn't image anything. It just it just returns feedback on what signal
[01:24:31.560 --> 01:24:38.360]   was relayed back to the sensor after it made its cycle of pips. So it can't really paint an image
[01:24:38.360 --> 01:24:45.240]   of who is here can't really paint an image of what the room looks like because the range of it is
[01:24:45.240 --> 01:24:50.040]   so small. So this could be this would be a way of getting a lot of the features you can get
[01:24:50.040 --> 01:24:55.160]   through a camera with the privacy of saying no, I'm not showing any pictures of anything or anybody.
[01:24:55.160 --> 01:25:00.280]   All it is registering is simply movement. And this is the solely sensor. It really isn't about fine
[01:25:00.280 --> 01:25:07.000]   grained figuring out where it's strength is not necessarily detail of a radar image.
[01:25:07.000 --> 01:25:11.800]   The strength of it is the frequency by which of samples it can take. I think it takes something
[01:25:11.800 --> 01:25:18.440]   like 10,000 samples per second. So this would be a way for people to say maybe I am willing to use
[01:25:18.440 --> 01:25:22.280]   this feature and have it on my nightstand without having to put like a band-date or something on
[01:25:22.280 --> 01:25:26.360]   top of the camera sensor because oh my god, it's right on my nightstand. So as you can tell,
[01:25:26.360 --> 01:25:30.520]   I'm really excited about what could happen for it. If it were a Samsung feature, I'd say wow,
[01:25:30.520 --> 01:25:35.560]   that's going to be a great demo during the release event. And then we'll never hear from it again.
[01:25:35.560 --> 01:25:40.280]   But with Google, I think you know, with Google as with Apple, you would know that no, they have a
[01:25:40.280 --> 01:25:45.720]   plan for this. Whatever features they show up, they release with the phone when they first released
[01:25:45.720 --> 01:25:49.960]   is just the beginning. And next year, we're going to see things with that sensor that
[01:25:49.960 --> 01:25:56.840]   are going to that couldn't make people switch because how many how many iPhones did all of us so
[01:25:56.840 --> 01:26:01.160]   so simply about virtue of the fact that we were using it in the office or we're using with friends
[01:26:01.160 --> 01:26:05.320]   and people next to us were just incredibly jealous because they realized that I like the way that
[01:26:05.320 --> 01:26:10.760]   that phone works and I can't do that with my phone. So I listen to not if you can give me daredubbles.
[01:26:10.760 --> 01:26:13.560]   Yeah, if it can give me daredubbles radar sense, I'm buying one tomorrow.
[01:26:13.560 --> 01:26:18.920]   With the graphics though, without the graphics, it's not really much.
[01:26:18.920 --> 01:26:24.040]   Yeah, or Spidey's, I'm sorry, Peter Tingle, Spidey Sense, whatever is called. I want all of that now.
[01:26:24.040 --> 01:26:28.520]   You still won't be able to count the number of salt grains on a pretzel. And if you can't do
[01:26:28.520 --> 01:26:32.360]   that, why be dareduble at all? Not until Gen 3 at least. Okay, I'm waiting.
[01:26:34.120 --> 01:26:38.920]   Last thing for now, Apple is partnering for, we saw Apple partner for better aluminum in the past,
[01:26:38.920 --> 01:26:43.400]   Lori, came all the way to Montreal to smelt cleaner, better aluminum. But now they are talking
[01:26:43.400 --> 01:26:49.560]   about sourcing even better gold. Is this a return of a gold watch or is this just part of a more
[01:26:49.560 --> 01:26:58.040]   ethical and responsible supply chain for everybody? Well, Apple's been pretty, pretty outspoken on
[01:26:58.040 --> 01:27:03.560]   their desire to be as environmentally friendly as possible to have the smallest footprint as
[01:27:03.560 --> 01:27:11.480]   possible. So seeking out organizations that are better on the environment, but still finding the
[01:27:11.480 --> 01:27:17.560]   gold that they need for all of their devices, I think this is a good step in the right direction.
[01:27:17.560 --> 01:27:25.080]   The industry of mining for any kind of mineral in the world can be really damaging to the Earth.
[01:27:25.080 --> 01:27:31.720]   And the longer we're here on this planet, mining things, the harder it gets. So not only is this
[01:27:31.720 --> 01:27:39.560]   good that Apple is taking this initiative to try to get a better gold in a better way that doesn't
[01:27:39.560 --> 01:27:44.840]   damage the Earth so much, they're also very good at being sort of the progenitors or the
[01:27:44.840 --> 01:27:51.320]   trail blazers for other companies to do the same thing. We've seen it happen in the past and if
[01:27:51.320 --> 01:27:56.440]   they can kind of champ in how good they are for being so environmentally friendly with how they
[01:27:56.440 --> 01:28:00.680]   mine gold, then we're going to see that happen with other tech companies in the future too,
[01:28:00.680 --> 01:28:06.760]   which is all of this is all good for our future, our children's future and the planet itself
[01:28:06.760 --> 01:28:11.720]   surviving long enough. And the salmon, you have to think of the salmon Andy, all the salmon.
[01:28:11.720 --> 01:28:16.040]   Oh, that's one way that that was a good video.
[01:28:16.040 --> 01:28:26.360]   You saw the salmon tubes that I really, the video of the salmon floating through those tubes
[01:28:26.360 --> 01:28:31.560]   so they're just rocketing instead of using up to the spawning grounds of using a fish letter.
[01:28:31.560 --> 01:28:35.320]   And I just wanted to download that and put the Futurama theme song on top of it.
[01:28:35.320 --> 01:28:42.200]   One thing I skipped over that actually is really cool is that Apple's student IDs are coming to
[01:28:42.200 --> 01:28:46.280]   more schools. The minute I saw this, Apple's been using them internally at Apple Park for a long
[01:28:46.280 --> 01:28:50.760]   time where you can just, instead of using your old fashioned badge, you can use your Apple Watch
[01:28:50.760 --> 01:28:56.280]   or your iPhone to access parts of the company that you have access to. And they announced
[01:28:56.280 --> 01:28:59.880]   it for schools, but there was only a handful of schools that were doing it.
[01:28:59.880 --> 01:29:05.080]   And now there's 12 more of them. And this, I know Andy, we just talked about how dangerous it is
[01:29:05.080 --> 01:29:10.040]   to depend on digital devices for your security and happiness. But I still want this technology
[01:29:10.040 --> 01:29:16.040]   everywhere. I want this on my house. Yeah, I'd be a little bit concerned about it in schools though,
[01:29:16.040 --> 01:29:24.600]   because the implication of students owning what could be a very, very expensive phone and how
[01:29:25.240 --> 01:29:31.400]   it's a chance every time a student has to pass into a secure area or out of a certain
[01:29:31.400 --> 01:29:35.720]   area to demonstrate that, no, I don't have an iPhone, an iPhone, I have a feature phone, or I
[01:29:35.720 --> 01:29:41.640]   don't have a phone at all. This is why I'm using the laminated pass card. I like to see things that
[01:29:41.640 --> 01:29:48.440]   can do the job without causing any real class distinctions between people. But if you can show
[01:29:48.440 --> 01:29:57.400]   me how it'll make the security compound nature of modern schools feel less like you're getting
[01:29:57.400 --> 01:30:04.680]   into and out of the Kremlin, I'm for it. >> I was thinking of it as positive for college
[01:30:04.680 --> 01:30:12.120]   kids who are running from the dorm room or they just got up in the morning. They're gonna forget
[01:30:12.120 --> 01:30:16.280]   their wallet, but they're not gonna forget their phone. And there it is for them every time they
[01:30:16.280 --> 01:30:21.480]   want to. That's the first thing that pops into my head is getting it, getting access to the campus
[01:30:21.480 --> 01:30:26.680]   areas where you need to have your student ID. And oh no, I left my wallet at home. Oh wait, I've
[01:30:26.680 --> 01:30:31.880]   got my phone, I can get in this way. I think if I'm not mistaken too, it's part of the wallet app,
[01:30:31.880 --> 01:30:39.640]   which also allows them to add money, funds to their student ID so that they can purchase food and
[01:30:39.640 --> 01:30:48.120]   things like that. So college kids away from home, again, I have not been able to access this
[01:30:48.120 --> 01:30:53.080]   information. I have no idea what the interface looks like or how it works because previously,
[01:30:53.080 --> 01:30:58.120]   especially there were so few colleges that were even supporting it. But I believe that it includes
[01:30:58.120 --> 01:31:06.280]   a way for parents to upload funds to their kids student ID so that they can go get their
[01:31:06.280 --> 01:31:14.520]   lunches and go buy things in the student store and things like that. So I'm glad that it's rolling
[01:31:14.520 --> 01:31:21.560]   out to more campuses. Andy, I definitely understand your concept of the sort of like class separation
[01:31:21.560 --> 01:31:26.680]   between the two. And that is something, there's a discussion to be had on that for sure. But if
[01:31:26.680 --> 01:31:33.400]   I'm just thinking about the joys and benefits of having this sort of extra way to get around,
[01:31:33.400 --> 01:31:38.680]   it's sort of like having Apple pay, but it's for college kids and their campus life.
[01:31:38.680 --> 01:31:42.680]   So I do think it's pretty fun and I'd like to see it on more campuses.
[01:31:42.680 --> 01:31:47.080]   You're absolutely right. I was thinking of high schools in which that would be more of a
[01:31:47.080 --> 01:31:52.200]   distinction. Once you're in college, that's a totally different thing. I think you got to...
[01:31:52.200 --> 01:31:58.680]   college is supposed to be like the real world with training wheels on, and you have to deal
[01:31:58.680 --> 01:32:02.840]   with this sort of stuff in the real world. In high school, we should protect kids and
[01:32:02.840 --> 01:32:07.560]   create an environment. And college, we're trying to teach them that, look, we're...
[01:32:07.560 --> 01:32:13.400]   your professor, he or she is really nice. He doesn't care if you fail this course. He's got to
[01:32:13.400 --> 01:32:17.560]   teach you really, really hard. But if you don't show up and you don't do the class work, he's not
[01:32:17.560 --> 01:32:23.080]   going to get all sad. He's just going to mark you with an F and move on. And that's, and yes,
[01:32:23.080 --> 01:32:29.080]   that's part of it. You also made me think about how this sort of technology, whether it's embedded
[01:32:29.080 --> 01:32:37.160]   in a student ID or used in phones, can be used with, okay, this person does not belong in this dorm.
[01:32:37.160 --> 01:32:43.320]   But there is an outside door and there's an inside door. And maybe this person needs the safety of
[01:32:43.320 --> 01:32:46.680]   having a locked door between themselves and whatever they're trying to get away from.
[01:32:46.680 --> 01:32:51.560]   We will let them inside the front door, but not let them get into the housing area.
[01:32:51.560 --> 01:32:55.400]   There are a lot of things you could do with this. There's a lot of possibilities. And yeah,
[01:32:56.360 --> 01:32:58.360]   it's going to be some pretty cool stuff.
[01:32:58.360 --> 01:33:02.200]   Lori just made me think about all the kids going through and going, "Oh,
[01:33:02.200 --> 01:33:07.160]   MG, be right back, have to stop snapping so I can tap my damn phone and get in,
[01:33:07.160 --> 01:33:10.920]   I roll, I roll, I roll." And then for the three seconds that they tap, they want to make sure
[01:33:10.920 --> 01:33:16.760]   their friend doesn't think they abandoned them. Just make sure that your son or daughter knows
[01:33:16.760 --> 01:33:20.600]   which card they're pulling out of the Apple wallet, because if they're going to buy a burrito
[01:33:20.600 --> 01:33:25.000]   at 24.8% interest, that's a harsh lesson. You don't want them to learn.
[01:33:25.000 --> 01:33:34.600]   We have Boston Public Radio's Andy Inaka with us. We have I'm War's own Lori Gill. And for the
[01:33:34.600 --> 01:33:39.080]   last time, at least for right now, we're going to check in and find out where in the world Leo
[01:33:39.080 --> 01:33:45.000]   LePort is. And now, ladies and gentlemen, I interrupt this program for a word from the bravest. You
[01:33:45.000 --> 01:33:49.880]   want to talk courage? I ain't talking taking out the headphone bar, but port. I'm talking about
[01:33:49.880 --> 01:33:55.560]   taking out the inkjet cartridges. Most printer manufacturers, almost all the profit is tied up
[01:33:55.560 --> 01:34:02.520]   in ink cartridges. But Epson realized that customers don't like to have to jump up in the middle of
[01:34:02.520 --> 01:34:08.360]   a print job and go get more cartridges. They don't like the expensive cartridges. Customers,
[01:34:08.360 --> 01:34:12.520]   like me, want to put ink in the printer and forget about it. And that's the Epson Eco Tank
[01:34:12.520 --> 01:34:20.280]   printers. You just fill and chill because they come with giant super tanks that can hold up to
[01:34:20.280 --> 01:34:25.080]   two years of ink that comes with the printer. So and they're very easy to use color coded.
[01:34:25.080 --> 01:34:30.200]   You can't use the wrong bottle in the wrong tank. You put it in and you've got thousands of pages
[01:34:30.200 --> 01:34:35.960]   of print before you have to buy more ink. And when you go back to the store in 2021,
[01:34:35.960 --> 01:34:42.120]   you'll get another two years supply. So you won't be back till 2023. Yes, you could say goodbye to
[01:34:42.120 --> 01:34:48.440]   the office office store in your neighborhood. I won't be back till 2023. I love the Epson Eco
[01:34:48.440 --> 01:34:54.440]   Tank. Great printing. Really great all in one printers. They they scan the facts. They print,
[01:34:54.440 --> 01:34:59.960]   they copy the color is beautiful. And these these these tanks just make so much sense. It's
[01:34:59.960 --> 01:35:03.800]   changing the way people print. And I think it was courageous of Epson. I want to just pat him on
[01:35:03.800 --> 01:35:08.200]   the back to say, you know, maybe there's a better way. Let's think about the customer first.
[01:35:08.760 --> 01:35:13.080]   I love them. Get the compact eco tank printer for your home or office. Of course, we have both.
[01:35:13.080 --> 01:35:19.400]   So you can just fill and chill do away without a vinc frustration for the best combination of
[01:35:19.400 --> 01:35:24.680]   ease and value. Turn to the Epson eco tank printers got a specialty for you announced at the end of
[01:35:24.680 --> 01:35:31.000]   September. Now through September 30 free overnight shipping. So you can get that printer just in
[01:35:31.000 --> 01:35:35.480]   time for school back to schools coming up. Use the code eco tank leo at checkout. And that's
[01:35:35.480 --> 01:35:40.280]   for any of the eco tanks. But the offers valid only within the 48 contiguous states. There are
[01:35:40.280 --> 01:35:46.600]   some exclusions and subject to availability. Epson EPS ON dot com slash eco tank Leo. I for my
[01:35:46.600 --> 01:35:51.960]   first printer was an Epson. I've been using Epson's ever since. Remember the tractor feed the MX 80?
[01:35:51.960 --> 01:35:58.440]   That they've come a long way, baby. And now with these Epson eco tanks, they are state of the art
[01:35:58.440 --> 01:36:06.280]   eco tank printers just fill and chill Epson exceed your vision. And every photographer agrees there's
[01:36:06.280 --> 01:36:12.200]   no better photo printer than Epson's. We've all been using them. I love them. Epson dot com slash
[01:36:12.200 --> 01:36:20.680]   eco tank Leo. Now back to the show. Okay, it is time for our picks of the week. And I'm going to
[01:36:20.680 --> 01:36:27.800]   get Andy and not code to start us all off right. This is one of my favorite things in the world.
[01:36:27.800 --> 01:36:33.960]   In that it makes my life less stinky as a person who has to travel with lots and lots of different
[01:36:33.960 --> 01:36:39.560]   types of technology and lots of them are really weird shapes. This is from the camera company
[01:36:39.560 --> 01:36:45.640]   Domke D-O-M-K-E and it's just a protective wrap. And other companies make things are like this,
[01:36:45.640 --> 01:36:51.880]   but that's the word that you should look for. And all it is is it's a little padded square of
[01:36:52.440 --> 01:36:57.640]   material. It's lines like a little bit quilted available in several different sizes. And on the
[01:36:57.640 --> 01:37:04.360]   corners of one side, you have like Velcro A type stuff. On the other side, it's completely covered
[01:37:04.360 --> 01:37:10.200]   in the other type of Velcro. So why is this so cool? Well, because sometimes you have something
[01:37:10.200 --> 01:37:16.440]   like you have an object like a camera that does is so weirdly shaped, it doesn't really fit in a
[01:37:16.440 --> 01:37:21.960]   bag. Well, well, this will wrap and you can conform it to a shape. And it will always be exactly the
[01:37:21.960 --> 01:37:26.520]   right size for whatever you want to put in it. So for instance, like here is something that
[01:37:26.520 --> 01:37:32.920]   actually I'm part of the stuff that I've been carrying with me for like doing remote podcasts.
[01:37:32.920 --> 01:37:38.200]   So here's like it's a little folding tripod. And here's like a little bendable extension for the
[01:37:38.200 --> 01:37:44.600]   tripod head. And here's a little clamp extension. And I don't have a bag that will fit this correctly.
[01:37:44.600 --> 01:37:49.560]   I have lots of bags that I can just sort of toss it in and it'll rattle around. But if I just put
[01:37:49.560 --> 01:37:57.640]   this in the middle of, if I treat it like a burrito, I can just roll it up. I can just roll it up inside
[01:37:57.640 --> 01:38:03.400]   this equipment wrap. And then when I roll it up and seal it like that, now the Velcro on the top
[01:38:03.400 --> 01:38:09.640]   grabs that and I can simply fold the Velcro on the sides. And now I have a completely form fitting
[01:38:09.640 --> 01:38:14.680]   bag that is exactly the size of that weird shaped object that I wanted to put in there. And they do
[01:38:14.680 --> 01:38:19.240]   make them in all kinds of different sizes. I have one that's really, really huge that I usually use
[01:38:19.240 --> 01:38:24.760]   as a laptop sleeve, because when I travel, I don't know what's I have two or three different laptops
[01:38:24.760 --> 01:38:28.920]   with two or three different operating systems. I know I don't know necessarily which one I'm going
[01:38:28.920 --> 01:38:36.200]   to take. And I am just persnickety enough that I hate it when you buy like a laptop sleeve. And
[01:38:36.200 --> 01:38:41.800]   it says, Oh, this is especially especially for the 2015 retina Mac MacBook Pro. And you put it in
[01:38:41.800 --> 01:38:47.400]   there. And it's like, and there's like an inch. It's just the bag is like the sleeve is just an
[01:38:47.400 --> 01:38:52.920]   inch too big. It's not like form fitting. But I can put this inside this in this equipment wrap,
[01:38:52.920 --> 01:38:58.520]   and it will be exactly the size of this thing. It will not shirk, it will not shimmy will not do
[01:38:58.520 --> 01:39:03.000]   anything that stuff. And then when I want to use it on a 13 inch, on a 15 inch MacBook,
[01:39:03.000 --> 01:39:09.080]   I can also use it on the 15 inch. So I only I have a collection of these. And I always have like,
[01:39:09.080 --> 01:39:12.760]   at least whenever I'm traveling, I have like a lot of my equipment wrapped in these,
[01:39:12.760 --> 01:39:16.680]   because it allows me to simply protect it well enough. It's nicely padded. Now if I put it in my
[01:39:16.680 --> 01:39:20.360]   laptop bag, I don't worry about it. Lens getting scratched or I don't worry about
[01:39:20.360 --> 01:39:25.640]   if I'm traveling with a router that the cables will get separated from the router or whatever.
[01:39:25.640 --> 01:39:30.600]   So it's it's it's on my list of if you buy this and you just have this around,
[01:39:30.600 --> 01:39:36.040]   you will find a time probably four AM when the when the van taking you to the airport is
[01:39:36.040 --> 01:39:40.200]   is arriving in one hour, you will find a very, very important use for it. I promise you.
[01:39:41.400 --> 01:39:50.120]   It seems like it'd be good for carrying shoes around too. Like if you have a really fancy
[01:39:50.120 --> 01:39:54.520]   pair of shoes that you don't want to get messed up in your in your bag, or maybe you don't want
[01:39:54.520 --> 01:39:58.600]   it to mess up things in your bag, you can just kind of. My blue suede. I do know Lori.
[01:39:58.600 --> 01:40:05.960]   Yep. The inside is isn't like, you know, it's not like it's it's coated with marble or anything
[01:40:05.960 --> 01:40:09.560]   like that. It'll it's padded and it'll protect whatever you put inside it. So yeah, it's what
[01:40:09.560 --> 01:40:13.080]   it is for. Oh, terrific. What about you, Lori? Go what you got for us today?
[01:40:13.080 --> 01:40:20.360]   Okay. So 12 South about a year ago, they made this thing called air snap. And I've had one
[01:40:20.360 --> 01:40:26.600]   the entire time as soon as they came out, I got one because I carry my my AirPods with me.
[01:40:26.600 --> 01:40:33.560]   Hooked to my Fanny pack. I have a little, a little, like a D ring on my Fanny pack. So I hook
