;FFMETADATA1
title=Machine Gun Clippy
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-01-18
track=801
language=English
genre=Podcast
comment=Safari bug, Netherlands App Store ruling, Apple Watch ads
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:02.480]   [MUSIC PLAYING]
[01:29:35.960 --> 01:29:38.560]   The icons are big, but I see more of them.
[01:29:38.560 --> 01:29:39.560]   The maps are great.
[01:29:39.560 --> 01:29:41.560]   I mean, it's really nice.
[01:29:41.560 --> 01:29:47.200]   Unfortunately, Tesla refuses to adopt CarPlay or Android Auto.
[01:29:47.200 --> 01:29:49.440]   But there is a workaround.
[01:29:49.440 --> 01:29:54.360]   That is a strange thing to see in a Model 3.
[01:29:54.360 --> 01:30:01.600]   Apparently a Polish developer, Mikhail Gopinski, has figured out how to do it.
[01:30:01.600 --> 01:30:05.240]   Tesla doesn't even support Apple music.
[01:30:05.240 --> 01:30:06.240]   I didn't realize that.
[01:30:06.240 --> 01:30:07.240]   That's ridiculous.
[01:30:07.240 --> 01:30:08.240]   You play everything through TuneIn.
[01:30:08.240 --> 01:30:10.680]   Give me a break.
[01:30:10.680 --> 01:30:16.720]   The video shows him running CarPlay on his Model 3 screen.
[01:30:16.720 --> 01:30:21.800]   He says the steering wheel scroll button is working, which is good.
[01:30:21.800 --> 01:30:24.120]   But here's the downside.
[01:30:24.120 --> 01:30:32.160]   You have to run a separate Raspberry Pi with a custom build of Android.
[01:30:32.160 --> 01:30:39.480]   And then basically it's a server which you load into the Tesla and Car browser.
[01:30:39.480 --> 01:30:43.440]   And the mouse has to be connected to your Raspberry Pi to navigate CarPlay.
[01:30:43.440 --> 01:30:44.440]   Okay.
[01:30:44.440 --> 01:30:45.440]   So it's a lot of work.
[01:30:45.440 --> 01:30:46.440]   It's not.
[01:30:46.440 --> 01:30:47.440]   It's not.
[01:30:47.440 --> 01:30:48.440]   Yeah.
[01:30:48.440 --> 01:30:49.440]   It's a part.
[01:30:49.440 --> 01:30:50.440]   You win the bar bet.
[01:30:50.440 --> 01:30:51.800]   You win the $20, but then it probably won't do it again.
[01:30:51.800 --> 01:30:56.120]   It's easier to get doom running on this to get CarPlay.
[01:30:56.120 --> 01:30:57.680]   It's an in-car in-app purchase.
[01:30:57.680 --> 01:30:58.680]   Yeah.
[01:30:58.680 --> 01:31:03.440]   I have to say, CarPlay is going less than 30 miles an hour before the driver plays.
[01:31:03.440 --> 01:31:04.960]   I, oh, no.
[01:31:04.960 --> 01:31:06.240]   That's one of the problems with Tesla.
[01:31:06.240 --> 01:31:08.800]   You could play video games at any speed.
[01:31:08.800 --> 01:31:13.680]   They get a little heat for that, by the way.
[01:31:13.680 --> 01:31:15.360]   I do have to admit, I love CarPlay.
[01:31:15.360 --> 01:31:16.440]   I'm very happy with it.
[01:31:16.440 --> 01:31:18.080]   I've got wireless CarPlay on my car.
[01:31:18.080 --> 01:31:19.520]   It works very well.
[01:31:19.520 --> 01:31:20.520]   Nice.
[01:31:20.520 --> 01:31:22.760]   Very good job on that.
[01:31:22.760 --> 01:31:26.960]   Do you use the aerial screensaver and your Apple TV?
[01:31:26.960 --> 01:31:27.960]   I love it.
[01:31:27.960 --> 01:31:33.480]   In fact, Lisa and I will have a game to identify what it is we're seeing, you know, what city
[01:31:33.480 --> 01:31:35.160]   or whatever.
[01:31:35.160 --> 01:31:38.680]   There is an app for Mac, which I've used for a long time.
[01:31:38.680 --> 01:31:43.920]   It is now updated with the latest TVOS 15 screensavers.
[01:31:43.920 --> 01:31:45.080]   So if you've been using it.
[01:31:45.080 --> 01:31:47.240]   They're 95% Dubai now, anyway.
[01:31:47.240 --> 01:31:48.840]   There's a lot of Dubai.
[01:31:48.840 --> 01:31:50.240]   There's a lot of Dubai.
[01:31:50.240 --> 01:31:51.840]   It's pretty from the air.
[01:31:51.840 --> 01:31:52.840]   Yeah, it is.
[01:31:52.840 --> 01:31:54.200]   It's very pretty.
[01:31:54.200 --> 01:31:58.440]   We do have some more nature stuff in the new aerial screensavers.
[01:31:58.440 --> 01:32:02.760]   There's, I don't know, canyons and mountains and lakes and so forth.
[01:32:02.760 --> 01:32:08.360]   So that's Patagonia, Yosemite and the Grand Canyon in the early ones with helicopters
[01:32:08.360 --> 01:32:10.320]   and drones and stuff.
[01:32:10.320 --> 01:32:11.320]   Yeah.
[01:32:11.320 --> 01:32:13.160]   I really, I run the aerial screensaver.
[01:32:13.160 --> 01:32:14.160]   I love it.
[01:32:14.160 --> 01:32:16.320]   I just think it's beautiful everywhere I can.
[01:32:16.320 --> 01:32:17.320]   I just love it.
[01:32:17.320 --> 01:32:20.160]   That's super slow-mo.
[01:32:20.160 --> 01:32:22.280]   And so this is, it's a free app.
[01:32:22.280 --> 01:32:27.640]   I think it's on GitHub, as I remember by John Coates.
[01:32:27.640 --> 01:32:33.080]   I think it's Guillaume Luel, who has updated it to version 2.0.
[01:32:33.080 --> 01:32:36.440]   He is a self-proclaimed sea whiz.
[01:32:36.440 --> 01:32:41.040]   That probably helps.
[01:32:41.040 --> 01:32:44.680]   Where can we, here it is.
[01:32:44.680 --> 01:32:51.840]   Go to the website, codefi.com aerial 3.0.
[01:32:51.840 --> 01:32:53.000]   A couple of picks for you.
[01:32:53.000 --> 01:32:57.600]   I think this is also probably a Micah Sergeant.
[01:32:57.600 --> 01:33:03.320]   Let us take a little teeny-weeny break and then if you will, gentlemen, prepare your
[01:33:03.320 --> 01:33:06.080]   picks of the week for me.
[01:33:06.080 --> 01:33:10.600]   Meanwhile, I'd like to talk about the place I go whenever I get a good idea to get that
[01:33:10.600 --> 01:33:12.040]   domain name.
[01:33:12.040 --> 01:33:17.640]   If you're a blogger, if you're an artist, if you're a photographer, if you're a business,
[01:33:17.640 --> 01:33:22.440]   if you don't have your own custom site, you got to get one.
[01:33:22.440 --> 01:33:27.520]   Having an email at AOL.com just doesn't reflect a professional demeanor.
[01:33:27.520 --> 01:33:31.820]   Wouldn't you like to have a custom domain to link to your LinkedIn resume or your GitHub
[01:33:31.820 --> 01:33:35.000]   page or your online store?
[01:33:35.000 --> 01:33:37.120]   I think Hover is the best way to do this.
[01:33:37.120 --> 01:33:40.440]   It's the best domain register I've ever used.
[01:33:40.440 --> 01:33:45.960]   Email at your domain name, man, that is absolutely a must.
[01:33:45.960 --> 01:33:50.440]   Customers, trust it if your brand is in your email address.
[01:33:50.440 --> 01:33:54.800]   You have a very affordable, easy to set up choice with Hover.
[01:33:54.800 --> 01:33:57.680]   They have domain-based emails for all your needs, small or large.
[01:33:57.680 --> 01:34:01.960]   You can set it up when you register the domain name at Hover.com.
[01:34:01.960 --> 01:34:05.640]   When your domain renews, your mailboxes renew, you can add as many mailboxes as you
[01:34:05.640 --> 01:34:07.120]   want.
[01:34:07.120 --> 01:34:08.440]   Very affordable price.
[01:34:08.440 --> 01:34:12.840]   You get web mail if you want it, but you can also use your Apple mail or whatever client
[01:34:12.840 --> 01:34:16.360]   you want to download the email.
[01:34:16.360 --> 01:34:19.520]   Hover is not just a great place to do email.
[01:34:19.520 --> 01:34:22.880]   It's the best place to register and manage your domain.
[01:34:22.880 --> 01:34:25.960]   I like to do my own DNS manipulations.
[01:34:25.960 --> 01:34:31.440]   Hover has pro-level tools, both for email and domain management that are intuitive, easy
[01:34:31.440 --> 01:34:34.120]   to use, but give me all the capabilities I want.
[01:34:34.120 --> 01:34:38.600]   They also have a very simple way to connect your Hover domain, your new Hover domain to
[01:34:38.600 --> 01:34:42.400]   a website, a blog called Hover Connect.
[01:34:42.400 --> 01:34:43.880]   Just look for those Hover Connect buttons.
[01:34:43.880 --> 01:34:46.480]   You pick the service you want to use.
[01:34:46.480 --> 01:34:47.480]   You press the button.
[01:34:47.480 --> 01:34:48.480]   Your domain is connected.
[01:34:48.480 --> 01:34:50.920]   It's as easy as can be.
[01:34:50.920 --> 01:34:52.600]   I think it's so important.
[01:34:52.600 --> 01:34:56.560]   Hover doesn't give you all of those pop-ups saying, "Sign up for this, sign up for this,
[01:34:56.560 --> 01:34:57.560]   sign up for this."
[01:34:57.560 --> 01:35:01.560]   When you get a Hover domain name, it's all kind of there.
[01:35:01.560 --> 01:35:03.800]   The Who Is Privacy Protection is built in.
[01:35:03.800 --> 01:35:05.640]   It's part of the purchase.
[01:35:05.640 --> 01:35:10.000]   Your domain information, your registration information is private.
[01:35:10.000 --> 01:35:12.120]   Reduce spam, protect yourself.
[01:35:12.120 --> 01:35:13.600]   It's absolutely the way to do it.
[01:35:13.600 --> 01:35:14.600]   They have all manner.
[01:35:14.600 --> 01:35:22.120]   They have all the domains.com.net.info.co, even.pizza.republican.democrat.
[01:35:22.120 --> 01:35:25.960]   I have so many crazy domains at Hover.
[01:35:25.960 --> 01:35:26.960]   I use them.
[01:35:26.960 --> 01:35:27.960]   I use them.
[01:35:27.960 --> 01:35:28.960]   Some of them.
[01:35:28.960 --> 01:35:29.960]   I use them.
[01:35:29.960 --> 01:35:31.920]   If you're a customer, you're not a source of data.
[01:35:31.920 --> 01:35:38.320]   Take back control of your data with reliable tracker-free email at a domain name that reflects
[01:35:38.320 --> 01:35:39.320]   your brand.
[01:35:39.320 --> 01:35:42.880]   Hover is trusted by hundreds of thousands of customers who use their domain names and
[01:35:42.880 --> 01:35:45.640]   email to turn their ideas into a reality.
[01:35:45.640 --> 01:35:51.880]   Developers, photographers, small businesses, Hover has something for you to expand your
[01:35:51.880 --> 01:35:55.160]   projects and get the visibility you want.
[01:35:55.160 --> 01:35:56.160]   Where do you go?
[01:35:56.160 --> 01:35:58.160]   Hover hover.com/twit.
[01:35:58.160 --> 01:36:06.280]   You'll get 10% off your first purchase of any domain extension for the entire first year.
[01:36:06.280 --> 01:36:08.560]   H-O-V-E-R Hover.com/twit.
[01:36:08.560 --> 01:36:13.880]   10% off of any domain extension for a whole year.
[01:36:13.880 --> 01:36:18.240]   We thank Hover so much for their support of Mac Break Weekly.
[01:36:18.240 --> 01:36:19.400]   We thank you for supporting it.
[01:36:19.400 --> 01:36:23.520]   Take advantage of that 10% off your first purchase and let them know you saw it here by
[01:36:23.520 --> 01:36:24.760]   going to Hover.com/twit.
[01:36:24.760 --> 01:36:30.600]   Let's get some picks of the week.
[01:36:30.600 --> 01:36:35.520]   I will start with Alex Lindsey.
[01:36:35.520 --> 01:36:37.600]   I'm coming back to something that we talked about earlier.
[01:36:37.600 --> 01:36:40.400]   We spent a keynote.
[01:36:40.400 --> 01:36:43.000]   I just want to show something in keynote.
[01:36:43.000 --> 01:36:49.320]   We spent last Saturday talking about video and keynote and I put together this little
[01:36:49.320 --> 01:36:50.320]   demo.
[01:36:50.320 --> 01:36:57.320]   You see it.
[01:36:57.320 --> 01:37:02.320]   You can see that I'm in a little embedded circle in the end.
[01:37:02.320 --> 01:37:04.320]   You're in keynote.
[01:37:04.320 --> 01:37:05.320]   This is live.
[01:37:05.320 --> 01:37:07.320]   These are all live.
[01:37:07.320 --> 01:37:12.320]   These are four live sources in keynote.
[01:37:12.320 --> 01:37:18.640]   You still have all the things that you have in keynote which is, oh, I'd like to transition.
[01:37:18.640 --> 01:37:19.640]   This is still in keynote.
[01:37:19.640 --> 01:37:21.640]   Teachers should be using this.
[01:37:21.640 --> 01:37:22.640]   Professors.
[01:37:22.640 --> 01:37:26.160]   We did it in our education hours.
[01:37:26.160 --> 01:37:27.800]   These are live views.
[01:37:27.800 --> 01:37:30.320]   I want this to pop out and pop up here.
[01:37:30.320 --> 01:37:36.160]   Then I can still interact with all the things that I have.
[01:37:36.160 --> 01:37:43.200]   All the other things you have in keynote as far as a presentation goes are all still there.
[01:37:43.200 --> 01:37:48.400]   I didn't think it was that big of a deal when we were like, oh, it's a really cool feature.
[01:37:48.400 --> 01:37:52.280]   As we started to play with it, it's a game changer.
[01:37:52.280 --> 01:37:53.920]   It's a game changer.
[01:37:53.920 --> 01:37:54.920]   That's mind-poggling.
[01:37:54.920 --> 01:37:55.920]   Wow.
[01:37:55.920 --> 01:37:56.920]   It is.
[01:37:56.920 --> 01:38:02.160]   So far, in our group, the highest number someone said that they've gotten is eight cameras
[01:38:02.160 --> 01:38:03.840]   working inside of the video.
[01:38:03.840 --> 01:38:07.720]   So you're going through an ATEM to get into it?
[01:38:07.720 --> 01:38:11.360]   No, no, those are here to come back to this.
[01:38:11.360 --> 01:38:13.480]   I'm going through the ATEM here in the bottom.
[01:38:13.480 --> 01:38:17.280]   I'm actually splitting my video to the ATEM.
[01:38:17.280 --> 01:38:18.960]   The other three are web cameras.
[01:38:18.960 --> 01:38:21.160]   Those are three different web cameras just hooked up to my Mac mini.
[01:38:21.160 --> 01:38:22.160]   Up to USB.
[01:38:22.160 --> 01:38:23.160]   Okay.
[01:38:23.160 --> 01:38:24.160]   Yeah.
[01:38:24.160 --> 01:38:27.800]   So they're just on USB into the thing.
[01:38:27.800 --> 01:38:30.160]   So there's nothing exciting about those.
[01:38:30.160 --> 01:38:31.760]   I could be on a webcam as well.
[01:38:31.760 --> 01:38:37.280]   So you could have three webcams or four webcams all plugged into a Mac mini.
[01:38:37.280 --> 01:38:46.560]   And literally, if you start using the different keystrokes, I can start jumping to different,
[01:38:46.560 --> 01:38:47.920]   I can jump to different cameras.
[01:38:47.920 --> 01:38:48.920]   You can literally do a switch.
[01:38:48.920 --> 01:38:50.200]   You can actually switch.
[01:38:50.200 --> 01:38:51.200]   Yeah.
[01:38:51.200 --> 01:38:52.280]   And you go full screen on anything.
[01:38:52.280 --> 01:38:56.760]   So you can, I was thinking it'd be great for screen captures or screen shares.
[01:38:56.760 --> 01:38:58.120]   Yeah, you can totally do it.
[01:38:58.120 --> 01:39:00.280]   So if I hit, let me go over to the.
[01:39:00.280 --> 01:39:04.280]   Like if I were going to, like this is OBS Studio, but better in a way.
[01:39:04.280 --> 01:39:06.040]   Well, I don't know if it's better than OBS Studio.
[01:39:06.040 --> 01:39:08.160]   It's just different, but it gives you a lot of tools.
[01:39:08.160 --> 01:39:11.080]   The main thing is, is that you have all the tools that you have as keynotes.
[01:39:11.080 --> 01:39:12.080]   So you're in here.
[01:39:12.080 --> 01:39:16.120]   It's like, you know, you're just moving your video around.
[01:39:16.120 --> 01:39:19.560]   But that's a video frame, you know, and it's, and it's just powerful.
[01:39:19.560 --> 01:39:21.320]   Is your latency is it pretty quick?
[01:39:21.320 --> 01:39:22.320]   The latency is almost zero.
[01:39:22.320 --> 01:39:23.320]   Wow.
[01:39:23.320 --> 01:39:24.320]   I mean, you can see me in the corner.
[01:39:24.320 --> 01:39:25.320]   Yeah.
[01:39:25.320 --> 01:39:26.320]   I'm up here.
[01:39:26.320 --> 01:39:27.320]   Yeah.
[01:39:27.320 --> 01:39:28.320]   So if I go, no, it's really good.
[01:39:28.320 --> 01:39:29.800]   You know, and so the latency is very low.
[01:39:29.800 --> 01:39:30.800]   It's in it.
[01:39:30.800 --> 01:39:33.920]   And, and so you have, you know, you can definitely go full screen.
[01:39:33.920 --> 01:39:39.560]   I mean, this is so if I just built another, like if I, you know, copy this, just copy
[01:39:39.560 --> 01:39:40.560]   this.
[01:39:40.560 --> 01:39:41.560]   How do you get the camera?
[01:39:41.560 --> 01:39:43.600]   Is there just an embed camera?
[01:39:43.600 --> 01:39:46.560]   You basically, if you want to add a new one, you just go to media.
[01:39:46.560 --> 01:39:48.280]   You go down to live video.
[01:39:48.280 --> 01:39:49.280]   Oh my God.
[01:39:49.280 --> 01:39:50.280]   There's as easy as be.
[01:39:50.280 --> 01:39:51.280]   Yeah.
[01:39:51.280 --> 01:39:53.040]   And then you say, and if you want.
[01:39:53.040 --> 01:39:54.720]   So that's really nice.
[01:39:54.720 --> 01:39:55.720]   That's really nice.
[01:39:55.720 --> 01:39:56.720]   Oh, teachers should be.
[01:39:56.720 --> 01:39:57.720]   I just turned the camera off.
[01:39:57.720 --> 01:39:59.440]   Teachers should totally be using this.
[01:39:59.440 --> 01:40:00.440]   Yeah.
[01:40:00.440 --> 01:40:05.080]   But even like I'm thinking of, you know, screencasts online and stuff like that, you could make,
[01:40:05.080 --> 01:40:07.960]   you could record it and make a screencast very nicely, I think.
[01:40:07.960 --> 01:40:12.720]   That's the, that's what, one of the folks, if you look at our Saturday office hours that,
[01:40:12.720 --> 01:40:18.240]   we did with educators, that's exactly what was done is they put together an entire video.
[01:40:18.240 --> 01:40:26.200]   And that's the, that's the secret to this is that, is it really keynote is the, is the
[01:40:26.200 --> 01:40:30.400]   easiest, like I want to build a video for my class, for my company, for whatever.
[01:40:30.400 --> 01:40:34.720]   I don't know how to use motion or final cut or eye movie or any of these other apps.
[01:40:34.720 --> 01:40:38.640]   I just want to throw together videos and you can, you can totally just throw it in.
[01:40:38.640 --> 01:40:40.200]   Can you do screen capture too?
[01:40:40.200 --> 01:40:41.600]   Could I have a live screen?
[01:40:41.600 --> 01:40:42.600]   Yeah.
[01:40:42.600 --> 01:40:43.600]   Yeah.
[01:40:43.600 --> 01:40:44.600]   So you can, oh, yes.
[01:40:44.600 --> 01:40:45.600]   Yeah.
[01:40:45.600 --> 01:40:50.720]   You can, you'd have to, to do a live screen, you would need it to go to, that's the, you'd
[01:40:50.720 --> 01:40:51.720]   have to go out.
[01:40:51.720 --> 01:40:55.400]   So this is the one thing that isn't working right now is that there's no way to take
[01:40:55.400 --> 01:41:02.280]   virtual cameras and put them in, but you could, you can share your Apple TV as a source.
[01:41:02.280 --> 01:41:05.040]   You can also, you know, so you can share an Apple TV.
[01:41:05.040 --> 01:41:06.040]   No, I see.
[01:41:06.040 --> 01:41:07.400]   And then you'd live live.
[01:41:07.400 --> 01:41:08.400]   Live.
[01:41:08.400 --> 01:41:09.400]   Yeah.
[01:41:09.400 --> 01:41:10.400]   Airplay.
[01:41:10.400 --> 01:41:11.400]   Airplay it.
[01:41:11.400 --> 01:41:12.640]   And then you have it.
[01:41:12.640 --> 01:41:16.680]   You'd need to consider so because the keynote would be, oh, I guess you got to be on the
[01:41:16.680 --> 01:41:17.680]   second screen.
[01:41:17.680 --> 01:41:18.680]   Yeah.
[01:41:18.680 --> 01:41:20.680]   I mean, what I'm using is to, I mean, like to do screens.
[01:41:20.680 --> 01:41:22.720]   I'm doing three or Mac minis.
[01:41:22.720 --> 01:41:25.920]   And this, well, this one, so this one's the presentation Mac mini.
[01:41:25.920 --> 01:41:30.000]   The other one is the, this is the one that does a telestrator is my other Mac mini.
[01:41:30.000 --> 01:41:31.000]   Oh, that's cool.
[01:41:31.000 --> 01:41:32.000]   And then I just have a work one.
[01:41:32.000 --> 01:41:33.800]   What software to use for the telestrator?
[01:41:33.800 --> 01:41:34.800]   I made it.
[01:41:34.800 --> 01:41:37.320]   So anyway, so anyway, yeah.
[01:41:37.320 --> 01:41:39.600]   So this is, this is my, my telestrator software.
[01:41:39.600 --> 01:41:41.160]   So that's really good.
[01:41:41.160 --> 01:41:44.240]   Anyway, would you make that Xcode?
[01:41:44.240 --> 01:41:48.080]   So I didn't, I didn't write it.
[01:41:48.080 --> 01:41:49.080]   I designed it.
[01:41:49.080 --> 01:41:52.400]   I, I, a friend of mine is really smart.
[01:41:52.400 --> 01:41:53.920]   So really smart.
[01:41:53.920 --> 01:41:55.400]   Mark Granger put it together for me.
[01:41:55.400 --> 01:41:56.400]   Nice.
[01:41:56.400 --> 01:41:57.400]   Yeah.
[01:41:57.400 --> 01:42:00.000]   Are you ever going to let any of anybody have that?
[01:42:00.000 --> 01:42:04.880]   I am trying to, I, you know, here's the problem is that the person who wrote it for me, you
[01:42:04.880 --> 01:42:09.840]   know, wrote it over like a weekend and then, and then got a job and then that's it's complicated
[01:42:09.840 --> 01:42:10.840]   if he finishes it.
[01:42:10.840 --> 01:42:13.200]   I'm trying to find, if you're out there, you can contact me.
[01:42:13.200 --> 01:42:16.360]   I'm trying to find a good program, or the one still like, please.
[01:42:16.360 --> 01:42:17.360]   It's not in Swift.
[01:42:17.360 --> 01:42:20.200]   I want to, I want to update it and make sure the, my, my big thing is I don't want to put
[01:42:20.200 --> 01:42:22.760]   out an app that people, you know, like it works for me, but it crashes.
[01:42:22.760 --> 01:42:23.760]   It needs to be Swift too.
[01:42:23.760 --> 01:42:24.760]   It does it.
[01:42:24.760 --> 01:42:25.760]   Yeah.
[01:42:25.760 --> 01:42:27.640]   Well, but it crashes every once in a while and does a bunch of weird things.
[01:42:27.640 --> 01:42:32.720]   And, and so I, it works for me all the, you know, for me, but I, I would want to sit down
[01:42:32.720 --> 01:42:34.880]   and develop the app before I put it.
[01:42:34.880 --> 01:42:39.080]   I don't want a bunch of one stars of like, it crashed, you know, like I was like, you know,
[01:42:39.080 --> 01:42:45.080]   it's, it's, you know, so anyway, so I, um, uh, I do plan, I have a whole line of apps
[01:42:45.080 --> 01:42:46.080]   that I'm working on right now.
[01:42:46.080 --> 01:42:47.080]   I'm so ADD.
[01:42:47.080 --> 01:42:49.400]   I think I, oh, I should really learn Swift.
[01:42:49.400 --> 01:42:50.400]   I should really learn.
[01:42:50.400 --> 01:42:52.400]   I mean, it's just, it's hopeless.
[01:42:52.400 --> 01:42:53.400]   Yeah.
[01:42:53.400 --> 01:42:54.400]   Yeah.
[01:42:54.400 --> 01:42:56.040]   It's one of those years is what I need.
[01:42:56.040 --> 01:42:59.360]   I keep on thinking that I'm going to take like a couple months off and do, you know,
[01:42:59.360 --> 01:43:02.400]   coding with Chris and, and do, you know, kind of walk through the videos and I get through
[01:43:02.400 --> 01:43:06.480]   a couple of them and I, I start to get my head around it and, and then I just get busy
[01:43:06.480 --> 01:43:07.480]   again.
[01:43:07.480 --> 01:43:08.480]   Yeah.
[01:43:08.480 --> 01:43:09.480]   I get paid to do.
[01:43:09.480 --> 01:43:10.480]   Yeah.
[01:43:10.480 --> 01:43:11.480]   That's me too.
[01:43:11.480 --> 01:43:12.480]   Yeah.
[01:43:12.480 --> 01:43:13.480]   Yeah.
[01:43:13.480 --> 01:43:14.480]   Very nice.
[01:43:14.480 --> 01:43:15.480]   Very cool.
[01:43:15.480 --> 01:43:16.480]   I'm going to have to start playing with that.
[01:43:16.480 --> 01:43:17.480]   That's pretty cool.
[01:43:17.480 --> 01:43:21.280]   It's super, like if you're, if you're a, if you're presenting, it's, it is, it, I mean,
[01:43:21.280 --> 01:43:25.000]   all of keynote is really good, but the live video now means that you can do, you can finally
[01:43:25.000 --> 01:43:29.160]   do those presentations that, you know, you don't want to be having someone watch the slide
[01:43:29.160 --> 01:43:30.160]   the whole time.
[01:43:30.160 --> 01:43:33.360]   It can be your webcam or if you're a teacher, you can have your webcam and you can have an
[01:43:33.360 --> 01:43:36.840]   overhead webcam, you know, that's looking down at something that you're, that you're
[01:43:36.840 --> 01:43:38.720]   talking about, you know, that type of thing.
[01:43:38.720 --> 01:43:42.000]   So, and then you can keep on cutting to, you know, videos and everything else.
[01:43:42.000 --> 01:43:44.600]   So you have all the access to all the different media that you have.
[01:43:44.600 --> 01:43:47.680]   And, and I think that it's just a really, you know, overlooked.
[01:43:47.680 --> 01:43:51.160]   I mean, I, I've had this discussion before, but it's someone asked like, what app has
[01:43:51.160 --> 01:43:52.800]   made you the most money in the last 20 years?
[01:43:52.800 --> 01:43:57.200]   I was like keynote, keynote has made the most money by far, like millions, you know, like
[01:43:57.200 --> 01:44:01.040]   not me millions, but companies that I work for, you know, it's made the millions because
[01:44:01.040 --> 01:44:04.200]   it's, you know, it's the, it's how you pitch and it's how you talk about things and how
[01:44:04.200 --> 01:44:07.440]   you even just illustrate how we're going to do this project, you know.
[01:44:07.440 --> 01:44:09.360]   So it's, it's really powerful in the live video.
[01:44:09.360 --> 01:44:11.240]   It just really takes it to a whole other level.
[01:44:11.240 --> 01:44:12.240]   Nice.
[01:44:12.240 --> 01:44:15.240]   Renee Richie, pick of the week.
[01:44:15.240 --> 01:44:17.640]   So this is an oldie, but a goodie.
[01:44:17.640 --> 01:44:19.560]   It's Neil Seibart's above Avalon.
[01:44:19.560 --> 01:44:22.080]   Oh, Neil Seibart is not familiar with him.
[01:44:22.080 --> 01:44:24.280]   He was a former sell side analyst.
[01:44:24.280 --> 01:44:27.680]   I think he used to post his Sammy the Walrus back in the day.
[01:44:27.680 --> 01:44:31.680]   But since going independent, he's full in on being Neil Seibart.
[01:44:31.680 --> 01:44:39.400]   And above Avalon, it's very different than like Stretecherie from Ben Thompson, where
[01:44:39.400 --> 01:44:41.960]   he just focuses on Apple.
[01:44:41.960 --> 01:44:43.360]   But he really digs deep.
[01:44:43.360 --> 01:44:48.640]   He's one of the most accurate Apple analysts out there in terms of like if you're interested
[01:44:48.640 --> 01:44:52.400]   in the stock or where he thinks it's moving and how the businesses are doing, very accurate
[01:44:52.400 --> 01:44:53.400]   in terms of predictions.
[01:44:53.400 --> 01:44:56.040]   You often poo poo is the outrageous outlandish numbers.
[01:44:56.040 --> 01:45:01.320]   You hear for sales and gives you much, much more down to earth, much more accurate numbers.
[01:45:01.320 --> 01:45:06.280]   But he also, I love that he per he prosecutes a lot of the sensational articles that we
[01:45:06.280 --> 01:45:10.240]   see like something will come out and he'll dig into it and he'll say, wait, there's actually
[01:45:10.240 --> 01:45:11.240]   no source for this.
[01:45:11.240 --> 01:45:13.120]   They're quoting this person is quoting them.
[01:45:13.120 --> 01:45:17.720]   You know, it's like a circle quoting at a certain point.
[01:45:17.720 --> 01:45:20.200]   And he does this daily newsletter.
[01:45:20.200 --> 01:45:21.200]   You subscribe to it.
[01:45:21.200 --> 01:45:23.480]   He also does it in podcast form.
[01:45:23.480 --> 01:45:29.680]   And he just he really gives very deep analysis around everything that involves Apple as
[01:45:29.680 --> 01:45:32.760]   a like, you know, a for profit company.
[01:45:32.760 --> 01:45:33.960]   It's not going to be for everyone.
[01:45:33.960 --> 01:45:37.760]   But if that kind of stuff is really interesting to you, especially if you're, if you look
[01:45:37.760 --> 01:45:41.160]   at Apple from like a financial point of view, it's just the best thing out there.
[01:45:41.160 --> 01:45:44.400]   I read it every day and it's it's tremendously valuable to me.
[01:45:44.400 --> 01:45:46.920]   Add it to your RSS feeds.
[01:45:46.920 --> 01:45:49.240]   Put it in your Google reader.
[01:45:49.240 --> 01:45:51.840]   Yeah, I completely agree with you.
[01:45:51.840 --> 01:45:59.720]   You'll sidebar it above Avalon.com. Thank you, Renee, Annie and I co-pick of the week.
[01:45:59.720 --> 01:46:02.560]   One quick one and that's really important and one.
[01:46:02.560 --> 01:46:03.560]   Wow.
[01:46:03.560 --> 01:46:04.560]   Why my so blurry?
[01:46:04.560 --> 01:46:07.320]   Well, probably should switch to section.
[01:46:07.320 --> 01:46:08.320]   It's actually good.
[01:46:08.320 --> 01:46:10.380]   Your skin has never looked finer.
[01:46:10.380 --> 01:46:11.380]   It's the Streisand.
[01:46:11.380 --> 01:46:13.400]   It was original wonder for the Internet.
[01:46:13.400 --> 01:46:14.400]   Yeah.
[01:46:14.400 --> 01:46:19.700]   So the United States government opened up its free COVID test kits for everybody program
[01:46:19.700 --> 01:46:20.700]   a day early.
[01:46:20.700 --> 01:46:25.740]   So if you go to covatest.gov, they will give them your name and address and they will mail
[01:46:25.740 --> 01:46:28.820]   you a four pack of rapid tests.
[01:46:28.820 --> 01:46:31.660]   You don't even have to pay for postage.
[01:46:31.660 --> 01:46:35.900]   And I you would expect that the news would be, wow, like went online like three or four
[01:46:35.900 --> 01:46:36.900]   hours ago.
[01:46:36.900 --> 01:46:41.220]   And now of course, instead, no, I went online just before the show and it worked just fine.
[01:46:41.220 --> 01:46:45.060]   And then I just even just tested it like five minutes ago and the site is still responsive.
[01:46:45.060 --> 01:46:46.860]   So for some reason, we go.
[01:46:46.860 --> 01:46:51.020]   The government websites actually working indeed.
