;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[01:50:15.720 --> 01:50:21.960]   I mean I do a show every week where we're talking about apps all the time and sometimes these come up and it's just like the brilliance of
[01:50:21.960 --> 01:50:23.720]   people
[01:50:23.720 --> 01:50:29.240]   Making use of the tools they have on hand or maybe they're a little bit aspirational the tools that they want to have on hand
[01:50:29.240 --> 01:50:35.880]   They get them and they just run with it and uh, it's so inspiring. Yeah. Yeah and also and also
[01:50:36.840 --> 01:50:39.000]   I'm really really fascinated by this idea that
[01:50:39.000 --> 01:50:45.960]   We're kind of at the transition point of like where photography might have been like in 1840 1850
[01:50:45.960 --> 01:50:51.000]   Where we know this technology exists. We don't know how well it's going to be used in the future
[01:50:51.000 --> 01:50:53.560]   but the thing is like
[01:50:53.560 --> 01:50:55.800]   they're there with a
[01:50:55.800 --> 01:51:00.600]   Radiance fields and earth fields and the ability to say look I have I have no idea
[01:51:00.920 --> 01:51:07.000]   What could be gained by using the light our scanner on my phone to create this really coarse 3d map
[01:51:07.000 --> 01:51:13.560]   Of what this place looked like but maybe it means that in 20 30 40 years time
[01:51:13.560 --> 01:51:19.480]   I could simply drag this file onto an app or whatever is going to be an app or in 23 the years and create
[01:51:19.480 --> 01:51:23.160]   Absolutely like 12k resolution
[01:51:23.160 --> 01:51:29.160]   240 300 frame per second virtual reality reconstruction of this
[01:51:29.560 --> 01:51:34.360]   Uh, I was thinking about that while watching the uh while watching the the the queen's funeral thinking that
[01:51:34.360 --> 01:51:39.880]   This is not being broadcast. There's not going to be a VR app or an augmented reality app that will place you here
[01:51:39.880 --> 01:51:43.480]   They're not broadcasting it that way, but it made me wonder if
[01:51:43.480 --> 01:51:50.600]   Somewhere in the planning over the past like two or three years they didn't think here is where we could put a couple of very discreet
[01:51:50.600 --> 01:51:55.480]   Lidars so that if in the future historians wanted to reconstruct this or
[01:51:56.440 --> 01:52:00.040]   Reframe this or reshoot this they would have the benefit of this data
[01:52:00.040 --> 01:52:07.720]   It's like it's like we'll put this data into a time capsule where this newspaper looks like it's useless to us today or this
[01:52:07.720 --> 01:52:12.680]   This purse that that we've recovered from that was lost 50 years ago
[01:52:12.680 --> 01:52:17.240]   It's just a purse that's just filled with common stuff that people used to carry 50 60 years ago
[01:52:17.240 --> 01:52:22.200]   If it were recovered a month later, it would just be worthless except for the cash in the pocket in the in the purse
[01:52:22.200 --> 01:52:28.440]   But 50 or 60 years ago to see no here is what a teenager at this high school would have been carrying each and every day
[01:52:28.440 --> 01:52:31.080]   Then expand that to 100 years from now 200 years from now
[01:52:31.080 --> 01:52:33.720]   So that's why it got me really really interested to think about
[01:52:33.720 --> 01:52:37.400]   If if I were one of the nerds in charge of that funeral, I'd be thinking
[01:52:37.400 --> 01:52:45.000]   What could we put in or well as part of the preparations for after the casket has been draped everything's been put on it
[01:52:45.000 --> 01:52:51.800]   Let's do as good a 3d scan of it as we can so that just as people are going to be reviewing this hd footage
[01:52:51.800 --> 01:52:57.720]   Just as people are going to be reviewing the photos if they want to review a 3d examination of this they could do that too
[01:52:57.720 --> 01:53:02.600]   That's this is the sort of thing that gets my gears going and light on every single phone and ipad
[01:53:02.600 --> 01:53:07.800]   Is definitely power is part of that engine. So now by the way, the press release is actually a great article
[01:53:07.800 --> 01:53:10.760]   They've hiring they've been hiring so many good journalists
[01:53:10.760 --> 01:53:16.920]   They doesn't have a byline. I don't think but whoever wrote it obviously has experienced writing feature articles
[01:53:16.920 --> 01:53:19.640]   uh for magazines and newspapers
[01:53:19.640 --> 01:53:24.360]   But now that i've read it and instead of just looking at the pictures because the pictures are great
[01:53:24.360 --> 01:53:31.160]   That what they've been doing is scanning as they dig so that they can reconstruct the excavation from beginning to end
[01:53:31.160 --> 01:53:34.920]   And then when they find things they scan them they have a picture of a coin
[01:53:34.920 --> 01:53:39.240]   You know vassuvius erupted 79 ad but some of the things they're finding
[01:53:39.240 --> 01:53:44.680]   Might predate that from there was an earlier earthquake and so forth and so there's a coin
[01:53:44.680 --> 01:53:48.840]   Uh that they they scan and so these will be available eventually
[01:53:49.400 --> 01:53:50.840]   online
[01:53:50.840 --> 01:53:54.040]   Uh, this is the the gold coin. It's an aureus that they found
[01:53:54.040 --> 01:53:59.640]   Uh during and and so they they actually have now been able to scan that that's from uh
[01:53:59.640 --> 01:54:02.200]   uh the year 13 or 14
[01:54:02.200 --> 01:54:04.280]   Uh
[01:54:04.280 --> 01:54:09.400]   And so eventually they're going to pretty present this at an archaeological conference
[01:54:09.400 --> 01:54:14.920]   But I would hope that at some point that put it online as well. I think that must be kind of a goal at some point
[01:54:14.920 --> 01:54:16.680]   um
[01:54:16.680 --> 01:54:21.240]   Because you've got 3d scans of of this whole excavation is very cool
[01:54:21.240 --> 01:54:22.200]   They're going to
[01:54:22.200 --> 01:54:27.000]   Present at the annual archaeological institute of america uh conference in january
[01:54:27.000 --> 01:54:31.640]   Uh, there's an entire database reflecting the uh the excavation
[01:54:31.640 --> 01:54:37.960]   Yeah, and each just think about each stuff just think about what they're doing what like this masonian is doing other other institutions
[01:54:37.960 --> 01:54:40.040]   Just basically as part of their
[01:54:40.040 --> 01:54:45.400]   Acquisition process do not only catalog it not only photograph it but also produce really good 3d scans of it
[01:54:45.400 --> 01:54:52.040]   So that at the the so many exhibits of the smithsonian where if you want your own copy of this urn that was retrieved
[01:54:52.040 --> 01:54:57.640]   Uh 50 years ago from a dig site that was uh was was overwhelmed 5 000 years ago
[01:54:57.640 --> 01:55:00.360]   Downloaded 3d printed and now you have your own copy of it
[01:55:00.360 --> 01:55:04.280]   You can hold it in your hand just as people used to hold in their hands 3 3000 years ago
[01:55:04.280 --> 01:55:06.840]   It's I never get bored with this stuff
[01:55:06.840 --> 01:55:12.280]   iOS 16.1 is on its way beta 3 has gone out to developers
[01:55:12.280 --> 01:55:14.280]   um
[01:55:14.280 --> 01:55:20.440]   iPad pro models from 2018 and newer will now be able to take advantage of stage manager
[01:55:20.440 --> 01:55:23.560]   Uh, you won't be able to do the external display
[01:55:23.560 --> 01:55:29.240]   Apples removing external supply display support for stage manager on m1 ipads
[01:55:29.240 --> 01:55:35.080]   Maybe that's some of the problems the external display one of the reasons that stage manager is slow to come out
[01:55:35.080 --> 01:55:36.680]   Um
[01:55:36.680 --> 01:55:41.720]   Apples making stage manager work with a number of older devices for the first time the 11 inch ipad pro
[01:55:42.280 --> 01:55:45.400]   12.9 inch ipad pro third generation and later
[01:55:45.400 --> 01:55:48.840]   Uh as long as you have an a 12x or a 12z chip
[01:55:48.840 --> 01:55:52.280]   As as well as the m1 you'll be able to use this
[01:55:52.280 --> 01:55:58.840]   So maybe we're making some progress to getting stage manager out apple has kind of promised it will come out with ipad os next month
[01:55:58.840 --> 01:56:01.960]   We think we don't know. Yeah, that's that's the hope
[01:56:01.960 --> 01:56:08.520]   I mean, I think now we just have to see if uh, they can iron out all of the little bugs and this seems to be
[01:56:09.240 --> 01:56:13.240]   of all of the things uh stage manager in particular seems to be
[01:56:13.240 --> 01:56:23.080]   One feature where apple is doing a bit more of a dance with the folks who are using these betas and saying things about them
[01:56:23.080 --> 01:56:25.880]   Um, the changes that I keep hearing
[01:56:25.880 --> 01:56:29.640]   Uh that are that are you know making their way into the ipad after the beta
[01:56:29.640 --> 01:56:34.120]   Are a lot of the same feedback that i've seen whenever everybody tries out a new beta
[01:56:34.200 --> 01:56:42.680]   So they seem to be listening pretty clearly on this uh and you know really sort of trying to get this right and make sure that's ready and available for people
[01:56:42.680 --> 01:56:44.200]   especially because
[01:56:44.200 --> 01:56:49.800]   There have been some um issues with the uh with ios
[01:56:49.800 --> 01:56:53.720]   Uh in in the first rollout we've got that 16.0.1
[01:56:53.720 --> 01:56:59.240]   But then we just recently got 16.0.2 and there were all of these issues including one that lisa experienced
[01:56:59.240 --> 01:57:01.560]   What was that?
[01:57:01.560 --> 01:57:02.440]   Um
[01:57:02.440 --> 01:57:07.480]   Her it was uh when she did the restore her phone wouldn't start. Oh, yeah. Yeah. Yeah
[01:57:07.480 --> 01:57:10.040]   We should mention that one more time
[01:57:10.040 --> 01:57:11.800]   Um
[01:57:11.800 --> 01:57:14.760]   Actually, I don't know if we mentioned it last week. So lisa
[01:57:14.760 --> 01:57:19.640]   Did we mention this last week or did we talk about it? We talked about it. Yeah, we talked about it on the tech guy
[01:57:19.640 --> 01:57:22.040]   Yep, that's why I feel like i've talked about this so
[01:57:22.040 --> 01:57:24.280]   There are
[01:57:24.280 --> 01:57:28.680]   Three at least ways to migrate from an old iphone to a new iphone
[01:57:29.240 --> 01:57:36.120]   You and i mica did the kind of easy and obvious thing which was uh put the two of them side by side
[01:57:36.120 --> 01:57:38.520]   Uh, which then
[01:57:38.520 --> 01:57:43.480]   Paired the sim moved the sim over and then it gives you the choice to restore from icloud
[01:57:43.480 --> 01:57:46.760]   Or copy while they're sitting side by side and you and i
[01:57:46.760 --> 01:57:49.880]   Reasonably, I think decided to use the icloud backup
[01:57:49.880 --> 01:57:51.560]   lisa did
[01:57:51.560 --> 01:57:55.880]   What john groobber recommended last year which was used the the phone to phone backup
[01:57:56.200 --> 01:57:59.240]   I always thought that's got to be slower. You have to be on the same wi-fi network
[01:57:59.240 --> 01:58:03.560]   But you know i worked actually really fast for her. She did it. She went to bed
[01:58:03.560 --> 01:58:08.680]   Uh saturday night. I think it was her friday night. She got the phone of friday. So you have friday or saturday night
[01:58:08.680 --> 01:58:10.120]   Uh
[01:58:10.120 --> 01:58:14.040]   With the process begun woke up to a dead iphone 14 pro max
[01:58:14.040 --> 01:58:17.640]   Like nothing no on off switch nothing blank screen
[01:58:17.640 --> 01:58:20.360]   Actually, she woke up to it at three in the morning and
[01:58:21.560 --> 01:58:25.480]   Said hey, hey said hey, what's wrong? That's it. I don't know. Can we do it in the morning?
[01:58:25.480 --> 01:58:32.200]   No, it's she was she told me later. She never went back to sleep. She was like so upset that her new brand new phone was dead
[01:58:32.200 --> 01:58:34.760]   But to her credit
[01:58:34.760 --> 01:58:38.600]   Before the tech i woke up the next morning she went online and found a youtube video
[01:58:38.600 --> 01:58:42.360]   That said oh, yeah, just do the full reset and they'll come back to life
[01:58:42.360 --> 01:58:48.360]   So that's the volume up volume down and then press and hold the screen on off key till you see the apple
[01:58:48.680 --> 01:58:55.240]   And it came back to life. Everything was fine. So this is apparently a known bug with the phone to phone upgrade
[01:58:55.240 --> 01:58:57.800]   Yes, and there's also another one where
[01:58:57.800 --> 01:59:03.400]   Folks who are charging their specifically with the pro models when folks are charging their pro models
[01:59:03.400 --> 01:59:08.280]   It will get between 90 and 95 charged a lot of times it seems to be at 93
[01:59:08.280 --> 01:59:11.480]   In particular and then the phone will just hard reset
[01:59:11.480 --> 01:59:18.120]   And the apple support this is what i was talking about earlier apple supporters said a whole number of things including
[01:59:18.280 --> 01:59:22.280]   Some that makes sense like uh restoring the phone from dfu mode will help
[01:59:22.280 --> 01:59:25.080]   Restoring the mo the phone from restore mode will help
[01:59:25.080 --> 01:59:30.840]   But some there was one uh support person who said delete the ufi app on your phone
[01:59:30.840 --> 01:59:34.040]   You fit right what i don't get it
[01:59:34.040 --> 01:59:39.720]   The the other one was and what ended up working for this person. Oh the ufi app did i fix it
[01:59:39.720 --> 01:59:45.160]   No, that was just random that was they they thought that that could be causing the problem for some reason
[01:59:45.160 --> 01:59:50.680]   I don't know the context of it unfortunately, but I thought I can't be on page 35 of your binder you'll find it
[01:59:50.680 --> 01:59:53.000]   Right footnotes
[01:59:53.000 --> 01:59:56.840]   Says perhaps uh so what ended up working for the person
[01:59:56.840 --> 02:00:01.560]   Like excuse me was um turning off background app refresh
[02:00:01.560 --> 02:00:04.280]   All of their apps
[02:00:04.280 --> 02:00:08.360]   And that's just not something that should be like you should not need to do that for it to work
[02:00:08.360 --> 02:00:09.560]   So
[02:00:09.560 --> 02:00:13.480]   This is uh something that I think apple will end up addressing in the next
[02:00:13.800 --> 02:00:19.880]   uh iteration as well as we continue to see these little things the 16.0.2 update fixed the
[02:00:19.880 --> 02:00:28.040]   optical image stabilization rattle that some people were experiencing on their product and snapchat. Yeah, yeah, yeah, so um
[02:00:28.040 --> 02:00:30.840]   This is a harder one to fix because
[02:00:30.840 --> 02:00:36.280]   You could fix it from from now if you figure out what's going on by putting newer uh
[02:00:36.280 --> 02:00:40.600]   Operating system or a fixed operating system on the phone, but all those phones that are
[02:00:41.320 --> 02:00:46.600]   In the stores that have been shipped out. This is this is they all you can't fix the bug. You know retroactively
[02:00:46.600 --> 02:00:48.600]   uh lisa
[02:00:48.600 --> 02:00:52.120]   Found uh a youtube video so we'll give credit to that
[02:00:52.120 --> 02:00:53.880]   um
[02:00:53.880 --> 02:00:59.880]   youtube I had a fixed frozen black screen after data transfer by web pro education
[02:00:59.880 --> 02:01:05.000]   And uh this two-minute video walked her through it and it worked for an american our chat room
[02:01:05.000 --> 02:01:08.120]   Told me a couple of days ago kiss lisa for me now
[02:01:08.200 --> 02:01:13.000]   Now I know why he said it because it it was he had the same problem and it fixed it yes
[02:01:13.000 --> 02:01:15.480]   Uh for her so not good
[02:01:15.480 --> 02:01:18.200]   But at least you know
[02:01:18.200 --> 02:01:21.480]   If you're doing a day at transferring a phone to phone transfer
[02:01:21.480 --> 02:01:26.600]   Uh and it goes black that's how you do it. You do a reset. I would have I would have probably tried that
[02:01:26.600 --> 02:01:31.080]   Had I been awake. Yeah, you and I definitely would have I thought when I got up
[02:01:31.080 --> 02:01:36.520]   I said um I might have to do a dfu which is one step even further down the road, but no the reset the reset worked fine
[02:01:38.040 --> 02:01:43.160]   So this is what it looks like when you have the transfer complete on your old phone and nothing
[02:01:43.160 --> 02:01:47.400]   You're on your new phone. I think it's only iphone pros
[02:01:47.400 --> 02:01:51.320]   14 pros, right? Yes. Um, in fact all of these issues
[02:01:51.320 --> 02:01:55.640]   Any of the ones that have been reported so far have all been pro models and I don't know if that's just
[02:01:55.640 --> 02:01:59.160]   This is this is the problem. It could be a selection error
[02:01:59.160 --> 02:02:04.600]   I think is the proper term here because people with pros are more likely to be people who have like twitter accounts
[02:02:04.600 --> 02:02:06.600]   And so they're talking more about it. Yeah
[02:02:06.600 --> 02:02:09.720]   I'm getting picked up by that. You know what I mean? So it could be that the non pros are having it
[02:02:09.720 --> 02:02:14.200]   And we just don't know it but as far as that goes, that seems to be the case rosemary
[02:02:14.200 --> 02:02:20.280]   Had an interesting issue with her her air pods per second generation the first one she got
[02:02:20.280 --> 02:02:25.480]   Um, you know normally that when you get a new apple device or any device that has a rechargeable battery
[02:02:25.480 --> 02:02:30.840]   They typically come around 50 to 60 charge because that's how you're meant to store those batteries
[02:02:30.840 --> 02:02:34.920]   So she got her air pods pro she opened them and they didn't do anything and so she thought
[02:02:34.920 --> 02:02:38.040]   Oh, this must just be one of those rare times where the battery didn't come charged
[02:02:38.040 --> 02:02:44.200]   She plugged it in for an hour and a half and came back and it still wasn't doing anything wasn't lighting up nothing
[02:02:44.200 --> 02:02:49.080]   And tried a whole bunch of different things. Of course, there's not a whole lot of interaction
[02:02:49.080 --> 02:02:50.760]   You can do it in your buds pro
[02:02:50.760 --> 02:02:54.280]   So she ended up having to take them in they had a the battery was just bad
[02:02:54.280 --> 02:02:57.800]   And so she had to get a new pair, but there were plenty in stock. So she was able to get one
[02:02:57.800 --> 02:03:01.480]   But I think it's worth saying to folks who are listening
[02:03:01.480 --> 02:03:04.040]   Um, I remember rene ritchie telling me this
[02:03:04.680 --> 02:03:09.000]   And especially with new device launches if you're having any issues
[02:03:09.000 --> 02:03:13.400]   Always feel free or always feel encouraged even to reach out to apple
[02:03:13.400 --> 02:03:18.680]   And if you have apple stores nearby go in to do that because they are trying to capture
[02:03:18.680 --> 02:03:26.680]   All sorts of devices that do have errors and issues so that they can you know, may iron that out in the manufacturing and ongoing process
[02:03:26.680 --> 02:03:29.160]   Uh, so it's well worth, you know
[02:03:29.160 --> 02:03:31.320]   Making sure your phone is exactly how you want it
[02:03:31.800 --> 02:03:36.440]   Because they want to make that the case too and also find those devices that are misbehaving and see if it's a
[02:03:36.440 --> 02:03:43.080]   You know a trend. Yeah, it's not just it's not just if devices are misbehaving even if you drop it and you break the screen
[02:03:43.080 --> 02:03:46.520]   You never there's sometimes our hunting hunting list
[02:03:46.520 --> 02:03:51.160]   They're basically saying look if so if they come in we we want two examples of phones with broken screens
[02:03:51.160 --> 02:03:56.200]   So we want to know how well these things are are stepping up. So yes, you absolutely drop it on your own
[02:03:56.200 --> 02:03:58.520]   Yes, you screwed up. No, it's not covered by warranty
[02:03:58.760 --> 02:04:02.680]   But they might just give you a new one because again kuberkino engineers are saying
[02:04:02.680 --> 02:04:09.880]   Please please capture as many of these devices as possible with the following specific problems because we definitely want to take a look at how well
[02:04:09.880 --> 02:04:11.960]   People are using new things
[02:04:11.960 --> 02:04:15.000]   Uh apple tv news
[02:04:15.000 --> 02:04:20.920]   apple and opra are going their separate ways the last opra project was the sindy pwati
[02:04:20.920 --> 02:04:24.040]   Documentary which just appeared on apple tv
[02:04:24.520 --> 02:04:28.280]   It was a multi-year deal sign in 2018, but the contract has run
[02:04:28.280 --> 02:04:34.920]   I guess they're there there's parting ways, you know, but they still have mutual respect for one another
[02:04:34.920 --> 02:04:37.800]   And I think this is a big story
[02:04:37.800 --> 02:04:42.920]   Uh vint skill again, of course the creator of breaking bad and better call saw
[02:04:42.920 --> 02:04:46.200]   Has mo is moving from a emc
[02:04:46.200 --> 02:04:51.000]   To apple tv plus they have landed his new tv project
[02:04:51.480 --> 02:04:57.720]   Two season order and it stars ria sehorn who is absolutely wonderful and better call saw
[02:04:57.720 --> 02:05:03.240]   Uh, so i'm really glad to see it's not going to be a breaking bad universe
[02:05:03.240 --> 02:05:09.640]   Uh show in fact, it's not even expected to be involved the underworld of drugs and crime at all
[02:05:09.640 --> 02:05:17.080]   So I don't know is it a sitcom it's a I don't know what this means a grounded genre drama
[02:05:18.520 --> 02:05:21.400]   Wow grounded drama and say that five times fast
[02:05:21.400 --> 02:05:27.240]   Yeah, but any any drama coming up vint skill again plus ria sehorn perfect as so
[02:05:27.240 --> 02:05:31.160]   That's like she for anybody who didn't watch better call saw
[02:05:31.160 --> 02:05:35.800]   I think she is the the the way that she performed the role that was written for her
[02:05:35.800 --> 02:05:42.520]   Is the reason why better call saw was previewed with people thinking? Oh, so the wacky out there outlandish
[02:05:42.520 --> 02:05:46.760]   Is going to be sort of like a comedy drama where they see the hijinks
[02:05:47.000 --> 02:05:52.840]   Which turned it into I think the relationship that they wrote between ria sehorn and uh and bob
[02:05:52.840 --> 02:05:58.760]   Oden cork kirk is what turned it into something as good as as impactful as breaking bad if not more so
[02:05:58.760 --> 02:06:02.200]   So yeah, that's super super exciting. It's like if I
[02:06:02.200 --> 02:06:05.480]   I've no I've no skin in this game because I do have the package
[02:06:05.480 --> 02:06:11.800]   I have got apple tv plus anyway, but this is the sort of thing that would have gotten me to say maybe I should sample apple tv plus
[02:06:11.800 --> 02:06:16.360]   Cause I don't want to not see that thing. Oh severance is so good. I know you love ted lasso
[02:06:16.920 --> 02:06:19.160]   Yeah, um, do you see do you see the good stuff?
[02:06:19.160 --> 02:06:21.400]   Yeah, did you see the the latest?
[02:06:21.400 --> 02:06:26.120]   Ted lasso is now going to be a playable character in fifa 2023
[02:06:26.120 --> 02:06:31.720]   As well as as well as richmond is going to be a playable club with all of the characters as players
[02:06:31.720 --> 02:06:34.040]   The fictional club richmond
[02:06:34.040 --> 02:06:41.000]   Uh, which is from the ted lasso game, uh, and he is a player or a coach. He is no it's a it's a team
[02:06:41.160 --> 02:06:47.080]   It's it's a team that's playable in fiva 2023. So yes, he is the coach of the team that got capture of sude
[02:06:47.080 --> 02:06:51.320]   Cause they also got capture of like the actual actor. They got Roy. Do they have Roy?
[02:06:51.320 --> 02:06:55.960]   Yep. Yep. At the end of this clip at the end of this clip, they have some gameplay footage
[02:06:55.960 --> 02:06:58.840]   Uh, he's bleeping and
[02:06:58.840 --> 02:07:05.000]   Let me get some footage from the from the game. Oh, yeah, there's a there is a ted lasso
[02:07:05.000 --> 02:07:08.120]   And there's roy. Oh wow the whole team
[02:07:08.840 --> 02:07:10.920]   Oh, you know what that I will buy
[02:07:10.920 --> 02:07:14.600]   That game just because of that
[02:07:14.600 --> 02:07:17.240]   That's awesome
[02:07:17.240 --> 02:07:22.840]   Also because now i'm i'm happy because I know that somewhere there's motion caption of jason sude
[02:07:22.840 --> 02:07:27.560]   Because do it like cabbage patching because we have we haven't seen him like on we haven't seen him on
[02:07:27.560 --> 02:07:32.440]   Ted lasso doing that except for like quote archival video footage of when his college team won
[02:07:32.440 --> 02:07:37.720]   But you know that that's one of his celebration moves as coach in this game. That's gotta be that is a brilliant
[02:07:37.960 --> 02:07:46.040]   promotional move on the part of fifa sucker is that electronic arts probably uh, what a what a great great move. Wow
[02:07:46.040 --> 02:07:49.400]   I hope they're a wonderful team
[02:07:49.400 --> 02:07:56.840]   It's got the whole it's got everybody's got all the coaches. Yes, great. It's so good. You're the side like they even got coach coach coach
[02:07:56.840 --> 02:07:59.560]   Uh
[02:07:59.560 --> 02:08:06.120]   Anything else going on that we want to talk about i'm looking at the things you guys added
[02:08:07.000 --> 02:08:11.160]   Um, I think we've covered everything that was in our rundown for the day, which means
[02:08:11.160 --> 02:08:15.000]   If you will prepare yourselves our picks of the week are
[02:08:15.000 --> 02:08:19.320]   Imminent before we do I want to put in a plug you may have noticed
[02:08:19.320 --> 02:08:21.880]   You know because you're you're that way
[02:08:21.880 --> 02:08:24.440]   Uh that there was only one ad on this show
[02:08:24.440 --> 02:08:26.920]   Uh, and that was a house ad so
[02:08:26.920 --> 02:08:30.360]   You may have thought boy. I wonder what's going on. Well
[02:08:30.360 --> 02:08:33.960]   As you may have also noticed times are tough all over the world
[02:08:34.440 --> 02:08:41.000]   And uh, that means podcasting is getting a little tight as well a lot of our advertisers pulling back on their budgets and so forth
[02:08:41.000 --> 02:08:45.800]   Means we need to rely more and more on our club. Thank goodness
[02:08:45.800 --> 02:08:52.280]   Club twit exists. It is very easy for you to afford less than seven bucks a month
[02:08:52.280 --> 02:08:58.680]   What do you get ad-free versions of every show you wouldn't even hear this in the ad-free versions of the show
[02:08:59.160 --> 02:09:07.960]   You also get of course access to the twit plus discord, which is my frankly favorite new social network not only chatting about the shows
[02:09:07.960 --> 02:09:14.680]   Uh, but also, uh chatting about every other thing the geeks are interested in all around
[02:09:14.680 --> 02:09:18.520]   And full of animated gifs for your enjoyment
[02:09:18.520 --> 02:09:23.560]   Uh, and we do events in the club too stacy's book club is in the club the ultimate
[02:09:23.560 --> 02:09:26.760]   Uh, i'm sorry the untitled linux show, which is the ultimate linux show
[02:09:27.240 --> 02:09:32.280]   So the club is a great way to participate in shows we're preparing for the future
[02:09:32.280 --> 02:09:39.720]   That's how this week in space was born shows that are exclusive to the club like mica earso hands-on mac, which is fantastic
[02:09:39.720 --> 02:09:43.800]   We do put occasional versions of that out for the for free
[02:09:43.800 --> 02:09:47.400]   Just so people get a taste of it same with apolthorot's hands on windows
[02:09:47.400 --> 02:09:52.680]   Uh, the untitled linux show stacy hingham botham's book club dikti bartoelos gizfiz
[02:09:53.400 --> 02:09:58.680]   All of them club only they appear on the twit plus feed along with extra content that doesn't make it into the podcast
[02:09:58.680 --> 02:10:02.760]   So I think we've made a bundle of very I think useful
[02:10:02.760 --> 02:10:09.720]   Uh content for you for just seven bucks a month. You can subscribe to any individual show ad free just one show for 299
[02:10:09.720 --> 02:10:14.680]   But all of that's explained at the website twit.tv/club twit
[02:10:14.680 --> 02:10:18.680]   We really uh, I think want to put a push on over the next few months
[02:10:18.680 --> 02:10:22.360]   To get everybody who listens to the shows to a join club twit
[02:10:22.760 --> 02:10:26.840]   Um, if you can I know seven bucks a month for some people's it's a it's a stretch
[02:10:26.840 --> 02:10:32.040]   But if you can it's going to make a big difference for us as we head into a
[02:10:32.040 --> 02:10:35.480]   Recession and a difficult I think a difficult 2023
[02:10:35.480 --> 02:10:41.960]   Makes it makes a big difference to have that steady income. So twit.tv/club twit
[02:10:41.960 --> 02:10:46.760]   I really thank you and appreciate it to all our club twit members. Thank you
[02:10:46.760 --> 02:10:51.080]   Uh, even though you're not hearing this because you're a member club twit. All right now
[02:10:51.960 --> 02:10:56.760]   Time for the pick of the week andi and not go. Why don't you kick the pick off?
[02:10:56.760 --> 02:11:03.400]   Mine is a really cool site archive that people people should have on their radar just this month the steve jobs family
[02:11:03.400 --> 02:11:12.520]   Introduce the steve jobs archive is at steve jobs archive.com and it's designated to be combination a central point for
[02:11:12.520 --> 02:11:13.560]   uh
[02:11:13.560 --> 02:11:18.440]   humanitarian and social efforts that are going to be undertaken under their their
[02:11:19.320 --> 02:11:23.640]   under their their trust and foundation, but also a place where they're going to be posting
[02:11:23.640 --> 02:11:26.520]   archival files
[02:11:26.520 --> 02:11:32.040]   emails documents that related to steve jobs life and history and they started off with a bunch of
[02:11:32.040 --> 02:11:36.840]   Of stuff at the very very top of the list is an email that he sent to himself as a reminder
[02:11:36.840 --> 02:11:42.120]   Of basically what life is all about and if this is what's if this is what we're going to be seeing from this site
[02:11:42.120 --> 02:11:49.160]   You need to subscribe to the RSS feed you need a book market because it looks like the start of what's going to be a very very interesting
[02:11:49.640 --> 02:11:50.760]   ongoing
[02:11:50.760 --> 02:11:52.760]   Ongoing site. I've always said that
[02:11:52.760 --> 02:11:54.200]   steve
[02:11:54.200 --> 02:11:59.640]   Supposedly was very anti-history at least at apple. He wasn't all about hey, let's have a let's have a museum
[02:11:59.640 --> 02:12:04.680]   Hey, let's have a let's let's honor. What have we been doing in the past? Let's document and release stuff
[02:12:04.680 --> 02:12:11.400]   and that's too bad because apple has been a big big part of a whole bunch of different aspects of
[02:12:11.400 --> 02:12:17.480]   Cultural and technological history it needs to be documented so that it can illuminate and inspire other people
[02:12:17.640 --> 02:12:23.480]   So it makes me happy to see that some of his own personal archives and personal documents and comments and notes to himself
[02:12:23.480 --> 02:12:29.480]   Are in fact going to be made published where they can illuminate instruct and uh and uh uplift other people
[02:12:29.480 --> 02:12:35.880]   Very nice steve jobs archive.com. Yeah, that was the occasion of tim cook johnny
[02:12:35.880 --> 02:12:41.000]   I've and laurine pal jobs all appearing on the stage with kara swisher at the dea conference
[02:12:41.000 --> 02:12:43.800]   Um, right. It was right after the apple effect
[02:12:44.360 --> 02:12:50.760]   Uh and they announced this so yeah, I think it's a really great thing to have uh and I hope more and more stuff appears there frankly
[02:12:50.760 --> 02:12:55.880]   Yeah, I think I think that video has actually recently been posted least it's recently turned up about subscriptions
[02:12:55.880 --> 02:13:01.560]   So if you want to see the entire unedited on stage like an hour and a half long that's also a pretty good watch
[02:13:01.560 --> 02:13:02.920]   Nice
[02:13:02.920 --> 02:13:07.240]   Mike a sergeant you don't usually get to do pics of the week with us you do them all the time of course on
[02:13:07.240 --> 02:13:09.400]   Ios today
[02:13:09.400 --> 02:13:11.480]   Do you have something for us today?
[02:13:11.480 --> 02:13:18.920]   I do uh, so the app is pronounced snapper, but it's spelled x n a snapper snapper
[02:13:18.920 --> 02:13:26.040]   But they there's so because I I used to pronounce it snapper and then they added this little sub line to their
[02:13:26.040 --> 02:13:30.840]   The website that says read like snapper. I'm like, oh, I get it now
[02:13:30.840 --> 02:13:33.080]   So what does it do?
