
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly. I'm back. I miss you guys Renee Richie's here Alex Lindsey's here
[01:08:23.340 --> 01:08:30.060]   And product be on the day of purchasing decision hit me with a pop of video ad I would not buy product be that would be the
[01:08:30.060 --> 01:08:35.180]   That would be the reason well and I i'm i'm looking at you bloomberg and cnet both start their
[01:08:35.180 --> 01:08:41.020]   Videos automatically and I use the ages cna I go to those pages all the time during the shows
[01:08:41.500 --> 01:08:46.700]   I've just you know, it's very frustrating. Yeah, uh, but but apple affect to back to security though
[01:08:46.700 --> 01:08:49.420]   It's important that apple not only trumpet
[01:08:49.420 --> 01:08:53.100]   One of the big one of the key advantages of their entire platform
[01:08:53.100 --> 01:08:58.300]   But also educate people on why they should care to begin with I I know that I believe that more
[01:08:58.300 --> 01:09:01.740]   iPhone users and mac users care about privacy then
[01:09:01.740 --> 01:09:07.660]   Users of any other phone or any other desktop. However, I don't believe that most even iphone users
[01:09:08.140 --> 01:09:12.700]   Are terribly aware of how important it is that they be on alert about such things
[01:09:12.700 --> 01:09:17.340]   Because it's it's just one of the things that makes it really difficult
[01:09:17.340 --> 01:09:21.820]   Uh to fight this battle is that yes, you can decide that i'm going to use all the
[01:09:21.820 --> 01:09:25.260]   I'm going to take advantage of everything that apple does for me to protect my privacy
[01:09:25.260 --> 01:09:27.580]   But as soon as you go on to the web
[01:09:27.580 --> 01:09:31.900]   Okay, you've just lost the entire ball games as you visit any website
[01:09:31.900 --> 01:09:37.260]   Uh, and you really it's just important for apple to tell people here is what it's like here is what the
[01:09:37.580 --> 01:09:39.580]   We are we are we keep you in this beautiful
[01:09:39.580 --> 01:09:42.460]   impenetrable dome
[01:09:42.460 --> 01:09:46.540]   Uh, but here is what the here is what the mutant fighting is like outside the dome
[01:09:46.540 --> 01:09:50.140]   Here's what the colonial marines have to put up with every second of their lives
[01:09:50.140 --> 01:09:57.340]   It's just it's the the scariest thing that I do for a lot of people is when I suggest that they install ghostery
[01:09:57.340 --> 01:10:02.700]   Or it's some sort of ad blocker and so why does this okay? Why is there like the number 41
[01:10:02.700 --> 01:10:06.300]   Uh next to the little ghost icon. I say well to
[01:10:07.020 --> 01:10:07.980]   Well, George
[01:10:07.980 --> 01:10:09.020]   That's how many
[01:10:09.020 --> 01:10:16.300]   Trackers and beacons and add things it stopped from from communicating and then they realized that so for the past several
[01:10:16.300 --> 01:10:18.700]   God and how to notice how many years
[01:10:18.700 --> 01:10:25.980]   Every single website I hit has been communicating back to various alien mother ships at least three dozen times. Yeah. Yeah, jordan
[01:10:25.980 --> 01:10:28.700]   That's how bad things is
[01:10:28.700 --> 01:10:33.820]   You still you still you want to take back some of the comments you you you lofted at me in 2015 about trusting google
[01:10:36.460 --> 01:10:43.420]   Well, we had a big long conversation on sunday. I we don't have time for it here today, but about uh silicon valley kind of losing
[01:10:43.420 --> 01:10:47.900]   the trust of america and uh and how uh
[01:10:47.900 --> 01:10:53.900]   Government regulate expect government regulators start moving in on our big tech companies because
[01:10:53.900 --> 01:10:54.860]   uh
[01:10:54.860 --> 01:11:03.740]   This kind of silicon valley which was you know for many of us kind of oh, this is the this is the source of innovation and growth in this country
[01:11:04.140 --> 01:11:07.020]   Is now being seen as i'm starting to be seen as the enemy
[01:11:07.020 --> 01:11:09.820]   Yeah, um
[01:11:09.820 --> 01:11:14.220]   Let's see when you find go ahead. Go ahead. Sorry. No, just again not not to turn not to
[01:11:14.220 --> 01:11:17.020]   I can guess what the conversation was like
[01:11:17.020 --> 01:11:21.660]   Uh, that you don't want to get that you don't want to get into because it takes much time. Well, it's a good conversation. Yeah, I didn't
[01:11:21.660 --> 01:11:28.300]   It's not the way you find when you find out that okay number one here's how many like russian-backed
[01:11:28.540 --> 01:11:33.500]   Organizations were buying ads to keep keep divisions stirring during the election
[01:11:33.500 --> 01:11:39.020]   So, how come well, how come if they took out like a regular a regular political ad they'd have to identify themselves
[01:11:39.020 --> 01:11:45.020]   But they weren't they weren't forced to identify themselves on facebook or google said well because in 2010 google
[01:11:45.020 --> 01:11:52.300]   Ask the as the federal election commissioners. Is it okay if we don't have to actually comply with that because look how teeny these ads are
[01:11:52.300 --> 01:11:55.180]   And they said okay, you could do that google then facebook says hey
[01:11:55.660 --> 01:11:59.900]   You let google not have things on their ads. You should let it okay fine look
[01:11:59.900 --> 01:12:05.020]   From car ride home. I don't want arguments you can have what google has since like
[01:12:05.020 --> 01:12:11.180]   Facebook has finally started to come forward on all of this they're they've taught partly because congress is as
[01:12:11.180 --> 01:12:13.100]   Yeah, but they're feet to the fire
[01:12:13.100 --> 01:12:16.300]   But they've they have said that they are going to let people see
[01:12:16.300 --> 01:12:20.140]   Well, part of the problem was that these ads these russian ads were purchased
[01:12:20.140 --> 01:12:23.420]   But nobody could see him except the people they were targeted at facebook said now
[01:12:23.420 --> 01:12:27.740]   We're going to let you see the ads so you can you know these these ads aren't going to be dark anymore
[01:12:27.740 --> 01:12:31.100]   Uh, I think that's not just not just for political ads
[01:12:31.100 --> 01:12:35.900]   But you can just click every ad you click on where it came from and and it will show you here are the other ads at this company
[01:12:35.900 --> 01:12:39.500]   This buyer has already also bought that would be interesting
[01:12:39.500 --> 01:12:42.540]   Yeah, if you see what the internet what is it the internet research
[01:12:42.540 --> 01:12:45.980]   But do they call themselves internet research committee or something the russian
[01:12:45.980 --> 01:12:51.660]   Um arm that's buying all these ads if you see that they bought ads on all sides of the equation
[01:12:52.060 --> 01:12:55.260]   It might be oh, there's something you might be able to put a thread together
[01:12:55.260 --> 01:12:56.300]   What's on moosan scurro?
[01:12:56.300 --> 01:13:03.180]   Yeah, look how look how quickly things happen when a when a company is terrified that congress people are going to start regulating their industries
[01:13:03.180 --> 01:13:06.940]   Things happen real quick. Uh, the internet research agency
[01:13:06.940 --> 01:13:11.660]   That's a good name, isn't it for a russian disinformation operation
[01:13:11.660 --> 01:13:14.540]   Uh a couple of quick things here. Let's see
[01:13:14.540 --> 01:13:18.860]   The crackling earpiece issue which I never experienced
[01:13:19.660 --> 01:13:24.060]   In the iphone 8 has been fixed ios updated it was software
[01:13:24.060 --> 01:13:28.060]   11.0.2. I never experienced it. Did you anybody? No
[01:13:28.060 --> 01:13:30.540]   No, but it was even a small apple
[01:13:30.540 --> 01:13:34.060]   It says a small percentage of users, but small percentage of iphone levels is huge
[01:13:34.060 --> 01:13:42.300]   Thousands maybe millions. Yeah, so 1102 is out it fixes that crackling issue addresses an issue that caused cause some photos to be hidden
[01:13:42.300 --> 01:13:45.020]   Esmine encrypted emails wouldn't open
[01:13:45.020 --> 01:13:47.260]   um
[01:13:47.260 --> 01:13:51.740]   I'm actually already on the because I guess I stayed on the beta and now i'm at 11.1 on the beta
[01:13:51.740 --> 01:13:56.140]   Yep, so that's public beta, I guess right because i'm not a developer and the developer
[01:13:56.140 --> 01:14:02.060]   There are some people who are confused because they didn't get 11.0.1 last week and I think they mistake the beta program for an early access program
[01:14:02.060 --> 01:14:03.820]   But it's it's really a beta program
[01:14:03.820 --> 01:14:04.300]   Right
[01:14:04.300 --> 01:14:11.260]   So you don't get like you don't get the normal releases and then the next day developers got 11.1 and i think two days later the public beta got a
[01:14:11.260 --> 01:14:13.580]   Should I uh turn that off you think
[01:14:14.460 --> 01:14:17.580]   It depends if you still want to be part of the beta program and you're getting 11.1
[01:14:17.580 --> 01:14:21.500]   I just said it's not an early access program, but you are getting it before other people are getting it
[01:14:21.500 --> 01:14:25.820]   So if you're happy to continue to be on the beta, that's fine. Otherwise, you just go into general
[01:14:25.820 --> 01:14:29.020]   Settings general profiles you delete the beta profile
[01:14:29.020 --> 01:14:31.740]   You reboot and you won't be getting further data
[01:14:31.740 --> 01:14:33.020]   Yeah, I might do that
[01:14:33.020 --> 01:14:36.460]   I did it just because I knew 11 was going to come out before I got back from vacation
[01:14:36.460 --> 01:14:38.780]   So I wanted to have 11 on there
[01:14:38.780 --> 01:14:43.500]   During my vacation and I have to say I love iOS 11, especially on an ipad pro
[01:14:44.140 --> 01:14:46.140]   It is fantastic
[01:14:46.140 --> 01:14:49.820]   The best thing for me that the best like hidden feature for me is that there was always these problems
[01:14:49.820 --> 01:14:51.820]   Like when you used to cms for example
[01:14:51.820 --> 01:14:56.220]   Just reordering web widgets or anything that allowed you to reorder web widgets and because of drag and drop
[01:14:56.220 --> 01:15:02.700]   I can reorder anything on so far now. So we're just like we're dragging things from files dropping it into droople pulling the images around it
[01:15:02.700 --> 01:15:05.980]   All just it's just particularly works. Wow, that's an interesting use case. I didn't even think of
[01:15:05.980 --> 01:15:07.820]   Yeah, it's interesting
[01:15:07.820 --> 01:15:11.820]   I have really beefed up my control center. I don't think there's any more room on the screen for
[01:15:13.100 --> 01:15:17.740]   For more buttons that video recorder is amazing the screen recorder. Yeah, there's a lot of stuff in there
[01:15:17.740 --> 01:15:22.380]   I loved the apple tv remote. I can do a quick note one thing you might want to I wish you could take out
[01:15:22.380 --> 01:15:27.500]   But you can't the bluetooth and Wi-Fi button those don't do what you think they might do
[01:15:27.500 --> 01:15:32.620]   No, they changed their behavior. They don't do anything or what what do they do terminate the current connection?
[01:15:32.620 --> 01:15:38.140]   Okay, so if you're currently on and they terminate and they terminate with external connections, right? I mean they
[01:15:39.820 --> 01:15:48.940]   It doesn't turn off the radio. So the problem they were trying to solve is that people were hitting those buttons and then not understanding why they're apple pencil or they're apple watch or something else didn't work anymore
[01:15:48.940 --> 01:15:51.660]   So now what that does is it'll those things aren't gonna work
[01:15:51.660 --> 01:15:57.660]   Yeah, but it's not transparent to like I guess mainstream people that that's how that technology is still turn off bluetooth
[01:15:57.660 --> 01:15:59.260]   You just have to do it in settings
[01:15:59.260 --> 01:16:04.300]   You want to turn off the radio you go to settings if you want to kill whatever the current connection is like you're in starbucks
[01:16:04.300 --> 01:16:06.300]   And you really don't want to use starbucks Wi-Fi
[01:16:06.300 --> 01:16:11.420]   You hit the Wi-Fi button it'll kill starbucks Wi-Fi, but it'll keep sending Wi-Fi between your phone and your apple
[01:16:11.420 --> 01:16:14.220]   That's actually useful if they would communicate that
[01:16:14.220 --> 01:16:18.620]   Yes, oftentimes that's all I want to do and I have to turn off Wi-Fi
[01:16:18.620 --> 01:16:23.580]   But will I really don't want is just whatever I that Wi-Fi signal i'm on right now that I don't really want to be on
[01:16:23.580 --> 01:16:27.020]   Leave me alone at and tea leave me alone. Yeah, yeah, XFINITY is a good example
[01:16:27.020 --> 01:16:32.700]   Uh, the XFINITY Wi-Fi which is everywhere in petaluma. I don't want to be on it because a lot of times there's nothing on it
[01:16:33.180 --> 01:16:37.420]   Uh, so I turn off Wi-Fi, but I really don't want to turn off Wi-Fi. That's overkill
[01:16:37.420 --> 01:16:42.940]   So that's so they just need to do a better job of communicating that those control center buttons don't turn off
[01:16:42.940 --> 01:16:47.500]   Wi-Fi and bluetooth they disconnect the current Wi-Fi or bluetooth connection
[01:16:47.500 --> 01:16:52.300]   It's the same with split screen and ipad a lot of people just thought it was gone because they couldn't drag from the left of the screen anymore to start
[01:16:52.300 --> 01:16:58.060]   A split view you have to do it from the dock now and they just they didn't know what was wrong their ipad was just broken because none of that stuff
[01:16:58.060 --> 01:17:00.220]   Yeah, there are pop-ups that eventually come up
[01:17:00.620 --> 01:17:05.980]   But there are hundreds of millions of people use these things and there's no clean way to educate them and that's you know, that's the apple
[01:17:05.980 --> 01:17:11.740]   Lost effects. Yeah, they do they do videos and stuff, but they don't there's no manuals. Nobody would read them anyway, even if they made them
[01:17:11.740 --> 01:17:17.820]   So anyway, if you want to turn off like really turn off Wi-Fi and bluetooth you still can just have to do in settings
[01:17:17.820 --> 01:17:22.300]   And actually this is a better explanation than the oh my god. It doesn't turn off bluetooth
[01:17:22.300 --> 01:17:28.060]   It does actually something very useful. It's just not what you think it was. It wasn't what you thought it used to do
[01:17:28.380 --> 01:17:33.980]   Is that what it used to do? I'm I'm still waiting for my long press to choose specifically among several bluetooth and
[01:17:33.980 --> 01:17:36.700]   Things to connect through you can yeah
[01:17:36.700 --> 01:17:43.420]   Long press long press gives you more it doesn't let I don't think oh no it gives you more choices. It doesn't give you all the right? Okay, never mind
[01:17:43.420 --> 01:17:49.180]   That's not long press is 3d touch. Sorry long press on ipad
[01:17:49.180 --> 01:17:55.740]   I did don't say it gives it does it is nice. It does give you a lot of options. Yeah, I really like that
[01:17:55.740 --> 01:17:57.740]   I think I think there's still a few things that
[01:17:57.740 --> 01:18:04.700]   That the iphone sends you two settings for that you feel like I feel like you could just pass me the salt
[01:18:04.700 --> 01:18:10.860]   Shake or that's right there at your table rather than ask me to get up and go into the kitchen and get another salt
[01:18:10.860 --> 01:18:15.980]   It's hard aggressive. It's hard think about it
[01:18:15.980 --> 01:18:19.420]   I mean there's so many users there's so many different ways of thinking about it
[01:18:19.820 --> 01:18:26.060]   There's only so much screen real estate. It's this ui stuff is is I can imagine the debates that go on internally?
[01:18:26.060 --> 01:18:33.180]   Probably all the people hate learning anything right right? I don't want to know that there's this thing called Wi-Fi
[01:18:33.180 --> 01:18:39.020]   I wanted to believe that ideally it would just be intuitive and it would do kind of what you intuitively thought it would do
[01:18:39.020 --> 01:18:45.820]   But that's you know everybody got has a different intuition about all this and some people have nothing no knowledge of how things work
[01:18:45.820 --> 01:18:49.100]   Other people want to manage it to the money exactly for those people
[01:18:49.100 --> 01:18:53.340]   I don't there's the Android. I don't have to I don't have to know how a fuel injector works
[01:18:53.340 --> 01:18:58.140]   I do have to know that a car needs gas and oil and where those things go in the engine
[01:18:58.140 --> 01:19:04.060]   That's totally my difference. I was very happy that my iphone did not split open while charging some people say it does
[01:19:04.060 --> 01:19:11.500]   Two people two people one person really two people. There's two there was there's there's one person who's it's split while charging one person got it
[01:19:11.820 --> 01:19:15.740]   Out of the box and it was these are from a swollen lithium ion battery
[01:19:15.740 --> 01:19:20.540]   Always not good, but inevitable in you know, I mean these things happen
[01:19:20.540 --> 01:19:23.580]   I'm sure apple immediately, you know gave her a new one
[01:19:23.580 --> 01:19:28.540]   I asked jerry hildenbrandt from android central who's like a radio engineer like and he's like
[01:19:28.540 --> 01:19:35.180]   He gave me the statistics from yale that out of so many formula times pi 100 hours
[01:19:35.180 --> 01:19:39.260]   Alyssia my on battery will fail and you'll have this many per device is made
[01:19:40.060 --> 01:19:45.180]   His his thing was like oh this split open so cleanly. I'm not worried about incendiary problems with this
[01:19:45.180 --> 01:19:51.020]   Okay, jerry good. That's how it should have happened. It's the breakaway iphone. It's intended to split
[01:19:51.020 --> 01:19:52.780]   Well, there's always when there's a large
[01:19:52.780 --> 01:19:57.260]   So the problem with the samsung galaxy note seven is that it was much higher than it was acceptable
[01:19:57.260 --> 01:20:01.580]   Like you there's a certain amount of failure rate with lithium miron for every phone and every year you'll find
[01:20:01.580 --> 01:20:06.940]   Almost any phone manufacturer at scale will have a few problems with swollen batteries or batteries that don't hold a charge
[01:20:07.100 --> 01:20:10.700]   Or batteries that will not will not charge to begin with or batteries that do burn
[01:20:10.700 --> 01:20:15.900]   But it's when they go beyond those that normal failure rate and I hate calling any failure rate normal
[01:20:15.900 --> 01:20:20.140]   But lithium my on is not a stable technology when you go anything beyond those rates
[01:20:20.140 --> 01:20:23.340]   That's when it becomes worrisome. That's when you have things like the galaxy note
[01:20:23.340 --> 01:20:29.500]   You call mike has been too so far. So it's pretty good. It's not too bad. Microsoft has killed its groove music surface
[01:20:29.500 --> 01:20:34.860]   For microsoft. They just can't win meanwhile apple says we've got over 30 million subscribers
[01:20:35.500 --> 01:20:40.860]   We are growing those are paid subscribers paid subscribers here 10 million more since december
[01:20:40.860 --> 01:20:43.180]   3 million more since june
[01:20:43.180 --> 01:20:47.180]   That's about keeping pace with spotify's growth rate. Although of course, they're not quite as big as
[01:20:47.180 --> 01:20:53.180]   Spotify, you know what's gonna help when I could put apple music on my series three watch which I still can't do
[01:20:53.180 --> 01:20:55.820]   No, it's not out yet
[01:20:55.820 --> 01:20:59.180]   It's a bunch of features that are coming this fall like apple pay person to person
[01:20:59.180 --> 01:21:02.700]   Isn't that the reason you on the apple live i'm like one of the chief reasons you wanted a
[01:21:03.180 --> 01:21:06.060]   LTE connected watch so you could listen to music if you left your iPhone behind
[01:21:06.060 --> 01:21:10.300]   No, I want to listen to audiobooks and podcasts and actually there's signs that they might do that
[01:21:10.300 --> 01:21:15.820]   But it's not it's not on official road. If I could put my audio on the Korean audiobook on my yeah, there's enough storage
[01:21:15.820 --> 01:21:21.100]   It's not just go out with your air with your your pod air pods on it's fantastic. I can't find my air pods
[01:21:21.100 --> 01:21:26.140]   I'm so devastated. Oh no use my my air bomb. No, you can't because it says you're not connected right now
[01:21:26.140 --> 01:21:28.860]   Yeah, but as soon as they connect, I'll let you know
[01:21:31.020 --> 01:21:36.220]   I'm not sure if I brought him to Europe and left him there or took him out of my bag because I didn't want to bring him to Europe
[01:21:36.220 --> 01:21:40.300]   I didn't think I did no and then I'll tell you how I lost how'd you lose yours?
[01:21:40.300 --> 01:21:43.500]   I lost mine. I found him. I found him, but it took a little while
[01:21:43.500 --> 01:21:50.940]   It turns out that the that I discovered something at a dinner party that you can fit those little that little case right in the little pocket on your
[01:21:50.940 --> 01:21:54.300]   Oh, yeah, I'm sure it's in some scottie vest pocket somewhere
[01:21:54.300 --> 01:21:57.180]   Well, no it wasn't a scottie vest though. It was like it was a dress jacket
[01:21:57.180 --> 01:21:59.980]   Yeah, and they have those little little little pockets. Yeah, yeah
[01:22:00.620 --> 01:22:05.020]   And and I found it. Oh, it's called a watch pocket and then don't you have a watch to find it?
[01:22:05.020 --> 01:22:09.100]   I do not have a watch to put it, but I did but it works good for a dxo camera
[01:22:09.100 --> 01:22:12.220]   And and it fits also the the the little headphones
[01:22:12.220 --> 01:22:17.180]   And and it took me it took me a couple days to figure out and I was like in Amsterdam really worried about the fact that I
[01:22:17.180 --> 01:22:21.500]   I knew that they're here somewhere. I just can't figure out where I've looked everywhere, but I'm sure it's exactly what I did
[01:22:21.500 --> 01:22:24.380]   It's in some pocket somewhere because I have way too many pockets
[01:22:24.380 --> 01:22:28.140]   But I just ordered another pair because I love them so much. I don't want to be without them so they're
[01:22:29.100 --> 01:22:34.380]   Plus now that I have a series three watch. I really have to have there's no other there's that's it right?
[01:22:34.380 --> 01:22:36.540]   There's no earphone jack hidden away on this right
[01:22:36.540 --> 01:22:41.340]   No, no, no, no, no, god. I got I get some bluetooth's
[01:22:41.340 --> 01:22:44.540]   Can you pair it you compare it to other bluetooth headphones? I guess
[01:22:44.540 --> 01:22:50.380]   How about the apple tv 4k I took my time ordering it now. It's five weeks out
[01:22:50.380 --> 01:22:54.620]   Are people getting it yet or yeah? Yeah, I mean you had to get it right away
[01:22:54.620 --> 01:22:58.540]   I think it's so funny because there's um, I forget who it is it might be Neil cyber
[01:22:58.540 --> 01:23:02.780]   But someone always tweets about the disconnect between a lot of the tech industry and a lot of people's buying habits
[01:23:02.780 --> 01:23:08.140]   And this was apple tv 4k doesn't do xyz, but then oh, it's it's all sold out and I was lucky
[01:23:08.140 --> 01:23:11.340]   I bought mine the first day I literally landed at the airport ran to the apple store
[01:23:11.340 --> 01:23:14.140]   Bought my apple tv. I just bought the lg
[01:23:14.140 --> 01:23:17.820]   C7p perfect. Yep. Yeah, because it does both
[01:23:17.820 --> 01:23:19.340]   HTR
[01:23:19.340 --> 01:23:26.220]   And Dolby vision and you plug that in leo and things like the beginning of jessica jones is suddenly like so bright and colorful dairdevil looks
[01:23:26.620 --> 01:23:33.500]   red and itunes um there wasn't a lot I got it actually right before the apple tv shipped and there wasn't a lot of
[01:23:33.500 --> 01:23:38.380]   HDR content and I care about hdr way more than 4k much more important
[01:23:38.380 --> 01:23:42.700]   I agree and then itunes came out and there's just there's a lot of the movies that I recently bought
[01:23:42.700 --> 01:23:46.540]   And also because hdr includes the p3 color space
[01:23:46.540 --> 01:23:52.460]   I was just watching like the end of guardians of the galaxies to the galaxy too and then the reds and the greens and I
[01:23:52.460 --> 01:23:54.460]   am never going back it is
[01:23:54.700 --> 01:24:00.140]   Transformative so the problems that ne lie patel and others have pointed out are just you need to know
[01:24:00.140 --> 01:24:06.620]   I don't think there are deal breakers, but no atmos who cares? I don't want sound coming from that's coming in a future
[01:24:06.620 --> 01:24:09.260]   I don't know why that didn't ship with it, but it's coming in a future update
[01:24:09.260 --> 01:24:14.540]   No hdr 4k hdr from youtube, but that's a that's an issue with the youtube
[01:24:14.540 --> 01:24:20.380]   Format they use vp9 to encode 4k for youtube and apple is only supporting
[01:24:20.780 --> 01:24:24.300]   hvc right now and one of those that that hammer
[01:24:24.300 --> 01:24:29.020]   The movable moveable object and yours is before us. I have to yield. Yeah
[01:24:29.020 --> 01:24:33.100]   They have one of them has to break the weird thing you'd have thought that have a good deal with Disney
[01:24:33.100 --> 01:24:36.700]   But they don't so neither Disney nor marvel movies will come in 4k hdr
[01:24:36.700 --> 01:24:41.740]   Yeah, which includes star wars too because Disney now is 80% of our childhood kind of a bummer but not the end of the world
[01:24:41.740 --> 01:24:46.620]   The one big one that you should pay attention to is it insists on doing upscaling
[01:24:47.100 --> 01:24:51.820]   Itself even if you had something else like your tv that could do a better job. So some 1080
[01:24:51.820 --> 01:24:55.260]   Contents not gonna look very good. It's gonna upscale it to 4k
[01:24:55.260 --> 01:24:59.180]   And it's not gonna look good. Is that that's what I don't have one have you know?
[01:24:59.180 --> 01:25:00.700]   I have not run into that problem yet
[01:25:00.700 --> 01:25:05.420]   I'm sure i'm gonna have to ask you know for some samples that i'm sure it happens because apple prioritized
[01:25:05.420 --> 01:25:09.260]   Normal person plugs the box in we don't want them to get the screen where it changes
[01:25:09.260 --> 01:25:12.380]   Goes black maybe doesn't come back. Maybe does come back
[01:25:12.700 --> 01:25:19.020]   But in the apple tv not the previous one but the one before that you could do like some konami code where you did like down up left
[01:25:19.020 --> 01:25:22.060]   Right button button button and it would give you a video selector
[01:25:22.060 --> 01:25:28.460]   And I think they re-enable that nerds would be super happy and non-ners would never have to know that it exists. That's a great idea
[01:25:28.460 --> 01:25:32.700]   That's a great idea because you sometimes you want to turn the upscaling off and
[01:25:32.700 --> 01:25:37.100]   Let's something else like or if the sdr is not nicely converting to hdr
[01:25:37.100 --> 01:25:41.180]   Whatever because what apple does is it outputs the best possible signal for your television
[01:25:41.340 --> 01:25:43.900]   So for example mine it will always spit out 4k
[01:25:43.900 --> 01:25:49.420]   Dolby vision if it can that's its priority and just some stuff may not look good that way same thing with refresh rate
[01:25:49.420 --> 01:25:53.580]   It'll it'll scale it up to 60 Hertz as well because they want the UI don't look really good
[01:25:53.580 --> 01:25:56.940]   But some people would rather prioritize not for UI but for you know the right yeah
[01:25:56.940 --> 01:26:00.140]   So apple picks its own video upscaling
[01:26:00.140 --> 01:26:04.940]   And does it itself and as usual with apple, you know, it doesn't give you a choice
[01:26:04.940 --> 01:26:09.020]   But one thing that they can put back that konami konami code back in
[01:26:09.500 --> 01:26:13.420]   One thing that is an issue that apple can control is that the studio gets to pick which version of hdr
[01:26:13.420 --> 01:26:17.100]   It gets like apple will get hdr 10 or it will get Dolby vision the studio gets to decide
[01:26:17.100 --> 01:26:20.940]   So some of the earlier televisions only had hdr 10 and no Dolby vision
[01:26:20.940 --> 01:26:24.300]   And you can't some people think well, I should just be able to choose hdr 10
[01:26:24.300 --> 01:26:29.820]   But apple literally does not have that's the code into the content nothing you can do about it
[01:26:29.820 --> 01:26:31.980]   All right
[01:26:31.980 --> 01:26:36.780]   Any other small bits or pieces we would cover before oh, this is really important
[01:26:37.260 --> 01:26:43.100]   And good news for you rene drunk canoeing is no longer a driving offense in canada
[01:26:43.100 --> 01:26:44.700]   Oh
[01:26:44.700 --> 01:26:48.860]   Uh, is it all kinds of drunk canoeing if you're drunk with navel syrup and a moose
[01:26:48.860 --> 01:26:52.060]   Is it different than drunk with the bee? I don't know. I don't know this
[01:26:52.060 --> 01:26:54.460]   Well, what about dry?
[01:26:54.460 --> 01:26:56.460]   That would be about the moose cap
[01:26:56.460 --> 01:27:02.540]   There is some other good news from canada this week though leo yesterday yesterday our new governor general was sworn in and she is an
[01:27:02.540 --> 01:27:06.220]   Astronaut who speaks six languages. I am so impressed. I'm so impressed right now
[01:27:06.220 --> 01:27:13.580]   Your governor general is the most awesome human. I just I mean what now. What does the governor general do?
[01:27:13.580 --> 01:27:16.220]   It is the queen's representative in country
[01:27:16.220 --> 01:27:23.020]   So when the queen of canada is legally a separate entity from the queen of the uk and the other commonwealth territories
[01:27:23.020 --> 01:27:26.620]   So when the queen is not in canada, she acts as the vice regal agent
[01:27:26.620 --> 01:27:31.260]   So she's commander-in-chief head of states and all those other things in less than until queen
[01:27:31.260 --> 01:27:33.980]   Elizabeth says otherwise she's got an amazing
[01:27:33.980 --> 01:27:36.780]   resume including being an astronaut
[01:27:36.780 --> 01:27:44.380]   Yeah, and uh, so julie payette is now the governor general of canada and should the queen
[01:27:44.380 --> 01:27:48.220]   Need some help or maybe even want to go into space
[01:27:48.220 --> 01:27:55.100]   Julie can help we have this nice thing in canada where if the parlament reaches an impasse they can the government can be dissolved
[01:27:55.100 --> 01:27:57.740]   You have to go to an election and she'd be the one that dissolves it. Yes
[01:27:58.620 --> 01:28:05.180]   Yeah, let's let's let before before we canonize this woman. Let's just let's just ask ourselves
[01:28:05.180 --> 01:28:12.140]   How much money did she raise for the queen's reelection campaign? I'm guessing it's less than the people
[01:28:12.140 --> 01:28:14.700]   contributed to our
[01:28:14.700 --> 01:28:18.060]   She's queen for life. She's not to the you know
[01:28:18.060 --> 01:28:21.580]   She's so I mean she's an astronaut so that's you know great
[01:28:21.580 --> 01:28:26.060]   So she's had her life in government jobs. She's never had to work in the free market
[01:28:27.100 --> 01:28:29.100]   Hey, we didn't get to errors
[01:28:29.100 --> 01:28:34.700]   I'm hoping in previous episodes. You talked about high sierra and and all that. Yes
[01:28:34.700 --> 01:28:40.940]   Yes, yes. Yes. Yes. We talked about the new file system we talked about APFS and all that
[01:28:40.940 --> 01:28:45.900]   You know in fact I should have told you I should have given you a horn or a button or something to do if I if I covered
[01:28:45.900 --> 01:28:49.340]   An issue that you'd already covered because I haven't had a chance to listen to the last couple
[01:28:49.340 --> 01:28:52.860]   Thank you ring the bell in perfect sync now by the way
[01:28:52.860 --> 01:28:55.580]   Uh, did you cover the efi issue?
[01:28:56.540 --> 01:28:58.540]   Is the security?
[01:28:58.540 --> 01:29:00.140]   Yeah
[01:29:00.140 --> 01:29:04.540]   I I wasn't on last week so I defer to any not because it came out from where he came out
[01:29:04.540 --> 01:29:08.140]   So this is not a max specific problem
[01:29:08.140 --> 01:29:11.260]   Because it turns out that efi
[01:29:11.260 --> 01:29:16.060]   Which is the firmware in most modern computers
[01:29:16.060 --> 01:29:21.420]   When it gets updated sometimes the update can fail without warning and you will never get it up another chance
[01:29:21.900 --> 01:29:28.460]   So, uh, there's some research been done that said a lot of max have out of date firmware
[01:29:28.460 --> 01:29:31.820]   Even if apple had pushed out updates to the firmware code
[01:29:31.820 --> 01:29:38.940]   They did the testing with max because it was easier. There's no reason to assume that pcs don't have exactly the same issue
[01:29:38.940 --> 01:29:45.100]   Uh, this company duo security analyzed 73 000 apple max used by its customers
[01:29:45.100 --> 01:29:50.940]   Uh and compared the firmware version with the version the computer ought to have given its operating system
[01:29:51.340 --> 01:29:57.100]   and a surprisingly large number 4.2 percent of the max had the wrong efi version
[01:29:57.100 --> 01:30:03.580]   Suggesting that the update had failed without warning and wasn't attempted again
[01:30:03.580 --> 01:30:10.860]   Uh, this it could be a security issue because uh, there are there are known security flaws in older efi
[01:30:10.860 --> 01:30:17.340]   Also, you want the new ones because they introduced new features like high cera pushes system integrity protection down to the firmware level
[01:30:17.340 --> 01:30:20.380]   I believe and you sort of you want those definitions in that protection for now
