;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[02:00:06.820 --> 02:00:12.900]   It'd be a great way to show your support. We thank you everybody who's joined a great bunch of people. We really appreciate it
[02:00:12.900 --> 02:00:18.500]   Uh, yes, and if I had a sad eye dog in a sarah mclaughlin song, I would pay it play it right now
[02:00:18.500 --> 02:00:24.020]   But instead just effect. I won't if you just send me seven dollars right now
[02:00:24.020 --> 02:00:30.820]   Twit.tv/club twit Alex lensy pick of the week my friend
[02:00:30.820 --> 02:00:35.300]   Gonna warn everybody. Uh, oh
[02:00:35.700 --> 02:00:38.500]   Giving you a pick. It's not doesn't look expensive when you start
[02:00:38.500 --> 02:00:40.900]   Uh
[02:00:40.900 --> 02:00:48.180]   First taste is free coming. No, it's not free. They cost money. It's a piece of hardware. Yeah, um, it's a pretty piece of hardware
[02:00:48.180 --> 02:00:55.300]   It's a sickness. Uh, oh, it's so um, so my my pick of the week is the neutron from baringer now what what baringer has
[02:00:55.300 --> 02:00:58.260]   Seemingly done is uh
[02:00:58.260 --> 02:01:03.060]   They've gone back and looked at a lot of things that aren't made available anymore or they or they look at patents that you know
[02:01:03.300 --> 02:01:08.100]   They're not these are old products that that people uh, and I think this one's actually a new product
[02:01:08.100 --> 02:01:11.220]   But but they've they've really built an incredible
[02:01:11.220 --> 02:01:17.140]   We I've I thought of them as just mixers right like marynger mixers and some of my I hate it in the past and now ones
[02:01:17.140 --> 02:01:21.540]   I love and you know and we use a lot of x32's and and uh and other things like that and so
[02:01:21.540 --> 02:01:27.700]   Anyway, so a couple folks in office hours are really good at modular synth
[02:01:27.700 --> 02:01:30.500]   And I was like
[02:01:31.300 --> 02:01:34.820]   I wonder what that's like it's a couple hundred bucks. I got all I'll get well. That's not bad
[02:01:34.820 --> 02:01:39.220]   Yeah, yeah, it's a couple hundred bucks and then and then you go. Oh, I think I I really need the crave
[02:01:39.220 --> 02:01:43.700]   Which is another couple hundred bucks. Oh, I really need the wasp and then that one another couple hundred bucks
[02:01:43.700 --> 02:01:48.740]   Then I was like, I'd be really good to have the poly D and uh, so so before I know it
[02:01:48.740 --> 02:01:51.620]   I think i'm on my way. So the neutron is the it's the gateway drug
[02:01:51.620 --> 02:01:56.980]   It's like so are those software modules you add to the neutron or the hardware modules? No, no, no
[02:01:56.980 --> 02:01:59.540]   I bought new i got different synthesizers
[02:01:59.540 --> 02:02:04.900]   I got and what happens is you you you what I love about it is the patching so I love it
[02:02:04.900 --> 02:02:10.340]   That has patch k a patch. Oh my gosh. It is so much fun. That's a very intuitive way to do this
[02:02:10.340 --> 02:02:13.700]   Well, this is it's been around. It's been in twitter for the last 30 years
[02:02:13.700 --> 02:02:17.540]   You know, like it's it's you know 30 40 years 40 oh, I'm sorry 50 50 years
[02:02:17.540 --> 02:02:22.340]   Um, so this is where you know a lot of electronic music, you know, um is definitely in the you know
[02:02:22.340 --> 02:02:25.220]   Where it really began is late 60s early 70s with the moog
[02:02:25.780 --> 02:02:30.260]   And you know, you're making music with it, you know, um, but what you're doing is you're really shaping noise
[02:02:30.260 --> 02:02:32.660]   You know you create something that's going to create a sine wave
[02:02:32.660 --> 02:02:35.620]   You're going to create some kind of noise and then you're going to keep working with it
[02:02:35.620 --> 02:02:38.740]   You know and and you're going to turn it into something and so a lot of the stuff that you hear
[02:02:38.740 --> 02:02:44.420]   In electronic music, um, but also like sound effects like the 2600 is what I believe
[02:02:44.420 --> 02:02:49.540]   Penbert used to make r2d2, you know, you know, and so so and you run it through all these effects
[02:02:49.540 --> 02:02:52.580]   But and you can do some of this digitally, but there is something about it
[02:02:53.140 --> 02:02:55.140]   I didn't know until I bought it
[02:02:55.140 --> 02:02:58.580]   There's just something about it being organic and you're just sitting there playing with it
[02:02:58.580 --> 02:03:00.660]   And I I got the neutron
[02:03:00.660 --> 02:03:02.660]   And I sat there for about a week
[02:03:02.660 --> 02:03:05.380]   And then I sat down on a saturday afternoon
[02:03:05.380 --> 02:03:07.380]   I and I was like, I don't want to figure this out
[02:03:07.380 --> 02:03:10.980]   And I didn't you I for the first 15 minutes. I couldn't get a sound out of it
[02:03:10.980 --> 02:03:12.900]   Like I was just like I don't understand this
[02:03:12.900 --> 02:03:15.460]   You're like like I was just like I don't like I didn't ask for any help
[02:03:15.460 --> 02:03:18.100]   I didn't look at any videos. I just turned it on and just started fiddling with it
[02:03:18.100 --> 02:03:20.580]   And then three hours
[02:03:20.580 --> 02:03:24.420]   Disappeared like I was just you know, just just like I would just suddenly the sound started coming out
[02:03:24.420 --> 02:03:28.420]   And I'm playing with it and I'm hearing the thing is is that you're not you're playing with electricity
[02:03:28.420 --> 02:03:30.900]   You're not it's not a digital thing that's making up an effect
[02:03:30.900 --> 02:03:33.380]   It's things that are interacting with each other
[02:03:33.380 --> 02:03:38.500]   And so as you the thing about modular synth is that as you start to connect things just
[02:03:38.500 --> 02:03:44.420]   New things come out of it like it's not like I'm gonna do that effect or whatever new sounds appear
[02:03:44.420 --> 02:03:49.460]   You know and they're ephemeral because you have to remember where all the dials were to make that sound like it's not
[02:03:50.260 --> 02:03:55.380]   It's like it's truly an instrument like I I got I had an incredible sound at the end of that that I can't remember how
[02:03:55.380 --> 02:04:01.140]   So so how many patch cables would you recommend? I mean you can't buy this without getting patch cables all of them
[02:04:01.140 --> 02:04:06.420]   Yeah, yeah, like all of them. Yeah, I have a feeling that I will end up with a lot and I'll feel and what there's a
[02:04:06.420 --> 02:04:09.540]   So I think it comes with eight of them and that was enough for me to get started
[02:04:09.540 --> 02:04:12.020]   Um, I am looking at getting
[02:04:12.020 --> 02:04:19.220]   A lot more a little rack for them and a and make them and multi colored because what happens is you get a whole bunch of patches
[02:04:19.220 --> 02:04:24.260]   And you can't figure out which one is which yeah, this way you take a picture with your phone and then you kind of be able to reproduce
[02:04:24.260 --> 02:04:29.060]   Well, the main thing is just having lots of different colored patches would would help and then the key is that you can
[02:04:29.060 --> 02:04:31.300]   This is an output because it's a patch
[02:04:31.300 --> 02:04:35.300]   It's an output it can go out to another device and that's where things start to get interesting
[02:04:35.300 --> 02:04:39.700]   So you can tie these to other so you can use the patches not just a patch within itself
[02:04:39.700 --> 02:04:41.700]   But you can patch it to other devices
[02:04:41.700 --> 02:04:47.700]   Um, you can patch it to other modules and other bits and pieces and and and and start and has midi and you know
[02:04:47.700 --> 02:04:52.260]   There's a lot of other things that you can you can start to tie into it. Um, and and so it
[02:04:52.260 --> 02:04:54.180]   as a
[02:04:54.180 --> 02:04:55.540]   For a
[02:04:55.540 --> 02:04:59.940]   You know, it's good geeky fun. That's all I'm saying but like it's it's always and it I don't have any good
[02:04:59.940 --> 02:05:02.500]   Go ahead. I'm saying the
[02:05:02.500 --> 02:05:07.220]   I've been looking at videos of it since you've been talking and there are buttons and knobs and lights
[02:05:07.220 --> 02:05:12.740]   Passcade very analog. It's very physical. Yeah, and it's and I think I had an
[02:05:13.620 --> 02:05:19.380]   It's built on a standard like rec standard and I've seen like now videos of someone who has like three or four of these like in a little like
[02:05:19.380 --> 02:05:26.660]   Curving tower above the keyboard enough now. I just want a few of these just as a just just to color up the office
[02:05:26.660 --> 02:05:32.980]   Because we need more buttons and this would be good to give a smart musically inclined 16 year old for instance
[02:05:32.980 --> 02:05:36.020]   So really get them kind of on their journey. I think
[02:05:36.020 --> 02:05:39.780]   I you know and the thing is is that you know, you can you can just start playing with it
[02:05:39.860 --> 02:05:43.860]   You know and things started. Yeah, I want to wreck one. Rach Mount one of my bathroom
[02:05:43.860 --> 02:05:49.620]   Never where's Leo? Oh, I hear him. He's in the bathroom again
[02:05:49.620 --> 02:05:55.700]   He was
[02:05:55.700 --> 02:06:01.220]   We're gonna start check instruments to play that
[02:06:01.220 --> 02:06:04.020]   We've been doing what happened was is that we had
[02:06:04.020 --> 02:06:06.260]   uh
[02:06:06.260 --> 02:06:08.260]   We have folks that are
[02:06:08.740 --> 02:06:12.260]   That are they're really good at this and they're playing stuff in after hours
[02:06:12.260 --> 02:06:13.620]   You know not during the main office hours
[02:06:13.620 --> 02:06:19.140]   But the after hours that we don't record and they'll play stuff for us that are mixtures of this with analog and mixtures with
[02:06:19.140 --> 02:06:22.820]   With this on its own and showing us how to do it all and I started getting like okay
[02:06:22.820 --> 02:06:23.940]   I want to play
[02:06:23.940 --> 02:06:26.740]   And and so we're gonna start doing a lot more of it's not an instrument
[02:06:26.740 --> 02:06:31.140]   It's just making a sound and then you have to put put put it into as a mini
[02:06:31.140 --> 02:06:38.180]   You can make you can make music out of it without any external input because you now it'll be kind of rhythmic
[02:06:38.180 --> 02:06:40.180]   I mean, it'll sound like our 2d 2 yeah
[02:06:40.180 --> 02:06:43.860]   No, no, no if you listen to some of that stuff people will get it into something that sounds like electronic music
[02:06:43.860 --> 02:06:47.620]   But it's not gonna sound like r2d 2 you can build it into something that's playing but
[02:06:47.620 --> 02:06:50.500]   yeah, so
[02:06:50.500 --> 02:06:53.780]   So this is like a good one
[02:06:53.780 --> 02:06:59.460]   You know in the day in the day this would be like you could do this now with all and but so much fun
[02:06:59.460 --> 02:07:01.540]   again, it's it's
[02:07:01.540 --> 02:07:06.740]   It's just really fun, you know and and uh and I've had uh, you know, I when I was um
[02:07:07.300 --> 02:07:10.900]   I used to spin a long time ago for raves and
[02:07:10.900 --> 02:07:14.260]   I was like the warm-up person so all I had was MK 1200
[02:07:14.260 --> 02:07:16.180]   the
[02:07:16.180 --> 02:07:20.500]   The guys that came in after me would have all this stuff and I used to look at it going someday. I'll do that
[02:07:20.500 --> 02:07:24.020]   30 years later now. You finally got it. You know like like it
[02:07:24.020 --> 02:07:30.340]   So I'm like 350 bucks. So it's not you know start yeah start. I'm probably a couple grand into it now
[02:07:30.340 --> 02:07:31.780]   Like it's
[02:07:31.780 --> 02:07:33.780]   Did you get a rack and more
[02:07:34.580 --> 02:07:37.940]   So I got I got that I got the crave I got the rasp I got the polyd
[02:07:37.940 --> 02:07:41.140]   And I just bought the 200 what do you use to control it?
[02:07:41.140 --> 02:07:43.700]   The the polyd is a keyboard that I'll tie into it
[02:07:43.700 --> 02:07:49.780]   Yeah, and but I can create you can create um arpeggios as well as uh, you know, I'm looking
[02:07:49.780 --> 02:07:52.100]   I'm waiting to get the rd8 but I'm waiting for the new one
[02:07:52.100 --> 02:07:55.380]   Um, the the rd8 is a drum machine. It used to be the 808
[02:07:55.380 --> 02:08:00.980]   Um, you know, so it's a rebuild or the rate 808, but the new rd8 has anyway, so so the um
[02:08:01.860 --> 02:08:07.700]   So after that, I'm trying to I'm going to try to slow down but but like like Todd Todd Reynolds in our group
[02:08:07.700 --> 02:08:08.900]   Uh
[02:08:08.900 --> 02:08:12.580]   He has this he has this amazing one that is not not barringer
[02:08:12.580 --> 02:08:18.500]   It's like but it's like four or five thousand dollars and it's just this gorgeous piece and i'm like i'm not buying that
[02:08:18.500 --> 02:08:23.940]   Oh, that's next yet. Yeah, no, no. I like I yeah, and he creates just amazing
[02:08:23.940 --> 02:08:25.860]   amazing music
[02:08:25.860 --> 02:08:30.980]   um, you know with it so it's it's uh, uh, and and so it's it I think it's going to be um
[02:08:31.540 --> 02:08:34.420]   You know and and we have this member named carl esmucin
[02:08:34.420 --> 02:08:39.220]   And uh, and he's the one that just know he gets me up to speed really fast
[02:08:39.220 --> 02:08:43.300]   So so at five o'clock in the morning, he'll have these things out and he'll start to show me how to
[02:08:43.300 --> 02:08:46.500]   You know how to like how it all works and we haven't done it together yet
[02:08:46.500 --> 02:08:48.900]   I've just been learning from him, but now we're gonna once I get set up
[02:08:48.900 --> 02:08:51.620]   I've been in LA for a week, but once I get back i'm gonna
[02:08:51.620 --> 02:08:55.620]   I'm gonna do that. So anyway, so it's it's i'm just warning everybody that
[02:08:55.620 --> 02:08:58.260]   Look at it and if it looks cool
[02:08:58.260 --> 02:09:00.420]   Think about it for a little while don't buy it immediately
[02:09:01.140 --> 02:09:04.420]   Understand the that when you take that first dose
[02:09:04.420 --> 02:09:07.060]   It can be an expensive habit
[02:09:07.060 --> 02:09:09.940]   So good a good question from dugam in the chat room
[02:09:09.940 --> 02:09:13.540]   Could you do all this in software with a with logic pro or something?
[02:09:13.540 --> 02:09:19.620]   I mean you can you could probably do a lot of it in software and you could also um, there are software
[02:09:19.620 --> 02:09:24.740]   Things that will replicate what yeah, i've seen rax. Yeah, literally you can do it
[02:09:24.740 --> 02:09:28.260]   Here's the thing is that I just look especially in the replication one
[02:09:28.260 --> 02:09:31.380]   It's great to learn it before you buy it because of like a four or five thousand dollar rack
[02:09:31.380 --> 02:09:33.860]   That's something you want to think about for a while
[02:09:33.860 --> 02:09:35.860]   So learning how to do it
[02:09:35.860 --> 02:09:41.700]   And I when people when I talked about modular sent and I was like oh, I can just do this in software. They're like, yeah, but not
[02:09:41.700 --> 02:09:46.580]   That's really yeah, because well here's the thing is that is that you're playing especially as you start patching these
[02:09:46.580 --> 02:09:48.580]   You're really playing with true electricity
[02:09:48.580 --> 02:09:54.180]   And and it is doing things that is creative that that is not in the calculation that a software will do
[02:09:54.580 --> 02:10:00.260]   And in addition to that there's something about the organic nature of it that makes it like you're playing with it
[02:10:00.260 --> 02:10:04.580]   And there's something about the freedom of software that that likes it, but I think I love the um
[02:10:04.580 --> 02:10:07.380]   Uh, I love the organics of it
[02:10:07.380 --> 02:10:11.060]   Yeah of just that i'm pulling things around because a lot of times i'm just patch
[02:10:11.060 --> 02:10:13.780]   I started moving the patch around like what does it do here? What does it do here? What does it do?
[02:10:13.780 --> 02:10:17.780]   Oh, I like that now what does it do here here here, you know, and and you can do that with software as well
[02:10:17.780 --> 02:10:23.940]   Um, but but it is there was something about the organic nature of it that I really that i'm really enjoying
[02:10:24.420 --> 02:10:28.260]   Um, probably more than I should it not because I it's not like I don't have other things to do
[02:10:28.260 --> 02:10:32.900]   So, uh, you know, I have to kind of I am keeping it in a small pocket of like when I give myself
[02:10:32.900 --> 02:10:36.260]   Because I can I could do that all night get one of those euro racks in your bathroom
[02:10:36.260 --> 02:10:43.780]   And uh, it's great. You just said well the the other euro rack stuff when you start getting into the little modules that every module is individual
[02:10:43.780 --> 02:10:48.420]   Like I know I'll graduate there, but i'm trying to stay away from i'm standing in the baron your world right now
[02:10:48.420 --> 02:10:52.660]   I like like don't because is that i start building a quick wakeman in the bathroom right now?
[02:10:52.660 --> 02:10:54.660]   No, just a little
[02:10:54.660 --> 02:10:56.660]   You're a wreck. That would be a good time. It's got a year, right?
[02:10:56.660 --> 02:11:03.140]   It would be really really fun to have just a couple modibles in the back
[02:11:03.140 --> 02:11:07.780]   Like a little like a little like a little like a brushy
[02:11:07.780 --> 02:11:15.060]   I would I would always be doing the basey deep things because I like that. Yeah
[02:11:18.580 --> 02:11:24.100]   Well, if I actually make something that I think is remotely worth listening to I'll bring it. I'll bring it to Mac
[02:11:24.100 --> 02:11:28.500]   Please do. Yeah. Yeah, I think it's going to be mostly noise for a couple years
[02:11:28.500 --> 02:11:33.300]   Well, that's you know, I've tried all these things in software and that's all I can do because i'm not a musician
[02:11:33.300 --> 02:11:36.100]   So I end up just um
[02:11:36.100 --> 02:11:41.940]   Well, and I think the only reason that i'm adventurous about it is because we have these folks in office hours that know it really well
[02:11:41.940 --> 02:11:46.500]   So I know that I don't have to like go up to online forums. I'm gonna do we're gonna do labs
[02:11:46.660 --> 02:11:49.620]   So like we have a video by the way of Alex's
[02:11:49.620 --> 02:11:53.060]   Rack right now. I'm just I'm just saying
[02:11:53.060 --> 02:11:55.700]   What happened
[02:11:55.700 --> 02:12:00.660]   Honey what happened to the washing machine the prior
[02:12:00.660 --> 02:12:03.460]   Yeah, sorry
[02:12:03.460 --> 02:12:07.220]   How cool it looks though. I mean it really would be pretty cool
[02:12:07.220 --> 02:12:13.220]   Like if you look at if you look at a friend of mine has a website on and uh youtube called learning modular
[02:12:13.300 --> 02:12:16.420]   Chris Meyer. Yeah, and Chris taught me after effects of all things
[02:12:16.420 --> 02:12:23.060]   Yeah, Chris Meyer and um, but uh learning modular is the is the is the website and and he yeah, see
[02:12:23.060 --> 02:12:28.020]   That was so much fun. He's he's patching and patching man. This is all so cool
[02:12:28.020 --> 02:12:31.220]   It is it is work. Yeah, it is except
[02:12:31.220 --> 02:12:37.300]   Except is five nine four all our patch cables when I was working in radio were phono plugs with
[02:12:37.300 --> 02:12:41.940]   Fabric cable fabric covered cables. You know, these ones don't have fabric
[02:12:41.940 --> 02:12:44.580]   I was fun. I fabric. Yeah, I want I want fabric
[02:12:44.580 --> 02:12:47.060]   And I bet you if I made them myself
[02:12:47.060 --> 02:12:51.060]   Shoot if I made them I have a boat
[02:12:51.060 --> 02:12:54.100]   Oh boy
[02:12:54.100 --> 02:12:59.540]   Now we got a factor fabric and a sotter and i'm there, you know, yeah handmade. Yeah
[02:12:59.540 --> 02:13:03.460]   Uh, any an echo what's your pick of the week?
[02:13:03.460 --> 02:13:09.780]   Uh, this is a fun one like you know that all the times when you're watching a movie like pewee's big adventure
[02:13:09.860 --> 02:13:15.060]   at the end of it like they make a movie based on pewee's big adventure and ends with them watching the movie or
[02:13:15.060 --> 02:13:16.660]   uh like uh
[02:13:16.660 --> 02:13:21.940]   That episode of the of the office where uh, they show where michael scott was making like this movie
[02:13:21.940 --> 02:13:24.820]   He was calling threat level midnight where he stars just by
[02:13:24.820 --> 02:13:32.340]   Okay, so this brilliant web designer and illustrator by the name of lin fissure decided to create a parody of Netflix
[02:13:32.340 --> 02:13:39.620]   That only contains like those movies as if those were real movies and real tv shows and it and it's
[02:13:39.700 --> 02:13:46.580]   Done 100 percent straight. It looks like a streaming video service and then you go to under spy movies
[02:13:46.580 --> 02:13:50.500]   Okay. Oh wow threat level midnight. It'll list the cast it'll list the running time
[02:13:50.500 --> 02:13:56.500]   It'll be like a beautiful presentation of like what it would what this would be like as a page on Netflix
[02:13:56.500 --> 02:13:59.860]   You'll see as they they have they have stills from the movie
[02:13:59.860 --> 02:14:03.780]   The only thing they don't have is like actual video clips because they would get sued into oblivion
[02:14:03.780 --> 02:14:06.500]   Oh, they can't actually we have the clips. I'm sure
[02:14:07.300 --> 02:14:13.380]   But but that's but and a part of the reason why it's so brilliant is that there's also a high level of standards
[02:14:13.380 --> 02:14:18.500]   It's like a lot of people were asking I posted this on twitter. It's been retweeted like a thousand times
[02:14:18.500 --> 02:14:20.020]   uh, the
[02:14:20.020 --> 02:14:24.180]   A lot of people say why how come there's why come there's no roshel roshel from seinfeld
[02:14:24.180 --> 02:14:27.940]   And the reason is like given in the about page for this like there there are rules
[02:14:27.940 --> 02:14:33.860]   One of them is that it's not enough for someone to mention a character to mention this show or for there to be like a poster
[02:14:34.100 --> 02:14:40.980]   They they're actually has to be footage of this fake tv show or this fake thing. So every time so every time on
[02:14:40.980 --> 02:14:45.060]   uh, they have a clip from like mik bane on on
[02:14:45.060 --> 02:14:47.140]   on
[02:14:47.140 --> 02:14:51.860]   On the simpsons they will have they will have like clips from that they've got titanic to they've got
[02:14:51.860 --> 02:14:54.260]   Amistad to they've got
[02:14:54.260 --> 02:14:59.940]   And it's and it's such a tribute to all of these like fake
[02:15:00.740 --> 02:15:04.420]   Yeah, again you you think you think this is going to end
[02:15:04.420 --> 02:15:09.380]   the you know that angels with angels with filthy souls from uh
[02:15:09.380 --> 02:15:12.740]   Uh from home alone. They've got that one as a movie
[02:15:12.740 --> 02:15:15.060]   Oh
[02:15:15.060 --> 02:15:18.820]   But now it makes me want to see these exactly exactly
[02:15:18.820 --> 02:15:24.260]   So it's like is there a way you can I mean this isn't actually refer to the place that they started
[02:15:24.260 --> 02:15:24.900]   Yeah
[02:15:24.900 --> 02:15:30.020]   Well, it will no in the in the last line will show you will tell you what what movie it's from. Oh, you can go
[02:15:30.020 --> 02:15:32.340]   Or tv show. Okay. So you can't
[02:15:32.340 --> 02:15:34.660]   You won't necessarily go there, but it's so i love it
[02:15:34.660 --> 02:15:38.420]   There is uh, there is like an entry for the crewman show like I guess yes
[02:15:38.420 --> 02:15:39.700]   It was the title of the movie
[02:15:39.700 --> 02:15:46.340]   But was also the title of like the tv show that documented the character's life for 30 years and says running time 30 years
[02:15:46.340 --> 02:15:52.020]   This is pretty amazing
[02:15:52.580 --> 02:15:58.900]   Again, and it's a lin lin fisher. I'm so I got so excited about it once I once I once I got my once I
[02:15:58.900 --> 02:16:01.460]   Countering on seven matter work
[02:16:01.460 --> 02:16:08.260]   Holy she spent months she spent months on this and the original loadout of like three or four hundred stuff was all written by her
[02:16:08.260 --> 02:16:10.660]   She is accepting the user generated content
[02:16:10.660 --> 02:16:16.020]   That's but she's she's had to like temporarily pause because she's got so many like people offering things
[02:16:16.020 --> 02:16:18.820]   I would love to see this turn into like the the imdb
[02:16:19.460 --> 02:16:24.340]   Where again, it's like the one it's so there's so many of these fake movies and fake tv shows
[02:16:24.340 --> 02:16:29.300]   It's not just like it's easy to do like a poster roshell roshell and come up with like a tagline forward
[02:16:29.300 --> 02:16:33.060]   Right, but when they say you know what we are going to actually build a set for this
[02:16:33.060 --> 02:16:36.500]   On 30 rock we're gonna build a set for
[02:16:36.500 --> 02:16:45.140]   For for for the thomas jefferson movie. We're gonna have costumes. We're gonna write dialogue for a five second clip
[02:16:45.140 --> 02:16:47.620]   We're gonna be putting into one episode as a joke
[02:16:48.100 --> 02:16:51.940]   Uh, and there's a she does have a buy me a coffee
[02:16:51.940 --> 02:16:54.980]   Uh donation and I believe me I bought her many
[02:16:54.980 --> 02:17:03.060]   Many copies. Yeah what this is obviously a labor of love for her, but uh now I want to see all of these right now
[02:17:03.060 --> 02:17:05.460]   Exactly. Yeah. Yeah. Yeah. I hope it's gonna
[02:17:05.460 --> 02:17:12.500]   I hope this is like still going on for like years after this and it encourages people to like if if a producer or writer is getting like
[02:17:12.500 --> 02:17:16.020]   Pushback on saying no no if we're gonna do titanic for in space
[02:17:16.260 --> 02:17:19.700]   We have to do it like we have to actually have green screen we have to do modeling
[02:17:19.700 --> 02:17:23.380]   Like why because if we get onto nest flicks dot fun
[02:17:23.380 --> 02:17:27.140]   That's that's gonna be like the place where everyone's gonna find this and everyone's gonna love it
[02:17:27.140 --> 02:17:30.900]   It's again
[02:17:30.900 --> 02:17:35.380]   All the laughter you've been hearing like for the past five that is me for like the first like 10 minutes
[02:17:35.380 --> 02:17:36.820]   I but they don't have oh my god
[02:17:36.820 --> 02:17:42.500]   They have it and then and they of course they have to make a title page when there is no like title screen for it
[02:17:42.500 --> 02:17:44.820]   They have to write a description for it when there was no description
[02:17:45.780 --> 02:17:51.540]   Again, I cannot phrase this. This soap again. It's not just that anybody can have a good idea
[02:17:51.540 --> 02:17:54.820]   I could have had this I how many times have like you've been in the gua you know what
[02:17:54.820 --> 02:18:00.340]   There should be like a version of netflix just for these fake things and then you get distracted or you move on
[02:18:00.340 --> 02:18:03.700]   Or at best you'll do this lame version of it that gets a
[02:18:03.700 --> 02:18:09.940]   And then move on the execution of this from the design to the writing of the content is
[02:18:09.940 --> 02:18:13.940]   Spotless and that's why this thing could go on for years and years and years
[02:18:14.820 --> 02:18:16.820]   I
[02:18:16.820 --> 02:18:21.860]   Nest flicks any st f l i x dot dot fun
[02:18:21.860 --> 02:18:31.380]   And I have to I'll extend my warning that I put on twitter all of you studios out there disney Netflix if you do anything to screw this up
[02:18:31.380 --> 02:18:37.380]   So help me i'm going I have never been someone who goes who like goes on to use net to download
[02:18:37.380 --> 02:18:40.580]   Movies illegally, but I will download movies that I hate
[02:18:41.060 --> 02:18:46.740]   Just to stick it to you if you do anything to say excuse me that you're using a screen capture from our
[02:18:46.740 --> 02:18:53.300]   Copyrighted materials without a license. Yeah, no go to hell christmas with the california prunes
[02:18:53.300 --> 02:19:02.180]   Again the Simpsons that you know what we don't know how to do claymation, but we will hire us
[02:19:02.180 --> 02:19:09.140]   We're a high hire people to do claymation just for this one scene because it's a good joke burns for all seasons
[02:19:10.740 --> 02:19:12.740]   Mr. Renee richy your pick of the week
[02:19:12.740 --> 02:19:21.380]   So there's no way to follow that i'm starting out this pretty awesome. No way to follow that's why you're going. Yeah total total domination
[02:19:21.380 --> 02:19:23.860]   To andy and Alex this week
[02:19:23.860 --> 02:19:26.580]   So there's a youtube channel called Gerald undone
[02:19:26.580 --> 02:19:33.300]   So if you were to imagine what a john syrucusa macos review would be like if it was for photography gear
[02:19:33.300 --> 02:19:39.460]   That is what this is. It's just the most the sounds expensive for me. Um, well, so this yeah
[02:19:39.460 --> 02:19:44.020]   So he will do everything he will get like a mass spectrometer to see what the actual components of the cameras
[02:19:44.020 --> 02:19:46.180]   he does all his own color like um
[02:19:46.180 --> 02:19:51.220]   Uh, uh, sorry a depth of field. It does everything he measures everything he is exacting
[02:19:51.220 --> 02:19:54.740]   But he's also just put out. These are just for fun. He's put out a set of
[02:19:54.740 --> 02:20:00.180]   Uh hdmi cables that are purple hdmi cable because his whole channel is based on purple
[02:20:00.180 --> 02:20:01.940]   But that was not enough for him
[02:20:01.940 --> 02:20:07.540]   He had to get ifondo who i love ifondo for rook who does the most amazing mac reviews
[02:20:07.540 --> 02:20:14.100]   Like like the mac pro spins around and the camera ducks inside the mac pro and comes out and there's colored lights everywhere
[02:20:14.100 --> 02:20:19.380]   And he and he'll say in his inimitable accent, you know, it's apples new mac pro, but is it any good?
[02:20:19.380 --> 02:20:21.940]   You know, and then he'll proceed to keep dive
[02:20:21.940 --> 02:20:24.100]   Into the interview. Um
[02:20:24.100 --> 02:20:28.020]   And so he reviewed as part of the announcement for these purple hdmi cables
[02:20:28.020 --> 02:20:30.900]   Which are just really good hdmi cables that happened to be in purple
[02:20:30.900 --> 02:20:36.340]   He got for rook got ifondo to do the review and it is it is so brilliant because he tries to tie
[02:20:36.500 --> 02:20:38.820]   He tries to put the hdmi cable in the shoelaces
[02:20:38.820 --> 02:20:43.860]   He tries to see like anything that everything that you could at least like how his his videos look
[02:20:43.860 --> 02:20:46.980]   But he's doing this whole thing far so far so fully far so quickly
[02:20:46.980 --> 02:20:50.500]   And i had to buy an extra set of cables just to support
[02:20:50.500 --> 02:20:54.420]   madness the sheer madness and lunacy of
[02:20:54.420 --> 02:20:57.860]   This kind of quality of of a fake review
[02:20:57.860 --> 02:21:03.860]   For a just fun fun sort of product to tie in because it's it's it's mad
[02:21:04.100 --> 02:21:09.380]   I actually thought a bunch of these cable it'd be nice if you get him to start making patch cables for your synthesizer
[02:21:09.380 --> 02:21:12.740]   You know, these are nice. It was so this is all from amazing
[02:21:12.740 --> 02:21:18.980]   Yeah, and they're usually blue cables, but he got like a bus perk set done in purple just for his just for the show channel
[02:21:18.980 --> 02:21:24.900]   But nice if you go a little bit later on you'll see like all the shoelaces are being tied and all the like it's just it is a perfect
[02:21:24.900 --> 02:21:32.100]   Destruction of how it in a youtube review like it's just so dumb, but this is how all youtube reviews really are so it's
[02:21:32.900 --> 02:21:38.820]   You know, it's it's it's everything it wants to all people's goly. I love this all it's good. Yeah
[02:21:38.820 --> 02:21:44.660]   I love I just I just I could not I could not find it more adorable jerel done done and the new
[02:21:44.660 --> 02:21:46.740]   Yeah
[02:21:46.740 --> 02:21:48.740]   HDMI cable episode
[02:21:48.740 --> 02:21:53.700]   Uh, I want to mention real quickly. I sent and I see that you joined
[02:21:53.700 --> 02:21:54.900]   uh
[02:21:54.900 --> 02:21:58.180]   Renee i'll send you one alex and uh an invite
