;FFMETADATA1
album=MacBreak Weekly October 2007
artist=Leo Laporte, Scott Bourne, Andy Ihnatko, and John Siracusa
comment=http://twit.tv/mbw64
genre=Podcast
title=MacBreak Weekly 64: Hello Leopard
date=2007

[00:00:00.000 --> 00:00:06.120]   Netcast you love.
[00:49:59.920 --> 00:50:00.920]   No, that was intentionally.
[00:50:00.920 --> 00:50:02.920]   Damn, idiots.
[00:50:02.920 --> 00:50:07.320]   But so I installed like the gold master and I thought, "Wow, there's a new feature.
[00:50:07.320 --> 00:50:09.960]   There seems to be some sort of an indicator light next to the edit menu."
[00:50:09.960 --> 00:50:10.960]   I wonder what that means.
[00:50:10.960 --> 00:50:15.080]   I said, "No, that's a star from the background that's bleeding through."
[00:50:15.080 --> 00:50:16.080]   Oh, man.
[00:50:16.080 --> 00:50:17.080]   That's like, "Oh."
[00:50:17.080 --> 00:50:19.720]   So we have to choose our desktops more carefully, I guess.
[00:50:19.720 --> 00:50:22.680]   It's just cool to do stuff like this.
[00:50:22.680 --> 00:50:26.400]   I mean, I feel like there is some sort of meeting where they're saying, "We need to
[00:50:26.400 --> 00:50:30.400]   do something to make this not look like the previous OS release to someone who walks into
[00:50:30.400 --> 00:50:31.400]   it for a while."
[00:50:31.400 --> 00:50:33.840]   What can we do if this looks new?
[00:50:33.840 --> 00:50:36.280]   And secondary entirely, "This is a good idea.
[00:50:36.280 --> 00:50:37.920]   Any rational person do this?
[00:50:37.920 --> 00:50:38.920]   Any reason?
[00:50:38.920 --> 00:50:41.600]   You'd want to see what's behind the menu box?"
[00:50:41.600 --> 00:50:42.600]   No!
[00:50:42.600 --> 00:50:43.600]   No!
[00:50:43.600 --> 00:50:44.600]   Never.
[00:50:44.600 --> 00:50:46.600]   And not only do they do it, they have a core animation filter running out.
[00:50:46.600 --> 00:50:50.640]   So now, not only does it show you through what's behind the menu bar, but it runs with
[00:50:50.640 --> 00:50:51.640]   the complicated filter on it.
[00:50:51.640 --> 00:50:52.640]   What are you thinking?
[00:50:52.640 --> 00:50:55.080]   None of those people are making them do something else.
[00:50:55.080 --> 00:50:56.080]   No.
[00:50:56.080 --> 00:50:59.120]   On a new Mac, all the core animation stuff is going through the GPU.
[00:50:59.120 --> 00:51:02.640]   So because somebody has a number of people who said, "Well, gosh, I don't want this
[00:51:02.640 --> 00:51:03.960]   reflection in the doc.
[00:51:03.960 --> 00:51:06.000]   That's just using up CPU cycles."
[00:51:06.000 --> 00:51:07.800]   But they're probably unused anyway, right?
[00:51:07.800 --> 00:51:09.360]   I mean, it's not slowing or system time.
[00:51:09.360 --> 00:51:13.240]   No, the GPU involved in sending commands to the GPU and the GPU is used for other things.
[00:51:13.240 --> 00:51:14.240]   That's not the reason.
[00:51:14.240 --> 00:51:16.800]   Well, the reflections are like, "Why do I need something else?"
[00:51:16.800 --> 00:51:20.280]   "Let me take the disadvantages of the real world and apply them to my computer."
[00:51:20.280 --> 00:51:21.280]   "Flare!"
[00:51:21.280 --> 00:51:25.560]   "That can be distracted in the same way by the elements of my computer."
[00:51:25.560 --> 00:51:30.680]   "Let's build a room with the scent of over-cooked microwave popcorn too."
[00:51:30.680 --> 00:51:35.600]   "All the things about real life just infuse."
[00:51:35.600 --> 00:51:38.120]   The first operating system with bad breath, ladies and gentlemen.
[00:51:38.120 --> 00:51:39.760]   "Scott Borne, you haven't weighed in.
[00:51:39.760 --> 00:51:40.760]   What do you think?
[00:51:40.760 --> 00:51:42.320]   You're an aesthetic kind of guy."
[00:51:42.320 --> 00:51:49.440]   Like I said, I like the ideas of some of these things looking pretty and stuff, but I wonder
[00:51:49.440 --> 00:51:54.200]   if a lot of this stuff wasn't just done because some department over at Apple was like, "Hey,
[00:51:54.200 --> 00:51:57.440]   you guys are in charge of making this thing look like it's worth a buck."
[00:51:57.440 --> 00:52:00.840]   And it's really hard.
[00:52:00.840 --> 00:52:03.120]   Of course, I was the last guy I know.
[00:52:03.120 --> 00:52:07.880]   I have to admit to completely implement OS X. I stuck with OS 9 forever because I was familiar
[00:52:07.880 --> 00:52:08.880]   with it.
[00:52:08.880 --> 00:52:10.600]   I'm one of those kinds of creatures I have it.
[00:52:10.600 --> 00:52:14.360]   I'm going to tell you right now, looking at it for five minutes today was very distracting
[00:52:14.360 --> 00:52:15.360]   to me.
[00:52:15.360 --> 00:52:19.240]   And I immediately thought about, "Well, I won't put it on my main computer because I
[00:52:19.240 --> 00:52:20.240]   can't do that."
[00:52:20.240 --> 00:52:21.240]   "Really?"
[00:52:21.240 --> 00:52:22.240]   "I really can't do that.
[00:52:22.240 --> 00:52:24.320]   It's just very distracting."
[00:52:24.320 --> 00:52:27.160]   And the whole idea of it is bizarre to me.
[00:52:27.160 --> 00:52:32.360]   It's sort of like, there's a reason we don't put those airport scanners in plain view where
[00:52:32.360 --> 00:52:35.040]   they show your entire body as you walk through security.
[00:52:35.040 --> 00:52:36.840]   Some of us don't want to know what's there.
[00:52:36.840 --> 00:52:38.800]   "All right, well, I like it.
[00:52:38.800 --> 00:52:39.800]   So I guess I'm..."
[00:52:39.800 --> 00:52:40.800]   "You're the only one."
[00:52:40.800 --> 00:52:41.800]   "I'm the only one.
[00:52:41.800 --> 00:52:46.520]   I like my computer to have interesting distracting colors, maybe because I don't want anything
[00:52:46.520 --> 00:52:47.520]   done.
[00:52:47.520 --> 00:52:48.520]   I don't know."
[00:52:48.520 --> 00:52:54.320]   I kind of see some of the logic behind it because if I'm opening my heart and trying
[00:52:54.320 --> 00:52:55.800]   to see the good in my fellow man-
[00:52:55.800 --> 00:52:56.800]   "Would you please?"
[00:52:56.800 --> 00:52:57.800]   "Something that I'm trying to do."
[00:52:57.800 --> 00:52:58.800]   "Yes, please do that."
[00:52:58.800 --> 00:52:59.800]   "I could..."
[00:52:59.800 --> 00:53:02.480]   "You can say that, well, look, the menu bar is completely white.
[00:53:02.480 --> 00:53:04.720]   Document areas are also completely white.
[00:53:04.720 --> 00:53:09.760]   If we make the menu bar a different color than white, it sets that apart from your
[00:53:09.760 --> 00:53:13.640]   live editing, your live creative area of the window of the screen."
[00:53:13.640 --> 00:53:16.000]   "You're blending into the thing behind it?"
[00:53:16.000 --> 00:53:17.000]   "Exactly.
[00:53:17.000 --> 00:53:18.000]   I'm trying hard.
[00:53:18.000 --> 00:53:23.280]   It's sort of like saying, you know, I know you count those three people, but you had
[00:53:23.280 --> 00:53:26.600]   a drug habit, you worked in your right mind, you just wanted the drugs.
[00:53:26.600 --> 00:53:27.600]   I understand."
[00:53:27.600 --> 00:53:31.120]   "I've got one semi-legitimate theory for why you do this.
[00:53:31.120 --> 00:53:32.120]   The best one I've heard.
[00:53:32.120 --> 00:53:35.240]   I didn't come up with this, but the only one of her that you could say, someone who's
[00:53:35.240 --> 00:53:38.280]   not completely insane could have been persuaded by this argument.
[00:53:38.280 --> 00:53:45.160]   That going forward in the past few years, the menu bar itself is the emphasized user interface
[00:53:45.160 --> 00:53:49.600]   element, being replaced by toolbars, panels, and other things that are in the application
[00:53:49.600 --> 00:53:50.600]   itself.
[00:53:50.600 --> 00:53:54.160]   By de-emphasizing it visually, Apple is sending the message that most of the controls that
[00:53:54.160 --> 00:53:56.800]   most people use should be visible in the toolbar or sidebar."
[00:53:56.800 --> 00:53:58.800]   "Pay no attention to that menu bar.
[00:53:58.800 --> 00:54:00.440]   That's not the menu bar you like."
[00:54:00.440 --> 00:54:04.760]   "If you think about how often people use the menu bar, people load iPhoto and they just
[00:54:04.760 --> 00:54:06.080]   click on the icons in iPhoto.
[00:54:06.080 --> 00:54:08.480]   Do you ever use the menu in iPhoto or iTunes?"
[00:54:08.480 --> 00:54:09.480]   "I mean right."
[00:54:09.480 --> 00:54:10.720]   "That's all I can think of.
[00:54:10.720 --> 00:54:11.960]   I don't say it's a good idea.
[00:54:11.960 --> 00:54:15.600]   I still think even if you're going to de-emphasize it doesn't mean you make it ugly and illegible,
[00:54:15.600 --> 00:54:17.600]   but that's the only argument I've heard."
[00:54:17.600 --> 00:54:22.840]   "Arched into a group meeting saying, 'You know, I just used a Linux Mootv photo editor
[00:54:22.840 --> 00:54:23.840]   for the first time.
[00:54:23.840 --> 00:54:26.560]   I think every time we have a new feature, we should do that.
[00:54:26.560 --> 00:54:30.080]   We should have a new button and a new pop-up and a new sub-menu.
[00:54:30.080 --> 00:54:34.240]   If they can see their desktop pattern at any moment during the third experience, then
[00:54:34.240 --> 00:54:35.240]   we failed.
[00:54:35.240 --> 00:54:37.120]   I want you to take care of this."
[00:54:37.120 --> 00:54:42.120]   "Now, I have to say, I think Apple's biggest disadvantage over Windows.
[00:54:42.120 --> 00:54:45.960]   Now don't shoot me here is that in fact Windows does menu bars right.
[00:54:45.960 --> 00:54:50.560]   It attaches the menu bar for the application to the window of the application.
[00:54:50.560 --> 00:54:52.760]   It's crazy that you have this...
[00:54:52.760 --> 00:54:56.960]   Well and it's really a problem on big screens because on a large screen the menu is way
[00:54:56.960 --> 00:54:58.840]   to hell far away from the window.
[00:54:58.840 --> 00:54:59.840]   You think I'm wrong, huh?"
[00:54:59.840 --> 00:55:03.440]   "I think your problem is you have too much money and can afford 30 inches away."
[00:55:03.440 --> 00:55:06.040]   "Well more and more of us are.
[00:55:06.040 --> 00:55:07.840]   I use a 23 inches play.
[00:55:07.840 --> 00:55:09.840]   I don't think I have that problem.
[00:55:09.840 --> 00:55:13.920]   But I don't want the menu bar eating space and everything at one of my menus that drives
[00:55:13.920 --> 00:55:14.920]   beat in FANDA.
[00:55:14.920 --> 00:55:17.240]   Ignoring the targeting ability, having to click these things.
[00:55:17.240 --> 00:55:19.200]   I do not want a menu bar in every single window.
[00:55:19.200 --> 00:55:20.200]   It's absolutely insane.
[00:55:20.200 --> 00:55:22.840]   It's a colossal waste of space."
[00:55:22.840 --> 00:55:25.120]   Only one menu bar could be active at one given time.
[00:55:25.120 --> 00:55:27.120]   Why is it displaying make-tons like cat-act?
[00:55:27.120 --> 00:55:30.360]   "I have hundreds of text documents open when I'm doing stuff.
[00:55:30.360 --> 00:55:32.800]   I do not want a menu in every single one of those things.
[00:55:32.800 --> 00:55:33.800]   I hold screen to the menu."
[00:55:33.800 --> 00:55:34.800]   "Oh my god."
[00:55:34.800 --> 00:55:37.680]   "A menu is 10 pixels wide.
[00:55:37.680 --> 00:55:38.680]   Deep."
[00:55:38.680 --> 00:55:40.440]   " Multiplied by the wizard document.
[00:55:40.440 --> 00:55:41.440]   Add up the pixels.
[00:55:41.440 --> 00:55:42.440]   It's real screen real estate.
[00:55:42.440 --> 00:55:45.760]   And then again, it doesn't even ignore the targeting thing where I don't want to have
[00:55:45.760 --> 00:55:47.400]   to be aiming for this little menu missing.
[00:55:47.400 --> 00:55:50.480]   We're going one above to getting a menu bar of the window below.
[00:55:50.480 --> 00:55:51.480]   Oops, you know.
[00:55:51.480 --> 00:55:52.480]   The menu bar should be at the top.
[00:55:52.480 --> 00:55:53.480]   Let me run out there.
[00:55:53.480 --> 00:55:54.480]   Get the menu you want.
[00:55:54.480 --> 00:55:57.520]   If you don't like it, pretend it's being de-emphasized and customize your tools."
[00:55:57.520 --> 00:55:58.520]   "I disagree.
[00:55:58.520 --> 00:56:02.320]   I really think the menu bar belongs in the act of windows of each application."
[00:56:02.320 --> 00:56:04.320]   "I don't know if Apple never listens."
[00:56:04.320 --> 00:56:06.360]   "Well, I'm sure they won't.
[00:56:06.360 --> 00:56:08.560]   So you're in luck there."
[00:56:08.560 --> 00:56:09.560]   "I know."
[00:56:09.560 --> 00:56:12.320]   "But maybe that's where Apple's headed.
[00:56:12.320 --> 00:56:13.920]   That's why they're de-emphasizing the menu bar.
[00:56:13.920 --> 00:56:15.960]   They're trying to say don't look up here.
[00:56:15.960 --> 00:56:16.960]   Start looking at the application."
[00:56:16.960 --> 00:56:18.760]   "Maybe you're right, Mr. Syracuse."
[00:56:18.760 --> 00:56:21.120]   "There would be a popular revolt if that ever happened.
[00:56:21.120 --> 00:56:24.760]   I like to think that the Mac community would march on Cupertino."
[00:56:24.760 --> 00:56:25.760]   "Really?"
[00:56:25.760 --> 00:56:26.760]   "That ever happened."
[00:56:26.760 --> 00:56:29.160]   "They haven't marched on Cupertino for the mighty mouse.
[00:56:29.160 --> 00:56:30.160]   I don't know why they're-"
[00:56:30.160 --> 00:56:32.400]   "But you're right, but this is a much bigger deal.
[00:56:32.400 --> 00:56:36.000]   I can't think of much that would be a bigger deal than removing that top menu bar."
[00:56:36.000 --> 00:56:40.400]   "Well, it certainly is one of the things that really distinguishes Apple from Windows
[00:56:40.400 --> 00:56:41.400]   Microsoft."
[00:56:41.400 --> 00:56:46.200]   "I was going to say remember what happened when they had early betas of 10.0 and the
[00:56:46.200 --> 00:56:48.480]   Apple menu was in the middle of the menu bar."
[00:56:48.480 --> 00:56:50.240]   "The menu was just an inert logo."
[00:56:50.240 --> 00:56:51.240]   "Yeah, exactly."
[00:56:51.240 --> 00:56:52.240]   "And people float around it."
[00:56:52.240 --> 00:56:53.240]   "Yeah."
[00:56:53.240 --> 00:56:55.680]   "It's like you've done something unspeakable to their cats."
[00:56:55.680 --> 00:56:59.160]   "It's kind of like when they changed the original Coke formula."
[00:56:59.160 --> 00:57:01.040]   "Well, I stand corrected.
[00:57:01.040 --> 00:57:02.760]   I had no idea it was such an issue."
[00:57:02.760 --> 00:57:06.200]   "There's big feeling behind this as an NFL format user."
[00:57:06.200 --> 00:57:08.440]   "You want to do a firefight, Mopor?
[00:57:08.440 --> 00:57:11.000]   Well, I've poisoned my mind by using Windows apparently."
[00:57:11.000 --> 00:57:13.000]   "Yes, you broke your mind by the way."
[00:57:13.000 --> 00:57:15.680]   "We could answer that question easily."
[00:57:15.680 --> 00:57:16.680]   "You do it."
[00:57:16.680 --> 00:57:18.680]   "You do it so well."
[00:57:18.680 --> 00:57:19.680]   "Windows weekly would continue."
[00:57:19.680 --> 00:57:22.720]   "It had to do with all that LDS you did in the 60s.
[00:57:22.720 --> 00:57:24.440]   It was Windows that did it."
[00:57:24.440 --> 00:57:26.440]   "The latter day Saints?"
[00:57:26.440 --> 00:57:28.920]   "So let's talk about performance.
[00:57:28.920 --> 00:57:31.080]   It does feel faster.
[00:57:31.080 --> 00:57:32.480]   Has anybody done benchmarks though?
[00:57:32.480 --> 00:57:33.960]   Do we know if it's faster?"
[00:57:33.960 --> 00:57:38.840]   "I did benchmarks timing application launch and that was faster fractionally.
[00:57:38.840 --> 00:57:41.080]   But application launching to me feels faster.
[00:57:41.080 --> 00:57:44.400]   I think because they're shaving off bounces as usual, you know, like that guy can't bounce
[00:57:44.400 --> 00:57:45.400]   it and it just feels faster."
[00:57:45.400 --> 00:57:48.000]   It bounces twice and nothing happens for a minute.
[00:57:48.000 --> 00:57:54.040]   "I stopped watching most applications that ship with it from launching it to be able
[00:57:54.040 --> 00:57:57.240]   to use it like to be able to type your first character and text edit for example.
[00:57:57.240 --> 00:58:00.840]   And leopard was marginally faster for me on the same exact hard drive, clean install
[00:58:00.840 --> 00:58:02.680]   and both faces and tiger, you know."
[00:58:02.680 --> 00:58:04.320]   "Marginally though, that's not a lot."
[00:58:04.320 --> 00:58:06.000]   "Marginally, but I mean that's just one area.
[00:58:06.000 --> 00:58:10.400]   There are tons of areas where leopard frameworks are way, way faster, text drawing, line drawing,
[00:58:10.400 --> 00:58:13.560]   you know, but it requires some effort on the part of the developer to take advantage of
[00:58:13.560 --> 00:58:14.560]   those.
[00:58:14.560 --> 00:58:15.560]   So going forward, those will improve."
[00:58:15.560 --> 00:58:17.560]   And of course you think like spotlight.
[00:58:17.560 --> 00:58:18.560]   I mean does that count?
[00:58:18.560 --> 00:58:20.520]   Obviously spotlight is ridiculously faster.
[00:58:20.520 --> 00:58:21.520]   Everyone agrees on that.
[00:58:21.520 --> 00:58:22.520]   "It's usable."
[00:58:22.520 --> 00:58:24.800]   "That's not OS performance that, you know, leopard is in fact."
[00:58:24.800 --> 00:58:27.720]   "Well it's faster because that's a feature that people were avoiding because they were
[00:58:27.720 --> 00:58:29.960]   so slow and tiger and now it's not."
[00:58:29.960 --> 00:58:33.000]   There are most of the control panels of the same, most of the little accessories are the
[00:58:33.000 --> 00:58:36.320]   same with the exception of the network and the Bluetooth control panels which have been
[00:58:36.320 --> 00:58:38.120]   much improved.
[00:58:38.120 --> 00:58:40.640]   Big improvements there.
[00:58:40.640 --> 00:58:45.520]   You point out, and actually Apple pointed this out to me, and it's a little slam at Windows
[00:58:45.520 --> 00:58:50.200]   when you browse through your shared computers.
[00:58:50.200 --> 00:58:54.320]   If you have a Windows computer, you know, each computer has its own icon.
[00:58:54.320 --> 00:59:01.840]   The Windows computer will have a crappy 17-inch CRT monitor with a blue screen of death on
[00:59:01.840 --> 00:59:04.720]   it, which I think is a nice little touch.
[00:59:04.720 --> 00:59:06.200]   I think it's unprofessional.
[00:59:06.200 --> 00:59:07.200]   It's a little unprofessional.
[00:59:07.200 --> 00:59:08.200]   A little bit unprofessional.
[00:59:08.200 --> 00:59:09.200]   They were...
[00:59:09.200 --> 00:59:10.200]   I'll proceed.
[00:59:10.200 --> 00:59:11.200]   You've got to check that out when you ship it.
[00:59:11.200 --> 00:59:12.200]   They left it.
[00:59:12.200 --> 00:59:15.200]   Or they really, they should put a big screenshot of Aeroglass on it because I think that's horrendous.
[00:59:15.200 --> 00:59:18.400]   It would have been more insulting than a blue screen and more appropriate.
[00:59:18.400 --> 00:59:20.240]   True, it would have been accurate.
[00:59:20.240 --> 00:59:21.240]   Right.
[00:59:21.240 --> 00:59:24.120]   Well, anyway, it's a little slam at Microsoft, which...
[00:59:24.120 --> 00:59:25.120]   You're right.
[00:59:25.120 --> 00:59:26.600]   It kind of surprised me a little bit to see that.
[00:59:26.600 --> 00:59:28.480]   It's a little childish, but what the hell?
[00:59:28.480 --> 00:59:30.080]   We're child, we're children.
[00:59:30.080 --> 00:59:33.400]   Maybe they could have just had the menu bar move when you got there.
[00:59:33.400 --> 00:59:34.400]   I don't know.
[00:59:34.400 --> 00:59:36.000]   Any other thoughts before we wrap it up?
[00:59:36.000 --> 00:59:37.200]   We're not going to do a pick this week.
[00:59:37.200 --> 00:59:41.320]   I want to give you all a chance to think about what your favorite leopard maybe applications
[00:59:41.320 --> 00:59:44.560]   will be for next week or something like that.
[00:59:44.560 --> 00:59:45.560]   Any final thoughts?
[00:59:45.560 --> 00:59:46.560]   Any Enoco leopard?
[00:59:46.560 --> 00:59:50.240]   I guess what I should ask everybody is, should people upgrade?
[00:59:50.240 --> 00:59:51.240]   Who should upgrade?
[00:59:51.240 --> 00:59:53.240]   Who should not upgrade to leopard?
[00:59:53.240 --> 00:59:54.240]   Any Enoco?
[00:59:54.240 --> 00:59:57.840]   Again, it will be a different set of people for everybody.
[00:59:57.840 --> 01:00:02.120]   If you go to Macworld.com, I basically priced out what each of the features were for.
[01:00:02.120 --> 01:00:06.320]   I think there are a lot of people who will upgrade just to get the new version of Mail
[01:00:06.320 --> 01:00:08.360]   because it's the next...
[01:00:08.360 --> 01:00:09.360]   Really, it's the next iteration.
[01:00:09.360 --> 01:00:13.000]   It's designed to be more of a professional tool for managing everything.
[01:00:13.000 --> 01:00:14.000]   I love the task.
[01:00:14.000 --> 01:00:15.000]   I really do know that.
[01:00:15.000 --> 01:00:16.000]   I really do know that.
[01:00:16.000 --> 01:00:19.360]   I mean, you get an email and it contains four different things that you're interested
[01:00:19.360 --> 01:00:20.360]   in.
[01:00:20.360 --> 01:00:22.000]   It has an email address that you want to create into a contact.
[01:00:22.000 --> 01:00:25.040]   It's got a new appointment in it that you want to add to your calendar and it's got
[01:00:25.040 --> 01:00:27.280]   a new thing you want to add to your to-do list.
[01:00:27.280 --> 01:00:33.200]   Finally, the new Mail understands all of that and can integrate that into one application.
[01:00:33.200 --> 01:00:37.200]   For me, there were like four different things that made it a must buy even if Apple didn't
[01:00:37.200 --> 01:00:38.800]   give me a free copy.
[01:00:38.800 --> 01:00:42.000]   But I think there's no one killer feature for everybody.
[01:00:42.000 --> 01:00:43.000]   Are you bitter?
[01:00:43.000 --> 01:00:44.000]   Bitter?
[01:00:44.000 --> 01:00:45.000]   Yeah.
[01:00:45.000 --> 01:00:46.720]   Apple didn't give you a free copy?
[01:00:46.720 --> 01:00:47.720]   Are you bitter?
[01:00:47.720 --> 01:00:49.600]   Apple gave me a free copy, man.
[01:00:49.600 --> 01:00:52.200]   Oh, even if I see what you're saying.
[01:00:52.200 --> 01:00:54.200]   Even it was the subjunctive.
[01:00:54.200 --> 01:00:56.520]   I'm saying that they not.
[01:00:56.520 --> 01:01:03.480]   Even me as the honest, independent journalist for whom every penny is a hard one battle
[01:01:03.480 --> 01:01:06.920]   from the people who will not process my invoices for six months.
[01:01:06.920 --> 01:01:10.600]   I would be buying this $129 package.
[01:01:10.600 --> 01:01:14.240]   And that's another great feature of it that Apple still is doing the smart thing.
[01:01:14.240 --> 01:01:17.920]   They're saying let's have it relatively cheap and let's not have four different versions
[01:01:17.920 --> 01:01:18.920]   of it.
[01:01:18.920 --> 01:01:21.120]   Four, I think there's seven versions of Windows.
[01:01:21.120 --> 01:01:26.480]   Oh, because it keeps subdividing like pull-in-arian worms, which is about the same level of
[01:01:26.480 --> 01:01:31.080]   ephm which this is the operation has been written.
[01:01:31.080 --> 01:01:33.440]   Yeah, I mean, that's also a good feature.
[01:01:33.440 --> 01:01:34.920]   Everybody's going to buy it.
[01:01:34.920 --> 01:01:36.720]   Everyone's going to be using leopard.
[01:01:36.720 --> 01:01:39.720]   The question is whether they're going to buy it right now or wait until next year when
[01:01:39.720 --> 01:01:42.240]   they plan to buy a new MacBook or when they plan to buy a new iMac.
[01:01:42.240 --> 01:01:46.200]   I think the upgrade is so painless you might as well just get it now.
[01:01:46.200 --> 01:01:50.680]   Unless you're one of those holdouts who desperately needs to continue to run hypercard or any
[01:01:50.680 --> 01:01:55.560]   other classic app, that's the only deal breaker and that's not going to affect more than I
[01:01:55.560 --> 01:02:00.040]   don't know for people who are whose computers are made out of, you know, dried twigs and
[01:02:00.040 --> 01:02:01.440]   animal hides, blashed together.
[01:02:01.440 --> 01:02:02.440]   I don't know.
[01:02:02.440 --> 01:02:04.960]   John Syracuse, a must-have upgrade for whom?
[01:02:04.960 --> 01:02:09.960]   I would say that if you're a home user and there's some feature in leopard that will improve
[01:02:09.960 --> 01:02:14.600]   your day-to-day life, whether it's mail or it's just, you know, the back to my Mac, the
[01:02:14.600 --> 01:02:18.000]   screen sharing, if there's any feature that you think will make your day-to-day computing
[01:02:18.000 --> 01:02:21.400]   life better and you're just a regular home user, you should just go out and upgrade.
[01:02:21.400 --> 01:02:23.680]   It's pretty stable for an initial release.
[01:02:23.680 --> 01:02:24.680]   You're at a police state.
[01:02:24.680 --> 01:02:26.280]   Point release, yeah, so it's not a big deal.
[01:02:26.280 --> 01:02:30.600]   If you're, I would hold off if you're using a Mac for some serious work and you have existing
[01:02:30.600 --> 01:02:34.040]   applications that are, you know, humming along like you're using a final cut or you're
[01:02:34.040 --> 01:02:38.440]   doing something else, you really have to wait for those applications to be updated or at
[01:02:38.440 --> 01:02:42.720]   least just giving the thumbs up by, you know, by their vendors because you can't sacrifice
[01:02:42.720 --> 01:02:46.440]   your work environment for the sake of, oh, now my mail application is a little bit nice.
[01:02:46.440 --> 01:02:50.800]   How about somebody on G4, a G5, an older Mac, if it lives up to the respects required?
[01:02:50.800 --> 01:02:53.800]   I would say independent hardware, those two categories, basically.
[01:02:53.800 --> 01:02:57.560]   It's a feature that you think will make your life easier and you're just a regular home
[01:02:57.560 --> 01:02:58.640]   user, upgrade.
[01:02:58.640 --> 01:03:02.760]   If you're using it for work or for something professional, wait it out, make sure all your
[01:03:02.760 --> 01:03:04.280]   apps are ported and then bring it over.
[01:03:04.280 --> 01:03:06.040]   And Scott, we know you're waiting it out.
[01:03:06.040 --> 01:03:09.920]   Well, I got, we have six machines, we put it on one.
[01:03:09.920 --> 01:03:13.960]   And we have, just like John said, we have a lot of professional apps that we use on
[01:03:13.960 --> 01:03:17.000]   our production environment, we can't afford to risk them.
[01:03:17.000 --> 01:03:20.240]   You know, I think it's a good, I think it's a good looking program.
[01:03:20.240 --> 01:03:26.600]   You know, will the average person who has a thousand dollar Mac want to spend $129 bucks,
[01:03:26.600 --> 01:03:29.800]   you know, a low end Mac, will they want to spend $129 bucks for this?
[01:03:29.800 --> 01:03:31.960]   You know, you know, it's not, it's not a big deal.
[01:03:31.960 --> 01:03:33.960]   I think a lot of people will enjoy it.
[01:03:33.960 --> 01:03:38.600]   I think from a stability point of view, I always prefer to wait a few weeks and let all the
[01:03:38.600 --> 01:03:40.840]   really bad things that are going to happen happen.
[01:03:40.840 --> 01:03:45.000]   And then, you know, I'll eventually maybe get around to it, but I got to tell you, the
[01:03:45.000 --> 01:03:48.440]   menu bar and a couple other things have me, have me a little curious as to whether or
[01:03:48.440 --> 01:03:49.640]   not I'll be able to stand it.
[01:03:49.640 --> 01:03:50.640]   I love it.
[01:03:50.640 --> 01:03:54.240]   I'm saying everybody should upgrade to it, but I guess if you've listened to this, you
[01:03:54.240 --> 01:03:57.640]   probably know the reasons why you might not want to upgrade to it.
[01:03:57.640 --> 01:04:00.360]   But I just, I just, I feel really good about using it.
[01:04:00.360 --> 01:04:05.000]   It's, it's like a new paint job for your computer for 129 bucks.
[01:04:05.000 --> 01:04:07.040]   That's, that's almost as good as real shibe.
[01:04:07.040 --> 01:04:10.760]   It's like the new paint job you put on your car before you try to sell it to some room.
[01:04:10.760 --> 01:04:13.600]   Anyway, what's the black pro?
[01:04:13.600 --> 01:04:15.760]   I'm sorry.
[01:04:15.760 --> 01:04:16.760]   I've got to go to windows.
[01:04:16.760 --> 01:04:18.560]   I need my menu bar.
[01:04:18.560 --> 01:04:20.240]   Check out those cup holders.
[01:04:20.240 --> 01:04:21.480]   Three of them, sir.
[01:04:21.480 --> 01:04:22.480]   Brand new.
[01:04:22.480 --> 01:04:26.320]   I really want to thank John Syracuse if we're putting up with us for the first time joining
[01:04:26.320 --> 01:04:28.760]   us must read article.
[01:04:28.760 --> 01:04:30.160]   It's a part of the infinite loop.
[01:04:30.160 --> 01:04:34.200]   It's the leopard review at ours, technical.com.
[01:04:34.200 --> 01:04:37.240]   Highly recommended apple coverage is very good in ours.
[01:04:37.240 --> 01:04:40.720]   Actually news, tech news in general has been very good in ours.
[01:04:40.720 --> 01:04:44.640]   Then we've had Jackie on before, but we're glad to get you on also.
[01:04:44.640 --> 01:04:46.560]   Take a look at that leopard review.
[01:04:46.560 --> 01:04:50.160]   30,000 chocolatey rich words.
[01:04:50.160 --> 01:04:52.280]   And John, I hope you won't be a stranger and come back soon.
[01:04:52.280 --> 01:04:53.280]   Sure.
[01:04:53.280 --> 01:04:54.280]   Anytime.
[01:04:54.280 --> 01:04:58.240]   Scott Born is at the applephone show.com also girls gone geek.tv.
[01:04:58.240 --> 01:05:01.040]   We're all going to blog world in a couple of weeks.
[01:05:01.040 --> 01:05:02.760]   I'm very, very excited about that.
[01:05:02.760 --> 01:05:03.760]   Scott, it's fun.
[01:05:03.760 --> 01:05:04.760]   Can't wait.
[01:05:04.760 --> 01:05:08.320]   If you haven't made your reservations for Vegas November 8th and 9th, come out and see
[01:05:08.320 --> 01:05:09.480]   us at blog world.
[01:05:09.480 --> 01:05:13.720]   And the keynote is my good buddy Mark Cubane.
[01:05:13.720 --> 01:05:15.160]   Oh, that'll be interesting.
[01:05:15.160 --> 01:05:16.560]   He's doing the ending keynote.
[01:05:16.560 --> 01:05:18.840]   He started audio net when I started net radio.
[01:05:18.840 --> 01:05:19.840]   That's right.
[01:05:19.840 --> 01:05:20.840]   Yeah.
[01:05:20.840 --> 01:05:21.840]   We shared bandwidth.
[01:05:21.840 --> 01:05:22.840]   Should be fun.
