
[00:00:00.000 --> 00:00:06.000]   Hey, it's time for Mac Break weekly and well one week into the new iPad Air era
[01:10:47.400 --> 01:10:51.880]   It's like as far as I know it's open step old roger rosner used to be part of lighthouse
[01:10:51.880 --> 01:10:54.920]   I think it was back in the next step days and he's been making the software forever
[01:10:54.920 --> 01:10:57.240]   And the cold bay the code base was really old
[01:10:57.240 --> 01:11:04.920]   So instead of rewriting it they took the ios engine and they moved that over to the mac and it's sort of like a final cup pro 10
[01:11:04.920 --> 01:11:08.840]   Or iMovie. I think it was oh seven where they've stripped everything down
[01:11:08.840 --> 01:11:12.360]   They started rebuilding it, but they have not had time to add everything back
[01:11:12.360 --> 01:11:17.080]   I don't know if they'll ever add apple script back. It'll depend on what their business, you know purposes like
[01:11:17.240 --> 01:11:21.480]   Sausage going about spinning in his beret. I mean, that's just not nice
[01:11:21.480 --> 01:11:24.120]   Well, he did he did have some wins with mavericks
[01:11:24.120 --> 01:11:28.920]   So this is his mac OS automation page lists new features that mavericks included
[01:11:28.920 --> 01:11:34.440]   But yeah, every single every single loss is keenly felt and and and and avidly
[01:11:34.440 --> 01:11:36.200]   Punished
[01:11:36.200 --> 01:11:41.160]   There's there are people who are like, can I can I switch offices with you for at least five weeks as I don't want to
[01:11:41.160 --> 01:11:44.440]   I don't want to talk to south the next five weeks as I remove apple script from my product
[01:11:44.760 --> 01:11:49.400]   Uh, yeah, as peter con pointed out, microsoft word has better apple scrazzer a bigger apple script dictionary
[01:11:49.400 --> 01:11:54.040]   Yeah, then uh, I work now. There's two items in the dictionary. I mean it's nothing
[01:11:54.040 --> 01:11:59.320]   It's a huge compromise you get interoperability you get binary compatibility between ios and os 10
[01:11:59.320 --> 01:12:02.040]   And you get the features that being mirrored on the web
[01:12:02.040 --> 01:12:07.000]   So in terms of integration as a huge win in terms of specific features that might cause you so much pain
[01:12:07.000 --> 01:12:11.960]   You can no longer use them including the loss of automation then, you know, it's going to be a huge problem for you
[01:12:12.440 --> 01:12:18.280]   Yeah, that was that was kind of one of the larger gambles from last week's announcements that apple is doubling down on
[01:12:18.280 --> 01:12:24.280]   On integration across apple products. There is no office suite that works so well across so many platforms
[01:12:24.280 --> 01:12:28.440]   I know I I work on everything is pretty much the same experience everywhere
[01:12:28.440 --> 01:12:33.640]   Which is going to be a good thing for independent and you know soul people who are doing things on their own
[01:12:33.640 --> 01:12:35.640]   however, they have
[01:12:35.640 --> 01:12:41.880]   Almost completely said that this product is in no way going to do the same work that microsoft office can do
[01:12:42.440 --> 01:12:44.920]   uh, because now where s pages
[01:12:44.920 --> 01:12:48.920]   Could be used for pages and numbers. I think they could be used for business
[01:12:48.920 --> 01:12:53.960]   But different kinds of business purposes and the interoperability between that app and office was very very good
[01:12:53.960 --> 01:12:57.400]   But chiefly they're talking they're talking about the same goal but with different intent
[01:12:57.400 --> 01:13:01.640]   Now they really are saying that we are going to be completely upfront about this
[01:13:01.640 --> 01:13:03.640]   This is not intended for professional use
[01:13:03.640 --> 01:13:05.720]   I'm sure that some of you will be able to use it that way
[01:13:05.720 --> 01:13:09.000]   But this is not in any way designed to be a competitor to microsoft office
[01:13:09.400 --> 01:13:12.200]   That's an interesting move. I don't think it's necessarily the wrong move
[01:13:12.200 --> 01:13:20.360]   But it does mean that if apple intends to make any hay out of the idea, you know, our competitors actually charged 200 dollars for these features
[01:13:20.360 --> 01:13:24.040]   I think that everybody should say yeah, no, they're charging
[01:13:24.040 --> 01:13:28.120]   They're giving those things away in the form of wordpad a product that's so simple
[01:13:28.120 --> 01:13:29.880]   They don't even bother advertising anymore
[01:13:29.880 --> 01:13:36.120]   They're charging 200 dollars for the standard set of apps that if they're everybody's looking for in a professional resume these days
[01:13:36.120 --> 01:13:39.160]   So don't please don't say that habit tables 200 dollars for pivot tables
[01:13:39.400 --> 01:13:43.400]   But it's how you know, it sounds a good friend and I talked to him all the time and as he's pointed out
[01:13:43.400 --> 01:13:47.400]   The one of the things that really propelled apple forward in
[01:13:47.400 --> 01:13:52.360]   Professional environments was the ability to automate workflows with apple script and automator
[01:13:52.360 --> 01:13:55.320]   Uh, and you see a lot of pre-press
[01:13:55.320 --> 01:14:01.080]   Uh, you know giant of course admittedly they're not using pages for pre-press, but this is a really
[01:14:01.080 --> 01:14:03.880]   They can't they can't
[01:14:03.880 --> 01:14:06.200]   Unless exports all you need you can't
[01:14:07.720 --> 01:14:10.120]   but uh, it's like pro-tendly
[01:14:10.120 --> 01:14:13.320]   I mean everyone was incensed when that came out and slowly bit by bit
[01:14:13.320 --> 01:14:17.240]   They've been returning functionality to it now if people are willing to give them a second chance
[01:14:17.240 --> 01:14:21.560]   It's not that bad and it is true. They desperately needed to start this project over so
[01:14:21.560 --> 01:14:26.120]   But but this is but this is a different thing apple script has always been the
[01:14:26.120 --> 01:14:28.760]   the the the mutant
[01:14:28.760 --> 01:14:35.880]   mutant identical twin to the goods fresh phrase scrub faced kid that they keep downstairs apple script has been like the one they
[01:14:35.880 --> 01:14:39.880]   Keep chained up in the attic. They're not willing they're willing to still feed it and keep it alive
[01:14:39.880 --> 01:14:44.840]   But they don't want they don't really care about nurturing it and developing it which is a shame because
[01:14:44.840 --> 01:14:48.840]   It's much more important than it would seem. I mean, it's it's yeah, exactly
[01:14:48.840 --> 01:14:52.200]   This is this is this is like having a back. This is like having emergency
[01:14:52.200 --> 01:14:55.800]   Generators somewhere in your house. This is like having emergency water in your house
[01:14:55.800 --> 01:14:59.800]   This is not something you use all the time, but when you have it it really proves it's worth
[01:14:59.800 --> 01:15:01.720]   And it's also
[01:15:01.720 --> 01:15:06.600]   There you're sort of running out of ways to really impress people with what a mac can do these days
[01:15:06.600 --> 01:15:11.000]   And really the I always take that first thing out of my pocket here. Let me show you automator
[01:15:11.000 --> 01:15:15.400]   Let me show you how between if you're if you're kind of on the fence between windows and a mac
[01:15:15.400 --> 01:15:18.760]   Let me show you how easy it is to add a feature to the mac right now
[01:15:18.760 --> 01:15:23.640]   And that's only possible through scripting a lot of people are not going to be using scripting
[01:15:23.640 --> 01:15:30.040]   But the automator is easy enough to use that they are going to probably touch it at some point when they run against the wall somewhere
[01:15:30.280 --> 01:15:34.760]   So my only my my large fear going forward with the mac is that
[01:15:34.760 --> 01:15:39.240]   Apple really doesn't care about providing an answer to that question
[01:15:39.240 --> 01:15:42.280]   What happens three months from now when they are no longer
[01:15:42.280 --> 01:15:48.280]   Easy to use users and they hit a wall. How are you helping those users to get through that wall?
[01:15:48.280 --> 01:15:51.400]   They are I think at this point trying to say
[01:15:51.400 --> 01:15:56.280]   That wall is there for a purpose enjoy living inside this compound and try not to
[01:15:56.760 --> 01:16:00.200]   Try not to focus on the fact that there is light and daylight on the other side of that that
[01:16:00.200 --> 01:16:05.080]   Sal said go ahead and can she shoot you how to hot air balloon in right and we should point out
[01:16:05.080 --> 01:16:07.800]   Uh, these are free apps now
[01:16:07.800 --> 01:16:13.720]   Yeah, they're hardware subsidized apps now. Yeah, well and that by the way, that's one of the reasons apples
[01:16:13.720 --> 01:16:17.960]   Profit was down is because they had they took 900 million in deferred income
[01:16:17.960 --> 01:16:22.280]   Uh, now this is a complicated finance thing, which i'm gonna screw up
[01:16:23.000 --> 01:16:30.040]   Uh, because i don't understand how finance works, but essentially that this is giving away the os for free and giving away those apps for free
[01:16:30.040 --> 01:16:36.120]   Uh is lost income which they're going to instead of booking in one year, which would be 900 million dollars
[01:16:36.120 --> 01:16:41.160]   They're going to defer it over a number of years two years for ios and four years for mac and tosh
[01:16:41.160 --> 01:16:43.000]   and
[01:16:43.000 --> 01:16:45.720]   Their cfo says they're apple's going to work hard
[01:16:45.720 --> 01:16:49.320]   To improve profit margins in the hardware
[01:16:49.320 --> 01:16:52.440]   To make up for the loss in software in other words
[01:16:53.000 --> 01:16:57.720]   Uh, while you might say well apple makes so much money on hardware no big deal to give away these software
[01:16:57.720 --> 01:17:00.920]   It's not the case the fact that hit their uh, it hit their uh earnings
[01:17:00.920 --> 01:17:07.640]   Significantly and he said they're gonna do it in perpetuity too. It's not just a one-time by the way. Yeah, you know, I almost buried the lead
[01:17:07.640 --> 01:17:11.240]   That's actually big op and himer said we are gonna give away os 10 forever
[01:17:11.240 --> 01:17:15.160]   Yeah, that's the that we will never again charge for the operating system
[01:17:15.160 --> 01:17:18.680]   That's great. Yeah, that's a big story. I I
[01:17:19.560 --> 01:17:22.040]   We buried the lead that's impressive
[01:17:22.040 --> 01:17:25.000]   We stated as a prize for later in the surprise
[01:17:25.000 --> 01:17:32.360]   Guess what you'll never pay for operating but what cook said is we really think that the software is an important part of the mac and tosh
[01:17:32.360 --> 01:17:35.960]   And uh and ios experience and that's why we we want to give it away
[01:17:35.960 --> 01:17:40.680]   That's what we've always done. You want to make great software. You got to make the hardware too. It goes together
[01:17:40.680 --> 01:17:44.120]   I think it's more strategic than that. It really is about
[01:17:44.520 --> 01:17:50.760]   Convincing developers to get on board with this entirely new future for apple and the way to do that is to point them at here's how many
[01:17:50.760 --> 01:17:53.800]   People are running are running the latest version of the operating system
[01:17:53.800 --> 01:17:58.360]   We will always make it the most the simplest thing the most pain-free way to
[01:17:58.360 --> 01:18:00.360]   For people to upgrade
[01:18:00.360 --> 01:18:03.800]   And so therefore if the uses are are going to be eager to use 10.9
[01:18:03.800 --> 01:18:08.120]   Why shouldn't your app also be taking advantage of 10.9? So that's that's the real the real point of it
[01:18:08.120 --> 01:18:13.720]   So, um, I I said I was gonna let you guys pick some stories did
[01:18:14.680 --> 01:18:20.760]   Have I anything that there's a couple more I would we should mention probably the fact that disney and pix are yanked
[01:18:20.760 --> 01:18:22.600]   Uh
[01:18:22.600 --> 01:18:30.360]   Movies from the i2 store as well as the amazon prime store and if you had them in your libraries paid for they yanked those
[01:18:30.360 --> 01:18:33.800]   Tude some say that was a mistake a bug
[01:18:33.800 --> 01:18:37.560]   I'm kind of of the opinion. They just were curious what the reaction would be
[01:18:37.560 --> 01:18:41.560]   Twitter anybody knows it was a trial balloon is what i want
[01:18:42.120 --> 01:18:50.280]   Back, yeah, but that's probably all you know, we've been asking for the fusion of like the cable companies and the and these service providers
[01:18:50.280 --> 01:18:58.760]   All along. Unfortunately, they said they what they really adopted from that business model is let's try to remove services and keep the price the same and see who notices
[01:18:58.760 --> 01:19:03.320]   Uh, we'll see it's not back yet, right?
[01:19:03.320 --> 01:19:08.040]   If you bought the lion king on the i2 store and you didn't download it you just trusted it to be
[01:19:08.760 --> 01:19:13.800]   Downloadable in the future. It is gone for now from your library. I never download anything. I have everything
[01:19:13.800 --> 01:19:17.400]   I don't either stream up my apple tv and that's maybe we need to learn a lesson here
[01:19:17.400 --> 01:19:22.760]   You know, you don't I mean this is all completely within the terms of service
[01:19:22.760 --> 01:19:27.400]   Uh, they say very clearly you don't own this, you know, we could revoke it at any time
[01:19:27.400 --> 01:19:34.040]   Um, and you know, it's just not very nice. It's not a nice thing to do especially if you have kids who liked watching the lion king over and over and over again
[01:19:34.040 --> 01:19:36.520]   daddy, where's my lion king
[01:19:37.640 --> 01:19:39.640]   Well
[01:19:39.640 --> 01:19:43.320]   Mr. Pixar decided mr. Disney decided to remove it
[01:19:43.320 --> 01:19:50.120]   You know that you know that scene in which in which kimba is being like held over that cliff. I imagine disney throwing kimba
[01:19:50.120 --> 01:19:54.120]   I got two words a kuna matata
[01:19:54.120 --> 01:19:56.760]   It's the circle of commercial life
[01:19:56.760 --> 01:20:00.120]   They take your money
[01:20:00.120 --> 01:20:04.440]   And don't feel obligated to deliver a service
[01:20:05.240 --> 01:20:07.960]   The circle of stockholder appeasement
[01:20:07.960 --> 01:20:12.040]   But I but I you know, I'm not just like you're nah, I don't want to store this stuff
[01:20:12.040 --> 01:20:17.880]   I got enough clutter. I like not having physical media. I don't want to waste our drive space because I can always
[01:20:17.880 --> 01:20:20.920]   Watch the movie anytime. Yeah
[01:20:20.920 --> 01:20:25.320]   And it's when you break faith with audience like that. It's really hard to get that's the
[01:20:25.320 --> 01:20:27.960]   Now I think that's the problem. It hurts. It hurts this model
[01:20:27.960 --> 01:20:34.120]   This is why anytime. There's a movie that I want to keep I will buy it on physical media and then rip it and I will
[01:20:34.440 --> 01:20:38.760]   I will see the fbi warning. I will say thank you fbi warning, but
[01:20:38.760 --> 01:20:44.280]   For for I'm sorry for research purposes only and then after validating that the service actually works
[01:20:44.280 --> 01:20:51.720]   Of course I zero out that section of the hard drive. See that's that's the unintended consequence of this kind of behavior is then that person feels
[01:20:51.720 --> 01:20:58.440]   Legitimate going to a bit torrent site and downloading a very nice. I read now. They're saying look I paid for this
[01:20:59.560 --> 01:21:06.680]   I own it. Why should I not get my copy of something that I've actually paid for and you really don't want to teach people how to do that if you're trying to fight that
[01:21:06.680 --> 01:21:10.200]   Yeah, because once they experience it they go. Hey, this this works pretty well
[01:21:10.200 --> 01:21:14.760]   Yeah, I mean I I'm amazed by how they operate in business
[01:21:14.760 --> 01:21:19.160]   I'm amazed every time I put in a blu ray and I have to go through an fbi warning
[01:21:19.160 --> 01:21:25.320]   I have to go through three different commercials for sometimes for things that have nothing to do with movies even and I can't skip over it
[01:21:25.320 --> 01:21:28.280]   And they're trying to tell me that this is a better thing in 10 years
[01:21:29.000 --> 01:21:31.000]   Yeah, I'm saying like
[01:21:31.000 --> 01:21:33.800]   You've already disappointed me with that movie
[01:21:33.800 --> 01:21:37.800]   I'm sorry your copy of avengers won't play because your security chips are out of date
[01:21:37.800 --> 01:21:42.280]   Please plug in put in an incredibly long password via a playstation for a controller
[01:21:42.280 --> 01:21:49.080]   I hate that so much, you know, I I'm moving and so that means I have to reset up everything and god
[01:21:49.080 --> 01:21:51.160]   I hate that process of
[01:21:51.160 --> 01:21:58.040]   Loops didn't work wrong password. Oh, yeah, you know, you really don't have to obscure it with thoughts
[01:21:58.680 --> 01:22:02.200]   When i'm trying to type it in with a playstation controller really please don't
[01:22:02.200 --> 01:22:07.720]   And thank you for putting the hyphen on the second alternate keyboard damn you
[01:22:07.720 --> 01:22:10.680]   Painful just damn you to hell
[01:22:10.680 --> 01:22:17.240]   Don't you realize the fact that I use hyphens instead of spaces is why hackers cannot figure out my password
[01:22:17.240 --> 01:22:20.520]   I'm using an M's and M hyphen
[01:22:20.520 --> 01:22:24.920]   You'll never figure that out. It's Unicode 242
[01:22:24.920 --> 01:22:27.640]   I'm using the internet hyphen the internet thumbs up
[01:22:27.640 --> 01:22:31.480]   Yeah, it's my password. Okay, and in our comedy bit of the week
[01:22:31.480 --> 01:22:35.560]   Former apple ceo john skelly moles bid to buy blackberry
[01:22:35.560 --> 01:22:38.520]   Everybody else is right he's a business genius
[01:22:38.520 --> 01:22:42.440]   Um
[01:22:42.440 --> 01:22:44.440]   All right, anything services company tonight
[01:22:44.440 --> 01:22:47.080]   Vbm
[01:22:47.080 --> 01:22:49.080]   Wow, did I
[01:22:49.080 --> 01:22:52.040]   You're not you're are you using it you're Canadian you gotta use it
[01:22:52.200 --> 01:22:58.760]   Using it because half my friends work for crackberry and they're all bbm addicts so I I get bbm's from them was I like it or not
[01:22:58.760 --> 01:23:02.120]   God welcome welcome back to the 90s
[01:23:02.120 --> 01:23:06.760]   We had an actual fun today because I message supports animated gifts
[01:23:06.760 --> 01:23:11.560]   Which I was not aware of and I got an animated gift and I tried to use it in bbm and it couldn't get it to work
[01:23:11.560 --> 01:23:15.480]   No, of course not. They didn't have animated gifts in 1982
[01:23:15.480 --> 01:23:18.440]   That's my next feature
[01:23:20.360 --> 01:23:24.600]   Uh, did I miss anything anything you want guys want to talk about before we get to our picks of the week
[01:23:24.600 --> 01:23:27.960]   No, I want to talk about apple script, but we covered that
[01:23:27.960 --> 01:23:31.240]   Yeah, that that
[01:23:31.240 --> 01:23:37.000]   Oh the chat romass leo about mavericks and gmail because that's been a big issue lately
[01:23:37.000 --> 01:23:40.520]   Yeah tidbits tidbits article really I think in fact I didn't
[01:23:40.520 --> 01:23:44.680]   I think adam angst it was like the most red tidbits article of all time
[01:23:45.000 --> 01:23:52.200]   Well, dessert. I mean google has always had an eccentric i-map implementation and it's never been comfortable for me on mail
[01:23:52.200 --> 01:23:56.360]   But mail is less tolerant of it than ever before so they don't play nicely
[01:23:56.360 --> 01:24:01.000]   I think part of it though is that joe kissle had already done this wild work around
[01:24:01.000 --> 01:24:05.320]   And then at that broke because I have not had any trouble but um
[01:24:05.320 --> 01:24:10.120]   I don't either but I have like 40 gigs of gmail on my local machine now and he was trying to avoid that problem
[01:24:10.280 --> 01:24:14.840]   That's it's because it downloads all mail. Yeah, if you don't somehow prevent it from it
[01:24:14.840 --> 01:24:18.360]   And uh, I don't mind having all mail on there. Um, I might
[01:24:18.360 --> 01:24:22.120]   I do mind when it re downloads it. That's kind of annoying
[01:24:22.120 --> 01:24:26.440]   Especially because google puts up a bandwidth exceeded warning and stops you from downloading it for a day
[01:24:26.440 --> 01:24:29.640]   Right, even though they're google and I don't think they have any bandwidth limits quite true
[01:24:29.640 --> 01:24:32.360]   Yeah, it's kind of ironic, isn't it?
[01:24:32.360 --> 01:24:36.120]   No, they're saying i'm sorry. We can't attach ads to these as fast as you can download them
[01:24:36.760 --> 01:24:41.800]   Do you want to summarize this story because I I don't know how many people are bit by this
[01:24:41.800 --> 01:24:46.440]   I mean if you have just installed gmail, you've never done any hacks to it
[01:24:46.440 --> 01:24:48.360]   And you're using it in mail dot app you're fine
[01:24:48.360 --> 01:24:52.040]   If you've done a bunch of remaps if you've tried to eliminate the all mail folder
[01:24:52.040 --> 01:24:55.160]   Uh, then that no longer works and you're not going to have a lot of fun
[01:24:55.160 --> 01:24:59.160]   And it is going to try to download stuff and it is going to respond deleted messages
[01:24:59.160 --> 01:25:01.480]   So you probably want to clean install
[01:25:01.480 --> 01:25:05.560]   Uh gmail or you want to learn look at a mail alternative like sparrow or airmail
[01:25:06.040 --> 01:25:09.960]   Or mary was dead. I actually went and tried to get sparrow but because google bought him
[01:25:09.960 --> 01:25:13.160]   It hasn't been updated in a long time. I don't know if sparrow's the right choice at this point
[01:25:13.160 --> 01:25:16.200]   Some people still like it. Apparently it still works. It's very june
[01:25:16.200 --> 01:25:21.400]   It's basically just really love google to offer google sync like if you're a paid google accounts user
[01:25:21.400 --> 01:25:26.920]   Let me have exchange on the desktop the way you do in mobile and I will never darken your doorstep again. Yeah
[01:25:26.920 --> 01:25:30.760]   Okay, so that's i'm glad
[01:25:30.760 --> 01:25:34.920]   I'm glad the chatroom reminded me of that one because that is a big that is a big story for some people
[01:25:35.560 --> 01:25:37.560]   Annie and echo your pick of the week
[01:25:37.560 --> 01:25:44.760]   Uh my pick of the week is uh, ulysses 1.1. Oh, I love you. This is have we mentioned that before?
[01:25:44.760 --> 01:25:51.320]   Uh, I think I I not sure if I picked me ulysses or uh or data lists, which is their companion ios app
[01:25:51.320 --> 01:25:56.760]   Whether no matter what I did uh, they just updated it and it's a serious update that it's not a point one
[01:25:56.760 --> 01:25:59.080]   It really is more like a point five update
[01:25:59.080 --> 01:26:04.920]   Uh, and they added a bunch of this is a responding to the users of the users who love our product
[01:26:05.000 --> 01:26:07.160]   Sort of update with a lot of requested features
[01:26:07.160 --> 01:26:12.200]   What I like and I didn't if this has been in the previous release. I did not see it
[01:26:12.200 --> 01:26:14.680]   And it's in the release notes. So I'm going to trust that this is a new feature
[01:26:14.680 --> 01:26:19.160]   Um, I like the way that they're using style sheets now or rather interpreting
[01:26:19.160 --> 01:26:23.240]   They've they've been they've enhanced the idea of what a tech space editor is for
[01:26:23.240 --> 01:26:28.680]   What ulysses is so great at is that I think it's the perfect bridge between an app like bb edit
[01:26:28.680 --> 01:26:30.920]   Which is still the app you want if you're writing code?
[01:26:31.320 --> 01:26:39.240]   Uh and scrivener, which is still the app you want if you've got a complicated writing project that involves lots of research lots of notes lots of construction
[01:26:39.240 --> 01:26:41.560]   lots of lots lots of uh architecture behind it
[01:26:41.560 --> 01:26:46.360]   Uh, ulysses is the perfect bridge because like scrivener
[01:26:46.360 --> 01:26:52.360]   It puts all of your text files in one place and allows you to organize them and impose some sort of order of it
[01:26:52.360 --> 01:26:56.600]   Like bb edit though. It is a text based word processor where
[01:26:57.080 --> 01:27:01.880]   All of the formatting and all the markup you're doing is being done by actually embedding codes in there
[01:27:01.880 --> 01:27:08.200]   So the overall idea is that you're just going to write you're not going to worry about where this is going to wind up
[01:27:08.200 --> 01:27:11.320]   You're just going to mark it up to so that uh, so that you
[01:27:11.320 --> 01:27:17.480]   You've uh encouraged your intent for this word should be boldface. This should be a headline. This should be formatted as a sidebar
[01:27:17.480 --> 01:27:19.800]   And then only
[01:27:19.800 --> 01:27:21.800]   I'm sorry reading their web page
[01:27:24.440 --> 01:27:29.800]   They've got a sense of humor. The soul men do they are soul men. Yes, donna, donna, donna, donna
[01:27:29.800 --> 01:27:34.680]   Uh, the but the but the idea is that only at the when you are ready to deploy it
[01:27:34.680 --> 01:27:41.080]   Will it actually convert all the markup into whatever it is your target wants so that if you want if you're if your target is a word
[01:27:41.080 --> 01:27:45.560]   File at that point all of your markup turns into actual, you know, microsoft word style boldface
[01:27:45.560 --> 01:27:51.400]   If you were putting this on the web only then does does your markup turn into html or style sheets
[01:27:51.720 --> 01:27:57.240]   Uh, what I like about 1.1. I'm this is why i'm using i've really started using it on an upcoming project that i'm working on
[01:27:57.240 --> 01:28:02.040]   Uh, that it allows if you if i'm doing something that was going to be published on the web
[01:28:02.040 --> 01:28:04.520]   It requires a lot of like clever little markup stuff
[01:28:04.520 --> 01:28:10.680]   And the the most soul-sapping part of this every time is formatting this big header block that has to be all kinds of
[01:28:10.680 --> 01:28:12.520]   complicated css
[01:28:12.520 --> 01:28:14.920]   Uh, and actually get tailing back to apple script
[01:28:14.920 --> 01:28:19.480]   I've used to use use bb edit for this and simply run a script that will take like
[01:28:20.440 --> 01:28:28.600]   Settings 1 2 3 4 and put all this complicated css and html on it with ulysses what you can do is simply define here is what
[01:28:28.600 --> 01:28:30.840]   Here give a give a fine grained
[01:28:30.840 --> 01:28:36.360]   Definition of here is what I mean when I mean this markup tag here's what this markup tag should be
[01:28:36.360 --> 01:28:41.320]   And here's how you should reformat this when I try to deploy this over here as opposed to over here
[01:28:41.320 --> 01:28:45.160]   And so you can simply focus on just simply arbitrarily tagging things
[01:28:45.560 --> 01:28:50.280]   Uh, making a document that's easily read by i and only when you're done with it
[01:28:50.280 --> 01:28:56.600]   And when you sort of burn a copy to disc so to speak does it turn into this really really well formatted well commented css
[01:28:56.600 --> 01:29:00.040]   An html file. So, uh, it's nice for that again
[01:29:00.040 --> 01:29:04.440]   There are people who are real acolytes of plaintext editing
[01:29:04.440 --> 01:29:06.520]   I'm not in that cat in that camp yet
[01:29:06.520 --> 01:29:11.400]   Because I do like being able to see something bold in front of me as i'm typing boldface
[01:29:11.400 --> 01:29:13.880]   You know the radical ideas like that
[01:29:13.880 --> 01:29:17.400]   But again, I think it's it fills a necessary gap between
[01:29:17.400 --> 01:29:23.720]   Of a formal word processor like scrivener and a text only editor like bb edit
[01:29:23.720 --> 01:29:27.640]   If you are in at all in any way interested in plaintext editing
[01:29:27.640 --> 01:29:33.400]   I think it's the way to go not only for all the features that i've talked about but also because it does have that really nice companion app
[01:29:33.400 --> 01:29:35.880]   for ios so
[01:29:35.880 --> 01:29:37.960]   Until these really great
[01:29:37.960 --> 01:29:42.840]   Until until scrivener for ios gets released which I hopefully released in 2014
[01:29:43.320 --> 01:29:47.080]   I'm finding it to be the easiest way to have a complicated multi document
[01:29:47.080 --> 01:29:52.440]   Production synced easily between an ipad and and the mac
[01:29:52.440 --> 01:29:58.280]   I bought it at least these two and i'm wondering I didn't upgrade it should i cuz it's a 45 dollar upgrade
[01:29:58.280 --> 01:29:59.800]   Yeah, i'm about to say it's it's not cheap
[01:29:59.800 --> 01:30:06.040]   It's 45 bucks, but this is the going rate for a professionally written app that will help you save time and effort and and energy
[01:30:06.040 --> 01:30:08.680]   I think I think it's worth that amount of money
[01:30:08.680 --> 01:30:12.520]   You should you should evaluate that it's the right app for what you want to do again
[01:30:12.520 --> 01:30:19.880]   If you are if you are very very happy with pages and it would sort of bum you out to have suddenly have to type underscores to italicize things
[01:30:19.880 --> 01:30:24.840]   Uh, and you are not finding a real big problem with your workflow as it is
[01:30:24.840 --> 01:30:31.160]   I don't think your lis is going to help you but if you're editing it all at any time is i'm writing this
[01:30:31.160 --> 01:30:35.080]   It's kind of wind up in an e-book or i'm writing this and this is going to wind up in the web
[01:30:35.400 --> 01:30:40.840]   Uh, and i'm really tired. I have to go out and go out and get myself a drink before I come back to the house
[01:30:40.840 --> 01:30:43.640]   And prepare this as an epub as the final step
[01:30:43.640 --> 01:30:47.560]   Uh an editor like you lis is can save you a lot of time and a lot of energy
[01:30:47.560 --> 01:30:51.960]   Of because of the way it's natured if you like mark up you'll love you lis is
[01:30:51.960 --> 01:30:57.000]   That is Andy's pick. How about you rene ritchie? What do you got for us?
[01:30:57.000 --> 01:31:02.040]   I have two and I added one after we were discussing hypercard. Um, there's apps like hype
[01:31:02.040 --> 01:31:06.440]   Which let you do a lot of really cool almost flash-like animation using css
[01:31:06.440 --> 01:31:11.480]   But if you've got web development experience, you might still want to roll your own so there's this book out called
[01:31:11.480 --> 01:31:17.960]   It's fairly new called css transforms and interactive guide and it's by vicky murley who until last year
[01:31:17.960 --> 01:31:23.720]   I think was apples safari technology evangelist so she really really knows her stuff
[01:31:23.720 --> 01:31:29.000]   And if you look at apples product pages, you can see they're doing a lot of really interesting things
[01:31:29.480 --> 01:31:33.480]   With css transformations and you just will just web technologies in general
[01:31:33.480 --> 01:31:39.480]   So if you if you understand css already, but you want to start doing all the fancy stuff that the apple kids are doing
[01:31:39.480 --> 01:31:43.400]   Um, I bought this the day it came out. Um, I'm working my way through it
[01:31:43.400 --> 01:31:47.480]   It's easy enough for me to understand and I have very little web dev background
[01:31:47.480 --> 01:31:52.600]   Um, I can't recommend this book enough. Unfortunately, it was written in iBooks author
[01:31:52.600 --> 01:31:58.040]   So it's only ipad compatible and and now mac compatible thanks to mavericks. It doesn't work on the iphone
[01:31:58.360 --> 01:32:02.840]   But if you're doing web dev, you probably want a big screen, you know to have next to you as a reference anyway
[01:32:02.840 --> 01:32:07.960]   So I would absolutely check that out at css transforms and interactive guide by vicky murley
[01:32:07.960 --> 01:32:12.360]   All right, but your inner hypercard out with new based web technology
[01:32:12.360 --> 01:32:19.080]   In a geek out and my other pick is no great surprise to anybody who exists on the internet. It is twitterific
[01:32:19.080 --> 01:32:22.280]   Love tree which just came out
[01:32:22.280 --> 01:32:24.760]   Uh, I remember I was at the ws
[01:32:25.400 --> 01:32:29.080]   Tweetbot you're talking about tweetbot. Sorry tweetbot. I apologize tweet
[01:32:29.080 --> 01:32:36.200]   Is also fantastic when you said version three that wait a minute. That's tweetbot and chat agree. Yeah. Yeah, it's absolutely fantastic
[01:32:36.200 --> 01:32:41.560]   I was at the wwc keynote and I saw paul haddad the developer right afterwards and he had this look on his face
[01:32:41.560 --> 01:32:45.400]   Like apple had just given him a brand new bag of toys to play with
[01:32:45.400 --> 01:32:50.520]   And I believe he's not just using ui dynamics, but he's rolled a lot of his own physics
[01:32:50.520 --> 01:32:54.040]   But it's got delightful little touches like when you want to change one of those
[01:32:55.240 --> 01:32:59.160]   Things you hold it down and a little bubbles just pop up or when you want to go to your account
[01:32:59.160 --> 01:33:02.360]   The little everything is is very nicely animated
[01:33:02.360 --> 01:33:09.560]   Everyone was kind of wondering what tweetbot would do because they had so much character as a richly textured application
[01:33:09.560 --> 01:33:10.600]   Uh, you know
[01:33:10.600 --> 01:33:17.720]   It was almost a poster child for what the ios 6 look could do if you made it incredibly characterized and turned into a personality
[01:33:17.720 --> 01:33:20.360]   And it wasn't clear what ios 7 would mean for them
