;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[01:52:30.480 --> 01:52:35.040]   It's up to it's again and that's and whether they never don't care. I don't care about the numbers
[01:52:35.040 --> 01:52:36.640]   I don't care about
[01:52:36.640 --> 01:52:41.360]   The perception of how well the app store is doing for the developer community is at large
[01:52:41.360 --> 01:52:45.200]   I don't care about the fat the idea that some developers are just whining
[01:52:45.840 --> 01:52:51.280]   I think that this is a legitimate question and that if someone were to bring it up to the house
[01:52:51.280 --> 01:52:56.880]   Judiciary committee is not not ridiculous to consider that they would want to take a look at this
[01:52:56.880 --> 01:52:58.880]   I should also point out the supreme court
[01:52:58.880 --> 01:53:04.240]   Was asked about this last year remember and apple lost apple wanted to thrown out
[01:53:04.240 --> 01:53:06.080]   um
[01:53:06.080 --> 01:53:11.120]   That the app store 30 commission was an unlawful that was fair use of apples man
[01:53:11.120 --> 01:53:15.040]   Monopoly that was a technical but that was a technical thing over standing
[01:53:15.360 --> 01:53:18.320]   Whether the person had standing take the court they didn't they didn't say anything about
[01:53:18.320 --> 01:53:20.000]   Anything about it. It sent was constant
[01:53:20.000 --> 01:53:21.920]   Just whether they had standing to bring it to court
[01:53:21.920 --> 01:53:25.200]   And so that's a that's a very that's a much different technical that's right
[01:53:25.200 --> 01:53:28.560]   Technical piece there and and the thing is is that yes, it's it's it's it's
[01:53:28.560 --> 01:53:30.560]   It is there the rick
[01:53:30.560 --> 01:53:32.080]   pressing
[01:53:32.080 --> 01:53:36.160]   The the the issue the issue really is is that on top of that it is whether they
[01:53:36.160 --> 01:53:42.240]   Someone can be upset about the way a company's working do they have a constitutional right to to to turn that over
[01:53:42.240 --> 01:53:44.320]   And I don't think that that's gonna stand. I don't think it's gonna
[01:53:44.320 --> 01:53:45.440]   I don't think I
[01:53:45.440 --> 01:53:49.120]   They don't think they have a constitutional right to have stores work the way they want
[01:53:49.120 --> 01:53:53.600]   So you're right they have that you know, and then that's the issue and I think that apple has a constitutional right to build something
[01:53:53.600 --> 01:54:00.080]   There is a loss to end users whether they know it or not because this is if you go to hay.com and read how this program works
[01:54:00.080 --> 01:54:04.160]   I very much would love to have this as my email program
[01:54:04.160 --> 01:54:06.880]   And I will never be able to apparently on ios
[01:54:06.880 --> 01:54:13.280]   And that's a mistake I think for apple to make there is the point also that there are other email programs
[01:54:14.240 --> 01:54:18.320]   That are paid systems through other means that apple allows on the platform
[01:54:18.320 --> 01:54:25.440]   So I'm not but inconsistently applying the rules is different from doing the wrong thing. I think they're just doing the wrong thing
[01:54:25.440 --> 01:54:30.160]   But again, they have the right to do the wrong thing. I'm not denying that
[01:54:30.160 --> 01:54:33.280]   It's true. They do have the right. Yeah
[01:54:33.280 --> 01:54:37.840]   Well, and and maybe I don't know
[01:54:37.840 --> 01:54:41.760]   Maybe the EU will will weigh in on this
[01:54:42.400 --> 01:54:45.120]   That too too as of today too new
[01:54:45.120 --> 01:54:50.240]   EU investigations into apples business practices
[01:54:50.240 --> 01:54:54.640]   The cut in the apple store is one of them
[01:54:54.640 --> 01:55:00.880]   The other one is over closing nfc keeping nfc only
[01:55:00.880 --> 01:55:03.520]   to apple
[01:55:03.520 --> 01:55:08.240]   margaret de vistagure who is the head of competitive policy at the european commission says
[01:55:08.720 --> 01:55:13.920]   It appears that apple obtained a gatekeeper role when it comes to distribution of apps and content
[01:55:13.920 --> 01:55:20.080]   To users of apple popular devices. We need to ensure that apples rules do not distort competition in markets
[01:55:20.080 --> 01:55:22.480]   Where apple is competing with other app developers?
[01:55:22.480 --> 01:55:27.360]   For example, it's music streaming service apple music or with apple books or maybe apple male
[01:55:27.360 --> 01:55:31.040]   uh, versus uh, hey she didn't say that I did
[01:55:31.040 --> 01:55:37.600]   Um, I have therefore decided to take a close look at apples app store rules and their compliance with the EU competition rules
[01:55:38.000 --> 01:55:42.480]   So it may not change in the us probably won't but it might in the EU
[01:55:42.480 --> 01:55:47.600]   Um and apples probably paying attention to it. I don't know
[01:55:47.600 --> 01:55:51.680]   On it be it. I mean the question is is it how long how long will it stretch out?
[01:55:51.680 --> 01:55:53.520]   How long will people get the mail?
[01:55:53.520 --> 01:55:57.520]   Well, and by the time by the time you're able to get the mail, uh, it won't exist anymore
[01:55:57.520 --> 01:56:00.800]   Like who's that I mean mail is such an annoying thing in a gym email
[01:56:00.800 --> 01:56:03.520]   So is such an annoying form of communication at this point?
[01:56:03.920 --> 01:56:08.080]   Um, that's I think that that's the other thing is that I'm like if I have to use mail, I use it
[01:56:08.080 --> 01:56:11.520]   But well, that's why you should look at this Alex been not been be a little more open-minded
[01:56:11.520 --> 01:56:16.000]   Because if you look at hey.com, they actually solve a lot of the problems a lot of things you don't like about email
[01:56:16.000 --> 01:56:20.320]   They solve the big thing I try to solve is get people to not communicate with me in emails
[01:56:20.320 --> 01:56:26.080]   Here's the here's the reason I want email to work because it's the only way
[01:56:26.080 --> 01:56:31.280]   Uh people who I don't have a connection with in any other form can reach me and you
[01:56:31.920 --> 01:56:36.880]   and uh unless you figure twitter is your main form of communication and uh,
[01:56:36.880 --> 01:56:42.000]   I think that email that works would be a very desirable thing and I think it's a very interesting step
[01:56:42.000 --> 01:56:44.400]   These guys are smart. I think it's a very interesting stab at the problem
[01:56:44.400 --> 01:56:52.480]   But we will never find out because I'm glad I'm I just the only thing I'm saying I'm glad that day made a lot of money
[01:56:52.480 --> 01:56:57.840]   Yeah, yeah, and I think he gets to keep it regardless of what happens here. I love that
[01:56:57.840 --> 01:57:00.800]   So about the the EU
[01:57:00.800 --> 01:57:01.920]   um
[01:57:01.920 --> 01:57:08.960]   Investigation thing I I I think the the second one that's in that article about um apple and
[01:57:08.960 --> 01:57:18.480]   Payment systems. I think that one really is a stretch and kind of leans into Alex's joke about how the EU is crazy because
[01:57:18.480 --> 01:57:23.200]   So you're so crazy. It's all time. It's apple pay. It's not
[01:57:23.200 --> 01:57:30.080]   A closed system. You can put any one of your credit cards onto apple pay right for so from the perspective of the user
[01:57:30.480 --> 01:57:33.200]   It's not closed off from the perspective of the
[01:57:33.200 --> 01:57:38.080]   POS companies. I guess would be the other perspective
[01:57:38.080 --> 01:57:40.720]   You can use your credit card to
[01:57:40.720 --> 01:57:47.440]   Make a payment at any payment service any POS in any store. You don't have to use your phone to do it
[01:57:47.440 --> 01:57:52.480]   So that one seems really off the mark that seems really barking up the wrong tree
[01:57:52.480 --> 01:57:59.840]   in that so if if apple opened up the NFC chip to other again, I can't imagine what they'd be
[01:58:00.560 --> 01:58:02.560]   talking about but other
[01:58:02.560 --> 01:58:05.920]   payment service systems POS as you know like
[01:58:05.920 --> 01:58:09.120]   coin star whatever like
[01:58:09.120 --> 01:58:13.280]   Like where is that going like are they is the implication that
[01:58:13.280 --> 01:58:21.120]   Like apple or that google wallet should be on iphone. I don't know like I it seems really weird
[01:58:21.120 --> 01:58:23.760]   Yeah, and this is one where I agree with you and Alex
[01:58:23.760 --> 01:58:27.680]   Because like apple put the NFC in
[01:58:28.160 --> 01:58:31.920]   Again, it disadvantages us as users that we can't use it for other things
[01:58:31.920 --> 01:58:37.520]   But apple has a good reason I think maybe any competitive, but it may also be for security purposes
[01:58:37.520 --> 01:58:42.720]   uh to keep the NFC mobile payments to their own service
[01:58:42.720 --> 01:58:46.560]   And you know they take a cut of it so it could be it could be about money
[01:58:46.560 --> 01:58:50.160]   But all all POSs is take a cut so it's not like
[01:58:50.160 --> 01:58:54.880]   You're being anti-competitive because now bank of america has to pay 15
[01:58:55.360 --> 01:58:58.080]   Like any POS has that option
[01:58:58.080 --> 01:59:04.000]   Higher than that here's what vista here says it's important that apples measures do not deny consumers the benefits
[01:59:04.000 --> 01:59:09.760]   Of new payment technologies including better choice quality innovation and competitive prices
[01:59:09.760 --> 01:59:14.640]   Now by the way in both cases investigations going on they haven't yet
[01:59:14.640 --> 01:59:17.520]   um took taking them to court, but
[01:59:17.520 --> 01:59:22.880]   That is always the argument again in my opinion against
[01:59:23.520 --> 01:59:25.760]   Any competitive measures is it reduces innovation?
[01:59:25.760 --> 01:59:32.480]   It it hampers somebody from doing something better or different or new
[01:59:32.480 --> 01:59:36.400]   Yeah, well, I I think I think if we wanted to
[01:59:36.400 --> 01:59:40.640]   Improve innovation we could do a lot more by rewriting the copyright rules
[01:59:40.640 --> 01:59:45.680]   You know in patent. Oh, I agree with you on that. Yes. I mean like if we want to make real change
[01:59:45.680 --> 01:59:49.040]   Like we're talking about minor change with apple. We're talking about minor change
[01:59:49.120 --> 01:59:53.760]   We're talking about real change that would actually benefit folks. We would start talking about
[01:59:53.760 --> 01:59:58.160]   Twilighting copyright and you know after 50 years crazy
[01:59:58.160 --> 02:00:05.200]   You know like and and and say you have to actually use your patent after x number of years or you don't get to keep it or you know
[02:00:05.200 --> 02:00:11.280]   14, you know, there's a whole you know, there's a whole lot of things that could be done that would make things move a lot faster
[02:00:11.280 --> 02:00:13.440]   We're held up in
[02:00:13.440 --> 02:00:18.880]   You know home if we want to talk about holding us up as users into homeostasis. It's copyright and patent laws
[02:00:19.280 --> 02:00:24.800]   I was going to ask you guys to take bets on how long open core would be able to make and sell their hackintosh
[02:00:24.800 --> 02:00:27.440]   Uh
[02:00:27.440 --> 02:00:30.000]   But when you click on the link that leads to their site
[02:00:30.000 --> 02:00:33.680]   Boom
[02:00:33.680 --> 02:00:40.640]   So I guess there's no reason to bet that it seems like apple has come down on they were actually it was pretty cool professionally built
[02:00:40.640 --> 02:00:45.840]   Hackintosh systems running rise and zen two processors
[02:00:47.360 --> 02:00:51.040]   Mac pro power at a slither of the costs says open core
[02:00:51.040 --> 02:00:56.800]   Um, is it me or does that seem like it defeats the purpose of the hackintosh though
[02:00:56.800 --> 02:01:02.080]   Like the point is that you're building it yourself and you the joy of diy and it seems like that's kind of
[02:01:02.080 --> 02:01:11.120]   Defeats that whole purpose. There's no way they're right and there's and the responsibility of learning enough in the process that when there is a minor update to the os that
[02:01:11.120 --> 02:01:15.440]   Either bricks everything or you can't get that you know how to fix it yourself
[02:01:15.840 --> 02:01:18.640]   But I I might be misremembering. Did they was it?
[02:01:18.640 --> 02:01:25.360]   Was it apple that searched them or was the the symbol fact that they named the company and the product after an open source
[02:01:25.360 --> 02:01:33.600]   Oh, I don't know why they're down. Yeah for for uh, because that that's also the name of the open the common open source tool for
[02:01:33.600 --> 02:01:36.800]   Hackintoshing a
[02:01:36.800 --> 02:01:39.520]   Do it yourself diy and told bill
[02:01:39.520 --> 02:01:42.960]   Well, somebody got mad
[02:01:45.040 --> 02:01:49.440]   Uh, maybe they sold them all and decided they had maybe they're out of her loss of raptors more popular than they thought
[02:01:49.440 --> 02:01:51.440]   Yeah, every they're out of them. They're gone
[02:01:51.440 --> 02:01:54.960]   I would have this you can't update it right?
[02:01:54.960 --> 02:01:57.680]   You just have to keep it up. It's
[02:01:57.680 --> 02:02:03.040]   The the the the holy grail that is attainable is to make it compatible with software updates
[02:02:03.040 --> 02:02:09.600]   But the thing is it'll break at any moment. Right. It's not it's not there people who've built really wonderful hackintosh systems
[02:02:09.600 --> 02:02:13.440]   But it's always with the understanding that it will it's working now
[02:02:13.760 --> 02:02:19.840]   It might not work six months from now or even six hours from now and if it does break i'm responsible for trying to figure out
[02:02:19.840 --> 02:02:25.120]   Probably by working with the open source team exactly what has gone wrong and how to fix it
[02:02:25.120 --> 02:02:28.480]   so every june there is a little
[02:02:28.480 --> 02:02:33.280]   event that happens in china the anniversary of tenem and square and
[02:02:33.280 --> 02:02:36.000]   china cracking down
[02:02:36.000 --> 02:02:38.160]   uh in this case
[02:02:38.160 --> 02:02:42.960]   uh two apps removed from my apples china store pocket casts which is
[02:02:43.520 --> 02:02:48.400]   Our favorite podcast and then cast app and castro podcasts
[02:02:48.400 --> 02:02:53.360]   Are gone from the chinese app store at the request of the cyberspace administration
[02:02:53.360 --> 02:02:56.880]   Of china the country's internet watch dog
[02:02:56.880 --> 02:02:59.200]   um
[02:02:59.200 --> 02:03:03.280]   pocket casts as said why why we don't know why
[02:03:03.280 --> 02:03:08.000]   Uh, just because they told us to the probably has to do with chinese language
[02:03:08.000 --> 02:03:13.440]   anti-government podcasts, but yeah, I believe they're asked to remove specific podcasts that are
[02:03:13.440 --> 02:03:16.720]   anti-chinese government and they refuse to and so they're gone, okay
[02:03:16.720 --> 02:03:21.840]   Seems like they could just block the podcast. Good. They in china
[02:03:21.840 --> 02:03:29.440]   Uh, it's why why do that when you simply can exert control over the of the means of actually receiving podcasts
[02:03:29.440 --> 02:03:32.160]   And you just simply you simply have to keep blocking other podcasts
[02:03:32.160 --> 02:03:38.560]   Uh, it is a it is a more orderly solution from the chinese government's perspective to simply say look if you're operating a podcast
[02:03:38.560 --> 02:03:41.840]   catcher in our country you are going to essentially
[02:03:42.960 --> 02:03:47.040]   Operate it to our standards and our specifications as we require by law
[02:03:47.040 --> 02:03:53.840]   So what well done shifty jelly there actually considering that they're owned by npr and other public broadcasting concerns
[02:03:53.840 --> 02:03:56.400]   It would have been a very very
[02:03:56.400 --> 02:03:59.600]   Hypocritical thing for them to say sure will censor ourselves. No problem
[02:03:59.600 --> 02:04:03.200]   Very very good on them for doing the right thing. Yeah and apple
[02:04:03.200 --> 02:04:10.800]   I mean we've had this conversation a million times apples. You got to do what uh, the laws of the country you're in require
[02:04:11.360 --> 02:04:13.360]   You got me thinking andy though
[02:04:13.360 --> 02:04:16.560]   Think of the I mean first of all I was pretty
[02:04:16.560 --> 02:04:21.680]   Just dumbfounded that this happened at first like it. It seems really counter
[02:04:21.680 --> 02:04:26.480]   Whatever to what what apple has been saying for the last couple of weeks, but
[02:04:26.480 --> 02:04:36.640]   You just made me think of something. What if the chinese government had gone directly to you know shifty jelly and said you have to
[02:04:36.640 --> 02:04:38.240]   um
[02:04:38.240 --> 02:04:42.000]   censor these podcasts out or you can't have your app in
[02:04:42.000 --> 02:04:46.560]   In our country. So in other words when you take apple out of it
[02:04:46.560 --> 02:04:52.720]   Shifty jelly would have either done what china said or they would have came to the same decision
[02:04:52.720 --> 02:04:57.760]   So why did app why is it apples fault that that happened is where i'm start just now
[02:04:57.760 --> 02:05:04.640]   This is just now coming to me because this this train of thought and it's it's actually really interesting to think of it that way
[02:05:04.640 --> 02:05:07.040]   when we start talking about apple
[02:05:07.280 --> 02:05:09.440]   um cowtowing to other governments
[02:05:09.440 --> 02:05:16.800]   If we take apple out of that situation and we go from the developer directly to the government
[02:05:16.800 --> 02:05:19.760]   How does that change?
[02:05:19.760 --> 02:05:22.480]   You know, it's just something i'm thinking of
[02:05:22.480 --> 02:05:25.840]   Yeah, my understanding is that
[02:05:25.840 --> 02:05:28.320]   the
[02:05:28.320 --> 02:05:32.960]   Once so once apple set apple receives a formal request for removing app from the app store
[02:05:33.600 --> 02:05:40.080]   And china says here is what here is the here is the violation that we are citing apple just simply has to take it down
[02:05:40.080 --> 02:05:42.480]   um, I believe my i'm trying
[02:05:42.480 --> 02:05:50.080]   I looked at this last week. So my my memory might be fading me. I do believe that they were asked directly from china saying
[02:05:50.080 --> 02:05:54.480]   We can't let your operate we can't let your app operate inside uh
[02:05:54.480 --> 02:05:59.680]   Inside the cyberspace administration china won't allow you to operate this app unless
[02:06:00.240 --> 02:06:04.960]   You are going to restrict the podcast that you can get. I don't think they were asked
[02:06:04.960 --> 02:06:09.440]   So here's i'm looking at the article on tech crunch and there may be something later, but this is what tech crunch said
[02:06:09.440 --> 02:06:15.440]   uh pocket cast asked apple why apple said contact china directly
[02:06:15.440 --> 02:06:17.360]   Uh
[02:06:17.360 --> 02:06:22.160]   Shifty jelly says this is the quote. We'll most likely contact them to find out more though
[02:06:22.160 --> 02:06:24.960]   We weren't given that option to stop the app from being removed
[02:06:24.960 --> 02:06:29.200]   Only as a potential solution to have it reinstated a very small amount of warning
[02:06:29.200 --> 02:06:33.600]   We were given between there being a problem on our app being completely removed from the china app store was
[02:06:33.600 --> 02:06:36.240]   Quite alarming. We assumed
[02:06:36.240 --> 02:06:42.640]   That what they wanted us to remove are specific podcasts and possibly some of the black live lives matter content
[02:06:42.640 --> 02:06:44.640]   We posted but I don't know if they know
[02:06:44.640 --> 02:06:48.400]   Here's the threads the threads they put on uh on their twitter account
[02:06:48.400 --> 02:06:55.440]   pocket cast on june 10th pocket cast has been removed from the chinese app store by apple at the request of the cyberspace administration of china
[02:06:55.600 --> 02:07:00.320]   We believe podcasting is and should remain an open medium free of government censorship as such
[02:07:00.320 --> 02:07:04.000]   We won't be censoring podcast content at their request next tweet
[02:07:04.000 --> 02:07:08.160]   We understand this means that it's unlikely that our ios app will be available in china
[02:07:08.160 --> 02:07:13.760]   But feel it's a necessary step to take for any company that values the open distribution model that makes podcasting special
[02:07:13.760 --> 02:07:19.520]   Uh, and then follow up so when asked them we did to get contacted by china for the take down or was it just apple pulling the plug
[02:07:19.840 --> 02:07:28.400]   Bucket casts reply replies. We were contacted by the cac through apple around two days before the app was removed from the store
[02:07:28.400 --> 02:07:33.360]   There were no specific reasons provided even after we asked for clarification the overall reason
[02:07:33.360 --> 02:07:42.480]   I'm quoting pocket cast here. The overall reason was that we quote include content that is illegal in china as determined by the cac unquote, right?
[02:07:42.480 --> 02:07:44.320]   Okay
[02:07:44.320 --> 02:07:47.760]   But they didn't tell them what to take down. They just said we're taking we're taking the whole thing down
[02:07:48.240 --> 02:07:50.800]   Easier just to go to apple and say apparently pull it
[02:07:50.800 --> 02:07:56.480]   Yeah, yeah, that just solves the whole thing and you don't have to do all this complicated back and forth
[02:07:56.480 --> 02:08:00.560]   Democracy is so difficult
[02:08:00.560 --> 02:08:04.400]   So inefficient so inefficient
[02:08:04.400 --> 02:08:11.040]   Uh, let us I think we uh, we could be good time to get the pics of the week if
[02:08:11.040 --> 02:08:16.000]   You folks would like to i'm gonna just throw in to begin
[02:08:16.480 --> 02:08:18.480]   We last week we mentioned the uh itch
[02:08:18.480 --> 02:08:24.400]   Dot io bundle the itchy o bundle for racial justice and equality. I am very pleased
[02:08:24.400 --> 02:08:29.280]   To say that bundle ended up raising their goal was five million eight point one
[02:08:29.280 --> 02:08:31.280]   million
[02:08:31.280 --> 02:08:36.080]   Dollars gamers are extraordinarily generous. Of course they were getting an amazing deal
[02:08:36.080 --> 02:08:43.680]   Because they got 1,741 independent games and other content for five bucks. Although the average contribution was 10
[02:08:44.480 --> 02:08:50.560]   And uh, so that's pretty darn good. The money will be split between the n double a cp legal defense and educational fund
[02:08:50.560 --> 02:08:54.640]   And the community bail fund and now of course humble bundle
[02:08:54.640 --> 02:08:57.600]   Says hold my beer
[02:08:57.600 --> 02:09:01.040]   And this is good. This is the kind of competition you want, right?
[02:09:01.040 --> 02:09:05.280]   They've just started their fight for racial justice bundle
[02:09:05.280 --> 02:09:11.520]   This is uh, no h.io is indy games. This is these are less
[02:09:12.240 --> 02:09:19.520]   indie games much more including kerbil space program and be a 2k 20 bio shock remastered
[02:09:19.520 --> 02:09:24.640]   Uh age of wonders three. There's a lot of games in here for 30 dollars
[02:09:24.640 --> 02:09:27.600]   And it goes to a good cause
[02:09:27.600 --> 02:09:30.960]   So i'll just mention that you got a little less than a week
[02:09:30.960 --> 02:09:33.200]   uh to
[02:09:33.200 --> 02:09:35.040]   fight for racial justice
[02:09:35.040 --> 02:09:37.040]   With the humble bundle
[02:09:37.840 --> 02:09:41.600]   $43 worth of off some stuff for 30 dollars or more 100 percent goes
[02:09:41.600 --> 02:09:46.000]   To charity. So I love it. I hope this competition continues
[02:09:46.000 --> 02:09:49.840]   Uh larry gill your pick of the week
[02:09:49.840 --> 02:09:55.040]   Uh, hold on i'm buying this humble bundle. Oh, yes. It's a good bundle. I'm gonna buy it too. I'm just kidding. I'll wait
[02:09:55.040 --> 02:10:01.040]   No, it's pretty good. Look at all this stuff. It is. Yeah, it is. It's great. Okay. So um
[02:10:01.040 --> 02:10:06.240]   Taking it up to a little bit of light-heartedness. I just thought these were so funny. So
[02:10:06.720 --> 02:10:09.440]   Case to fi they regularly
[02:10:09.440 --> 02:10:15.360]   Launch these custom or not custom but these collections that are
[02:10:15.360 --> 02:10:20.800]   Special editions from different brands and this week they launched the heins
[02:10:20.800 --> 02:10:28.080]   edition. So wait a minute. What is ketchup? Oh, this is hysterical. It is ketchup
[02:10:28.080 --> 02:10:34.880]   They're they're like, you know, I don't know. They should be putting us for the advertising
[02:10:35.600 --> 02:10:40.880]   Yeah, but there's there it's just so funny that you can get ketchup bottles on your iPhone case
[02:10:40.880 --> 02:10:45.360]   My favorite one is actually the floaty one that has the french fries and the bottles of ketchup
[02:10:45.360 --> 02:10:50.080]   Yeah, I really like that one a lot and those move around right that's a floaty back so that yeah
[02:10:50.080 --> 02:10:53.920]   Yeah, it'll it'll move around. I just I like the french fries on that one too
[02:10:53.920 --> 02:11:00.480]   So if you're a fan of heins ketchup or you just think it's really funny to have a ketchup bottle on your iPhone case
[02:11:00.480 --> 02:11:04.080]   Case case to fi is uh is there for you
[02:11:04.560 --> 02:11:10.160]   It's national ketchup day. That's why you realize we've got to celebrate. Yes. Yeah, ketchup day
[02:11:10.160 --> 02:11:13.520]   Put your put your phone on the shelf in the grocery store
[02:11:13.520 --> 02:11:17.360]   C A s e t i f y dot com
[02:11:17.360 --> 02:11:25.280]   That's just so freaking do who pays whom does heins pay them or do they license it from heins? What do you think?
[02:11:25.280 --> 02:11:34.320]   You know, it's it's such a advertising game that I have a feeling that heins probably and i'm just guessing but heins probably
[02:11:34.400 --> 02:11:36.560]   Contacts them. Yeah, I would think so. Yeah
[02:11:36.560 --> 02:11:40.400]   Andy and aiko you got a plea a police scanner radio
[02:11:40.400 --> 02:11:43.520]   For us. I got I got two different fix just
[02:11:43.520 --> 02:11:46.400]   We're in the opera house. Holy moly
[02:11:46.400 --> 02:11:51.440]   The metro paltin opera uploaded a whole bunch of like zoom meeting backgrounds
[02:11:51.440 --> 02:11:56.480]   Not working very well because i'm using skype's automatic backgrounds. I don't have free screen. It's pretty good
[02:11:56.480 --> 02:12:02.400]   Excellics. Okay. I did have to take off my headphones. My headphones was was even worse and it's switched for my earbuds
[02:12:02.720 --> 02:12:06.960]   But you got the inside of the met opera house. Yeah, you can get the stage
[02:12:06.960 --> 02:12:10.160]   Lava m here
[02:12:10.160 --> 02:12:12.320]   Or you can get the the starburst
[02:12:12.320 --> 02:12:15.200]   Signature chandeliers
[02:12:15.200 --> 02:12:19.840]   Or you can get like just the the lobby the inside opera house here
[02:12:19.840 --> 02:12:26.880]   Or you could pretend to be like a pbs like life from lincoln center presenter and get like the external shots
[02:12:26.880 --> 02:12:30.720]   I think i like that one the best
[02:12:30.720 --> 02:12:35.600]   I like these are these these are all these are all highly solid choices
[02:12:35.600 --> 02:12:38.320]   But I do have an iOS app pick
[02:12:38.320 --> 02:12:44.400]   Because I was looking at police scanners for the first time since I used to like listen
[02:12:44.400 --> 02:12:48.800]   I used to have my like uni den handheld scanner like 20 or 30 years ago
[02:12:48.800 --> 02:12:51.920]   And I remember that of course there are now phone apps that do that
[02:12:51.920 --> 02:12:54.800]   There are people who have like actual terrestrial scanners
[02:12:55.280 --> 02:13:01.600]   And one of the features of these these police and fire emergency scanners is that they can stream audio to the internet
[02:13:01.600 --> 02:13:06.480]   And so a whole bunch of different phone apps can simply like tap into those streams and my favorite one
[02:13:06.480 --> 02:13:12.960]   It's actually available for both iOS and android is called police scanner radio and fire for iOS
[02:13:12.960 --> 02:13:16.880]   And man does it do a whole bunch of really really cool things
[02:13:16.880 --> 02:13:19.840]   the the cool thing about it is that
[02:13:20.880 --> 02:13:25.520]   It's kind of boring to simply to turn on your phone and say oh, what's my local like fire department
[02:13:25.520 --> 02:13:29.680]   Fire department frequency. Okay, here it is now just stream this to me
[02:13:29.680 --> 02:13:36.320]   But it can do and you can do that you can simply enable location access and we'll just you can say please show me
[02:13:36.320 --> 02:13:37.600]   uh
[02:13:37.600 --> 02:13:43.040]   Frequents, please show me like police fire emergency and whatever that are within 25 miles of me say
[02:13:43.040 --> 02:13:46.320]   Then you can pick one and then just be listening to like
[02:13:48.000 --> 02:14:01.920]   your
[02:14:01.920 --> 02:14:09.520]   Show me stuff that's 25 miles away. You can say automatically tune into anything within let's say 30 miles of my location
[02:14:09.520 --> 02:14:13.440]   If the number of listeners has suddenly gone up by 200 or 300
[02:14:13.920 --> 02:14:18.960]   And so if suddenly everybody is tuning into like Boston EMS Boston police and fire
[02:14:18.960 --> 02:14:23.280]   You can you can have a good idea that there's something bad going down in Boston
[02:14:23.280 --> 02:14:25.840]   And maybe something you want to pay attention to right now
[02:14:25.840 --> 02:14:31.120]   Or if you're only you don't you don't necessarily want to hear every single call
[02:14:31.120 --> 02:14:33.440]   That your fire department has about okay
[02:14:33.440 --> 02:14:37.200]   There's a there's a cat up a tree or there's somebody who lost their keys
[02:14:37.200 --> 02:14:42.800]   And they they're stuck up out on the porch and they're naked and they need someone to help them get back into get back into the house
[02:14:43.360 --> 02:14:48.640]   But if you if there's actually like a two or three alarm fire and suddenly instead of like two or three people listening
[02:14:48.640 --> 02:14:52.240]   They're not 14 people listening. You definitely want to start to listen to that
[02:14:52.240 --> 02:14:57.520]   So it really is a lot of fun and of course it works nationwide. I think even works worldwide
[02:14:57.520 --> 02:15:01.680]   So if you want to simply say anywhere in the country where there's suddenly a thousand times
[02:15:01.680 --> 02:15:05.760]   The number of people who are listening on something as you can guess last week
[02:15:05.760 --> 02:15:09.280]   There were a number of highly interesting
[02:15:10.080 --> 02:15:17.440]   Emergency channels that were where you're you're hearing exactly what police and EMS are talking to I was there is a peaceful protest
[02:15:17.440 --> 02:15:23.280]   That I forget where it was but there's a peaceful protest. I think it was somewhere in New England
[02:15:23.280 --> 02:15:29.440]   Where it was peaceful and the police were like reporting on how peaceful and boring it was
[02:15:29.440 --> 02:15:36.400]   There's like it's almost like there's a there's a Barney Fife there who was saying okay the oh they all suddenly stood up
[02:15:39.520 --> 02:15:42.320]   And then nothing else after that so they just I get stuck in their way
[02:15:42.320 --> 02:15:47.280]   So it's a cheap app you get the free version. I think with ads
[02:15:47.280 --> 02:15:54.080]   I think it's $2.99 and you own it without any ads. It's just a really really handy app to have on your phone
[02:15:54.080 --> 02:15:56.320]   it's in that category of
[02:15:56.320 --> 02:16:00.000]   At the time when you are really really interested to know
[02:16:00.000 --> 02:16:03.520]   What are what are all those sirens about or
[02:16:03.520 --> 02:16:09.040]   There's suddenly a news flash about something bad happening and you want to get as much information as you can
[02:16:09.280 --> 02:16:12.880]   It's nice to already have that on your phone and you already know how to use it very easy to use
[02:16:12.880 --> 02:16:15.360]   but very very handy and also
[02:16:15.360 --> 02:16:19.600]   It helps you to understand exactly what kind of operations are going down inside your
[02:16:19.600 --> 02:16:22.240]   Town like hour to hour day by day
[02:16:22.240 --> 02:16:32.320]   Nice I just downloaded it. I think now it's a good thing to have you never know. Yeah, is it legal? That's legal, right? Yeah, it's legal
[02:16:32.320 --> 02:16:34.400]   It's legal in most states
[02:16:34.400 --> 02:16:36.640]   some as
[02:16:36.640 --> 02:16:38.640]   I can't drive around
[02:16:38.640 --> 02:16:40.640]   in a old chp
[02:16:40.640 --> 02:16:44.080]   vehicle with a scanner on your dashboard
[02:16:44.080 --> 02:16:47.120]   And sunglasses at night
[02:16:47.120 --> 02:16:51.360]   But other than that some glasses at night, but no you can actually you can have inside your car
[02:16:51.360 --> 02:16:52.160]   Really?
