;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[01:51:10.000 --> 01:51:14.400]   Turn off the trackers and then there'll be a new auto delete option
[01:51:14.400 --> 01:51:21.280]   In which you can say uh after a period of time a week a month a year. I want you to automatically
[01:51:21.760 --> 01:51:27.200]   Delete that data. That's kind of the best of both worlds where you get the location history, but it's not kept forever
[01:51:27.200 --> 01:51:33.440]   Right, you can like look up the restaurant you went to last week, but then like, you know, it's not going to stay there for the rest of your life
[01:51:33.440 --> 01:51:38.800]   I've never had this on but have you guys ever looked back at this? It's like really crazy. Oh, I have it on. I love it
[01:51:38.800 --> 01:51:44.960]   I turned it off a while ago, but like you can like see literally like oh, uh, okay left my house
[01:51:44.960 --> 01:51:47.600]   But then I forgot my keys that day and I turned around and went back
[01:51:47.920 --> 01:51:53.360]   Like it's really crazy how like granular it is if you're like in a big enough house or building
[01:51:53.360 --> 01:51:56.000]   Sometimes you can even see like oh, I was in that room for a while
[01:51:56.000 --> 01:51:59.120]   Then I like moved to the other side of the house like I took the dog around the block
[01:51:59.120 --> 01:52:02.400]   Like it is really crazy how granular it is and I do think it is
[01:52:02.400 --> 01:52:05.440]   You know kind of problematic to have all that forever
[01:52:05.440 --> 01:52:08.560]   I enjoy using it
[01:52:08.560 --> 01:52:11.280]   Is that a dog?
[01:52:11.280 --> 01:52:15.760]   Is that a large decided to speak? Is the how do the basket bills in there? What's going on?
[01:52:16.160 --> 01:52:18.160]   Do you have it opinion about google location tracking?
[01:52:18.160 --> 01:52:30.160]   And so kylo had to greet her and that's all so if you go to google.com/maps/timeline
[01:52:30.160 --> 01:52:34.080]   If you're louise, you'll see nothing, but if you're me
[01:52:34.080 --> 01:52:41.360]   You'll see that and you can go to a specific year month and day. I can go back all the way to 2009
[01:52:41.360 --> 01:52:43.200]   I wonder what I was doing
[01:52:43.200 --> 01:52:45.200]   Oh, I was in australia apparently
[01:52:45.200 --> 01:52:50.720]   In 2009 I can and actually you can play the day back which is really fun
[01:52:50.720 --> 01:52:56.160]   And uh, and oh, I don't have it. Oh, you were there you fell off the map that day. That's yeah
[01:52:56.160 --> 01:52:59.920]   I was in the middle of the ocean probably it looks like that's where I was
[01:52:59.920 --> 01:53:03.920]   So that's I think that's a really a wonderful feature
[01:53:03.920 --> 01:53:10.640]   But it is really interesting to look at and and I do the look I do the local guide stuff
[01:53:11.120 --> 01:53:18.320]   Yeah, and it's nice to to help contribute to that because I depend on the local guides when I travel
[01:53:18.320 --> 01:53:22.320]   To see what's out there far as things that I can number one go eat
[01:53:22.320 --> 01:53:25.280]   And number two interesting spots to go shoot
[01:53:25.280 --> 01:53:31.280]   So I I here's an example. Yeah in 20 in 2015. I went from home to work
[01:53:31.280 --> 01:53:35.600]   But on the day before on febri 12th, I went all over the place
[01:53:35.600 --> 01:53:40.720]   When I went all over the here, I don't know I went down to a restaurant
[01:53:41.360 --> 01:53:43.760]   Uh, that's I think this is kind of cool
[01:53:43.760 --> 01:53:50.640]   I yes, it's definitely noticed by the way the pictures I took that day are showing up here too
[01:53:50.640 --> 01:53:54.800]   Yeah, I spent any I mean it's moving 5.4 miles
[01:53:54.800 --> 01:54:00.480]   This is crazy. Here's employees that no longer work here. It's nuts
[01:54:00.480 --> 01:54:08.000]   There is this tension between what we want this technology to do and what we're willing to give up to get to it
[01:54:08.000 --> 01:54:11.600]   Like there is no doubt about that being able to look at photos back
[01:54:11.600 --> 01:54:19.360]   You know a year ago or two years ago on a specific day is like really interesting because the problem now we have is there's too much information and data out there
[01:54:19.360 --> 01:54:23.440]   And there is this massive benefit. We mentioned talk about the ads before on instagram
[01:54:23.440 --> 01:54:26.560]   Like I joke about those but a lot of times those ads they're so good like
[01:54:26.560 --> 01:54:33.840]   That the technology has gotten to this point where they do know you and what you want and say when you're out for restaurants
[01:54:33.920 --> 01:54:38.960]   Right if it's it already knows like what you like these like you we do want these services
[01:54:38.960 --> 01:54:42.320]   But then the question is we get creeped out when you see, you know
[01:54:42.320 --> 01:54:47.600]   How the sausage is made so to speak right and how they're collecting all this data and going back there
[01:54:47.600 --> 01:54:52.640]   I think this option should have always been there and that's probably the case for almost all this technology with data collection
[01:54:52.640 --> 01:54:56.320]   Is like there always should be more tools it but this is also
[01:54:56.320 --> 01:54:59.920]   You have to go out there and enable it find it
[01:55:00.480 --> 01:55:05.360]   And they'll be more interesting if you set up your android phone if it's going to give you the option during the out-of-box experience
[01:55:05.360 --> 01:55:08.960]   To do that then i'll be a little bit more like okay now that they're doing the right thing
[01:55:08.960 --> 01:55:11.920]   We even just it would be nice if your phone popped up every once while like hey
[01:55:11.920 --> 01:55:15.520]   We have data for you for the last 10 years. Do you want us to hold on to all this?
[01:55:15.520 --> 01:55:19.280]   Um, I don't think they'll go down that route quite yet
[01:55:19.280 --> 01:55:22.560]   But that's what I think it'll take before this up is useful because right now
[01:55:22.560 --> 01:55:25.760]   I don't know how many people are going to know about this feature, right?
[01:55:25.760 --> 01:55:30.720]   This isn't something that or that I'm going to know how to go find it and that's going to be the problem here
[01:55:30.720 --> 01:55:33.200]   Is how useful this actually is for regular people
[01:55:33.200 --> 01:55:41.360]   So uh, there are at last count 20 democratic candidates for the 2020 presidential election
[01:55:41.360 --> 01:55:45.040]   That's 22 now 22 they keep going up. I can't even contact
[01:55:45.040 --> 01:55:50.080]   Anybody want to venture a guess how many of those 20 candidates have basic email security
[01:55:50.080 --> 01:55:53.360]   On their campaign email take a good
[01:55:54.160 --> 01:55:57.920]   One maybe one. Can you guess who it is?
[01:55:57.920 --> 01:56:00.960]   Elizabeth Warren
[01:56:00.960 --> 01:56:04.640]   Yeah, I would say Warren. Yeah, probably although she has that weird website
[01:56:04.640 --> 01:56:07.920]   That's like kind of like not very well designed. So I don't know maybe
[01:56:07.920 --> 01:56:08.880]   But
[01:56:08.880 --> 01:56:13.600]   Google's been handing out those ub keys to campaigns good and they've been doing yeah
[01:56:13.600 --> 01:56:16.560]   They've been doing campaign trainings. I'm gonna say maybe like eight
[01:56:16.560 --> 01:56:19.760]   That's like it's so Elizabeth Warren
[01:56:19.760 --> 01:56:21.760]   uh according to agari
[01:56:21.920 --> 01:56:29.040]   Is the only candidate republican or democratic that uses domain based message authentication reporting and conformancy?
[01:56:29.040 --> 01:56:35.680]   That's d mark. She also uses center policy framework spf and domain keys identified email dkim
[01:56:35.680 --> 01:56:37.840]   I use all three on my email
[01:56:37.840 --> 01:56:45.440]   Uh, and that way that helps from being spoofed, right? You can verify that she sent an email
[01:56:45.440 --> 01:56:47.920]   um, donald trump does not
[01:56:47.920 --> 01:56:50.560]   uh
[01:56:51.040 --> 01:56:54.560]   He has uh, he has that iphone seven. You love so much though. I think you know
[01:56:54.560 --> 01:56:57.920]   I just want to believe he uses hotmail hotmail
[01:56:57.920 --> 01:57:00.000]   And it's still hot
[01:57:00.000 --> 01:57:04.320]   Yeah, the press at hotmail.com. I'm guessing that's the email address
[01:57:04.320 --> 01:57:07.520]   Um, anyway, there is there are ways to do it better
[01:57:07.520 --> 01:57:15.200]   Um, and in fact sometimes I feel like uh, congress there is some hope ron wyden who is one of the more uh, uh, uh,
[01:57:15.200 --> 01:57:17.840]   techno literate senators
[01:57:17.840 --> 01:57:23.360]   Uh, called the roll out of d mark a no brainer that increases cyber security without sacrificing liberty
[01:57:23.360 --> 01:57:25.120]   Wow
[01:57:25.120 --> 01:57:27.120]   Thank you ron wyden
[01:57:27.120 --> 01:57:33.280]   Um, I just thought I throw that in there. Let's see uh, phone. Why didn't so homie. He's a homie's from organ, right?
[01:57:33.280 --> 01:57:37.280]   Yeah, yeah, why didn't school as far as tech goes at least. Yeah, one of the few
[01:57:37.280 --> 01:57:39.440]   One of the few yeah
[01:57:39.440 --> 01:57:45.680]   Here's a scary thought phone and laptop searches that the u.s border have quadrupled turns out you have zero rights
[01:57:45.760 --> 01:57:48.560]   If you're crossing the border whether you're a u.s. citizen or not
[01:57:48.560 --> 01:57:55.040]   Yeah, one day are they searching for i've been seeing a bunch of headlines like that here recently
[01:57:55.040 --> 01:57:58.560]   But I never dove into the details of it, you know
[01:57:58.560 --> 01:58:04.000]   What is the point of searching the cell phone of just a regular person coming through
[01:58:04.000 --> 01:58:09.200]   They're big cat fans and they want as many they want all the cat photos themselves, you know
[01:58:09.200 --> 01:58:15.120]   You say that fashiciously, but but I was told by somebody who repairs cars or maybe he was a
[01:58:15.840 --> 01:58:18.560]   Carve valet parker, but the he um
[01:58:18.560 --> 01:58:22.160]   That routinely when they would get keys they would look for usb keys
[01:58:22.160 --> 01:58:28.480]   Attached on the key ring and they would just copy whatever music was on there because it's a good way to get a lot of new music
[01:58:28.480 --> 01:58:30.480]   So maybe that's what they're looking for. Yeah
[01:58:30.480 --> 01:58:32.320]   Uh, it's very soft
[01:58:32.320 --> 01:58:38.560]   33,000 295 searches of travelers devices in the year 2018
[01:58:38.560 --> 01:58:44.400]   The carried out for a variety of reasons intelligence gathering tax enforcement
[01:58:45.120 --> 01:58:46.400]   and criminal investigations
[01:58:46.400 --> 01:58:48.560]   This is according to the eff and aclu
[01:58:48.560 --> 01:58:53.360]   They're suing saying these searches are often warrantless and therefore unconstitutional
[01:58:53.360 --> 01:58:56.000]   And they're targeted sometimes more there's some media
[01:58:56.000 --> 01:59:01.840]   Press people covering uh the border crisis who are traveling free clean to mexico coming back and they were
[01:59:01.840 --> 01:59:06.240]   Subject to more of these searches and detentions more than anybody else
[01:59:06.240 --> 01:59:12.640]   Yeah, I think what's really insidious about this is that what the definition the legal definition of a border is
[01:59:13.040 --> 01:59:16.560]   Can sometimes be up to 100 miles. Yeah, actual border crossings
[01:59:16.560 --> 01:59:19.360]   I think that that's really you know if you live in one of these border towns
[01:59:19.360 --> 01:59:22.720]   You just basically don't have the fourth amendment, which is really crazy. No kidding
[01:59:22.720 --> 01:59:27.440]   It's scary. And there's also the interest in being about security too because this isn't the case like
[01:59:27.440 --> 01:59:32.240]   If you're password like you're using a pin or a physical password
[01:59:32.240 --> 01:59:36.960]   You could claim you don't know the password and then this comes into this search and seizure
[01:59:36.960 --> 01:59:40.160]   Fourth amendment kind of thing about how they get that password
[01:59:40.400 --> 01:59:44.480]   Otherwise, I'm going to detain you for presumably a long time, which for me. I'm actually fine
[01:59:44.480 --> 01:59:48.000]   If anyone wasn't detained me for like a week. I'm just like that's a vacation, man
[01:59:48.000 --> 01:59:49.680]   but
[01:59:49.680 --> 01:59:56.960]   For this is where bio authentication comes into an issue because as we know the police have used people's fingers to unlock their phones or
[01:59:56.960 --> 02:00:00.640]   Facial recognition is hold it up to your face and boom it's unlocked
[02:00:00.640 --> 02:00:05.520]   So this is one of the tips when you know either whenever you're dealing with the police if you're knowing you're going to be doing some
[02:00:05.520 --> 02:00:08.880]   You know public protests or you're returning overseas
[02:00:09.360 --> 02:00:16.400]   It may be not a bad idea if you're concerned about this to disable your bio authentication and just rely on a pin system and just deny
[02:00:16.400 --> 02:00:20.880]   Um, I would also say a lot of modern computers today. We are living in a very cloud-based world
[02:00:20.880 --> 02:00:22.640]   I I'm
[02:00:22.640 --> 02:00:28.320]   Fairly comfortable with wiping my pc doing a fresh restart and bring it over to border and be like there's nothing on there
[02:00:28.320 --> 02:00:32.720]   It's out there and they're not gonna be able to necessarily get that it's bad in the us
[02:00:32.720 --> 02:00:38.880]   It's worse crossing into Canada. I've been told by many people. Here's an example. This is a story from today
[02:00:39.760 --> 02:00:46.400]   A lawyer's phone and laptop were seized by the Canadian border services because he wouldn't hand over the passwords
[02:00:46.400 --> 02:00:53.600]   Yeah, a big place for this happens actually is on the train on the m-track train that goes into Canada is a lot of people get their devices
[02:00:53.600 --> 02:00:57.600]   Sees there not just at the car border right that you when you drive over
[02:00:57.600 --> 02:01:04.160]   But yeah, I think that's a great advice is wiping your phone. Although they might want your cloud password, right? It's not that simple, but yeah, definitely
[02:01:04.720 --> 02:01:09.760]   Uh, you can't they can't force you to self incriminate. So they can't force you to give over your password
[02:01:09.760 --> 02:01:14.640]   However, they can force you to give over your biometric data, which can be your fingerprint or your face
[02:01:14.640 --> 02:01:17.840]   The courts are kind of undecided right now, but yeah, don't you face id on?
[02:01:17.840 --> 02:01:22.560]   If you're crossing over the border and don't really want your phone looked at but yeah, these device
[02:01:22.560 --> 02:01:29.040]   Seasures are definitely really troubling. Yeah, I mean in the us at least I think it's believed that they can't force you to you can't
[02:01:29.040 --> 02:01:31.280]   They can't say you have to give us a password
[02:01:31.280 --> 02:01:35.360]   They can hold you an airport jail for a little while but ultimately they have to let you go
[02:01:35.360 --> 02:01:38.480]   Apparently that's not the case in Canada. They could take your device and keep it
[02:01:38.480 --> 02:01:43.040]   And see i'm their formidable opponent here because I've reviewed laptops for a living
[02:01:43.040 --> 02:01:47.040]   I have a stack of laptops so they can see as many as they can
[02:01:47.040 --> 02:01:49.280]   I'll just come back to another one
[02:01:49.280 --> 02:01:51.280]   It is
[02:01:51.280 --> 02:01:54.400]   I believe and if I may I don't think i'm wrong here and you can correct me luis
[02:01:54.400 --> 02:01:56.880]   If once you've given a device
[02:01:57.040 --> 02:02:02.560]   To law enforcement and they take it out of your presence actually in this case they would keep it for weeks and then mail it back to you
[02:02:02.560 --> 02:02:05.520]   You should not use that device ever again, right?
[02:02:05.520 --> 02:02:11.760]   Yeah, I mean it's kind of hard if you're a marginalized group and you can't just go out and buy another device, right?
[02:02:11.760 --> 02:02:20.800]   But I would recommend if you can you know using the resources to get it get it looked at but they shouldn't be able to put a tracking device or anything on that without
[02:02:20.800 --> 02:02:21.840]   um
[02:02:21.840 --> 02:02:23.840]   you know warrant
[02:02:23.840 --> 02:02:26.960]   But so far yeah, it hasn't happened to me
[02:02:26.960 --> 02:02:32.160]   Because i'm a little white man and i don't look like trouble, but if you're Daniel Rubino, I'd be very careful
[02:02:32.160 --> 02:02:37.600]   And i'm sure they can have facial hair when i travel yeah, it's the facial hair and you should never leave the country ant because
[02:02:37.600 --> 02:02:43.120]   Pretty much yeah, you you look scary you really do ants boss. He's scary
[02:02:43.120 --> 02:02:45.280]   Um
[02:02:45.280 --> 02:02:49.040]   video game hall of fame. I know this is we're just we're at the bottom of the barrel now
[02:02:49.040 --> 02:02:51.120]   He's just short little slits
[02:02:51.120 --> 02:02:55.280]   I like it bring the fun news the fun news video game hall of fame inducting
[02:02:55.840 --> 02:02:57.840]   Super mario cart
[02:02:57.840 --> 02:02:59.840]   That's probably from your generation
[02:02:59.840 --> 02:03:02.240]   Mortal combat a classic arcade game
[02:03:02.240 --> 02:03:06.560]   Something from my generation colossal cave adventure
[02:03:06.560 --> 02:03:11.840]   That was a text adventure. I spent a lot of time on copy serve hundreds of hours playing
[02:03:11.840 --> 02:03:15.360]   And but my favorite is microsoft solitaire
[02:03:15.360 --> 02:03:20.640]   This is so random to me. I mean microsoft solitaire incredible game but putting that in the same like
[02:03:21.040 --> 02:03:24.160]   I don't know hall as the same like group as mario cart
[02:03:24.160 --> 02:03:29.360]   I don't know. I feel like they I feel like they asked the video game of hall hall of fame's staff like guys
[02:03:29.360 --> 02:03:31.440]   Which are favorite game that's not in
[02:03:31.440 --> 02:03:36.080]   The hall of babe yet, right? Like this just seems random, but i'm happy about it. I feel like all well deserved
[02:03:36.080 --> 02:03:40.640]   Solitaire don't know how to play solitaire
[02:03:40.640 --> 02:03:45.440]   No, I just it look boring. I would always boring. It's definitely boring
[02:03:45.840 --> 02:03:49.920]   Hintball 3d was by jam. Oh love pinball 3d that'll get in next year
[02:03:49.920 --> 02:03:54.000]   I'm sure good news though. They considered and rejected candy criss saga
[02:03:54.000 --> 02:03:59.680]   Hello, oh yeah, but they also rejected civilization
[02:03:59.680 --> 02:04:04.560]   And half life which should easily be in the hall of fame. I guess you know they get around to that next time
[02:04:04.560 --> 02:04:06.800]   What are you playing right now? Are you playing anything right now?
[02:04:06.800 --> 02:04:09.440]   Uh, I hate to admit what i'm playing right now
[02:04:10.480 --> 02:04:12.480]   Pokemon go
[02:04:12.480 --> 02:04:16.800]   Wow, that's like there's what three years a little late on that but I respect it
[02:04:16.800 --> 02:04:18.800]   I'm almost level 40 after that
[02:04:18.800 --> 02:04:24.160]   I'm quitting forever and then harry potters coming out any day now and that's what i'm gonna
[02:04:24.160 --> 02:04:27.600]   That'll be my jam as these are wholesome choices. I like this
[02:04:27.600 --> 02:04:31.040]   Well, I don't know about you, so but you do have to at least walk around to play it
[02:04:31.040 --> 02:04:32.480]   Right, right?
[02:04:32.480 --> 02:04:36.240]   No, sit on your butt. What am I playing on the desktop? Uh
[02:04:37.520 --> 02:04:41.440]   But that's a good question. I don't I don't have anything i'm really crazy about right now
[02:04:41.440 --> 02:04:45.680]   I feel I used to have always have a game. What's your game luis?
[02:04:45.680 --> 02:05:04.160]   Uh, I haven't played I actually met at the mario cart for uh the switch my way
[02:05:04.160 --> 02:05:09.680]   That game ever yeah, there was a lot of there was a lot of tears in my home, but he did finish it
[02:05:09.680 --> 02:05:12.080]   Oh my god. That's very impressive
[02:05:12.080 --> 02:05:19.520]   You can tell him I was very impressed by that because that's that game. I've got like the two levels
[02:05:19.520 --> 02:05:23.520]   It's the hardest game ever. Yeah, it's really beautiful though. I love it. I love it
[02:05:23.520 --> 02:05:28.720]   I hope more games like stick with that kind of innovative design because it's just like really fun
[02:05:28.720 --> 02:05:30.480]   The music's really fun
[02:05:30.480 --> 02:05:36.400]   My 16 year old and his friend beat it. Oh, I know what I still play minecraft speaking of teenagers
[02:05:36.400 --> 02:05:42.880]   I actually really like minecraft. I have a server in the house. We have four different worlds. It's fun
[02:05:42.880 --> 02:05:46.800]   Yeah, minecraft school. I just upgraded to 1.14
[02:05:46.800 --> 02:05:50.880]   They added panda bears. You can hatch a panda bear now. That's good
[02:05:50.880 --> 02:05:54.080]   And since they had a panda bears they added bambooz. So you can feed them
[02:05:54.080 --> 02:05:56.720]   What are you playing dandruff? You play games at all?
[02:05:57.520 --> 02:06:01.920]   I do now as much as I'd like to I literally have to try to schedule myself to play video games
[02:06:01.920 --> 02:06:04.240]   I still hit destiny two every once in a while
[02:06:04.240 --> 02:06:09.600]   It's just I that was a great game. That was a great. Yeah, I'm just a fan of that series
[02:06:09.600 --> 02:06:12.800]   You know minecraft. I try to do once a while minecraft
[02:06:12.800 --> 02:06:15.120]   Fascinates me
[02:06:15.120 --> 02:06:17.680]   Because I just go down. Yeah, chop chop chop chop chop
[02:06:17.680 --> 02:06:22.480]   It's such a bizarre game. I do have a switch. I don't play it nearly as much as I should
[02:06:23.600 --> 02:06:27.760]   but it's uh, I'm more interested in sort of the indie games that are available on the switch than
[02:06:27.760 --> 02:06:33.280]   necessarily the mario games, which are always like 65 bucks or 60 bucks is always so expensive
[02:06:33.280 --> 02:06:39.280]   Versus like the five or ten dollar steam type games which for me is always that's where you get to some of the real creativity
[02:06:39.280 --> 02:06:42.480]   I find on the switch why I thought such an interesting system
[02:06:42.480 --> 02:06:49.520]   If you look at the indie games, it's just a lot going on there right now and be able to throw that as five or ten bucks for
[02:06:49.520 --> 02:06:52.560]   Even smaller games. Sometimes I think it's really fun experience
[02:06:53.280 --> 02:06:56.560]   Switch is cool. I think the games are really fun. I think Nintendo did a good job
[02:06:56.560 --> 02:06:59.280]   Yeah, I tried
[02:06:59.280 --> 02:07:05.600]   What was that called Zelda breaking wind or something? Yeah, I tried that too. I couldn't get into it's a little too much game
[02:07:05.600 --> 02:07:09.120]   It's been a lot of time walking around
[02:07:09.120 --> 02:07:15.200]   It's so beautiful. That's what it's called. I think it's something like that
[02:07:15.200 --> 02:07:19.200]   And do you play video games? You don't look like a video game type
[02:07:19.760 --> 02:07:24.080]   When I'm out on the photo walk, I do play this game called untapped
[02:07:24.080 --> 02:07:27.760]   Oh, yeah, it basically shows me all the micro breweries
[02:07:27.760 --> 02:07:30.640]   Get beer. Yeah. Yeah
[02:07:30.640 --> 02:07:37.040]   Yeah, it's great. Yeah, it's like the LinkedIn for drinkers for drunks. Yeah
[02:07:37.040 --> 02:07:42.000]   You write your beers you get you know, you you collect all the beers
[02:07:42.000 --> 02:07:48.880]   It's very joe fully his favorite game. I believe. Oh, she loves it. Yeah. It's actually it's actually it's really more like four square for drunks
[02:07:49.440 --> 02:07:51.440]   It's yeah, I would
[02:07:51.440 --> 02:07:56.000]   I was showing my friend. I was like look at this. I got 364 unique beers
[02:07:56.000 --> 02:08:01.200]   I've checked in. I was like not bad right he had he's like he chose me his there's over 3000
[02:08:01.200 --> 02:08:06.480]   Yeah, what's he oh yeah, and he's like oh, I knew the developer. I actually helped him
[02:08:06.480 --> 02:08:09.760]   Make parts of the app. He says like he helped with the
[02:08:09.760 --> 02:08:15.520]   Dispel checking and all this kind of stuff and I was just like oh you're that guy because he's an editor
[02:08:15.840 --> 02:08:20.000]   Spell checking beer is tough especially when you get to the the belgian and yeah
[02:08:20.000 --> 02:08:24.880]   Yeah, just like that one cray cray. All right. Let's take one more break. I have a couple more stories
[02:08:24.880 --> 02:08:28.560]   I do want to mention our fan our friends at elassee and i'm a big fan
[02:08:28.560 --> 02:08:34.720]   We are in elassee in house if you know jeera and I think most programmers are very familiar with jeera
[02:08:34.720 --> 02:08:40.880]   You know elassee and but it doesn't stop with jeera jeera is fantastic a great way to keep track of your projects
[02:08:40.880 --> 02:08:43.120]   Our engineering team uses that you always know
[02:08:43.520 --> 02:08:48.080]   Not only who's responsible what what stage the products in and it is actually very satisfying
[02:08:48.080 --> 02:08:52.720]   When you slide that project into the complete you column you just get this nice feeling
[02:08:52.720 --> 02:08:57.200]   It ties in of course with confluence because and this is something I really want to emphasize
[02:08:57.200 --> 02:08:58.720]   uh
[02:08:58.720 --> 02:09:02.480]   Communication it is is is a big part of the game when you're an it department
[02:09:02.480 --> 02:09:09.520]   You've got stuff to fix you've got things to do in fact in this increasingly cloud-based world it is at the heart of everything
[02:09:09.920 --> 02:09:14.000]   And it teams are you know there's a lot of pressure to plan and execute you got to do it fast
[02:09:14.000 --> 02:09:15.520]   You got to do it right
[02:09:15.520 --> 02:09:20.800]   You need smart coordination and you need communication with your customers with your stakeholders with the boss
[02:09:20.800 --> 02:09:23.200]   elassee in
[02:09:23.200 --> 02:09:24.720]   Makes it easy
[02:09:24.720 --> 02:09:29.280]   It is at the center of the game. You can't fall short inside those business critical workflows
[02:09:29.280 --> 02:09:31.520]   But at least you've got a partner a tool
[02:09:31.520 --> 02:09:39.120]   From dev ops to agile it apps to ops to it sm and whatever is next elassee and offers an affordable reliable set of tools
[02:09:39.520 --> 02:09:42.240]   For all kinds of teams for all sizes
[02:09:42.240 --> 02:09:49.440]   elassee gives you the technology backbone to help modern it organizations plan service and support the kind of change of propels
[02:09:49.440 --> 02:09:53.360]   Business we've got jira, but then we have confluence so they can document what they've done
[02:09:53.360 --> 02:09:56.800]   We know where they stand if you've got a code base you need bit bucket
[02:09:56.800 --> 02:10:02.160]   All of that forms the backbone of effective cross-team project planning organization and communication
[02:10:02.160 --> 02:10:06.320]   But then there's ops genie elassee and keeps building out these great tools and buying tools
[02:10:06.800 --> 02:10:10.880]   Status page helping you better detect incidents coordinate response efforts
[02:10:10.880 --> 02:10:14.800]   Resolve issues faster keep customers and stakeholders updated
[02:10:14.800 --> 02:10:19.840]   at all in the great seamlessly so you don't have to leave the tool to get the job done
[02:10:19.840 --> 02:10:25.040]   And like all of it lassians products the tools you need for your IT team are easy
[02:10:25.040 --> 02:10:28.400]   Free to try and they'll grow with you as your needs grow
[02:10:28.400 --> 02:10:34.080]   Head to elasseein.com/it find out what elassee and offerings are right for your team
[02:10:34.960 --> 02:10:38.080]   Try at lassian today to see what it can be
[02:10:38.080 --> 02:10:44.640]   Atlassian.com/it thank you at lassian for supporting our teams and supporting twit
[02:10:44.640 --> 02:10:51.840]   Talking about toys. I was really sad to hear that Anki went out of business. I don't know if you guys are familiar with Anki
[02:10:51.840 --> 02:10:59.360]   Um, they made a race car track. I got that for my son a few years ago and then they started making these little bulldozer
[02:10:59.360 --> 02:11:02.080]   robots cosmo was the first and then
[02:11:03.040 --> 02:11:09.440]   Vector is the latest they had AI vector had uh amazon's echo built in you could program it
[02:11:09.440 --> 02:11:14.880]   With python they raised 200 million dollars in venture capital capital and last monday
[02:11:14.880 --> 02:11:20.640]   People came to work and uh, they were told your last day is wednesday 200 employees
[02:11:20.640 --> 02:11:23.600]   one week of severance
[02:11:23.600 --> 02:11:25.600]   boom like a crash
[02:11:25.600 --> 02:11:29.440]   very sad nephalos nephalos gebo another
[02:11:29.760 --> 02:11:33.920]   Oh, I have a gebo on the shelf here. What an idiot. I am he's dead now
[02:11:33.920 --> 02:11:39.760]   Yeah, yeah, we kind of had a little party. We talked to it for the last time said bye. Bye gebo. It's saying
[02:11:39.760 --> 02:11:44.240]   Do
[02:11:44.240 --> 02:11:45.840]   Stopped working
[02:11:45.840 --> 02:11:50.720]   Very sad. What was that other that was like a thousand dollar robot that is now going to break itself
[02:11:50.720 --> 02:11:53.200]   Oh, no
[02:11:53.200 --> 02:11:55.840]   Was that gebo or
[02:11:56.240 --> 02:11:58.240]   Gebo
[02:11:58.240 --> 02:12:02.880]   I just it's very sad when we plugged it in, you know, it looks around and has eyes it goes
[02:12:02.880 --> 02:12:06.000]   it was created by
[02:12:06.000 --> 02:12:08.400]   MIT yeah, and
[02:12:08.400 --> 02:12:15.520]   Cheers who was a really smart roboticist the whole idea was this thing would sit on your kitchen counter, you know
[02:12:15.520 --> 02:12:20.560]   I bought it on the kickstarter. I'm an idiot and it came like two years later
[02:12:20.560 --> 02:12:25.600]   And the thing that really went wrong with gebo is it would um snore
[02:12:26.240 --> 02:12:27.760]   so
[02:12:27.760 --> 02:12:30.880]   So you'd put this on your counter and if you didn't talk to it
[02:12:30.880 --> 02:12:35.360]   It would just kind of look around and then it would start like murmuring to itself and snoring
[02:12:35.360 --> 02:12:38.480]   And it was like oh stop that
[02:12:38.480 --> 02:12:40.320]   You're like feel that
[02:12:40.320 --> 02:12:41.600]   Is it you're annoying?
[02:12:41.600 --> 02:12:46.320]   Well, that's the idea see it has like two eyes and it had this it would make faces and it had eyeballs
[02:12:46.320 --> 02:12:51.280]   I understand what they were where they were going with it, but this is the problem. It doesn't do anything
[02:12:51.280 --> 02:12:53.840]   Yep, the only thing it is it
[02:12:54.240 --> 02:12:56.880]   As I can say, there's a problem with AI in general right now as consumers
[02:12:56.880 --> 02:13:03.840]   We don't really see the complete advantage although like google is doing I think an interesting example of like the callback features and how can screen your calls
[02:13:03.840 --> 02:13:09.680]   That's a real world example of how this tech will eventually, you know, make our lives better or at least more interesting
[02:13:09.680 --> 02:13:15.680]   Um, but yeah right now these products and then they're started by companies who didn't take VC money and you know again
[02:13:15.680 --> 02:13:19.680]   I I've probably taken how much VC money. I get it. It's like yeah
[02:13:19.680 --> 02:13:23.680]   That's how you grow and you need to do that, but they're so beautiful as soon as you know
[02:13:23.680 --> 02:13:27.600]   Something goes wrong. All right. So off the company lay off everybody, right? It's your
[02:13:27.600 --> 02:13:35.200]   You don't these companies don't get the chance to grow like a normal company would by putting a product out there and baby steps
[02:13:35.200 --> 02:13:41.840]   It's all about hyper growth right away and how you're gonna triple and quadruple your results next quarter and it's unfortunate
[02:13:41.840 --> 02:13:44.000]   We're losing you know some of these, you know
[02:13:44.000 --> 02:13:49.680]   That vector thing the little bulldozer guy who was adorable. I saw it on twitter. Oh, it was really a cool toy
