;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[02:05:41.880 --> 02:05:45.240]   Right and I'm sure you guys saw on twitter
[02:05:46.200 --> 02:05:53.160]   Really rare shift amazon was publicly railing against um center warren and uh
[02:05:53.160 --> 02:05:55.800]   Yeah, they're scared. They're scared
[02:05:55.800 --> 02:05:59.160]   Right, so I don't know if they're scared or
[02:05:59.160 --> 02:06:03.000]   I'm not sure. I don't know what was happening on the comms like at the comms team on that day
[02:06:03.000 --> 02:06:08.440]   But the the incendiary tweets I think started on friday. Yeah, that can't help that really cannot help
[02:06:08.440 --> 02:06:14.760]   We're pretty and they're continuing. They're pretty they're they're pretty intense for amazon, which is historically
[02:06:15.000 --> 02:06:20.120]   Yeah, that's according to recode. It was because jeff bezos was pissed. He was pushing the comms team
[02:06:20.120 --> 02:06:23.160]   So
[02:06:23.160 --> 02:06:25.640]   I don't know we we used to have something in this country
[02:06:25.640 --> 02:06:29.480]   which a lot of twit listeners know about because we
[02:06:29.480 --> 02:06:30.840]   um
[02:06:30.840 --> 02:06:34.440]   Talk about this a little bit, but it's it was called the office of technology assessment and
[02:06:34.440 --> 02:06:37.880]   the job of that group was to inform
[02:06:37.880 --> 02:06:39.560]   um the
[02:06:39.560 --> 02:06:41.000]   legislative branch
[02:06:41.000 --> 02:06:46.680]   Uh before they came up with policy and voted and everything else to help them understand basic science and tech
[02:06:46.680 --> 02:06:49.400]   Um, and it was a non partisan
[02:06:49.400 --> 02:06:56.040]   Research group that that got defunded in the 90s. We don't really have a replacement. There's a federal foresight community
[02:06:56.040 --> 02:06:59.800]   There's a couple of pockets of activity here and there. There are a lot of external
[02:06:59.800 --> 02:07:03.000]   thinkings who some of whom do a pretty good job, but
[02:07:03.000 --> 02:07:06.120]   ultimately
[02:07:06.120 --> 02:07:07.320]   uh
[02:07:07.320 --> 02:07:08.200]   if
[02:07:08.200 --> 02:07:10.200]   we have we have a vacuum and so
[02:07:10.200 --> 02:07:16.520]   You know, it's fun to make fun of our legislators not asking questions that make any sense
[02:07:16.520 --> 02:07:20.520]   Yes, it's political theater. Yes, but the problems don't go away
[02:07:20.520 --> 02:07:23.160]   and so
[02:07:23.160 --> 02:07:28.280]   The you know in the meantime, we've got a geopolitical foe on the other side of the world that's pressing at china
[02:07:28.280 --> 02:07:33.240]   That is pressing ahead and has dominant showing it's that that it is a
[02:07:33.240 --> 02:07:35.960]   militaristic economic and and
[02:07:36.600 --> 02:07:41.400]   Technological pacing threat. So so we we got to get our acts together over here
[02:07:41.400 --> 02:07:44.680]   the tweet from uh, dave clark
[02:07:44.680 --> 02:07:50.120]   who uh is uh ceo at amazon's uh consumer
[02:07:50.120 --> 02:07:52.040]   division
[02:07:52.040 --> 02:07:57.240]   There's a little actually a sub tweet against bernie sanner's a welcome senator sanner's deburming ham
[02:07:57.240 --> 02:08:01.160]   Because of course, uh alabama's where there's the unionization push
[02:08:01.160 --> 02:08:04.120]   And appreciate his push for a progressive workplace
[02:08:04.440 --> 02:08:13.000]   I often say we're the bernie sanner's of employers, but that's not quite right because we actually deliver a progressive workplace now
[02:08:13.000 --> 02:08:20.040]   Uh, 15 dollar minimum wage health care from day one career progression and a safe and inclusive work environment
[02:08:20.040 --> 02:08:22.760]   So if you want to hear about 15 dollars an hour in health care
[02:08:22.760 --> 02:08:24.920]   Senator sanner's will be speaking downtown
[02:08:24.920 --> 02:08:30.360]   But if you would like to make at least 15 dollars an hour and have good health care amazon is hiring
[02:08:31.160 --> 02:08:35.800]   It's a little provocative, but it's providing a factually though. They're not incorrect. Yeah
[02:08:35.800 --> 02:08:38.200]   um, so at bed good point
[02:08:38.200 --> 02:08:39.880]   the fact that
[02:08:39.880 --> 02:08:45.880]   Amazon employees and amazon comms is now doing this in a public form in this particular public form
[02:08:45.880 --> 02:08:47.880]   They're not doing this in the washington post
[02:08:47.880 --> 02:08:51.800]   Right doing this on twitter. Well, I think is it is assigned tells you something doesn't it?
[02:08:51.800 --> 02:08:53.000]   Yeah
[02:08:53.000 --> 02:08:56.440]   Bezos has been known to write up editorial or two. I'm sure that
[02:08:56.440 --> 02:08:59.160]   That may also happen
[02:08:59.720 --> 02:09:06.440]   Uh, you don't really believe the peeing and bottles thing do you the official amazon news account tweeted if that were true
[02:09:06.440 --> 02:09:08.520]   Nobody would work for us
[02:09:08.520 --> 02:09:11.640]   Okay
[02:09:11.640 --> 02:09:19.800]   Okay, uh a little back and forth with Elizabeth Warren that began with her criticizing the company's tax payments very low
[02:09:19.800 --> 02:09:23.400]   Uh the amazon news account
[02:09:23.400 --> 02:09:26.200]   Quote tweeted Warren with this message
[02:09:28.200 --> 02:09:32.200]   This is she she says I don't write the loopholes you exploit amazon
[02:09:32.200 --> 02:09:37.320]   Your armies of lawyers and lobbyists did admittedly they did get it passed through the senate
[02:09:37.320 --> 02:09:40.360]   um and then uh
[02:09:40.360 --> 02:09:47.400]   That was in response to you make the tax laws. We just follow them from amazon, which is also a good point
[02:09:47.400 --> 02:09:52.840]   Um, I'm just surprised that bad pr for them. I think this might be good pier
[02:09:52.840 --> 02:09:57.240]   Given the state of the nation. I think there might be people rooting for them after this
[02:09:58.200 --> 02:10:01.640]   I don't know all of this smacks of when I see these types of
[02:10:01.640 --> 02:10:10.200]   Important debates taking at taking place and not you know small number of characters on a public platform like this
[02:10:10.200 --> 02:10:12.920]   It smacks a little bit of like
[02:10:12.920 --> 02:10:18.920]   People complaining about customer service on twitter because they can't get ahold of people in any in any any other way
[02:10:18.920 --> 02:10:22.360]   No, that's the only good reason to have a twitter account these days is so you can
[02:10:22.360 --> 02:10:25.480]   Because i don't know what companies pay attention to twitter
[02:10:27.000 --> 02:10:32.440]   Uh, and by the way, I think warren took the bait and fell for it because she tweeted
[02:10:32.440 --> 02:10:38.920]   She was going to fight to break up big tech so you're not powerful enough to heckle. Uh senators was not eat tweets
[02:10:38.920 --> 02:10:41.240]   Oops
[02:10:41.240 --> 02:10:44.360]   She uh, by the way, nothing good ever came
[02:10:44.360 --> 02:10:47.320]   from a twitter fight
[02:10:47.320 --> 02:10:50.840]   Take it from me stay stay out of the twitter fights
[02:10:50.840 --> 02:10:53.400]   senator warren now knows
[02:10:53.400 --> 02:10:55.960]   It's just a no win situation. Wow
[02:10:56.840 --> 02:10:59.560]   I think amazon wins that exchange. I hate to say it
[02:10:59.560 --> 02:11:06.760]   I don't know. I think I think I think we all lose because everybody forgets right in five minutes
[02:11:06.760 --> 02:11:08.440]   Right. Honestly, I
[02:11:08.440 --> 02:11:10.440]   This is as much as people
[02:11:10.440 --> 02:11:13.560]   Will we'll talk about whether they like or hate club house?
[02:11:13.560 --> 02:11:21.000]   The one thing I do like is this is an actual audio like conversation between that is multiple people not recorded and played back later
[02:11:21.000 --> 02:11:26.040]   Well, that's true, but you know also twitter has been experimenting with this functionality as well
[02:11:26.120 --> 02:11:28.280]   Like I've seen it. I don't know if you all have taken place
[02:11:28.280 --> 02:11:29.960]   Yeah, it's it's basically a clubhouse room
[02:11:29.960 --> 02:11:35.560]   But like that would be fascinating like forget that like to your point Leo like these in a small amount of very few characters
[02:11:35.560 --> 02:11:41.560]   Like a lot gets lost and it comes off weird. Let's have a real dialogue about this stuff. Yeah, maybe that's a solution
[02:11:41.560 --> 02:11:43.160]   I don't know
[02:11:43.160 --> 02:11:46.600]   I don't think it's feasible though because you know that all of these
[02:11:46.600 --> 02:11:53.720]   Tweets are being lawyered in advance. I mean, they know of course. Yeah, it's all calm. It's like it's hard to lawyer in advance. You're right
[02:11:54.600 --> 02:11:56.760]   They're not gonna want to they're not gonna want to do that
[02:11:56.760 --> 02:11:58.840]   Yeah
[02:11:58.840 --> 02:12:05.000]   I the only thing that really upset me about the hearing was Mark Zuckerberg's willingness to throw the entire tech industry under the bus
[02:12:05.000 --> 02:12:12.040]   Saying oh, yeah, here's what you do you you only make section 230 protections for
[02:12:12.040 --> 02:12:18.920]   For companies based on their ability to meet best practices to fight the spread of bad content in other words
[02:12:18.920 --> 02:12:22.040]   We can do it
[02:12:22.040 --> 02:12:25.480]   And you shouldn't give section 230 protection to somebody like Leo
[02:12:25.480 --> 02:12:31.640]   Because you know he doesn't meet best practices to fight the spread of content
[02:12:31.640 --> 02:12:35.640]   Um, I think that that is a complete and utter
[02:12:35.640 --> 02:12:41.960]   How can I say this politely it's disappointing it's disappointing
[02:12:41.960 --> 02:12:45.960]   Right, however consider the context so we have
[02:12:45.960 --> 02:12:48.680]   some of the people implicated
[02:12:48.680 --> 02:12:49.560]   um
[02:12:49.560 --> 02:12:54.760]   I recognize that we have listeners that cross a wide spectrum of political views. Yes
[02:12:54.760 --> 02:13:00.520]   So and I I am politically independent. However, we have people who are
[02:13:00.520 --> 02:13:04.200]   launching networks, um that have historically spread
[02:13:04.200 --> 02:13:07.080]   Lies misinformation. So
[02:13:07.080 --> 02:13:13.320]   Given that context there are definitely going to be people listening to it who had listened to that saying
[02:13:13.320 --> 02:13:19.400]   You know, I don't think we want to exacerbate the current problems that we have right with somebody starting a new
[02:13:19.720 --> 02:13:21.960]   Should that should that platform?
[02:13:21.960 --> 02:13:26.040]   Uh, you know enjoy the same protections as we do. So I think he's
[02:13:26.040 --> 02:13:31.000]   I think about myself and I have a chat room. I we have comments on a forum
[02:13:31.000 --> 02:13:36.040]   Uh, we have uh a twitter clone called mastodon twit.social
[02:13:36.040 --> 02:13:39.320]   And none of those would be up if I didn't have section 230
[02:13:39.320 --> 02:13:42.280]   protection against against liability for
[02:13:42.280 --> 02:13:45.080]   um, you know, uh
[02:13:45.080 --> 02:13:47.320]   libel and so
[02:13:47.320 --> 02:13:53.400]   Or slander or misrepresentation. I can't moderate those in any reasonable way mark zucker bird can it's
[02:13:53.400 --> 02:13:57.720]   Facebook has the wherewithal to do that and to follow best practices
[02:13:57.720 --> 02:14:03.480]   So it's not going to hurt him if they modify section 230, but it's pulling up the ladder for everybody else
[02:14:03.480 --> 02:14:08.680]   It's saying yeah, I made it, but uh, what we don't want is any competition
[02:14:08.680 --> 02:14:13.160]   I don't know. It's you know what? I don't want to see section 230 changed
[02:14:13.880 --> 02:14:16.680]   I've yet to see a good proposal for how you would change it
[02:14:16.680 --> 02:14:24.360]   Um in any reasonable way without hermit hurting the dialogue on the internet and yet I do acknowledge
[02:14:24.360 --> 02:14:27.560]   As I you know, this is we've got a problem
[02:14:27.560 --> 02:14:33.880]   I don't know if you know it's kind of a question a weird question in the weeds that maybe kevin knows the answer to I don't know
[02:14:33.880 --> 02:14:36.520]   So like, you know solid right?
[02:14:36.520 --> 02:14:39.080]   the the new district
[02:14:39.080 --> 02:14:42.200]   This is uh, tim burners lee's yeah proposal for
[02:14:42.840 --> 02:14:50.680]   Uh, you can you own your data and you control it, but you can let it out in some reasonable way. Oh, okay. Yeah. Yeah
[02:14:50.680 --> 02:14:53.080]   Well, here's a question
[02:14:53.080 --> 02:14:57.800]   if you if you've got a new platform that has totally different architecture that's
[02:14:57.800 --> 02:15:03.400]   Are you are you grandfathered in with section 230 apply or
[02:15:03.400 --> 02:15:11.160]   Project nastodon project maelstrom remember project maelstrom that that was that um that was another distributed
[02:15:12.440 --> 02:15:16.920]   Computing project. Um, it was similar. It's a bit torrent. Yeah. Yeah. Yeah
[02:15:16.920 --> 02:15:21.560]   Kind of similar idea that would have been impossible to shut down any yeah website
[02:15:21.560 --> 02:15:28.200]   I just when you're talking about fundamentally different architecture. I don't know. I wonder if these is that what ipf is though. That's uh
[02:15:28.200 --> 02:15:33.560]   A standard and it's out there and that's the whole idea. It's a distributed internet
[02:15:33.560 --> 02:15:39.240]   And not so I wonder that's the whole that's it's coming right like they're you're not gonna be able to stop these brave already
[02:15:39.800 --> 02:15:44.920]   Yeah, yeah brave supports it at the at the default install level
[02:15:44.920 --> 02:15:49.320]   Um, it's just a matter of time. Sadly. I don't even know how you shut that down
[02:15:49.320 --> 02:15:54.920]   I mean in some sense tours kind of that today, but but but you can find the original tour servers and shut them down
[02:15:54.920 --> 02:16:00.760]   Why do you think ipf is unfortunate what you is it? Empower? I just I can imagine
[02:16:00.760 --> 02:16:02.760]   Yeah, and all the I can imagine
[02:16:02.760 --> 02:16:07.480]   Yes, exactly. I can imagine there could be a social network for nazis and hate groups
[02:16:07.480 --> 02:16:12.680]   And they would just not be able to track or shut down the content because it is encrypted
[02:16:12.680 --> 02:16:17.640]   And you don't know where it's pulling the data from and so you can't shut down the entire network
[02:16:17.640 --> 02:16:20.920]   So it may be slow like I don't think it's gonna be performant
[02:16:20.920 --> 02:16:26.120]   But it will exist and it'll be a place where people show those ideas and they propagate and that's scary
[02:16:26.120 --> 02:16:33.400]   And that's what I was making me think of section 230 in a world in which you've got true like you've you've got that type of distributed network
[02:16:34.680 --> 02:16:39.000]   I don't even know but we've already kind of doesn't matter. Right? You've already said kevin and I agree with you
[02:16:39.000 --> 02:16:41.720]   There's no technological way to shut down nazis
[02:16:41.720 --> 02:16:48.040]   Right. Yeah, I mean so you could it's whack-a-mole right now, right? Yeah, what it is
[02:16:48.040 --> 02:16:51.080]   It's like anytime there's a major social network. They jump on it. They
[02:16:51.080 --> 02:16:55.960]   Try and crush them and there's there's gab and I mean these things are gonna happen
[02:16:55.960 --> 02:16:58.680]   Well, it's not the technology
[02:16:58.680 --> 02:17:01.720]   I mean obviously that enables it and it helps the idea of spread
[02:17:01.720 --> 02:17:05.480]   But the real question is not how do you kill which technology do you kill?
[02:17:05.480 --> 02:17:07.960]   The question is how do you kill an idea?
[02:17:07.960 --> 02:17:11.480]   That's the issue if it's out there. We have a different way
[02:17:11.480 --> 02:17:15.000]   I think it needs to be dealt with in a different way and I don't think
[02:17:15.000 --> 02:17:18.600]   Shutting people up is the way to deal with that. I think
[02:17:18.600 --> 02:17:22.200]   Right, but it also it's like how can you prevent
[02:17:22.200 --> 02:17:31.400]   The spread of that information in the recruiting process. How can you how can you delay the recruiting process? Yeah, it's definitely a problem. Yeah
[02:17:32.120 --> 02:17:34.600]   uh down clearly. I look at qanon. I mean
[02:17:34.600 --> 02:17:43.400]   The origin of story of qanon absolutely blows my mind. I cannot believe like there were there's so many legitimate
[02:17:43.400 --> 02:17:48.200]   like sounding much more legitimate sounding conspiracy theories, but like
[02:17:48.200 --> 02:17:51.320]   How did how did that origin story
[02:17:51.320 --> 02:17:54.200]   make it past
[02:17:54.200 --> 02:17:59.800]   people's better sensibilities? Yes, there's not even a basement in that pizza parlor
[02:18:00.680 --> 02:18:07.240]   No, I just so like the the fact that there are that many people that that this story has taken that much of a hold over so many
[02:18:07.240 --> 02:18:10.200]   People points to much bigger problems. I
[02:18:10.200 --> 02:18:17.080]   Know there is a question and I I'm not enough of a historian to have an answer. Maybe you guys are
[02:18:17.080 --> 02:18:20.200]   Is it worse now than ever?
[02:18:20.200 --> 02:18:28.520]   Certainly there are better ways to recruit. I mean Facebook and twitter and there are hundreds of ways to recruit so we know we can do that better
[02:18:29.240 --> 02:18:33.400]   But didn't people believe equally far fetched nonsense
[02:18:33.400 --> 02:18:36.840]   Forever isn't that the human condition?
[02:18:36.840 --> 02:18:45.880]   And it spreads well, uh even without facebook and twitter, uh, maybe right but on youtube it spreads really well
[02:18:45.880 --> 02:18:52.760]   Because you're basically an audience of one. Well, there's that issue of radicalization as well that youtube promotes this and pushes you into this
[02:18:52.760 --> 02:18:56.920]   And uh, and it's not just by the way. It's not just uh qanon or
[02:18:57.960 --> 02:19:02.920]   Or white supremacy. There's there's uh radical terrorism and a lot of areas
[02:19:02.920 --> 02:19:08.840]   And so if you if you support qanon, you may not support the fact that you know al-kaida also can use
[02:19:08.840 --> 02:19:11.480]   uh youtube to to uh
[02:19:11.480 --> 02:19:15.320]   Yeah, I mean we call them these youtube rabbit holes for a reason
[02:19:15.320 --> 02:19:20.840]   It's because we get a piece of confidence like oh, that's kind of interesting and then it just takes you a step further and step further
[02:19:20.840 --> 02:19:25.160]   And you know that's it applies to all different types of comments as if they designed it that way
[02:19:25.640 --> 02:19:31.080]   Yeah, uh, they didn't and but I I mean I always blame I always blame the uh the algorithm
[02:19:31.080 --> 02:19:37.960]   I always blame the recommendation engine and and I always I think algorithm is really the enemy on facebook and youtube
[02:19:37.960 --> 02:19:43.400]   Uh and to some degree twitter twitter is less algorithmic, but it's more than it used to be
[02:19:43.400 --> 02:19:47.960]   If we're all just chronological or they didn't recommend the next thing
[02:19:47.960 --> 02:19:54.920]   I don't know if it would be a business model the the business model. Well, there we go again. Great. Okay
[02:19:54.920 --> 02:19:59.960]   So in science there's a concept called dual use and it applies in technology as well meaning
[02:19:59.960 --> 02:20:07.080]   You've got some fundamental ground breaking shift in technology. Let's say an amount messenger RNA vaccine
[02:20:07.080 --> 02:20:13.080]   Um that has potential other use cases that are not beneficial or benevolent
[02:20:13.080 --> 02:20:14.680]   um
[02:20:14.680 --> 02:20:15.640]   So
[02:20:15.640 --> 02:20:18.920]   You can't make those go away. You have to again just it's this
[02:20:20.440 --> 02:20:25.400]   It's constantly thinking through next order impacts triangulating and making adjustments
[02:20:25.400 --> 02:20:31.640]   Right, but the but when you have a when you've got a publicly traded company and the fiduciary responsibilities
[02:20:31.640 --> 02:20:37.720]   You know youtube is going to have to invent a totally different business model or it's going to have to convince everybody to take
[02:20:37.720 --> 02:20:40.120]   You know that it's going to make less money
[02:20:40.120 --> 02:20:44.120]   Kevin are you uh, are you uh, do you what's your bit cloud price?
[02:20:45.640 --> 02:20:49.720]   I don't know what my big cloud price is. I don't I don't know. I had to go pull it up
[02:20:49.720 --> 02:20:56.120]   You are on you are you are I could buy you on big cloud, right? You could you could buy me. Yes
[02:20:56.120 --> 02:20:59.640]   And you could buy any twitter user I believe on on big cloud
[02:20:59.640 --> 02:21:04.040]   So this is another this is
[02:21:04.040 --> 02:21:09.640]   This isn't specifically to create a decentralized social network or is it?
[02:21:09.640 --> 02:21:15.160]   I mean it is that but I I think that honestly is the kind of worst piece of it
[02:21:15.240 --> 02:21:19.960]   Um, you know, yeah right now. I'm three thousand seven hundred sixty two dollars and sixty seven
[02:21:19.960 --> 02:21:22.760]   I'm gonna buy you it's either that or the mr
[02:21:22.760 --> 02:21:29.320]   Higher than elan musk really no el musk is the 84,000. How do I find out what i'm worth on big cloud?
[02:21:29.320 --> 02:21:34.280]   I'm doing a search for you right now. You got to tie in your account though. Maybe
[02:21:34.280 --> 02:21:39.560]   I've never tied it and I don't use twitter so I haven't tied it in okay. That's what it is and yeah
[02:21:39.560 --> 02:21:45.000]   And the last time I checked big cloud was not even like it was so slow that it was like it was
[02:21:45.640 --> 02:21:49.800]   DDoSed it was very it was hard to use a lot of people jump on and yeah and figure it out
[02:21:49.800 --> 02:21:56.760]   It's it's it is a very odd social experiment not not the decentralized social media piece of it
[02:21:56.760 --> 02:21:58.760]   But the idea that you can say
[02:21:58.760 --> 02:22:03.080]   That rather than buying a company. I believe that in individual
[02:22:03.080 --> 02:22:09.960]   There's value at the individual level and I want to own value in that and so everyone is their own currency at some point
[02:22:09.960 --> 02:22:12.280]   Um
[02:22:12.280 --> 02:22:18.360]   I don't know. I don't know how I feel about it, but there's something interesting that my carrington's been pushing it as a censorship resistant platform
[02:22:18.360 --> 02:22:22.200]   so
[02:22:22.200 --> 02:22:26.120]   My mic probably is very interested in finding a censorship resistant
[02:22:26.120 --> 02:22:28.520]   platform
[02:22:28.520 --> 02:22:30.520]   I just I am this whole thing
[02:22:30.520 --> 02:22:33.560]   It's a brave new world
[02:22:33.560 --> 02:22:35.880]   That's all I can say
[02:22:35.880 --> 02:22:39.080]   All right, I want to take a little break. We'll have uh
[02:22:39.800 --> 02:22:44.280]   We'll kind of wrap this up in just a bit as much as I don't want to but honestly
[02:22:44.280 --> 02:22:47.320]   I can't keep these guys for more than three or four hours. They really start to
[02:22:47.320 --> 02:22:50.840]   Get they'd have to pee in bottles. That's no good. It's true
[02:22:50.840 --> 02:22:53.720]   Somebody be tweeting about me next
[02:22:53.720 --> 02:22:57.560]   Our show today. I don't know if you noticed the clean air in our studio
[02:22:57.560 --> 02:23:01.800]   You probably didn't because you haven't nobody's been in here except me and john for a year
[02:23:01.800 --> 02:23:06.440]   But we do think it's pretty important to keep that air clean
[02:23:07.080 --> 02:23:12.440]   Uh, we are all spending a lot more times uh time indoors these days. I think we know by now
[02:23:12.440 --> 02:23:15.480]   A sick office, you know syndrome and
[02:23:15.480 --> 02:23:22.840]   Ventilation is very important keeping that air clean is important indoor air can be five times worse than outdoor air according to the EPA
[02:23:22.840 --> 02:23:26.680]   Molecule is reimagining the future of clean air
[02:23:26.680 --> 02:23:29.240]   The molecule is not
[02:23:29.240 --> 02:23:34.600]   Existing filtration technology. It's a scientific breakthrough in air purification called pico
[02:23:35.160 --> 02:23:38.200]   Or photo electrochemical oxidation
[02:23:38.200 --> 02:23:45.720]   And it's really actually it's really cool our molecule has a catalyst in it. We change it every I don't know three or four months
[02:23:45.720 --> 02:23:47.560]   that
[02:23:47.560 --> 02:23:49.560]   attracts and traps
[02:23:49.560 --> 02:23:52.600]   Harmful pollutants even very tiny
[02:23:52.600 --> 02:23:59.560]   Particles that would pass right through a filter like viruses and bacteria and mold it collects them
[02:23:59.560 --> 02:24:03.480]   And then it destroys them. It doesn't just trap them. It destroys them
[02:24:04.360 --> 02:24:06.280]   It's really very cool
[02:24:06.280 --> 02:24:12.440]   And there's a molecule right for every size room. There's the molecule air mini for smaller rooms up to 250 square feet
[02:24:12.440 --> 02:24:17.720]   The original molecule air that we bought at our house actually we have two now one for michael and one for lisa
[02:24:17.720 --> 02:24:24.920]   In both bedrooms and then we now have in our studio the molecule air pro for rooms up to a thousand square feet
[02:24:24.920 --> 02:24:30.600]   And if you are in a medical office or a dental office the molecule air pro rx
[02:24:31.080 --> 02:24:35.240]   For medical purposes to destroy bacteria and viruses in the air
[02:24:35.240 --> 02:24:44.040]   Clean indoor air now is more important than ever molecules pico technology meets the performance requirements and fda guidance
[02:24:44.040 --> 02:24:51.640]   For use in helping reduce the risk of exposure to covet 19 the stars covet two virus in health care settings
[02:24:51.640 --> 02:24:56.840]   Of course, you still don't wash your hands and wear your mask and get your vaccine folks
[02:24:56.920 --> 02:25:03.560]   But it's a nice it's important preventative extra layer of virus protection. We know that we know now ventilation
[02:25:03.560 --> 02:25:06.280]   air purification absolutely critical
[02:25:06.280 --> 02:25:12.760]   Molecules technology and filtration systems have been tested and verified by independent party third party labs
[02:25:12.760 --> 02:25:19.960]   In fact, if you're at all skeptical, I highly recommend you go to the website molecule with a k m o l e k u l e
[02:25:19.960 --> 02:25:22.520]   Dot com
[02:25:22.520 --> 02:25:24.520]   You can see customer reviews there
[02:25:24.760 --> 02:25:27.800]   But you can also see the white papers the research
[02:25:27.800 --> 02:25:33.880]   Molecule now offers his breakthrough pico technology across a range of products for the home and beyond
[02:25:33.880 --> 02:25:38.520]   Pick the unit that's best for your space. You can put together a discounted bundle right now
[02:25:38.520 --> 02:25:45.480]   To save up to $120 on an air purifier go to molecule.com and enter the code twit 120 at checkout
[02:25:45.480 --> 02:25:52.280]   But read the research read the papers from some of the most respected labs in the world including our own
[02:25:53.320 --> 02:25:58.920]   Lawrence labs over here in bergley mo le k u le dot com we use it at home
[02:25:58.920 --> 02:26:04.040]   Because uh, it's very important breathe clean air. I'm a believer
[02:26:04.040 --> 02:26:09.720]   Molecule dot com and the offer code twit 120 don't forget to use that so they know you saw it
[02:26:09.720 --> 02:26:16.520]   Here before we go on. Let me just quickly uh show you a little oh, i'm so excited about this little short movie
[02:26:16.520 --> 02:26:20.600]   We made all about everything that happened this week on twit
[02:26:20.920 --> 02:26:24.440]   Uh, do you know who ryan caji is if you have little kids you do
[02:26:24.440 --> 02:26:30.040]   Probably the most successful youtube creator of all 29 million subscribers
[02:26:30.040 --> 02:26:37.560]   This is from bloomberg business week. There are six-year-olds on youtube who draw larger daily audiences than tucker karleson
[02:26:37.560 --> 02:26:39.800]   That makes me hairy
[02:26:39.800 --> 02:26:42.440]   Previously on twit
[02:26:42.440 --> 02:26:47.240]   Smart tech today, but now we've got somebody who knows a thing or two
[02:26:47.560 --> 02:26:53.880]   They are a member of the thread group and the zigby alliance as well as brand manager for eve
[02:26:53.880 --> 02:26:55.720]   It's tim
[02:26:55.720 --> 02:26:56.520]   hoop
[02:26:56.520 --> 02:26:58.360]   hands-on photography
[02:26:58.360 --> 02:27:01.400]   The key thing is to focus on a single lens
[02:27:01.400 --> 02:27:04.280]   A primal meaning not a zoom lens
[02:27:04.280 --> 02:27:08.280]   Soon as you take that pet literal first step something in your brain flips and you go
[02:27:08.280 --> 02:27:11.320]   Oh, well now that i've moved forward, maybe I should also
[02:27:11.320 --> 02:27:16.760]   Prouch down a little bit and you will get better and better at your photography because your respect use
[02:27:17.240 --> 02:27:18.680]   tech news weekly
[02:27:18.680 --> 02:27:24.920]   There have been ongoing stories for quite a while about amazon working workers to a point where
[02:27:24.920 --> 02:27:27.480]   Uh the the people who are doing the deliveries
[02:27:27.480 --> 02:27:33.480]   They don't have time to like go off the beaten path and find a restaurant the amazon news responded
[02:27:33.480 --> 02:27:37.800]   You don't really believe the peen and bottles thing. Do you if that were true?
[02:27:37.800 --> 02:27:42.840]   Nobody would work for us vice got in touch with uh some different
[02:27:43.480 --> 02:27:46.680]   delivery drivers who work for amazon and showed
[02:27:46.680 --> 02:27:52.600]   Bottles with your an indum that these amazon delivery drivers have used to
[02:27:52.600 --> 02:27:59.400]   Uh do their the restroom breaks to it. It keeps going and going and going
[02:27:59.400 --> 02:28:05.480]   Uh boy, it's I could it's telling the charams that don't ever let this show end, but I think maybe
[02:28:05.480 --> 02:28:08.680]   Amy and kevin might
[02:28:08.680 --> 02:28:12.360]   rebel if I never let this show and
[02:28:12.920 --> 02:28:14.120]   Um
[02:28:14.120 --> 02:28:21.400]   You sang that song sticks right don't let it don't let it end you are betraying your 1980s heritage right there
[02:28:21.400 --> 02:28:25.000]   Uh, new york has launched a vaccine passport
[02:28:25.000 --> 02:28:29.640]   Uh that you can pull up a code on your cell phone
[02:28:29.640 --> 02:28:33.800]   Or print out to prove you've been vaccinated. I have the little cdc card
[02:28:33.800 --> 02:28:37.160]   Yeah, that's totally not reproducible in anyway
[02:28:37.160 --> 02:28:38.840]   Yeah, in fact
[02:28:38.840 --> 02:28:43.160]   The the word has gone out do not put it on instagram because people will just copy it
[02:28:43.160 --> 02:28:45.000]   so
[02:28:45.000 --> 02:28:47.000]   So I laminated mine
[02:28:47.000 --> 02:28:52.280]   Well, then that's a question you can go. I was at office depot no staples offers free lamination
[02:28:52.280 --> 02:28:58.120]   So I thought i'll go down. I'll get the free donut from christmie cream go over his staples get the free lamination
[02:28:58.120 --> 02:29:02.680]   But then don't they need to write on it? Amy don't they isn't there first of all?
[02:29:02.680 --> 02:29:05.880]   What is this free donut you're talking about? Oh, you didn't know about that
[02:29:06.760 --> 02:29:09.080]   Best there are no free donuts where i'm at. What is this free?
[02:29:09.080 --> 02:29:12.040]   Krispy cream best promotion ever
[02:29:12.040 --> 02:29:15.560]   You go in you show them the card they give you a donut
[02:29:15.560 --> 02:29:21.560]   Huh is that like a one time? I don't really live every day for the rest of the year you can go back tomorrow
[02:29:21.560 --> 02:29:25.880]   You can go back for real. Yeah, do you really want to eat that many christmie cream donuts?
[02:29:25.880 --> 02:29:32.600]   I think christmie creams whatever. I think christmie cream donuts are super gross. I like the uh, they're like way too sweet and uh
