;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[01:44:56.680 --> 01:44:59.880]   But it's not going to be able to do any of the differentiated writing
[01:44:59.880 --> 01:45:03.720]   So for the writers that are on staff if you can't do better than the
[01:45:03.720 --> 01:45:09.400]   Undifferentiated AI there are bigger questions you need to be asking besides the eyes ability to take your work
[01:45:09.400 --> 01:45:15.560]   It's it takes away the the grunt work articles the the listicles the the things that really know
[01:45:16.120 --> 01:45:19.720]   You know, this is what cnets said when Connie gili. I almost said when she was on our show
[01:45:19.720 --> 01:45:26.440]   Uh, is that nobody wants to write those articles and those are those that's the grunt work and it can do those just
[01:45:26.440 --> 01:45:33.240]   Not that and that's the perfect representation of where it should or it could work well is the idea that
[01:45:33.240 --> 01:45:39.880]   The grunt work the repetitive stuff the stuff you don't really want to do but potentially does need to get done
[01:45:39.880 --> 01:45:45.320]   It does that for you and then you have more time to actually write differentiated content because again
[01:45:45.800 --> 01:45:47.800]   Remember generative AI
[01:45:47.800 --> 01:45:50.440]   Everything is about taking what's already out there
[01:45:50.440 --> 01:45:57.000]   So if you're writing something completely original if you're you should you know, you will not be replaced
[01:45:57.000 --> 01:45:59.000]   so I i'm still
[01:45:59.000 --> 01:46:02.760]   Bullish on the idea that it can do the grunt work
[01:46:02.760 --> 01:46:05.560]   But I actually think the bigger implication for the media businesses
[01:46:05.560 --> 01:46:08.440]   When everyone can write that repetitive?
[01:46:09.000 --> 01:46:17.240]   Listicle article in near instantaneous real time like that actually changes the economics of how those businesses worked before
[01:46:17.240 --> 01:46:23.400]   And again, like it's writing an seo friendly listicle might have brought in some ad dollars in the past
[01:46:23.400 --> 01:46:28.440]   But if anyone can throw up a media site and get that traffic and create that same article
[01:46:28.440 --> 01:46:32.440]   I think that it does pose a bigger challenge to media companies
[01:46:32.440 --> 01:46:37.080]   Do you think that the writers guild and the actors
[01:46:38.360 --> 01:46:44.040]   Struck at the wrong moment that they could that this is the moment the studios are going to step up and say good
[01:46:44.040 --> 01:46:46.680]   We guess when we got to a tip replace you
[01:46:46.680 --> 01:46:49.480]   AI
[01:46:49.480 --> 01:46:51.480]   Or or is it not there yet?
[01:46:51.480 --> 01:46:55.000]   I think it's not there in almost all use cases
[01:46:55.000 --> 01:46:56.920]   So this would be like the last large
[01:46:56.920 --> 01:47:01.640]   This would be the last time the last moment that are the writers and sak could go on strike is
[01:47:01.640 --> 01:47:04.200]   We better do it now because in a few years
[01:47:04.200 --> 01:47:07.320]   We're our livelihoods will be threatened
[01:47:07.960 --> 01:47:09.160]   Yes, that's the other side of it
[01:47:09.160 --> 01:47:13.000]   So like it's not going to take away like any actors jobs right now
[01:47:13.000 --> 01:47:18.760]   But there are some like yeah precedent setting moments where they can really have a make a difference here. So for instance
[01:47:18.760 --> 01:47:25.000]   There uh, there's a line in this proposed contract that allows background performers
[01:47:25.000 --> 01:47:27.720]   So not like you know the tom cruises of the world
[01:47:27.720 --> 01:47:33.880]   But like the folks who are in the background of extras of a show yeah extras or even maybe someone with like one line
[01:47:33.880 --> 01:47:36.920]   I don't fully know what the definition is but something in in that realm
[01:47:37.640 --> 01:47:41.160]   They can get like scanned and processed and like then
[01:47:41.160 --> 01:47:46.600]   Get paid a one-time fee and the studios can use their likeness for in perpetuity if they'd like so
[01:47:46.600 --> 01:47:51.000]   You know, I think that that is you know one place where this you know, you could start to have your fight
[01:47:51.000 --> 01:47:54.120]   But then again like we've also had CGI extras
[01:47:54.120 --> 01:47:57.880]   you know for a long time now, so
[01:47:57.880 --> 01:48:04.680]   Uh, it seems to me like this is really about some other stuff and they're using this as like a rallying cry for their members
[01:48:04.760 --> 01:48:07.800]   and and you know by all means go ahead and do it but
[01:48:07.800 --> 01:48:12.440]   like I don't think that we're going to be in a position where we're going to have
[01:48:12.440 --> 01:48:16.680]   Uh AI actors start to create leading entertainment
[01:48:16.680 --> 01:48:19.880]   And again, if you're an actor and you can't do better than an AI
[01:48:19.880 --> 01:48:24.280]   Uh, then it's time to ask some bigger questions than whether an AI can replace you
[01:48:24.280 --> 01:48:27.160]   Yeah, and I think
[01:48:27.160 --> 01:48:34.520]   Using AI is kind of the like central theme or talking point from like the pr side of the entire strike has been smart
[01:48:35.000 --> 01:48:41.640]   I think like it makes it much more targeted rather than an entire business model is broken and talking about
[01:48:41.640 --> 01:48:49.240]   The earnings of disney and like it was you know, losses on streaming services and the changing nature of a broken business model
[01:48:49.240 --> 01:48:55.800]   I think talking about they're gonna try to steal my the I mean when Alex says that line like I mean you're gonna remember it
[01:48:55.800 --> 01:49:02.360]   We all remember it the idea that they're gonna scan me and then use my likeness and perpetuity for a day's pay
[01:49:03.400 --> 01:49:10.600]   No one anywhere is gonna feel good about that. I actually can't believe they put that into a any kind of negotiation
[01:49:10.600 --> 01:49:15.880]   Because someone somewhere should have told someone to not do that but but I I think
[01:49:15.880 --> 01:49:25.880]   Still especially visual especially acting. I think we're we're a long ways away from anything being like severely affected by AI
[01:49:25.880 --> 01:49:31.800]   The Biden administration has announced well, you know
[01:49:32.680 --> 01:49:34.680]   for a long time the
[01:49:34.680 --> 01:49:41.560]   Knock on Silicon Valley was a startup would would ship the t-shirt and then start working on the project
[01:49:41.560 --> 01:49:45.800]   Uh the product the Biden administration has shipped the t-shirt
[01:49:45.800 --> 01:49:48.440]   Uh, there's a new cybersecurity
[01:49:48.440 --> 01:49:52.040]   label the cyber trust mark
[01:49:52.040 --> 01:49:54.840]   that would establish
[01:49:54.840 --> 01:49:58.520]   that uh some iot device you're about to buy has
[01:49:59.080 --> 01:50:01.080]   satisfied certain requirements
[01:50:01.080 --> 01:50:03.640]   from the cyber trust mark
[01:50:03.640 --> 01:50:10.280]   Program and has earned the cyber trust mark. Of course. We just don't know what those requirements are and they really haven't
[01:50:10.280 --> 01:50:14.040]   Haven't said yet. I think it's a great idea
[01:50:14.040 --> 01:50:22.840]   Uh, they're talking about privacy as well as a security one of the requirements would be that the iot device can be updated over the air
[01:50:22.840 --> 01:50:28.600]   Uh, so that you can I mean there are a lot of iot devices that have security flaws that cannot be patched
[01:50:28.920 --> 01:50:30.360]   these days
[01:50:30.360 --> 01:50:31.720]   for instance
[01:50:31.720 --> 01:50:37.240]   Uh, the side seem like uh, so I go ahead the cyber trust mark, uh will
[01:50:37.240 --> 01:50:45.560]   Bear with signify the devices bearing it meets security standards based on those established and report by the national institute of standard in technology
[01:50:45.560 --> 01:50:48.520]   Uh expected to be
[01:50:48.520 --> 01:50:52.280]   2024 labeled hitting devices
[01:50:52.280 --> 01:50:55.000]   soon thereafter. This is the
[01:50:55.000 --> 01:50:57.880]   these nists
[01:50:57.880 --> 01:51:01.960]   profile of the iart iot core baseline for consumer
[01:51:01.960 --> 01:51:07.800]   Iot products that they're talking about. I think this is a great idea
[01:51:07.800 --> 01:51:11.160]   Just you know, it's more than a year off at this point
[01:51:11.160 --> 01:51:15.480]   It also seems like something that was hatched by industry to
[01:51:15.480 --> 01:51:21.720]   Make the incumbent sell more refrigerators. It's calmed down. Well, that's what they did with the EPA
[01:51:22.280 --> 01:51:29.080]   Logo, right and when you buy a refrigerator nowadays, it's got a big EPA rating on it as to its energy efficiency
[01:51:29.080 --> 01:51:30.920]   But that's a good thing, right?
[01:51:30.920 --> 01:51:38.520]   I think it's a good thing. I just would say that this all these programs tend to be either a written by the industry players that will tend to benefit
[01:51:38.520 --> 01:51:45.720]   The most by them that's typically what happens right or be they they find a way to use these terms or use these labels
[01:51:45.720 --> 01:51:47.880]   to find find
[01:51:47.880 --> 01:51:54.760]   You know companies that don't necessarily meet all the all the standards or don't really fit the spirit of the program end up getting like the gold standard of them
[01:51:54.760 --> 01:51:57.800]   Like esg for instance has been one of these
[01:51:57.800 --> 01:52:03.880]   Type of labels that's actually been manipulated by industry incumbents. We're like you now have oil companies there
[01:52:03.880 --> 01:52:06.360]   You know their esg companies
[01:52:06.360 --> 01:52:11.160]   Um, you know because they find a way to wiggle into these into these terminology
[01:52:11.160 --> 01:52:13.240]   I just think that like putting this official
[01:52:13.560 --> 01:52:20.440]   Government stamp on it as opposed to having the companies try to market it themselves and like actually win on the merits is an issue
[01:52:20.440 --> 01:52:23.240]   Yes environmental what is environmental's?
[01:52:23.240 --> 01:52:33.640]   Social governance social governance three different things. So it's running a company in a responsible way basically environmentally and socially. Yes
[01:52:33.640 --> 01:52:39.160]   And having good governance and having good governance. Yes. I remember when I was a kid
[01:52:39.720 --> 01:52:46.440]   We went on a tour of a power plant the narrow Gansett power plant which was run on probably on coal back in the days
[01:52:46.440 --> 01:52:49.880]   And I mean I know it was because it had big scrubbers on the stacks it
[01:52:49.880 --> 01:52:53.720]   Every month would dump soot on my windowsill when they blew out the scrubbers
[01:52:53.720 --> 01:52:55.480]   um
[01:52:55.480 --> 01:52:57.640]   And it had um all over
[01:52:57.640 --> 01:53:02.280]   All over the plant and this is in the 60s. It had
[01:53:02.280 --> 01:53:03.880]   uh
[01:53:03.880 --> 01:53:09.640]   You know environmental slogans, you know, um, I can't remember what the slogan of the time was kind of
[01:53:09.720 --> 01:53:13.880]   Earth day period where you know, don't pollute be good, you know green
[01:53:13.880 --> 01:53:17.320]   I think green may be everywhere and I asked my teacher
[01:53:17.320 --> 01:53:21.560]   That's interesting because this is a coal fired power plant that's pumping soot onto my windowsill
[01:53:21.560 --> 01:53:23.960]   uh, what's the deal with the green he said
[01:53:23.960 --> 01:53:29.000]   If you post this everywhere and you post it enough people will become immune to it
[01:53:29.000 --> 01:53:31.080]   And then you won't have to worry about actually doing it
[01:53:31.080 --> 01:53:34.200]   Yeah
[01:53:34.200 --> 01:53:39.480]   Do you know who came up with the this one still always fascinates me who came up with the concept of a person
[01:53:39.800 --> 01:53:43.640]   Carbon footprint the idea that you need to think about your own emissions who?
[01:53:43.640 --> 01:53:46.840]   British petroleum
[01:53:46.840 --> 01:53:53.320]   Yeah, I think it's like too that it was a marketing campaign and it was uh, and it's one of those at like every time I worry
[01:53:53.320 --> 01:53:55.960]   I'm we're not the problem. You're the problem
[01:53:55.960 --> 01:53:58.840]   Think about your brilliant piece
[01:53:58.840 --> 01:54:03.000]   It's because the more complex you make it and the more difficult to
[01:54:03.000 --> 01:54:09.080]   Understand it's it's brilliant on their side, but but on the iot side. I okay
[01:54:09.880 --> 01:54:12.760]   As a someone do you use any smart home?
[01:54:12.760 --> 01:54:17.800]   I do I have a doorbell and I have every room has an echo and a
[01:54:17.800 --> 01:54:24.600]   Google and a syrian there and listening to every word I say and we have some huylights that kind of stuff
[01:54:24.600 --> 01:54:29.640]   Yeah, and and how easy or difficult was it to get that stuff murder?
[01:54:29.640 --> 01:54:32.600]   It's murder right?
[01:54:32.600 --> 01:54:37.960]   I have I obsess I'm a little obsessed with this stuff and bla and sickle up and down
[01:54:38.520 --> 01:54:44.440]   Every room and I switched over to the home pod and the entire kind of apple home kid infrastructure
[01:54:44.440 --> 01:54:48.680]   It's murdered and what's compatible with what is you never know?
[01:54:48.680 --> 01:54:53.880]   Have the stuff doesn't work or you have to like try to you know, even the setup is murder
[01:54:53.880 --> 01:54:59.160]   But this is one area where the whole entire iot industry with the matter protocol
[01:54:59.160 --> 01:55:07.400]   I think has been incredibly fascinating. It's been an actual standardization across all these different protocols that everyone has gotten on board
[01:55:07.880 --> 01:55:13.240]   Everyone apple amazon google that every device should start to all you know
[01:55:13.240 --> 01:55:18.440]   Hit this same protocol and actually be compatible and I think it's something where
[01:55:18.440 --> 01:55:26.120]   Thinking about it must have gotten to a point where they realize they will never be able to actually make scale this industry
[01:55:26.120 --> 01:55:29.080]   Because it's just too difficult to make anything work
[01:55:29.080 --> 01:55:31.160]   Um, so
[01:55:31.160 --> 01:55:35.880]   When they actually have their back against a wall and something is not working for consumers
[01:55:36.440 --> 01:55:40.840]   It was a reminder at least it's one hopeful moment that they will get together and uh
[01:55:40.840 --> 01:55:45.480]   And actually make something and good for the consumer kumbaya, baby
[01:55:45.480 --> 01:55:48.040]   Yeah, guys you just matter
[01:55:48.040 --> 01:55:50.040]   cynics you're just cynics that's
[01:55:50.040 --> 01:55:53.000]   But you're right. I believe it's anything cars. Yeah
[01:55:53.000 --> 01:55:59.000]   I think it's there's something like when this is a thing like, you know, I I think there's a lot
[01:55:59.000 --> 01:56:04.520]   There's there's worth the well-merited criticism and when we believe in something we're gonna talk about it
[01:56:04.600 --> 01:56:08.440]   So it's like it's supposed to being on the side on one
[01:56:08.440 --> 01:56:11.080]   Totally on the side of industry or totally on the side of the critics
[01:56:11.080 --> 01:56:12.760]   I think what's nice about
[01:56:12.760 --> 01:56:17.320]   Dynamic we have is like when something is great. We'll say it's great and when something sucks. We'll say it sucks
[01:56:17.320 --> 01:56:24.120]   Yeah, and uh and again my entire home is just outfitted with home pods as far as the I can see it works
[01:56:24.120 --> 01:56:26.520]   It works
[01:56:26.520 --> 01:56:31.480]   And then suddenly one thing will break and my wife will kill me because I have all these different scenes set for each
[01:56:32.200 --> 01:56:36.040]   Like turn it to kids bedtime and it doesn't work and so
[01:56:36.040 --> 01:56:38.760]   Kids are off time midnight
[01:56:38.760 --> 01:56:46.280]   Yeah, it works perfectly and then I feel good but but it will thanks to the matter protocol. Oh, that's hope we can but hope
[01:56:46.280 --> 01:56:53.960]   I have some hope in massachusetts. They're planning to ban the collection of cell phone location
[01:56:53.960 --> 01:56:56.920]   data
[01:56:56.920 --> 01:56:59.960]   This is something that frankly the congress should be doing
[01:57:00.760 --> 01:57:09.160]   Um, but there as uh carl bode writes in the techter the us has long been too corrupt to pass even a basic privacy law
[01:57:09.160 --> 01:57:11.640]   for the internet
[01:57:11.640 --> 01:57:18.360]   Most regulatory actions at agencies like the fcc are theatrical at best carl is another angry man
[01:57:18.360 --> 01:57:22.040]   And while the fdc has been taking specific action against some companies
[01:57:22.040 --> 01:57:26.600]   We're not doing in much in terms of an overarching solution for the broader problem
[01:57:26.600 --> 01:57:29.640]   Which means it's often as often the case is left to the states
[01:57:30.600 --> 01:57:34.360]   So massachusetts which is preparing to be the first state of the nation
[01:57:34.360 --> 01:57:40.120]   To ban the collection and monetization of user cell phone location
[01:57:40.120 --> 01:57:44.440]   Data it's not a law yet. It's called the location shield act
[01:57:44.440 --> 01:57:48.360]   massachusetts state legislature held a hearing last month
[01:57:48.360 --> 01:57:55.240]   On it a sweeping proposal that would sharply curtail the practice of collecting and selling location data
[01:57:55.720 --> 01:58:03.560]   Drawn from mobile phones in state it would all so institute a warrant requirement for law enforcement access to location data
[01:58:03.560 --> 01:58:05.880]   Did you know by the way they don't need a warrant?
[01:58:05.880 --> 01:58:08.200]   They just need a it's called a pen register and they can
[01:58:08.200 --> 01:58:11.240]   They're in fact that most of the cell phone companies have a portal
[01:58:11.240 --> 01:58:16.040]   With law enforcement for a couple of bucks can just log in and find out where you've been what you up to
[01:58:16.040 --> 01:58:23.160]   The bill would also ban data brokers from providing location information about state residents without quote authorization
[01:58:24.680 --> 01:58:28.680]   You know law enforcement does not like a bill like this. They like to be able to do this
[01:58:28.680 --> 01:58:35.800]   It's much easier for congress to say tiktok china bad get rid of them than to actually pass an effective
[01:58:35.800 --> 01:58:39.320]   privacy bill
[01:58:39.320 --> 01:58:41.320]   um
[01:58:41.320 --> 01:58:46.200]   According to carl and tiktert it's it seems likely that this will this will pass
[01:58:46.200 --> 01:58:52.360]   The bill is expected to be passed but carl says i wouldn't be shocked because he's acidic
[01:58:52.680 --> 01:58:59.240]   I wouldn't be shocked if it's dramatically weakened or modified before that happens law enforcement and industry definitely doesn't
[01:58:59.240 --> 01:59:01.800]   want massachusetts
[01:59:01.800 --> 01:59:09.400]   To break a to disrupt a very broken and very profitable status quo several decades in the making rates carl bodey
[01:59:09.400 --> 01:59:13.080]   But you all would be in favor of such a law, right?
[01:59:13.080 --> 01:59:20.040]   I like it for sure. I mean I think that like i'm often and especially with like you know phones apps
[01:59:20.120 --> 01:59:23.160]   You know you see what they collect and they obviously collect more than they need
[01:59:23.160 --> 01:59:28.520]   And so yeah, there's there should be some protections in terms of like, you know, why isn't this
[01:59:28.520 --> 01:59:33.480]   You know something universal where they cannot collect this stuff like it doesn't it's just no
[01:59:33.480 --> 01:59:38.680]   There's no reason to especially like on you know on the phone for instance like there are things that happen that should never happen
[01:59:38.680 --> 01:59:42.520]   And you know, it's like nice to see that massachusetts is taking the initiative here
[01:59:42.520 --> 01:59:47.240]   I don't know if it will actually spread. I mean it would be nice if it's spread, but I think that like here's a theory that
[01:59:48.360 --> 01:59:52.920]   When snowden came out with his revelations because these all have like they're all downstream of that
[01:59:52.920 --> 01:59:57.720]   People were initially like oh my god. What's happening and then
[01:59:57.720 --> 02:00:00.360]   You know they were kind of like all right whatever
[02:00:00.360 --> 02:00:04.840]   And the second that happened it was almost as if like it was difficult for
[02:00:04.840 --> 02:00:07.640]   For any of this privacy stuff to gain
[02:00:07.640 --> 02:00:14.040]   Momentum because it's like sort of like the biggest bombshells have already had already been revealed in the response smuted
[02:00:14.040 --> 02:00:17.560]   So, you know, we'll see you know little things like this and that's good
[02:00:18.040 --> 02:00:21.720]   um, but in terms of like having something like this be the law of the land
[02:00:21.720 --> 02:00:25.080]   A little more skeptical that that could actually happen
[02:00:25.080 --> 02:00:27.720]   Meanwhile be it go ahead
[02:00:27.720 --> 02:00:32.120]   I was going to say I I feel the regulation needs to be around
[02:00:32.120 --> 02:00:40.440]   The profit incentives and the profit motives behind this stuff because as as Alex said and we've seen repeatedly like from a consumer perspective
[02:00:40.440 --> 02:00:47.960]   It's terrifying at moments and then everyone forgets about it because it's so difficult to process exactly what's going on
[02:00:48.120 --> 02:00:51.320]   and try to like, you know see under the hood and the web of
[02:00:51.320 --> 02:00:57.880]   Adtech companies and data brokers and what's moving where it's like incomprehensible for the average person
[02:00:57.880 --> 02:01:01.400]   So you just forget about it and scroll your threads and
[02:01:01.400 --> 02:01:07.720]   Instagram feed or whatever else so so I think it's it it's up to regulators and
[02:01:07.720 --> 02:01:14.040]   policy makers to really focus on what who's making money and where and what's okay because again
[02:01:14.120 --> 02:01:20.280]   I think the I agree the law enforcement argument is almost guaranteed to derail this effort because
[02:01:20.280 --> 02:01:27.000]   You know you go out and you say obviously there's some number of people that are always going to be wary of that, but the safety
[02:01:27.000 --> 02:01:35.320]   Claim i'm sure will convince any uh enough people that they want this to be allowed for law enforcement to be able to track people
[02:01:35.320 --> 02:01:39.000]   So I think it's just a it has to live at the layer of
[02:01:39.000 --> 02:01:41.560]   Who's making money off of you?
[02:01:41.960 --> 02:01:45.480]   And your location at any point, which is still definitely a lot of people
[02:01:45.480 --> 02:01:52.360]   Yeah law enforcement is always going to say but we do so much of a better job when we know where everybody is what they're up to what they've
[02:01:52.360 --> 02:01:59.880]   Been doing so don't get in our way, but uh at least uh in this country. We've had a long standing belief that
[02:01:59.880 --> 02:02:01.800]   uh
[02:02:01.800 --> 02:02:04.200]   Perfect law enforcement is not necessary
[02:02:04.200 --> 02:02:10.680]   If it impinges on the freedom and liberty of the people if it's anti constitutional
[02:02:11.160 --> 02:02:16.840]   The senate is considering a bill a new bill the bipartisan cooper davis act
[02:02:16.840 --> 02:02:19.560]   uh on behalf of the dea
[02:02:19.560 --> 02:02:23.320]   Uh requiring social media companies
[02:02:23.320 --> 02:02:29.480]   Encrypted communications providers and other online services report drug activity on their platforms
[02:02:29.480 --> 02:02:33.000]   To the dea advance to the senate floor on thursday
[02:02:33.000 --> 02:02:40.760]   Uh, you know it's for a good cause right it's named cooper davis was a kansas teenager who died after unknowingly
[02:02:41.240 --> 02:02:44.040]   Taking a fentanyl laced pill he bought on snapchat
[02:02:44.040 --> 02:02:48.840]   Well in that case we've got a we've got to be make these guys reported
[02:02:48.840 --> 02:02:53.080]   Requires social media companies other web communication providers to give the dea
[02:02:53.080 --> 02:03:00.040]   Users names and other information with the companies of actual knowledge that illicit drugs are being distributed on their platform. However
[02:03:00.040 --> 02:03:03.720]   If this bill passes privacy advocates caution
[02:03:03.720 --> 02:03:07.080]   There could be a death blow to end to end encryption
[02:03:08.440 --> 02:03:10.040]   Because it includes
[02:03:10.040 --> 02:03:12.760]   language holding companies accountable for conduct
[02:03:12.760 --> 02:03:17.000]   They don't report if they quote deliberately blind themselves
[02:03:17.000 --> 02:03:20.760]   To the violation how would they deliberate? Oh by encrypting
[02:03:20.760 --> 02:03:27.800]   And then encryption well now they're liable because they uh, they we need to know uh if this activity is occurring
[02:03:27.800 --> 02:03:37.400]   So massachusetts residents, please write your state legislators and say good thing. Please
[02:03:38.040 --> 02:03:41.640]   Pass this bill protect us against data collection about our location
[02:03:41.640 --> 02:03:46.520]   And the rest of us write your congress critters saying the cooper davis act is
[02:03:46.520 --> 02:03:49.160]   you know, I think
[02:03:49.160 --> 02:03:51.160]   uh, uh
[02:03:51.160 --> 02:03:53.160]   Red herring it's being introduced
[02:03:53.160 --> 02:03:57.560]   Yeah, save the kansas teenagers from buying fennel based pills on snapchat
[02:03:57.560 --> 02:04:00.600]   But really it is to end end to end encryption
[02:04:00.600 --> 02:04:04.760]   Uh, and I think this is clearly problematic
[02:04:07.160 --> 02:04:10.520]   Uh, and yet it's moving along quite quickly of course in congress because
[02:04:10.520 --> 02:04:15.560]   You know, nobody's in favor of fennel laced pills on snapchat
[02:04:15.560 --> 02:04:25.240]   All right little break, uh, then a couple of final words with our great takeover from the big technology
[02:04:25.240 --> 02:04:27.400]   podcast
[02:04:27.400 --> 02:04:31.400]   Alex kantruitz great to have you I should also mention that uh, uh,
[02:04:31.400 --> 02:04:36.280]   Our other guest also has uh his own newsletter on sub stack called read margin
[02:04:36.840 --> 02:04:41.400]   read margins read margins. What is read margins about rajan roy?
[02:04:41.400 --> 02:04:46.520]   the we the technology of business and the business of technology we try to
[02:04:46.520 --> 02:04:52.520]   Look at, uh, the underlying kind of stories that connect technology and business together. So that's how
[02:04:52.520 --> 02:04:58.760]   The big technology podcast and margins got together. Nice similar types of stories
[02:04:58.760 --> 02:05:01.720]   Yeah, I basically read a bunch of rajan stories
[02:05:02.200 --> 02:05:07.720]   over a winter break and dm to him and was like, please come on the show and he came on a couple of times and
[02:05:07.720 --> 02:05:12.120]   We had some good conversations and then it's like you can see if you're if you're listening now
[02:05:12.120 --> 02:05:18.440]   like rajan's like a brilliant business and tech analyst and we had uh sudden great conversations and
[02:05:18.440 --> 02:05:22.200]   In january or coming up on january, I was like, why don't we just do this every week?
[02:05:22.200 --> 02:05:25.640]   So he added a show on fridays. That's a quick show 45 minutes or so
[02:05:25.640 --> 02:05:30.120]   That just covers the week news with the weeks news and uh, it's been a blast so far
[02:05:31.400 --> 02:05:34.200]   Well, that's exactly what i'm talking about
[02:05:34.200 --> 02:05:38.520]   You can read read margins. You can listen to big technology or do both
[02:05:38.520 --> 02:05:42.840]   It's great to have you guys our show today brought to you by ag
[02:05:42.840 --> 02:05:49.560]   One the daily foundational nutritional supplement that supports whole body health
[02:05:49.560 --> 02:05:54.920]   You know, I was I used to have this pill minder with this big
[02:05:55.560 --> 02:06:03.800]   Every morning and night a fistful fist full of supplements and vitamins and probiotics that I would take
[02:06:03.800 --> 02:06:07.160]   Look, we all want to support our health
[02:06:07.160 --> 02:06:09.880]   But i'm guessing you don't want to swallow a fistful of pills
[02:06:09.880 --> 02:06:13.160]   Sacrifice your taste buds or empty your wallet
[02:06:13.160 --> 02:06:21.640]   That's why you need ag one through a science driven formulation of vitamins probiotics and whole food sourced nutrients ag one
[02:06:21.640 --> 02:06:25.000]   delivers comprehensive support for the brain the gut
[02:06:25.720 --> 02:06:27.720]   and the immune system
[02:06:27.720 --> 02:06:29.960]   All of that with a delicious
[02:06:29.960 --> 02:06:34.760]   Beverage I drink every morning first thing in the morning mix ag one and 12 ounces of cold water
[02:06:34.760 --> 02:06:42.280]   It's good. It tastes good and it really does the job. I'm not surprised. They've been around since 2010 ag one has improved their formula
[02:06:42.280 --> 02:06:47.400]   52 times in that time to in the constant pursuit of making the best
[02:06:47.400 --> 02:06:50.040]   foundational nutrition supplement possible
[02:06:50.040 --> 02:06:54.520]   And and this will save you time. This will save you confusion and we'll save you money
[02:06:55.160 --> 02:07:00.280]   Each serving costs less than three dollars a day when you subscribe. That's a lot less than I was paying for all those supplements
[02:07:00.280 --> 02:07:02.840]   ag one makes it easier for you to drink
[02:07:02.840 --> 02:07:09.000]   The highest quality supplements and it does it all whether improving digestion supporting your sleep
[02:07:09.000 --> 02:07:11.080]   It's the best bang for your buck
[02:07:11.080 --> 02:07:13.640]   So if you're looking to take ownership of your health with a simpler
[02:07:13.640 --> 02:07:15.640]   effective investment
[02:07:15.640 --> 02:07:24.440]   Start with ag one try ag you want to get a free one-year supply of vitamin d and five free ag one travel packs with your first purchase of a subscription
[02:07:24.680 --> 02:07:26.680]   Go to drink ag one dot com
[02:07:26.680 --> 02:07:31.480]   Slash twit drink ag one dot com slash
[02:07:31.480 --> 02:07:33.960]   Twit
[02:07:33.960 --> 02:07:40.360]   We had a great week this week on twit and I believe we have a little mini movie to tell you all about it watch
[02:07:40.360 --> 02:07:46.040]   Your your your appearance distinguished. It's gonna be a nice great like it. Look at that
[02:07:46.040 --> 02:07:51.240]   That's always been there eventually all the hosts of this show will grow beers
[02:07:52.040 --> 02:07:54.040]   Thanks a little spreading from Jeff to you
[02:07:54.040 --> 02:07:58.040]   I've been tweezing out my beard forever
[02:07:58.040 --> 02:08:00.440]   previously on twit
[02:08:00.440 --> 02:08:03.960]   This week in google the uh, Biden administration
[02:08:03.960 --> 02:08:08.760]   Has announced its new smart home cyber security label
[02:08:08.760 --> 02:08:13.080]   This is the us cyber trust mark and the Biden administration is basically
[02:08:13.080 --> 02:08:16.600]   Creating a voluntary program kind of like the epa's energy star thing
[02:08:16.600 --> 02:08:20.440]   And if you see this on a product you can trust it
[02:08:20.520 --> 02:08:24.440]   This product has met cyber security standards security now
[02:08:24.440 --> 02:08:27.240]   the underground
[02:08:27.240 --> 02:08:31.640]   Now has a chat gpt style
[02:08:31.640 --> 02:08:35.160]   Generative ai all their own
[02:08:35.160 --> 02:08:39.000]   Without any of the abuse prevention
[02:08:39.000 --> 02:08:44.600]   Built into the front end. It is known and I kid you not as worm
[02:08:45.320 --> 02:08:51.400]   Gpt tech news weekly joining me you may remember I guess from hosting such podcasts as well
[02:08:51.400 --> 02:08:54.680]   This one mega moroni. It's good to have you back
[02:08:54.680 --> 02:08:59.640]   I tried to come into the studio, but I was told I wasn't invited. Oh, I just kid it
[02:08:59.640 --> 02:09:04.520]   It's hard to fit a third person in there. Yeah, that's okay. We make it easier. That's what my leg is
[02:09:04.520 --> 02:09:08.840]   So I'd have to use my leg and I just don't know twit. Those are my water bottle is
[02:09:10.520 --> 02:09:14.200]   Oh, so great to see megan on the show. That's awesome
[02:09:14.200 --> 02:09:16.760]   Uh
[02:09:16.760 --> 02:09:20.680]   Should mention by the way that we've got some big club twit events
[02:09:20.680 --> 02:09:24.440]   Coming up. I'll just mention this briefly and we'll get back to the show
[02:09:24.440 --> 02:09:30.760]   Because there's a new one we've just announced but first let me mention if you're not a member of club twit seven bucks a month
[02:09:30.760 --> 02:09:39.320]   The club is great lots of special content just for club twit members like this fireside chat with rod pile coming up on the 27th
[02:09:39.960 --> 02:09:43.720]   Uh, of course we do home theater geeks. We do a number of shows that are only in the club
[02:09:43.720 --> 02:09:46.280]   Scott wokenson's home theater geeks is a good example
