;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[01:46:25.660 --> 01:46:30.460]   I used to buy just stacks of vhs tapes of letterman shows and just record them and just I
[01:46:30.460 --> 01:46:35.580]   You know I think from like 92 93 94. I have like every episode of the late show
[01:46:35.580 --> 01:46:40.460]   Yeah, brilliant letterman call my house one time and it
[01:46:40.460 --> 01:46:43.020]   Called our house
[01:46:43.020 --> 01:46:45.980]   Yeah, because I had written him and I wanted advice in broadcasting
[01:46:46.300 --> 01:46:50.700]   You know, I know how much of an affinity he has for broadcasting. So I was in high school getting ready to go off to college
[01:46:50.700 --> 01:46:52.780]   And I just was seeking his advice
[01:46:52.780 --> 01:46:58.780]   About broadcasting as it related getting into late night, you know in the television and so forth and and uh that it was
[01:46:58.780 --> 01:47:03.340]   I knew his history so well and so it was a very like heartfelt letter that I wrote to him
[01:47:03.340 --> 01:47:06.380]   and uh called my house and left a voicemail or a
[01:47:06.380 --> 01:47:09.340]   answering machine tape message at my parents house
[01:47:09.340 --> 01:47:13.180]   Uh, and I wasn't going to receive that one. I hope you saved that
[01:47:13.740 --> 01:47:16.780]   I have it somewhere. Yeah. Oh, like get it out. We gotta hear it
[01:47:16.780 --> 01:47:20.700]   Not now. I mean, you know next time you're on find that I want to hear it
[01:47:20.700 --> 01:47:26.220]   I want to die out. I'll have to dig for it. We have letterman. I have something to come and we both become angry bitter old men
[01:47:26.220 --> 01:47:28.780]   So I have I have that
[01:47:28.780 --> 01:47:31.020]   going with him
[01:47:31.020 --> 01:47:37.260]   You know, he influenced every everyone and except maybe leno and in the in his generator me phallin and kimmel are obviously
[01:47:37.260 --> 01:47:39.180]   Hugely influenced by letterman
[01:47:39.180 --> 01:47:43.100]   Well, you asked about fox and I was just gonna say and I don't know if there's any truth to it and god
[01:47:43.100 --> 01:47:45.100]   Hope we got help us if it's true
[01:47:45.100 --> 01:47:49.740]   Which are because i'm not a leno fan at all, but there were some rumors. Oh, he would leave nbc and then he might go to fox
[01:47:49.740 --> 01:47:52.220]   I know
[01:47:52.220 --> 01:47:56.540]   He's done it before though. Remember he he said konnen take the show and then he came back
[01:47:56.540 --> 01:47:59.100]   I'll take it back. He's like
[01:47:59.100 --> 01:48:03.980]   Right, right. It take it and uh, i'm gonna pull it back. We pulled pull the rug out from under you. Yeah
[01:48:03.980 --> 01:48:08.140]   Oh, he'll be back somewhere. Yeah, no, no, no, never would never die that chin
[01:48:08.140 --> 01:48:12.300]   Uh, i'm sorry. That's not that's mean
[01:48:12.940 --> 01:48:14.940]   Now i told you i'm an angry bitter old man
[01:48:14.940 --> 01:48:21.020]   You're a chinnest is what you are you're a chinnest. I am. That's right. I'm very i'm biased against the chin
[01:48:21.020 --> 01:48:25.100]   Right sam sangh is doing stores. You mentioned this inside best buy
[01:48:25.100 --> 01:48:30.460]   Everybody's so influenced by apples success at retail that everybody's just copying them
[01:48:30.460 --> 01:48:37.500]   But i think sangh is doing something interesting with these stores that apple doesn't do it best buy and i think there is something to be said
[01:48:37.500 --> 01:48:39.900]   If you ever walk into a best buy god help you if you do
[01:48:40.460 --> 01:48:44.620]   Um when you go into a best buy you'll notice that it's like kind of a bit of like a ghost town
[01:48:44.620 --> 01:48:48.540]   Right if you need help, you'll just see a tumbleweed roll. Oh, it's true
[01:48:48.540 --> 01:48:55.020]   And a cowboy cowboy will come up buy in, you know, you know what you're gonna get and um
[01:48:55.020 --> 01:48:58.860]   But you go over to that apple section and it is a beautiful section, right?
[01:48:58.860 --> 01:49:01.660]   It's got that like you know, it looks like a little mini apple store
[01:49:01.660 --> 01:49:07.660]   It's got the hardwood tables and it's well lit and then you look at like the asus tablets laying there on the table and they look like
[01:49:08.540 --> 01:49:12.220]   I don't looks like a dead carp on a on a beach right? I mean it just looks like sad
[01:49:12.220 --> 01:49:18.380]   And it's got that chain it's got that cable attached glue to the back like somebody's gonna steal this
[01:49:18.380 --> 01:49:25.820]   Right, right like really the one that for all of the apple products are turned on and the screens are on and like you look over at that
[01:49:25.820 --> 01:49:30.860]   At their sad lonely table with like the matter we did hapless and are all dead and know what you can't even turn
[01:49:30.860 --> 01:49:33.180]   You don't even know what a power button is on half that crap
[01:49:33.580 --> 01:49:39.580]   But sam's song though is doing something smart. They're gonna have their own sam's song representatives and a help desk there
[01:49:39.580 --> 01:49:44.140]   And this is smart because very often if you're asking for help on some of the apple products
[01:49:44.140 --> 01:49:48.460]   You get some best buy guy who's used to dealing with windows eight pcs and doesn't know
[01:49:48.460 --> 01:49:51.660]   You know doesn't know any of the apple products and how to help you with them
[01:49:51.660 --> 01:49:54.220]   um, so to have a sam's song sort of
[01:49:54.220 --> 01:50:00.540]   Help desk representative standing there to help you along to make your sam's song purchase. I think is a smart move
[01:50:01.100 --> 01:50:05.260]   Good idea about the weird logistics of that like those guys all have to share the same break room
[01:50:05.260 --> 01:50:09.580]   Do you think it's gonna be a lot of animosity between 60 year old kids and blue shirts and like I
[01:50:09.580 --> 01:50:15.660]   Did that though apple did that at uh was it best buy apple remember they had the apple apple stores inside there
[01:50:15.660 --> 01:50:18.540]   And an apple rep wasn't it yeah, it was compu estate
[01:50:18.540 --> 01:50:21.100]   Yeah, there was a guy there standing there
[01:50:21.100 --> 01:50:25.820]   Well best buy has an apple rep at the moment too. They had to it was self-defense right
[01:50:27.100 --> 01:50:30.700]   Oh, I I never see it like that my point is I never see that apple rep
[01:50:30.700 --> 01:50:36.300]   Apparently this must be a help desk right by the sam's son tables and they're gonna be larger like 460 square feet
[01:50:36.300 --> 01:50:39.340]   Of these stores you're gonna see a sam's song representative standing there
[01:50:39.340 --> 01:50:42.300]   Right, so you know say have more of a presence
[01:50:42.300 --> 01:50:47.100]   You know you like to kind of gravitate towards the sales guy who's kind of standing there. Yeah, yeah
[01:50:47.100 --> 01:50:50.300]   Maybe you'll do a shopping haul
[01:50:50.300 --> 01:50:51.980]   Right
[01:50:51.980 --> 01:50:53.980]   See if we got at the sam's son's store
[01:50:53.980 --> 01:50:55.500]   Yeah
[01:50:55.500 --> 01:51:00.140]   uh mobile phone celebrating its 40th anniversary this week 40 years
[01:51:00.140 --> 01:51:02.620]   Oh, man
[01:51:02.620 --> 01:51:04.380]   Really the Motorola no
[01:51:04.380 --> 01:51:06.380]   Yeah, I think so wasn't it that big
[01:51:06.380 --> 01:51:10.220]   The the thing and they had to have a get a get a like a purse that had the battery in it
[01:51:10.220 --> 01:51:15.500]   Did you ever see here's a little nerd trivia you ever see that x files episode that was like a flashback episode
[01:51:15.500 --> 01:51:21.340]   Um of the x files where fox moulder like because you know he was famous for always having a cell phone
[01:51:21.420 --> 01:51:28.380]   Right he was one of the first television characters. It was like ubiquitous with the cell phone right he and he and dana scully always had the cell phone
[01:51:28.380 --> 01:51:34.780]   Right. Well, they did like a flashback episode where he had one of these large giant honk and motor roll of phones with him
[01:51:34.780 --> 01:51:40.380]   It was like michael douglas in wall street that that nothing about that movie makes it so dated
[01:51:40.380 --> 01:51:44.220]   As the as the cell phone it just he's like wow eighties
[01:51:44.220 --> 01:51:49.820]   Those giant car phones used to use and i've been watching the west wing on netflix all the way through again and i
[01:51:50.380 --> 01:51:55.580]   Freakin love why i love anything sorcan does but i love the west wing and it is funny to watch season one through four
[01:51:55.580 --> 01:51:57.660]   Which is where i'm at so far in the process
[01:51:57.660 --> 01:52:00.700]   The phones went from these giant bricks or just pagers
[01:52:00.700 --> 01:52:06.940]   And then slowly the pagers and the bricks went away and slowly you got down to like flip phones and star attacks and
[01:52:06.940 --> 01:52:11.980]   Actually the first the pilot of west wing is is all about a cell phone is his pager
[01:52:11.980 --> 01:52:14.540]   Oh, it's about the pager
[01:52:14.540 --> 01:52:16.540]   Right. Otis is in a tree accident
[01:52:16.620 --> 01:52:20.940]   So uh, tiffins is calling i just wanted to check and see how his cell phone reception
[01:52:20.940 --> 01:52:24.380]   Is doing there in upper new york state what tim
[01:52:24.380 --> 01:52:26.940]   Yeah
[01:52:26.940 --> 01:52:28.940]   Did you get that from the battlefield of vietnam?
[01:52:28.940 --> 01:52:31.580]   Yeah, i should crank it
[01:52:31.580 --> 01:52:34.380]   Colonel paly just
[01:52:34.380 --> 01:52:36.380]   I want to call it air support
[01:52:36.380 --> 01:52:39.740]   Yeah, this is uh
[01:52:39.740 --> 01:52:45.980]   How radar i talked to the generals and stuff and it's got the number pad on the back. It's a nova tell
[01:52:46.860 --> 01:52:48.380]   Wow, wow
[01:52:48.380 --> 01:52:51.900]   I probably can't also when I was when I was a political reporter in montana
[01:52:51.900 --> 01:52:56.620]   Yeah, I remember having the cell phone that was you know given to me by cbs news at the time and
[01:52:56.620 --> 01:53:02.220]   That that you know that cell phone was you know, you would it would the battery would last like 15. Oh, yes
[01:53:02.220 --> 01:53:03.500]   Oh, yeah
[01:53:03.500 --> 01:53:09.740]   You would never use it unless you were in some kind of a car accident you wouldn't use it for work purposes for emergencies albite
[01:53:09.740 --> 01:53:12.300]   Get off of the car
[01:53:13.900 --> 01:53:20.220]   Uh, we're gonna take a break come back with some final words from our hosts clayton morris and fox at friends
[01:53:20.220 --> 01:53:23.660]   And uh from frog pants dot com scott johnson
[01:53:23.660 --> 01:53:28.060]   We're brought to you today by stamp.com if you're going to the post office still you got it
[01:53:28.060 --> 01:53:31.900]   I'm gonna give you a pro tip do your mailing at stamp.com you can print your own
[01:53:31.900 --> 01:53:37.980]   us postage on demand with your computer your printer you don't need a postage meter you don't need special ink
[01:53:37.980 --> 01:53:41.980]   People I still see people in line at the post office with a postage meter
[01:53:42.620 --> 01:53:48.380]   Getting it charged. That's crazy talk. That's that's as old school as his cell phone
[01:53:48.380 --> 01:53:56.300]   Just to go to stamps.com. You can print anything you need any class of mail any letter of package and if you have the stamps.com scale
[01:53:56.300 --> 01:53:59.180]   You'll know exactly what postage you need and i'm gonna get you that scale
[01:53:59.180 --> 01:54:04.540]   I'm gonna get it to you for free. All you have to do is go to stamps.com. You'll see that $80 value there
[01:54:04.540 --> 01:54:08.620]   That includes a scale and 25 dollars of free postage, but I can do it a little bit better
[01:54:08.620 --> 01:54:13.100]   If you click the microphone in the upper right hand corner, we're gonna enter the offer code twit
[01:54:13.100 --> 01:54:17.900]   TW it and we're gonna turn that $80 offer into a hundred ten dollar value
[01:54:17.900 --> 01:54:26.380]   55 in postage coupons you can use over the first few months at stamp.com a free digital scale to get the five dollar supply kit the four-week trial
[01:54:26.380 --> 01:54:29.900]   All just because you use the offer code twit $110 value
[01:54:29.900 --> 01:54:34.540]   stamps.com is a pro tip for anybody who does a lot of mailing whether you're printing your
[01:54:35.420 --> 01:54:39.980]   And by the way, it's great printing on envelopes with not only this postage, but your company logo the return address
[01:54:39.980 --> 01:54:43.340]   And it takes the addresses from quick books or your contact list
[01:54:43.340 --> 01:54:47.980]   If you sell an Etsy or ebay or amazon at paypal take it right from the website
[01:54:47.980 --> 01:54:53.740]   Fill out the forms for international mail if you're sending a priority or express mail it automatically
[01:54:53.740 --> 01:54:57.740]   Send an email to the recipient saying here's the tracking number
[01:54:57.740 --> 01:54:59.180]   This is just
[01:54:59.180 --> 01:55:05.340]   Professional mailing solution and it's very affordable very easy to use and you can do it right now if you go to stamps.com
[01:55:05.340 --> 01:55:10.220]   Use our offer code twit to get that hundred ten dollar trial. I think you're gonna like it
[01:55:10.220 --> 01:55:16.700]   We use it all the time here. Stay away. Sometimes we're fighting over it actually stamps dot com
[01:55:16.700 --> 01:55:20.940]   A day today today
[01:55:20.940 --> 01:55:30.860]   Twitter gets a vine copyright complaint from prince's record label. That's just in prince is still at it still at it
[01:55:31.820 --> 01:55:36.860]   I'm dealing with vine and you guys I stop. You like it. Are you making lots of vines?
[01:55:36.860 --> 01:55:42.060]   Fair amount. I mean probably two maybe a week, but you know, I'm not will sasso or something
[01:55:42.060 --> 01:55:46.860]   But I it is a you know what's happening on there is every comment for ed has it has
[01:55:46.860 --> 01:55:52.220]   Devolved I was gonna say evolved but is devolved into kind of a ha ha very funny follow me
[01:55:52.220 --> 01:55:54.380]   Oh boy, that's too bad
[01:55:54.380 --> 01:55:57.420]   Just begging for follows and I don't dig that so much
[01:55:57.420 --> 01:56:00.700]   But I like what my friends are doing and it's fun to keep tracking people that way and stuff
[01:56:00.860 --> 01:56:03.980]   I like it. Prices are dropping for windows rt tablets
[01:56:03.980 --> 01:56:11.500]   Might be a time to snag one or to walk away. Just step away from the rt tablet
[01:56:11.500 --> 01:56:15.500]   Yeah, the irony is I think this is where microsoft is going with windows 8
[01:56:15.500 --> 01:56:19.180]   I think rt is closer to what they want in windows 8 to be than windows 8 pro is
[01:56:19.180 --> 01:56:21.980]   They want to go touch
[01:56:21.980 --> 01:56:25.180]   Did you see the picture of bill gates and paul allen at the computer museum?
[01:56:25.180 --> 01:56:26.380]   Yes
[01:56:26.380 --> 01:56:33.820]   Recreating their famous picture from the earliest days of microsoft was from 1981 a baby faced bill gates
[01:56:33.820 --> 01:56:37.180]   Who I think is 26 in this image. He looks like he's 15
[01:56:37.180 --> 01:56:40.860]   And paul allen and these were late model
[01:56:40.860 --> 01:56:46.620]   Commodore pets and apple twos and late model computers at the living computer museum
[01:56:46.620 --> 01:56:50.540]   They got bill and paul back together with the same computers. This is kind of cute
[01:56:50.540 --> 01:56:53.660]   And there they are
[01:56:53.660 --> 01:56:55.660]   I think that's sweet
[01:56:55.660 --> 01:56:58.140]   Gates whoa, he still weighs 130 pounds
[01:56:58.140 --> 01:57:05.180]   Same haircut. Yeah, he hasn't actually the haircut's the same. Isn't it? Yeah, paul at least shaved the beard
[01:57:05.180 --> 01:57:08.540]   I don't I like that there's something about that. It's just
[01:57:08.540 --> 01:57:13.180]   It's because I'm a grumpy old man and now they are too, right? Yep
[01:57:13.180 --> 01:57:16.140]   I don't get known
[01:57:16.140 --> 01:57:19.500]   Just need to cure malaria and you can yeah, well, you know good for him. I mean
[01:57:19.500 --> 01:57:23.420]   It's hard. It's hard to say anything bad about bill gates now
[01:57:23.900 --> 01:57:29.100]   Because it's impossible for me. I think that man's amazing. He's become the great philanthropist. Yep. Yep
[01:57:29.100 --> 01:57:30.940]   Goodness
[01:57:30.940 --> 01:57:32.140]   He's kind of trail
[01:57:32.140 --> 01:57:36.780]   He's he's blazed this trail. I think for a lot of tech folk and a lot of startups that made millions
[01:57:36.780 --> 01:57:40.220]   You know if when people are all done making their spaceships and their car companies
[01:57:40.220 --> 01:57:42.540]   It'd be nice to see him do a little bit of this you gotta get back
[01:57:42.540 --> 01:57:44.940]   I wonder what
[01:57:44.940 --> 01:57:47.660]   Fox thinks about this the area legal victory
[01:57:48.220 --> 01:57:55.020]   Barry Diller created this company area, which kind of it seems like an interim company. The idea was you could get local television
[01:57:55.020 --> 01:58:00.380]   Um because you bought a dime sized antenna in an array of dyes sized antennas
[01:58:00.380 --> 01:58:04.940]   That would then connect to the internet and you could watch tv via this antenna
[01:58:04.940 --> 01:58:11.660]   Of course local stations that didn't get any money for this said hey wait a minute. That's copyright violation. Well now the courts
[01:58:11.660 --> 01:58:16.060]   Have uh have uh said no, it's not cbs
[01:58:16.060 --> 01:58:19.500]   Comcast news corp pbs walt disney company
[01:58:19.500 --> 01:58:23.820]   You're out of luck area is legal
[01:58:23.820 --> 01:58:26.620]   Which means now that um
[01:58:26.620 --> 01:58:30.780]   Uh, I think we're gonna see area all over the country
[01:58:30.780 --> 01:58:36.300]   It's a yeah, it's a weird technology, but it but i've used it. Have you you must have used it Clayton because you're in the new york here
[01:58:36.300 --> 01:58:37.500]   It works
[01:58:37.500 --> 01:58:39.740]   Yeah, and it works very very well. It's so cool
[01:58:39.740 --> 01:58:42.940]   And it's um remarkable how well it works
[01:58:42.940 --> 01:58:48.700]   You you know, you can even use the web apps you can launch mobile safari on your ipad navigate right to the app
[01:58:48.700 --> 01:58:53.260]   And you know in the new york area, of course you can get access to I think 20 different channels
[01:58:53.260 --> 01:58:59.740]   Um, so you get some weird like pakistani channel you get some weird tylenese channel you get some all you got all kinds of weird
[01:58:59.740 --> 01:59:02.300]   It's all the over the air stuff right
[01:59:02.300 --> 01:59:04.460]   Yeah, but then you get great live sports
[01:59:04.460 --> 01:59:08.380]   Of course you get all the broadcast channels pbs high definition. It looks beautiful
[01:59:08.380 --> 01:59:12.460]   And you can leave town you can you can come here and you could still watch your new york sports
[01:59:13.340 --> 01:59:17.660]   Right and so here's the deal like i'm up at tinky wiggy and i can just uh
[01:59:17.660 --> 01:59:21.420]   I can just I can just stream it over airplay
[01:59:21.420 --> 01:59:29.420]   Right to an apple tv at a different location. I could come over to your house and petaluma and I could stream the new york stuff based on my subscription
[01:59:29.420 --> 01:59:35.500]   To on airplay and it looks crystal clear so you can watch local news you can travel with it and go wherever you go
[01:59:35.500 --> 01:59:39.180]   Yes, you can watch it on the app that's coming you can watch it on the web
[01:59:39.580 --> 01:59:44.860]   And you could watch it on your tv and there's no restriction as far as airplay goes it's yours you're paying 12 bucks a month
[01:59:44.860 --> 01:59:49.100]   And of course the argument was that why is this any different
[01:59:49.100 --> 01:59:54.620]   Than the antenna that I could put on my roof. Of course the broadcast companies were saying well wait a second
[01:59:54.620 --> 02:00:04.700]   We're creating this content now this look now this intermediary company is coming along and they're going to make money off of our content by selling you a 12 dollar
[02:00:05.100 --> 02:00:11.340]   subscription so I don't think it'll be very long until cbs has a little den of antennas set up in brook one somewhere
[02:00:11.340 --> 02:00:15.100]   Right why wouldn't they well why wouldn't they charge 12 bucks?
[02:00:15.100 --> 02:00:20.060]   Right why wouldn't bs 2 in new york city decide to set up their own version of this or
[02:00:20.060 --> 02:00:24.860]   Maybe s cbs corporate decides to you know to do the same thing
[02:00:24.860 --> 02:00:29.340]   Um, I don't know anything with apps. It's like well. We don't want to have our shows on
[02:00:29.340 --> 02:00:32.140]   We're gonna make our own app. It's the same reaction
[02:00:32.140 --> 02:00:34.620]   Um and as a good name for this kind of stuff's great
[02:00:35.100 --> 02:00:41.100]   Yeah, it was so it's cbs cbs was the holdout right they they created that what tv.com right?
[02:00:41.100 --> 02:00:46.540]   There's our bridge and then they finally came around and just about in january they finally came to hulu
[02:00:46.540 --> 02:00:49.740]   So you can now watch the letterman on hulu you could watch star trek now on hulu
[02:00:49.740 --> 02:00:51.820]   They were the last holdout to join hulu
[02:00:51.820 --> 02:00:59.180]   It's so smart that berry dealer thought you know if everybody has an antenna that it's not a cable service
[02:00:59.180 --> 02:01:03.900]   It's one per person and you're just renting an antenna. That's all we're charging you for
[02:01:04.700 --> 02:01:07.820]   Really and it's cool. You can dvr the content too, right?
[02:01:07.820 --> 02:01:10.860]   They have a built-in renting an antenna and we will
[02:01:10.860 --> 02:01:15.180]   Record your favorite shows up to 40. I think it's 40 hours of content
[02:01:15.180 --> 02:01:19.580]   So if you want to watch the pbs news hour and you're just not home to watch it on time and I love that
[02:01:19.580 --> 02:01:21.660]   I don't want to wait for the podcast version of it
[02:01:21.660 --> 02:01:27.340]   Just dvr it on my area account. I can come home. I can watch it anytime. I want on my ipad. I'm not home
[02:01:27.340 --> 02:01:30.460]   But this is you know, this is why by the way
[02:01:31.500 --> 02:01:35.260]   This is the kind of thing that's gonna change this this company has three years max
[02:01:35.260 --> 02:01:38.460]   And then everything's on the internet and it doesn't matter anymore, right?
[02:01:38.460 --> 02:01:43.020]   Yeah, because I think this this is one of those transitional steps right now
[02:01:43.020 --> 02:01:47.260]   That we were talking about this forces this forces the broadcaster's hands
[02:01:47.260 --> 02:01:50.460]   Absolutely because if I want it, let's say
[02:01:50.460 --> 02:01:54.220]   And I'm curious how this will work right because we only have the new york market
[02:01:54.220 --> 02:01:59.340]   And I'm fascinated by how this is gonna unfold with a radio because I love the philadelphia philities issue now
[02:01:59.500 --> 02:02:07.180]   Right, so right now I pay for whatever it is 150 bucks a year for the mlb.tv app on my i on my ipad and on the here
[02:02:07.180 --> 02:02:09.180]   on apple tv
[02:02:09.180 --> 02:02:12.700]   Well, what if I got an aerial account in philadelphia?
[02:02:12.700 --> 02:02:16.540]   Could I do that and i'm sure people will right she can so I get an ear
[02:02:16.540 --> 02:02:18.700]   I don't know if you can and how that's all gonna unfold
[02:02:18.700 --> 02:02:24.700]   But if I got an aerial account in philadelphia and then i'm able to watch the phillities for $12 not $140
[02:02:24.700 --> 02:02:27.260]   Yeah
[02:02:27.260 --> 02:02:29.260]   Of course, there's a whole season so maybe it comes shakes out
[02:02:29.260 --> 02:02:31.900]   I don't know but you know, I mean that I don't know how this is all gonna shake out
[02:02:31.900 --> 02:02:36.380]   But I could be getting creative with where i'm getting my content from do I want to get phoenix news
[02:02:36.380 --> 02:02:40.220]   Because I'm used to be from phoenix and I live in new york city now. Can I do that?
[02:02:40.220 --> 02:02:44.620]   Yeah, these guys are basically gaming the system is what they're doing. Oh totally
[02:02:44.620 --> 02:02:47.100]   Yeah, and there's no defense
[02:02:47.100 --> 02:02:52.140]   Bad it's fine and it's good for cord cutters like me i'm coming up on five years cord cut and leo
[02:02:53.100 --> 02:02:57.660]   And I haven't regretted it one day the only times I regret it when it's like all right hbo
[02:02:57.660 --> 02:02:58.620]   I'll pay for your stuff
[02:02:58.620 --> 02:03:01.660]   But just give it to me on go or something but they don't give it to you right away
[02:03:01.660 --> 02:03:04.700]   They give it to you like game of thrones because you can't watch that right right?
[02:03:04.700 --> 02:03:08.380]   Right. Yeah, I can't and so I have to get it at a friend's house or something that if you're
[02:03:08.380 --> 02:03:10.540]   You know, especially if your friend's named the pirate bay
[02:03:10.540 --> 02:03:14.060]   My good
[02:03:14.060 --> 02:03:20.060]   It's frustratingly justified when like we were talking about one of my favorite shows it's on fx
[02:03:20.460 --> 02:03:25.580]   Okay, but I can't get it on demand after the show airs. I can buy it on iTunes though
[02:03:25.580 --> 02:03:32.780]   But a mc when breaking bad airs I can get the latest episodes of breaking bad and the walking dead
[02:03:32.780 --> 02:03:34.860]   But I can't get on demand
[02:03:34.860 --> 02:03:38.540]   Justified I have to pay for it. I have to wait till it comes on indeed. It's absurd
[02:03:38.540 --> 02:03:42.860]   Well, and I think companies like ario are temporarily going to do fine
[02:03:42.860 --> 02:03:45.660]   And what it's going to do it breaks the model so thoroughly
[02:03:46.140 --> 02:03:50.140]   They tried to fight it in court if they can't fight it in court then they just have to change the model
[02:03:50.140 --> 02:03:52.700]   Game of thrones
[02:03:52.700 --> 02:03:57.340]   Was on bit torrent within you know a few hours of its airing last week the premiere
[02:03:57.340 --> 02:04:01.420]   160 000 simultaneous peers
[02:04:01.420 --> 02:04:05.900]   The hbms response to that was interesting. What do they say?
[02:04:05.900 --> 02:04:10.460]   We're flattered. Good. That's the right response. What else are they gonna say?
[02:04:10.460 --> 02:04:13.100]   Right
[02:04:13.100 --> 02:04:17.740]   Yeah, you either criminalize it and freak out and throw it out. Yeah, you really like us
[02:04:17.740 --> 02:04:20.620]   Because the truth is that is that is a sign of tooth
[02:04:20.620 --> 02:04:25.340]   One that everyone really likes game of thrones and two it's really hard to get hbo without having a huge cable package
[02:04:25.340 --> 02:04:27.420]   You don't want to pay for it. So they got a
[02:04:27.420 --> 02:04:34.540]   Torrent freak estimated that a million downloads of game of thrones now. What's hbms real response make it available day of
[02:04:34.540 --> 02:04:36.780]   for purchase
[02:04:36.780 --> 02:04:42.220]   Right, why not and it's just ridiculous that hbms do that. I'm curious scott your setup because again
[02:04:42.220 --> 02:04:46.780]   I'm fascinated by this and I know that I was I had that sort of aha moment
[02:04:46.780 --> 02:04:52.220]   I know that Andy and nadko has talked about this on mac break weekly trying to arrive at that 100 point and we're not there yet
[02:04:52.220 --> 02:04:55.820]   Right, we want live sports. We want all of this content one spot
[02:04:55.820 --> 02:04:59.020]   We're not there yet where we have one device that can do it all for us
[02:04:59.020 --> 02:05:03.980]   But I have to tell you when I got that little live dongle that stuck on the back of the boxy box
[02:05:03.980 --> 02:05:08.380]   I think it's a boxy live or whatever it was and you just plug it in the back
[02:05:08.380 --> 02:05:12.380]   You plug it right into your cable and you get live television HD looks beautiful
[02:05:12.380 --> 02:05:16.540]   So you're getting those 20 channels you would get for for $12 a month from ario
[02:05:16.540 --> 02:05:19.100]   Are you getting them for free?
[02:05:19.100 --> 02:05:22.780]   But then you have on the boxy box you have the ability to launch mlb
[02:05:22.780 --> 02:05:28.940]   Launch Netflix launch youtube hundreds of apps that sort of thing and it's a little clunky and so forth
[02:05:28.940 --> 02:05:31.020]   You know, it's like a year old whatever a couple years old
[02:05:31.020 --> 02:05:34.620]   But that I had that sort of jaw dropping moment where I thought well
[02:05:34.700 --> 02:05:37.580]   Yeah, this could be really cool. I can flip between live television
[02:05:37.580 --> 02:05:42.700]   Then if I want to jump over and use the sling box app I can use that to watch some cable program
[02:05:42.700 --> 02:05:46.860]   So I don't know that was my sort of wow this could actually happen. What is your setup like?
[02:05:46.860 --> 02:05:52.620]   Well, it's a little I call it mad max the mad max approach. I mean, I'm definitely it's goofy
[02:05:52.620 --> 02:05:56.460]   So I'm getting justified date next day on iTunes. That's how I get justified
[02:05:56.460 --> 02:06:00.620]   I get other shows day of if they'll let me on different apps or different whatever
[02:06:00.620 --> 02:06:04.300]   I've got a roku running a whole bunch of stuff. We get a lot of Netflix content in the house
[02:06:04.300 --> 02:06:07.820]   That's really what my kids subsist on is as an Netflix content
[02:06:07.820 --> 02:06:12.060]   But it's this combination of all right. Well hulu has that one amazon prime has that one
[02:06:12.060 --> 02:06:15.820]   I'll get this other one off itunes and i'll put it on apple tv and this other one going to watch and
[02:06:15.820 --> 02:06:23.100]   In bed on my ipad anyways, I'll just subscribe to that through whatever app and it is a hodgepodge and it's not ideal
[02:06:23.100 --> 02:06:25.180]   but
[02:06:25.180 --> 02:06:29.580]   I have never once regretted to move the only regret I have is no live sports and I have an antenna for that
[02:06:29.580 --> 02:06:31.180]   So I do get that
[02:06:31.180 --> 02:06:35.340]   When I need live stuff work local new stuff or the oscars or something like that where it's a big deal
[02:06:35.340 --> 02:06:39.020]   And I need to cover it for show or whatever so I can get it those ways
[02:06:39.020 --> 02:06:43.260]   I just hate that it's so fragmented. It's all over the place where I get my stuff
[02:06:43.260 --> 02:06:48.220]   And that's the problem right now and i'm not i'm not even saying that one day we need to have one solution fits all
[02:06:48.220 --> 02:06:50.460]   I just need
[02:06:50.460 --> 02:06:51.180]   You know one
[02:06:51.180 --> 02:06:54.700]   I think I need all the companies to have the same philosophy that i'm willing to
[02:06:54.700 --> 02:06:57.100]   Buy your content the way I want to buy it
[02:06:57.100 --> 02:07:01.340]   Please give me avenues to do that and then I think we're almost to the 100 like you mentioned
[02:07:01.340 --> 02:07:05.820]   But I don't regret it. It's great. I get everything I want. I have some of it. I have to wait for some of that
[02:07:05.820 --> 02:07:12.380]   I don't but I get what I want I get it when I want it and you know, I can I can just just subsist and it's not a problem
[02:07:12.380 --> 02:07:18.460]   Except like that space in I think that space in our brain where we used to reserve for remembering people's phone numbers
[02:07:18.460 --> 02:07:23.340]   Is now use and reserve for remembering where the content lives on of those devices
[02:07:23.900 --> 02:07:29.020]   Did I download it? Is it on my shared computer for my apple tv or is it on is it on iTunes?
