;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100
;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.760]   It's time for Twit this weekend tech white Silverman joins John C. Devorak and Jolie Odell
[01:09:45.900 --> 01:09:52.340]   I just finished this one 11 22 63 the Stephen King book. What a great book that was Craig Watson does an amazing job
[01:09:52.340 --> 01:09:54.740]   narrating that
[01:09:54.740 --> 01:10:00.660]   Right now reading clash of kings because of course the game of thrones miniseries is coming back and
[01:10:00.660 --> 01:10:07.380]   All of the game of thrones books are on here for the song of ice and fire and I really on something like this
[01:10:07.380 --> 01:10:12.380]   I I like to read the book first so I'm almost through with that just in time for HBO's
[01:10:13.220 --> 01:10:17.420]   Returning to the year 37 hours on that one. So look there's a lot of good choices in here
[01:10:17.420 --> 01:10:22.500]   I encourage you to give it a try audible books playback on almost any device. They've got a great Android app
[01:10:22.500 --> 01:10:29.420]   That's what I use to listen your whole library anything you've ever purchased from audible is on that app you download it and listen
[01:10:29.420 --> 01:10:35.420]   It's just fantastic. They have an iPhone app as well. They're also available on of course on your desktop
[01:10:35.420 --> 01:10:42.020]   Even like GPS devices kindles if they have audio capabilities they can play audible books audible.com
[01:10:42.020 --> 01:10:46.460]   Slash Twitter give it a try. I think you will like it. Do you listen to you as an audio books?
[01:10:46.460 --> 01:10:51.700]   Me no, I read books you read your reader you like paper. I'm you buy hardcover books
[01:10:51.700 --> 01:10:58.420]   I do I buy them I buy them from Amazon, but then I read them in hardcover. Yeah, what and what and what do you what are you reading right now?
[01:10:58.420 --> 01:11:03.980]   What do you like well right now? I'm reading Baratunde Thurston's book how to be black that's on audible and it's funny
[01:11:03.980 --> 01:11:05.980]   He narrates it. He does shut up
[01:11:06.540 --> 01:11:12.300]   Because I will listen to Baratunde Oh, and he's good. Well, let me play a little bit of this. He's I should I
[01:11:12.300 --> 01:11:20.540]   Apologize Baratunde. Why am I not plugging your book for crying out loud? I love it when the authors themselves read their own books
[01:11:20.540 --> 01:11:26.580]   That's just that's that's the best. It's good when some authors. Yeah, I wouldn't say generally some authors are not
[01:11:26.580 --> 01:11:34.940]   Lucky I guess but for example, you got to read Tina Fey doing. Oh, yes, you can fantastic. Yes fantastic and there's a
[01:11:36.020 --> 01:11:38.020]   There's a book. Oh
[01:11:38.020 --> 01:11:43.420]   Well, I can't remember. Oh well, we give we do my smart out of our ownable recommendations are kind of blurred
[01:11:43.420 --> 01:11:49.300]   Here's here's Baratunde reading how to be black just a table of American opportunity could be satisfied either
[01:11:49.300 --> 01:11:53.580]   Through a comprehensive program of economic and political empowerment
[01:11:53.580 --> 01:12:01.180]   She's smiling here his voice by extending the buying season for postage stamps featuring noteworthy black Americans by a factor of four
[01:12:01.180 --> 01:12:04.620]   Since the establishment of black history a month
[01:12:04.620 --> 01:12:08.740]   It's funny because here's a guy he could be angry right? I mean this is you know, he's talking
[01:12:08.740 --> 01:12:13.740]   He's it's political and he's such a sweetheart. He just feels you smile. Yeah. Yeah, well, I mean
[01:12:13.740 --> 01:12:19.940]   I think his humor is his way of getting I've seen him do very angry and impassioned
[01:12:19.940 --> 01:12:25.220]   Activist type videos when things are really you know a little too far gone to be funny
[01:12:25.220 --> 01:12:27.900]   He's great, but he is one of the funniest dudes in the world
[01:12:27.900 --> 01:12:33.660]   Love baratunde well, we anytime he's out here. We have him on the show. Have you been on the show with him?
[01:12:33.660 --> 01:12:38.260]   No, I have not next time he's here. Okay. I'll dump this guy and we'll get there. Hey
[01:12:38.260 --> 01:12:47.020]   All right, John and Baratunde, how about that for a big shoe. I would make for a good tickle fight
[01:12:47.020 --> 01:12:55.060]   Should we do the week ahead? All right, all right. Let's see what's coming up Tom merit and TNT. We have a great new show here
[01:12:55.060 --> 01:13:02.580]   John what do you always do every Monday through Friday 230 actually we now started 3 p.m. Pacific 6 p.m. Eastern time
[01:13:03.260 --> 01:13:07.500]   Tech news today. Let's see what Tom will be covering in the week ahead. Hey, thanks Leo
[01:13:07.500 --> 01:13:11.980]   Here's a lot of stuff that's happening in the week ahead will be keeping an eye on on tech news today
[01:13:11.980 --> 01:13:19.500]   Monday March 5th the game developers conference kicks off in San Francisco Tuesday March 6th seabit kicks off in Hanover, Germany
[01:13:19.500 --> 01:13:25.500]   Mass Effect 3 comes out and Pandora has their earnings call with their brand spanking new IPO stock
[01:13:25.500 --> 01:13:33.200]   Wednesday March 7th apple has some kind of announcement tablet TV who knows the geek wire summit takes place in
[01:13:33.200 --> 01:13:40.920]   Seattle and the launch festival happens in San Francisco Friday March 9th south by southwest interactive kicks off in
[01:13:40.920 --> 01:13:43.440]   Austin that's a look at the week ahead back to you Leo
[01:13:43.440 --> 01:13:48.880]   Do you have any questions for Tom? No screw him turns out that the guys never hear
[01:13:48.880 --> 01:14:02.240]   Every week I'm too busy and then now you know this is this I'm just essentially being set up week after week
[01:14:02.240 --> 01:14:08.240]   And when they by the way when they when the worm turns on this deal you guys are gonna be sorry
[01:14:08.240 --> 01:14:12.720]   Fun of me
[01:14:12.720 --> 01:14:17.720]   Question yes, but I forgot what it was
[01:14:17.720 --> 01:14:22.920]   I have to feel for anybody who planned in the day on March 7th
[01:14:22.920 --> 01:14:30.400]   This is why you made a fuss about me saying he's not here to get me in the mindset to set me up with this bogus
[01:14:30.720 --> 01:14:34.160]   Situation you are so paranoid. Huh? I don't feel bogus
[01:14:34.160 --> 01:14:37.920]   Bogadins the new word
[01:14:37.920 --> 01:14:43.680]   But don't you feel bad for anybody who said oh March 7th? That'll be a great day will do the launch festival or whatever
[01:14:43.680 --> 01:14:47.720]   Yeah, like why combinator aren't they also doing their demo days on the 7 demo days?
[01:14:47.720 --> 01:14:53.680]   There's a number of product announcements, and it's like well, not everyone cares about Apple not everyone is invited
[01:14:53.680 --> 01:14:55.680]   But you're not gonna get any bit of the news
[01:14:57.680 --> 01:15:03.240]   Everyone's gonna get we are but you're never gonna get a bit of the news cycle that is owned by Apple for that entire day
[01:15:03.240 --> 01:15:09.520]   No, no, yeah, there are many many people I would even say the majority of people don't care
[01:15:09.520 --> 01:15:14.920]   How many inches of venture beat will be devoted to an iPad through several? Yes, I would say so
[01:15:14.920 --> 01:15:20.440]   I don't know we don't do inches. We do pixels inches and the pixels several several pixels
[01:15:20.440 --> 01:15:24.200]   This story. I don't know what what to make this from venture beat
[01:15:24.200 --> 01:15:28.520]   Maybe you can help us out Jolie Ben Popper writing apples tough talk backfires in
[01:15:28.520 --> 01:15:31.680]   negotiations for new streaming TV service
[01:15:31.680 --> 01:15:36.580]   You know if when it comes to content and internet smart TV
[01:15:36.580 --> 01:15:42.040]   Apple can talk as tough as they want to the content providers
[01:15:42.040 --> 01:15:48.280]   Still will love them more than Google because they are on the opposite side of the table from Google when it comes to things like
[01:15:48.280 --> 01:15:52.480]   Things like piracy and soba and Apple is still their best friend in the tech world
[01:15:52.480 --> 01:15:58.640]   Thanks to you know their early work on iTunes getting people to pay for digital music in the form of mp3s
[01:15:58.640 --> 01:16:06.480]   And that's my two cents about that the New York Post says Apple will or hopes to launch its streaming TV service a Netflix style
[01:16:06.480 --> 01:16:12.000]   I guess TV service by Christmas, but the problem is that they're really throwing their weight around
[01:16:12.000 --> 01:16:18.600]   Apple's negotiating stance according to the post is we decide the price we decide what content
[01:16:19.520 --> 01:16:24.320]   One media executive the media executives are coming out of these meetings pissed and that's how come there's a story about this
[01:16:24.320 --> 01:16:31.240]   They want everything for nothing says another media executive echoing similar tense negotiations Apple has had in the past
[01:16:31.240 --> 01:16:34.400]   Apple is look a little like Steve Jobs and some
[01:16:34.400 --> 01:16:39.200]   Maybe maybe maybe there's a little something it's the you know
[01:16:39.200 --> 01:16:44.480]   It's the it's the short cropped gray hair these people are used to holding all the chips when they're talking to
[01:16:44.840 --> 01:16:49.560]   Media or digital media types when they're talking to Hulu when they're talking to Roku when they're talking to Netflix
[01:16:49.560 --> 01:16:53.360]   They're the big guys in the room Apple is equally used to being the big guys in the room
[01:16:53.360 --> 01:16:58.360]   So I'm not surprised that everyone's leaving these negotiations pissed and feeling like they're not gonna get what they want
[01:16:58.360 --> 01:17:00.360]   You have to get all posturing anyway
[01:17:00.360 --> 01:17:06.640]   You really is you have to kiss Brian using the media you have to kiss Brian Roberts ass if you want Comcast to come along for the ride
[01:17:06.640 --> 01:17:13.160]   He's used to everybody kissing the ring, but me that Apple is also used to everybody kissing the ring. It's basically, you know two Titans
[01:17:13.920 --> 01:17:15.120]   fighting
[01:17:15.120 --> 01:17:19.840]   Apple's trying to get cable operators to work with it to improve their accessibility in the look of video services
[01:17:19.840 --> 01:17:23.760]   You got to admit the cable guides the cable DVRs are awful
[01:17:23.760 --> 01:17:30.920]   They're terrible. Mm-hmm. And of course Apple's trying to improve these things. No wait when they say they're trying to improve it
[01:17:30.920 --> 01:17:34.480]   Does that mean they're trying to get more cable network content onto?
[01:17:34.480 --> 01:17:41.880]   No, they they want they want them to dump the cable boxes and and ship sleek Apple devices in their place
[01:17:41.880 --> 01:17:45.680]   That's not that's not gonna never this is a quote from the post they wanted
[01:17:45.680 --> 01:17:50.200]   They want to create the interface and they want to work with the cable guys to manage the bandwidth
[01:17:50.200 --> 01:17:56.360]   They'd like that right across the TV and broadband pipeline instead cable executives pretty much shut the door
[01:17:56.360 --> 01:18:00.600]   Referring to keep an apple at a safe distance from the lucrative
[01:18:00.600 --> 01:18:05.000]   150 billion dollar pay TV business. They're trying to protect it of course course
[01:18:05.000 --> 01:18:10.280]   So Comcast is launching its own streaming service, right
[01:18:11.040 --> 01:18:16.080]   Is it like HBO go I was actually I just know it's an hour this week and talk to the Roku CEO
[01:18:16.080 --> 01:18:18.400]   So I'm all on fire about what's going on with the cable
[01:18:18.400 --> 01:18:22.040]   I'm not been meeting wanting to meet with that guy and I keep he has a great story
[01:18:22.040 --> 01:18:27.480]   He just is a wonderful fellow to talk to you should talk with me. I'm gonna go down there. They're smart. Well, this yeah
[01:18:27.480 --> 01:18:34.920]   Normal they realize that normal people will pay $50 for a box that they can get shows on they won't pay for an Apple
[01:18:34.920 --> 01:18:40.600]   I've got Comcast I've got on demand and they've got this new thing stream picks and it's just exactly like Amazon stream
[01:18:40.600 --> 01:18:43.200]   In fact, it's pretty much all they all have the same movies Netflix Amazon
[01:18:43.200 --> 01:18:45.000]   Is it a is it pay per view or a subscription?
[01:18:45.000 --> 01:18:48.880]   It's a subscription so I go and they then they put it in the VOD and you go and you click it
[01:18:48.880 --> 01:18:51.080]   Oh, I want to watch that movie says no you have to subscribe
[01:18:51.080 --> 01:18:57.640]   And I just think that you're already giving this much money to Comcast and they now come back and say oh yeah
[01:18:57.640 --> 01:19:00.280]   That'll be more well. That's what HBO go is it's oh, yeah
[01:19:00.280 --> 01:19:05.540]   You can play this content on your internet TV if you've got a Comcast if you subscribe to HBO which is
[01:19:05.540 --> 01:19:07.760]   thinking but
[01:19:07.760 --> 01:19:12.560]   It's not as bad as what it was a couple years ago and it's not as good as it's gonna be a few years from now
[01:19:12.560 --> 01:19:18.640]   But we're in pain because we're evolving so so March 1st Google's new privacy policy launched
[01:19:18.640 --> 01:19:23.040]   Yeah, and the world came to an end sure did
[01:19:23.040 --> 01:19:30.520]   Not not I turned off my web history and that was all there was to that so I'm gonna I
[01:19:30.520 --> 01:19:33.200]   Don't even want to start this conversation
[01:19:33.200 --> 01:19:36.800]   I'm just gonna say it and you can all yell at me and tell me I'm okay. You're full of it
[01:19:36.800 --> 01:19:39.880]   Thank you. Well crap. Good. We just we can just move on
[01:19:39.880 --> 01:19:47.400]   I just you have a obscure opinion about this. Well, I think it's a contrarian opinion about it. I think Google
[01:19:47.400 --> 01:19:53.600]   Their new policy mainly said look we've got all these services. We've got YouTube Google Docs gmail Picasso
[01:19:53.600 --> 01:19:59.360]   We've got a bunch of stuff you guys are using in the past. We have an aggregated data from all those services starting March 1st
[01:19:59.360 --> 01:20:00.320]   We're gonna
[01:20:00.320 --> 01:20:06.360]   Here's the privacy policy. Please we beg of you read the damn privacy policy see what we do with our stuff
[01:20:06.360 --> 01:20:08.360]   And if you don't like it opt out
[01:20:08.360 --> 01:20:13.560]   They give you an opt out in fact more than that they give you a dashboard
[01:20:13.560 --> 01:20:15.740]   Here's what they say they're gonna do we use the information
[01:20:15.740 --> 01:20:23.080]   We collect from all of our services to provide maintain and improve them make sense to develop new services make sense
[01:20:23.080 --> 01:20:25.600]   I'm not sure what to protect Google and our users means
[01:20:25.600 --> 01:20:29.640]   But I think that's a back-hat and way of saying and if law enforcement asks we'll give it to them
[01:20:29.640 --> 01:20:31.680]   Yeah, and they do they have to
[01:20:31.680 --> 01:20:34.680]   America
[01:20:34.680 --> 01:20:40.020]   Everyone must turn their information to the police. It's the law. Okay. This is the this is the sentence it matters
[01:20:40.020 --> 01:20:44.360]   We also use this information to offer you tailored content
[01:20:44.360 --> 01:20:49.820]   Like giving you more relevant search results and ads that's it relevant. That's a nice
[01:20:49.820 --> 01:20:55.240]   Targeted ads and targeted search and search results with social. That's it
[01:20:55.240 --> 01:20:58.240]   They give you they all accurate
[01:20:58.840 --> 01:21:05.640]   Accurate well if you if you turn off the web, I don't know if you've noticed Jolie after you've turned off your web history
[01:21:05.640 --> 01:21:12.480]   But when you type something in Google and you get the pre the suggested web things it won't be as accurate
[01:21:12.480 --> 01:21:15.640]   One of the things it does here is if I search for
[01:21:15.640 --> 01:21:17.040]   Dolce Vita
[01:21:17.040 --> 01:21:22.200]   There's a restaurant here called Dolce Vita and one of the first things that pop up is Dolce Vita Houston
[01:21:22.200 --> 01:21:25.840]   If I turn off the web history and I unplug from my connection
[01:21:25.840 --> 01:21:30.680]   I don't get that type of that type of perfectly information. We don't collect the data
[01:21:30.680 --> 01:21:33.620]   You don't get the better search result, but they give you the option
[01:21:33.620 --> 01:21:38.920]   They give you google.com/dashboard they show you everything they know they give you a button to delete it
[01:21:38.920 --> 01:21:45.640]   To me, this is eminently fair and we've had this conversation before - do you how much a month do you pay for Google?
[01:21:45.640 --> 01:21:49.320]   Web search and Gmail and YouTube listen exactly someone has to pay for it
[01:21:49.320 --> 01:21:52.080]   It's the advertisers who need the data and okay
[01:21:52.080 --> 01:21:56.240]   Here's my question and this is not I'm not yelling anybody's an honest question I
[01:21:56.240 --> 01:22:02.400]   Bristle at the idea that people are looking at my information, but I'm using all these services for free
[01:22:02.400 --> 01:22:04.240]   I've put the information out there
[01:22:04.240 --> 01:22:06.240]   What really happens to me?
[01:22:06.240 --> 01:22:12.760]   When this data is used in an aggregated anonymized form. How does it actually hurt me other than ideologically?
[01:22:12.760 --> 01:22:18.720]   It's purely ideological or paranoid as far as I can tell because all it's doing is giving you targeted ads
[01:22:19.040 --> 01:22:24.520]   Which presumably you'd prefer to see the ads that have nothing to do with anything you're interested in most people tune out ads
[01:22:24.520 --> 01:22:29.600]   Anyhow, right most people there's some question whether targeted ads work any better than regular ads
[01:22:29.600 --> 01:22:36.800]   But if that's what they want us, I think it's bogus. I think this whole thing about Google has been I've another column you can check it out
[01:22:36.800 --> 01:22:39.320]   I
[01:22:39.320 --> 01:22:45.400]   Think this thing was just a lot of publicity about oh Google this Google that oh let's complain about Google and all the while
[01:22:45.400 --> 01:22:51.480]   Google has a subtext message that yeah, we're getting all this cool information and data about people behind their backs
[01:22:51.480 --> 01:22:54.640]   So they make more money. Yeah, and they really don't know shit. Yeah
[01:22:54.640 --> 01:23:04.120]   Hold up though y'all because we had another story on the sheet about oh how Google Plus is doing so poorly
[01:23:04.120 --> 01:23:10.160]   This okay this guess who is this guess who this is from by the way. It's the Wall Street Journal
[01:23:10.160 --> 01:23:12.160]   Which has been slamming Google from day one
[01:23:12.160 --> 01:23:19.520]   God bless them look I sit across the table from these people and I know what they're doing they are unifying all of Google the privacy
[01:23:19.520 --> 01:23:22.640]   Policies the social experiences all of it to make it more
[01:23:22.640 --> 01:23:28.000]   lucrative for them Google Plus is only part of that the privacy policy is part of that and
[01:23:28.000 --> 01:23:35.280]   And why is it so hard for people to realize that Google Plus isn't a social network and privacy policies have nothing to do with your personal information
[01:23:35.280 --> 01:23:37.640]   Google is making their money and really I mean
[01:23:37.640 --> 01:23:43.960]   I think Google's doing less with the information than Facebook is Facebook in fact does sell aggregated information to
[01:23:43.960 --> 01:23:47.160]   To I think Google would like to be able to do more with the information
[01:23:47.160 --> 01:23:50.120]   But first they have a full lead it from all their different web services
[01:23:50.120 --> 01:23:52.640]   Hence Google Plus hence the price you know
[01:23:52.640 --> 01:23:58.000]   I I'm not buying any of this because I all I know is you look up something like
[01:23:58.000 --> 01:24:05.680]   You know you need to get a microphone stand and for the next six months you're getting ads from Microsoft run stands
[01:24:05.680 --> 01:24:07.680]   Which aren't you already bought it either
[01:24:07.680 --> 01:24:14.080]   I was an accident right but beside the point they don't know anything they just know that I look for a microphone stand one
[01:24:14.080 --> 01:24:20.560]   So let's just time Amazon's worse when you go to the grocery store you get coupons based on what you buy and what people?
[01:24:20.560 --> 01:24:23.760]   Who bought what you bought will buy yes, you know in addition
[01:24:23.760 --> 01:24:28.400]   It was for example if you buy tampons and cat food and romance novels not say anything about my life
[01:24:28.400 --> 01:24:32.720]   But then you know and enough people do that and you go and buy cat food
[01:24:32.720 --> 01:24:37.000]   They'll give you a coupon for tampons, you know I was wrong with that you might want that I talked out
[01:24:37.000 --> 01:24:39.800]   What's wrong? Here's one interesting thing I talked to one of the guy
[01:24:39.800 --> 01:24:41.600]   This was like 15 years ago
[01:24:41.600 --> 01:24:46.000]   I talked to one of the guys who invented that little thing that used to kick out a coupon now
[01:24:46.000 --> 01:24:50.160]   They put print them on the back of it, but he says they first they sold coke on the idea
[01:24:50.160 --> 01:24:56.840]   So anyone walking through buying Pepsi would get a Coke thing and then they took that over to Pepsi says look what we're doing for coke
[01:24:56.840 --> 01:25:00.000]   Now if anyone buys coke, we'll give him a coupon for Pepsi
[01:25:00.000 --> 01:25:03.120]   So he's like playing both sides of the fence. He thought it was hilarious
[01:25:03.120 --> 01:25:08.480]   So really what you're what your position is and I think you're actually right for a change your position
[01:25:08.480 --> 01:25:14.000]   What your position is is that Google laugh is I know I go for everyone of them
[01:25:14.000 --> 01:25:19.200]   What Google's really doing is trying to cover up the fact that these targeted ads in fact are useless
[01:25:19.200 --> 01:25:22.000]   They're no better off than anybody else
[01:25:22.000 --> 01:25:24.640]   And so the whole thing is really a smoke screen
[01:25:24.640 --> 01:25:28.240]   I'm saying that we're gonna have another dot-com type bust
[01:25:28.240 --> 01:25:30.240]   Oh, we're gonna have one anyway
[01:25:30.240 --> 01:25:32.720]   These advertisers need to believe that these ads are effective
[01:25:32.720 --> 01:25:36.880]   We always do is put a dead pool out there. I guarantee within the next two or three years
[01:25:36.880 --> 01:25:43.280]   This is great. I need to keep my job, but I will tell you that we and we don't need to use targeting all we do is we have very narrow
[01:25:43.280 --> 01:25:50.080]   Focus with our content. Well, you're different because you have our ads are targeted and you have a different model than the typical website
[01:25:50.080 --> 01:25:54.080]   And if I know it works, so we wouldn't have these when all hell breaks loose
[01:25:54.800 --> 01:25:59.040]   I'll be here with my dog less shows and Angelina Jolie Odell
[01:25:59.040 --> 01:26:02.000]   So this is the one guy who has the right to sue
[01:26:02.000 --> 01:26:08.800]   He was uh taken he's a guy in france who was suing google for taking a picture of him peeing in his car
[01:26:08.800 --> 01:26:10.800]   Oh, yeah, I love this story. It's your story
[01:26:10.800 --> 01:26:18.720]   It's a valuable public resource. I say and I say it's great to know if this guy's peeing in his in his in his yard
[01:26:18.720 --> 01:26:22.400]   And you're have to visit him. You should know to stay on this on the stone step
[01:26:22.480 --> 01:26:28.480]   So you don't don't worry about stepping and pee his face valuable information is the google street view
[01:26:28.480 --> 01:26:34.480]   As car was going by at the very moment. He was relieving himself in his in his garden. You can't go into the backyard
[01:26:34.480 --> 01:26:37.040]   His face was blurred
[01:26:37.040 --> 01:26:42.960]   Uh, they blurred his face, but they showed him peeing the town he lives in is small. So according to his lawyer. He became
[01:26:42.960 --> 01:26:45.680]   And of jane de liddicune
[01:26:48.160 --> 01:26:54.560]   Yeah, apparently he's been right righted as it were he's been outed by his neighbors give him crap
[01:26:54.560 --> 01:26:57.600]   You are
[01:26:57.600 --> 01:27:00.480]   I saw you on the googers
[01:27:00.480 --> 01:27:05.360]   Oh, I'm not eating your vegetables anymore. He's there
[01:27:05.360 --> 01:27:08.720]   No, thank you for the zucchini
[01:27:08.720 --> 01:27:13.920]   25 us anonymous members arrested internationally the hacker group retaliates
[01:27:15.120 --> 01:27:20.160]   By attempting to bring down sites and then giving up and going home, you know, uh, one of our
[01:27:20.160 --> 01:27:24.080]   Hacker writers was at our essay the security conference this week
[01:27:24.080 --> 01:27:30.640]   Where she heard and agreed with the idea that these guys shouldn't be arrested. They should be hired and rehabilitated
[01:27:30.640 --> 01:27:34.160]   There we go. What do you think of that?
[01:27:34.160 --> 01:27:40.400]   I think it's a terrible idea really to hire a hacker. No, I think that's what happens
[01:27:40.400 --> 01:27:43.600]   That's why you become a hacker because you're trying to get a job in security
[01:27:43.920 --> 01:27:45.920]   That's a good job. No
[01:27:45.920 --> 01:27:50.480]   I think that's you leo i'd look at it. I think just fits me somehow
[01:27:50.480 --> 01:27:57.440]   Well, then didn't didn't anonymous declare war on the united states. Yes, they're gonna bring the internet down at the end of the month
[01:27:57.440 --> 01:28:03.200]   Yeah, I shouldn't mock them because we're easier to bring down on the internet. They
[01:28:03.200 --> 01:28:09.760]   Down for a week when you're beginning phone calls from your uh advertisers saying hey leo, you know
[01:28:10.640 --> 01:28:13.680]   Are you still there? I'm with you men. I'm with you gentlemen
[01:28:13.680 --> 01:28:16.480]   Okay, just saying i'm wearing the mask
[01:28:16.480 --> 01:28:22.960]   I should do one of these videos you're mocking them. Where they uh, uh, electronic your voice and uh
[01:28:22.960 --> 01:28:26.160]   Uh, some kind of vague threat. So i'll pedal them
[01:28:26.160 --> 01:28:28.320]   our war
[01:28:28.320 --> 01:28:30.320]   The water infrastructure
[01:28:30.320 --> 01:28:31.760]   pedal
[01:28:31.760 --> 01:28:32.640]   Or
[01:28:32.640 --> 01:28:36.480]   All the turn off from friday from four to five p.m
[01:28:36.480 --> 01:28:40.240]   I have spoken
[01:28:41.040 --> 01:28:46.880]   So this is any idiot can buy one of these on amazon by the way for a buck 50 and make a video
[01:28:46.880 --> 01:28:50.720]   So that's the point is if you're anonymous, how do they know who you are?
[01:28:50.720 --> 01:28:57.200]   Because you're anonymous you're anonymous. That's right. It was nice knowing you leo says half the chat room
[01:28:57.200 --> 01:29:01.040]   Last time I did this we got hacked i admit
[01:29:01.040 --> 01:29:03.840]   Uh, let's see
[01:29:03.840 --> 01:29:08.000]   Defense department wants more control over the internet. Okay. I'm moving on
[01:29:08.560 --> 01:29:12.320]   Uh, here's a good one from jolly o'del. I wrote something this week
[01:29:12.320 --> 01:29:15.840]   How roku is kicking the cable industry's butthox
[01:29:15.840 --> 01:29:19.360]   I put a headline that was my big
[01:29:19.360 --> 01:29:25.120]   That's a big deal. I peaked too soon really, but no, um, yeah, so as I said, but in the headline
[01:29:25.120 --> 01:29:30.000]   Yep, I got I got my kicks. So, uh, no, yeah, I did sit down with the roku ceo
[01:29:30.000 --> 01:29:34.240]   Lovely guy. We talked about uh, anthony would is that him?
[01:29:34.960 --> 01:29:41.520]   He's wearing suspenders. He wasn't when I spoke with him, but he does. I I assume he will what happened when you were speaking
[01:29:41.520 --> 01:29:43.840]   No, that was his thing. Sorry. Well
[01:29:43.840 --> 01:29:48.480]   A smile and an outfit that didn't include suspenders
[01:29:48.480 --> 01:29:55.680]   So, you know, we talked about his favorite shows and how his family watches tv. It looks like zero
[01:29:55.680 --> 01:30:04.240]   Look pretty good. That's a good hat for you. Yeah, a pilgrim with a short hat. Anyway, what is what is roku's plan?
[01:30:04.960 --> 01:30:06.960]   Because
[01:30:06.960 --> 01:30:13.760]   Ultimately, you know, she has a story to tell. I'm asking her question. I told it in 2020 words. I think
[01:30:13.760 --> 01:30:21.760]   What is that long? I mean I look at netflix for instance, which is really gonna be challenged going forward because the moose movie industry wants to kill
[01:30:21.760 --> 01:30:24.560]   Them everybody wants to kill them. Oh, I don't think they want to kill them
[01:30:24.560 --> 01:30:31.600]   I think they want to use them to continue making money in an era of rampant piracy and
[01:30:31.920 --> 01:30:37.600]   Rapidly changing consumption patterns. So the movie industry likes him, but Comcast wants to kill him. Amazon wants to kill him
[01:30:37.600 --> 01:30:46.880]   I don't know. Amazon wants to compete with them. Sure. I don't think Comcast wants to kill them because get this Comcast makes a higher profit margin by selling you internet service
[01:30:46.880 --> 01:30:52.480]   What? Use more of when you use Netflix than they make from cable. Oh, yeah. Yeah, man. Totally
[01:30:52.480 --> 01:30:55.440]   And I see that's something I didn't look for all the content on cable
[01:30:55.440 --> 01:31:01.200]   They have to pay for licensing that the boxes they they pay for most of the hardware and kind of sell it at cost
[01:31:01.520 --> 01:31:05.360]   They make the most money from internet. So they should what are them? Why are they why are they
[01:31:05.360 --> 01:31:11.440]   They are coming to the caps on they are coming to the table slowly because they're elderly
[01:31:11.440 --> 01:31:13.520]   Uh
[01:31:13.520 --> 01:31:15.520]   The Comcast come be there in a minute
[01:31:15.520 --> 01:31:19.680]   You're by the way, jolly. You're the only person on this panel who can say that word
[01:31:19.680 --> 01:31:24.480]   The elder leader you are with the elderly right now
[01:31:27.040 --> 01:31:32.960]   The institution is a little bit more entrenched and incumbent and it's harder for them to say oh, yeah, sure man
[01:31:32.960 --> 01:31:34.960]   We'll get with the times. We'll be here if you like that. So
[01:31:34.960 --> 01:31:39.920]   Uh, it's all changing. It's changing not as slowly as we like to complain
[01:31:39.920 --> 01:31:47.920]   But um, I think you know some of those pain points that were there when we started digitizing music are there when we're digitizing film and television
[01:31:47.920 --> 01:31:50.480]   Actually, if you think about a roku is best situated
[01:31:50.480 --> 01:31:56.960]   Because they don't care what the content is they just provide you basically their their business is we connect your tv to the
[01:31:56.960 --> 01:32:01.840]   internet their business I found out is rev sharing with the content creators
[01:32:01.840 --> 01:32:09.360]   Um, they're giving the content creators access. Yeah. Yeah, and it's working really well for everybody what they're focusing on next is smart tv's
[01:32:09.360 --> 01:32:16.320]   And how to create roku smart tv packet see that's the challenge because I have this samsung tv in here now
[01:32:16.320 --> 01:32:19.760]   With if I have that or a blu-ray player. I don't really need
[01:32:19.760 --> 01:32:25.440]   Uh roku, right because it's already iR&EM connected to the internet and all new tv's will be connected
[01:32:26.000 --> 01:32:31.520]   roku's product is better than than the smart tv on sam song or any of the others. I mean, it's I agree
[01:32:31.520 --> 01:32:37.120]   Sam's son is familiar. Yeah, it's uh, it's more reliable. I don't I don't know about yours, but my smart tv
[01:32:37.120 --> 01:32:42.400]   You know drops connection and sometimes doesn't have it's uh, you can't find the router
[01:32:42.400 --> 01:32:49.520]   And like roku though, you have to think about all the people who don't have smart tv's and who will pay $50 for
[01:32:49.520 --> 01:32:51.280]   I agree
[01:32:51.280 --> 01:32:54.960]   More more than what i'm saying, you know, what about people who have feature tv's?
[01:32:54.960 --> 01:32:59.280]   Well, these are the poor people with the dumb tv's they can just the feature phone said
[01:32:59.280 --> 01:33:04.800]   Yeah, no, I love roku. I've been recommending roku for years. This is an interesting website. You gave
[01:33:04.800 --> 01:33:08.400]   Way some roku's as gifts some years back two years ago
[01:33:08.400 --> 01:33:12.640]   We gave every host you got one every host of roku when we started putting a twit on roku
