;FFMETADATA1
title=Like a Fine Cheese
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=472
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.340]   It's time for "Twit!"
[01:39:34.520 --> 01:39:41.160]   it is believed that, for instance, Miami Beach is going to just go away in the next
[01:39:41.160 --> 01:39:42.080]   Oh, yeah. Yeah.
[01:39:42.080 --> 01:39:46.560]   Miami is like because of global warming is like going to be gone in like five years.
[01:39:46.560 --> 01:39:48.320]   The this already there.
[01:39:48.320 --> 01:39:52.320]   There's a billion, multi-billion dollar project in Miami Beach to stave back,
[01:39:52.320 --> 01:39:56.320]   to hold back the waters because it's encroaching on the underground sewage system.
[01:39:56.320 --> 01:39:58.600]   That's why the water is so good.
[01:39:58.600 --> 01:40:05.320]   Miami is my just be clean water instead of actually tasting good,
[01:40:05.320 --> 01:40:08.160]   which would make a lot of sense because they would have to purify.
[01:40:08.160 --> 01:40:10.080]   Here's a story I thought was very interesting.
[01:40:10.080 --> 01:40:12.520]   It's not breaking news, but I thought it was very interesting.
[01:40:12.520 --> 01:40:16.200]   A study published in Science Express.
[01:40:16.200 --> 01:40:19.680]   They describe four experiments based on their results.
[01:40:19.680 --> 01:40:24.720]   People are recalling information less because of Google.
[01:40:24.720 --> 01:40:28.200]   Why bother to remember when you could just Google it?
[01:40:28.200 --> 01:40:32.040]   In fact, what people are doing instead of trying to remember something is remembering
[01:40:32.040 --> 01:40:32.760]   how to find it.
[01:40:32.760 --> 01:40:35.880]   That makes sense.
[01:40:35.880 --> 01:40:39.240]   Here's the here's the tell you test to see if you're one of these people.
[01:40:39.240 --> 01:40:46.040]   Imagine somebody asks you and I'll ask you right now, everybody in the audience,
[01:40:46.040 --> 01:40:49.280]   how many countries have flags with only one color?
[01:40:49.280 --> 01:40:54.840]   Some of you, you old timers will start thinking of flags.
[01:40:54.840 --> 01:40:58.280]   Most of you will start thinking of where you would search to find that.
[01:40:58.280 --> 01:40:59.360]   Yes.
[01:40:59.360 --> 01:40:59.720]   Wow.
[01:40:59.720 --> 01:41:00.040]   Yeah.
[01:41:00.040 --> 01:41:01.040]   How do I Google that?
[01:41:01.040 --> 01:41:01.600]   Right?
[01:41:01.600 --> 01:41:06.280]   Welcome to the 21st century.
[01:41:06.280 --> 01:41:10.640]   This concept, by the way, is not new to the computer age.
[01:41:10.640 --> 01:41:12.760]   It's called transactive memory.
[01:41:12.760 --> 01:41:15.840]   That's the sum of information held by a group.
[01:41:16.960 --> 01:41:20.480]   Think of it as a group of experts working as a team where each person has their own
[01:41:20.480 --> 01:41:21.840]   area of expertise.
[01:41:21.840 --> 01:41:24.440]   But now, of course, we don't need the team.
[01:41:24.440 --> 01:41:25.120]   What are you looking at?
[01:41:25.120 --> 01:41:25.600]   What is that?
[01:41:25.600 --> 01:41:27.360]   Oh, he's looking at and you go.
[01:41:27.360 --> 01:41:29.560]   I did a search for red flags.
[01:41:29.560 --> 01:41:30.160]   Yeah, there you go.
[01:41:30.160 --> 01:41:33.240]   And then you can do one for green flags and blue flags.
[01:41:33.240 --> 01:41:33.760]   You go.
[01:41:33.760 --> 01:41:35.680]   Is it evolutionary though?
[01:41:35.680 --> 01:41:36.320]   I'm curious.
[01:41:36.320 --> 01:41:41.720]   You know, we there are certain things that we needed to remember more of 200
[01:41:41.720 --> 01:41:43.440]   and, you know, 300 years ago.
[01:41:44.000 --> 01:41:47.440]   Are these things now less important to us that we don't need to worry about them
[01:41:47.440 --> 01:41:48.840]   because the tools have come along.
[01:41:48.840 --> 01:41:50.680]   So that part of our brain has shut down.
[01:41:50.680 --> 01:41:51.200]   I don't remember.
[01:41:51.200 --> 01:41:51.960]   Not shut down.
[01:41:51.960 --> 01:41:54.560]   It's just replaced with more personal stuff that you can't Google.
[01:41:54.560 --> 01:42:03.360]   OK, so more important things or maybe other nuggets of information that I, you know, I can't
[01:42:03.360 --> 01:42:05.560]   remember the last time I paid attention to a phone number.
[01:42:05.560 --> 01:42:06.680]   I only.
[01:42:06.680 --> 01:42:10.320]   I think I remember as my wife's owner and my childhood phone number growing up in my
[01:42:10.320 --> 01:42:10.680]   parents.
[01:42:10.680 --> 01:42:13.080]   I remember my home phone number as a kid.
[01:42:13.200 --> 01:42:17.200]   I vividly remember that, but I haven't had to memorize a number since because my phone
[01:42:17.200 --> 01:42:17.560]   does it.
[01:42:17.560 --> 01:42:22.080]   And in fact, when you exchange numbers these days, what's the easiest way to do it?
[01:42:22.080 --> 01:42:22.880]   You have somebody will.
[01:42:22.880 --> 01:42:24.280]   I don't know my numbers.
[01:42:24.280 --> 01:42:25.120]   Let me just call you.
[01:42:25.120 --> 01:42:26.200]   Right.
[01:42:26.200 --> 01:42:27.120]   And now it's in your phone.
[01:42:27.120 --> 01:42:28.520]   Right.
[01:42:28.520 --> 01:42:29.400]   Right.
[01:42:29.400 --> 01:42:30.120]   That's the easiest way.
[01:42:30.120 --> 01:42:32.360]   Just call me or text me your number or something like that.
[01:42:32.360 --> 01:42:34.840]   Is it that better because we're remembering names, not numbers.
[01:42:34.840 --> 01:42:35.880]   We don't need to remember numbers.
[01:42:35.880 --> 01:42:38.840]   It's way better when I was I was a software developer for a long time.
[01:42:38.840 --> 01:42:42.640]   And when I first started to learn software development in the 90s, it was a lot
[01:42:42.640 --> 01:42:45.160]   of memorization of APIs and calls and things like that.
[01:42:45.160 --> 01:42:49.320]   But as the tools got better and as the research abilities got better, you know, you didn't
[01:42:49.320 --> 01:42:52.600]   have to learn APIs anymore because the tools are going to look up everything for you.
[01:42:52.600 --> 01:42:57.080]   At that point, it just began kind of a game of remembering what each module could do,
[01:42:57.080 --> 01:43:01.160]   what each language could do roughly and knowing where to look to find it, basically.
[01:43:01.160 --> 01:43:02.600]   But you didn't have to remember anything anymore.
[01:43:02.600 --> 01:43:06.400]   And suddenly you could go out and learn a new programming language in a couple of days
[01:43:06.400 --> 01:43:08.080]   because you only needed to get the syntax down.
[01:43:08.080 --> 01:43:10.000]   You didn't have to memorize every little bit.
[01:43:10.000 --> 01:43:13.320]   And ultimately that made me a much more powerful programmer.
[01:43:13.320 --> 01:43:17.520]   And I think that's kind of the general approach that we're being able to take to our day to day lives.
[01:43:17.520 --> 01:43:21.680]   Now with the smartphones and being able to look up things dynamically and get directions to places,
[01:43:21.680 --> 01:43:25.200]   you don't have to remember even how to get anywhere anymore, which is I think it's a good thing.
[01:43:25.200 --> 01:43:26.040]   I do too.
[01:43:26.040 --> 01:43:31.920]   But I'm worried about the vapidness though with the, you know, because just the level of
[01:43:31.920 --> 01:43:37.080]   information we have access to now and we know, I mean, and Tim, I'm sure you can speak to this
[01:43:37.080 --> 01:43:40.720]   as a writer and the reaction that you would get from longer posts on Engadget.
[01:43:40.720 --> 01:43:45.160]   We see this with BuzzFeed and the small, you know, smaller and smaller snippets of information.
[01:43:45.160 --> 01:43:49.720]   And, you know, people are only looking at screens for a few seconds before they move on to the next thing.
[01:43:49.720 --> 01:43:54.680]   They're not really sitting there reading 40 minutes, 40 minute articles or, you know,
[01:43:54.680 --> 01:43:58.480]   in digesting 10,000 words and like we used to.
[01:43:58.480 --> 01:44:00.160]   And so I know there was a period.
[01:44:00.160 --> 01:44:05.680]   I felt like there was like a two year period that where I just don't think I remember to damn thing.
[01:44:05.680 --> 01:44:10.360]   Where I used to sit inside of Barnes and Noble for hours and just read like foreign policy magazine
[01:44:10.360 --> 01:44:15.360]   and time magazine and just go through these large articles and I'd have then when I would go on the air,
[01:44:15.360 --> 01:44:18.840]   I would be able to have like a contextual analysis.
[01:44:18.840 --> 01:44:22.440]   And I would be able to be able to pull from this as a history major and be able to say,
[01:44:22.440 --> 01:44:25.840]   well, you know, back in 1960, this happened now.
[01:44:25.840 --> 01:44:29.680]   There was like a two year period a few years ago where I felt dumb as a rock.
[01:44:29.680 --> 01:44:34.640]   I just felt like I wasn't remembering anything and I couldn't contextualize large pieces of information.
[01:44:34.640 --> 01:44:38.360]   I couldn't contextualize news stories in a way that I used to be able to.
[01:44:38.360 --> 01:44:43.200]   And I really blame that on just like consuming small snippets of information and not sitting for long periods.
[01:44:43.200 --> 01:44:44.040]   Factoids.
[01:44:44.040 --> 01:44:45.200]   Yeah. Yeah.
[01:44:45.200 --> 01:44:51.400]   So, but as broadcasters, we can't, you know, you can't sit here and Google an answer as you're when you're sitting there on the set.
[01:44:51.400 --> 01:44:55.200]   Right. So it's actually we may be the last holdouts.
[01:44:55.200 --> 01:44:56.600]   People actually have to know anything.
[01:44:56.600 --> 01:45:00.040]   Or at least remember anything.
[01:45:00.040 --> 01:45:03.960]   Speaking of numbers, Leo, have you seen this app called human yet?
[01:45:03.960 --> 01:45:04.440]   No.
[01:45:05.280 --> 01:45:05.640]   Yeah.
[01:45:05.640 --> 01:45:07.360]   Oh, my wife was telling me about this.
[01:45:07.360 --> 01:45:08.400]   Yeah, I haven't played with it yet.
[01:45:08.400 --> 01:45:10.480]   She got annoyed by it though.
[01:45:10.480 --> 01:45:12.520]   She got annoyed by it because there's so many notifications.
[01:45:12.520 --> 01:45:13.120]   It what is it?
[01:45:13.120 --> 01:45:13.440]   What is it?
[01:45:13.440 --> 01:45:17.080]   It's like a contacts manager for everything, right?
[01:45:17.080 --> 01:45:17.920]   Yeah.
[01:45:17.920 --> 01:45:19.640]   It's not it's a fitness context.
[01:45:19.640 --> 01:45:21.320]   It's a fitness track.
[01:45:21.320 --> 01:45:25.680]   No, it's a replacement for your eye for your phone and your contacts.
[01:45:25.680 --> 01:45:29.600]   Oh, so here is how you know them.
[01:45:29.600 --> 01:45:33.480]   So people that you met at a given meeting or you can run queries in there to say,
[01:45:34.000 --> 01:45:35.000]   who is this?
[01:45:35.000 --> 01:45:36.040]   Why do I know them?
[01:45:36.040 --> 01:45:37.040]   What did I meet at this meeting?
[01:45:37.040 --> 01:45:41.440]   And I recuse myself and say that I actually done some advising with humans.
[01:45:41.440 --> 01:45:42.840]   So I clear.
[01:45:42.840 --> 01:45:45.160]   No, well, that doesn't don't recuse yourself.
[01:45:45.160 --> 01:45:48.520]   We now understand that you, you know, have some relationship with them.
[01:45:48.520 --> 01:45:49.400]   But tell us more.
[01:45:49.400 --> 01:45:50.440]   I think this is interesting.
[01:45:50.440 --> 01:45:55.000]   So the idea is basically to bring some of the this intelligence in, you know,
[01:45:55.000 --> 01:45:56.920]   in a modern system to your contact book.
[01:45:56.920 --> 01:46:00.600]   And so instead of just saying, you know, so and so is last name begins with a,
[01:46:00.600 --> 01:46:02.200]   so therefore he's at the top.
[01:46:02.200 --> 01:46:04.360]   I say instead, this is the person that I call a lot.
[01:46:04.360 --> 01:46:08.120]   So therefore they're going to be at the top or I'm traveling to San Francisco.
[01:46:08.120 --> 01:46:11.000]   Who do I know who lives in San Francisco and then post a message and say, Hey,
[01:46:11.000 --> 01:46:14.920]   I'm in San Francisco or I need to get an introduction to somebody at Google,
[01:46:14.920 --> 01:46:16.360]   because I'm looking to get a job there.
[01:46:16.360 --> 01:46:19.320]   Who do I know who works at Google or who do I know who knows somebody who works at
[01:46:19.320 --> 01:46:23.080]   Google and basically trying to bring that sort of smart and that sort of real
[01:46:23.080 --> 01:46:26.800]   world context and relationships to, to an app effectively.
[01:46:26.800 --> 01:46:31.640]   It also keeps your contact list up to date because let's say I have an old business
[01:46:31.640 --> 01:46:36.200]   card from Tim Stevens that I scanned five years ago and it's in my Google
[01:46:36.200 --> 01:46:42.320]   context and he got a new job and a new phone and all and a new email address.
[01:46:42.320 --> 01:46:43.720]   And I don't know any of that.
[01:46:43.720 --> 01:46:49.280]   He can validate his account and say, Oh, replay.
[01:46:49.280 --> 01:46:53.200]   If anybody has these things in their context, replace them with the new thing
[01:46:53.200 --> 01:46:54.320]   and send it out.
[01:46:54.320 --> 01:46:56.720]   And then everybody's contact list gets up to date.
[01:46:56.720 --> 01:46:58.600]   How do you really nice?
[01:46:58.600 --> 01:46:59.080]   How do you?
[01:46:59.080 --> 01:46:59.800]   So it's plaque.
[01:46:59.800 --> 01:47:02.000]   So it's similar to plaque.
[01:47:02.000 --> 01:47:03.720]   So, but it's for mobile phone.
[01:47:03.720 --> 01:47:05.920]   It's much nicer than then plaque.
[01:47:05.920 --> 01:47:07.080]   So it's contextual.
[01:47:07.080 --> 01:47:12.080]   So if we're together, it starts telling us information about each other, which is
[01:47:12.080 --> 01:47:12.520]   nice.
[01:47:12.520 --> 01:47:18.720]   And it also, if I, if I add you, let's say I meet you at a party or something.
[01:47:18.720 --> 01:47:23.560]   And I ask, Hey, can I enter your your email address into my contact list?
[01:47:23.560 --> 01:47:26.360]   It'll even keep track of what party we met at.
[01:47:26.360 --> 01:47:28.760]   So, you know, four years later, when I.
[01:47:28.760 --> 01:47:30.040]   But you have to enter that in.
[01:47:30.040 --> 01:47:33.120]   No, it knows where we are.
[01:47:33.120 --> 01:47:36.200]   Yes, it's mobile first.
[01:47:36.200 --> 01:47:37.760]   So it's location because of that.
[01:47:37.760 --> 01:47:41.040]   It can actually say, if you've got a meeting coming up, it'll say you've got a meeting
[01:47:41.040 --> 01:47:43.600]   with Betty who you met at this party and see Betty's picture.
[01:47:43.600 --> 01:47:46.960]   So when you walk into that meeting, you'll now know what Betty looks like because I'm
[01:47:46.960 --> 01:47:50.680]   terrible with names, which may tie back to this other issue that we're talking about
[01:47:50.680 --> 01:47:51.960]   not being able to remember anything anymore.
[01:47:51.960 --> 01:47:55.040]   But the Apple base could prompt you about the people that you're about to see
[01:47:55.040 --> 01:47:58.040]   and where you met them and kind of give you some contextual clues to help you.
[01:47:58.400 --> 01:47:59.480]   Remember who those people were?
[01:47:59.480 --> 01:48:00.640]   Which is great.
[01:48:00.640 --> 01:48:03.680]   It's iPhone only for us.
[01:48:03.680 --> 01:48:06.440]   Android version coming very within days.
[01:48:06.440 --> 01:48:07.480]   Oh, good.
[01:48:07.480 --> 01:48:08.640]   I don't know about that.
[01:48:08.640 --> 01:48:12.160]   It's hard to find because I just interviewed the CEO last week.
[01:48:12.160 --> 01:48:13.560]   You said within days.
[01:48:13.560 --> 01:48:14.360]   All right.
[01:48:14.360 --> 01:48:15.560]   Let's say a couple of weeks.
[01:48:15.560 --> 01:48:19.640]   OK, that could be 14 days within days.
[01:48:19.640 --> 01:48:22.040]   Hard to find because human is kind of a generic term.
[01:48:22.040 --> 01:48:23.040]   It's you.
[01:48:23.040 --> 01:48:25.200]   And yeah, I am.
[01:48:25.200 --> 01:48:27.400]   Oh, no wonder I couldn't find it.
[01:48:28.240 --> 01:48:28.960]   Like cap station.
[01:48:28.960 --> 01:48:30.840]   I am like cap capisasin.
[01:48:30.840 --> 01:48:34.080]   All right, let's take a break and see.
[01:48:34.080 --> 01:48:36.720]   We got a great panel here.
[01:48:36.720 --> 01:48:37.720]   We got a few more stories.
[01:48:37.720 --> 01:48:39.480]   We're going to wrap it up.
[01:48:39.480 --> 01:48:41.600]   Mr. Tim Stevens here from Cnet.
[01:48:41.600 --> 01:48:45.520]   Mr. Good to have you.
[01:48:45.520 --> 01:48:47.360]   Thank you Morris from Tinky Wink.
[01:48:47.360 --> 01:48:50.400]   The night has descended on the lake.
[01:48:50.400 --> 01:48:52.920]   This is really straight out of the cabin in the woods.
[01:48:52.920 --> 01:48:54.920]   I swear to God.
[01:48:54.920 --> 01:48:57.400]   I'm just waiting for a trap door to open down the hall.
[01:48:58.280 --> 01:49:01.280]   And Robert Scobel from space.
[01:49:01.280 --> 01:49:05.880]   And we had a great week on Twitter.
[01:49:05.880 --> 01:49:07.640]   Do we have also a week ahead?
[01:49:07.640 --> 01:49:11.160]   No, OK, so we don't know what next week's going to look like.
[01:49:11.160 --> 01:49:13.720]   But if I look back last week was a killer watch.
[01:49:13.720 --> 01:49:16.920]   Previously on Twitter.
[01:49:16.920 --> 01:49:19.360]   Something's wrong with this picture.
[01:49:19.360 --> 01:49:21.640]   Look, I finally found a good use for an iPad.
[01:49:21.640 --> 01:49:24.200]   This weekend enterprise tech.
[01:49:24.200 --> 01:49:25.320]   So I'm here at the blackout.
[01:49:25.320 --> 01:49:27.640]   In 2014, we're talking to Fluke Networks
[01:49:27.640 --> 01:49:29.880]   and what they're doing to shut down drones
[01:49:29.880 --> 01:49:31.640]   and Google Glass in your enterprise.
[01:49:31.640 --> 01:49:33.280]   Marketing Mavericks.
[01:49:33.280 --> 01:49:36.240]   Facebook now feels like they actually have to tell us
[01:49:36.240 --> 01:49:37.960]   when something is that type.
[01:49:37.960 --> 01:49:39.560]   Not to tell us, Tony.
[01:49:39.560 --> 01:49:41.640]   It's to tell only the morons.
[01:49:41.640 --> 01:49:43.240]   Security now.
[01:49:43.240 --> 01:49:48.080]   We now know what ISP pushed the wrong button
[01:49:48.080 --> 01:49:51.960]   that caused a major problem throughout the entire internet.
[01:49:51.960 --> 01:49:53.520]   All about Android.
[01:49:53.520 --> 01:49:57.040]   Ignore no more is developed by a frustrated mom
[01:49:57.040 --> 01:50:00.120]   who created this app that gives her the power to remotely lock
[01:50:00.120 --> 01:50:01.440]   and disable her kid's phone.
[01:50:01.440 --> 01:50:03.960]   I hope to never have to use a app like this.
[01:50:03.960 --> 01:50:05.800]   I don't want to ever want to use an app like this.
[01:50:05.800 --> 01:50:06.760]   To it.
[01:50:06.760 --> 01:50:08.440]   Some assembly required.
[01:50:08.440 --> 01:50:09.920]   Miami just appeared.
[01:50:09.920 --> 01:50:11.440]   I was going to do the rest of the show this way.
[01:50:11.440 --> 01:50:12.600]   It's not the travel size.
[01:50:12.600 --> 01:50:14.320]   Emmy, because it doesn't look like it's in the.
[01:50:14.320 --> 01:50:15.200]   Oh, I see.
[01:50:15.200 --> 01:50:17.680]   He just swung that out.
[01:50:17.680 --> 01:50:18.560]   He's coming.
[01:50:18.560 --> 01:50:19.880]   It was like, like, brave.
[01:50:22.360 --> 01:50:25.000]   And the week ahead actually is going to be pretty big.
[01:50:25.000 --> 01:50:25.840]   I think we're going to.
[01:50:25.840 --> 01:50:27.400]   Well, next week we won't.
[01:50:27.400 --> 01:50:29.160]   Next week's the last week of August.
[01:50:29.160 --> 01:50:32.320]   The following week, we're going to do live coverage.
[01:50:32.320 --> 01:50:36.160]   I assume Motorola is going to do this of the of the Moto X
[01:50:36.160 --> 01:50:39.120]   or whatever announcement September 4th
[01:50:39.120 --> 01:50:40.840]   and then Apple September 9th.
[01:50:40.840 --> 01:50:44.360]   What is Motorola going to announce on September 4th?
[01:50:44.360 --> 01:50:45.280]   We talked a lot about Apple.
[01:50:45.280 --> 01:50:46.640]   What about Motorola?
[01:50:46.640 --> 01:50:49.360]   Watch 360.
[01:50:49.360 --> 01:50:50.600]   The 360.
[01:50:50.600 --> 01:50:51.600]   Mm hmm.
[01:50:51.600 --> 01:50:53.840]   A new Moto X.
[01:50:53.840 --> 01:50:56.680]   I see.
[01:50:56.680 --> 01:50:58.960]   I thought the Moto X was like the best Android fun of the year.
[01:50:58.960 --> 01:51:00.240]   You're all iPhone users.
[01:51:00.240 --> 01:51:01.600]   I can't talk to you.
[01:51:01.600 --> 01:51:02.120]   I have a note.
[01:51:02.120 --> 01:51:02.680]   I have a note.
[01:51:02.680 --> 01:51:03.200]   I have a note.
[01:51:03.200 --> 01:51:04.000]   I like the Moto X.
[01:51:04.000 --> 01:51:05.320]   That was one of my favorite Android phones.
[01:51:05.320 --> 01:51:05.960]   I love it.
[01:51:05.960 --> 01:51:06.400]   It's in Texas.
[01:51:06.400 --> 01:51:08.320]   And I feel like by the way,
[01:51:08.320 --> 01:51:10.200]   Motorola is still on by Google, right?
[01:51:10.200 --> 01:51:11.760]   It hasn't yet become Lenovo.
[01:51:11.760 --> 01:51:16.760]   So this is the last kind of Google Motorola phone.
[01:51:17.760 --> 01:51:18.760]   Anyway, I'm excited.
[01:51:18.760 --> 01:51:19.760]   You don't have to be.
[01:51:19.760 --> 01:51:19.760]   It's OK.
[01:51:19.760 --> 01:51:20.760]   It's just me.
[01:51:20.760 --> 01:51:21.760]   I understand.
[01:51:21.760 --> 01:51:22.760]   What are you most excited about the watch?
[01:51:22.760 --> 01:51:23.760]   Why want the watch?
[01:51:23.760 --> 01:51:24.760]   Phone combo.
[01:51:24.760 --> 01:51:27.760]   See, I like the Moto X because it was a pretty pure Google
[01:51:27.760 --> 01:51:29.760]   experience and yet it had those nice.
[01:51:29.760 --> 01:51:30.760]   You could talk to it.
[01:51:30.760 --> 01:51:31.760]   It would talk back to you.
[01:51:31.760 --> 01:51:33.760]   It would know when you're awake, know when you're asleep.
[01:51:33.760 --> 01:51:34.760]   It was like a little buddy.
[01:51:34.760 --> 01:51:35.760]   It was cool.
[01:51:35.760 --> 01:51:36.760]   I did like that feature.
[01:51:36.760 --> 01:51:37.760]   Just the camera was so terrible.
[01:51:37.760 --> 01:51:40.760]   But the camera was crappy and it was only 720p 4.7 inches.
[01:51:40.760 --> 01:51:42.760]   And I suspect that the camera was so terrible.
[01:51:42.760 --> 01:51:45.760]   It was crappy and it was only 720p 4.7 inches.
[01:51:45.760 --> 01:51:47.760]   And I suspect that what we're going to see is they're going to
[01:51:47.760 --> 01:51:53.760]   fix the hardware with a good camera and maybe a five inch
[01:51:53.760 --> 01:51:55.760]   screen that's 1080p.
[01:51:55.760 --> 01:51:57.760]   But is it going to be ahead of the curve?
[01:51:57.760 --> 01:51:58.760]   I think that's the question.
[01:51:58.760 --> 01:52:01.760]   I think Moto X was a good phone, but it just felt like it was
[01:52:01.760 --> 01:52:02.760]   maybe six months too late.
[01:52:02.760 --> 01:52:03.760]   Maybe it's too late.
[01:52:03.760 --> 01:52:05.760]   It was a phone that I think a lot of people loved because
[01:52:05.760 --> 01:52:08.760]   of the personalization too, which is certainly nice and I hope
[01:52:08.760 --> 01:52:09.760]   that they maintain that.
[01:52:09.760 --> 01:52:12.760]   They are going to maintain a supposedly they're going to
[01:52:12.760 --> 01:52:15.760]   maintain that the leaks show wooden backs and things like that.
[01:52:15.760 --> 01:52:16.760]   Good to hear.
[01:52:16.760 --> 01:52:19.760]   And then there are a lot of people who are upset and I'm going to
[01:52:19.760 --> 01:52:21.760]   ruin your life because I was excited.
[01:52:21.760 --> 01:52:24.760]   Apparently LG is also going to do a round Android Wear watch.
[01:52:24.760 --> 01:52:27.760]   And of all the watches so far, until Apple does it, it's
[01:52:27.760 --> 01:52:28.760]   watch.
[01:52:28.760 --> 01:52:30.760]   I think the Android Wear is the one.
[01:52:30.760 --> 01:52:32.760]   But they're ugly and clunky and square.
[01:52:32.760 --> 01:52:35.760]   Motorola's got this round 360, but I'm going to ruin this for you
[01:52:35.760 --> 01:52:36.760]   now.
[01:52:36.760 --> 01:52:38.760]   And somebody told me this and it's really pissing me off.
[01:52:38.760 --> 01:52:40.760]   There's this black bar at the bottom.
[01:52:40.760 --> 01:52:43.760]   And now having seen it, you can't unsee it and it's in all
[01:52:43.760 --> 01:52:44.760]   the pictures.
[01:52:44.760 --> 01:52:45.760]   Yeah.
[01:52:45.760 --> 01:52:47.760]   Damn it.
[01:52:47.760 --> 01:52:48.760]   It's so weird.
[01:52:48.760 --> 01:52:50.760]   Gosh darn it.
[01:52:50.760 --> 01:52:51.760]   It's hard.
[01:52:51.760 --> 01:52:52.760]   It's hard.
[01:52:52.760 --> 01:52:55.760]   There's some stuff in there.
[01:52:55.760 --> 01:52:58.760]   It's hard to get a screen that's circular.
[01:52:58.760 --> 01:53:01.760]   Around the entire industry has been making square screens.
[01:53:01.760 --> 01:53:05.760]   LG has announced they will also do a round screen.
[01:53:05.760 --> 01:53:09.760]   John Gruber calls it a flat tire.
[01:53:09.760 --> 01:53:12.760]   Damn you Gruber.
[01:53:12.760 --> 01:53:15.760]   Just a rush to get these things out.
[01:53:15.760 --> 01:53:16.760]   Yeah.
[01:53:16.760 --> 01:53:17.760]   We saw that.
[01:53:17.760 --> 01:53:20.760]   They had the Aura smartphone which had a round display.
[01:53:20.760 --> 01:53:22.760]   And I was just looking at pictures of that and there wasn't
[01:53:22.760 --> 01:53:23.760]   anything.
[01:53:23.760 --> 01:53:24.760]   There's nothing like that on the Aura.
[01:53:24.760 --> 01:53:27.760]   And I always figured that the displays were very similar
[01:53:27.760 --> 01:53:29.760]   between the Aura and the one of 360.
[01:53:29.760 --> 01:53:32.760]   But there's no little flat tire on the Aura anyway.
[01:53:32.760 --> 01:53:37.760]   I love this.
[01:53:37.760 --> 01:53:40.760]   Google has admitted that it's self-driving cars are programmed
[01:53:40.760 --> 01:53:43.760]   to exceed the speed limits by 10 miles an hour.
[01:53:43.760 --> 01:53:45.760]   Which is how we all drive.
[01:53:45.760 --> 01:53:47.760]   Might as well.
[01:53:47.760 --> 01:53:50.760]   What person other than my wife drives 10 miles under this
[01:53:50.760 --> 01:53:51.760]   speed limit?
[01:53:51.760 --> 01:53:53.760]   If you were in a self-driving car and we're going the speed
[01:53:53.760 --> 01:53:55.760]   limit, you'd go hurry up.
[01:53:55.760 --> 01:53:57.760]   Come on.
[01:53:57.760 --> 01:54:00.760]   Or she'd yell at me and slow down and be like Google's driving.
[01:54:00.760 --> 01:54:03.760]   For the record Volvo self-driving cars can also bring the
[01:54:03.760 --> 01:54:05.760]   speed limit by about the same.
[01:54:05.760 --> 01:54:06.760]   They say.
[01:54:06.760 --> 01:54:07.760]   Yeah.
[01:54:07.760 --> 01:54:08.760]   That's fine.
[01:54:08.760 --> 01:54:10.760]   I don't have a problem with that.
[01:54:10.760 --> 01:54:12.760]   CHP California Highway Patrol Mine.
[01:54:12.760 --> 01:54:13.760]   Which isn't there.
[01:54:13.760 --> 01:54:16.760]   I had talked to a highway patrolman a few years ago on a story.
[01:54:16.760 --> 01:54:19.760]   And I thought the plus or minus was like the error rate.
[01:54:19.760 --> 01:54:22.760]   Maybe it's much improved now.
[01:54:22.760 --> 01:54:25.760]   But to hold up in a quarter of law was like seven miles per hour
[01:54:25.760 --> 01:54:26.760]   plus or minus.
[01:54:26.760 --> 01:54:27.760]   I think it's also.
[01:54:27.760 --> 01:54:31.760]   So let's not underestimate the embarrassment factor of
[01:54:31.760 --> 01:54:33.760]   hauling somebody into court for going four miles over the
[01:54:33.760 --> 01:54:34.760]   speed limit.
[01:54:34.760 --> 01:54:37.760]   You know you're trying to hit quota if you're doing that.
[01:54:37.760 --> 01:54:38.760]   Yeah.
[01:54:38.760 --> 01:54:39.760]   Yeah.
[01:54:39.760 --> 01:54:41.760]   I think it's really more of that.
[01:54:41.760 --> 01:54:43.760]   I saw bridesmaids.
[01:54:43.760 --> 01:54:44.760]   They look at the guy.
[01:54:44.760 --> 01:54:45.760]   He's going to work.
[01:54:45.760 --> 01:54:46.760]   It's okay.
[01:54:46.760 --> 01:54:47.760]   And then what?
[01:54:47.760 --> 01:54:48.760]   That guy's going really way too fast.
[01:54:48.760 --> 01:54:51.760]   It's, you know, it's a judgment call.
[01:54:51.760 --> 01:54:55.760]   Does anybody work for the highway patrol here?
[01:54:55.760 --> 01:54:56.760]   I'm just curious.
[01:54:56.760 --> 01:55:02.760]   I saw I was sitting on a Golden Gate transit bus going to work.
[01:55:02.760 --> 01:55:03.760]   They were training a driver.
[01:55:03.760 --> 01:55:06.760]   And I figured these guys know because they drive every day.
[01:55:06.760 --> 01:55:08.760]   He said you can go six miles over the speed limit.
[01:55:08.760 --> 01:55:09.760]   You'll never get a ticket.
[01:55:09.760 --> 01:55:10.760]   I don't even.
[01:55:10.760 --> 01:55:16.760]   I haven't had tickets since 1997 I think.
[01:55:16.760 --> 01:55:17.760]   Something like that.
[01:55:17.760 --> 01:55:19.760]   And your policy is seven miles over the speed limit.
