;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[01:56:10.640 --> 01:56:15.280]   He's making high seven figures eight figures. This is crazy money they make
[01:56:15.280 --> 01:56:20.880]   I don't care and they don't care if they're land barons of a medieval time
[01:56:20.880 --> 01:56:23.120]   I want to find a recording of that. That's uh
[01:56:23.120 --> 01:56:28.560]   I want to hear who say that you can I guarantee you can make a I make that I could do it
[01:56:28.560 --> 01:56:33.120]   Make you bet speech in the voice of the nanny
[01:56:33.120 --> 01:56:37.760]   I'm sure that that could be done. Um, I was gonna say though
[01:56:37.760 --> 01:56:42.400]   Like what's interesting too is none of this is completely new of course right on netflix
[01:56:42.400 --> 01:56:46.480]   They're running that really good short series about american gladiators
[01:56:46.480 --> 01:56:53.440]   And that was the theme of that show where the all the members were getting paid the gladiators were barely getting anything
[01:56:53.440 --> 01:56:56.800]   They're getting no residuals. They're getting nothing from those terrible and then
[01:56:56.800 --> 01:57:02.560]   Yeah, then they kind of gathered together almost as a union but not quite and they went said I hate
[01:57:02.560 --> 01:57:07.120]   We would like more money. They got fired on the spot and it was samo gold when he was like, we don't renegotiate
[01:57:07.360 --> 01:57:13.200]   Yeah, now we're just a little bit going on from from your old employer. Uh, dan. Here's a little friend dresser
[01:57:13.200 --> 01:57:18.080]   Thank you. Thank you, don't kennan. Thank you everybody for coming to this
[01:57:18.080 --> 01:57:25.680]   That's her voice isn't it? It's really important that this negotiation she's a I have to say she's a great president
[01:57:25.680 --> 01:57:28.560]   Of sag after the cast of op and hymer
[01:57:28.560 --> 01:57:30.560]   Uh
[01:57:30.560 --> 01:57:34.400]   Ready to promote the movie was already in the group. Sorry stop that
[01:57:35.040 --> 01:57:41.440]   It walked out of the london premiere of the movie when the strike was announced they said, oh, we're on strike. Bye. Bye
[01:57:41.440 --> 01:57:47.920]   Which makes you wonder who's going to promote these films if the actors won't show up. This is not good
[01:57:47.920 --> 01:57:55.360]   Uh, silly and murphy emily blunt and matt daman walked out from the london premiere of op and hymer
[01:57:55.360 --> 01:57:58.320]   to quote right there picket signs
[01:57:58.320 --> 01:58:01.840]   ahead of the uh strike uh thursday evening
[01:58:03.200 --> 01:58:09.200]   Yay, demon has a long history of flavor. I mean he's always been active in that that scene anyway. Yeah, yeah, yeah
[01:58:09.200 --> 01:58:15.200]   John kusac had a great twitter thread. I think he was talking about his sister jon kusac about her getting paid a seventh
[01:58:15.200 --> 01:58:17.680]   of what the male
[01:58:17.680 --> 01:58:23.600]   Stars of her show, uh, we're getting and not even getting she was always a guest star because they could pay her less
[01:58:23.600 --> 01:58:30.640]   Even though she was on every episode and yeah, there's all sorts of predatory practices in hollywood. Uh, are you surprised?
[01:58:31.360 --> 01:58:38.000]   especially for women and uh, yeah, it's so unfortunate just because this summer felt like the first summer
[01:58:38.000 --> 01:58:42.560]   I know we were coming back. I got with the movie theater. I got some good movies like
[01:58:42.560 --> 01:58:48.480]   I was just like wow where it's it's some really good stuff in the set of my now, you know, and it's just like oh
[01:58:48.480 --> 01:58:51.280]   Now the breaks everything has been put on on pause. Yeah
[01:58:51.280 --> 01:58:55.120]   Are you uh, are you uh barbie or open hymer?
[01:58:55.120 --> 01:58:57.760]   which
[01:58:57.760 --> 01:59:01.680]   I think barbie barbie looks up there with like the lego movie where
[01:59:01.680 --> 01:59:05.600]   Love movies shouldn't have been that good. Yeah, and then like I see this stuff on barbie
[01:59:05.600 --> 01:59:10.640]   I'm like, oh, this might actually be legit pretty hilarious. So i'm pretty excited about but yeah, open hymer is gonna be uh,
[01:59:10.640 --> 01:59:13.920]   Amazing to dan is our social con conscience here
[01:59:13.920 --> 01:59:18.560]   Uh, no, should we should we strike these movies? Should we not go see these movies?
[01:59:18.560 --> 01:59:21.280]   Now she goes to movies. Oh, okay
[01:59:21.280 --> 01:59:24.240]   I was worried
[01:59:24.240 --> 01:59:27.440]   It was a little bit weird, but I actually do support I wonder though. I mean
[01:59:27.440 --> 01:59:33.520]   The effects of a strike aren't going to be felt for a long time because a lot of stuff is already in the pipeline
[01:59:33.520 --> 01:59:40.800]   Uh, it's not going to be for six seven eight months. Maybe a year before we start seeing nothing a bunch of reality tv
[01:59:40.800 --> 01:59:43.760]   Yeah, depending on how long the strike goes on
[01:59:43.760 --> 01:59:51.280]   Producers and the writers have been on strike already. I know or months now. Do the right thing take care of the writers take care of the actors
[01:59:51.280 --> 01:59:53.360]   please
[01:59:53.360 --> 01:59:55.360]   We want our shows
[01:59:55.360 --> 02:00:01.840]   Uh, nobody here is unionized though, right? Okay. I was once part of the wga. I was actually a part
[02:00:01.840 --> 02:00:04.080]   Were you in the writer skills? I wasn't the writer's really
[02:00:04.080 --> 02:00:10.320]   Did you go out on strike last time? No, I wasn't I wasn't a part of it. You were five years old last time. That's why
[02:00:10.320 --> 02:00:14.400]   I guess I mean, I don't I don't know what I would have done as I mean
[02:00:14.400 --> 02:00:16.640]   I was an after the american
[02:00:16.640 --> 02:00:21.520]   Federation of radio and television artists, but then they merged with sag a few years ago
[02:00:21.600 --> 02:00:25.680]   So I have my sag after card. I guess I would have had to uh
[02:00:25.680 --> 02:00:30.240]   That we're not a union signatory. I could keep doing the show podcasts. They don't care about
[02:00:30.240 --> 02:00:34.560]   I was an IOTC for a long time. Were you were you stagehand?
[02:00:34.560 --> 02:00:41.600]   No theater projectionist. Oh, in fact, I organized a union. Yeah, I actually organized my movie theater
[02:00:41.600 --> 02:00:46.080]   Good. Yeah, it was a college project. My best friend and I came home for college. We're like, yeah screw this
[02:00:46.080 --> 02:00:50.000]   We're gonna organize a union totally get it. I'm college kids. Go back to school
[02:00:51.280 --> 02:00:53.280]   Exactly rowing in our lives
[02:00:53.280 --> 02:00:58.160]   All right. Let's take one final break. We've got a great panel so nice to have a bra. I'll heedy here
[02:00:58.160 --> 02:01:04.080]   Next time we'll find something good for you to talk about. I apologize. We talked so much about gaming
[02:01:04.080 --> 02:01:08.000]   I'm enjoying this. I'm during the AI talks and the amazon talks. Yeah, great
[02:01:08.000 --> 02:01:12.960]   What do you what do you tell me a little bit about what you cover on on cine you do a lot of video for them?
[02:01:12.960 --> 02:01:19.920]   Yeah, a lot of video. I'm I'm very much focused on the social platforms and also digital accessibility is another uh,
[02:01:20.240 --> 02:01:25.120]   Focus out for me a very good area. Yeah, yeah, it's it's it's a great thing to work on
[02:01:25.120 --> 02:01:29.760]   I just got iOS 17 the public beta of iOS 17
[02:01:29.760 --> 02:01:35.680]   On my phone and there's a feature which I'm gonna I guess I'll have to I'll do this before a mac break weekly on Tuesday
[02:01:35.680 --> 02:01:38.160]   But there's a thing where you
[02:01:38.160 --> 02:01:42.880]   Teach it your voice personal voice. That's a voice. Have you played with that? Yeah
[02:01:42.880 --> 02:01:48.640]   Um, I'm waiting. So I'm too scared to download the beta on my personal device once I get into the office next week
[02:01:48.640 --> 02:01:55.520]   I'm gonna play around with it. Um, but I am very excited about this feature. Um, it's very cool. It's it's slightly creepy, but yeah
[02:01:55.520 --> 02:01:58.400]   It says create your personal voice record yourself
[02:01:58.400 --> 02:02:02.240]   The reason I haven't done it yet is you have to read 150 phrases
[02:02:02.240 --> 02:02:07.920]   Uh out loud and then it securely stores your personal voice the idea being that
[02:02:07.920 --> 02:02:12.000]   Uh for it says assistive technology. So if you have trouble speaking
[02:02:12.000 --> 02:02:16.320]   You can uh or if you think you're going to have trouble speaking
[02:02:16.800 --> 02:02:22.720]   You can do this and now you can use your voice type and just like, you know, uh,
[02:02:22.720 --> 02:02:28.800]   Stephen Hawking instead of a robotic voice it'd be your own your own voice. So that's yeah, it's very cool
[02:02:28.800 --> 02:02:33.440]   There's a lot of really cool features on android and and iOS that are geared towards accessibility
[02:02:33.440 --> 02:02:36.240]   But as with all digital accessibility benefits everybody
[02:02:36.240 --> 02:02:41.280]   Yes, I agree, but I want my voice to be series voice
[02:02:41.280 --> 02:02:44.560]   I I don't know if they'll let me do that. That would be great
[02:02:45.200 --> 02:02:50.000]   If it could really if I got a series would respond to me in my own voice that would that's what I want
[02:02:50.000 --> 02:02:52.240]   You don't want france voice. I feel like you're real
[02:02:52.240 --> 02:02:53.280]   I could go fran
[02:02:53.280 --> 02:02:55.280]   I'll be a friend
[02:02:55.280 --> 02:02:58.560]   That would be kind of fun being being fran
[02:02:58.560 --> 02:03:03.840]   I when we come back. I want to ask you about uh house. What tiktok status is now
[02:03:03.840 --> 02:03:06.720]   Like are they are they surviving?
[02:03:06.720 --> 02:03:11.040]   All of the attacks on them and I have to admit have a little dog in the sun because
[02:03:11.520 --> 02:03:16.000]   My son has become this, you know, he's got like two and a half million followers on tiktok
[02:03:16.000 --> 02:03:21.040]   He's become this tiktok influencer and and it's been huge for him
[02:03:21.040 --> 02:03:26.640]   So I was very I'm kind of was very worried about what was going on, but we'll check in with you in a second
[02:03:26.640 --> 02:03:30.640]   On that one also with us daniel rabino editor in chief of windows
[02:03:30.640 --> 02:03:33.760]   Central a great publication if you want to keep up
[02:03:33.760 --> 02:03:39.440]   With windows and so glad to welcome dan patterson back. I thought we'd lost you to the dark side
[02:03:40.320 --> 02:03:44.880]   But uh, no you're you're back as a journalist and doing great
[02:03:44.880 --> 02:03:47.040]   but
[02:03:47.040 --> 02:03:49.040]   Would you be if somebody came to you and said?
[02:03:49.040 --> 02:03:53.920]   Do you want to be freelance or with somebody came to you said we want to hire you would you would you want to be hired?
[02:03:53.920 --> 02:03:57.680]   Do you have a kid? I need a job. You need a job. I mean yeah
[02:03:57.680 --> 02:04:02.640]   Yeah, I I mean I was at cbs news for a very long time and I regret going to the
[02:04:02.640 --> 02:04:05.760]   Particular
[02:04:05.760 --> 02:04:09.280]   Were you doing pr is that what it was no no no no no no no no no no no
[02:04:09.280 --> 02:04:16.800]   I I was editorial for a cyber security firm. Okay, so it was kind they I I worked there for seven months and they laid me off
[02:04:16.800 --> 02:04:21.200]   Yeah, they said we don't what do you we were crazy. Why do we hire somebody? We don't need this
[02:04:21.200 --> 02:04:27.760]   Sorry about that. Well, look at this. It's not personal. They have to feel personal, but they're not personal
[02:04:27.760 --> 02:04:32.160]   They're about numbers believe me. I know we've had to lay off people in the past and we can't afford people
[02:04:32.160 --> 02:04:36.640]   You can't afford people but look at this pwnham who wouldn't want to hire this guy
[02:04:37.360 --> 02:04:42.320]   He's a wonderful journalist. No, this is great and twitters always great. I love having you on Dan
[02:04:42.320 --> 02:04:45.920]   I know that's not sanctimony
[02:04:45.920 --> 02:04:51.760]   That's your art. That's the conscience speaking and I think it's really important. It really is
[02:04:51.760 --> 02:04:56.960]   I've been bringing it up, but I've been bringing up gently in all our conversations about threads
[02:04:56.960 --> 02:05:01.360]   You know, it's meta right you know, does that bother you? Yeah, I got off
[02:05:01.360 --> 02:05:06.400]   I got off facebook years ago because I don't yeah, I deleted mine. Yeah me too
[02:05:07.200 --> 02:05:09.680]   Uh, and and I don't have what's app
[02:05:09.680 --> 02:05:14.080]   I had to have instagram but not so much to contribute up to it
[02:05:14.080 --> 02:05:18.640]   But more because if you're not logged in you can't show people's instagram pictures and sometimes
[02:05:18.640 --> 02:05:22.000]   That's how we you know, we would show that content on the shows
[02:05:22.000 --> 02:05:27.280]   But then it made it really easy for me is to slide in the threads
[02:05:27.280 --> 02:05:33.440]   And they got me and so now you're making me think twice and I think you're right. Absolutely
[02:05:34.480 --> 02:05:38.400]   Our show today brought to you by express vpn
[02:05:38.400 --> 02:05:43.200]   There are a number of good reasons to use a vpn
[02:05:43.200 --> 02:05:45.600]   security
[02:05:45.600 --> 02:05:47.120]   privacy
[02:05:47.120 --> 02:05:49.120]   eliminating geographic restrictions
[02:05:49.120 --> 02:05:56.080]   But I got to tell you there's only one vpn I recommend for these purposes and that's express
[02:05:56.080 --> 02:06:00.320]   vpn because they do it right let's talk about geographic restrictions
[02:06:01.120 --> 02:06:02.880]   Uh, I have a netflix account, right?
[02:06:02.880 --> 02:06:07.920]   But only when I'm in the us all I can see is netflix us if I travel I could see netflix in the uk
[02:06:07.920 --> 02:06:12.400]   Or japan or wherever I am they're all over the world in fact 100
[02:06:12.400 --> 02:06:15.200]   I think they're in 100 different countries
[02:06:15.200 --> 02:06:19.760]   Wouldn't it be cool if you didn't have to leave the us to be in another part of the world?
[02:06:19.760 --> 02:06:26.240]   Well, you can there are tens of thousands of shows and netflix that you don't get to see because you're in the us
[02:06:26.240 --> 02:06:30.320]   Watching netflix without using express vpn would be like I don't know
[02:06:31.120 --> 02:06:37.440]   Paying for a gym membership, but only using the treadmill baby. You got lots of stuff out there express vpn
[02:06:37.440 --> 02:06:42.560]   Let's change your online location. So you control where you want netflix to think you are
[02:06:42.560 --> 02:06:47.760]   So I was watching netflix in italy. I was thinking this is great stuff. Well now I can do that anytime
[02:06:47.760 --> 02:06:51.840]   Express vpn is all over the world over 100 server locations
[02:06:51.840 --> 02:06:57.760]   And it works with other services to bbc's iplayer youtube and more
[02:06:58.800 --> 02:07:03.280]   Uh, it is a real boon if you're a traveler, but it's even if you're just at home
[02:07:03.280 --> 02:07:08.000]   If you want to watch let's say top gear you just go to uk netflix by not being bad up
[02:07:08.000 --> 02:07:13.040]   Jurassic world on the hong kong netflix pulp fictions on canadian netflix
[02:07:13.040 --> 02:07:18.880]   Here's how it works express vpn's got an app for every platform windows mac even linux
[02:07:18.880 --> 02:07:27.440]   iOS android even routers they celebrate little router you could put in your house and now the whole house is on
[02:07:28.000 --> 02:07:31.520]   Express vpn very cool. So you fire up the app
[02:07:31.520 --> 02:07:36.640]   Now normally you just press the big button and it chooses the server it's closest to you because that's gonna be the fastest speed
[02:07:36.640 --> 02:07:40.480]   But here's the trick you can say no no. I don't want to be in the uk today
[02:07:40.480 --> 02:07:42.720]   You tap that button
[02:07:42.720 --> 02:07:43.920]   Suddenly
[02:07:43.920 --> 02:07:49.280]   Your ip address is no longer visible the ip address you're emerging under the public internet with
[02:07:49.280 --> 02:07:53.760]   Is in england and so sure watch what watch whatever you want
[02:07:54.800 --> 02:07:59.440]   Why should you choose express vpn blazing fast speeds let you stream an hd
[02:07:59.440 --> 02:08:03.360]   Anywhere in the world it's compatible with all your devices
[02:08:03.360 --> 02:08:10.720]   And privacy is job one express vpn goes the extra mile and I know this because they have independent third party audits
[02:08:10.720 --> 02:08:13.360]   Express vpn runs a special
[02:08:13.360 --> 02:08:18.240]   Distribution of debi and that automatically wipes the entire hard drive every day
[02:08:18.240 --> 02:08:23.280]   They also wrote their own trusted server, which has been vetted by third parties
[02:08:23.680 --> 02:08:28.800]   It operates sandboxed in ram and as soon as you close the server, it's gone forever
[02:08:28.800 --> 02:08:33.280]   Only you are on that server so there is no logging no trace of your presence
[02:08:33.280 --> 02:08:38.160]   It is truly private and of course everything you do is encrypted
[02:08:38.160 --> 02:08:45.920]   So you're fully secure be smart stop paying full price for streaming services and only getting access to a fraction of their content get your money's worth
[02:08:45.920 --> 02:08:51.840]   With a great service that protects your privacy and security at the same time express vpn.com/twit
[02:08:52.240 --> 02:08:57.680]   When you use that link express vpn.com/twit you'll get an extra three months of express vpn
[02:08:57.680 --> 02:09:02.160]   Free with a one-year package brings a press down below seven bucks a month is a good deal
[02:09:02.160 --> 02:09:09.360]   Express vpn.com/twit we thank you so much for their support of our network
[02:09:09.360 --> 02:09:11.840]   if you
[02:09:11.840 --> 02:09:13.840]   We had a little party here
[02:09:13.840 --> 02:09:17.200]   The other night friday night. It was kind of wild
[02:09:17.200 --> 02:09:21.200]   It was a lot of fun if you're a member of club twit you probably were able to watch us
[02:09:21.520 --> 02:09:25.680]   Do that you can certainly go to the twit plus feed and watch it, but we made a little mini movie
[02:09:25.680 --> 02:09:28.320]   Just so you can under you know enjoy the highlights watch
[02:09:28.320 --> 02:09:33.040]   Okay, I want some ribs. What's with the being a scrooge over there with the ribs?
[02:09:33.040 --> 02:09:36.080]   We don't have all our mics on so no ribs
[02:09:36.080 --> 02:09:41.040]   I plugged it into channel three chief twits on the floor
[02:09:41.040 --> 02:09:46.000]   And anything to drink anything to drink yet he's already on the floor
[02:09:50.880 --> 02:09:52.880]   Previously on twit
[02:09:52.880 --> 02:09:54.560]   tech news weekly
[02:09:54.560 --> 02:10:01.600]   This right here this weird funky looking device is the nothing phone to a very unique
[02:10:01.600 --> 02:10:07.280]   Design like you pull this phone out. I've had a couple of comments from people just ran to places like what is that?
[02:10:07.280 --> 02:10:10.720]   You know and this is not a case. This is what the phone actually looks like
[02:10:10.720 --> 02:10:13.440]   Windows weekly the big story of course
[02:10:13.440 --> 02:10:19.360]   victory for microsoft over the ft seat you've got amazon apple
[02:10:20.000 --> 02:10:23.520]   Google and meta you've got these belligerent monopolists
[02:10:23.520 --> 02:10:29.600]   Or at least dominant market players that are obviously doing harm and you're gonna go after this
[02:10:29.600 --> 02:10:32.080]   Yeah, it just never made sense
[02:10:32.080 --> 02:10:35.760]   Mac break weekly ray max well a long time friend in the network
[02:10:35.760 --> 02:10:41.120]   I ray he seems to love the mac pro because every time a new mac pro comes out right by his one
[02:10:41.120 --> 02:10:48.560]   I'm quite happy with it. I knew what I was getting. I knew why I wasn't getting the studio
[02:10:48.800 --> 02:10:52.800]   It does include a mouse, but does not include wheels. Did you buy the wheels?
[02:10:52.800 --> 02:10:56.480]   No twit it is a static mac pro
[02:10:56.480 --> 02:10:59.680]   It just sits there and don't roll nowhere
[02:10:59.680 --> 02:11:02.800]   We had a lot of fun and yes, uh
[02:11:02.800 --> 02:11:10.640]   mashed potatoes asking uh in the chat room is the table still greasy? No, we we wiped it down in fact
[02:11:10.640 --> 02:11:15.520]   Lisa my wife cleaned it up afterwards that was her uh on on the left there and uh
[02:11:16.320 --> 02:11:19.040]   She said they must never wipe this down. Look how filthy this
[02:11:19.040 --> 02:11:23.600]   So we yeah, we don't we don't clean it as often as we showed it
[02:11:23.600 --> 02:11:25.600]   We actually left the place cleaner than it was
[02:11:25.600 --> 02:11:29.600]   When we started if you're not a member of club twit, that's just part of the fun
[02:11:29.600 --> 02:11:36.320]   We have is these club events special shows things like uh, the home theater geeks with scott wilkinson
[02:11:36.320 --> 02:11:42.080]   Hands on mac with mica sergeant hands on windows with paul throughout the untitled linux show the giz fizz
[02:11:42.080 --> 02:11:47.200]   Stacy's book club all of that available to you as exclusive content add free versions of all the shows
[02:11:47.200 --> 02:11:50.960]   Access to our discord if you're not yet a member of club twit
[02:11:50.960 --> 02:11:56.560]   You got to join before the next party go to twit.tv slash club twit. I think it's very fair
[02:11:56.560 --> 02:11:59.840]   It costs you 15 dollars to get a blue check on threads
[02:11:59.840 --> 02:12:03.520]   Yes, 15. I checked I thought I want a blue no
[02:12:03.520 --> 02:12:08.320]   Club twit seven bucks a month. That's it and well worth it. You get a lot for that
[02:12:09.040 --> 02:12:11.840]   Thank you to our club twit members for their support
[02:12:11.840 --> 02:12:19.520]   Uh, okay, abrar tick tock remember everybody was saying is chinese shut it down
[02:12:19.520 --> 02:12:25.760]   States were blocking it and just like last time this happened under trump a few years ago
[02:12:25.760 --> 02:12:28.960]   As everybody just said moved on
[02:12:28.960 --> 02:12:33.440]   Listen an addiction is an addiction. Uh, that's where I stand
[02:12:35.360 --> 02:12:40.080]   It's the one social media platform that I feel like I don't feel worse after I'm on it
[02:12:40.080 --> 02:12:44.160]   And I think a lot of people are in that same boat where um a lot of people just become hooked on it
[02:12:44.160 --> 02:12:51.600]   It's a really the algorithm is and it's harmless, right? It's not it's you know as I I will not go on the record saying that
[02:12:51.600 --> 02:12:54.000]   But I will say that I
[02:12:54.000 --> 02:12:59.840]   Don't want that to be attributed to me if I'm absolutely wrong, but personally I do feel like you know for for me
[02:12:59.840 --> 02:13:05.280]   You know, you're you're gonna be at risk of of sharing too much data no matter what platform you join in 2020
[02:13:05.760 --> 02:13:11.280]   Right and so um for me what it ends up becoming is it's a platform where I don't feel myself
[02:13:11.280 --> 02:13:16.400]   You know, I don't feel like I'm comparing myself to other people like I do with instagram and I don't feel like I am just
[02:13:16.400 --> 02:13:19.360]   You know becoming undone every time I open up this app
[02:13:19.360 --> 02:13:23.120]   It's an app that I open up it shows me exactly what I want to see I get a good laugh
[02:13:23.120 --> 02:13:28.080]   Um, and it it brings a lot of people joy and I think um, you know
[02:13:28.080 --> 02:13:32.480]   I actually read a really interesting article from taylor lorens that really echoes what I feel
[02:13:32.880 --> 02:13:36.560]   um in terms of people talking about twitter versus threads, but really
[02:13:36.560 --> 02:13:43.760]   TikTok is is the winner for a lot of people because that's where I go when I want to know about a trend or a product or
[02:13:43.760 --> 02:13:49.360]   No, if other people feel the same way that I do that's that's the platform that I gravitate towards
[02:13:49.360 --> 02:13:55.120]   And so I think that's why tiktok really has continued to grow and that's why people don't feel deterred by
[02:13:55.120 --> 02:13:58.560]   A lot of the concerns that um, you know lawmakers bring up
[02:13:59.280 --> 02:14:05.200]   And and a lot of privacy and security experts. Yeah, and if you're worried about privacy everybody just jumped on threads
[02:14:05.200 --> 02:14:09.040]   I mean if you look at the stuff threads gathers about you
[02:14:09.040 --> 02:14:13.360]   What is the argument that doesn't send it to the chinese government? Is that the issue?
[02:14:13.360 --> 02:14:20.080]   Right, that's a silly issue because it does that data brokers and if the chinese governor or anybody else
[02:14:20.080 --> 02:14:23.680]   wants that information they can buy it cheap
[02:14:23.680 --> 02:14:28.880]   From data brokers. They don't need tiktok together than information metas doing it for them
[02:14:29.600 --> 02:14:35.440]   Yeah, exactly and that's the argument a lot of people brought up was would you prefer the that you know, the us gets your data versus
[02:14:35.440 --> 02:14:42.320]   China is that really where you're drawing the line? Um, and yeah, it's all exactly so so taylor had a very interesting a couple of pieces
[02:14:42.320 --> 02:14:47.520]   Because they're I don't know what it is about tiktok, but there's a certain group of society that just
[02:14:47.520 --> 02:14:54.720]   It's just there. Oh, it's skit. Oh tick tock. So the latest today show the today show actually
[02:14:55.520 --> 02:15:00.960]   Ran a segment on a dangerous tiktok trend called the boat jumping challenge
[02:15:00.960 --> 02:15:03.360]   where people were
[02:15:03.360 --> 02:15:07.040]   Apparently jumping off boats and they said many have died
[02:15:07.040 --> 02:15:14.320]   Except it didn't happen and you know good on taylor for for looking into it
[02:15:14.320 --> 02:15:19.600]   Stories were published in people magazine forbs the daily mayor the new york post
[02:15:19.600 --> 02:15:22.160]   Uh
[02:15:22.160 --> 02:15:25.040]   It's and the mail-in post tell you something both murdock
[02:15:25.040 --> 02:15:29.200]   Publications that it's that there is some political slant
[02:15:29.200 --> 02:15:34.240]   To this there was no which taylor writes there was no boat jumping challenge on tiktok
[02:15:34.240 --> 02:15:39.520]   Before the media frenzy no boat jumping videos had gone viral no
[02:15:39.520 --> 02:15:43.600]   Hashtag related to jumping off boats had ever been popular on tiktok
[02:15:43.600 --> 02:15:49.360]   Not a single trending audio and tiktok has ever been linked to jumping off boats
[02:15:50.720 --> 02:15:54.800]   So it started with the alabama law enforcement agency saying
[02:15:54.800 --> 02:16:03.120]   On july third a new story was shared by today by nbc's today show regarding first responders warning
[02:16:03.120 --> 02:16:06.160]   Against a deadly boating tiktok trend
[02:16:06.160 --> 02:16:08.960]   Please be advised
[02:16:08.960 --> 02:16:13.120]   The information was wrong. There is no record of this happening
[02:16:13.120 --> 02:16:15.360]   Uh
[02:16:15.360 --> 02:16:20.880]   Until thursday of this week the spokespeople for today wouldn't refuse to comment
[02:16:20.880 --> 02:16:25.600]   finally tiktok today admitted it and uh and
[02:16:25.600 --> 02:16:29.600]   Has uh has retracted the story
[02:16:29.600 --> 02:16:36.640]   Didn't have it does feel like a lot of a lot of publications do hop on that when they hear about something that feeds into that
[02:16:36.640 --> 02:16:40.000]   That bias of okay tiktok is dangerous. Let's let's talk about this
[02:16:40.080 --> 02:16:44.080]   Let's really lean into the fact that it's dangerous because of xyz and you know
[02:16:44.080 --> 02:16:50.800]   It with a non equal distribution in terms of talking about the other social platforms and the dangers that they might um, you know present
[02:16:50.800 --> 02:16:57.440]   The uh origin of the boat jumping challenge Taylor laren's rights can be traced in the washington post could be traced to a single comment
[02:16:57.440 --> 02:17:01.440]   That a local alabama resident made during a news broadcast
[02:17:01.440 --> 02:17:04.000]   Uh
[02:17:04.000 --> 02:17:08.240]   Bobby uh plot event a multimedia journalist at abc news
[02:17:09.040 --> 02:17:13.120]   In bermingham got a tip about boating accidents spoke to jim dennis
[02:17:13.120 --> 02:17:19.520]   During the interview dennis claimed it was tiktok that was causing children to jump off the back of boats
[02:17:19.520 --> 02:17:23.920]   He just made that up
[02:17:23.920 --> 02:17:26.080]   It was wrong
[02:17:26.080 --> 02:17:32.240]   It's the same thing with the tide pod challenge and uh the benedrill challenge we had that in the petaluma
[02:17:32.880 --> 02:17:40.000]   Our local paper read a story. Oh, it's all over tiktok teens are going up to doors and kicking on them and then running away
[02:17:40.000 --> 02:17:41.920]   kind of uh
[02:17:41.920 --> 02:17:45.600]   And what is it a dingon dash dong and dash ding dong and dash
[02:17:45.600 --> 02:17:50.880]   Doorbell ditch doorbell ditch. Thank you sounds like you know a little bit about that there bonito
[02:17:50.880 --> 02:17:52.640]   um
[02:17:52.640 --> 02:17:54.640]   And they were saying you know
[02:17:54.640 --> 02:17:58.560]   People were terrified. They were there were shootings and never happened
[02:17:59.360 --> 02:18:02.640]   Never happened. We I don't know what it is. We just want to believe this stuff
[02:18:02.640 --> 02:18:07.760]   It's if it's a platform that people don't understand then they'll very quickly lean into
[02:18:07.760 --> 02:18:13.040]   That's what it is. Anything that's sound makes it sound dangerous. That's what it is. So don't worry
[02:18:13.040 --> 02:18:18.080]   Kids are not jumping off boats. The today show says that was wrong
[02:18:18.080 --> 02:18:23.440]   Uh and don't kill wasps with gasoline. That's not a good idea either
[02:18:23.440 --> 02:18:26.640]   So what about the states? Well, actually texas
[02:18:27.440 --> 02:18:33.520]   Has been sued now over its tiktok band saying that's a violation of the first amendment government cannot do that and
[02:18:33.520 --> 02:18:35.840]   You know what? I think that's a good point
[02:18:35.840 --> 02:18:41.280]   The night first amendment institute at columbia university found the lawsuit
[02:18:41.280 --> 02:18:47.200]   Uh against the texas tiktok band. So maybe these bands munt muntana has one
[02:18:47.200 --> 02:18:54.320]   Alabama has one I think that's right. Yeah, um, yeah, it's it's interesting. I you know, obviously people are not going to uh, uh,
[02:18:54.640 --> 02:18:59.200]   You know, take it take it. Well, if if you're if you're banning an app that popular
[02:18:59.200 --> 02:19:05.120]   I mean, I have to say that tiktok has the same issues that other platforms have in terms of you will come across content
[02:19:05.120 --> 02:19:07.840]   Especially younger users that you know
[02:19:07.840 --> 02:19:13.200]   That might make them feel that's up to the parents. That's up to the police. Yeah, right?
[02:19:13.200 --> 02:19:15.920]   That is, you know, that that is an argument that that's up to parents
[02:19:15.920 --> 02:19:21.520]   It it goes back to the discussion that we've had this whole show of is that the platforms or is it the ways that people use those platforms?
[02:19:21.520 --> 02:19:25.680]   But I but I can't I can't rave about tiktok without also saying there is a caveat here
[02:19:25.680 --> 02:19:28.320]   It's not all great content that's gonna make you feel amazing
[02:19:28.320 --> 02:19:34.720]   But you know, there are certain certain demographics that might struggle more with the content that they see versus the content that I see
[02:19:34.720 --> 02:19:41.680]   Um, so I just had to put that out there too. There is nothing wrong with learning how to make sandwiches on tiktok
[02:19:41.680 --> 02:19:49.120]   And I strongly encourage that you all do that it was delicious. Yeah 8.4 million views on this one
[02:19:49.840 --> 02:19:53.920]   Um, my son though has moved to instagram for the most part instagram and youtube
