;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[01:56:03.680 --> 01:56:05.800]   It's just the way it should be.
[01:56:05.800 --> 01:56:07.720]   There's a story that came out this week.
[01:56:07.720 --> 01:56:09.440]   Tim, was this one of yours?
[01:56:09.440 --> 01:56:11.000]   Maybe I'm misremembering it.
[01:56:11.000 --> 01:56:17.520]   It was asking why I believe it was 20% of people that buy an electric vehicle eventually
[01:56:17.520 --> 01:56:19.280]   go back to a gas engine.
[01:56:19.280 --> 01:56:20.280]   What?
[01:56:20.280 --> 01:56:24.240]   Now, interestingly, it's not Tesla people.
[01:56:24.240 --> 01:56:30.000]   It is people that buy like the Nissan Leaf or some of the earlier Ford versions.
[01:56:30.000 --> 01:56:31.800]   The compliance cars.
[01:56:31.800 --> 01:56:32.800]   Right.
[01:56:32.800 --> 01:56:39.320]   And the number one reason was charging it was a hassle, particularly if you live in an
[01:56:39.320 --> 01:56:41.560]   apartment complex or something like that.
[01:56:41.560 --> 01:56:43.560]   It's not the technology.
[01:56:43.560 --> 01:56:44.560]   It's the infrastructure.
[01:56:44.560 --> 01:56:46.440]   And that's understandable, actually.
[01:56:46.440 --> 01:56:47.440]   Right.
[01:56:47.440 --> 01:56:48.440]   Of course.
[01:56:48.440 --> 01:56:52.120]   Portia, before they brought out the Taycan, they announced a massive investment.
[01:56:52.120 --> 01:56:58.040]   If I remember correctly, it was close to a billion dollars in charging infrastructure
[01:56:58.040 --> 01:56:59.480]   through the United States.
[01:56:59.480 --> 01:57:04.720]   So I think that, I mean, all of us here, we take this problem seriously.
[01:57:04.720 --> 01:57:10.960]   And I think that getting that infrastructure right is just absolutely going to be key.
[01:57:10.960 --> 01:57:11.960]   That's Elon was brilliant.
[01:57:11.960 --> 01:57:15.840]   I have to say, and Elon's a very funny guy because sometimes he's brilliant.
[01:57:15.840 --> 01:57:19.360]   Sometimes he's incredibly stupid, but he was brilliant in that.
[01:57:19.360 --> 01:57:23.040]   He said, "We're not going to sell any Teslas unless it's easy to charge."
[01:57:23.040 --> 01:57:27.000]   And he knew that he had to build that supercharger of business at the same time as he's
[01:57:27.000 --> 01:57:28.240]   building the Tesla business.
[01:57:28.240 --> 01:57:30.240]   It was actually absolutely right.
[01:57:30.240 --> 01:57:33.840]   It was fascinating to me as how much of that is a psychological game.
[01:57:33.840 --> 01:57:39.160]   It's people who won't really need to use supercharger ever, maybe they'll use it once
[01:57:39.160 --> 01:57:40.240]   or twice a year.
[01:57:40.240 --> 01:57:46.040]   And so the revenue model on charging stations is kind of questionable because most people
[01:57:46.040 --> 01:57:48.280]   really, again, won't need them.
[01:57:48.280 --> 01:57:51.800]   But they need to exist for people to feel comfortable and not to be.
[01:57:51.800 --> 01:57:52.800]   Exactly.
[01:57:52.800 --> 01:57:56.560]   And that's one of the reasons why it's so important that Volkswagen has been pouring
[01:57:56.560 --> 01:58:01.280]   so much money into America unwillingly, but they've been doing it at least to establish
[01:58:01.280 --> 01:58:04.480]   that network to make it easier and to make people feel more comfortable about using
[01:58:04.480 --> 01:58:05.480]   those chargers.
[01:58:05.480 --> 01:58:12.400]   We have across the street, there's an Outlem all with a couple of two different Chathamo
[01:58:12.400 --> 01:58:15.720]   companies and a fast charger from Electrify America.
[01:58:15.720 --> 01:58:20.480]   And I've never used it because I just plug it in when I get home.
[01:58:20.480 --> 01:58:21.720]   It just makes sense.
[01:58:21.720 --> 01:58:28.000]   Hey, speaking of Elon and SpaceX and used cars, I'm going to tie this all together,
[01:58:28.000 --> 01:58:31.480]   SpaceX made its first nighttime splashdown.
[01:58:31.480 --> 01:58:32.480]   It was beautiful.
[01:58:32.480 --> 01:58:35.840]   Let me see if I can rewind this video because it was incredible.
[01:58:35.840 --> 01:58:36.840]   It was incredible.
[01:58:36.840 --> 01:58:55.160]   We have the crew one in the
[01:58:55.160 --> 01:59:01.520]   splashdown with astronauts since 1968.
[01:59:01.520 --> 01:59:04.280]   This is from NASA TV.
[01:59:04.280 --> 01:59:09.840]   But this is a used capsule.
[01:59:09.840 --> 01:59:12.040]   And this is one of the things Musk has done.
[01:59:12.040 --> 01:59:19.760]   I actually was asking our space guy, Rod Pyle, who's with the Space Society.
[01:59:19.760 --> 01:59:20.760]   Is it really a savings?
[01:59:20.760 --> 01:59:23.960]   And he said, you know, there's maybe...
[01:59:23.960 --> 01:59:25.060]   Look, he's happy.
[01:59:25.060 --> 01:59:26.060]   He's happy to be back.
[01:59:26.060 --> 01:59:29.440]   They're doing a little happy dance as he gets out of the capsule.
[01:59:29.440 --> 01:59:31.760]   That's really awesome.
[01:59:31.760 --> 01:59:35.400]   Reusing does save considerable amount of money.
[01:59:35.400 --> 01:59:40.000]   And it also just seems more environmentally friendly not to just get rid of these capsules.
[01:59:40.000 --> 01:59:45.240]   So that dragon capsule had been used once before, the crew dragon.
[01:59:45.240 --> 01:59:46.840]   And refurbished.
[01:59:46.840 --> 01:59:48.400]   They cleaned out the ashtrays.
[01:59:48.400 --> 01:59:51.480]   I think they hose down the upholstery.
[01:59:51.480 --> 01:59:53.880]   So it's practically new.
[01:59:53.880 --> 01:59:54.880]   It's fresh.
[01:59:54.880 --> 01:59:55.880]   It's clean.
[01:59:55.880 --> 02:00:01.460]   I could be in one in Florida a week, a little bit more than a week from now.
[02:00:01.460 --> 02:00:03.460]   We're going to spend two days at NASA.
[02:00:03.460 --> 02:00:04.460]   So...
[02:00:04.460 --> 02:00:06.740]   You're going to see a launch?
[02:00:06.740 --> 02:00:09.060]   We're going to try to see what's going on down there.
[02:00:09.060 --> 02:00:14.340]   But the last time I was there, if I remember correctly, SpaceX was looking at taking over
[02:00:14.340 --> 02:00:18.420]   the pad that they used to launch as a challenger, which was...
[02:00:18.420 --> 02:00:22.460]   Yeah, that was a huge moment for me as a child.
[02:00:22.460 --> 02:00:23.460]   So...
[02:00:23.460 --> 02:00:24.460]   Watching it...
[02:00:24.460 --> 02:00:25.460]   Yeah, very sad.
[02:00:25.460 --> 02:00:26.460]   It was traumatic.
[02:00:26.460 --> 02:00:27.460]   You were a child?
[02:00:27.460 --> 02:00:28.460]   Yeah.
[02:00:28.460 --> 02:00:29.460]   Oh, Lord.
[02:00:29.460 --> 02:00:32.260]   Of course you were.
[02:00:32.260 --> 02:00:35.300]   What am I thinking?
[02:00:35.300 --> 02:00:42.100]   Let's see.
[02:00:42.100 --> 02:00:45.740]   Florida has passed a law.
[02:00:45.740 --> 02:00:50.300]   That's all you have to say.
[02:00:50.300 --> 02:00:55.740]   Florida has passed or is about to pass a law that will ban tech companies from deep platforming
[02:00:55.740 --> 02:01:00.660]   politicians.
[02:01:00.660 --> 02:01:05.020]   Of course it's unconstitutional because I do believe there is an amendment to the Constitution.
[02:01:05.020 --> 02:01:09.420]   I think it's the first one in the Bill of Rights that says, "Congress shall make no law
[02:01:09.420 --> 02:01:10.940]   bridging the freedom of speech.
[02:01:10.940 --> 02:01:12.620]   Of course, this is a state.
[02:01:12.620 --> 02:01:18.140]   There's also interstate commerce because Twitter and YouTube and Facebook aren't in Florida.
[02:01:18.140 --> 02:01:24.340]   Anyway, they could be fined for banning political candidates.
[02:01:24.340 --> 02:01:25.340]   It's expected to be signed.
[02:01:25.340 --> 02:01:33.060]   It's passed to the Florida legislature and I'm sure Ron DeSantis will sign it.
[02:01:33.060 --> 02:01:37.220]   I guess what's next is if he doesn't like your commentary on this, he can pass another
[02:01:37.220 --> 02:01:38.220]   law.
[02:01:38.220 --> 02:01:39.220]   Yeah, ban Twitch.
[02:01:39.220 --> 02:01:41.580]   You've got to say, "Well, he likes on Twitch."
[02:01:41.580 --> 02:01:42.580]   This is hot garbage.
[02:01:42.580 --> 02:01:48.540]   This is just trash.
[02:01:48.540 --> 02:01:53.900]   Dealing with criticism and working with systems, I can tell you firsthand, I don't particularly
[02:01:53.900 --> 02:01:55.340]   like the Boston Globe.
[02:01:55.340 --> 02:02:02.060]   I had to work with them when I was running for office.
[02:02:02.060 --> 02:02:06.220]   It's just ridiculous the government trying to tell a private company who they have to
[02:02:06.220 --> 02:02:08.100]   facilitate and who they don't.
[02:02:08.100 --> 02:02:10.260]   It's just absolutely ridiculous.
[02:02:10.260 --> 02:02:12.580]   Florida House voted 77 and 38 in favor.
[02:02:12.580 --> 02:02:15.460]   The Senate 23 to 17.
[02:02:15.460 --> 02:02:20.060]   It would allow suspensions of up to two weeks and a service can remove individual posts if
[02:02:20.060 --> 02:02:22.100]   they violate the terms of service.
[02:02:22.100 --> 02:02:27.260]   But if you quote, "deplatform political candidate," in other words, permanently delete or ban them
[02:02:27.260 --> 02:02:32.260]   as Twitter and Facebook did to the former president, you could be fined up to a quarter
[02:02:32.260 --> 02:02:40.660]   million dollars a day for statewide candidates and $25,000 a day for the little guys.
[02:02:40.660 --> 02:02:45.340]   I think this is not going to survive a test in court.
[02:02:45.340 --> 02:02:47.340]   I agree.
[02:02:47.340 --> 02:02:48.340]   Yeah.
[02:02:48.340 --> 02:02:49.500]   Let's see.
[02:02:49.500 --> 02:02:53.900]   I'm trying to cherry pick the good stuff.
[02:02:53.900 --> 02:02:55.460]   I feel bad for Volkswagen.
[02:02:55.460 --> 02:02:57.460]   This is a roadshow story.
[02:02:57.460 --> 02:03:01.740]   Volkswagen did their April Fool's joke just a little bit early announcing that Volkswagen
[02:03:01.740 --> 02:03:05.060]   America was going to be rebranded as Volt.
[02:03:05.060 --> 02:03:09.460]   V-O-L-T, Volt's wagon America.
[02:03:09.460 --> 02:03:12.580]   Apparently the SEC is not investigating.
[02:03:12.580 --> 02:03:13.820]   Come on.
[02:03:13.820 --> 02:03:16.180]   Come on.
[02:03:16.180 --> 02:03:17.180]   On what ground?
[02:03:17.180 --> 02:03:19.460]   This was bad.
[02:03:19.460 --> 02:03:26.420]   Basically that, well, of course, that there was an impact to the stock price based on this
[02:03:26.420 --> 02:03:27.420]   release.
[02:03:27.420 --> 02:03:32.860]   And so therefore the company valuation went up based on fake news.
[02:03:32.860 --> 02:03:36.140]   The reason that I think you should not feel bad for Volkswagen is because they really
[02:03:36.140 --> 02:03:37.140]   sold this.
[02:03:37.140 --> 02:03:39.180]   I've been covering tech journalism for a long time now.
[02:03:39.180 --> 02:03:41.380]   I've survived many.
[02:03:41.380 --> 02:03:48.340]   On April Fool's day, I've never seen a company do what Volkswagen did to make this see believable.
[02:03:48.340 --> 02:03:50.300]   Yeah, absolutely.
[02:03:50.300 --> 02:03:54.060]   Every time in the history of my doing tech and automotive journalism, if I ever had a
[02:03:54.060 --> 02:03:58.780]   doubt that a story was real or not, I would get on the phone with a representative and
[02:03:58.780 --> 02:04:00.460]   say, hey, seriously?
[02:04:00.460 --> 02:04:02.140]   And they'd say, you know, of course not.
[02:04:02.140 --> 02:04:04.180]   It's April Fool's joke.
[02:04:04.180 --> 02:04:07.580]   On the record, off the record, we were told up and down this is absolutely legit.
[02:04:07.580 --> 02:04:11.660]   In the way that they structured in time the releases to go out, it actually, this release
[02:04:11.660 --> 02:04:13.700]   accidentally leaked, quote unquote leaked.
[02:04:13.700 --> 02:04:16.260]   The same time as another embargoed press release that was supposed to go out.
[02:04:16.260 --> 02:04:19.580]   They did everything to perfection to make this look like an actual story.
[02:04:19.580 --> 02:04:21.900]   And it's more up and down that it was true.
[02:04:21.900 --> 02:04:23.980]   So we bought it.
[02:04:23.980 --> 02:04:25.460]   I feel terrible that we did.
[02:04:25.460 --> 02:04:30.340]   We report on this as fact, as did most other major journalistic outlets in the world.
[02:04:30.340 --> 02:04:34.900]   And yeah, there was a tangible increase in evaluation of Volkswagen for the day that
[02:04:34.900 --> 02:04:39.580]   actually persisted long after the reports came out that this was indeed fake.
[02:04:39.580 --> 02:04:41.820]   So that's why the SEC is involved.
[02:04:41.820 --> 02:04:46.100]   I'm very curious to see what the reaction is going to be to this because, yeah, I'm
[02:04:46.100 --> 02:04:49.900]   frankly, you can probably tell I'm still pretty mad about the way that this sit down.
[02:04:49.900 --> 02:04:51.340]   You were burned, man.
[02:04:51.340 --> 02:04:52.340]   Yeah, exactly.
[02:04:52.340 --> 02:04:53.340]   We were burned.
[02:04:53.340 --> 02:04:55.420]   Yeah, that's the first time that I've ever been burned like this.
[02:04:55.420 --> 02:04:56.940]   And I hope that it never happens again.
[02:04:56.940 --> 02:04:57.940]   Wow.
[02:04:57.940 --> 02:05:01.820]   I didn't realize that they went on the record with reporters saying it's not a joke.
[02:05:01.820 --> 02:05:05.700]   I know that they put that in the press release, but that's not right.
[02:05:05.700 --> 02:05:08.460]   That's not that breaks your relationship.
[02:05:08.460 --> 02:05:11.060]   And Volkswagen has some problems already.
[02:05:11.060 --> 02:05:12.060]   Yeah.
[02:05:12.060 --> 02:05:18.380]   I mean, the idea that Volkswagen lying to people about, you know, taking electrification
[02:05:18.380 --> 02:05:22.660]   very seriously and taking emissions very seriously, who thought that that was going to be a funny
[02:05:22.660 --> 02:05:24.540]   thing that we would all be laughing about.
[02:05:24.540 --> 02:05:26.900]   You know, the whole point of a full stage, hey, this is cute.
[02:05:26.900 --> 02:05:27.900]   This is fun.
[02:05:27.900 --> 02:05:28.900]   This is entertaining.
[02:05:28.900 --> 02:05:33.460]   Here, Volkswagen, who's still really, you know, walking around with a black eye, thanks
[02:05:33.460 --> 02:05:37.220]   to diesel gain, everything else around there is now joking about, you know, taking emissions
[02:05:37.220 --> 02:05:39.100]   cutting very seriously.
[02:05:39.100 --> 02:05:42.780]   I don't know what they thought was going to come from this, but certainly a lot of negative
[02:05:42.780 --> 02:05:43.780]   is coming for it.
[02:05:43.780 --> 02:05:45.780]   And I hope that more continues to.
[02:05:45.780 --> 02:05:50.340]   We all know what's so frustrating is, you know, a lot of the technology that Porsche is
[02:05:50.340 --> 02:05:56.620]   doing with the Ticon is going to filter through, you know, Audi and Volkswagen, which is part
[02:05:56.620 --> 02:05:57.780]   of the same autogritt.
[02:05:57.780 --> 02:06:02.340]   They have a really promising feature ahead of them here.
[02:06:02.340 --> 02:06:07.580]   And it's just, it's, I mean, it's not just like the stock risk that they're doing.
[02:06:07.580 --> 02:06:13.580]   It's so counterproductive to burn relationships with people like you because I bet when that
[02:06:13.580 --> 02:06:18.580]   technology does filter down, Tim, I mean, you're not going to be taking that phone call
[02:06:18.580 --> 02:06:21.220]   as fast as maybe you were a year ago.
[02:06:21.220 --> 02:06:26.220]   And that week I was literally working on a review of the ID for, which is Volkswagen's
[02:06:26.220 --> 02:06:28.500]   new EV in the US, which is a fantastic car.
[02:06:28.500 --> 02:06:32.900]   So, you know, I had to put all that baggage in the backseat literally and swallow by pride
[02:06:32.900 --> 02:06:35.900]   to say, this is a really, really good car that Volkswagen has produced here.
[02:06:35.900 --> 02:06:37.060]   You know, this is an excellent EV.
[02:06:37.060 --> 02:06:40.100]   If you were looking for a first EV, this is a really great choice.
[02:06:40.100 --> 02:06:44.260]   But you know, meanwhile, I'm feeling incredibly, you know, upset at the company for their handling
[02:06:44.260 --> 02:06:45.540]   of this whole shebang.
[02:06:45.540 --> 02:06:49.460]   So, yeah, it made things very, very complicated and it still is just so discreet.
[02:06:49.460 --> 02:06:53.580]   I really think we have to call time on April Fool's stories.
[02:06:53.580 --> 02:06:54.580]   Yes.
[02:06:54.580 --> 02:06:57.500]   And they say, and they are second.
[02:06:57.500 --> 02:07:00.540]   They should be, they should be ludicrous.
[02:07:00.540 --> 02:07:01.540]   So ridiculous.
[02:07:01.540 --> 02:07:03.340]   They couldn't possibly be true.
[02:07:03.340 --> 02:07:04.340]   Yeah.
[02:07:04.340 --> 02:07:06.340]   And they can only come out on April 1st.
[02:07:06.340 --> 02:07:07.340]   Yes.
[02:07:07.340 --> 02:07:08.340]   Yeah.
[02:07:08.340 --> 02:07:12.220]   I mean, we've seen some great products announced on April 1st, like Gmail, wasn't it?
[02:07:12.220 --> 02:07:16.220]   Everyone thought that was an April Fool's because a gigabyte of free email storage or
[02:07:16.220 --> 02:07:17.220]   something.
[02:07:17.220 --> 02:07:21.500]   But yeah, I mean, they should be ludicrous.
[02:07:21.500 --> 02:07:26.300]   And we should praise who did the most ludicrous over the top thing.
[02:07:26.300 --> 02:07:32.660]   For something that actually could be real, maybe at this time, it's just not appropriate
[02:07:32.660 --> 02:07:33.660]   anymore.
[02:07:33.660 --> 02:07:35.460]   It's just the damage can be too great.
[02:07:35.460 --> 02:07:38.060]   I would, Google put a hiatus on April Fool's.
[02:07:38.060 --> 02:07:42.340]   It was famous for its April Fool's for years, both last year and this year.
[02:07:42.340 --> 02:07:44.300]   Let's make that a permanent thing.
[02:07:44.300 --> 02:07:45.300]   Cool.
[02:07:45.300 --> 02:07:46.300]   You know what?
[02:07:46.300 --> 02:07:47.300]   They did pigeon rank.
[02:07:47.300 --> 02:07:48.300]   It was ludicrous.
[02:07:48.300 --> 02:07:49.300]   Yeah.
[02:07:49.300 --> 02:07:50.300]   It was funny.
[02:07:50.300 --> 02:07:51.300]   It was obviously not true.
[02:07:51.300 --> 02:07:54.900]   But the toilet internet or, yeah, obviously not true.
[02:07:54.900 --> 02:07:56.380]   Yeah.
[02:07:56.380 --> 02:07:58.260]   But you know, really it's us.
[02:07:58.260 --> 02:08:03.140]   It's tech journalists who get burned the most by this because you can't open the paper
[02:08:03.140 --> 02:08:07.260]   on, you can't look at Tech meme on April 1st because you just don't know what's going
[02:08:07.260 --> 02:08:09.020]   to be real and what's not.
[02:08:09.020 --> 02:08:10.020]   Sometimes it's so subtle.
[02:08:10.020 --> 02:08:12.020]   We get emails, you know, Bloomberg.
[02:08:12.020 --> 02:08:14.860]   I'm sure at CNN, another place is too.
[02:08:14.860 --> 02:08:19.580]   Like we get emails going out from our bureau chief saying it's April 1st.
[02:08:19.580 --> 02:08:21.140]   The extra vigil.
[02:08:21.140 --> 02:08:22.140]   You're afraid.
[02:08:22.140 --> 02:08:23.140]   Yeah.
[02:08:23.140 --> 02:08:28.100]   And in a day and age where you see people on Facebook and Twitter resharing onion articles
[02:08:28.100 --> 02:08:31.940]   as real, there's a real hazard to this.
[02:08:31.940 --> 02:08:37.140]   People don't necessarily have a sense of humor or any sense of any judgment about whether
[02:08:37.140 --> 02:08:38.380]   this is ridiculous.
[02:08:38.380 --> 02:08:39.380]   Like this story.
[02:08:39.380 --> 02:08:41.100]   I think this is ridiculous.
[02:08:41.100 --> 02:08:42.660]   You've all seen this picture.
[02:08:42.660 --> 02:08:47.340]   The famous meme, they call it disaster girl.
[02:08:47.340 --> 02:08:49.540]   She was a four year old girl.
[02:08:49.540 --> 02:08:53.180]   The truth behind the story is actually it looks like she's looking at her house burning
[02:08:53.180 --> 02:08:58.900]   down and give you kind of an evil side glance like see what I did.
[02:08:58.900 --> 02:09:06.940]   In fact, the girl in this picture, Zoe Roth and her father, Dave Roth, went over to watch
[02:09:06.940 --> 02:09:08.620]   a house being burnt down.
[02:09:08.620 --> 02:09:14.540]   This was actually a fire department controlled burn on purpose.
[02:09:14.540 --> 02:09:17.540]   He took this picture in 2005.
[02:09:17.540 --> 02:09:20.380]   Of course, immediately went viral.
[02:09:20.380 --> 02:09:25.340]   It is now an NFT, a non fungible token.
[02:09:25.340 --> 02:09:31.020]   I thought we were done with NFTs to be honest with you, but disaster girl decided to sell
[02:09:31.020 --> 02:09:32.020]   her meme.
[02:09:32.020 --> 02:09:33.020]   She's now 21.
[02:09:33.020 --> 02:09:37.820]   She got half a million dollars.
[02:09:37.820 --> 02:09:39.260]   You don't own the picture.
[02:09:39.260 --> 02:09:43.060]   I mean, I guess you technically do.
[02:09:43.060 --> 02:09:47.380]   They will get 10% of resale value, which is nice.
[02:09:47.380 --> 02:09:51.020]   They maintain copyright, which is nice.
[02:09:51.020 --> 02:09:53.460]   They haven't really given anybody anything.
[02:09:53.460 --> 02:10:00.340]   She says she's going to pay off her college loans and then donate the rest of charity.
[02:10:00.340 --> 02:10:05.460]   She's a student at UNC in Chapel Hill.
[02:10:05.460 --> 02:10:08.180]   I think she should speak that money out of junk free.
[02:10:08.180 --> 02:10:09.180]   That's just me.
[02:10:09.180 --> 02:10:10.180]   Take it.
[02:10:10.180 --> 02:10:11.180]   Take the money.
[02:10:11.180 --> 02:10:12.180]   I'm sure I should.
[02:10:12.180 --> 02:10:13.180]   Yeah.
[02:10:13.180 --> 02:10:14.180]   I have so many conflicted feelings.
[02:10:14.180 --> 02:10:17.140]   I think it's great that she was able to turn this into such a financial win.
[02:10:17.140 --> 02:10:21.300]   That's fantastic, but may not still have so many queasy feelings about NFTs and the
[02:10:21.300 --> 02:10:23.300]   United States buying a URL.
[02:10:23.300 --> 02:10:24.300]   It's a good story.
[02:10:24.300 --> 02:10:25.300]   It's a good story.
[02:10:25.300 --> 02:10:26.300]   It's a good story.
[02:10:26.300 --> 02:10:28.220]   But if somebody's willing to spend half a million, it's on them.
[02:10:28.220 --> 02:10:30.300]   Good for you disaster girl.
[02:10:30.300 --> 02:10:36.420]   I think Star Wars kid is going to sell his, let's say, Perfidia.
[02:10:36.420 --> 02:10:41.220]   All these people who are in memes whose lives have been completely ruined by being a meme,
[02:10:41.220 --> 02:10:42.660]   they should get something for it.
[02:10:42.660 --> 02:10:43.660]   Absolutely they should.
[02:10:43.660 --> 02:10:45.660]   You can make a gamergate NFT.
[02:10:45.660 --> 02:10:46.660]   Oh, yeah.
[02:10:46.660 --> 02:10:47.660]   Oh, man.
[02:10:47.660 --> 02:10:50.620]   It will be the frog feature at large.
[02:10:50.620 --> 02:10:51.620]   Yeah.
[02:10:51.620 --> 02:10:52.620]   Exactly.
[02:10:52.620 --> 02:10:53.620]   We'll do it.
[02:10:53.620 --> 02:10:57.820]   No, but in all seriousness, I think the problem that I have with NFT, we all agree it's terrible
[02:10:57.820 --> 02:10:59.460]   for the environment.
[02:10:59.460 --> 02:11:04.300]   The problem I have with this, the underlying architecture of the protocol with it doesn't
[02:11:04.300 --> 02:11:05.300]   make sense.
[02:11:05.300 --> 02:11:12.500]   A lot of the people selling NFT, the way that it's coded is basically just pointing to a
[02:11:12.500 --> 02:11:13.500]   URL.
[02:11:13.500 --> 02:11:14.500]   Right.
[02:11:14.500 --> 02:11:18.900]   Well, what happens if that URL for that video disappears, you can do it in such a way that
[02:11:18.900 --> 02:11:19.900]   it's more than making the way.
[02:11:19.900 --> 02:11:21.900]   You could use IPFS or something like that.
[02:11:21.900 --> 02:11:23.900]   Yeah, that's exactly.
[02:11:23.900 --> 02:11:27.580]   But it's not the reality of how many of these are being sold.
[02:11:27.580 --> 02:11:31.340]   So I think there need to be standards for this.
[02:11:31.340 --> 02:11:37.820]   And frankly, none of it's worth anything until there's some sort of legal copyright
[02:11:37.820 --> 02:11:42.020]   that the owners hold that is validated by the courts.
[02:11:42.020 --> 02:11:47.460]   So I'm very skeptical that these are going to have value in the future.
[02:11:47.460 --> 02:11:55.140]   But I also think it's true that because of the income inequality, there are a lot of
[02:11:55.140 --> 02:11:59.420]   people that have assets around and they're like, where do I put this?
[02:11:59.420 --> 02:12:01.420]   Where it could possibly make money?
[02:12:01.420 --> 02:12:05.100]   And it's like just a high risk bet for some people.
[02:12:05.100 --> 02:12:06.100]   Will it pay off?
[02:12:06.100 --> 02:12:08.500]   I don't think so, but maybe it will.
[02:12:08.500 --> 02:12:09.500]   Yeah.
[02:12:09.500 --> 02:12:12.540]   I can't wait to see this hit the courts.
[02:12:12.540 --> 02:12:15.580]   I'm completely with you, like, bringing.
[02:12:15.580 --> 02:12:21.940]   I'll be there with the popcorn with my feet up, just watching the madness unfold because
[02:12:21.940 --> 02:12:22.940]   I agree.
[02:12:22.940 --> 02:12:24.220]   It's a fad.
[02:12:24.220 --> 02:12:25.220]   It's ridiculous.
[02:12:25.220 --> 02:12:31.420]   But if someone wants to make half a million bucks selling a picture, my hat is off to
[02:12:31.420 --> 02:12:35.140]   except that it isn't because it's ridiculous and my hat will still have.
[02:12:35.140 --> 02:12:41.100]   As long as we're in the meme field, you remember Bat Kid, the kid in San Francisco who was
[02:12:41.100 --> 02:12:49.700]   dying of cancer and they organized this wonderful kind of event where he ran around as a Batman
[02:12:49.700 --> 02:12:57.100]   and he did also, he threw the first pitch at the Giants game and all sorts of things.
[02:12:57.100 --> 02:13:04.020]   He is healthy and thriving and now cancer free.
[02:13:04.020 --> 02:13:06.220]   So isn't that awesome?
[02:13:06.220 --> 02:13:07.220]   That's amazing.
[02:13:07.220 --> 02:13:08.220]   Yeah.
[02:13:08.220 --> 02:13:09.220]   That is wonderful.
[02:13:09.220 --> 02:13:11.580]   Thank you for passing that along, Rhett Con as long as we're talking memes, let's talk
[02:13:11.580 --> 02:13:12.580]   happy memes.
[02:13:12.580 --> 02:13:21.620]   An Oscar for Facebook, an Oculus, an electronic arts, Collette, a documentary short, the first
[02:13:21.620 --> 02:13:22.620]   Oscar.
[02:13:22.620 --> 02:13:26.300]   Now, nobody watched the Oscars, so I'm not surprised if you didn't know this.
[02:13:26.300 --> 02:13:31.540]   At the lowest ratings in the history of the Academy Awards, which is, you know, it used
[02:13:31.540 --> 02:13:33.300]   to be a religious holiday in my household.
[02:13:33.300 --> 02:13:40.340]   We'd have parties, we'd have ballots, but having an Oscar ceremony in a train station
[02:13:40.340 --> 02:13:43.740]   with a DJ, it just felt like a bad wedding.
[02:13:43.740 --> 02:13:49.380]   And but anyway, a 25 minute film following former French resistance member Collette,
[02:13:49.380 --> 02:13:54.140]   Marin Catherine, as she travels to Germany for the first time in 74 years.
[02:13:54.140 --> 02:14:00.220]   It's a VR experience and it's the first, I think it's got to be the first Oscar for
[02:14:00.220 --> 02:14:02.500]   a virtual reality experience.
[02:14:02.500 --> 02:14:08.380]   Boy, I mean, the world is changing for, you know, a couple of years ago, was at Spielberg
[02:14:08.380 --> 02:14:13.620]   was saying you shouldn't ever be eligible just for a Oscar on a streaming film.
[02:14:13.620 --> 02:14:15.340]   Netflix won seven or what do they win?
[02:14:15.340 --> 02:14:17.300]   They won seven or eight Oscars.
[02:14:17.300 --> 02:14:20.140]   I think Spielberg's lost that one.
[02:14:20.140 --> 02:14:25.500]   How much did Verizon pay for Yahoo and AOL?
[02:14:25.500 --> 02:14:27.420]   About nine billion dollars.
[02:14:27.420 --> 02:14:28.900]   How much are they going to get?
[02:14:28.900 --> 02:14:30.420]   They're selling it.
[02:14:30.420 --> 02:14:33.380]   They expect maybe four billion.
[02:14:33.380 --> 02:14:35.820]   Couldn't happen to a nicer company.
[02:14:35.820 --> 02:14:39.700]   I thought we could keep running it.
[02:14:39.700 --> 02:14:41.060]   Oh, it would fix it all.
[02:14:41.060 --> 02:14:42.060]   Right.
[02:14:42.060 --> 02:14:43.060]   Oh, I love to kick people in there down.
[02:14:43.060 --> 02:14:44.060]   Are you kidding?
[02:14:44.060 --> 02:14:45.340]   I shouldn't comment on this probably.
[02:14:45.340 --> 02:14:47.420]   Oh, you work for somebody.
[02:14:47.420 --> 02:14:48.500]   Are you going to be sold?
[02:14:48.500 --> 02:14:50.100]   Are you part of the scene?
[02:14:50.100 --> 02:14:51.100]   No, Verizon.
[02:14:51.100 --> 02:14:53.820]   Oh, no, we're we're happy and healthy at our home now.
[02:14:53.820 --> 02:14:57.180]   No, yeah, I was I was part of the AO group for a good long while.
[02:14:57.180 --> 02:15:00.420]   Yeah, and again, so I, you know, of course, I've been friends over there and I hope that
[02:15:00.420 --> 02:15:01.420]   this will work well for them.
[02:15:01.420 --> 02:15:02.420]   Oh, that's right.
