;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[01:51:49.380 --> 01:51:52.900]   So yeah, this would be a much bigger screen. They do like a nice
[01:51:52.900 --> 01:51:59.380]   Upgrade like uh in person like a live upgrade of what you know the difference is screen is versus the old one
[01:51:59.380 --> 01:52:05.620]   It looks like it's sick of seven inches versus 6.2. That's like noticeable on a device at small
[01:52:05.620 --> 01:52:07.220]   um
[01:52:07.220 --> 01:52:11.860]   And the ole it looks better. It just looks so much better. And also the colorway. It looks really good
[01:52:12.180 --> 01:52:19.460]   Like looks good white. I'm really into in our chatroom firefox nx says the nintendo ole it is the athleisure of game consoles
[01:52:19.460 --> 01:52:21.540]   Is that I mean, that's a great thing
[01:52:21.540 --> 01:52:27.220]   Absolutely. I think that's brilliant. That's actually it's a price lulu lemon pants. Yeah
[01:52:27.220 --> 01:52:31.460]   Yeah, this is why you buy it for the for the aesthetic and for the flex. Absolutely
[01:52:31.460 --> 01:52:37.220]   This has been a problem though this year you couldn't get I mean the microsoft has said yeah, we're not gonna have uh
[01:52:37.860 --> 01:52:42.500]   The new xbox series x and supply anytime soon and especially place is
[01:52:42.500 --> 01:52:47.300]   Yeah, playstation 5 very hard to find if you you know if you got one you were lucky
[01:52:47.300 --> 01:52:53.620]   Uh, this is even the switch and they say available october 8 but you have to wonder with chip shortages and so forth
[01:52:53.620 --> 01:52:55.620]   How hard is this gonna get?
[01:52:55.620 --> 01:52:57.620]   I've already had like three people
[01:52:57.620 --> 01:53:03.060]   King me who want them because like one person they gave their old swishes someone else another person like they just they know
[01:53:03.060 --> 01:53:04.820]   They know that you're
[01:53:04.820 --> 01:53:09.700]   Very good. Yes, they know they know on the person they're like, yeah, yes, they're like christen. You have to
[01:53:09.700 --> 01:53:14.820]   Switch a little bit your strategy for uh acquiring one of these
[01:53:14.820 --> 01:53:19.140]   Okay, so then your two main tools for this while they're three
[01:53:19.140 --> 01:53:23.860]   But your your main tools are going to be discord and twitter and so you want to set up alerts on both of them
[01:53:23.860 --> 01:53:29.220]   You want to join a number of different discord where they have drops and they will send notifications
[01:53:29.220 --> 01:53:32.900]   For when things go out uh twitter is the same way there's certain
[01:53:33.380 --> 01:53:38.420]   Of people you can follow and you turn notifications on for that person and you get alerts the other thing
[01:53:38.420 --> 01:53:43.460]   Where is 64 especially? Yeah, wario 64 is great, but there's some other ones to what's that?
[01:53:43.460 --> 01:53:45.780]   That's a person
[01:53:45.780 --> 01:53:50.580]   He's a person and and he finds all the latest deals and links and stuff that works
[01:53:50.580 --> 01:53:56.100]   Uh, but he's how can you both know this if you two knows everybody knows this right?
[01:53:56.100 --> 01:53:58.740]   That's the problem
[01:54:01.060 --> 01:54:03.780]   Can you help me get some bicycle pants? I'm trying to buy a bicycle, right?
[01:54:03.780 --> 01:54:06.740]   And you can buy the see this is becoming the problem everybody knows all the tricks
[01:54:06.740 --> 01:54:09.940]   You can buy the really cheap ones in the really so if I want to buy a 400
[01:54:09.940 --> 01:54:12.820]   Hour bicycle easy if I want to buy a 10 000 dollar bicycle easy
[01:54:12.820 --> 01:54:16.740]   But try to find a 1500 dollar bicycle. They're like completely
[01:54:16.740 --> 01:54:22.100]   Backward until next year. Yeah chip shortage too. No, I don't know what the other Chinese motors
[01:54:22.100 --> 01:54:26.820]   Colovid no, they don't chips in these bicycles that I know well the e-bike thing has gotten really big
[01:54:27.540 --> 01:54:33.300]   Yeah, because there's a big thing there but a continue christian, but even analyze I got it
[01:54:33.300 --> 01:54:36.180]   Okay, so now which discord servers do I have to show?
[01:54:36.180 --> 01:54:41.860]   I'm following warrior 64. I'm now
[01:54:41.860 --> 01:54:45.060]   There are a lot of discourse
[01:54:45.060 --> 01:54:49.700]   And some of them work better than others because I'm in a bunch of them some for video games some for graphics cards
[01:54:49.700 --> 01:54:57.220]   Some are CPUs like whatever some for shoes. I just want to point out wario 64 has one million followers
[01:54:57.700 --> 01:55:04.580]   Yes, he is posting with affiliate links, which makes yes means he's probably making making a ton of 100
[01:55:04.580 --> 01:55:07.140]   A lot of money doing this
[01:55:07.140 --> 01:55:12.900]   And and he doesn't sleep and the thing is is that it's my knowledge. He's not body. He means a castor mattress
[01:55:12.900 --> 01:55:17.540]   By links is it he's he's is it a group of people or do we know it's just one person that I don't know?
[01:55:17.540 --> 01:55:19.860]   I don't know. Yeah, I think it's only one person because
[01:55:19.860 --> 01:55:25.460]   There have been times when and because this happened when I was able to score so many ps5s in the
[01:55:25.860 --> 01:55:29.860]   Slide into your your gossip girl D. No, no, he did not slide on my DMS
[01:55:29.860 --> 01:55:35.860]   No, but what happened was that he would go to sleep and I was up at like like two three o'clock in the morning pacific time
[01:55:35.860 --> 01:55:41.060]   I would catch drops from some other people and he would then wake up and have had missed the drop, right?
[01:55:41.060 --> 01:55:46.420]   So this is why you sometimes have to follow both people and multiple discourse to get people when they're awake
[01:55:46.420 --> 01:55:51.060]   That's the other thing too. So the main thing is you get these notifications now. Everybody gets them
[01:55:51.540 --> 01:55:55.780]   It's a lot harder than it used to be but and this is the most important thing once you have these notifications
[01:55:55.780 --> 01:55:59.060]   You need to be ready to go. That means you need to have your payment information
[01:55:59.060 --> 01:56:05.300]   Pre-configured in your browser if it is for the main retailer like best buy or amazon or walmart or whatever
[01:56:05.300 --> 01:56:09.540]   You need an account. You need to be signed and you need to have it ready to go because you might have seconds
[01:56:09.540 --> 01:56:13.140]   I'm not even kidding. You have seconds coffee is for clothes. You got to be a closer
[01:56:13.140 --> 01:56:17.700]   Coffee is the closer like like like the day that I scored three ps5s in one day
[01:56:18.020 --> 01:56:22.820]   Which was my birthday I might add like it was because I was just on it and I had all
[01:56:22.820 --> 01:56:29.220]   Problem your problem your buying that's two people who couldn't get a ps5
[01:56:29.220 --> 01:56:33.220]   I sold them at cost. I mean okay
[01:56:33.220 --> 01:56:38.420]   And had them shipped directly to my friends. I am not the problem. I am the good person here
[01:56:38.420 --> 01:56:42.740]   I could have like made thousand dollars and I made nothing. I've made
[01:56:43.300 --> 01:56:46.500]   How you were outraged that I suggested that you just like
[01:56:46.500 --> 01:56:55.060]   Because I'm not the problem. I'm like actually going out of my way to help people like I'm actively going out of my way to help
[01:56:55.060 --> 01:57:05.220]   We should we should mention like I think people who have the original switch if they if you did not get the refresh switch in 2019
[01:57:05.220 --> 01:57:09.700]   Which has the better battery chips that and better battery up to nine hours of battery
[01:57:10.020 --> 01:57:12.740]   That is a good reason to upgrade because then you get much better battery
[01:57:12.740 --> 01:57:16.660]   Unportable and you get OLED and you get better speakers although we don't know what that's gonna be
[01:57:16.660 --> 01:57:21.860]   Um, so this is an upgrade from the original switch not so much from the upgraded switch of a couple
[01:57:21.860 --> 01:57:25.620]   Exactly and because I have the animal crossing when I have the upgraded
[01:57:25.620 --> 01:57:29.620]   Which was another reason why I bought the animal crossing one for my
[01:57:29.620 --> 01:57:32.420]   Overwhelming and the lovely pastel colors
[01:57:32.420 --> 01:57:36.420]   Well, it was mostly as the aesthetic but I was able to justify it by saying
[01:57:36.580 --> 01:57:41.060]   Oh, well, it's also newer and has their battery life and like my OG one
[01:57:41.060 --> 01:57:46.260]   Yeah, are you still actually content is getting some heat because they haven't really updated animal crossing in a while
[01:57:46.260 --> 01:57:51.460]   I know I haven't played it that much in the last I lost interest. Yeah, I I decided to be a Viking instead
[01:57:51.460 --> 01:57:56.260]   So it's been a year, you know, like I don't know. I don't know what else is gonna happen there
[01:57:56.260 --> 01:58:03.620]   But uh, while we're also talking about this. I don't think the idea of the switch pro the switch pro was that 4k upscaling thing using dlss
[01:58:03.700 --> 01:58:08.340]   Um, that's probably not death that could easily happen. No, I don't think so that was the rumor
[01:58:08.340 --> 01:58:12.180]   So you think that that ships. Yeah, that's the problem. Yeah, no chips
[01:58:12.180 --> 01:58:14.500]   Because it would be it would mean a whole new tegra processor
[01:58:14.500 --> 01:58:21.060]   A deal assess and everything. Yeah, whole new tegra and now they could just use what they've been using for the past
[01:58:21.060 --> 01:58:25.940]   You know exactly they can continue fapping those they're using Nvidia chips now
[01:58:25.940 --> 01:58:30.260]   They're using the tegra x1 right? Okay. The x1 which is actually a very good chip
[01:58:30.740 --> 01:58:35.300]   It's very good. It's what's in this. It's it's in the Nvidia shield. Yeah. Yeah, I have one in the shield
[01:58:35.300 --> 01:58:37.060]   And it's it's a very powerful ship
[01:58:37.060 --> 01:58:41.060]   Uh, but they if you if you're an upgrade you have to have a better chip
[01:58:41.060 --> 01:58:45.220]   So they need a better chip than that and and nobody in Nvidia is not doing that right now
[01:58:45.220 --> 01:58:49.380]   And when they would turn knowledge they'd have to have a custom one. Yeah. Yeah. Yeah
[01:58:49.380 --> 01:58:53.460]   Whereas the existing one was like the existing, you know x1
[01:58:53.460 --> 01:58:56.420]   I
[01:58:56.420 --> 01:58:58.900]   I'm probably the only one on this panel who isn't a gamer
[01:58:59.620 --> 01:59:05.140]   So everything what's wrong with you there. I still want to get Larry a switch. Yeah, give me a bicycle. I'm happy
[01:59:05.140 --> 01:59:13.140]   Without what you really want is a bicycle with a that powers your game machine so that's exactly in game at the same time
[01:59:13.140 --> 01:59:17.380]   I've often thought especially when I was playing world of warcraft and there's a lot of running around
[01:59:17.380 --> 01:59:23.940]   I thought it'd be really good if I were actually running like if I had a treadmill and I were running do that set up a laptop stand
[01:59:23.940 --> 01:59:27.780]   Yeah, yeah, and you could wear these at leisure pants. Oh, no, you can't actually
[01:59:28.100 --> 01:59:30.100]   athleisure athleisure
[01:59:30.100 --> 01:59:36.420]   Let me take a little break. I'm exhausted just the the whole process of buying a nintendo
[01:59:36.420 --> 01:59:42.900]   You on so much culture. Oh my god somebody in the chatroom said one of the strangest twits in recent memory. Absolutely
[01:59:42.900 --> 01:59:46.420]   High five Christina. High five
[01:59:46.420 --> 01:59:51.540]   Do it across us. Yeah, just let the old guys sit back you guys tonight
[01:59:51.540 --> 01:59:55.140]   All right. All right. All right. All right. All right. So hold on guys. We're gonna take a little break
[01:59:56.420 --> 01:59:58.980]   We're gonna come back more of the show great panel
[01:59:58.980 --> 02:00:02.020]   uh, but
[02:00:02.020 --> 02:00:06.820]   We had such a good week on twit. I thought you should watch this little mini movie watch this divindra. It's good
[02:00:06.820 --> 02:00:13.940]   All right, that's a good exercise. Let me look at what youtube recommends for me twit the sadoku for people who don't like sadoku
[02:00:13.940 --> 02:00:21.460]   How do you make a video out of sadoku? Well, jam. It's fascinating
[02:00:21.460 --> 02:00:25.300]   Previously on twit
[02:00:25.780 --> 02:00:34.340]   Security now the so-called windows print nightmare was overshadowed by the sodino kibi malware
[02:00:34.340 --> 02:00:39.300]   Which the reval ransam where gang managed to infiltrate into kasea?
[02:00:39.300 --> 02:00:40.740]   servers
[02:00:40.740 --> 02:00:45.300]   We have at least now the worst ransam where event in history
[02:00:45.300 --> 02:00:51.380]   All about android, you know where the people also are they are absolutely on pokemon go
[02:00:51.780 --> 02:00:56.260]   Which is celebrating an anniversary this week pokemon go is five years old
[02:00:56.260 --> 02:01:01.540]   It is made five billion dollars in revenue for player spending in the last five years
[02:01:01.540 --> 02:01:05.140]   Five billion man. That's all that's a lot of money for one game
[02:01:05.140 --> 02:01:07.700]   That is just
[02:01:07.700 --> 02:01:09.220]   Insanity to me
[02:01:09.220 --> 02:01:10.500]   windows weekly
[02:01:10.500 --> 02:01:15.540]   Microsoft is uh gonna lose that jedi deal the dod has canceled it right
[02:01:15.540 --> 02:01:20.100]   They're gonna redo the contract and rebuild the contract. It's now instead of called jedi
[02:01:20.180 --> 02:01:23.780]   It's called joint warfare cloud capability
[02:01:23.780 --> 02:01:28.340]   So it's gonna be a multi cloud deal this time, which it should have been the first time right?
[02:01:28.340 --> 02:01:30.660]   Yeah, all of them could win
[02:01:30.660 --> 02:01:32.340]   Then yeah, yeah, I didn't
[02:01:32.340 --> 02:01:37.140]   I didn't do it. We're no strangers to love you know the rules and so do I
[02:01:37.140 --> 02:01:43.700]   Our show today actually this is a really interesting company. It's brought to you by
[02:01:43.700 --> 02:01:49.460]   Our crowd have you heard about these guys? This is really interesting a bunch of venture capitalists got together
[02:01:49.700 --> 02:01:51.700]   And said you know what we could do
[02:01:51.700 --> 02:01:56.500]   But what we should do is give people a chance to participate in our deal flow
[02:01:56.500 --> 02:02:00.260]   Right the whole thing that makes you a successful investor
[02:02:00.260 --> 02:02:04.740]   Is that you get access to these deals before anybody else does you can get in
[02:02:04.740 --> 02:02:09.300]   Before the exit before the ipo or the acquisition and really
[02:02:09.300 --> 02:02:15.780]   Make some money if you wish you were in on some of the best performing ipos of the last couple of years
[02:02:16.420 --> 02:02:19.140]   You need to know about our crowd our crowd investors were
[02:02:19.140 --> 02:02:24.260]   And now you can join them in what's next now with our crowd
[02:02:24.260 --> 02:02:31.460]   You need to be an accredited investor and you'll have access to invest directly easily and most importantly early
[02:02:31.460 --> 02:02:36.660]   On some of these very exciting new companies our crowd investors have benefited
[02:02:36.660 --> 02:02:40.820]   From our crowd companies ipoing. I'll give you some examples like beyond meat
[02:02:40.820 --> 02:02:45.460]   Or being bought by companies like intel or nike your microsoft or oracle
[02:02:46.100 --> 02:02:49.700]   So those exits are really are really what where you make your your money
[02:02:49.700 --> 02:02:54.340]   But the problem is you have to get in before the exit you have to get an early you have to get the access
[02:02:54.340 --> 02:03:00.260]   That's where our crowd can help. They are venture capitalists their investment professionals
[02:03:00.260 --> 02:03:03.780]   They have an extensive network and they're ready to let you in
[02:03:03.780 --> 02:03:11.540]   To some of the most promising private companies and startups in the world. They do very deep due diligence
[02:03:11.620 --> 02:03:14.580]   So you don't have to they meet with management teams
[02:03:14.580 --> 02:03:21.060]   They they they do very comprehensive vetting of deals because they're about to make them part of their own portfolio
[02:03:21.060 --> 02:03:23.220]   That's the thing that's important to understand
[02:03:23.220 --> 02:03:25.780]   They're participating in this
[02:03:25.780 --> 02:03:31.940]   Uh, and they're giving you a chance to participate. So this is they're doing the research for their own portfolios as well
[02:03:31.940 --> 02:03:38.180]   Once our crowd has selected a deal they offer accredited investors the opportunity invest alongside of them
[02:03:38.660 --> 02:03:41.060]   Using the say on the same exact terms they're paying
[02:03:41.060 --> 02:03:48.100]   And by the way, you can get into this for free at least join and find out what's going on at our crowd
[02:03:48.100 --> 02:03:50.740]   Our cr o wd.com
[02:03:50.740 --> 02:03:54.580]   Slash to it you can even go there right now sign up and review the current deals
[02:03:54.580 --> 02:03:59.380]   If you don't only if you decide to participate would you have put any money in?
[02:03:59.380 --> 02:04:01.860]   So this is a chance to learn about
[02:04:01.860 --> 02:04:05.380]   Some of these exciting startups in a whole bunch of interesting
[02:04:05.940 --> 02:04:10.180]   Areas and if you say hey, you know what that looks like a good investment you can get into it
[02:04:10.180 --> 02:04:15.700]   Now I have to say you have to be an accredited investor and there are benchmarks every country has benchmarks
[02:04:15.700 --> 02:04:20.420]   So when you go to sign up at our crowd.com slash to it, it'll say what the benchmark is
[02:04:20.420 --> 02:04:24.500]   You have to have a certain net worth a certain income to be an accredited investor
[02:04:24.500 --> 02:04:28.420]   This is to protect people, you know from betting the rent on this stuff
[02:04:28.420 --> 02:04:32.020]   But if you're at the stage in your life where you're making investments
[02:04:32.500 --> 02:04:37.380]   And you're trying to go beyond, you know, just the average mutual fund you and you're looking at
[02:04:37.380 --> 02:04:39.860]   You know some of the exciting stuff that's going on
[02:04:39.860 --> 02:04:44.980]   In in venture capital. This is a way to get involved at a much lower entry fee
[02:04:44.980 --> 02:04:46.980]   You don't have to be a billionaire to do it
[02:04:46.980 --> 02:04:51.300]   As you review the deals you'll have access to our crowds investor relations team
[02:04:51.300 --> 02:04:56.340]   You could talk to them on the phone about you know, if you're concerned or about your goals
[02:04:56.340 --> 02:05:02.340]   They they are they review thousands of companies. They've already invested hundreds of millions of dollars
[02:05:03.140 --> 02:05:06.260]   They've closed investments in over 200 companies. These are legit
[02:05:06.260 --> 02:05:10.580]   And they and they have chosen dozens of companies that have made exits
[02:05:10.580 --> 02:05:15.460]   Accredited investors can participate in single company deals for and I want to be up front
[02:05:15.460 --> 02:05:21.300]   So you understand this isn't for everybody, but if if it typically of as little as $10,000
[02:05:21.300 --> 02:05:24.500]   You can they also have funds
[02:05:24.500 --> 02:05:29.700]   Combining a variety of investments. You can get in one of the our crowd funds for as little as $50,000
[02:05:30.260 --> 02:05:36.340]   But a minimum of 10,000 is required to invest the investment terms may vary depending on your jurisdiction
[02:05:36.340 --> 02:05:41.140]   So what you'll do is you'll go to our crowd.com/twit and enter the country
[02:05:41.140 --> 02:05:44.980]   You're investing from it and you'll see what those rules are
[02:05:44.980 --> 02:05:53.780]   I'll give you a good example right now. You can join our crowds investment in a company called cyto reason syt o re a s o n
[02:05:55.380 --> 02:06:01.780]   They've partnered with five of the 10 largest pharma companies to deliver life-saving drugs at a fraction of the time and
[02:06:01.780 --> 02:06:04.420]   cost they use AI models
[02:06:04.420 --> 02:06:09.220]   Of the human body a molecular level completely changing what's possible
[02:06:09.220 --> 02:06:16.340]   In this huge trillion-dollar drug development landscape very interesting stuff at the at the very least you'll get to get
[02:06:16.340 --> 02:06:23.620]   Read the documentation learn about it and if you decide to you can get an early on cyto reason and other unique opportunities our crowd
[02:06:24.260 --> 02:06:25.860]   Dot com slash
[02:06:25.860 --> 02:06:30.580]   Twit. I thought this was really interesting. I wanted to introduce this to you if you're interested in investing
[02:06:30.580 --> 02:06:36.180]   You you could start by joining our crowd no cost to do that absolutely free
[02:06:36.180 --> 02:06:40.260]   Oh, you are crod.com slash
[02:06:40.260 --> 02:06:42.100]   Twit
[02:06:42.100 --> 02:06:44.580]   I think this is kind of an unusual and interesting
[02:06:44.580 --> 02:06:47.620]   Sponsor when they came to us. I said that's very interesting
[02:06:47.620 --> 02:06:51.860]   I want to tell people about our crowd dot com slash
[02:06:52.660 --> 02:06:54.660]   Twit
[02:06:54.660 --> 02:06:56.340]   Um
[02:06:56.340 --> 02:06:57.300]   Jedi
[02:06:57.300 --> 02:07:02.340]   Contract, I'm sorry Christina. I know you were all excited about this 10 billion dollar pentagon contract
[02:07:02.340 --> 02:07:04.980]   Pentagon's canceled that microsoft wanted
[02:07:04.980 --> 02:07:12.820]   Amazon was pissed. They said it was political and they slowed it down so much a pentagon threw up their hands and said oh screw it
[02:07:12.820 --> 02:07:18.100]   So that was going to be a big business for microsoft a billion dollars a year
[02:07:18.820 --> 02:07:22.820]   They replaced it with something. They're calling a multi vendor cloud computing
[02:07:22.820 --> 02:07:25.460]   contract mv
[02:07:25.460 --> 02:07:27.860]   CC
[02:07:27.860 --> 02:07:34.580]   Only two vents. Yeah, exactly. And then and then the only two vendors this multi vendor thing are Amazon and Microsoft
[02:07:34.580 --> 02:07:41.540]   So you both win everybody wins everybody gets a trophy look like Seattle Seattle wins basically, right? Like yeah
[02:07:41.540 --> 02:07:45.540]   Washington state wins is is how it ends up, you know, it's
[02:07:46.100 --> 02:07:50.820]   Maybe maybe you guys are the right guys to to ask about this, but it does seem to me
[02:07:50.820 --> 02:07:55.460]   So the pentagon wanted to really update their cloud infrastructure for security and
[02:07:55.460 --> 02:07:59.140]   You know, there's good reasons to do this. Uh, they bit it out oracle
[02:07:59.140 --> 02:08:06.340]   Wanted it. Uh Amazon wanted it. Microsoft ended up getting it and and but the court battles have just you know killed it
[02:08:06.340 --> 02:08:08.820]   They need it so they decided to go
[02:08:08.820 --> 02:08:11.700]   For a multi vendor cloud
[02:08:11.860 --> 02:08:17.060]   Isn't that kind of the way to go these days anyway? Isn't that the right thing to do or is that
[02:08:17.060 --> 02:08:22.020]   Too complicated for the department of defense. I think it depends on what they're doing
[02:08:22.020 --> 02:08:24.180]   But I'll let you go on
[02:08:24.180 --> 02:08:26.820]   I think from a security standpoint it makes sense to have
[02:08:26.820 --> 02:08:30.500]   Not a single point of failure. Yeah, I think multi home
[02:08:30.500 --> 02:08:36.580]   Multi cloud environments are kind of the the wave of the future anyway. They're very hot right now
[02:08:37.220 --> 02:08:43.300]   Especially after all these ransomware attacks we're seeing. Yeah, yeah a single point has led to disaster for a lot of companies
[02:08:43.300 --> 02:08:48.500]   Yeah, these this cloud will host not just unclassified material, but secret and even top secret material
[02:08:48.500 --> 02:08:52.500]   So security is really important. It has to be global
[02:08:52.500 --> 02:08:57.300]   Right and that becomes that I guess to me would be the question about some of the secured stuff
[02:08:57.300 --> 02:09:01.060]   I would imagine that in those cases you wouldn't necessarily be able to have a multi cloud thing because
[02:09:01.060 --> 02:09:06.500]   Like our government cloud and Amazon's government clouds are stored in these like secure, you know
[02:09:06.580 --> 02:09:09.620]   like locations and separate data centers and
[02:09:09.620 --> 02:09:15.780]   I think that the way that you would set that stuff up would be that you wouldn't necessarily make that interoperable
[02:09:15.780 --> 02:09:23.140]   With another cloud vendor, right? So it might be one of those things where for some types of things you use one service for other types of things
[02:09:23.140 --> 02:09:27.700]   You use another so I'm not sure how they'll figure that out. It definitely makes it more complicated
[02:09:27.700 --> 02:09:33.140]   There's no no question about that and complexity maybe is the enemy of reliability and security
[02:09:33.140 --> 02:09:35.620]   maybe
[02:09:35.620 --> 02:09:39.060]   But redundancy isn't a bad idea. Yeah, I think the challenge
[02:09:39.060 --> 02:09:43.620]   The challenge and I think this is true for all the different cloud services is that
[02:09:43.620 --> 02:09:50.020]   All of the companies have their own kind of special sauce and they're way of doing different manage offerings and different things
[02:09:50.020 --> 02:09:53.780]   And yes, you can have kubernetes and you can have kind of your own
[02:09:53.780 --> 02:09:57.860]   You know like kind of third party like plane to be able to have like cross, you know
[02:09:57.860 --> 02:10:00.660]   Support across the different services
[02:10:00.740 --> 02:10:03.540]   But the way that Amazon system for certain things works
[02:10:03.540 --> 02:10:06.100]   It's going to be different the way that azure system works for different things
[02:10:06.100 --> 02:10:09.300]   Which is going to be different than how oracles works or or google clouds works
[02:10:09.300 --> 02:10:16.100]   And so the more that you really go all in with that vendor and use a lot of the stuff that they've optimized in a specific way
[02:10:16.100 --> 02:10:23.780]   The harder it is to replicate or have a one-to-one experience with those same source of features with another cloud
[02:10:23.780 --> 02:10:26.660]   So in that case, maybe you look at it as like, okay
[02:10:26.740 --> 02:10:32.180]   We're not going to be using some of these, you know, try it and true like really like, you know
[02:10:32.180 --> 02:10:35.140]   More more efficient, you know managed services and we're just going to be
[02:10:35.140 --> 02:10:40.660]   Trying to to use it more as you know a data center play. I'm not sure what they're going to be doing
[02:10:40.660 --> 02:10:44.100]   I'm not I don't work on that part of it, but I do work on azure so
[02:10:44.100 --> 02:10:48.980]   I just hope the dod has some very talented it professionals because
[02:10:48.980 --> 02:10:51.780]   They're not using cassia and solar winds either
[02:10:51.780 --> 02:10:56.980]   You know connect safely for example now with using amazon web services for our website
[02:10:56.980 --> 02:11:00.740]   Yeah, we do for ours incredibly complicated. Oh, yeah, I mean I had a higher a guy
[02:11:00.740 --> 02:11:05.700]   Oh, you got a higher a guy. I mean and I back when I was on hostgator. I could manage it myself
[02:11:05.700 --> 02:11:07.700]   Oh, no, no, no, no, no, no, no, no, yeah
[02:11:07.700 --> 02:11:12.100]   We you know I was stunned we said when we did our new website maybe five years ago
[02:11:12.100 --> 02:11:13.780]   We're running
[02:11:13.780 --> 02:11:20.580]   We're running on this and now there's redis and there's erroku there. It's running on three or four different servers
[02:11:21.220 --> 02:11:23.220]   It's uh, we're running through
[02:11:23.220 --> 02:11:25.060]   Amazon's cloud front
[02:11:25.060 --> 02:11:29.060]   Uh, we're I mean it is so complicated. Thank goodness. We have a good
[02:11:29.060 --> 02:11:34.740]   It guy rustle knows what he's doing, but yeah, I don't know how I mean the the
[02:11:34.740 --> 02:11:37.380]   World has gotten more complicated not less
[02:11:37.380 --> 02:11:42.100]   But we are on multiple different servers and I guess there's reasons to do that, you know, yeah
[02:11:42.100 --> 02:11:45.780]   Uh, let's see
[02:11:45.780 --> 02:11:48.100]   Uh, pokémon go
[02:11:48.100 --> 02:11:50.740]   back to the fun stuff
[02:11:50.980 --> 02:11:52.340]   pokémon go
[02:11:52.340 --> 02:11:56.340]   Uh, this is the fifth anniversary it launched five years ago 2016
[02:11:56.340 --> 02:12:03.060]   Five billion dollars in revenue for niantic the company that does it five
[02:12:03.060 --> 02:12:07.060]   Not only five billion dollars, but it's going up
[02:12:07.060 --> 02:12:12.500]   The first half of 2021 is the pokémon goes best ever start to a year
[02:12:12.500 --> 02:12:16.260]   Revenue is up 34 from the first half of 2020
[02:12:16.260 --> 02:12:20.180]   130 from the first half of 2017 the first year
[02:12:20.740 --> 02:12:22.740]   uh that they were around it is
[02:12:22.740 --> 02:12:25.460]   Still a big hit
[02:12:25.460 --> 02:12:32.580]   We still see crowds of people like wandering with the phones and doing the things and I think they relaxed some location rules, right?
[02:12:32.580 --> 02:12:36.820]   Uh, to help with pandemic, uh, you know, actually playing and everything
[02:12:36.820 --> 02:12:44.900]   So that probably that's probably the most popular application of augmented reality. Oh easily. That's my father. My far. Yeah. Yeah
[02:12:44.900 --> 02:12:47.860]   I love that. Good for them. Yeah
[02:12:47.940 --> 02:12:50.580]   Like I think a lot of us were wrong
[02:12:50.580 --> 02:12:53.940]   We wrote it off as being kind of like a summer fad because we stopped using it
[02:12:53.940 --> 02:12:57.780]   But the users didn't and it's big they've continued to add more things to it
[02:12:57.780 --> 02:13:03.140]   And they've I have to give niantic a lot of credit because they've really embraced the community around it and really listened to them
[02:13:03.140 --> 02:13:05.220]   and um
[02:13:05.220 --> 02:13:11.540]   It's it's interesting to me that we haven't seen necessarily like other IPs and other games from niantic
[02:13:11.540 --> 02:13:15.540]   You know, like seems like pokémon go is basically their big thing, which is okay
[02:13:15.700 --> 02:13:21.060]   They flopped with the harry the harry potter game flopped. I was all excited. I thought oh, this is gonna be great
[02:13:21.060 --> 02:13:26.420]   And it was I guess too grindy. So it it's interesting. It's hard to do a
[02:13:26.420 --> 02:13:33.620]   It is and it's hard to do a follow-up. I always think of um who was the studio who did kim kardashian's hollywood glue glue glue
[02:13:33.620 --> 02:13:37.140]   Glue interactive or whatever. Yeah, um
[02:13:37.140 --> 02:13:41.620]   Kim kardashian's hollywood was a good game like it was it was a lot of fun. Yeah
[02:13:42.180 --> 02:13:46.340]   I mean, it should be maybe illegal the way that they had like a cino type of thing with it
[02:13:46.340 --> 02:13:48.180]   But but it was it was a fun game
[02:13:48.180 --> 02:13:53.140]   But then they had like the the katie perry follow-up which flopped and the tears was follow-up, which was terrible
[02:13:53.140 --> 02:13:57.700]   And i'm saying killers with fan and yeah, you can't blame the artists for that anymore than you could say
[02:13:57.700 --> 02:14:01.620]   Oh, the problem is harry potter isn't as popular as pokémon. That's not the case
[02:14:01.620 --> 02:14:05.460]   No, it's just sometimes you just you know, it's slightly in a bottle
[02:14:05.460 --> 02:14:08.660]   It's like within the other creative endeavors sometimes you're gonna have hits and sometimes you're not but
[02:14:11.060 --> 02:14:17.140]   It's a little more accessible. You have the older fans you have the young fans like it is a broad swath of people that can play that
[02:14:17.140 --> 02:14:23.300]   And my wife still plays it. She loves it. Yeah. Yeah, it's also kind of language agnostic in a way. You know what i mean?
[02:14:23.300 --> 02:14:25.300]   Like you you don't even
[02:14:25.300 --> 02:14:28.660]   In fact, I think I did this last week
[02:14:28.660 --> 02:14:32.980]   But you know, we we left we're pulling out of f-scanis standpoint a little bit early
[02:14:32.980 --> 02:14:35.780]   We left bagram air force base a couple of weeks ago
[02:14:36.100 --> 02:14:40.980]   Turns out the the air force personnel who were stationed there were playing pokémon go like crazy
