
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[02:09:08.720 --> 02:09:11.400]   Yes in a big Twitter and like on Twitter
[02:09:11.400 --> 02:09:15.360]   I've waited out of Twitter for the most part because it's like but Twitter
[02:09:15.360 --> 02:09:17.080]   It's very difficult to get anything done
[02:09:17.080 --> 02:09:23.360]   It can it has this way of allowing you to form a community within yeah the big thing and it still has its value
[02:09:23.360 --> 02:09:28.320]   But it is it is definitely feels more like you know, it's more promotional now bring it from the fire
[02:09:28.320 --> 02:09:34.560]   Hose to right like it's just and it's it's all over the place and it's it's harder to do nuance and it's harder to do
[02:09:34.560 --> 02:09:39.600]   Twitter blue helps did it make you feel a little more more at home or anything or
[02:09:39.600 --> 02:09:43.080]   No, just sad just blue sad. It's just blue
[02:09:43.080 --> 02:09:50.000]   Am I blue minus purple? Oh, yeah, I made mine purple - how nice yeah your icon, right? Yeah, yeah
[02:09:50.280 --> 02:09:54.640]   That's that's what you're paying the three bucks a month for or whatever. Yeah, it is purple my guns
[02:09:54.640 --> 02:09:59.500]   Yeah, honestly, I'm paying the three dollars a month because I felt like I've gotten so much out of Twitter
[02:09:59.500 --> 02:10:03.120]   Yeah, I kind of I was kind of like
[02:10:03.120 --> 02:10:06.960]   After everything that Twitter has given me I can give them $36 a year
[02:10:06.960 --> 02:10:13.960]   I was really there are times when I'm really glad I have Twitter for the most part
[02:10:13.960 --> 02:10:19.320]   I'm kind of with you Dan. It's like a I feel like either I'm having a stroke because there's so many terse
[02:10:20.040 --> 02:10:23.720]   Inside jokes going on. I don't know. I feel like I don't get I don't get it
[02:10:23.720 --> 02:10:29.440]   Or it's just a fire hose of nonsense or or a lot of promotional stuff
[02:10:29.440 --> 02:10:32.880]   And sometimes a lot of times Twitter makes me angry
[02:10:32.880 --> 02:10:38.000]   And like I get angry at the people who are saying the things they're saying but then there's communal events
[02:10:38.000 --> 02:10:45.500]   Like the Academy Awards what an experience to be watching that live on TV and watching my Twitter stream
[02:10:45.500 --> 02:10:48.760]   That was fascinating. I
[02:10:49.000 --> 02:10:51.480]   Don't think we could have had an experience like that ever before
[02:10:51.480 --> 02:10:54.400]   Do you? I?
[02:10:54.400 --> 02:10:59.240]   Think it is it is interesting because it has this sort of I think you're totally right
[02:10:59.240 --> 02:11:04.280]   that live events sort of you know peek into everybody's brains is
[02:11:04.280 --> 02:11:13.080]   unique and there's discussion going on over the slap and the different points of view and I think we're very informative
[02:11:14.040 --> 02:11:19.520]   Very it is informative, but at same time. It's tricky because they also opened up this door where it's like
[02:11:19.520 --> 02:11:25.520]   You need to have an opinion about everything and express that opinion about everything and that is that is a trap
[02:11:25.520 --> 02:11:29.400]   Oh, yes. Oh, yeah, you do not need to be. Oh, I do not
[02:11:29.400 --> 02:11:35.400]   Right, I have I have plenty of time to have my opinions here. I'm not putting them on Twitter
[02:11:35.400 --> 02:11:39.960]   It's interesting, but at the same time. It's also very very dangerous at times. Oh
[02:11:40.920 --> 02:11:46.760]   You know when I look at people like Elon, I just a kid off Twitter, man. You're not doing yourself any favor, right?
[02:11:46.760 --> 02:11:52.240]   This is not helpful to you. You can think all that bubble stuff
[02:11:52.240 --> 02:11:58.480]   All that little hockey don't say it out loud and especially don't say
[02:11:58.480 --> 02:12:06.400]   Maybe that's why he's making his own social network. Oh, yeah, that was another one where you know he's not doing that and
[02:12:07.360 --> 02:12:13.840]   By the way, it's been done. I don't see a lot of people flocking the truth social. I don't right
[02:12:13.840 --> 02:12:20.320]   There if you if you're gonna do something like Twitter, you need critical mass you can't just yes start your
[02:12:20.320 --> 02:12:24.200]   That's always been the trouble with a lot of the things that have tried to supplant and replace Twitter
[02:12:24.200 --> 02:12:25.800]   I mean, I think
[02:12:25.800 --> 02:12:31.960]   Mastodon's ability to do instances. I think it lets it survive in pockets. It's not huge
[02:12:33.200 --> 02:12:39.280]   Yeah, and it's never gonna replace Twitter because you won't get enough. No, I mean think back to the days of app.net if you remember that
[02:12:39.280 --> 02:12:47.400]   Yeah same same here. I did as well, but it it just there was no way and some of it is just
[02:12:47.400 --> 02:12:53.080]   It's there's something unfathomable and unpredictable about what gets people
[02:12:53.080 --> 02:12:56.280]   What gets that critical mass what causes that critical mass, right?
[02:12:56.280 --> 02:13:02.360]   Like if you be if you could figure out if they could weaponize what becomes viral everything would be viral and then nothing would be viral
[02:13:02.360 --> 02:13:06.560]   But like you can't figure out actually what I think that already happened
[02:13:06.560 --> 02:13:13.440]   Everything is viral and nothing is viral. Did that not happen? No, there's too much virality
[02:13:13.440 --> 02:13:17.320]   Yeah, well, there's always tiktok
[02:13:17.320 --> 02:13:22.360]   My son has two million followers on tiktok
[02:13:22.360 --> 02:13:29.040]   amazing and he and he is using that to slowly gradually build a business a persona presence
[02:13:30.200 --> 02:13:37.280]   To you know, he was on access Hollywood this week. I think it is amazing. I don't think he could have done it on YouTube
[02:13:37.280 --> 02:13:39.280]   He couldn't have done it on Twitter
[02:13:39.280 --> 02:13:43.360]   He was you know, he's 27. He was made for tiktok. I
[02:13:43.360 --> 02:13:51.560]   Think technology sometimes catches up with our ability and our interests in a way that captures it
[02:13:51.560 --> 02:13:59.400]   so that in the time when it's released that they're able to really hone in on those feelings of people who
[02:13:59.720 --> 02:14:03.400]   Are thinking like this is what I need like just like
[02:14:03.400 --> 02:14:08.240]   The tablet market with Microsoft they were too early
[02:14:08.240 --> 02:14:12.440]   And it was clunky, of course. Oh, they were all in though boy
[02:14:12.440 --> 02:14:14.760]   But I think the same is with technology and
[02:14:14.760 --> 02:14:19.880]   Doing the right thing at the right time with the right amount timing so and places
[02:14:19.880 --> 02:14:24.960]   Yeah, I think all of that kind of factors and to the success of something you see that
[02:14:24.960 --> 02:14:27.120]   I mean, it's you see it all over the place
[02:14:28.720 --> 02:14:31.200]   What was what was Dennis's
[02:14:31.200 --> 02:14:38.320]   location for Square at South by just yeah, perfect timing it just happened because of that
[02:14:38.320 --> 02:14:43.920]   And then there's companies like Facebook trying to pull up the latter now. We've learned that they paid a
[02:14:43.920 --> 02:14:46.480]   firm called targeted victory
[02:14:46.480 --> 02:14:49.120]   to push stories
[02:14:49.120 --> 02:14:56.400]   About what a threat tiktok was to American children slight correction pay ing
[02:14:57.560 --> 02:15:01.440]   They're still paying them. Oh, yeah. Oh, yeah. Oh
[02:15:01.440 --> 02:15:04.080]   They're still doing it
[02:15:04.080 --> 02:15:12.240]   So targeted victory here's some of the emails for instance the Washington Post got a bunch of internal Facebook emails and targeted victory emails
[02:15:12.240 --> 02:15:17.960]   Here's one targeted victory quote needs to get the message out while meta is the current punching bag
[02:15:17.960 --> 02:15:20.840]   tiktok is the real threat
[02:15:20.840 --> 02:15:27.520]   Especially as a foreign owned app that is number one in sharing data that young teens are used
[02:15:28.480 --> 02:15:33.380]   Oh my god. This is really down on on rock and roll too. Yes, right
[02:15:33.380 --> 02:15:40.200]   Kids today with their rocks and today and the staffer replies bonus points if we could fit this into a broader message
[02:15:40.200 --> 02:15:46.800]   That the current bills and proposals aren't where state attorneys general or members of Congress should be focused
[02:15:46.800 --> 02:15:52.400]   Yeah, pay no attention to all that problem with Facebook look over there tiktok
[02:15:52.400 --> 02:15:56.520]   So they still pay
[02:15:57.400 --> 02:16:02.520]   Yeah, they've and this is not just a one thing they've been clients or the Lord
[02:16:02.520 --> 02:16:07.300]   They've been the they Facebook's paid them for several years. This is not something new
[02:16:07.300 --> 02:16:10.120]   They just deploy them as needed. Here's one me true
[02:16:10.120 --> 02:16:14.960]   The dream would be get stories with headlines like from dances to danger
[02:16:14.960 --> 02:16:19.660]   How tiktok has become the most harmful social media space for kids
[02:16:19.660 --> 02:16:23.840]   Lifetime movie
[02:16:24.840 --> 02:16:26.840]   To danger
[02:16:26.840 --> 02:16:30.920]   We actually that they planted a story in local story here in Petaluma
[02:16:30.920 --> 02:16:33.120]   that kids
[02:16:33.120 --> 02:16:36.600]   Were doing something on tiktok some sort of door knocking thing
[02:16:36.600 --> 02:16:42.080]   Where they would listen to a song and they would kick the door and then run away
[02:16:42.080 --> 02:16:47.120]   And there were stories in the local news. There were stories in the local paper teens
[02:16:47.120 --> 02:16:49.560]   could get shot
[02:16:49.560 --> 02:16:57.320]   Because people will think they're intruders and doors might get damaged in Petaluma in Petaluma
[02:16:57.320 --> 02:17:03.080]   And I and I asked Henry and I asked every kid I knew have you seen these videos? What are you talking about?
[02:17:03.080 --> 02:17:13.080]   Then it probably comes out that like actually the rumor probably started on Facebook more than likely yeah, who knows I mean
[02:17:13.080 --> 02:17:17.320]   Regardless, I don't think kids same thing with tide pods apparently
[02:17:17.320 --> 02:17:22.880]   I didn't know this we were talking about this on Wednesday on twig and the whole John Donovan who studies this stuff for at Harvard
[02:17:22.880 --> 02:17:25.880]   Said the whole tie pod thing was made up. No one's eating tide pods
[02:17:25.880 --> 02:17:28.800]   That was probably Facebook
[02:17:28.800 --> 02:17:32.280]   Spread and misinformation or somebody who knows I
[02:17:32.280 --> 02:17:39.720]   Think that I think there were a number of I think that was people just like having like oh what about the children outrage like
[02:17:39.720 --> 02:17:42.240]   they saw some people doing some good stuff on YouTube and
[02:17:43.000 --> 02:17:49.240]   And immediately like took it like ten levels beyond where it should have been which was like okay
[02:17:49.240 --> 02:17:52.040]   Obviously don't eat liquid soap
[02:17:52.040 --> 02:17:57.680]   But but but but but instead of just kind of doing that like it became like this whole like moral panic like oh no
[02:17:57.680 --> 02:18:02.000]   The kids are doing weird things on the internet. It's like yeah, of course they are yeah
[02:18:02.000 --> 02:18:08.520]   Like what like are you new like that's kind of what kids do always they always do weird things in October
[02:18:08.520 --> 02:18:11.520]   A lot of times they want to troll the adults they want to trick yeah
[02:18:11.520 --> 02:18:14.880]   They're doing it to make them our stuff is because they're doing it because adults are going oh my god
[02:18:14.880 --> 02:18:22.000]   Oh my god exactly right on that's called for the lows in October to circle back to a dungeon dragons again. That's all
[02:18:22.000 --> 02:18:23.600]   Yes
[02:18:23.600 --> 02:18:25.600]   You're you Satanists
[02:18:25.600 --> 02:18:29.640]   Doing the Dungeons and Dragons thing. Oh my god
[02:18:29.640 --> 02:18:36.400]   In October targeted victory work to spread rumors of the slap a teacher tiktok challenge
[02:18:37.080 --> 02:18:39.720]   By the way the rumors started on Facebook
[02:18:39.720 --> 02:18:42.720]   Right, which is the best part right?
[02:18:42.720 --> 02:18:48.200]   In local news touting a local news report on the alleged challenge in Hawaii. So this is what they did
[02:18:48.200 --> 02:18:53.120]   This is they're very smart. They go to these small local TV stations were desperate for anything
[02:18:53.120 --> 02:18:56.080]   They said they send him an electronic press kit with video
[02:18:56.080 --> 02:19:00.680]   They run the story uncritically and suddenly it's news
[02:19:00.680 --> 02:19:04.040]   and if you're lucky it can spread and
[02:19:05.920 --> 02:19:10.400]   That hits their target demographic with your older people
[02:19:10.400 --> 02:19:16.600]   Hearing about things are like this is the only thing I know about tiktok is this one story
[02:19:16.600 --> 02:19:24.240]   Exactly well, but not just them also like local, you know, um senators, you know like like the guy from
[02:19:24.240 --> 02:19:29.160]   Because they're fielding the calls from these constituents that say
[02:19:32.000 --> 02:19:37.080]   They're litter boxes now in the classrooms because kids are dressing up as cats. Yeah, right?
[02:19:37.080 --> 02:19:42.640]   That was a funny one. Wasn't that hysterical? People believe anything
[02:19:42.640 --> 02:19:46.480]   Stunning
[02:19:46.480 --> 02:19:49.240]   It's like okay. Just just ask some questions
[02:19:49.240 --> 02:19:54.280]   I'm sure there's probably one person on tiktok who is doing really weird and dumb stuff
[02:19:54.280 --> 02:19:59.840]   Yeah, but is it a trend like are we at like wesselm Caleb levels of horror and
[02:20:00.160 --> 02:20:07.040]   And everyone just not being able to act like adults or is it and also keep in mind that was grown women not teenagers
[02:20:07.040 --> 02:20:11.320]   So, you know some of the worst stuff we've seen on tiktok is actually not been the kids at all
[02:20:11.320 --> 02:20:18.480]   Or is this just like, you know ridiculous things that that someone who claims to be a cop is spreading on in a Facebook
[02:20:18.480 --> 02:20:21.720]   Group that then gets people up in a tizzy and now Facebook
[02:20:21.720 --> 02:20:24.880]   I have to say they're the team that they're hiring to do this
[02:20:24.880 --> 02:20:30.440]   It's pretty smart actually to then you know gin up the local media and other, you know
[02:20:30.440 --> 02:20:35.320]   People on a hair tigger and be like have you seen this? This is this is gonna blow your mind
[02:20:35.320 --> 02:20:42.400]   Definitely, you know put this on the news. Please folks coming coming back around to Jack Dorsey's idea that this was all a mistake
[02:20:42.400 --> 02:20:51.640]   Buying that now I keep track of all the current trends of what the kids are doing by listening rocket, so thank you Chris
[02:20:52.480 --> 02:20:57.440]   Really is that where you go is that yeah, so so Christina Warren Brianna woo
[02:20:57.440 --> 02:21:04.960]   Simone de Roche for I love singer name Simone de Roche for there the experts on what the kids are up to I
[02:21:04.960 --> 02:21:08.360]   Had no idea about this West Elm thing until like
[02:21:08.360 --> 02:21:15.080]   What I learned about the sweater from them. What's the West Elm thing? Oh?
[02:21:15.080 --> 02:21:17.600]   There's this there's this guy who?
[02:21:17.600 --> 02:21:20.000]   dated a number of women on
[02:21:20.640 --> 02:21:27.360]   You know it was on tender and and honestly it was a dumb thing not the tinder not the tinder swindler no another one
[02:21:27.360 --> 02:21:29.280]   No, no, no, no, no, this wasn't even a swindler
[02:21:29.280 --> 02:21:35.240]   This was just a guy who maybe made the mistake of talking to number of girls at the same time when he was not in an exclusive
[02:21:35.240 --> 02:21:38.520]   Relations and his name was Caleb he worked at West Elm and
[02:21:38.520 --> 02:21:44.400]   Basically somebody made a TikTok it went viral then people wound up doxing this poor guy harassing him
[02:21:44.400 --> 02:21:48.880]   They were like hundreds and thousands of like TikToks being done everybody's talking about it
[02:21:48.880 --> 02:21:52.960]   It was actually pretty terrible and again. This was all like women in their 20s who
[02:21:52.960 --> 02:21:57.920]   Definitely should know better and like oh no a guy is dating two women at once
[02:21:57.920 --> 02:22:04.560]   Like am I supposed to be upset about this like I love the tinder subreddit. I read the tinder subreddit religiously
[02:22:04.560 --> 02:22:09.280]   Just so I can think I'm glad I'm not on the dating scene anymore right
[02:22:09.280 --> 02:22:13.120]   Exactly you go through this and you're like god. This just would be so exhausting
[02:22:14.080 --> 02:22:22.160]   Oh, I just hear you people and the person on tiktok didn't want to out this person so she had code names for her dates and so
[02:22:22.160 --> 02:22:28.480]   She named that that she met this guy that's how old and what so that's how yes
[02:22:28.480 --> 02:22:34.960]   And that's how she got he got the code name and then people understood and kind of figured out yeah
[02:22:34.960 --> 02:22:37.920]   Yeah, so what's the moral is pick better code names?
[02:22:38.800 --> 02:22:42.720]   Well the moral of this is to not like I don't know like not doc
[02:22:42.720 --> 02:22:49.120]   After people yeah, exactly not not doc somebody because you know he went on a date with you and a date with someone else
[02:22:49.120 --> 02:22:53.440]   Like I don't know grow up, but but also I think the moral is like don't believe every
[02:22:53.440 --> 02:23:00.640]   Horrible place you hear like ask a question first because sometimes it might be true and in that case then we can all like have
[02:23:00.640 --> 02:23:03.440]   A long gate a discussion about it
[02:23:03.440 --> 02:23:08.320]   But if it's one of those things it just seems absurd like kids are knocking on it's like okay
[02:23:08.480 --> 02:23:12.160]   You know like people putting razor blades and apples has anyone ever actually
[02:23:12.160 --> 02:23:19.360]   Ways into halloween. Yes. Yeah, all that stranger danger stuff. It turned out that the real danger was your uncle
[02:23:19.360 --> 02:23:24.800]   Yes, yeah, the guy you know anyway, yeah, uh, you know what the real moria
[02:23:24.800 --> 02:23:29.440]   This is listen to rocket on relay dot fm slash rocket
[02:23:29.440 --> 02:23:33.120]   That's the real moral of this you guys should do a call in
[02:23:33.840 --> 02:23:40.480]   Christina Brianna Simone. I was told that my teacher wants kitty litter in the classroom
[02:23:40.480 --> 02:23:42.480]   So she can dress as a cat is that true
[02:23:42.480 --> 02:23:45.520]   And then you could debunk it it would be good
[02:23:45.520 --> 02:23:52.720]   That'd be good. I think a call inversion or something needs to if you want to do it Christina
[02:23:52.720 --> 02:23:58.480]   Let me know I have the technology. Okay. We can do it here. We got okay. We got we got the phones
[02:23:58.480 --> 02:24:01.200]   They're leftover from the radio show
[02:24:02.080 --> 02:24:07.280]   I am not sure I will do this waymo says fully driverless rides are coming to san francisco
[02:24:07.280 --> 02:24:13.840]   Would you get in a car where there's nobody else in the car and just coast riding the whip
[02:24:13.840 --> 02:24:17.440]   Exactly coast rider
[02:24:17.440 --> 02:24:20.480]   Um
[02:24:20.480 --> 02:24:22.400]   I think do you think we're ready for this?
[02:24:22.400 --> 02:24:24.480]   No
[02:24:24.480 --> 02:24:30.000]   No, I'm I love it. But I don't know what to put pessimistic about self-driving cars. I just I
[02:24:31.120 --> 02:24:36.800]   I find it as you know, it's been many many years since I've been employed as a programmer
[02:24:36.800 --> 02:24:39.360]   I did do that very early in my career
[02:24:39.360 --> 02:24:45.600]   But I feel like as as all of us are people who work in technology and knows what go in you know, we know what goes into
[02:24:45.600 --> 02:24:48.720]   People designing software
[02:24:48.720 --> 02:24:53.360]   It just immediately makes me more I have this wrong running argument with my best friend from college
[02:24:53.360 --> 02:24:59.520]   He's an er doctor and he is like super bullish on the future of self-driving cars because he sees a lot of idiots come in
[02:24:59.840 --> 02:25:05.120]   In car accidents that have gotten themselves, you know, either because they're drunk or they're looking at their phone or whatever
[02:25:05.120 --> 02:25:09.680]   Needs like look computers have to be better than this and I understand where he's coming from
[02:25:09.680 --> 02:25:15.680]   But as somebody who works with computers all day, I think to myself computers are stupid. They're really dumb
[02:25:15.680 --> 02:25:18.960]   And I just don't
[02:25:18.960 --> 02:25:23.840]   Have the confidence levels in it. So that's just I I'm not convinced
[02:25:23.840 --> 02:25:25.840]   I mean, I think the the
[02:25:26.000 --> 02:25:30.240]   Adding the the safety features that they have done over the past several years to
[02:25:30.240 --> 02:25:34.080]   Driver, you know cars with drivers. I think it's been a really positive thing
[02:25:34.080 --> 02:25:36.960]   And I think there are definitely some cases where self-driving cars
[02:25:36.960 --> 02:25:44.240]   Work, you know could be really beneficial especially on highways long drive, etc, but I live in Boston
[02:25:44.240 --> 02:25:49.600]   There's no way a self-driving car is going to be able to navigate Boston streets. I'm sorry
[02:25:49.600 --> 02:25:55.360]   I will put money down on that. It is a mess right? Oh, Boston. How can drive Boston?
[02:25:55.920 --> 02:26:01.360]   No right now Tesla has the name brand of self-driving and it has a horrible reputation
[02:26:01.360 --> 02:26:04.080]   I remember the first time I got into a friend's
[02:26:04.080 --> 02:26:07.200]   self-driving car
[02:26:07.200 --> 02:26:08.960]   It was
[02:26:08.960 --> 02:26:10.000]   Tinkrel
[02:26:10.000 --> 02:26:11.040]   Miramajouar
[02:26:11.040 --> 02:26:13.920]   And we were she showed me her to screen
[02:26:13.920 --> 02:26:16.720]   And it showed the lines and the lines were doing this
[02:26:16.720 --> 02:26:19.440]   And this is one of the cars. I was like
[02:26:19.440 --> 02:26:22.720]   You don't know what the line is like
[02:26:22.720 --> 02:26:25.200]   I am not though that let's not do self-driving
[02:26:25.200 --> 02:26:28.240]   It's just one of those things where it's just like I do not trust it
[02:26:28.240 --> 02:26:31.920]   And so in order for people to then gain that trust that you're going to need to
[02:26:31.920 --> 02:26:37.040]   Tell more than saying it's self-driving. They're going to have to say this is a technology we use
[02:26:37.040 --> 02:26:38.640]   This is how far we've come
[02:26:38.640 --> 02:26:42.800]   This is all the mitigation that we have done and here are the use cases where it's optimal
[02:26:42.800 --> 02:26:46.960]   Here's some that is not optimal so people can really understand how it works
[02:26:46.960 --> 02:26:51.360]   What it's good for when it's not good for which is the part that really needs to be defined
[02:26:51.600 --> 02:26:55.760]   So people can understand does this just like the bad reviews on Amazon
[02:26:55.760 --> 02:27:00.320]   If you are using a hair dryer and a bathtub and it doesn't doesn't work when you got shocked
[02:27:00.320 --> 02:27:02.560]   You know like I don't use a hair dryer
[02:27:02.560 --> 02:27:05.120]   I know that it'll be fun
[02:27:05.120 --> 02:27:07.920]   So there needs to be a clear clear understanding of
[02:27:07.920 --> 02:27:12.960]   When this does work and where it fails and they need to be upfront about it before people can start trusting it
[02:27:12.960 --> 02:27:14.400]   Yeah
[02:27:14.400 --> 02:27:16.720]   Yeah, I think that's a great point now. I I don't drive
[02:27:16.720 --> 02:27:18.480]   So I would love in theory
[02:27:18.480 --> 02:27:22.720]   I would love this because I would love to be able to have a car that just dives me around that I don't have to bother with but
[02:27:22.720 --> 02:27:27.440]   Light like Dan and bus yeah, but you're also the only person I know has been run over by a bus
[02:27:27.440 --> 02:27:31.520]   So well it was hit by a car and thrown under a bus. Okay, but there you go
[02:27:31.520 --> 02:27:34.240]   But the self-driving car probably would have
[02:27:34.240 --> 02:27:40.800]   But that probably would have would have stopped right like I think the the the light are there would have been paying attention to the road and not
[02:27:40.800 --> 02:27:44.880]   His phone like the person who hit me regardless like I
[02:27:45.280 --> 02:27:49.120]   So that's a perfect example. They're right it is actually like and I feel like
[02:27:49.120 --> 02:27:52.960]   I have hopes. I think the technology is going to come around. Are we there yet?
[02:27:52.960 --> 02:27:56.880]   I don't think we are but I actually think that the West way I think what you said was perfect
[02:27:56.880 --> 02:28:02.000]   Which is there are going to be some use cases where I think this would really work like I think that on large stretches of highway
[02:28:02.000 --> 02:28:06.320]   Where we know exactly what's going on and we have a really clear vision on this
[02:28:06.320 --> 02:28:10.240]   I think that it could be really good and in that case like this is one of the reasons why
[02:28:10.560 --> 02:28:17.120]   Big trucking has been one of the areas where they've experimented the most with with self-driving cars because you could drastically change
[02:28:17.120 --> 02:28:24.480]   How much you can deliver things by you know not having to always have like a human and car that that you know
[02:28:24.480 --> 02:28:29.680]   The the hours that the truckers do already are you know pretty brutal
[02:28:29.680 --> 02:28:32.640]   But this would allow even more things to happen that way
[02:28:32.640 --> 02:28:38.880]   But in in places like Boston or in other places where like you know, you might have
[02:28:40.080 --> 02:28:42.080]   really difficult to kind of
[02:28:42.080 --> 02:28:49.760]   I guess predict traffic patterns or you have a lot of like pedestrian mix in where people don't always follow the the correct rules
[02:28:49.760 --> 02:28:55.360]   I don't know if it's the right avenue for that and then there's the tweet from elon yesterday
[02:28:55.360 --> 02:28:57.360]   There will come a time in the future
[02:28:57.360 --> 02:29:03.840]   Where people will be surprised we let practically anyone drive a two ton death machine anywhere they want
[02:29:03.840 --> 02:29:09.280]   I mean, he's not wrong. He's not wrong. No, he's he doesn't have the answer
[02:29:10.080 --> 02:29:11.280]   Yes
[02:29:11.280 --> 02:29:18.080]   He's hoping we'll have the answer there. There's a lot of you know, there'll be a lot of people who from the the bike advocacy or public transportation
[02:29:18.080 --> 02:29:22.960]   Advocacy who would say the exact same thing. Yeah, they're just coming out from a very different side. Thanks. Yeah
[02:29:22.960 --> 02:29:29.440]   Uh, let's see what else is going on. I think maybe we'll take a little quick break because it is getting late
[02:29:29.440 --> 02:29:31.440]   And I don't want to keep you guys too late
[02:29:31.440 --> 02:29:38.320]   But uh one more break and then we'll wrap it up with our esteemed panel Christina Warren and Wesley Faulkner
[02:29:38.800 --> 02:29:42.960]   And uh, Dan moron really fun to hang out with you guys on a sunday evening
[02:29:42.960 --> 02:29:45.600]   Our show today brought you by podium
[02:29:45.600 --> 02:29:51.120]   I think one thing we learned during the pandemic is that people don't want to talk on the phone. They want a text
[02:29:51.120 --> 02:29:56.640]   Texting is great. There aren't enough hours in the day to waste time playing phone tag
[02:29:56.640 --> 02:30:02.640]   And if you're a business owner, you know the list of customers you need to reach out to isn't getting any shorter
[02:30:02.640 --> 02:30:06.960]   Especially as business starts to get better. That's why local businesses everywhere
[02:30:07.600 --> 02:30:09.440]   Turn to podium
[02:30:09.440 --> 02:30:12.160]   podium makes every interaction as easy as sending a text
[02:30:12.160 --> 02:30:16.960]   So everything that makes your business great can be get done faster. I remember leaving the dentist
[02:30:16.960 --> 02:30:21.040]   I was so surprised as I was going out the door. I got the text which I always love
[02:30:21.040 --> 02:30:24.640]   Your appointment is scheduled for there to do with you know, and if you're doing the iphone
[02:30:24.640 --> 02:30:29.600]   I just clicked the link and it adds it to my calendar and then a text saying leave us a review if you hadn't liked our service
[02:30:29.600 --> 02:30:35.120]   Awesome. By the way a great way to get reviews on Yelp or google or whatever
[02:30:35.600 --> 02:30:38.080]   By just texting your customer as they leave
[02:30:38.080 --> 02:30:41.280]   Much more likely to respond if they've had a good experience
[02:30:41.280 --> 02:30:47.200]   podium can collect money you can pay your bills with podium you can make bids
[02:30:47.200 --> 02:30:52.000]   More and more. I don't call contractors or repair people or plumbers
[02:30:52.000 --> 02:30:53.920]   I just text them
[02:30:53.920 --> 02:30:56.960]   And the one that answers the fastest is the one's going to get the job
[02:30:56.960 --> 02:31:03.200]   And generally the one that answers fastest is one using podium a single inbox means it's easy
[02:31:03.840 --> 02:31:05.920]   To respond all your employees will like it
[02:31:05.920 --> 02:31:10.160]   It's not just a better way to communicate. It's a better way to do everything not just
[02:31:10.160 --> 02:31:18.480]   Gathering reviews and collecting payments but marketing your customers. It's all as easy as pressing send. There's nothing comes even close
[02:31:18.480 --> 02:31:21.840]   So you'll you'll be in touch with your customer better
[02:31:21.840 --> 02:31:26.080]   You can also put it on your website, which is great and again a single inbox means
[02:31:26.080 --> 02:31:30.960]   You don't have to deal with a lot of different inputs. You can handle it all in one podium inbox
[02:31:31.360 --> 02:31:34.320]   You not only free up time you'll grow your business. You'll get more done
[02:31:34.320 --> 02:31:39.760]   With podium who closed deals with customers before the competition even has a chance to call them back
[02:31:39.760 --> 02:31:43.520]   Join them more than a hundred thousand businesses that already use podium
[02:31:43.520 --> 02:31:45.840]   I bet you you know a few businesses that do
[02:31:45.840 --> 02:31:52.320]   In your neck of the woods they streamline their customer interactions and you know what many of them are doing it free
[02:31:52.320 --> 02:31:55.680]   That's right and get started free
[02:31:55.680 --> 02:31:58.080]   P o d i
[02:31:58.080 --> 02:32:00.080]   U m dot com
[02:32:00.400 --> 02:32:01.600]   slash
[02:32:01.600 --> 02:32:03.040]   twit
[02:32:03.040 --> 02:32:06.080]   If you sign up for a paid podium account, you get a free credit card reader
[02:32:06.080 --> 02:32:12.720]   So either way whatever works for you. There are some restrictions. Of course podium p o d i u m dot com slash
[02:32:12.720 --> 02:32:17.520]   Twit it really is the easiest way to stay in touch and you know what as it's speaking as customer
[02:32:17.520 --> 02:32:21.360]   It's the best way I far prefer a text message from a business. I don't want to call
[02:32:21.360 --> 02:32:24.560]   An email forget it never come never you're gonna see it
[02:32:24.560 --> 02:32:27.120]   So don't even don't even bother
[02:32:28.560 --> 02:32:32.560]   Hey, we had a great week this week on twit. You want to watch a promo too bad you're gonna hear
[02:32:32.560 --> 02:32:38.720]   It's funny. I don't know if other people are noticing it, but I have just really noticed that everything in the stress levels are much higher
[02:32:38.720 --> 02:32:41.200]   There's a lot of tension
[02:32:41.200 --> 02:32:47.760]   Interactions. Oh giant animals are appearing giant cats taking over and I think honestly
[02:32:47.760 --> 02:32:54.080]   Your your framerate went down quite a bit about five minutes ago was syrochi sleeping on the vents again
[02:32:54.080 --> 02:32:58.160]   Yes, he was yeah, so syrochi is a great way to test throttling and laptops
[02:32:58.480 --> 02:33:00.480]   previously on twit
[02:33:00.480 --> 02:33:03.840]   Security now. I completely agree
[02:33:03.840 --> 02:33:11.760]   That casp or ski has never given us any cause to mistrust them. That's a misdirection
[02:33:11.760 --> 02:33:16.080]   I think that misses the point where they are
[02:33:16.080 --> 02:33:18.320]   Is the point?
[02:33:18.320 --> 02:33:26.320]   iOS today rosemary orchard and I thought it was time to pull out some accessories some gadgets some gizmos that we've been using
[02:33:26.720 --> 02:33:33.280]   For our iPhones our iPads all of our devices. It's accessory time on iOS today
[02:33:33.280 --> 02:33:38.800]   This week in google the moment that you're searching for something online and you're you know
[02:33:38.800 --> 02:33:41.920]   Is the moment where you're most susceptible to misinformation?
[02:33:41.920 --> 02:33:46.480]   Because you're in you're in an information seeking mode and you know that you don't know
