
[00:00:00.000 --> 00:00:03.080]   It's time for pizza also twitch
[01:11:49.180 --> 01:11:55.300]   Webcat is very critical at the moment, but operas, you know, you wouldn't be able to hack it
[01:11:55.300 --> 01:12:00.300]   Yeah, maybe if you provide an a more secure browser people spent more time in there
[01:12:00.300 --> 01:12:05.020]   There's Facebook buttons and Facebook controls everywhere. They get to watch everything you do
[01:12:05.020 --> 01:12:10.580]   That's the real issue with Facebook is they got to be careful because people are getting more and more paranoid about Facebook
[01:12:10.580 --> 01:12:15.500]   And the risk is that you're pushing people away by being too aggressive in in in trying to own
[01:12:15.500 --> 01:12:18.260]   Everything you do online, right?
[01:12:19.140 --> 01:12:21.180]   Yeah, oh
[01:12:21.180 --> 01:12:25.480]   You're right. It is the cookie law web 994 has a point do not track
[01:12:25.480 --> 01:12:33.260]   Which is now available in every browser except Chrome and is is supported by the force of law
[01:12:33.260 --> 01:12:40.780]   It means that you could set a setting in Safari or in Internet Explorer that says don't track me
[01:12:40.780 --> 01:12:46.380]   There's a Chrome extension to there's a Chrome extension, but Google has interestingly not put it into Chrome, right?
[01:12:46.380 --> 01:12:49.860]   And what that means is that the the chief
[01:12:49.860 --> 01:12:54.460]   Targeted this I think is the Facebook like button every time you go to a page of the Facebook like button
[01:12:54.460 --> 01:12:59.140]   Facebook can see what you're doing and what sites you're visiting this do not track would prohibit that
[01:12:59.140 --> 01:13:03.300]   That would be a good reason to buy opera now. Do you think they'll buy opera?
[01:13:03.300 --> 01:13:11.620]   Well, that would assume they can get people who do adopt a browser that has like 1.35 percent market share right now, right?
[01:13:11.620 --> 01:13:13.980]   Yes, tiny, but maybe you don't
[01:13:15.180 --> 01:13:21.500]   It's already a really tough browser market out there and and I don't I don't see Facebook doing that Facebook can
[01:13:21.500 --> 01:13:27.940]   Take over any browser that it that it sets itself up in and in terms of do not track you have to turn that on
[01:13:27.940 --> 01:13:28.820]   You have to say okay
[01:13:28.820 --> 01:13:35.140]   I want to do that and there's very small minority of people who actually care about most people won't do it because they would even know about it
[01:13:35.140 --> 01:13:42.860]   Right now there's a there's a question of Facebook needing something better for mobile and what they may want is the technology in
[01:13:43.580 --> 01:13:48.460]   Opera for its mobile browser, which is very fast and very speedy. Yeah, you know why it's fast
[01:13:48.460 --> 01:13:51.980]   Yes, it caches all your stuff
[01:13:51.980 --> 01:13:57.980]   It spies on you basically right so mobile might be an interesting play for a browser for Facebook
[01:13:57.980 --> 01:14:03.980]   But I don't see them wanting really a desktop browser their big problem is mobile because they're they're not doing great in it
[01:14:03.980 --> 01:14:06.940]   Well, it's a
[01:14:06.940 --> 01:14:12.220]   Facebook mean they are doing great out the problem is half of their more than half of their users are using mobile now
[01:14:12.220 --> 01:14:14.860]   Right, and you can't make any money. Yes, right?
[01:14:14.860 --> 01:14:16.860]   They're doing they don't want to do great
[01:14:16.860 --> 01:14:19.300]   Mobile until they can figure out a way to monetize
[01:14:19.300 --> 01:14:26.820]   So that's the probably one of the reasons for this smartphone rumor again Nick built into writing into the Sunday times today's New York
[01:14:26.820 --> 01:14:27.980]   Times
[01:14:27.980 --> 01:14:30.100]   brings up the rumor again
[01:14:30.100 --> 01:14:32.820]   He's not the first it's not the second it's the third phone that
[01:14:32.820 --> 01:14:38.660]   Facebook has reportedly been working on in fact they've hired more than according to Nick half a dozen
[01:14:38.940 --> 01:14:43.580]   Former Apple software and hardware engineers who worked on the iPhone and one who worked on the iPad
[01:14:43.580 --> 01:14:48.300]   This is where that stock is so important. So you can acquire some of these people
[01:14:48.300 --> 01:14:54.220]   Although I would say I'd rather have Apple stock at this point than Facebook. Maybe Apple stock has already hit the peak
[01:14:54.220 --> 01:14:57.340]   Facebook has nowhere to go but up
[01:14:57.340 --> 01:15:00.140]   The strike price is nice and low
[01:15:00.140 --> 01:15:08.020]   This would be Facebook's third effort building a smartphone according to one person was briefed on the plans and one who is recruited
[01:15:08.140 --> 01:15:10.260]   Nick doing some good reporting here
[01:15:10.260 --> 01:15:17.380]   Apparently the tech remember tech crunch in 2010 said Facebook's gonna build a phone that project
[01:15:17.380 --> 01:15:20.820]   According to Nick crumbled after the company realized the difficulties involved
[01:15:20.820 --> 01:15:27.860]   All things D reported last year that Facebook and HTC had ended a partnership code named Buffy
[01:15:27.860 --> 01:15:33.660]   Still in the works, but now this is goes beyond those attempts
[01:15:33.660 --> 01:15:37.180]   They've got a team of seasoned hardware engineers
[01:15:38.180 --> 01:15:40.900]   It sounds like the expendables or the aid team
[01:15:40.900 --> 01:15:44.980]   I don't know if mr. T is on this team who have built these devices before
[01:15:44.980 --> 01:15:47.860]   Maybe it's the Avengers
[01:15:47.860 --> 01:15:50.620]   The movie you hate
[01:15:50.620 --> 01:15:54.980]   You know, let's not bring that up again. I've already taken enough heat from my
[01:15:54.980 --> 01:15:58.900]   friends here beauty smartphone
[01:15:58.900 --> 01:16:02.740]   We would call it Thor
[01:16:02.980 --> 01:16:08.980]   One engineer formally worked at Apple and worked on the iPhone said he met with Zuck Facebook CEO who then peppered him with
[01:16:08.980 --> 01:16:11.600]   Questions about the inner workings of smartphones
[01:16:11.600 --> 01:16:18.940]   Zuck has become is the new Steve Jobs. I like the zuck thing. Yeah, it's like like we never had a great nickname like that
[01:16:18.940 --> 01:16:20.620]   Steve Arino
[01:16:20.620 --> 01:16:25.260]   Wasn't that it's a great Nick, you know, and but Zuck is doing the same thing Steve does
[01:16:25.260 --> 01:16:30.820]   He does one-on-one walks around Silicon Valley, you know through the woods. Yeah when he's recruiting you fantastic
[01:16:32.140 --> 01:16:35.700]   So I guess a conference room which is right out in the open at Facebook's campus
[01:16:35.700 --> 01:16:41.140]   Yeah, and theory does that for transparency to get away, but then he doesn't use it well one presumes
[01:16:41.140 --> 01:16:44.220]   He has certain meetings that aren't there because then we would all know about them, right?
[01:16:44.220 --> 01:16:51.980]   It did not sound like intellectual curiosity the engineer said Zuck asked about intricate details including the types of chips
[01:16:51.980 --> 01:16:59.220]   He used another former hardware engineer from Apple was recruited by a Facebook executive and was told about the company's hardware explorations
[01:17:00.620 --> 01:17:03.780]   Facebook when asked Friday did not neither confirmed nor denied
[01:17:03.780 --> 01:17:06.540]   Well, that's useful
[01:17:06.540 --> 01:17:10.300]   But said just like last year when we told all things D
[01:17:10.300 --> 01:17:17.140]   We're working across the entire mobile industry with operators hardware manufacturers. Oh, why do reporters?
[01:17:17.140 --> 01:17:20.780]   Use these quotes. I don't know it's a junk quote
[01:17:20.780 --> 01:17:25.100]   It's a junk quote because they won't answer the question you got a question for me one that you want a yes and no
[01:17:25.100 --> 01:17:29.220]   I think he said what's going on and then I think he said enough when they said they wouldn't confirm it or not
[01:17:29.220 --> 01:17:33.940]   He does not need to give us the junk quote. I would just they have no comment, but they didn't have a comment
[01:17:33.940 --> 01:17:38.100]   Oh, okay, we can not say they don't have a comment, but they can he can't say they neither
[01:17:38.100 --> 01:17:41.540]   Well, then how then how would they say I've got no comment is that a comment?
[01:17:41.540 --> 01:17:45.620]   That's a comment. So how can you have no comment?
[01:17:45.620 --> 01:17:51.340]   You want that in there because your editor makes you put it in there. Yeah, no, I know that the editors
[01:17:51.340 --> 01:17:54.620]   All right, did you call the company because maybe they'll spill their guts
[01:17:54.620 --> 01:17:58.180]   Which they've never done in history and no company ever has but the editor
[01:17:58.180 --> 01:18:01.100]   It's always think they're always shaking the dice hoping for the best
[01:18:01.100 --> 01:18:03.140]   But this confirms what you were saying
[01:18:03.140 --> 01:18:08.420]   I think Harry mark is worried if he doesn't create a mobile phone according to a Facebook employee in the near future
[01:18:08.420 --> 01:18:13.180]   That Facebook will simply become an app on other mobile platforms. They don't want to just be an app
[01:18:13.180 --> 01:18:15.180]   They want to own it all
[01:18:15.180 --> 01:18:20.300]   I think Dwight said that maybe I mean it was Dwight maybe it was me this confirms what I said
[01:18:20.300 --> 01:18:26.380]   I'm right again once again one way or another Facebook does sort of have to figure out what it is on mobile
[01:18:26.380 --> 01:18:28.380]   I don't I don't think they quite cracked the code there
[01:18:28.380 --> 01:18:34.100]   You know I hear that the web OS team might be available
[01:18:34.100 --> 01:18:36.940]   We could bring it back
[01:18:36.940 --> 01:18:40.700]   Okay
[01:18:40.700 --> 01:18:46.480]   Conversation just I'm just reading the article. I'm sorry was didn't you can read it out loud if you're gonna be
[01:18:46.480 --> 01:18:51.220]   I'm looking for I'm looking for something interesting. You know if you read it in your German voice, okay
[01:18:51.220 --> 01:18:53.660]   So yeah is something
[01:18:54.660 --> 01:18:58.700]   It's always interesting if you have a German accent you go finds
[01:18:58.700 --> 01:19:05.180]   former upper hardware manufacturer for the manager for the first four iPhones
[01:19:05.180 --> 01:19:08.100]   He has a new company called electric imp
[01:19:08.100 --> 01:19:17.220]   Really yeah electric electric imp let's see what let's click the link he says going into the phone there
[01:19:17.220 --> 01:19:19.220]   It is real world meaty internet
[01:19:20.620 --> 01:19:26.220]   Okay, now just wait a minute don't don't just look at this John. You're so good at grokking what something is
[01:19:26.220 --> 01:19:28.500]   What the hell is this product?
[01:19:28.500 --> 01:19:32.940]   Apparently it's a devil and a fork which means it's some sort of food company and
[01:19:32.940 --> 01:19:39.540]   Dog company so hot. Yeah, it's a hot red hot. It's actually a little hardware device
[01:19:39.540 --> 01:19:45.620]   Yeah, that you put on things and it knows what's going on. It's like oh these things have come and gone
[01:19:45.620 --> 01:19:52.100]   Sensors ever sensors. Mmm. Anyway, he's working for electric electric imp and his says
[01:19:52.100 --> 01:19:58.340]   He says I got out of the phone business because going into the phone business is incredibly complex
[01:19:58.340 --> 01:20:02.780]   Did it make that better yes a lot
[01:20:02.780 --> 01:20:08.780]   Because it's a non quote. Yes. It's incredibly complex. Does that mean they're not gonna do it?
[01:20:08.780 --> 01:20:11.300]   No, I mean anything. Why is he in the story?
[01:20:11.300 --> 01:20:14.540]   Because he says it looks like imp because Nick had his number
[01:20:14.540 --> 01:20:18.100]   He called him up. He said heights
[01:20:18.100 --> 01:20:24.380]   Hints I need to 100 more words. What's it what's going on here? I don't know
[01:20:24.380 --> 01:20:32.700]   This is a non-story basically the story is maybe they're working on another phone or maybe it's the same phone
[01:20:32.700 --> 01:20:35.740]   Or maybe it's not a phone at all
[01:20:35.740 --> 01:20:40.340]   You know the only reason I focus on this is because the next story is even more boring
[01:20:40.980 --> 01:20:44.620]   It's your ad it's no it's Google
[01:20:44.620 --> 01:20:48.620]   I'm gonna take an ad because I can't I can't bring myself to talk about the Google and Oracle
[01:20:48.620 --> 01:20:58.700]   Well, it's over now. Yeah, thank God. It's just the worst. Yeah, it's court cases are boring. You know, it's interesting audible.com
[01:20:58.700 --> 01:21:03.220]   I know I agree with you. We don't most rather do an audible ad than do this next story
[01:21:03.220 --> 01:21:07.900]   Audible.com/twit2 that's gonna get you two not one
[01:21:07.900 --> 01:21:11.340]   But two books from audible.com our bookstore of audio books. I
[01:21:11.340 --> 01:21:18.820]   I figured out I so good I figured out how to have my audio book on my iPhone play through my stereo system
[01:21:18.820 --> 01:21:24.900]   Using the Apple TV and Airplay actually it was using a yeah Apple TV and Airplay
[01:21:24.900 --> 01:21:28.820]   So now I've got my room filled with my audio books. I love it
[01:21:28.820 --> 01:21:34.860]   How about this Macbeth the novel? It's a full-length novel written for audio
[01:21:35.540 --> 01:21:38.900]   How interesting not not by Shakespeare, but some other guys
[01:21:38.900 --> 01:21:46.180]   And in fact it's been such a hit that they're turning it into a play this you could we have some audio here
[01:21:46.180 --> 01:21:51.460]   You can listen to it. Do you have a figure that of a sullen thief out for booty?
[01:21:51.460 --> 01:22:00.860]   Was a mistake
[01:22:04.780 --> 01:22:07.580]   How about this book about Canada that sounds good
[01:22:07.580 --> 01:22:21.020]   Macbeth book I don't know I don't know maybe that was a different book finding ultra rejecting middle-aged becoming one of the world's fittest men and
[01:22:21.020 --> 01:22:22.940]   Discovering myself
[01:22:22.940 --> 01:22:28.940]   So you've got fiction. You've got nonfiction. You've got history. You've got self-help you get it's really fantastic
[01:22:28.940 --> 01:22:31.980]   The choices here New York Times bestsellers
[01:22:32.500 --> 01:22:36.900]   award winners business books classics here's the problem
[01:22:36.900 --> 01:22:39.540]   There are so many choices
[01:22:39.540 --> 01:22:45.140]   The first book of the final book of the Hunger Games. There are so many choices that
[01:22:45.140 --> 01:22:50.660]   You know at this point it's overwhelming. So here's the deal. I'm gonna get you two books free
[01:22:50.660 --> 01:22:57.500]   So that the pressure is off go to audible.com/twit to you're signing up for the platinum account
[01:22:57.500 --> 01:22:59.020]   That's a subscription to two books a month
[01:22:59.020 --> 01:23:03.220]   But your first month's free your first two books are free you could get if you want a game of thrones
[01:23:03.220 --> 01:23:10.020]   That's two credits. Oh snow crash. Oh, this has the best first chapter in the history of science fiction
[01:23:10.020 --> 01:23:16.460]   Great book. Oh isn't it great 17 hours. I think this is I don't know. Oh, they say they had this this is no
[01:23:16.460 --> 01:23:19.060]   noun
[01:23:19.060 --> 01:23:22.400]   Definition to a anything resembling snow
[01:23:22.400 --> 01:23:28.260]   B, okay, maybe not the most dramatic part, but Neil Stevenson's classic
[01:23:28.260 --> 01:23:31.260]   I think I don't know if this is his first but certainly the first novel that made him
[01:23:31.260 --> 01:23:34.860]   Famous anyway visit audible.com
[01:23:34.860 --> 01:23:42.020]   Browse around so many good books. I'm just I'm starting listening to a history of World War two that Paul Therat recommended. It's fantastic
[01:23:42.020 --> 01:23:48.180]   Just some great stuff on here. So Leo, do they have 50 shades of gray? They do they have all three
[01:23:48.180 --> 01:23:53.940]   That's that would be weird. That's what all the ladies are listening to now. This is basically it's a romance
[01:23:53.940 --> 01:23:59.260]   It's kind of a soft core you want to hear a little 50 shades of gray the narrator in this now
[01:23:59.260 --> 01:24:03.940]   Remember that the protagonist of 50 shades of gray is a young woman very young woman
[01:24:03.940 --> 01:24:06.340]   Who falls in love with an older guy?
[01:24:06.340 --> 01:24:09.180]   Who teaches her the ways of love?
[01:24:09.180 --> 01:24:14.100]   Okay, so they have the narrator on this is very young sounding chapter two
[01:24:14.100 --> 01:24:19.380]   My heart is pounding the elevator arise
[01:24:21.300 --> 01:24:23.700]   The elevator scene is a little steamy
[01:24:23.700 --> 01:24:32.220]   Isn't that nine and a half weeks redone it is basically I don't know what the plot it's it's not about plot
[01:24:32.220 --> 01:24:39.500]   But yes, they have 50 shades of gray the book one they have 50 shades darker book two 50 shades free book three
[01:24:39.500 --> 01:24:46.260]   And it's gets kinky as hell, but you know the word it yeah the woman really well
[01:24:47.100 --> 01:24:49.100]   It's part of my what is you listen to it?
[01:24:49.100 --> 01:24:53.540]   You know I started listening to it and then I thought you know, I'm gonna skip to the good parts
[01:24:53.540 --> 01:24:56.720]   And slowly you're a button no there isn't
[01:24:56.720 --> 01:25:01.740]   Good parts click click. Yeah, hey, there's an audible feature
[01:25:01.740 --> 01:25:04.740]   They are just give me the good parts
[01:25:04.740 --> 01:25:10.100]   It's actually actually actually you could crowdsource that you could say
[01:25:11.980 --> 01:25:16.300]   Let people indicate what the good parts are and then as you're listening to it
[01:25:16.300 --> 01:25:21.260]   It would automatically go just say take me to the most popular parts of the book. Can you do that?
[01:25:21.260 --> 01:25:23.340]   You could do that on the Kindle Kindle app does that yeah
[01:25:23.340 --> 01:25:30.420]   I actually love the fact that you can crowd have the notes of on books that others have written
[01:25:30.420 --> 01:25:35.340]   I think that's really cool and the Kindle will show you what the most popular ports portions are
[01:25:35.340 --> 01:25:41.820]   That's just a little tip there audible.com/twit to Google plus for business
[01:25:41.940 --> 01:25:48.700]   By Chris Brogan Chris Brogan's books on here. I wonder if Chris reads this how Google's social network changes everything
[01:25:48.700 --> 01:25:55.020]   Yes, he does that would be a good one Chris is great. Can you read? Let's see play a little sample
[01:25:55.020 --> 01:25:56.300]   This is a nice thing about the audible page
[01:25:56.300 --> 01:26:00.420]   You can play samples of any book you should be a bit skeptical about starting with yet another social network
[01:26:00.420 --> 01:26:03.140]   Yes, it's not like I know every person picking up this book
[01:26:03.140 --> 01:26:06.700]   But some of you just started figuring out Facebook not too long ago
[01:26:06.700 --> 01:26:09.980]   It's good. It's Chris. It's in his voice. It's great. I
[01:26:10.780 --> 01:26:12.780]   Can imagine reading one of these things
[01:26:12.780 --> 01:26:16.900]   You know I did a short story and it took forever because they kept saying you're speeding up
[01:26:16.900 --> 01:26:23.100]   You're slowing down that voice does not match the previous voice and so but there's a producer sitting across the glass for me
[01:26:23.100 --> 01:26:25.100]   Saying you know you got to do that right
[01:26:25.100 --> 01:26:31.100]   So it takes a long time the producers are all sadists. They are they want to do it out again slow it down
[01:26:31.100 --> 01:26:32.780]   But they're right no
[01:26:32.780 --> 01:26:37.260]   They're right and then you get a consistent read and that's one of the things I like about the books that audible producers
[01:26:37.260 --> 01:26:39.420]   They're frankly they have the best producers
[01:26:39.420 --> 01:26:45.500]   They have their own they have nine studios in their headquarters and they do a lot of these themselves and they do a really really really good job
[01:26:45.500 --> 01:26:51.660]   Fifty Shades of Grey is the number one book on audible fifty Shades darker is the number two book on audible
[01:26:51.660 --> 01:26:57.140]   Fifty Shades Freed is the number three book it pretty much dominates audible. Isn't that interesting?
[01:26:57.140 --> 01:27:04.980]   That's a phenomenon. I don't understand it myself. I mean it's a romance novel like any other romance novel. Well promoted. It must have been
[01:27:05.620 --> 01:27:13.700]   Must have been it's no crash would be better and book two of the King killer chronicles is out now for Patrick Rothless
[01:27:13.700 --> 01:27:20.100]   That's the one tray Radcliffe's yes. All right. Let's move on. I don't see the Shades of Dog poop
[01:27:20.100 --> 01:27:22.220]   so
[01:27:22.220 --> 01:27:27.780]   Check this out. This is good. These are good men's from Chicago. Have a friend go. This is with the box is very Bob
[01:27:27.780 --> 01:27:33.380]   Marshall fields you recognize you as before you know go my mom
[01:27:34.180 --> 01:27:39.560]   Des Moines and Fran go mince from Marshall fields rabbit tree big treat try it. I'm telling you are they is it gone?
[01:27:39.560 --> 01:27:44.480]   No, there's a bunch of them in here. I know they're really good. Oh not a bunch. There was a whole box yesterday
[01:27:44.480 --> 01:27:49.940]   Well, let's try one of these oh, you're gonna flip your very small and their old marshy fields gone. It's Macy's now
[01:27:49.940 --> 01:27:56.540]   Really Marshall's is gone. Yeah. Oh that's sad. Oh very sad 50 Shades of Fango
[01:27:56.540 --> 01:28:03.000]   Isn't that good? Isn't that the best mint you ever had chocolate mint you ever had? It's good. Now. I'm jealous
[01:28:03.000 --> 01:28:05.000]   Ah, ah
[01:28:05.000 --> 01:28:09.500]   Alright, they're telling me if I do the Google Oracle story with a strong British accent
[01:28:09.500 --> 01:28:13.800]   The jury has come back and
[01:28:13.800 --> 01:28:20.660]   You remember in the first part there are two parts of this oracle is suing Google over its use of Java in
[01:28:20.660 --> 01:28:28.220]   Android right and they never gave any credit to Java. They never in fact they wrote their own Java virtual machine
[01:28:28.220 --> 01:28:34.140]   Was we davic assuming that this would get them off the hook, but but Oracle said no wait a minute
[01:28:34.140 --> 01:28:43.240]   Wait a minute. We copyright the API's we copyright the calls and the crazy. That's crazy talk and fortunately the
[01:28:43.240 --> 01:28:47.680]   Well the jury came back with a funny they said though. There was no copyright violation
[01:28:47.680 --> 01:28:55.360]   Weird it was very so oracle may go back and retry the verdict was so confused. They may retry the copyright case
[01:28:55.820 --> 01:28:58.540]   But they did lose on the patent infringement
[01:28:58.540 --> 01:29:05.020]   Case no patent infringement found the ten person jury big money started with 12 two of them left
[01:29:05.020 --> 01:29:10.780]   They were bored and they died aboard him. Yeah, it's the longest the judge said this is the longest civil case
[01:29:10.780 --> 01:29:12.780]   I have ever presided over
[01:29:12.780 --> 01:29:14.780]   Or at least it felt like it
[01:29:14.780 --> 01:29:20.540]   Google did not infringe to Java related patents that Oracle had used to sue the search giant
[01:29:20.540 --> 01:29:25.420]   That means Oracle is unlikely to get anything from the trial other than maybe a tiny amount of
[01:29:26.420 --> 01:29:28.420]   damages for one function
[01:29:28.420 --> 01:29:34.000]   Range check function. I love the judge. We talked about this. I don't know if we talked about this last week the judge William
[01:29:34.000 --> 01:29:38.060]   I'll subsaid hey, I've written range check functions. That's easy. I can go write them in your sleep
[01:29:38.060 --> 01:29:42.720]   I love a judge that says that that's rare. It's rare. It's unheard of yeah
[01:29:42.720 --> 01:29:49.260]   You could I could write a range I could write your range check right now. It's simple. He's right by the way
[01:29:49.260 --> 01:29:53.940]   So the idea that this somehow is patented is bizarre and absurd
[01:29:54.580 --> 01:29:56.580]   So I guess Google won
[01:29:56.580 --> 01:30:01.300]   There won't be a damages part of the trial at all
[01:30:01.300 --> 01:30:05.820]   Google said we're grateful for the jury's verdict. We are so grateful
[01:30:05.820 --> 01:30:09.060]   And
[01:30:09.060 --> 01:30:14.940]   Oracle said Oracle presented overwhelming evidence of trial that Google knew it would fragment and damage Java
[01:30:14.940 --> 01:30:20.140]   We plan to continue and defend and uphold Java's core right what's the real beef here?
[01:30:20.140 --> 01:30:23.580]   Sounds like a garage match. You know what?
[01:30:24.060 --> 01:30:26.060]   They said actually I
[01:30:26.060 --> 01:30:32.740]   Think was James Gosling the guy wrote Java, right? We were pissed as hell at Sun, but we weren't gonna sue Google
[01:30:32.740 --> 01:30:36.540]   We just said yeah, that's you know, it's just a way it is. Yeah tough cookies
[01:30:36.540 --> 01:30:44.020]   But he said I remember when the Oracle guys were doing their due diligence about buying Sun one of the things they were going
[01:30:49.860 --> 01:30:55.140]   They were really excited about it. This was the thing that they got they they were really excited. They bought Sun
[01:30:55.140 --> 01:31:00.380]   Slow-tech says it in our chat room. I think he's right. They bought Sun in great degree because because they wanted to sue Google
[01:31:00.380 --> 01:31:02.380]   Why did they want to sue Google?
[01:31:02.380 --> 01:31:04.660]   We have a grudge. They've got money
[01:31:04.660 --> 01:31:09.380]   The judge
[01:31:09.380 --> 01:31:16.660]   That would be that would be there could be some money you could pay it could pay for Sun
[01:31:16.660 --> 01:31:18.620]   Yeah
[01:31:18.620 --> 01:31:24.880]   So the judge still is not yet ruled on this issue of API's being copyrighted in the first place whether that's even possible
[01:31:24.880 --> 01:31:27.260]   But that'd be like two hundred thousand dollars max
[01:31:27.260 --> 01:31:34.420]   It won't be a lot of money and let's hope he does not rule that API's are copyrightable because that would be a horrible precedent to set
[01:31:34.420 --> 01:31:36.620]   I have some faith this guy knows what he's doing
[01:31:36.620 --> 01:31:43.020]   Yeah, it sounds like it. Yeah, he knows how to write a range check and Java damn it. I can't do it
[01:31:43.020 --> 01:31:48.500]   Oh, it's easy John. I don't a monkey could do it. Well, I don't know how to I don't never look
[01:31:48.500 --> 01:31:52.900]   Do it maybe a monkey could then why would I want to wait my dad counter?
[01:31:52.900 --> 01:31:55.620]   Do we trust them stat counters is chrome? We don't
[01:31:55.620 --> 01:31:58.780]   What is that counter is not that bad?
[01:31:58.780 --> 01:32:01.840]   They're okay, but almost everybody reported in the story which is about
[01:32:01.840 --> 01:32:07.300]   Chrome becoming the most popular browser in the world. Yeah, that's the story wrong. It's bogus
[01:32:07.300 --> 01:32:11.860]   What happened was it's that come among people who go to sites that have stat counter on them
[01:32:11.860 --> 01:32:14.660]   That little thing you put on there that like says
[01:32:17.300 --> 01:32:22.260]   Whether or not that reflects the web at large nobody knows and there there are five or six other major
[01:32:22.260 --> 01:32:26.740]   Companies attract the stuff and some of them don't even say that Chrome is the number two browser
[01:32:26.740 --> 01:32:31.940]   Yeah, some say that Firefox ahead so I find it hard to believe the only conclusion you can draw is that nobody really knows
[01:32:31.940 --> 01:32:38.020]   But I do have having nothing but but trouble with Firefox crashes all the time. It's not better
[01:32:38.020 --> 01:32:45.020]   It didn't wasn't it supposed to get better. It's gotten worse for me and used in the newest one. Mm-hmm. Supposedly its memory management is a lot better
[01:32:45.020 --> 01:32:51.980]   I'm just good. There's totally blows up every new version of Firefox for like the last three or four years in theory the memory problems have been solved
[01:32:51.980 --> 01:32:56.380]   Yeah in theory that's never solved theory. So let me see browser
[01:32:56.380 --> 01:32:59.860]   I think I lost what key some key coders or something. There's so many thing I can think of
[01:32:59.860 --> 01:33:02.700]   Where were the one thing about the stat counter numbers?
[01:33:02.700 --> 01:33:06.860]   Even if you don't think that stat stat counter numbers are correct
[01:33:06.860 --> 01:33:11.980]   They match what has been shown in terms of trends from other sources and that is that
[01:33:12.620 --> 01:33:17.420]   Firefox is either in decline or flat IE is in dramatic decline and
[01:33:17.420 --> 01:33:20.060]   Chrome has
[01:33:20.060 --> 01:33:23.740]   Solid growth and even if the stat counter numbers aren't there now
[01:33:23.740 --> 01:33:31.420]   That's probably what we're going to be seeing in the near future. I think I just really clearly globally globally right in the US
[01:33:31.420 --> 01:33:37.360]   IE is still dominant largely because of the way corporations use the might use Microsoft software
[01:33:37.380 --> 01:33:42.580]   Well, I gotta say Twitter would be is no example because of course people who listen to this show are more sophisticated
[01:33:42.580 --> 01:33:49.160]   But on our Twitter website Chrome is number one by a large margin 36% to number two is Safari
[01:33:49.160 --> 01:33:52.880]   26, oh you got a lot of Mac listeners. Oh, it's not it's iOS
[01:33:52.880 --> 01:33:57.280]   I far right I was sure and then Firefox third editor to explore only 10%
[01:33:57.280 --> 01:34:04.540]   Android 4% on the web savvy web Chrome is the most popular browser easily. Yeah, yeah
[01:34:04.540 --> 01:34:08.980]   But that's so we're also a small percentage of the world right right so on cron.com
[01:34:08.980 --> 01:34:13.300]   Which is you know the Houston Chronicles website and age very much a general interest site?
[01:34:13.300 --> 01:34:15.860]   The numbers kind of track
[01:34:15.860 --> 01:34:20.860]   About what you'd expect with a little bit more than 50% being internet explorer Wow
[01:34:20.860 --> 01:34:23.860]   They would look just at my blog
[01:34:23.860 --> 01:34:26.460]   It's it's Chrome
[01:34:26.460 --> 01:34:33.340]   So, you know, that's really interesting. Yeah, yeah, just on my blog. It's Chrome. It's a text it's soon
[01:34:33.460 --> 01:34:39.420]   So Chrome is like Chrome Chrome is where's everyone's headed be and I think it's only because Firefox is having issues
[01:34:39.420 --> 01:34:46.420]   I think they lost somebody I think Firefox lost the battle is what happened Chrome was faster easier to use that flash built in
[01:34:46.420 --> 01:34:52.860]   It's more secure. I think they just lost that they lost that's what happened and in the old days before there was a Chrome Google
[01:34:52.860 --> 01:35:00.100]   Worked really hard to promote Firefox. It sometimes is on the home page, right? And that's right. Yeah, and they're still business partners
[01:35:00.100 --> 01:35:05.540]   But Google is no longer trying to get people to switch to Firefox. Well now they don't want to pay them the royalties either
[01:35:05.540 --> 01:35:12.420]   It's a win for Google. Here was a shocker. This is a published before you go into that. Yeah, what is that phone?
[01:35:12.420 --> 01:35:18.740]   You've got there as an iPhone is that your phone? Yeah, really why I said you always were that were the note
[01:35:18.740 --> 01:35:23.580]   I have the note and the iPhone and you know, I you carry two phones not today. I have just the iPhone
[01:35:23.580 --> 01:35:25.780]   Uh-huh, you know, you know what happened
[01:35:25.780 --> 01:35:30.740]   I went to Norway and I use the iPhone in Norway because I could add, you know, buy the extra data and
[01:35:30.740 --> 01:35:32.260]   I knew what house
[01:35:32.260 --> 01:35:36.860]   Why did you just swap the sim out like most people do and put their local sim in too much trouble?
[01:35:36.860 --> 01:35:38.300]   I just thought you know, I got the iPhone
[01:35:38.300 --> 01:35:42.620]   I'm gonna that's my international phone and then I got back and I had to keep using it
[01:35:42.620 --> 01:35:44.820]   You know what really happened is a Google voice stopped
[01:35:44.820 --> 01:35:48.900]   I used to use one phone number Google voice would ring all my phones and for some reason
[01:35:48.900 --> 01:35:54.820]   It works for everybody except my my immediate family none of them can reach me
[01:35:54.820 --> 01:35:56.820]   It goes directly to voicemail
[01:35:56.820 --> 01:36:01.740]   And so I had to give them a number to call me and that's this number because I was in Norway and now I'm stuck with it
[01:36:01.740 --> 01:36:07.220]   That's the truth. You want to know the truth. That's the truth. It ends up being it's it's a phone thing
[01:36:07.220 --> 01:36:10.260]   Huh has nothing to do with apps has nothing to do with form factor
