
[00:00:00.000 --> 00:00:05.600]   It's time for Twit this weekend taking all in studio panel Nathan Olaveras, Giles, Rob Reed and
[01:42:11.280 --> 01:42:14.720]   This probably is a good time to start thinking about training up for something different
[01:42:14.720 --> 01:42:17.920]   And I think that's what the conversation should be but that's what the government should be doing
[01:42:17.920 --> 01:42:22.400]   Say listen automation is coming in some cases already here if you've been a grocery store
[01:42:22.400 --> 01:42:25.680]   You've seen the automated checkout if you you know if you've gone to a bank
[01:42:25.680 --> 01:42:29.680]   You've seen a lot of atms like these things are slowly happening. So let's retrain folks
[01:42:29.680 --> 01:42:35.520]   Let's find out what those new jobs are going to be that will be created and hopefully be a better quality of life for everyone
[01:42:35.520 --> 01:42:40.160]   Let's let's figure that out and to to say that it's 50 to 100 years off is is
[01:42:40.880 --> 01:42:42.880]   Sticking your head in the sands you're responsible
[01:42:42.880 --> 01:42:47.440]   I don't know though about the thought of that they'll be I think that they'll be new jobs replace it
[01:42:47.440 --> 01:42:50.240]   But I do not think that they will be in the same number because a machine
[01:42:50.240 --> 01:42:55.760]   You can do things much faster to many more people and I think that the quality of jobs and the amount of education
[01:42:55.760 --> 01:43:02.640]   That you know in some places is not free to be able to have to get different jobs to be able to deal with that because a lot of the manual
[01:43:02.640 --> 01:43:04.160]   Label jobs are going to be going away
[01:43:04.160 --> 01:43:08.320]   So train so the solution is training people for jobs that will persist if over the next few
[01:43:08.320 --> 01:43:12.800]   I actually will say something even more radical, but I'm Canadian so I can say this is I think that in the end
[01:43:12.800 --> 01:43:18.000]   We're going to have to really look at something like universal income and taxing the machines that are going to be taking
[01:43:18.000 --> 01:43:22.080]   Jobs away so that the companies are going to be able to support that and in Ontario
[01:43:22.080 --> 01:43:25.200]   We are actually taking a look at that's right. You're doing a pilot aren't you?
[01:43:25.200 --> 01:43:31.040]   Yeah, yeah, you know income for everyone just to have a quality of life where you're going to be all right
[01:43:31.040 --> 01:43:36.480]   Well, it's an important conversation to have and you can't really have that conversation in full if you don't consider those ideas
[01:43:36.880 --> 01:43:43.840]   Whether you choose them or not right and and to back up your point if you just look at the change in manufacturing
[01:43:43.840 --> 01:43:45.840]   You know
[01:43:45.840 --> 01:43:47.840]   And this this is part of what trump
[01:43:47.840 --> 01:43:51.280]   Rannon was bringing back manufacturing jobs that went overseas right?
[01:43:51.280 --> 01:43:55.200]   Well a lot of those jobs that went overseas that I think are never coming back
[01:43:55.200 --> 01:43:59.920]   Those jobs are done in a combination of people and robots today, right?
[01:43:59.920 --> 01:44:04.000]   So even if those jobs came back they wouldn't have that one for one match on what was lost
[01:44:04.160 --> 01:44:06.080]   Yeah, but they'd be American robots
[01:44:06.080 --> 01:44:12.080]   But they'd be American robots but but but but when but when you're when you're running on that idea of replacing this thing that is
[01:44:12.080 --> 01:44:14.320]   arguably irreplaceable
[01:44:14.320 --> 01:44:19.040]   Uh, then you're already not fully understanding the picture or maybe not
[01:44:19.040 --> 01:44:26.000]   Disingenuously like selling it short and so this does kind of fall in line with the rhetoric that we've seen which is unfortunate because
[01:44:26.000 --> 01:44:29.040]   It deserves a real genuine dialogue especially from
[01:44:29.600 --> 01:44:36.320]   Our leaders at the top and but to have that conversation you need the context to understand the impact technologies already had
[01:44:36.320 --> 01:44:41.520]   And that's what I mean when I say automation is is in some respects already here. Yeah
[01:44:41.520 --> 01:44:46.960]   In many respects it is. I think that it's a scary conversation to have though. I think that that is a lot of
[01:44:46.960 --> 01:44:51.200]   Um worry and anxiety people have thought of what are what are we gonna do going forward?
[01:44:51.200 --> 01:44:55.520]   Where the jobs that are going to be more easily automated versus jobs that will not be easily automated
[01:44:56.000 --> 01:45:01.440]   And there's um, there's a lot of different changes that are happening with you know, AI and robotics
[01:45:01.440 --> 01:45:04.480]   And machine learning so it's a really big deal
[01:45:04.480 --> 01:45:11.200]   Emily drifus writing and wired interviews andrew mackephie who is the co-founder of mit's initiative on the digital economy
[01:45:11.200 --> 01:45:16.560]   He did a a poll of 140 experts in ai on automation
[01:45:16.560 --> 01:45:23.600]   And employment at an event that they held he said he asked the question when will the robots take all the jobs
[01:45:24.480 --> 01:45:27.600]   and how and how worried are you and um
[01:45:27.600 --> 01:45:31.920]   The the conclusion was this is happening soon
[01:45:31.920 --> 01:45:36.160]   Um, you see you see the graphs here 50 percent of highway miles
[01:45:36.160 --> 01:45:41.280]   When will 50 percent of highway miles be driven by self-driving vehicles the consensus was 2030
[01:45:41.280 --> 01:45:45.120]   Um the mean 2032
[01:45:45.120 --> 01:45:48.480]   Uh it the soon is to be seven years
[01:45:48.480 --> 01:45:53.120]   Median was 2030 and only five of the 140 said later
[01:45:53.840 --> 01:45:55.840]   Uh than 2050 or never
[01:45:55.840 --> 01:46:00.240]   So there's a fairly strong consensus. It's going to happen the next few
[01:46:00.240 --> 01:46:03.600]   Uh decades i'd like to meet the people who said never
[01:46:03.600 --> 01:46:06.640]   Well, I think that there is
[01:46:06.640 --> 01:46:08.640]   The half-esteem kebec drivers
[01:46:08.640 --> 01:46:15.600]   No, but there is I think a large incredible group of people uh who say it's not going to be as bad as you think
[01:46:15.600 --> 01:46:21.040]   It's uh, like john mark-off who I think is a very astute former new york times technology writer
[01:46:21.520 --> 01:46:24.160]   Um, he he says there's a lot of experts who say
[01:46:24.160 --> 01:46:29.360]   A it's not going to come as fast as you think because there are a lot of to hurdles and b
[01:46:29.360 --> 01:46:33.040]   Many jobs will be created. They're just going to be a different kind of job
[01:46:33.040 --> 01:46:37.200]   But I think the real thing to worry about and this is why people are looking at basic income
[01:46:37.200 --> 01:46:40.800]   Uh, is that it's the lowest paying jobs the cashiers
[01:46:40.800 --> 01:46:44.800]   The grocery store clerks the drivers
[01:46:44.800 --> 01:46:50.000]   Machinists those are the people are going to lose their jobs soonest and dot people working industrial
[01:46:50.720 --> 01:46:53.920]   Uh, and and so those are the people who I think it would be
[01:46:53.920 --> 01:47:00.160]   Kind of responsible for the government to acknowledge that we we ought to be spending money on retraining and education
[01:47:00.160 --> 01:47:06.080]   I would think you would think but I mean it's too expensive politicians don't care about poor people that much or something
[01:47:06.080 --> 01:47:07.600]   So, you know, they
[01:47:07.600 --> 01:47:12.320]   Unfortunately, they seem to be more shortsighted than ever before they care about the next election the next vote
[01:47:12.320 --> 01:47:16.960]   Yep, and they're really not looking that long-term. It's just saying this is a big opportunity
[01:47:16.960 --> 01:47:22.720]   I mean we can create the future like we have that we have to we have to you know, it's going to happen
[01:47:22.720 --> 01:47:24.400]   Why not?
[01:47:24.400 --> 01:47:26.080]   Silicon Valley's shoulders to be responsible
[01:47:26.080 --> 01:47:31.040]   I mean one of the one of the complaints people have is that silicon valley is inventing this stuff without taking responsibility for the
[01:47:31.040 --> 01:47:33.200]   consequences of it
[01:47:33.200 --> 01:47:37.840]   Should should should technologists be more responsible and be planning for this?
[01:47:37.840 --> 01:47:43.600]   I think that it's a really hard question because you like everyone wants to make a certain amount of profit
[01:47:43.600 --> 01:47:47.520]   And I think that the entire entire society is based upon this
[01:47:47.520 --> 01:47:54.880]   Amount that having more is better and so, you know, you ask Google. Well, should Google make less of a profit by not, you know
[01:47:54.880 --> 01:47:57.600]   Going into robotics communism
[01:47:57.600 --> 01:48:03.840]   And would that be wrong? I think that it really is up to a government to take care of its people and the problem is with
[01:48:03.840 --> 01:48:07.760]   Lobbyists and the way that you have to be funded in order to you know
[01:48:07.760 --> 01:48:09.920]   Have a campaign and being so expensive
[01:48:10.240 --> 01:48:14.720]   Then you become in the pockets of the people that can put that money there and so I think that the entire system kind of
[01:48:14.720 --> 01:48:18.240]   Forces everyone's hand that the only way to get up there to make the change
[01:48:18.240 --> 01:48:24.320]   You already have to be beholden to the people that are not the ones that must need this to be protected from which also the
[01:48:24.320 --> 01:48:30.640]   impossibility of foretelling, you know, it's like who could have foreseen the consequences of the
[01:48:30.640 --> 01:48:32.640]   A lot of science fiction writers
[01:48:39.440 --> 01:48:41.440]   Where's my flying car?
[01:48:41.440 --> 01:48:47.280]   Risky for somebody to say well that's speculation. We don't think that's going to happen
[01:48:47.280 --> 01:48:49.280]   I mean, I don't think it's too risky although
[01:48:49.280 --> 01:48:55.200]   It's interesting that push back to steve minutian because so many people at silicon valley and technologists said you're crazy
[01:48:55.200 --> 01:48:57.520]   This is happening fast faster than you think well
[01:48:57.520 --> 01:49:00.480]   I mean just because you can't necessarily predict the future doesn't mean you can't
[01:49:00.480 --> 01:49:08.160]   Try to shape it right and protect people before it comes to the place where then you have to that sounds like just a good idea
[01:49:08.480 --> 01:49:14.240]   Yeah, and this is not really a philosophy that is very ochre in washington these days
[01:49:14.240 --> 01:49:16.080]   But I of the opinion that
[01:49:16.080 --> 01:49:17.440]   companies
[01:49:17.440 --> 01:49:20.880]   Are designed to maximize profits. That's how it's supposed to work
[01:49:20.880 --> 01:49:28.400]   Uh, and that it's appropriate for us as a society to say but but maybe our goals don't coincide
[01:49:28.400 --> 01:49:32.560]   It's really what you said georgia with googles goals google's going to maximize profits
[01:49:32.560 --> 01:49:34.560]   But maybe we as a society
[01:49:34.560 --> 01:49:37.840]   Think that there is better ways to do that and I think we should have the right to do that
[01:49:37.840 --> 01:49:41.360]   But right now in washington the philosophy is let the free market rule
[01:49:41.360 --> 01:49:43.840]   It will handle everything
[01:49:43.840 --> 01:49:51.120]   And uh and competition is the is the key and we shouldn't mess with the gears and I frankly I also understand that point of view
[01:49:51.120 --> 01:49:52.640]   I'm not sure that that's the
[01:49:52.640 --> 01:49:55.760]   Wrong point of view, but that's kind of where we stand right now
[01:49:55.760 --> 01:49:58.800]   And so I think that's the that's what you're going to see at least for the next four years
[01:49:58.800 --> 01:50:03.360]   Uh youtube is facing some problems with advertising. We'll talk about
[01:50:04.000 --> 01:50:06.000]   uh that problem and
[01:50:06.000 --> 01:50:08.400]   the laptop ban
[01:50:08.400 --> 01:50:10.720]   And uh and why
[01:50:10.720 --> 01:50:13.200]   these airlines
[01:50:13.200 --> 01:50:18.800]   All from the middle east are not allowed or are saying passengers cannot carry laptops
[01:50:18.800 --> 01:50:24.640]   Kindles or iPads there is a theory the guardian says it comes it goes down to a plot
[01:50:24.640 --> 01:50:29.600]   Mm-hmm to put explosives and iPads we'll talk about that in just a little bit
[01:50:29.600 --> 01:50:31.680]   But right now your book's unaudible
[01:50:31.920 --> 01:50:35.680]   You're zero it is and it's read by the inimitable john hodgman
[01:50:35.680 --> 01:50:40.000]   Is a million comedian he reads it magnificently
[01:50:40.000 --> 01:50:43.440]   Historically funny. It's a wonderful way to consume that book
[01:50:43.440 --> 01:50:46.800]   Well arable is as you know our sponsor and we're going to get you
[01:50:46.800 --> 01:50:49.440]   Two audible books right now
[01:50:49.440 --> 01:50:52.400]   It's their new gold plus one plan
[01:50:52.400 --> 01:50:57.360]   So you could try out two free audio books and then get one book credit per month
[01:50:57.360 --> 01:51:01.520]   As an audible subscription of course you can cancel anytime in the first 30 days
[01:51:01.840 --> 01:51:06.160]   And pay nothing, but I think we've got your first book. It's going to be year zero, right?
[01:51:06.160 --> 01:51:10.400]   I would love for that to be the case. John hodgman john hodgman is brilliant
[01:51:10.400 --> 01:51:15.440]   You don't get better than that. You don't yeah, and he's got that nice dry with it's perfect for your produce. I think yeah
[01:51:15.440 --> 01:51:18.960]   So there's one what else do what else do we like on audiobooks?
[01:51:18.960 --> 01:51:26.560]   These days i'm listening to patrick rothverses first love the the pet named the wind i think name of the wind
[01:51:26.560 --> 01:51:29.600]   Yeah, i'm just started to i'm finally catching up prey rat
[01:51:29.920 --> 01:51:33.920]   Trey racliffe said if you don't like this book, I don't want to be your friend anymore
[01:51:33.920 --> 01:51:37.440]   I think that's the second that's the second it's the king killer chronicles
[01:51:37.440 --> 01:51:42.080]   You're really reading the first one with the name of the wind which is awesome so good apparently patrick is given up though
[01:51:42.080 --> 01:51:44.800]   I don't know if we're ever to see another one he's supposed to be working on it
[01:51:44.800 --> 01:51:47.440]   But the work is going very slowly
[01:51:47.440 --> 01:51:53.840]   Of very nerdy book that I really like it's an audible is um the brief wondrous life of oscar wao by juneo diaz
[01:51:53.840 --> 01:51:58.880]   And uh, yeah linn men well mr randa you're kidding is uh the reader. Yeah
[01:51:59.360 --> 01:52:04.800]   What did he but he must have read it years ago because that came out like 2017 2008 or did he just rerecorded
[01:52:04.800 --> 01:52:09.840]   They just rerecorded it yeah because we're my favorite. Yeah, we're my favorite novels. Yeah. Yes. Thank you. It's so good
[01:52:09.840 --> 01:52:10.960]   Uh, what what is it called?
[01:52:10.960 --> 01:52:18.080]   It's called, um, the brief wondrous life of oscar wao if you just search for the author's name juneo diaz jun ot
[01:52:18.080 --> 01:52:23.200]   Diaz and it won the peel it surprise and deservedly so yeah, that's a it's like real
[01:52:23.200 --> 01:52:26.240]   I thought you said oscar wao. That's oscar wao. Yeah, wow. Yeah
[01:52:26.960 --> 01:52:30.720]   Uh read by oh well, wait a minute. I gotta listen to a little linn mr and well mr randa
[01:52:30.720 --> 01:52:34.560]   uh narrating this that is fantastic
[01:52:34.560 --> 01:52:38.960]   Yeah, I gotta do it again. I read it if you like this book adore this. Yeah
[01:52:38.960 --> 01:52:43.840]   You've read it. Oh, yeah, I read it. I read it when the year came out in in print
[01:52:43.840 --> 01:52:46.960]   I never listened to it that I mean this is a great reason to go back to it
[01:52:46.960 --> 01:52:51.920]   It's probably almost 10 years ago. Maybe seven eight years old. Yes, and it won the Pulitzer the year it came out
[01:52:51.920 --> 01:52:55.760]   I think it might be to yeah, but seven eight. I'm gonna get a second ballpark. Yeah. Yeah
[01:52:56.320 --> 01:52:59.360]   So well, we've got three books you only get two but I'm gonna give you one
[01:52:59.360 --> 01:53:04.880]   I can do this you get 13 with the gold plus or 14
[01:53:04.880 --> 01:53:12.160]   If you continue. Yeah, uh, so this is the gold plus one plan two free audiobooks to try out the service after 30 days
[01:53:12.160 --> 01:53:15.520]   15 dollars a month 1495 and you get a credit every month
[01:53:15.520 --> 01:53:19.120]   That's the most affordable way to get it. I this is a weird book
[01:53:19.120 --> 01:53:22.480]   But it is one of the most exciting audiobooks ever really going to read this
[01:53:22.480 --> 01:53:25.040]   166 narrators including
[01:53:25.040 --> 01:53:30.480]   Nick Offerman Ron Swanson from parks and rec davis cederis there the kind of lead readers
[01:53:30.480 --> 01:53:33.680]   But so many people are in this lina dunham is in it
[01:53:33.680 --> 01:53:41.360]   Uh, in fact you listen and you'll be and you'll go. I know what who's that? I know that it's amazing how many people are in this
[01:53:41.360 --> 01:53:46.400]   uh, bradley wittford bill hater jeff drein wilson jeff tweedy
[01:53:46.400 --> 01:53:51.360]   Of wilko. Yes. He does a cap muylion prince. It's awesome
[01:53:51.840 --> 01:53:54.400]   Don cheetl is in this season's or anything
[01:53:54.400 --> 01:53:58.720]   It's this is ran and you know rec as soon as you she starts reading you recognize her voice immediately
[01:53:58.720 --> 01:54:01.520]   So it's really fun. The plot is bizarre
[01:54:01.520 --> 01:54:07.280]   It's I would guess it's kind of more like sci-fi fantasy than anything else and I don't want to give away too much
[01:54:07.280 --> 01:54:13.760]   It all happens on one night in a cemetery in washington dc the night that lincoln's son willy
[01:54:13.760 --> 01:54:20.960]   Is buried and that's all i'm going to tell you because it's really fun just to start listening to this and figure out what's going on
[01:54:21.040 --> 01:54:28.560]   Once you do it's like jaw dropping it is a beautiful book and very deep and but at the same time
[01:54:28.560 --> 01:54:35.200]   Funny and interesting it's unusual. Yeah, I've been I've really been want to read that I love george saunters and so he's
[01:54:35.200 --> 01:54:38.960]   Is his first novel? He's written a bunch of short stories. You like your stories. Yeah
[01:54:38.960 --> 01:54:44.800]   Yeah, he's I mean if you like fiction and you like things that are a little surreal and kind of funny
[01:54:44.800 --> 01:54:48.640]   But a little bit of social commentary but not hitting you over the head with stuff a little absurd
[01:54:49.120 --> 01:54:51.120]   He's fantastic and this is
[01:54:51.120 --> 01:54:55.200]   This is where audiobooks sing because you can read the book
[01:54:55.200 --> 01:55:01.520]   And you can imagine the voices but when these all of these great actors and readers and and rock stars
[01:55:01.520 --> 01:55:07.920]   Perform it it comes a lot point together that cast is incredible. That's amazing. I don't know how they did it
[01:55:07.920 --> 01:55:14.800]   Well, I'm I maybe maybe we should say now that you are going to be reading a small segment of my next i have agreed to read the
[01:55:15.520 --> 01:55:20.160]   Little section tiny portion. Yeah, wow absolutely. We're not gonna have as many voices as
[01:55:20.160 --> 01:55:24.160]   One of the aliens. No, this is a new book that takes all the new
[01:55:24.160 --> 01:55:30.400]   Nine seconds in the future. Yeah. Yeah. Yeah, so I'll be tomorrow San Francisco chronicle eight nine seconds from now
[01:55:30.400 --> 01:55:32.320]   That's a
[01:55:32.320 --> 01:55:36.320]   Anyway, here's your deal go to audible.com/twit to
[01:55:36.320 --> 01:55:39.600]   And you can sign up. This is a free 30-day trial
[01:55:39.600 --> 01:55:46.800]   You'll get two audiobooks and then if you decide to stick around a book a month after that and as with all of their subscriptions
[01:55:46.800 --> 01:55:47.920]   You get a wall
[01:55:47.920 --> 01:55:51.920]   Barely digest of the wall street journal or the new york times as a part of your subscription
[01:55:51.920 --> 01:55:58.560]   This offers good in the us and Canada, but audible is worldwide and while we can't give you this great deal outside of the us in Canada
[01:55:58.560 --> 01:56:00.560]   You got to try it audible
[01:56:00.560 --> 01:56:06.160]   Dot com slash twit to do you do audiobooks Georgia? I do I love doing audiobooks because I'm just so busy
[01:56:06.560 --> 01:56:10.640]   Yeah, right. I don't have the time to be able to deal with that but when we go take long car rides
[01:56:10.640 --> 01:56:15.440]   We usually listen to an audiobook and I love it. You know, it's fun with the kids, isn't it?
[01:56:15.440 --> 01:56:21.280]   It's wonderful. Do you have a kid a book that you're your your your kids like we just did dune and
[01:56:21.280 --> 01:56:25.600]   Pissedicated. Well, they don't they don't watch tv or watch video games
[01:56:25.600 --> 01:56:27.920]   So like this was like really a big deal for them
[01:56:27.920 --> 01:56:32.560]   And they they were able to go through it and it was just in little tiny pieces to that and it was a lot of fun
[01:56:32.560 --> 01:56:34.560]   That's cool. They have a very good version of dune
[01:56:34.560 --> 01:56:40.320]   In fact, they have all the dune novels on here. I listened to dune on yeah an audio is really really good audible.com
[01:56:40.320 --> 01:56:48.320]   to what we're all audible listeners I listened to five or six books a month easily. Wow, that's easily. Yeah, every once in a while
[01:56:48.320 --> 01:56:49.600]   I will uh
[01:56:49.600 --> 01:56:54.080]   Say I've got to have this book and I'll buy a book just outright because I just because I just want it
[01:56:54.080 --> 01:57:00.960]   And I think Lincoln and the barter was one of those what boy read it listen to it. It is uh me zing
[01:57:00.960 --> 01:57:03.600]   Let me know what you think name. Oh, yeah, definitely will
[01:57:04.160 --> 01:57:06.160]   so uh
[01:57:06.160 --> 01:57:08.480]   This I thought this was an any competitive measure
[01:57:08.480 --> 01:57:15.840]   We talked about it a little bit because united delta and american the american airlines have been long upset with
[01:57:15.840 --> 01:57:17.680]   Emirates
[01:57:17.680 --> 01:57:22.160]   Eddy hod and cotter airlines because they get massive government subsidies, but you know
[01:57:22.160 --> 01:57:25.440]   So does british airways so does air france. I mean there are
[01:57:25.440 --> 01:57:28.160]   There's a long standing tradition of
[01:57:28.160 --> 01:57:33.040]   Airlines being subsidized by the governor of the country there they belong to
[01:57:33.360 --> 01:57:37.200]   We don't do it here in the us there's no um american subsidized airline
[01:57:37.200 --> 01:57:40.480]   So they feel like it's an unfair competitive advantage and
[01:57:40.480 --> 01:57:44.080]   last week the us and the uk band
[01:57:44.080 --> 01:57:47.680]   big electronic devices basically anything but a cell phone
[01:57:47.680 --> 01:57:51.440]   from flights from uh 10 countries
[01:57:51.440 --> 01:57:58.160]   Originating in the middle east on these airlines only and some thought I thought well
[01:57:58.160 --> 01:58:06.720]   It's an any competitive measure because you can fly united american and delta and still keep your laptop and your kindle and your ipad
[01:58:06.720 --> 01:58:11.520]   But maybe not because here is the story from the observer
[01:58:11.520 --> 01:58:15.920]   laptop ban on planes came after plot to put explosives
[01:58:15.920 --> 01:58:18.880]   in an ipad
[01:58:18.880 --> 01:58:23.120]   So uh, maybe the department of homeland security and the uk
[01:58:23.840 --> 01:58:29.920]   uh security forces were responding to that it bans tablets laptops game consoles kindles
[01:58:29.920 --> 01:58:35.280]   to inbound flights from egypt jordan lebanon saudi arabia tinesia and turkey
[01:58:35.280 --> 01:58:37.840]   Uh
[01:58:37.840 --> 01:58:43.360]   They in the case of england they did this does apply to british airways easy jet jet to monarch
[01:58:43.360 --> 01:58:46.960]   katomas cook and tomsen as well as the eight foreign carriers
[01:58:46.960 --> 01:58:51.760]   The us is banning a flights from jordan egypt turkey saudi arabia morocco katar
[01:58:52.320 --> 01:58:54.320]   kawaii and the uae so
[01:58:54.320 --> 01:58:55.840]   uh
[01:58:55.840 --> 01:59:00.080]   Security sources say the bans were not the result of single incident specific incidents
[01:59:00.080 --> 01:59:06.080]   But a combination of factors including the discovery of this plot remember you used to have to turn on electronics
[01:59:06.080 --> 01:59:11.360]   Then they stopped doing that right? Yeah, yeah, yeah, yeah, that would be one way to handle this
[01:59:11.360 --> 01:59:14.400]   I don't think you have a bomb in an ipad and have it be a working ipad
[01:59:14.400 --> 01:59:17.440]   Maybe in a laptop. I mean I always I remember when they would do that
[01:59:17.440 --> 01:59:20.960]   I was like couldn't they just kind of come up with something where the screen lights up and
[01:59:21.360 --> 01:59:23.360]   Yeah, um
[01:59:23.360 --> 01:59:27.680]   You know, I you want to give the government the benefit of the doubt
[01:59:27.680 --> 01:59:30.880]   Uh in in in saying that this is about safety
[01:59:30.880 --> 01:59:38.720]   But when when you see at least on the us as part that it only applies to airlines that aren't owned by us companies
[01:59:38.720 --> 01:59:45.280]   That seems discriminatory to be quite honest and the fact that it is only muslim majority nations
[01:59:45.280 --> 01:59:47.040]   And
[01:59:47.040 --> 01:59:50.160]   The us and the uk seem to have coordinated, but they didn't choose the same country
[01:59:50.160 --> 01:59:55.040]   Yeah, it's also very interesting. So there's a lot of just like what here and um
[01:59:55.040 --> 01:59:58.720]   I if that's your genuine concern
[01:59:58.720 --> 02:00:00.880]   You can still take all these devices on a flight
[02:00:00.880 --> 02:00:03.920]   You just have to pack them in your luggage and then you have to check the luggage
[02:00:03.920 --> 02:00:09.200]   So what's in question here is you can't actually use these devices in the cabin during a flight
[02:00:09.200 --> 02:00:13.520]   But you can use them if they come from the airline
[02:00:13.520 --> 02:00:17.280]   So this doesn't apply to the flight crew this doesn't apply to the cabin
[02:00:17.280 --> 02:00:21.360]   That's reasonable because presumably the stuff provided by the airline is is secure
[02:00:21.360 --> 02:00:23.600]   Yeah, there's also lots of different
[02:00:23.600 --> 02:00:30.000]   Electronics you could put explosives in so it's like there's lots of things exactly. Yeah, what is exactly happening here?
[02:00:30.000 --> 02:00:33.120]   How much safer are we really that this is happening?
[02:00:33.120 --> 02:00:37.280]   Then people would just fly dealt like, you know, then you're like, okay, I'm not gonna fly delta now now
[02:00:37.280 --> 02:00:42.560]   I don't know what where am I really gonna be that safe? It seems like there's probably a lot more to this than well
[02:00:42.560 --> 02:00:44.800]   Yeah, bombs are bombs whether they're in check
[02:00:45.200 --> 02:00:48.800]   Well, but it's much worse if it's in it's much worse if it's in the cabin
[02:00:48.800 --> 02:00:51.040]   It could blow a hole in the cabin passenger can get sucked out
[02:00:51.040 --> 02:00:56.960]   But you can't say where the bomb is gonna be in check luggage. It could be near the
[02:00:56.960 --> 02:01:01.360]   Skin of the plane, but it could also be in the middle so it may not be as effective
[02:01:01.360 --> 02:01:05.440]   Man if I had there are a lot of questions about this, but I had since I had
[02:01:05.440 --> 02:01:09.120]   Suggested this was actually a kind of a crypto
[02:01:09.120 --> 02:01:14.800]   You know any competitive move I have to point out there is a security issue
[02:01:15.680 --> 02:01:22.640]   And that may be what stems seems there's one it would just be nice to feel like it was more well thought out as to what the security issue was
[02:01:22.640 --> 02:01:24.640]   What the solution is well?
[02:01:24.640 --> 02:01:26.480]   Well, there's a lot of security theater, right?
[02:01:26.480 --> 02:01:30.000]   Bruce Schneider has always called the TSA and this is not the TSA this DHS
[02:01:30.000 --> 02:01:30.800]   but
[02:01:30.800 --> 02:01:33.440]   It's often called TSA security theater because
[02:01:33.440 --> 02:01:36.640]   You take off your shoes because the guy tried to let his shoes on fire
[02:01:36.640 --> 02:01:39.200]   But I don't know and the thing that gets me is
[02:01:40.720 --> 02:01:46.640]   If I ever fly business a class almost always when I fly business class, I'm sent to the TSA pre
[02:01:46.640 --> 02:01:50.320]   You know they have autumn you know you don't have to be a member of TSA pre to get selected for it
[02:01:50.320 --> 02:01:52.320]   And that's the one where you don't have to take off your shoes
[02:01:52.320 --> 02:01:55.760]   And you don't have to take out your laptop and you just walk through them a metal detector
[02:01:55.760 --> 02:01:58.720]   There's much lighter security and it always strikes me
[02:01:58.720 --> 02:02:06.960]   But but the hijackers in 9/11 all were flying first class because they want to be the front of the cabin flying first class doesn't make you a better person
[02:02:06.960 --> 02:02:09.120]   No, it just means you paid for that
[02:02:09.600 --> 02:02:16.000]   So it makes me wonder what's the whole thing about TSA pre if they're gonna let you through because you bought a expensive ticket
[02:02:16.000 --> 02:02:21.680]   I don't it's theater. It's security. I had a fly from Dubai to San Francisco. Look without all that
[02:02:21.680 --> 02:02:23.680]   Looking at my fingernails without a
[02:02:23.680 --> 02:02:29.120]   Talk about air rage. That's a dangerous proposition
[02:02:29.120 --> 02:02:31.520]   I don't like that. I'm an entire
[02:02:31.520 --> 02:02:36.320]   Plain full of people climbing the walls and I think a lot of folks would be perfectly happy watching the movies and so forth
[02:02:36.640 --> 02:02:40.800]   I need to read and do work on a plane like I would be so bomb. Well, and that's why I thought it was
[02:02:40.800 --> 02:02:48.000]   Flight sir, that's why I thought it was really about some sort of trade because the the most valuable customers are the ones
[02:02:48.000 --> 02:02:53.200]   The business travelers the first business class who are working on the plane if you take away their laptops
[02:02:53.200 --> 02:02:58.480]   They're gonna they're gonna go from Etihad to Delta or America and united where they can carry their laptop. Yeah
[02:02:58.480 --> 02:03:03.360]   It's felt to me like a trade a little bit of a mini trade war crypto trade war
[02:03:05.360 --> 02:03:11.360]   Amazon is now it's official going to collect sales taxes on all 50 states starting April 1st
[02:03:11.360 --> 02:03:14.880]   The last holdouts Hawaii Idaho, Maine and New Mexico
[02:03:14.880 --> 02:03:21.360]   This remember what a big deal this was that Amazon had this advantage over brick and mortar stores because they didn't have to charge sales
[02:03:21.360 --> 02:03:26.480]   Tax and the brick and mortar stores are upset the states were upset because they were losing revenue
[02:03:26.480 --> 02:03:31.200]   Amazon said we're not doing business in California. We are our fulfillment centers in Nevada
[02:03:31.280 --> 02:03:36.160]   It's over the border and and then remember they for a while they they said all right
[02:03:36.160 --> 02:03:39.760]   Well fine. We're not gonna give associate fees to anybody in California
[02:03:39.760 --> 02:03:45.680]   Right and that pissed off everybody and finally they negotiate with the state of California and they've negotiated with all the states
[02:03:45.680 --> 02:03:52.080]   And so all of these states now will be charging the flip side conspiracy theory has been and I've heard it
[02:03:52.080 --> 02:03:57.440]   Articulated a lot and there might be some truth is when they realize that they really couldn't win fighting the state
[02:03:57.440 --> 02:04:00.640]   I think kind of led the charge into saying fine
[02:04:00.640 --> 02:04:06.880]   We're gonna pay sales tax everywhere because they are a large and sophisticated enough company that they can actually
[02:04:06.880 --> 02:04:11.680]   They can figure out how to pay different right differential taxes in
[02:04:11.680 --> 02:04:17.360]   4800 and I think that's something crazy like that jurisdiction with the counties and the towns and everything else
[02:04:17.360 --> 02:04:21.200]   So at the end of the day when they realized they could not win against the state of California
[02:04:21.200 --> 02:04:24.400]   Some argue that they led the charge and saying okay fine
[02:04:24.400 --> 02:04:28.400]   Let's just do this because that would just really cripple folks that don't have
[02:04:28.400 --> 02:04:31.280]   Yeah
[02:04:31.280 --> 02:04:36.880]   No longer needs that competitive advantage and and they can do this in 4800 jurisdictions of just like
