
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[01:42:51.240 --> 01:42:57.640]   I'm like, "Well, if your ad is that, if your idea is that hidden, I think you've got
[01:42:57.640 --> 01:42:58.640]   bigger problems.
[01:42:58.640 --> 01:43:01.400]   If someone's seeing your ad is going to make them steal it."
[01:43:01.400 --> 01:43:02.400]   Yeah.
[01:43:02.400 --> 01:43:07.960]   All of this, of course, due to GDPR and increased heat from Congress, and I think this is all
[01:43:07.960 --> 01:43:10.720]   a good thing.
[01:43:10.720 --> 01:43:13.320]   The more the companies reveal the better.
[01:43:13.320 --> 01:43:14.320]   All right.
[01:43:14.320 --> 01:43:17.320]   But I think Twitter is like seven days of history.
[01:43:17.320 --> 01:43:18.920]   Yeah, it doesn't go back far.
[01:43:18.920 --> 01:43:19.920]   Yeah, but it's far.
[01:43:19.920 --> 01:43:20.920]   Yeah.
[01:43:20.920 --> 01:43:24.720]   So you'll need a third party that keeps eye on this so they can understand patterns because
[01:43:24.720 --> 01:43:28.920]   if someone says, "Oh, we don't want these concurrent ads, we do this, wait a couple
[01:43:28.920 --> 01:43:32.080]   days, wait a week or so," and then do another ad.
[01:43:32.080 --> 01:43:34.840]   There's going to be someone needs to keep an eye on this hopefully.
[01:43:34.840 --> 01:43:35.840]   Yes.
[01:43:35.840 --> 01:43:42.120]   So a great and first and investigated journalism will help expose the really bad actors as
[01:43:42.120 --> 01:43:43.680]   we go through this trend.
[01:43:43.680 --> 01:43:48.440]   But it's not going to be easy for us people who are just casually looking at this site
[01:43:48.440 --> 01:43:49.440]   even.
[01:43:49.440 --> 01:43:50.440]   And I do want to-
[01:43:50.440 --> 01:43:51.440]   I know you're right.
[01:43:51.440 --> 01:43:52.440]   Yeah.
[01:43:52.440 --> 01:43:53.920]   So somebody step up, right?
[01:43:53.920 --> 01:43:54.920]   Volunteers, anybody?
[01:43:54.920 --> 01:43:55.920]   Yeah.
[01:43:55.920 --> 01:43:58.760]   Although what's funny about that is as you were saying that Wesley was thinking that
[01:43:58.760 --> 01:44:02.440]   probably violates the terms of service in some way, the API things.
[01:44:02.440 --> 01:44:08.720]   So yeah, hopefully some investigative journalism unit or somebody will start something to start
[01:44:08.720 --> 01:44:11.720]   monitoring that stuff and archiving it someplace.
[01:44:11.720 --> 01:44:14.280]   You should be able to scrape that.
[01:44:14.280 --> 01:44:15.280]   I mean, you should.
[01:44:15.280 --> 01:44:20.600]   I'm just saying I could just see them go, "No, no, no," the same way they did with
[01:44:20.600 --> 01:44:23.760]   like, "Plittle whoops" and things like that.
[01:44:23.760 --> 01:44:24.760]   Yeah.
[01:44:24.760 --> 01:44:25.760]   Hey, I buried the lead.
[01:44:25.760 --> 01:44:26.760]   I have to apologize.
[01:44:26.760 --> 01:44:31.120]   Yesterday there was a big epic rocket launch in Fortnite.
[01:44:31.120 --> 01:44:32.120]   How did I miss-
[01:44:32.120 --> 01:44:33.120]   [laughter]
[01:44:33.120 --> 01:44:40.640]   It's funny to read- speaking of tweets, the tweets about it because apparently the killing
[01:44:40.640 --> 01:44:43.280]   stopped for a moment when the rocket went up.
[01:44:43.280 --> 01:44:45.440]   It opened a dimensional rift.
[01:44:45.440 --> 01:44:51.280]   A one-time event, people logged in and a lot of people were pissed because they got
[01:44:51.280 --> 01:44:54.840]   killed before the rocket went up and they missed it.
[01:44:54.840 --> 01:44:55.840]   Aw.
[01:44:55.840 --> 01:44:56.840]   Aw.
[01:44:56.840 --> 01:45:01.600]   So who else got killed before the rocket launch asks Mr. Knox?
[01:45:01.600 --> 01:45:05.960]   The Fortnite rocket launch was awesome and I can't wait for the next season, but whoever
[01:45:05.960 --> 01:45:09.280]   killed me, I hope you stub your toe on a door.
[01:45:09.280 --> 01:45:10.760]   What happened with the rocket in Fortnite?
[01:45:10.760 --> 01:45:14.600]   I was too far away to see what happened and some idiot killed me.
[01:45:14.600 --> 01:45:18.960]   I just got killed walking- see the key was to let everybody look at the rocket and snipe
[01:45:18.960 --> 01:45:19.960]   them all.
[01:45:19.960 --> 01:45:22.120]   Yeah, there you go.
[01:45:22.120 --> 01:45:26.040]   So the person who killed me is the rocket was launching in Fortnite and I won't say the
[01:45:26.040 --> 01:45:27.040]   words.
[01:45:27.040 --> 01:45:29.480]   This is why I stick to playing Redneck Rampage.
[01:45:29.480 --> 01:45:30.480]   [laughter]
[01:45:30.480 --> 01:45:31.480]   Oh really?
[01:45:31.480 --> 01:45:32.480]   Is that your game?
[01:45:32.480 --> 01:45:34.280]   I loved Redneck Rampage.
[01:45:34.280 --> 01:45:39.120]   It was why the buggy is first-person shooter ever, but it was hilarious.
[01:45:39.120 --> 01:45:40.440]   It's fun and that's the key.
[01:45:40.440 --> 01:45:41.440]   Oh yeah, no, that was a good game.
[01:45:41.440 --> 01:45:47.480]   That was the one that took the inverse of the big hunter or whatever, like the big game
[01:45:47.480 --> 01:45:51.080]   hunter or whatnot where instead you were like the deer going after the hunters.
[01:45:51.080 --> 01:45:52.080]   Is that right?
[01:45:52.080 --> 01:45:53.080]   No, no, Redneck Rampage.
[01:45:53.080 --> 01:45:54.080]   Whoa, sorry.
[01:45:54.080 --> 01:45:55.080]   Redneck Rampage.
[01:45:55.080 --> 01:45:58.400]   That was the game, not me.
[01:45:58.400 --> 01:45:59.400]   That's right.
[01:45:59.400 --> 01:46:05.640]   Redneck Rampage was essentially a first-person shooter with Rednecks.
[01:46:05.640 --> 01:46:08.800]   You ride around in a pickup truck and you-
[01:46:08.800 --> 01:46:10.200]   Do you recognize that?
[01:46:10.200 --> 01:46:12.000]   The minute that happened you went on.
[01:46:12.000 --> 01:46:14.240]   Yes, I know exactly what's going on.
[01:46:14.240 --> 01:46:15.240]   That's awesome.
[01:46:15.240 --> 01:46:18.800]   And you can fire explosive chickens.
[01:46:18.800 --> 01:46:19.800]   Oh, yes.
[01:46:19.800 --> 01:46:20.800]   Nice.
[01:46:20.800 --> 01:46:23.360]   It was a great game.
[01:46:23.360 --> 01:46:25.200]   Those were the days, kids.
[01:46:25.200 --> 01:46:30.040]   When men were men and games were creepy.
[01:46:30.040 --> 01:46:33.080]   Let's see.
[01:46:33.080 --> 01:46:34.680]   You were talking about Wi-Fi.
[01:46:34.680 --> 01:46:42.120]   Wi-Fi security Dwight was mentioning the new 802.11AX and that'll be coming out sometime
[01:46:42.120 --> 01:46:43.680]   next year you said Dwight?
[01:46:43.680 --> 01:46:48.760]   Well, late next year you'll probably see the earlier, the earliest routers.
[01:46:48.760 --> 01:46:55.720]   WPA3, which is the security protocol that was written about this week by the Verge,
[01:46:55.720 --> 01:47:01.000]   myself and others, will come sooner.
[01:47:01.000 --> 01:47:05.880]   On some devices that have powerful enough processors it may come as an upgrade, like
[01:47:05.880 --> 01:47:08.560]   for example, some of the best routers now.
[01:47:08.560 --> 01:47:15.520]   But WPA3 fixes a lot of really interesting issues, including one feature of it allows
[01:47:15.520 --> 01:47:22.240]   you if you are in a coffee shop, which of course now is a very insecure place with Wi-Fi.
[01:47:22.240 --> 01:47:27.880]   If you're in a coffee shop and you have a WPA3 device and the router uses WPA3, you
[01:47:27.880 --> 01:47:31.880]   can actually connect securely without a password.
[01:47:31.880 --> 01:47:32.880]   Oh, interesting.
[01:47:32.880 --> 01:47:34.800]   How do they do that?
[01:47:34.800 --> 01:47:35.800]   It's an open protocol.
[01:47:35.800 --> 01:47:38.080]   It sees WPA3.
[01:47:38.080 --> 01:47:44.160]   The open security protocol is turned on in it and the two devices do a handshake and connect
[01:47:44.160 --> 01:47:45.160]   securely.
[01:47:45.160 --> 01:47:48.600]   They agree on a password in the kind of share.
[01:47:48.600 --> 01:47:53.200]   So is the traffic then private to anybody else in the coffee shop?
[01:47:53.200 --> 01:47:58.520]   Yes, unless of course you can still be hit with a man in the middle attack where it looks
[01:47:58.520 --> 01:48:00.080]   like the coffee shop.
[01:48:00.080 --> 01:48:01.080]   Right.
[01:48:01.080 --> 01:48:02.360]   Nothing can prevent that.
[01:48:02.360 --> 01:48:06.800]   But once you connect to it, it's hard to jump in and sniff packets.
[01:48:06.800 --> 01:48:14.120]   Perfect forward secrecy as well, which means even if your keys are lost later, they can't
[01:48:14.120 --> 01:48:17.720]   go back and read older data, that's important.
[01:48:17.720 --> 01:48:18.720]   So that'll be good.
[01:48:18.720 --> 01:48:24.840]   WPA3 coming soon to some existing routers, but it will be required in AX routers, right?
[01:48:24.840 --> 01:48:29.400]   The chances are for most people who have a router in their home now, you're not really
[01:48:29.400 --> 01:48:32.200]   going to be able to have a software upgrade for that.
[01:48:32.200 --> 01:48:37.080]   It's the newer, higher-end ones with processors that can handle it that will.
[01:48:37.080 --> 01:48:44.280]   But you won't really see the full rollout of WPA3 until probably later next year.
[01:48:44.280 --> 01:48:49.680]   And at that point, a lot of people may go through their repurchase cycle for buying a
[01:48:49.680 --> 01:48:51.800]   new router, and that would be a time to do it.
[01:48:51.800 --> 01:48:57.440]   Or you could just wait till AX, which is another year and a half away from that.
[01:48:57.440 --> 01:49:05.160]   California's deadline for ballot propositions in the fall, in November, was June 28th this
[01:49:05.160 --> 01:49:06.160]   week.
[01:49:06.160 --> 01:49:09.360]   And a couple of things happened because of that deadline.
[01:49:09.360 --> 01:49:16.240]   One, a ballot measure to eliminate daylight saving time in California will make the ballot.
[01:49:16.240 --> 01:49:17.240]   Nice.
[01:49:17.240 --> 01:49:18.400]   That's got to be a yes, right?
[01:49:18.400 --> 01:49:19.680]   Who would vote against that?
[01:49:19.680 --> 01:49:21.240]   Who likes time changes?
[01:49:21.240 --> 01:49:22.240]   Farmers.
[01:49:22.240 --> 01:49:23.240]   Farmers don't even like it.
[01:49:23.240 --> 01:49:24.240]   I don't know.
[01:49:24.240 --> 01:49:26.400]   I've always heard it was the farmers fault that we had to begin with.
[01:49:26.400 --> 01:49:29.120]   Poor farmers are getting blamed for daylight saving time.
[01:49:29.120 --> 01:49:30.280]   There's no...
[01:49:30.280 --> 01:49:33.520]   It's a huge hassle in OS's.
[01:49:33.520 --> 01:49:38.480]   I remember when Microsoft had to do all the changes.
[01:49:38.480 --> 01:49:42.160]   And in terms of OS's, it sucks.
[01:49:42.160 --> 01:49:43.160]   Oh, yeah.
[01:49:43.160 --> 01:49:46.400]   When they changed the date, I remember both Microsoft and Apple both had to...
[01:49:46.400 --> 01:49:48.040]   It was like five or six years ago.
[01:49:48.040 --> 01:49:51.040]   I actually remember it was that South by because it happened during South by it happened a
[01:49:51.040 --> 01:49:54.040]   week earlier than usual, and there had to be emergency updates.
[01:49:54.040 --> 01:49:55.040]   Right.
[01:49:55.040 --> 01:49:59.040]   So Apple always screws up everyone's alarm.
[01:49:59.040 --> 01:50:02.880]   They disable alarms and people don't know when wakes up the next day.
[01:50:02.880 --> 01:50:07.640]   Well, not to mention the fact that the Monday after time changes, there are more accidents,
[01:50:07.640 --> 01:50:09.120]   more heart attacks.
[01:50:09.120 --> 01:50:10.320]   It's stressful.
[01:50:10.320 --> 01:50:14.200]   And it's particularly stressful when you spring forward because you lose an hour.
[01:50:14.200 --> 01:50:15.440]   So let's just...
[01:50:15.440 --> 01:50:16.440]   You can't legally...
[01:50:16.440 --> 01:50:17.440]   I think...
[01:50:17.440 --> 01:50:18.880]   No state can say we're not gonna...
[01:50:18.880 --> 01:50:22.200]   We're gonna stay in saving time because the...
[01:50:22.200 --> 01:50:24.680]   Your time zone is a national thing.
[01:50:24.680 --> 01:50:27.520]   And so Congress would have to say, "Oh, you're in a new time zone."
[01:50:27.520 --> 01:50:31.120]   So California will stay in daylight in standard time.
[01:50:31.120 --> 01:50:34.680]   It just won't spring forward, which is I think...
[01:50:34.680 --> 01:50:35.680]   Indiana...
[01:50:35.680 --> 01:50:37.480]   There's one state in daylight.
[01:50:37.480 --> 01:50:38.480]   Indiana doesn't.
[01:50:38.480 --> 01:50:40.120]   Arizona doesn't.
[01:50:40.120 --> 01:50:42.200]   I think Hawaii doesn't.
[01:50:42.200 --> 01:50:43.880]   There's a few states that don't do that.
[01:50:43.880 --> 01:50:46.560]   Yeah, Arizona doesn't because they don't want any more sunlight.
[01:50:46.560 --> 01:50:48.840]   They got enough as it is.
[01:50:48.840 --> 01:50:49.840]   That's right.
[01:50:49.840 --> 01:50:54.600]   The other thing that happened is that California state legislature actually did something because
[01:50:54.600 --> 01:50:59.920]   had they not done something, a real estate developer had gotten a ballot measure in November
[01:50:59.920 --> 01:51:03.840]   that was a very tough data privacy law.
[01:51:03.840 --> 01:51:05.600]   And the legislature...
[01:51:05.600 --> 01:51:11.760]   But he agreed with the legislature, if you passed this law before midnight June 28th,
[01:51:11.760 --> 01:51:13.240]   then I'll withdraw the ballot measure.
[01:51:13.240 --> 01:51:16.400]   They did with hours to spare.
[01:51:16.400 --> 01:51:17.700]   And he did.
[01:51:17.700 --> 01:51:19.280]   So we won't be able to vote on this in the fall.
[01:51:19.280 --> 01:51:23.320]   And I think that one of the reasons given that the legislature rushed on this is because
[01:51:23.320 --> 01:51:27.240]   it's much harder to change a ballot measure.
[01:51:27.240 --> 01:51:33.040]   With this state law, the legislature can weaken it whenever they want.
[01:51:33.040 --> 01:51:35.280]   It is a good law though, based on GDPR.
[01:51:35.280 --> 01:51:39.600]   It's a California Consumer Privacy Act of 2018.
[01:51:39.600 --> 01:51:43.840]   Companies that store large amounts of personal information, including Google and Facebook,
[01:51:43.840 --> 01:51:48.360]   will be just like with GDPR required to disclose the type of data they collect and allow you
[01:51:48.360 --> 01:51:52.440]   to opt out of having their data sold.
[01:51:52.440 --> 01:51:58.760]   So unless they water it down at some point in the future, it's not going to happen immediately
[01:51:58.760 --> 01:51:59.960]   to give companies time.
[01:51:59.960 --> 01:52:02.160]   Just like GDPR, the companies will have a couple of years.
[01:52:02.160 --> 01:52:06.440]   It won't be fully in effect until January 1st, 2020.
[01:52:06.440 --> 01:52:08.640]   How closely does it attract GDPR?
[01:52:08.640 --> 01:52:11.880]   Some of the features of GDPR?
[01:52:11.880 --> 01:52:12.880]   It's similar.
[01:52:12.880 --> 01:52:16.520]   I haven't seen it point by point comparison.
[01:52:16.520 --> 01:52:19.160]   Because a lot of companies are already there because of their...
[01:52:19.160 --> 01:52:20.160]   Exactly.
[01:52:20.160 --> 01:52:21.160]   Exactly.
[01:52:21.160 --> 01:52:22.560]   They're not there fully.
[01:52:22.560 --> 01:52:27.080]   Companies like AT&T and Amazon, what a surprise.
[01:52:27.080 --> 01:52:29.880]   Poured millions of dollars into opposition marketing.
[01:52:29.880 --> 01:52:30.880]   Shocking.
[01:52:30.880 --> 01:52:32.080]   What a shock.
[01:52:32.080 --> 01:52:33.520]   What a shock.
[01:52:33.520 --> 01:52:38.240]   However, the legislature decided, well, at least if we pass it, we can change it.
[01:52:38.240 --> 01:52:43.840]   If it wins in the polls in November, we're in deep due to.
[01:52:43.840 --> 01:52:46.360]   So watch with interest to see what's going on.
[01:52:46.360 --> 01:52:47.360]   So good news.
[01:52:47.360 --> 01:52:50.320]   And I suspect just like GDPR really changed everybody.
[01:52:50.320 --> 01:52:53.640]   If California has a bill like that, that means everybody operating in the US is going to
[01:52:53.640 --> 01:52:54.640]   have to adhere to this.
[01:52:54.640 --> 01:52:55.640]   So it's good to see.
[01:52:55.640 --> 01:52:56.640]   Yeah.
[01:52:56.640 --> 01:52:57.640]   It's going to make it much, much...
[01:52:57.640 --> 01:52:59.880]   Well, at the very least, what you'll see, because you have had a couple of instances
[01:52:59.880 --> 01:53:06.600]   of various sites that are refusing to serve content in Europe because of GDPR.
[01:53:06.600 --> 01:53:07.840]   And fine.
[01:53:07.840 --> 01:53:10.040]   But they're not going to be able to not serve California.
[01:53:10.040 --> 01:53:11.040]   Yes.
[01:53:11.040 --> 01:53:12.040]   Precisely.
[01:53:12.040 --> 01:53:13.040]   Yeah.
[01:53:13.040 --> 01:53:17.640]   Although I just saw a study that said a lot of companies are kind of...
[01:53:17.640 --> 01:53:21.520]   They're not really doing the opt-in stuff with GDPR because they're just going to wait
[01:53:21.520 --> 01:53:22.520]   and see.
[01:53:22.520 --> 01:53:23.960]   They're not...
[01:53:23.960 --> 01:53:27.880]   You're supposed to require people to agree if you're going to collect data about them.
[01:53:27.880 --> 01:53:30.280]   And then just going to wait and see.
[01:53:30.280 --> 01:53:31.280]   Let's see what happens.
[01:53:31.280 --> 01:53:34.600]   Let's see how aggressively this gets pursued by me.
[01:53:34.600 --> 01:53:38.520]   It's like these companies aren't realizing that the people in Europe are litigious about
[01:53:38.520 --> 01:53:39.520]   things like this.
[01:53:39.520 --> 01:53:40.520]   Yes.
[01:53:40.520 --> 01:53:43.400]   And don't mind going through the courts.
[01:53:43.400 --> 01:53:49.080]   I mean, that seems like a bad wager or like I guess thing to take.
[01:53:49.080 --> 01:53:52.040]   I wouldn't make that bet myself.
[01:53:52.040 --> 01:53:55.160]   Let's take a break and then I'm going to put Christina on the spot.
[01:53:55.160 --> 01:53:56.160]   All right.
[01:53:56.160 --> 01:53:57.000]   Stay tuned.
[01:53:57.000 --> 01:53:58.000]   Okay.
[01:53:58.000 --> 01:54:00.160]   But I'm already thinking about dinner.
[01:54:00.160 --> 01:54:01.720]   In fact, it's almost dinner time.
[01:54:01.720 --> 01:54:03.280]   I know you guys...
[01:54:03.280 --> 01:54:05.360]   It's probably his dinner time.
[01:54:05.360 --> 01:54:08.120]   And if I were in Austin in Houston right now, I'd be doing barbecue.
[01:54:08.120 --> 01:54:11.360]   But because I'm here in California, I'm going to be cooking some blue apron.
[01:54:11.360 --> 01:54:12.360]   I love my bro.
[01:54:12.360 --> 01:54:14.120]   I have three blue aprons waiting.
[01:54:14.120 --> 01:54:15.440]   I might do a seared steak.
[01:54:15.440 --> 01:54:18.000]   There's a chicken with tahini that looks awfully good.
[01:54:18.000 --> 01:54:19.120]   We subscribe to Blue Apron.
[01:54:19.120 --> 01:54:22.720]   We get our blue apron box on Wednesday and it's really fun.
[01:54:22.720 --> 01:54:27.320]   Everything you need to make three different meals, you choose the meals at a time.
[01:54:27.320 --> 01:54:28.320]   You go to the Blue Apron site.
[01:54:28.320 --> 01:54:31.400]   They've got a menu with dozens of new recipes every week.
[01:54:31.400 --> 01:54:34.360]   You could choose based on your subscription to three or four recipes.
[01:54:34.360 --> 01:54:38.720]   Of course, you can always say not this week if you're going to be out of town or something.
[01:54:38.720 --> 01:54:40.120]   But we get three usually.
[01:54:40.120 --> 01:54:41.120]   And I love it.
[01:54:41.120 --> 01:54:42.120]   I'm working home.
[01:54:42.120 --> 01:54:44.840]   I've been working hard, slaving over a hot twit.
[01:54:44.840 --> 01:54:45.840]   And now I get home and everything.
[01:54:45.840 --> 01:54:46.840]   I get all the stuff I need.
[01:54:46.840 --> 01:54:48.840]   I don't have to do any shopping meal planning.
[01:54:48.840 --> 01:54:51.680]   I could put together an amazing meal.
[01:54:51.680 --> 01:54:53.640]   And by the way, they're doing grill meals now too.
[01:54:53.640 --> 01:54:55.680]   So I'll probably fire up the grill.
[01:54:55.680 --> 01:54:58.920]   Maybe I'll do the honey chipotle glaze chicken with poblano and lime rice.
[01:54:58.920 --> 01:54:59.920]   Doesn't that sound good?
[01:54:59.920 --> 01:55:02.120]   Oh, it's great on the grill.
[01:55:02.120 --> 01:55:04.600]   You can add that smoky depth to your dinner.
[01:55:04.600 --> 01:55:06.360]   Enjoy the beautiful weather.
[01:55:06.360 --> 01:55:08.560]   Get those perfect grill marks.
[01:55:08.560 --> 01:55:11.320]   The great ingredients, you always get exactly what you need.
[01:55:11.320 --> 01:55:13.280]   No more, no less.
[01:55:13.280 --> 01:55:15.240]   So there's no waste.
[01:55:15.240 --> 01:55:17.280]   And it's fun to cook.
[01:55:17.280 --> 01:55:18.720]   And everything smells great.
[01:55:18.720 --> 01:55:20.840]   People get so excited.
[01:55:20.840 --> 01:55:24.120]   Here's a customer favorite sweet chili beef and vegetable stir fry.
[01:55:24.120 --> 01:55:27.760]   We do a lot of the blue eber and stir fryers because their vegetables are beautiful.
[01:55:27.760 --> 01:55:30.280]   I've never seen perfect, perfect.
[01:55:30.280 --> 01:55:32.880]   Chrissy Teigen, celebrity recipe.
[01:55:32.880 --> 01:55:38.360]   That's the chipotle lime chicken fajitas with sauteed mushrooms and sweet peppers.
[01:55:38.360 --> 01:55:43.120]   There's always vegetarian recipes too like barbecue vegetable flatbread with Swiss cheese.
[01:55:43.120 --> 01:55:44.280]   I don't think we have that one.
[01:55:44.280 --> 01:55:47.000]   I think we have, I think we have all meat this week.
[01:55:47.000 --> 01:55:52.920]   I'm, I can't wait to get home and fire up the grill and make a delicious blue apron.
[01:55:52.920 --> 01:55:53.920]   Here's the deal.
[01:55:53.920 --> 01:55:54.920]   Check out this week's menu.
[01:55:54.920 --> 01:55:57.040]   Go to blueapron.com/twit.
[01:55:57.040 --> 01:56:04.440]   You'll get your first three meals free and free shipping blueapron.com/twit.
[01:56:04.440 --> 01:56:08.200]   I'm loving my blue apron, the number one fresh ingredient recipe delivery service and the
[01:56:08.200 --> 01:56:09.200]   country.
[01:56:09.200 --> 01:56:10.880]   And we are so happy.
[01:56:10.880 --> 01:56:12.640]   We are so happy.
[01:56:12.640 --> 01:56:20.280]   Blueapron.com/twit, your first three meals free and free shipping blueapron.com/twit.
[01:56:20.280 --> 01:56:24.080]   So I know you don't know anything about Project Andromeda.
[01:56:24.080 --> 01:56:25.080]   Watch your carefully.
[01:56:25.080 --> 01:56:26.080]   See if you're eyeshipped.
[01:56:26.080 --> 01:56:27.080]   No, I know nothing.
[01:56:27.080 --> 01:56:31.080]   I know nothing but it sounds cool and I'm happy to hear you guys talk about it.
[01:56:31.080 --> 01:56:32.080]   Definitely sounds cool.
[01:56:32.080 --> 01:56:33.680]   No, they don't tell you.
[01:56:33.680 --> 01:56:37.680]   This is actually, we've been talking about this a lot on Windows Weekly for some time.
[01:56:37.680 --> 01:56:39.560]   It's a mysterious surface device.
[01:56:39.560 --> 01:56:42.600]   Microsoft's been working on for at least two years.
[01:56:42.600 --> 01:56:49.280]   It has now appeared at patents in operating system references multiple times, dual display
[01:56:49.280 --> 01:56:56.000]   design, and the Verge, Tom Warren, who's really good on this stuff, got an internal document
[01:56:56.000 --> 01:56:59.520]   that said it's going to be pocketable and even more interesting.
[01:56:59.520 --> 01:57:03.080]   When you open it up, the screen, flexible screen will stretch over the hinge.
[01:57:03.080 --> 01:57:07.720]   So it will be the size of a phone, but the screen will be the size of a tablet.
[01:57:07.720 --> 01:57:09.720]   Ten inch screen maybe.
[01:57:09.720 --> 01:57:12.440]   Take my money.
[01:57:12.440 --> 01:57:13.960]   I know.
[01:57:13.960 --> 01:57:17.400]   Microsoft, of course, has nothing to say about it.
[01:57:17.400 --> 01:57:20.880]   It's being worked on secretly.
[01:57:20.880 --> 01:57:21.880]   You never know.
[01:57:21.880 --> 01:57:28.480]   Remember the Surface Mini, which was actually manufactured in warehouses when Satya Nadella
[01:57:28.480 --> 01:57:30.440]   said, "And the career?"
[01:57:30.440 --> 01:57:32.080]   Yeah, I think the career.
[01:57:32.080 --> 01:57:33.080]   Yeah, the career.
[01:57:33.080 --> 01:57:34.080]   That was a concept.
[01:57:34.080 --> 01:57:36.400]   Yeah, the career looks like the career a little bit, right?
[01:57:36.400 --> 01:57:37.960]   Except smaller.
[01:57:37.960 --> 01:57:39.920]   Yeah.
[01:57:39.920 --> 01:57:41.280]   How big was the career?
[01:57:41.280 --> 01:57:44.840]   I think the career was like a note tab.
[01:57:44.840 --> 01:57:48.880]   It was like two iPad rows next to each other.
[01:57:48.880 --> 01:57:51.000]   That even would be interesting.
[01:57:51.000 --> 01:57:52.000]   I don't remember.
[01:57:52.000 --> 01:57:54.600]   Was the career going to have one LCD screen and one e-ink screen?
[01:57:54.600 --> 01:57:55.600]   I can't remember.
[01:57:55.600 --> 01:57:56.600]   They were two LCDs.
[01:57:56.600 --> 01:57:57.600]   And you would drag stuff around.
[01:57:57.600 --> 01:57:58.600]   Yeah.
[01:57:58.600 --> 01:58:01.000]   And you could write on it and have the handwriting recognition.
[01:58:01.000 --> 01:58:05.000]   It had a lot of the pinch-to-zoom stuff that you saw on the iPad.
[01:58:05.000 --> 01:58:08.960]   Because if I remember incorrectly, the career was before the iPad.
[01:58:08.960 --> 01:58:12.360]   But yeah, it was an amazing conversation.
[01:58:12.360 --> 01:58:13.360]   Just to know.
[01:58:13.360 --> 01:58:17.720]   I think you're just the age that probably about middle school you started using AOL Instant
[01:58:17.720 --> 01:58:18.720]   Messenger.
[01:58:18.720 --> 01:58:19.720]   Yes.
[01:58:19.720 --> 01:58:21.120]   I know it.
[01:58:21.120 --> 01:58:22.120]   You'll be glad to know.
[01:58:22.120 --> 01:58:23.120]   AIM is back.
[01:58:23.120 --> 01:58:26.200]   AOL shut down the service in December.
[01:58:26.200 --> 01:58:33.320]   But there's a new project called AIM Phoenix, which looks exactly like AIM.
[01:58:33.320 --> 01:58:36.760]   They didn't even update the UI because it's nostalgic, right?
[01:58:36.760 --> 01:58:37.760]   It's like software.
[01:58:37.760 --> 01:58:39.080]   It is the original software.
[01:58:39.080 --> 01:58:43.720]   Oh, so if you go and download it, what they've done is set up a server.
[01:58:43.720 --> 01:58:47.480]   And then you essentially repoint the client at their server.
[01:58:47.480 --> 01:58:49.360]   Oh, so it's like a new relay.
[01:58:49.360 --> 01:58:50.360]   That's smart.
[01:58:50.360 --> 01:58:51.360]   Right.
[01:58:51.360 --> 01:58:52.360]   If you go to--
[01:58:52.360 --> 01:58:53.360]   But there isn't a--
[01:58:53.360 --> 01:58:54.360]   Go ahead.
[01:58:54.360 --> 01:58:56.960]   They don't make a Mac version available at their site.
[01:58:56.960 --> 01:58:59.160]   You have to kind of go and find an old Mac version.
[01:58:59.160 --> 01:59:04.000]   But there are several Windows versions they have for download there in case you can't
[01:59:04.000 --> 01:59:05.000]   find one that works.
[01:59:05.000 --> 01:59:06.000]   That's so awesome.
[01:59:06.000 --> 01:59:09.240]   You have to use a new username or can you use your old username?
[01:59:09.240 --> 01:59:10.240]   Like, how does that work?
[01:59:10.240 --> 01:59:11.400]   You have to start over.
[01:59:11.400 --> 01:59:13.160]   So I've already claimed these Silverman.
[01:59:13.160 --> 01:59:14.160]   Oh, you did.
[01:59:14.160 --> 01:59:15.160]   Nice.
[01:59:15.160 --> 01:59:16.160]   Nice.
[01:59:16.160 --> 01:59:17.160]   What was your username?
[01:59:17.160 --> 01:59:18.160]   Wait a minute.
[01:59:18.160 --> 01:59:20.080]   Go get it and then tell us what your username was.
[01:59:20.080 --> 01:59:24.320]   No, I mean, they want to take TV freak.
[01:59:24.320 --> 01:59:25.320]   They can.
[01:59:25.320 --> 01:59:26.320]   That's fine.
[01:59:26.320 --> 01:59:27.320]   TV freak.
[01:59:27.320 --> 01:59:28.560]   Your film girl now.
[01:59:28.560 --> 01:59:29.560]   You've grown up.
[01:59:29.560 --> 01:59:30.560]   You're all grown up.
[01:59:30.560 --> 01:59:31.560]   TV freak.
[01:59:31.560 --> 01:59:32.960]   It was TV freak with a pH.
[01:59:32.960 --> 01:59:33.960]   Oh.
[01:59:33.960 --> 01:59:34.960]   Yeah.
[01:59:34.960 --> 01:59:42.200]   My daughter, who's a little younger than you, was got a base, not a life.
[01:59:42.200 --> 01:59:47.280]   She played the base for five minutes, but she was cool, right?
[01:59:47.280 --> 01:59:48.280]   Yeah.
[01:59:48.280 --> 01:59:50.840]   Dwight, did you read the privacy statement?
[01:59:50.840 --> 01:59:51.840]   Uh-oh.
[01:59:51.840 --> 01:59:55.000]   You don't ruin it for me, Wesley.
[01:59:55.000 --> 01:59:56.280]   All right.
[01:59:56.280 --> 01:59:57.280]   Let's see.
[01:59:57.280 --> 01:59:59.280]   What does the privacy statement say?
[01:59:59.280 --> 02:00:01.280]   Well, I don't know.
