
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[01:08:54.480 --> 01:08:56.480]   Do they know they're being recorded?
[01:08:56.480 --> 01:08:57.480]   Yes.
[01:08:57.480 --> 01:08:58.480]   They will be knowing -- go ahead.
[01:08:58.480 --> 01:08:59.480]   Yes, sir.
[01:08:59.480 --> 01:09:01.480]   Michael Bosos gets to you there.
[01:09:01.480 --> 01:09:02.480]   Bosos knows.
[01:09:02.480 --> 01:09:10.480]   John Leo, what method would you recommend is the easiest way to do the RSS encoding for
[01:09:10.480 --> 01:09:13.480]   a program to make a real podcast?
[01:09:13.480 --> 01:09:19.480]   Well, the easiest way is to do what Kevin, for instance, does with dignity, which is to have a blog.
[01:09:19.480 --> 01:09:20.480]   What do you use?
[01:09:20.480 --> 01:09:21.480]   Use WordPress?
[01:09:21.480 --> 01:09:23.480]   No, actually, we're doing it all in-house now.
[01:09:23.480 --> 01:09:25.480]   But we're using Feedburner.
[01:09:25.480 --> 01:09:26.480]   Well, that's what I was saying.
[01:09:26.480 --> 01:09:28.480]   You had a blog with its own RSS feed.
[01:09:28.480 --> 01:09:31.480]   And Feedburner, if you give it the RSS feed, will take whatever enclosures are in there.
[01:09:31.480 --> 01:09:33.480]   And turn it into a podcast.
[01:09:33.480 --> 01:09:35.480]   So initially, that's how you did it, right?
[01:09:35.480 --> 01:09:38.480]   Yeah, actually, Typehead just announced that they're now doing the enclosures by default.
[01:09:38.480 --> 01:09:39.480]   So they're supporting podcasts.
[01:09:39.480 --> 01:09:41.480]   So you don't -- then you could do it without Feedburner on top.
[01:09:41.480 --> 01:09:42.480]   WordPress does as well.
[01:09:42.480 --> 01:09:43.480]   WordPress too.
[01:09:43.480 --> 01:09:48.480]   Does the Feedburner have the extra code in there for iTunes?
[01:09:48.480 --> 01:09:52.480]   Yeah, it actually has a place where you can just browse if you have album artwork that you want to put in there.
[01:09:52.480 --> 01:09:56.480]   You just browse, select the file, and it'll automatically put that into the feed for you.
[01:09:56.480 --> 01:10:01.480]   I was very jealous initially because I was struggling with the iTunes stuff.
[01:10:01.480 --> 01:10:04.480]   And Kevin's feed immediately was iTunes compatible.
[01:10:04.480 --> 01:10:05.480]   I was pissed.
[01:10:05.480 --> 01:10:07.480]   But it turned out it's because he was using Feedburner.
[01:10:07.480 --> 01:10:11.480]   What we do now is we hand and refer to it.
[01:10:11.480 --> 01:10:18.480]   In fact, for all my podcasts, I hand encode the RSS using a great program called Feeder,
[01:10:18.480 --> 01:10:21.480]   which is a Macintosh-only program that makes it very, very easy.
[01:10:21.480 --> 01:10:28.480]   What I found is that in the early days of RSS and podcasting, people would just -- it was kind of very basic.
[01:10:28.480 --> 01:10:32.480]   The enclosure, the location of the enclosure, maybe some simple descriptive stuff.
[01:10:32.480 --> 01:10:34.480]   What we do now is we put the whole show notes in there.
[01:10:34.480 --> 01:10:37.480]   When you get the RSS feed, you don't just get the sound.
[01:10:37.480 --> 01:10:39.480]   You get all the show notes.
[01:10:39.480 --> 01:10:40.480]   You get a lot of extra stuff.
[01:10:40.480 --> 01:10:45.480]   And I can do that now because I'm using Feeder so I can put the show notes into the RSS feed.
[01:10:45.480 --> 01:10:48.480]   I think podcasts are going to want to do that.
[01:10:48.480 --> 01:10:52.480]   I think they're going to want to make the feed be more than "Here's the audio."
[01:10:52.480 --> 01:10:53.480]   That's what I'm using too.
[01:10:53.480 --> 01:10:54.480]   You like Feeder?
[01:10:54.480 --> 01:10:54.480]   Yeah.
[01:10:54.480 --> 01:10:55.480]   Yeah.
[01:10:55.480 --> 01:10:56.480]   Dynamite.
[01:10:56.480 --> 01:10:56.480]   Yeah.
[01:10:56.480 --> 01:10:57.480]   What's the name of the --
[01:10:57.480 --> 01:11:02.480]   The John Hammond Show, it's a podcast version of my cable TV show.
[01:11:02.480 --> 01:11:04.480]   I've been doing it for 22 years in New York City.
[01:11:04.480 --> 01:11:05.480]   Oh, that's great.
[01:11:05.480 --> 01:11:06.480]   Yeah.
[01:11:06.480 --> 01:11:07.480]   What's the show about?
[01:11:07.480 --> 01:11:10.480]   It's a music, travel, and soft news.
[01:11:10.480 --> 01:11:11.480]   That's great.
[01:11:11.480 --> 01:11:12.480]   I stay away from the hard news.
[01:11:12.480 --> 01:11:13.480]   I leave there for CNN.
[01:11:13.480 --> 01:11:15.480]   That's exactly what this TV is about.
[01:11:15.480 --> 01:11:18.480]   Music, travel, and soft news.
[01:11:18.480 --> 01:11:19.480]   Next question.
[01:11:19.480 --> 01:11:20.480]   I mentioned that at something --
[01:11:20.480 --> 01:11:22.480]   Is that John Hammond.com?
[01:11:22.480 --> 01:11:27.480]   By the way, I'm John with No Hm, the organ player, accordion player.
[01:11:27.480 --> 01:11:31.480]   Remember local 802 Musicians Union and local 6 in San Francisco?
[01:11:31.480 --> 01:11:33.480]   Jam after the show.
[01:11:33.480 --> 01:11:35.480]   You bring the key to it.
[01:11:35.480 --> 01:11:37.480]   It goes right on, dude.
[01:11:37.480 --> 01:11:39.480]   And what's the URL for it, John?
[01:11:39.480 --> 01:11:40.480]   Yeah.
[01:11:40.480 --> 01:11:44.480]   You go to -- it's on iTunes and you go to www.jos.com.
[01:11:44.480 --> 01:11:53.480]   You go to www.jonhammondband.com/files/xml.
[01:11:53.480 --> 01:11:54.480]   Got it.
[01:11:54.480 --> 01:11:55.480]   Something like that.
[01:11:55.480 --> 01:11:56.480]   Yeah.
[01:11:56.480 --> 01:11:58.480]   AJ, did you have something you wanted to add?
[01:11:58.480 --> 01:12:02.480]   Yeah, there's actually a really expensive way of getting a podcast on the internet using
[01:12:02.480 --> 01:12:06.480]   .Mac and a piece of software called -- it's by real Mac software.
[01:12:06.480 --> 01:12:08.480]   It's called RapidWeaver.
[01:12:08.480 --> 01:12:09.480]   Oh, cool.
[01:12:09.480 --> 01:12:11.480]   And it allows you to create a web page using cascading-style sheets.
[01:12:11.480 --> 01:12:15.480]   And you can actually upload your MP3 online and it will automatically create a podcast
[01:12:15.480 --> 01:12:17.480]   like XML feed for you, which is pretty cool.
[01:12:17.480 --> 01:12:18.480]   That's really great.
[01:12:18.480 --> 01:12:20.480]   The only problem, of course, is if you get very popular, Apple is going to pull the
[01:12:20.480 --> 01:12:21.480]   plug on your .Mac account.
[01:12:21.480 --> 01:12:22.480]   Yeah, well, maybe.
[01:12:22.480 --> 01:12:24.480]   But that would be a good thing, right?
[01:12:24.480 --> 01:12:25.480]   Yeah.
[01:12:25.480 --> 01:12:27.480]   And .Mac is cheap and weaver is real cheap, so.
[01:12:27.480 --> 01:12:28.480]   I love .Mac.
[01:12:28.480 --> 01:12:29.480]   I think that's a great value.
[01:12:29.480 --> 01:12:31.480]   More questions from the -- thank you, AJ.
[01:12:31.480 --> 01:12:32.480]   More questions from the audience.
[01:12:32.480 --> 01:12:33.480]   Yes, sir.
[01:12:33.480 --> 01:12:34.480]   Go ahead, Matt.
[01:12:34.480 --> 01:12:36.480]   You can get to him in the back.
[01:12:36.480 --> 01:12:37.480]   Hi, yeah.
[01:12:37.480 --> 01:12:40.480]   Yahoo just recently did a sale on their domain names for $1.99 a year.
[01:12:40.480 --> 01:12:41.480]   That isn't amazing.
[01:12:41.480 --> 01:12:44.480]   Why do you think they did this position?
[01:12:44.480 --> 01:12:49.480]   Because recently, lately, it's been $10 a year.
[01:12:49.480 --> 01:12:51.480]   So why do you think they did this $1.99?
[01:12:51.480 --> 01:12:57.480]   The actual cost, I think, of going to the ICAM with a domain name, I think, is $3.50.
[01:12:57.480 --> 01:12:59.480]   So they're selling it at a loss there.
[01:12:59.480 --> 01:13:03.480]   But I talked to the two cows guys and I think that they said it was around $3.50.
[01:13:03.480 --> 01:13:04.480]   I heard $4.
[01:13:04.480 --> 01:13:06.480]   $4 is in that ballpark.
[01:13:06.480 --> 01:13:07.480]   Don't think that.
[01:13:07.480 --> 01:13:08.480]   You pay more than $4.
[01:13:08.480 --> 01:13:09.480]   You're overpaying.
[01:13:09.480 --> 01:13:11.480]   But it's all about the renewal, though.
[01:13:11.480 --> 01:13:12.480]   Yeah, I mean, like --
[01:13:12.480 --> 01:13:15.480]   But no, the Yahoo thing is you've got a five-year thing for what?
[01:13:15.480 --> 01:13:16.480]   $8, $20?
[01:13:16.480 --> 01:13:17.480]   $10 for five years.
[01:13:17.480 --> 01:13:18.480]   I didn't see the five years.
[01:13:18.480 --> 01:13:19.480]   That's an amazing deal.
[01:13:19.480 --> 01:13:21.480]   I don't know why they're doing it because they want to --
[01:13:21.480 --> 01:13:22.480]   What?
[01:13:22.480 --> 01:13:23.480]   They want to sell you more services.
[01:13:23.480 --> 01:13:24.480]   Yeah.
[01:13:24.480 --> 01:13:26.480]   It's a loss leader who sell you more services.
[01:13:26.480 --> 01:13:27.480]   Yeah.
[01:13:27.480 --> 01:13:28.480]   That makes a lot of sense.
[01:13:28.480 --> 01:13:29.480]   Take advantage of it.
[01:13:29.480 --> 01:13:30.480]   Yeah, why not?
[01:13:30.480 --> 01:13:31.480]   Yeah.
[01:13:31.480 --> 01:13:32.480]   Yeah, do some squatting.
[01:13:32.480 --> 01:13:33.480]   Go ahead.
[01:13:33.480 --> 01:13:35.480]   Just run to somebody with their hand up, Matt.
[01:13:35.480 --> 01:13:36.480]   You can't go that far.
[01:13:36.480 --> 01:13:37.480]   Well, maybe you can.
[01:13:37.480 --> 01:13:38.480]   This will be really --
[01:13:38.480 --> 01:13:41.480]   Earlier, those of you listening at home don't know this, but earlier,
[01:13:41.480 --> 01:13:44.480]   I stepped on the power supply and unplugged everything.
[01:13:44.480 --> 01:13:46.480]   Maybe you did notice when they hear that giant --
[01:13:46.480 --> 01:13:48.480]   [Laughter]
[01:13:48.480 --> 01:13:50.480]   I can't wait to go home and listen to it.
[01:13:50.480 --> 01:13:52.480]   I don't know what it's going to sound like.
[01:13:52.480 --> 01:13:53.480]   It'll be in the video version.
[01:13:53.480 --> 01:13:54.480]   Yeah.
[01:13:54.480 --> 01:13:55.480]   We'll see you trip over.
[01:13:55.480 --> 01:13:57.480]   Yeah, the video version will have what happened.
[01:13:57.480 --> 01:13:58.480]   That'll be the highlight.
[01:13:58.480 --> 01:14:00.480]   The audio version won't because all you -- it went dead.
[01:14:00.480 --> 01:14:02.480]   [Laughter]
[01:14:02.480 --> 01:14:03.480]   Yes, sir.
[01:14:03.480 --> 01:14:04.480]   Hey, how you guys doing?
[01:14:04.480 --> 01:14:07.480]   I was wondering, where do you guys see PowerPC going in desktops
[01:14:07.480 --> 01:14:09.480]   after Apple drops the processor?
[01:14:09.480 --> 01:14:11.480]   Apple just ordered a bunch of new chips, didn't they?
[01:14:11.480 --> 01:14:13.480]   What is that all about?
[01:14:13.480 --> 01:14:14.480]   They actually conserved them.
[01:14:14.480 --> 01:14:16.480]   They reserved more PowerPCs.
[01:14:16.480 --> 01:14:18.480]   They don't have to sell them.
[01:14:18.480 --> 01:14:20.480]   I think it's dead.
[01:14:20.480 --> 01:14:22.480]   [Laughter]
[01:14:22.480 --> 01:14:23.480]   A little bit more open.
[01:14:23.480 --> 01:14:25.480]   Kevin, where is hacking with Ramsey at?
[01:14:25.480 --> 01:14:26.480]   When is he coming back?
[01:14:26.480 --> 01:14:28.480]   Ramsey actually, he lives here in San Francisco.
[01:14:28.480 --> 01:14:30.480]   He'll be doing another episode of The Broken with us here in the
[01:14:30.480 --> 01:14:31.480]   next couple months.
[01:14:31.480 --> 01:14:33.480]   The Broken is back and so is Ramsey.
[01:14:33.480 --> 01:14:34.480]   That's right.
[01:14:34.480 --> 01:14:35.480]   People love Ramsey.
[01:14:35.480 --> 01:14:38.480]   Do you see that massage or something like that?
[01:14:38.480 --> 01:14:39.480]   Yeah, he's from Jordan.
[01:14:39.480 --> 01:14:41.480]   He's an awesome little hacker guy.
[01:14:41.480 --> 01:14:43.480]   Awesome little hacker guy.
[01:14:43.480 --> 01:14:45.480]   He loves to hack.
[01:14:45.480 --> 01:14:47.480]   This thing on.
[01:14:47.480 --> 01:14:48.480]   Okay, good.
[01:14:48.480 --> 01:14:49.480]   Hi, my name is Chris White.
[01:14:49.480 --> 01:14:52.480]   I'm actually a Gen 2 developer, so thanks for mentioning that.
[01:14:52.480 --> 01:14:53.480]   Love Gen 2.
[01:14:53.480 --> 01:14:54.480]   Thank you.
[01:14:54.480 --> 01:14:55.480]   I love working on it.
[01:14:55.480 --> 01:14:57.480]   The question I wanted to ask you is you're mentioning patents
[01:14:57.480 --> 01:14:58.480]   and whatnot.
[01:14:58.480 --> 01:14:59.480]   Two comments on that.
[01:14:59.480 --> 01:15:01.480]   Number one, I found that there was a very interesting patent
[01:15:01.480 --> 01:15:03.480]   that was put out in the net about something that was put out
[01:15:03.480 --> 01:15:07.480]   in the net about someone who actually, they patented the
[01:15:07.480 --> 01:15:11.480]   Tarzan swing along with the Tarzan yell.
[01:15:11.480 --> 01:15:13.480]   So if I do that, I could get sued.
[01:15:13.480 --> 01:15:16.480]   I don't know how they enforce it, but I saw this online somewhere.
[01:15:16.480 --> 01:15:19.480]   The other comment I wanted to make too was what are you guys'
[01:15:19.480 --> 01:15:22.480]   opinions on the recent, I think Intel's, or the Microsoft
[01:15:22.480 --> 01:15:25.480]   developers conference somewhere, they were talking about
[01:15:25.480 --> 01:15:28.480]   digital rights management through the actual hardware itself.
[01:15:28.480 --> 01:15:32.480]   And then if you try to play, I guess if you're trying to play
[01:15:32.480 --> 01:15:35.480]   like an illegal file or something, it wouldn't let you do it.
[01:15:35.480 --> 01:15:36.480]   That's TPM, yeah.
[01:15:36.480 --> 01:15:38.480]   Which, in general, opinion on that.
[01:15:38.480 --> 01:15:39.480]   Sounds like a bad idea.
[01:15:39.480 --> 01:15:40.480]   Yeah.
[01:15:40.480 --> 01:15:43.480]   Well, and that was the whole Fuhrer over Apple putting TPM into
[01:15:43.480 --> 01:15:46.480]   the developer box, which we never confirmed that they were doing.
[01:15:46.480 --> 01:15:47.480]   And that kind of blew over.
[01:15:47.480 --> 01:15:48.480]   That blew Ray.
[01:15:48.480 --> 01:15:50.480]   You're looking at the same situation where with
[01:15:50.480 --> 01:15:52.480]   updateable cryptography.
[01:15:52.480 --> 01:15:54.480]   Well, they learned CSS was a flop.
[01:15:54.480 --> 01:15:57.480]   In addition to, if you put a disk in that's not authorized,
[01:15:57.480 --> 01:16:00.480]   they could just as easily disable entire player.
[01:16:00.480 --> 01:16:02.480]   So.
[01:16:02.480 --> 01:16:04.480]   You know, I'll tell you, I'll give you a really good example of
[01:16:04.480 --> 01:16:06.480]   where this reaches into your computer and it's a little too
[01:16:06.480 --> 01:16:07.480]   much.
[01:16:07.480 --> 01:16:08.480]   Electronic Arts.
[01:16:08.480 --> 01:16:12.480]   If you ever installed alcohol on 20% or clone CD, which are
[01:16:12.480 --> 01:16:15.480]   two programs that allow you to crack games, but also put
[01:16:15.480 --> 01:16:19.480]   drivers on your system so that you can mount CD images, right?
[01:16:19.480 --> 01:16:21.480]   And I do that all the time because I have a spindle-less
[01:16:21.480 --> 01:16:22.480]   laptop.
[01:16:22.480 --> 01:16:26.480]   So I'll copy a CD, put the image on there so I can mount it.
[01:16:26.480 --> 01:16:29.480]   If, I think it's Medal of Honor, a couple of electronic arts
[01:16:29.480 --> 01:16:33.480]   games, if Doom 3 see that driver on there, they refuse to let
[01:16:33.480 --> 01:16:34.480]   you play the game.
[01:16:34.480 --> 01:16:37.480]   They presume that you wouldn't have that on there unless you
[01:16:37.480 --> 01:16:39.480]   were a thief and about to steal their program.
[01:16:39.480 --> 01:16:41.480]   It's like having a cantina.
[01:16:41.480 --> 01:16:42.480]   Yeah.
[01:16:42.480 --> 01:16:43.480]   It's like having a cantina.
[01:16:43.480 --> 01:16:44.480]   I mean, I've ran into it.
[01:16:44.480 --> 01:16:45.480]   I'm appalled by that.
[01:16:45.480 --> 01:16:46.480]   Do you think you've seen that before?
[01:16:46.480 --> 01:16:47.480]   It's annoying as it can be.
[01:16:47.480 --> 01:16:48.480]   I think it's more than annoying.
[01:16:48.480 --> 01:16:50.480]   It's not their business when I'm running on my computer.
[01:16:50.480 --> 01:16:52.480]   And nine times out of ten, whenever you're patching a game,
[01:16:52.480 --> 01:16:54.480]   if it's a relatively small patch, you don't see really what
[01:16:54.480 --> 01:16:55.480]   the heck they did.
[01:16:55.480 --> 01:16:58.480]   Odds are, it's just an update for that copy protection scheme.
[01:16:58.480 --> 01:16:59.480]   To put it in.
[01:16:59.480 --> 01:17:01.480]   That's going to re-say, like there's a back and forth game
[01:17:01.480 --> 01:17:03.480]   between the people like all hundred and one percent.
[01:17:03.480 --> 01:17:04.480]   Because they crack it to make a work run.
[01:17:04.480 --> 01:17:06.480]   Get us off the black list and then they turn around and release
[01:17:06.480 --> 01:17:09.480]   a patch that updates the security on the disk that was shipped
[01:17:09.480 --> 01:17:11.480]   to go ahead and re-black list them.
[01:17:11.480 --> 01:17:13.480]   And you go back, I'm seeing it less on some of the new titles.
[01:17:13.480 --> 01:17:16.480]   Either that or they finally just given up on it.
[01:17:16.480 --> 01:17:19.480]   But for a good year there, every new game you had, especially the
[01:17:19.480 --> 01:17:22.480]   ones with, I want to say Star Force or it was one of the
[01:17:22.480 --> 01:17:23.480]   two major--
[01:17:23.480 --> 01:17:25.480]   I think it turns people into pirates.
[01:17:25.480 --> 01:17:26.480]   I told the guy--
[01:17:26.480 --> 01:17:27.480]   Yeah, I agree.
[01:17:27.480 --> 01:17:29.480]   This happened to, well sure, no problem.
[01:17:29.480 --> 01:17:33.480]   Just go get a crack and take that code out of yourself.
[01:17:33.480 --> 01:17:36.480]   It's turning, it's forcing legitimate users, Guy paid 80 bucks
[01:17:36.480 --> 01:17:39.480]   for these games, can't play them because he wants to install
[01:17:39.480 --> 01:17:42.480]   Clones CD uninstalled but the driver doesn't go away because
[01:17:42.480 --> 01:17:44.480]   they think, well, maybe you're still going to mount these
[01:17:44.480 --> 01:17:46.480]   disks and he can't play the game.
[01:17:46.480 --> 01:17:48.480]   And I said, well, here's how you get a crack.
[01:17:48.480 --> 01:17:49.480]   It's turning people into pirates.
[01:17:49.480 --> 01:17:51.480]   TPM will do the same thing.
[01:17:51.480 --> 01:17:53.480]   It's a bad.
[01:17:53.480 --> 01:17:54.480]   Can you elaborate?
[01:17:54.480 --> 01:17:56.480]   I just say, what can I say?
[01:17:56.480 --> 01:17:57.480]   It's a bad idea.
[01:17:57.480 --> 01:17:58.480]   It sucks.
[01:17:58.480 --> 01:17:59.480]   How's that?
[01:17:59.480 --> 01:18:00.480]   There you go, that's a lot.
[01:18:00.480 --> 01:18:02.480]   What were those DVDs that used to evaporate or what?
[01:18:02.480 --> 01:18:03.480]   DiPix, perfect.
[01:18:03.480 --> 01:18:04.480]   DiPix.
[01:18:04.480 --> 01:18:05.480]   The original do it.
[01:18:05.480 --> 01:18:07.480]   Some DVD should evaporate.
[01:18:07.480 --> 01:18:08.480]   Yeah.
[01:18:08.480 --> 01:18:12.480]   Let's get the gentleman in the UCSD t-shirt.
[01:18:12.480 --> 01:18:15.480]   I have a question for Kevin.
[01:18:15.480 --> 01:18:18.480]   Did G4 fire you or did you resign?
[01:18:18.480 --> 01:18:20.480]   No, I resigned.
[01:18:20.480 --> 01:18:24.480]   They actually, there was about, gosh, about 30 days there
[01:18:24.480 --> 01:18:26.480]   where I was trying to get on my contract.
[01:18:26.480 --> 01:18:29.480]   And I went into Peter Green who was in charge of programming
[01:18:29.480 --> 01:18:32.480]   there at G4 and sat down with him and said, I really want out.
[01:18:32.480 --> 01:18:34.480]   I want to do my own thing.
[01:18:34.480 --> 01:18:36.480]   And thankfully they released me.
[01:18:36.480 --> 01:18:39.480]   Otherwise, I wouldn't be able to do what we do with revision three
[01:18:39.480 --> 01:18:41.480]   because I signed a three-year deal with them.
[01:18:41.480 --> 01:18:43.480]   I'll vouch for that because he was so happy.
[01:18:43.480 --> 01:18:44.480]   Yeah, right.
[01:18:44.480 --> 01:18:45.480]   I remember what he told me.
[01:18:45.480 --> 01:18:47.480]   I was like, I don't know, man.
[01:18:47.480 --> 01:18:48.480]   G4 sucked.
[01:18:48.480 --> 01:18:50.480]   There was a point where...
[01:18:50.480 --> 01:18:55.480]   I don't know, that's going to go over big with the podcast.
[01:18:55.480 --> 01:18:56.480]   Yeah.
[01:18:56.480 --> 01:18:58.480]   I'm sure to keep that on the tape.
[01:18:58.480 --> 01:19:02.480]   Well, the only person here who would be hurt by that is me
[01:19:02.480 --> 01:19:05.480]   because I have a show on G4, but I don't care.
[01:19:05.480 --> 01:19:06.480]   I agree.
[01:19:06.480 --> 01:19:07.480]   Oh, well, you can take it out of it.
[01:19:07.480 --> 01:19:08.480]   You're going to take it out.
[01:19:08.480 --> 01:19:09.480]   What's that?
[01:19:09.480 --> 01:19:10.480]   Kevin's on call for help too.
[01:19:10.480 --> 01:19:13.480]   It's really weird because I'm back on G4 now because I'm on your show.
[01:19:13.480 --> 01:19:16.480]   But without a contract, Leo didn't make me a second.
[01:19:16.480 --> 01:19:21.480]   I'm thinking about it though.
[01:19:21.480 --> 01:19:22.480]   I'm thinking about it though.
[01:19:22.480 --> 01:19:24.480]   Five, six years.
[01:19:24.480 --> 01:19:26.480]   Lock them down.
[01:19:26.480 --> 01:19:27.480]   No, no.
[01:19:27.480 --> 01:19:31.480]   Yeah, tech TV lives on in a weird way, doesn't it?
[01:19:31.480 --> 01:19:32.480]   It just refuses to die.
[01:19:32.480 --> 01:19:35.480]   We're the living proof of that.
[01:19:35.480 --> 01:19:38.480]   But I think it lives on because, not because of us, but because
[01:19:38.480 --> 01:19:41.480]   the viewers wouldn't let it die, basically.
[01:19:41.480 --> 01:19:44.480]   I mean, it would be long gone if people didn't want it back.
[01:19:44.480 --> 01:19:48.480]   It had a bigger market than G4 gave it credit for.
[01:19:48.480 --> 01:19:50.480]   That's why I think that's why call for help is back on G4s.
[01:19:50.480 --> 01:19:54.480]   They're saying, hmm, even if it is in the 8 a.m. on the Pacific coast.
[01:19:54.480 --> 01:19:56.480]   Go ahead and just pick somebody else, Matt.
[01:19:56.480 --> 01:20:00.480]   Along those same lines, do any of you guys who aren't on any
[01:20:00.480 --> 01:20:02.480]   networks anymore, what do you miss about it?
[01:20:02.480 --> 01:20:05.480]   And the other thing, have you guys seen the Asteroids fossil
[01:20:05.480 --> 01:20:06.480]   watch thing as false?
[01:20:06.480 --> 01:20:07.480]   Oh, yeah.
[01:20:07.480 --> 01:20:08.480]   I have one of those.
[01:20:08.480 --> 01:20:10.480]   Does it actually play or does it just do Asteroids in the back?
[01:20:10.480 --> 01:20:11.480]   It plays itself.
[01:20:11.480 --> 01:20:12.480]   But you can't play it.
[01:20:12.480 --> 01:20:15.480]   No, I wish it could, but the watch would be as big as me if that
[01:20:15.480 --> 01:20:16.480]   were the case.
[01:20:16.480 --> 01:20:17.480]   I don't think so.
[01:20:17.480 --> 01:20:20.480]   You could probably make Asteroids in a size that small, but yeah.
[01:20:20.480 --> 01:20:21.480]   Bet you anything you could.
[01:20:21.480 --> 01:20:24.480]   I mean, there's an Asteroids widget for the dashboard widget.
[01:20:24.480 --> 01:20:26.480]   Is there a Palm Pilot Asteroids version?
[01:20:26.480 --> 01:20:27.480]   Oh, yeah, absolutely.
[01:20:27.480 --> 01:20:28.480]   Could be used in the Palm Pilot watch.
[01:20:28.480 --> 01:20:29.480]   There you go, see?
[01:20:29.480 --> 01:20:30.480]   There you go.
[01:20:30.480 --> 01:20:31.480]   You can play it on your Palm Pilot watch.
[01:20:31.480 --> 01:20:32.480]   All right, Lou.
[01:20:32.480 --> 01:20:33.480]   More questions?
[01:20:33.480 --> 01:20:34.480]   Anybody else?
[01:20:34.480 --> 01:20:36.480]   Actually, to answer that question, though, I know Leo and I
[01:20:36.480 --> 01:20:39.480]   miss, like, there's a pure, vibrant, nasty adrenaline rush.
[01:20:39.480 --> 01:20:40.480]   You get out of making live TV.
[01:20:40.480 --> 01:20:41.480]   That's why we're doing this part.
[01:20:41.480 --> 01:20:42.480]   Yeah.
[01:20:42.480 --> 01:20:43.480]   No, seriously.
[01:20:43.480 --> 01:20:45.480]   I mean, there's one thing for Patrick and me to sit sweating
[01:20:45.480 --> 01:20:47.480]   in my attic office with everybody else on Skype.
[01:20:47.480 --> 01:20:48.480]   That was all right.
[01:20:48.480 --> 01:20:50.480]   But this is so much better, don't you think?
[01:20:50.480 --> 01:20:51.480]   We like doing live TV.
[01:20:51.480 --> 01:20:53.480]   There was nothing like doing that.
[01:20:53.480 --> 01:20:56.480]   There's a tremendous group of people at Tech TV.
[01:20:56.480 --> 01:20:59.480]   More talent came in and out the door than probably anywhere else
[01:20:59.480 --> 01:21:00.480]   for level work.
[01:21:00.480 --> 01:21:01.480]   I miss that, too.
[01:21:01.480 --> 01:21:04.480]   One of the things I hope we will do with Twit in our live
[01:21:04.480 --> 01:21:07.480]   venues, we're just going to say to all of those old Tech TV people,
[01:21:07.480 --> 01:21:10.480]   you know, we're in Larkspur landing every Sunday afternoon.
[01:21:10.480 --> 01:21:14.480]   Come by, there's a place, a chair for you, a glass of bourbon.
[01:21:14.480 --> 01:21:15.480]   Have a seat.
[01:21:15.480 --> 01:21:17.480]   We'll get Bordeaux for John.
[01:21:17.480 --> 01:21:18.480]   Black coffee for you, Patrick.
[01:21:18.480 --> 01:21:19.480]   Appreciate it.
[01:21:19.480 --> 01:21:20.480]   White wine for Dave.
[01:21:20.480 --> 01:21:21.480]   Roger, what would you like?
[01:21:21.480 --> 01:21:22.480]   I like some Chardonnay.
[01:21:22.480 --> 01:21:24.480]   Chardonnay, okay.
[01:21:24.480 --> 01:21:27.480]   Any other questions or we're going to wrap this?
[01:21:27.480 --> 01:21:30.480]   Okay, I kind of have to work your way to the side here because
[01:21:30.480 --> 01:21:33.480]   Mac can only go so far with our microphones.
[01:21:33.480 --> 01:21:35.480]   So a couple of things I'm going to make some notes.
[01:21:35.480 --> 01:21:37.480]   I need longer mic cables.
[01:21:37.480 --> 01:21:38.480]   Wireless.
[01:21:38.480 --> 01:21:40.480]   Wireless for the audience.
[01:21:40.480 --> 01:21:41.480]   Good wireless.
[01:21:41.480 --> 01:21:42.480]   Okay.
[01:21:42.480 --> 01:21:46.480]   And I need a power supply I can't step on.
[01:21:46.480 --> 01:21:47.480]   Pizza tape around it.
[01:21:47.480 --> 01:21:50.480]   Yeah, if I would just sit down and I would be fine, I just can't sit down.
[01:21:50.480 --> 01:21:51.480]   Yeah, go ahead.
[01:21:51.480 --> 01:21:52.480]   Quick question.
[01:21:52.480 --> 01:21:56.480]   I just want to know is there going to be any element of estrogen on this?
[01:21:56.480 --> 01:21:57.480]   Yes.
[01:21:57.480 --> 01:22:01.480]   You know, we invite, we've had like Megan Moroni, who tried to get her on
[01:22:01.480 --> 01:22:03.480]   Gina Smith was supposed to be on this week.
[01:22:03.480 --> 01:22:05.480]   If the women had a little more.
[01:22:05.480 --> 01:22:06.480]   No, you know what the problem is?
[01:22:06.480 --> 01:22:08.480]   No, no, no, you know what the problem is?
[01:22:08.480 --> 01:22:09.480]   They all have babies.
[01:22:09.480 --> 01:22:12.480]   So Megan has twin boys and it's hard for her to get away, but she
[01:22:12.480 --> 01:22:15.480]   swears, she promises, she's dying to do it and and and Gina Smith
[01:22:15.480 --> 01:22:18.480]   was going to be here and her son, her two year old Eric, has the flu.
[01:22:18.480 --> 01:22:21.480]   So she couldn't make it today, but she will probably be on the next
[01:22:21.480 --> 01:22:22.480]   Twitcast.
[01:22:22.480 --> 01:22:26.480]   And I've invited Kate, Patelo many times.
[01:22:26.480 --> 01:22:27.480]   You haven't heard from her.
[01:22:27.480 --> 01:22:29.480]   She lives in New York and that's the problem.
[01:22:29.480 --> 01:22:30.480]   But absolutely.
[01:22:30.480 --> 01:22:32.480]   I mean, I don't want it to be a voice problem.
