
[00:00:00.000 --> 00:00:02.640]   (whistling)
[00:39:15.540 --> 00:39:17.580]   and Google didn't quite know at first it.
[00:39:17.580 --> 00:39:18.340]   It's the best of my knowledge.
[00:39:18.340 --> 00:39:19.340]   Whether or not it was true
[00:39:19.340 --> 00:39:21.540]   and this kid starts getting calls.
[00:39:21.540 --> 00:39:23.020]   - Yeah, that story came out.
[00:39:23.020 --> 00:39:23.860]   - It was awesome.
[00:39:23.860 --> 00:39:24.700]   - It was pretty funny.
[00:39:24.700 --> 00:39:25.860]   - We'll pay you three times as much.
[00:39:25.860 --> 00:39:28.420]   - That kid is a marketing genius.
[00:39:28.420 --> 00:39:31.220]   We should track him down and use him for something.
[00:39:31.220 --> 00:39:33.620]   - The Kinder website should have hired him.
[00:39:33.620 --> 00:39:34.940]   - No, he's too.
[00:39:34.940 --> 00:39:36.300]   - That's the thing, they solve all their problems.
[00:39:36.300 --> 00:39:37.340]   Yeah, whose local news,
[00:39:37.340 --> 00:39:40.260]   they list basically stories from the local newspapers.
[00:39:40.260 --> 00:39:43.140]   - Not much of a big deal.
[00:39:43.140 --> 00:39:46.100]   - No, it's kind of cool if you want like your area stuff.
[00:39:46.100 --> 00:39:47.580]   - I wanna know what happened on my show.
[00:39:47.580 --> 00:39:48.420]   - Of course you get to get to the end.
[00:39:48.420 --> 00:39:50.700]   - So you know, Google bought rightly,
[00:39:50.700 --> 00:39:52.380]   which is that online word processor
[00:39:52.380 --> 00:39:54.620]   we talked about on the show some weeks ago.
[00:39:54.620 --> 00:39:56.140]   And now it looks like their next target
[00:39:56.140 --> 00:39:57.540]   probably is gonna be an online spreadsheet
[00:39:57.540 --> 00:39:59.220]   and there's a couple out there already.
[00:39:59.220 --> 00:40:00.060]   - I'm trying to think,
[00:40:00.060 --> 00:40:02.580]   who are the people that did the Java based
[00:40:02.580 --> 00:40:05.980]   office suite that never come like the year?
[00:40:05.980 --> 00:40:07.220]   - Oh wow, that's pretty good.
[00:40:07.220 --> 00:40:08.060]   - It's pretty good.
[00:40:08.060 --> 00:40:09.260]   I know that, I don't know,
[00:40:09.260 --> 00:40:11.740]   I mean, I know that at one time,
[00:40:11.740 --> 00:40:12.580]   Corellic's right.
[00:40:12.580 --> 00:40:14.220]   - The Patrick's start typing seriously.
[00:40:14.220 --> 00:40:16.100]   - I don't have the internet, but the hell.
[00:40:16.100 --> 00:40:17.100]   (laughing)
[00:40:17.100 --> 00:40:19.180]   - Oh, you know it's too bad.
[00:40:19.180 --> 00:40:22.300]   (laughing)
[00:40:22.300 --> 00:40:23.580]   I thought you were set up.
[00:40:23.580 --> 00:40:25.700]   - And is anybody excited about the next generation
[00:40:25.700 --> 00:40:27.220]   office quite the beta?
[00:40:27.220 --> 00:40:30.260]   - You know what I think is,
[00:40:30.260 --> 00:40:31.980]   I think it's his machine that was interfering with it.
[00:40:31.980 --> 00:40:33.540]   He's got something wrong with his.
[00:40:33.540 --> 00:40:35.020]   - Well, I can connect to his via infrared
[00:40:35.020 --> 00:40:35.860]   and hacking into his head out.
[00:40:35.860 --> 00:40:37.180]   - This is just leaking, you know,
[00:40:37.180 --> 00:40:38.020]   good rating.
[00:40:38.020 --> 00:40:39.100]   - Still lowest, MP3's.
[00:40:39.100 --> 00:40:43.660]   I rose is the one that seems to be a fairly decent one.
[00:40:43.660 --> 00:40:45.500]   I rose.com.
[00:40:46.620 --> 00:40:48.380]   - I have an open review.
[00:40:48.380 --> 00:40:51.060]   - That's not Irish Rose Consulting, is it?
[00:40:51.060 --> 00:40:51.900]   - So do you have to be online
[00:40:51.900 --> 00:40:53.380]   to access your documents then?
[00:40:53.380 --> 00:40:55.380]   - Well, of course, I haven't played with this one,
[00:40:55.380 --> 00:40:57.460]   but it seems as though they have some sort of
[00:40:57.460 --> 00:40:59.380]   an offline thing you can do.
[00:40:59.380 --> 00:41:00.900]   - Do I get to download component?
[00:41:00.900 --> 00:41:03.420]   - Yes, it's not iros.com.
[00:41:03.420 --> 00:41:07.580]   - I-W-R-O-S, R-R-O-W-I-R-O-W-S.
[00:41:07.580 --> 00:41:09.140]   - I-R-O-S.
[00:41:09.140 --> 00:41:09.980]   - I-R-O-S.
[00:41:09.980 --> 00:41:10.820]   - I-R-O.
[00:41:10.820 --> 00:41:11.660]   - I-R-O.
[00:41:11.660 --> 00:41:13.740]   - Irish Rose Consulting is iros.com.
[00:41:13.740 --> 00:41:14.740]   - Who needs this to be?
[00:41:14.740 --> 00:41:16.860]   - Who needs this stuff, people that use dumb terminals?
[00:41:16.860 --> 00:41:18.180]   - No, it's not, it's iros.
[00:41:18.180 --> 00:41:19.620]   iros, data manning.
[00:41:19.620 --> 00:41:20.540]   - 'Cause I'm Rose Family.
[00:41:20.540 --> 00:41:21.820]   - I know, but when you said that originally,
[00:41:21.820 --> 00:41:23.860]   I thought you said rose R-O-S-E.
[00:41:23.860 --> 00:41:24.780]   - Oh, I see, yeah.
[00:41:24.780 --> 00:41:27.980]   - By any other name would smell just as sweet.
[00:41:27.980 --> 00:41:29.700]   - I like doing stuff online,
[00:41:29.700 --> 00:41:31.260]   but I mean, I'll just use OpenOffice
[00:41:31.260 --> 00:41:32.900]   and archive this stuff on an online drive
[00:41:32.900 --> 00:41:34.340]   if I want to access it somewhere else.
[00:41:34.340 --> 00:41:36.740]   Why use a spreadsheet online?
[00:41:36.740 --> 00:41:38.140]   - I think that's what people say.
[00:41:38.140 --> 00:41:39.620]   They say it's crazy.
[00:41:39.620 --> 00:41:42.380]   - Well, we start talking about online office.
[00:41:42.380 --> 00:41:44.380]   I mean, this gets back into this judge orders
[00:41:44.380 --> 00:41:45.980]   Gmail disclosure.
[00:41:45.980 --> 00:41:47.980]   So in a lawsuit brought by the federal trade
[00:41:47.980 --> 00:41:49.820]   admin, this is on CNET,
[00:41:49.820 --> 00:41:52.380]   by the FTC, a subpoena is sent to Google
[00:41:52.380 --> 00:41:54.700]   for the complete contents of a Gmail account,
[00:41:54.700 --> 00:41:57.580]   including deleted email messages.
[00:41:57.580 --> 00:42:00.660]   This is unrelated to the subpoena
[00:42:00.660 --> 00:42:01.940]   that Google had for the other stuff.
[00:42:01.940 --> 00:42:03.900]   So this is, we want your Gmail,
[00:42:03.900 --> 00:42:06.100]   even the, 'cause you don't know when,
[00:42:06.100 --> 00:42:07.780]   if I deleted it on my drive,
[00:42:07.780 --> 00:42:10.060]   I have some sense of when it was deleted.
[00:42:10.060 --> 00:42:12.420]   - Right, you deleted online,
[00:42:12.420 --> 00:42:14.020]   it may be sitting there for years.
[00:42:14.020 --> 00:42:15.620]   - Well, same thing applies to some of the
[00:42:15.620 --> 00:42:17.180]   spreadsheets online,
[00:42:17.180 --> 00:42:19.020]   this possibility exists that you can go
[00:42:19.020 --> 00:42:19.860]   through the application. - I mean,
[00:42:19.860 --> 00:42:21.140]   if you don't have full control over it,
[00:42:21.140 --> 00:42:22.540]   you can never be sure.
[00:42:22.540 --> 00:42:23.380]   - Yeah.
[00:42:23.380 --> 00:42:24.900]   - Yeah, but the thing is, I mean,
[00:42:24.900 --> 00:42:27.860]   even if you are, do have full control over it.
[00:42:27.860 --> 00:42:29.540]   How hard is it to, you know,
[00:42:29.540 --> 00:42:32.420]   the federal government comes in and hits your ISP
[00:42:32.420 --> 00:42:34.580]   with a subpoena or it hits you with a subpoena.
[00:42:34.580 --> 00:42:35.500]   - Same thing.
[00:42:35.500 --> 00:42:36.800]   - You know, you get a choice between a
[00:42:36.800 --> 00:42:39.340]   contempt of court for modifying the log files
[00:42:39.340 --> 00:42:44.160]   or disappearing underground across the border.
[00:42:44.160 --> 00:42:48.160]   - But the question is, for a lot of those ISPs,
[00:42:48.160 --> 00:42:49.960]   for a lot of those ISPs, I mean,
[00:42:49.960 --> 00:42:51.120]   we talked about this before,
[00:42:51.120 --> 00:42:53.780]   they delete most of that stuff, just storage.
[00:42:53.780 --> 00:42:55.360]   I mean, you know, just for storage reasons,
[00:42:55.360 --> 00:42:56.580]   they don't keep that stuff around,
[00:42:56.580 --> 00:42:58.080]   they don't keep your log files around.
[00:42:58.080 --> 00:42:59.380]   I mean, they keep them around for some period of time,
[00:42:59.380 --> 00:43:01.000]   but not, but very fairly short,
[00:43:01.000 --> 00:43:03.000]   because when you have thousands of subscribers,
[00:43:03.000 --> 00:43:04.520]   - It's a couple of months, right?
[00:43:04.520 --> 00:43:06.800]   I think what I heard was a couple of weeks,
[00:43:06.800 --> 00:43:08.240]   you know, and after that, it's gone,
[00:43:08.240 --> 00:43:09.600]   because they just don't have the time to,
[00:43:09.600 --> 00:43:10.440]   I mean, they don't have to store,
[00:43:10.440 --> 00:43:12.080]   they're not gonna expend storage on it.
[00:43:12.080 --> 00:43:13.160]   - Yeah, we should. - Yeah, it's the ability.
[00:43:13.160 --> 00:43:14.000]   - Yeah, exactly.
[00:43:14.000 --> 00:43:15.800]   Well, the only thing it would open them up to
[00:43:15.800 --> 00:43:17.360]   is having the government talk to them all the time.
[00:43:17.360 --> 00:43:18.840]   So why bother?
[00:43:18.840 --> 00:43:20.600]   - Yeah, he was like, he was forced to.
[00:43:20.600 --> 00:43:21.880]   - You know, the guy who did that,
[00:43:21.880 --> 00:43:24.400]   you know, the company.com guy,
[00:43:24.400 --> 00:43:28.880]   but he would just erase everything instantly.
[00:43:28.880 --> 00:43:32.080]   And, you know, there's all kinds of slander
[00:43:32.080 --> 00:43:33.200]   and libel on that site,
[00:43:33.200 --> 00:43:35.240]   and it's just like you couldn't track any of it.
[00:43:35.240 --> 00:43:37.680]   And he managed to keep that site up for a really long time.
[00:43:37.680 --> 00:43:40.240]   - There's the DoD wipe and the HUD wipe.
[00:43:40.240 --> 00:43:42.920]   - The HUD wipe was apparently pretty good, I guess, huh?
[00:43:42.920 --> 00:43:43.920]   (laughing)
[00:43:43.920 --> 00:43:47.240]   - But he did the, you know, it was a weird situation.
[00:43:47.240 --> 00:43:48.080]   - I wrote that.
[00:43:48.080 --> 00:43:51.600]   - But I think that that used to be very popular
[00:43:51.600 --> 00:43:52.720]   with the ZD TV phones, - Yes.
[00:43:52.720 --> 00:43:53.960]   - Because there was all kinds of,
[00:43:53.960 --> 00:43:55.560]   there was a bunch of creepy guys
[00:43:55.560 --> 00:43:57.680]   that apparently that worked at Tech TV,
[00:43:57.680 --> 00:43:59.520]   that were posting all kinds of weird stuff,
[00:43:59.520 --> 00:44:00.360]   and it was all on--
[00:44:00.360 --> 00:44:02.080]   - Also, we were all there when like,
[00:44:02.080 --> 00:44:05.600]   the .com boom kind of was nearing its end,
[00:44:05.600 --> 00:44:08.840]   and so like this company had stuff about
[00:44:08.840 --> 00:44:09.840]   all these dying--
[00:44:09.840 --> 00:44:11.920]   - Can I point out that every time you guys say that,
[00:44:11.920 --> 00:44:13.840]   that Alex has to go in and bleep that out.
[00:44:13.840 --> 00:44:15.280]   - Oh, shit, okay.
[00:44:15.280 --> 00:44:16.680]   - We've only said it twice,
[00:44:16.680 --> 00:44:18.280]   had 102 and 103.
[00:44:18.280 --> 00:44:19.120]   - You said it--
[00:44:19.120 --> 00:44:19.960]   - Oh, you said it.
[00:44:19.960 --> 00:44:20.800]   - I said three times.
[00:44:20.800 --> 00:44:21.640]   - Yes, by the way--
[00:44:21.640 --> 00:44:22.480]   - You also know.
[00:44:22.480 --> 00:44:23.800]   - FC now has personals.
[00:44:23.800 --> 00:44:25.120]   - FC.
[00:44:25.120 --> 00:44:25.960]   - It does?
[00:44:25.960 --> 00:44:27.480]   - Delete, expert of company.
[00:44:27.480 --> 00:44:28.480]   Has personal.
[00:44:28.480 --> 00:44:29.560]   - It does.
[00:44:29.560 --> 00:44:31.480]   - No, no, it doesn't have the same sort of--
[00:44:31.480 --> 00:44:32.320]   - The star's most--
[00:44:32.320 --> 00:44:34.320]   - The, don't know, don't wanna know.
[00:44:34.320 --> 00:44:35.600]   It's just noticed that they're on the page.
[00:44:35.600 --> 00:44:37.560]   - I'm poor and broke looking for someone else's
[00:44:37.560 --> 00:44:38.560]   poor and broke.
[00:44:38.560 --> 00:44:39.400]   (laughing)
[00:44:39.400 --> 00:44:41.120]   - I mean, I'm--
[00:44:41.120 --> 00:44:42.760]   - So we got anything else before we finished,
[00:44:42.760 --> 00:44:43.600]   we're almost done.
[00:44:43.600 --> 00:44:45.280]   - Before another digital.
[00:44:45.280 --> 00:44:46.120]   - Almost.
[00:44:46.120 --> 00:44:47.920]   (laughing)
[00:44:47.920 --> 00:44:49.280]   - As far as I'm concerned.
[00:44:49.280 --> 00:44:50.120]   (laughing)
[00:44:50.120 --> 00:44:51.560]   - Oh man, you might have been playing around
[00:44:51.560 --> 00:44:54.440]   with the live.com?
[00:44:54.440 --> 00:44:55.360]   - The Microsoft thing?
[00:44:55.360 --> 00:44:56.200]   - Yeah.
[00:44:56.200 --> 00:44:57.040]   - No, I haven't.
[00:44:57.040 --> 00:44:57.880]   I'm not gonna play.
[00:44:57.880 --> 00:44:59.720]   - It doesn't work on my back.
[00:44:59.720 --> 00:45:01.440]   - Actually it'll work on Firefox.
[00:45:01.440 --> 00:45:02.280]   - Oh, really?
[00:45:02.280 --> 00:45:03.640]   - It just doesn't work on,
[00:45:03.640 --> 00:45:05.080]   just doesn't work on Safari.
[00:45:05.080 --> 00:45:06.480]   - Oh, I gotta try it.
[00:45:06.480 --> 00:45:08.480]   - Safari's terrible.
[00:45:08.480 --> 00:45:10.360]   - Safari, yes, Safari has issues.
[00:45:10.360 --> 00:45:13.040]   The thing I thought was funny is Verizon and T-Mobile.
[00:45:13.040 --> 00:45:16.840]   JD Powers did a call quality survey.
[00:45:16.840 --> 00:45:19.600]   And Verizon and T-Mobile got the ratings
[00:45:19.600 --> 00:45:21.400]   for the clearest crawls across the country
[00:45:21.400 --> 00:45:23.720]   and Singular has trouble making connections
[00:45:23.720 --> 00:45:28.560]   off of a survey of roughly 24,000 wireless users.
[00:45:28.560 --> 00:45:30.040]   I thought that was pretty funny.
[00:45:30.040 --> 00:45:31.880]   Verizon had the best service in the mid-Atlantic
[00:45:31.880 --> 00:45:33.040]   in the Southeast.
[00:45:33.040 --> 00:45:35.040]   T-Mobile ranked highest in the Southwest in West
[00:45:35.040 --> 00:45:36.640]   and US Cellular did best in Illinois,
[00:45:36.640 --> 00:45:38.560]   Wisconsin, Ohio, Indiana, Michigan.
[00:45:38.560 --> 00:45:40.520]   - So it's got spotty in it.
[00:45:40.520 --> 00:45:42.080]   I mean, everyone that has Verizon around here
[00:45:42.080 --> 00:45:43.800]   complains bitterly about it.
[00:45:43.800 --> 00:45:45.120]   - Verizon just wouldn't,
[00:45:45.120 --> 00:45:46.560]   when we moved into our new house,
[00:45:46.560 --> 00:45:48.280]   Verizon just wouldn't work in our house
[00:45:48.280 --> 00:45:49.920]   in the surrounding three blocks.
[00:45:49.920 --> 00:45:52.120]   It was bizarre thing I've ever run into.
[00:45:52.120 --> 00:45:53.400]   So we ended up having to just dump it.
[00:45:53.400 --> 00:45:54.520]   - It is an horrible thing.
[00:45:54.520 --> 00:45:56.760]   - Well, no, I've been to Patrick's place.
[00:45:56.760 --> 00:45:58.320]   He's got aluminum foil up everywhere
[00:45:58.320 --> 00:46:00.600]   for some reason, where's a hat?
[00:46:00.600 --> 00:46:01.920]   - Even outside, no hat on.
[00:46:01.920 --> 00:46:03.160]   - It's a baseball cap,
[00:46:03.160 --> 00:46:04.600]   it's inside the baseball cap
[00:46:04.600 --> 00:46:05.920]   that he's stuffed to the aluminum foil.
[00:46:05.920 --> 00:46:07.480]   So it looks pretty normal.
[00:46:07.480 --> 00:46:10.760]   - Hey, man, don't diss the safety hat.
[00:46:10.760 --> 00:46:13.800]   - What I find it's funny is that the places
[00:46:13.800 --> 00:46:15.280]   that you would think would use it the most,
[00:46:15.280 --> 00:46:16.320]   I mean, with all of this stuff,
[00:46:16.320 --> 00:46:17.320]   you could fool San Francisco.
[00:46:17.320 --> 00:46:20.240]   No, I couldn't figure out what was wrong with my Bluetooth,
[00:46:20.240 --> 00:46:23.360]   you know, my little Bluetooth headset for my trio.
[00:46:23.360 --> 00:46:25.640]   And in San Francisco, you know, some walking around
[00:46:25.640 --> 00:46:27.160]   and it's always messed up and everything else.
[00:46:27.160 --> 00:46:29.440]   And of course, I go to Pennsylvania to visit my family.
[00:46:29.440 --> 00:46:30.640]   - And it works perfectly.
[00:46:30.640 --> 00:46:31.480]   - Clear as a bell.
[00:46:31.480 --> 00:46:33.720]   You know, it was just like all right now.
[00:46:33.720 --> 00:46:34.880]   - Well, what's interesting, right,
[00:46:34.880 --> 00:46:36.720]   is one of the things that Ben out from Sasha Sagan,
[00:46:36.720 --> 00:46:39.080]   he does all the cell phone interviews at PCMag,
[00:46:39.080 --> 00:46:41.440]   is one of the things, basically,
[00:46:41.440 --> 00:46:43.560]   if you look for the company that had,
[00:46:43.560 --> 00:46:48.400]   basically, each of the R-Box essentially got first hit
[00:46:48.400 --> 00:46:51.000]   on the lower frequency signals,
[00:46:51.000 --> 00:46:54.320]   which penetrate better, which have better signal.
[00:46:54.320 --> 00:46:56.480]   What do you call it when signals trap-
[00:46:56.480 --> 00:46:58.160]   - In relation to the walls better.
[00:46:58.160 --> 00:46:59.320]   - Propagation.
[00:46:59.320 --> 00:47:02.280]   And so basically, the R-Box got the good signal frequencies
[00:47:02.280 --> 00:47:04.880]   in every area and then everybody who came in later
[00:47:04.880 --> 00:47:07.040]   got the not so good, the higher frequencies.
[00:47:07.040 --> 00:47:10.000]   So whoever is, whoever, basically, you go to the area,
[00:47:10.000 --> 00:47:11.280]   you know, if you're in the south,
[00:47:11.280 --> 00:47:13.600]   you end up with whoever.
[00:47:13.600 --> 00:47:17.240]   - That's as good as those old analog cell phones.
[00:47:17.240 --> 00:47:19.440]   - Well, analogs things sounded great.
[00:47:19.440 --> 00:47:21.120]   - And they still sound great for a lot of people
[00:47:21.120 --> 00:47:23.600]   who live in the sticks, but in 2007,
[00:47:23.600 --> 00:47:25.640]   they're phasing out all the analog cell phones.
[00:47:25.640 --> 00:47:28.960]   - Yeah, well, they're not efficient.
[00:47:28.960 --> 00:47:30.000]   - Smoked signals.
[00:47:30.000 --> 00:47:33.160]   - Yeah, but it's like basically all the older vendors,
[00:47:33.160 --> 00:47:34.960]   I guess, would it be Verizon and New York
[00:47:34.960 --> 00:47:36.520]   was Verizon started by 9X?
[00:47:36.520 --> 00:47:38.520]   It all bleeds together after a while.
[00:47:38.520 --> 00:47:39.960]   - It's all slowly doing back together.
[00:47:39.960 --> 00:47:41.600]   - Yeah, it's all becoming AT&T again.
[00:47:41.600 --> 00:47:43.520]   - Yeah, I know, AT&T got broken up
[00:47:43.520 --> 00:47:45.360]   and now it's like bigger than all of this.
[00:47:45.360 --> 00:47:47.160]   - It's like, you know, it's like Terminator 3.
[00:47:47.160 --> 00:47:48.400]   - It just keeps coming back.
[00:47:48.400 --> 00:47:50.560]   - Whatever you do, it just keeps reforming.
[00:47:50.560 --> 00:47:52.080]   - Is that what Arnold Schwarzenegger's gonna do
[00:47:52.080 --> 00:47:55.480]   as soon as he loses the next start of the phone report?
[00:47:55.480 --> 00:47:57.920]   - It's gonna go back and do Terminator 4.
[00:47:57.920 --> 00:47:59.000]   - Might as well.
[00:47:59.000 --> 00:48:01.080]   - Why is it that a robot can make a prediction?
[00:48:01.080 --> 00:48:02.280]   - Did I just make a prediction, though?
[00:48:02.280 --> 00:48:03.960]   (laughing)
[00:48:03.960 --> 00:48:06.120]   - You wanna talk about his running for president in 2008?
[00:48:06.120 --> 00:48:07.120]   - He's not running for president.
[00:48:07.120 --> 00:48:08.960]   More likely that George will go for a third term.
[00:48:08.960 --> 00:48:11.080]   - No, it's gonna be Hillary Clinton versus somebody.
[00:48:11.080 --> 00:48:11.920]   - Alright, stop.
[00:48:11.920 --> 00:48:13.480]   - Just don't even go there.
[00:48:13.480 --> 00:48:14.960]   No politics.
[00:48:14.960 --> 00:48:16.880]   - I can tell you, I'll do one political thing.
[00:48:16.880 --> 00:48:19.600]   I'm gonna tell you right now, it's gonna be McCain
[00:48:19.600 --> 00:48:22.160]   and Giuliani, that's your ticket.
[00:48:22.160 --> 00:48:23.600]   - McCain. - Unbeatable.
[00:48:24.800 --> 00:48:26.840]   - The Democrats can't beat it, the Republicans can't beat,
[00:48:26.840 --> 00:48:28.240]   that's your ticket.
[00:48:28.240 --> 00:48:29.960]   - Yeah, but-- - You heard it here first.
[00:48:29.960 --> 00:48:31.400]   (laughing)
[00:48:31.400 --> 00:48:32.680]   - We all remember-- - I was not gonna go for it.
[00:48:32.680 --> 00:48:35.760]   - Sit there thinking like, "Hey, you're nasty."
[00:48:35.760 --> 00:48:36.760]   (laughing)
[00:48:36.760 --> 00:48:38.440]   - Oh, I don't know if people say it's too smart.
[00:48:38.440 --> 00:48:39.520]   - It's done deal, I'm not, it's just done.
[00:48:39.520 --> 00:48:41.000]   - It's too smart, it wouldn't work.
[00:48:41.000 --> 00:48:42.320]   - It's done deal, no, it's already done deal.
[00:48:42.320 --> 00:48:44.480]   That's where McCain-- - So make the next ticket,
[00:48:44.480 --> 00:48:46.360]   like that, no, do another mixed ticket.
[00:48:46.360 --> 00:48:47.600]   - Alright, alright, alright.
[00:48:47.600 --> 00:48:49.160]   Okay, let's get back to tech.
[00:48:49.160 --> 00:48:50.760]   We're almost done.
[00:48:50.760 --> 00:48:52.600]   - Politics and porn right up there.
[00:48:52.600 --> 00:48:53.440]   (laughing)
[00:48:53.440 --> 00:48:54.600]   - You wanna do it, you wanna finish?
[00:48:54.600 --> 00:48:56.600]   We could do it as, we got to do it as the--
[00:48:56.600 --> 00:48:58.680]   - Someone printed a bunch of porn euros
[00:48:58.680 --> 00:48:59.720]   and they were passing them off,
[00:48:59.720 --> 00:49:00.560]   and I guess half of these countries--
[00:49:00.560 --> 00:49:02.640]   - Yeah, that's the devorac blog has a picture of it.
[00:49:02.640 --> 00:49:03.600]   - Oh, it's-- - Go check it out,
[00:49:03.600 --> 00:49:05.280]   it's very funny. - I would, I have no internet.
[00:49:05.280 --> 00:49:07.600]   - Oh, some guy, yeah, apparently they've been passing
[00:49:07.600 --> 00:49:09.200]   these things off and people have been taking them
[00:49:09.200 --> 00:49:12.560]   as real money, so he made this porn look like a your own out.
[00:49:12.560 --> 00:49:13.960]   - Yeah, I'll show you, it's really funny,
[00:49:13.960 --> 00:49:15.360]   it's quite humorous actually.
[00:49:15.360 --> 00:49:16.520]   - Wow. - WWE,
[00:49:16.520 --> 00:49:17.920]   - But what's tech's mean, is funny?
[00:49:17.920 --> 00:49:20.240]   - Is it, is it, one of these vendors,
[00:49:20.240 --> 00:49:21.400]   one of these vendors sees this,
[00:49:21.400 --> 00:49:23.160]   they're like, I don't recognize this, oh, it's a new one
[00:49:23.160 --> 00:49:24.320]   that hasn't been distributed yet,
[00:49:24.320 --> 00:49:27.000]   and so the news magazine stand guys are okay.
[00:49:27.000 --> 00:49:28.120]   - Many kinds of-- - It's a 600
[00:49:28.120 --> 00:49:28.960]   - No, it's half, no, man. - So it gives out
[00:49:28.960 --> 00:49:31.160]   500 somewhat euros and change,
[00:49:31.160 --> 00:49:34.040]   which is probably about 600, 700 bucks.
[00:49:34.040 --> 00:49:35.680]   - Here's the 300 euro note,
[00:49:35.680 --> 00:49:37.680]   it's got a couple of scippers on, it's quite humorous.
[00:49:37.680 --> 00:49:39.520]   (laughing)
[00:49:39.520 --> 00:49:42.080]   - Wow, I can't attest to it, it is quite humorous.
[00:49:42.080 --> 00:49:43.640]   (laughing)
[00:49:43.640 --> 00:49:44.860]   Although it is kind of,
[00:49:44.860 --> 00:49:47.160]   - That's a good point, you know what?
[00:49:47.160 --> 00:49:49.120]   (laughing)
[00:49:49.120 --> 00:49:50.760]   - I'm shielding my eyes.
[00:49:50.760 --> 00:49:52.480]   - It belongs to the XXX domain.
[00:49:52.480 --> 00:49:55.720]   - Yeah, I think he'd say dot XXX on that.
[00:49:55.720 --> 00:49:58.080]   - So people, what, they don't look at it?
[00:49:58.080 --> 00:50:01.200]   I mean, yeah, oh no, it's colorful, it has a watermark.
[00:50:01.200 --> 00:50:02.560]   It looks like Monopoly money.
[00:50:02.560 --> 00:50:04.400]   - I don't know, I think they made a big one.
[00:50:04.400 --> 00:50:05.800]   - Actually Monopoly money looks like that,
[00:50:05.800 --> 00:50:07.360]   I would have played Monopoly a lot more.
[00:50:07.360 --> 00:50:08.880]   - The kicker gag is where they have,
[00:50:08.880 --> 00:50:12.320]   you know, the European Union thing with the circle of stars,
[00:50:12.320 --> 00:50:16.160]   it's the same stars, but they're in the form of a heart.
[00:50:16.160 --> 00:50:17.000]   - Yeah, oh.
[00:50:17.000 --> 00:50:17.840]   (laughing)
[00:50:17.840 --> 00:50:19.320]   - No, but it's also like, it's got a certain,
[00:50:19.320 --> 00:50:20.800]   like the Greek god of like,
[00:50:20.800 --> 00:50:22.640]   - Alex Linde, your pixel core,
[00:50:22.640 --> 00:50:23.800]   with an F versus something.
[00:50:23.800 --> 00:50:28.400]   - Your S.com, Roger Chang from www.dl.tv.
[00:50:28.400 --> 00:50:29.920]   David Prager from Room of DLTV.
[00:50:29.920 --> 00:50:30.760]   - From Room of DLTV.
[00:50:30.760 --> 00:50:31.600]   - From Room of DLTV.
[00:50:31.600 --> 00:50:32.440]   - From Room of DLTV.
[00:50:32.440 --> 00:50:33.280]   - From Room of DLTV.
[00:50:33.280 --> 00:50:34.120]   - From Room of DLTV.
[00:50:34.120 --> 00:50:34.960]   - From Room of DLTV.
[00:50:34.960 --> 00:50:35.800]   - From Room of DLTV.
[00:50:35.800 --> 00:50:36.640]   - From Room of DLTV.
[00:50:36.640 --> 00:50:37.480]   - From Room of DLTV.
[00:50:37.480 --> 00:50:38.320]   - From Room of DLTV.
[00:50:38.320 --> 00:50:39.160]   - From Room of DLTV.
[00:50:39.160 --> 00:50:40.000]   - From Room of DLTV.
[00:50:40.000 --> 00:50:40.840]   - From Room of DLTV.
[00:50:40.840 --> 00:50:41.680]   - From Room of DLTV.
[00:50:41.680 --> 00:50:42.520]   - From Room of DLTV.
[00:50:42.520 --> 00:50:43.360]   - From Room of DLTV.
[00:50:43.360 --> 00:50:48.360]   - From the Silver Legacy Hotel at Rumboleons.
[00:50:48.360 --> 00:50:49.760]   - The Silver Legacy Hotel.
[00:50:49.760 --> 00:50:50.760]   - The Silver Legacy Hotel.
[00:50:50.760 --> 00:50:52.120]   If you wanna go to,
[00:50:52.120 --> 00:50:53.120]   - Is there a room right?
[00:50:53.120 --> 00:50:55.920]   - Visit RenoTaho.com/Dignation.
[00:50:55.920 --> 00:50:56.760]   - What?
[00:50:56.760 --> 00:50:57.680]   - RenoTaho.com.
[00:50:57.680 --> 00:50:58.680]   - Slash Dignation.
[00:50:58.680 --> 00:51:00.680]   Visit RenoTaho.com/Dignation.
[00:51:00.680 --> 00:51:01.520]   Very last minute,
[00:51:01.520 --> 00:51:02.360]   'cause it's on the 23rd,
[00:51:02.360 --> 00:51:03.960]   but you can get a lift ticket
[00:51:03.960 --> 00:51:07.360]   and like a room for like 70 bucks.
[00:51:07.360 --> 00:51:09.000]   - You signing autographs?
[00:51:09.000 --> 00:51:11.640]   - Kevin and Alex are signing autographs, I'm not.
[00:51:11.640 --> 00:51:12.480]   - Yeah. - I don't think anyone wants
[00:51:12.480 --> 00:51:13.320]   any autographs.
[00:51:13.320 --> 00:51:14.560]   - So, you gotta bake your breakfast.
[00:51:14.560 --> 00:51:16.640]   - How much is the rate for the lift ticket in a room?
[00:51:16.640 --> 00:51:17.560]   That's so funny.
[00:51:17.560 --> 00:51:19.360]   - It's about 80 bucks, I think.
[00:51:19.360 --> 00:51:21.440]   - And it's February 23rd.
[00:51:21.440 --> 00:51:22.280]   - March 23rd.
