
[00:00:00.000 --> 00:00:07.000]   This is Twit, this week in Tech, episode 35 for December 18, 2005.
[00:59:22.000 --> 00:59:23.000]   Hey, I do that.
[00:59:23.000 --> 00:59:26.000]   You know, they came out with a new batch of those into about three or four years ago.
[00:59:26.000 --> 00:59:28.000]   Another big bunch of, I buy 100.
[00:59:28.000 --> 00:59:30.000]   I buy a couple hundred dollars with the two dollar bills and pass them out.
[00:59:30.000 --> 00:59:32.000]   I like to take them to farmers markets.
[00:59:32.000 --> 00:59:34.000]   You don't do it was does.
[00:59:34.000 --> 00:59:37.000]   The 2003 2004 series was the latest.
[00:59:37.000 --> 00:59:39.000]   I bought them also before that.
[00:59:39.000 --> 00:59:42.000]   Not back as far as when they used to print the serial number in red ink.
[00:59:42.000 --> 00:59:48.000]   What I do is I buy them in large sheets of 32 and get printed to cut them down to sheets of four each.
[00:59:48.000 --> 00:59:50.000]   Put them into pads of 50 sheets each.
[00:59:50.000 --> 00:59:56.000]   They look like pads of paper with cards of backing and then perforate them so you can tear them off like green stamps.
[00:59:56.000 --> 01:00:01.000]   And then they smell like funny money and they look like they have the same serial number on each bill when they come on a sheet.
[01:00:01.000 --> 01:00:07.000]   And I tell the stories in a way that I get myself a point if a person won't take them because they think they're counterfeit.
[01:00:07.000 --> 01:00:10.000]   And I lose a point if they accept them because they accept them.
[01:00:10.000 --> 01:00:14.000]   By the way, the ones that were printed with the red serial numbers were actually US notes.
[01:00:14.000 --> 01:00:16.000]   They were federal reserve bills.
[01:00:16.000 --> 01:00:17.000]   Yeah.
[01:00:17.000 --> 01:00:21.000]   And my favorite line with funny money too is these meet the specs of the US government.
[01:00:21.000 --> 01:00:23.000]   So by law they are legal tender.
[01:00:23.000 --> 01:00:25.000]   Why would you ever say such a thing?
[01:00:25.000 --> 01:00:27.000]   If they were everyone thinks they must be.
[01:00:27.000 --> 01:00:28.000]   How can you get away with that?
[01:00:28.000 --> 01:00:35.000]   You know, I talked to a guy that worked at the printing company or he works with the Federal Reserve.
[01:00:35.000 --> 01:00:37.000]   So I can't remember the exact top.
[01:00:37.000 --> 01:00:40.000]   But he said that you can buy what he liked to do as a gag.
[01:00:40.000 --> 01:00:42.000]   He'd buy a big sheet.
[01:00:42.000 --> 01:00:43.000]   That's how you do it.
[01:00:43.000 --> 01:00:44.000]   You can take them and cut ones.
[01:00:44.000 --> 01:00:47.000]   And he'd bring a pair of scissors with them and then they'd usually do a 20.
[01:00:47.000 --> 01:00:49.000]   He'd cut a bill out.
[01:00:49.000 --> 01:00:51.000]   I used to go round lost gatas.
[01:00:51.000 --> 01:00:53.000]   They only sold months and twos this way back then.
[01:00:53.000 --> 01:01:00.000]   And I would carry it and pull out a big sheet of twos and unfold it and cut out a weird shaped pattern that had the right number of twos.
[01:01:00.000 --> 01:01:02.000]   I did it many times.
[01:01:02.000 --> 01:01:08.000]   But now that then they added five dollar bills then tens and twenties and just recently just this month I think they added 50s.
[01:01:08.000 --> 01:01:09.000]   I like the pad idea though.
[01:01:09.000 --> 01:01:11.000]   I didn't know about the pad idea.
[01:01:11.000 --> 01:01:12.000]   I liked the pad idea too.
[01:01:12.000 --> 01:01:13.000]   That would be cool.
[01:01:13.000 --> 01:01:14.000]   That's very cool.
[01:01:14.000 --> 01:01:15.000]   I'll bring it to Mackerel and show you.
[01:01:15.000 --> 01:01:16.000]   Alright, bring your pad and we'll get it.
[01:01:16.000 --> 01:01:19.000]   I wonder what happens when you try to pass one of those through customs.
[01:01:19.000 --> 01:01:22.000]   They open up your baggage to a sector like this.
[01:01:22.000 --> 01:01:52.000]   Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey
[01:01:52.000 --> 01:01:54.000]   That was pre 911.
[01:01:54.000 --> 01:01:58.000]   Who would that security have you and jail in a minute?
[01:01:58.000 --> 01:02:00.000]   Also known as the secret police.
[01:02:00.000 --> 01:02:02.000]   No one pre 911.
[01:02:02.000 --> 01:02:07.000]   I also brought long six inch knives onto every plane ride I took.
[01:02:07.000 --> 01:02:08.000]   But they were ceramic knives.
[01:02:08.000 --> 01:02:10.000]   I got all the metal out of my pockets.
[01:02:10.000 --> 01:02:12.000]   Walked through the metal detector with a ceramic knife.
[01:02:12.000 --> 01:02:16.000]   And then I would talk about how their knife was dull and I hope the stake is tender.
[01:02:16.000 --> 01:02:18.000]   And then I pull mine out.
[01:02:18.000 --> 01:02:21.000]   And the passengers would get a little upset and the stewardesses would say,
[01:02:21.000 --> 01:02:24.000]   "Wow, plastic knives."
[01:02:24.000 --> 01:02:26.000]   Oh man.
[01:02:26.000 --> 01:02:28.000]   We've got to put these in a book.
[01:02:28.000 --> 01:02:29.000]   We better get them off.
[01:02:29.000 --> 01:02:30.000]   I'm not putting these in my book.
[01:02:30.000 --> 01:02:31.000]   I'm not putting these in my book.
[01:02:31.000 --> 01:02:32.000]   Everything's in my book.
[01:02:32.000 --> 01:02:33.000]   Everything's in the book.
[01:02:33.000 --> 01:02:34.000]   So look for the memoirs.
[01:02:34.000 --> 01:02:38.000]   And actually Gina, I'm hoping, I'm trying to get Gina to join us.
[01:02:38.000 --> 01:02:39.000]   She says she will every time.
[01:02:39.000 --> 01:02:40.000]   She's kind of...
[01:02:40.000 --> 01:02:41.000]   She never does.
[01:02:41.000 --> 01:02:42.000]   She hates us.
[01:02:42.000 --> 01:02:43.000]   She loves us.
[01:02:43.000 --> 01:02:44.000]   She's got a little kid.
[01:02:44.000 --> 01:02:45.000]   But she'll definitely come to Macworld Expo.
[01:02:45.000 --> 01:02:46.000]   I'm hoping we can get Gina too.
[01:02:46.000 --> 01:02:48.000]   This has been so much fun.
[01:02:48.000 --> 01:02:50.000]   Woz, you've got to make this a regular stop.
[01:02:50.000 --> 01:02:52.000]   Anytime you're available, we'd love to have you on Twitch.
[01:02:52.000 --> 01:02:56.000]   Well, this has been really fun.
[01:02:56.000 --> 01:02:58.000]   Love to be with all such a great crowd.
[01:02:58.000 --> 01:02:59.000]   It's so great.
[01:02:59.000 --> 01:03:02.000]   It's John C. Devorak at Devorak.org/blog.
[01:03:02.000 --> 01:03:03.000]   Always a pleasure.
[01:03:03.000 --> 01:03:05.000]   Kevin Rose, it's been nice to hear from you.
[01:03:05.000 --> 01:03:07.000]   Why don't we see you again?
[01:03:07.000 --> 01:03:09.000]   Next time you have a Twitter, I'm here.
[01:03:09.000 --> 01:03:10.000]   Are you?
[01:03:10.000 --> 01:03:11.000]   We're doing it.
[01:03:11.000 --> 01:03:14.000]   We're going to take Christmas week off because nobody should have to Twitter on Christmas.
[01:03:14.000 --> 01:03:16.000]   Kevin, the Internet is global.
[01:03:16.000 --> 01:03:20.000]   No matter what country you're in, you could be participating.
[01:03:20.000 --> 01:03:21.000]   I thought we were doing it live.
[01:03:21.000 --> 01:03:23.000]   I think the best of Twitter would be good for Christmas.
[01:03:23.000 --> 01:03:25.000]   I'll do a best of Twitter if I have the time.
[01:03:25.000 --> 01:03:27.000]   Unless you want to do it, John.
[01:03:27.000 --> 01:03:28.000]   You're welcome.
[01:03:28.000 --> 01:03:29.000]   I'll give you all the tapes.
[01:03:29.000 --> 01:03:30.000]   I can't hear you.
[01:03:30.000 --> 01:03:31.000]   I can't hear you.
[01:03:31.000 --> 01:03:32.000]   What happened?
[01:03:32.000 --> 01:03:33.000]   Hello.
[01:03:33.000 --> 01:03:34.000]   You lost it.
[01:03:34.000 --> 01:03:35.000]   You lost it.
[01:03:35.000 --> 01:03:36.000]   But December 30th, we're live.
[01:03:36.000 --> 01:03:38.000]   Kevin, if you can come, that'd be great.
[01:03:38.000 --> 01:03:39.000]   But do keep...
[01:03:39.000 --> 01:03:41.000]   I would like everybody to keep...
[01:03:41.000 --> 01:03:42.000]   What is that?
[01:03:42.000 --> 01:03:43.000]   January 10th?
[01:03:43.000 --> 01:03:49.000]   Which is Tuesday of Mackerel Expo open because we're going to do a special event at the Zeeam.
[01:03:49.000 --> 01:03:50.000]   Seating will be limited.
[01:03:50.000 --> 01:03:52.000]   We'll have a way of getting tickets to everybody who wants to come.
[01:03:52.000 --> 01:03:55.000]   I think we can seat about 200 people in the audience.
[01:03:55.000 --> 01:03:57.000]   But that's going to be a lot of fun.
[01:03:57.000 --> 01:04:01.000]   I have a feeling, I know, Woz can't say or won't say anything or doesn't know anything.
[01:04:01.000 --> 01:04:04.000]   But I have a feeling there's some big announcements there and I'm looking forward to talking about that.
[01:04:04.000 --> 01:04:07.000]   Chewing those over as we do in our Twit fashion.
[01:04:07.000 --> 01:04:08.000]   Steve Gibson, thanks.
[01:04:08.000 --> 01:04:11.000]   We'll see you next on Security Now on Thursday.
[01:04:11.000 --> 01:04:12.000]   Absolutely.
[01:04:12.000 --> 01:04:13.000]   We're actually...
[01:04:13.000 --> 01:04:14.000]   We're taping on Wednesday, right?
[01:04:14.000 --> 01:04:15.000]   Wednesday morning.
[01:04:15.000 --> 01:04:18.000]   Yeah, we're taping on Wednesday and we'll put it on Thursday because it gets close to the holidays.
[01:04:18.000 --> 01:04:20.000]   I have to go visit family and stuff.
[01:04:20.000 --> 01:04:24.000]   Anything you want to plug Woz besides the book?
[01:04:24.000 --> 01:04:27.000]   Oakley Razor wire Bluetooth is great.
[01:04:27.000 --> 01:04:34.000]   One of those and then I thought or once I bought another, you know it's fashion, so does fashion.
[01:04:34.000 --> 01:04:35.000]   Along with the Razor phone.
[01:04:35.000 --> 01:04:36.000]   Is you a snowboard?
[01:04:36.000 --> 01:04:40.000]   The Oakley store is right next to the Apple store in New York.
[01:04:40.000 --> 01:04:43.000]   And I got the first one back so I put one on the left or one on the right here.
[01:04:43.000 --> 01:04:46.000]   I carry two cell phones on me now and I can talk to two people at once.
[01:04:46.000 --> 01:04:51.000]   Or if I call one person and conferences the calls, I call them from both sides of my brain.
[01:04:51.000 --> 01:04:55.000]   My left brain can talk to my right ear and my right brain can talk to my left ear and it echoes and echoes and echoes.
[01:04:55.000 --> 01:04:57.000]   And it sounds like I'm a God.
[01:04:57.000 --> 01:05:06.000]   And on that note, I'd like to close out the proceedings thanks to AOL Radio for providing the bandwidth for this week.
[01:05:06.000 --> 01:05:11.000]   And if you can listen to us on the AOL Radio Podcast channel, AOLMusic.com.
[01:05:11.000 --> 01:05:13.000]   I'm Leo LaBourde, another Twit.
[01:05:13.000 --> 01:05:16.000]   Wow, is in the can.
[01:05:16.000 --> 01:05:26.000]   [Music]
[01:05:26.000 --> 01:05:48.000]   [Music]
[01:05:48.000 --> 01:06:03.000]   [Music]

