
[00:00:00.000 --> 00:00:07.600]   This is Twit this week in tech episode 9 recorded Sunday June 12th delivered Sunday June 19th
[01:07:23.400 --> 01:07:30.120]   That's it for twit this week in tech episode nine. Thanks for joining us this week another episode will emerge momentarily
[01:07:30.120 --> 01:07:33.560]   If you've got a question for twit leave voicemail on our skype address
[01:07:33.560 --> 01:07:41.960]   That's this week in tech or you can call our facts 206 339 twit or email away vermp3 to questions at this week in tech.com
[01:07:41.960 --> 01:07:48.600]   For more information about the topics we discussed today visit our website the show notes are available at this week in tech.com and while you're there
[01:07:49.320 --> 01:07:56.280]   You might want to press one of those donation buttons a small donation helps us keep this show free free of charge and free of commercials
[01:07:56.280 --> 01:08:00.600]   Thanks for joining us. I'm leo le port. We'll see you next time on this week in tech
[01:08:00.600 --> 01:08:02.600]   [Music]
[01:08:02.600 --> 01:08:04.600]   [Music]
[01:08:04.600 --> 01:08:06.600]   [Music]
[01:08:06.600 --> 01:08:08.600]   [Music]
[01:08:08.600 --> 01:08:30.600]   [Music]
[01:08:30.600 --> 01:08:36.600]   [Music]
[01:08:36.600 --> 01:08:40.600]   Yeah, all right. I have a free reign ladies and gentlemen
[01:08:40.600 --> 01:08:48.600]   All right, quick get the Microsoft off really? No, no, that's probably worth something. No, all right. No, actually I wish I
[01:08:48.600 --> 01:08:55.960]   Um, no, that's good. Thank you my friends. All right cool friends. Yeah. Thanks for setting up the box. Yeah, the lag is
[01:08:55.960 --> 01:09:03.960]   Thanks, Robert. Oh, hey, no problems. I think the lag is still a real problem. Is it? Yeah, um, so yeah, I think that's a team-speak issue, frankly
[01:09:03.960 --> 01:09:07.960]   Well, so, you know, we can either try using the standard telephone connection
[01:09:07.960 --> 01:09:12.200]   Or we can just start meeting in one place. Yeah, that would be a good way to do it
[01:09:12.200 --> 01:09:19.960]   Um, yeah, we could meet in the middle. We'll figure it out. Yeah, we'll figure it out. That's all? We'll figure it out. We'll figure it out. We'll figure it out.
[01:09:19.960 --> 01:09:25.960]   That's a ways off. Yeah, we're just like, all right. Thank you guys. See you later. All right, Jim's. Bye. Okay, guys, later.
[01:09:25.960 --> 01:09:27.960]   We'll talk to you soon. Bye.
[01:09:27.960 --> 01:09:35.960]   Somebody's breathing. Somebody. Oh, so much quieter. Now he's gone
[01:09:35.960 --> 01:09:41.960]   That's just that one. We'll talk to you later, brother. Toodaloo
[01:09:43.960 --> 01:09:51.960]   All right, time is 5.55 and I'm stopping the recording Sunday evening
[01:09:51.960 --> 01:09:54.700]   (dramatic music)
[01:09:54.700 --> 01:09:56.700]   [ ]

