;FFMETADATA1
title=Just Lean Forward
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=232
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.240]   It's time for Twig this week at Google. We will watch live Gina Trappani launch her new enterprise
[01:10:37.480 --> 01:10:41.000]   Would you like a connected toilet? Here's a story the mojo g
[01:10:41.000 --> 01:10:45.480]   Play edition is now out 179 bucks unlocked
[01:10:45.480 --> 01:10:48.360]   Google edition nice
[01:10:48.360 --> 01:10:52.360]   Yeah, nice. That's what a place highly recommended
[01:10:52.360 --> 01:10:57.960]   Oh, they're so little I mean I just need really little difference between the play edition and the right
[01:10:57.960 --> 01:11:01.080]   The version is unlocked and contract free
[01:11:01.080 --> 01:11:02.040]   I
[01:11:02.040 --> 01:11:07.640]   Would prefer to get that one because the moto assist stuff this the few little things mo to roll at the camera and the moto assist
[01:11:07.640 --> 01:11:11.880]   Puts on there are good. I would get them. Yeah. Yeah. Yeah, so
[01:11:11.880 --> 01:11:15.320]   Motorola just announced a few new things that you can you can
[01:11:15.320 --> 01:11:20.040]   Um respond to yes, I dictated my first text this morning
[01:11:20.040 --> 01:11:24.440]   That may be go over the edge on wishing I had the moto that was so awesome deal
[01:11:24.440 --> 01:11:27.080]   So it says
[01:11:27.080 --> 01:11:32.120]   The the moto x so this moto assist knows you're driving and by the way they improved it now
[01:11:32.120 --> 01:11:34.040]   So it uses bluetooth as well as gps
[01:11:34.040 --> 01:11:38.760]   So it really does know you're in the car and it tells you you are and it when a phone call comes in
[01:11:38.760 --> 01:11:44.600]   It will handle it as you tell it to including saying sending a text that saying I can't drive it
[01:11:44.600 --> 01:11:46.600]   I can't talk to you, which is great
[01:11:46.600 --> 01:11:51.720]   Um, if a text comes in it will offer to read it to you. Hello in this nice female voice
[01:11:51.720 --> 01:11:54.840]   You have a text from lisa would you like me to read it for you?
[01:11:54.840 --> 01:11:57.320]   And I said yes, and then it read the text
[01:11:57.320 --> 01:12:02.280]   Which was rather humorous in a robot voice and then it says would you like to respond?
[01:12:02.280 --> 01:12:03.720]   And I said yes
[01:12:03.720 --> 01:12:06.440]   And then went and I and I dictated as a response
[01:12:06.440 --> 01:12:09.160]   It said okay reads the response back
[01:12:09.160 --> 01:12:14.120]   Would you like me to send this I said yes and it worked it was great got it right got it right?
[01:12:14.120 --> 01:12:19.800]   Anything wrong? Well, I've gotten good with dictating to uh google now, you know, I mean I I know pretty much know how to do it
[01:12:19.800 --> 01:12:21.960]   So it's good
[01:12:21.960 --> 01:12:23.960]   Yeah, that's a handy feature
[01:12:24.280 --> 01:12:28.360]   I I think the motto, you know, I you know me I change phones every five minutes
[01:12:28.360 --> 01:12:31.960]   This is I've stayed with this one a few months. It's really good. I love the motto
[01:12:31.960 --> 01:12:35.160]   Well, and it seems like the x is really becoming sort of google's
[01:12:35.160 --> 01:12:42.200]   Maybe jina has thoughts about this, but it's becoming google's kind of test platform for new stuff things that can be sort of
[01:12:42.200 --> 01:12:46.520]   You know baked into the thing and and take advantage of all that
[01:12:46.520 --> 01:12:49.160]   Kind of google now stuff and the phone and whatnot
[01:12:49.160 --> 01:12:52.680]   So it's like the leading edge of what you'll see later in other products
[01:12:53.080 --> 01:12:55.080]   I don't know. Do you think it's crossing over?
[01:12:55.080 --> 01:13:01.080]   Like becoming the new nexus basically. Oh, I don't know. I don't I think we can be very careful to firewall mode or roll off. I don't know
[01:13:01.080 --> 01:13:03.560]   Yeah
[01:13:03.560 --> 01:13:07.560]   Yeah, so how so how is that different? How's that voice? How's it different than voice actions?
[01:13:07.560 --> 01:13:10.600]   Doesn't android have built in like a way to respond?
[01:13:10.600 --> 01:13:13.800]   It sounds like it sounds a little better than voice actions
[01:13:13.800 --> 01:13:19.160]   Yes, the answering that being smart about the fact that you're driving and answering and asking yeah
[01:13:19.160 --> 01:13:21.400]   Yeah, it seems like it just took it took it an extra
[01:13:21.400 --> 01:13:24.600]   It doesn't do it if I'm just sitting here. It only does it when I'm driving for instance, right?
[01:13:24.600 --> 01:13:27.560]   That's really smart. Yeah, that is really smart when I'm in a meeting
[01:13:27.560 --> 01:13:32.120]   We've tried to we talked about this before when I'm in a meeting it says it'll send out a text unless it's a favorite
[01:13:32.120 --> 01:13:35.960]   There's a lot of I think that these are a little Motorola things. Maybe they are
[01:13:35.960 --> 01:13:39.800]   Trials kind of yeah, maybe they're trialing things. They're using Motorola's a test bed
[01:13:39.800 --> 01:13:42.360]   That's actually not a bad at the google experience launcher was
[01:13:42.360 --> 01:13:44.840]   Was that modo x?
[01:13:44.840 --> 01:13:47.800]   Only it was right think so. Oh
[01:13:49.080 --> 01:13:51.560]   Yeah, so two so we got a trend
[01:13:51.560 --> 01:13:56.360]   Two makes a trend because they have been taking great pains at first
[01:13:56.360 --> 01:13:59.880]   To not scare off the oem's like samson htc
[01:13:59.880 --> 01:14:04.840]   LG right by saying no, they're not getting any special treatment look they didn't get kick cat
[01:14:04.840 --> 01:14:08.760]   Maybe that's not so much
[01:14:08.760 --> 01:14:13.720]   Moto had the hat with the I love the hat too, right? Yeah
[01:14:13.720 --> 01:14:16.680]   I love that
[01:14:18.040 --> 01:14:20.040]   I'm telling you jeff you blew it
[01:14:20.040 --> 01:14:28.440]   I'm like on my phone. I would have felt I would have felt a little bad paying 600 dollars for where I can get it for 340
[01:14:28.440 --> 01:14:31.320]   Well, that's true. I think that that was a little bit of a rip off
[01:14:31.320 --> 01:14:35.880]   Even you know even at the time we thought this shouldn't be this expensive. Yeah
[01:14:35.880 --> 01:14:40.200]   Uh, so how do you how's your nexus seven working on Verizon now?
[01:14:45.320 --> 01:14:50.360]   You know, I should have been keeping going more letters in the new year to the FCC. I just got so tired of it
[01:14:50.360 --> 01:14:54.200]   Uh, so it's it's working on t-mobile. Thank you very much
[01:14:54.200 --> 01:14:59.960]   And I had a slight problem and tweeted and somebody said well you should go to the president indeed the ceo of t-mobile
[01:14:59.960 --> 01:15:06.120]   Responding to me and I solved my slight problem like that. So t-mobile hats off
[01:15:06.120 --> 01:15:10.760]   The rumor there's a rumor that
[01:15:10.760 --> 01:15:14.360]   From what's his name? What's their name? Um that that
[01:15:15.320 --> 01:15:17.400]   Verizon is finally going to add the nexus seven
[01:15:17.400 --> 01:15:25.000]   Without branding to its sales lineup, but that's just a rumor don't know anything yet. We don't traffic in rumors here at twig
[01:15:25.000 --> 01:15:29.160]   No, sorry, let me call them the Jarvis option
[01:15:29.160 --> 01:15:33.480]   So um yeah
[01:15:33.480 --> 01:15:38.600]   Yeah, I don't have it on I still have it on t-mobile and it's working fine and i'm thinking now
[01:15:38.600 --> 01:15:43.880]   I'm going to use my nexus seven as my hot spot and get rid of my fries and
[01:15:44.360 --> 01:15:49.240]   Um my fine. Does it make sense is t-mobile as good as verizon where you are
[01:15:49.240 --> 01:15:55.400]   Uh, no where I live. Verizon's a little bit better, but you know unless we have sand the super storm standy
[01:15:55.400 --> 01:15:57.480]   I should be out sandy sandy. We should be okay
[01:15:57.480 --> 01:16:02.120]   Uh, it's in new york verizon is awful t-mobiles better
[01:16:02.120 --> 01:16:04.680]   T-mobile is great. I got it here. Yeah
[01:16:04.680 --> 01:16:07.800]   Yeah, it's it's great for me in Manhattan and Brooklyn
[01:16:07.800 --> 01:16:13.400]   And here's the here's the real question. So I thought I went out and I bought I don't think I can return them now
[01:16:13.400 --> 01:16:14.600]   I bought you know
[01:16:14.600 --> 01:16:18.520]   $60 worth of refill cards and the sim for my old phone
[01:16:18.520 --> 01:16:25.800]   So when I go to europe I can take advantage of that wonderful new no-roaming charge thing. Well first mistake wrong size sim idiot
[01:16:25.800 --> 01:16:30.680]   Second mistake while the nice lady who called me from t-mobile. I said by the way while I got you
[01:16:30.680 --> 01:16:36.360]   How does this thing work with the foreign the the no-roaming charges only works if you have a post build
[01:16:36.360 --> 01:16:39.000]   regular account
[01:16:39.480 --> 01:16:43.960]   And so a prepay doesn't work for that. So I did all this stuff for prepay
[01:16:43.960 --> 01:16:47.960]   And the reason to do that was because anyway, it's my fault. I should have looked into it
[01:16:47.960 --> 01:16:49.640]   um
[01:16:49.640 --> 01:16:54.040]   But yeah, I'm keep on questioning. Do I go ahead and make the shift and the only real difference is that
[01:16:54.040 --> 01:17:02.360]   To use we only have one landline now and home, which is for old farts. We still have one and uh, yeah, we still got one
[01:17:02.360 --> 01:17:04.680]   Uh, it's like a core thing everything
[01:17:04.680 --> 01:17:07.080]   Yeah
[01:17:07.640 --> 01:17:15.480]   Whoa, well, you know, oh now that we have a whole house generator installed. We may not be very fancy
[01:17:15.480 --> 01:17:20.680]   That's why we have it because we're emergency. Yes. Same reason. Yep. How are we now? No phone
[01:17:20.680 --> 01:17:23.480]   You know, well no phone for after after
[01:17:23.480 --> 01:17:29.320]   90 minutes or something the bat that we have our firehouse has a battery to keep the phone alive for a while but that's that
[01:17:29.320 --> 01:17:32.040]   um, so anyway
[01:17:32.040 --> 01:17:35.640]   Um trying to use t-mobile out and i'm in the boonies
[01:17:35.640 --> 01:17:40.040]   I you know, i'm wearing the boonies so until they get up here. I may not but at some point just for the case of
[01:17:40.040 --> 01:17:42.680]   Of ethics. I should switch to t-mobile
[01:17:42.680 --> 01:17:47.320]   Uh, I like t-mobile I have to say but uh
[01:17:47.320 --> 01:17:51.080]   It really is specific to your region obviously
[01:17:51.080 --> 01:17:55.240]   Yeah, all right. We're gonna lose jina. So let us get from jina tripani
[01:17:55.240 --> 01:17:58.040]   Uh oh a tip
[01:17:58.040 --> 01:18:00.440]   She doesn't have one because she knew she'd be off by that
[01:18:00.440 --> 01:18:04.360]   I don't know how to sign up for think up because i'm busy
[01:18:04.920 --> 01:18:06.920]   That's my tip. That's my tip. I'm a for think up
[01:18:06.920 --> 01:18:13.160]   I uh, i'm gonna go launch this uh this app. Thank you for letting me talk to you guys about it and show it to you
[01:18:13.160 --> 01:18:16.120]   Early and i'm sorry i gotta take off early, but i'll be back next week
[01:18:16.120 --> 01:18:22.360]   We love you jina and even if it's just for five minutes, it's worth it. So thank you and congratulations
[01:18:22.360 --> 01:18:26.200]   Nice
[01:18:26.200 --> 01:18:28.680]   Right start up pretty baby
[01:18:28.680 --> 01:18:31.560]   Take care. Bye. Bye
[01:18:32.120 --> 01:18:34.120]   How about you jeff you got a number
[01:18:34.120 --> 01:18:40.600]   Yeah, I do I do I do let me come up here right here. So, uh, let's do this one. Um, there was a story of business insider
[01:18:40.600 --> 01:18:47.560]   Five days ago that a google dev a start-up tried to hire a google developer and the developer allegedly blew off a
[01:18:47.560 --> 01:18:52.200]   $500,000 salary because he's already making three million dollars at google
[01:18:52.200 --> 01:18:59.400]   So there's that and then and then it world came along and and asked man or myth
[01:19:00.520 --> 01:19:02.840]   uh based on this 500 thousand
[01:19:02.840 --> 01:19:07.720]   3 million number and then and went to um class door
[01:19:07.720 --> 01:19:11.320]   And looked up the numbers for compensation self-reported compensation
[01:19:11.320 --> 01:19:15.720]   So just self-reported you figure in the guy who makes three million dollars and go in a class door and put it in there
[01:19:15.720 --> 01:19:21.560]   He's not pissed. He doesn't want anybody to know. Yeah, you guys are slow, but uh average total compensation
[01:19:21.560 --> 01:19:28.760]   From google software engineers is 144,000 dollars ranging from 78k to 550k
[01:19:29.560 --> 01:19:37.000]   Uh plus cash bonus that's total compensation average stock bonus ranges from 125 to 200k
[01:19:37.000 --> 01:19:43.720]   That's that's more what I'd expect frankly. Yes senior software engineers average 210
[01:19:43.720 --> 01:19:46.120]   A range from 80 to 630
[01:19:46.120 --> 01:19:49.960]   Uh, all right 630 k all right
[01:19:49.960 --> 01:19:55.560]   So that's still a lot. So you know is it could could there be a couple three million dollar people at at google?
[01:19:55.880 --> 01:20:01.480]   Yeah, it's I think it's possible. I think you get to the three million by being poached and by saying to your supervisor
[01:20:01.480 --> 01:20:04.840]   Facebook wants me. Okay. What was it gonna take to keep you?
[01:20:04.840 --> 01:20:09.960]   Yeah, and then they give you three million. They're gonna say you never kind of have that conversation again because nobody's giving you that
[01:20:09.960 --> 01:20:13.720]   Right, right and you have to be pretty darn good, right?
[01:20:13.720 --> 01:20:17.000]   But we've heard we've heard of that happening
[01:20:17.000 --> 01:20:20.520]   Yeah, uh, that's that's not unusual. Yeah
[01:20:20.520 --> 01:20:23.560]   Three million
[01:20:23.560 --> 01:20:27.240]   No, but we've heard no, I'm not saying the numbers not unusual. I'm saying we've heard of people
[01:20:27.240 --> 01:20:30.040]   Oh, uh being protected at google
[01:20:30.040 --> 01:20:34.600]   That google coming to them and saying what is it gonna take to keep you? We do not want to lose you
[01:20:34.600 --> 01:20:39.400]   Of course it could be three million in stock options too, right? It doesn't have is it cash
[01:20:39.400 --> 01:20:45.880]   Uh, you got all sorts of use which are the restricted stock units which you know is as good as cash
[01:20:45.880 --> 01:20:50.600]   Right in a sense. So yeah, I think it's I think it's possible. I don't think there's many of them
[01:20:51.320 --> 01:20:53.320]   uh
[01:20:53.320 --> 01:20:56.760]   Matthew you got a tip or tool that you'd like to share with us
[01:20:56.760 --> 01:21:03.000]   I didn't have one prepared no need think up is great though
[01:21:03.000 --> 01:21:05.880]   I'm with jina
[01:21:05.880 --> 01:21:09.320]   So, uh, this was actually in the news this uh, and that's how I found out about it
[01:21:09.320 --> 01:21:15.160]   There's a really cool website code combat calm that is designed to teach
[01:21:15.160 --> 01:21:20.520]   Mostly, I would say high school kids, but anybody who you know is interested in learning how to program
[01:21:20.760 --> 01:21:21.960]   JavaScript
[01:21:21.960 --> 01:21:27.080]   Uh, it's they say the largest coffee script app out there and they've just went open source
[01:21:27.080 --> 01:21:31.320]   And uh, I immediately signed up and I told my son who wants to learn how to program about it
[01:21:31.320 --> 01:21:35.480]   It's very cool. You're playing a game in this case. We're attacking ogres
[01:21:35.480 --> 01:21:41.480]   Using javascript as the programming language, but they also have an arena where you can compete against other people
[01:21:41.480 --> 01:21:47.320]   Um, this is free is very cool. They just open sourced it which makes it even more cool cool cool
[01:21:47.960 --> 01:21:53.800]   Um, I highly recommended a great little tutorial a lot of fun. It's called code combat
[01:21:53.800 --> 01:21:58.760]   Dot calm there are a lot of things out there now to teach kids to code
[01:21:58.760 --> 01:22:05.080]   And I you know remember the hour of code just a couple of weeks ago and so forth and code academy is great
[01:22:05.080 --> 01:22:07.640]   But this is really fun. This is you know, it's the kind of thing
[01:22:07.640 --> 01:22:14.440]   You know, you start off. I'm giving commands. I don't know how well you can read the text here move up move down move left right
[01:22:14.440 --> 01:22:17.000]   attack nearby enemy
[01:22:17.160 --> 01:22:19.800]   Um, and now i've got to get him out of the dead end
[01:22:19.800 --> 01:22:21.960]   Okay
[01:22:21.960 --> 01:22:25.080]   So let's let's continue on here rescue mission complete
[01:22:25.080 --> 01:22:32.360]   You've learned how to control your troops cast simple spells moving attacking using the play button. Let's continue with your training
[01:22:32.360 --> 01:22:39.480]   Are you getting audio out of this because there's there's fun little audio and so forth. Yeah, you have spells my blade
[01:22:45.480 --> 01:22:48.920]   So if you know somebody who's you know probably like
[01:22:48.920 --> 01:22:59.400]   11 or 12 through 16 or 17. This is pretty cool. Yeah. Yeah code combat dot calm
[01:22:59.400 --> 01:23:05.160]   Well, what a good time we've had today talking about all sorts of subjects
[01:23:05.160 --> 01:23:09.880]   The party show
[01:23:11.000 --> 01:23:15.080]   The connected toilet next that's something I don't know if I want google no much about
[01:23:15.080 --> 01:23:17.880]   News keep that to myself
[01:23:17.880 --> 01:23:21.800]   And of course this is true. The horse you should be you should be increasing the fiber
[01:23:21.800 --> 01:23:24.360]   Yeah
[01:23:24.360 --> 01:23:29.640]   Well, you know to for echo always brings this up. He says I said nobody who nobody wants to know anything like that
[01:23:29.640 --> 01:23:31.960]   And he says the insurance companies do
[01:23:31.960 --> 01:23:39.400]   He always brings that up like the insurance companies are going to deny people insurance based on knowing all that's the only example you can give
[01:23:40.200 --> 01:23:45.320]   I don't care. Let them let them raise my insurance. You need more fiber leo
[01:23:45.320 --> 01:23:47.960]   They already ask you do you smoke?
[01:23:47.960 --> 01:23:51.560]   You know they come and check your blood pressure and stuff like that
[01:23:51.560 --> 01:23:56.600]   Matthew Ingram. Thank you for being here again. Everybody should go to giga-home.com and
[01:23:56.600 --> 01:24:02.440]   Uh, if you're if you're interested in this FCC decision, that's a really good example of the great job. Uh, Matthew's doing over there
[01:24:02.440 --> 01:24:05.000]   We appreciate it. Thank you for joining us
[01:24:05.160 --> 01:24:11.000]   Uh, the book public parts available everywhere talks about living in public. Jeff Jarvis is an advocate
[01:24:11.000 --> 01:24:14.520]   Lives lives it every single day and he joins us every week
[01:24:14.520 --> 01:24:21.000]   Uh, wednesdays 1 p.m. Pacific 4 p.m. Eastern time 2100 utc for this week in google
[01:24:21.000 --> 01:24:23.720]   He blogs at buzz machine dot
[01:24:23.720 --> 01:24:27.720]   Calm and next week will be joining us from svetz aland
[01:24:27.720 --> 01:24:29.720]   Yeah
[01:24:29.720 --> 01:24:35.080]   Does that still look good? You still think you can do that? Yep. Yep. Yep. Yep. So i'm going to be on on hangouts next week
[01:24:35.960 --> 01:24:39.160]   That's okay. I'm not carrying along a mac. That's okay for you
[01:24:39.160 --> 01:24:43.160]   You got a working pixel now. I hope so
[01:24:43.160 --> 01:24:48.520]   We'll find out we'll find out. Thanks, jeff. Thanks everybody for joining us
[01:24:48.520 --> 01:24:55.240]   Remember if you can't watch live we always do a make on demand uh audio and video of all of our shows available after the fact that our website
[01:24:55.240 --> 01:24:56.440]   twit.tv
[01:24:56.440 --> 01:25:03.560]   In this case twit.tv/twig and you can always pop uh, subscribe wherever you get podcasts or netcasts like, you know, iTunes
[01:25:03.640 --> 01:25:06.920]   That way you get it everywhere. We'll see you next time on this week in google
[01:25:06.920 --> 01:25:10.120]   long
[01:25:10.120 --> 01:25:12.120]   Oh
[01:25:12.280 --> 01:25:14.280]   You
[01:25:14.280 --> 01:25:16.860]   (upbeat music)
[01:25:16.860 --> 01:25:18.860]   [Music]

