;FFMETADATA1
title=Jiggery Pokery
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=229
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.300]   It's time for Twig.
[01:18:47.320 --> 01:18:48.640]   house saying that
[01:18:48.640 --> 01:18:51.560]   looking like an idiot all the cats looking at you
[01:18:51.560 --> 01:18:53.520]   going what is he saying and then
[01:18:53.520 --> 01:18:55.560]   well when it when it triggers
[01:18:55.560 --> 01:18:58.960]   up to see it heard all the other stuff i said but not find my phone
[01:18:58.960 --> 01:19:02.800]   find my phone
[01:19:02.800 --> 01:19:05.760]   and it makes us really loud annoying
[01:19:05.760 --> 01:19:08.240]   great but it didn't
[01:19:08.240 --> 01:19:09.840]   so you have your phone
[01:19:09.840 --> 01:19:13.000]   your phone can't i know the one time i left my phone
[01:19:13.000 --> 01:19:16.040]   in a place where this would actually work in a seat cushion in my sofa it
[01:19:16.040 --> 01:19:17.800]   didn't work so
[01:19:17.800 --> 01:19:20.640]   well they've had that thing that i've had the android device manager this you
[01:19:20.640 --> 01:19:23.880]   do that is just a bit of a skill to find right right you can use that now to
[01:19:23.880 --> 01:19:26.280]   make them chirp and jump up and down
[01:19:26.280 --> 01:19:27.680]   and
[01:19:27.680 --> 01:19:30.480]   in and here they tell you where they are and they will be to make the make
[01:19:30.480 --> 01:19:31.960]   noises so you can find them too
[01:19:31.960 --> 01:19:34.720]   and also show you a map of where your phone
[01:19:34.720 --> 01:19:37.160]   all of these are all of course i didn't set up my
[01:19:37.160 --> 01:19:39.400]   next seven got stolen for you
[01:19:39.400 --> 01:19:41.400]   what
[01:19:41.400 --> 01:19:43.200]   you're you're not working
[01:19:43.200 --> 01:19:45.560]   for eyes and other one
[01:19:45.560 --> 01:19:49.560]   uh... now has four four haven't heard any of the rise and rise and by the way
[01:19:49.560 --> 01:19:52.960]   meanwhile is looking at the delay the cell it's only open spectrum the lt
[01:19:52.960 --> 01:19:56.240]   spectrum of dot because it can't bear to be open
[01:19:56.240 --> 01:19:59.920]   so that it gets them off the hook they don't have to adhere to the office of
[01:19:59.920 --> 01:20:04.640]   the fcc they've been still violated my rights by agent
[01:20:04.640 --> 01:20:08.240]   they should be grandfathered in
[01:20:08.240 --> 01:20:11.920]   a my glass companion after google vise briefly appeared
[01:20:11.920 --> 01:20:14.640]   in the app store for i_o_s_
[01:20:14.640 --> 01:20:17.360]   and android realized what it i mean apple realize what it was in the
[01:20:17.360 --> 01:20:18.840]   acted i don't know what happened to it
[01:20:18.840 --> 01:20:20.320]   weird
[01:20:20.320 --> 01:20:24.680]   google says that my glass will return to the app store later this week
[01:20:24.680 --> 01:20:27.880]   uh... it's going to go inside with the latest monthly updates of the finally
[01:20:27.880 --> 01:20:30.240]   you'll be able to use you've had to use it with an android device right
[01:20:30.240 --> 01:20:33.440]   yet you'll now be able to use it with i_o_s_
[01:20:33.440 --> 01:20:35.760]   aren't you lucky is going to be nice
[01:20:35.760 --> 01:20:37.640]   going to be nice
[01:20:37.640 --> 01:20:38.640]   uh...
[01:20:38.640 --> 01:20:40.520]   google
[01:20:40.520 --> 01:20:43.920]   uh... now shows images in your google mail
[01:20:43.920 --> 01:20:46.360]   if you were here this would all be change log stuff but i'm just gonna kind
[01:20:46.360 --> 01:20:47.680]   of roll it all up
[01:20:47.680 --> 01:20:52.080]   uh... but don't worry they're safe because it's proxying those images or
[01:20:52.080 --> 01:20:55.880]   there was so much confusion about this this week uh... wired thought that this
[01:20:55.880 --> 01:20:59.120]   meant that every advertiser could read you could see where you are when in fact
[01:20:59.120 --> 01:21:03.240]   it was the opposite of the city's people's cash in the images right
[01:21:03.240 --> 01:21:05.160]   that was a strange article
[01:21:05.160 --> 01:21:07.880]   misunderstanding that was right
[01:21:07.880 --> 01:21:11.880]   so i'll tell you what's going on here in my humble opinion
[01:21:11.880 --> 01:21:16.080]   so up to now uh... if you use gmail there would be a button that said load
[01:21:16.080 --> 01:21:19.040]   images from the center you can say always load images from the center
[01:21:19.040 --> 01:21:21.800]   but by default they would just be a box with an accident
[01:21:21.800 --> 01:21:24.720]   that probably confused people so one argument the google could make is
[01:21:24.720 --> 01:21:27.560]   hey we're gonna it's not going to confuse people anymore
[01:21:27.560 --> 01:21:30.920]   of the c images but we've sanitized them so what happens is google
[01:21:30.920 --> 01:21:34.360]   reencodes them to remove any potential uh... malware
[01:21:34.360 --> 01:21:37.200]   but it also uh... proxies them so
[01:21:37.200 --> 01:21:40.560]   the loading of those images no longer notifies the center that you're looking
[01:21:40.560 --> 01:21:43.400]   at the email or gives that center information about you
[01:21:43.400 --> 01:21:46.280]   however i asked all i've also have to point out
[01:21:46.280 --> 01:21:50.040]   it means that news letters and other kind of junk email that you get with
[01:21:50.040 --> 01:21:50.880]   images and i
[01:21:50.880 --> 01:21:53.320]   is much more valuable to people sending it
[01:21:53.320 --> 01:21:55.920]   uh... in the sense that you're going to see the images now
[01:21:55.920 --> 01:21:57.680]   you can turn this off
[01:21:57.680 --> 01:21:59.080]   in the settings
[01:21:59.080 --> 01:22:02.360]   uh... but if you all the sudden i i don't i don't want to see those images and
[01:22:02.360 --> 01:22:04.600]   there is the security risk that's gone
[01:22:04.600 --> 01:22:06.440]   but there is also the issue of
[01:22:06.440 --> 01:22:09.760]   i think googles probably doing this 'cause
[01:22:09.760 --> 01:22:12.840]   you know people who sent email newsletters were complaining right
[01:22:12.840 --> 01:22:16.240]   and and they also like features that they can do that a lot of other companies
[01:22:16.240 --> 01:22:20.960]   can do who can cash a lot of data gazillions of photographs uh... like that
[01:22:20.960 --> 01:22:23.960]   but people you know i think it's kind of i think it's a good move because the
[01:22:23.960 --> 01:22:27.800]   vast majority of gmail users probably didn't know
[01:22:27.800 --> 01:22:31.000]   that the existence of pictures in email can show
[01:22:31.000 --> 01:22:35.200]   the sender your IP address uh... they can find out all kinds of other information
[01:22:35.200 --> 01:22:36.120]   about you
[01:22:36.120 --> 01:22:39.760]   i i'm just like you're loading their web page exactly exactly and i i'm not
[01:22:39.760 --> 01:22:41.280]   clear weather
[01:22:41.280 --> 01:22:44.520]   you know if this thing if it's still possible for the center to find out
[01:22:44.520 --> 01:22:48.280]   when you open i think it is their banana tag type i read something that it is
[01:22:48.280 --> 01:22:51.680]   it is the case that they still can there is a way to do that so the proxy
[01:22:51.680 --> 01:22:54.520]   several fetching so you see the first time you see the proxy server get it
[01:22:54.520 --> 01:22:57.680]   as you said so google will know you see google do it
[01:22:57.680 --> 01:23:01.280]   but i think it is not on your behalf just on behalf of everybody who gets that
[01:23:01.280 --> 01:23:04.280]   no because the point is you put us you need your offer each set each one you
[01:23:04.280 --> 01:23:06.880]   said uh... clever which is the classic way you do
[01:23:06.880 --> 01:23:09.800]   and you know right and you said an image with the your offer each or even
[01:23:09.800 --> 01:23:13.440]   not an image of one by one pixel
[01:23:13.440 --> 01:23:17.360]   now people should think is that they uh... when they read the images
[01:23:17.360 --> 01:23:19.160]   they just cash them as is
[01:23:19.160 --> 01:23:22.320]   they pass them re-write the re-encoder
[01:23:22.320 --> 01:23:24.520]   to make sure they're not they're not malicious so they can protect them out
[01:23:24.520 --> 01:23:25.460]   where ones
[01:23:25.460 --> 01:23:28.280]   and replace them with stuff doesn't offer over runs and things like that
[01:23:28.280 --> 01:23:30.800]   they can replace the ones that that fail on their
[01:23:30.800 --> 01:23:33.640]   you know their sandbox and gift bars or whatever
[01:23:33.640 --> 01:23:37.120]   and with one that is next so that you he doesn't like crash lots of machines
[01:23:37.120 --> 01:23:40.160]   just crushes one but they've been doing that for a while as part of the the
[01:23:40.160 --> 01:23:41.920]   google rule architecture
[01:23:41.920 --> 01:23:45.600]   so one one criticism of this is that google is in the advertising business
[01:23:45.600 --> 01:23:48.680]   and they're not in the email marketing business
[01:23:48.680 --> 01:23:51.720]   and this is uh... seen as a move against email marketing
[01:23:51.720 --> 01:23:56.600]   uh... and and therefore against a competitive type of advertising
[01:23:56.600 --> 01:24:00.240]   um... everyone should know that that's part of the controversy here and and
[01:24:00.240 --> 01:24:03.640]   people should also know that this won't hit mobile devices until sometime next
[01:24:03.640 --> 01:24:04.520]   year
[01:24:04.520 --> 01:24:07.800]   uh... i believe it's already been enabled on desktop
[01:24:07.800 --> 01:24:08.960]   universally
[01:24:08.960 --> 01:24:11.520]   but not on mobile to next to us or on the st
[01:24:11.520 --> 01:24:12.520]   mobile
[01:24:12.520 --> 01:24:15.520]   so mail chimp says this is better for them
[01:24:15.520 --> 01:24:16.520]   uh...
[01:24:16.520 --> 01:24:17.880]   because
[01:24:17.880 --> 01:24:21.760]   when images are turned off effectively google hides
[01:24:21.760 --> 01:24:24.680]   everything a bit of information so they're getting more information than they
[01:24:24.680 --> 01:24:26.840]   were not only information they'd like
[01:24:26.840 --> 01:24:30.760]   or that they get if you use apples male client might might be left at this
[01:24:30.760 --> 01:24:32.760]   point is that marketers get
[01:24:32.760 --> 01:24:34.000]   uh...
[01:24:34.000 --> 01:24:35.400]   less
[01:24:35.400 --> 01:24:37.560]   information about each user
[01:24:37.560 --> 01:24:41.720]   more information from more users so they know when everybody opens it for
[01:24:41.720 --> 01:24:43.400]   example instead of before
[01:24:43.400 --> 01:24:45.680]   bunch of people opened it and they don't know
[01:24:45.680 --> 01:24:49.600]   if the non-opners we never saw it or whether they never turned on the picture
[01:24:49.600 --> 01:24:51.120]   or whatever so
[01:24:51.120 --> 01:24:54.680]   now there's more clarity at least about a smaller set of data
[01:24:54.680 --> 01:24:58.800]   and youtubers changes copyright policy so that every single video we've ever
[01:24:58.800 --> 01:25:01.520]   put up there is now uh... blocked
[01:25:01.520 --> 01:25:03.400]   thank you you
[01:25:03.400 --> 01:25:08.120]   not as bad as that but we did very much increase the number of copyright uh...
[01:25:08.120 --> 01:25:10.280]   emails we got we've got a number of uh...
[01:25:10.280 --> 01:25:12.120]   videos that are now blocked
[01:25:12.120 --> 01:25:14.480]   permanently
[01:25:14.480 --> 01:25:19.160]   uh... the company at google i guess has changed how the automatic content i_d_
[01:25:19.160 --> 01:25:21.400]   uh... works in fact in some cases
[01:25:21.400 --> 01:25:25.240]   uh... companies have blocked themselves
[01:25:25.240 --> 01:25:29.560]   it's really hammering the you know people do game reviews by showing a game
[01:25:29.560 --> 01:25:33.280]   and and the game companies don't want
[01:25:33.280 --> 01:25:36.760]   videos blocked these through fantastic marketing for them so it's you know who
[01:25:36.760 --> 01:25:38.840]   are they helping here with this
[01:25:38.840 --> 01:25:42.320]   well it's this is all the content is into the game ones was it the person who
[01:25:42.320 --> 01:25:45.120]   composed the background is in the game
[01:25:45.120 --> 01:25:50.440]   is then causing content i_d_ claim against people showing the game
[01:25:50.440 --> 01:25:54.280]   well i i've just seen lots more take downs and i think there's a lot of
[01:25:54.280 --> 01:25:55.840]   fraudulent takedowns
[01:25:55.840 --> 01:25:59.840]   the fact that this what that a company was able to block itself shows us
[01:25:59.840 --> 01:26:03.080]   that the content i_d_ system does nothing to validate any content claim
[01:26:03.080 --> 01:26:03.640]   right
[01:26:03.640 --> 01:26:08.400]   so it's just a stupid system and it just to me my reaction to it is this is why
[01:26:08.400 --> 01:26:11.960]   i don't count on google as a platform it's not a good platform for serious
[01:26:11.960 --> 01:26:13.600]   content creators is
[01:26:13.600 --> 01:26:15.680]   still the crotch shot channel
[01:26:15.680 --> 01:26:17.120]   and uh...
[01:26:17.120 --> 01:26:20.480]   and uh... really i mean google if you want to get serious about content this is
[01:26:20.480 --> 01:26:22.280]   not how you do it
[01:26:22.280 --> 01:26:25.800]   that you're right you mean i'm a serious content creator and
[01:26:25.800 --> 01:26:29.720]   we cannot count on any video staying up on google period
[01:26:29.720 --> 01:26:31.360]   ever
[01:26:31.360 --> 01:26:34.200]   and i can imagine we're the only ones
[01:26:34.200 --> 01:26:35.960]   or let's take a break when we come back
[01:26:35.960 --> 01:26:38.160]   a tool to tip a number
[01:26:38.160 --> 01:26:42.000]   and if you want to say something kevin marks you can do something to him
[01:26:42.000 --> 01:26:45.440]   i don't actually i guess mike you don't have a normal position in the show if you
[01:26:45.440 --> 01:26:47.800]   want to say something you can't do but first a word
[01:26:47.800 --> 01:26:50.000]   from who lupus
[01:26:50.000 --> 01:26:52.960]   if you want to turn your i pat your nexus seven
[01:26:52.960 --> 01:26:56.240]   your android phone your i phone your desktop computer
[01:26:56.240 --> 01:26:58.680]   into the ultimate personal television
[01:26:58.680 --> 01:27:00.520]   you gotta get hulu
[01:27:00.520 --> 01:27:01.480]   plus
[01:27:01.480 --> 01:27:05.320]   uh... i put it in my entertainment folder because it's ever so entertaining
[01:27:05.320 --> 01:27:07.720]   who was let me watch
[01:27:07.720 --> 01:27:09.240]   uh... tv series that are current
[01:27:09.240 --> 01:27:11.280]   i can catch up on series i miss
[01:27:11.280 --> 01:27:14.560]   i can watch at for instance almost human which i'm really loving
[01:27:14.560 --> 01:27:17.520]   and we have learned is being played out of order so now i can play in the right
[01:27:17.520 --> 01:27:18.880]   in the right order
[01:27:18.880 --> 01:27:20.320]   uh... for josh we just
[01:27:20.320 --> 01:27:23.480]   is there's a j is just we just can never win on these
[01:27:23.480 --> 01:27:26.560]   uh... the colbert report the daily show tosh point oh
[01:27:26.560 --> 01:27:30.400]   i can't stay up late enough to watch that and i live no problem i can watch it on
[01:27:30.400 --> 01:27:32.480]   hulu plus they've also got
[01:27:32.480 --> 01:27:35.800]   the entire all seasons of shows like lost
[01:27:35.800 --> 01:27:39.920]   even the original star trek the whole star trek stuff is all here you want to
[01:27:39.920 --> 01:27:42.720]   catch up on shark tank week twelve
[01:27:42.720 --> 01:27:44.960]   it's lots of fun to watch this on your
[01:27:44.960 --> 01:27:46.160]   i-pad
[01:27:46.160 --> 01:27:48.400]   uh... they've got full-length movies
[01:27:48.400 --> 01:27:52.120]   they've got uh... ad-free movies and kids content
[01:27:52.120 --> 01:27:55.280]   so that's nice and it's only seven ninety nine
[01:27:55.280 --> 01:27:59.680]   for uh... a month for everything on who will plus now here's the deal
[01:27:59.680 --> 01:28:02.520]   i'm a give you two weeks for you to sit time for the holidays the end of the
[01:28:02.520 --> 01:28:03.440]   year
[01:28:03.440 --> 01:28:06.000]   you want to browse around you want to see what who will plus is like the full
[01:28:06.000 --> 01:28:09.580]   experiences yours shows episodes and clips
[01:28:09.580 --> 01:28:12.940]   on tv on movies originals
[01:28:12.940 --> 01:28:16.240]   those who will plus originals like behind the mask
[01:28:16.240 --> 01:28:20.320]   after six years jersey parts ways with a red and u_n_l_v_
[01:28:20.320 --> 01:28:22.160]   the wrong man's
[01:28:22.160 --> 01:28:26.280]   to lowly office workers get caught in a web of kidnapping
[01:28:26.280 --> 01:28:27.600]   the misfits
[01:28:27.600 --> 01:28:30.400]   these are who will originals which is awesome i love it
[01:28:30.400 --> 01:28:32.040]   you gotta check it out who will plus
[01:28:32.040 --> 01:28:33.840]   dot com slash twit
[01:28:33.840 --> 01:28:36.240]   uh... watch and enjoy
[01:28:36.240 --> 01:28:39.080]   uh... today for free for the next
[01:28:39.080 --> 01:28:41.720]   two weeks
[01:28:41.720 --> 01:28:45.800]   who are those people inside those crazy mascot costumes
[01:28:45.800 --> 01:28:46.880]   find out
[01:28:46.880 --> 01:28:49.160]   in this episode of
[01:28:49.160 --> 01:28:51.600]   behind the mass
[01:28:51.600 --> 01:28:53.720]   this is actually really fun
[01:28:53.720 --> 01:28:58.120]   uh... right let's see it's not exactly a tool but it is uh... fun every year
[01:28:58.120 --> 01:28:59.560]   google does their
[01:28:59.560 --> 01:29:02.480]   site guide list and the video
[01:29:02.480 --> 01:29:06.160]   i don't remember them doing this uh... i guess they did this last year
[01:29:06.160 --> 01:29:09.760]   the world what did the world's search for
[01:29:09.760 --> 01:29:11.640]   in twenty thirteen
[01:29:11.640 --> 01:29:13.840]   take a look
[01:29:13.840 --> 01:29:16.600]   new beginnings
[01:29:16.600 --> 01:29:17.480]   the new
[01:29:17.480 --> 01:29:19.280]   princeling
[01:29:19.280 --> 01:29:20.800]   or
[01:29:20.800 --> 01:29:21.480]   or
[01:29:21.480 --> 01:29:23.680]   new uh... same-sex weddings
[01:29:23.680 --> 01:29:26.040]   a new pope
[01:29:26.040 --> 01:29:27.600]   new frontiers
[01:29:27.600 --> 01:29:29.440]   or
[01:29:29.440 --> 01:29:31.800]   that's new jersey
[01:29:31.800 --> 01:29:34.000]   new jersey
[01:29:34.000 --> 01:29:35.480]   i don't think they do that one
[01:29:35.480 --> 01:29:37.560]   ways to help
[01:29:37.560 --> 01:29:40.720]   awesome marathon
[01:29:40.720 --> 01:29:42.600]   child tossing competition
[01:29:42.600 --> 01:29:47.400]   courage
[01:29:47.400 --> 01:29:48.840]   buys
[01:29:48.840 --> 01:29:50.040]   fairness that you
[01:29:50.040 --> 01:29:51.920]   they believe with them all water
[01:29:51.920 --> 01:29:54.400]   and then that's an
[01:29:54.400 --> 01:29:56.000]   all
[01:29:56.000 --> 01:29:58.360]   inspiration
[01:29:58.360 --> 01:30:02.840]   if you serve some of the viral crazy viral videos
[01:30:02.840 --> 01:30:05.760]   i did not see the underwater harlem shuffle i missed that one
[01:30:05.760 --> 01:30:09.200]   the more inspiring and flaming metal shredding down
[01:30:09.200 --> 01:30:11.520]   uh...
[01:30:11.520 --> 01:30:15.640]   when you finally get to that point of acceptance there's nothing more beautiful
[01:30:15.720 --> 01:30:18.480]   and
[01:30:18.480 --> 01:30:19.000]   like
[01:30:19.000 --> 01:30:23.760]   jagger the last video they put the fox say
[01:30:23.760 --> 01:30:26.600]   say my name
[01:30:26.600 --> 01:30:27.600]   it's fun
[01:30:27.600 --> 01:30:28.840]   it's just an ad
[01:30:28.840 --> 01:30:31.960]   who goes great at the search ads uh... but this is
[01:30:31.960 --> 01:30:35.080]   and then of course i think it
[01:30:35.080 --> 01:30:36.040]   san francisco
[01:30:36.040 --> 01:30:37.040]   it's a nice way to
[01:30:37.040 --> 01:30:38.560]   very
[01:30:38.560 --> 01:30:41.560]   uplifting and then you get this i guess which tells you what people are
[01:30:41.560 --> 01:30:42.920]   searched for
[01:30:42.920 --> 01:30:44.960]   the year uh... twenty thirteen
[01:30:44.960 --> 01:30:46.080]   paul walker
[01:30:46.080 --> 01:30:48.200]   boston marathon bombing nelson medulla
[01:30:48.200 --> 01:30:50.800]   cori monty's in the i-phone five s
[01:30:50.800 --> 01:30:53.120]   the top training the most search for people
[01:30:53.120 --> 01:30:56.560]   my lease iris drake kim kardashian jason beber
[01:30:56.560 --> 01:30:58.520]   beyond saying we are at once again
[01:30:58.520 --> 01:31:01.760]   giving us hope that america can still be strong
[01:31:01.760 --> 01:31:05.960]   uh... annual events the number one annual event black friday the number two
[01:31:05.960 --> 01:31:08.520]   annual that cyber monday
[01:31:08.520 --> 01:31:12.200]   and the day tone of five hundred you really get a unique perspective on one
[01:31:12.200 --> 01:31:13.680]   america cares about
[01:31:13.680 --> 01:31:14.320]   when you
[01:31:14.320 --> 01:31:16.120]   the google zeitgeist
[01:31:16.120 --> 01:31:19.600]   i used to mock it when you know who did this but this is just as bad
[01:31:19.600 --> 01:31:26.600]   uh... athletes authors appetizers the number one appetizer tomato mozzarella
[01:31:26.600 --> 01:31:29.200]   beer the number one beer blue moon
[01:31:29.200 --> 01:31:33.480]   the number one blog and gadget the number one book lean in by sharl sandberg
[01:31:33.480 --> 01:31:38.320]   number one car company tesla then bugatti many for the jeep
[01:31:38.320 --> 01:31:42.280]   they'll they also released the the top of what is blank
[01:31:42.280 --> 01:31:46.120]   a list and the number one question asked what is twerking
[01:31:46.120 --> 01:31:48.320]   uh... still not sure
[01:31:48.320 --> 01:31:50.120]   uh...
[01:31:50.120 --> 01:31:54.160]   although i think if you search for what is turqued twerking you'll likely to get
[01:31:54.160 --> 01:31:55.640]   uh... some examples
[01:31:55.640 --> 01:31:57.920]   which probably make it easier
[01:31:57.920 --> 01:32:01.280]   hot searches for today the georgia lottery of course because the mega
[01:32:01.280 --> 01:32:02.880]   millions was won by somebody
[01:32:02.880 --> 01:32:06.640]   who just doesn't understand probability and still one
[01:32:06.640 --> 01:32:09.240]   gosh darn it
[01:32:09.240 --> 01:32:12.040]   justin beaver says he's retiring wait a minute
[01:32:12.040 --> 01:32:13.640]   all
[01:32:13.640 --> 01:32:14.960]   everything
[01:32:14.960 --> 01:32:19.040]   that is a long and productive career is getting old he's yeah it's time for him
[01:32:19.040 --> 01:32:21.360]   to play golf with bob hope
[01:32:21.360 --> 01:32:24.320]   uh... jeff javis your number of the week
[01:32:24.320 --> 01:32:28.920]   well be as we're going into christmas is time to do google's twelve days of
[01:32:28.920 --> 01:32:29.720]   giving
[01:32:29.720 --> 01:32:34.320]   you go to twelve days of giving dot with google dot com
[01:32:34.320 --> 01:32:37.360]   uh... i typed twelve days of giving
[01:32:37.360 --> 01:32:41.520]   that's a different search into twelve days of giving
[01:32:41.520 --> 01:32:45.040]   dot that's a long u_r_l_ but that's that's a weird way to say that's a weird
[01:32:45.040 --> 01:32:47.240]   i was a little bit of a little bit of a book
[01:32:47.240 --> 01:32:50.680]   no it says with google dot com is that trustworthy
[01:32:50.680 --> 01:32:54.240]   twelve days of giving with google dot
[01:32:54.240 --> 01:32:58.400]   there's called as a big dot with google dot com with google dot com
[01:32:58.400 --> 01:33:00.560]   uh... loans with google
[01:33:00.560 --> 01:33:03.640]   i don't know what's something i hope i'm not that's interesting if you know i
[01:33:03.640 --> 01:33:07.200]   think it's got real if you search for with google
[01:33:07.200 --> 01:33:09.920]   when you you type in with google you get google
[01:33:09.920 --> 01:33:13.600]   okay google apparently owns with google and then and the certificates okay
[01:33:13.600 --> 01:33:15.640]   all right you're trying to make sure i don't know what i mean i'll find out
[01:33:15.640 --> 01:33:16.880]   tomorrow that i have
[01:33:16.880 --> 01:33:18.840]   like herself so without google
[01:33:18.840 --> 01:33:20.880]   yeah
[01:33:20.880 --> 01:33:23.400]   in your dreams
[01:33:23.400 --> 01:33:26.200]   so it's funny cuz apple's doing the twelve days of giving but there starts
[01:33:26.200 --> 01:33:30.280]   the day after christmas
[01:33:30.280 --> 01:33:32.960]   so what do we get
[01:33:32.960 --> 01:33:35.320]   i don't know what do you like here
[01:33:35.320 --> 01:33:37.920]   motivated team to go to school
[01:33:37.920 --> 01:33:40.920]   or you give see now i like that
[01:33:40.920 --> 01:33:42.160]   you give
[01:33:42.160 --> 01:33:46.760]   so this is that this is like that book app that uh... jina had us all installed
[01:33:46.760 --> 01:33:48.280]   exactly so great
[01:33:48.280 --> 01:33:52.720]   wildlife like polar bears who doesn't like polar bears
[01:33:52.720 --> 01:33:56.240]   seals dollar equals a hundred families home for the holidays and i'm not sure
[01:33:56.240 --> 01:33:57.240]   how that works
[01:33:57.240 --> 01:34:00.440]   wait a minute the polar bears are clubbing babysat baby harp seals are they
[01:34:00.440 --> 01:34:01.800]   all man
[01:34:01.800 --> 01:34:03.600]   now who do i give to
[01:34:03.600 --> 01:34:05.040]   it
[01:34:05.040 --> 01:34:09.240]   uh... charity water that's always good water projects this is nice
[01:34:09.240 --> 01:34:13.000]   is so nice so the whole day number for us
[01:34:13.000 --> 01:34:16.000]   the innocent turns up my lights
[01:34:16.000 --> 01:34:19.760]   if we gotta give him a clapper i've got to get you
[01:34:19.760 --> 01:34:23.560]   home automation is not off to a good start today it's worth i must be putting
[01:34:23.560 --> 01:34:24.640]   off less
[01:34:24.640 --> 01:34:29.080]   um... slightly something the university does to try to not so
[01:34:29.080 --> 01:34:33.360]   it's hard to get rid of a tenured professor these days
[01:34:33.360 --> 01:34:34.720]   you
[01:34:34.720 --> 01:34:39.160]   do you have a tip you would like to give us uh... mr kevin marks
[01:34:39.160 --> 01:34:40.480]   um...
[01:34:40.480 --> 01:34:42.680]   i'd not sure i have a tip
[01:34:42.680 --> 01:34:46.160]   um... anything you'd like to talk about it so it's so i've
[01:34:46.160 --> 01:34:50.960]   the thing that the amused me this week was was dogecoin if you've seen that
[01:34:50.960 --> 01:34:54.560]   is that is that is this related to bitcoin
[01:34:54.560 --> 01:34:58.040]   this is the new krypto currency based on
[01:34:58.040 --> 01:35:01.680]   the internet meme doge
[01:35:01.680 --> 01:35:06.960]   what does the mayor of venice doge no does that the dog that says stupid
[01:35:06.960 --> 01:35:09.360]   things in income in coming since
[01:35:09.360 --> 01:35:10.320]   uh...
[01:35:10.320 --> 01:35:14.960]   i don't know that doge don't know that mean i am so out of it
[01:35:14.960 --> 01:35:19.480]   you're two means behind i'm two means behind the cute dog and it says you know
[01:35:19.480 --> 01:35:22.320]   much currency and and has this little you know like
[01:35:22.320 --> 01:35:25.980]   you don't with saying nonsense thing is it's the success of all cuts as
[01:35:25.980 --> 01:35:29.480]   but there's no doge coins as someone has actually made a cryptocurrency based on
[01:35:29.480 --> 01:35:30.520]   on this
[01:35:30.520 --> 01:35:31.920]   there's a doge
[01:35:31.920 --> 01:35:34.080]   uh...
[01:35:34.080 --> 01:35:35.520]   so is doge like
[01:35:35.520 --> 01:35:38.520]   the the cat that's that says things funny
[01:35:38.520 --> 01:35:41.600]   yes it's like it's like a lot of things but is it the different is the dog response
[01:35:41.600 --> 01:35:45.560]   to the funny cat different idiom it's a cute dog that has a shebo is a sheba
[01:35:45.560 --> 01:35:46.600]   inu
[01:35:46.600 --> 01:35:47.000]   yes
[01:35:47.000 --> 01:35:49.600]   uh... you know you know you're me as your friend here
[01:35:49.600 --> 01:35:50.600]   um... yeah
[01:35:50.600 --> 01:35:54.920]   so it's been a it's been an interesting week for cryptocurrencies because bit
[01:35:54.920 --> 01:35:57.640]   coin had a crash yesterday again
[01:35:57.640 --> 01:35:59.240]   is that the five hundred thousand
[01:35:59.240 --> 01:36:01.760]   shot down is all kinds of stuff going like that
[01:36:01.760 --> 01:36:02.240]   uh...
[01:36:02.240 --> 01:36:06.280]   but also someone or stosh coin and you can mind those coins and
[01:36:06.280 --> 01:36:09.720]   uh... i've got ten doesch coins because i was i was messing around with that so
[01:36:09.720 --> 01:36:10.640]   that's
[01:36:10.640 --> 01:36:12.760]   and somebody those doge coins will be
[01:36:12.760 --> 01:36:14.240]   worth nothing
[01:36:14.240 --> 01:36:16.960]   i think that's actually have an exchange i think someone's got an exchange rate for
[01:36:16.960 --> 01:36:20.440]   them to bitcoin which is like a really we're mining doge coins here at
[01:36:20.440 --> 01:36:21.560]   twit
[01:36:21.560 --> 01:36:25.840]   the engineering department is decided to mind them with our spare cycles on
[01:36:25.840 --> 01:36:27.720]   our encoding machines
[01:36:27.720 --> 01:36:29.280]   uh...
[01:36:29.280 --> 01:36:33.040]   well i mean i i i i i was playing with this because it
[01:36:33.040 --> 01:36:35.240]   the point is that this is this is
[01:36:35.240 --> 01:36:37.960]   light bitcoin was three years ago you can actually mind it on your own machine and
[01:36:37.960 --> 01:36:39.280]   see something happen
[01:36:39.280 --> 01:36:42.600]   but is it a bit kind of serious or is it a joke
[01:36:42.600 --> 01:36:46.760]   it's both it's a it's a joke that but it's a joke it's a fork of light coin it's
[01:36:46.760 --> 01:36:50.400]   based on the script staff it's all it's like it is like coins uh... technology
[01:36:50.400 --> 01:36:53.760]   yeah uh... interesting it's just called doge coin is got a different pool and
[01:36:53.760 --> 01:36:57.400]   different are we actually mining doge coin
[01:36:57.400 --> 01:36:59.920]   uh...
[01:36:59.920 --> 01:37:00.960]   so this is this is like
[01:37:00.960 --> 01:37:04.640]   you know the the cryptos thing i mean the other the other ones this week was
[01:37:04.640 --> 01:37:07.200]   in that area was was coin base
[01:37:07.200 --> 01:37:08.840]   which is uh...
[01:37:08.840 --> 01:37:10.440]   they got venture funding for
