;FFMETADATA1
title=Weiner, Weiner, Pizza Dinner
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=304
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.800]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin
[01:10:02.440 --> 01:10:07.560]   Um that they really need to tell us how reliable these are obviously parents. He's always smarter
[01:10:07.560 --> 01:10:10.440]   Yeah, you might as well. He looks like you're hiding something if you don't right
[01:10:10.440 --> 01:10:15.320]   Um all the accidents they've reported so far were the fault of other drivers
[01:10:15.320 --> 01:10:18.120]   Not the cautious driverless cars
[01:10:18.120 --> 01:10:22.920]   Or or I think at least one case it was the google driver
[01:10:22.920 --> 01:10:26.760]   Who got in to the driverless car and decided to drive it himself
[01:10:26.760 --> 01:10:30.280]   Rear-end crashes are the most frequent accidents in america
[01:10:30.680 --> 01:10:33.800]   Not much you can do about that. I've been rear-ended a couple of times
[01:10:33.800 --> 01:10:39.160]   Usually from an idiot looking at his phone usually a human always a human
[01:10:39.160 --> 01:10:43.480]   We've been hit from behind seven times mainly at traffic lights, but also in the freeway
[01:10:43.480 --> 01:10:47.400]   We've been side swiped a couple of times and hit by a car rolling through a stop sign
[01:10:47.400 --> 01:10:51.160]   Here's what we don't know from the reporting that google has done on accidents
[01:10:51.160 --> 01:10:56.360]   We don't know how many accidents would have happened had the driver not taken over control
[01:10:57.240 --> 01:11:03.720]   So so let's say an accident is about to happen the driver does what he's supposed to do takes control of the vehicle and prevents an accident
[01:11:03.720 --> 01:11:09.720]   And then no accident happened no accident is reported and and we so we don't know how safe
[01:11:09.720 --> 01:11:14.520]   Right if I it's there's a big difference between having a professional driver in the front seat paying attention
[01:11:14.520 --> 01:11:18.200]   Whose job is to make sure there's no accident and me snapping in the back of my car
[01:11:18.200 --> 01:11:22.280]   I can't wait it's itself. This is at least they've got the transparency. This is the first report
[01:11:22.280 --> 01:11:26.200]   This was from the month of may they tell you a lot. They've got 23 lexus
[01:11:26.840 --> 01:11:30.440]   These on public streets mainly Mountain View nine prototypes
[01:11:30.440 --> 01:11:33.720]   Mostly self-driving on closed test tracks
[01:11:33.720 --> 01:11:36.840]   1 million autonomous miles
[01:11:36.840 --> 01:11:44.280]   796 000 miles in manual mode 10 000 autonomous miles a week per a public street
[01:11:44.280 --> 01:11:49.400]   Um, so this is the report you could show this uh Jason. I don't think this is
[01:11:49.400 --> 01:11:52.120]   Secrets
[01:11:52.120 --> 01:11:55.320]   Interesting situation of the month. I'm gonna read this every month
[01:11:55.480 --> 01:12:00.680]   I want to get this is a like a newspaper self-driving cars are good at keeping track of multiple moving objects at once
[01:12:00.680 --> 01:12:07.560]   Skills that were on display in this situation involving two cyclists the two red right rectangles here
[01:12:07.560 --> 01:12:10.040]   Let me make this a little bit bigger
[01:12:10.040 --> 01:12:13.000]   So you can see it those two red rectangles are cyclists
[01:12:13.000 --> 01:12:20.120]   The red trails behind them show the path so this cyclist is wobbly going from the center
[01:12:20.120 --> 01:12:24.360]   Lane into the right lane. This cyclist is going in the opposite direction
[01:12:25.080 --> 01:12:26.360]   both
[01:12:26.360 --> 01:12:31.640]   The cyclists on left had entered the left turn lane, but veered back into our path to continue to turn straight across the intersection
[01:12:31.640 --> 01:12:37.160]   He changed his mind. I was gonna turn left. I think I'll drive straight at the same time the cyclist on the right entered the intersection
[01:12:37.160 --> 01:12:39.400]   Traveling against the flow of traffic
[01:12:39.400 --> 01:12:43.240]   The cyclist that cyclist then took a sudden left turn
[01:12:43.240 --> 01:12:49.160]   Coming directly at us in our lane our car was able to predict the cyclist's path of travel
[01:12:49.160 --> 01:12:53.960]   That's the turquoise line that the car thought the cyclists were going to take of course going right through the car
[01:12:54.760 --> 01:12:57.960]   So we stopped and yielded this happened at night
[01:12:57.960 --> 01:13:01.400]   It would have been very difficult for the human driver to see what was unfolding
[01:13:01.400 --> 01:13:08.440]   I they're gonna do this every month. I love this and in other news. We'd like to announce so we're inventing the self-driving bicycle. I think they need it
[01:13:08.440 --> 01:13:15.160]   Isn't this great that you actually could see the the map of data. Yeah that the cars got
[01:13:15.160 --> 01:13:21.720]   I want to know did it ever what was there? What was it? Robby the robot or who was the that was not compute does not compute
[01:13:22.360 --> 01:13:28.200]   Uh, that was it. Yeah, that's lost in space lost in space. Yeah. Yeah, what was his name? What was it?
[01:13:28.200 --> 01:13:31.320]   Uh, the robot there was mr. Smith. This is a job
[01:13:31.320 --> 01:13:37.320]   For the ultimate moment for the chat room. Yeah, chat room the name of the robot and lost in space and every by the way
[01:13:37.320 --> 01:13:39.800]   Here's every accident documented
[01:13:39.800 --> 01:13:46.120]   So here's what I want to know does the self-driving car ever hit a point of overload and say does not compute
[01:13:46.120 --> 01:13:49.080]   I can't I can't do this. That's what happened in this one. It just stopped
[01:13:49.720 --> 01:13:55.160]   It said you know what? I don't know what these idiots are gonna do right. I'm just gonna stop and yield. Yeah, I'm a darlinius
[01:13:55.160 --> 01:13:57.240]   This is let this solve itself. Yeah
[01:13:57.240 --> 01:14:00.520]   Now that's when they get rebranded by the way
[01:14:00.520 --> 01:14:08.040]   Why did you stop in the middle of the street? They're all the accidents one by one described
[01:14:08.040 --> 01:14:11.160]   Uh, then they have this is good what we've been reading
[01:14:11.160 --> 01:14:16.360]   The Atlantic City Labs googles the articles about the cars. This is a little newsletter
[01:14:16.920 --> 01:14:21.000]   It even has a little graphics describing how we've been doing this month
[01:14:21.000 --> 01:14:27.720]   That's gonna be on the self-driving car page. Well, I want to know too is is there like a new monthly challenge?
[01:14:27.720 --> 01:14:32.120]   How do they set the goals? You know, oh, we got to take it into snow
[01:14:32.120 --> 01:14:36.520]   Yeah, I don't know when do they consider ready?
[01:14:36.520 --> 01:14:40.440]   Bridges in the metal, you know, what what other things that it can't do?
[01:14:40.440 --> 01:14:46.200]   Well, okay, if I have a choice between the google self-driving car and the self-driving car from delphi auto parts
[01:14:46.920 --> 01:14:52.760]   I know I'm gonna take the what about what about the the run down. What about the buy do slash bmw
[01:14:52.760 --> 01:14:59.080]   So yeah, I don't know about the buy do self-driving BMW
[01:14:59.080 --> 01:15:01.880]   I guess people don't know technology so it has to go with somebody and of course
[01:15:01.880 --> 01:15:04.680]   I can't go with a california because Audi already did it
[01:15:04.680 --> 01:15:08.200]   So if Audi does it bmw's got to do it
[01:15:08.200 --> 01:15:12.760]   Um apparently the official thing. Oh my god
[01:15:13.080 --> 01:15:18.200]   The official name of the robot in lost the space was robot b9, but he was always just referred to as
[01:15:18.200 --> 01:15:20.920]   robot mostly by mr. Smith
[01:15:20.920 --> 01:15:31.160]   And and the the creator apparently i'm i'm seeing this uh searching for this is robert uh kino shita who died at the age of 100 this year
[01:15:31.160 --> 01:15:38.680]   No, really? Yeah, he created he was a tv and film art director robert kino shita
[01:15:39.400 --> 01:15:44.680]   And he created the robot he came up with a danger. Well robinson line danger danger will robinson
[01:15:44.680 --> 01:15:50.760]   And he lived to be a hundred I have every one of those uh robot sound effects from lost in space on my other
[01:15:50.760 --> 01:15:56.120]   His lines have outlived him. Yes, someone in the chat room when I asked the question said i'm not 60. I don't know
[01:15:56.120 --> 01:16:02.840]   It's coming
[01:16:02.840 --> 01:16:05.480]   It's depressing
[01:16:05.480 --> 01:16:10.920]   I'm so impressed you wait you wait you wait your kids will be saying the same thing about hodor you'll be laughing your head
[01:16:10.920 --> 01:16:14.120]   That's right hodor this hodor that
[01:16:14.120 --> 01:16:18.360]   Criminy who just get into this century?
[01:16:18.360 --> 01:16:21.400]   So a guy tweeted a
[01:16:21.400 --> 01:16:22.200]   um
[01:16:22.200 --> 01:16:28.440]   Couple weeks ago saying that his daughter asked him why do we say hang up the phone? Oh and he said I feel like i'm 92
[01:16:28.440 --> 01:16:30.200]   Yeah
[01:16:30.200 --> 01:16:32.200]   dial and hang up are both uh
[01:16:32.200 --> 01:16:34.200]   Right completely archaic
[01:16:35.080 --> 01:16:38.600]   Google will not receive transaction fees for android pay
[01:16:38.600 --> 01:16:41.480]   As apple does for apple pay
[01:16:41.480 --> 01:16:44.200]   But not because they didn't want to
[01:16:44.200 --> 01:16:47.720]   But only because rules have been changed
[01:16:47.720 --> 01:16:50.440]   the card issuers
[01:16:50.440 --> 01:16:53.320]   Standardized security system means they won't get revenue
[01:16:53.320 --> 01:16:56.600]   The apple made their deals like a year ago
[01:16:56.600 --> 01:17:03.080]   And the banks were all afraid that they miss out on the big opportunity and so they allowed themselves to be
[01:17:03.640 --> 01:17:08.920]   Negotiated into this point where they're they're paying apples and then by the time google got around to it
[01:17:08.920 --> 01:17:10.840]   They're like we're not paying for that. What are you kidding?
[01:17:10.840 --> 01:17:14.360]   We were locked in for three years with apple, but as soon as that's over we're going to read negotiate
[01:17:14.360 --> 01:17:16.760]   And you need us so
[01:17:16.760 --> 01:17:22.600]   The poor google went went said hey we just want the same deal you have app with apple and they're like now
[01:17:22.600 --> 01:17:25.080]   We don't even want the one we have the apple to hear that
[01:17:25.080 --> 01:17:26.840]   Poor google
[01:17:26.840 --> 01:17:29.320]   Everybody wants the deal that apple has with anything
[01:17:29.720 --> 01:17:34.440]   Yeah, apple is not afraid to exercise. It's a considerable market cloud
[01:17:34.440 --> 01:17:37.880]   And it's very good effective doing at getting that done
[01:17:37.880 --> 01:17:40.360]   Um
[01:17:40.360 --> 01:17:44.520]   Oh, by the way, if you're an android user don't get all excited about apple music you won't get it till this fall
[01:17:44.520 --> 01:17:46.280]   Sorry
[01:17:46.280 --> 01:17:49.880]   Still i don't understand why because the beats app is an is on android
[01:17:49.880 --> 01:17:53.160]   They have to hire some people who know how to program for for android first
[01:17:53.160 --> 01:17:57.720]   It's apple's first android product. Yeah, so is it really it is
[01:17:58.440 --> 01:18:00.440]   They have never done an android ever
[01:18:00.440 --> 01:18:05.240]   Interesting yeah
[01:18:05.240 --> 01:18:07.240]   Maybe they'll like it
[01:18:07.240 --> 01:18:09.240]   They're like hey, this is great. We should do more
[01:18:09.240 --> 01:18:11.080]   No, it's not gonna happen
[01:18:11.080 --> 01:18:15.160]   They've always been cross-platform with music though. iTunes was on windows very early
[01:18:15.160 --> 01:18:24.280]   Um, so you can't not do that. Yeah, although steve jobs fought it right to right his uh, basically his team said no, it's steve
[01:18:25.080 --> 01:18:27.560]   You got you got to have a windows version, but it was good
[01:18:27.560 --> 01:18:35.000]   They did because it only took a few months before the vast majority of ipod buyers were windows users not a not a mac and touch users
[01:18:35.000 --> 01:18:38.520]   Uh, but they didn't learn that lesson in a way. Did they no?
[01:18:38.520 --> 01:18:46.600]   I mean if you look at it's so important to apple apple music succeed. I think yeah, um that they should have really had the uh android version ready
[01:18:46.600 --> 01:18:47.960]   I don't
[01:18:47.960 --> 01:18:52.680]   We we're talking about developing an app for uh twit using our api
[01:18:53.560 --> 01:18:56.440]   It does take a while we're the developers we've been talking to
[01:18:56.440 --> 01:19:01.080]   It'll say it'll be about 80 thousand dollars and it will be ready at christmas
[01:19:01.080 --> 01:19:06.200]   And you know what lio i'll bet some great fan will beat him to it and do a better job
[01:19:06.200 --> 01:19:10.360]   Perhaps I know some great fan will beat him to it to me tree leon who wrote the windows phone?
[01:19:10.360 --> 01:19:17.240]   I already said i'm gonna do a windows version a universal windows version windows 10 windows phone xbox one version
[01:19:17.240 --> 01:19:21.240]   I'm gonna open source it and I bet the demetries typing right now aren't you demetries?
[01:19:21.560 --> 01:19:23.560]   We gave them access to the api
[01:19:23.560 --> 01:19:27.640]   You know the api on the new website was supposed to launch tomorrow. I'm known with some hiccups
[01:19:27.640 --> 01:19:32.840]   Not our fault not for kitchens fault, but uh with our some server certs and stuff
[01:19:32.840 --> 01:19:39.480]   Um, but when it launches there will be a public api that'll launch with it and I get a lot of requests from our
[01:19:39.480 --> 01:19:44.840]   Audience they for instance the one number one request that we get that we cannot we do not fulfill
[01:19:44.840 --> 01:19:49.880]   Why don't you have your rss feeds include every show you've ever done?
[01:19:51.240 --> 01:19:57.640]   Which is I think in my opinion a fundamental under misunderstanding what rss is the feeds are supposed to tell you there's a new show
[01:19:57.640 --> 01:20:03.480]   In fact there are people like this american life the feed has one show in it the current it well, but it's the poor man's api
[01:20:03.480 --> 01:20:10.360]   But that's what they've got right is the feed so they're saying well can you give us a feed with all 511 security now shows
[01:20:10.360 --> 01:20:15.640]   It would cost us so much money because the feed file would be one and a half megabytes
[01:20:16.120 --> 01:20:22.200]   Most podcast clients check every hour to see if there's an update because really what the feeds about is what's the new show
[01:20:22.200 --> 01:20:24.360]   And we have 70,000
[01:20:24.360 --> 01:20:28.120]   Downloaders or subscribers on security now so 70,000
[01:20:28.120 --> 01:20:33.000]   Mega no i'm sorry 105,000 megabytes an hour
[01:20:33.000 --> 01:20:36.680]   Yeah, uh, that's 100 terabytes an hour
[01:20:36.680 --> 01:20:40.920]   Every hour of every day would kill would we be out of business?
[01:20:41.720 --> 01:20:47.800]   But the new api so what i want to do and i think we'll do this is where i want to create a page of snippets page on our wiki
[01:20:47.800 --> 01:20:49.800]   with little
[01:20:49.800 --> 01:20:55.400]   Program snippets new api would make a trivial to write a little program in python or ruby or whatever that would just say
[01:20:55.400 --> 01:20:59.800]   Download all security now and then you go for a cup of coffee and then you're gonna have all the shows yeah
[01:20:59.800 --> 01:21:03.000]   So we'll so that's how we're gonna fulfill that request
[01:21:03.000 --> 01:21:06.360]   We shouldn't recommend that people do that because that's gonna be huge
[01:21:06.360 --> 01:21:11.640]   Well, I guess somebody real some people do for some reason. That's the one show. Nobody says can I have every episode?
[01:21:12.200 --> 01:21:15.160]   Oh, or tech news. I'm gonna know what the breaking news was two years again
[01:21:15.160 --> 01:21:15.960]   Yeah, nobody cares
[01:21:15.960 --> 01:21:19.560]   But security now is really about teaching you about yeah computers and security and
[01:21:19.560 --> 01:21:23.560]   There's a lot of schools use it professors use it in classes and so forth
[01:21:23.560 --> 01:21:26.600]   So I can talk me into it. I want them all yeah, you should have them all
[01:21:26.600 --> 01:21:29.160]   What we should really do is sell a uh
[01:21:29.160 --> 01:21:31.640]   DVD set
[01:21:31.640 --> 01:21:35.560]   Yes, or just ask the nsa that's right
[01:21:35.560 --> 01:21:40.600]   Uh, any other stories here google's now on tap finds in and answers
[01:21:40.600 --> 01:21:46.840]   We talked about that before I think if you have you played with the new touch to search feature in in mobile chrome
[01:21:46.840 --> 01:21:56.280]   No, is it already out? It's out. It's out. I have it so so when I when I um, you know go to a web page where your name is on it
[01:21:56.280 --> 01:21:57.960]   Yeah
[01:21:57.960 --> 01:22:04.040]   Tap on your name and hold down and it pulls up a search request based on that wow in context
[01:22:04.040 --> 01:22:07.960]   See if it works for you and android. Do you have an android phone with you?
[01:22:08.280 --> 01:22:14.840]   No, I haven't I'm so embarrassed mike and I are both using iPhones. Oh, I'm ashamed of you out out
[01:22:14.840 --> 01:22:21.080]   The shop taking it over the show decided it was it's a little pretty fickle of me to have an android phone
[01:22:21.080 --> 01:22:28.840]   And an android where watch during twig but where an iphone and i apple watch during mac pree quickly. We need to i need to be consistent
[01:22:28.840 --> 01:22:35.160]   mr. Howl mr. Howl. Do you have an android phone? I know you do i might
[01:22:35.960 --> 01:22:40.520]   Let's take over the show Jason just turn off their cameras. It's yours in mind
[01:22:40.520 --> 01:22:42.520]   Oh lord
[01:22:42.520 --> 01:22:45.160]   They are the all the port danger the old report
[01:22:45.160 --> 01:22:48.200]   Warning warning
[01:22:48.200 --> 01:22:49.960]   Uh, no, I'm you know
[01:22:49.960 --> 01:22:56.200]   I actually have rapidly covered the conclusion that smart watches in general and the apple watch specifically is our dopey
[01:22:56.200 --> 01:23:01.320]   And I and I don't I don't want to wear them anymore, but I feel like I can't we'll get to that in a second
[01:23:01.320 --> 01:23:03.640]   But uh, so Jason do you have is working for you?
[01:23:03.720 --> 01:23:06.280]   That's what i'm trying to do right now so far. I'm not so what do you do?
[01:23:06.280 --> 01:23:10.280]   Take it over hosting the show now because it describes this posture in the host chair
[01:23:10.280 --> 01:23:15.800]   Just cry on this theory. How do you do it? What are you? Yeah? Yeah, it's okay. So it's working. Um here
[01:23:15.800 --> 01:23:18.520]   Let me see. I'm not sure if you're gonna. What's he supposed to do to see it?
[01:23:18.520 --> 01:23:22.920]   All you basically is yeah, it's hard to show but basically I selected
[01:23:22.920 --> 01:23:29.000]   Spotify and the wall of text and down at the bottom step low is this little contextual thing that rose up
[01:23:29.000 --> 01:23:33.400]   So I can scroll up on that. Oh, that's the now on tab. There we go. That's a search
[01:23:33.640 --> 01:23:38.120]   So when I hit web page all you do is mark a word and it will create a search query, right?
[01:23:38.120 --> 01:23:40.440]   Right there
[01:23:40.440 --> 01:23:42.440]   It's wonderful. Here's a yeah
[01:23:42.440 --> 01:23:48.200]   Here's another miraculous thing apple can't do that. Well, here's something you can do on apple that is actually a google feature
[01:23:48.200 --> 01:23:53.240]   It's the location based search and it includes voice search. This is amazing. Check this out
[01:23:53.240 --> 01:23:57.480]   I'm gonna do a google now. Yeah, this is cool. This is the coolest thing. Okay, so here we go
[01:23:57.480 --> 01:24:00.760]   What is the address of this place?
[01:24:01.720 --> 01:24:04.840]   Which place did you mean?
[01:24:04.840 --> 01:24:09.560]   And it's given me three of the things in the neighborhood. It could be enough. Yeah, because it doesn't know exactly
[01:24:09.560 --> 01:24:14.760]   And we'll get to the we'll get to the um, okay, so it's give me the address of twit now
[01:24:14.760 --> 01:24:20.760]   Now check this out now. I'm gonna go back to the search and now I've told I've told it where you are. Yeah, and now I'm gonna say
[01:24:20.760 --> 01:24:23.720]   What is the phone number of this place?
[01:24:27.800 --> 01:24:34.360]   It doesn't say it. It just shows you don't have a phone. See is 800 605 89 4 8. Wow. Yeah, so
[01:24:34.360 --> 01:24:41.560]   Basically depending so it takes the little key. That's the right phone. Yeah. Yeah, and so this is fantastic. I don't even have a phone number
[01:24:41.560 --> 01:24:44.360]   Nobody answers it right
[01:24:44.360 --> 01:24:49.240]   Don't get me wrong. We're gonna create an API where you can call with your
[01:24:49.240 --> 01:24:52.920]   You'll get a you'll get my voice saying what do you want?
[01:24:53.960 --> 01:25:00.760]   Now that also works with um like landmarks, so say you're outside court tower and you actually don't know what court tower is you can say
[01:25:00.760 --> 01:25:07.080]   What do you know? What is this place in front of me and it'll say that's quite tower. So it'll identify so is that kind of now on tap
[01:25:07.080 --> 01:25:15.560]   Early release because now on tap because Chris could do google now now. Yeah, so it's context. Yeah, it's the power of context. Yeah
[01:25:15.560 --> 01:25:19.800]   Which which by the way is data its privacy?
[01:25:19.800 --> 01:25:22.680]   tower
[01:25:23.640 --> 01:25:24.120]   Oh
[01:25:24.120 --> 01:25:29.080]   Well, I uh, I can't wait. That's exactly it's exciting. Yeah, uh, also
[01:25:29.080 --> 01:25:32.040]   Android tv
[01:25:32.040 --> 01:25:37.800]   I bought the uh, Nvidia shield android tv installed it in my home. I like it
[01:25:37.800 --> 01:25:43.240]   Uh, it's a little it feels limited because it for instance the first thing you do is download Netflix
[01:25:43.240 --> 01:25:47.480]   It didn't come with Netflix. It doesn't have amazon which bugs me
[01:25:47.480 --> 01:25:52.120]   But it does have hulu. It's very nice in the goog if you live in the google world google music
[01:25:52.200 --> 01:25:55.560]   I can play through my stereo because it's part of my home theater system
[01:25:55.560 --> 01:26:03.960]   Uh, it feels fairly snappy, but it's really android. It really feels like android the store though will only show you tv appropriate apps much like google tv did
[01:26:03.960 --> 01:26:06.440]   couple of years back
[01:26:06.440 --> 01:26:10.760]   Uh, but apparently there are 600 of those tv apps
[01:26:10.760 --> 01:26:17.080]   Uh, you can browse them and and find them a lot of games mostly. I would say almost all games
[01:26:17.080 --> 01:26:21.640]   Um, I immediately installed cross-e-road kind of fun to play cross-e-road
[01:26:21.880 --> 01:26:23.880]   Oh, I'm at 70 inch screen
[01:26:23.880 --> 01:26:29.800]   That's kind of fun and it works it comes the shield comes with a game controller not the remote
[01:26:29.800 --> 01:26:33.560]   So you're playing with a game controller. I think you can get a remote. That's right
[01:26:33.560 --> 01:26:39.080]   Both of the both the controller and their mo you could talk to directly so I think everything's gonna be speech-enabled
[01:26:39.080 --> 01:26:41.080]   I think they'll have to have different names though, right?
[01:26:41.080 --> 01:26:43.480]   Uh, because otherwise they're all gonna respond
[01:26:43.480 --> 01:26:49.320]   Uh more have a sensor in them that detects that you're holding it. Maybe therefore that's the way you intend
[01:26:49.320 --> 01:26:51.320]   I think in fact, that's the plan for some of these yeah
[01:26:51.880 --> 01:26:57.080]   Um, and and it's going to become so ubiquitous that we're gonna all have to be very careful about what we say
[01:26:57.080 --> 01:27:02.120]   On our shows because we're going to be triggering all this voice stuff that happened to me the other day
[01:27:02.120 --> 01:27:05.720]   I know my I was taught we were talking about the amazon echo and I can't say
[01:27:05.720 --> 01:27:11.320]   And her her amazon echo launched into it fortunately. She's the only person in the world that has one
[01:27:11.320 --> 01:27:14.840]   But right but but people are going to have the you know google now they're gonna have syri
[01:27:14.840 --> 01:27:16.040]   They're gonna have all this stuff. It's gonna be a big problem
[01:27:16.040 --> 01:27:19.880]   So what we do now is we have different names like syri's real name is the name
[01:27:20.120 --> 01:27:23.320]   And you will have to start publishing a guide. Yeah slomo
[01:27:23.320 --> 01:27:32.200]   So we say hey slomo and like yeah, uh, I think we decided that amazon's echo name wouldn't be a l ex a
[01:27:32.200 --> 01:27:36.280]   But uh, I don't know what we decided what do we decide we had a name
[01:27:36.280 --> 01:27:40.440]   Uh, what if we call her, uh, alberta
[01:27:40.440 --> 01:27:47.560]   And then google now we don't have to worry about that, but you can't say okay google. Oh god. I just did i'm so sorry
[01:27:49.720 --> 01:27:54.920]   Uh, my xbox is xbox. So if I say well for you all say syri, uh, syri
[01:27:54.920 --> 01:28:02.600]   No, slomo. Oh, yeah. Hello sailor. That's what dr. Mom calls her al xa is sailor say a sailor
[01:28:02.600 --> 01:28:10.280]   The problem is you can't the the echo you can't you can't you only have two choices amazon or the right or the other name
[01:28:10.280 --> 01:28:11.400]   Yeah
[01:28:11.400 --> 01:28:15.400]   The problem with that also is it's just the name. There's no hey. Yeah, right?
[01:28:15.480 --> 01:28:23.000]   So if you just say her name, but the hey thing that the syri has now is just really dumb. I feel it it feels like hey syri
[01:28:23.000 --> 01:28:27.720]   So you know why they do it the same reason google has a multiple slabble
[01:28:27.720 --> 01:28:37.320]   Uh, oh, huh? Okay, four syllables, right? Um, hey syri is not enough because uh, frankly my syri
[01:28:37.320 --> 01:28:42.360]   If I have my iphone plugged in this turned on it wakes up for tv shows it wakes up in the middle of the night
[01:28:42.440 --> 01:28:45.240]   I don't know because I'm snoring hey syri. I don't know and then
[01:28:45.240 --> 01:28:51.400]   Uh, so the longer the better I have actually made my uh, my phone my moto xa. Okay. Well help me
[01:28:51.400 --> 01:28:54.440]   Obi-Wan Kenobi and that one it never went off by accident
[01:28:54.440 --> 01:29:01.880]   So false triggers are giving a big problem. You didn't add your my only hope to no I thought that's a little too long
[01:29:01.880 --> 01:29:02.920]   Okay
[01:29:02.920 --> 01:29:05.240]   a little too long apple tv has
[01:29:05.240 --> 01:29:08.280]   If they had apps 70 apps
[01:29:08.840 --> 01:29:13.720]   Roku has 2000 apps fire tv 1700 apps
[01:29:13.720 --> 01:29:23.080]   So google has a little catch enough to do yeah android tv also just um did something that they've needed to do since they launched and updated the play store
[01:29:23.080 --> 01:29:24.200]   so now
[01:29:24.200 --> 01:29:32.520]   Um, now you can find all the android tv apps on android tv before it was like it was curated list and right you knew there were more out
[01:29:32.520 --> 01:29:35.240]   There because if you went on the web you can install things to it
[01:29:35.880 --> 01:29:41.160]   Uh, now you can find it all through android tv. This is interesting the next version of android will give app publishers the ability
[01:29:41.160 --> 01:29:45.080]   To program linear tv channels that is live streaming
[01:29:45.080 --> 01:29:50.200]   Uh, well not live's not the right word, but you could watch h you could watch uh, abc. Yeah
[01:29:50.200 --> 01:29:54.120]   Um, that's good for us. That means a twit app could be
[01:29:54.120 --> 01:29:57.720]   On the you could watch twit that way. Yeah
[01:29:57.720 --> 01:30:01.960]   All right, so if I go to the play.google.com
[01:30:01.960 --> 01:30:04.760]   And I search for tv
[01:30:05.160 --> 01:30:07.720]   What do I search for? Oh mo- no apps
[01:30:07.720 --> 01:30:14.680]   Yeah apps. Yeah, I'm not sure that there is a category specific for android tv. Um, do you see one boo?
[01:30:14.680 --> 01:30:18.040]   I don't see one
[01:30:18.040 --> 01:30:20.040]   pretend to play
[01:30:20.040 --> 01:30:22.680]   Should I click that I would not
[01:30:22.680 --> 01:30:28.920]   It's in the family block. Is that pony play? What is that? Okay, that's something else then comes with a safe word
[01:30:34.760 --> 01:30:36.280]   Okay
[01:30:36.280 --> 01:30:43.160]   So I get on the on the shield though that it will give me a yeah, you'll get a list of only the things that are android tv
[01:30:43.160 --> 01:30:47.400]   Yeah, you can't see anything that's not right. Yeah, you know what I'd love to see google do
[01:30:47.400 --> 01:30:49.400]   Uh, and jeff what would google do?
[01:30:49.400 --> 01:30:51.240]   Um, I'd love to see
[01:30:51.240 --> 01:30:55.880]   So microsoft today unveiled the more details about their service hub
[01:30:55.880 --> 01:30:59.000]   And the microsoft service hub is a
[01:30:59.720 --> 01:31:05.000]   Beautiful product. It is a stunningly good product perfect for its purpose
[01:31:05.000 --> 01:31:08.840]   And you know we can go into that. I'm sure you guys went into that
[01:31:08.840 --> 01:31:12.760]   And are going to go into additional detail on that on on windows weekly, but
[01:31:12.760 --> 01:31:15.480]   Uh, I would love to see google spearhead
[01:31:15.480 --> 01:31:22.840]   The consumerization of something like the service hub in other words and and imagine an android tv that was a that was a 4k
[01:31:22.840 --> 01:31:25.400]   touch display with two
[01:31:25.880 --> 01:31:31.480]   HD cameras lots of sensors where you can interact with it and a whiteboard kind of thing play games that
[01:31:31.480 --> 01:31:33.560]   Were you touch the screen or maybe you don't touch the screen?
[01:31:33.560 --> 01:31:36.120]   But I would love to see the tv
[01:31:36.120 --> 01:31:42.360]   Uh, the tv be replaced by something that is a very high resolution touch display like the service hub
[01:31:42.360 --> 01:31:44.440]   I think consumer we're gonna
[01:31:44.440 --> 01:31:50.280]   We're gonna buy a surface hub fantastic. Uh, they are really for the shows right or
[01:31:50.280 --> 01:31:52.920]   Yeah, no, not for my house because
[01:31:54.040 --> 01:31:57.400]   I'd like to show you a PowerPoint presentation. That's right
[01:31:57.400 --> 01:32:01.000]   But you've been having trouble sleeping lately. So i'm going to show you a power bill
[01:32:01.000 --> 01:32:07.320]   No, but they're set they're expensive. So the 55 inches 7 000. Yes, the 85 inches 20 000
[01:32:07.320 --> 01:32:13.400]   Yes, but it is a thing of beauty. I saw it in septus going friday. It is just
[01:32:13.400 --> 01:32:20.520]   I mean, it's just it's so good. It's so high. We love this in classes, right? Yes, absolutely
[01:32:21.080 --> 01:32:26.760]   Yeah, it's I think classes are actually classes in board rooms or meeting rooms conference rooms are really where this is designed
[01:32:26.760 --> 01:32:30.840]   But for education, I love to see the android version because I think they could get the price down
[01:32:30.840 --> 01:32:35.720]   I mean microsoft is building this in Oregon and it's a it's a it's a it's a good price
[01:32:35.720 --> 01:32:39.800]   You know, they make a compelling case about how the things that it replaces
[01:32:39.800 --> 01:32:43.480]   It's far cheaper than the things that it replaces the projector and all the rest
[01:32:43.480 --> 01:32:47.080]   But but it's still 20, you know, $20,000 a lot of money
[01:32:47.640 --> 01:32:52.040]   I'd love to see google spearhead a project where all these different tv
[01:32:52.040 --> 01:32:58.040]   You know sony and sam's on these different companies are competing with each other on price to get that down under $10 000 for the big 80
[01:32:58.040 --> 01:33:00.280]   There's a sam's lung version of this
[01:33:00.280 --> 01:33:08.040]   I saw it at the ephone Berlin. I that's funny because I saw it on tv in hasa cart
