;FFMETADATA1
title=93 Million Selfies
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=255
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.120]   It's time for Twig is Weekend Google and we are just back from the Google I/O keynote.
[01:07:43.920 --> 01:07:49.360]   There's a magnet. Yeah, there's a magnet. We're not clear on why that magnet is there. I don't know it must um anchor the
[01:07:49.920 --> 01:07:54.880]   Film where's that? Yeah, a rubber band the magnet and some some glue
[01:07:54.880 --> 01:08:02.240]   Yeah, it's so weird. Yep, so weird
[01:08:02.240 --> 01:08:06.080]   Well, I'm glad to have one actually. Thank you for bringing it. Oh sure
[01:08:06.080 --> 01:08:09.440]   Check eBay because I'm wondering if I checked a minute
[01:08:09.440 --> 01:08:14.400]   Did you show up in the show? Let's just see if it's just what are you searching for cardboard? Yeah
[01:08:14.400 --> 01:08:17.440]   Google cardboard, right? No
[01:08:17.600 --> 01:08:22.000]   You know, I was chatting chatting with a googler a little bit last night and was saying that you know
[01:08:22.000 --> 01:08:27.040]   There's still this these two product lines the chrome line and the android line that still exists
[01:08:27.040 --> 01:08:31.360]   And I think that it it couldn't be a source of confusion if not for consumers and certainly for for developers
[01:08:31.360 --> 01:08:37.600]   You have the two open source platforms. It still seemed to be you know hooked into one another but solving the same problems and what's going on
[01:08:37.600 --> 01:08:45.280]   And he said, you know, I think I think the idea was that like one of them would really succeed and the other wouldn't but it turned out that they both really succeeded
[01:08:45.760 --> 01:08:50.400]   So, you know, we're keeping them around and we know it's a potential source of confusion
[01:08:50.400 --> 01:08:52.800]   But they're both doing so well and solving problems
[01:08:52.800 --> 01:08:58.800]   And so and I think you know today what we saw I think another takeaway from today was this marriage between I think chrome and android are starting to
[01:08:58.800 --> 01:09:03.600]   Come together. I mean android is not a browser. Yeah chrome is a browser
[01:09:03.600 --> 01:09:09.440]   But now what the other we didn't talk about before the fact that in in your in your recent's on the phone
[01:09:09.440 --> 01:09:13.360]   Yes, it mixes in web pages and applications
[01:09:13.840 --> 01:09:17.200]   Tabs considered a singular singular activity and in search
[01:09:17.200 --> 01:09:23.280]   You can go in and one of the results on the search can be an app that you happen to have so apps are android
[01:09:23.280 --> 01:09:29.680]   Chrome is the web and they are now starting to mix in so this whole idea that in my world media is
[01:09:29.680 --> 01:09:35.440]   Well, you're either the web's dead and we're all gonna have apps oops. Nobody downloads and runs the apps were all the web
[01:09:35.440 --> 01:09:38.000]   And in google they're mixed in
[01:09:39.600 --> 01:09:45.680]   What did you think of the and did you understand the chrome book integration with an ad?
[01:09:45.680 --> 01:09:48.320]   Tell me I don't even you laugh when I said
[01:09:48.320 --> 01:09:51.520]   So we were exhausted at that point it was really really late
[01:09:51.520 --> 01:09:54.080]   Does they were running android apps?
[01:09:54.080 --> 01:09:58.560]   You were really keyed into this I just was like so excited next to me. I could feel this excitement
[01:09:58.560 --> 01:10:00.720]   This could be huge
[01:10:00.720 --> 01:10:06.400]   I understand it so they're running android apps. They're running android apps on chrome favorite. Not in mind you. I already have
[01:10:06.400 --> 01:10:08.080]   um
[01:10:08.080 --> 01:10:12.400]   Dropbox is it a chroma everton so he showed ever note he had ever note on his phone
[01:10:12.400 --> 01:10:15.120]   And it was exact same
[01:10:15.120 --> 01:10:18.880]   On his now is that because he installed as a chrome extension?
[01:10:18.880 --> 01:10:22.480]   I think I think there must be some kind of runtime android on here
[01:10:22.480 --> 01:10:24.000]   There's gotta be a run
[01:10:24.000 --> 01:10:28.160]   But what it means is that is that I can put again the phone becomes the center of everything
[01:10:28.160 --> 01:10:31.360]   So I can show on the tv or on my laptop
[01:10:31.360 --> 01:10:36.000]   Android if I have a nap that I like and I like the way it operates. I can now run it on my
[01:10:36.800 --> 01:10:42.080]   Chromebook now it's chrome book. It's not chrome. It's not it's not other operating systems
[01:10:42.080 --> 01:10:45.920]   It's just this operating system, but they're pro they're probably proud of the chrome book
[01:10:45.920 --> 01:10:49.840]   Success they showed vine which is not available on the chrome book
[01:10:49.840 --> 01:10:56.800]   Right, right and it looked like it was the vine it was the aspect i wonder about can I finally get um
[01:10:56.800 --> 01:10:59.200]   um
[01:10:59.200 --> 01:11:01.200]   Microsoft's dear phone service skype
[01:11:01.200 --> 01:11:03.840]   Skype too would be one of them
[01:11:04.800 --> 01:11:09.040]   Um, does it is do you have to go to the chrome store and install?
[01:11:09.040 --> 01:11:12.720]   Yeah, they said that it's still still the still early days
[01:11:12.720 --> 01:11:18.320]   And of course, you know the pixel. I think is the only touch screen no no no there are other
[01:11:18.320 --> 01:11:20.160]   There are
[01:11:20.160 --> 01:11:24.640]   We could use the trackpad to do touch yes, so you would work
[01:11:24.640 --> 01:11:32.560]   Um, they showed flip board which is also not on chrome right right right flip board ever note and vine they showed they can it can show in a
[01:11:32.560 --> 01:11:34.560]   It's kind of yeah, so what this does
[01:11:34.560 --> 01:11:38.800]   It strengthens chrome because you can get tons more apps on chrome now
[01:11:38.800 --> 01:11:44.640]   It strengthens strengthens the link between android and chrome which was i point earlier that they were really becoming much better integrated
[01:11:44.640 --> 01:11:48.000]   Uh, and it says that mobile is preeminent uber allis
[01:11:48.000 --> 01:11:55.600]   So uh, they were not at all clear about the mechanics, but no i'm not gathering that the idea is
[01:11:55.600 --> 01:12:00.880]   You will then see an app in the chrome. I don't understand
[01:12:02.080 --> 01:12:08.080]   Yeah, I don't understand right it sounds like so will there be a separate app store for chrome books that is android apps
[01:12:08.080 --> 01:12:14.160]   Will that's a good question because it said some of your favorite apps
[01:12:14.160 --> 01:12:17.920]   So it it didn't say all apps will suddenly run
[01:12:17.920 --> 01:12:22.000]   You do have to love the idea that you can unlock the chrome book by getting near it with
[01:12:22.000 --> 01:12:23.840]   Yeah, that's cool. That's what i mean.
[01:12:23.840 --> 01:12:29.200]   In my 8 20 character no, it's 32 character google password every time
[01:12:29.920 --> 01:12:35.200]   I always get frustrated on my phone too when I want to get to my cards. I've got it right so the fact that they're thinking that way
[01:12:35.200 --> 01:12:40.400]   Uh, I think we all have the dedication stuff. They didn't promo us will also show notifications
[01:12:40.400 --> 01:12:45.120]   From your phone, but we use push bullet something you recommend. I really like yeah
[01:12:45.120 --> 01:12:50.000]   I like it a lot all the time on all my devices at some point where vijai said uh, oh, yeah
[01:12:50.000 --> 01:12:54.960]   I got a notification on my chrome OS that my battery was running low and i'm such a delightful experience
[01:12:54.960 --> 01:12:58.480]   Tonight's turn to japan said that's never a delightful experience
[01:12:59.280 --> 01:13:02.400]   Never a like full of your batteries running out. I don't like
[01:13:02.400 --> 01:13:07.920]   What it's a chrome extension that allows for the downloading of android apps
[01:13:07.920 --> 01:13:13.280]   Says android central it looked like it was running in a hangouts like window
[01:13:13.280 --> 01:13:19.440]   Uh for on the screen. Yes, so that so it sounds like it was no extension. Uh chrome books are intel, right?
[01:13:19.440 --> 01:13:25.280]   Are they in my arm? Are they arm or the intel? That's an intel device, isn't it?
[01:13:25.680 --> 01:13:29.520]   I think it's intel there was a little robot dressed in an intel. So the apps are gonna have to run in
[01:13:29.520 --> 01:13:32.480]   uh, oh hold on hold on because these are our maps, right?
[01:13:32.480 --> 01:13:36.720]   I just I just referred to something where I geeky way to do it in 2012. Oh
[01:13:36.720 --> 01:13:39.920]   They're talking about
[01:13:39.920 --> 01:13:45.680]   Blue stacks probably yeah, but we can do the blue stacks is an emulator so blue stacks lets you run android apps on windows
[01:13:45.680 --> 01:13:48.240]   You're mad it's gonna be something like blue stacks. I would think
[01:13:48.240 --> 01:13:54.960]   But unless it's casting from your phone, which is not that I wasn't mirroring. I was running it was running. Yeah. Yeah
[01:13:55.280 --> 01:13:56.560]   Um
[01:13:56.560 --> 01:14:00.960]   Yeah, it was an odd thing to spend but here your point about here is an odd thing to spend time on
[01:14:00.960 --> 01:14:04.240]   If they made a version of art that ran on intel
[01:14:04.240 --> 01:14:09.360]   Arts the runtime, right then you could take an APK and just run it right. Yeah
[01:14:09.360 --> 01:14:12.560]   well
[01:14:12.560 --> 01:14:18.720]   Except for different calls. I mean you need the android layer. Yeah, just gonna have to be a wine like yeah a layer of android
[01:14:18.720 --> 01:14:24.480]   Right calls. Otherwise it wouldn't work. Yeah, Jason how old during the keynote was saying android laptop
[01:14:24.480 --> 01:14:30.240]   And he's like this is basically it right no, but it with all the benefits of a Chromebook right right right?
[01:14:30.240 --> 01:14:33.200]   Which are many by now I
[01:14:33.200 --> 01:14:40.240]   I've come around you know, I know I I for education you you you you think that crow well
[01:14:40.240 --> 01:14:44.560]   Anywhere you don't want to have your user be able to do anything
[01:14:44.560 --> 01:14:51.440]   Chromebook is an excellent choice. I do everything the more than a year that right struggle or that no one is not
[01:14:52.000 --> 01:14:54.160]   No, we give out. Where does it call that?
[01:14:54.160 --> 01:14:56.160]   Crowna
[01:14:56.160 --> 01:15:00.080]   No, because I couldn't get
[01:15:00.080 --> 01:15:03.200]   Netflix no Netflix on crouton
[01:15:03.200 --> 01:15:10.320]   But now on home you can download movies and shows and yeah, no, it's a beautiful more than a year. This has been my machine
[01:15:10.320 --> 01:15:14.640]   It's interesting that they use the Amazon sales rankings as they're sort of
[01:15:14.640 --> 01:15:21.920]   There's actually a lot of mention of other companies right there was represent by the top 10 top 10 highest rated laptops on amazon
[01:15:22.560 --> 01:15:28.880]   And there was a lot of that right they talked about the twitter dev rel group gave them access to the streaming api for them to show the google
[01:15:28.880 --> 01:15:34.000]   Cloud live stuff. There was a few mentions of samsung contributing their not stuff the android l there was the
[01:15:34.000 --> 01:15:36.880]   Amazon
[01:15:36.880 --> 01:15:40.320]   That was that was peace right there. Yeah, right but while we're talking about other companies
[01:15:40.320 --> 01:15:44.080]   Let us have a moment to curse
[01:15:44.080 --> 01:15:47.280]   Verizon
[01:15:47.280 --> 01:15:53.440]   Now what because when people bought the oh, this is a bad one and google had to make this google had to make it good
[01:15:53.440 --> 01:15:59.440]   It wasn't google's fault for rising you when I when I spent fourteen hundred dollars on my pixel chrome book
[01:15:59.440 --> 01:16:05.920]   I got light what lifetime no well. Yeah lifetime or two years. I forget like i'm out of tears tears
[01:16:05.920 --> 01:16:08.560]   Data from verizon hundred megs a month not much
[01:16:08.560 --> 01:16:11.360]   But it was you know you could when you're in a pinch you got it
[01:16:11.360 --> 01:16:16.400]   And then verizon just started cutting off for the year saying f you'd all upper cost perces. That's what we do
[01:16:16.480 --> 01:16:18.720]   We're right wait a minute. They just cut off
[01:16:18.720 --> 01:16:23.360]   They said we're not gonna give you two years. Yeah, they just started stopping it and customers didn't know
[01:16:23.360 --> 01:16:27.280]   And something their year comes up because it's about now for a lot of people and they just stop
[01:16:27.280 --> 01:16:32.160]   And so I know i'm shrieking what's wrong? Uh, well a lot of things
[01:16:32.160 --> 01:16:36.000]   Uh, and so then google is giving out a hundred fifty dollar
[01:16:36.000 --> 01:16:41.040]   Uh give certificates. Well, that's gonna cost them like fifteen hundred bucks. Hey, hey, hey
[01:16:42.640 --> 01:16:48.000]   Hey, you mean every single person about a chrome book will get a hundred fifty dollars. Well, there's a chrome book lte. Oh
[01:16:48.000 --> 01:16:52.640]   Um, like I said, it's cut so it's thirty five dollars thousands. They're gonna be out
[01:16:52.640 --> 01:16:59.280]   Breaking chops as usual
[01:16:59.280 --> 01:17:03.280]   Seriously, how many people do you think they're not ready? I've any yeah, no seriously
[01:17:03.280 --> 01:17:07.040]   But verizon what what so i mean, what's wrong with verizon i agree?
[01:17:07.040 --> 01:17:11.040]   That's not nice. Ah not nice verizon
[01:17:12.000 --> 01:17:14.640]   Uh, they did bury a lot of nuggets
[01:17:14.640 --> 01:17:20.160]   And I have to say i'm i felt like there were crumbs things like well, we bought quick office
[01:17:20.160 --> 01:17:25.120]   So now you can use google docs and edit native native
[01:17:25.120 --> 01:17:28.400]   Yeah, yeah
[01:17:28.400 --> 01:17:31.680]   It felt like a yeah, they turned microsoft into an api they just cut into
[01:17:31.680 --> 01:17:36.080]   They also said if you now this was a little bit of a
[01:17:37.280 --> 01:17:42.400]   Fudge they said ten bucks for unlimited data for google drive if you use google drive for business
[01:17:42.400 --> 01:17:46.880]   But they didn't mention is that's only if five of you buy google drive for business
[01:17:46.880 --> 01:17:53.840]   And ten bucks each otherwise if just one of you buys it, it's just a terabyte but in fact terabyte is a lot of yeah
[01:17:53.840 --> 01:17:57.600]   Uh, they certainly are and have been undercutting the prices
[01:17:57.600 --> 01:18:02.960]   That was there was two angles i was going up to the work audience one was being able to have a work partition on your phone
[01:18:03.360 --> 01:18:08.080]   And two that was the thanks to knocks by sam's right and then two was being able to use
[01:18:08.080 --> 01:18:15.280]   Docs they added functionality office to drive right in terms of office and more security and storage
[01:18:15.280 --> 01:18:21.680]   To try to encourage more companies and the percentages the number of colleges that have gone google was really impressive
[01:18:21.680 --> 01:18:24.720]   It was high the colleges universities were the highest
[01:18:24.720 --> 01:18:28.560]   So they broke out fortune 500 colleges universities and startups
[01:18:29.040 --> 01:18:34.240]   Now if you if you told me that I would have said well, obviously start most you know the highest percentage of you know groups
[01:18:34.240 --> 01:18:41.040]   Those groups that have gone google I would have said startups. It wasn't it was universities. Yes. Yeah, right and then and then
[01:18:41.040 --> 01:18:45.920]   Colorado is google. Yeah, we're trying to switch a kidney. Yeah, are you?
[01:18:45.920 --> 01:18:50.560]   My mr. Bartlett my dean growls at me every time she can't do
[01:18:50.560 --> 01:18:57.040]   Uh edit trace or well, I mean and now you can't be happy red by means that is gonna be happy
[01:18:58.720 --> 01:19:00.320]   um
[01:19:00.320 --> 01:19:04.000]   Yeah, the gosh there's a lot here that they I mean was fine, but they could have cut
[01:19:04.000 --> 01:19:09.040]   They need a they need a tougher editor. They needed car their cards to be prioritized
[01:19:09.040 --> 01:19:13.680]   This is I think where the structure of google really hurts them because they're trying to keep everybody
[01:19:13.680 --> 01:19:16.800]   Within an entrepreneurial spirit and the feeling of autonomy
[01:19:16.800 --> 01:19:19.520]   But then what happens and you can see this it must have happened
[01:19:19.520 --> 01:19:23.520]   Is that they all that they the call went out. All right who wants to present a IO
[01:19:24.000 --> 01:19:29.200]   Me me me okay who and then they did some sort of process. Yeah, then what they got was mud
[01:19:29.200 --> 01:19:35.280]   And we started the list of what wasn't there though. Well number one. I didn't see any google glass
[01:19:35.280 --> 01:19:38.080]   They saw glass holes
[01:19:38.080 --> 01:19:42.480]   Lots of people wearing glass. No googlers wearing glass. Although they did update glass
[01:19:42.480 --> 01:19:46.640]   Today they have a new version of glass that has two gigabytes of ram
[01:19:46.640 --> 01:19:50.720]   You're not gonna get I don't use 10 megabytes of my class because I don't use it
[01:19:50.800 --> 01:19:54.960]   But I found we're an explorer. I feel well, you know what when you became an explorer you understood
[01:19:54.960 --> 01:19:59.680]   This is a beta program. This is not going to be the final so they've doubled the ram
[01:19:59.680 --> 01:20:01.760]   um
[01:20:01.760 --> 01:20:04.640]   And you're not going to get it. Uh, what would you would you know?
[01:20:04.640 --> 01:20:07.120]   So they just put them on sale in the UK would you invest in it now?
[01:20:07.120 --> 01:20:09.440]   When they didn't brag about it when they didn't do anything about it?
[01:20:09.440 --> 01:20:16.480]   No, no, no, sorry nice people nice interesting technology a lot of things done. I go back to what I said before
[01:20:16.480 --> 01:20:18.560]   three functions
[01:20:18.560 --> 01:20:23.520]   That we kind of always said this I always said this is I also said this is to the iPhone
[01:20:23.520 --> 01:20:26.640]   What the this is this is whatever follows what they knew
[01:20:26.640 --> 01:20:32.800]   Newton yeah, it's a new 12 new apps including shazam so you can say okay glass recognizes song
[01:20:32.800 --> 01:20:39.360]   I can pull out my phone and do it. I mean, okay glass a basketball training aid
[01:20:39.360 --> 01:20:45.600]   You need to get a specially equipped basketball and you throw it and then you get the little feedback after each shot
[01:20:46.960 --> 01:20:51.280]   It went in it didn't go in I can tell that now it never goes in. I got an F thrown in hard
[01:20:51.280 --> 01:20:56.240]   Yeah, make sure you get the arc the perfect arc. You've released is poorly timed
[01:20:56.240 --> 01:20:58.240]   swish
[01:20:58.240 --> 01:21:01.200]   Maybe it will say swish put that sensor in a golf ball
[01:21:01.200 --> 01:21:03.680]   You know what?
[01:21:03.680 --> 01:21:07.680]   They should go for the golf ball. Everything is the basketball crowd. They've got more money to spend on glass
[01:21:07.680 --> 01:21:12.960]   Yeah, you're more isolated with a golf course. Don't be gonna see you look like a dork, right?
[01:21:13.600 --> 01:21:19.920]   You already do look like a dork. I wear a lot of glass holes wearing tasseled shoes in a glass out there on the I can see
[01:21:19.920 --> 01:21:22.320]   Yeah
[01:21:22.320 --> 01:21:27.440]   They all you get driving directions for your cart. Yeah, I can see it. Yeah, also nothing about google plus
[01:21:27.440 --> 01:21:31.520]   That's let's say there for a second last week to last year that they talked about google. Oh, yeah
[01:21:31.520 --> 01:21:37.360]   Yeah, we were very excited. Yeah, yeah, vik was talking. Yeah. Oh, yeah, it was where i was there and i remember saying
[01:21:37.360 --> 01:21:41.600]   We saw Bradley last night at the street. They did events and I mean there was a lot of there was a lot of
[01:21:41.920 --> 01:21:45.760]   Is that when they redesigned the app? Yep, there was not a not a word about it
[01:21:45.760 --> 01:21:46.960]   Not a syllable
[01:21:46.960 --> 01:21:49.840]   And and i've been arguing that you know i'm one of the ones that holds out
[01:21:49.840 --> 01:21:53.760]   I still like google plus and people make fun of me and all that but now i'm still using here
[01:21:53.760 --> 01:21:57.840]   I would say in the brick house. It's our number one social network by far
[01:21:57.840 --> 01:22:02.560]   One thing I heard from somebody who talked to a googler that they might either gonna start splitting up
[01:22:02.560 --> 01:22:10.000]   Google plus this is this is this is fourth hand so who knows but but the argument is that if you look at what you can do with photos and google
[01:22:10.000 --> 01:22:14.560]   Plus it's incredible it is nobody knows it because it's inside the plus
[01:22:14.560 --> 01:22:17.840]   Make up it and you know i made this point on the show a couple of weeks ago
[01:22:17.840 --> 01:22:22.960]   Zuckerberg talking about breaking up the big blue app. He doesn't care if you're using what's app use what's app
[01:22:22.960 --> 01:22:24.480]   It's fine. I own it now
[01:22:24.480 --> 01:22:28.640]   Uh, he's not trying to integrate it and everything google does not have one big portal app you use
[01:22:28.640 --> 01:22:32.720]   It has an underlying user database across a bunch of different functions
[01:22:32.720 --> 01:22:36.320]   So they broke that rule when it came to google plus i think google plus
[01:22:36.960 --> 01:22:40.880]   Is an underlying database of relationships that brings relevance to you
[01:22:40.880 --> 01:22:45.920]   Across many different functions and if you want to do photos now then do a great photo
[01:22:45.920 --> 01:22:50.800]   Function if you want to talk to people who are on google plus go through that
[01:22:50.800 --> 01:22:53.360]   Right, right?
[01:22:53.360 --> 01:22:55.040]   Hangouts go to that photos and hangouts are great
[01:22:55.040 --> 01:22:58.160]   And those that those are the aspects of google plus that i use every day
[01:22:58.160 --> 01:23:02.960]   Um, but i wouldn't say that i use google plus i mean it's really kind of it's a marketing problem
[01:23:02.960 --> 01:23:05.520]   Right you say google plus and people think you're talking about the social network
[01:23:05.520 --> 01:23:09.120]   Right, um, but but it's really an umbrella to a ton of different products
[01:23:09.120 --> 01:23:13.120]   I think it just profiles and sign into youtube to comment right? I mean
[01:23:13.120 --> 01:23:19.040]   Just because they didn't mention it at a developer event does not mean they're not using it. Well, they know there's a criminal analogy though
[01:23:19.040 --> 01:23:21.120]   Yeah, they know that
[01:23:21.120 --> 01:23:25.040]   They mentioned nexus phones. They didn't show you the nexus phones. They didn't develop any nexus phone
[01:23:25.040 --> 01:23:29.200]   They mentioned they didn't mention glass. They didn't mention google plus
[01:23:29.200 --> 01:23:32.240]   That's really what are we we're the criminologists, right?
[01:23:34.400 --> 01:23:39.920]   Well, uh, so what else was not there? Yeah, what else was not so nexus voice search
[01:23:39.920 --> 01:23:43.520]   Search can i just point out
[01:23:43.520 --> 01:23:47.520]   Last year remember they did that great search thing and search for the golden gate
[01:23:47.520 --> 01:23:49.920]   Research functions on tv
[01:23:49.920 --> 01:23:56.400]   But they showed yeah, they showed the material design in the search interface on they didn't enhance the functionality of search in any way
[01:23:56.400 --> 01:24:00.080]   Right, but they did they did do the like the museum and how do I get there?
[01:24:00.080 --> 01:24:01.120]   So we
[01:24:01.120 --> 01:24:08.000]   Showed them really how searches being used in a modern they showed links to your apps in android, right? So
[01:24:08.000 --> 01:24:10.640]   Uh, you know an open table
[01:24:10.640 --> 01:24:15.360]   Say open this that's cool. So, you know, I actually really liked that. Yeah, I like the process
[01:24:15.360 --> 01:24:20.240]   Communication was great search when you search for the tour in google earth
[01:24:20.240 --> 01:24:24.320]   If you search for something that you would have done in an app, all right?
[01:24:24.320 --> 01:24:27.680]   Said here's the store. So that's that's true. That's true. That was search on the phone, right?
[01:24:27.680 --> 01:24:29.520]   That wasn't actually google search
[01:24:29.520 --> 01:24:32.800]   I like that I didn't mention ads in any way adwords ads sense
[01:24:32.800 --> 01:24:38.240]   No phones or tablets nothing in terms of making them or anything new coming or
[01:24:38.240 --> 01:24:40.800]   Right, which we really been wondering about
[01:24:40.800 --> 01:24:42.880]   Yeah, no new Chromebooks or wrong
[01:24:42.880 --> 01:24:45.520]   Chrome boxes
[01:24:45.520 --> 01:24:48.800]   Yeah hardware was really scared it was yeah, all this talk yesterday
[01:24:48.800 --> 01:24:52.480]   Well part of the talk yesterday was that nest is taking over much of the hardware
[01:24:52.480 --> 01:24:59.040]   Well in fact, he's gonna take movie. Yeah, no mention of nexus phones or nest tablets or nest or nest
[01:24:59.280 --> 01:25:05.680]   Yeah, and even you know, they have a whole new thing when nest examples about nest when google bought drop cam really was nest that bought drop cam
[01:25:05.680 --> 01:25:11.120]   And that's how it was pitched even though net google is a holy. Oh, this is a holy owned
[01:25:11.120 --> 01:25:13.680]   subsidiary of google
[01:25:13.680 --> 01:25:18.080]   So maybe that's interesting next nest tony fidel would be the guy to run your hardware program, I guess
[01:25:18.080 --> 01:25:21.120]   um no mention of robots
[01:25:21.120 --> 01:25:25.120]   Well, there was but from the pro-pro-pro-tester only for the protester
[01:25:25.120 --> 01:25:28.240]   um
[01:25:28.560 --> 01:25:33.040]   Now is there another keynote tomorrow? I don't think there is in the past there is not split it up at it too
[01:25:33.040 --> 01:25:42.480]   The rest of google.io much like wwdc's developer sessions and some hot, you know blue sky, you know wacky wonderful things about about
[01:25:42.480 --> 01:25:45.200]   You know life and computers and then i don't know
[01:25:45.200 --> 01:25:47.920]   At all or gmail encryption
[01:25:47.920 --> 01:25:52.320]   No, that was the other thing I thought that if larry had come to talk which would have been five hours longer
[01:25:52.320 --> 01:25:53.680]   um
[01:25:53.680 --> 01:25:55.840]   I the question I wanted to ask was about security
[01:25:55.840 --> 01:25:57.760]   and um
[01:25:57.760 --> 01:26:02.240]   Well, they addressed it a little bit with the enterprise stuff right the encryption uh both ways separating
[01:26:02.240 --> 01:26:04.640]   your uh your
[01:26:04.640 --> 01:26:08.960]   Personal stuff on your phone from your business stuff right that's not against nsa kind of
[01:26:08.960 --> 01:26:14.800]   Security and they showed the gmail interface redesign, but uh, but no they didn't they really didn't talk about
[01:26:14.800 --> 01:26:19.200]   With the exception of the knock stuff and the enterprise stuff. They didn't talk about security too much
[01:26:19.200 --> 01:26:21.600]   Um now
[01:26:21.600 --> 01:26:25.200]   This was the part I think where you cut off they went to the google cloud platform stuff
[01:26:25.280 --> 01:26:28.320]   Which was pretty pretty heavy developer. Yeah, it was a kind of a snooze
[01:26:28.320 --> 01:26:31.200]   Because it is a developer conference
[01:26:31.200 --> 01:26:37.520]   I mean that was hour three at that point and but then but then but then the google play the woman from google play got up and talked about
[01:26:37.520 --> 01:26:38.960]   um
[01:26:38.960 --> 01:26:42.800]   A purify she announced the acquisition acquired. What is a purify?
[01:26:42.800 --> 01:26:47.360]   A purify is an app that helps you test your android apps across a bunch of different devices
[01:26:47.360 --> 01:26:50.560]   So do real world testing so it's it's basically helping developers
[01:26:51.040 --> 01:26:55.520]   Deal with the fragmentation issue and not having a you know a mass a collection of every size screen
[01:26:55.520 --> 01:26:58.000]   and and and a variety of device
[01:26:58.000 --> 01:27:00.480]   She mentioned google fit
[01:27:00.480 --> 01:27:05.280]   Which I was surprised that they didn't talk about during the android wear section, but okay
[01:27:05.280 --> 01:27:08.960]   Uh, so it's a single set of ipis to manage fitness data
[01:27:08.960 --> 01:27:15.280]   Um, and it blends data from multiple, you know apps and devices and when we saw we saw a few examples
[01:27:15.280 --> 01:27:19.120]   She I think that noom was the app those a weight loss app that was up on screen
[01:27:19.600 --> 01:27:23.520]   Then that connects to your why things so why things are we things the scale?
[01:27:23.520 --> 01:27:26.000]   I say why things but I don't know what the uh right?
[01:27:26.000 --> 01:27:30.400]   Uh, nike fuel is going to be integrating with with google fits. Oh, sorry
[01:27:30.400 --> 01:27:33.040]   But just as nike gives up its devices by
[01:27:33.040 --> 01:27:35.680]   Yeah
[01:27:35.680 --> 01:27:44.640]   Fuel fuel is an odd it's it's a it's a mean less currency what it tries to do fuel tries to bring all activity into one kind of point structure
[01:27:44.640 --> 01:27:46.960]   Which so does this so does the misfit?
[01:27:48.080 --> 01:27:53.280]   What you recall it? Yeah, what's that thing again? Oh, it's the misfit. It's the fit. No, no, no, no, no, no
[01:27:53.280 --> 01:27:55.280]   I lost my swift
[01:27:55.280 --> 01:28:00.560]   This is the it's called misfit. Um, I like it because uh that thing's nice. Yeah. Yeah, I like it
[01:28:00.560 --> 01:28:03.600]   Yeah, and it looks like you're an Egyptian god
[01:28:03.600 --> 01:28:10.720]   Or something is it masculine enough? It's masculine very very masculine shouldn't shouldn't carry a MRSA with it
[01:28:10.720 --> 01:28:13.120]   We don't we're not going to do a change log. I guess
[01:28:15.040 --> 01:28:17.040]   This is a change logs
[01:28:17.040 --> 01:28:24.240]   Here's a list on the rundown of things that were not things that were not 10 of them from read right web
[01:28:24.240 --> 01:28:28.720]   10 things google did not talk about at google.io
[01:28:28.720 --> 01:28:31.360]   Um android silver
[01:28:31.360 --> 01:28:36.160]   So they didn't mention nexus, but they didn't mention anything else in terms of
[01:28:36.160 --> 01:28:39.760]   Google devices android one was the bit was the device
[01:28:39.760 --> 01:28:44.880]   Right the right power right that was that they're not even going to make that that's just a platform for
[01:28:44.880 --> 01:28:47.200]   people others who are going to make it right um
[01:28:47.200 --> 01:28:52.640]   They didn't mention android nearby, which is a proximity from uh service from google
[01:28:52.640 --> 01:28:56.480]   That was rumored to be announced at io kind of like ibeacon
[01:28:56.480 --> 01:28:59.120]   uh glass nexus
[01:28:59.120 --> 01:29:01.520]   Project ara and project tango project tango
[01:29:01.520 --> 01:29:05.360]   We had re dashed out of there to get here, but there was there's a booth
[01:29:05.360 --> 01:29:07.600]   I'm sure there's a booth and i'm sure there's going to be some ara
[01:29:07.600 --> 01:29:14.240]   I wouldn't be surprised they gave away some arkits this because ara is the motor roll as research project that was a modular phone
[01:29:14.320 --> 01:29:17.920]   Yeah, yeah tango is the mobile 3d machine vision project
[01:29:17.920 --> 01:29:25.040]   Uh no updates will develop recession sometimes they get little kits that just the people who are in that one session if you're lucky enough to
[01:29:25.040 --> 01:29:26.400]   Yeah
[01:29:26.400 --> 01:29:26.640]   uh
[01:29:26.640 --> 01:29:31.360]   Chrome os updates nest and android home. We thought there would be a lot more mention of home
[01:29:31.360 --> 01:29:36.720]   Yeah, I were they had a couch. I thought it was yeah home in hell. Yeah, they had a couch up on stage and we thought oh this is
[01:29:36.720 --> 01:29:43.200]   Uh felt like a nexus q demo throwback last year. They gave us android studio
[01:29:43.280 --> 01:29:48.640]   They didn't really mention that although they had a lot of developer tools that worked with studio including uh, you know
[01:29:48.640 --> 01:29:56.880]   Realtime online debugging, which is pretty cool. Mm-hmm. And google plus. Yeah, so that's pretty much uh, that's pretty much what they didn't say
