;FFMETADATA1
title=Name Your Child Fester
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=500
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.240]   It's time for twig this week in Google. We've got a great show for your Stacey Higginbotham is here
[01:13:34.080 --> 01:13:40.400]   Yeah, so but still he's he's a you know, it's it's a pretty safe bet that you can
[01:13:40.400 --> 01:13:46.720]   Contributors campaign now and and you'll be actually backing somebody who will be running. Yeah, which is nice
[01:13:47.680 --> 01:13:49.360]   um
[01:13:49.360 --> 01:13:51.920]   I think we'll be watching with a real interest because I think
[01:13:51.920 --> 01:13:56.720]   It's pretty clear that Facebook ads are the single most effective way
[01:13:56.720 --> 01:14:02.400]   Right, they were but you think it'll be very interesting to see how Facebook
[01:14:02.400 --> 01:14:08.320]   I mean remember we talk about this all the time facebook tweaks his algorithms and six newspapers go out of business or not newspapers
[01:14:08.320 --> 01:14:10.400]   but news organizations, so
[01:14:10.400 --> 01:14:14.640]   There's a very real chance that facebook could adapt the way that it
[01:14:15.680 --> 01:14:21.680]   Targets advertising or allows people to do things related to ads that changes that and that would be very
[01:14:21.680 --> 01:14:24.640]   I mean
[01:14:24.640 --> 01:14:30.560]   I wouldn't count it out. I guess is what i'm saying facebook could really facebook is very very much
[01:14:30.560 --> 01:14:34.800]   So a player here as much as it may not want to be as much as it may hate to admit it
[01:14:34.800 --> 01:14:40.720]   It can do things to make its ads make ads much more or much less effective
[01:14:40.720 --> 01:14:44.960]   Facebook getting a lot of heat of course for the tragedy in christ church
[01:14:45.680 --> 01:14:51.440]   Uh, it was streamed live for 17 minutes by the shooter or the alleged shooter on facebook
[01:14:51.440 --> 01:14:56.800]   Although do we still really have to call him the alleged shooter if he streamed the video of him doing it live
[01:14:56.800 --> 01:15:02.640]   Uh, i've not seen it. I know until until someone is convicted in a court of law alleged okay, alleged
[01:15:02.640 --> 01:15:05.200]   Uh, there's some pretty strong evidence however
[01:15:05.200 --> 01:15:10.240]   Uh, which he provided, uh, I never hope to see it
[01:15:10.240 --> 01:15:12.800]   But there are a lot of people who want to see it and of course the real problem
[01:15:13.360 --> 01:15:16.800]   All the social networks are having right now is keeping that video down
[01:15:16.800 --> 01:15:21.840]   Facebook says it removed one and a half million reposts of that video
[01:15:21.840 --> 01:15:27.840]   Uh, but that several hundred thousand still got through twitter and reddit and other social networks
[01:15:27.840 --> 01:15:31.120]   Have faced it and now in australia
[01:15:31.120 --> 01:15:36.960]   Telstra one of the big um australian telecom companies is actually blocking
[01:15:36.960 --> 01:15:40.400]   4chan 8chan and other sites
[01:15:40.960 --> 01:15:46.240]   They say because of these videos, but uh, I wonder if this is a gonna be a long-term strategy
[01:15:46.240 --> 01:15:52.240]   No, it was temporary. They've already unlocked them again. Okay. Okay. Okay. I think so and but it raises another question
[01:15:52.240 --> 01:15:57.120]   I mean back in the old days before social and before live streaming. I mean we really have to
[01:15:57.120 --> 01:16:01.280]   You know, we've all gotten used to live streaming, but what a revolution that is
[01:16:01.280 --> 01:16:06.240]   I mean I remember what it's first coming out actually talks to begin at google plus the first uh, uh,
[01:16:07.360 --> 01:16:12.560]   Way the first freeway to live stream multiple people was uh hangouts on air
[01:16:12.560 --> 01:16:17.600]   And it's like, you know, it's like owning cbs news or something like that
[01:16:17.600 --> 01:16:25.200]   But with a larger audience potentially if it's, you know, and obviously that kind of power is going to be gained by lots of people for lots of purposes
[01:16:25.200 --> 01:16:27.440]   including uh
[01:16:27.440 --> 01:16:30.000]   violent uh psychopaths and back in the old days
[01:16:30.000 --> 01:16:36.960]   Uh, it was a kind of a common thing where where crazy people would hold hostages or do something
[01:16:37.840 --> 01:16:42.720]   Threatened violence if you don't read my manifesto on the air. I will do xyz
[01:16:42.720 --> 01:16:48.160]   This is like this has been going on for now now. They don't have to do that anymore. They can go directly to the people and they can
[01:16:48.160 --> 01:16:53.200]   Uh live stream their stuff which raises the the question
[01:16:53.200 --> 01:16:57.840]   And this is a dicey issue because i'm saying this as we're live streaming this
[01:16:57.840 --> 01:17:04.000]   But do we need live streaming or they are the potential downs sides of live streaming worth
[01:17:04.880 --> 01:17:06.880]   the the
[01:17:06.880 --> 01:17:10.320]   We can filter something like this building filters for this
[01:17:10.320 --> 01:17:12.800]   that catch
[01:17:12.800 --> 01:17:17.920]   Something of this magnitude or even people who are trying to kill themselves over live stream
[01:17:17.920 --> 01:17:21.440]   Those are things you can actually algorithmically detect
[01:17:21.440 --> 01:17:25.440]   If not the content of the video the sudden interest in a video
[01:17:25.440 --> 01:17:30.880]   um facebook saying that no one apparently reported this feels like a real dodge
[01:17:30.880 --> 01:17:33.200]   and
[01:17:33.200 --> 01:17:38.320]   I know there are there 8 billion people on this planet now have we reached that yet 7.5
[01:17:38.320 --> 01:17:46.240]   And you know 3.5 of them have internet access so they could be streaming it something abhorrent at any one point in time
[01:17:46.240 --> 01:17:48.160]   but
[01:17:48.160 --> 01:17:50.000]   I do think there
[01:17:50.000 --> 01:17:55.040]   Is a there is an investment that needs to be made in detecting these and getting them down faster
[01:17:55.040 --> 01:17:57.280]   And it's not it's technically very possible
[01:17:57.280 --> 01:18:00.560]   I and I would say even if it weren't
[01:18:01.680 --> 01:18:06.880]   uh that it's that that's no reason to stop live video. I'm sorry. I just really feel like
[01:18:06.880 --> 01:18:09.120]   um
[01:18:09.120 --> 01:18:11.520]   Yeah, I mean it's awful, but but
[01:18:11.520 --> 01:18:18.960]   One of the things that's so great about the internet is the elimination of gatekeepers
[01:18:18.960 --> 01:18:23.520]   And and people who were protecting us against things we didn't want to see
[01:18:23.520 --> 01:18:27.920]   I think back to the vietnam war, which was some call the first television war
[01:18:27.920 --> 01:18:30.960]   and I think one of the reasons the vietnam war was
[01:18:31.600 --> 01:18:36.720]   So heavily protested was because people for the first time saw the horrors of war in their living room
[01:18:36.720 --> 01:18:38.640]   and
[01:18:38.640 --> 01:18:42.880]   I think that if you attempt to filter out the horrors of the world
[01:18:42.880 --> 01:18:48.720]   In a reasonable attempt to you know keep people safe. That's a mistake
[01:18:48.720 --> 01:18:53.120]   And I don't think the gatekeepers made the world a better place and I think
[01:18:53.120 --> 01:18:58.080]   You know, this is the problem with the internet. It brings in the good and the bad right into your living room
[01:18:58.480 --> 01:19:03.600]   But in the but in the long run, I think that any restrictions on the capabilities of the internet is a big mistake
[01:19:03.600 --> 01:19:09.360]   I also worry that that the the the facebook's and the google's of the world will screw this up
[01:19:09.360 --> 01:19:16.240]   Uh, there have been lots of you talked about the benefits of live streaming some of these have involved cases of police brutality
[01:19:16.240 --> 01:19:20.800]   Yes, where and and it's actually a shield to a certain extent
[01:19:20.800 --> 01:19:25.680]   I mean there have been cases where people have been on the brink of being attacked in some way
[01:19:26.080 --> 01:19:30.080]   Or violated in some way and somebody would be like well, this is streaming live right now
[01:19:30.080 --> 01:19:34.720]   You're you're like and that you can't you know, once it's in the cloud you can't take it back
[01:19:34.720 --> 01:19:38.400]   You can't delete the file or whatever and so live streaming
[01:19:38.400 --> 01:19:40.880]   uh has a
[01:19:40.880 --> 01:19:42.000]   vast
[01:19:42.000 --> 01:19:43.120]   positive
[01:19:43.120 --> 01:19:44.960]   upside however
[01:19:44.960 --> 01:19:46.960]   I just hope facebook can
[01:19:46.960 --> 01:19:51.280]   Distinguished between violence that involves
[01:19:51.280 --> 01:19:54.720]   Uh, that's being streamed by a victim in order to
[01:19:55.600 --> 01:19:57.680]   Yes, yeah, the weakness is I don't think it can
[01:19:57.680 --> 01:20:04.080]   And I think it's very hard and facebook is primarily relying on the you know reporting of the people who see it
[01:20:04.080 --> 01:20:07.680]   To take stuff down and honestly, I think that's fine
[01:20:07.680 --> 01:20:13.920]   Well, I don't think that's the that's the bitter with the batter. I mean, I think you just kind of that will that will be gained
[01:20:13.920 --> 01:20:15.200]   Let's say
[01:20:15.200 --> 01:20:21.440]   Some somebody on one side of the political spectrum is live streaming something that people on the other side of this political spectrum
[01:20:21.440 --> 01:20:28.000]   Don't like so this they they use their campaign methods the same thing they do on twitter to to like attack somebody
[01:20:28.000 --> 01:20:34.720]   Twitter mobs and they get it taken down as offensive comment and content and it's live stream
[01:20:34.720 --> 01:20:36.800]   So once they've gotten it shut down
[01:20:36.800 --> 01:20:45.280]   That moment has lost and so I worry about the incompetence of the of the companies the the I don't think they should be
[01:20:46.080 --> 01:20:52.160]   Immaturey to the technology and also worry about the fact that every powerful thing whether it's live streaming or
[01:20:52.160 --> 01:21:00.320]   Or reporting objectionable live streaming will be gained by propaganda the liars the cheaters the everybody's
[01:21:00.320 --> 01:21:07.920]   It's unfortunate and I think uh, what we definitely want to do is prevent the glorification of a mass murderer
[01:21:07.920 --> 01:21:13.040]   Uh by re-sharing this video and I think that the efforts companies have made to prevent that are well
[01:21:14.160 --> 01:21:16.160]   You know spent
[01:21:16.160 --> 01:21:21.920]   Uh, but I don't think turning off live streaming is the solution. I really think that's that we
[01:21:21.920 --> 01:21:24.720]   That's a technology that needs to continue
[01:21:24.720 --> 01:21:32.640]   It's you know, it's not the live streaming as much as it is the radical virality the real time virality
[01:21:32.640 --> 01:21:35.360]   It's a problem. I agree
[01:21:35.360 --> 01:21:40.720]   But you can't prevent it. So what are you gonna do to stop virality? That's human
[01:21:41.280 --> 01:21:44.800]   See I think a lot of times we want to legislate human humanity
[01:21:44.800 --> 01:21:48.320]   Uh, I guess that's what laws are right, but uh, yeah
[01:21:48.320 --> 01:21:53.440]   That's society's effort to control the worst of the worst of human nature. Yeah, we have them
[01:21:53.440 --> 01:22:02.080]   We're okay with that. Yeah. No, we are okay with that. Yeah, there was just the power of amplification is is really
[01:22:02.080 --> 01:22:07.680]   Does a lot of damage when it's when the wrong thing is being amplified and that's exactly what we're talking about here
[01:22:07.680 --> 01:22:10.560]   Yeah, I don't know what the answer is
[01:22:11.520 --> 01:22:13.520]   I don't know live in a cave and uh
[01:22:13.520 --> 01:22:18.000]   Not uh, no, that's not the answer. I guess I guess that's
[01:22:18.000 --> 01:22:22.320]   Well, you know New Zealand's decided they're gonna enact tougher good laws. Yeah, no
[01:22:22.320 --> 01:22:26.480]   That's actually very proactively doing things that I think will make a difference
[01:22:26.480 --> 01:22:29.440]   Like that's a start. Yeah
[01:22:29.440 --> 01:22:35.840]   Uh, or you could put those videos on my space and probably they'd get lost forever
[01:22:37.360 --> 01:22:41.600]   My space has lost all the music uploaded to it between
[01:22:41.600 --> 01:22:44.640]   2003 and 2015
[01:22:44.640 --> 01:22:47.840]   as a result of a server migration project
[01:22:47.840 --> 01:22:53.600]   Face my space says any photos videos and audio files you uploaded more than three years ago
[01:22:53.600 --> 01:22:59.520]   May longer be available on or from my space. We apologize for the inconvenience
[01:22:59.520 --> 01:23:02.880]   And suggest you retain your backup copies
[01:23:02.880 --> 01:23:04.960]   Oops
[01:23:04.960 --> 01:23:06.960]   Have you tried google plus? Oops
[01:23:07.760 --> 01:23:09.040]   Uh
[01:23:09.040 --> 01:23:13.680]   There's no backup. They're gone forever. This is an article from boing boing cori doctor. Oh, it's author
[01:23:13.680 --> 01:23:18.320]   Will be on triangulation this coming monday. He's got a brand new
[01:23:18.320 --> 01:23:22.640]   Oh radicalized. Yeah his brand new book of short stories
[01:23:22.640 --> 01:23:28.000]   Uh, he'll be on one pm pacific 4 pm eastern. We love cori. He's been on many times
[01:23:28.000 --> 01:23:31.360]   In fact, I've interviewed him so many times I said megan you take this one because
[01:23:31.360 --> 01:23:35.840]   Sometimes what happens if i'm interviewing somebody and it happened with you mike somebody I know really well
[01:23:35.840 --> 01:23:37.520]   it just returns into a
[01:23:37.520 --> 01:23:43.920]   Friends conversation instead of interviews. So i'm gonna let megan that take cori uh monday one pm pacific
[01:23:43.920 --> 01:23:48.880]   His new book radicalized. He is if you've never heard gory speak
[01:23:48.880 --> 01:23:55.200]   Tune in he is amazing or watch his talk at south by he's done a lot of talks recently
[01:23:55.200 --> 01:24:00.240]   Uh, he's just he's his mind works 10 times faster than mine and it's just
[01:24:00.240 --> 01:24:03.040]   amazing to watch him think
[01:24:03.040 --> 01:24:05.680]   um
[01:24:05.680 --> 01:24:07.680]   How's your boy betto these days?
[01:24:07.680 --> 01:24:11.760]   Uh raised 6.4 million. Yep. It apparently is
[01:24:11.760 --> 01:24:15.280]   His secret membership in america's old is tacking group hasn't heard him
[01:24:15.280 --> 01:24:21.360]   What was his handle in the cult of the dead cow?
[01:24:21.360 --> 01:24:29.280]   It wasn't funny. It wasn't very it wasn't a very good name. It was psychedelic something or other
[01:24:29.280 --> 01:24:32.000]   What was it?
[01:24:32.000 --> 01:24:34.000]   psychedelic warlord
[01:24:34.000 --> 01:24:35.520]   53
[01:24:35.520 --> 01:24:37.440]   hahaha
[01:24:37.440 --> 01:24:42.080]   President that's president psychedelic warlord president psychedelic warlord to you
[01:24:42.080 --> 01:24:49.840]   Honestly, uh, haven't we been calling for somebody who knows something about technology? Yeah in the congress and the white house
[01:24:49.840 --> 01:24:56.000]   I think we have lots of we actually have lots of people in congress that know something about technology. Let's get somebody in the white house
[01:24:56.000 --> 01:25:03.600]   Well, what worries me is that is the conversation everybody's having everybody i've had it myself
[01:25:03.600 --> 01:25:11.200]   We're all having this conversation where it's like oh, but the problem is that the that his political opponents will attack him
[01:25:11.200 --> 01:25:16.080]   It's the the fact that a hacker, you know, if you look at his actual
[01:25:16.080 --> 01:25:18.000]   History
[01:25:18.000 --> 01:25:21.040]   Uh, it's all very innocuous. I think as far as we know
[01:25:21.040 --> 01:25:26.320]   Um, and it's actually much of it is very positive in terms of learning about technology learning how it works
[01:25:26.320 --> 01:25:33.040]   Um, but the word hacker has a negative connotation and so the propaganda the political propaganda's will try and destroy him
[01:25:33.360 --> 01:25:38.880]   He also has some different kind of hacker. He also has a DUI has other things going on although
[01:25:38.880 --> 01:25:45.600]   On the plus side if he got into the white house, he might replace the president's bowling alley with a skate park
[01:25:45.600 --> 01:25:49.760]   Which would be also we voted donald trumpin. Okay. Okay
[01:25:49.760 --> 01:25:52.960]   I'm just gonna
[01:25:59.440 --> 01:26:06.080]   I feel like, you know, we we had this conversation. We're like, oh clinton, you know, he did his mochweeb. Yeah, he totally did
[01:26:06.080 --> 01:26:08.480]   You know, i'm like guys
[01:26:08.480 --> 01:26:13.600]   We like took all of that and set it on fire and said anyone come on in come on in
[01:26:13.600 --> 01:26:16.320]   Well, he did say that
[01:26:16.320 --> 01:26:22.160]   Uh, he uh joined the hacker group because it was you know like the facebook of its day when dad bought an apple to e
[01:26:22.160 --> 01:26:26.720]   And a 300 bawd modem and I started to get on the boards. It was the facebook of its day
[01:26:26.960 --> 01:26:34.160]   You just wanted to be part of a community. Yeah, so I don't think being a hacker has negative connotations now does it?
[01:26:34.160 --> 01:26:38.480]   I think being a skater is worse than being a hacker or a punk rocker
[01:26:38.480 --> 01:26:42.400]   Yeah, I mean people don't like extremely california things
[01:26:42.400 --> 01:26:44.400]   and um
[01:26:44.400 --> 01:26:49.440]   Skating is one of them like you know, well and he moves his hands a lot right. What's that all about?
[01:26:49.440 --> 01:26:55.600]   He from all the skating you have to like be balancing. That's right. That's a good
[01:26:55.600 --> 01:26:59.760]   emphatic individual. No, we're just i'm jokin obviously
[01:26:59.760 --> 01:27:05.440]   Yeah, yeah, I mean he he was he was a young person who is not he was not
[01:27:05.440 --> 01:27:11.120]   You know like a lot of uh political candidates, you know president of the political club and right kind of doing all kinds of stuff
[01:27:11.120 --> 01:27:13.520]   He was calling to late in life
[01:27:13.520 --> 01:27:19.040]   So remember that show uh it was a movie back in like the early 80s called gleaming the cube
[01:27:19.040 --> 01:27:23.920]   He's a combination of the computer hacker and christian slater skater character
[01:27:25.440 --> 01:27:29.440]   That is that is what he is love it and if you didn't watch gleaming the cube
[01:27:29.440 --> 01:27:37.120]   It's because you were a massive christian slater fan back in the early 80s. He's as a teenage girl. He's a strange fellow
[01:27:37.120 --> 01:27:41.280]   I gotta there are a lot of people who um
[01:27:41.280 --> 01:27:43.760]   are very
[01:27:43.760 --> 01:27:47.120]   Respectable people nowadays who had who did a lot in
[01:27:47.120 --> 01:27:51.040]   Were skaters who have tattoos? It's gonna be hard to elects and do us up. I mean
[01:27:51.840 --> 01:27:55.360]   Things who are gonna i have a friend who he is just the most
[01:27:55.360 --> 01:27:58.400]   I mean if you you think he was
[01:27:58.400 --> 01:28:04.560]   You know, he seems like a ceo. I mean he's very seems like an ultra responsible person
[01:28:04.560 --> 01:28:08.480]   And uh after a while you learn he was he was actually a pro skater
[01:28:08.480 --> 01:28:09.760]   Wow
[01:28:09.760 --> 01:28:12.720]   Back in the day and it's like wow that's that's that's amazing
[01:28:12.720 --> 01:28:17.440]   But I I just I think it's a it should be a non-story. It won't be a non-story
[01:28:17.520 --> 01:28:23.520]   It's gonna be weaponized and it's uh, it's part of the it's part of the problem with our political conversation
[01:28:23.520 --> 01:28:29.920]   It's uh, it's only a matter of time before we get a skater in the White House. I'm just saying that's right. That's right
[01:28:29.920 --> 01:28:31.840]   Yeah, maybe avera Levine. I don't know
[01:28:31.840 --> 01:28:37.760]   Will be the first lady arsh time for the play the trumpets. It's time for the google changelog
[01:28:37.760 --> 01:28:40.400]   the google changelog
[01:28:40.400 --> 01:28:45.200]   bomb bomb
[01:28:45.760 --> 01:28:49.840]   it is uh bringing new voices and communities to the world of
[01:28:49.840 --> 01:28:52.720]   podcast google
[01:28:52.720 --> 01:28:55.520]   and the prx podcast garage
[01:28:55.520 --> 01:28:58.240]   in boston
[01:28:58.240 --> 01:29:02.880]   Training independent podcasters. This is the team from saunty ago chile
[01:29:02.880 --> 01:29:08.080]   They're uh, they're they do the la sarah's podcast the outsiders
[01:29:08.080 --> 01:29:12.000]   Um, this is kind of cool. They're uh, they're promoting
[01:29:12.000 --> 01:29:14.960]   promoting podcast training them
[01:29:15.840 --> 01:29:17.840]   people who um
[01:29:17.840 --> 01:29:26.000]   You know applied who had a podcast but wanted to learn more about how to do it at the prx podcast garage
[01:29:26.000 --> 01:29:28.480]   sponsored by google
[01:29:28.480 --> 01:29:30.480]   there are teams
[01:29:30.480 --> 01:29:35.200]   Uh raising awareness about lb lgbtq plus people's lives
[01:29:35.200 --> 01:29:38.000]   Called that's called afroqueer
[01:29:38.000 --> 01:29:44.240]   Stories from the philippino diaspora long distance modern beauty standards the colored girl beautiful
[01:29:44.880 --> 01:29:49.200]   Puerto Rican history time storm and car culture and road rage
[01:29:49.200 --> 01:29:52.880]   Here's the one i'm gonna be listening to who taught you how to drive
[01:29:52.880 --> 01:30:02.560]   That's exciting. Thank you google for supporting podcasts if you use google uh tasks
[01:30:02.560 --> 01:30:09.520]   It's really becoming an all-in-one utility a lot of new features added to tasks
[01:30:09.520 --> 01:30:12.240]   from the google g-suites
[01:30:12.400 --> 01:30:13.360]   blog
[01:30:13.360 --> 01:30:16.240]   Three highly requested features being added to tasks
[01:30:16.240 --> 01:30:20.560]   Not clear if this is only in g-suites or if this is for all tasks users
[01:30:20.560 --> 01:30:26.640]   It's about time you could set a date and time for your tasks and get notifications you can create repeating tasks
[01:30:26.640 --> 01:30:30.240]   and import reminders into tasks
[01:30:30.240 --> 01:30:34.480]   isn't this uh self evidently a um
[01:30:34.480 --> 01:30:37.360]   a kind of
[01:30:37.360 --> 01:30:39.840]   mitigation of the termination of inbox
[01:30:40.560 --> 01:30:48.400]   Because one of the things that inbox had that google the gmail doesn't have is this whole super integration with with reminders
[01:30:48.400 --> 01:30:53.440]   And so they're basically saying oh, we're gonna kill the thing that where you have been doing most of your minder stuff
[01:30:53.440 --> 01:30:59.840]   And we're gonna give you gmail instead, but gmail has a click a button and there's your tasks and they're all your reminders
[01:30:59.840 --> 01:31:02.560]   Uh, thanks to this new feature. I think that's clearly what they're doing here
[01:31:02.560 --> 01:31:08.480]   They're just they're trying to find a place for the things that inbox users are are we're loving
[01:31:09.600 --> 01:31:14.720]   Well, and it's a basic thing for a task or it does seem like i'm something you should have
[01:31:14.720 --> 01:31:21.680]   Yeah, I never use google task because it sucked. Yeah, there's so many so many better to do lists
[01:31:21.680 --> 01:31:25.760]   Uh out there than tasks including google's own keep
[01:31:25.760 --> 01:31:32.640]   Yeah, I use google keep actually because it sinks across all my devices and I can put things that could place all those things
[01:31:32.640 --> 01:31:37.920]   Can I share a preview of something i've been working on i'm working on a
[01:31:38.560 --> 01:31:43.440]   Very short. It's I don't know if it's a column or a book or a essay or a pamphlet or something
[01:31:43.440 --> 01:31:50.160]   Um called the power of procrastination. I can't wait actually I guess i'll have to wait. You you'll have to wait
[01:31:50.160 --> 01:31:53.280]   Yeah, that's the whole point and uh, yeah leaders of tomorrow
[01:31:53.280 --> 01:31:54.880]   That's the news
[01:31:54.880 --> 01:31:56.880]   Uh, but but basically I
[01:31:56.880 --> 01:31:59.760]   My I've tried tasks
[01:31:59.760 --> 01:32:06.080]   10 times at least where i'm like i'm gonna use task i'm gonna i'm gonna change everything i'm gonna go use task
[01:32:06.080 --> 01:32:08.080]   It makes sense. It's logical
[01:32:08.080 --> 01:32:11.760]   And then I just I just don't like it like as stacey was saying it's just something about it
[01:32:11.760 --> 01:32:14.960]   I just don't like it. I've tried using keep i've tried using
[01:32:14.960 --> 01:32:17.680]   a gazillion
[01:32:17.680 --> 01:32:20.160]   apps and
[01:32:20.160 --> 01:32:25.360]   extensions and lots of things and now what I use is I simply use a snooze feature of
[01:32:25.360 --> 01:32:32.880]   Gmail so I try to do everything as late as possible and that's this has provided a structure around my work
[01:32:33.600 --> 01:32:37.840]   My workload and I I basically just go through my inbox and i'm like
[01:32:37.840 --> 01:32:44.640]   I don't have to do that till you know april, you know and off it goes and uh, this isn't due until friday
[01:32:44.640 --> 01:32:50.160]   I need like a couple hours. So let me put this at two hours before end of day friday. And so I push everything
[01:32:50.160 --> 01:32:54.080]   Off into the future and i'm kind of like juggling all these
[01:32:54.080 --> 01:32:59.600]   Things in the air, but man out of sight out of mind. It's like so nice. So if anybody
[01:33:00.560 --> 01:33:05.360]   is inclined in that direction, it's a great way to achieve the zero inbox you have all these tasks that have to be done
[01:33:05.360 --> 01:33:07.840]   but they're off into the
[01:33:07.840 --> 01:33:13.760]   Nether world of of of this news feature in gmail and uh, it's really for me
[01:33:13.760 --> 01:33:16.480]   I do the same thing except
[01:33:16.480 --> 01:33:19.440]   I I have what's called the bs hour
[01:33:19.440 --> 01:33:22.480]   And it's fridays because that's my light day
[01:33:22.480 --> 01:33:26.320]   So I schedule and I schedule the time on my calendar and I go through all of my
[01:33:26.320 --> 01:33:30.240]   I schedule is that with this beer and scotch hour beer and scotch. Yes, it's the beer and scotch
[01:33:30.240 --> 01:33:34.480]   It's the bold it's the power. It's where I deal with all the bullshit stuff. I don't want to deal with
[01:33:34.480 --> 01:33:36.960]   Um, it's an hour enough
[01:33:36.960 --> 01:33:40.000]   Um feels like feels like
[01:33:40.000 --> 01:33:45.280]   I honestly when you said that I thought that's the hour you get to do what you want and the rest of the time is when you do
[01:33:45.280 --> 01:33:48.160]   The bs it's okay. So it's about it. It's about two hours
[01:33:48.160 --> 01:33:51.920]   But if it doesn't get done in that first hour and something more enticing happens i'm on that
[01:33:51.920 --> 01:33:54.960]   Um, but yeah, so everything is again is
[01:33:55.920 --> 01:34:01.920]   Boomerang or slept or whatever it is that happens then and I love it. It's doing so well by me
[01:34:01.920 --> 01:34:03.440]   That's good and you just get rid of all that
[01:34:03.440 --> 01:34:06.320]   Stuff you know one who ever wants to do
[01:34:06.320 --> 01:34:09.120]   Yeah in one hour the phone calls
[01:34:09.120 --> 01:34:11.600]   I had that call
[01:34:11.600 --> 01:34:15.360]   Oh, no, it's only for email. That's just email. Okay, but it could be phone calls
[01:34:15.360 --> 01:34:19.280]   Right. No, no, you don't have phone calls. You don't want to do
[01:34:19.280 --> 01:34:22.080]   I don't make phone calls
[01:34:23.680 --> 01:34:28.240]   That's one solution. Just don't do it. I'm serious. I'm like I think I've called like
[01:34:28.240 --> 01:34:36.160]   I had a call to get salted delivered the other day for our water softener. Oh my husband deals with all of that
[01:34:36.160 --> 01:34:39.040]   I'm terrible at it. Yeah, I am
[01:34:39.040 --> 01:34:43.440]   Because yeah, I don't I don't make you so the favorite feature of email
[01:34:43.440 --> 01:34:49.360]   Forward does problem solved has anybody found a good replacement for inbox?
[01:34:49.360 --> 01:34:51.600]   Anybody do either of you use inbox?
[01:34:52.160 --> 01:35:00.320]   I don't like inbox. I never did so I'm both beard. Yeah, I used both depending on my mood depending on what I wanted to do
[01:35:00.320 --> 01:35:03.520]   but over time I
[01:35:03.520 --> 01:35:05.040]   I'm not
[01:35:05.040 --> 01:35:10.640]   crying because they you know, I'm not sad because they are killing I would have been really sad if they kill gmail
[01:35:10.640 --> 01:35:16.640]   I kind of liked gmail better because there's more control. It has an all male folder
[01:35:16.640 --> 01:35:21.520]   Uh, which that's not a gender reference. I mean all the mail, you know
[01:35:21.520 --> 01:35:27.040]   The replies and all that kind of stuff and so I like that feature if I don't trust that that my
[01:35:27.040 --> 01:35:29.200]   that my
[01:35:29.200 --> 01:35:36.240]   Filters have properly put things in the right place. I can just go to all mail it has you can go in and individually create rules much more easily
[01:35:36.240 --> 01:35:38.720]   um, so I like
[01:35:38.720 --> 01:35:40.720]   gmail a lot um
[01:35:40.720 --> 01:35:47.040]   But there are I do know a lot of people who loved inbox and are very sad that it's going away
[01:35:47.040 --> 01:35:50.000]   Despite the fact that they've added some of those features gmail
[01:35:50.960 --> 01:35:52.000]   I
[01:35:52.000 --> 01:35:57.680]   Gave up on gmail about a year ago and I just use uh, an i map but as as you said mike
[01:35:57.680 --> 01:36:00.560]   I'm terrible at email
[01:36:00.560 --> 01:36:03.520]   What did you mean when you said that?
[01:36:03.520 --> 01:36:09.200]   What I mean is it when when when people send you email you ignore it
[01:36:09.200 --> 01:36:14.800]   The chance that you're going to see it and reply within the next hour. Oh no
[01:36:14.800 --> 01:36:19.440]   Is not that is not going to happen. No, I mean that's not so it's um
[01:36:20.240 --> 01:36:26.720]   But I mean you must get just pounded with email and I get a lot of email. Yeah, I think because I haven't really opened my inbox
[01:36:26.720 --> 01:36:32.160]   You know, I mean by now. I don't get any email. I don't I don't really know
[01:36:32.160 --> 01:36:37.760]   Yeah, that's the I'm not going to do anymore. That's the google change log
[01:36:37.760 --> 01:36:44.880]   That's all there is. We're going to have to start a new google death watch is the new
[01:36:48.240 --> 01:36:53.280]   Is there anything else that we haven't covered that we should cover before we get our
[01:36:53.280 --> 01:36:56.400]   picks of the week in here
[01:36:56.400 --> 01:36:58.720]   Wow, really?
[01:36:58.720 --> 01:37:03.200]   I'll tell you what i'll do in that and then if you if i've skipped anything you really wanted to talk about
[01:37:03.200 --> 01:37:08.240]   You could bring it up. Otherwise your picks are next. I know you're waking you're ready for queso and mole
[01:37:08.240 --> 01:37:13.520]   I'm like I just I just uh, I am my husband. I'm like mole tonight
[01:37:15.280 --> 01:37:19.600]   Stacy isn't admitting it, but actually she calls this show the bs hour
[01:37:19.600 --> 01:37:21.200]   So
[01:37:21.200 --> 01:37:24.560]   No, this is the bs two to three hours. Yes. Yes. That's
[01:37:24.560 --> 01:37:27.200]   It's long long long
[01:37:27.200 --> 01:37:32.880]   Welcome to the bs hour episode 500
[01:37:32.880 --> 01:37:37.200]   Wanted to make it the beer and scotch hour. I know that's a different
[01:37:37.200 --> 01:37:44.320]   Are sure they brought to you by a thousand eyes, which is so inappropriately named. It should be a million eyes
[01:37:45.120 --> 01:37:52.160]   Thousand eyes is amazing. What an incredible company get an immediate unmatched view of all the networks and dependencies
[01:37:52.160 --> 01:37:55.680]   Let me let me step back
