;FFMETADATA1
title=Uber for Metaphors
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=291
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.500]   It's time for Twig this week in Google Gina Terpattie's back her monthly visit
[01:11:43.360 --> 01:11:49.120]   So this is so one of the nice things about anywhere and I think now all the attention shifting to apples watch
[01:11:49.120 --> 01:11:52.080]   It's going to be interesting to see how and read responds
[01:11:52.160 --> 01:11:56.720]   You know, we've heard some people say oh they should make it compatible with iOS
[01:11:56.720 --> 01:12:02.800]   Um, but one of the one of the things the apple watch does not offer is third party faces
[01:12:02.800 --> 01:12:06.560]   You have to use apples faces and they're only half a dozen of them of course
[01:12:06.560 --> 01:12:16.160]   So third party face space is huge in uh in android where but google is also doing new faces all the time. So is mo to roller
[01:12:16.160 --> 01:12:18.240]   um
[01:12:18.240 --> 01:12:20.240]   Is there more than one or is this
[01:12:20.240 --> 01:12:22.240]   uh
[01:12:22.240 --> 01:12:27.280]   There there is i haven't played around with it too much. I just even showed the time all install it
[01:12:27.280 --> 01:12:28.800]   We'll find out
[01:12:28.800 --> 01:12:33.520]   You have to install it as uh with all android where uh faces on a phone first
[01:12:33.520 --> 01:12:36.960]   And then it communicates at some point
[01:12:36.960 --> 01:12:45.680]   To the watch so i'll stall it on my phone. I will say the uh the flat tire of the mo to 360 is not doing it any favors
[01:12:46.960 --> 01:12:53.360]   You can only see the top half of the number six at the bottom. So what do you think how hard would it be to make android where work with ios
[01:12:53.360 --> 01:12:57.840]   Apple works with both you won't have the full set of
[01:12:57.840 --> 01:13:03.280]   Yeah, I know that somebody's got it working. Um, i've seen at least a proof of concept
[01:13:03.280 --> 01:13:07.360]   Would it be apple could apple get in the way of that? I guess they could they could not approve android where
[01:13:07.360 --> 01:13:09.920]   Right support maps
[01:13:09.920 --> 01:13:11.920]   Yeah
[01:13:11.920 --> 01:13:13.600]   Huh?
[01:13:13.600 --> 01:13:18.160]   Well, i'll be getting a watch too of course an apple watch too. I'm not going to get the gold one
[01:13:18.160 --> 01:13:22.000]   Don't even think about it. That's for connye and the good company
[01:13:22.000 --> 01:13:28.160]   So really quickly are you filled with desire for this watch? Well, i'm feeling about it
[01:13:28.160 --> 01:13:32.240]   I'm filled with desire for everything. I just i'm a walking bag of desire
[01:13:32.240 --> 01:13:34.800]   Okay
[01:13:34.800 --> 01:13:38.720]   A new, uh, walking sack of techno lust a new garage door opener is happy
[01:13:38.720 --> 01:13:43.040]   Yeah, no, but then i'm not having only happy for five minutes. Then it's like what's next
[01:13:43.440 --> 01:13:44.880]   Yeah
[01:13:44.880 --> 01:13:48.000]   You know i'm about lust for basically announcement. Were you excited about the announcement?
[01:13:48.000 --> 01:13:48.720]   Did you feel like
[01:13:48.720 --> 01:13:54.080]   You know, this is something i can't wait that you're switching ios and you're gonna go full tilt and just and watch it up
[01:13:54.080 --> 01:13:57.760]   Well, we knew the what we knew everything about the watch already except pricing availability
[01:13:57.760 --> 01:14:00.720]   There was nothing new to say about the watch really pretty much
[01:14:00.720 --> 01:14:04.080]   What we didn't know at all about was the new macbook
[01:14:04.080 --> 01:14:08.320]   And i'm actually really excited about that. It's two pounds
[01:14:09.200 --> 01:14:14.880]   It's only about twice as thick as a an iphone. I mean, it's really it's like half an inch thick
[01:14:14.880 --> 01:14:16.960]   um
[01:14:16.960 --> 01:14:18.960]   Type-c connector only
[01:14:18.960 --> 01:14:24.800]   Not even just one just one that's really irritating. Well their claim is
[01:14:24.800 --> 01:14:28.160]   We're gonna you're gonna get nine hours battery life and apple by the way
[01:14:28.160 --> 01:14:31.920]   Unlike a lot of people including i think google is when they say nine hours
[01:14:31.920 --> 01:14:37.040]   You really will get nine hours a lot of times companies say nine hours and you get five and a half or six
[01:14:38.000 --> 01:14:42.320]   Because they say well your mileage may vary but but apple really tries hard to give you accurate numbers
[01:14:42.320 --> 01:14:47.920]   So the idea is uh, you know, I don't know how how many hours a day do you think you use your chromebook
[01:14:47.920 --> 01:14:51.760]   Me? Yeah without being plugged in
[01:14:51.760 --> 01:14:55.040]   Well, that'll be plugged in. Yeah
[01:14:55.040 --> 01:14:58.400]   Not nine hours too. Yeah
[01:14:58.400 --> 01:15:03.040]   So the idea is you've got that type-c connector for all the other times that you're not charging
[01:15:04.320 --> 01:15:08.240]   And then when you and then you'll do I think the theory is you'll do with your macbook
[01:15:08.240 --> 01:15:14.000]   What you do with your phone and you're watching now you just plug it all in at night wake up the next morning and you get all days left
[01:15:14.000 --> 01:15:17.520]   I'm very type-c
[01:15:17.520 --> 01:15:21.760]   Usb extender situation. They have a $79 of course
[01:15:21.760 --> 01:15:27.600]   connector you plug into it that gives you a standard usb that gives you a power type-c connector
[01:15:27.600 --> 01:15:32.000]   And get and gives you video hc a full hdmi video out
[01:15:32.480 --> 01:15:35.440]   So if I wanted to do this if I bought that machine which i'm not going to
[01:15:35.440 --> 01:15:38.400]   I wanted to do this show. Oh god
[01:15:38.400 --> 01:15:43.360]   Let's see if you got the connector you because you need the camera, right and you need power
[01:15:43.360 --> 01:15:46.400]   Well, you could do it. Yeah
[01:15:46.400 --> 01:15:47.440]   And you
[01:15:47.440 --> 01:15:51.360]   Usb you need a usb hub because you'd need uh, you need a hub and I couldn't do
[01:15:51.360 --> 01:15:55.200]   Usb's one for the mic and one for the camera and I couldn't do a monitor, right
[01:15:55.200 --> 01:16:00.000]   There is by the there are by the way, there's an Asus. It's very similar
[01:16:00.560 --> 01:16:02.560]   Came out six months ago
[01:16:02.560 --> 01:16:08.080]   Uh almost as thin 2.6 pounds not quite as light has all the ports
[01:16:08.080 --> 01:16:11.200]   But there's a problem you have to use windows and I
[01:16:11.200 --> 01:16:14.640]   Windows yeah, so this is what happens to the airbrand isn't the smaller than an error
[01:16:14.640 --> 01:16:18.640]   It is and it makes the airbrand kind of confusing because this is uh
[01:16:18.640 --> 01:16:26.400]   So this is a macbook period. It's not a problem with an air. Just the macbook. Oh, that's interesting. I'm thinking
[01:16:28.480 --> 01:16:30.320]   I'm thinking
[01:16:30.320 --> 01:16:34.320]   That what they'll do is eventually phase out the air. They're gonna keep it pro. They need to have
[01:16:34.320 --> 01:16:36.880]   Mac books that have all the connectors and everything
[01:16:36.880 --> 01:16:40.960]   But i'm thinking if what you want is thin and light this is what you want
[01:16:40.960 --> 01:16:48.240]   Does the pro still have a uh drive? Oh, yeah pro has well, there is one optical drive
[01:16:48.240 --> 01:16:52.560]   There is one mac with an optical drive. It's not a pro. It's just a weird one. Okay
[01:16:52.560 --> 01:16:55.440]   I don't know how long that will last
[01:16:55.440 --> 01:16:58.320]   so
[01:16:58.320 --> 01:17:01.200]   It's I don't know I like thin and light
[01:17:01.200 --> 01:17:05.200]   But then I also like crumbucks on I'm kind of crazy
[01:17:05.200 --> 01:17:08.160]   uh, let's see
[01:17:08.160 --> 01:17:15.680]   So the cfo of gold he's only been there six years you think though in six years you can make enough money that you'll never have to work again
[01:17:15.680 --> 01:17:20.160]   Patrick pishette
[01:17:20.160 --> 01:17:21.360]   Google's
[01:17:21.360 --> 01:17:28.160]   Chief financial officer apparently very well liked he's the guy's been handling the analyst calls since larry page's voice problems
[01:17:28.960 --> 01:17:31.920]   Uh is leaving and he wrote a quite a uh
[01:17:31.920 --> 01:17:35.760]   I think larry page said interesting
[01:17:35.760 --> 01:17:42.160]   A goodbye letter. It starts pretty traditionally after nearly seven years as a cfo
[01:17:42.160 --> 01:17:45.760]   I'll be retiring from google to spend more time with my family
[01:17:45.760 --> 01:17:48.720]   And he says yeah, I know you've heard that line before
[01:17:48.720 --> 01:17:53.360]   So he talks about climbing mount kill him and jarra with his wife tamar
[01:17:54.720 --> 01:17:58.080]   And they enjoy the view and their their kids have grown and out of the house
[01:17:58.080 --> 01:18:02.000]   And tomorrow out of the blue says hey, why don't we just keep on going?
[01:18:02.000 --> 01:18:08.880]   Let's explore africa then go to india then the great barrier reef then ant article
[01:18:08.880 --> 01:18:15.920]   And he says I remember telling tomorrow typical prudent cfo type response. I would love to keep going
[01:18:15.920 --> 01:18:19.360]   But we have to go back. It's not time yet. So she says
[01:18:19.360 --> 01:18:23.280]   Great question tomorrow reminds me a little bit of house of cards
[01:18:23.520 --> 01:18:25.040]   I
[01:18:25.040 --> 01:18:29.520]   Clear under what saying to frances. So when is it going to be time our time my time?
[01:18:29.520 --> 01:18:33.120]   In this case pishette said okay, I quit
[01:18:33.120 --> 01:18:35.840]   So he's he's gonna phase out slowly
[01:18:35.840 --> 01:18:40.240]   He's gonna he says I want to wait until we find a googly replacement
[01:18:40.240 --> 01:18:44.080]   He literally used that word a googly a new googly cfo
[01:18:44.080 --> 01:18:49.280]   And help him or her through an orderly transition, which will take some time and then i'm off
[01:18:49.280 --> 01:18:52.160]   he's 52
[01:18:52.160 --> 01:18:55.600]   But obviously made enough money in seven years. Oh, well, too good for him
[01:18:55.600 --> 01:18:57.680]   Yeah, right on it makes me want to quit
[01:18:57.680 --> 01:19:00.320]   When is it my time?
[01:19:00.320 --> 01:19:04.800]   Man all the stuff about his kid is just killing me. I know you're reading it. Yeah
[01:19:04.800 --> 01:19:07.520]   Yeah
[01:19:07.520 --> 01:19:09.520]   Because you're there right now, you know
[01:19:09.520 --> 01:19:13.600]   Yeah, we're you know, we're in the thick of the cheerio and crusted minivan
[01:19:13.600 --> 01:19:18.640]   We are we're in the thick of it. We are in the thick of it
[01:19:18.640 --> 01:19:24.000]   You know, and it's so funny because I hear people with older kids, you know talk about with such nostalgia and like, you know
[01:19:24.000 --> 01:19:26.800]   You know, baby was up with an ear infection all night like I was
[01:19:26.800 --> 01:19:30.720]   And of course like I love her and you know and she depends on me
[01:19:30.720 --> 01:19:34.800]   But it's it's a weird thing, you know when you look back at that at that young time and think of it so
[01:19:34.800 --> 01:19:40.400]   I would do it again in a heartbeat. It feels like such a grind right now. That's what everyone says
[01:19:40.400 --> 01:19:45.680]   They need you in a way that they don't ever need you. Anyway, I didn't mean to go all like no with you in fact jeff and
[01:19:46.400 --> 01:19:51.040]   Both I'm sure have that experience of if we could go back maybe not the first two years
[01:19:51.040 --> 01:19:58.320]   If we can talk to when they can talk when they once they're three or four, you're just entering the best time
[01:19:58.320 --> 01:20:04.720]   You're just getting out of the worst time jeena. Yeah, but what but I would go back and do that a heartbeat, but I think also jeff
[01:20:04.720 --> 01:20:09.840]   There's a human's have a short memory for pain. Yes. Yes
[01:20:09.840 --> 01:20:13.360]   Have second
[01:20:13.360 --> 01:20:15.360]   Have another child otherwise
[01:20:15.360 --> 01:20:17.360]   Yes
[01:20:17.360 --> 01:20:21.680]   Yeah, but wow. Yeah, this is this is quite a this is quite a letter
[01:20:21.680 --> 01:20:28.080]   Isn't what isn't it what all the grown-ups tell you though jeena is oh enjoy this jeena. You're never it's so it's the best time
[01:20:28.080 --> 01:20:33.040]   It is that's what everyone says and I and I and I try to but it's it's hard
[01:20:33.040 --> 01:20:36.240]   It's hard. I didn't feel that way when I was in the middle of it either
[01:20:36.240 --> 01:20:38.800]   It's like can I get out of here
[01:20:38.800 --> 01:20:41.360]   When do I get to go to work?
[01:20:41.360 --> 01:20:45.440]   There's yeah, there are some days when it's like if we could just if I could just make it till bedtime
[01:20:45.440 --> 01:20:53.680]   And do they sleep maybe we could watch an episode of house of cars. I'll sleep in the middle of it
[01:20:53.680 --> 01:20:56.240]   Yeah, like that's exactly okay. No spoilers
[01:20:56.240 --> 01:20:58.880]   I finished season three
[01:20:58.880 --> 01:21:01.040]   Yeah, have you finished it jeff?
[01:21:01.040 --> 01:21:05.760]   Haven't started I kind of started but but getting some bad reviews. It's very different
[01:21:05.760 --> 01:21:08.480]   You know, that's almost a
[01:21:09.280 --> 01:21:15.680]   Have you watched any of it jeena? Yeah, we're we're a few in four maybe four in it's a little different, isn't it?
[01:21:15.680 --> 01:21:16.880]   Yeah
[01:21:16.880 --> 01:21:18.640]   Not so much in a good way
[01:21:18.640 --> 01:21:20.640]   Francis is kind of a wimp
[01:21:20.640 --> 01:21:26.400]   Well, yeah, I don't think this is a spoiler
[01:21:26.400 --> 01:21:29.520]   I don't think this is a spoiler, but if you don't like spoilers put your fingers in your ear
[01:21:29.520 --> 01:21:32.080]   I don't think this is spoiler, but in the last episode
[01:21:33.200 --> 01:21:40.080]   He yells and he loses his accent and I can't figure it out if that's because kevin spacey can't talk like this when he's yelling
[01:21:40.080 --> 01:21:45.840]   Or if they're telegraphing something that we're gonna learn about in season four. It's very strange
[01:21:45.840 --> 01:21:48.960]   Give me a hand sign is it over yet?
[01:21:48.960 --> 01:21:53.600]   So what he said was
[01:21:53.600 --> 01:21:57.600]   I'm actually very curious what you'll say about it jeff when the time comes
[01:21:57.600 --> 01:22:02.640]   Um, I should have downloaded it on my next seven so I can watch that on the plane. Oh do it now
[01:22:02.720 --> 01:22:06.880]   But I already paid for the one I started. I can't you can't download it. You know, it's so weird about house of cars
[01:22:06.880 --> 01:22:13.680]   And I can't figure this out is that some of the there are definitely some high-profile product placements for windows phones in it
[01:22:13.680 --> 01:22:20.720]   Uh like very high profile, but there's also iPhones and max and it's a very strange
[01:22:20.720 --> 01:22:23.440]   Thing they didn't get an exclusive on it
[01:22:23.440 --> 01:22:28.480]   I actually think they do a nice job. I like the way they just they display text message conversations
[01:22:30.960 --> 01:22:37.360]   Oh, it is windows phones. Okay, so it's funny because I thought oh they just picked a generic style for uh, you know, no, it's windows
[01:22:37.360 --> 01:22:40.160]   Okay, I clearly mikersoft gave them some money
[01:22:40.160 --> 01:22:43.760]   Um
[01:22:43.760 --> 01:22:47.840]   But not enough money for an exclusive. I guess that's the bottom line
[01:22:47.840 --> 01:22:52.320]   Um, yeah, there's windows phone sounds in it. There's a clear shots of screens
[01:22:52.320 --> 01:22:55.360]   Um
[01:22:55.360 --> 01:22:57.360]   Interesting
[01:22:57.440 --> 01:23:01.520]   Yeah, I I was a little disappointed. I confess not not not horribly so but
[01:23:01.520 --> 01:23:04.080]   It's just different. It's different
[01:23:04.080 --> 01:23:06.240]   It's different
[01:23:06.240 --> 01:23:07.680]   Uh
[01:23:07.680 --> 01:23:12.480]   I I'm gonna have to defer to jina on this. We wouldn't even have this story in the rundown if you weren't here jina
[01:23:12.480 --> 01:23:18.240]   Microsoft and google collaborate on angular 2 framework type script language
[01:23:18.240 --> 01:23:21.360]   what
[01:23:21.360 --> 01:23:25.280]   What does that mean? What is angular 2?
[01:23:27.120 --> 01:23:29.120]   So it's a web
[01:23:29.120 --> 01:23:30.240]   framework
[01:23:30.240 --> 01:23:33.440]   JavaScript framework. Yeah pretty pretty popular pretty well known
[01:23:33.440 --> 01:23:39.680]   I think some at some point somebody threw an angular t-shirt at me at at google. I owe at some point. I'm looking at it
[01:23:39.680 --> 01:23:47.840]   It looks great. Yeah, listen the more collaboration. I agree. That's better. That's great. You know, mikersoft makes a browser
[01:23:47.840 --> 01:23:49.600]   Uh
[01:23:49.600 --> 01:23:52.240]   Google makes a browser. I think I think collaboration is a good thing
[01:23:52.240 --> 01:23:58.160]   I don't think it's uh, you know is microsoft's kind of well. It's not a framework. It's a extension of javascript
[01:23:58.160 --> 01:24:04.880]   Uh, which I presume compiles into a javascript angular 2 will be written in type script
[01:24:04.880 --> 01:24:07.680]   and uh
[01:24:07.680 --> 01:24:09.680]   I presume at some point compile into
[01:24:09.680 --> 01:24:12.000]   plain old javascript
[01:24:12.000 --> 01:24:18.880]   Yeah, that's interesting. That's gonna be written in type script. Yeah. Yeah, I have I have friends working the microsoft stack. Absolutely love type scripts. Okay
[01:24:18.880 --> 01:24:21.600]   So, but then there's dart
[01:24:22.560 --> 01:24:27.920]   I'm it's so confusing. It's so many frameworks out there. It's it's really yeah
[01:24:27.920 --> 01:24:31.840]   What is a framework? Is it uh, it's not a language
[01:24:31.840 --> 01:24:34.960]   No, it's it's written in a language
[01:24:34.960 --> 01:24:41.200]   It's basically it's libraries that you can use to do to do very common actions without having to write all the code yourself
[01:24:41.200 --> 01:24:43.280]   Mm-hmm
[01:24:43.280 --> 01:24:47.040]   And then different frameworks have different take different approaches and are better in different situations
[01:24:47.040 --> 01:24:48.880]   Uh
[01:24:48.880 --> 01:24:54.720]   But yeah, I guess that's that's the simplest way to explain it right right Ruby on rails is a framework
[01:24:54.720 --> 01:25:01.280]   That's written in Ruby. It's a python framework. Yep. This is a javascript framework. Okay
[01:25:01.280 --> 01:25:06.800]   JavaScript is a probably a great language to know. I mean seems like so much is done in javascript
[01:25:06.800 --> 01:25:15.120]   Yeah, absolutely. Absolutely. It's it's crazy. Well, because now javascript especially with things like node run server side as well as client side
[01:25:15.200 --> 01:25:20.080]   So it's really javascript and and and Jason has really come the the language of the web, right?
[01:25:20.080 --> 01:25:25.840]   Google has launched we'd heard rumors that they were going to launch an insurance
[01:25:25.840 --> 01:25:31.840]   Agency in fact what it looks like is google compare for auto insurance
[01:25:31.840 --> 01:25:36.480]   So this is from a search engine land
[01:25:36.480 --> 01:25:38.720]   um
[01:25:38.720 --> 01:25:44.560]   They with the tool which I guess is an app or is it a way it must is an app or website? I guess it's an app
[01:25:45.200 --> 01:25:50.320]   Google delivers 14. This is where you don't want to use it 14 sponsored listings
[01:25:50.320 --> 01:25:53.680]   from insurers with rate quote information
[01:25:53.680 --> 01:26:01.440]   Then you can buy policies online and by calling an agent from your phone is it just auto insurance or that's what it says right now
[01:26:01.440 --> 01:26:03.840]   Now it's only in california. So that may be why
[01:26:03.840 --> 01:26:09.040]   You you could probably see it, but it wouldn't be any good to you the program's going to roll out to more states
[01:26:09.040 --> 01:26:12.160]   The reason is insurance is regulated state by state
[01:26:12.640 --> 01:26:16.880]   So you have to go through the regulators in each i should have this in the change log. It looks like it's a web app
[01:26:16.880 --> 01:26:20.560]   Yeah google.com/compare/auto insurance
[01:26:20.560 --> 01:26:27.920]   So they we've been this has been rumored for a long time google at what a google employee got an insurance license
[01:26:27.920 --> 01:26:30.880]   There's been a lot of evidence that this was about to happen
[01:26:30.880 --> 01:26:39.040]   Google will act as a lead generator more than just add facilitator and pricing will be based on a cost per acquisition
[01:26:39.040 --> 01:26:41.040]   So they get a cut in other words
[01:26:41.440 --> 01:26:43.120]   So
[01:26:43.120 --> 01:26:47.440]   Does google have to go to the insurance business because self-driving cars have better be self-insured
[01:26:47.440 --> 01:26:51.600]   Well, it's i mean it's a business. It's a profit center. That's what i'm saying
[01:26:51.600 --> 01:26:56.720]   Is preparatory to autonomous vehicles if i don't drive the car why ensure me
[01:26:56.720 --> 01:27:02.000]   Ensure that which drives the car and that which is liable right
[01:27:02.000 --> 01:27:05.920]   What what are you ensuring then the computer?
[01:27:07.200 --> 01:27:12.160]   Yeah, you're ensuring the software seriously right if there's a bug of the software that kills somebody
[01:27:12.160 --> 01:27:15.760]   Am i liable because i'm sitting in the car?
[01:27:15.760 --> 01:27:19.040]   That means yeah, this car insurance has to be changed a little bit has to have some sort of
[01:27:19.040 --> 01:27:25.920]   There's already liability protection in your car insurance, but there might have to be some sort of umbrella protection for bad code
[01:27:25.920 --> 01:27:28.720]   Yeah, wow
[01:27:28.720 --> 01:27:31.440]   Met life and mercury insurance
[01:27:32.480 --> 01:27:39.840]   Two of the partners who offered quotes as google compare for car insurance rolls out to more states google says we'll also introducing ratings
[01:27:39.840 --> 01:27:45.600]   And reviews that's going to be pretty important as well as local agents support for providers with agent networks
[01:27:45.600 --> 01:27:58.400]   Insurance panel membership contact form so yeah, they're looking for more people to join the club. It's a business
[01:28:00.320 --> 01:28:03.200]   Google doesn't sell airplane tickets, but they're pre i mean uh
[01:28:03.200 --> 01:28:09.920]   So it's interesting, but they kind of i wonder if they have the same kind of relationship through it with airlines if you book
[01:28:09.920 --> 01:28:13.520]   Can you book through google no it sends you to there's the airline site
[01:28:13.520 --> 01:28:16.480]   But maybe you make a little money on the side i don't know
[01:28:16.480 --> 01:28:26.320]   Softcard which was isis poorly named it turned out which was the carrier's attempt to create a google like wallet
[01:28:26.320 --> 01:28:28.880]   Verizon for instance
[01:28:29.360 --> 01:28:32.080]   offered isis/softcard support
[01:28:32.080 --> 01:28:37.680]   But google bought softcard and now shutting down the apps for android and windows phone
[01:28:37.680 --> 01:28:41.200]   So i don't know what this means. I guess google wallet will
[01:28:41.200 --> 01:28:49.360]   Will take over uh google announced a deal with softcard to pre-install google wallet on us carrier devices
[01:28:49.360 --> 01:28:56.160]   I guess they i thought they bought softcard, but whatever softcards killing off the wallets
[01:28:58.960 --> 01:29:00.960]   And all wallets will be terminated
[01:29:00.960 --> 01:29:04.400]   Yeah, it's like install google wallet
[01:29:04.400 --> 01:29:10.000]   It was a joint venture between at and tt mobile and verizon i remember verizon blocked google wallet on my verizon phones
[01:29:10.000 --> 01:29:14.800]   Because they wanted to use their solution same idea tap to pay all that stuff
[01:29:14.800 --> 01:29:17.760]   Uh, yeah, he's wallet now
[01:29:17.760 --> 01:29:23.120]   Softcard pointing users to download google wallet
[01:29:24.560 --> 01:29:28.960]   Which does not have tap and pay on it on windows phone just on android and there is
[01:29:28.960 --> 01:29:33.040]   No issue on ios because there never was a softcard app for ios
[01:29:33.040 --> 01:29:39.120]   Uh, oh it's ten minutes to twig
[01:29:39.120 --> 01:29:41.680]   I get ready for twig
[01:29:41.680 --> 01:29:45.760]   I'm going up. Yeah, but i'll earn shit off. Yeah better get ready
[01:29:45.760 --> 01:29:49.440]   Uh, i'll find a number where's that number?
[01:29:49.440 --> 01:29:52.480]   Is that when you do that ten minutes
[01:29:53.040 --> 01:29:55.040]   Depends because i go through if i find one
[01:29:55.040 --> 01:30:02.160]   One of the things the apple watch does that's really interesting is wifi so the android where is bluetooth it ties your phone by bluetooth
[01:30:02.160 --> 01:30:06.720]   But you get outside of bluetooth range it's disconnected and it no longer has communication with the phone
[01:30:06.720 --> 01:30:13.040]   The apple watch will use wifi so as long as you're within the wifi network that your phone is on at home or at work
[01:30:13.040 --> 01:30:17.920]   The watch will work you can get a hundred feet away in our building i can go all the way the other side of the building and still
[01:30:17.920 --> 01:30:21.920]   The watch would still be connected to the phone apparently android where is going to get that
[01:30:22.720 --> 01:30:26.240]   Which is a i think great but now that's a software release
[01:30:26.240 --> 01:30:29.360]   But i think the watch would have to have wifi built in
[01:30:29.360 --> 01:30:38.560]   A source knowledgeable with android where's product roadmaps tells the verge the next software release will turn on wifi support
[01:30:38.560 --> 01:30:43.120]   Meaning features like notifications and google now will work when a bluetooth connection is unavailable
[01:30:43.120 --> 01:30:47.600]   Most did you know this most android where watch is already have wifi built in
[01:30:47.600 --> 01:30:50.880]   So it is literally just a firmware upgrade
[01:30:52.000 --> 01:30:54.000]   What will happen to the battery life?
[01:30:54.000 --> 01:30:56.000]   Ah good question
[01:30:56.000 --> 01:30:59.600]   Battery the mono 360 every firmware update has improved battery life
[01:30:59.600 --> 01:31:02.000]   Yeah
[01:31:02.000 --> 01:31:05.040]   What you know one one day out of a hundred it will suddenly get confused and
[01:31:05.040 --> 01:31:10.080]   Down but generally it's very good. Yeah, I think this is a huge
[01:31:10.080 --> 01:31:15.360]   Feature big deal. Yeah, my house. Yeah, the phone my watch will use the connection with my phone
[01:31:15.360 --> 01:31:20.960]   Which you know i leave in the front room and go in the back all the time and i installed that actually installed an app that lets me know
[01:31:21.200 --> 01:31:25.600]   That buzzes, you know when the watch is lost connection with the phone and it's all the time
[01:31:25.600 --> 01:31:28.560]   So this this would be huge that would irritate the hell out of me
[01:31:28.560 --> 01:31:35.200]   Yeah, it was stupid it was it was one of the first android where apps i ever installed and i was like oh, this is very useful and it's terry
[01:31:35.200 --> 01:31:39.680]   It's it's just like reminding you that it's not working the way it should work, you know
[01:31:39.680 --> 01:31:43.360]   I love it. I am thrilled that google is saying okay
[01:31:43.360 --> 01:31:48.480]   We're going head to head with apple watch. They're not they're not gonna go. Oh, well. It's over
[01:31:48.880 --> 01:31:51.840]   They're they're they're gonna try to maintain feature parity
[01:31:51.840 --> 01:31:54.880]   What I want to know is when is the pixel of watches coming out?
[01:31:54.880 --> 01:32:01.680]   Like a super nice one. Yeah, what was wasn't there a nice the lg r is very nice
[01:32:01.680 --> 01:32:07.120]   Well, there's the other one just there's another new one that came out of mw sim very it's like a thousand dollar watch
[01:32:07.120 --> 01:32:09.600]   Isn't it was big as you would invest
[01:32:09.600 --> 01:32:16.800]   Money and something you know it was weird. It has no life shelf life. No, no, that's why the
[01:32:17.360 --> 01:32:23.280]   $1000 apple watches just it's absurd. It's only for people who for whom $17,000 is like $20
[01:32:23.280 --> 01:32:30.240]   Here is the android where ad that was released just before apple's event
[01:32:30.240 --> 01:32:37.600]   Hi, hi, honey. Hi. Hi. Hi. What everyone is minus you could call me multiply. Just so you know. Yes. Yes. I'm my guy
[01:32:37.600 --> 01:32:40.880]   Very sprockets. This is me on the regular
[01:32:40.880 --> 01:32:45.280]   Yes, you know that I go. This is me on the regular. So you know
[01:32:45.760 --> 01:32:48.400]   I love I have to say I've loved those be together not
[01:32:48.400 --> 01:32:56.000]   Yeah, what is it a great campaign together? Not the same. Not the same. Yeah, it's exactly right and they're very soft sell because they don't really
[01:32:56.000 --> 01:32:58.320]   Say anything
[01:32:58.320 --> 01:33:04.400]   But it's and you can tell it's and right what's the social version of of fake different? Yeah, I love it
[01:33:04.400 --> 01:33:12.720]   Although I'd say I I'm I was surprised by the number of options that there are going to be for the apple watch
[01:33:12.960 --> 01:33:18.560]   Because it seems like apple generally goes with you know, this is the one true good thing
[01:33:18.560 --> 01:33:23.760]   Right, but it seems like apple watch. There's a lot of stylistic and options and price ranges
[01:33:23.760 --> 01:33:29.280]   Remember that whole thing about fragmentation difference the different apple watch sizes have different screen resolutions
[01:33:29.280 --> 01:33:34.800]   So for a programmer, yeah, that's a pain. Yeah, yeah, yeah
[01:33:34.800 --> 01:33:37.520]   Just a little different
[01:33:37.520 --> 01:33:38.720]   So
[01:33:38.720 --> 01:33:41.360]   I guess we won't hear the word fragmentation from apple for a while
[01:33:42.560 --> 01:33:44.560]   So twitter bought periscope
[01:33:44.560 --> 01:33:49.920]   Which is a video streaming service that's gonna I presume be tied to twitter
[01:33:49.920 --> 01:33:52.720]   unfortunately
[01:33:52.720 --> 01:33:55.840]   Just in time for south by south west miercat launched
[01:33:55.840 --> 01:34:01.680]   Actually launching it in the last month and all the everybody's using miercat now. That's the thing miercat
[01:34:01.680 --> 01:34:05.440]   iOS only unfortunately which peeps me no end
[01:34:05.440 --> 01:34:10.880]   Miercat is I always only yeah, I don't know if uh, periscopals be supporting
[01:34:11.600 --> 01:34:16.880]   They will the miercat team actually got a bunch of their member their uh, you know
[01:34:16.880 --> 01:34:20.960]   Their programmers together over a weekend and created an app for android
[01:34:20.960 --> 01:34:25.840]   They call an unofficial miercat app just for viewing miercat video. No, no. I don't want it
[01:34:25.840 --> 01:34:31.520]   I want to stream right they're working on that and it'll happen eventually so there's a this is not a new category
[01:34:31.520 --> 01:34:34.240]   We've all played with quick remember quick. Yeah qwik
[01:34:34.240 --> 01:34:38.000]   And social cam no quick was bought by who bought quick
[01:34:38.000 --> 01:34:41.200]   Was it facebook somebody bought quick
[01:34:41.840 --> 01:34:43.840]   Yeah, um
[01:34:43.840 --> 01:34:49.040]   What's interesting is that we're in a new age skype skype bought quick
[01:34:49.040 --> 01:34:50.320]   That's right
[01:34:50.320 --> 01:34:53.280]   And there was social cam from justin.tv same idea
[01:34:53.280 --> 01:35:00.160]   But I used both and I loved the idea but streaming was really rocky and and people it was hard for good to watch
[01:35:00.160 --> 01:35:04.240]   But we've just approved so much our bandwidth and our cameras and our phones and stuff
