;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig136
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=136
title=This Week In Google 136: It's A Polar Bear
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.140]   It's time for Twig this week in Google. We're gonna talk about cookies
[01:08:31.540 --> 01:08:37.620]   A google plus user who abandoned my account when that's not you know google kind of did this themselves a little bit and that
[01:08:37.620 --> 01:08:41.460]   You're right you should make a google plus account, you know because they have such high signups
[01:08:41.460 --> 01:08:46.740]   They're gonna have a lot of dead users. Well, let me let me create an account. Okay
[01:08:47.300 --> 01:08:53.060]   Create a new google account your google account is more than just gmail take it all with you share a little work in the future
[01:08:53.060 --> 01:08:54.980]   so
[01:08:54.980 --> 01:08:56.980]   You know they push their products
[01:08:56.980 --> 01:08:59.540]   Yeah, so
[01:08:59.540 --> 01:09:04.580]   So google plus visitors spend it out so visitor i guess is someone who has been to plus that google.com
[01:09:04.580 --> 01:09:09.300]   I mean there's no doubt the facebook has higher usage
[01:09:09.300 --> 01:09:15.860]   But my my view on google plus is kind of skewed i mean to me it's still a very active and delightful like nerd salon
[01:09:16.660 --> 01:09:18.980]   But i don't you know i think for regular people
[01:09:18.980 --> 01:09:22.580]   You know they're not seeing their friends and family on google plus yet
[01:09:22.580 --> 01:09:28.580]   I'm spending though a lot more time on google plus than i do on facebook i have more conversations there really
[01:09:28.580 --> 01:09:34.260]   Seeing jeff you've been a lot more active i google plus i get kind of hot and cold about it i do too
[01:09:34.260 --> 01:09:34.980]   Yeah
[01:09:34.980 --> 01:09:37.780]   I get i get really hot about it i'm like this is great the conversations are great
[01:09:37.780 --> 01:09:42.900]   But it feels like compared to twitter it feels like a lot of work because the posts are so much
[01:09:43.140 --> 01:09:49.140]   You know media and because the conversation is going so much longer. I just feel like it's much more of a time commitment where with twitter i just
[01:09:49.140 --> 01:09:51.380]   Can kind of quickly scan
[01:09:51.380 --> 01:09:53.380]   And kind of get more out of it look at this
[01:09:53.380 --> 01:10:01.620]   This is when you sign up you check they have a box to check google may use my account information to personalize plus ones on contents and ads on non google websites
[01:10:01.620 --> 01:10:07.780]   So that's what they were doing on ios but so maybe you agreed to it and you just didn't remember it
[01:10:08.660 --> 01:10:15.140]   Well, but the but jita would say i'll speak for jineer they still they should be clear. They should be out of here effect. Yeah, yeah, i was like, right?
[01:10:15.140 --> 01:10:17.140]   I can't i screwed up on the
[01:10:17.140 --> 01:10:23.620]   I hate captures. Oh the capture. I can't read that. What is that? Would you guys help me? What is that?
[01:10:23.620 --> 01:10:26.420]   cure cure i got
[01:10:26.420 --> 01:10:28.420]   Oh
[01:10:28.420 --> 01:10:36.260]   Oh, you're good. No. Yeah, I said an iron l. Hey, these are an n or an r and r and i are at l
[01:10:36.900 --> 01:10:39.300]   Place place sound again you listen
[01:10:39.300 --> 01:10:47.940]   Oh, scull way
[01:10:47.940 --> 01:10:52.020]   Prove you're not a robot. That sounded like this omen
[01:10:52.020 --> 01:11:01.940]   Is the devil google you prove you're not a robot you are a robot you're a python script and you're asking me to prove i human
[01:11:03.380 --> 01:11:10.740]   Trying out loud when now my browser's functionality's turned off. Please turn it on polar bear. Look at this. Look at this
[01:11:10.740 --> 01:11:15.380]   Google's just doing a constant terrain test on the whole world
[01:11:15.380 --> 01:11:22.500]   Well, anyway, you don't have to go sign up for a whole guy. I was just wondering if by the way
[01:11:22.500 --> 01:11:28.420]   This is interesting look at what google recommends as a setting under accept cookie select only from sites you navigate to
[01:11:30.260 --> 01:11:34.180]   They're recommending turning off recommending first party cookies only yeah
[01:11:34.180 --> 01:11:37.700]   Isn't that interesting huh?
[01:11:37.700 --> 01:11:39.940]   Well, I mean they own all their properties
[01:11:39.940 --> 01:11:40.740]   So
[01:11:40.740 --> 01:11:45.380]   Well, that's somebody pointed out, you know, all they had to do is make that double the thing was it came from double click
[01:11:45.380 --> 01:11:47.620]   if they had merely made it come from
[01:11:47.620 --> 01:11:50.820]   Google they wouldn't have had to do any work around at all
[01:11:50.820 --> 01:11:53.860]   It's very strange. It's all
[01:11:53.860 --> 01:11:59.060]   Well, but in the new york times it has new york times cookies and it has double cookies a double cookies
[01:11:59.060 --> 01:12:03.460]   I assume mark consider third party cookies. I'm very confused. Yes, they are
[01:12:03.460 --> 01:12:10.740]   We go again. Those are third party. They're both frozen and so I've got cookies turned on and it still won't let me do the
[01:12:10.740 --> 01:12:13.060]   tip number and tool
[01:12:13.060 --> 01:12:16.340]   Eileen is our savior this week. Thank god
[01:12:16.340 --> 01:12:21.060]   So depressed here we go. Gina. Gina. What's your tip of the week?
[01:12:22.260 --> 01:12:26.100]   Tip of the week is a really simple one a new change in gmail
[01:12:26.100 --> 01:12:32.980]   Thanks to html 5 and chrome gmail you can set gmail to be your default email handler
[01:12:32.980 --> 01:12:36.580]   Which means that next time you go to gmail. I just got it a couple of days ago
[01:12:36.580 --> 01:12:41.300]   It'll say across the top. Do you want gmail to be the default your default email handler?
[01:12:41.300 --> 01:12:43.700]   If you say yes anytime you see
[01:12:43.700 --> 01:12:50.980]   Uh an email address linked on any web page you'll click on it and it'll launch gmail instead of launching mail or you know
[01:12:51.060 --> 01:12:52.820]   You're a crazy windows
[01:12:52.820 --> 01:12:56.900]   Client so basically lets you use gmail as kind of your default default client
[01:12:56.900 --> 01:13:01.460]   It amazes me that it's 2012 and this is like a really exciting new thing
[01:13:01.460 --> 01:13:03.860]   But it is it's it's always been a pain
[01:13:03.860 --> 01:13:06.660]   I've kind of trained myself to copy and paste links into gmail
[01:13:06.660 --> 01:13:13.700]   But now you just click them and and you can do the same and there's instructions for setting gmail to be your mail handler in firefox and
[01:13:13.700 --> 01:13:15.300]   internet explorer as well
[01:13:15.300 --> 01:13:18.740]   But it works kind of right out very smoothly out of the box in chrome
[01:13:18.740 --> 01:13:20.980]   cool
[01:13:20.980 --> 01:13:22.980]   cool, cool
[01:13:22.980 --> 01:13:24.980]   Jeff your number of the week
[01:13:24.980 --> 01:13:30.820]   My number of the week well erich mitt said miss beach. I'm glad we didn't get to this earlier, but i'll get leo fired up again
[01:13:30.820 --> 01:13:32.340]   um
[01:13:32.340 --> 01:13:34.580]   More than more stuff smit says
[01:13:34.580 --> 01:13:40.900]   Uh google products are blocked in 25 of the 125 countries in which google does business
[01:13:40.900 --> 01:13:41.380]   Wow
[01:13:41.380 --> 01:13:47.060]   Miskarrier one that he said that now 40 nations censor the nut up from four a decade ago
[01:13:47.060 --> 01:13:51.620]   Holy cow, this is the trajectory. We're on I wrote a post this week
[01:13:51.620 --> 01:13:55.940]   uh that you should read to the tune of um pink floyd
[01:13:55.940 --> 01:14:01.300]   Saying to leave our net alone and and the basic thing that's going wrong here
[01:14:01.300 --> 01:14:06.660]   The basic thing going wrong here is that there is a growing presumption
[01:14:06.660 --> 01:14:09.620]   In all this talk of regulation that the internet's broken
[01:14:09.620 --> 01:14:15.860]   It ain't broken. It's what erich mitt said to it's not broken. So don't fix it, please leave our net alone
[01:14:16.900 --> 01:14:18.900]   We don't need no regulation
[01:14:18.900 --> 01:14:23.700]   Hmm. Yes
[01:14:23.700 --> 01:14:31.460]   Internet is not broken and that's the fundamental thing we've got to get across to people is that that's what is allowing this push to regulate
[01:14:31.460 --> 01:14:33.540]   Under the guise is a piracy privacy
[01:14:33.540 --> 01:14:37.220]   Security decency indecency pedophilia
[01:14:37.220 --> 01:14:40.580]   uh and citizen and and and civilization
[01:14:40.580 --> 01:14:43.940]   Yes, a breeze all around the world and
[01:14:44.500 --> 01:14:48.180]   Upward governmental organizations like the EU and the UN
[01:14:48.180 --> 01:14:53.700]   A wall street journal. Uh, I think we've been shan last week is this this this talk about about well
[01:14:53.700 --> 01:14:58.980]   Maybe we should go ahead and start regulating so we don't have the UN do it. No, it ain't broken. Don't fix it
[01:14:58.980 --> 01:15:03.380]   Cool. That was an excuse a number as an excuse for a rant
[01:15:03.380 --> 01:15:07.220]   from a strange pink man
[01:15:07.220 --> 01:15:11.620]   He's lavender now that is weird
[01:15:12.580 --> 01:15:17.620]   The camera keeps on readjusting every time. Yeah, so I'll see sometimes it'll see the background is is anyway
[01:15:17.620 --> 01:15:25.460]   Yeah, I'm strange pink refixed him and now he's weirder looking than he was. I'm fixed in more ways than you know. Yes, you are
[01:15:25.460 --> 01:15:29.700]   Is maps GL something new?
[01:15:29.700 --> 01:15:36.340]   Do you know gniff that's something new? I don't I don't think so. I thought I've been around for a while so
[01:15:36.340 --> 01:15:40.900]   Uh, it's using web GL to turn your google maps into these incredible 3d
[01:15:42.100 --> 01:15:46.340]   45 degree fly-ins and stuff like that and uh john came and said have you seen this?
[01:15:46.340 --> 01:15:51.460]   It's really cool. So I thought in honor of john. I think we've seen it before yeah, it's been a rough for a while
[01:15:51.460 --> 01:15:53.700]   It's still neat. That's new. Well, anyway
[01:15:53.700 --> 01:16:03.220]   In that case, forget it forget. I even mentioned it. I like web GL. Yeah, I'm really let me show you how to so you can avoid all these ads on the internet
[01:16:03.220 --> 01:16:09.140]   Let me show you how to block them. This is so confusion is what you should show. Should I show collusion? All that all right
[01:16:09.140 --> 01:16:11.220]   It's a firefox set tool, right?
[01:16:12.020 --> 01:16:13.220]   Yeah
[01:16:13.220 --> 01:16:17.940]   We want to recommend it though based on our earlier conversation. No, I'm just going to show you how
[01:16:17.940 --> 01:16:20.020]   set leo off how
[01:16:20.020 --> 01:16:23.060]   Open-minded I am. This is a life hacker article
[01:16:23.060 --> 01:16:28.020]   Collusion for firefox shows you who's josie, but now google won't let me see this either
[01:16:28.020 --> 01:16:34.900]   Who's tracking you on the web in real time? Chrome says no, I'm sorry. The oh you can't read that
[01:16:34.900 --> 01:16:37.460]   Here's a polar bear
[01:16:37.460 --> 01:16:39.460]   I
[01:16:39.460 --> 01:16:46.660]   Anyway, I'm going to wrap it up because I got nothing more to say who's on triangulation this after
[01:16:46.660 --> 01:16:48.820]   I'm so sorry
[01:16:48.820 --> 01:16:52.180]   Poor bobby bobby luwellen if you know if you've ever watched red dwarf
[01:16:52.180 --> 01:16:55.620]   He plays kriton the guy with the rubber face the robot
[01:16:55.620 --> 01:17:01.220]   He is also very famous for his carpool podcast and others. He's just the greatest
[01:17:01.220 --> 01:17:06.740]   Bobby luwellen will be our guest via skype. I wish you were in studio bit of you via skype because he's calling from very britain
[01:17:07.140 --> 01:17:15.700]   At four p.m. Pacific 7 p.m. Eastern this afternoon on triangulation tnt is coming up next jeff javis is the author of what would google
[01:17:15.700 --> 01:17:20.340]   Do and his brand new kindle single dug hair guten bug
[01:17:20.340 --> 01:17:27.460]   Uh, and you could find the gutenberg the geek on on your amazon just you know amazon gutenberg the geek it
[01:17:27.460 --> 01:17:33.140]   Pull me up. It's 99 cents 99 says if you're a prime user on a kindle on earth free you're kidding
[01:17:33.540 --> 01:17:39.860]   Oh, I didn't even know that very free. So that's the deal with singles too is for prime. They're free. What a great deal
[01:17:39.860 --> 01:17:44.900]   Uh, thank you jeff for being here buzz machine.com. Keep fighting the fight
[01:17:44.900 --> 01:17:47.940]   you pinko
[01:17:47.940 --> 01:17:51.620]   I keep it. Do you want it to ping floids on? I know yeah
[01:17:51.620 --> 01:17:54.740]   No
[01:17:54.740 --> 01:17:57.860]   regulation
[01:17:57.860 --> 01:18:00.420]   Somebody has to come together
[01:18:00.420 --> 01:18:02.420]   No nerd control
[01:18:02.420 --> 01:18:04.420]   Yeah
[01:18:04.420 --> 01:18:07.220]   You know we're gonna go see the wall
[01:18:07.220 --> 01:18:12.980]   In a couple of months right all of us may and may the whole studio. Why don't you guys come over?
[01:18:12.980 --> 01:18:18.500]   We'll take you. Oh, that's it. I'm coming up for already. We already spent a bunch of money on tickets
[01:18:18.500 --> 01:18:24.020]   Might as well just add two more we got great seats though jeet at japanese is the author of
[01:18:24.020 --> 01:18:27.860]   Nothing. I'm not gonna mention that wave thing
[01:18:27.860 --> 01:18:30.900]   the complete guide to google wave
[01:18:31.460 --> 01:18:32.820]   Oh
[01:18:32.820 --> 01:18:35.700]   Polar bears that i'm putting i'm putting an ad blocker on
[01:18:35.700 --> 01:18:40.180]   Go to go to smarter word.org and see everything she's up to it
[01:18:40.180 --> 01:18:44.660]   She'll follow her on uh google plus as well as jeet at japanese. Thank you jeena. Thank you jeff
[01:18:44.660 --> 01:18:49.780]   Thank you all for being here. We'll see you next time on this week in
[01:18:50.340 --> 01:18:52.340]   qua
[01:18:52.340 --> 01:18:54.340]   You
[01:18:54.340 --> 01:18:56.340]   You
[01:18:56.340 --> 01:18:58.340]   You
[01:18:58.340 --> 01:19:00.340]   You
[01:19:00.340 --> 01:19:03.680]   [MUSIC PLAYING]

