;FFMETADATA1
title=Stop Spocking My Bills!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=290
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.580]   It's time for Twig this week in Google. Aaron Nukem joins Jeff Jarvis and me
[01:06:55.040 --> 01:06:59.200]   You know landfill out of carrying down those buildings just just bothered me
[01:06:59.200 --> 01:07:04.800]   It's a restored natural habitat around permanent day greek near the proposed landing project
[01:07:04.800 --> 01:07:06.240]   And here's the other thing that occurred to me
[01:07:06.240 --> 01:07:10.800]   So what they're basically doing is putting a dome around the campus so you can't wonder around google anymore as well
[01:07:10.800 --> 01:07:17.040]   It will be you can uh, it by can you can bicycle inside it
[01:07:17.040 --> 01:07:22.560]   Right and we never leave it. It's the bio dome. It's bio dome
[01:07:23.680 --> 01:07:26.480]   Remember that yeah, yeah, yeah in there is a robot
[01:07:26.480 --> 01:07:31.440]   You know drive by facebook and it's boring as hell outside inside is Disneyland right now
[01:07:31.440 --> 01:07:35.440]   This is the existing google campus right this is which as you say works fine
[01:07:35.440 --> 01:07:39.360]   It's a building it's a it's a building with cubies, you know cubbies
[01:07:39.360 --> 01:07:44.800]   They're gonna hooly it that's what they're gonna do. Yep. Yep. They're gonna turn it into hooly
[01:07:44.800 --> 01:07:51.120]   They're from what they're describing. They're creating modules like building modules that can move
[01:07:51.520 --> 01:07:58.000]   So you're working with a team and you want to coordinate with another team your module actually moves to another mod
[01:07:58.000 --> 01:08:03.120]   It's like a hamster habitat. What why it's a hamster habitat
[01:08:03.120 --> 01:08:07.440]   When you're working on the wave team and it disappears you suddenly get ejected
[01:08:07.440 --> 01:08:14.880]   You know the helicopter comes down picks up your module and everybody in it takes you somewhere else goodbye
[01:08:14.880 --> 01:08:17.680]   The other thing about it is that that you know i've been
[01:08:18.240 --> 01:08:20.960]   Now i've gone to enough google stuff out there where you end up across
[01:08:20.960 --> 01:08:23.040]   101 yeah
[01:08:23.040 --> 01:08:27.760]   And people there's a real isolation then you really feel like you're in the kiddie table. Yeah, yeah
[01:08:27.760 --> 01:08:30.000]   um
[01:08:30.000 --> 01:08:34.880]   All right, the other the other thing is they I think is also included in agreement to build housing
[01:08:34.880 --> 01:08:40.480]   And I think that's a how you get these deals done for for the town of mountain view. You mean yeah
[01:08:40.480 --> 01:08:47.040]   Yeah, that's critical. Yep. And they mentioned that the canopies will also block pollution. Maybe they're planning
[01:08:47.680 --> 01:08:49.680]   for uh, you know global warming
[01:08:49.680 --> 01:08:51.680]   The end of the year
[01:08:51.680 --> 01:08:59.440]   I mean, it's like the tv show the dome. Look at this. Yeah, you know, i'll bet i'll bet somewhere in some
[01:08:59.440 --> 01:09:04.480]   Where there there's a there's there's the zombie scenario how to keep zombies out
[01:09:04.480 --> 01:09:13.280]   Nor in the geeks if you can but if you can if you can retrofit these buildings and make them more environmentally friendly and save
[01:09:13.280 --> 01:09:16.000]   You know, how are these existing buildings under this?
[01:09:16.000 --> 01:09:21.200]   No, no, they're turning down. It's all brand new brand new for interning biosphere three. I'm telling you
[01:09:21.200 --> 01:09:24.560]   Look at that. They have a giant faucet
[01:09:24.560 --> 01:09:27.200]   No, this could just as easily be
[01:09:27.200 --> 01:09:29.440]   sculpture
[01:09:29.440 --> 01:09:31.440]   Look at the water there wasting
[01:09:31.440 --> 01:09:37.600]   Net zero parking they want to net consolidated parking below the building
[01:09:37.600 --> 01:09:43.920]   So once you get there they they take your car they crush it and you have to stay
[01:09:45.440 --> 01:09:47.440]   Your car will never be seen again
[01:09:47.440 --> 01:09:49.200]   It does look beautiful
[01:09:49.200 --> 01:09:54.000]   But i'm just saying when companies get this big and this grandiose and they spend this much money like apple
[01:09:54.000 --> 01:09:58.800]   Uh that is often the beginning of the end that's often the peaked peak moment
[01:09:58.800 --> 01:10:02.960]   Said the guy who built the million dollar studio in downtown
[01:10:02.960 --> 01:10:09.920]   How long does it take to build something like this like are we talking five years 10 years
[01:10:09.920 --> 01:10:15.120]   Yeah, not decades. Oh, yeah, it's not like sakura familia. It's uh,
[01:10:15.200 --> 01:10:17.200]   I mean this is um
[01:10:17.200 --> 01:10:21.360]   First they got to get approval. That's what this process is getting mountain view to go along with it
[01:10:21.360 --> 01:10:25.200]   Apple's campus is I think was a five-year build
[01:10:25.200 --> 01:10:29.680]   This can't be that much more compact. I bet it is. I mean only because it's so much bigger
[01:10:29.680 --> 01:10:33.920]   And if you if you go for the full view and that full view the full
[01:10:33.920 --> 01:10:38.080]   Enchilada that never happens anyway, right? I mean this is a rendering
[01:10:38.080 --> 01:10:42.000]   This is something that someone came up with and said here's what it could look like like a concept car
[01:10:42.000 --> 01:10:45.760]   It's only a concept. Yeah, it's never going to be like this if they went for the full enchilada
[01:10:45.760 --> 01:10:48.320]   I think it would be more than 10 years to get everything done
[01:10:48.320 --> 01:10:53.760]   But you're right. That's not going to happen. So yeah, we're probably looking at at five years eight years
[01:10:53.760 --> 01:10:56.960]   To get the majority of it done if they choose to go this route
[01:10:56.960 --> 01:11:01.760]   I guess they can do it as fast as they want just you know hire more people
[01:11:01.760 --> 01:11:07.120]   Yeah, right. You certainly have the money how much you want to spend some of these like that image right there
[01:11:07.120 --> 01:11:09.680]   That's why I said it looks like they were repurposing the buildings right?
[01:11:09.680 --> 01:11:13.920]   Looks like they've taken the sides off of the buildings. Right. It doesn't look like they're they're completely
[01:11:13.920 --> 01:11:16.320]   I like the notion that these canopies
[01:11:16.320 --> 01:11:19.360]   Make you that you're outside, but you're also insights
[01:11:19.360 --> 01:11:22.720]   Walls in the buildings because it never rains
[01:11:22.720 --> 01:11:26.960]   It never you know the climate never varies
[01:11:26.960 --> 01:11:31.120]   It is a perfect place to do something like this because it doesn't remember that
[01:11:31.120 --> 01:11:36.960]   One of the goals google has is to put its campus entirely on solar be carbon neutral and this might be a
[01:11:37.600 --> 01:11:39.600]   Part of that project is why yeah, yeah
[01:11:39.600 --> 01:11:44.240]   But they've got there's no that you got to get rid of hobo's
[01:11:44.240 --> 01:11:47.680]   Okay, I'm just saying the hobos are gonna love this
[01:11:47.680 --> 01:11:53.920]   It's so big. I'm just joking, but it is so big. I don't know how you keep it secure. It looks like you can just
[01:11:53.920 --> 01:11:56.560]   Like it's not sealed right?
[01:11:56.560 --> 01:12:02.800]   Oh, no, I'm sure it is is it you have to go through an airlock would imagine that's what that's what it's a vacuum. Yeah
[01:12:05.680 --> 01:12:07.680]   So if the planet if all of the
[01:12:07.680 --> 01:12:13.040]   Oxygen boils off the surface of the planet still be safe still be okay. Good biosphere three
[01:12:13.040 --> 01:12:15.600]   The front door is actually in New York, but then you're
[01:12:15.600 --> 01:12:20.800]   All right, uh, what's what's um
[01:12:20.800 --> 01:12:26.560]   What's the the the the tube the fast tube? Oh the hyperloop or the other hyper
[01:12:26.560 --> 01:12:29.280]   There yeah hyper pneumatic thing
[01:12:29.280 --> 01:12:33.120]   YouTube has a billion viewers and no profit
[01:12:34.240 --> 01:12:35.520]   Uh
[01:12:35.520 --> 01:12:38.800]   Amazon has gazillion customers no profit
[01:12:38.800 --> 01:12:45.360]   The problem is that in order to do youtube you have to spend a lot of money on infrastructure and bandwidth and hardware and
[01:12:45.360 --> 01:12:48.000]   uh youtube has revenue
[01:12:48.000 --> 01:12:50.000]   Four billion dollars in revenue. That's a
[01:12:50.000 --> 01:12:53.280]   One third increased over the year before that
[01:12:53.280 --> 01:12:58.800]   But and it's six percent of google's overall sales, but uh, I think we talked about this last week
[01:12:58.800 --> 01:13:01.360]   Actually, I don't think google's worried
[01:13:01.360 --> 01:13:03.360]   No, youtube is a engine
[01:13:03.920 --> 01:13:05.520]   for google
[01:13:05.520 --> 01:13:09.040]   Walmart has pulled out of a deal with google over shared data
[01:13:09.040 --> 01:13:14.720]   I don't think it's so much an issue of consumer privacy is it is walmart's privacy. Yeah, we want the data
[01:13:14.720 --> 01:13:19.840]   Google ended up knowing too much. Yeah, that's our data google
[01:13:19.840 --> 01:13:28.240]   Uh, so walmart had signed up for google advertising service that showed shoppers where products are available at nearby stores
[01:13:28.880 --> 01:13:35.760]   But a month later they pulled out over concerns about sharing store inventory and pricing data with google
[01:13:35.760 --> 01:13:38.960]   So there you go
[01:13:38.960 --> 01:13:46.160]   Uh, i'm just looking at quick. Oh, what's this about google wants to help you build your put put solar in your house
[01:13:46.160 --> 01:13:51.360]   Because I want to do that. It's it's the rental deal. I mean, it's it's it's it's not a bad deal right?
[01:13:51.360 --> 01:13:57.840]   They own it and it leads it to you and you get the net value bill. Well, this is nothing new their power purchase agreements
[01:13:58.400 --> 01:14:02.880]   For many companies do this right exactly. Um, they're just investing more
[01:14:02.880 --> 01:14:08.880]   This is actually in conjunction with solar city which is a full set of just one of these companies
[01:14:08.880 --> 01:14:13.600]   So the yeah, that's a good way to do it picked out the school that I uh serve on the board is
[01:14:13.600 --> 01:14:18.000]   Uh thinking about doing this the company comes in they build all the infrastructure
[01:14:18.000 --> 01:14:22.800]   They don't pay charge you anything you get effectively free power you save a lot of money and
[01:14:22.800 --> 01:14:27.280]   Yes, it's a smart. It's actually a smart for everybody. It's a good
[01:14:27.840 --> 01:14:31.920]   New thought now that I have ice damming as I wonder if it helps with snow on the roof
[01:14:31.920 --> 01:14:38.800]   Oh, man. I in fact, I forgot to ask paul about this. He posted uh, he had a snow clear off his roof
[01:14:38.800 --> 01:14:42.560]   He said all sorts of damage and and really leakage and I
[01:14:42.560 --> 01:14:44.800]   It's it's I
[01:14:44.800 --> 01:14:49.200]   I asked what we had we had guys tear and ice off the roof today. I talked to the making etiquette
[01:14:49.200 --> 01:14:52.960]   And he said I said sorry didn't call you back. That's why he said. Oh, yeah. Well, I got somebody in my roof right now
[01:14:52.960 --> 01:14:54.880]   Wow
[01:14:54.880 --> 01:15:00.400]   Good news in mississippi google was being uh prosecuted by a local district attorney
[01:15:00.400 --> 01:15:04.240]   in uh, mississippi actually attorney general mississippi jim hood
[01:15:04.240 --> 01:15:08.160]   Uh, and then in the sony pictures entertainment hack
[01:15:08.160 --> 01:15:09.920]   Uh
[01:15:09.920 --> 01:15:15.920]   Emails were released that showed that sony actually had approached hood saying would you mind going after google for us?
[01:15:15.920 --> 01:15:20.080]   So
[01:15:20.080 --> 01:15:29.040]   Judge has decided uh, henry t wingate us district judge has temporarily barred hood from forcing google to supply comply with its
[01:15:29.040 --> 01:15:33.360]   His 79 page subpoena saying it was an illegal
[01:15:33.360 --> 01:15:36.880]   censorship campaign cooked up by hollywood
[01:15:36.880 --> 01:15:41.920]   Agreeing with google the judge said google has the better side of the legal arguments
[01:15:41.920 --> 01:15:48.400]   Pretty embarrassing frankly hood was trying to figure out if google was violating mississippi laws
[01:15:49.360 --> 01:15:50.400]   because
[01:15:50.400 --> 01:15:53.760]   By exposing internet users to drugs and pornography
[01:15:53.760 --> 01:15:58.560]   Across state lines. He is moving pornography
[01:15:58.560 --> 01:16:02.640]   Across our state lines project goliath
[01:16:02.640 --> 01:16:05.360]   Goliath being google
[01:16:05.360 --> 01:16:10.480]   Was revealed in the hack of sony and it was something the mpaa was involved in and
[01:16:10.480 --> 01:16:13.680]   They found hood
[01:16:13.680 --> 01:16:15.440]   Uh, I can't remember. Oh, yeah
[01:16:15.440 --> 01:16:20.320]   They got a previous attorney general from mississippi to lobby hood to do this
[01:16:20.320 --> 01:16:28.400]   Paying a lot of money. Wow google just but we talked about this on security now just bought the entire dot app domain
[01:16:28.400 --> 01:16:36.080]   So, I guess I can is selling custom domain names the g tlds
[01:16:36.080 --> 01:16:39.200]   uh generic tlds
[01:16:39.200 --> 01:16:43.600]   Dot app is one of them dot a p p google spent 25 million dollars
[01:16:44.240 --> 01:16:50.320]   And uh, they bought a number of them. They've applied for dot docs dot android dot free dot fyi dot food
[01:16:50.320 --> 01:16:58.160]   No, we're about dot bar who gets that and dot app they uh, I can't has been gradually auctioning these off
[01:16:58.160 --> 01:17:05.920]   For instance dot tech llc spent 6.7 million on the dot tech domain name last year beating out google
[01:17:05.920 --> 01:17:11.360]   Amazon bought dot buy for five million dot spot for 2.2 million
[01:17:12.080 --> 01:17:16.880]   Google got dot blog and they say well, we're gonna make it easier for people who i'm blogger dot com
[01:17:16.880 --> 01:17:19.120]   to without any uh
[01:17:19.120 --> 01:17:22.720]   Domain name fooling around to have a dot blog address
[01:17:22.720 --> 01:17:28.080]   But the dot app they're gonna keep there. I don't know if they're gonna make that public or keep it to themselves
[01:17:28.080 --> 01:17:30.400]   It's another gold rush. I mean
[01:17:30.400 --> 01:17:33.600]   We're all old enough to remember this stopping back in the
[01:17:33.600 --> 01:17:41.440]   90s, right? I mean remember sex dot comm sold for a lot everybody thought that the generic dot com names like tv.com right right
[01:17:42.240 --> 01:17:47.360]   And uh, sex dot com was worse business dot com sold for a lot of things and they were worthless because they were generic
[01:17:47.360 --> 01:17:51.680]   Yeah, yeah, precisely because they were generic turn out google dot com was worth a lot more
[01:17:51.680 --> 01:17:56.880]   Well, the other the other issue of that is that what we found when I worked on newspaper sites is that if you're if you're brand
[01:17:56.880 --> 01:18:01.360]   Didn't match your domain you lost all kinds of value because people didn't recall you right?
[01:18:01.360 --> 01:18:07.200]   But if you're if your domain is generic and you think that's valuable you can't trademark you can't do anything right?
[01:18:07.200 --> 01:18:08.880]   right
[01:18:08.880 --> 01:18:11.520]   So google because they are a registrar
[01:18:11.520 --> 01:18:17.200]   Let's you currently register, you know hover does this they have a lot of crazy names google has dot how dot soy
[01:18:17.200 --> 01:18:20.160]   dot minna
[01:18:20.160 --> 01:18:22.960]   Uh, they want dot dad dot here dot eat dot new
[01:18:22.960 --> 01:18:29.600]   Um, but but some of them there was I think there was one that they were going to keep to themselves that we're just going to
[01:18:29.600 --> 01:18:31.920]   Own it. I can't remember what that was
[01:18:31.920 --> 01:18:36.320]   Dot god dot god because they're keeping that to themselves
[01:18:36.960 --> 01:18:38.960]   Now that's dot universe
[01:18:38.960 --> 01:18:41.040]   Uh, let's see
[01:18:41.040 --> 01:18:43.440]   I think it's important to mention so we have the story last week leo
[01:18:43.440 --> 01:18:49.440]   And we talked about it the fair amount the google was going to ban adult content on blogger and then not very long after the show at all
[01:18:49.440 --> 01:18:52.240]   They like the day or two. They decided to reverse that
[01:18:52.240 --> 01:18:59.280]   Yeah, we had an interesting debate and I mentioned on twit that you got involved in a twit twitter conversation with a pornographer
[01:18:59.280 --> 01:19:04.240]   Who said we support it because we we think it's better for us
[01:19:05.120 --> 01:19:13.360]   Uh, and for kids if all if there's neighborhoods where adult stuff is we if you think about it if you're in the adult business you
[01:19:13.360 --> 01:19:21.920]   Part of the hassle is all the people trying to you know, sue you away. So, uh, am I characterizing it correctly?
[01:19:21.920 --> 01:19:26.800]   That's what that's what he said. Yeah, but then but then um, uh, what's your name blue? Um
[01:19:26.800 --> 01:19:29.040]   Oh violet blue
[01:19:29.040 --> 01:19:34.800]   Biking violet blue and others had entirely different rationales saying that that that basically
[01:19:34.800 --> 01:19:40.320]   And I think a lot of it is just people who were just different in life and are going to be
[01:19:40.320 --> 01:19:45.680]   Discriminated against because they they got rid of this and and so I'm you know, I think for on a basis of free speech
[01:19:45.680 --> 01:19:48.800]   I'm glad it's still there. Yeah, of course. I never look at any of it
[01:19:48.800 --> 01:19:54.000]   They were very serious completely ever see it by the way Steve Gibson just signed in the chat to tell me that the domain google bot
[01:19:54.000 --> 01:19:56.000]   And it's keeping to itself is dot dev
[01:19:56.480 --> 01:19:58.480]   dv
[01:19:58.480 --> 01:20:04.320]   So if you're a google developer, you'll have your own tld all to yourself. Look at this on street view
[01:20:04.320 --> 01:20:06.080]   There
[01:20:06.080 --> 01:20:11.360]   I don't know. Is there somebody doing zip lines on? Yeah, there is. Yeah, they've got the backpack on
[01:20:11.360 --> 01:20:13.920]   He's zip lining through the amazon
[01:20:13.920 --> 01:20:18.240]   I don't think I can look at this. I think my problems will sweat. Oh zip lining is fun
[01:20:18.240 --> 01:20:22.480]   Of course you would never want to do this. Look at this. He's wearing the backpack on a zip line
[01:20:22.480 --> 01:20:25.440]   I would literally have a heart attack halfway down. I just
[01:20:26.320 --> 01:20:31.040]   It's fun. I've done it in uh, Belize. We we have a zip line up the road apiece in the
[01:20:31.040 --> 01:20:35.760]   In the redwood forest up here and it's really fun. I've done a lot of times. It's great fun. My mom did it
[01:20:35.760 --> 01:20:40.000]   My mom at what 70 she did a couple years from 72 73
[01:20:40.000 --> 01:20:42.400]   It's a little sweaty palm, but that's
[01:20:42.400 --> 01:20:47.120]   It can be especially if you're afraid of heights. You know what scared me more was was the we had to go up
[01:20:47.120 --> 01:20:51.600]   Uh, we were in Hawaii and and it was the climb up to the top of this huge tree
[01:20:52.160 --> 01:20:58.320]   The zip line part was no sweat, but the climb up there on this little rope ladder to get up to this, you know, 50 feet in there
[01:20:58.320 --> 01:21:03.040]   That was a part. Yeah, we had a belay down. That was scary. Yeah, it was a little disconcerting, but once you're up there
[01:21:03.040 --> 01:21:06.800]   Jump off here's the thing you'll really like jeff when you're on top of these trees
[01:21:06.800 --> 01:21:11.920]   They're you're very high up your hundreds of feet up. They sway about five feet in each direction. Oh, yeah
[01:21:11.920 --> 01:21:16.560]   It's like being on the outside of a tall building. Yeah
[01:21:20.560 --> 01:21:25.200]   Not that you're gonna have nightmares. There you go. I will name it. I will. I'm sorry
[01:21:25.200 --> 01:21:29.840]   I literally might palms are sweaty. Yeah. Wow galvanic skin response. Yeah, I can't do it
[01:21:29.840 --> 01:21:35.600]   So a break good times Bradley Horowitz is back running google plus which is great news
[01:21:35.600 --> 01:21:37.920]   That is very good news
[01:21:37.920 --> 01:21:38.960]   Um
[01:21:38.960 --> 01:21:45.040]   But but notice the I can't figure out the criminology of the wording of it because he said photos and stream
[01:21:45.040 --> 01:21:47.360]   Isn't that weird he he posted this
[01:21:47.360 --> 01:21:50.000]   on as google plus
[01:21:50.160 --> 01:21:53.920]   He doesn't even use the word google plus by name or mention hangouts
[01:21:53.920 --> 01:21:58.640]   He calls it photos and streams remember that david best brits had taken over
[01:21:58.640 --> 01:22:01.360]   um
[01:22:01.360 --> 01:22:08.080]   But uh, but Bradley was originally a google plus guy, right? He was part of the original team. I think yeah, we're absolutely
[01:22:08.080 --> 01:22:09.680]   Undervic
[01:22:09.680 --> 01:22:14.000]   And so the biggest basic thing instead of giving it to Bradley they gave it to best brits
[01:22:14.000 --> 01:22:16.160]   And now I guess it's Bradley
[01:22:16.160 --> 01:22:22.400]   Brown and Bradley is so smart. It's such a good guy and great guy really a great product guy. Love him. Um, yeah
[01:22:22.400 --> 01:22:28.320]   But photos and streams that tells you almost a little bit about what they see google plus as being
[01:22:28.320 --> 01:22:30.080]   Yep, yep, absolutely
[01:22:30.080 --> 01:22:31.360]   And I think they're you know
[01:22:31.360 --> 01:22:38.480]   I think that the photos especially is the one service that everyone universally loves love it because they can just set it and forget it
[01:22:38.480 --> 01:22:45.840]   All their photos are backed up. Yeah, um, everybody I talked to that it has used the service tells me a story of when they drop their phone in the toilet
[01:22:46.080 --> 01:22:49.840]   Or something happened and they were able to get their photos back and how great it is
[01:22:49.840 --> 01:22:55.040]   So love it. I love the auto awesomes. Yep. I love the playfulness that they do stuff on
[01:22:55.040 --> 01:22:57.680]   You know special days like the uh
[01:22:57.680 --> 01:23:01.200]   Castle hossum or whatever was
[01:23:01.200 --> 01:23:06.560]   They need to do something like that again. That was fun. What was that?
[01:23:06.560 --> 01:23:10.880]   Is that April fools whether they did do that? That was a lot of fun. I've got a picture of myself
[01:23:10.880 --> 01:23:12.080]   Well, here we go on the couch
[01:23:12.080 --> 01:23:15.760]   Leon, he's laying on the couch with his phone and david hasselhoff is next to him
[01:23:15.760 --> 01:23:18.960]   What do you what okay Bradley?
[01:23:18.960 --> 01:23:24.640]   What are you doing in three weeks? April fools coming up? What you gonna do good something good? Okay?
[01:23:24.640 --> 01:23:30.720]   No more of this toilet internet stuff. That's a waste of your energy do something fun for the users. Okay
[01:23:30.720 --> 01:23:33.920]   um
[01:23:33.920 --> 01:23:38.560]   Bespers, I don't or is it bebry. I don't know how he pronounces name. I did he
[01:23:39.120 --> 01:23:42.480]   I don't know if he changed anything at all. I mean google plus it's just been kind of well
[01:23:42.480 --> 01:23:47.760]   He was already yeah, he was in charge of all kinds of engineering stuff, but I think it just was probably
[01:23:47.760 --> 01:23:52.880]   I don't know why they didn't I guess it was a whole rank thing. I mean as a friend of mine
[01:23:52.880 --> 01:23:55.680]   Cries to convince me that google's like the military
[01:23:55.680 --> 01:23:58.480]   And and then there's all these rights
[01:23:58.480 --> 01:24:04.800]   And so vick, you know was a brigadier a great left. Yeah, you needed a brig brigadier general to replace them
[01:24:04.800 --> 01:24:07.760]   but then the truth is that that um
[01:24:08.560 --> 01:24:13.200]   Google plus is actually like a you know a base in the philippines so
[01:24:13.200 --> 01:24:17.200]   Now what's the deal with hangouts? This is also hangouts
[01:24:17.200 --> 01:24:21.600]   That's what I can't tell that's what I can't understand and in the um
[01:24:21.600 --> 01:24:27.680]   Yeah, uh this article in cnet says it's not yet clear what will happen to hang out the communications feature of google plus
[01:24:27.680 --> 01:24:35.360]   And the december talk horror. What's said the new leader hangouts is designed as an all-purpose communication tool marrying video audio and text messaging
[01:24:35.680 --> 01:24:38.720]   I love hangouts. I live in hangouts. Yep. I do too
[01:24:38.720 --> 01:24:46.240]   But you know leo and you know i'm google van boy and all that but the fact that i'm now on a mac doing skype kind of hurts
[01:24:46.240 --> 01:24:52.080]   Because hanging outs, but that's a part of hangouts is the video conversations. I use it for my texting
[01:24:52.080 --> 01:24:55.520]   I do too. Yeah, I do that too. It's the default texting and all my android phones
[01:24:55.520 --> 01:25:00.320]   I and it because I get desktop texting. I make calls with it. It's my phone call
[01:25:00.960 --> 01:25:06.240]   Feature on the desktop. Mm-hmm. And I get google voice is integrated voice basically is
[01:25:06.240 --> 01:25:10.080]   I get all my voice mail right there. Yep, and I really love the ability to draw
[01:25:10.080 --> 01:25:12.560]   Did you I didn't even know this was possible?
[01:25:12.560 --> 01:25:16.880]   You can do drawings in google hangouts. Did you know that I did not know okay?
[01:25:16.880 --> 01:25:20.720]   This this is so weird if you hover show up you have phone downs we
[01:25:20.720 --> 01:25:23.440]   um
[01:25:23.440 --> 01:25:25.600]   Do you know the phone I can do it on my desktop the problem
[01:25:26.400 --> 01:25:33.200]   Phone numbers. Yeah, so maybe I shouldn't do it on the desktop. Maybe I'll make a new one. Let me let me text
[01:25:33.200 --> 01:25:40.000]   Uh you erin sure. I don't know if it's gonna show your phone or something. Let's find somebody whose phone
[01:25:40.000 --> 01:25:42.400]   Yeah, I think it just shows your email. You don't care about that. Do you?
[01:25:42.400 --> 01:25:46.640]   No, no, that's fine. Okay, so here I am. Let's make it a little bit bigger
[01:25:46.640 --> 01:25:51.520]   So I can now this is erin nukem. I could video call you
[01:25:52.080 --> 01:25:58.640]   I can text you and if I have a phone number for you, it will also allow me to choose sms or hangouts
[01:25:58.640 --> 01:26:03.760]   But watch as I hover my mouse over on the right. I didn't know this has been around for more than a year
[01:26:03.760 --> 01:26:08.000]   A little pen shows up. You don't see it and now I can draw it to you
[01:26:08.000 --> 01:26:16.960]   And that's gonna send that to you and if it's if we're sending text message, it'll send it as an mms
[01:26:17.760 --> 01:26:24.080]   Isn't that funny? Well, isn't that did you nobody knows that you know, but you do know if I type woot
[01:26:24.080 --> 01:26:28.640]   A little woot man comes out. Yeah. Yeah, so you got see got and now the little woot man pops up
[01:26:28.640 --> 01:26:32.640]   You know about that. Yeah, see let's see if I can get it on my thing. Good drawing
[01:26:32.640 --> 01:26:36.160]   Um, and there's some other ones. What are some of the other uh
[01:26:36.160 --> 01:26:42.000]   Other uh little things I can type is ha ha ha one
[01:26:42.000 --> 01:26:45.360]   Oh, I know happy birthday
[01:26:45.840 --> 01:26:47.840]   Oh
[01:26:47.840 --> 01:26:53.440]   There's a message for you the message for me. Isn't that a bring it up? You see that happy birthday
[01:26:53.440 --> 01:26:57.840]   If you just typed this in the text, okay, I'm sorry. I'm just easily amused
[01:26:57.840 --> 01:27:01.360]   That's cool. Did you know that?
[01:27:01.360 --> 01:27:03.360]   Nope. No, did you know ponies?
[01:27:03.360 --> 01:27:06.160]   When you did it, huh?
[01:27:06.160 --> 01:27:10.080]   I'm gonna send you ponies. Wait a minute. It'll show up on your phone and maybe it's not uh
[01:27:10.080 --> 01:27:12.800]   What was it? Is it uh
[01:27:12.800 --> 01:27:14.960]   Here we go
[01:27:15.920 --> 01:27:20.480]   Is it slash ponies? I thought that yeah, look little ponies are running across your screen
[01:27:20.480 --> 01:27:26.480]   Do the happy birthday one again? That's cool. It's fun. There's a bunch of these
[01:27:26.480 --> 01:27:30.240]   I'm sure David will add uh Bradley will add more
[01:27:30.240 --> 01:27:36.080]   That's cool
[01:27:36.080 --> 01:27:42.960]   Pitchforks. That's the other one p i t s h far k s then the peasants are very angry now. I guess you have to do slash
[01:27:43.760 --> 01:27:45.280]   I
[01:27:45.280 --> 01:27:48.240]   Guess that's for the big the pitchforks salesman. We're upset
[01:27:48.240 --> 01:27:55.920]   Here come here. Where a oh you forgot the p. Oh, I spelled it wrong itchforks is an entirely different graphic
[01:27:55.920 --> 01:27:59.120]   It's a different kind the title of the show it's works
[01:27:59.120 --> 01:28:05.360]   Here they go. Here come the natives. Oh, they're mad. Oh, they're mad the peasants are revolting
[01:28:05.360 --> 01:28:10.640]   So fun, that's awesome. These are easter eggs in hangouts
[01:28:11.600 --> 01:28:16.400]   Uh, somebody pointed out they've gotten nicks software and all they've done with it really is make snapstream
[01:28:16.400 --> 01:28:20.560]   And but they could incorporate that into photos when that'd be awesome
[01:28:20.560 --> 01:28:25.520]   Bradley we're expecting big things if you keep up the good work
[01:28:25.520 --> 01:28:30.640]   All right, uh anything else before we wrap it up john karmax
[01:28:30.640 --> 01:28:32.640]   I mentioned this says samsengal
[01:28:32.640 --> 01:28:35.840]   Really be throwing its weight behind your vr who cares
[01:28:35.840 --> 01:28:39.440]   Uh apple passes samseng and q4 smartphone sales
[01:28:39.600 --> 01:28:47.520]   But I think this number is interesting 1.9 billion mobile phones are sold last year of all kinds 1.9 billion
[01:28:47.520 --> 01:28:50.240]   in one year in one year
[01:28:50.240 --> 01:28:53.760]   What are there seven billion people in the earth? Yeah
[01:28:53.760 --> 01:28:56.720]   1.9 billion
[01:28:56.720 --> 01:29:00.960]   And uh apparently there's a big problem in canada letting emo arse passed away
[01:29:00.960 --> 01:29:05.760]   And uh turns out the five dollar bill in canada
[01:29:05.760 --> 01:29:08.800]   Whoever that guy is looks so much like spock
[01:29:09.360 --> 01:29:13.520]   That canadians have taken to drawing hair eyebrows and a little Vulcan
[01:29:13.520 --> 01:29:18.000]   a little star star fleet symbol on the collar
[01:29:18.000 --> 01:29:20.080]   and uh
[01:29:20.080 --> 01:29:25.120]   These spocked bills big problems according to the toronto son the bank of canada is urging
[01:29:25.120 --> 01:29:29.120]   urging star trek fans to stop defacing
[01:29:29.120 --> 01:29:32.560]   Currency that is uh canada's seventh prime minister, sir
[01:29:32.560 --> 01:29:36.640]   Wilfred laurier who happens to have the strong resemblance
[01:29:37.440 --> 01:29:39.440]   To letter knee boy there he is
[01:29:39.440 --> 01:29:42.080]   Ah, it's hilarious
[01:29:42.080 --> 01:29:48.880]   Really is god that takes an eye to see that I wouldn't have seen that right once you've seen it you can't see it. Oh you can't
[01:29:48.880 --> 01:29:52.720]   Uh apparently this there's all kinds there's quite a few of them
[01:29:52.720 --> 01:29:55.920]   Because everybody does their own take i love it
[01:29:55.920 --> 01:30:00.800]   He's doing their own thing. I thought the one we showed first was the best that way because he they did the star
