;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[01:32:59.440 --> 01:33:00.440]   You used to love that.
[01:33:00.440 --> 01:33:01.440]   Yeah.
[01:33:01.440 --> 01:33:02.440]   You used to love it.
[01:33:02.440 --> 01:33:03.440]   Well, I forward it.
[01:33:03.440 --> 01:33:05.000]   If you forward it to plans it, Tripit, it'll still do it.
[01:33:05.000 --> 01:33:06.840]   But I don't want Tripit going through.
[01:33:06.840 --> 01:33:07.840]   We've heard too many stories.
[01:33:07.840 --> 01:33:11.240]   I love that Google puts things automatically in my calendar, flights and stuff.
[01:33:11.240 --> 01:33:12.240]   I love--
[01:33:12.240 --> 01:33:13.240]   Yeah, me too, actually.
[01:33:13.240 --> 01:33:14.560]   I like that, too.
[01:33:14.560 --> 01:33:18.520]   I miss Google Inbox for many reasons, one of which is that it would put my travel stuff
[01:33:18.520 --> 01:33:19.520]   together in one--
[01:33:19.520 --> 01:33:20.520]   Mm-hmm.
[01:33:20.520 --> 01:33:21.360]   Yeah.
[01:33:21.360 --> 01:33:27.080]   I stopped using Gmail, mostly because I was getting a lot of French spam.
[01:33:27.080 --> 01:33:28.720]   What do you use now?
[01:33:28.720 --> 01:33:31.160]   Fast mail, which is a third page.
[01:33:31.160 --> 01:33:33.360]   Oh, a third-party paid service, a good IMAP service.
[01:33:33.360 --> 01:33:36.840]   But yeah, those Google services, those are nice, and I do miss those.
[01:33:36.840 --> 01:33:37.840]   They're not so.
[01:33:37.840 --> 01:33:42.160]   The other reason I used Gmail for years is because nobody did a better job at spam.
[01:33:42.160 --> 01:33:43.160]   Mm-hmm.
[01:33:43.160 --> 01:33:44.840]   What's your experience on this?
[01:33:44.840 --> 01:33:46.000]   Step John C. de Vorac.
[01:33:46.000 --> 01:33:47.720]   Yeah, right.
[01:33:47.720 --> 01:33:50.200]   I get tons of spam on my Google account now.
[01:33:50.200 --> 01:33:51.200]   Really?
[01:33:51.200 --> 01:33:52.200]   Does it not work?
[01:33:52.200 --> 01:33:53.200]   I don't get any.
[01:33:53.200 --> 01:33:55.440]   OK, so there's something going on.
[01:33:55.440 --> 01:33:56.600]   Yeah, it's an unbelievable.
[01:33:56.600 --> 01:33:58.280]   The filter is almost never wrong.
[01:33:58.280 --> 01:34:01.600]   Oh, man, I get almost nothing but spam.
[01:34:01.600 --> 01:34:03.000]   I don't know.
[01:34:03.000 --> 01:34:05.720]   Yeah, that's why I stopped using it.
[01:34:05.720 --> 01:34:06.720]   Oh.
[01:34:06.720 --> 01:34:07.720]   Er, er.
[01:34:07.720 --> 01:34:11.800]   Maybe you're doing it wrong.
[01:34:11.800 --> 01:34:14.000]   I'm sure I am.
[01:34:14.000 --> 01:34:16.080]   I'm notorious for that.
[01:34:16.080 --> 01:34:17.240]   Why the other day?
[01:34:17.240 --> 01:34:20.160]   Just the other day I stuck a USB drive into a--
[01:34:20.160 --> 01:34:22.240]   That I found on the street.
[01:34:22.240 --> 01:34:25.680]   I found on the street.
[01:34:25.680 --> 01:34:29.680]   I didn't understand this story, but I'm going to have repeated.
[01:34:29.680 --> 01:34:37.320]   The Google Play Store is testing simultaneous downloads, internal app sharing, and more.
[01:34:37.320 --> 01:34:39.960]   I thought it always did simultaneous downloads.
[01:34:39.960 --> 01:34:40.960]   Yeah.
[01:34:40.960 --> 01:34:41.960]   Is that new?
[01:34:41.960 --> 01:34:42.960]   Well, no, it was serial.
[01:34:42.960 --> 01:34:43.960]   It was always--
[01:34:43.960 --> 01:34:45.760]   We don't want to last one after this time.
[01:34:45.760 --> 01:34:46.760]   OK, all right.
[01:34:46.760 --> 01:34:47.760]   Well, now we'll do--
[01:34:47.760 --> 01:34:48.760]   I had another one.
[01:34:48.760 --> 01:34:49.760]   Oh.
[01:34:49.760 --> 01:34:50.760]   That's nice.
[01:34:50.760 --> 01:34:53.800]   Wouldn't it logically take the same amount of time anyway?
[01:34:53.800 --> 01:34:54.800]   Yes.
[01:34:54.800 --> 01:34:55.800]   Theoretically.
[01:34:55.800 --> 01:34:57.440]   If it uses all your bandwidth, yes.
[01:34:57.440 --> 01:34:58.440]   Yeah.
[01:34:58.440 --> 01:34:59.440]   OK.
[01:34:59.440 --> 01:35:00.440]   But it looks better.
[01:35:00.440 --> 01:35:01.440]   It looks like it's doing more.
[01:35:01.440 --> 01:35:02.440]   Yeah.
[01:35:02.440 --> 01:35:03.440]   Yeah.
[01:35:03.440 --> 01:35:04.920]   Apple is serial.
[01:35:04.920 --> 01:35:08.720]   Maybe that's why, because they want to be better than Apple.
[01:35:08.720 --> 01:35:16.920]   Internal app sharing, which is good for businesses, it means that if you're a developer
[01:35:16.920 --> 01:35:21.600]   in a large company, you can share your app internally without having to go through
[01:35:21.600 --> 01:35:22.600]   the Play Store.
[01:35:22.600 --> 01:35:23.600]   Oh.
[01:35:23.600 --> 01:35:24.600]   This is a switch.
[01:35:24.600 --> 01:35:29.800]   It can turn on internal app sharing, so you can download and install test versions
[01:35:29.800 --> 01:35:31.160]   of apps that are shared with you.
[01:35:31.160 --> 01:35:35.840]   I guess anybody could use this, not just internally at a company.
[01:35:35.840 --> 01:35:42.000]   And there is a new interface on Google Play Protect.
[01:35:42.000 --> 01:35:46.120]   The main Protect UI still has the recently scanned apps with the settings to scan the
[01:35:46.120 --> 01:35:51.920]   device and improve harmful app detection if it moved to another screen.
[01:35:51.920 --> 01:35:54.120]   Maybe it confused people.
[01:35:54.120 --> 01:35:58.120]   So settings are now after the gear instead of all on one page.
[01:35:58.120 --> 01:36:04.400]   Maybe they're going to add more settings, so they needed to make some room for it.
[01:36:04.400 --> 01:36:06.240]   The Google Home Hub.
[01:36:06.240 --> 01:36:09.960]   We thought there was going to be a new one, but I guess they're just rebranding it to
[01:36:09.960 --> 01:36:19.720]   the Nest Hub.
[01:36:19.720 --> 01:36:21.520]   It's not really a feature.
[01:36:21.520 --> 01:36:24.520]   I probably didn't have to put that in shape.
[01:36:24.520 --> 01:36:25.520]   I'm not excited.
[01:36:25.520 --> 01:36:26.520]   Yeah, I know.
[01:36:26.520 --> 01:36:27.520]   It goes.
[01:36:27.520 --> 01:36:29.920]   Waymo launches a robo-taxi app on Google Pay.
[01:36:29.920 --> 01:36:32.160]   I'm excited about this.
[01:36:32.160 --> 01:36:34.360]   You could call it Waymo and come up here, Jeff.
[01:36:34.360 --> 01:36:35.360]   Yeah.
[01:36:35.360 --> 01:36:36.360]   That'd be fun.
[01:36:36.360 --> 01:36:37.360]   Yeah.
[01:36:37.360 --> 01:36:38.760]   It would freak on the bridge.
[01:36:38.760 --> 01:36:39.760]   This is a...
[01:36:39.760 --> 01:36:42.960]   It's like every human should.
[01:36:42.960 --> 01:36:45.960]   The commercial robo-taxi service is called Waymo One.
[01:36:45.960 --> 01:36:48.960]   Right now it's in Phoenix.
[01:36:48.960 --> 01:36:53.880]   I imagine it will roll out to a larger area at some point.
[01:36:53.880 --> 01:36:58.240]   Like someone in Phoenix will try it.
[01:36:58.240 --> 01:36:59.640]   Yeah.
[01:36:59.640 --> 01:37:03.400]   You'll be added to a wait list to get the app.
[01:37:03.400 --> 01:37:04.880]   No, no, no, not for the ride.
[01:37:04.880 --> 01:37:05.880]   To get the app.
[01:37:05.880 --> 01:37:09.960]   You'll be able to request rides in the app.
[01:37:09.960 --> 01:37:13.080]   There's an early rider program.
[01:37:13.080 --> 01:37:14.400]   This is coming.
[01:37:14.400 --> 01:37:16.240]   I wonder when we're going to get this in...
[01:37:16.240 --> 01:37:18.240]   I would have tried that if I went in Phoenix.
[01:37:18.240 --> 01:37:19.240]   Yeah.
[01:37:19.240 --> 01:37:22.800]   Next time you're in Phoenix, give it a shot.
[01:37:22.800 --> 01:37:23.800]   I think that's enough.
[01:37:23.800 --> 01:37:25.440]   I think that's quite enough.
[01:37:25.440 --> 01:37:26.440]   That's enough.
[01:37:26.440 --> 01:37:28.680]   Of the Google change log.
[01:37:28.680 --> 01:37:29.680]   That's quite enough.
[01:37:29.680 --> 01:37:33.600]   I was all excited about the Galaxy Fold from Samsung.
[01:37:33.600 --> 01:37:34.600]   Yeah.
[01:37:34.600 --> 01:37:35.600]   They're falling apart.
[01:37:35.600 --> 01:37:36.600]   They're falling apart.
[01:37:36.600 --> 01:37:38.600]   Yes, initial reviews were quite positive.
[01:37:38.600 --> 01:37:40.120]   Exactly what I thought was going to happen.
[01:37:40.120 --> 01:37:41.400]   They were quite positive.
[01:37:41.400 --> 01:37:44.280]   And then it started breaking.
[01:37:44.280 --> 01:37:51.480]   Steve Kovac at CNBC, Mark Gurman at Bloomberg, Dieter Bono the Verge, all reported major
[01:37:51.480 --> 01:37:53.200]   failures of their fold display.
[01:37:53.200 --> 01:37:58.240]   Now these are review units provided to these reporters.
[01:37:58.240 --> 01:38:03.120]   In all three cases, just a couple of days after getting them, Mark is Brownlee having
[01:38:03.120 --> 01:38:06.080]   similar problems.
[01:38:06.080 --> 01:38:11.200]   Bono and Kovac claimed their displays failed without removing the panel's protective film.
[01:38:11.200 --> 01:38:13.280]   Samsung says, "Don't take it off."
[01:38:13.280 --> 01:38:16.960]   Both Gurman and Marcus did remove it.
[01:38:16.960 --> 01:38:18.800]   As you can see, it doesn't look good.
[01:38:18.800 --> 01:38:22.520]   Bono's phone got crimped.
[01:38:22.520 --> 01:38:26.000]   They're not sure how.
[01:38:26.000 --> 01:38:31.440]   Maybe some Zabri got in the hinge.
[01:38:31.440 --> 01:38:39.480]   They just saved me $1,980 because the phone is available at T-Mobile on the 25th and I
[01:38:39.480 --> 01:38:45.960]   was going to run over Get One to review and show because I don't get review units.
[01:38:45.960 --> 01:38:49.880]   By the way, one of the reasons I don't like to get review units is because who knows?
[01:38:49.880 --> 01:38:54.640]   This might be a pre-production issue that isn't going to show up in the retail version.
[01:38:54.640 --> 01:38:59.520]   It's very hard when you're reviewing something that isn't a production version to say anything
[01:38:59.520 --> 01:39:04.280]   because you don't know if the problem you're facing is because it's pre-production or because
[01:39:04.280 --> 01:39:06.640]   it's a real problem.
[01:39:06.640 --> 01:39:10.520]   Nevertheless, I think I'm going to take it seriously enough.
[01:39:10.520 --> 01:39:11.520]   Wait a minute.
[01:39:11.520 --> 01:39:15.440]   Not to spend $2,000 this coming Friday, but to wait a little bit.
[01:39:15.440 --> 01:39:18.920]   Just to see everybody version 1.0 of anything.
[01:39:18.920 --> 01:39:22.280]   Well, I kind of have to and I'm very glad for a second at the S10.
[01:39:22.280 --> 01:39:24.200]   Plus, I love this phone.
[01:39:24.200 --> 01:39:26.800]   I love this phone more than I've loved any phone in years.
[01:39:26.800 --> 01:39:29.480]   It's really, really good.
[01:39:29.480 --> 01:39:33.920]   The funny thing is, all of these guys initially said, "Oh, I get it.
[01:39:33.920 --> 01:39:35.800]   I see now why you want a folding phone."
[01:39:35.800 --> 01:39:39.880]   This thing is incredible until a day later broke.
[01:39:39.880 --> 01:39:41.680]   Yikes.
[01:39:41.680 --> 01:39:46.720]   Incidentally, I think a lot of people bought it because I wasn't able to.
[01:39:46.720 --> 01:39:52.480]   They had it for pre-order on the Samsung page very quickly after the pre-orders opened.
[01:39:52.480 --> 01:39:55.000]   They put up a thing saying, "We've got too many orders.
[01:39:55.000 --> 01:39:58.560]   Can't pre-order it anymore."
[01:39:58.560 --> 01:40:02.040]   Let's talk about the takedown of the takedown.
[01:40:02.040 --> 01:40:05.920]   My favorite part of the takedown is the explanation.
[01:40:05.920 --> 01:40:13.320]   Stars issued a takedown on Twitter of Torrent Freak, which is a really good site that publishes
[01:40:13.320 --> 01:40:18.680]   lots of information about sharing, bit torrents and so forth.
[01:40:18.680 --> 01:40:25.080]   They published an article about how a number of Stars TV episodes had been leaked.
[01:40:25.080 --> 01:40:29.920]   In the article, they had a thumbnail of one of the episodes, not one of the leaked episodes,
[01:40:29.920 --> 01:40:31.960]   but a thumbnail from one of the shows.
[01:40:31.960 --> 01:40:35.000]   No, that is one of the leaked ones.
[01:40:35.000 --> 01:40:38.760]   Oh, it is because it says four screeners only, and that's why they put the...
[01:40:38.760 --> 01:40:39.760]   Well, that's in the article.
[01:40:39.760 --> 01:40:43.400]   I don't know what the thumbnail on Twitter looked like, but that's in the article.
[01:40:43.400 --> 01:40:48.640]   That was for purposes of showing that these leaks probably came from screeners, right?
[01:40:48.640 --> 01:40:49.640]   Yeah.
[01:40:49.640 --> 01:40:56.920]   It was worthy.
[01:40:56.920 --> 01:41:02.480]   Stars yanked it off Twitter, claiming DMCA violation.
[01:41:02.480 --> 01:41:08.000]   Then the EFF wrote about it, and Stars pulled the EFFs.
[01:41:08.000 --> 01:41:09.300]   I think I actually tweeted about it before the EFF, not to brag, but I saw this tweet from
[01:41:09.300 --> 01:41:14.920]   Torrent Freak that said a link to their story had disappeared, that this tweet had disappeared.
[01:41:14.920 --> 01:41:21.080]   I posted something saying this is disturbing, that a link to a news story gets taken down
[01:41:21.080 --> 01:41:22.080]   because of the DMCA.
[01:41:22.080 --> 01:41:24.280]   There's no links to any of the torrents.
[01:41:24.280 --> 01:41:26.360]   There's no links to how to get them.
[01:41:26.360 --> 01:41:28.680]   It's literally just a news story.
[01:41:28.680 --> 01:41:30.600]   Then I got a notification from Twitter.
[01:41:30.600 --> 01:41:32.640]   This is Sunday afternoon.
[01:41:32.640 --> 01:41:33.640]   Your tweet's been removed.
[01:41:33.640 --> 01:41:35.720]   Oh my god, you got removed too.
[01:41:35.720 --> 01:41:36.720]   Yeah.
[01:41:36.720 --> 01:41:44.360]   Then, just because I'm that type of person, I posted a screenshot of that, of the removed
[01:41:44.360 --> 01:41:46.040]   or withheld tweet.
[01:41:46.040 --> 01:41:52.040]   I said, "Gee, it'd be too bad if a bunch of people also shared the link to this news story."
[01:41:52.040 --> 01:41:56.520]   Then that tweet was taken down.
[01:41:56.520 --> 01:42:01.680]   Matthew Ingram of the Columbia Journalism Review and the Electronic Frontier Foundation
[01:42:01.680 --> 01:42:07.960]   tweets also taken down tweets about the tweet, which in itself wasn't really a copyright
[01:42:07.960 --> 01:42:08.960]   violation.
[01:42:08.960 --> 01:42:09.960]   Unbelievable.
[01:42:09.960 --> 01:42:13.360]   I'm just told YouTube was going to take down this episode because you're talking about
[01:42:13.360 --> 01:42:14.360]   YouTube.
[01:42:14.360 --> 01:42:19.080]   YouTube's been really on a rampage taking stuff down of ours.
[01:42:19.080 --> 01:42:21.280]   But I think they have a new content ID stuff.
[01:42:21.280 --> 01:42:23.520]   It's just a little aggressive or whatever.
[01:42:23.520 --> 01:42:34.320]   So the stars explanation was that they had to source this to a third party who went overboard.
[01:42:34.320 --> 01:42:35.320]   We were hacked.
[01:42:35.320 --> 01:42:36.320]   Yeah, right.
[01:42:36.320 --> 01:42:39.520]   That's the old we were hacked.
[01:42:39.520 --> 01:42:41.920]   We were hacked.
[01:42:41.920 --> 01:42:44.200]   So they said, "Because we were hacked, we hired…"
[01:42:44.200 --> 01:42:47.760]   This makes no sense, by the way.
[01:42:47.760 --> 01:42:51.480]   It recently incurred a security breach, which prompted the company to hire a third party
[01:42:51.480 --> 01:42:55.680]   for copyright enforcement.
[01:42:55.680 --> 01:42:57.480]   Okay.
[01:42:57.480 --> 01:43:04.200]   And the third party apparently felt like the DMCA takedowns were within its scope.
[01:43:04.200 --> 01:43:05.200]   Are there…
[01:43:05.200 --> 01:43:06.200]   Is your tweet back up?
[01:43:06.200 --> 01:43:07.200]   Yeah.
[01:43:07.200 --> 01:43:12.880]   You notified me, I think, this morning maybe, or that the tweets have been restored.
[01:43:12.880 --> 01:43:15.680]   And it also said that my account would not be penalized.
[01:43:15.680 --> 01:43:17.920]   Oh, congratulations.
[01:43:17.920 --> 01:43:23.240]   So it wasn't a strike in terms of the three or four strikes or whatever you do.
[01:43:23.240 --> 01:43:24.240]   Shoo!
[01:43:24.240 --> 01:43:25.240]   Says Matthew.
[01:43:25.240 --> 01:43:26.240]   Yeah.
[01:43:26.240 --> 01:43:31.240]   I just thought it was outrageous, not just the link, the torrent free link to their story,
[01:43:31.240 --> 01:43:35.080]   but anyone who mentioned that link, other people had their Anne-Marie Brydie, who's
[01:43:35.080 --> 01:43:39.360]   an IP expert and law professor had a tweet of hers taken down.
[01:43:39.360 --> 01:43:40.360]   Jeez.
[01:43:40.360 --> 01:43:42.320]   It was just like they were going bananas.
[01:43:42.320 --> 01:43:43.320]   Yeah.
[01:43:43.320 --> 01:43:44.840]   And of course, Twitter's…
[01:43:44.840 --> 01:43:48.360]   I wrote this in the thing that I wrote for CGR about it.
[01:43:48.360 --> 01:43:55.960]   The problem is, as Anne-Marie pointed out, there is all kinds of penalties if you don't
[01:43:55.960 --> 01:43:57.160]   take stuff down.
[01:43:57.160 --> 01:44:01.480]   There is zero penalty if you do take stuff down incorrectly.
[01:44:01.480 --> 01:44:02.480]   Right.
[01:44:02.480 --> 01:44:04.920]   With this prior discussion about regulation in Europe, yes.
[01:44:04.920 --> 01:44:05.920]   Exactly.
[01:44:05.920 --> 01:44:10.240]   And so that's why the incentive is to take everything down, just in case.
[01:44:10.240 --> 01:44:13.160]   Well, clearly that's what's going on on YouTube.
[01:44:13.160 --> 01:44:14.520]   It's all going on on Twitter.
[01:44:14.520 --> 01:44:15.960]   It's going on everywhere.
[01:44:15.960 --> 01:44:19.320]   And welcome to the new world of takedowns.
[01:44:19.320 --> 01:44:21.120]   And everybody's going to see this all the time.
[01:44:21.120 --> 01:44:26.440]   And unfortunately, it's going to hit people like us hard.
[01:44:26.440 --> 01:44:28.040]   You know.
[01:44:28.040 --> 01:44:29.760]   But it was worse because it was a news story.
[01:44:29.760 --> 01:44:34.280]   I mean, this reminded me of what they call super injunctions in the UK, where if there
[01:44:34.280 --> 01:44:39.920]   is a case, a super injunction means not only can you not mention the case, you can't even
[01:44:39.920 --> 01:44:42.080]   mention that there's an injunction.
[01:44:42.080 --> 01:44:43.080]   Yeah.
[01:44:43.080 --> 01:44:45.320]   And it's a chilling effect.
[01:44:45.320 --> 01:44:46.320]   Yeah.
[01:44:46.320 --> 01:44:51.160]   It discourages people from doing what they're legally allowed to do.
[01:44:51.160 --> 01:44:54.840]   And this is just a little behind the scenes.
[01:44:54.840 --> 01:44:55.840]   This is the…
[01:44:55.840 --> 01:45:01.960]   When I was playing that songify this, somebody came running in saying, "Don't play that.
[01:45:01.960 --> 01:45:03.760]   We don't want to be taken down."
[01:45:03.760 --> 01:45:04.760]   Right.
[01:45:04.760 --> 01:45:06.360]   And that's the chilling effect.
[01:45:06.360 --> 01:45:09.800]   But that's clear, fair use.
[01:45:09.800 --> 01:45:10.800]   You know that?
[01:45:10.800 --> 01:45:12.240]   I know that.
[01:45:12.240 --> 01:45:13.240]   And they know that.
[01:45:13.240 --> 01:45:14.240]   It's not a question of whether…
[01:45:14.240 --> 01:45:17.120]   And that bothers me about a lot of these.
[01:45:17.120 --> 01:45:18.120]   It's a chilling effect.
[01:45:18.120 --> 01:45:19.120]   We don't want to be taken down.
[01:45:19.120 --> 01:45:20.120]   Cost is money.
[01:45:20.120 --> 01:45:22.840]   Fair use is complicated.
[01:45:22.840 --> 01:45:24.400]   And it requires a court decision.
[01:45:24.400 --> 01:45:26.960]   And so everybody just pretends that it doesn't exist.
[01:45:26.960 --> 01:45:27.960]   Right.
[01:45:27.960 --> 01:45:31.180]   This is why we need internet courts so that these things are decided where they should
[01:45:31.180 --> 01:45:34.420]   be decided in courts.
[01:45:34.420 --> 01:45:35.580]   Well.
[01:45:35.580 --> 01:45:39.380]   Because right now they're being decided without due to justice.
[01:45:39.380 --> 01:45:40.380]   We go wrong.
[01:45:40.380 --> 01:45:41.380]   I don't know.
[01:45:41.380 --> 01:45:42.380]   Do we?
[01:45:42.380 --> 01:45:47.980]   In a way, I mean, honestly, that would be superior to what is happening, which is…
[01:45:47.980 --> 01:45:48.980]   That's what this guy would say.
[01:45:48.980 --> 01:45:50.980]   I mean, the right to be forgotten.
[01:45:50.980 --> 01:45:53.620]   Who is the judge and the right to be forgotten?
[01:45:53.620 --> 01:45:54.620]   Right.
[01:45:54.620 --> 01:45:55.620]   Google.
[01:45:55.620 --> 01:45:56.620]   Yeah.
[01:45:56.620 --> 01:45:57.620]   Right.
[01:45:57.620 --> 01:45:58.620]   That's a big case.
[01:45:58.620 --> 01:45:59.620]   And there's no transparency.
[01:45:59.620 --> 01:46:00.620]   Yeah.
[01:46:00.620 --> 01:46:01.620]   There's no transparency.
[01:46:01.620 --> 01:46:02.620]   There's no due process.
[01:46:02.620 --> 01:46:09.300]   The person who proposed this from a legal world said that in society we negotiate our
[01:46:09.300 --> 01:46:11.620]   legal norms in public.
[01:46:11.620 --> 01:46:12.620]   Yeah.
[01:46:12.620 --> 01:46:14.620]   And this is happening in private companies where you have no basis.
[01:46:14.620 --> 01:46:15.620]   And it's not the company's fault.
[01:46:15.620 --> 01:46:17.620]   The companies are reinforced to this by government.
[01:46:17.620 --> 01:46:20.860]   But I couldn't believe that I was going to like this proposal.
[01:46:20.860 --> 01:46:21.860]   I like it.
[01:46:21.860 --> 01:46:22.860]   Yeah.
[01:46:22.860 --> 01:46:28.340]   The real issue is that the Constitution was written in so long ago in such a different
[01:46:28.340 --> 01:46:32.020]   era that it is increasingly becoming less.
[01:46:32.020 --> 01:46:35.860]   Be careful, my friend, because that's what people are starting to say is saying, maybe
[01:46:35.860 --> 01:46:37.700]   the First Amendment is not so great.
[01:46:37.700 --> 01:46:38.860]   And we should have less speech.
[01:46:38.860 --> 01:46:40.500]   I hate that talk.
[01:46:40.500 --> 01:46:41.500]   I hate that.
[01:46:41.500 --> 01:46:42.500]   I mean, wouldn't Internet courts…
[01:46:42.500 --> 01:46:43.500]   I mean, that's…
[01:46:43.500 --> 01:46:47.060]   Well, the Internet court would enforce the law as it exists.
[01:46:47.060 --> 01:46:48.060]   I guess it could be constitutional.
[01:46:48.060 --> 01:46:49.060]   It's just a vague crap.
[01:46:49.060 --> 01:46:50.060]   It's just a law.
[01:46:50.060 --> 01:46:51.060]   Yeah.
[01:46:51.060 --> 01:46:58.300]   Like the Brits take down in the blue-weight paper they did, take down, as you said earlier,
[01:46:58.300 --> 01:47:03.300]   trolling insult, disinformation.
[01:47:03.300 --> 01:47:05.820]   I mean, there's no question.
[01:47:05.820 --> 01:47:11.420]   There's no question that outsourcing the regulation of speech to massive platforms is
[01:47:11.420 --> 01:47:12.420]   not a great strategy.
[01:47:12.420 --> 01:47:14.420]   No, that's a bad idea.
[01:47:14.420 --> 01:47:16.060]   I'm regulating speech of any sort.
[01:47:16.060 --> 01:47:17.060]   You know, take a break.
[01:47:17.060 --> 01:47:18.060]   Let's take a break.
[01:47:18.060 --> 01:47:19.060]   And it's our last break.
[01:47:19.060 --> 01:47:21.860]   So you guys get your bits and pieces, your toys.
[01:47:21.860 --> 01:47:22.860]   Already for you.
[01:47:22.860 --> 01:47:23.860]   Trigs and berries.
[01:47:23.860 --> 01:47:24.860]   Okay, my bits together.
[01:47:24.860 --> 01:47:26.380]   And catch your bits together.
[01:47:26.380 --> 01:47:35.580]   And I will talk about the best place to exercise your right to free speech, your personal website.
[01:47:35.580 --> 01:47:40.940]   Everybody, every company ought to have a website, a place they can call their own, a place where
[01:47:40.940 --> 01:47:46.620]   your best stuff lives, a place where when people Google you, they find your site.
[01:47:46.620 --> 01:47:51.140]   I tell every teenager, "Get you to WordPress.com.
[01:47:51.140 --> 01:47:52.140]   Create a website.
[01:47:52.140 --> 01:47:53.940]   Get your domain name."
[01:47:53.940 --> 01:47:58.620]   Preferably your own name, put stuff up there so that when people search for you, they find
[01:47:58.620 --> 01:48:00.740]   your best stuff.
[01:48:00.740 --> 01:48:02.260]   It's so important.
[01:48:02.260 --> 01:48:03.700]   And if you're a business, it goes double.
[01:48:03.700 --> 01:48:09.740]   A business that's not online, practically doesn't exist.
[01:48:09.740 --> 01:48:11.380]   Now you may say, "Well, I have a Facebook page.
[01:48:11.380 --> 01:48:12.300]   I have a Twitter account.
[01:48:12.300 --> 01:48:13.500]   You need your own spot.
[01:48:13.500 --> 01:48:16.500]   Sure, you can have your Facebook page and your Twitter feed and all that stuff."
[01:48:16.500 --> 01:48:20.260]   And it should link to your website, but you got to have the website.
[01:48:20.260 --> 01:48:23.540]   And the best place to do it, the easiest place to do it, WordPress.com.
[01:48:23.540 --> 01:48:26.580]   And I know what I aware of, I speak.
[01:48:26.580 --> 01:48:29.100]   Started blogging almost 20 years ago.
[01:48:29.100 --> 01:48:31.340]   And in those days, there weren't a lot of choices.
[01:48:31.340 --> 01:48:38.140]   I used blogger and some weird programs like Gray Matter, moveable type.
[01:48:38.140 --> 01:48:42.020]   But then Matt Monlinweg came along and with WordPress and man, I fell in love.
[01:48:42.020 --> 01:48:43.980]   WordPress was amazing.
[01:48:43.980 --> 01:48:48.820]   LeoLoport.com lives on WordPress.com because they do all the heavy lifting.
[01:48:48.820 --> 01:48:49.820]   They are hosting it.
[01:48:49.820 --> 01:48:50.820]   They keep it secure.
[01:48:50.820 --> 01:48:53.940]   They even get a domain name for you.
[01:48:53.940 --> 01:48:58.380]   So you could focus on the reason you're on the web to show your best site, to build
[01:48:58.380 --> 01:49:02.380]   a fan base, start a blog, open a store, design a portfolio.
[01:49:02.380 --> 01:49:04.860]   They've got powerful site building tools that are easy to use.
[01:49:04.860 --> 01:49:06.340]   You don't have to be a geek.
[01:49:06.340 --> 01:49:07.740]   Thousands of themes.
[01:49:07.740 --> 01:49:15.820]   And the best support, 24 hours a day, even on weekends, from not page turning notebook
[01:49:15.820 --> 01:49:20.900]   jockeys, but real WordPress experts, people who use it and love it themselves.
[01:49:20.900 --> 01:49:22.860]   So they're going to have answers for you.
[01:49:22.860 --> 01:49:23.860]   They're going to have suggestions.
[01:49:23.860 --> 01:49:24.860]   They're going to have ideas.
[01:49:24.860 --> 01:49:26.980]   I even asked them what template should I use?
[01:49:26.980 --> 01:49:31.900]   And they had some great suggestions, WordPress.com.
[01:49:31.900 --> 01:49:36.500]   It lets anyone pursue whatever it is they love by launching a site that's free to start
[01:49:36.500 --> 01:49:40.420]   but can grow with you as you grow all the way up to an online store.
[01:49:40.420 --> 01:49:43.100]   No two week trials, no hidden fees.
[01:49:43.100 --> 01:49:49.540]   And WordPress users own their own content forever, upload anything, text, pictures, video, music,
[01:49:49.540 --> 01:49:51.780]   whatever you want, download it again too.
[01:49:51.780 --> 01:49:53.300]   It's never stuck.
[01:49:53.300 --> 01:49:54.780]   It's not a silo.
[01:49:54.780 --> 01:49:56.580]   It's the worldwide web baby.
[01:49:56.580 --> 01:49:58.300]   And you know what?
[01:49:58.300 --> 01:50:02.380]   It's so good that WordPress now powers 33% of the internet.
[01:50:02.380 --> 01:50:05.500]   One third of all the internet is on WordPress.
[01:50:05.500 --> 01:50:11.660]   And some of the best websites, some of the biggest publications are on WordPress.com.
[01:50:11.660 --> 01:50:15.580]   Most of people use WordPress.com every day to turn their dreams into reality.
[01:50:15.580 --> 01:50:18.020]   Why don't you go to WordPress.com/twig.
[01:50:18.020 --> 01:50:19.220]   Check it out.
[01:50:19.220 --> 01:50:23.500]   If you decide to buy a new plan, you'll get 15% off any new plan purchase with the code
[01:50:23.500 --> 01:50:24.500]   you'll find there.
[01:50:24.500 --> 01:50:27.020]   That's WordPress.com/twig.
[01:50:27.020 --> 01:50:30.900]   15% off your new website at WordPress.com/twig.
[01:50:30.900 --> 01:50:33.380]   Do use that URL so they know you heard it here.
[01:50:33.380 --> 01:50:34.500]   We thank you for your support.
