;FFMETADATA1
title=Google Forked Itself
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=285
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Twig this week in Google Danny Sullivan and Jeff Jarvis are here
[01:12:23.960 --> 01:12:28.280]   And I think that's also a lesson you're finding a lot of people start to realize where they thought
[01:12:28.920 --> 01:12:31.800]   As facebook picked up they're like I just have facebook page now
[01:12:31.800 --> 01:12:36.600]   And i'm just putting everything to facebook and then like suddenly they're like where's all my traffic from facebook gone and
[01:12:36.600 --> 01:12:40.840]   It's like well, you know, you built your house. You didn't build your own house
[01:12:40.840 --> 01:12:45.560]   You you rented or leased somebody else's house. Right so I think it took it away
[01:12:45.560 --> 01:12:48.600]   and set up your friend
[01:12:48.600 --> 01:12:56.440]   I agree with you danny, but there's another argument if you look at what Andy carving has done under the omidy are some impressive
[01:12:58.120 --> 01:13:03.080]   Reportedly he doesn't really he's he's on twitter. He's on facebook. They're on twitter. They're on facebook
[01:13:03.080 --> 01:13:07.320]   They're on medium and the closest thing they have I think to a home page is on medium
[01:13:07.320 --> 01:13:11.720]   And you know what people on medium are going to discover the same damn thing
[01:13:11.720 --> 01:13:15.720]   They're going to go off on medium because it's all hot is all the new tumblr or whatever
[01:13:15.720 --> 01:13:20.600]   And down the line they may be like, oh, I actually want to move to the next hot thing
[01:13:20.600 --> 01:13:22.680]   Let me ask this if you have a zoeyke
[01:13:22.680 --> 01:13:24.280]   You kids what happened to us?
[01:13:24.280 --> 01:13:28.280]   But let me ask this if you have as zoey has zoey cello at zoey cello
[01:13:28.280 --> 01:13:34.200]   1 million followers are on twitter. Don't you always have a channel for saying? Oh, I'm no longer on tumblr come to this site
[01:13:34.200 --> 01:13:39.160]   I mean you you do but you've got people out on tumblr who then have to find you and by the way
[01:13:39.160 --> 01:13:44.040]   All those links that people started pointing to your thing go away, you know google kind of cares about the well
[01:13:44.040 --> 01:13:45.480]   Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
[01:13:45.480 --> 01:13:50.200]   It's it's not hard to have your own home in most places and it can live on tumblr
[01:13:50.200 --> 01:13:53.880]   And you can you could still be on tumblr you can still say I want to have my tumblr
[01:13:53.880 --> 01:13:58.680]   And I'm going to post over there and point you to my main thing or or however you want to do it
[01:13:58.680 --> 01:14:03.000]   Although, you know, I get that it can be a headache for some people at first
[01:14:03.000 --> 01:14:09.160]   But I think it is a short-term headache that saves you from a long-term one apparently she does have zoeykeating.com
[01:14:09.160 --> 01:14:14.440]   So we're not we're not singling you out zoey, but you know, and you know, that's that's the other thing too
[01:14:14.440 --> 01:14:18.280]   It's like it's really easy to sit back and like say someone should do this someone do that
[01:14:18.600 --> 01:14:21.000]   I am really a big believer in that you actually
[01:14:21.000 --> 01:14:25.480]   Want to know why people are doing certain things some people want to be
[01:14:25.480 --> 01:14:28.920]   Out on like I think you know search and shine we have a tumblr
[01:14:28.920 --> 01:14:33.080]   Because there's people out there and we're not worried that if that tumblr goes away
[01:14:33.080 --> 01:14:39.880]   You know what will we do but it's not our main house, right? It's like hey, there's a tumblr neighborhood going up
[01:14:39.880 --> 01:14:41.880]   Well, we're moving in as well
[01:14:41.880 --> 01:14:46.120]   And by the way, if the party gets big come on over to our house. We've got more room. So
[01:14:47.720 --> 01:14:51.960]   uh, here's one uh, the cops don't like ways they say
[01:14:51.960 --> 01:14:57.000]   This could be dangerous that ways tells you there's a police officer on the road
[01:14:57.000 --> 01:15:02.680]   Big bad google again. They call it a stalking feature and
[01:15:02.680 --> 01:15:05.720]   Uh, which is ridiculous
[01:15:05.720 --> 01:15:08.840]   I doubt cop killers use ways, but
[01:15:08.840 --> 01:15:12.280]   Uh, maybe anyway, they're campaigning
[01:15:12.280 --> 01:15:15.160]   To pressure google to turn off
[01:15:15.720 --> 01:15:20.360]   Because google owns ways now the feature that warns drivers and police are nearby
[01:15:20.360 --> 01:15:23.400]   It could put lives in danger
[01:15:23.400 --> 01:15:31.720]   Basic lesson is you can't control information anymore guys. We'll find some way to know where you are that information gets there because other ways users
[01:15:31.720 --> 01:15:34.920]   Spotted a police officer. Usually the reason for it is
[01:15:34.920 --> 01:15:40.840]   Uh, because it's a speed trap or you know, they they just want to let you know you should drive more carefully because there
[01:15:40.840 --> 01:15:43.320]   Or it's also an indication that there's been an accident or something
[01:15:43.320 --> 01:15:50.520]   Those are cops there. Well you have a button for accident too. I mean, uh, you do. Yes, my experience is this is more like a hay slowdown
[01:15:50.520 --> 01:15:56.760]   But but but google's answer was the more people think there are cops all over the slower they're gonna drive
[01:15:56.760 --> 01:15:59.960]   That's actually better. Yeah, julie mossler
[01:15:59.960 --> 01:16:05.640]   Speaking for ways says ways does work with the new york police department and others around the world by sharing information
[01:16:05.640 --> 01:16:11.800]   These relationships keep citizens safe promote faster emergency response and help alleviate traffic
[01:16:12.520 --> 01:16:14.520]   congestion
[01:16:14.520 --> 01:16:20.280]   I mean, it's hard because you know whenever they do it to you. I checkpoint they're required by law to tell you they're gonna
[01:16:20.280 --> 01:16:26.360]   Really they have the announcer's a du i have to pre-announce where they're gonna be you have to know so
[01:16:26.360 --> 01:16:29.240]   Yeah, it seems why is that
[01:16:29.240 --> 01:16:33.400]   Because people have a telephone you have a right not to I guess
[01:16:33.400 --> 01:16:39.000]   You know getting to search area. I don't know. I don't know why it is and maybe it's just a california law
[01:16:39.000 --> 01:16:45.640]   But they have to announce them in advance also when you come up to checkpoint you have to have the ability to turn away from that checkpoint
[01:16:45.640 --> 01:16:47.640]   You don't want to go through it really you're kidding
[01:16:47.640 --> 01:16:52.760]   Yeah, I think I did a story on I think I did a story on checkpoints once not my neck of the woods out here
[01:16:52.760 --> 01:16:57.640]   They block all the turns and then they're probably violating the law and if you actually got a ticket
[01:16:57.640 --> 01:17:01.240]   First of all, if you got a ticket, I'd probably hope that you did but sorry
[01:17:01.240 --> 01:17:03.480]   you know, but
[01:17:03.480 --> 01:17:07.720]   But no, you're supposed to be able to turn off and that's part of the way the law works
[01:17:08.040 --> 01:17:17.000]   But this is not the first time for us senators in 2011 asked apple to remove all applications that alert users to drunk driving checkpoints
[01:17:17.000 --> 01:17:23.240]   Which was no key remove the sobriety check tracking function in one of their apps
[01:17:23.240 --> 01:17:27.560]   Trapster was eventually discontinued at the end of the year
[01:17:27.560 --> 01:17:32.360]   But the founder says it was because ways did such a so much of a better job
[01:17:32.360 --> 01:17:35.640]   I understand police would be nervous about this
[01:17:36.280 --> 01:17:38.280]   You know, if you were gonna I mean
[01:17:38.280 --> 01:17:41.560]   You can totally understand it, especially what happened in New York, right?
[01:17:41.560 --> 01:17:46.200]   My first initial reaction when I saw that was like wow. Yeah, that is scary
[01:17:46.200 --> 01:17:52.280]   And then on if you think a bit more, it's like it is not difficult for you to figure out where police are without having to
[01:17:52.280 --> 01:17:55.320]   You know, if you're gonna go if you're gonna go out trying to find a police officer
[01:17:55.320 --> 01:17:58.200]   You probably don't need to rely on ways to figure out how to do it
[01:17:58.200 --> 01:18:02.760]   But it's yeah, it's the truth is people don't just have guys who are on patrol in there
[01:18:02.760 --> 01:18:07.720]   The truth is they're putting up speed traps, right? And and and god, I'll be again
[01:18:07.720 --> 01:18:10.920]   Google has a point that that you know, you end up you end up slowing down
[01:18:10.920 --> 01:18:16.760]   The cops don't get to zap as many people, but if people are actually going slower, it's better
[01:18:16.760 --> 01:18:22.200]   Well, when we get the auto driving cars, it won't matter because then i'll be speeding it all be good
[01:18:22.200 --> 01:18:26.200]   And they'll report on all your movements and then we'll have a privacy
[01:18:26.200 --> 01:18:29.720]   Crisis and that'll be the world. I believe that's grizzle
[01:18:31.560 --> 01:18:33.560]   What is grizzle? I don't know
[01:18:33.560 --> 01:18:36.360]   Parks and rec last night was so funny
[01:18:36.360 --> 01:18:42.120]   Grizzle is this big big google like company has moved in and there's like said in the future is like
[01:18:42.120 --> 01:18:43.640]   2014
[01:18:43.640 --> 01:18:45.640]   And they they're tight
[01:18:45.640 --> 01:18:51.880]   These drones appear and start delivering everybody gifts based on data mining all their searches and emails
[01:18:51.880 --> 01:18:56.120]   To try to get them to let them build something and it's like Taylor Swift
[01:18:56.120 --> 01:18:58.680]   Yeah, it's very very close to yeah
[01:19:00.360 --> 01:19:03.160]   No Taylor Swift should never do anything she would never do anything like that
[01:19:03.160 --> 01:19:06.280]   um
[01:19:06.280 --> 01:19:11.240]   There's so much here and I don't want to uh, belabor the point you guys have anything
[01:19:11.240 --> 01:19:18.680]   Oh, I thought this was interesting. We talked I think last week about the thought that google was anticipated to launch its own wireless company
[01:19:18.680 --> 01:19:21.160]   And mvno sometime
[01:19:21.160 --> 01:19:23.480]   this year
[01:19:23.480 --> 01:19:26.120]   Uh, maybe in the first half of the year would be based
[01:19:26.840 --> 01:19:30.920]   Uh on sprint and t-mobile and that's kind of the interesting
[01:19:30.920 --> 01:19:35.800]   New information, which is that google would decide
[01:19:35.800 --> 01:19:42.200]   Where you're getting the better signal from wifi t-mobile or sprint and then better prices
[01:19:42.200 --> 01:19:45.640]   Well, that would be even more interesting and then just choose it
[01:19:45.640 --> 01:19:49.960]   Automatically so you would be if you were using google's wireless carrier
[01:19:49.960 --> 01:19:54.120]   Uh, in effect the customer of all three or sprint and t-mobile plus wifi
[01:19:54.920 --> 01:19:59.640]   Uh google did not have a comment on this, but I think that's fascinating. I think it really is
[01:19:59.640 --> 01:20:07.080]   Uh, I would I would almost be attempted to say oh, they'll you know sprint and t-mobile would never allow that and yet sprint sells
[01:20:07.080 --> 01:20:10.840]   Us service wholesale services to mvno's
[01:20:10.840 --> 01:20:14.600]   Where they're allowing them to undercut sprints own pricing so I
[01:20:14.600 --> 01:20:18.600]   Mobile because our friends at uh as a tingle ting
[01:20:18.600 --> 01:20:22.600]   Ting thank you are gonna do I think are they gonna go?
[01:20:23.160 --> 01:20:26.440]   And don't they have now a um t-mobile as well?
[01:20:26.440 --> 01:20:29.960]   The gsm that must be that must be it. Yeah
[01:20:29.960 --> 01:20:32.120]   Isn't that interesting?
[01:20:32.120 --> 01:20:34.120]   two things they're gonna do um
[01:20:34.120 --> 01:20:39.160]   That and they're gonna do yes ting to offer gsm network good
[01:20:39.160 --> 01:20:42.120]   Well, I like this idea. I hope google does it
[01:20:42.120 --> 01:20:45.800]   Because that'd be great, right? You just get whatever the yeah
[01:20:45.800 --> 01:20:51.080]   Because that's my concern about sprint in general's here sprints fine in some places. It's not great around here
[01:20:51.480 --> 01:20:56.040]   You nice if it could switch off. Yeah, but could that would be who wouldn't want that?
[01:20:56.040 --> 01:20:58.280]   But if you go to india
[01:20:58.280 --> 01:21:01.000]   Every phone you buy there has to sim for that reason. Yeah
[01:21:01.000 --> 01:21:04.280]   Not here
[01:21:04.280 --> 01:21:09.960]   The other story there that I think is really really important on as since I have a grandfather unlimited atnt plan
[01:21:09.960 --> 01:21:15.480]   The ftc just said that unlimited means unlimited. It's enforcing that the dam dictionary
[01:21:15.480 --> 01:21:19.160]   It says unlimited with throttling does not count
[01:21:19.880 --> 01:21:25.800]   Now unless you unless you get into the article unless you know you made it clearer
[01:21:25.800 --> 01:21:34.680]   I tell you i've gone into stores and said wait a minute. Does that mean it's unlimited unlimited? I can get as much as I want
[01:21:34.680 --> 01:21:36.920]   Yeah, will you slow me down at any point? No
[01:21:36.920 --> 01:21:39.880]   totally fine
[01:21:39.880 --> 01:21:47.480]   AT&T and Verizon both have stopped offering unlimited data plans to new customers, but unfortunately they can't get jeff javas to leave
[01:21:48.440 --> 01:21:54.120]   There are a lot of people holding on through all sorts of loopholes to their unlimited service
[01:21:54.120 --> 01:21:58.680]   Uh, this came actually out of a case with track phone
[01:21:58.680 --> 01:22:04.600]   Uh, and in fact if you were a track phone customer who purchased an unlimited plan
[01:22:04.600 --> 01:22:09.160]   And was slowed down you could you may be eligible for refunds
[01:22:09.160 --> 01:22:18.120]   According to the ftc the track phone generally slowed data service when a customer used one to three gigabytes and suspended data service at four to five gigabytes
[01:22:18.760 --> 01:22:25.240]   The case is about and it is the ftc. Let's face it. The case is about false advertising
[01:22:25.240 --> 01:22:28.760]   It's not about throttling. We're not challenging throttling in and of itself
[01:22:28.760 --> 01:22:33.000]   But they they should just do it because I don't I don't know how the fcc
[01:22:33.000 --> 01:22:35.000]   I don't know how they can go through and say oh
[01:22:35.000 --> 01:22:41.880]   Unlimited is not unlimited if you throttle unless you make it clear to people that you will limit
[01:22:41.880 --> 01:22:44.680]   They're limited thing and then it's okay to still call it
[01:22:44.680 --> 01:22:51.800]   Unlimited just means we're not going to limit the number of gigabytes you get no no no unlimited means you don't limit
[01:22:51.800 --> 01:23:01.960]   By definition unlimited means you do not have limits. It's like saying, you know, uninflated means
[01:23:01.960 --> 01:23:05.400]   But only partially
[01:23:05.400 --> 01:23:07.480]   I like it
[01:23:07.480 --> 01:23:10.200]   Okay, if it's you know, I just
[01:23:11.560 --> 01:23:15.720]   And that's by the way what drives me nuts about t mobile the most I think they do these great
[01:23:15.720 --> 01:23:17.480]   great
[01:23:17.480 --> 01:23:24.040]   Advances to get people going off and did you know and then raise the whole industry and then you can do all this like fine printing
[01:23:24.040 --> 01:23:26.680]   Like oh no, this is limited here. No, oh, that's limited there
[01:23:26.680 --> 01:23:29.160]   You know, uh, so she's just just
[01:23:29.160 --> 01:23:36.040]   Just give me some limited ftc should ban fine print let them use their five gigabytes and when they're done with using their five gigabytes
[01:23:36.040 --> 01:23:38.120]   then cut them off
[01:23:40.120 --> 01:23:42.120]   totally
[01:23:42.120 --> 01:23:44.120]   Moved
[01:23:44.120 --> 01:23:46.600]   My my colleagues
[01:23:46.600 --> 01:23:50.200]   Both of your arguments for you if you if you go to the to android
[01:23:50.200 --> 01:23:57.640]   Then I just saw this on google plus because I actually still use google plus and I find fascinating things there and interesting people
[01:23:57.640 --> 01:24:00.760]   But that's your choice
[01:24:00.760 --> 01:24:04.840]   Every day I'm there every day
[01:24:06.200 --> 01:24:10.280]   If on your android phone you type in angeli nicholi movie which I have done
[01:24:10.280 --> 01:24:14.360]   Get this pretty little grid I get most popular first
[01:24:14.360 --> 01:24:19.560]   Oh, maybe you don't have the latest version newest. This is the grid newest first all this first and then I get a list of
[01:24:19.560 --> 01:24:24.280]   No, look at mine. Look at mine. What's yours? What's yours? Look? Oh, I don't got that
[01:24:24.280 --> 01:24:28.600]   Now this is interesting. So if I go to google plus or where
[01:24:28.600 --> 01:24:31.880]   Uh just google but I'm gonna make your argument for you
[01:24:32.440 --> 01:24:38.600]   So then I go pick on mr. mrs. Smith. Okay, and I scroll wonder where I can get mr. mrs
[01:24:38.600 --> 01:24:39.720]   Smith
[01:24:39.720 --> 01:24:42.840]   What it tells me is available on google play on youtube
[01:24:42.840 --> 01:24:49.880]   Uh-huh, there's your point. Uh, now mind you I can't use uh, ijunes on this so
[01:24:49.880 --> 01:24:54.680]   You know wouldn't do any good. I'm using chrome on my s. I imagine. Where were you clicking again?
[01:24:54.680 --> 01:24:57.320]   I want to see this again. So you clicked on mr. mrs. Smith
[01:24:57.320 --> 01:25:00.440]   You did this pretty grid. Do you hear the
[01:25:01.800 --> 01:25:06.280]   This this this thing. Okay, you're using the next six. So yeah
[01:25:06.280 --> 01:25:08.680]   And then it was like a playlist smith
[01:25:08.680 --> 01:25:11.640]   I'm gonna turn mr. Smith great movie great movie
[01:25:11.640 --> 01:25:16.520]   And you really it was all still pretty and you scroll all right, but it really you want to stand by that?
[01:25:16.520 --> 01:25:20.280]   It was okay. Yeah, it's growing up. What am I seeing this different?
[01:25:20.280 --> 01:25:22.760]   Well, yeah
[01:25:22.760 --> 01:25:26.680]   It's also available on also available. So I have to try this
[01:25:26.680 --> 01:25:30.600]   It's also available on but but you know what it is Jeff by the way
[01:25:31.000 --> 01:25:34.760]   Yeah, um, I probably have the voodoo app installed on my phone
[01:25:34.760 --> 01:25:41.240]   Or it's it's a link over there and technically and i'm betting you google would tell you that
[01:25:41.240 --> 01:25:45.800]   If you had amazon instant video installed on your phone then that might turn into a link
[01:25:45.800 --> 01:25:48.520]   But
[01:25:48.520 --> 01:25:54.040]   You know it is interesting that they still have their own stuff. Yeah, but i'm gonna use absent anything better
[01:25:54.040 --> 01:25:57.880]   Oh, I tried to click on voodoo when it tells me that chrome beta has stopped
[01:25:57.880 --> 01:26:00.120]   Ha ha conspiracy
[01:26:00.920 --> 01:26:01.320]   Mmm
[01:26:01.320 --> 01:26:07.640]   YouTube now streams hml5 video by default that's good news for a while you had to choose hml5 as a
[01:26:07.640 --> 01:26:11.080]   Choice, but that's I guess no more flash
[01:26:11.080 --> 01:26:14.520]   Thank you. Thank you youtube
[01:26:14.520 --> 01:26:17.560]   I could pat them on the back for that
[01:26:17.560 --> 01:26:24.280]   Uh and google fiber will come next to it land as charlotte nashville and rolly durham. I'm so jealous
[01:26:24.280 --> 01:26:27.000]   I know so jealous still not on that list
[01:26:27.000 --> 01:26:29.000]   Uh
[01:26:29.000 --> 01:26:35.240]   NBC discontinuing the video podcast do we care?
[01:26:35.240 --> 01:26:42.200]   No, they're evidently all the networks are yeah, nobody watched enough the old networks are stopping them. Yeah
[01:26:42.200 --> 01:26:45.080]   wonder why not
[01:26:45.080 --> 01:26:52.920]   Skymall this idea of podcasting have a larger share of ear. Well, there's also a share of i
[01:26:53.880 --> 01:26:59.160]   Uh while while audio is still bigger than video for most of our shows. It's not the case for all of our shows
[01:26:59.160 --> 01:27:03.480]   I pad the day for instance, which is very visual has more video subscribers
[01:27:03.480 --> 01:27:06.440]   Wasn't proportion for twit and twig roughly
[01:27:06.440 --> 01:27:09.000]   I think it's probably 60 40s
[01:27:09.000 --> 01:27:12.840]   Audio to video, but I don't know it's you know it's always around
[01:27:12.840 --> 01:27:15.720]   70 30 60 40 something like that
[01:27:15.720 --> 01:27:20.840]   But that number is way up and we we only started doing video five or six years ago and it's been growing
[01:27:21.960 --> 01:27:23.960]   How about this
[01:27:23.960 --> 01:27:27.160]   Man, Matthew inman has power. He has social power
[01:27:27.160 --> 01:27:31.000]   he elon lee and shane small
[01:27:31.000 --> 01:27:40.760]   Decided to do a kickstarter for a kitty powered version of russian roulette a card game called exploding kittens
[01:27:40.760 --> 01:27:48.200]   Players take turns drying cards until someone draws an exploding kitten and loses the game. You know what? This is uno
[01:27:49.160 --> 01:27:52.360]   With exploding kittens. It's exactly the same game. I think
[01:27:52.360 --> 01:28:00.360]   So, uh, they thought you know if we could raise maybe I don't know $10,000 on kickstarter. We could go ahead within
[01:28:00.360 --> 01:28:03.320]   within
[01:28:03.320 --> 01:28:10.840]   20 minutes they got 10 that within an hour they got a fed they are now up to 4.4 million dollars for a card game
[01:28:10.840 --> 01:28:14.440]   Jesus with 22 days to go
[01:28:14.440 --> 01:28:17.320]   What is it caused to buy a card game?
[01:28:18.600 --> 01:28:22.280]   It's like 20 bucks. I think it's the entry well they got 20 bucks for the basic deck
[01:28:22.280 --> 01:28:27.080]   But of course a lot of backers for the 35 dollar nsfw deck
[01:28:27.080 --> 01:28:29.320]   Yep
[01:28:29.320 --> 01:28:31.160]   with horrible
[01:28:31.160 --> 01:28:36.120]   Images too horrible to include in the kid-friendly version. That's the big that's the big one
[01:28:36.120 --> 01:28:39.720]   That's 104,000 folks 200 backers pledged 100 or more
[01:28:39.720 --> 01:28:42.840]   Five backers pledged 500 dollars
[01:28:42.840 --> 01:28:46.040]   Plus you get a custom card
[01:28:47.320 --> 01:28:52.920]   Drawn just for you just for you. What the hell I am in the wrong business
[01:28:52.920 --> 01:28:59.640]   Are you especially when it's a card deck a card deck? I mean I realize there's like what?
[01:28:59.640 --> 01:29:03.880]   Exactly. It's just you're a profit printing that stuff profit
[01:29:03.880 --> 01:29:08.280]   This is like we might do print money. Would you like to buy in?
[01:29:08.280 --> 01:29:11.880]   For every five dollars you give me. I'll give you a dollar bill
[01:29:11.880 --> 01:29:14.520]   Now how much would you pay?
[01:29:14.520 --> 01:29:18.120]   That's what you should do. You should do a card game that's made out of five dollars
[01:29:18.120 --> 01:29:21.080]   And then sell it for 20 for 20. Yeah
[01:29:21.080 --> 01:29:27.400]   Unbelievable your card game would be like a five dollar bill all cut up and then it's like who can put it off
[01:29:27.400 --> 01:29:29.640]   I'm thinking about stuff
[01:29:29.640 --> 01:29:34.280]   I just this is the equivalent of uh, what's apps selling for a billion or whatever?
[01:29:34.280 --> 01:29:37.000]   It was this is like holy cow
[01:29:37.000 --> 01:29:40.840]   I mean they've actually you're getting a product. So, you know, hey, it's great
[01:29:41.320 --> 01:29:46.200]   Actually, you know what it's you're not getting a product. There's no guarantee you're gonna get a product
[01:29:46.200 --> 01:29:49.240]   Yeah, they are you're gonna. Well, I'm sure they will
[01:29:49.240 --> 01:29:51.640]   I'm sure they will
[01:29:51.640 --> 01:29:54.120]   But as you know with kickstarter, there's no promise
[01:29:54.120 --> 01:29:59.880]   Oh, oatmeal's not gonna not give you cars. He's not gonna. I know what I know and of course he will
[01:29:59.880 --> 01:30:05.800]   And so and besides the fact that you know, you paid 35 for 50 cent deck of cards
[01:30:06.680 --> 01:30:13.160]   He's there's no reason not for him not to oh, you pay that for other kind of it's not it's not the materials
[01:30:13.160 --> 01:30:16.840]   It's like the art and that you've got the game and you know, it's
[01:30:16.840 --> 01:30:20.360]   $4 million with art
[01:30:20.360 --> 01:30:25.800]   When it's like when I bought my monopoly board for $15 that that actually cost me $15
[01:30:25.800 --> 01:30:28.600]   I think people are really tapping into the
[01:30:28.600 --> 01:30:31.240]   kitten hatred movement
[01:30:31.240 --> 01:30:36.600]   And we really ought to investigate that oatmeal is a phenomenon oatmeal's amazing matthew is amazing
[01:30:37.400 --> 01:30:39.720]   Go daddy, which has the puppy-hating movement
[01:30:39.720 --> 01:30:46.280]   Really? What's good? Is this there a super bowl commercial two puppies to raise? There's that plus uber uber tomorrow for 30
[01:30:46.280 --> 01:30:48.840]   All of me
[01:30:48.840 --> 01:30:53.480]   Now co-hots, sorry, it's great ad. Okay, so the the go daddy ad
[01:30:53.480 --> 01:30:57.160]   This is going to be their super bowl ad at least it's not
[01:30:57.160 --> 01:31:00.200]   It's not it's not some sexy thing
[01:31:00.200 --> 01:31:03.960]   I mean they got away from the the sexist stuff
[01:31:03.960 --> 01:31:08.920]   You gotta you gotta you gotta go find the buzzwise. They're just super bowl ad that's out now and play it
[01:31:08.920 --> 01:31:14.200]   And then we'll all be very touched and then go find the go daddy puppy
[01:31:14.200 --> 01:31:20.280]   Which is funny unless you know, you don't agree with I think it's you know
[01:31:20.280 --> 01:31:28.360]   So last year so remember to go daddy ran those very sexist ads the kind of where you have the the the geek being kissed by the super model
[01:31:28.360 --> 01:31:33.480]   And then you know girls and then more porn star, but yeah, yeah
[01:31:33.720 --> 01:31:40.600]   You know and then and then last year they got new ceo bob parston said goodbye took his elephant and got and went
[01:31:40.600 --> 01:31:42.600]   wrote off into the
[01:31:42.600 --> 01:31:45.160]   Sunset and then the new guys
[01:31:45.160 --> 01:31:50.840]   Last year there were women in their ads, but they were all web entrepreneurs
[01:31:50.840 --> 01:31:56.920]   Apparently that didn't really make it so they're back to controversy, but not sexism. Let's watch the go daddy
[01:31:56.920 --> 01:31:59.640]   Super bowl ad a dog
[01:31:59.640 --> 01:32:02.760]   Being dropped off
[01:32:03.400 --> 01:32:05.400]   Running
[01:32:05.400 --> 01:32:12.040]   Just by the road sad it's raining and it's cold and wait here's a barn
[01:32:12.040 --> 01:32:18.840]   Found his way back because I just sold you on this website. I've built with go daddy
[01:32:18.840 --> 01:32:22.920]   Oh god
[01:32:22.920 --> 01:32:29.240]   Oh god, well, I guess they said hey controversy we don't have to be sexist we could just
[01:32:30.200 --> 01:32:34.840]   Oh, why is there one now? Come on. You want to get the bad taste out of your mouth? Yes
[01:32:34.840 --> 01:32:40.840]   You want the Budweiser one instead? Yes, this is that this is kind of this is I think what they're making fun of
[01:32:40.840 --> 01:32:49.080]   Right women. No, that's just weird that the Budweiser ad actually came out today. I think and theirs came out. Yes. They must have known right? Yeah, maybe
[01:32:49.080 --> 01:32:52.440]   Maybe they knew something here's the Budweiser ad this will make you feel better
[01:32:52.440 --> 01:32:55.480]   This is the inspiration
[01:32:55.480 --> 01:32:58.440]   Little doggy running out of a barn
[01:32:59.240 --> 01:33:05.240]   Wasn't this last year? No, no, this is a horse carrier, you know, but the horse carrier
[01:33:05.240 --> 01:33:10.040]   That guy should not be allowed to have animals. No, he's very bad. Thank you declared, right?
[01:33:10.040 --> 01:33:14.520]   It's very bad. He forgave the dog is lost because he oh no, it's raining
[01:33:14.520 --> 01:33:19.800]   There's the Clydesdale. He's sad because he lost his dog, but at least he's got his horse
[01:33:19.800 --> 01:33:24.920]   Wait a minute. The dog has come back to the barn the Clydesdale spots the dog the dog looks back
[01:33:24.920 --> 01:33:28.680]   There's a wolf. Oh my god. The dog barking at the wolf
[01:33:28.680 --> 01:33:34.040]   He's he's facing off the horses are coming here come the Clydesdale's to rescue the dog
[01:33:34.040 --> 01:33:37.880]   The wolf runs away the horses are welcome back
[01:33:37.880 --> 01:33:42.920]   Meanwhile the doofus who lost the dog in the first place is standing at the window with a cup of coffee
[01:33:42.920 --> 01:33:45.240]   Sees his dog running back
[01:33:45.240 --> 01:33:49.800]   And then goes to go daddy to start our website to sell his dog. It's all the dogs
[01:33:54.360 --> 01:33:56.520]   It's gonna be a hell of a game sunday
[01:33:56.520 --> 01:34:01.160]   Just a little program note by the way, we are starting to it an hour early
[01:34:01.160 --> 01:34:03.720]   So I won't miss a single commercial on the super bowl this
[01:34:03.720 --> 01:34:09.320]   We started 2 p.m. Pacific 5 p.m. Eastern time baritone day and nick built it's always fun
[01:34:09.320 --> 01:34:14.840]   Let's take a break when we come back leo's tool jeff's number and danny's thing
[01:34:14.840 --> 01:34:18.680]   That's a little obscene. You don't want to miss that
[01:34:20.920 --> 01:34:27.000]   I showed it. They brought to you by hip chat. I love hip chat. We use hip chat every single day here at the brick house
[01:34:27.000 --> 01:34:31.720]   How is your team communicating? Are they using a variety of email solutions? I am
[01:34:31.720 --> 01:34:37.720]   A little bit of texting here a little cloud storage there a little document during here hip chat takes it all
[01:34:37.720 --> 01:34:40.920]   puts it in one place
[01:34:40.920 --> 01:34:45.640]   Emails to slow meetings get sidetracked regular. I am doesn't work. Well hip chat so good plus
[01:34:46.120 --> 01:34:51.080]   Completely secure uses SSL to keep your teams in sync. It's like messaging
[01:34:51.080 --> 01:34:56.200]   But it's so much better because it integrates in the top developer tools like github and jeer and zendesk
[01:34:56.200 --> 01:34:59.800]   57 services and all that hip chat plays nice with
[01:34:59.800 --> 01:35:03.560]   Hip chat brings your entire project your entire team communications
[01:35:03.560 --> 01:35:10.360]   Together I am video chat document sharing screen sharing system updates code sharing in a simple platform
[01:35:10.360 --> 01:35:15.560]   We use it. We first used it with our web design team now. We're using it when the engineering sales
[01:35:16.120 --> 01:35:21.000]   Uh, we're going to set up our hosts hip chat soon hip chat. It's easy to set up. It's fun to use
[01:35:21.000 --> 01:35:23.320]   It makes your team wildly productive and right now it's free
[01:35:23.320 --> 01:35:28.600]   I want you to try hip chat plus for free. You don't need to give them a credit card
[01:35:28.600 --> 01:35:32.760]   Just visit hip chat hipc hat.com/twig
[01:35:32.760 --> 01:35:35.720]   Click on start chatting to sign up and invite a few team members
[01:35:35.720 --> 01:35:40.280]   You'll get all the features of hip chat plus free for 30 days after the free trial if you want to
[01:35:40.280 --> 01:35:44.360]   Keep it free. You can use the freemium version which doesn't have all the integrations
[01:35:44.360 --> 01:35:46.360]   But still is awesome
