;FFMETADATA1
title=Honey, I Livestreamed the Kid
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=353
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.760]   It's time for a twig this week in Google and of course it's our post I/O keynote show
[01:10:45.940 --> 01:10:50.980]   Someone said clearly a white person came up with this although if it was so dark, then that's not true
[01:10:53.540 --> 01:10:58.180]   Do we live in a world now where we have to you know kind of not have fun because of trolls? No
[01:10:58.180 --> 01:11:02.100]   Let's you know if somebody's gonna do that. They're gonna do it, but it's not gonna be public, right?
[01:11:02.100 --> 01:11:06.020]   Are we seeing them? I don't think we're seeing them. No, we're not saying I don't believe we are
[01:11:06.020 --> 01:11:10.180]   Less than less. You take a screenshot of the submission as you do it. It's
[01:11:10.180 --> 01:11:13.300]   Which I saw a lot of that as some people are doing. I know
[01:11:13.300 --> 01:11:19.700]   You know, that's sad. This is why we can't have nice things. That's terrible or nice contests naming contests
[01:11:20.660 --> 01:11:27.220]   Oh, well, anyway, uh, go in the direction of internet memes and go android nyan cat nyan cat
[01:11:27.220 --> 01:11:30.980]   I like yours Jason nom nom nom
[01:11:30.980 --> 01:11:38.340]   Yeah, that goes to the core of what makes a dessert a dessert. Yeah
[01:11:38.340 --> 01:11:45.700]   What do you it's a meta. Yes, it's a meta. It's a meta. Yeah, we probably won't have a brand name matti sink or do you think?
[01:11:45.700 --> 01:11:49.300]   I mean, I don't know what how how to kick that happen. I think it would be cool
[01:11:49.540 --> 01:11:54.500]   I think it would be cool to have a brand name like maybe you know, if not in go for oh or nerds
[01:11:54.500 --> 01:11:56.740]   How about the nerds? That's a brand name?
[01:11:56.740 --> 01:12:04.020]   I think my gelegon was like we should name it after the kind of people who come up with an android nerd android nerds would be just an awesome
[01:12:04.020 --> 01:12:06.180]   Uh
[01:12:06.180 --> 01:12:08.180]   Nougat. I like new get
[01:12:08.180 --> 01:12:15.700]   Well, they have have a hashtag name android in so yeah, noopsie nectar. I feel like uh, there's options
[01:12:16.100 --> 01:12:20.180]   I thought newtella was it was a dead lock to be honest with you, but I think it's not
[01:12:20.180 --> 01:12:24.820]   No, so I think it was not a lock the minute it was used as a joke early on
[01:12:24.820 --> 01:12:31.300]   I can't remember who it was but uh, I think the posting was we're not telling you what it is. Right. Yeah, no hooroshy luck. I'm
[01:12:31.300 --> 01:12:33.060]   Yeah, it was hooroshy. That's right. We're not
[01:12:33.060 --> 01:12:38.580]   I think the second I came out as the update that probably removed it from the running because they never tell you in advance
[01:12:38.580 --> 01:12:45.220]   You never know in advance. Are you excited about what you see with the new features of android and and we've seen a lot of it that beta
[01:12:45.780 --> 01:12:49.620]   Official beta came out today. In fact, uh, it was pushed to the pixel c today
[01:12:49.620 --> 01:12:52.740]   And I think the nine x is six p if you've registered it you should get it
[01:12:52.740 --> 01:12:55.220]   Have you been running the old one on your pixel c
[01:12:55.220 --> 01:12:58.900]   Uh the old and yeah, and we got the update
[01:12:58.900 --> 01:13:04.420]   Oh, yeah, the only negative is there are a few apps like every time I launch instagram
[01:13:04.420 --> 01:13:08.340]   It says you need a library update, but but it ran
[01:13:08.340 --> 01:13:14.820]   So I haven't are there any have you seen any serious crashes Jason? No, it's just weird stuff not happening
[01:13:14.820 --> 01:13:20.020]   It's a little janky. It's a little janky a little bit. Oh, yeah, I mean, you know and for all intents and purposes
[01:13:20.020 --> 01:13:23.700]   It's been alpha. This is their first to know their quotes actual beta
[01:13:23.700 --> 01:13:28.180]   Version of it. So this is the first one that I feel comfortable flashing onto my nexus six p
[01:13:28.180 --> 01:13:33.060]   Which I plan on doing tonight and kind of living with it a little bit more than I have with it prior
[01:13:33.060 --> 01:13:36.100]   Because it's just been all of a you don't have to flash it. It's an over the air update
[01:13:36.100 --> 01:13:41.300]   All you have to do is go to the beta site and and roll your device and you will get an ota update
[01:13:42.500 --> 01:13:50.340]   So you got it. There is he's got it. Yep. Yeah. That's an incredible nod to enthusiasts. I like that a lot
[01:13:50.340 --> 01:13:52.980]   You can get it over the air
[01:13:52.980 --> 01:13:59.380]   I yeah the one okay. So what's your favorite feature? My favorite feature is simply double tapping the recent button to go to the last
[01:13:59.380 --> 01:14:01.620]   Yeah, I love that's awesome
[01:14:01.620 --> 01:14:03.940]   That's awesome
[01:14:03.940 --> 01:14:06.980]   So okay, so I I was listening to the keynote and uh
[01:14:06.980 --> 01:14:11.220]   Over and over again. They kept saying we're gonna fold in this feature of chrome os
[01:14:11.300 --> 01:14:16.180]   And each time I was like, you know, direct boot and verified boot and all these security things
[01:14:16.180 --> 01:14:18.900]   I was like automatic updates. Seriously cool
[01:14:18.900 --> 01:14:20.740]   Yeah, so so like you know
[01:14:20.740 --> 01:14:24.100]   Android doesn't really have that much of a malware problem. There's a lot of security companies
[01:14:24.100 --> 01:14:26.340]   They're like look we found a malware thing in the play store
[01:14:26.340 --> 01:14:31.780]   But you know usually if you disallow third-party, you know apps then you're usually okay
[01:14:31.780 --> 01:14:34.500]   But I love the idea that they're like, you know
[01:14:34.500 --> 01:14:40.260]   If you take the best of chrome which in a lot of cases is this security and all that kind of stuff and and the um
[01:14:40.660 --> 01:14:43.940]   Oh my gosh, you don't have to wait for 45 applications to
[01:14:43.940 --> 01:14:46.500]   Oh, that's huge. I'm so sick of that
[01:14:46.500 --> 01:14:48.260]   Tell me about it
[01:14:48.260 --> 01:14:50.980]   Updating and updating updating update forever
[01:14:50.980 --> 01:14:55.780]   Now they're gonna be able to do this chrome book style
[01:14:55.780 --> 01:15:00.260]   Uh background update and reboot to update on anything but nexus phones
[01:15:00.260 --> 01:15:02.340]   That's a question because don't they have to get
[01:15:02.340 --> 01:15:05.700]   Samsung and lg or whoever to update their skin
[01:15:05.700 --> 01:15:10.260]   Get the radios updated from the third parties and all that stuff
[01:15:11.060 --> 01:15:17.620]   I could see them doing a chrome book style update on nexus devices, but I don't see it happening on a non-nexus devices or maybe
[01:15:17.620 --> 01:15:21.540]   It'll be a compelling reason to buy a nexus device frankly
[01:15:21.540 --> 01:15:27.940]   It does seem like google is always doing a better job of pressing people to stay up to date with security updates and those sorts of things
[01:15:27.940 --> 01:15:34.100]   So so maybe some of that comes into play with the new, you know generation of the operating system, but it is an open question
[01:15:34.100 --> 01:15:36.100]   I'll be curious. Yeah
[01:15:36.100 --> 01:15:40.180]   But that's but the way they do it on chrome book is so great. It's too bad. You have to do a reboot
[01:15:40.660 --> 01:15:45.700]   But nevertheless, it's transparent. It happens in the background. You get a little notification
[01:15:45.700 --> 01:15:48.820]   You know, you reboot and it's all updated and yes
[01:15:48.820 --> 01:15:51.460]   now
[01:15:51.460 --> 01:15:54.820]   And by the way, 46 apps. What are you talking about? I got 245
[01:15:54.820 --> 01:15:59.620]   Now updating app 223 out of 245
[01:15:59.620 --> 01:16:04.980]   I just do it overnight
[01:16:05.220 --> 01:16:12.340]   Yeah, my my I guess it's the galaxy of seven will you can say update check for updates every night and update in the middle of the night
[01:16:12.340 --> 01:16:16.340]   Please my nightmare is that it's going to happen to me like what I'm waiting in line to get my boarding pass
[01:16:16.340 --> 01:16:22.820]   Yeah, something and you're just absolutely screwed. I don't think that I think that's probably half the point of the reboot
[01:16:22.820 --> 01:16:24.900]   I'm sure part of it is that you need to
[01:16:24.900 --> 01:16:30.660]   What so what they said which I thought was really cool is that there'll be each phone will maintain two images the current image
[01:16:30.900 --> 01:16:36.340]   And then an updated image so it's so it's transparent you just reboot and it says oh good
[01:16:36.340 --> 01:16:38.660]   We got the new image boot to that instead
[01:16:38.660 --> 01:16:44.900]   I'm hoping it keeps the old image around for a little bit so that you can always you can revert which would be even more coolness
[01:16:44.900 --> 01:16:50.340]   That would be nice. Yeah, if you're any problems, that's awfully geeky who would even know what a revert means
[01:16:50.340 --> 01:16:55.860]   Well, you'd have a button said, you know, are you having you know, if you're having trouble, uh, you can revert to your previous version
[01:16:56.740 --> 01:16:59.940]   Android safe mode. Yeah. Oh, yeah
[01:16:59.940 --> 01:17:04.740]   I did the safe mode actually for the longest. Oh, yeah. Yeah, but I'm thinking like the windows. Yeah
[01:17:04.740 --> 01:17:06.900]   Yeah
[01:17:06.900 --> 01:17:09.620]   When you release safe in life is what that happens to you. Yeah
[01:17:09.620 --> 01:17:12.180]   Yeah
[01:17:12.180 --> 01:17:18.340]   Yeah, I mean android android at google.io is definitely different this year for the obvious reason that usually in years past
[01:17:18.340 --> 01:17:20.980]   We hear about these things and the new release
[01:17:21.540 --> 01:17:25.940]   First at iow and and we've been doing this kind of developer preview now for a couple of months
[01:17:25.940 --> 01:17:31.940]   So it was hard to do an announcement that really included much that was very new beyond what we already knew
[01:17:31.940 --> 01:17:35.540]   But I mean I think the biggest thing there that we haven't talked about is vr
[01:17:35.540 --> 01:17:38.500]   And how vr is intertwined into android
[01:17:38.500 --> 01:17:43.300]   Coming up on android and that was kind of their big announcement. I think as far as android is concerned
[01:17:43.300 --> 01:17:49.860]   Daydream they call it which is interesting because that's the name of the screen safer on android, but I know right they already own it
[01:17:49.940 --> 01:17:57.620]   So no big deal. This is not what rumor mill had said which was a stan roit standalone android vr
[01:17:57.620 --> 01:18:03.060]   Um, this is actually much more like galaxy gear vr where you have you still need a phone, right?
[01:18:03.060 --> 01:18:09.700]   And you have a uh two devices the reference is a visor plus a remote control looking
[01:18:09.700 --> 01:18:13.780]   Click really nice for road. It did look good. I like that reference design
[01:18:13.780 --> 01:18:18.980]   Of course, that's just a reference design which implies that google is not going to manufacture this they're going to let third party
[01:18:19.620 --> 01:18:21.620]   like nexus. Yeah
[01:18:21.620 --> 01:18:24.020]   As a reference, right? Yeah. Yeah
[01:18:24.020 --> 01:18:26.900]   What do you think vr?
[01:18:26.900 --> 01:18:31.140]   I mean, let's I'll ask you Jason how because you're the all about android guy. What do you think?
[01:18:31.140 --> 01:18:33.780]   Well, I mean I was really curious
[01:18:33.780 --> 01:18:39.700]   We had heard a lot leading up to it that there was the possibility of vr being built into the operating system
[01:18:39.700 --> 01:18:43.140]   And in my mind I was trying to kind of figure out like what does that look like?
[01:18:43.140 --> 01:18:47.540]   What what does it look like when you've got a mobile os that works in different form factors
[01:18:47.540 --> 01:18:52.820]   But now you're going to into a completely different world almost quite literally and I like what I see
[01:18:52.820 --> 01:18:56.260]   I mean it definitely seems like yes, it's an it's android
[01:18:56.260 --> 01:19:02.340]   For vr, but it's really you know, it's it's not android in the sense that it does every single thing that android does
[01:19:02.340 --> 01:19:06.100]   It's very tailored for the specific things, you know the apps the game
[01:19:06.100 --> 01:19:08.500]   This looks a little bit like android tv frankly
[01:19:08.500 --> 01:19:12.340]   The interface except it's three three dimensional right?
[01:19:12.340 --> 01:19:16.020]   Uh, i'm excited to play around with it and and see you know
[01:19:16.980 --> 01:19:19.460]   I don't know what kind of traction it can get it
[01:19:19.460 --> 01:19:23.220]   I think it's kind of a kind of an interesting thing to think about building
[01:19:23.220 --> 01:19:28.660]   Something like this into the core operating system. Yeah, I don't I didn't read it that way
[01:19:28.660 --> 01:19:29.940]   I mean
[01:19:29.940 --> 01:19:33.380]   Would it surface on a phone? Would you somehow see some sort of vr?
[01:19:33.380 --> 01:19:41.620]   Or is it just that the operating system has this capability? I don't yeah, no, no, no, it's it's definitely more of that but um
[01:19:41.620 --> 01:19:44.820]   I know i'm interested to see i also think that
[01:19:45.460 --> 01:19:48.820]   I like the way they're going about the kind of reference design
[01:19:48.820 --> 01:19:52.820]   Approach they're allowing you they're basically giving this reference design to
[01:19:52.820 --> 01:19:59.060]   Everyone have it to have access to and create compatible, you know daydream ready as they say
[01:19:59.060 --> 01:20:01.460]   uh hardware so that um
[01:20:01.460 --> 01:20:06.580]   You know the phones can kind of work with this right out of the gate. I'm excited to play around with all the stuff
[01:20:06.580 --> 01:20:09.460]   I saw today this one seemed like the most me too
[01:20:09.460 --> 01:20:14.340]   We don't really have anything original here. This is just gear vr basically
[01:20:14.900 --> 01:20:16.900]   Mm-hmm
[01:20:16.900 --> 01:20:19.860]   Anybody want to argue with me really enjoyed
[01:20:19.860 --> 01:20:22.740]   That's speaking listen about
[01:20:22.740 --> 01:20:31.700]   Well, no, I was just gonna say I do think that there's got to be some plumbing to get the latency to work really well because historically people have complained about
[01:20:31.700 --> 01:20:35.860]   You know like audio apps on iOS versus android and I know they don't want to work to try to
[01:20:35.860 --> 01:20:39.460]   Vulcan level library that right yeah make that more professional
[01:20:39.700 --> 01:20:45.860]   Uh, so I you know the fact that there's more in the substrate of android that now makes things
[01:20:45.860 --> 01:20:51.460]   You know that you can count on okay. You'll have this minimum frame rate or this this minimum latency sort of thing
[01:20:51.460 --> 01:20:56.340]   I think that is good because it gets everybody on the same page. So that should help a little bit
[01:20:56.340 --> 01:21:05.060]   Um, yeah, I mean the way sam's on handled that is by saying you have to have a sam's on phone a galaxy s6 or s7 or a galaxy no
[01:21:05.860 --> 01:21:08.980]   I mean vr is happening and it's it's it's everywhere
[01:21:08.980 --> 01:21:14.420]   This is not that this is more like cardboard or a galaxy gear vr than it is like an oculus rifter of five
[01:21:14.420 --> 01:21:15.860]   but
[01:21:15.860 --> 01:21:18.180]   It just feels like a meat it feels like yeah, we got that too
[01:21:18.180 --> 01:21:21.620]   But wait, well wait after aloe home
[01:21:21.620 --> 01:21:24.580]   Yeah, it was all about that
[01:21:24.580 --> 01:21:26.580]   You think that day dream was the biggest
[01:21:26.580 --> 01:21:31.620]   Aloe had some really cool neat new features same with google home
[01:21:32.340 --> 01:21:35.860]   This doesn't have any this is not anything new in my opinion
[01:21:35.860 --> 01:21:39.060]   It just it looks exactly like every other lobby and every other vr
[01:21:39.060 --> 01:21:41.700]   I think it's no I think it's the back end of the i think it's the developers conference
[01:21:41.700 --> 01:21:44.500]   And what they're trying to do is get people to develop to vr to vr
[01:21:44.500 --> 01:21:50.660]   And they tried to say we're improving the functionality to that end. I don't think it was a consumer facing right
[01:21:50.660 --> 01:21:54.020]   We're gonna build in libraries so you can do a better job with vr
[01:21:54.020 --> 01:21:55.060]   Oh
[01:21:55.060 --> 01:21:57.060]   There so one thing that's interesting to me is
[01:21:57.620 --> 01:22:03.220]   There's a lot of people who have gone from example from google for work or google apps that area over to google vr
[01:22:03.220 --> 01:22:09.780]   And and the cloud enterprise area of google where they're trying to do these really great things is you know is a pretty interesting area
[01:22:09.780 --> 01:22:12.980]   So to have these people go from there to google vr
[01:22:12.980 --> 01:22:15.540]   Just as an outsider that would make me think okay
[01:22:15.540 --> 01:22:19.940]   What do they know or what what's interesting to them as opposed to a me too kind of product
[01:22:19.940 --> 01:22:21.060]   Now I think
[01:22:21.060 --> 01:22:25.060]   You know it still remains to be seen when experiences start to show up and hardware starts to show up
[01:22:25.060 --> 01:22:28.180]   But that that's one thing that goes a little bit towards okay
[01:22:28.180 --> 01:22:34.260]   Well, you know presumably these very smart people who were in charge of lots of people and had a lot of responsibility and did important interesting things
[01:22:34.260 --> 01:22:41.620]   They see something or or they're interested in you know, they see a potential there. That's not just a me too product
[01:22:41.620 --> 01:22:46.500]   Well, you know, we'll find out certainly google gets points for you know
[01:22:46.500 --> 01:22:50.260]   The cardboard is two years old it came out two years ago
[01:22:50.660 --> 01:22:55.220]   So they get points for really bringing the low-cost vr really before anybody else
[01:22:55.220 --> 01:22:57.940]   By the way, that was the coolest giveaway ever
[01:22:57.940 --> 01:22:59.940]   Absolutely and was the cheapest
[01:22:59.940 --> 01:23:02.820]   And it was just like oh yeah, here's the thing
[01:23:02.820 --> 01:23:09.140]   I mean real afterthought. Yeah, it was really an afterthought. Yeah, okay. I agree with you
[01:23:09.140 --> 01:23:14.820]   Remains to be seen what what i've seen so far is is more like a a checkbox
[01:23:14.820 --> 01:23:18.820]   A checkmark in a box of features than anything else
[01:23:18.820 --> 01:23:25.220]   Yeah, we got all these companies are saying is that vr matters to us. Yeah, everybody's in agreement there for they are google has some major
[01:23:25.220 --> 01:23:28.420]   Horsepower. I mean they've got some big shots in the vr department
[01:23:28.420 --> 01:23:31.060]   So and they have a big investment in magic leap
[01:23:31.060 --> 01:23:36.980]   My best guess is this isn't the endgame at all not even close to it
[01:23:36.980 --> 01:23:42.420]   And uh, and when they really go into it, it's going to be more like an augmented reality
[01:23:42.420 --> 01:23:48.020]   Uh thing and there'll be something much more significant there with a magic leap kind of thing, but yeah
[01:23:48.820 --> 01:23:53.460]   And just to add one more data point so john wily who was a big designer in the search area
[01:23:53.460 --> 01:23:57.220]   He has also gone over to the r so presumably it puts some horses in there
[01:23:57.220 --> 01:24:03.220]   Right, so we'll I think you're right leo and we'll have to see as time as time goes on how that how that works out
[01:24:03.220 --> 01:24:09.380]   There was other news in the world now swamped by google i.o. Motorola has apparently killed the moto x
[01:24:09.380 --> 01:24:12.260]   It's going to be the moto g
[01:24:12.260 --> 01:24:14.100]   for
[01:24:14.100 --> 01:24:18.500]   G for play and g for plus you talked about this last night. I know
[01:24:18.500 --> 01:24:20.900]   Jason how
[01:24:20.900 --> 01:24:24.500]   Yeah, three different devices kind of I don't know what happened
[01:24:24.500 --> 01:24:29.060]   Odo x necessarily we've heard a little bit that they might actually come out with a moto
[01:24:29.060 --> 01:24:33.940]   Z like the x to z even though sony went from the z to the anyways
[01:24:33.940 --> 01:24:36.980]   Um, everybody's playing musical chairs with letters right now
[01:24:36.980 --> 01:24:39.780]   Uh, but yeah three three different moto g
[01:24:40.580 --> 01:24:44.980]   Devices kind of different scaled, you know for for different price points the play edition
[01:24:44.980 --> 01:24:52.340]   I think isn't even available quite yet. It's the it's all for india and china as far as I can tell they haven't or i'm sorry
[01:24:52.340 --> 01:24:54.340]   South america and uh, india
[01:24:54.340 --> 01:25:00.820]   It really seems like uh like the moto g play is is essentially the moto e but now the moto
[01:25:00.820 --> 01:25:07.860]   These are inexpensive and we really like the g i like the g a lot. I was a very impressive for a phone for 200 bucks
[01:25:08.500 --> 01:25:11.620]   Um, I know it feels like remember linovo now owns them
[01:25:11.620 --> 01:25:15.460]   And it may be that linovo's decided that we're going to go after the low end of the market
[01:25:15.460 --> 01:25:19.540]   We're going to let we're going to let sam sung lg and google fight it out at the high end
[01:25:19.540 --> 01:25:24.100]   And htc can't forget that nice htc one
[01:25:24.100 --> 01:25:26.820]   Uh other stories
[01:25:26.820 --> 01:25:32.500]   Oh what I can't hear you mad at that's talking go ahead matt
[01:25:32.500 --> 01:25:37.620]   Oh, I was just going to say speaking of crazy hardware. I don't know if you guys saw some non. Io news
[01:25:37.620 --> 01:25:41.620]   But some form of g formal google engineers former google engineers
[01:25:41.620 --> 01:25:51.060]   Uh who are doing auto which is self-driving for trucks auto 8 o t o for truck 18 wheelers. Yeah, that was kind of interesting
[01:25:51.060 --> 01:25:54.660]   Yeah, I thought that was very uh interesting. We can see if we could pull up a
[01:25:54.660 --> 01:26:00.820]   Yeah, the story there very very cool there because they're not really focused on new big rigs
[01:26:00.820 --> 01:26:02.900]   It's all about kind of retrofitting
[01:26:02.900 --> 01:26:06.740]   Into your existing big rig the self-driving smarts
[01:26:07.220 --> 01:26:09.060]   and uh
[01:26:09.060 --> 01:26:15.860]   And long term basically making it so that drivers of these these rigs can you know go ahead and sleep in the cab
[01:26:15.860 --> 01:26:19.140]   We got this we'll we'll continue driving. Oh, that scares that a lot of me
[01:26:19.140 --> 01:26:23.460]   Well use you take a rest because you need to rest buddy. So we got this
[01:26:23.460 --> 01:26:26.180]   Okay
[01:26:26.180 --> 01:26:28.500]   There goes auto
[01:26:28.500 --> 01:26:31.780]   If you think if you don't think it's scary to see a 13 ton vehicle
[01:26:31.780 --> 01:26:34.500]   Sparing down on you and nobody at the wheel
[01:26:35.540 --> 01:26:37.540]   Sounds like a steven king novel actually
[01:26:37.540 --> 01:26:40.100]   Nobody to give the finger to
[01:26:40.100 --> 01:26:50.180]   Well
[01:26:50.180 --> 01:26:56.500]   Being on the road and looking into the cab of the big wig so big rig and realizing there's no one there
[01:26:56.500 --> 01:27:00.740]   Yet you're driving right next to or in front of it. That would be kind of frightening
[01:27:02.660 --> 01:27:07.860]   Yes, and it's so funded apparently all the they can see funds. They're just like, okay
[01:27:07.860 --> 01:27:11.460]   We've earned enough money from our various, you know encounters
[01:27:11.460 --> 01:27:18.100]   We're gonna we're gonna do it ourselves and that's the ultimate, you know liberty and independence when you don't need to worry about what a vc guy says so
[01:27:18.100 --> 01:27:19.700]   Yeah
[01:27:19.700 --> 01:27:25.380]   You know they're crazy your ideas. I mean this is this is one of the probably this great niche in this
[01:27:25.380 --> 01:27:29.380]   autonomous vehicle thing and probably the first place you'll see autonomous vehicles
[01:27:29.860 --> 01:27:35.380]   Is economic savings there are incredible, but I don't want to I don't want to go against the t-pishers, man
[01:27:35.380 --> 01:27:45.060]   Next yes, you can now add links and photos to your twitter and it won't count against your 140 characters
[01:27:45.060 --> 01:27:54.660]   Wait wait for five years for this. Hi. Yeah, it's pretty funny. Don't be
[01:27:55.780 --> 01:28:01.380]   Go ahead. Oh, I was just gonna say immediately somebody was like so then in other words, you can just add infinite links
[01:28:01.380 --> 01:28:08.500]   One forever and spam twitter with pictures and so maybe they'll say the first link or the first picture doesn't count against you
[01:28:08.500 --> 01:28:15.300]   It doesn't yeah doesn't solve the canoe problem though. I they should not make at replies count either. That's that should be free
[01:28:15.300 --> 01:28:18.260]   Handles should be free
[01:28:18.260 --> 01:28:24.420]   Don't be this guy dad streams wife's birth on facebook live without telling her
[01:28:24.900 --> 01:28:26.900]   So
[01:28:26.900 --> 01:28:32.580]   Apparently what this is I'm looking at it actually a little bit because we're gonna talk about it a little bit on TNT here in a few
[01:28:32.580 --> 01:28:38.740]   Is that he knew that he was recording or sharing it to his family and friends?
[01:28:38.740 --> 01:28:42.020]   He didn't realize that he was broadcasting it out to facebook live
[01:28:42.020 --> 01:28:48.820]   So apparently there's some confusion there on what it means to live stream when you think you're live streaming to a group
[01:28:49.380 --> 01:28:56.180]   Versus the biggest group of the world, which is everybody the videos now been viewed more than 100,000 times
[01:28:56.180 --> 01:29:03.140]   And his wife Sarah said she definitely did not realize it at the time. She was occupied so
[01:29:03.140 --> 01:29:07.460]   Yes, she said she did however realize it afterwards
[01:29:07.460 --> 01:29:11.620]   Good news eight pound healthy baby boy
[01:29:11.620 --> 01:29:17.540]   And uh, she she was more mad about getting pregnant than she was about the video. I think she said
[01:29:18.020 --> 01:29:19.540]   It's
[01:29:19.540 --> 01:29:22.820]   Named named zuck zuck named the baby zuck
[01:29:22.820 --> 01:29:26.100]   How not to be a supportive partner in that
[01:29:26.100 --> 01:29:28.740]   Well
[01:29:28.740 --> 01:29:34.580]   Just crazy. You didn't know right facebook did release of I thought a very sweet
[01:29:34.580 --> 01:29:38.580]   360 degree film made at grand central station
[01:29:38.580 --> 01:29:44.420]   Using the first one using their 30,000 dollar surround 360 camera
[01:29:44.900 --> 01:29:50.420]   Uh, it's it's pretty cool. Uh, I wonder though. How much of it is staged and how much of it is real because
[01:29:50.420 --> 01:29:55.380]   Um, you see families kissing each other good by I mean, it's it's really kind of neat
[01:29:55.380 --> 01:29:58.100]   Um like this guy
[01:29:58.100 --> 01:30:02.020]   I have to think this guy's not really looking at anything
[01:30:02.020 --> 01:30:07.940]   Um, there's there's a later. Yeah, this it feels like a lot of this was actors, right?
[01:30:07.940 --> 01:30:14.500]   Yeah, I mean when you watch it, you know, you're you're kind of looking around and then suddenly you hear a voice come in
[01:30:15.220 --> 01:30:19.620]   From from a different direction you turn around and what do you know? They're standing perfectly
[01:30:19.620 --> 01:30:25.060]   Perfectness away from the camera having a total conversation about something that you connect with but it
[01:30:25.060 --> 01:30:29.380]   It moves away, but it's still very cool. It kind of shows you though the potential for
[01:30:29.380 --> 01:30:37.460]   Drama right here's the family. They're gonna say these are clearly actors. They're gonna say goodbye to each other and it's it kind of beautiful moment
[01:30:37.460 --> 01:30:44.260]   Um, but it gives you the it's some idea of what this could be if you were trying to do a movie a theater
[01:30:44.260 --> 01:30:49.300]   You know, this is not the New York. I know. Yeah, this doesn't happen. Great. Where's the bums?
[01:30:49.300 --> 01:30:54.580]   Yeah, you know, my parents who's dropped me off outside and be like get back. Yeah, get in. Yeah, go go to school. Look at this
[01:30:54.580 --> 01:31:00.820]   Now honey. I want you to stay away from those bad men with the funny cigarettes. Okay, mom
[01:31:00.820 --> 01:31:05.780]   Anyway, you know, there's there's a lot of overacting going on there
[01:31:05.780 --> 01:31:09.060]   There was a person taking a picture of the camera that seemed real
[01:31:09.060 --> 01:31:13.460]   Seemed real exactly. Uh, this guy we think that's real
[01:31:13.940 --> 01:31:18.420]   Yeah, that's real. No, I don't think it is. I honestly think this is all staged
[01:31:18.420 --> 01:31:24.100]   Uh, here's a guy with a go pro walking around taking pictures of people without their knowledge
[01:31:24.100 --> 01:31:27.140]   There's a woman giving birth on facebook live
[01:31:27.140 --> 01:31:29.860]   It's it's all here
[01:31:29.860 --> 01:31:34.660]   The apple store. Can you zoom in on the apple store? Uh, is that what's up there? We're it was
[01:31:34.660 --> 01:31:38.740]   The apple store. Yeah. Yeah, that's the apple store. I don't know if I have the zooming
[01:31:39.780 --> 01:31:43.940]   Zooming. Can you look at the ceiling? Yeah, can you look at the ceiling? You know, it's it's beautiful
[01:31:43.940 --> 01:31:47.460]   And a lot of people don't know that constellations are up there. So you should really uh
[01:31:47.460 --> 01:31:53.460]   Yeah, I'm getting nauseous. You should look up there. It's kind of pretty. I love grand central station
[01:31:53.460 --> 01:31:59.220]   Oh, it's gorgeous. There's the actual troops protecting it with their automatic weapons
[01:31:59.220 --> 01:32:02.340]   Um, yeah, I feel like some of this is real
[01:32:02.340 --> 01:32:05.700]   Some of it not
[01:32:05.700 --> 01:32:08.660]   Anyway, it's when we all become extras
[01:32:09.060 --> 01:32:11.540]   We're all extras in mark zuckerburg's uh life
[01:32:11.540 --> 01:32:14.740]   All the world's the stage and world sectors in it. Yeah
[01:32:14.740 --> 01:32:22.020]   Yep, man also undergoes a live cosmetic surgery on facebook. This facebook live thing is completely out of control
[01:32:22.020 --> 01:32:23.220]   Yes
[01:32:23.220 --> 01:32:26.740]   I just want to say and we're not going to show that video. Don't worry
[01:32:26.740 --> 01:32:32.740]   It's like it's periscope, right? But on facebook. Oh, but it's but it brings a social layer. That's the thing
[01:32:32.740 --> 01:32:36.340]   Yeah, no, you know, hundred thousand people saw that birth. I mean
[01:32:36.340 --> 01:32:38.340]   I
[01:32:38.340 --> 01:32:41.300]   Were the comments
[01:32:41.300 --> 01:32:49.460]   I think the comments were locked into the family and friends that were watching so the comments were super positive like you got this
[01:32:49.460 --> 01:32:53.220]   You're doing it. You're doing it girl. You go girl. Breathe
[01:32:53.220 --> 01:32:56.420]   Breathe
[01:32:56.420 --> 01:32:57.780]   I may I
[01:32:57.780 --> 01:33:01.620]   Went my wife showing our family. She would never really gone for that either. No
[01:33:01.620 --> 01:33:05.220]   No, no, I was told explicitly no cameras
[01:33:05.860 --> 01:33:08.260]   Uh, no, she knew my wife knew I
[01:33:08.260 --> 01:33:11.460]   It's definitely a conversation you have before the event
[01:33:11.460 --> 01:33:14.020]   You didn't know just decide on
[01:33:14.020 --> 01:33:16.180]   I don't even have to go to live stream to my friends family
[01:33:16.180 --> 01:33:19.620]   It's uh, so it's honey. I live stream the kids
[01:33:19.620 --> 01:33:24.500]   Showtiles
[01:33:24.500 --> 01:33:30.260]   Let's take a break. We'll get picks tips numbers anything you guys want to share as we wrap this up our
[01:33:30.900 --> 01:33:35.140]   It's very special this week in google partly because it's on google. Io day
[01:33:35.140 --> 01:33:38.980]   But mostly because of the great panel we have here Jason howl from tnt
[01:33:38.980 --> 01:33:41.700]   We don't usually get you on the show and i'm thrilled to have you
