;FFMETADATA1
title=More Burritoshot than Moonshot
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=378
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.400]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin is in studio with us
[01:08:09.580 --> 01:08:13.900]   Maybe it can they're but it doesn't seem fair to have a computer play a computer game. No, it's like
[01:08:13.900 --> 01:08:19.420]   That's like having a frenchman speak for it. I had a lot of that. Yeah, I think yeah
[01:08:19.420 --> 01:08:25.900]   I always hated it when the when the french kids took the french classes right with you right in college
[01:08:25.900 --> 01:08:29.660]   I took chinese like with all these chinese kids. They said, you know chinese
[01:08:29.820 --> 01:08:36.460]   That's not fair. I would that's what that happened to me at at ucla. I I took japanese for three years
[01:08:36.460 --> 01:08:44.380]   And in the first year everything was great, but but as we got closer to the three-year period everyone else in the class was japanese american went to japanese school
[01:08:44.380 --> 01:08:45.660]   It's like
[01:08:45.660 --> 01:08:46.860]   It's not fair. It's not fair
[01:08:46.860 --> 01:08:52.300]   But and it was also not fair when watson was clobbering everybody on jeopardy because watson didn't have to be a base
[01:08:52.300 --> 01:08:57.260]   Well watson didn't have to press the buzzer, you know, I mean there wasn't a reflex component to watson's
[01:08:58.620 --> 01:09:04.220]   Yeah, that's a big part of jeopardy. Yeah, in fact, I remember uh ken jennings the jeopardy champion saying really you should assume
[01:09:04.220 --> 01:09:08.460]   Everybody knows the answer to every question. Yeah, it's not about the questions and answers on jeopardy. It's about
[01:09:08.460 --> 01:09:11.660]   Press the button right yes at the right time
[01:09:11.660 --> 01:09:18.300]   I never use this, but this is another dying google features google showtimes. Did you ever use that?
[01:09:18.300 --> 01:09:19.900]   Never
[01:09:19.900 --> 01:09:23.420]   No, only a search it would come up with short times. I've used that
[01:09:23.420 --> 01:09:24.700]   Uh
[01:09:24.700 --> 01:09:30.300]   But I never used I never used the separate service that yeah, so you can do it in search so they don't need a separate
[01:09:30.300 --> 01:09:34.780]   Stand-alone movie site shut down on november 1st. Thanks for stopping by
[01:09:34.780 --> 01:09:42.540]   It was discontinued. How do we feel about the google's growing reputation as a company that you can't
[01:09:42.540 --> 01:09:46.860]   Can't trust you can't trust because they may or may not cancel anything right
[01:09:46.860 --> 01:09:53.740]   Is it is this a an existential problem for google? I think it is. I've said this for a while. It's uh, yeah
[01:09:54.460 --> 01:09:56.220]   absolute uh
[01:09:56.220 --> 01:10:02.620]   Feeling I think among people that well don't get too involved in anything with google because it's gonna break up with you any minute
[01:10:02.620 --> 01:10:08.540]   They came out with aloe and everybody was saying yeah, you know, it's like they're gonna cancel this in like a year or so
[01:10:08.540 --> 01:10:11.500]   I was talking about aloe on windows weekly earlier
[01:10:11.500 --> 01:10:16.620]   And paul throt and I we're talking about the various the effect that on android you could use third-party mess
[01:10:16.620 --> 01:10:21.180]   You could use like for instance. I use facebook messenger as well as sms messenger and I
[01:10:21.820 --> 01:10:27.660]   Said but you can't use aloe google's own messaging product cannot be used as its main messenger, right?
[01:10:27.660 --> 01:10:34.140]   You know, it's so infuriating if google imagine if google had
[01:10:34.140 --> 01:10:40.860]   Any kind of vision what they would do is they would come out with a product and they would say it's called google messenger
[01:10:40.860 --> 01:10:45.580]   We will never discontinue this product no matter what we've guaranteed that for 20 years at least
[01:10:46.060 --> 01:10:52.940]   We will support this product going forward and have no other messaging product and in that product you have third-party integration bots the assistant
[01:10:52.940 --> 01:10:57.180]   You could have sms native support everyone would use it
[01:10:57.180 --> 01:11:03.580]   But no they have nobody even knows what their messaging strategy is or what their apps are still going and well
[01:11:03.580 --> 01:11:08.940]   I had google voice but now now I have google phy and that what does that mean for voice and how do I delete?
[01:11:08.940 --> 01:11:11.100]   It's like nobody knows what's going on
[01:11:11.100 --> 01:11:13.500]   and and it's like they're just they're just
[01:11:14.140 --> 01:11:18.060]   Bumbling their way to not being involved in the messenger movement
[01:11:18.060 --> 01:11:23.660]   It's too bad because this is as apple has shown a big deal. Yes. Yeah
[01:11:23.660 --> 01:11:31.500]   YouTube this is the according to the the verge
[01:11:31.500 --> 01:11:38.700]   YouTube read which is that yeah ad-free version of youtube as of late summer
[01:11:39.900 --> 01:11:44.060]   Only has one and a half million paying subscribers and i'm one of them
[01:11:44.060 --> 01:11:49.980]   But I don't ever watch anything. I get you get you get the audio with red right you get some other things with red
[01:11:49.980 --> 01:11:56.620]   But i've got to cancel it you can like download the music. Yes. Yes you get you get the subscription to their music service
[01:11:56.620 --> 01:12:01.740]   Well, don't don't you get that with the music service? Yeah, so i'm wondering if that's including people who subscribe
[01:12:01.740 --> 01:12:05.980]   That direction music service because that's what I do I subscribe to google
[01:12:05.980 --> 01:12:10.300]   I don't think access music or what do they call it google play music now and I get youtube red
[01:12:10.300 --> 01:12:12.700]   Are they counting me in that one and a half?
[01:12:12.700 --> 01:12:15.660]   I guess if that's the case that's terrible
[01:12:15.660 --> 01:12:19.820]   I think this number isn't meaningful because uh
[01:12:19.820 --> 01:12:23.580]   There are more there must be more than one and a half million subscribers
[01:12:23.580 --> 01:12:28.540]   Because i'm sure google's play music has more than one and a half and subscribers
[01:12:28.540 --> 01:12:33.820]   What does that mean for ad-free youtube people aren't willing to pay for ad-free youtube?
[01:12:33.820 --> 01:12:35.820]   I
[01:12:35.820 --> 01:12:41.420]   Because you're not you're not watching anything. It's you know wildly amazing. I really care
[01:12:41.420 --> 01:12:44.060]   Yeah, sorry. Yes, it's really bad. Yeah
[01:12:44.060 --> 01:12:52.460]   Uh coming in thanksgiving a nine episode virtual reality tv show from the nfl
[01:12:52.460 --> 01:12:55.660]   on google daydream
[01:12:55.660 --> 01:12:59.180]   Uh now
[01:12:59.180 --> 01:13:03.100]   It's my sense that daydream view is just like cardboard right? I
[01:13:03.100 --> 01:13:06.940]   It's I could watch out to somebody who used have you used it? No
[01:13:06.940 --> 01:13:10.700]   I talked to somebody who did and I don't know what's the difference
[01:13:10.700 --> 01:13:14.140]   That's the main actually that's the main reason to hold on to the phone is so I can use daydream
[01:13:14.140 --> 01:13:15.420]   Yeah
[01:13:15.420 --> 01:13:18.620]   Right because yeah, don't you have to have a pixel to use daydream? Uh
[01:13:18.620 --> 01:13:21.820]   That's another question. I don't know do you
[01:13:21.820 --> 01:13:25.660]   Uh, but they said you need a smartphone. I don't know if it works with others
[01:13:25.660 --> 01:13:28.220]   You have because you also have the um remote
[01:13:28.220 --> 01:13:30.300]   the
[01:13:30.300 --> 01:13:34.780]   The ui device on it. Um, they thought it was amazing and different
[01:13:34.780 --> 01:13:37.980]   But I didn't get a chance to really quiz them about their experience well other things
[01:13:37.980 --> 01:13:42.780]   Let me look go to store. Googled because maybe I should just they're not very expensive
[01:13:42.780 --> 01:13:47.180]   But I just thought well if it's well if you know if you want a pixel you should get it for free really
[01:13:47.180 --> 01:13:49.820]   Yeah, you're supposed to get a um
[01:13:49.820 --> 01:13:54.380]   Frustrated sometime in november you're supposed to get a code get it for free
[01:13:54.380 --> 01:13:59.020]   Well, I want to get it, you know, whatever else gets it. I want to wait so it's another thing. Maybe grumpy
[01:13:59.340 --> 01:14:04.380]   They're gonna email me or something. Yeah, let's see does good does the pixel
[01:14:04.380 --> 01:14:07.820]   J dream require the pixel
[01:14:07.820 --> 01:14:10.860]   I mean it's gonna say that on the site, right?
[01:14:10.860 --> 01:14:14.860]   I don't think so. Oh a daydream ready phone such as pixel
[01:14:14.860 --> 01:14:21.580]   But what other daydream ready phones are? I don't know they're vague about that so presumably other companies will do that
[01:14:21.580 --> 01:14:26.220]   And then right under it when they they say see more like this and it's the 15 dollar google cardboard
[01:14:27.580 --> 01:14:29.580]   So but there's there's okay
[01:14:29.580 --> 01:14:32.860]   So there's some hardware improvements specific
[01:14:32.860 --> 01:14:37.020]   to down dream blue tooth le for two le
[01:14:37.020 --> 01:14:41.100]   You have to have a display between 4.7 and 6 inches
[01:14:41.100 --> 01:14:48.060]   resolution 1080p at 60 hertz so I could use it with my pixel my little I have the baby pixel
[01:14:48.060 --> 01:14:51.420]   Does anybody else hate the fact that it's fabric
[01:14:51.420 --> 01:14:53.340]   Yes
[01:14:53.340 --> 01:14:57.500]   Well, that makes a little bit of dollars. It's uh, just is it real fabric or is it
[01:14:57.900 --> 01:15:03.260]   fake phony fabric? It's just it's it's I just I'm repelled by the material. It's really
[01:15:03.260 --> 01:15:10.220]   Well, but the problem is the problem with the cardboard of course was you got grease on it, right?
[01:15:10.220 --> 01:15:15.660]   Right, but with this you have grease that is like just sort of absorbed in the material. Hmm. Oh really?
[01:15:15.660 --> 01:15:21.580]   Um, I mean it's like I just I don't like it. It is. Oh, I tell you I don't like it
[01:15:21.580 --> 01:15:26.060]   I can't remember if we talked about facebook's results
[01:15:26.860 --> 01:15:30.060]   I think not I think they came in after the show yesterday
[01:15:30.060 --> 01:15:35.020]   Well, no, we did we did talk to the results. Yeah, okay
[01:15:35.020 --> 01:15:37.660]   Um
[01:15:37.660 --> 01:15:43.260]   I'm just looking for other stories. Make sure we cover everything. Oh, so so I had a brush with fame
[01:15:43.260 --> 01:15:48.220]   I should tell you about a brush with fame a brush with fame, but jeff you are famous. Oh, no
[01:15:48.220 --> 01:15:50.780]   That would be self-brushing
[01:15:50.780 --> 01:15:55.500]   I uh, when when the the I'm not trying to get back to the politics, but when the combi
[01:15:56.460 --> 01:15:58.460]   Scandal was out
[01:15:58.460 --> 01:16:02.700]   Uh, and and they had six day to analyze 650,000 emails from, um
[01:16:02.700 --> 01:16:05.500]   The perverts laptop as they said in the ads
[01:16:05.500 --> 01:16:07.500]   Uh
[01:16:07.500 --> 01:16:13.420]   Baby, you know how much time is it gonna take us all difficult and flin the military intelligence advisor to trump said
[01:16:13.420 --> 01:16:17.340]   Uh, they couldn't possibly do this in a week and kelly con congress, huh?
[01:16:17.340 --> 01:16:19.820]   So I just went on twitter and I said, hey snowed
[01:16:19.820 --> 01:16:25.420]   Uh, how well we're taking nsa to d do 650,000 emails
[01:16:25.500 --> 01:16:30.460]   And boom he came back in an instant and said well get rid of the um
[01:16:30.460 --> 01:16:34.860]   Uh, the un responded to bbc and so on fields
[01:16:34.860 --> 01:16:38.780]   Uh hash them compare take out only the difs
[01:16:38.780 --> 01:16:42.140]   Uh old laptop minutes to ours. Yeah
[01:16:42.140 --> 01:16:47.100]   No, that was not that picked up. It was never a question. Yeah, no, but I was really happy
[01:16:47.100 --> 01:16:51.500]   I was trying to make a point and snowed and responded. I mean people were writing articles about it
[01:16:51.500 --> 01:16:54.380]   Yeah, they did which is ridiculous. That's all it takes pretty cool
[01:16:54.860 --> 01:16:56.860]   So what he characters you get an article right?
[01:16:56.860 --> 01:17:02.540]   Well, that's trump's that that was the thing trump discovered you could turn it and the world would turn his tweets into articles. Yeah
[01:17:02.540 --> 01:17:10.460]   So before we move on from the google world. Yes, I wanted to mention a little startup
[01:17:10.460 --> 01:17:14.940]   Which inspired me a lot because it inspired a column and a podcast
[01:17:14.940 --> 01:17:18.700]   These it's a it's a new category of
[01:17:18.700 --> 01:17:23.580]   Smart glasses that I call invisible smart glasses the company i'm talking about is called view
[01:17:23.660 --> 01:17:26.380]   They only have four employees. It's a totally tiny startup
[01:17:26.380 --> 01:17:30.220]   But they make smart glasses that have that you can't tell are smart glasses
[01:17:30.220 --> 01:17:33.420]   They're just regular prescription glasses and regular sunglasses
[01:17:33.420 --> 01:17:36.300]   And the way they say is a kickstarter
[01:17:36.300 --> 01:17:39.660]   They they have a very successful kickstarter. Oh, yeah, no kidding
[01:17:39.660 --> 01:17:43.900]   Yeah, and so they they said they're on their official target was smart class
[01:17:43.900 --> 01:17:47.820]   Their unofficial target was 500k and they exceeded 500k already
[01:17:47.820 --> 01:17:53.580]   Uh with 30 days. So here's a dark wearing google glass. Yeah, and you're VR
[01:17:53.820 --> 01:17:54.700]   Yep
[01:17:54.700 --> 01:18:01.420]   Uh and the pizza guy's going skeptical. Yeah, I'm not talking to you buddy. So these are the so that's a touch screen on the side
[01:18:01.420 --> 01:18:03.340]   So they they have
[01:18:03.340 --> 01:18:07.580]   Bone conduction audio and a patent pending bone conduction audio on both sides
[01:18:07.580 --> 01:18:12.220]   So you have speakers you hear they're speakers so you can hear there's a blinking light and inside
[01:18:12.220 --> 01:18:16.620]   So the other people can't see the blinking light but you can detect it meaning you have notification
[01:18:16.620 --> 01:18:23.340]   Is a microphone that didn't the pixel the google thing use a bone conduction? Oh, yes, that's on one side
[01:18:23.500 --> 01:18:28.460]   Yeah, and so they also had earbuds that came down awkwardly that you plugged in it optionally
[01:18:28.460 --> 01:18:31.740]   But this has later. Yeah, this has bone conduction on both sides
[01:18:31.740 --> 01:18:39.580]   And they also claim that their their patents prevent noise leakage. So other people can't hear you hear better other people hear less good
[01:18:39.580 --> 01:18:46.620]   Where's the camera though? They can't there is no camera. There is no screen. Oh, and so so there's my content phones in my classes
[01:18:46.620 --> 01:18:48.940]   my contention is that
[01:18:48.940 --> 01:18:50.940]   everybody's going to go gaga for
[01:18:51.660 --> 01:18:57.020]   Artificially intelligent virtual assistants the future versions of google assistant the future version of series
[01:18:57.020 --> 01:19:03.580]   Etc, but it's going to be so compelling I believe is an interface that we're going to want to have them all the time
[01:19:03.580 --> 01:19:08.940]   Now people are saying well, we're going to have herables, but you can't really have earbuds in your ear all day long
[01:19:08.940 --> 01:19:15.180]   What is on the other hand what about apples earbuds? You're going to wear your prescription glasses all day no matter what
[01:19:15.180 --> 01:19:18.060]   Right, and so I think this is the future of smart glasses
[01:19:18.220 --> 01:19:21.660]   I think when you go to the optometrist office in three years or five years
[01:19:21.660 --> 01:19:25.100]   You're gonna you want it's gonna be one of the options you want this frame that frame
[01:19:25.100 --> 01:19:27.580]   Do you want smart dumb glasses? What do you want? You want smart glasses? Okay?
[01:19:27.580 --> 01:19:32.220]   And it's just gonna be a normal thing. I think how do you choose? Do you have to go through our audio menu?
[01:19:32.220 --> 01:19:37.740]   They're gonna have a they're gonna have a website where you go. Oh, I'm sorry choose options choose an option right it is
[01:19:37.740 --> 01:19:39.740]   There's plenty functions
[01:19:39.740 --> 01:19:42.140]   Yeah, they're gonna have a they're gonna have an API and stuff like that
[01:19:42.140 --> 01:19:47.580]   But out of the box right out of the box you answer phones by tapping the side and you can have the conversation through the glasses
[01:19:47.980 --> 01:19:52.620]   You get you have your conversations with Siri or google assistant or whatever through the classes
[01:19:52.620 --> 01:19:56.620]   So to a certain extent they're earbuds that don't go in your ears
[01:19:56.620 --> 01:19:59.580]   And and they have a microphone built in
[01:19:59.580 --> 01:20:05.100]   And but I think these are just ideal for virtual How much?
[01:20:05.100 --> 01:20:10.860]   Um, they're gonna be 279 in the kickstart of their 179. That's another benefit. They're super light
[01:20:10.860 --> 01:20:13.580]   you know, they're just they're just
[01:20:13.900 --> 01:20:17.820]   The the idea isn't view. I don't think honestly. I don't think view is going to be able to
[01:20:17.820 --> 01:20:23.180]   Be back the enormous competition. They should be getting from larger companies with when you know who's getting you know
[01:20:23.180 --> 01:20:25.180]   Who's really getting into this and in fact?
[01:20:25.180 --> 01:20:32.380]   We talked about on a twit on sunday snaps spectacles. Yeah. Yeah, and this is uh, this is a an instagram from mike murphy
[01:20:32.380 --> 01:20:36.380]   Yes showing snaps filters if you're using the spectacles
[01:20:36.380 --> 01:20:41.740]   So one of the things that's most popular in snapchat is those filters going the other way, right?
[01:20:41.740 --> 01:20:46.860]   Right, but he's showing robe me rainbow spewing clouds as he looks at the right
[01:20:46.860 --> 01:20:49.420]   They're gonna be $130
[01:20:49.420 --> 01:20:56.540]   And snap is doing I should call it snapchat the company's called snap snap chat snapchat is doing something interesting
[01:20:56.540 --> 01:21:02.140]   They are going to only offer these spectacles initially to people who are highest right? Yes snapchat
[01:21:02.140 --> 01:21:04.300]   They're gonna try to create demand through envy
[01:21:04.300 --> 01:21:08.220]   Which makes me want to start sharing everything I do on snapchat
[01:21:08.300 --> 01:21:13.100]   But they look ridiculous and they'll never take off in the market because nobody wants to look at walk around looking like
[01:21:13.100 --> 01:21:17.020]   No, no, they won't it's it's a it's a parlour trick in a novelty at this point
[01:21:17.020 --> 01:21:19.900]   They'll never be mainstream and you were right
[01:21:19.900 --> 01:21:23.660]   Yeah, you were right, but these are hip and sweeten
[01:21:23.660 --> 01:21:29.260]   Only until you actually have people are we and you can't wear them see this is the thing
[01:21:29.260 --> 01:21:35.500]   The doing snapchat and doing this stupid augmented reality pokemon stuff is not a compelling application
[01:21:36.540 --> 01:21:42.780]   Having an artificially intelligent AI all day guiding you informing you keeping you up to date giving you advice
[01:21:42.780 --> 01:21:50.060]   Doing things for you that is the interface that is the way we're going to interact primarily with computers in the future
[01:21:50.060 --> 01:21:52.460]   And we have to have a natural
[01:21:52.460 --> 01:21:56.300]   Socially acceptable way to to interact with our virtual assistants
[01:21:56.300 --> 01:22:01.580]   And it's not going to be having google home in every bathroom and every car dashboard and no
[01:22:01.580 --> 01:22:08.140]   We don't want microphones everywhere. We want to wear the microphone and glasses are the our device that we're already wearing
[01:22:08.140 --> 01:22:13.100]   Very you know, so I think I again. I don't know the view will be the company
[01:22:13.100 --> 01:22:17.660]   But that category of which there are a couple of other companies as well working on it
[01:22:17.660 --> 01:22:22.620]   I think this is the sleeper hit of the next two or three years
[01:22:22.620 --> 01:22:28.140]   That's where smart glasses are going to go mainstream. We're going to be interested. How do you spell view?
[01:22:29.180 --> 01:22:32.060]   viewy it's on kickstarter right now. Yeah
[01:22:32.060 --> 01:22:39.340]   The order code order pair Mike. I have not no too expensive for me and I wear contacts
[01:22:39.340 --> 01:22:41.420]   But you wear glasses every day. Yeah
[01:22:41.420 --> 01:22:48.780]   Adobe has demoed a new Photoshop for audio. This is kind of worrisome to me that lets you
[01:22:48.780 --> 01:22:53.420]   Edit audio edit speech as easily as text in other words
[01:22:53.420 --> 01:22:58.220]   You could put any words in anybody's mouth listens to you talk for a while
[01:22:58.860 --> 01:23:05.420]   And then after it masters how you speak and what your voice sounds like you can just type things and it will say in your voice
[01:23:05.420 --> 01:23:11.660]   Everything you type. So oh my yeah. Oh my oh, I thought it was just editing. Oh, this is huge because
[01:23:11.660 --> 01:23:16.780]   It means soon. I'll be able to take a day off right you'll never know well you can sit there
[01:23:16.780 --> 01:23:22.780]   You can sit there in your casper mattress just typing words. Yeah, I would be saying. Yeah, I like it
[01:23:22.780 --> 01:23:23.820]   Yeah
[01:23:23.820 --> 01:23:28.700]   I had that to a I and we have the Leo robot, right? You know what's funny though. That's exactly right
[01:23:28.700 --> 01:23:33.820]   I saw this technology demoed in micro at microsoft research lab in the 90s
[01:23:33.820 --> 01:23:34.620]   Oh wow
[01:23:34.620 --> 01:23:41.500]   They had this right they had Elvis and mare aluminuro talking and jfk and all this stuff and you could pick any celebrity voice and they said oh
[01:23:41.500 --> 01:23:44.060]   You know six months will be able to do your voice
[01:23:44.060 --> 01:23:46.620]   Never emerge from the lab. So
[01:23:46.620 --> 01:23:51.180]   Somebody in the chat ever said kids are going to use this that would get their mom's voice down and they'll have their mom
[01:23:51.420 --> 01:23:55.020]   Yeah, school and say yeah little little Johnny sick today
[01:23:55.020 --> 01:23:59.740]   You know when when I'm working on columns what I do is I find stories like that and I think well
[01:23:59.740 --> 01:24:02.460]   What is the bigger picture and I swear a little way in a folder?
[01:24:02.460 --> 01:24:05.740]   Yeah, and and this falls into the category and I'm going to be writing about this
[01:24:05.740 --> 01:24:09.900]   Hopefully soon of new technologies that help distort reality
[01:24:09.900 --> 01:24:16.460]   You know, there's another yeah technology being available to the general public where you can lie convincingly
[01:24:17.020 --> 01:24:21.100]   And confuse people and make them think something is true when it isn't true
[01:24:21.100 --> 01:24:26.700]   And that there's a whole category of these kinds of technologies. We're really going to have to emphasize in education
[01:24:26.700 --> 01:24:29.180]   how to make
[01:24:29.180 --> 01:24:30.860]   kids skeptical
[01:24:30.860 --> 01:24:37.100]   And how to be savvy consumers about what they're seeing and hearing and so on and this is just one small example amazing
[01:24:37.100 --> 01:24:41.740]   By the way, we didn't is it is it we were all set
[01:24:41.740 --> 01:24:44.060]   for the
[01:24:44.060 --> 01:24:46.780]   disruptions of the elections hackers getting into the
[01:24:47.260 --> 01:24:53.100]   Databases voters suppression see apparently I mean I haven't heard anything about it. Nothing happened, right
[01:24:53.100 --> 01:25:00.060]   We were we said we're gonna hit back if Russia messes with our election Trump Trump said that the election was rigged
[01:25:00.060 --> 01:25:05.100]   So I expect now that he's gonna be present he's gonna investigate and find out exactly how this really took place
[01:25:05.100 --> 01:25:10.140]   If Clinton rigged the election she didn't do a very good job
[01:25:10.140 --> 01:25:14.220]   uh, so I guess that none of that happened, but maybe it was
[01:25:15.100 --> 01:25:17.100]   uh, maybe the whole idea was uh
[01:25:17.100 --> 01:25:21.260]   For that article that said will strike back was just a little warning
[01:25:21.260 --> 01:25:28.460]   Don't mess or or a strike back has actually occurred they they you know that the indication was and the wise policy was that you
[01:25:28.460 --> 01:25:31.180]   You do it behind the scenes. You don't do it as a public shaming
[01:25:31.180 --> 01:25:34.860]   You do it as a as a behind the scenes thing that's never less painful
[01:25:34.860 --> 01:25:39.260]   And so I'm certain that the us has the capability to strike back
[01:25:39.260 --> 01:25:43.660]   Um, and I think it's important that we do in situations like this
[01:25:43.980 --> 01:25:45.660]   I
[01:25:45.660 --> 01:25:51.740]   Well, uh, let's take a break and uh wrap up. Uh, jeff has to get going. So I'm not I don't know
[01:25:51.740 --> 01:25:55.500]   I don't but it's whatever you want. Not they haven't they don't love me. They don't care
[01:25:55.500 --> 01:26:00.460]   They don't have a come back to me. Maybe s was supposed to put him on, but I don't know what happened
[01:26:00.460 --> 01:26:04.300]   You know what they do. I've had this happen to me. Oh right overbook
[01:26:04.300 --> 01:26:09.420]   They well they also call you and they interview as if they're gonna put you on but really they're just getting background
[01:26:09.420 --> 01:26:12.540]   Yeah, yeah, they're letting you do the work. Yep. Yeah
[01:26:13.420 --> 01:26:14.860]   Yep
[01:26:14.860 --> 01:26:19.820]   Anyway, uh good. Well, we uh, we'll we'll keep you around for a little bit longer anything
[01:26:19.820 --> 01:26:28.300]   Have I I guess we can we can there's still a ton of stuff about the election and you know, uh, yeah, but I think we probably
[01:26:28.300 --> 01:26:34.540]   Corey doctor o a mad man has been given the keys to the surveillance state
[01:26:34.540 --> 01:26:37.660]   Um, you know, but it's so unknown
[01:26:39.660 --> 01:26:45.980]   Someone known what's gonna happen here. Um, I think that one of the the interesting things about this
[01:26:45.980 --> 01:26:48.620]   election, uh, is that
[01:26:48.620 --> 01:26:53.820]   It's raised the question exactly what can a president do?
[01:26:53.820 --> 01:27:02.460]   Uh, without any supervision and what can what what in what ways are our presidents constrained by
[01:27:02.460 --> 01:27:07.100]   Other factors by congress, whatever, you know, I it's a good question in the surveillance thing
[01:27:07.100 --> 01:27:12.940]   How much access does a president have to people's answer this question before the election of ben wisener who is snowedans?
[01:27:12.940 --> 01:27:16.700]   Attorney and works at the aclu
[01:27:16.700 --> 01:27:27.180]   on issues like this and he said we we have an imperial presidency he said particularly in foreign policy, which includes issues like surveillance
[01:27:27.180 --> 01:27:30.380]   Uh, the president has very few checks
[01:27:30.380 --> 01:27:33.500]   ca a domestic
[01:27:33.500 --> 01:27:37.020]   Congress will absolutely weigh in and you know, maybe have more power
[01:27:37.180 --> 01:27:41.340]   than the president, but there's very little to stop a president from launching a drone attack or
[01:27:41.340 --> 01:27:45.980]   Uh, surveilling you or incur or having the nsa surveil
[01:27:45.980 --> 01:27:49.980]   Um, and and especially since so much of this is done in secret
[01:27:49.980 --> 01:27:52.220]   um, and the
[01:27:52.220 --> 01:27:58.140]   Intelligence committees of course are going to be run by republicans who are presumably supporters of trump. Yep, so I think
[01:27:58.140 --> 01:28:03.420]   The question isn't whether he can do it. The question is whether he would want to do it
[01:28:03.420 --> 01:28:06.780]   And if he would start doing that and certainly there will be pressures
[01:28:06.780 --> 01:28:11.420]   From the fbi the cia and the nsa to do it. Yeah
[01:28:11.420 --> 01:28:16.540]   Uh, and my guess is that that trump's inclination would be to say yeah, go ahead
[01:28:16.540 --> 01:28:20.460]   But I but I don't know. Yeah, what is his policy on that?
[01:28:20.460 --> 01:28:25.900]   It's not gonna be a question of trump. It's gonna be what's allowed of it. Can you imagine juliani with that power?
[01:28:25.900 --> 01:28:29.420]   Yeah, I think juliani'd probably do it
[01:28:29.580 --> 01:28:33.100]   Yeah, exactly. Here's here's a here's a hypothetical so
[01:28:33.100 --> 01:28:39.580]   Obama has never has never held back. I mean, that's you know, that's what we fed out. Yeah, I mean, obama
[01:28:39.580 --> 01:28:45.500]   Uh, one of the campaign promises that obama has failed to live up to is he promised to reign in
[01:28:45.500 --> 01:28:50.460]   Um surveillance mass surveillance and so on and he didn't really do that
[01:28:50.460 --> 01:28:54.220]   Um, but but there's a difference between a president
[01:28:54.700 --> 01:29:00.140]   Using mass surveillance to do counter terrorism for example, which is a completely legitimate
[01:29:00.140 --> 01:29:05.020]   Uh use of surveillance technology and again we have to remind the public
[01:29:05.020 --> 01:29:10.620]   Uh again and again that the nsa exists to to spy on
[01:29:10.620 --> 01:29:18.540]   Foreign communications. That's what it's for the cia are their spies. They they they exist in order to steal secrets
[01:29:18.540 --> 01:29:23.020]   This is the correct this is the correct use of of something like the nsa and the cia
[01:29:23.420 --> 01:29:28.620]   So what we're talking about is the potential for nixonian you abuse of those kinds of things
[01:29:28.620 --> 01:29:31.100]   So let's say there's a reporter who's criticizing
[01:29:31.100 --> 01:29:34.060]   Uh trump to to to good effect
[01:29:34.060 --> 01:29:37.020]   What access does trump have to go
[01:29:37.020 --> 01:29:41.020]   Listen to that reporter's calls now. He's done this at his hotels. He's installed
[01:29:41.020 --> 01:29:46.620]   Surveillance equipment and listening on the phone calls real of people who've stated his hotels reportedly
[01:29:46.620 --> 01:29:48.220]   Um
[01:29:48.220 --> 01:29:53.100]   And this is one of the many things that got lost in the in the endless barrage of accusations and so on
[01:29:53.100 --> 01:29:55.100]   But that's something to look into
[01:29:55.100 --> 01:29:58.300]   So that's actually great music for what i'm saying
[01:29:58.300 --> 01:30:04.060]   The music you know more and where websites are doing autoplay video. It's driving me
[01:30:04.060 --> 01:30:08.300]   These shows just turn off the sound at least please
[01:30:08.300 --> 01:30:12.780]   Okay, so so so you know so the question is what can he go and listen to that?
[01:30:12.780 --> 01:30:19.340]   Reporters private and look dig up dirt on that person to intimidate or to arrest or whatever
[01:30:19.340 --> 01:30:21.820]   Is is that something he can do not?
[01:30:22.300 --> 01:30:24.300]   I'm not saying he would do this
[01:30:24.300 --> 01:30:26.940]   But can he do that? What would stop him from doing that?
[01:30:26.940 --> 01:30:29.660]   Well, and we know that already thanks to omorosa
[01:30:29.660 --> 01:30:33.660]   The president trump president elect trump has an enemies list
[01:30:33.660 --> 01:30:36.460]   um
[01:30:36.460 --> 01:30:39.260]   She
[01:30:39.260 --> 01:30:42.940]   She told she remembers she was a contestant on the apprentice. She was the evil one right?
[01:30:42.940 --> 01:30:46.780]   I didn't I met her I didn't either but I met only reason I know this is I met her
[01:30:46.780 --> 01:30:51.660]   Uh when I did it alive with regis and kelly she was a guest at the around that time
[01:30:52.220 --> 01:30:55.740]   Brush with fame. Yeah, my brush with fame nothing i'm proud of
[01:30:55.740 --> 01:31:00.060]   I spent half an hour in the green room with rosio donald once there you go
[01:31:00.060 --> 01:31:07.340]   That fat she she will not be in the no she's on the list. I believe she's on the she has certainly on the enemies. Yeah
[01:31:07.340 --> 01:31:08.380]   Or
[01:31:08.380 --> 01:31:14.940]   Oh morosa told the independent journal review last night at the election party. It's so great our enemies are making themselves clear
