;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig150
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=150
title=This Week In Google 150: SIM surgery
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.220]   Coming up, it's Twig.
[00:46:40.240 --> 00:46:41.240]   Right.
[00:46:41.240 --> 00:46:44.480]   You know what's funny is that, and maybe this would make people feel better if it were
[00:46:44.480 --> 00:46:46.720]   widely known.
[00:46:46.720 --> 00:46:51.080]   The ad tracking people say we don't want to know people's names.
[00:46:51.080 --> 00:46:52.640]   It's actually noise.
[00:46:52.640 --> 00:46:53.640]   Yeah.
[00:46:53.640 --> 00:46:54.640]   That was in that story.
[00:46:54.640 --> 00:46:56.880]   It was in one of the stories we have on the run on this week.
[00:46:56.880 --> 00:46:57.880]   It was fascinating.
[00:46:57.880 --> 00:46:58.880]   Yeah.
[00:46:58.880 --> 00:47:01.240]   Because it said that it's information we don't need.
[00:47:01.240 --> 00:47:02.240]   It doesn't matter.
[00:47:02.240 --> 00:47:03.240]   Doesn't help us.
[00:47:03.240 --> 00:47:04.240]   We don't care what your name is.
[00:47:04.240 --> 00:47:08.560]   We just want to know where you are, how much you make, what things you like.
[00:47:08.560 --> 00:47:10.400]   Are you about to buy a car?
[00:47:10.400 --> 00:47:14.120]   Well, we want to know whether you've seen this same ad 10 times already.
[00:47:14.120 --> 00:47:20.440]   Because we don't waste our money on you and be a disturb you.
[00:47:20.440 --> 00:47:26.880]   You know, listen, I think that it would probably be a good thing for you.
[00:47:26.880 --> 00:47:29.040]   Let's use this as an example in Twig.
[00:47:29.040 --> 00:47:33.880]   If you had the capability to know whether I was an iPhone user or an Android user, that
[00:47:33.880 --> 00:47:41.640]   would allow you to serve up, let's say, app ads, these app ads, appropriate to the user.
[00:47:41.640 --> 00:47:44.520]   And those ads would be less noisy to the user.
[00:47:44.520 --> 00:47:49.640]   And that's what I think users need to understand is this actually improves their experience.
[00:47:49.640 --> 00:47:52.560]   So nobody cares.
[00:47:52.560 --> 00:47:56.760]   So these are the two things that if you really want to defend, first of all, you guys type
[00:47:56.760 --> 00:47:58.400]   using the word tracking cookies.
[00:47:58.400 --> 00:48:02.840]   But if you really want to defend this process, you would say, hey, we don't care what your
[00:48:02.840 --> 00:48:03.840]   name is.
[00:48:03.840 --> 00:48:05.840]   We don't care about your personal identity.
[00:48:05.840 --> 00:48:06.840]   It's noise.
[00:48:06.840 --> 00:48:08.640]   We don't want it in the database.
[00:48:08.640 --> 00:48:12.680]   And be all we're trying to do is make is nobody's going to believe this, but it's make your
[00:48:12.680 --> 00:48:14.040]   experience better.
[00:48:14.040 --> 00:48:16.480]   We want to give you ads for products you're interested in.
[00:48:16.480 --> 00:48:17.480]   Don't want to overdo it.
[00:48:17.480 --> 00:48:20.800]   So I'm down with that.
[00:48:20.800 --> 00:48:21.960]   I agree.
[00:48:21.960 --> 00:48:29.520]   I think that, however, I do think that users should have the ability to turn that off if
[00:48:29.520 --> 00:48:30.520]   they want.
[00:48:30.520 --> 00:48:31.520]   I don't think that should be the default.
[00:48:31.520 --> 00:48:35.000]   I think I've come to the place where I think that Apple's being too restrictive, making
[00:48:35.000 --> 00:48:36.000]   that the default setting.
[00:48:36.000 --> 00:48:42.200]   Get ready because Microsoft has announced that Do Not Track is going to be the default
[00:48:42.200 --> 00:48:43.200]   in IE 10.
[00:48:43.200 --> 00:48:45.920]   Oh, it's going to be on by default.
[00:48:45.920 --> 00:48:47.320]   On by default.
[00:48:47.320 --> 00:48:48.320]   No.
[00:48:48.320 --> 00:48:49.320]   Oh, wow.
[00:48:49.320 --> 00:48:53.080]   Most of our users don't use IE, but it's still by far the majority browser.
[00:48:53.080 --> 00:48:54.080]   I think out there.
[00:48:54.080 --> 00:48:56.480]   That's a big deal.
[00:48:56.480 --> 00:48:59.320]   I'm not sure if it still is, but it's still obviously huge.
[00:48:59.320 --> 00:49:00.320]   It's big.
[00:49:00.320 --> 00:49:04.840]   And it doesn't affect Microsoft's business, but it does affect media's business badly.
[00:49:04.840 --> 00:49:08.960]   Google doesn't even have Do Not Track in Chrome because it understands how important this
[00:49:08.960 --> 00:49:09.960]   is.
[00:49:09.960 --> 00:49:11.440]   Google's an ad network, basically.
[00:49:11.440 --> 00:49:12.440]   Microsoft is not.
[00:49:12.440 --> 00:49:13.440]   They're an advertiser company.
[00:49:13.440 --> 00:49:17.480]   And I think Microsoft says, hey, we could stick it to Google and Facebook.
[00:49:17.480 --> 00:49:20.640]   Well, that's what you see is you see companies that are not dependent upon advertising or
[00:49:20.640 --> 00:49:22.280]   are de-emphasizing advertising.
[00:49:22.280 --> 00:49:26.520]   And that's I throw newscorp into that because it is a paid content company now.
[00:49:26.520 --> 00:49:29.400]   And Microsoft sells other things, other products.
[00:49:29.400 --> 00:49:31.440]   And by the way, consumers are going to love this.
[00:49:31.440 --> 00:49:33.680]   This is going to sell Windows 8.
[00:49:33.680 --> 00:49:35.680]   It's going to sell IE 10.
[00:49:35.680 --> 00:49:38.280]   The fact that Do Not Track is on?
[00:49:38.280 --> 00:49:39.280]   Yes.
[00:49:39.280 --> 00:49:45.160]   That's why people were so upset at Google because Do Not Track was on mobile Safari.
[00:49:45.160 --> 00:49:49.120]   And Google said, well, we can't do likes.
[00:49:49.120 --> 00:49:50.960]   We can't do pluses.
[00:49:50.960 --> 00:49:52.360]   So we have to get around this.
[00:49:52.360 --> 00:49:57.360]   That was the thing that upset people is that Google was bypassing Do Not Track.
[00:49:57.360 --> 00:50:01.040]   But you're saying that Microsoft is going to sell IE 10.
[00:50:01.040 --> 00:50:03.520]   I think this is a security feature, right?
[00:50:03.520 --> 00:50:04.520]   Absolutely.
[00:50:04.520 --> 00:50:06.200]   Why else would they make a big announcement?
[00:50:06.200 --> 00:50:07.200]   Right.
[00:50:07.200 --> 00:50:08.200]   Right.
[00:50:08.200 --> 00:50:09.200]   Yeah.
[00:50:09.200 --> 00:50:10.200]   Yep.
[00:50:10.200 --> 00:50:12.680]   And it just, I think it's fun.
[00:50:12.680 --> 00:50:14.640]   Yeah, I think so too.
[00:50:14.640 --> 00:50:19.040]   You know, Gina, I want to come back and agree with you on one thing.
[00:50:19.040 --> 00:50:20.640]   Absolutely true that users should have a choice.
[00:50:20.640 --> 00:50:21.640]   I agree.
[00:50:21.640 --> 00:50:25.600]   Well, that we screwed it up in my industries, right?
[00:50:25.600 --> 00:50:29.880]   In media advertising and technology, we were not clear.
[00:50:29.880 --> 00:50:31.800]   It enabled the demonization.
[00:50:31.800 --> 00:50:35.640]   It's there because people don't know, and that's stupid.
[00:50:35.640 --> 00:50:37.600]   It's just downright stupid.
[00:50:37.600 --> 00:50:41.560]   And it's probably damaged that these industries will never recover from.
[00:50:41.560 --> 00:50:46.520]   But I go to media companies now and I see what goes on with advertising pictures and
[00:50:46.520 --> 00:50:51.720]   they need, they have to be going more toward knowing signals about you if they're going
[00:50:51.720 --> 00:50:53.880]   to survive.
[00:50:53.880 --> 00:50:58.120]   I think it also distracts from other more important privacy concerns.
[00:50:58.120 --> 00:50:59.120]   That's the problem.
[00:50:59.120 --> 00:51:06.160]   Just get all head up about these issues, then you don't pay attention to say, for instance,
[00:51:06.160 --> 00:51:13.320]   there is a very rapid mass movement towards electronic health care, electronic patient
[00:51:13.320 --> 00:51:14.840]   records.
[00:51:14.840 --> 00:51:18.680]   And just read a very good article that said, "One of the issues with a lot of the laws
[00:51:18.680 --> 00:51:21.160]   of state surpassing right now is it's all or nothing."
[00:51:21.160 --> 00:51:24.320]   You can say, "I don't want to have my health record shared."
[00:51:24.320 --> 00:51:29.680]   What you can't say is, "I want relevant information, share, but not irrelevant information."
[00:51:29.680 --> 00:51:35.560]   The example he used was, let's say you had a venereal disease, actually he didn't use
[00:51:35.560 --> 00:51:36.560]   this, but I'll use this.
[00:51:36.560 --> 00:51:40.640]   You had a venereal disease 10 years ago, and you're going to a podiatrist because you want
[00:51:40.640 --> 00:51:42.320]   a bunion removed.
[00:51:42.320 --> 00:51:44.720]   The podiatrist says, "Well, can I see your health records?"
[00:51:44.720 --> 00:51:47.280]   In many states, you will only have the option of yes or no.
[00:51:47.280 --> 00:51:51.280]   You won't say, "Yeah, but you can't see the venereal disease that I had.
[00:51:51.280 --> 00:51:53.520]   You cannot control it."
[00:51:53.520 --> 00:51:59.200]   And this is a big issue, a big privacy issue that is completely ignored because we're all
[00:51:59.200 --> 00:52:01.000]   worried about tracking cookies.
[00:52:01.000 --> 00:52:03.280]   Leo, hold on, hold on.
[00:52:03.280 --> 00:52:05.760]   I go to a big medical group.
[00:52:05.760 --> 00:52:08.960]   Everybody has my full record there.
[00:52:08.960 --> 00:52:12.080]   They don't give me the right to go in and say, "I'll show this to that doctor and that
[00:52:12.080 --> 00:52:15.840]   doctor," because it would be insanely difficult for them.
[00:52:15.840 --> 00:52:20.880]   And his doc, Searles, has pointed out when he had a bad choice that he and his doctor
[00:52:20.880 --> 00:52:25.600]   made when a health problem he had a couple years ago, not having electronic access to
[00:52:25.600 --> 00:52:29.440]   your full file is probably far more dangerous than somebody knowing you have hurt me.
[00:52:29.440 --> 00:52:34.080]   In fact, that's what the Director of Health and Human Services just said is, "You're 600
[00:52:34.080 --> 00:52:40.000]   percent more times, six times more likely to have mistreatment if you don't share this information."
[00:52:40.000 --> 00:52:42.080]   And then there's an issue to society.
[00:52:42.080 --> 00:52:48.280]   I spoke by a conference call lunch session with a bunch of people at the CDC about two
[00:52:48.280 --> 00:52:50.800]   weeks ago because of public parts.
[00:52:50.800 --> 00:52:59.840]   And what they're doing is seeing the benefit of shared data at scale and how that can lead
[00:52:59.840 --> 00:53:11.040]   to speedy monitoring of spreading diseases, correlations, maybe causation.
[00:53:11.040 --> 00:53:12.920]   And so they're asking, "How do we get around this?"
[00:53:12.920 --> 00:53:15.840]   Now, one problem they have is they have a department that's all about surveillance.
[00:53:15.840 --> 00:53:18.840]   And I said, "Can you please get rid of that word?
[00:53:18.840 --> 00:53:19.840]   Health surveillance?
[00:53:19.840 --> 00:53:21.640]   That's freaking big, wow."
[00:53:21.640 --> 00:53:25.080]   You think track heat is bad?
[00:53:25.080 --> 00:53:29.560]   You guys talking about surveilling my health.
[00:53:29.560 --> 00:53:33.160]   Well, but you're Mr. Open Privacy Advocate.
[00:53:33.160 --> 00:53:36.760]   So you're saying that health records should just, if they're shared, they should be shared
[00:53:36.760 --> 00:53:37.760]   on a percent.
[00:53:37.760 --> 00:53:38.760]   No, I'm saying a few things.
[00:53:38.760 --> 00:53:41.120]   I'm saying that we have to have a conversation.
[00:53:41.120 --> 00:53:45.800]   The start point is that we're ignoring something that's very important for privacy issues.
[00:53:45.800 --> 00:53:48.400]   I'm just using, pick that out of the air as an example.
[00:53:48.400 --> 00:53:50.360]   No, no, no, it's right.
[00:53:50.360 --> 00:53:55.640]   And part of that discussion has to be the balance of fear and benefit.
[00:53:55.640 --> 00:53:59.760]   And that there are benefits to you individually to have all of your health data together.
[00:53:59.760 --> 00:54:04.440]   There are benefits to you as a member of society and your neighbors to know that there's
[00:54:04.440 --> 00:54:10.520]   a outbreak of whatever disease or breast cancer or prostate cancer in your neighborhood and
[00:54:10.520 --> 00:54:12.800]   it's in the water.
[00:54:12.800 --> 00:54:15.520]   Those are benefits that we need to discuss too.
[00:54:15.520 --> 00:54:21.160]   And I would argue that no one should be forced out of any health closet ever.
[00:54:21.160 --> 00:54:27.440]   But there are reasons, there are good and sane and rational reasons to share.
[00:54:27.440 --> 00:54:28.880]   And that's where I want to be part of the conversation.
[00:54:28.880 --> 00:54:33.840]   But the discussion always starts with, "Oh my God, health."
[00:54:33.840 --> 00:54:39.040]   And my other point is, why in this day and age should anyone be ashamed of being sick?
[00:54:39.040 --> 00:54:40.440]   It's not like the black plague.
[00:54:40.440 --> 00:54:41.440]   Well, that's true.
[00:54:41.440 --> 00:54:42.440]   You saw a boy.
[00:54:42.440 --> 00:54:43.440]   What if...
[00:54:43.440 --> 00:54:44.440]   Yeah.
[00:54:44.440 --> 00:54:47.040]   The author used was a rape.
[00:54:47.040 --> 00:54:55.080]   Yes, but I also have seen cases of a very famous editor who did this who, again, forced
[00:54:55.080 --> 00:54:59.720]   no one out of their closet of confidentiality but who said it's time to take the shame off
[00:54:59.720 --> 00:55:00.720]   that.
[00:55:00.720 --> 00:55:01.720]   Well, I agree.
[00:55:01.720 --> 00:55:02.720]   But...
[00:55:02.720 --> 00:55:06.560]   Oh, I mean, you know, there's HIV, which means a lot of people assume that you're a drug
[00:55:06.560 --> 00:55:07.760]   user or that you're gay.
[00:55:07.760 --> 00:55:08.760]   You know, I mean, there's...
[00:55:08.760 --> 00:55:13.320]   But yeah, I agree that this shouldn't be an issue and it's getting better, right?
[00:55:13.320 --> 00:55:14.920]   I'm not so sure.
[00:55:14.920 --> 00:55:21.240]   No, me, Mr. Optumus, all the time, no, I think we're shutting down more because of this
[00:55:21.240 --> 00:55:25.000]   kind of fear, because of this change that it brings.
[00:55:25.000 --> 00:55:28.480]   And so that's why I wrote an old damn book.
[00:55:28.480 --> 00:55:30.080]   But I don't know, Gina.
[00:55:30.080 --> 00:55:31.920]   I mean, we were opening it up in some ways.
[00:55:31.920 --> 00:55:32.920]   But we're...
[00:55:32.920 --> 00:55:37.840]   And we had this great conversation a few months ago about what you would tell your grandmother
[00:55:37.840 --> 00:55:43.080]   between 40 years ago versus today, which I think was a very personal way to look at
[00:55:43.080 --> 00:55:48.440]   this, that the society has obviously changed around it with us and because of us.
[00:55:48.440 --> 00:55:51.360]   But still, I'm a little worried these days.
[00:55:51.360 --> 00:55:54.600]   I did, however, delete my LinkedIn account today.
[00:55:54.600 --> 00:55:57.440]   Well, A, I don't need it.
[00:55:57.440 --> 00:56:00.960]   And B, I don't want my calendar information shared with LinkedIn, which apparently they've
[00:56:00.960 --> 00:56:04.720]   been doing, similar to what Path was doing with the address book information, except
[00:56:04.720 --> 00:56:08.000]   that I think the calendar information could even be more...
[00:56:08.000 --> 00:56:10.520]   I mean, if you're a CEO and you've got private...
[00:56:10.520 --> 00:56:12.520]   I mean, there's all sorts of stuff in there, right?
[00:56:12.520 --> 00:56:17.440]   So this is if you had the LinkedIn app installed on your phone, it would upload your calendar
[00:56:17.440 --> 00:56:18.440]   data from you?
[00:56:18.440 --> 00:56:19.440]   Yeah.
[00:56:19.440 --> 00:56:21.640]   And LinkedIn said, "Well, we did that because we want to see if you're meeting with somebody
[00:56:21.640 --> 00:56:24.960]   else so we know we could give you that kind of information."
[00:56:24.960 --> 00:56:27.640]   But they didn't tell anybody they were doing this, they didn't warn anybody that they
[00:56:27.640 --> 00:56:30.240]   were saving it, that was being saved on the servers.
[00:56:30.240 --> 00:56:32.080]   It's just like Path.
[00:56:32.080 --> 00:56:33.480]   It's another one of them.
[00:56:33.480 --> 00:56:34.480]   Okay.
[00:56:34.480 --> 00:56:41.800]   And then 65.4 million LinkedIn passwords were leaked, including mine.
[00:56:41.800 --> 00:56:42.800]   I went and checked.
[00:56:42.800 --> 00:56:45.200]   No, I was ahead of us.
[00:56:45.200 --> 00:56:46.120]   That's Gina's tip.
[00:56:46.120 --> 00:56:47.120]   But...
[00:56:47.120 --> 00:56:48.120]   Okay.
[00:56:48.120 --> 00:56:49.120]   Oh, yeah, that's okay.
[00:56:49.120 --> 00:56:50.840]   I won't say anything, man.
[00:56:50.840 --> 00:56:55.400]   Anyway, all I'm saying is I decided I don't think I'll be looking for work again.
[00:56:55.400 --> 00:56:56.400]   So...
[00:56:56.400 --> 00:56:57.400]   So I hope not.
[00:56:57.400 --> 00:56:58.400]   This is interesting.
[00:56:58.400 --> 00:57:01.880]   So when the path issue happened, Leo, you didn't think it was that big a deal, right?
[00:57:01.880 --> 00:57:04.400]   Because you would get an email occasionally saying, "Hey, your friend joined us."
[00:57:04.400 --> 00:57:06.800]   I didn't think it was big a deal because I understood that that's what they would have
[00:57:06.800 --> 00:57:07.800]   to do to do it.
[00:57:07.800 --> 00:57:08.800]   You understood that's what they were doing.
[00:57:08.800 --> 00:57:09.800]   Right.
[00:57:09.800 --> 00:57:11.600]   But you didn't realize that LinkedIn was doing this.
[00:57:11.600 --> 00:57:14.040]   There's no indication that they're sharing your calendar.
[00:57:14.040 --> 00:57:16.000]   No, I don't use the LinkedIn iOS app.
[00:57:16.000 --> 00:57:21.440]   But if I were, I think it's kind of inappropriate to upload your calendar.
[00:57:21.440 --> 00:57:25.120]   They're taking the calendar for the iOS calendar and uploading it.
[00:57:25.120 --> 00:57:26.120]   Yeah, I know.
[00:57:26.120 --> 00:57:29.720]   Listen, I think that's crazy, but I didn't like what Path is doing either.
[00:57:29.720 --> 00:57:31.920]   But this is the same conversation that we've been having.
[00:57:31.920 --> 00:57:38.600]   At what point can you justify sharing data in the interest of a better experience?
[00:57:38.600 --> 00:57:42.040]   And I have a hard time with, I have a hard time with, let's be nice to the media companies
[00:57:42.040 --> 00:57:43.280]   and help them keep their business model.
[00:57:43.280 --> 00:57:45.800]   I look at it more as like a user experience issue, right?
[00:57:45.800 --> 00:57:49.240]   If you can argue that it's a better user experience, then great.
[00:57:49.240 --> 00:57:50.680]   People can make business models around that.
[00:57:50.680 --> 00:57:51.680]   And that's fine.
[00:57:51.680 --> 00:57:52.680]   That's a good point.
[00:57:52.680 --> 00:57:53.680]   That's a good point.
[00:57:53.680 --> 00:57:55.440]   But this is kind of a similar situation, right?
[00:57:55.440 --> 00:57:58.080]   You're going to have a better experience on path and then why shouldn't it share your
[00:57:58.080 --> 00:57:59.080]   address book?
[00:57:59.080 --> 00:58:03.040]   Or if you're going to have a better experience on LinkedIn setting up meetings or whatever
[00:58:03.040 --> 00:58:08.000]   people do on LinkedIn, why shouldn't they grab your calendar?
[00:58:08.000 --> 00:58:10.440]   Which I can't, it just seems absurd.
[00:58:10.440 --> 00:58:12.520]   But where's the line?
[00:58:12.520 --> 00:58:13.520]   What's the line?
[00:58:13.520 --> 00:58:15.080]   I guess is really the question.
[00:58:15.080 --> 00:58:19.120]   Anyway, and after the passwords get hacked, I thought, this is fine.
[00:58:19.120 --> 00:58:20.520]   I don't need LinkedIn anymore.
[00:58:20.520 --> 00:58:22.640]   Yeah, you know, LinkedIn has been around for so long.
[00:58:22.640 --> 00:58:26.400]   My password for LinkedIn is one of my old passwords that I set up.
[00:58:26.400 --> 00:58:30.200]   Like before I started using LastPass and more secure tools.
[00:58:30.200 --> 00:58:31.400]   So yeah, we'll also--
[00:58:31.400 --> 00:58:34.440]   If you've been using the same password on other sites, you probably do want to--
[00:58:34.440 --> 00:58:36.440]   Yeah, you've got to go change them all.
[00:58:36.440 --> 00:58:37.440]   Change them all.
[00:58:37.440 --> 00:58:43.320]   So the Electronic Frontier Foundation has published a new, "Who's Got Your Back?"
[00:58:43.320 --> 00:58:48.160]   I love this.
[00:58:48.160 --> 00:58:51.880]   I guess they do this on a regular basis.
[00:58:51.880 --> 00:59:00.120]   They do a table of the grade internet companies on their privacy policies and their practices,
[00:59:00.120 --> 00:59:04.480]   particularly when the government comes and knocking.
[00:59:04.480 --> 00:59:08.320]   And let me see if I can find-- because I think Twitter's pretty good.
[00:59:08.320 --> 00:59:09.320]   Yeah, Twitter's--
[00:59:09.320 --> 00:59:11.520]   Three and a half gold stars out of four.
[00:59:11.520 --> 00:59:13.520]   That Twitter is done a lot of good stuff.
[00:59:13.520 --> 00:59:14.520]   Yeah.
[00:59:14.520 --> 00:59:15.520]   They're like, I think, very consciously--
[00:59:15.520 --> 00:59:16.520]   Yeah, I've got it here.
[00:59:16.520 --> 00:59:18.720]   --it's got to be a little leader in this.
[00:59:18.720 --> 00:59:24.160]   So the four categories are, when the government comes a column, will the company tell users
[00:59:24.160 --> 00:59:28.640]   about the data demands, be transparent about government requests, fight for user privacy
[00:59:28.640 --> 00:59:31.280]   in the courts, fight for user privacy in Congress?
[00:59:31.280 --> 00:59:35.760]   There aren't very many people that will tell you that the government's asking.
[00:59:35.760 --> 00:59:36.760]   I think in some cases--
[00:59:36.760 --> 00:59:38.280]   Well, but some things they're allowed to--
[00:59:38.280 --> 00:59:39.280]   They're not allowed to.
[00:59:39.280 --> 00:59:41.800]   I think they say that they're going to tell you.
[00:59:41.800 --> 00:59:42.800]   Yeah.
[00:59:42.800 --> 00:59:43.800]   Who gets--
[00:59:43.800 --> 00:59:44.800]   Who gets--
[00:59:44.800 --> 00:59:45.800]   Can't say.
[00:59:45.800 --> 00:59:46.800]   --2 half stars and two full stars.
[00:59:46.800 --> 00:59:51.720]   They tend one blank star on fight for user privacy in the courts.
[00:59:51.720 --> 00:59:56.880]   SonicNet, which is our local internet service provider here, four stars.
[00:59:56.880 --> 00:59:57.880]   They do it all, baby.
[00:59:57.880 --> 00:59:58.880]   I like some of it.
[00:59:58.880 --> 00:59:59.880]   Very nice.
[00:59:59.880 --> 01:00:00.880]   Yeah.
[01:00:00.880 --> 01:00:01.880]   That's Dane Jasper.
[01:00:01.880 --> 01:00:02.880]   We've had him on before.
[01:00:02.880 --> 01:00:03.880]   Great guy.
[01:00:03.880 --> 01:00:04.880]   And he really cares about this stuff.
[01:00:04.880 --> 01:00:06.920]   He's got a political ax to grind.
[01:00:06.920 --> 01:00:07.920]   Twitter's pretty good.
[01:00:07.920 --> 01:00:09.560]   Three and a half stars.
[01:00:09.560 --> 01:00:11.280]   Verizon zero stars.
[01:00:11.280 --> 01:00:12.760]   Skype zero stars.
[01:00:12.760 --> 01:00:15.520]   MySpace zero stars.
[01:00:15.520 --> 01:00:16.520]   Four square.
[01:00:16.520 --> 01:00:18.520]   Oh, Dan's zero stars.
[01:00:18.520 --> 01:00:19.520]   Oh.
[01:00:19.520 --> 01:00:22.400]   That means four square neither tells you that the government asked.
[01:00:22.400 --> 01:00:27.480]   Is transparent about it, fights for you, or goes to Congress or anything.
[01:00:27.480 --> 01:00:28.480]   They just--
[01:00:28.480 --> 01:00:31.280]   I'm going to bet that's a case of small company.
[01:00:31.280 --> 01:00:32.280]   Yeah.
[01:00:32.280 --> 01:00:33.280]   Yeah.
[01:00:33.280 --> 01:00:34.280]   Start up.
[01:00:34.280 --> 01:00:35.280]   Yeah, because I know Dan's cares about that stuff.
[01:00:35.280 --> 01:00:36.280]   He's great.
[01:00:36.280 --> 01:00:37.280]   I'm going to be there tomorrow for a meeting.
[01:00:37.280 --> 01:00:38.280]   I'll ask him.
[01:00:38.280 --> 01:00:39.280]   Ask him.
[01:00:39.280 --> 01:00:44.360]   EFF.org/pages/who-has-dash, you're dash back.
[01:00:44.360 --> 01:00:45.920]   Dash dash.
[01:00:45.920 --> 01:00:46.920]   Google did pretty well here.
[01:00:46.920 --> 01:00:47.920]   They're kind of right.
[01:00:47.920 --> 01:00:48.920]   Google did all right.
[01:00:48.920 --> 01:00:49.920]   Yeah, they did all right.
[01:00:49.920 --> 01:00:52.880]   I think a big company, very few companies can go to Congress, can fight for user privacy
[01:00:52.880 --> 01:00:53.880]   in Congress.
[01:00:53.880 --> 01:00:58.760]   In fact, I'm surprised at the number of companies that do have stars in that column.
[01:00:58.760 --> 01:01:01.160]   The easy thing would be to tell users about data demands.
[01:01:01.160 --> 01:01:04.280]   And as you say, Jeff, in some cases they're not allowed.
[01:01:04.280 --> 01:01:10.440]   Patriot Act, for instance, disallows-- if a grocery store gets a Patriot Act request
[01:01:10.440 --> 01:01:13.200]   for who buys hummus, they can't tell anybody.
[01:01:13.200 --> 01:01:15.000]   It's a secret.
[01:01:15.000 --> 01:01:21.760]   Let's see.
[01:01:21.760 --> 01:01:25.840]   Google told by the EC to pay, play ball, or face a trial.
[01:01:25.840 --> 01:01:27.760]   I just do these EC stories to see him.
[01:01:27.760 --> 01:01:28.760]   Just to get me going.
[01:01:28.760 --> 01:01:29.760]   See him steam.
[01:01:29.760 --> 01:01:32.880]   Google's been given an ultimatum by the European Commission.
[01:01:32.880 --> 01:01:34.600]   Straighten up, or we'll take you to court.
[01:01:34.600 --> 01:01:35.600]   That's good.
[01:01:35.600 --> 01:01:37.360]   I'm not going to do this to you.
[01:01:37.360 --> 01:01:41.040]   Who cares?
[01:01:41.040 --> 01:01:46.880]   I think we might see at Google I/O a Google set-top box that will play movie streams from
[01:01:46.880 --> 01:01:48.600]   Android phones and tablets.
[01:01:48.600 --> 01:01:49.600]   That's interesting.
[01:01:49.600 --> 01:01:52.600]   Yeah, that seems like an obvious next time.
[01:01:52.600 --> 01:01:53.600]   The kind of airplay.
[01:01:53.600 --> 01:01:54.600]   Yeah.
[01:01:54.600 --> 01:01:55.600]   Yeah.
[01:01:55.600 --> 01:01:56.600]   Yeah.
[01:01:56.600 --> 01:01:57.600]   Yeah.
[01:01:57.600 --> 01:01:58.600]   Yeah.
[01:01:58.600 --> 01:01:59.600]   Yeah.
[01:01:59.600 --> 01:02:00.600]   Yeah.
[01:02:00.600 --> 01:02:01.600]   Yeah.
[01:02:01.600 --> 01:02:02.600]   Yeah.
[01:02:02.600 --> 01:02:03.600]   Yeah.
[01:02:03.600 --> 01:02:04.600]   Yeah.
[01:02:04.600 --> 01:02:05.600]   Yeah.
[01:02:05.600 --> 01:02:06.600]   So you install an app on your Android device and you're watching a video or listening music
[01:02:06.600 --> 01:02:08.600]   and you send it to your Google TV?
[01:02:08.600 --> 01:02:13.800]   Computer show that's going on or just just ended, I guess.
[01:02:13.800 --> 01:02:20.760]   They showed a new Google TV box with Android 4, a Marvell dual core ARM A9 processor, four
[01:02:20.760 --> 01:02:27.240]   gigs of flash memory, one gig of RAM, ports from microSD, ethernet and HDMI video.
[01:02:27.240 --> 01:02:28.640]   Wow.
[01:02:28.640 --> 01:02:33.480]   This is from a company called Honey Wild Honey Well Honey Well.
[01:02:33.480 --> 01:02:35.360]   Honey Well.
[01:02:35.360 --> 01:02:36.440]   The Honey Well?
[01:02:36.440 --> 01:02:38.080]   No, Honey Wild.
[01:02:38.080 --> 01:02:39.080]   H-O-N-E-Y-W-L-D.
[01:02:39.080 --> 01:02:41.360]   Sounds like a port company.
[01:02:41.360 --> 01:02:42.360]   Honey Well.
[01:02:42.360 --> 01:02:43.360]   Honey Well.
[01:02:43.360 --> 01:02:45.680]   Honey Wild Honey Well.
[01:02:45.680 --> 01:02:49.080]   Between 95 and 120 bucks.
[01:02:49.080 --> 01:02:50.080]   That would be a cool product.
[01:02:50.080 --> 01:02:51.080]   Yeah, that's cheap.
[01:02:51.080 --> 01:02:54.040]   It's for the Taiwanese market, unfortunately.
[01:02:54.040 --> 01:02:55.040]   You know, I could do that.
[01:02:55.040 --> 01:02:59.080]   It's one of the things I like about DLNA, which is basically what airplay is.
[01:02:59.080 --> 01:03:01.000]   Airplay is Apple's branded DLNA.
[01:03:01.000 --> 01:03:02.840]   That's the same standard.
[01:03:02.840 --> 01:03:05.480]   Many TVs and other devices can see DLNA.
[01:03:05.480 --> 01:03:09.080]   That's how I can play music from my Galaxy S3 or video.
[01:03:09.080 --> 01:03:11.600]   A lot of phones now have DLNA.
[01:03:11.600 --> 01:03:13.120]   Android especially.
[01:03:13.120 --> 01:03:18.320]   Well, iPhone's done.
[01:03:18.320 --> 01:03:19.320]   Google bought QuickOffice.
[01:03:19.320 --> 01:03:20.920]   What do you think about that?
[01:03:20.920 --> 01:03:21.920]   Yeah.
