;FFMETADATA1
title=Flying Cellphones
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=326
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.620]   It's time for Twig this week in Google. Oh, I'm so excited Jeff Jarvis has the day off
[01:10:21.860 --> 01:10:27.260]   The fingerprint reader is amazing. I mean, I don't know what your experiences on the 5x
[01:10:27.260 --> 01:10:31.500]   but you know on the 6p it's on just like the 5x is on the back here and
[01:10:31.500 --> 01:10:36.180]   It's just you don't even have to do the on button you just touch it and it's all you boom
[01:10:36.180 --> 01:10:41.900]   You're in and I just really like that. It's my first experience with it with a fingerprint sensor on any phone
[01:10:41.900 --> 01:10:46.980]   And it has been amazing. I'm not having to enter my last pass pass. Yeah, I'm being up unlock the phone
[01:10:46.980 --> 01:10:49.780]   And it's just it's it's really great. It's a huge
[01:10:49.780 --> 01:10:54.300]   Upgrade just in like, you know every time use I use the fingerprint
[01:10:54.300 --> 01:10:58.940]   We have the same camera in the 5x and the 6p. It's a great camera. I think yep great camera
[01:10:58.940 --> 01:11:02.020]   Is it fast enough to get out in motion?
[01:11:03.140 --> 01:11:09.700]   Yeah, yeah, it's been taking great photos. I'm on Instagram. I posted a few photos on Instagram and yeah, it's really really nice
[01:11:09.700 --> 01:11:11.780]   I'm still in the happy know I always take a bunch of her
[01:11:11.780 --> 01:11:17.700]   Once and then one of one of them well this has that that feature that burst mode where if you take a bunch of pictures
[01:11:17.700 --> 01:11:20.820]   You could it picks the but it thinks is the best one yep
[01:11:20.820 --> 01:11:24.460]   I wish it would throw out the rest, but yeah, I need to play with that a little bit more
[01:11:24.460 --> 01:11:28.580]   Yeah, yeah, I turned on HDR and it does that like processing progress
[01:11:28.580 --> 01:11:32.180]   Yeah, I could do without that. I probably turn off HDR, but
[01:11:32.900 --> 01:11:37.780]   On the other hand I need to understand a little bit more what I'm actually getting for all time that processing time
[01:11:37.780 --> 01:11:41.180]   And I'm not totally clear battery life's pretty good
[01:11:41.180 --> 01:11:45.820]   Still not great. I think the 5x is maybe even a little bit less. I think
[01:11:45.820 --> 01:11:52.060]   Yeah, it's okay by by 11 or 12 at night. It's on down to 5%
[01:11:52.060 --> 01:11:55.100]   Which is fine. I should be going to bed at that point anyway
[01:11:55.100 --> 01:11:57.860]   It hasn't quit on me in the middle of a day. That's right
[01:11:57.860 --> 01:12:01.300]   This seems surprising you that they haven't launched that as a feature like the two-day cell phone
[01:12:01.300 --> 01:12:05.500]   I mean when people rush out and buy that just make it a little bit thicker. Yeah, that's what I mean
[01:12:05.500 --> 01:12:07.500]   I think people would would be okay with that
[01:12:07.500 --> 01:12:10.060]   Yeah, surprise me crazy
[01:12:10.060 --> 01:12:15.820]   Everybody's decided except Apple Apple does that the success plus goes forever, but everybody else has decided well
[01:12:15.820 --> 01:12:21.620]   We just give you fast charging and just charge it and then you don't have to worry about that. That's not the solution. I agree
[01:12:21.620 --> 01:12:23.340]   I'm with you
[01:12:23.340 --> 01:12:26.620]   By the way notice I am using Firefox. I found out yesterday
[01:12:26.780 --> 01:12:29.520]   That you can run
[01:12:29.520 --> 01:12:37.120]   Firefox on Android and it supports all the Firefox desktop plugins including
[01:12:37.120 --> 01:12:44.700]   You block origin the ad blocker of choice and my ad blocker of choice and sorry Paul. We're blocking the ads. Sorry and
[01:12:44.700 --> 01:12:50.800]   Last pass as a plugin. Oh, yeah. Wow. Yeah
[01:12:50.800 --> 01:12:54.460]   That's nice. Yeah, so firefox
[01:12:55.340 --> 01:13:00.940]   So the it's a little slower because it loads a bunch of extensions but a lot faster because it blocks all the ads
[01:13:00.940 --> 01:13:09.020]   Yeah, and adds on mobile are a real problem. Yeah, I know Apple Apple really kind of stirred a hornet's nest by putting making ad blockers capable
[01:13:09.020 --> 01:13:13.260]   Possible on the iPhone, but I think that people have seen wow what a difference
[01:13:13.260 --> 01:13:16.660]   Yeah, yeah, cool. I'm gonna have to try that. Yeah
[01:13:16.660 --> 01:13:22.660]   Chrome support going away for XP I
[01:13:23.180 --> 01:13:27.740]   Feel bad about this first Microsoft pulls the plug in April and says we're not gonna update XP
[01:13:27.740 --> 01:13:32.340]   We're not gonna update IE. I think the last version of IE for XP was IE eight
[01:13:32.340 --> 01:13:40.900]   And so we I was telling everybody well if you insist on using XP at least use Chrome because that's gonna be kept up to date
[01:13:40.900 --> 01:13:43.660]   until April
[01:13:43.660 --> 01:13:46.820]   So one year after Microsoft pulled the plug on Windows XP
[01:13:47.820 --> 01:13:50.980]   Google's gonna do the same with Chrome. I don't you know just a word of warning
[01:13:50.980 --> 01:13:53.620]   reasonable, right prepare yourselves
[01:13:53.620 --> 01:13:59.700]   Who's using XP lots of people that right you want to see you want to see a shocking pie chart?
[01:13:59.700 --> 01:14:02.340]   windows usage
[01:14:02.340 --> 01:14:04.940]   By
[01:14:04.940 --> 01:14:06.940]   using windows 3.1 version
[01:14:06.940 --> 01:14:10.500]   I don't think there's a whole lot of 3.1
[01:14:10.500 --> 01:14:16.460]   XP still has 12 and a half percent market share. Let me see if I can find the
[01:14:16.540 --> 01:14:22.460]   The graph because it's really it's it's how many of those people are using AOL dial-up
[01:14:22.460 --> 01:14:25.340]   And my Yahoo right
[01:14:25.340 --> 01:14:30.860]   I wish I could this is this graph does not look real good
[01:14:30.860 --> 01:14:36.500]   I don't know. I've done a lot of users are kind of like my you know older relatives where it's like they had an ex-computer
[01:14:36.500 --> 01:14:43.420]   They just moved on to a smartphone and a tablet just never turned off or upgraded or changed the desktop computer
[01:14:43.420 --> 01:14:48.220]   And they're just kind of stuck there on XP because they just stopped buying new desktop computers
[01:14:48.220 --> 01:14:55.660]   Well, they think of it as furniture and it's not disposable like it is right. Yeah, right like oh the TV still works
[01:14:55.660 --> 01:14:59.180]   Right. They by the way probably still have a tube TV
[01:14:59.180 --> 01:15:04.340]   And you know and let's face it. I mean windows really lost its way with the investor, right?
[01:15:04.340 --> 01:15:06.940]   So I think people just kind of yeah, they didn't want to go to Vista
[01:15:06.940 --> 01:15:10.500]   Yeah, and by then it was like they're just stuck in it
[01:15:11.900 --> 01:15:17.420]   Good news. They're not gonna merge Chrome OS and Android. Are you relieved about that Gina?
[01:15:17.420 --> 01:15:24.180]   We didn't get to talk with you about that. Yeah, I imagine that you got that you all covered that last week. We were very upset
[01:15:24.180 --> 01:15:26.140]   Yeah
[01:15:26.140 --> 01:15:28.740]   Oh, you're very upset at the prospect of them merging. Yes
[01:15:28.740 --> 01:15:32.020]   I mean there's still this like question in my mind about it, right?
[01:15:32.020 --> 01:15:37.740]   Like there is this like there's two major products that are like really different and yet really similar
[01:15:37.980 --> 01:15:43.700]   But and so the outcome in the end just to make sure that I'm up to date that Google said that there's no merge happening
[01:15:43.700 --> 01:15:45.700]   We're committed to both still
[01:15:45.700 --> 01:15:49.540]   Exactly
[01:15:49.540 --> 01:15:54.900]   You know yeah, am I happy about that? Yes, it still feels like an unresolved issue though
[01:15:54.900 --> 01:15:59.340]   I mean it feels like they're reserving like we're moving towards something's gonna happen
[01:15:59.340 --> 01:16:01.340]   And I just don't know yeah
[01:16:01.340 --> 01:16:06.860]   You know what I'm very interested to see is what they do with the pixel C
[01:16:07.620 --> 01:16:10.220]   because I feel like this tablet is
[01:16:10.220 --> 01:16:17.060]   Potentially what they meant first of all, it's a pixel right up to now pixels have been
[01:16:17.060 --> 01:16:25.940]   Yeah, it has the kickstand kind of like you know, then that's the new thing all the kids are doing it
[01:16:25.940 --> 01:16:27.940]   But it's Android
[01:16:27.940 --> 01:16:32.020]   But I wonder and it's delayed right or it's just not gonna be out till next month
[01:16:32.020 --> 01:16:35.340]   I wonder if this is gonna be the first iteration of something that's a
[01:16:35.940 --> 01:16:40.580]   Little bit more like a desktop or like a well like Apple true
[01:16:40.580 --> 01:16:46.140]   And I don't why are these companies doing this is there is there a hue and cry to turn your tablet into a laptop?
[01:16:46.140 --> 01:16:53.860]   Because that's that's essentially what this is all about right is taking desktop OS is and making them touch and then making them more
[01:16:53.860 --> 01:16:56.700]   Tablity if you had to get out of keyboard
[01:16:56.700 --> 01:17:02.900]   Don't underestimate the revenue implications of having the additional things we can sell people it's just more stuff
[01:17:03.540 --> 01:17:08.020]   I don't think that this is about consumer demand. I mean I see these commercials about you know the laptop
[01:17:08.020 --> 01:17:11.380]   And then I don't know what device it was but it just feels like a manufacturer
[01:17:11.380 --> 01:17:16.900]   Like the companies came up with this thing to sell to people. I just don't know anyone who's like I really really want
[01:17:16.900 --> 01:17:19.620]   I don't know. I don't know
[01:17:19.620 --> 01:17:23.900]   Well, if you want that get a MacBook Air. I mean well, right
[01:17:23.900 --> 01:17:27.020]   Yeah, this is new which is better than an air. I think yeah
[01:17:27.020 --> 01:17:30.620]   You said you don't like the fact that only has one port the table. I don't like the yeah
[01:17:30.620 --> 01:17:35.660]   I'm upset with those guys probably about the $80 dongle though, right? I did I have the dongle
[01:17:35.660 --> 01:17:37.900]   But it's just one of those things you just don't remember to bring
[01:17:37.900 --> 01:17:43.340]   I find though like connect stuff to the computer lesson. I might have yeah a mad that I did and
[01:17:43.340 --> 01:17:49.140]   Not having you know having that simple form factors. It's not to be said it really works great. I'm a fan
[01:17:49.140 --> 01:17:51.140]   Yeah, I actually really like the Macbook
[01:17:51.140 --> 01:17:55.460]   Not that that matters on this show. This is a Google show
[01:17:55.460 --> 01:17:58.780]   Anything new about Facebook. They're doing they're launching this
[01:17:59.540 --> 01:18:02.740]   Probably today or tomorrow their new app for news
[01:18:02.740 --> 01:18:06.300]   What is it called
[01:18:06.300 --> 01:18:08.580]   Kali what is it?
[01:18:08.580 --> 01:18:11.260]   Thank you
[01:18:11.260 --> 01:18:12.900]   Facebook
[01:18:12.900 --> 01:18:16.100]   Notify is that a yes, is that messenger?
[01:18:16.100 --> 01:18:18.660]   It's not out yet
[01:18:18.660 --> 01:18:19.900]   so
[01:18:19.900 --> 01:18:26.900]   Who was it was telling me on Twitter that really the battleground now in mobile is used to be the front page
[01:18:26.900 --> 01:18:34.340]   Right they want you want to be the icon on the front page of your iPhone or Android device now the battleground is the notification
[01:18:34.340 --> 01:18:42.060]   Because the notifications get right in your face and say hey and if you can get in that notification space
[01:18:42.060 --> 01:18:46.700]   You can do so much better if you ever tried to turn off notifications. I messengers. It doesn't work
[01:18:46.700 --> 01:18:49.540]   It doesn't like that. No, it doesn't know face. It does is very well
[01:18:49.540 --> 01:18:55.940]   So notify is going to give you notifications from news outlets and other sources
[01:18:56.220 --> 01:19:02.580]   It's in effect Facebook's bid to own the notification space. Can you believe that? Do you want more notifications or less?
[01:19:02.580 --> 01:19:04.860]   Well, we just talking about that
[01:19:04.860 --> 01:19:10.340]   But I don't want them on our wrist. I don't want them in my pocket. I don't want I mean I want the right notifications
[01:19:10.340 --> 01:19:12.460]   Don't you want the right notification? Do you want?
[01:19:12.460 --> 01:19:16.860]   When your mom sends you an email when your wife calls
[01:19:16.860 --> 01:19:25.140]   When your ubers arrived when your ubers here when that package got delivered that you're waiting for I don't I guess
[01:19:25.740 --> 01:19:30.900]   a news I made the mistake once of installing some like CNN
[01:19:30.900 --> 01:19:37.620]   New York Times and Wall Street Journal and turning on breaking news notifications and all three seems like a good idea
[01:19:37.620 --> 01:19:41.260]   Right seems like I would never miss a thing. They sure let you know about everything
[01:19:41.260 --> 01:19:44.100]   Well, this is the thing
[01:19:44.100 --> 01:19:54.060]   Very there are very there are circumstances when I want breaking news alerts. They're very rare
[01:19:54.060 --> 01:19:56.660]   I mean, I want to know if a plane hits the world trade center
[01:19:56.660 --> 01:20:01.860]   I'd like to know right they over you they over use it. They over use it. Maybe bankle Jackson dies
[01:20:01.860 --> 01:20:05.180]   I found out about that on Twitter. I mean, you know, maybe but like really
[01:20:05.180 --> 01:20:08.440]   Most days I don't want there's no
[01:20:08.440 --> 01:20:16.240]   You don't want you don't want a notification for Vogue about the 10 best dressed people this week because that's one of the things you would
[01:20:16.240 --> 01:20:21.420]   That would just it would make me enraged your daily your daily meditation from headspace
[01:20:22.180 --> 01:20:26.580]   No, it shouldn't be in the notification. I'll do that one. It's time. I don't want to be notified
[01:20:26.580 --> 01:20:34.900]   Flashback station from getting a notification blocker software. That's what we need. We need the anti-notify app if they had that
[01:20:34.900 --> 01:20:38.260]   Notify me seriously. Hey, I know you got a run
[01:20:38.260 --> 01:20:38.500]   Gina
[01:20:38.500 --> 01:20:42.300]   Let's take a break if you want do you have a tip or pick or anything you'd like to give us before you get
[01:20:42.300 --> 01:20:46.020]   I do I have a quick tip. All right, should I do that now?
[01:20:46.020 --> 01:20:48.260]   Or should I go ahead and do it now because I know you got to get out of here
[01:20:48.260 --> 01:20:52.900]   All right, cool. Thank you. Well quick tip this week and I just start to see this in my own app
[01:20:52.900 --> 01:20:57.080]   Inbox by for Gmail, which love it the Google app love it
[01:20:57.080 --> 01:21:03.460]   They just introduced and it's rolling out now as I seen at my own app this new feature called smart reply. Oh, you got it
[01:21:03.460 --> 01:21:08.480]   I want it. I got it. Yes. Everyone's got it. So this is how it works Jason
[01:21:08.480 --> 01:21:11.180]   My email more
[01:21:11.180 --> 01:21:14.340]   Setting this email and said hey, Jana, you know, we're on for today tomorrow
[01:21:14.540 --> 01:21:18.540]   You know, well, you'll get a call at regular time like I'll be off but like it'll be great
[01:21:18.540 --> 01:21:19.180]   You know, okay, cool
[01:21:19.180 --> 01:21:24.300]   You know see you later and so I open up this message in in inbox and underneath the message
[01:21:24.300 --> 01:21:28.860]   I get I got three choices for reply and they were like sounds good
[01:21:28.860 --> 01:21:33.060]   Appreciate it Roger that it was like three natural language
[01:21:33.060 --> 01:21:39.260]   Responses and I got to tell you those are responses that I would have like I would have absolutely responded
[01:21:39.260 --> 01:21:44.780]   Sounds good. So you tap on your response and the the one that you want to send and you get a chance to edit it
[01:21:44.780 --> 01:21:47.820]   If you want and you send it so this thing is basically
[01:21:47.820 --> 01:21:55.620]   Suggesting responses based on the content of your email. Is it on your Android or on your desktop? Where is it happening?
[01:21:55.620 --> 01:22:01.780]   It's in Android. I saw it. Yeah, so when I invite you for the blue bottle and you're like no way and I'm like
[01:22:01.780 --> 01:22:06.700]   Why did you say that you're like? I just push this automated. It wasn't me just a push to bow. That was me
[01:22:07.140 --> 01:22:11.100]   Yeah, this is okay sounds good. Thanks for the heads up copy that and sounds good
[01:22:11.100 --> 01:22:15.780]   Thanks, like these were these were some of the responses and you see the responses kind of that at the bottom
[01:22:15.780 --> 01:22:21.140]   Of the screen. Do you know doesn't look like it's learning or is are they like hand?
[01:22:21.140 --> 01:22:24.140]   It's take a wait a minute. I just got one
[01:22:24.140 --> 01:22:29.900]   Okay, yeah, it's working Chris Mike Christopher Michael says he won't be here because the traffic's terrible
[01:22:29.900 --> 01:22:35.060]   So I can do nice got it or thanks. Thanks. I mean they're very
[01:22:35.540 --> 01:22:40.700]   Appropriate I'm a senior got it got it and you can edit it you can add another
[01:22:40.700 --> 01:22:48.620]   Whatever, but it's using keywords, right? So it is gonna. Yeah, I guess it doesn't do it for every email
[01:22:48.620 --> 01:22:51.460]   Because I tried other emails
[01:22:51.460 --> 01:22:57.300]   Yeah, let me yeah, see it doesn't do it for every email and you don't have to say I reply you just it just does it
[01:22:57.300 --> 01:23:01.500]   It just does it. Oh wait a minute here it is Steve Gibson sent me a note saying holy crap
[01:23:01.500 --> 01:23:03.500]   I pro bad pro tomorrow. Oh
[01:23:04.140 --> 01:23:06.900]   And I say oh look woohoo
[01:23:06.900 --> 01:23:14.780]   That is great news or awesome. It saw that there were all those exclamation marks in there. That's pretty good. Oh, well pretty good clearly
[01:23:14.780 --> 01:23:19.180]   Let's see woohoo. That's wow
[01:23:19.180 --> 01:23:22.020]   Yeah
[01:23:22.020 --> 01:23:28.900]   So it is looking at the it's again Google reading your mail setting that we can just have it automatically reply without it being looking at the email
[01:23:28.900 --> 01:23:33.180]   That's where we're going
[01:23:33.860 --> 01:23:38.220]   There should I should just be able to turn that out. I just it pretty soon it was be AI to AI
[01:23:38.220 --> 01:23:41.220]   Stand back random crap
[01:23:41.220 --> 01:23:44.260]   I'm not seeing it on every thread
[01:23:44.260 --> 01:23:48.020]   I'm looking at another thread which has been gone on kind of long and I said different tones at different times
[01:23:48.020 --> 01:23:49.260]   And there's just no suggestion
[01:23:49.260 --> 01:23:54.620]   So I think that it just it only shows you suggestions when it maybe that's your suggestion to not reply to that email
[01:23:54.620 --> 01:24:01.140]   About email archive. Yeah, yeah, so maybe like if a can understand stuff
[01:24:02.140 --> 01:24:04.140]   Hmm
[01:24:04.140 --> 01:24:08.340]   It doesn't answer it so that's cool. I don't suggest anything
[01:24:08.340 --> 01:24:15.140]   It's it is pretty cool by the way that was interesting. You just did I had your email up on my desktop
[01:24:15.140 --> 01:24:20.140]   I opened it and put got it into on Android here and it put it in the desktop - oh
[01:24:20.140 --> 01:24:22.420]   We're I didn't know that the desk
[01:24:22.420 --> 01:24:28.420]   A little bit of Google waves sneak it in there. Yeah, yeah, sorry
[01:24:28.980 --> 01:24:31.580]   That was painful. I shouldn't have brought that up. It was a little bit sad
[01:24:31.580 --> 01:24:38.540]   But I like that wave lives on wave in other ways through other apps and we now know that Gina Trapani lives on we're so glad
[01:24:38.540 --> 01:24:45.860]   To have you here Gina, and I'm glad you continue to do the great work you've been doing anything you want to plug
[01:24:45.860 --> 01:24:53.260]   Not too much I think just make your base. Yeah, check it out. It's a maker base is dot se
[01:24:54.020 --> 01:25:00.500]   Look up your favorite makers and your favorite projects and tell them that you know that they inspire you or add add their co-workers
[01:25:00.500 --> 01:25:06.780]   We're just you know trying to kind of give everybody the credit they deserve and to celebrate makers and and to get projects
[01:25:06.780 --> 01:25:12.060]   Weekend projects little project student projects art projects. It doesn't have to be a company or a big product
[01:25:12.060 --> 01:25:18.100]   Just something that you try it out and we hope in the to inspire people and to help people find other great collaborators
[01:25:18.100 --> 01:25:22.260]   So check that out you have added insights from Instagram to think up
[01:25:22.260 --> 01:25:25.700]   So now it's Instagram Twitter and Facebook insights. Yeah
[01:25:25.700 --> 01:25:28.900]   Ramping up for an end of year
[01:25:28.900 --> 01:25:32.260]   Bananza on think up we're gonna have it we're gonna have a do all through the month of December
[01:25:32.260 --> 01:25:35.820]   We'll be doing your year and Twitter Facebook and Instagram insight
[01:25:35.820 --> 01:25:37.340]   So that'll be a lot of fun, too
[01:25:37.340 --> 01:25:45.180]   And who can see who can see insights so it could be just me or it could be public everyone could see the insights
[01:25:45.180 --> 01:25:50.220]   Everyone just you I don't mind if other people see my insights cool. Do I?
[01:25:50.220 --> 01:25:57.780]   If your Instagram is public then yeah
[01:25:57.780 --> 01:26:05.020]   Oh, so that would be for people whose Instagram is in public that makes sense this thing where it shows you when you've edited your bio is a really
[01:26:05.020 --> 01:26:10.780]   Interesting isn't that weird really learn a lot about yeah, yeah, it's made me a little self-conscious
[01:26:10.780 --> 01:26:17.780]   I'm like do I want to delete that company? Yeah, yeah, isn't that interesting? You know that I guess he got fired again
[01:26:18.100 --> 01:26:23.460]   Yeah, I you know I first heard about it from James chamies like why did you like remove that company from your
[01:26:23.460 --> 01:26:29.640]   I am like you're like, oh, how do you know that? It was the drones they were watching yeah, they were watching
[01:26:29.640 --> 01:26:37.060]   Zorwach it's really such a clever idea think up dot com is another great Gina Trippani project along with me the anneal -
[01:26:37.060 --> 01:26:39.740]   Thank you Gina
[01:26:39.740 --> 01:26:43.260]   Coffee on me yeah
[01:26:43.260 --> 01:26:46.820]   I know the owner see what they do
[01:26:46.820 --> 01:26:51.720]   If you're from Brooklyn do give me do ping me okay, and yeah, let you know
[01:26:51.720 --> 01:26:55.240]   You know what you should get him to do pay a portrait of you. I would love to do that
[01:26:55.240 --> 01:27:00.540]   That would be amazing. Oh, we're gonna make that up. I'll buy and see you in a nail and get get the offices
[01:27:00.540 --> 01:27:02.700]   Take care Gina. Oh, thank you guys
[01:27:02.700 --> 01:27:08.140]   We're gonna take a break and then I want us to do it kind of a little segment just with Christopher because you brought some fun
[01:27:08.140 --> 01:27:11.020]   Cameras, which I will about we can shoot are we well?
[01:27:11.020 --> 01:27:14.780]   We don't nobody wants to see you take pictures of me on the air unless you think that would be interesting
[01:27:14.780 --> 01:27:18.580]   I don't know are you gonna do boudoir style. Yeah, boudoir. Okay. I can bark like a dog
[01:27:18.580 --> 01:27:26.460]   Isn't that what you do in the boudoir. That's what I do. Yeah our show today brought to you by zipper critter
[01:27:26.460 --> 01:27:30.220]   There you go zipper critter dot com ladies and gentlemen
[01:27:30.220 --> 01:27:32.420]   you if you are in the
[01:27:32.420 --> 01:27:38.580]   Unenviable position of doing the hiring at your place of employ whether you're the HR department or just it's
[01:27:38.580 --> 01:27:40.780]   You you're the boss
[01:27:40.780 --> 01:27:45.100]   you got to know about zipper critter it will change your attitude about this and it should because
[01:27:45.100 --> 01:27:47.740]   To be you know candid. I think
[01:27:47.740 --> 01:27:52.260]   It was one of the things I've learned is the people you hire make the business a
[01:27:52.260 --> 01:27:57.220]   Bad employee can ruin your business a great employee can take you to the moon
[01:27:57.220 --> 01:28:03.500]   Your company is the people you hire and that's why you can't take this lightly of course
[01:28:03.500 --> 01:28:08.780]   It's the worst time when you're short-handed to have to find new people
[01:28:08.780 --> 01:28:13.180]   So you know sometimes you might rush through that process don't use zip recruiter
[01:28:13.180 --> 01:28:16.420]   You'll post jobs in more than a hundred job sites
[01:28:16.420 --> 01:28:21.020]   Including Twitter and Facebook and LinkedIn and Craigslist all the social networks
[01:28:21.020 --> 01:28:26.820]   You post once and candidates will start rolling in almost immediately. They also will match your needs with their
[01:28:26.820 --> 01:28:31.540]   Database of nearly six million current resumes and that's fantastic
[01:28:31.540 --> 01:28:36.380]   So you're gonna find a bunch of quality candidates. The nice thing is they're not gonna call you
[01:28:36.660 --> 01:28:42.900]   They're not gonna email you all of the candidates roll into your zipper critter interface. So it's very easy to screen them
[01:28:42.900 --> 01:28:48.580]   Get rid of the separate the wheat from the chaff and hire the right person
[01:28:48.580 --> 01:28:54.220]   fast, I think zipper critter is a bone to building a great company
[01:28:54.220 --> 01:29:00.180]   It's been used by over 400,000 businesses including twin and you can try it now absolutely free for the next four days
[01:29:00.940 --> 01:29:08.180]   At zipper cruder comm slash tweet. We got an email from Scott a happy zipper cruder client. He said the recruiting process
[01:29:08.180 --> 01:29:11.660]   Used to be so painful. You know how that feels don't you?
[01:29:11.660 --> 01:29:17.940]   For our I'd post to several places. I get a million resumes, but only a few responses from qualified candidates
[01:29:17.940 --> 01:29:23.980]   It was torture, but with zipper cruder we post once we get qualified candidates in one easy to review place
[01:29:23.980 --> 01:29:26.500]   We have hired some of our best employees
[01:29:26.500 --> 01:29:29.460]   using zip recruiter
[01:29:30.060 --> 01:29:36.380]   Use zip recruiter. You got to it's amazing. Go to zipper cruder comm slash twig that zipper cruder
[01:29:36.380 --> 01:29:45.140]   Dot com slash T W I G and you got it free for four days and that's probably enough to hire that exact right person
[01:29:45.140 --> 01:29:47.380]   Right now zip recruiter comm
[01:29:47.380 --> 01:29:52.300]   So you were always a little bit of a photographer Chris or yeah, yeah
[01:29:52.300 --> 01:29:54.540]   Hey Leo can I ask you what I'm noticing the chap board here?
[01:29:54.540 --> 01:29:58.740]   These are people that are those are people watching the show I've been watching it the whole time and I just want to say
[01:29:58.740 --> 01:30:04.980]   mistake you have really incredible people watching the show very nice. No really sweet. It's funny
[01:30:04.980 --> 01:30:10.160]   We I started doing this in the like the early 90s when a door I can I were doing radio
[01:30:10.160 --> 01:30:15.260]   And it was this is IRC. I mean it was always IRC even a tech TV
[01:30:15.260 --> 01:30:19.700]   We had remember I don't know if you remember we had that like 3d chat going on, but having
[01:30:19.700 --> 01:30:23.340]   a live studio audience and a live chat audience I
[01:30:23.340 --> 01:30:28.100]   Think is a great way to kind of keep me honest is to focus us
[01:30:28.660 --> 01:30:32.980]   But also to give us good ideas and they get off target. Yeah, a lot of times you just having fun
[01:30:32.980 --> 01:30:37.380]   But that's fine too. It's not like discussion boards where people kind of go crazy. They're people are super nice
[01:30:37.380 --> 01:30:41.540]   They're like well we can Gina Mars worms like hey, so nice having you on the show. Yeah
[01:30:41.540 --> 01:30:48.180]   Yeah, yeah, there's some some of the best people I know are in the chat room. Who do you know some of those people?
[01:30:48.180 --> 01:30:53.660]   Some I've actually met yeah, and a lot of these a lot of people you're seeing they were always here right?
[01:30:53.660 --> 01:30:54.660]   I love that
[01:30:54.660 --> 01:30:57.500]   but then yeah, I've met a few of them and
[01:30:58.500 --> 01:31:04.220]   It they're really kind of fun people and they smell good says M and 7 yeah, but I don't like your thoughts for that
[01:31:04.220 --> 01:31:09.540]   I kind of not sure that but the other thing is they're all over the world. So that's kind of fun, too
[01:31:09.540 --> 01:31:14.380]   It's incredible. Yeah, the internet thanks thanks to the internet. Yeah, we're everywhere. It's really amazing
[01:31:14.380 --> 01:31:16.500]   so
[01:31:16.500 --> 01:31:22.540]   Cameras you have a roley which is making now is that a film camera? Oh, yeah, it's a film camera. That's a medium format film is
[01:31:23.460 --> 01:31:28.300]   That is a work of art and a beautiful thing, but why would you shoot film nowadays?
[01:31:28.300 --> 01:31:31.700]   Just because you like the hardware
[01:31:31.700 --> 01:31:36.520]   So you have a lot of old cameras around we do none of them functioning unfortunately
[01:31:36.520 --> 01:31:39.300]   Here's there's a camera. There's a shot as you can see right there
[01:31:39.300 --> 01:31:44.180]   You can actually position the camera where your laptop is yeah, and people can see it
[01:31:44.180 --> 01:31:49.700]   Yeah, that is it this is what a twin lens reflects right?
[01:31:50.380 --> 01:31:54.540]   So you shoots from the top it's what they call a belly shooter you shoot down from the top
[01:31:54.540 --> 01:31:59.760]   And then you're seeing through the top lens, but the camera shoots at the bottom one is that that how it works
[01:31:59.760 --> 01:32:01.860]   Yeah, exactly well
[01:32:01.860 --> 01:32:05.780]   So I've had some of these cameras around for display because I thought they were beautiful
[01:32:05.780 --> 01:32:12.380]   Did you see this movie this documentary finding Vivian Meyer? Do you know this movie? I didn't see the movie
[01:32:12.380 --> 01:32:15.180]   But I know the story that's an amazing story. She was a nanny
[01:32:15.180 --> 01:32:17.380]   and
[01:32:17.380 --> 01:32:23.820]   Never published her photos never shown anybody but took amazing street photos black and white street photos in the 50s
[01:32:23.820 --> 01:32:24.780]   I'm right in Chicago
[01:32:24.780 --> 01:32:30.720]   So basically they bought her storage facility when she passed away and in there was you know thousand guys
[01:32:30.720 --> 01:32:36.100]   Found only one one 20 film. Yeah, and I saw this movie and I couldn't recommend it more
[01:32:36.100 --> 01:32:38.740]   I mean her photos are not to see it incredible. She's got to be
[01:32:38.740 --> 01:32:45.660]   One of the most prolific and profound street photographers of all time and the photos are great and actually she used this camera
[01:32:45.820 --> 01:32:49.500]   She is the roller. Oh, you can see it in some of the images. Yeah, you're self-portrait
[01:32:49.500 --> 01:32:53.700]   Which is one of the first shots here, but there's a few unusual things about this camera
[01:32:53.700 --> 01:32:59.020]   Not only does it take incredible photos, but you're also shooting at a different angle. You're not shooting down
[01:32:59.020 --> 01:33:01.860]   You're standing up you're standing up and you're shooting and you're looking down there
[01:33:01.860 --> 01:33:04.860]   She is more subtle and so I like well have this camera
[01:33:04.860 --> 01:33:09.660]   So I'm gonna get some 120 film and started taking pictures and the quality is incredible
[01:33:09.660 --> 01:33:14.620]   Okay, but incredible you take 12 pictures at a time 10 10 10
[01:33:14.620 --> 01:33:16.620]   You can't review them right
[01:33:16.620 --> 01:33:19.820]   Until you develop them and oh by the way
[01:33:19.820 --> 01:33:23.940]   You have to develop them right there's no you go you take them to a lab
