;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[02:08:11.200 --> 02:08:15.600]   And the fact that it occurs in an app or not should not make media companies think we all need our app
[02:08:15.840 --> 02:08:18.480]   Right, well, you got a different case for somebody playing a game
[02:08:18.480 --> 02:08:24.240]   And in fact lots of facebook content comes through there in their built-in browser, which is the mobile web
[02:08:24.240 --> 02:08:28.720]   It's not true it comes through an app, but it's effectively the mobile app. Yep
[02:08:28.720 --> 02:08:32.720]   Oh, we just missed a live ricky jurevays
[02:08:32.720 --> 02:08:35.520]   Cat quick is see
[02:08:35.520 --> 02:08:38.320]   Build a time of tension. It's about attention
[02:08:38.320 --> 02:08:41.040]   We should be paying attention to reiki jurevays
[02:08:42.880 --> 02:08:48.960]   If I were a massive if I were coca-cola should I buy ads on the ricky jurevays live stream? Oh, yeah. Oh, yeah
[02:08:48.960 --> 02:08:51.600]   You can't by the way, can you?
[02:08:51.600 --> 02:08:53.840]   You can't
[02:08:53.840 --> 02:08:55.840]   Can I buy an ad on that?
[02:08:55.840 --> 02:09:01.200]   By the way, can I just point this out he posted this yesterday it has 1.4 million views
[02:09:01.200 --> 02:09:03.840]   57,000 likes for
[02:09:03.840 --> 02:09:07.360]   4,200 comments
[02:09:07.360 --> 02:09:12.320]   See, okay, this is a much bigger platform than youtube
[02:09:13.120 --> 02:09:15.120]   But there's got no ads on it
[02:09:15.120 --> 02:09:21.040]   Well, because that don't forget what i said last week it will mark doesn't bother with it until it's a billion user. Yeah, yeah
[02:09:21.040 --> 02:09:25.920]   Can I hold up a coca-cola can on my that he monetizes the crap out of it
[02:09:25.920 --> 02:09:30.720]   All right, well, I've if you want to follow me on facebook
[02:09:30.720 --> 02:09:38.400]   I promise to put lots of lots of stuff up there. I don't I don't want to be famous. I just want your attention, please
[02:09:38.400 --> 02:09:41.040]   You should you should pet your cat
[02:09:41.440 --> 02:09:48.240]   Yeah, what was by the way? Yeah cat you have cats all yeah your your dog gets all those all the star time here on twit
[02:09:48.240 --> 02:09:51.200]   Oh, you gotta follow Lisa's feed. She's the cat person
[02:09:51.200 --> 02:09:56.400]   You said that was the cat's are new the cats are no, we're old
[02:09:56.400 --> 02:10:04.560]   You know what they're getting spade tomorrow. I will pull a bob barker. Oh, you should you should stream live stream the cats getting spade
[02:10:04.560 --> 02:10:07.920]   Hmm. I'm gonna say you probably shouldn't do that
[02:10:09.920 --> 02:10:15.200]   But we could do a whole thing about like taking them to the cat hospital giving them their last meal
[02:10:15.200 --> 02:10:18.960]   And then when they come home show them limping around
[02:10:18.960 --> 02:10:22.080]   Make sure not to be too professional
[02:10:22.080 --> 02:10:24.400]   Right, right shaky cam
[02:10:24.400 --> 02:10:28.160]   Yeah, can you do this with a can you do you must be able to just do with your
[02:10:28.160 --> 02:10:33.120]   Yeah, yeah. Yeah. Yeah. Yeah, make sure that your awards are in the background my award
[02:10:33.120 --> 02:10:37.360]   After my award in the background. I have a major award you know
[02:10:38.080 --> 02:10:40.080]   You could wear some later hoes and if you want
[02:10:40.080 --> 02:10:44.400]   Ricky Gervais doesn't have later hoes and you could you could beat him on that one. Oh, yeah
[02:10:44.400 --> 02:10:50.000]   You could own that market. Do we care about uh virtual? What is virtual?
[02:10:50.000 --> 02:10:55.920]   Virtual is a company that's yeah, well, it's exactly virtual assistant
[02:10:55.920 --> 02:11:02.720]   The difference is it's not a sharing economy play they are employees of virtual they had until they laid them off 400 employees
[02:11:02.720 --> 02:11:05.360]   Wow
[02:11:05.360 --> 02:11:09.280]   Bigford company and ever they went from 150 to 400 in 18 months
[02:11:09.280 --> 02:11:14.400]   And then they went from outside employees outsiders outside contractors. They were
[02:11:14.400 --> 02:11:20.800]   Exactly exactly. So the secret weapon. It says it's the secret weapon of successful people
[02:11:20.800 --> 02:11:22.960]   It isn't they anyway, they
[02:11:22.960 --> 02:11:27.920]   A crash and burn yesterday they announced that they were laying everybody off and closing the company and then this morning they announced
[02:11:27.920 --> 02:11:31.920]   Oh, start up dot co bottom would be exactly start up dot co
[02:11:31.920 --> 02:11:33.920]   startup dot co. I don't know
[02:11:34.400 --> 02:11:36.400]   They couldn't afford an m
[02:11:36.400 --> 02:11:41.120]   Other thing that's going to run out of money. Yeah, I think there were some criticism of caliconus on this
[02:11:41.120 --> 02:11:43.760]   Is he a investor? Was he a bore?
[02:11:43.760 --> 02:11:49.280]   He interviewed the ceo a couple of days ago right before they went on. Yes. Yeah on this weekend
[02:11:49.280 --> 02:11:52.240]   Yeah, he said he had no knowledge. Yep
[02:11:52.240 --> 02:11:57.680]   But the ceo probably don't burn right. Whoa. No wonder this didn't go anywhere
[02:11:58.240 --> 02:12:04.080]   750 bucks a month for this virtual assistant. Yeah, it's a weird model and I don't get it
[02:12:04.080 --> 02:12:09.440]   Well, and it sounds like they went from the contractor model to the employee model
[02:12:09.440 --> 02:12:13.520]   And that increased their cost by like an order of magnitude. Yep, and then just couldn't keep up
[02:12:13.520 --> 02:12:17.120]   And they then they they were counting on
[02:12:17.120 --> 02:12:24.080]   Infusions of cash from investors who decided you know what? I don't think so and then there was a sudden crash
[02:12:24.320 --> 02:12:28.960]   But they these these assistants are in your meat space, right? So they can't do my dry cleaning
[02:12:28.960 --> 02:12:35.040]   Exactly. They cannot do your dry cleaning. They they work in there, you know, their meat space exactly never the twain shall meet
[02:12:35.040 --> 02:12:36.720]   That's right
[02:12:36.720 --> 02:12:41.520]   Let's take a break. Someone someone just put up something on the on the rundown which I was being cagey before
[02:12:41.520 --> 02:12:46.080]   Oh facebook live. Oh, yes. Now that it's now that it's out. I was being told things on a
[02:12:46.080 --> 02:12:48.640]   Tech crunch is reporting. Yeah
[02:12:48.640 --> 02:12:53.920]   That it will soon be opened up to I've been showing this article during the entire conversation
[02:12:54.480 --> 02:12:56.400]   Oh, I see I didn't see that
[02:12:56.400 --> 02:13:02.080]   I was being cagey. Don't be so cagey. Although I thought john konstein left tech crunch to get a job with apple
[02:13:02.080 --> 02:13:07.360]   But again journalists and verified profiles. It's it's another level of me. That's why I just went public
[02:13:07.360 --> 02:13:09.120]   As long as you follow me
[02:13:09.120 --> 02:13:14.320]   If everybody who watches this show goes immediately to facebook.com/ by the way, I can't get leo loport
[02:13:14.320 --> 02:13:15.600]   Somebody has that
[02:13:15.600 --> 02:13:20.080]   So facebook.com/leo g leport. That's about leo loport.xyz
[02:13:21.200 --> 02:13:24.480]   There's another leo loport. I don't know why they say I can't have it
[02:13:24.480 --> 02:13:28.080]   Maybe they're saving it for me
[02:13:28.080 --> 02:13:30.080]   Yeah, that's when you go there. Yeah
[02:13:30.080 --> 02:13:33.920]   Sorry, this content isn't available right now
[02:13:33.920 --> 02:13:37.040]   Oh, maybe you can get it. How could I get it?
[02:13:37.040 --> 02:13:39.840]   Well, ask the nice people on facebook
[02:13:39.840 --> 02:13:44.480]   Somebody had it probably somebody impersonating me had it is what it was. Yeah, maybe you can get it
[02:13:44.480 --> 02:13:50.400]   But it wouldn't be very you know the people impressed there, right? Don't you know? I know anybody
[02:13:50.400 --> 02:13:54.880]   I intentionally don't know anybody if I knew somebody I'd feel bad when I say bad things about it
[02:13:54.880 --> 02:13:56.880]   No, I don't want to know anybody
[02:13:56.880 --> 02:13:58.880]   Well, then you can ask her to see me
[02:13:58.880 --> 02:14:02.640]   Anybody no jeff I know you and I know matt and I know mike that's it
[02:14:02.640 --> 02:14:06.960]   I don't have a like public like one of my comments once
[02:14:06.960 --> 02:14:09.200]   Did I?
[02:14:09.200 --> 02:14:14.160]   No mark Zuckerberg mark. He liked when so he knows you so pretty tight. That's pretty good
[02:14:14.160 --> 02:14:18.400]   That's pretty good. I waved at it. I'm gonna go to the office
[02:14:19.840 --> 02:14:22.160]   I know I know robert scobold does that help?
[02:14:22.160 --> 02:14:24.240]   No
[02:14:24.240 --> 02:14:26.240]   Everybody doesn't know
[02:14:26.240 --> 02:14:33.920]   All right, let's take a break when we come back tips picks numbers and and michael explain what this mess that's right honkin
[02:14:33.920 --> 02:14:36.560]   Thing is it's one of them. It's large. Wow
[02:14:36.560 --> 02:14:38.880]   Look at that
[02:14:38.880 --> 02:14:40.880]   It's not a laptop
[02:14:40.880 --> 02:14:44.720]   But an incredible simulation. It's a table top. It's a table
[02:14:44.720 --> 02:14:49.680]   Actually, I want to buy one once you told me the price is said i'll take two. Yeah. Yep
[02:14:49.840 --> 02:14:55.200]   Uh, this show brought to you by our great friends at zip recruiter if you're hiring if you're if you're not virtual
[02:14:55.200 --> 02:14:58.000]   And you're hiring
[02:14:58.000 --> 02:15:02.800]   Uh, you know that one of if you're the person who does it you know that it's really kind of it's a mixed bag
[02:15:02.800 --> 02:15:09.120]   There's the potentials huge because hiring the right person can make a huge difference at your business hiring the wrong person. Not so good
[02:15:09.120 --> 02:15:15.680]   But you know what this is a really good time to be looking for people because people are in vacation
[02:15:15.680 --> 02:15:18.240]   They're not around there's less competition for the best people
[02:15:18.960 --> 02:15:20.640]   in the summertime
[02:15:20.640 --> 02:15:26.080]   So if you're looking for great candidates and you want to make it easy on yourself zip recruiter.com
[02:15:26.080 --> 02:15:32.080]   Zip recruiter posts to 100 plus job boards with just one click so you're your postons out there
[02:15:32.080 --> 02:15:37.680]   It's everywhere plus they have four million current resumes on file that they can match you against
[02:15:37.680 --> 02:15:42.560]   So you're going to get instant results now you might say but leo if I post to 100 job boards
[02:15:42.560 --> 02:15:47.200]   I'm going to get so many candidates. How will I handle all the phone calls and the emails? Don't worry
[02:15:48.000 --> 02:15:51.760]   Don't worry the phone calls the emails they flow right into the zip recruiter interface
[02:15:51.760 --> 02:15:57.360]   Where you can screen candidates rank them and hire the right person fast. No more calls
[02:15:57.360 --> 02:16:03.200]   No more emails. We got a great email from dr. Robert martinez. He's a happy zip recruiter user
[02:16:03.200 --> 02:16:07.360]   He said zip recruiter has been great at every level of service easy to use
[02:16:07.360 --> 02:16:12.800]   Professional the support has been second and none. We're very selective at choosing our employees
[02:16:13.280 --> 02:16:21.360]   As you should be dr. Robert martinez. It's very clear that zip recruiter is a is as well to offer such great customer service experience
[02:16:21.360 --> 02:16:26.160]   A great customer experience. That's what you need to know hire the right one fast
[02:16:26.160 --> 02:16:33.360]   Four days free that might even be enough to do the whole thing honest. It's fast zip recruiter.com/twig
[02:16:33.360 --> 02:16:42.000]   400,000 plus businesses including twit use zip recruiter. You can try it right now zip recruiter.com/twig
[02:16:43.040 --> 02:16:49.840]   You will love it four days free. We thank him so much for making a great service and being a sponsor on this week
[02:16:49.840 --> 02:16:52.480]   in google
[02:16:52.480 --> 02:16:57.840]   Who wants to start? Why don't we get Matthew Ingram? He's out at the lake. He's enjoying the skaters and black flies
[02:16:57.840 --> 02:17:00.560]   His tool the week is a canoe
[02:17:00.560 --> 02:17:03.120]   battle
[02:17:03.120 --> 02:17:06.240]   What do you got to do? I don't have a tool
[02:17:06.240 --> 02:17:08.960]   You've got nothing
[02:17:08.960 --> 02:17:14.480]   You have nothing you have a tip for me to get into facebook's good graces so I can live do live video
[02:17:14.480 --> 02:17:21.040]   I think you should try and lean closer to the camera. Yeah, I'm getting my teeth filed
[02:17:21.040 --> 02:17:26.160]   I have a great idea
[02:17:26.160 --> 02:17:32.400]   It's an aluminium tie about that aluminium teeth
[02:17:32.400 --> 02:17:35.680]   They are very sharp
[02:17:36.160 --> 02:17:40.080]   And uh, Matthew, whoa, I saw that somebody ducked behind me
[02:17:40.080 --> 02:17:48.640]   Do you have anything for us? Actually jeff will do a number. Okay, because then we want to save this okay best for last
[02:17:48.640 --> 02:17:55.600]   Cake at the end. I'll do a report from uh page fair and adobe vnet 2015 ad blocking. Oh, I saw this
[02:17:55.600 --> 02:17:56.480]   Oh, yeah, yeah
[02:17:56.480 --> 02:18:00.080]   Estimated loss of global revenue due to blocked advertising during
[02:18:00.080 --> 02:18:04.080]   2015 was well, we're not over 2015 yet
[02:18:04.080 --> 02:18:07.440]   But anyway 21.8 billion dollars
[02:18:07.440 --> 02:18:11.760]   I don't buy it. Yep. Well, no, how would you measure it?
[02:18:11.760 --> 02:18:19.120]   Oh, they have the methodology. This is like how much money the the movie industry lost from from from pirated downloads. I don't think
[02:18:19.120 --> 02:18:23.520]   They would well one thing they do know and this is uh, I think
[02:18:23.520 --> 02:18:28.960]   Telling is that there's been a 41 percent increase in using ad blockers. Yes
[02:18:29.520 --> 02:18:33.920]   11 percent in the united states the number one state for ad blockers is Oregon
[02:18:33.920 --> 02:18:37.920]   Uh figures, you know, we we talked about this on tech news today
[02:18:37.920 --> 02:18:42.320]   I mean we heard from some some very uh savvy users who said you know what
[02:18:42.320 --> 02:18:46.240]   the the the the elephant in the living room is that
[02:18:46.240 --> 02:18:54.800]   Ad blocking software is being used as a protection right from security for malware. Yeah, exactly. It's all about chavascript. Yes
[02:18:54.800 --> 02:18:57.440]   And I understand that I do
[02:18:57.440 --> 02:19:04.080]   And actually it's also about slow loading pages. Yes, a lot of garbage. Yeah, it's it's yeah, and and you know, I'm thinking about this
[02:19:04.080 --> 02:19:06.800]   Right in a column about this
[02:19:06.800 --> 02:19:10.080]   Now that I have to write one is is that it's going to help me out here
[02:19:10.080 --> 02:19:13.840]   I think that advertising itself as a form is getting worse and worse and worse
[02:19:13.840 --> 02:19:19.040]   Right the form because it's getting more desperate to to trick us
[02:19:19.040 --> 02:19:23.360]   Uh, and I'm I'm not a fan of native advertising. I think that um
[02:19:23.360 --> 02:19:26.560]   uh, you know headlines that aim to say
[02:19:27.200 --> 02:19:34.160]   This will change your life. Uh, uh, lots of ways to try to fool us and it's and and and bad pop-ups and all kinds of things
[02:19:34.160 --> 02:19:38.880]   It's becoming more and more and more desperate and so yeah, we kind of deserve
[02:19:38.880 --> 02:19:43.280]   Wait a minute. I gotta point out that ad blocking will give you more native
[02:19:43.280 --> 02:19:47.040]   Advertising well, that's one way to try because it doesn't get blocked
[02:19:47.040 --> 02:19:49.040]   It'll give you more product placement
[02:19:49.040 --> 02:19:53.920]   It'll give you more of the kinds of of sneaky ads that can get around ad blockers
[02:19:53.920 --> 02:19:59.760]   So Matthew funny you should ask one answer is if you go to, um, youtube
[02:19:59.760 --> 02:20:03.360]   And you start an ad there and you don't watch it
[02:20:03.360 --> 02:20:08.400]   In true view the advertisers in pay. So what does the advertiser motivated to do make a good ad?
[02:20:08.400 --> 02:20:13.680]   Really clever amazing ads. Yeah, uh, what is the second motivation is to give me relevance, right?
[02:20:13.680 --> 02:20:16.720]   Don't don't just show me billboards of things that I don't want to buy baby carriages
[02:20:16.720 --> 02:20:21.840]   I have no reason I hope to buy very baby carriages. Um, you know, so so don't show me that stuff
[02:20:22.400 --> 02:20:27.040]   Advertising has gotten worse and worse more desperate more desperate if they're just like I argued that we in
[02:20:27.040 --> 02:20:31.600]   In the content side and journalism side have to go to higher quality not to crap
[02:20:31.600 --> 02:20:36.400]   In the in the future. Uh, so does the advertising side and we've got to help them figure it out
[02:20:36.400 --> 02:20:40.480]   So anyway, although I was just so mark o'arm and uh wrote something
[02:20:40.480 --> 02:20:48.000]   About this created a service that blocks out ads. What's what's not break which which and which a number people have pointed out
[02:20:48.000 --> 02:20:51.840]   Um, but his his point was very similar that the ads are bad
[02:20:52.320 --> 02:20:54.880]   JavaScript is bad pages take a long time to load
[02:20:54.880 --> 02:20:59.120]   This is normal behavior on the part of users to take sort of claw back
[02:20:59.120 --> 02:21:05.360]   Some of the time that they're losing to to crap web pages and to things that don't load properly
[02:21:05.360 --> 02:21:12.560]   And so his response was well if you the alternative is you can charge people directly or you can use native advertising
[02:21:12.560 --> 02:21:15.680]   And the I think there were a number of places that
[02:21:15.680 --> 02:21:18.720]   Like publishers who responded well, we would love to do that
[02:21:19.200 --> 02:21:25.520]   But we can't you can't make a business not everyone can make a business out of charging people directly
[02:21:25.520 --> 02:21:30.320]   Um and even like some people who could do that. Maybe they don't want to do that
[02:21:30.320 --> 02:21:32.320]   Advertising is the only thing they have available
[02:21:32.320 --> 02:21:34.800]   There isn't enough money
[02:21:34.800 --> 02:21:41.040]   From what that that red lines journalism. It's only for the rich who can afford it. It limits the audience limits the growth
[02:21:41.040 --> 02:21:46.800]   Um, I'm not a paywall fan never never you know, I'll say my books happily, but paywalls are not the answer
[02:21:47.440 --> 02:21:52.720]   And native advertising is not the answer either relevance and quality are going to be the only answers
[02:21:52.720 --> 02:21:58.080]   So then we just have to wait for advertising to get better. I think we've got to help them get better
[02:21:58.080 --> 02:22:01.120]   We've got we that's that's the problem. We've got to take that on even in a journalism school
[02:22:01.120 --> 02:22:04.720]   I'm now seeing that i've got to take on advertising. That's going to be controversial
[02:22:04.720 --> 02:22:07.360]   Uh, why would you help advertisers?
[02:22:07.360 --> 02:22:10.960]   Uh, it's not like a journalism is called teaching flax which we don't do and I don't want to do
[02:22:10.960 --> 02:22:14.480]   But it does say that if we're gonna still get support from advertising
[02:22:14.480 --> 02:22:21.840]   We've got to help improve the efficacy of that advertising. I think the solution is similar to spam filtering and filtering in email
[02:22:21.840 --> 02:22:24.320]   Basically, I'd love to see a granular
[02:22:24.320 --> 02:22:30.880]   Blocking of ads where the default is that your shown ads you can also go in and say I don't want ads to do this
[02:22:30.880 --> 02:22:33.920]   I don't want ads to do that. I don't want ads to drop cook whatever it is
[02:22:33.920 --> 02:22:39.600]   And then you can also go in and say when you see a you know a a baby carriage ad you can say I don't want
[02:22:40.080 --> 02:22:44.480]   Anything in this category, uh, and so you can choose to see ads
[02:22:44.480 --> 02:22:51.600]   That are relevant to you that are interesting that aren't exploitative that don't this you know, isn't that like malware?
[02:22:51.600 --> 02:22:57.600]   No facebook has terrible ads completely non contextual. I
[02:22:57.600 --> 02:23:01.280]   I did you give you some control over what you see and what you don't they do and
[02:23:01.280 --> 02:23:06.480]   And they hide this or i'm not interested in this right and and facebook is trying to be the alternative internet
[02:23:06.480 --> 02:23:10.720]   But on the actual internet it would be great for the ad blocking companies to figure out some way
[02:23:10.720 --> 02:23:15.840]   To do something other than get rid of all ads. They do that ad block plus
[02:23:15.840 --> 02:23:21.360]   Yeah, it is as a policy if you aren't an annoying ad and you can also pay them
[02:23:21.360 --> 02:23:23.840]   Yeah, if you're gonna go
[02:23:23.840 --> 02:23:25.040]   If you'd like
[02:23:25.040 --> 02:23:30.720]   Um, I think that's still the number one used ad blocker. Yeah, we need a lot more granularity though
[02:23:30.720 --> 02:23:32.800]   I mean, it's my fear is
[02:23:32.800 --> 02:23:35.920]   My fear is that ad blocking is basically helping facebook
[02:23:36.320 --> 02:23:41.920]   So ad blocking is going to get rid of lots of the sort of low hanging
[02:23:41.920 --> 02:23:47.200]   Junk in ads and facebook is going to be the one that benefits and that in turn is going to
[02:23:47.200 --> 02:23:51.360]   convince more media companies to do deals like instant articles with facebook
[02:23:51.360 --> 02:23:57.520]   I think one solution would be to honor, uh, do not track
[02:23:57.520 --> 02:24:00.880]   I think a responsible companies will do that
[02:24:00.880 --> 02:24:05.920]   To stop using flash ads because that's how the malware. Yeah, let's let's just get rid of flash
[02:24:06.000 --> 02:24:08.000]   Let's get rid of flash ads
[02:24:08.000 --> 02:24:12.800]   Uh, and maybe can limit a little bit, uh, the amount of scripting that's going on in ads
[02:24:12.800 --> 02:24:16.960]   I don't know. Let's do it. There's a great, uh, extension
[02:24:16.960 --> 02:24:19.840]   I'll make this my pick of the week called privacy badger. Yep
[02:24:19.840 --> 02:24:24.080]   That the eff is put out, uh, and you got to trust them
[02:24:24.080 --> 02:24:28.880]   And it will show you trackers on pages and give you a slider that will let you
[02:24:28.880 --> 02:24:30.480]   Uh
[02:24:30.480 --> 02:24:35.040]   Block cookies or completely block a domain. Let's note again. Let's note again that
[02:24:35.360 --> 02:24:38.080]   Number one cookies are not necessarily evil and tracking
[02:24:38.080 --> 02:24:46.240]   Uh, and and I would argue two things one is that they are a way to in fact get higher relevance than advertising and less repetition and advertising
[02:24:46.240 --> 02:24:49.920]   And less irritation and number two they're important to supporting media
[02:24:49.920 --> 02:24:55.600]   And if you if you if you killed cookies and got rid of them, you're going to kill the content that comes of value to you
[02:24:55.600 --> 02:25:01.120]   So believe the figure of 21.8 billion dollars or not the direction is still the same
[02:25:02.000 --> 02:25:04.320]   If you don't want everything to become behind a paywall
[02:25:04.320 --> 02:25:09.040]   Then we're going to have to support on advertising we have to figure out advertising and just saying that all advertising is bad
[02:25:09.040 --> 02:25:15.040]   And all tracking that makes advertising work economically is evil and bad is infantile and damaging
[02:25:15.040 --> 02:25:21.280]   I love the eff. I love the eff for 99.8 percent of their work, but this is I think
[02:25:21.280 --> 02:25:26.800]   But but it's but it's pressuring the ad company to do exactly what you're saying that they should do
[02:25:26.800 --> 02:25:31.840]   You know, it's it's serious pressure when you know, this thing is growing that the you know ad blocking and things
[02:25:31.840 --> 02:25:35.760]   Like privacy badger. Okay, but there's the screws that we have that we can turn that
[02:25:35.760 --> 02:25:42.240]   That's a negative way to do it a more positive way to do it is to say here's how advertising could work positively and decently
[02:25:42.240 --> 02:25:48.640]   And instead you what you created is a huge population up to a third of the world that's now blocking all ads
[02:25:48.640 --> 02:25:51.120]   um
[02:25:51.120 --> 02:25:52.560]   Make them operate
[02:25:52.560 --> 02:25:56.560]   Well, they're not going to see nobody's going to see it and and and places are going to die
[02:25:56.560 --> 02:25:59.360]   As a result, I think
[02:25:59.600 --> 02:26:03.680]   They're not going to respond to good ideas. They're only going to respond to they're only going to be respond to
[02:26:03.680 --> 02:26:07.520]   To being squeezed and incentive incentives
[02:26:07.520 --> 02:26:09.840]   No, that's that a cool effect your own company right there
[02:26:09.840 --> 02:26:13.840]   Leo doesn't take crappy ads leo takes ads that he believes in
[02:26:13.840 --> 02:26:19.760]   He doesn't in a certain way there are things he will and won't do and advertisers want to be associated with that because it is seen by this very
[02:26:19.760 --> 02:26:23.120]   Audience as a quality relationships and there's a trust with those advertisers
[02:26:23.120 --> 02:26:28.880]   and I have I have an affection that spot my heart for harries and casper and and
[02:26:29.440 --> 02:26:36.000]   Forge should come back and you know those places because they have a relationship, but that does my model doesn't work for a lot of
[02:26:36.000 --> 02:26:41.360]   Right media including web websites. Yeah, can't do what I do on websites
[02:26:41.360 --> 02:26:46.960]   The punch the monkey people are you persuaded by that you can't do it, but it's called native advertising
[02:26:46.960 --> 02:26:51.840]   I mean, that's the I think if you if you really want to make advertising
[02:26:51.840 --> 02:26:58.480]   Better for media companies native advertising is one way to do it if it's good content then it works if it's bad content
[02:26:58.480 --> 02:27:00.480]   It doesn't work
[02:27:00.480 --> 02:27:05.600]   I think really good content would be live streaming videos for me on my Facebook page
[02:27:05.600 --> 02:27:12.080]   So if you all go host your teeth, I want to see your teeth by the way good news if you turn off followers
[02:27:12.080 --> 02:27:14.720]   But then turn it back on you don't lose all the followers you had
[02:27:14.720 --> 02:27:20.560]   So I have 227,000 followers still nice even though I just turned it on
[02:27:20.560 --> 02:27:25.280]   Huh, so if you want to see more of me and later hosen here's your chance
[02:27:27.680 --> 02:27:32.640]   I can better in than not yeah in the later hosen you bet
[02:27:32.640 --> 02:27:36.080]   Um, yeah, we had this conversation
[02:27:36.080 --> 02:27:42.080]   I've recused myself on the conversation you just had because I have very strong opinions, but I've expressed them on security now
[02:27:42.080 --> 02:27:45.360]   It was your tool for steve and I just just talk about this
[02:27:45.360 --> 02:27:48.160]   um
[02:27:48.160 --> 02:27:51.760]   Yeah, one of the things privacy badger does is it's a little different is
[02:27:51.760 --> 02:27:55.760]   uh, they will they they they actually are trying to block
[02:27:56.640 --> 02:28:01.520]   Advertisers and advertising tools that don't follow do not track right
[02:28:01.520 --> 02:28:07.840]   So if you want to be so instead of just blocking all ads they block ads
[02:28:07.840 --> 02:28:14.000]   From advertisers who say we're not going to honor the request of a user not to track. Yeah, and um
[02:28:14.000 --> 02:28:20.880]   I think that's a good maybe a good way to do it. Let's well, let's but that's do we need do we need to track this whole tracking is bad
[02:28:21.280 --> 02:28:27.360]   Doesn't bother me. Yes, you do you do for a couple reasons number one you need a very simple level for um, sorry
[02:28:27.360 --> 02:28:34.640]   I'm turning orange now. Uh, what color is Jeff gonna be now? It's a sunsetting and it's I know it is. Yeah, uh, it looks like I'm the son
[02:28:34.640 --> 02:28:36.640]   Trina sunset jeff
[02:28:36.640 --> 02:28:38.080]   So
[02:28:38.080 --> 02:28:40.960]   One one is frequency caps, right with
[02:28:40.960 --> 02:28:45.600]   By putting cookies on you got to know how long who is this person seen this out or we throwing our money?
[02:28:45.600 --> 02:28:50.800]   That's actually very useful most advertisers want that we certainly we certainly do that
[02:28:51.600 --> 02:28:58.320]   Uh, on our shows here. That's one of the things there's a this thought and I think it's probably true that there's a ideal number of impressions
[02:28:58.320 --> 02:29:02.160]   That not too few impressions. Nobody's going to act on an ad too many
[02:29:02.160 --> 02:29:06.240]   Nobody's going to see the ad you want to get, you know, five six impressions
[02:29:06.240 --> 02:29:09.760]   Uh, and that's it the rest is wasted money
[02:29:09.760 --> 02:29:15.840]   Right. The second is going to be uh some measure of of relevance now relevance taking into its stupid extreme
[02:29:15.920 --> 02:29:20.000]   We see right now, which is so called, uh, retargeting advertising you go to amazon
[02:29:20.000 --> 02:29:23.360]   You look at boots those boots follow you around every place you go on the web for a month
[02:29:23.360 --> 02:29:29.840]   What that says is the data point about your in christian boots beats any value of being in media next to context
[02:29:29.840 --> 02:29:32.560]   And it commodifies media down to a zero value
[02:29:32.560 --> 02:29:37.200]   So that's the kind of stupid and by the way, once you bought the boots it still keeps trying to sell you the same
[02:29:37.200 --> 02:29:42.480]   Booty box stupid it's stupid right but that's where advertising value is going to go
[02:29:43.360 --> 02:29:46.640]   And media are going to lose we've lost we've lost that already
[02:29:46.640 --> 02:29:51.760]   And and and so the only way we're going to fight back is by coming up with means to have relevance and value to people
[02:29:51.760 --> 02:29:54.240]   Now that means we've got to have better advertising lots of other things
[02:29:54.240 --> 02:29:57.760]   But the only way we can know you as an individual if we is if we know you as an individual
[02:29:57.760 --> 02:30:00.080]   And that's otherwise known as tracking
[02:30:00.080 --> 02:30:03.120]   And we've demonized this idea of tracking
[02:30:03.120 --> 02:30:06.320]   What do they know to the point that just having a relationship with someone?
[02:30:06.320 --> 02:30:11.280]   So my argument constantly is the media have to follow the example of google and get to know you as an individual
[02:30:11.520 --> 02:30:16.800]   And not see you as an anonymous faceless mass because that's the insult that media has given us for the last century
[02:30:16.800 --> 02:30:19.600]   And now it can change and i'm tired i'm going to get a pizza
[02:30:19.600 --> 02:30:25.440]   Sorry about that
[02:30:25.440 --> 02:30:32.480]   Your pick of the week mr. Mike yelkin. It's a it's called a bat big ass tablet. Yeah, that's right
[02:30:32.480 --> 02:30:35.040]   We've seen these before
[02:30:35.040 --> 02:30:40.400]   Running windows. Yes. This one is a crumb of this book. This is the ace or crumb base
[02:30:41.040 --> 02:30:46.880]   Touch yeah, this is also as 21.5 inches the screen and then it's got a pretty good bezel
[02:30:46.880 --> 02:30:49.360]   It's quite large
[02:30:49.360 --> 02:30:54.160]   And uh, it's I don't know, you know, that's the second time. Yeah, it's it's like
[02:30:54.160 --> 02:30:59.360]   Let me look it up on here in pounds. It's asus asus. I'm sorry. It's asir asir
[02:30:59.360 --> 02:31:04.000]   Chrome base touch the asir chrome base touch cost here's the best part it costs
[02:31:04.880 --> 02:31:09.600]   $9.99 that makes it attractive has 10 points of touch the non-touch version costs
[02:31:09.600 --> 02:31:14.480]   $3.29 99 but again, this is like a chrome book this runs chrome chromium
