
[00:00:00.000 --> 00:00:04.000]   Hi Jason Snell sitting in for Leo Laporte this week on Macbreak Weekly. There's so much going on
[01:07:29.080 --> 01:07:33.080]   I have my apple watch so during the traffic jam. I simply said blah blah blah
[01:07:33.640 --> 01:07:38.840]   Hi, I'm going I'm stuck in traffic. I've got a detour. I'll be 20 minutes late. There you go. Thank you apple watch
[01:07:38.840 --> 01:07:42.120]   This is definitely going into the review as a reason why apple watch is so great
[01:07:42.120 --> 01:07:46.760]   And then I got there and my my friend was miff because why I'm sorry you should have texted me
[01:07:46.760 --> 01:07:51.640]   I said but I used my apple watch to message you and he had an apple watch and an iPhone
[01:07:51.640 --> 01:07:57.400]   But messages decided see the last time that he logged in was from his computer in his office
[01:07:57.400 --> 01:08:00.360]   I'll direct this message to the computer in his office
[01:08:01.160 --> 01:08:05.320]   So yeah, that's that's really all I care about if you make me if you make me a great sms app that has
[01:08:05.320 --> 01:08:08.760]   Chat built in that will make sure that no matter what happens it gets the message
[01:08:08.760 --> 01:08:12.120]   I'll use it and then I'll use what's app alongside it for the sticker stuff
[01:08:12.120 --> 01:08:18.280]   But that's where the fail is for me. I just don't trust it enough to even on my even on my my ipads even on my
[01:08:18.280 --> 01:08:20.360]   iOS devices. I just don't trust it enough to use it
[01:08:20.360 --> 01:08:24.680]   Yeah, I think there's like three separate issues here and one is there's absolutely
[01:08:24.680 --> 01:08:27.160]   I think reliability and dependability have gotten way way better
[01:08:27.640 --> 01:08:32.760]   And I use hangouts and I use skype and I use everything that Andy mentioned because I have friends on all those platforms
[01:08:32.760 --> 01:08:38.360]   And I wouldn't say any of them are more or less reliable now than iMessage while of them will occasionally drop a message
[01:08:38.360 --> 01:08:40.360]   So I think that part is largely fixed
[01:08:40.360 --> 01:08:45.720]   Messaging in general is fragmented people in different areas like iMessage is popular in North America
[01:08:45.720 --> 01:08:50.520]   But almost unheard of you know what's app is hugely popular in some places line is popular wecha
[01:08:50.520 --> 01:08:55.800]   There are fragmentation issues that are going to stop anyone from having a unified messaging system
[01:08:56.040 --> 01:08:58.840]   If you have friends in multiple areas or on multiple platforms
[01:08:58.840 --> 01:09:05.880]   And the other the other two are interesting one is there is cache and having an exclusive messaging service is what helped blackberry in the early days
[01:09:05.880 --> 01:09:11.480]   If you were on bbm you were a mover and shaker and people aspire to be on bbm and executives were on pin
[01:09:11.480 --> 01:09:14.760]   Which was even more prestigious than bbm, but at a certain point
[01:09:14.760 --> 01:09:19.640]   You lose the market what's app eats your lunch and the entire value of your company is infinitesimal
[01:09:19.640 --> 01:09:25.160]   Compared to the company that basically cloned your entire messaging strategy and made it multi-platform. So it's an incredibly
[01:09:25.880 --> 01:09:29.720]   Sharp balancing act that you have to pay a lot of attention to and make the smart choice
[01:09:29.720 --> 01:09:33.160]   We're yes, it helps you retain users now tomorrow you're hemorrhaging money
[01:09:33.160 --> 01:09:36.840]   So you you got to pay super attention. The third thing is I think messages
[01:09:36.840 --> 01:09:40.920]   Was a marquee feature for iOS 10 and for various reasons
[01:09:40.920 --> 01:09:47.480]   It was hard to get to market and they had to do a lot of things like they just they weren't able to get it fully deployed on the mac
[01:09:47.480 --> 01:09:53.800]   They they were some features that were cut from the iOS version and others that baby didn't get as far along as as they should have
[01:09:54.440 --> 01:09:56.760]   And when you look at it, I think that sort of makes sense
[01:09:56.760 --> 01:10:00.920]   You like the management when you start having multiple sticker packs and multiple apps
[01:10:00.920 --> 01:10:05.720]   It just it did not get the the thinking through it needed and the way that messages are bound
[01:10:05.720 --> 01:10:10.120]   I can't delightful that you can collaborate. You can oh stickerate someone completely you can just
[01:10:10.120 --> 01:10:12.920]   Slope splat on somebody
[01:10:12.920 --> 01:10:15.080]   Totally hide them out. It's an amazing feeling
[01:10:15.080 --> 01:10:20.680]   But I keep going emoji to get stickers because they're all just pictures to me and the organization and all of that
[01:10:20.680 --> 01:10:26.760]   I think apple needs another year to sort of figure out the coherence behind the features that they threw on the wall this year
[01:10:26.760 --> 01:10:32.280]   Yeah, I think that's exactly that they obviously they've they focused on deploying these features and they did it is as a mac user
[01:10:32.280 --> 01:10:37.480]   I'm sad that the mac has some but not a lot of those features the the
[01:10:37.480 --> 01:10:41.240]   I still don't entirely understand like there are two different ways to
[01:10:41.240 --> 01:10:44.920]   Draw things with your finger. You can do the digital touch is cramped in there
[01:10:44.920 --> 01:10:49.720]   You can do digital touch digital touch has it's so confusing that it's got an animated sort of guide
[01:10:50.280 --> 01:10:55.160]   And then if you tap on that it brings up a screen that explains to you how to use digital touch
[01:10:55.160 --> 01:10:57.640]   It's like buried it on the watch the same time. They bought a title
[01:10:57.640 --> 01:11:03.800]   Well that that and that's that's the really baffling thing is it's like apple watch team is being told look digital touch
[01:11:03.800 --> 01:11:09.560]   Deemphasize deemphasize and then the message is team is like we got digital touch now. I think it's hard
[01:11:09.560 --> 01:11:14.280]   It is yeah, it's a it's a tough one and I do wonder we were speculating on a podcast
[01:11:14.280 --> 01:11:19.960]   I do uh upgrade that uh somebody at apple really loves digital touch because that is the only explanation for why
[01:11:19.960 --> 01:11:21.720]   It keeps on what happened floated up there
[01:11:21.720 --> 01:11:27.240]   My understanding is that digital touch they thought it was going to be a big deal and that was shown in the prominence that it was given on the apple watch
[01:11:27.240 --> 01:11:30.920]   It was given a prime slot and one of only two dedicated hardware buttons
[01:11:30.920 --> 01:11:34.440]   And they were all in on on this and it just did not work out so
[01:11:34.440 --> 01:11:37.080]   Cooler heads prevailed and it was moved down
[01:11:37.080 --> 01:11:42.360]   But at the same time because these development cycles are so long digital touch was being built for iphone and ipad
[01:11:42.360 --> 01:11:47.000]   And you know they could have canceled it I guess but you know they didn't cancel a totally an apple watch
[01:11:47.080 --> 01:11:53.880]   So it's like yeah sure cram it in there into it was already a really really really tough process getting the messages finished
[01:11:53.880 --> 01:11:56.040]   In time for wdbc
[01:11:56.040 --> 01:11:58.200]   Apparently was a lot of ups and downs involved there as well
[01:11:58.200 --> 01:12:01.240]   And at the end they just you know, they they had what they could ship
[01:12:01.240 --> 01:12:03.400]   And I think if they if they could do it over again
[01:12:03.400 --> 01:12:08.840]   They they might have done it a different way and I think they will take the next year sort of one of those like like an iCloud moment
[01:12:08.840 --> 01:12:11.320]   Yeah, we'll refine it a little refinements will have it
[01:12:11.320 --> 01:12:13.880]   I think to Andy's point about competing with some of these other categories
[01:12:14.040 --> 01:12:17.960]   I don't know if this is a it's a base platform feature. It's on every iphone
[01:12:17.960 --> 01:12:24.680]   I feel like this is more about bringing it's recognizing that people have fun on other platforms with messaging and that they nobody has any fun on
[01:12:24.680 --> 01:12:31.640]   On iMessage and that maybe apple should give them some things that are like what other platforms have so they maybe they could have fun too
[01:12:31.640 --> 01:12:35.400]   Even though they're never going to download a second messaging app because there are a lot of people
[01:12:35.400 --> 01:12:40.040]   I would say a huge number of people especially in North America who are not going to download
[01:12:40.440 --> 01:12:43.080]   Another messaging app. They're just going to use the one that's on their phone
[01:12:43.080 --> 01:12:49.640]   So why not make that more fun because clearly people on other platforms are having more fun than they are on iMessage and it does that
[01:12:49.640 --> 01:12:51.640]   It's just kind of a hodgepodge right now
[01:12:51.640 --> 01:13:00.120]   Well, also both apple and google are in the same boat where they realize that people they they look at what apps are what apps do people spend most of their time using
[01:13:00.120 --> 01:13:03.400]   And more and more it's going to be the messages. Yeah, so if they want to deliver
[01:13:03.400 --> 01:13:09.080]   Really great features into the rest of the experience they have to project it into a messaging app
[01:13:09.400 --> 01:13:11.400]   And so both we were seeing
[01:13:11.400 --> 01:13:18.120]   Active assistance in in both apples messaging app and in google's messaging app up of today's a google event
[01:13:18.120 --> 01:13:25.160]   They really made it they part of the keynote of the keynote as it were where that if the transition was from
[01:13:25.160 --> 01:13:30.360]   Decent centralized computing to personal computing to mobile computing to phones
[01:13:30.360 --> 01:13:34.680]   Now to to mobile now the next step is ai
[01:13:35.320 --> 01:13:40.920]   And so really if you want to it's sort of like a letting another letting a third party
[01:13:40.920 --> 01:13:47.960]   Have the messaging app is a lot like having letting a third party have your apis and have your
[01:13:47.960 --> 01:13:50.440]   Have your your your desktop launcher
[01:13:50.440 --> 01:13:56.680]   You really need to have the ability to make people think that the concierge to the entire phone experience is going to be your messaging app
[01:13:56.680 --> 01:14:02.280]   So it's really important that they get that ground back and they know that they're not going to get it back if it's still
[01:14:03.240 --> 01:14:07.240]   If it's still the app you use to tell your mom that
[01:14:07.240 --> 01:14:14.120]   Everything's fine college is great. I'll chat with you again next friday and you make it more like the one. Okay. I already come
[01:14:14.120 --> 01:14:16.120]   My mom now we can get drunk
[01:14:16.120 --> 01:14:18.120]   Well, I think that's a key point though. I mean
[01:14:18.120 --> 01:14:24.520]   Some of these new features really are cute. Some of them are like your parents trying to do snapchat and I don't think they'll name particularly well
[01:14:24.520 --> 01:14:31.080]   But the important thing is that the absolutely messaging apps are becoming platforms are becoming a layer on top of the base operating system
[01:14:31.240 --> 01:14:39.080]   And when you look at what line and we chat specifically have done and what some like facebook and google are moving towards because we're actually behind the large asian messaging services
[01:14:39.080 --> 01:14:46.680]   They're huge platforms already with stickers. Yes, but huge businesses built into gaming and stickers and entertainment and apps and all these things
[01:14:46.680 --> 01:14:52.040]   And I think the bigger news like the stickers are fun. I love them and the effects are cute, you know, sometimes but it's
[01:14:52.040 --> 01:14:56.520]   Messaging apps. I think is what's going to be the huge growth for apple there. Yeah, I think you're right
[01:14:56.600 --> 01:15:00.680]   Oh, by the way, while Andy was talking earlier Renee sent me messages with lasers. So thanks Renee
[01:15:00.680 --> 01:15:04.520]   I sent you back some balloons with lasers. I got them. I got them. That's good. It's so much fun
[01:15:04.520 --> 01:15:09.960]   Hey, do you hear the sound that beeping sound that's happening in the background that I imagined and isn't actually there?
[01:15:09.960 --> 01:15:13.800]   That's the sound of trucks backing up construction trucks because apple
[01:15:13.800 --> 01:15:16.040]   Is building?
[01:15:16.040 --> 01:15:20.040]   I I have a whole bunch of stories here and I just want to I thought this was an interesting
[01:15:20.040 --> 01:15:26.440]   confluence of stories apple the verge reports apple is building a 45 million dollar research center center in beige
[01:15:27.080 --> 01:15:29.000]   To develop new hardware
[01:15:29.000 --> 01:15:33.000]   apple is building a uk center at the batter see power station the historic
[01:15:33.000 --> 01:15:38.280]   Decommissioned batter see power station that's on the tems. They're moving their uk headquarters to batter see
[01:15:38.280 --> 01:15:41.400]   Uh and taking up a large percentage of the building not all of it
[01:15:41.400 --> 01:15:46.200]   But a large percentage of moving all of their london work to batter see which is pretty cool
[01:15:46.200 --> 01:15:53.960]   The Danish data center that apple is using is the largest foreign investment in that country's history something very data
[01:15:54.360 --> 01:15:57.160]   intensive is happening in the state of deadmark and
[01:15:57.160 --> 01:16:04.120]   Let's see what else the region street apple store in london is making its long-awaited reopening on october 15th more london news
[01:16:04.120 --> 01:16:08.920]   And even more exciting perhaps the lights are on at campus too
[01:16:08.920 --> 01:16:12.840]   Now the apple spaceship is glowing to life
[01:16:12.840 --> 01:16:19.320]   And now that we are getting just a few months away from the opening of the new apple campus yet campus yes
[01:16:19.320 --> 01:16:23.720]   It just it doesn't just look like a spaceship. It glows like a spaceship
[01:16:24.280 --> 01:16:29.960]   So I don't I don't know what you guys think about this other than some of this is just apple is a big company
[01:16:29.960 --> 01:16:37.560]   And they got a lot going on and some of it is apple may be being more open to the fact that they've got a lot of people around the world
[01:16:37.560 --> 01:16:42.760]   Working at apple where in the early days of steve jobs the whole watchword was everything happens in kupertino
[01:16:42.760 --> 01:16:44.840]   That's really not it doesn't seem to be the case anymore
[01:16:44.840 --> 01:16:50.600]   Not for a while. I mean they famously had like voice offices in boston and they
[01:16:51.240 --> 01:16:55.240]   I work for ipad was done in vancouver and you know they they have a bunch of offices all around
[01:16:55.240 --> 01:16:56.760]   office
[01:16:56.760 --> 01:16:59.640]   I know big auto office doing some special project stuff too
[01:16:59.640 --> 01:17:06.200]   So they're in canada and obviously london so but you know as I mean you mentioned james tomsen earlier our friend james tomsen
[01:17:06.200 --> 01:17:11.800]   That was a famous story where he was recalled to the mothership and refused to go in the end because
[01:17:11.800 --> 01:17:17.640]   They wanted everybody working on ost end to be in kupertino and apple apple has is too big to do that
[01:17:17.720 --> 01:17:22.120]   It's too much telling me the engineer working on the finder is in bleeping ireland
[01:17:22.120 --> 01:17:28.280]   Actual steve jobs quote he pulled it off. I like there's a movie to be made
[01:17:28.280 --> 01:17:32.040]   It's almost like a weekend at bernies except it involves an irish software engineer
[01:17:32.040 --> 01:17:34.280]   Scottish software engineer in ireland
[01:17:34.280 --> 01:17:38.280]   Uh pretending to be in kupertino when he's actually not that would be a pretty zany
[01:17:38.280 --> 01:17:42.200]   Maybe there's an episode of like a houlton catch fire that could do something
[01:17:42.200 --> 01:17:45.720]   That'd be great. Houlton caught fire. Yeah, exactly
[01:17:45.960 --> 01:17:49.720]   I don't know big apple's a big company and sometimes I think those of us who've been covering it for a long time forget
[01:17:49.720 --> 01:17:54.520]   Just what its global reach is and the size of uh of its operations all over the world
[01:17:54.520 --> 01:18:00.280]   But and china is usually important like we we love to talk about amazon in nor in in especially in america because it's a huge story there
[01:18:00.280 --> 01:18:07.240]   But am amazon for example in china is almost non-existent because they already have big retailers and big online presences and and their own companies and
[01:18:07.240 --> 01:18:09.400]   To compete there is really hard
[01:18:09.400 --> 01:18:13.160]   We've seen the trouble that google's head and apple hasn't had the easiest time lately either
[01:18:13.480 --> 01:18:19.160]   And you can you can paint a picture where the more business apple does like when they invest in chinese companies and they built plants there
[01:18:19.160 --> 01:18:23.240]   That's them also invent investing in their future being allowed to sell into that market
[01:18:23.240 --> 01:18:27.880]   I know my friends in london are very excited about the regent street store opening up
[01:18:27.880 --> 01:18:35.080]   It's going to be similar. I think to the uh the store that they opened reopened at union square in san francisco where it's got the sort of new
[01:18:35.080 --> 01:18:38.360]   I guess it's the angela arrens era apple store
[01:18:39.080 --> 01:18:46.200]   Look, but it's opening on october 15th and that is the go-to flagship uh london store and it's finally going to get it's it's reopening
[01:18:46.200 --> 01:18:49.000]   Because our our mutual friend mike hurlley is uh
[01:18:49.000 --> 01:18:54.600]   Frustrated that regent street hasn't been open you got to go to regent street. So it's it's opening the new
[01:18:54.600 --> 01:19:01.240]   It was the first apple store in europe. So it's a it's a significant thing. I think we both been to necessarily
[01:19:01.240 --> 01:19:05.800]   I haven't I have not no just you and i was you and my carlley
[01:19:07.160 --> 01:19:14.600]   I was actually the first person to like speak on the stage in the theater at the regent street
[01:19:14.600 --> 01:19:17.080]   I was I had just happened me in town like during the opening and so I just
[01:19:17.080 --> 01:19:21.880]   They they booked the gig for some reason because I had a book to sell
[01:19:21.880 --> 01:19:26.360]   And yeah, I mean it's I guess it does show you the difference between uh apple's
[01:19:26.360 --> 01:19:32.600]   Relationship with those stores when they first started opening them uh to today where they've it's uh
[01:19:32.600 --> 01:19:35.480]   It's uh it's no longer necessarily a theater space
[01:19:35.480 --> 01:19:39.240]   It really is a place for people to wait while they have their genius bar appointments
[01:19:39.240 --> 01:19:44.120]   So that's and also they think they also realize that this is a place where once or twice a year
[01:19:44.120 --> 01:19:46.520]   There's going to be a big line of people once or twice a year
[01:19:46.520 --> 01:19:51.800]   They're going to be like local press are going to have their cameras there to do the hey and who what's your name?
[01:19:51.800 --> 01:19:54.360]   And how long have you been waiting in line for the new i-vote 8?
[01:19:54.360 --> 01:19:58.520]   So you want the half pint iphone or the full pint iphone comes in pints?
[01:19:59.080 --> 01:20:05.080]   Yeah, you're gonna have the metric phones over there. That's one of the confusion confusing things about the rest of the world to us americans is the metric phone
[01:20:05.080 --> 01:20:10.120]   So you had in canada you got the metric phones too liberia is on your side. Yeah, that's right. Thank goodness for that
[01:20:10.120 --> 01:20:12.040]   So, um
[01:20:12.040 --> 01:20:16.120]   The metric phone is that you double it in at 30. So it's the iphone 44
[01:20:16.120 --> 01:20:22.120]   Yeah, well, I like to lay a thousand iphones end to end to get a kilo iphone
[01:20:22.120 --> 01:20:24.840]   That's what I prefer
[01:20:24.840 --> 01:20:32.440]   Personally so earlier today as we record this google didn't event we're in which we're not talking about because this is not a google show
[01:20:32.440 --> 01:20:34.840]   There are wonderful
[01:20:34.840 --> 01:20:39.080]   Android related podcasts available including from twit that you should check out
[01:20:39.080 --> 01:20:43.400]   And he also hosts cohosts one on relay fm that you could check out
[01:20:43.400 --> 01:20:48.680]   But so I didn't even want to bring it up, but I want to bring it up for one reason which is as a news angle
[01:20:48.680 --> 01:20:53.640]   Google announced the impending they already mentioned it, but they announced the impending arrival of google home
[01:20:53.720 --> 01:20:59.080]   which is their equivalent of uh of the amazon echo it is a voice controlled
[01:20:59.080 --> 01:21:04.600]   Canister that sits somewhere a flower pot basically it sits in your house and it gives
[01:21:04.600 --> 01:21:11.240]   uh, it gives voice control and uh and a speaker to kind of the air in your living room
[01:21:11.240 --> 01:21:14.760]   Which is a pretty cool idea. I love my amazon echo for the same reason
[01:21:14.760 --> 01:21:21.480]   It's very different from having a phone or a tablet that I can activate or my watch and activate and trigger siri
[01:21:21.640 --> 01:21:26.200]   Because it is in the house. It's available to everyone everyone can hear it everyone can talk to it
[01:21:26.200 --> 01:21:28.600]   And then it can put out music
[01:21:28.600 --> 01:21:33.080]   And so I mentioned the google home because there is a question here which is i've written about it a couple of times
[01:21:33.080 --> 01:21:38.360]   Which is where's apple and uh this week my colleague dan moron wrote on mac world about
[01:21:38.360 --> 01:21:42.600]   How next year apple should make what he and i have been calling the siri speaker
[01:21:42.600 --> 01:21:46.840]   And i've been wondering about that too is like apple's pushing siri forward on a bunch of fronts
[01:21:46.840 --> 01:21:52.040]   But I feel like one of the things that apple needs to do is get siri out of our phones
[01:21:52.040 --> 01:21:57.640]   And watches and into the air of our houses so that we can all talk to it and listen to it
[01:21:57.640 --> 01:22:03.400]   What do you guys think about the idea of making an amazon echo or google home like thing powered by siri?
[01:22:03.400 --> 01:22:10.120]   They have i mean they have prototypes that are both include uh an apple tv a stand alone speaker thing a
[01:22:10.120 --> 01:22:13.080]   I think something that looks like an airport extreme, but you know more modern
[01:22:13.480 --> 01:22:19.080]   Uh, one of the big questions with apple is is they don't they don't always do things just because they can and they absolutely have a technology
[01:22:19.080 --> 01:22:24.520]   To push these things out, but they have this huge philosophical question that i think they're trying to answer and that is siri right now
[01:22:24.520 --> 01:22:27.480]   Is a personal assistant and how do you make it a multi personal assistant?
[01:22:27.480 --> 01:22:31.480]   And what i mean by that is if you look at the implementation of siri on the apple tv for example
[01:22:31.480 --> 01:22:39.160]   It is far smaller than it is on the iphone because with the iphone you can say you know read my text messages read my email
[01:22:39.240 --> 01:22:46.440]   What's my calendar? What's my appointment and apple believes that that's usually private information that should be accessible only to the person who owns that information
[01:22:46.440 --> 01:22:51.160]   And when you move that to an environment where you could have other family members you could have roommates
[01:22:51.160 --> 01:22:55.400]   You could be in a dorm you could be in you know sort of a roommate's ability the worst yet
[01:22:55.400 --> 01:23:00.360]   No, but i mean, sir like if i say read my text messages and i get any text messages, that's a problem
[01:23:00.360 --> 01:23:02.440]   I mean like it's a problem for both of us sometimes
[01:23:02.440 --> 01:23:08.680]   Uh, and they have to figure out a way of making siri a multi personal and you see those are a lot of things like siri is limited
[01:23:08.680 --> 01:23:12.280]   Still for doorknobs and garage doors because you have to authenticate
[01:23:12.280 --> 01:23:18.280]   To in order to open those because they don't want you to drop your apple tv remote and somebody open your door and let people inside without your
[01:23:18.280 --> 01:23:23.880]   Permission and that might seem silly, but they really do have this sort of security and privacy first angle
[01:23:23.880 --> 01:23:26.760]   If they didn't care about that, I think we would have that product on the market
[01:23:26.760 --> 01:23:31.320]   But I think and I think it's the same reason why like you don't see air pods immediately on the apple tv
[01:23:31.320 --> 01:23:33.720]   They're not sure what their multi person
[01:23:33.720 --> 01:23:34.920]   um
[01:23:34.920 --> 01:23:38.040]   Multi person philosophy is yet and once they nail that once
[01:23:38.040 --> 01:23:41.000]   Sireically the detect voices or this or you know you
[01:23:41.000 --> 01:23:43.720]   Detect your apple watch or it does something
[01:23:43.720 --> 01:23:49.160]   Then they'll figure out well we'll make one that doesn't suck simply because it'll have access to all your information
[01:23:49.160 --> 01:23:52.760]   But it'll know it's you before you give it before it gives it to you and do what do you think?
[01:23:52.760 --> 01:23:55.160]   um
[01:23:55.160 --> 01:24:00.360]   Yeah, that's a very that would be a very apple way to do it that we don't want we've got our priorities
[01:24:00.360 --> 01:24:04.760]   And we're not going to ship something until we figured out how to make this work towards the way that we think
[01:24:04.840 --> 01:24:08.200]   Such a device to do but that's also one of I think apples
[01:24:08.200 --> 01:24:11.000]   biggest failings because
[01:24:11.000 --> 01:24:12.520]   uh
[01:24:12.520 --> 01:24:14.120]   The amazon echo
[01:24:14.120 --> 01:24:19.320]   Didn't address those problems, but it's wonderful. It works great. I bought us
[01:24:19.320 --> 01:24:20.680]   I
[01:24:20.680 --> 01:24:26.200]   I have the one that was sent as a press review unit and then I want to buying some because okay
[01:24:26.200 --> 01:24:30.840]   I can't use this anymore because it's it's it's a review unit and I just love it so much
[01:24:31.320 --> 01:24:34.440]   And all these other features that they're not perfect and they didn't solve every problem
[01:24:34.440 --> 01:24:37.480]   But at least they got it out there and I don't think the world really knew
[01:24:37.480 --> 01:24:45.880]   That there was this gap in the the standard technology load out of every house until amazon did something kind of crazy
[01:24:45.880 --> 01:24:50.520]   And put these things in and now google has seen how well those devices have done
[01:24:50.520 --> 01:24:58.520]   They have quickly realized that well we have that we know more about our customers than anybody else who interacts with uh with our customers
[01:24:58.760 --> 01:25:01.800]   We could do something that's very much like this and it would be even better
[01:25:01.800 --> 01:25:09.400]   Given that uh, they're trying to make the google assistant into as important a product for google as the iphone is to apple
[01:25:09.400 --> 01:25:11.560]   And that too is not going to have
[01:25:11.560 --> 01:25:15.720]   A flawless execution, but it's a hundred twenty nine dollar device
[01:25:15.720 --> 01:25:20.760]   You can buy today as opposed to a device that we all agree it makes sense for apple to make
[01:25:20.760 --> 01:25:23.080]   But apple doesn't comment on unannounced products
[01:25:23.080 --> 01:25:28.440]   I think that is apple does sometimes release a product when they don't know what it should be yet
[01:25:29.240 --> 01:25:34.920]   Namely the apple watch, but I really think that they should have more low stakes things like this
[01:25:34.920 --> 01:25:38.760]   It's it's again. It's such a cool thing that the number of times i've sold
[01:25:38.760 --> 01:25:41.000]   Uh
[01:25:41.000 --> 01:25:45.320]   An amazon I keep I keep wanting to call it my alexa when it is the amazon echo
[01:25:45.320 --> 01:25:47.240]   That's how important it is
[01:25:47.240 --> 01:25:49.080]   But the number of times that people i've just
[01:25:49.080 --> 01:25:54.920]   I've someone is i'm leaving for to go out to go out to dinner or something with somebody
[01:25:55.240 --> 01:26:00.760]   And we're meeting up at my house and i'm just you know as a as a casual thing i'm saying hey
[01:26:00.760 --> 01:26:07.240]   Alexandria, uh, what's the weather right now and without even looking because i'm working for either the light jacket or the heavy jack
[01:26:07.240 --> 01:26:09.240]   Is it what did it just do? Oh, it's just the thing
[01:26:09.240 --> 01:26:13.000]   Is just a lexa how does it work? Is it okay? Well, okay?
[01:26:13.000 --> 01:26:17.080]   Then i'm afraid of what's gonna happen when i turn off the lights in the house
[01:26:17.080 --> 01:26:20.920]   By saying okay, i'm leaving now and god dang it
[01:26:20.920 --> 01:26:24.120]   We're gonna miss the from the movie because i'm gonna do another 20 minute demo of this thing
[01:26:24.120 --> 01:26:26.200]   So it's it's clearly something that works great
[01:26:26.200 --> 01:26:31.800]   Why doesn't apple make one if i hope it's not because i hope it's because they feel as though they've got they're plateful already
[01:26:31.800 --> 01:26:35.400]   And they don't want to take on more than they can effectively communicate and support and market
[01:26:35.400 --> 01:26:41.080]   I hope it's not because we are not going to make this until we've decided it's the best one of these it's ever been made
[01:26:41.080 --> 01:26:46.440]   I think rene makes a really good point about the fact that apple so much of what apple does is with serious personalized
[01:26:46.600 --> 01:26:50.760]   I think another issue is that siri resides on devices with screens
[01:26:50.760 --> 01:26:55.720]   And if you've ever used siri you've realized that a lot of times in in most modes of siri
[01:26:55.720 --> 01:27:02.200]   It's going to frequently kick you to things that are on the screen and say i looked this i looked this thing up for you
[01:27:02.200 --> 01:27:07.400]   Here it is and on something like the amazon echo you can't do that you can't
[01:27:07.400 --> 01:27:11.160]   punt and send it to the screen
[01:27:11.160 --> 01:27:16.440]   And so it's a different siri experience that they would need at the same time with the existence of apple music
[01:27:16.760 --> 01:27:21.720]   And itunes match the fact that you've got so much of a music infrastructure that apple already has
[01:27:21.720 --> 01:27:27.000]   And uh and the fact that siri already does exist even if you were to take off some of the personalization of it
[01:27:27.000 --> 01:27:32.040]   I feel like that would be a great product just as an apple music product plus some other stuff thrown in
[01:27:32.040 --> 01:27:35.240]   It's certainly not an easy product to build and I don't think anybody's saying that
[01:27:35.240 --> 01:27:40.360]   But I think it's intriguing to imagine what an apple product would be that was like an amazon echo or like a google home
[01:27:40.360 --> 01:27:45.560]   But with a little bit of a an apple spin on it and I hope they play because I love that feature like like Andy was saying
[01:27:45.560 --> 01:27:48.760]   You know, I love that amazon echo. It is a fun product
[01:27:48.760 --> 01:27:51.000]   It is it is just is it the best speaker in my house?
[01:27:51.000 --> 01:27:54.360]   Not even close is it the best personal voice assistant in my house?
[01:27:54.360 --> 01:27:59.640]   Probably not but the fact that it's always there and everybody in my family can use it
[01:27:59.640 --> 01:28:03.400]   That's compelling and I i'm interested in what google will do with a google home
[01:28:03.400 --> 01:28:09.400]   And i'm very interested in the idea that maybe apple could do its take on that and it would be better integrated with the rest of my life
[01:28:09.400 --> 01:28:13.800]   That I keep in in apple stuff because I am an apple music subscriber
[01:28:13.800 --> 01:28:20.440]   I would like to say hey lady play this song and I can't do that with Alexa because the amazon music library
[01:28:20.440 --> 01:28:25.080]   Doesn't have the stuff that's in apple music for me to get a cheap plug in the
[01:28:25.080 --> 01:28:30.280]   Next and maybe final episode of debug. It has leon appalitana on it and she was
[01:28:30.280 --> 01:28:37.400]   Experienced lead for syria on carplay and on apple tv and she explains just that like how when you have a screen in front of you
[01:28:37.400 --> 01:28:40.920]   What sort of visual affordances you have and when you don't have a screen like on carplay
[01:28:41.080 --> 01:28:45.080]   You can't stare at it for a long time or apple tv the context is so different than a phone
[01:28:45.080 --> 01:28:49.080]   So if they know you're looking at a screen they give you much they give you much less information
[01:28:49.080 --> 01:28:56.360]   Uh out loud than they would if they don't think you're looking at a screen like in a car and then they explain more and it's a whole fascinating area of user experience on its own
[01:28:56.360 --> 01:29:04.600]   Yeah, and also points out that you're experienced with uh Alexa and music that uh, it's also a missed opportunity because these devices kind of
[01:29:04.600 --> 01:29:09.400]   Convinced people to buy more services. I was not a I was not I was
[01:29:10.200 --> 01:29:11.000]   Uh
[01:29:11.000 --> 01:29:17.240]   What got me to finally spend 20 or 25 bucks a year to get like unlimited music storage on uh on my amazon account
[01:29:17.240 --> 01:29:22.040]   Was knowing that I could just be doing the dishes and then just simply call out and ask Alexa
[01:29:22.040 --> 01:29:26.600]   Play play some beetles for me too. And that's what got that's what got me to say. Okay. You know what?
[01:29:26.600 --> 01:29:33.160]   It's worth uh two nights of uploading and 25 bucks a year to keep my entire music library sync to this thing
[01:29:33.160 --> 01:29:37.400]   So that's another bit of opportunity that the apple might be missing out on the longer they wait
[01:29:37.560 --> 01:29:43.000]   Yeah, I agree. Well, we we uh have a little more show left to go. We're gonna do our picks
[01:29:43.000 --> 01:29:46.600]   It's been a big show lots of stuff going on, but before we do that
[01:29:46.600 --> 01:29:52.120]   It's time for the big plot twist maybe which is this other message in a bottle cast to us
[01:29:52.120 --> 01:29:54.600]   And it just washed up on the shore from leo l'apport leo
[01:29:54.600 --> 01:29:59.800]   More macaré weekly coming up in just a bit, but I want to tell you I'm missing my cat. I can tell right now
[01:29:59.800 --> 01:30:03.080]   I'm on vacation. I know i'm going on a very nice boat and everything
