
[00:00:00.000 --> 00:00:05.120]   Coming up next, I'm Philian for vacationing Leo Laporte and we're talking about Apple music and
[01:08:39.120 --> 01:08:46.960]   Well, not even celebrate them. I mean an enemy of a murder is uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, iconic movie poster is
[01:08:46.960 --> 01:08:51.760]   Certainly a representational figure of a dead body. But that's how you basically
[01:08:52.160 --> 01:08:54.480]   Explain here is the tone of the movie and here's what it's about
[01:08:54.480 --> 01:08:59.440]   Is it maybe a little bit different to say that we're going to make sure that you can't uh,
[01:08:59.440 --> 01:09:06.720]   You should not be able to kids who are just browsing the store should not be able to see images of guns people should not see images of violence
[01:09:06.720 --> 01:09:11.200]   Is that go one step too far or is that just simply another expression of a very consistent?
[01:09:11.200 --> 01:09:17.840]   Uh, social responsibility Renee so I have yeah, I have really mixed feelings about this and I remember you probably too
[01:09:18.400 --> 01:09:22.080]   As well guys that you know when they started censoring, um, I should not use that work
[01:09:22.080 --> 01:09:25.360]   I I take exception with the word censoring because that's typically when an outside party
[01:09:25.360 --> 01:09:29.680]   Forces change on you with when you exercise editorial discretion
[01:09:29.680 --> 01:09:33.440]   Uh when they started doing that with cartoons the first pass was just you couldn't understand it
[01:09:33.440 --> 01:09:36.720]   Looney tunes would come on and the show would make no sense to you and they'd be cutting out
[01:09:36.720 --> 01:09:40.400]   like like birds smoking cigars and and all sorts of
[01:09:40.400 --> 01:09:47.200]   Now completely inappropriate humor, but over time they got much better at editing it and digitally removing it and now the shows make sense again
[01:09:47.600 --> 01:09:54.160]   But the thing for me is um, I live in kabec and you could watch like basic instinct on french tv at nine o'clock and nobody says anything about it
[01:09:54.160 --> 01:09:55.840]   and and the
[01:09:55.840 --> 01:10:02.560]   The the weight given to what we want to censor or or editorially cut when it comes to sex is completely different than violence
[01:10:02.560 --> 01:10:05.920]   So I can't watch game of thrones a lot of the times not because there's sex on it
[01:10:05.920 --> 01:10:09.760]   But because I find the violence just uh, absolutely dehumanizing and horrible
[01:10:09.760 --> 01:10:14.640]   And I don't want to subject myself to it and having that kind of stuff in the app store
[01:10:14.960 --> 01:10:20.560]   And I'll go so far as to say removing confederate flags is great, but there's all sorts of misogyny and other another problematic content
[01:10:20.560 --> 01:10:25.200]   Uh in the app store that maybe needs to be looked at as well. I don't know but the idea of just
[01:10:25.200 --> 01:10:32.800]   Um pixelating it. I think doesn't really solve the problem of whether that content should be there and how that content should be represented
[01:10:32.800 --> 01:10:36.800]   Because that's not an accurate portrayal of what's in there and it feels like almost you're dodging
[01:10:36.800 --> 01:10:43.280]   The the social consequence of extreme violence by tidying up the poster or the packaging for it
[01:10:43.520 --> 01:10:50.400]   Maybe don't have screenshots that show those elements or maybe have better restrictions in place so that when people set parental controls
[01:10:50.400 --> 01:10:56.800]   Those apps not only can't download but can't be shown to you and yes that requires more work on the iTunes back end and whatever
[01:10:56.800 --> 01:10:58.800]   So maybe this is a stopgap measure
[01:10:58.800 --> 01:11:04.640]   Um, but again, I would rather that content not be presented then it sort of just be pixelated or or or smoked over
[01:11:04.640 --> 01:11:09.920]   Yeah, it's it reminded me the first time I saw it where you see this
[01:11:10.560 --> 01:11:15.600]   Obvious shot of you know, uh your your basic first person shooter and then you see pixels over
[01:11:15.600 --> 01:11:20.160]   I immediately thought of et and fbi agents that are suddenly running and holding walkie talkies like this
[01:11:20.160 --> 01:11:24.320]   Uh leaving walkie talkies threateningly at kids. Yeah, exactly
[01:11:24.320 --> 01:11:29.120]   Uh, what do you think about this kelly? I mean there's it's it's interesting when you think about that apple is
[01:11:29.120 --> 01:11:32.560]   Consessed consistently exercised one set of
[01:11:32.560 --> 01:11:37.280]   As a storekeeper they have the ability to decide what they want to sell
[01:11:37.600 --> 01:11:42.320]   They have a one set of rules for their for their gaming and their for their app content
[01:11:42.320 --> 01:11:46.400]   But a much more flexible set of rules for their books and their movies and their tv shows
[01:11:46.400 --> 01:11:48.880]   Is there is there sort of a disconnect here?
[01:11:48.880 --> 01:11:53.600]   Yes, I know because uh content wise that's entirely possible
[01:11:53.600 --> 01:11:54.960]   um
[01:11:54.960 --> 01:11:59.360]   One of the things that uh that I was when I was thinking about this one of the things that I
[01:11:59.360 --> 01:12:04.880]   Was wondering about was yeah, what about you know doing this stuff with a movie or with a book?
[01:12:04.880 --> 01:12:07.040]   but um
[01:12:07.040 --> 01:12:12.800]   You know if if you have an issue with gun violence and they want to take it an app out of the store that contains guns
[01:12:12.800 --> 01:12:20.080]   Uh because of the content of it, you know, that's one thing like that's one of the reasons that there are human reviewers in the app store and all that
[01:12:20.080 --> 01:12:23.120]   um within album like um
[01:12:23.120 --> 01:12:26.080]   Uh
[01:12:26.080 --> 01:12:28.800]   Why can't I think of the name of the album but jz's 99 problems?
[01:12:28.800 --> 01:12:33.520]   I think we can all agree. That's probably not something that you kind of want to expose grade schoolers too
[01:12:33.520 --> 01:12:35.760]   That's that that may not be the best example for them
[01:12:36.320 --> 01:12:37.120]   um
[01:12:37.120 --> 01:12:38.160]   and
[01:12:38.160 --> 01:12:41.520]   And that's just a file so that file is not going to hurt my computer
[01:12:41.520 --> 01:12:46.720]   So I think that's part of where the flexibility comes from is because the spotlight isn't necessarily shining on that stuff
[01:12:46.720 --> 01:12:54.240]   Because there's the explicit tag on the music and there's the age restrictions in the itunes store for a lot of stuff
[01:12:54.240 --> 01:13:00.160]   But um, I'm curious where sort of where the spotlight is going to shine next
[01:13:00.160 --> 01:13:03.600]   Depending on what happens. I think there's um
[01:13:03.600 --> 01:13:05.280]   I think
[01:13:05.280 --> 01:13:07.120]   This is one of those things that just should have
[01:13:07.120 --> 01:13:11.280]   been part of the app store in the first place that there shouldn't have been a lot of
[01:13:11.280 --> 01:13:13.920]   yay confederate flag kind of stuff
[01:13:13.920 --> 01:13:18.160]   um for for a lot of reasons and so it it seems like this
[01:13:18.160 --> 01:13:23.680]   The same sort of thing should be applied to the books and the movies and everything else as well
[01:13:23.680 --> 01:13:30.160]   um, but then you get into context and you get into um, what exactly are they trying to say and
[01:13:30.160 --> 01:13:34.800]   Is it just that you want to take this movie out because it's an accurate portrayal of the civil war?
[01:13:34.800 --> 01:13:39.840]   Maybe you can leave that in even though it was fiction and you know, it turns into a
[01:13:39.840 --> 01:13:44.080]   Really long and excruciating debate, you know on on every side
[01:13:44.080 --> 01:13:48.080]   Mostly because uh, you end up with with stuff like this, you know
[01:13:48.080 --> 01:13:50.800]   We you end up with a lot with a weird line, you know
[01:13:50.800 --> 01:13:53.200]   We know it when we see it and and that's what needs to go
[01:13:53.200 --> 01:13:59.920]   And you know that kind of thing but kind of the other thing I was wondering about all of this was people saying oh those poor developers
[01:13:59.920 --> 01:14:02.400]   Who got their apps pulled from the store?
[01:14:02.400 --> 01:14:03.840]   um
[01:14:03.840 --> 01:14:10.320]   I kind of have to wonder unless it's it's one of the like an educational app or an app that's that's relating
[01:14:10.320 --> 01:14:14.800]   Information about the civil war and things like that. Um, I kind of wonder
[01:14:14.800 --> 01:14:17.600]   What
[01:14:17.600 --> 01:14:24.720]   What kind of app would you have put in the app store that would otherwise contain a confederate flag that is now no longer in the app store?
[01:14:24.720 --> 01:14:26.640]   Hmm
[01:14:26.640 --> 01:14:31.760]   Yeah, I mean the difficulty is that then this is of course it goes well be a well goes well beyond digital content
[01:14:32.000 --> 01:14:38.000]   um, there have been discussions about those uh civil war monuments that uh john steward talked about and
[01:14:38.000 --> 01:14:44.960]   One answer could be to simply pull these monuments down because you're basically honoring someone who was fighting a cause that was not simply misguided
[01:14:44.960 --> 01:14:47.920]   But there you could make the argument that it was just downright evil
[01:14:47.920 --> 01:14:51.040]   On the other hand the other argument would be leave it up
[01:14:51.040 --> 01:14:55.120]   But also have another permanent marker next to it that gives this monument context
[01:14:55.120 --> 01:14:59.200]   Because it seems like it would be a missed opportunity
[01:14:59.600 --> 01:15:02.400]   To pretend as though this stuff didn't exist
[01:15:02.400 --> 01:15:05.200]   Uh and that right and to hide the fact that we were
[01:15:05.200 --> 01:15:12.160]   Collectively willing to tolerate this for a full century and that there's now a bare spot of earth where we were too embarrassed to leave something standing
[01:15:12.160 --> 01:15:14.720]   Up there was a you talk about the loony tunes cartoons
[01:15:14.720 --> 01:15:19.680]   One of the nice one of the one of the best answers that i've seen to the sort of problem
[01:15:19.680 --> 01:15:26.800]   Is that when one of brothers releases a dvd containing content that contains racist material like a lot of the world war two
[01:15:27.360 --> 01:15:30.720]   Cartoons there is they don't make any changes to the cartoon whatsoever
[01:15:30.720 --> 01:15:35.280]   They simply add a non-skippable thing to the beginning that's simply a phrase that simply says
[01:15:35.280 --> 01:15:39.840]   This is a product of its time. It is horrible essentially it's it's horribly racist
[01:15:39.840 --> 01:15:46.400]   We feel as though it is right to present this in context rather than to pretend that we never produce this to begin with
[01:15:46.400 --> 01:15:48.800]   uh and uh
[01:15:48.800 --> 01:15:51.200]   On the other hand there are going to be people who are going to be taking
[01:15:51.200 --> 01:15:53.920]   uh pardon pardon the use of what is a
[01:15:54.640 --> 01:16:00.480]   A very offensive term, but this is the name of the cartoon just to show you there is a cartoon called bugs bunny nips the nips
[01:16:00.480 --> 01:16:01.760]   and
[01:16:01.760 --> 01:16:03.760]   depicting uh japanese people
[01:16:03.760 --> 01:16:11.440]   In a much more you know so not a much more in a downright racist way that when they depicted the Italians and the germans that they didn't do
[01:16:11.440 --> 01:16:18.320]   It seems as though you need to teach people that this was this was continued considered to be popular entertainment of the time
[01:16:18.320 --> 01:16:22.080]   If you simply try to snip out those scenes and you know produce a one-minute
[01:16:22.320 --> 01:16:26.240]   Eight-second cartoon or make sure that you could that's impossible to be seen
[01:16:26.240 --> 01:16:32.000]   It seems as though you're trying not to talk about that relative of yours that worked for the s s you know
[01:16:32.000 --> 01:16:37.520]   Yeah, it's super interesting and it's interesting to me as someone was born in south africa too because I remember in the days of a part
[01:16:37.520 --> 01:16:40.480]   Side where you couldn't fly south african plains over most countries
[01:16:40.480 --> 01:16:44.560]   You couldn't uh south african teams couldn't go to new sporting events at some countries
[01:16:44.560 --> 01:16:49.360]   And that that was starkly different because if you look at the if you look at how you know
[01:16:49.680 --> 01:16:55.680]   Populations have been treated in north america a lot of the stuff in south africa was modeled on north the north american treatment of native peoples
[01:16:55.680 --> 01:16:58.400]   And yet the the standard of measure was so different
[01:16:58.400 --> 01:17:04.000]   Um, but when nelson mandella took power he didn't strip away the spring buck symbols for example
[01:17:04.000 --> 01:17:06.480]   Uh, you can watch in viktas. It's a very movie like
[01:17:06.480 --> 01:17:09.760]   Clint Eastwood movie like rendition of all this but it gives you the idea
[01:17:09.760 --> 01:17:14.320]   And he was very cognizant of the of the roles of symbolism and in letting people save face
[01:17:14.320 --> 01:17:18.800]   And slowly sort of walking people into the light and not dropping them in the boiling ocean of light
[01:17:19.200 --> 01:17:24.720]   Uh because it creates resistance, but I think apps and games are inherently different because it's not legacy content
[01:17:24.720 --> 01:17:26.720]   It's not something that aired at a certain time
[01:17:26.720 --> 01:17:34.400]   Uh, and it can be presented in that context is something that's new and fresh and is always uh, always sort of existing
[01:17:34.400 --> 01:17:38.240]   And it's not like these are civil war apps that used to be appropriate an hour and a longer appropriate
[01:17:38.240 --> 01:17:40.720]   We're putting this warning up saying it was produced in this time
[01:17:40.720 --> 01:17:43.120]   this is stuff all being produced now and
[01:17:43.120 --> 01:17:48.480]   You have to sort of I think treat that a little bit differently because you can't it's a modern context
[01:17:48.480 --> 01:17:52.960]   No matter what the historical presentation is. So if it's if it's designed to teach you something
[01:17:52.960 --> 01:17:58.560]   That's great. If it's designed to sort of evoke a feeling of a better time that people want to associate with
[01:17:58.560 --> 01:18:00.960]   And that gets into that line that kelly
[01:18:00.960 --> 01:18:03.360]   Mentioned where humans have to make a curated decision
[01:18:03.360 --> 01:18:09.280]   And that's sort of both the best and worst thing about the app store is there inherent humanism about determining this stuff
[01:18:09.280 --> 01:18:12.480]   but should apple worry about a
[01:18:13.440 --> 01:18:16.880]   App or a piece of content that was created in completely good faith
[01:18:16.880 --> 01:18:23.440]   But which can be misappropriated by a third party and whose purpose can be perverted to other ends
[01:18:23.440 --> 01:18:26.880]   Should they take a walmart sort of approach and simply say that
[01:18:26.880 --> 01:18:32.080]   We've decided there's certain types of content that we simply don't want to put on the store shelves and walmart's case
[01:18:32.080 --> 01:18:35.040]   It is more of a we have a very conservative customer base
[01:18:35.040 --> 01:18:39.280]   We simply don't want to have content that might offend our conservative customers apple
[01:18:39.360 --> 01:18:43.920]   It'd be more like we want to respect artistic expression while not creating
[01:18:43.920 --> 01:18:48.320]   Be coming a sales force for content that can hurt other people
[01:18:48.320 --> 01:18:51.440]   But how how far do you think apple should think into this
[01:18:51.440 --> 01:18:53.280]   in order to
[01:18:53.280 --> 01:18:55.040]   Retain their
[01:18:55.040 --> 01:18:59.920]   There's their sense of social honor and the stuff that they sell and isn't it interesting too because this is such an american thing
[01:18:59.920 --> 01:19:02.160]   Because that flag is meaningless to a lot of people around the world
[01:19:02.160 --> 01:19:07.760]   But they might have a flag that is just as horrific to it might maybe there's some places in the world where the english flag
[01:19:08.080 --> 01:19:13.280]   Knows all sorts of really different things and an apple is an american company and america's their biggest market
[01:19:13.280 --> 01:19:18.960]   So it's it's interesting to see but you know china's becoming a huge market at what point do do sort of international
[01:19:18.960 --> 01:19:24.960]   Sensitivity start to play I think it's an endlessly fascinating and problematic subject and I don't think there's any easy answers
[01:19:24.960 --> 01:19:26.320]   Yeah
[01:19:26.320 --> 01:19:30.960]   And I do think that apple's taking the right approach and this is and this is we should say a very typical apple approach
[01:19:30.960 --> 01:19:33.200]   There's been so many times where apple has
[01:19:33.200 --> 01:19:37.680]   Basically just pulled up the drawbridge and left a lot of people stranded
[01:19:37.680 --> 01:19:41.280]   There's there's there are two places two positions for the drawbridge up or down
[01:19:41.280 --> 01:19:48.080]   And so they will simply pull it up while they decide what find what what kind of finer tune response they want to create
[01:19:48.080 --> 01:19:54.240]   And we're not talking about content that is offensive. We're talking about should active apps should
[01:19:54.240 --> 01:19:59.200]   Should apps be able to put active content in the in the notifications bar
[01:19:59.200 --> 01:20:03.520]   Where they just simply have to put drop down the hammer on everything and then decide what they want to let back in
[01:20:03.680 --> 01:20:06.640]   So if apple makes one of these really really broad decisions
[01:20:06.640 --> 01:20:11.440]   It's not that this is the only decision they're going to make you can expect them to continue to think about this and sort of
[01:20:11.440 --> 01:20:15.520]   meter that approach as they continue to reflect upon it. So
[01:20:15.520 --> 01:20:20.400]   Um, let's see. Let's let's we a couple other things. Uh, we want to get to
[01:20:20.400 --> 01:20:26.000]   Uh, just today apple lost its latest appeal on the ebook pricing price fixing scandal
[01:20:26.000 --> 01:20:33.120]   Uh, so now they have essentially two practical responses at this point either pay pay 450 million
[01:20:34.000 --> 01:20:37.200]   In in damages, which will mostly go to readers
[01:20:37.200 --> 01:20:41.440]   Or take this to the supreme court apple has released a statement that
[01:20:41.440 --> 01:20:45.840]   As as sir said no, no, no, I don't care what the court said we did not do anything wrong
[01:20:45.840 --> 01:20:49.200]   We did not commit price fixing and we're going to consider all options
[01:20:49.200 --> 01:20:51.600]   Uh, what to
[01:20:51.600 --> 01:20:53.600]   Kelly what do you hope they're going to do is it?
[01:20:53.600 --> 01:20:54.640]   Do you just hope?
[01:20:54.640 --> 01:20:57.920]   Isn't there a time you just hope these lawsuits just go away. However, they're going to go away
[01:20:57.920 --> 01:21:00.960]   Yeah, I kind of hope you know, there's a dance off
[01:21:01.680 --> 01:21:03.680]   Or something
[01:21:03.680 --> 01:21:09.920]   Just so that we don't have to do this anymore, you know two books enter one book leaves like I don't even care anymore
[01:21:09.920 --> 01:21:17.600]   Um, and the reason I have such a hard time with this lawsuit in particular. Um, what's funny is that sort of like
[01:21:17.600 --> 01:21:22.800]   Um celebrity deaths. It seems like apple lawsuit news comes in threes all the time
[01:21:22.800 --> 01:21:28.080]   So when I started hearing her started hearing stuff about this one, I just thought oh, what are the other two going to be?
[01:21:28.080 --> 01:21:30.640]   Um, so in this case
[01:21:31.040 --> 01:21:34.880]   I think it's fascinating that it's apple being
[01:21:34.880 --> 01:21:42.720]   Roasted over the fire for this behavior when we've seen so much worse from amazon since this happened
[01:21:42.720 --> 01:21:50.640]   And that to me is the thing that's sort of astounding, you know, like maybe I get pulled over for going
[01:21:50.640 --> 01:21:54.320]   56 and a 55 while somebody going 90
[01:21:54.320 --> 01:21:56.880]   That was me. Sorry. Oh wow
[01:21:56.880 --> 01:21:58.480]   That makes sense
[01:21:58.480 --> 01:22:04.640]   Well, somebody going 90, you know is is whipping by me and and the cops like yeah, yeah, that's you know
[01:22:04.640 --> 01:22:07.040]   That's them, but we're here to talk about you
[01:22:07.040 --> 01:22:12.160]   And it it almost feels like a witch hunt maybe at this point to be
[01:22:12.160 --> 01:22:16.560]   Pointing apple out as the example of everything that's wrong in the book industry
[01:22:16.560 --> 01:22:21.520]   Which is how some of the press has decided to portray this that apple is the problem
[01:22:21.520 --> 01:22:24.320]   And and I kind of think you know
[01:22:25.120 --> 01:22:29.760]   There's another company and it starts with a and they sell a fair number of digital books
[01:22:29.760 --> 01:22:32.960]   And and maybe it's time to shine a little light that direction too
[01:22:32.960 --> 01:22:34.560]   um
[01:22:34.560 --> 01:22:38.080]   So really I think you're right andy at this point. I just want it to stop
[01:22:38.080 --> 01:22:39.600]   and because
[01:22:39.600 --> 01:22:42.240]   I kind of want it to go to the supreme court just because I really
[01:22:42.240 --> 01:22:47.120]   I'm a principal person and i'm the kind of person who would hold on to something like that and be like no
[01:22:47.120 --> 01:22:51.280]   This is what's going to happen because I know that i'm right and I know
[01:22:51.280 --> 01:22:54.240]   That you don't have a case and I want to go
[01:22:54.720 --> 01:22:59.840]   You know, I want to make absolutely certain beyond a shadow of a doubt that everybody knows that you don't have a case
[01:22:59.840 --> 01:23:06.480]   So I just wonder how I sort of wonder how it's going to go and I like on the one hand
[01:23:06.480 --> 01:23:09.840]   I'm sort of like, you know, you go apple and on the other hand i'm like
[01:23:09.840 --> 01:23:12.160]   Really
[01:23:12.160 --> 01:23:18.400]   Yeah, let's see that's it's a lot of this sounds like that friend of yours that you just want to say after four and a half months
[01:23:18.880 --> 01:23:24.560]   The I will pay the 250 dollar parking ticket. Okay, let's stop
[01:23:24.560 --> 01:23:30.400]   You lost it when it was 64 dollars and then when he went back it was 128 dollars
[01:23:30.400 --> 01:23:36.000]   Let's just pay it and move on with our lives we're moving we're losing more than gas money to the courthouse
[01:23:36.000 --> 01:23:40.720]   But now but actually no you you something that you that you said actually has changed my mind a little bit
[01:23:40.720 --> 01:23:46.960]   I hope that that I hope that apple does decide no no we shall fight until our our voices crack and our feet hurt
[01:23:47.040 --> 01:23:49.040]   We will fight this injustice because
[01:23:49.040 --> 01:23:52.160]   if there's if there's been a
[01:23:52.160 --> 01:23:54.960]   part of the joy of the of the
[01:23:54.960 --> 01:24:00.800]   Affirmation of of marriage rights has been the comedy coming from justice kalia
[01:24:00.800 --> 01:24:03.120]   And I just want to see what
[01:24:03.120 --> 01:24:07.360]   Try to explain how this technology works
[01:24:07.360 --> 01:24:12.160]   But what he would come up with when he gets when things do not go his way so now now i'm saying I will
[01:24:12.560 --> 01:24:17.440]   Picken if there's an indy go-go for the apple's legal fund. I will kick in 50 dollars
[01:24:17.440 --> 01:24:23.040]   I will I will kick in at least to the t-shirt level for this just I will absolutely buy the t-shirt for this
[01:24:23.040 --> 01:24:27.280]   I think there's one thing though that I wonder if apples reaction to this or all of our reactions
[01:24:27.280 --> 01:24:32.560]   So this would be different if it hadn't been for the way that like I think you can absolutely make a case and you can
[01:24:32.560 --> 01:24:36.720]   Like that apple did things that were probably inappropriate especially the most favored nation clause
[01:24:36.720 --> 01:24:38.960]   But when you look at judge cote
[01:24:39.120 --> 01:24:44.560]   And the the supervisor they put in place and then the person he had to hire because he didn't know how to do the job
[01:24:44.560 --> 01:24:46.720]   That she had that she had him do him though. He's a friend
[01:24:46.720 --> 01:24:51.520]   That whole thing just looked so fishy that I think it sort of cast a paul over it
[01:24:51.520 --> 01:24:53.840]   It had been a straightforward legal decision. You did this wrong
[01:24:53.840 --> 01:24:56.720]   You have to change this and this and none of this
[01:24:56.720 --> 01:25:01.920]   Trustee thing had happened. I wonder if apple would have you know disagreed with it paid their fine and moved on
[01:25:01.920 --> 01:25:05.360]   But it feels like uh, I'm forgetting his name i'm blanking on his name now
[01:25:05.360 --> 01:25:10.160]   But it feels like cote's supervisor or trustee whatever the totally blanking whatever he is as well too
[01:25:10.160 --> 01:25:15.760]   If he wasn't involved to be much less of a thorn in their side and something they wouldn't perhaps fight so aggressively
[01:25:15.760 --> 01:25:22.080]   Uh, I'm sorry. Go ahead. I'm going you know that was just agreeing. That was it. Here you go
[01:25:22.080 --> 01:25:24.320]   We are in agreement
[01:25:24.320 --> 01:25:29.200]   Before we take a break one last thing that's kind of interesting bloomberg is has a thin piece
[01:25:29.200 --> 01:25:32.880]   Claiming that apple has actually started early production of new iphone models
[01:25:32.880 --> 01:25:36.640]   But they feature called force touch I'll repeat that force touch
[01:25:36.640 --> 01:25:41.920]   Which senses how hard users are pressing down on a screen people with knowledge of the matter said
[01:25:41.920 --> 01:25:49.920]   The newest phones in the same 4.7 inch and 5.5 inch versions as the current iphone six and six plus devices will have a similar exterior design
[01:25:49.920 --> 01:25:55.200]   Volume manufacturing is scheduled to ramp up as soon as next month according to this bloomberg business piece
[01:25:55.200 --> 01:25:58.560]   It's gonna be another iphone andy really they're gonna make another iphone this year
[01:25:58.880 --> 01:26:04.080]   It's irresponsible for us to talk about rumors running. I mean it just they should just cancel it
[01:26:04.080 --> 01:26:08.560]   So we have I mean there's too much on the apple mass tech just cancel the iphone and put their attention on hot tubs or something
[01:26:08.560 --> 01:26:15.200]   Yeah, we well we need more room for the apple tv because that's that's becoming the their their their boutique business
[01:26:15.200 --> 01:26:21.840]   Every year we get these stories every year new iphone production every new iphone new iphone's being tested. It's so funny
[01:26:21.840 --> 01:26:24.320]   Yeah, but it does it does raise an interesting question
[01:26:24.320 --> 01:26:28.480]   I mean do you think I do you I'm not sure that apple can do force touch in a phone this year
[01:26:28.480 --> 01:26:32.560]   I'm sure it's coming because I mean it's it's so it's so useful on the on the watch
[01:26:32.560 --> 01:26:35.280]   It's so useful on the trackpad of the the new macbook
[01:26:35.280 --> 01:26:40.160]   And the new macbooks it seems like a natural thing from the put on ios devices as well
[01:26:40.160 --> 01:26:42.880]   But I don't think they're there it's gonna be this year
[01:26:42.880 --> 01:26:47.520]   My understanding is that there's typically several prototypes maybe two maybe three
[01:26:47.520 --> 01:26:50.080]   Maybe four i guess depending on it and there is more
[01:26:50.720 --> 01:26:54.720]   Sort of conservative and more aggressive prototypes and you could find for example
[01:26:54.720 --> 01:27:01.520]   An iphone prototype that has no home button that uses the screen and force touch for a virtual home button or home button on the side
[01:27:01.520 --> 01:27:06.080]   Or is all they try almost anything we could think of in a podcast or someone could write on a blog
[01:27:06.080 --> 01:27:09.600]   They have the wealth and the skill and the intelligence to prototype
[01:27:09.600 --> 01:27:13.440]   And we said this before you know and phil Schiller says he doesn't like touch screen iMAX
[01:27:13.440 --> 01:27:17.120]   It's not because he just woke up deciding that it's because he tried them and really doesn't like them
[01:27:17.360 --> 01:27:22.240]   So i'm sure that there is that prototype iphone that has the force touch
[01:27:22.240 --> 01:27:24.960]   And if it works, they're going to move it into production
[01:27:24.960 --> 01:27:29.760]   Which is what bloombrig is saying they're doing and if it doesn't there's probably a prototype that they have already to go
[01:27:29.760 --> 01:27:32.960]   That doesn't include force touch and we'll get it as soon as it's ready
[01:27:32.960 --> 01:27:38.080]   But you know based on the size of the iphone screen doesn't look that much different than the iMac trackpad
[01:27:38.080 --> 01:27:43.360]   So hopefully if they can get the the number of parts into production it should be okay for them
[01:27:44.160 --> 01:27:48.720]   Yeah, and we're assuming that they mean something like what works on the on the apple watch
[01:27:48.720 --> 01:27:52.400]   Maybe they just mean that instead of having a mechanical clicky button for the home button
[01:27:52.400 --> 01:27:57.760]   There'll be still a divot on the screen, but instead of having a clicky button. It will be a force touch responder
[01:27:57.760 --> 01:27:59.920]   This one still has a
[01:27:59.920 --> 01:28:04.880]   This one still has a home button as far as i know but you can do the force touch to get the context menus and the
[01:28:04.880 --> 01:28:07.920]   What's it called pressure sensitive drawing stuff?
[01:28:07.920 --> 01:28:09.280]   Yeah
[01:28:09.280 --> 01:28:11.280]   The home button want to think is further out
[01:28:11.280 --> 01:28:17.040]   It's weird. I mean i've i still after six weeks with the apple watch. I don't know
[01:28:17.040 --> 01:28:20.000]   What force touch means?
[01:28:20.000 --> 01:28:25.360]   Which is troubling because I considered myself to be a partially educated person
[01:28:25.360 --> 01:28:30.880]   About iowice devices and the fact i've been using this for a month and a half and I still don't instantly think oh
[01:28:30.880 --> 01:28:34.560]   I want to get this on the app. Oh, of course, that's something I would have to force touch to get
[01:28:34.560 --> 01:28:36.880]   So I think they still have a lot of
[01:28:36.880 --> 01:28:39.360]   Psychological engineering to do before they figure it out
[01:28:39.840 --> 01:28:45.600]   I mean kelly you have an apple watch right? I do not. Oh, you don't okay. I don't but I have the
[01:28:45.600 --> 01:28:52.560]   The current model 13-inch macbook which does have the force touch trackpad, which I love
[01:28:52.560 --> 01:28:58.640]   um, it's and it's it's not even because I run a bunch of apps that take advantage of it or anything
[01:28:58.640 --> 01:29:01.520]   it's just because i'm usually a
[01:29:01.520 --> 01:29:06.160]   Tap to click on the trackpad and not actually clicking it
[01:29:06.800 --> 01:29:11.760]   and with the force touch I actually get sort of that first layer of clicking and it's
[01:29:11.760 --> 01:29:17.120]   Exactly the reason that I turned off the the clicking in the first place because it was always so hard to do
[01:29:17.120 --> 01:29:20.080]   And now it's very easy and I really really like it
[01:29:20.080 --> 01:29:23.600]   I can't wait to see what sort of stuff ends up actually implementing that
[01:29:23.600 --> 01:29:27.200]   As part of the application. So I think they're I think it's great
[01:29:27.200 --> 01:29:34.800]   Um, I don't think we're going to see it this year and the reason I don't think that is because apple just bought the company bought a bunch of patents off a company
[01:29:35.680 --> 01:29:38.880]   um for force touch sorts of things and
[01:29:38.880 --> 01:29:46.400]   uh, so one of the waves of information that people one of the waves of conclusions, I guess not really information that people were drawing on this
[01:29:46.400 --> 01:29:49.040]   Was that this meant the home button was going away?
[01:29:49.040 --> 01:29:53.680]   And I don't think the home button is necessarily going away. I think what will probably happen
[01:29:53.680 --> 01:29:56.960]   Is it will end up with a divot like you said andy
[01:29:56.960 --> 01:30:02.560]   Um, because the home button has been the bane of a few models of iphone when it comes to
[01:30:03.360 --> 01:30:06.560]   The thing what fails after about 18 months
[01:30:06.560 --> 01:30:13.760]   Um, you know, I know mr. Kelly for a long time had an iphone for and people kept going wow
[01:30:13.760 --> 01:30:18.080]   And your home button still works like people were just stunned. So, um
[01:30:18.080 --> 01:30:20.000]   I
[01:30:20.000 --> 01:30:25.840]   I don't think we'll get anything this year because I think when it comes to deploying it on any scale larger than a watch
[01:30:25.840 --> 01:30:28.240]   That it's going to end up
[01:30:28.240 --> 01:30:33.600]   needing more improvement and more refinement and that it's going to end up being something more like
[01:30:33.600 --> 01:30:35.200]   um
[01:30:35.200 --> 01:30:41.040]   next year in in whatever the seven ends up being if if we get a success this year and next year is the seven
[01:30:41.040 --> 01:30:46.160]   Um, it's something we will see more next fall. I think then then this one just to make because
[01:30:46.160 --> 01:30:54.880]   apple wants the experience to be right and you know, we know that and particularly if you are in the boat with me of apple tv fans
[01:30:55.440 --> 01:30:59.680]   who are really not being patient about waiting for the next one then
[01:30:59.680 --> 01:31:05.440]   You know, you're just hoping that you've pinned all of that on I really want this to be a good experience
[01:31:05.440 --> 01:31:08.560]   And it's not yet. So it's not out yet and i'm really hoping that
