
[00:00:00.000 --> 00:00:03.480]   It's time for Mac Break Weekly. Oh boy. Oh boy. Oh boy. Oh boy
[01:09:13.640 --> 01:09:15.480]   I bet he could
[01:09:15.480 --> 01:09:17.160]   That would be a little
[01:09:17.160 --> 01:09:21.960]   I do actually on your recommendation. I have it on my have it on my mac and I have it on my ipad
[01:09:21.960 --> 01:09:28.360]   The only I just wish it were on my phone. I just wish I could get it to work on the voice assistant that I want to use
[01:09:28.360 --> 01:09:35.480]   It's because you're using android. Yeah, you see I miss it on wind. It's it's moving me back into the mac
[01:09:35.480 --> 01:09:38.520]   I miss it on android. I miss it on the window. You need it
[01:09:39.880 --> 01:09:43.400]   What we're gonna get it. You know what? Let's talk to greg. Let's get it on the echo
[01:09:43.400 --> 01:09:47.160]   I'm sure he's listening. Greg you're
[01:09:47.160 --> 01:09:49.720]   Because I because it's I mean it's good enough to do it on my watch
[01:09:49.720 --> 01:09:51.480]   But it would be really nice if I could just say it out loud
[01:09:51.480 --> 01:09:56.120]   Yeah, hey sugar home first. I think I think that would be the smart move
[01:09:56.120 --> 01:09:59.640]   Only because I I use google home before I use
[01:09:59.640 --> 01:10:06.200]   Well, this is by the way one of the reasons echo has an advantage is because the api and the skills
[01:10:06.200 --> 01:10:09.960]   I mean they have 25,000 skills. I mean that that is a huge advantage
[01:10:09.960 --> 01:10:14.600]   For echo it's kind of like a massive app store and I don't know
[01:10:14.600 --> 01:10:16.840]   Google skills
[01:10:16.840 --> 01:10:21.080]   They didn't have all the services that apple and google have built and they have to figure out a way to make an assistant that could
[01:10:21.080 --> 01:10:24.680]   Be useful without having their own messaging service and they're all everything else to build around
[01:10:24.680 --> 01:10:29.720]   So you talked to apple about this. I thought this was really interesting. They're two activist investors
[01:10:29.720 --> 01:10:31.400]   Yeah
[01:10:31.400 --> 01:10:35.880]   At apple there's jad the janice fund which I think everybody knows they're kind of one of the
[01:10:35.880 --> 01:10:42.760]   Noisiest of the activist investors and then there's calsters, which is the california teachers pension fund
[01:10:42.760 --> 01:10:46.200]   And they wrote a letter to apple saying
[01:10:46.200 --> 01:10:52.920]   You better start thinking about smartphone overuse and addiction among kids
[01:10:52.920 --> 01:10:56.680]   Because if you don't address this now it could come back to bite you
[01:10:57.480 --> 01:11:02.040]   I can't I think it's unprecedented for shareholders of a company to tell the company
[01:11:02.040 --> 01:11:05.160]   Your product is dangerous. You got to do something about it
[01:11:05.160 --> 01:11:10.120]   It's both the best and worst thing for apple because apple far and away
[01:11:10.120 --> 01:11:15.320]   I mean microsoft doesn't mention anything you see but apple's been doing parental controls for years. I don't they're very good at it
[01:11:15.320 --> 01:11:20.840]   Yeah, I don't I don't think google has much of anything in terms of this and there's no like shareholder activists about google
[01:11:20.840 --> 01:11:23.960]   It's like immediately when there's a problem. It's apple's problem
[01:11:24.200 --> 01:11:27.960]   Immediately when we want something we want it from apple and I think that's great in terms of mind share
[01:11:27.960 --> 01:11:30.360]   Um, but apple has done a
[01:11:30.360 --> 01:11:35.960]   There's there's some interesting parts of this one is that apple's done a ton of stuff with parental controls with restrictions
[01:11:35.960 --> 01:11:39.160]   And they have since ios 2 and I think macos tiger
[01:11:39.160 --> 01:11:43.560]   They could always be better apple also has configurator and they have classroom for education
[01:11:43.560 --> 01:11:48.840]   Which if you want you can use on your kids or anybody's iphone or ipad
[01:11:48.840 --> 01:11:53.160]   But those are meant to be it solutions and you sort of need to know
[01:11:53.720 --> 01:11:59.960]   It things or like a phrase your spears can manage the heck out of an iphone or anyone who does it can use configurator to do some
[01:11:59.960 --> 01:12:05.320]   Amazing things with an iphone, but those aren't really accessible to parents and we need something that's a little bit
[01:12:05.320 --> 01:12:10.120]   Better or more granular like I think a lot of people just want timeouts for example
[01:12:10.120 --> 01:12:16.200]   Like shut this device down after so long but it has to be much easier to use than enterprise like mobile
[01:12:16.200 --> 01:12:22.200]   Solution and and and actually was megan moroni on ios day earlier who reminded me this apple
[01:12:23.400 --> 01:12:31.000]   Simply with their don't text while driving feature, which they put in ios 11 has is easily the best and the business on this stuff
[01:12:31.000 --> 01:12:33.160]   I mean they've really done a good job. I think
[01:12:33.160 --> 01:12:37.400]   but uh totally and I wanted to have the pressure is starting a
[01:12:37.400 --> 01:12:38.920]   a
[01:12:38.920 --> 01:12:44.200]   socially responsible investing fund and sting and his wife are on the board and stuff like that so they have
[01:12:44.200 --> 01:12:47.080]   There's this is kind of promotional for for jana
[01:12:47.080 --> 01:12:48.040]   uh
[01:12:48.040 --> 01:12:52.920]   California state teachers retirement system. I think probably because their teachers has some interest in this
[01:12:52.920 --> 01:12:57.000]   This is the same thing with accessibility like please please make this an industry discussion
[01:12:57.000 --> 01:13:01.080]   I yes, I can I can't count how many times i've seen accessibility on an apple stage
[01:13:01.080 --> 01:13:05.080]   I don't think i've almost ever seen it on a google stage or other companies
[01:13:05.080 --> 01:13:08.840]   And this is not what about it. This is something that I want as a consumer of all these companies
[01:13:08.840 --> 01:13:11.160]   I want them all held to apple like standards
[01:13:11.160 --> 01:13:15.800]   It is better for all of us if they do that apple gets all the heat because they got the most successful
[01:13:16.360 --> 01:13:20.920]   And good just give give that heat to everybody please. I want them all to be doing this for me
[01:13:20.920 --> 01:13:24.040]   Yeah, apple did say they're gonna make more stuff
[01:13:24.040 --> 01:13:30.360]   Yeah, and google has had a lot of a lot of coverage in uh about accessibility and stuff like that in the reference
[01:13:30.360 --> 01:13:35.880]   but uh, what I it's it does they do but and I absolutely agree that they
[01:13:35.880 --> 01:13:39.080]   This really should be a complaint about all
[01:13:39.080 --> 01:13:42.040]   phones in general all devices in general
[01:13:42.440 --> 01:13:47.000]   And not just about apple and sees it have figured out why they decided to highlight apple in this
[01:13:47.000 --> 01:13:51.480]   But this is this is going to be a bigger and bigger problem. I mean, I've been recently i've been taking a look at
[01:13:51.480 --> 01:13:53.480]   child
[01:13:53.480 --> 01:13:55.000]   activity trackers
[01:13:55.000 --> 01:13:59.960]   Like you know the fitness bands that are designed for children and that okay, that's kind of okay
[01:13:59.960 --> 01:14:07.880]   That's nice that you're sort of able to make sure that your kids have have an awareness of how much they're active or not active during the day
[01:14:07.880 --> 01:14:09.880]   But these add
[01:14:09.880 --> 01:14:16.120]   horrifying features to me where it has things like chore tracking and reward tracking so that
[01:14:16.120 --> 01:14:17.400]   as
[01:14:17.400 --> 01:14:23.160]   If they if they make their basically their their parents can monitor what they're doing and uh, they can communicate
[01:14:23.160 --> 01:14:28.440]   between the devices so that they get certain rewards if they do certain chores and
[01:14:28.440 --> 01:14:31.560]   that's uh
[01:14:31.560 --> 01:14:36.360]   For for lazy butts like me that can be a very handy way to you know
[01:14:36.520 --> 01:14:41.160]   To kick me in the butt and say, you know, you are you are going to clean the floors today
[01:14:41.160 --> 01:14:43.880]   You're going to move the first row the way you're going to dry them up. You're going to wet them up
[01:14:43.880 --> 01:14:50.760]   You're going to do all that stuff and because it's on the schedule and I won't let you I won't let you access instagram until you actually get this done
[01:14:50.760 --> 01:14:52.200]   Okay, fine
[01:14:52.200 --> 01:14:55.480]   But when you're talking about giving this to like a seven eight nine year old kid
[01:14:55.480 --> 01:15:01.160]   Where they're being trained that the reason why i'm making my bed in the morning is because I want to many
[01:15:01.160 --> 01:15:07.000]   Mouse to do the little dance and I want to be able to get tokens that can use to play a game on my phone later on
[01:15:07.000 --> 01:15:11.480]   I really do I want to see some studies into what that does to
[01:15:11.480 --> 01:15:20.120]   This kid as an adult when they are always linking if I do this for a tangible and immediate and clear reward
[01:15:20.120 --> 01:15:24.280]   As opposed to there no the reason why you clean your room regularly is because
[01:15:24.280 --> 01:15:29.000]   If you don't in a month, you will not be able to see the you won't be able to find anything you own
[01:15:29.320 --> 01:15:33.000]   You won't be able to you'll you'll be honored by Phil
[01:15:33.000 --> 01:15:39.800]   There is no immediate tangible reward to cleaning a room except for having a clean room in an orderly life for someone who has no kids
[01:15:39.800 --> 01:15:44.920]   You're you're right on Andy and I think there are a lot of parents who in fact we didn't do this will not tie
[01:15:44.920 --> 01:15:46.280]   uh
[01:15:46.280 --> 01:15:49.560]   Rewards to chores. That's just your requirement. That's just your job
[01:15:49.560 --> 01:15:54.120]   You just have to do that's part of being in the family because they don't want to create that connection
[01:15:54.120 --> 01:15:56.520]   But the point here is not that apple would do that either
[01:15:56.840 --> 01:16:02.840]   What apple needs to do and what they're calling on apple to do and every company do is to provide the tools parents need to choose
[01:16:02.840 --> 01:16:05.400]   How they do this
[01:16:05.400 --> 01:16:06.200]   Right?
[01:16:06.200 --> 01:16:09.560]   It's about empowering parents not about putting in stuff
[01:16:09.560 --> 01:16:14.440]   Absolutely, I mean that it's it's good that we continue to have conversations about
[01:16:14.440 --> 01:16:20.200]   What happens when you have a human being that is still in development that their their brain is still cooking
[01:16:20.200 --> 01:16:24.200]   They're still writing their their their their uh their operational software
[01:16:24.600 --> 01:16:28.520]   And if they're usual inner if there's a layer of glass between their
[01:16:28.520 --> 01:16:31.320]   Their brains and their perceptions of reality
[01:16:31.320 --> 01:16:35.800]   What effect does that have in 20 years time? It's at least it's worth studying
[01:16:35.800 --> 01:16:40.920]   No, I always defer to Georgia on stuff like this because she's way smarter than me, but uh, she has kids
[01:16:40.920 --> 01:16:45.480]   She has kids and she's she's got a degree in education and she's a full-time therapist, but
[01:16:45.480 --> 01:16:50.520]   The the interesting thing with this is that apple can only offer technological solutions to this
[01:16:50.760 --> 01:16:54.840]   And when you talk about the effects of screen time on children even on adults, but on children too
[01:16:54.840 --> 01:16:58.840]   Uh, it has to be a balance there has to be parenting apple can't make a cyber babysitter
[01:16:58.840 --> 01:17:04.280]   nor should they make a cyber babysitter for you the most powerful way to prevent your kids having screen time is to prevent them
[01:17:04.280 --> 01:17:09.160]   From having screen time and this is not new. This is don't put the computer in their room put it in the living room
[01:17:09.160 --> 01:17:12.920]   This is don't give them cause and access to a phone because you can put a time out on it
[01:17:12.920 --> 01:17:15.160]   But if they don't have the phone they can't be using the phone
[01:17:15.320 --> 01:17:21.640]   So I think there it's it's a larger societal question about the roles and responsibilities of parenting and the children that we're raising
[01:17:21.640 --> 01:17:26.840]   And how technology and what the technology companies can do to help with it, but there's still ultimately parenting issues
[01:17:26.840 --> 01:17:33.080]   Jimi iovine leaving apple in august, uh, exactly
[01:17:33.080 --> 01:17:37.880]   Exactly when uh his stocks vest
[01:17:37.880 --> 01:17:41.480]   Supposedly reportedly reportedly
[01:17:41.720 --> 01:17:48.840]   Uh, remember of course that iovine and dr. Dray sold beats to apple for 3.2 billion dollars, uh, four years ago and
[01:17:48.840 --> 01:17:53.320]   You'll spend more time with his money. Yeah, but you know, he's also 64
[01:17:53.320 --> 01:17:55.560]   I mean, it's not inappropriate for him to retire
[01:17:55.560 --> 01:18:00.600]   Well, and he rolled out apple music and now apple's getting into uh entertainment that is beyond just music
[01:18:00.600 --> 01:18:05.960]   So he might have been there and done what he needed to do and they're done that apple. Yes speaking of that apple's really expanding
[01:18:05.960 --> 01:18:10.840]   Uh, they ordered a documentary from the producer of rock of ages
[01:18:11.640 --> 01:18:16.760]   They're uh, they gave an order to a series order to a show about extraordinary homes
[01:18:16.760 --> 01:18:22.200]   They're developing a video series with the creator of cereal
[01:18:22.200 --> 01:18:25.640]   Uh based on the novel are you sleeping?
[01:18:25.640 --> 01:18:34.040]   And they've picked this is all this is all this week and they picked up reese weather spoons thriller, uh, starring octavia spencer
[01:18:34.040 --> 01:18:40.760]   Clearly apple is spreading its billion dollars around and I bet you it's going to be more
[01:18:40.760 --> 01:18:45.000]   Than a billion dollars by the time they're done. They realize if they're going to compete with the eight billion that netflix is spinning
[01:18:45.000 --> 01:18:47.960]   Although netflix has done too much maybe
[01:18:47.960 --> 01:18:54.360]   It's it's it's so much original stuff on netflix. You don't even know they have different problems like netflix is their product
[01:18:54.360 --> 01:18:59.000]   And they have to always have enough content that you want to maintain your netflix and they're losing movies because it's got to be
[01:18:59.000 --> 01:19:05.320]   Right. So yeah, and they and but they it's like uh hbo wants you to sign up for game of throwing but netflix wants you to be there for bright and for
[01:19:05.320 --> 01:19:08.360]   Stranger things it always has to be something where apple again
[01:19:08.360 --> 01:19:14.040]   This is a vehicle to make more money off of i for now to make more money off of iphones by creating a ritual overall ecosystem
[01:19:14.040 --> 01:19:18.360]   They just have to have enough and i don't know if they keep calling it apple music when it starts having all this video content
[01:19:18.360 --> 01:19:22.040]   But they have to have enough that when you buy an iphone you're like, well look at all this extra stuff
[01:19:22.040 --> 01:19:24.120]   I get with it and that's a much smaller
[01:19:24.120 --> 01:19:31.880]   Entertainment space to solve for yeah, it's it's once the it's it's easy to make fun of them at this stage to because they're
[01:19:31.880 --> 01:19:34.600]   They're starting to raise so many years late, but
[01:19:35.800 --> 01:19:39.400]   The best time to start any great idea is three four years ago and they have to start some time
[01:19:39.400 --> 01:19:43.080]   uh, and look at look at what amazon prime the amazon prime
[01:19:43.080 --> 01:19:45.640]   Service has done where
[01:19:45.640 --> 01:19:51.720]   I still i still associate with free two-day shipping but the list of things i get for free simply by having this account
[01:19:51.720 --> 01:19:54.760]   uh, is kind of staggering and once they when they
[01:19:54.760 --> 01:19:56.440]   uh
[01:19:56.440 --> 01:20:02.280]   Sometimes a really great series can be a very valuable loss leader so to speak i
[01:20:02.840 --> 01:20:08.840]   The marvelous mrs. Maisel got me making sure that the amazon video app is on every single device i had
[01:20:08.840 --> 01:20:11.800]   It was golden clothes and jeff basil
[01:20:11.800 --> 01:20:14.040]   In the alatino
[01:20:14.040 --> 01:20:16.360]   And i loved amy shriman paladino's top hat
[01:20:16.360 --> 01:20:18.680]   Yeah
[01:20:18.680 --> 01:20:21.080]   And just like uh just like the crown
[01:20:21.080 --> 01:20:24.120]   Like if there if there's a system yep
[01:20:24.120 --> 01:20:30.120]   Oh god and and it reminds you how valuable that subscription is and if that if you're on given that
[01:20:30.440 --> 01:20:34.600]   Given that every single music service has pretty much the same collection of albums even when they have
[01:20:34.600 --> 01:20:39.240]   Have exclusives they don't have those exclusives forever all you have to do is
[01:20:39.240 --> 01:20:45.960]   Maybe it's going to be all you have to do is extend the free period from 30 days to 60 to 90 days
[01:20:45.960 --> 01:20:49.560]   And then make sure that every 60 to 90 days
[01:20:49.560 --> 01:20:53.800]   You have some sort of original content that is
[01:20:53.800 --> 01:21:00.120]   Everybody is talking about that sweep in the golden glows but not only that but on twitter everybody and on instagram
[01:21:00.120 --> 01:21:06.520]   Everybody that is on facebook everybody that's in your social circle is asking you have you started with watching the marvelous mrs
[01:21:06.520 --> 01:21:07.720]   Maisel yet
[01:21:07.720 --> 01:21:11.320]   No, okay watch the first episode no no watch episode four
[01:21:11.320 --> 01:21:13.720]   And then get back to me and then
[01:21:13.720 --> 01:21:19.960]   I've finished it and it is very very good deserved and she is uh really great bresnahan
[01:21:19.960 --> 01:21:25.480]   Deserve to your golden globe too. She's just 26 years old. We're gonna see a lot more of her. She's a superstar
[01:21:25.480 --> 01:21:28.760]   Uh ces is going on. Oh who knew
[01:21:29.640 --> 01:21:32.920]   Yep, we're not there team there. We're not there apple doesn't have a
[01:21:32.920 --> 01:21:39.800]   Booth there but boy apple has a presence there a lot of home kit support coming out bellkin has announced its wemo line
[01:21:39.800 --> 01:21:45.720]   Uh, well, finally starting a january 14th. There'll be a wemo bridge for 40 dollars
[01:21:45.720 --> 01:21:53.720]   Um, and uh that that'll allow you to control with home kit. We must switch insight light switch dim many dimmer and motion
[01:21:53.720 --> 01:21:56.600]   and so
[01:21:56.760 --> 01:22:00.520]   That's good news if you're all in on uh on home kit and syri
[01:22:00.520 --> 01:22:07.000]   Let's see what i'm so much okay stuff in the last week. Lio nano leaf made a 12 sided apple home kit remote
[01:22:07.000 --> 01:22:09.080]   That looks like a 12 sided die
[01:22:09.080 --> 01:22:17.160]   Uh, if that's if that's not if that's not like rubberized and make sure that you can actually use it in gaming
[01:22:17.160 --> 01:22:20.280]   They're just idiots. I think that they there should be a class action suit
[01:22:20.280 --> 01:22:25.080]   That is like that is an attractive nuisance if they do as you play dnd your lights and everything changed
[01:22:25.240 --> 01:22:30.440]   Well, it really does tempt you to say well, I've got this programmed with 12 different scenes
[01:22:30.440 --> 01:22:32.440]   Let's see what we get today
[01:22:32.440 --> 01:22:39.800]   Uh apple watch users can control select world pool washers dryers in ovens early this year
[01:22:39.800 --> 01:22:43.720]   Not sure why you'd want to set your wash
[01:22:43.720 --> 01:22:44.760]   What am I?
[01:22:44.760 --> 01:22:48.760]   No, one of my worst ces memories was two years ago when I walked into showstoppers
[01:22:48.760 --> 01:22:54.680]   And there was this pr woman there and she was just like make it stop make it stop and the person's looking at her
[01:22:54.680 --> 01:22:58.600]   She goes this effin android dishwasher was texting me all night. I could not
[01:22:58.600 --> 01:23:09.320]   It's not about controlling stuff. It really is about communication
[01:23:09.320 --> 01:23:16.280]   Like the only reason why I have like the bluetooth app on my suv devices just to know just to know it has has the device come up to temp
[01:23:16.280 --> 01:23:23.560]   Right yet, and then just to know and also has it turned off has the oven turn is the is the oven up to temperature when when cooking
[01:23:24.120 --> 01:23:30.040]   Peats and stuff like that. So that's cool stuff and this is home automation is one of those few categories
[01:23:30.040 --> 01:23:35.000]   We're almost nobody is interested in creating something that is that is
[01:23:35.000 --> 01:23:39.240]   Exclusive to one platform because they know that things are really in flux right now
[01:23:39.240 --> 01:23:41.800]   There's huge competition and so there is
[01:23:41.800 --> 01:23:44.440]   Unless there is a deep
[01:23:44.440 --> 01:23:48.840]   Deeply disturbing technical reason why you can't make something work with home kit
[01:23:48.840 --> 01:23:53.080]   They're going to make sure that it works with every single platform that's conductive use of it
[01:23:53.800 --> 01:23:56.280]   I did talk to a developer though who makes a
[01:23:56.280 --> 01:24:04.280]   Device would be very appropriate for home kit who said it's very it's so much easier for us to implement amazon's echo support
[01:24:04.280 --> 01:24:06.840]   Uh, we're working on home kit, but it's not
[01:24:06.840 --> 01:24:09.880]   Any security previously from
[01:24:09.880 --> 01:24:16.200]   Apple's gonna do away with the mfi chip, but I think they're still going to maintain the end end encryption port. Yeah
[01:24:16.200 --> 01:24:18.920]   uh net atmo
[01:24:19.400 --> 01:24:24.040]   Is adding home kit to it's a welcome indoor camera by the end of march
[01:24:24.040 --> 01:24:30.040]   Uh, I mean, I really of course you want all iot devices to support home kit
[01:24:30.040 --> 01:24:34.440]   But again, it requires some investment both in time and money for the company
[01:24:34.440 --> 01:24:39.720]   My thing now is I bought a ton of home kit stuff for the place i'm moving into and a lot of them have their own subscription services
[01:24:39.720 --> 01:24:43.240]   Well, they'll store all your data for you and i'm like nope nope nope nope nope
[01:24:43.240 --> 01:24:48.520]   And I wish I had alternatives like I wish I could just store like I don't need logic tech or I don't need nest to store video for me
[01:24:48.520 --> 01:24:53.720]   Just let me point it at my home server and they like no no web dev api for you and it really adds up
[01:24:53.720 --> 01:25:00.840]   It really adds up. It's not but I also I don't want my video of my home being stored anywhere on the internet. Thank you
[01:25:00.840 --> 01:25:07.160]   That's that's all right. I got fortunately after cleaning out like my old house and all the closets and all the garage boxes
[01:25:07.160 --> 01:25:13.160]   I came across like all the avios like ethernet webcams that I like put away like three or four or five years ago
[01:25:13.400 --> 01:25:18.360]   Not knowing that when I when I set up the new when I the next time I move i'm going to enjoy
[01:25:18.360 --> 01:25:27.240]   Just just like when he says all I want is something that connects to my network that allows me to look out the window to see if the ups truck is pulling up the street
[01:25:27.240 --> 01:25:33.800]   I don't need I don't need motion tracking. I don't want you to I don't have to have to sign into an account to make that happen
[01:25:33.800 --> 01:25:39.000]   I just want to hold up my phone and realize that no I can stay in bed for another eight minutes
[01:25:39.720 --> 01:25:45.000]   Father robert bao is there the digital jessuit is it ceso is dik d bar tollo scott wilkinson
[01:25:45.000 --> 01:25:48.200]   and
[01:25:48.200 --> 01:25:53.320]   Who else we have a number of people down there and we will have reports throughout the week tech news weekly will have
[01:25:53.320 --> 01:25:59.240]   Reports and of course father robert bao is going back from vegas on saturday and co-hosting the screen savers with me
[01:25:59.240 --> 01:26:03.000]   So we will have more drives away than electric supercar
[01:26:03.000 --> 01:26:09.000]   We decided i just i you know we used to go down there when you do a big booth and stuff
[01:26:09.080 --> 01:26:14.120]   Not only was it horrifically expensive, but at this point it's the show is so over covered
[01:26:14.120 --> 01:26:16.680]   How many people did you send down there?
[01:26:16.680 --> 01:26:23.320]   Uh, we sent we actually cut down hugely for the same reasons you mentioned we sent two from android central two from windows central
[01:26:23.320 --> 01:26:29.240]   Michael fissure mow mr. Mobile and then assistant went and uh, my boss kevin went because he had to manage the whole thing
[01:26:29.240 --> 01:26:31.320]   I think some maybe eight people yeah, i know baiter
[01:26:31.320 --> 01:26:37.400]   Yeah, i mean we sent twice as many down spend half a million dollars on equipment and storage and hotels and food
[01:26:37.960 --> 01:26:40.920]   And gadgets got its own trailer the verge of his own trailer
[01:26:40.920 --> 01:26:44.680]   It is trailers for their trailers now. Yeah, there's more than amply covered
[01:26:44.680 --> 01:26:50.600]   So i feel like we can do we send a few people down, but we can do is as well as we need to just by sitting here and looking
[01:26:50.600 --> 01:26:56.920]   Every year it's a lot of the same like every year it was 3d tv's and every year it was 4k tv's and then every year it was drones
[01:26:56.920 --> 01:27:04.120]   I'm very interested in scott wokenson before he left on saturday said i can't tell you because i'm in barcode
[01:27:04.120 --> 01:27:07.080]   But there is a new tv technology which will be shown at ces
[01:27:07.720 --> 01:27:11.400]   Uh, then we'll talk about it saturday on the tech guy shawt. I don't know what that is
[01:27:11.400 --> 01:27:16.440]   But i know i got jealous because i have that lg olet tv in the new l lg olet tv is colorier
[01:27:16.440 --> 01:27:19.480]   It has more color because higher color depth or something
[01:27:19.480 --> 01:27:22.280]   So i know i'm missing the color that i didn't know i was missing
[01:27:22.280 --> 01:27:30.040]   I every time i sit down and watch my now almost two years old lg b i guess it's a b 16
[01:27:30.040 --> 01:27:35.240]   I don't know it's it from 2016 i have the seven c yeah, six c i have six b six i have
[01:27:35.800 --> 01:27:40.360]   I think god i bought it it is just gorgeous and now there's so much content
[01:27:40.360 --> 01:27:42.840]   I was watching a chance in amazon
[01:27:42.840 --> 01:27:47.880]   Uh show last night in 4k hdr just looks great
[01:27:47.880 --> 01:27:54.200]   I went to itons leo and i pressed the button and it said you've got the hdr version of die hard and harry potter
[01:27:54.200 --> 01:27:57.000]   And the fifth element and my christmas was just done
[01:27:57.000 --> 01:28:00.920]   I knew what i was doing and i have it in the dark end room with a surround system
[01:28:00.920 --> 01:28:06.280]   We only sit about eight feet from the screen so it pretty much fills your vision and it's it's a better experience
[01:28:06.280 --> 01:28:11.240]   When the movies do are yeah amazing in fact now that blader on our 2049 is out
[01:28:11.240 --> 01:28:14.680]   I'm going to give it a second chance because i saw it in the movie theater in 3d
[01:28:14.680 --> 01:28:20.280]   It was dim dark and i couldn't i didn't like it, but i know everybody else loved it
[01:28:20.280 --> 01:28:24.440]   So i want to watch it again i was like i'll hold me i love the beginning didn't didn't lend the ending for me
[01:28:24.440 --> 01:28:26.600]   Yeah, i love it
[01:28:26.600 --> 01:28:32.040]   I like i like the whole thing but i'll i'll i'll i'll give you two with like an opportunity to advise me now
[01:28:32.040 --> 01:28:36.920]   It's time for me to buy a new tv because the old one is 10 years old now
[01:28:36.920 --> 01:28:38.920]   It still works
[01:28:38.920 --> 01:28:41.880]   But you know the it has fluorescent backlighting and now you get
[01:28:41.880 --> 01:28:47.800]   In dark scenes like in blade runner there's like sort of an instagram effect happening at the edges of the screen
[01:28:47.800 --> 01:28:55.800]   And i'm going back to my usual tv buying algorithm, which is i want to buy all it has to be is like have 4k and hdr
[01:28:56.440 --> 01:29:01.880]   And cost no not under $500 but not more than a thousand dollars
[01:29:01.880 --> 01:29:07.480]   So i'm probably going to be getting like a tcl like a six it costs like 600 or 700 bucks
[01:29:07.480 --> 01:29:09.480]   I don't know why i was i was like
[01:29:09.480 --> 01:29:13.560]   Maybe between 50 and 60
[01:29:13.560 --> 01:29:19.960]   I think that's 55 55 is about g olet isn't i think that 55 inch old that has come down
[01:29:19.960 --> 01:29:24.440]   Yeah, you get last year's model when the new one comes out and save
[01:29:25.240 --> 01:29:30.680]   And uh, the pan i mean it's really i was just running circles and they support Dolby vision
[01:29:30.680 --> 01:29:33.960]   Which a lot of other tv's don't which is just but in your budget
[01:29:33.960 --> 01:29:37.880]   Remember and this is something people forget everything has to be upgraded
[01:29:37.880 --> 01:29:43.560]   You need a new av receiver that supports 4k. You need a roku a chrome cast and apple tv
[01:29:43.560 --> 01:29:48.680]   Everything has to support 4k or you just there's no point. Well i did i did future proof
[01:29:48.680 --> 01:29:53.640]   I got when I bought my av receiver. I bought the cheapest one. They'll support 4k and all the uh,
[01:29:54.120 --> 01:29:58.600]   and all the uh, the the content content perfection standards of that
[01:29:58.600 --> 01:30:01.800]   my tv boxes the
[01:30:01.800 --> 01:30:06.360]   Nvidia shield which are perfect works very good for the hdr
[01:30:06.360 --> 01:30:09.080]   It's just i'm always it's every time that i
[01:30:09.080 --> 01:30:13.640]   From from time to time a company will send me like a two or three thousand dollar tv
[01:30:13.640 --> 01:30:18.280]   In you know a box the size of a mattress and it's nice
[01:30:18.280 --> 01:30:23.400]   But I don't it never blows me away that this is I can I can say
[01:30:23.960 --> 01:30:29.800]   When I put it side by side with uh with a normal budget sort of tv said
[01:30:29.800 --> 01:30:37.160]   I can definitely see the improvement but it's not like the difference between like sd and hd where it's like I never want to go back again
[01:30:37.160 --> 01:30:39.560]   So it's always hard to press you
[01:30:39.560 --> 01:30:42.600]   Oh, no hdr
[01:30:42.600 --> 01:30:47.480]   hdr absolutely no i've had a couple of hdr sets in the office for a couple of years and that's like
[01:30:47.480 --> 01:30:50.280]   It's it's almost I love it because it's almost like
[01:30:50.760 --> 01:30:55.000]   Uh, it's a it's a people pleasing feature. It's like the the reason why
[01:30:55.000 --> 01:31:00.920]   You can buy an $800 tv that looks as good as a $4,000 tv might have two years ago
[01:31:00.920 --> 01:31:06.040]   Just the ability to say let's make sure that there are actual blacks here. Let's make sure there's detail in the whites
[01:31:06.040 --> 01:31:11.640]   Uh, that's just like though. It's even more important than 4k. I think this is you will absolutely notice it if it's your
[01:31:11.640 --> 01:31:15.960]   Oh, I agree 100 percent. It'd be nice to get all led, but that's what really puts you out of the price range
[01:31:15.960 --> 01:31:20.440]   The b6 that I have the 2016 55 inch lj is $1,500
[01:31:21.000 --> 01:31:23.000]   But I noticed that sony selling
[01:31:23.000 --> 01:31:31.080]   A 2016 4k hdr 55 inch for 848 bucks. This is a very nice one. It's just lcd. It's not
[01:31:31.080 --> 01:31:37.480]   Oh, led if you can afford o led it's worth it, but uh, but you know, there's this is
[01:31:37.480 --> 01:31:41.320]   That you'd be very micro led ships in volume. Ha ha if it
[01:31:41.320 --> 01:31:43.480]   If it
[01:31:43.480 --> 01:31:46.920]   Trust trust me if if I were to steal a tv out of someone else's house
[01:31:47.320 --> 01:31:52.680]   I would definitely be going for the o led it's just it's it's hard for me to see the different as good as the difference is to say
[01:31:52.680 --> 01:31:55.160]   Yes, but what can I do for a thousand dollars?
[01:31:55.160 --> 01:32:00.680]   Here's like the better speakers that I can get and here's all the movies that I could buy and you know here and here's uh,
[01:32:00.680 --> 01:32:06.200]   I'm actually I'm actually thinking one of the one of the silly things I'm gonna I'm gonna buy this year is maybe a turntable
[01:32:06.200 --> 01:32:14.040]   Because I still can't get I can't get the the movie soundtrack to the musical 1776 anywhere
[01:32:14.680 --> 01:32:16.680]   They've got the broadway cd which is
[01:32:16.680 --> 01:32:23.240]   Some different cast members as the different songs and so maybe this would be the most expensive single album
[01:32:23.240 --> 01:32:29.560]   I've ever bought my life to buy a record player just so I can get 1776, but it will be a fun adventure
[01:32:29.560 --> 01:32:31.880]   That's that's what that's why I mean about getting value for money
[01:32:31.880 --> 01:32:33.720]   I don't think I will get value for the extra thousand bucks
