
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[01:37:29.360 --> 01:37:33.760]   But he does say the right way to address multinational national tax
[01:37:34.320 --> 01:37:39.200]   Is a worldwide thing because if not it becomes a tug of war between countries saying I want this
[01:37:39.200 --> 01:37:42.400]   I want that you know apple took advantage of
[01:37:42.400 --> 01:37:48.480]   Look completely legally of tax laws the united states, but i'm glad to see them repatriating the money
[01:37:48.480 --> 01:37:53.280]   He said we have a deep sense of responsibility to give back to our country and the people who make our success
[01:37:53.280 --> 01:37:57.440]   Possibly said that in england so i'm thinking i think he means it
[01:37:59.360 --> 01:38:06.400]   While surrounded by all the suitcases of cash he's gonna be charging fit me to always a bag for yes taking back with him
[01:38:06.400 --> 01:38:10.720]   uh apple is launching a new internal fitness challenge for employees
[01:38:10.720 --> 01:38:15.280]   Oh, I love this you get a unique apple watch band
[01:38:15.280 --> 01:38:19.840]   They do health challenges frequently. I think every year if not multiple times a year
[01:38:19.840 --> 01:38:23.360]   But the apple watch band is is a nice life to expand are you gonna be
[01:38:23.680 --> 01:38:29.280]   Wouldn't it be awesome if the if the as part of the apple health app when you meet fitness challenges
[01:38:29.280 --> 01:38:32.480]   It basically deposits a little token in your iTunes account
[01:38:32.480 --> 01:38:36.880]   So that when you go to the when you go to the apple store or go to the online apple store
[01:38:36.880 --> 01:38:42.000]   There are bands you can only buy just like like boy scout patches or girl scout patches
[01:38:42.000 --> 01:38:44.480]   If you have earned the right to buy this band
[01:38:44.480 --> 01:38:49.120]   So i'd say um, it's a one of the one of the hook-in loops right the hickin loopers
[01:38:49.120 --> 01:38:53.280]   A woven nine long band. Oh, no, it's got a it's got a one nylon. Yeah, okay
[01:38:53.760 --> 01:38:58.160]   It's solid black, but and I love this has an accent loop in a dark pink red
[01:38:58.160 --> 01:39:04.080]   Uh with lime green and light blue the three colors of course that represent the activity rings
[01:39:04.080 --> 01:39:07.680]   Yep, and the way you get it. You have to reach a gold level
[01:39:07.680 --> 01:39:13.200]   Uh, it's not clear exactly how you get the gold level of the activity rings certain
[01:39:13.200 --> 01:39:18.160]   You have to fill your rings to a set number of days. I guess you just have to outrace jabelonic. It's super simple
[01:39:19.920 --> 01:39:25.680]   Hey, I follow rene richy on the activity and he fills those rings in pretty pretty consistent
[01:39:25.680 --> 01:39:30.880]   I managed to do it last I was just always joking because jabelonic reminds me of steve of captain america in the
[01:39:30.880 --> 01:39:37.520]   The winter soldier movie where on your left on your left. I just imagine james has half his day doing laps around apple park
[01:39:37.520 --> 01:39:42.880]   That's that you good way to get gold. I think this is I think this is a great idea
[01:39:42.880 --> 01:39:47.760]   To you know encourage employees it's a minor thing, but it's kind of a badge of honor
[01:39:48.160 --> 01:39:50.240]   encourage employees to stay fit. This is great
[01:39:50.240 --> 01:39:55.120]   And do you think do you think that the design of the apple campus is going to cause like pronation problems
[01:39:55.120 --> 01:39:59.920]   Because it's because it's like nascar where they're only ever making left turn sideways
[01:39:59.920 --> 01:40:04.720]   There they're at least going to have to like alternate them just to have the wear on the heels of their shoes
[01:40:04.720 --> 01:40:12.000]   Will be the same walk from the from visitor center to campus so to the to the ring so I mean they've got lots of room to work there
[01:40:12.000 --> 01:40:15.200]   so
[01:40:16.000 --> 01:40:20.240]   No word whether they'll ever sell us in public, but that would be pretty cool. They did give away
[01:40:20.240 --> 01:40:27.440]   For pride in 2016 they gave rainbow colored apple watch bands to employees, which is
[01:40:27.440 --> 01:40:32.160]   Also, they had a version of that that was available to the public eventually. They sold that yeah, yeah
[01:40:32.160 --> 01:40:38.640]   I would rather see it though in the hook and loop. I like the velcro. I really do those. That's the most comfortable watch band
[01:40:38.640 --> 01:40:40.640]   It's a sweatpants of apple. It's sweatpants
[01:40:40.640 --> 01:40:44.320]   And but it doesn't look so it doesn't look like sweatpants, right?
[01:40:44.640 --> 01:40:50.240]   Well, also it doesn't like you in the winter months when you suddenly use it doesn't it doesn't make it quite so obvious that wait a minute
[01:40:50.240 --> 01:40:57.360]   I'm using like one one notch further on my watch band. I'm actually getting I'm getting weight in my wrist because it's winter
[01:40:57.360 --> 01:40:59.920]   And I can't I don't want to run in 12 degree weather dammit
[01:40:59.920 --> 01:41:05.920]   There is uh, let's see here. This is from business insider. Thank you scooter x
[01:41:05.920 --> 01:41:10.880]   These are the bikes apple designed for the apple uh campus
[01:41:12.400 --> 01:41:19.280]   Silver silver bullet silver, you know, google's our rainbow color. They don't look that much different. Yeah, there's the google
[01:41:19.280 --> 01:41:24.640]   uh ones, but yeah, I just make one really
[01:41:24.640 --> 01:41:30.080]   Horrible wise guy comment. It's like it's a bicycle
[01:41:30.080 --> 01:41:37.200]   Yet you're out there having fun in part like reliving your childhood, but no we can't it must be gray
[01:41:37.200 --> 01:41:41.360]   It cannot have any cheerful colors. No, we will not even let you have a bell on it
[01:41:42.000 --> 01:41:45.600]   Bell is that is a joyful thing not even any brands on it
[01:41:45.600 --> 01:41:49.600]   There's no logos on the tires or anything most apple office buildings
[01:41:49.600 --> 01:41:55.040]   So I mean in some ways it's a problem for them because anything any building with an apple logo is immediately where you go to get your iphone
[01:41:55.040 --> 01:42:00.560]   Right fixed even if it's an office building right and any bicycle with an apple logo is immediately something everyone throws in their truck the minute
[01:42:00.560 --> 01:42:04.480]   They see it because now I've stolen an apple bicycle. Yeah, that's a that's actually good
[01:42:04.480 --> 01:42:07.360]   Even google it's not it's not just that but google is having a problem
[01:42:07.680 --> 01:42:11.760]   Losing their own google bikes not only because like they're kind of cool bikes
[01:42:11.760 --> 01:42:15.520]   But also because the community and mountain view feels as though
[01:42:15.520 --> 01:42:19.600]   We're part of the google community. Yeah, even the mayor
[01:42:19.600 --> 01:42:25.520]   They're like the shopping carts where you got groceries and you're just gonna like walk a mile or two home
[01:42:25.520 --> 01:42:30.000]   And then maybe it'll be a couple of weeks before you bother singing it back or maybe you'll just toss it into a ravine
[01:42:30.000 --> 01:42:34.400]   So I can't imagine how how long it's gonna take before some of these apple bikes
[01:42:34.720 --> 01:42:38.720]   Arrive on ebay because there are people who will want to add an apple bike to their collection
[01:42:38.720 --> 01:42:45.360]   Let's take a break and get your picks of the week in just a moment any an anaco for chicago sun times from i'm where dot com
[01:42:45.360 --> 01:42:49.040]   Renee richy tim cooks new best friend and
[01:42:49.040 --> 01:42:55.360]   Our picks of the week coming up in just again in three and a half days. We will stop giving you crap for this
[01:42:55.360 --> 01:42:59.920]   We should we shouldn't be giving you any crap at all. We've got we just got some jealousy issues to work out
[01:42:59.920 --> 01:43:01.760]   That's all there is
[01:43:01.760 --> 01:43:08.160]   It is jealousy. It's just it makes it makes us look very ugly. Well, we just have to get through it to get there. It's always beautiful to me Andy
[01:43:08.160 --> 01:43:12.640]   Hey, I was just I was just looking at my molecule air
[01:43:12.640 --> 01:43:18.640]   Purifier on my smartphone and then I just thought wait a minute. I've got one here. I could show you
[01:43:18.640 --> 01:43:21.520]   This is it. This is the molecule
[01:43:21.520 --> 01:43:26.880]   We actually got one for the studio because the studio has problems with fumes, you know when they tarred the roof
[01:43:26.880 --> 01:43:28.960]   It was really hard to breathe in here
[01:43:29.040 --> 01:43:34.240]   Um, you know the the fires in northern, California made it very smoky in here
[01:43:34.240 --> 01:43:38.880]   They painted and the v o sees in the air made it hard to breathe and uh and uh
[01:43:38.880 --> 01:43:45.360]   Fertilizer season and pet luma's coming up real soon and well you just don't want to be here
[01:43:45.360 --> 01:43:49.840]   That's happening. That's why we got a molecule. In fact, I've ordered another molecule for our house
[01:43:49.840 --> 01:43:54.560]   We've had one in our bedroom lisa and i for some months in fact lisa says she had allergies
[01:43:54.560 --> 01:43:56.800]   She would wake up every morning
[01:43:56.800 --> 01:43:58.960]   We've just did with a headache ever since we got the molecule
[01:43:58.960 --> 01:44:05.760]   Never it didn't happen one day. I accidentally turned off the molecule. She said what you do. I got a headache. I said oh
[01:44:05.760 --> 01:44:15.360]   So I got I got anecdotal proof positive the molecule works. You've probably heard of air purifiers that use HEPA filters, right?
[01:44:15.360 --> 01:44:17.280]   Uh
[01:44:17.280 --> 01:44:19.520]   50 years ago that was the greatest thing ever
[01:44:19.520 --> 01:44:24.240]   Developed in the 40s there haven't been any innovations since well until that until now
[01:44:24.640 --> 01:44:30.080]   molecule uses pico technology photo electro chemical oxidation
[01:44:30.080 --> 01:44:36.320]   That does a lot more than any HEPA filter does see HEPA filters are just
[01:44:36.320 --> 01:44:38.960]   Fithers their sieves
[01:44:38.960 --> 01:44:42.800]   The the the the pico filter does a whole lot more first of all
[01:44:42.800 --> 01:44:47.600]   It can capture pollutants 1000 times smaller than a HEPA filter
[01:44:47.600 --> 01:44:50.800]   It also can eliminate allergens mold
[01:44:50.800 --> 01:44:52.960]   bacteria
[01:44:52.960 --> 01:44:56.560]   Viruses and even VOCs and air other airborne chemicals
[01:44:56.560 --> 01:44:59.440]   so your air
[01:44:59.440 --> 01:45:03.600]   Is great to breathe funded originally by the EPA
[01:45:03.600 --> 01:45:07.360]   Extensively tested by real people verified
[01:45:07.360 --> 01:45:12.080]   in university labs like the university of southern florida center for biological defense
[01:45:12.080 --> 01:45:15.520]   And the university of minnesota's particle calibration lab
[01:45:15.520 --> 01:45:21.200]   I love our molecule you can take parrot to the internet control it from your phone
[01:45:21.520 --> 01:45:26.480]   But you can also control it just as you would any filter just from the top they've got a button on the top
[01:45:26.480 --> 01:45:33.200]   It has a silent mode, which is great for the bedroom at night. Although I have to say even when it's on loud
[01:45:33.200 --> 01:45:37.760]   It's kind of a nice white noise. It's very soothing. Uh, I like how it masks noise
[01:45:37.760 --> 01:45:42.480]   They also have a light that is the is breaking down
[01:45:42.480 --> 01:45:45.840]   These chemicals you could turn that off at night
[01:45:45.840 --> 01:45:50.000]   But you want to turn it on again in the morning because it actually it's cleaning the air
[01:45:50.800 --> 01:45:53.920]   I thought I said, oh, that's just a light to let you know it's working. They said no, no, no
[01:45:53.920 --> 01:45:58.720]   That's the that's the the the um, it must be ultraviolet light that's breaking down
[01:45:58.720 --> 01:46:04.320]   the chemicals so it has a um a filter that is actually uh
[01:46:04.320 --> 01:46:07.280]   capturing
[01:46:07.280 --> 01:46:09.280]   these impurities
[01:46:09.280 --> 01:46:11.440]   kind of like a magnet
[01:46:11.440 --> 01:46:14.480]   Uh, and then the light is breaking them down
[01:46:14.480 --> 01:46:17.360]   It's basically it's the apple of air purifiers
[01:46:17.840 --> 01:46:20.880]   Connected to your Wi-Fi network control it remotely from your smartphone
[01:46:20.880 --> 01:46:25.600]   You can also turn off the bluetooth and Wi-Fi capabilities not required
[01:46:25.600 --> 01:46:29.840]   It is awesome. Oh the reason I do like to use the Wi-Fi
[01:46:29.840 --> 01:46:33.840]   Is because it will keep track of and you can see it on the app
[01:46:33.840 --> 01:46:37.760]   How much of your filter there are two filters in it how much of them have been used
[01:46:37.760 --> 01:46:41.920]   And it will auto order new filters when you get down to 10%
[01:46:43.440 --> 01:46:50.000]   Get $75 off your first order right now m-o-l-e k-u-l-e dot comment under the promo code macbreak
[01:46:50.000 --> 01:46:52.000]   If you've got issues with allergies
[01:46:52.000 --> 01:46:57.600]   If if you're in as many are an office building that's sealed, you know, you've got that sick air syndrome
[01:46:57.600 --> 01:47:03.520]   This is a must it's great for our studio because we can't leave the doors open. We don't have any windows in here
[01:47:03.520 --> 01:47:06.080]   The air is so much better
[01:47:06.080 --> 01:47:12.560]   Molecular replaces 50 years of antiquated air purification technology. It's not a HEPA filter. It's a pico filter
[01:47:13.040 --> 01:47:17.920]   And it goes way beyond it if you're worried about mold black mold things like that
[01:47:17.920 --> 01:47:22.960]   It is the only filter that actually captures it traps it and then destroys it
[01:47:22.960 --> 01:47:25.680]   viruses bacteria
[01:47:25.680 --> 01:47:27.040]   VOCs
[01:47:27.040 --> 01:47:34.400]   M-o-l-e k-u-l-e molecule with a k dot com promo code macbreak for $75 off your first order
[01:47:34.400 --> 01:47:40.640]   I love our molecule. In fact, I mean proof is in the pudding. We got one for the bedroom
[01:47:40.640 --> 01:47:43.520]   Now we got one. I just ordered one for michaels room. We're gonna set it up tonight
[01:47:43.520 --> 01:47:46.000]   We've had the one in the studio now for a month or two
[01:47:46.000 --> 01:47:48.640]   This is a great product molecule
[01:47:48.640 --> 01:47:51.120]   Dot com promo code macbreak
[01:47:51.120 --> 01:47:56.080]   Time for that's my pick of the week time for our picks of the week and the anacos
[01:47:56.080 --> 01:47:58.000]   What are you using these days that you like a lot?
[01:47:58.000 --> 01:48:00.480]   I got two picks that are kind of related
[01:48:00.480 --> 01:48:05.200]   Uh, the cd just came in today. I heard you listening to it
[01:48:05.200 --> 01:48:09.520]   Oh god, this is 50 years at Lincoln center a gala celebration last year
[01:48:10.080 --> 01:48:14.880]   the metropolitan opera house at the Lincoln center 50th anniversary of that facility
[01:48:14.880 --> 01:48:20.960]   And they basically had a three or four hour gala, which they assembled pretty much every
[01:48:20.960 --> 01:48:27.520]   Every amazing voice you that that is that has been performing at the Met for the past 10 or 20 years
[01:48:27.520 --> 01:48:35.120]   Uh, and a program of just it's just amazing the cd plus no domingo rene Fleming
[01:48:35.520 --> 01:48:42.000]   Uh, diana domra one of my favorite soprano is joist de de natto another one my favorite soprano's victorio greguot
[01:48:42.000 --> 01:48:48.800]   I so only on cheva on and on and on and on some names you'll recognize some you won't but all these are just the
[01:48:48.800 --> 01:48:52.880]   one the greatest singers ever singing all of the
[01:48:52.880 --> 01:48:59.040]   It's basically the greatest the best opera greatest hits cd you can possibly get
[01:48:59.040 --> 01:49:02.400]   Uh, people I have I've heard from a lot of people who think i'm an expert on opera
[01:49:02.400 --> 01:49:07.680]   I'm not i'm just a person who buys cd's and a person who occasionally gets to go to the Met when they're when i'm in town
[01:49:07.680 --> 01:49:15.600]   A business, uh, but I mean if you want of one cd that costs 25 bucks that will give you an idea of how beautiful opera can be
[01:49:15.600 --> 01:49:18.480]   It's three and a half hours of live performance
[01:49:18.480 --> 01:49:22.720]   By the pea not only people who are amongst the best in the world at what they what they do
[01:49:22.720 --> 01:49:30.000]   But also really excited to be at this gala and kind of wanting to show off and be the show off their best in front of everybody else
[01:49:30.480 --> 01:49:33.920]   In the industry, uh, so it's I was list I just started listening to it
[01:49:33.920 --> 01:49:36.960]   I was like I was just picking and choosing some of my best stuff
[01:49:36.960 --> 01:49:41.280]   So my favorite performers, but I mean I can't recommend this highlamp
[01:49:41.280 --> 01:49:45.520]   I'm so excited about this, uh, and that leads to my second pick of the pick of the week
[01:49:45.520 --> 01:49:48.000]   Uh, I liked it. I was so excited about it
[01:49:48.000 --> 01:49:53.600]   I almost dropped this just into the cd player instead of ripping them into my my music library first
[01:49:53.600 --> 01:49:59.120]   Uh, and so I got to but I did hold off just long enough, uh, and so uh,
[01:49:59.760 --> 01:50:06.000]   first time I tried a alternative to itunes, uh, it's a uh app called db power amp
[01:50:06.000 --> 01:50:13.040]   Uh, it's uh a really it is a heavy duty tool itunes does a million things it does
[01:50:13.040 --> 01:50:17.360]   Lost list rips of cd's very very well. It's very very easy to use
[01:50:17.360 --> 01:50:21.040]   I really don't have any real complaints about how it works as a as a cd ripper
[01:50:21.040 --> 01:50:26.800]   However, if you want to rip it into let's say flak format, uh, which is more compatible
[01:50:26.880 --> 01:50:29.680]   It's also a lossless format meaning it's still compressed
[01:50:29.680 --> 01:50:34.800]   But instead of making it the most uh tightly compressed and efficient, uh compression system
[01:50:34.800 --> 01:50:39.760]   It's this it's a smaller version that doesn't throw away any quality whatsoever
[01:50:39.760 --> 01:50:46.400]   So it means that if later on you want to convert that into another format you won't lose any, uh, any uh,
[01:50:46.400 --> 01:50:54.080]   Any quality in the transition, uh, and it's also will let you do things like let's say that the track listings are not the way you like them
[01:50:54.320 --> 01:50:56.560]   You could customize pretty much everything it really is
[01:50:56.560 --> 01:51:02.640]   It shows the legacy of being a 10 year old app that was written by a developer who wanted to solve a problem that he or she
[01:51:02.640 --> 01:51:06.480]   Was having personally so it's not as slick. It's not as easy to use as itunes
[01:51:06.480 --> 01:51:11.200]   But it will solve more problems. The other cool thing it does is it is super super fast
[01:51:11.200 --> 01:51:18.320]   Uh, when I re-ripped all of my cd's over the last year, uh, I was using itunes because it's fast as clean and sufficient
[01:51:18.320 --> 01:51:22.880]   Uh, and uh, but I was reading them all into apple loss apple lossless format
[01:51:22.960 --> 01:51:27.920]   So again not throwing anything away, but I found that my plex server for instance when I want to move
[01:51:27.920 --> 01:51:33.200]   Uh, so an album onto my phone or onto my tablet. It doesn't play
[01:51:33.200 --> 01:51:38.800]   Uh apple lossless on this phone so it has to transcode it which is a long long step
[01:51:38.800 --> 01:51:42.000]   So I want to I'm in the process of converting my entire library to flak
[01:51:42.000 --> 01:51:47.360]   This is such a fast converter. It uses every single core. Uh, I actually wanted
[01:51:47.360 --> 01:51:50.720]   I want to correct myself actually try this on my iMac pro
[01:51:51.440 --> 01:51:56.800]   Yeah, oh my god, let me let me give let me give an example. I I took I ripped this into itunes
[01:51:56.800 --> 01:52:00.320]   Into a lack because I was dumb and I was too excited
[01:52:00.320 --> 01:52:07.040]   I'm sorry apple lossless using itunes. So then I just simply dragged it into tv power amp
[01:52:07.040 --> 01:52:15.200]   32 tracks three and a half hours of music you can act it will actually show you as it's converting these to flak a compressed
[01:52:15.200 --> 01:52:17.440]   Uh, uh, last lossless format
[01:52:18.240 --> 01:52:26.000]   Every single every single core that's available on your mac and individually what track is being converted on what for it converted
[01:52:26.000 --> 01:52:29.280]   32 tracks in 29 seconds
[01:52:29.280 --> 01:52:32.560]   Uh, and it is just as easy to take the
[01:52:32.560 --> 01:52:40.720]   Yeah to take my entire like hundreds and hundreds of uh cd selections on my on my uh on my server
[01:52:40.720 --> 01:52:42.880]   And the next time i'm going to be leaving for the day
[01:52:42.880 --> 01:52:47.120]   I will just simply point this app at that entire directory and say convert it all
[01:52:47.600 --> 01:52:51.520]   And i'm sure that by the time I've I got my coat and finished washing my hands and brushing my teeth
[01:52:51.520 --> 01:52:54.560]   It'll be three quarters of the way done. It's not cheap. It's about
[01:52:54.560 --> 01:52:56.560]   $58
[01:52:56.560 --> 01:53:03.680]   Uh for not only that but also a utility that will tidy up your your library doing things like looking for missing art
[01:53:03.680 --> 01:53:08.080]   Looking for duplicates and letting you know that this one is high quality
[01:53:08.080 --> 01:53:10.320]   This one is low quality might want to throw out the low quality one
[01:53:10.320 --> 01:53:16.960]   But if you are like me if you don't if you didn't build your library based on apple music or spotify
[01:53:17.120 --> 01:53:22.080]   It really is you've really made the decision that you want files on a server or files on a hard drive
[01:53:22.080 --> 01:53:25.280]   Especially if you have not been a really good curator of it
[01:53:25.280 --> 01:53:31.280]   58 bucks will solve a year's worth of problems in about one afternoon of using this app
[01:53:31.280 --> 01:53:36.160]   So, uh, I'm I have not bought it yet. They have they have a trial mode that gives you nearly all the features
[01:53:36.160 --> 01:53:42.160]   Uh, but as soon as I as soon as I pick up that day to fix my entire library, I'm going to be giving them their $58
[01:53:42.160 --> 01:53:45.360]   I think it's worth it. I think I bought this ages ago, but they've gotten
[01:53:46.000 --> 01:53:52.320]   It's it's it's no one since then. Yeah. Yeah, the lace update was just about actually a couple weeks ago to the windows version of the product
[01:53:52.320 --> 01:53:57.440]   I will have I will have to download and and upgrade this this is a great tool
[01:53:57.440 --> 01:53:59.600]   Absolutely, and I just love to see all
[01:53:59.600 --> 01:54:02.080]   10 cores 20 threads
[01:54:02.080 --> 01:54:03.360]   That's again
[01:54:03.360 --> 01:54:07.600]   If you just want to if you just want to point out to somebody that doesn't that is not impressed
[01:54:07.600 --> 01:54:09.680]   You spent $7,000 on a new iMac
[01:54:09.680 --> 01:54:12.800]   Well, here is the CD here is here is the entire
[01:54:13.360 --> 01:54:19.200]   Catalog i'm going to convert it to mp3 then to a ac and then back to mp3 again
[01:54:19.200 --> 01:54:25.280]   Hey, by the way, you said it was a mistake to rip to apple lossless, but you can just convert that to flak without any loss
[01:54:25.280 --> 01:54:32.000]   Right exactly. I wasn't a mistake per se. It's just that I found I was wondering why it was taking so long for plex to copy something
[01:54:32.000 --> 01:54:38.720]   From the server to my phone. I didn't know there was I thought that it supported apple lossless because it used to be proprietary
[01:54:38.720 --> 01:54:42.480]   Apple decided to open it up, but the apparently plex has not updated itself
[01:54:42.960 --> 01:54:49.360]   And I don't know when they're going to do that, but that's the hope that that goes back to that's why when I decided to take that time to re-wrap all my CDs
[01:54:49.360 --> 01:54:52.320]   I made sure I re-ripped it into a lossless format
[01:54:52.320 --> 01:54:57.360]   It doesn't it when it's it must convert it to from apple lossless to flak
[01:54:57.360 --> 01:55:02.000]   It will still be compressed, but it will be the exact same quality as that original CD right
[01:55:02.000 --> 01:55:08.480]   Uh, yeah in fact, that's one good reason to to rip your CDs is flak or apple lossless
[01:55:08.960 --> 01:55:14.720]   Then you can throw the CDs out if you make sure you have good backups and you can recreate the CD at any time exactly
[01:55:14.720 --> 01:55:16.800]   Identically to the original
[01:55:16.800 --> 01:55:19.760]   Well, you're on so fastly. Oh, you can rip it before you get the CD
[01:55:19.760 --> 01:55:23.920]   I've gotten rid of most of my CDs. I do have the two
[01:55:23.920 --> 01:55:28.880]   The full beetles thing in the new sergeant pepper and I probably should re-rip those that would probably be
[01:55:28.880 --> 01:55:30.880]   See it's weird. I feel as though
[01:55:30.880 --> 01:55:35.840]   I'm entitled to have these rips along as I still have possession of the original CDs
[01:55:36.240 --> 01:55:38.800]   So that's and that's that's why when I was doing my move
[01:55:38.800 --> 01:55:43.680]   I wound up getting for the first time putting all my CDs like in one box
[01:55:43.680 --> 01:55:45.920]   From where they've been straying around side of the house
[01:55:45.920 --> 01:55:49.440]   And that's the that's the time I spent like 30 or 40 dollars for the amazon basics
[01:55:49.440 --> 01:55:55.920]   Like cd like binder and just throughout all the all the plastic cases most of the booklets
[01:55:55.920 --> 01:56:00.240]   And so I now just have these big big milk crates full of binders full of nothing
[01:56:00.240 --> 01:56:04.080]   But this I don't I don't know that I have to do that, but I feel as though
[01:56:04.080 --> 01:56:08.400]   I'm entitled to be arrogant about ripping CDs and DVDs
[01:56:08.400 --> 01:56:13.440]   So long as I can say aha, but I bought the DVD and I still own the c the DVD. I didn't donate it
[01:56:13.440 --> 01:56:16.800]   You crumb yes
[01:56:16.800 --> 01:56:21.200]   Yeah, I know as long as I don't sell them. I wouldn't sell them to a second answer
[01:56:21.200 --> 01:56:25.280]   I don't I don't feel like I need to keep the physical plastic although
[01:56:25.280 --> 01:56:29.040]   It's the world the earth is going to keep it no matter what I do with it
[01:56:29.840 --> 01:56:36.400]   Exactly somebody told me I was so depressing. You know every plastic toothbrush ever made is still in existence
[01:56:36.400 --> 01:56:41.280]   Got a half-life like uranium. Yeah, that's depressing
[01:56:41.280 --> 01:56:44.160]   Mr. Rene
[01:56:44.160 --> 01:56:49.120]   On the other hand I went to a coffee shop the other day and the guy said hey be careful those are compostable lids
[01:56:49.120 --> 01:56:50.960]   They start composting the minute we put the
[01:56:50.960 --> 01:56:56.160]   Fragrant
[01:56:57.520 --> 01:56:59.520]   Rene Richie you're pick of the week
[01:56:59.520 --> 01:57:02.000]   So um as I we've been talking about for a while
[01:57:02.000 --> 01:57:06.400]   I'm moving and I'm taking the opportunity to move as I move to retrofit
[01:57:06.400 --> 01:57:12.720]   I feel like I'm bringing the enterprise in and making the enterprise a to retrofit a lot of home kit into my life because I just I really
[01:57:12.720 --> 01:57:17.360]   Like the technology and last time I spoke about some of the cool new hue lights that I was trying out this time
[01:57:17.360 --> 01:57:21.760]   I know we I believe we've picked it previously, but I got the august smart lock
[01:57:21.760 --> 01:57:23.840]   I've not had an august smart lock before
[01:57:23.840 --> 01:57:27.600]   Because at my old place it had one of those lever doors that was not compatible with it
[01:57:27.600 --> 01:57:30.480]   But my new place had a lock that did work with it
[01:57:30.480 --> 01:57:35.360]   So I I bought it I put it in and it's got the um the pro version
[01:57:35.360 --> 01:57:37.840]   Which gives you a little hub that you can put on your network as well
[01:57:37.840 --> 01:57:42.160]   And it works like basically any other smart lock will and I have it set up with home kit as well
[01:57:42.160 --> 01:57:46.640]   You don't necessarily have to use home kit. You can use the app. You can use home kit. You can use other services
[01:57:46.640 --> 01:57:52.640]   I just find it easy too. I just love the idea of saying, you know, siri opened the door that kind of thing
[01:57:53.200 --> 01:57:55.680]   And apple does require authentication when you do this
[01:57:55.680 --> 01:58:00.560]   They don't want someone to be able to for example stick their head in your window and say schlomo open the door
[01:58:00.560 --> 01:58:02.720]   And it just opens and then they rush into your house
[01:58:02.720 --> 01:58:04.560]   So you do how do they solve that?
[01:58:04.560 --> 01:58:06.960]   You have to use touch ID or face ID to authenticate
[01:58:06.960 --> 01:58:09.280]   When you do it and it'll do it as part of the process
[01:58:09.280 --> 01:58:13.760]   Like I can say it and it'll say your iphone has to be and then it has a saying unlocked my face ID is working
[01:58:13.760 --> 01:58:17.120]   That's where you're talking because somebody asked me the other day. Well, what if somebody sticks their head in your windows?
[01:58:17.120 --> 01:58:20.640]   Yeah
[01:58:20.640 --> 01:58:25.840]   Anything that requires a lock anything security based garage doors locks alarms all of that requires
[01:58:25.840 --> 01:58:31.200]   Biometric or passcode authentication before it will trigger. You do it remotely though. Could you have it unlocked for somebody?
[01:58:31.200 --> 01:58:37.200]   You you absolutely so the way I have it set up is still needs but so I could be and in fact
[01:58:37.200 --> 01:58:43.280]   I had to run out last night unexpectedly and I had contractors and they'd gone out and I had to let them back in
[01:58:43.280 --> 01:58:45.680]   So I just told them that I'm not there right now
[01:58:45.680 --> 01:58:50.720]   But as soon as they get there let me know and I said hey slo mo unlocked my door and slo mo
[01:58:50.720 --> 01:58:57.520]   Perfectly content that I wasn't there unlocked my door and let me let them in and I got a home kit notification saying your front door is unlocked
[01:58:57.520 --> 01:59:04.400]   And it's got a little door sensor. So I know if it's a jar or closed or open and I can lock it again. Oh, that's nice
[01:59:04.400 --> 01:59:10.560]   Absolutely and it and you can choose you don't have to put it on the internet if you don't want to know some people are concerned about
[01:59:10.560 --> 01:59:15.440]   um attack vectors or secure just in general about putting their their home automation
[01:59:15.760 --> 01:59:20.080]   On the internet the the little box that you plug into the wall is an extra you don't have to use it
[01:59:20.080 --> 01:59:24.800]   I just found it convenient because I'm going to be traveling and I need to do some sort of remote access stuff
[01:59:24.800 --> 01:59:27.600]   But you can use the app itself. You can select friends
[01:59:27.600 --> 01:59:31.040]   It makes it has a picture of you and when you when you create a friend's account
[01:59:31.040 --> 01:59:34.160]   Gets a picture of them so you can see who's asking for access
[01:59:34.160 --> 01:59:39.920]   And you can do various automation things like you could say if it has if the door is unlocked wait two minutes and then automatically
[01:59:40.080 --> 01:59:43.360]   Unlock it where some people like because it lessens the chance of them
[01:59:43.360 --> 01:59:47.600]   Forgetting to lock it. I personally it increases the chance of me locking myself out
[01:59:47.600 --> 01:59:50.560]   So i'm on the fence about whether i'm going to use that or not
[01:59:50.560 --> 01:59:54.720]   Um, but it's really good and when you start to get into home kit
[01:59:54.720 --> 01:59:56.960]   It has a lot of flexibility
[01:59:56.960 --> 02:00:01.920]   I think it has more flexibility than people imagine and more than some other systems too because you can have the room setup
[02:00:01.920 --> 02:00:06.240]   But you can also have sets of accessories inside of rooms setup
[02:00:06.560 --> 02:00:10.560]   And so for example, I have a hallway and I have a set called entrance that's in the hallway
[02:00:10.560 --> 02:00:15.840]   Um, and you can set up these good night routines or good morning routines and you could say just like good night
[02:00:15.840 --> 02:00:18.960]   Or I like to use the wet like crash the crash the west wing
[02:00:18.960 --> 02:00:23.760]   Uh, and then everything just goes into lockdown and the lights turn red, but you know, I don't use that that often
[02:00:23.760 --> 02:00:28.640]   Um, but it's really cool and you can you can i've let people in now without having to get up
[02:00:28.640 --> 02:00:30.720]   And that's the laziest most
