
[00:00:00.000 --> 00:00:05.400]   It's time for Mac break weekly Renee and Andy and Alex are all here and of course
[01:09:15.920 --> 01:09:21.760]   Exactly. Hey, but I do. Hey, I do the slo-mo to my watch. See you don't even need the the slo-mo anymore
[01:09:21.760 --> 01:09:29.680]   Now you just uh talk to it. Oh wait always slo-mo feature. That's that's the new. Yeah, that's the new uh, uh, uh watch o. S right is that
[01:09:29.680 --> 01:09:31.920]   Yeah, do you have that yet?
[01:09:31.920 --> 01:09:35.600]   Yeah, I went into text movement. I mean once in a while like I will yawn and then say
[01:09:35.600 --> 01:09:38.800]   Siri to something else and the watch will pick it up because of the text movement
[01:09:38.800 --> 01:09:42.320]   But I mean like it's it's trying to pick up telemetry and it's not a pickup signal
[01:09:42.320 --> 01:09:47.120]   Then it does this whole bluetooth network or tries to figure out which device you actually mean to talk to based on
[01:09:47.120 --> 01:09:53.120]   Movement and behavior and patterns and past usage and time and all these things and once in a while it's just hilariously collapses
[01:09:53.120 --> 01:09:58.240]   Like the autonomous car in the snow, Leo. I mean that's your technology you're in and I want to just murder it
[01:09:58.960 --> 01:10:02.160]   But there's a lot of potential there when my android war where watch
[01:10:02.160 --> 01:10:08.640]   Adopted like wrist gestures and suddenly I could just if there if I saw that there was a notification at the very bottom
[01:10:08.640 --> 01:10:12.720]   I could suddenly just go I can certainly go like that to simply read the notification
[01:10:12.720 --> 01:10:16.320]   Uh without having to do this like harry potter sort of thing with my hand
[01:10:16.320 --> 01:10:22.400]   Uh, that's that it's you got to realize that this is this is for my making fun of that statement
[01:10:22.400 --> 01:10:26.160]   Just a few minutes ago. This is a totally new paradigm for computing and
[01:10:26.640 --> 01:10:32.480]   Motion gestures were at where they're not there. There are only kind of demo interesting on phones
[01:10:32.480 --> 01:10:39.840]   On a wrist device where you might have that the handle of your rollaway bag in your in your right hand and you just don't have
[01:10:39.840 --> 01:10:44.480]   You know you're using the tip of your nose to like activate buttons and scroll through
[01:10:44.480 --> 01:10:50.320]   Uh, that's where you finally realize that this is this is a great motion. This is a great way to control the device
[01:10:50.320 --> 01:10:52.560]   So I hope that I hope that apple really really
[01:10:53.200 --> 01:10:58.400]   Starts to look into that because it really makes a wrist device so much more interesting
[01:10:58.400 --> 01:11:01.680]   And then tell me
[01:11:01.680 --> 01:11:04.160]   That it's not widely understood
[01:11:04.160 --> 01:11:09.360]   That 3d touch will be removed from the iphones next year
[01:11:09.360 --> 01:11:13.360]   It's not I don't know if it's going to be removed from all of them
[01:11:13.360 --> 01:11:17.600]   Apple redesigned the touch layer when they made the old ed display because the previous touch layer
[01:11:17.600 --> 01:11:22.720]   Was used the led backlight to measure the disfor- the deformation of the glass
[01:11:23.120 --> 01:11:27.920]   To sort of see where you're pressing and how hard and then they had to make an entirely new touch layer because turns out ole
[01:11:27.920 --> 01:11:32.240]   Doesn't have any led backlighting so they made an a whole new touch layer now
[01:11:32.240 --> 01:11:36.720]   They've got a new lcd led but it's a new technology at the same technology
[01:11:36.720 --> 01:11:40.320]   I believe that motor oil used not motor oil algae used in the thank you
[01:11:40.320 --> 01:11:45.120]   Um, and it to keep prices down. It did not have to make a whole new technology for
[01:11:45.120 --> 01:11:52.080]   What is probably a stopgap lower cost iphone? I think that the rumor is that that version won't have 3d touch. Oh
[01:11:52.960 --> 01:11:57.600]   Yeah, also 3d touches 3d touches one feature that they could get rid of
[01:11:57.600 --> 01:12:03.360]   There's there's always an argument to be made for removing 3d touch from a specific product because it was never
[01:12:03.360 --> 01:12:06.560]   It never really came through to me as a
[01:12:06.560 --> 01:12:09.440]   A major part of the iOS experience
[01:12:09.440 --> 01:12:13.120]   It was always like kind of like a shortcut that if you don't know the shortcut
[01:12:13.120 --> 01:12:16.800]   You'll still be able to use this feature just as well if you do know the shortcut
[01:12:16.800 --> 01:12:22.880]   There's going to be a certain amount of learning curve to figure out when am I tapping when am I touching when am I?
[01:12:22.880 --> 01:12:25.520]   Long pressing and when am I 3d touching that?
[01:12:25.520 --> 01:12:28.720]   may not be worth the ability to
[01:12:28.720 --> 01:12:34.400]   Uh have to to save you one tap to share a phone a photo with somebody
[01:12:34.400 --> 01:12:37.680]   Um
[01:12:37.680 --> 01:12:39.360]   iPads
[01:12:39.360 --> 01:12:41.360]   Will we see him september 12th?
[01:12:41.360 --> 01:12:47.440]   I mean if they're ready yet totally I think some years apple does like two events some years tim cook just yells clear my skies
[01:12:47.440 --> 01:12:48.720]   Okay
[01:12:48.720 --> 01:12:51.040]   We say this every week, but I think I have to say every week
[01:12:51.520 --> 01:12:56.080]   I'll leave the bezels. Yeah, delete the bezel delete the bezel delete the bezel's 11 inch and 12.9 inch ipad pro
[01:12:56.080 --> 01:13:01.360]   Uh, it's gonna be a very expensive september 12th for me or 14
[01:13:01.360 --> 01:13:09.040]   Viewers and listeners leo you're doing it for the kids ning qo says new airpods and the airpower pad will also come out
[01:13:09.040 --> 01:13:12.320]   Does that mean that apple will not sell an after?
[01:13:12.320 --> 01:13:15.120]   uh after market
[01:13:15.120 --> 01:13:20.240]   Charging case for the earpods. They said they would I mean it and it's just money is money in the bank for them
[01:13:20.320 --> 01:13:22.320]   Right, so why wouldn't they yeah
[01:13:22.320 --> 01:13:27.920]   All right, let's uh, let's see what else before we get to our picks of the week, um, oh, uh
[01:13:27.920 --> 01:13:32.640]   Mojave also beta nine out if you've been using mojave
[01:13:32.640 --> 01:13:36.560]   Everybody anybody I have for everything I have
[01:13:36.560 --> 01:13:40.960]   Have one machine that's not because google hangouts has not worked for a lot of people since
[01:13:40.960 --> 01:13:44.480]   The audio for google hangouts has not worked for a lot of people since mojave
[01:13:44.480 --> 01:13:45.360]   Yeah
[01:13:45.360 --> 01:13:48.880]   And it seems like that's something that apple and google could fix over the last two months
[01:13:49.840 --> 01:13:52.640]   Uh, yeah, they're good. So how you liking it?
[01:13:52.640 --> 01:13:58.800]   Uh, it's great. I don't use dark mode anywhere nearly as much as I thought I would because no matter how cool the concept is
[01:13:58.800 --> 01:14:02.640]   It just it feels kind of oppressive during the day when I want everything to be light and bright
[01:14:02.640 --> 01:14:05.920]   But you can set it to automatically sort of transition during the day
[01:14:05.920 --> 01:14:10.080]   Which I like because then at night when you're editing you don't have the bright display on your eyes
[01:14:10.080 --> 01:14:12.800]   But during the day it's not doesn't feel all dark and broody
[01:14:16.800 --> 01:14:25.520]   Did you read the the um, nelly bolls review of uh lisa brendon's jobs book
[01:14:25.520 --> 01:14:31.200]   Which will come out later in which the most interesting uh thing in the
[01:14:31.200 --> 01:14:34.720]   In the profile small fries the name of the book comes at september fourth
[01:14:34.720 --> 01:14:36.720]   uh
[01:14:36.720 --> 01:14:41.200]   Boles says that uh, even though jobs was a complete jerk to lisa lisa still
[01:14:41.200 --> 01:14:44.480]   forgives him
[01:14:44.480 --> 01:14:50.480]   Uh, but the best part is maybe she doesn't completely forgive him because she said she didn't inherit millions like the other kids
[01:14:50.480 --> 01:14:53.280]   So that's good. He took care of her in his will
[01:14:53.280 --> 01:14:57.040]   But she didn't she didn't get the whole uh, whole kit and kaboodle
[01:14:57.040 --> 01:15:00.240]   Um, but she says if I did I would have given it to bill gates
[01:15:00.240 --> 01:15:04.880]   I'm not mad
[01:15:04.880 --> 01:15:08.960]   But if I did I would have given it to a billamolanda gates foundation. Oh well
[01:15:09.440 --> 01:15:15.280]   It's it's hard to see that as sour grapes or as a as a as a as a backward shot
[01:15:15.280 --> 01:15:23.440]   Yeah, well, they come on. No, I mean, they've they've cured a non-zero number of diseases. Yes. Oh, I'm not saying it's a bad idea
[01:15:23.440 --> 01:15:26.640]   First of all, she's not getting the money loreen gets the money, but uh
[01:15:26.640 --> 01:15:32.080]   Got the money, but uh, I just thought it was funny. There's kind of gratuitous through that end
[01:15:32.080 --> 01:15:35.520]   If I got it, I would have given it to bill gates
[01:15:35.760 --> 01:15:40.080]   There was a story and I don't I don't need to draw this parallel, but there was a story about this famous coach
[01:15:40.080 --> 01:15:44.480]   Um, he produced a wide range of incredibly talented people
[01:15:44.480 --> 01:15:50.960]   But he was known to be a complete jackass and people just said, you know, can you be a great artist or a great coach or something
[01:15:50.960 --> 01:15:54.160]   And not be a very nice person and the answer is yes
[01:15:54.160 --> 01:15:58.480]   And that may or may not apply to steve jobs, but it was my same problem with the erin sorghain movie
[01:15:58.480 --> 01:16:02.480]   Is that I did not need to see a movie about how terrible a father steve jobs is
[01:16:02.640 --> 01:16:06.080]   I need to see a movie about how he made next because that was the achievement of his life
[01:16:06.080 --> 01:16:11.680]   Right. He was never held up as a as a model parent. He was held up as a product visionary. Right. I agree
[01:16:11.680 --> 01:16:15.680]   I know about the stuff, but it's not the focus of
[01:16:15.680 --> 01:16:19.200]   I'm just always amazed when someone writes a book like that because it's like, okay
[01:16:19.200 --> 01:16:23.040]   So you really don't want to have a relationship with that half half of the family for the rest of your life
[01:16:23.040 --> 01:16:26.560]   Like like it just you know, you just well, there's decided that's not worth it
[01:16:26.560 --> 01:16:29.440]   the other the other part of that is that
[01:16:30.080 --> 01:16:32.080]   She wants to have
[01:16:32.080 --> 01:16:35.280]   Excuse me. This is this is something she's been saying and some of the the mark
[01:16:35.280 --> 01:16:41.040]   Some of the interviews for this that she wants to have a voice in that conversation that there's a story
[01:16:41.040 --> 01:16:44.480]   She's part of steve job story that other people have been telling
[01:16:44.480 --> 01:16:50.400]   And if she's going to be a character in that story whether she likes it or not
[01:16:50.400 --> 01:16:56.000]   She should at least leave behind her version of events and what what was going through her mind as things were going like that
[01:16:56.320 --> 01:17:01.920]   So that's so it's I mean, I don't think that this certainly isn't a cash grab. She could have grabbed more cash
[01:17:01.920 --> 01:17:05.280]   For doing it and she could have released it at a better time
[01:17:05.280 --> 01:17:09.280]   This is not exactly time where people are clamoring for more information about steve jobs
[01:17:09.280 --> 01:17:15.040]   So I I respect if that is if that is her main impulse. I certainly respect that
[01:17:15.040 --> 01:17:17.680]   New York times
[01:17:17.680 --> 01:17:19.680]   a couple of weeks ago published a
[01:17:19.680 --> 01:17:23.920]   Times magazine that was entirely devoted to climate change and a
[01:17:24.640 --> 01:17:28.000]   30,000 word article called losing earth the decade we almost
[01:17:28.000 --> 01:17:30.960]   stopped climate change apple
[01:17:30.960 --> 01:17:38.880]   Uh joined about a half a dozen other bidders trying to acquire rice apple got the rights they announced yesterday today, I guess
[01:17:38.880 --> 01:17:41.840]   No a week ago. They bought the rights to the series
[01:17:41.840 --> 01:17:44.800]   And we're going to produce a
[01:17:44.800 --> 01:17:47.520]   Show or a series of shows about it
[01:17:47.520 --> 01:17:52.880]   That by itself is interesting, but what's even more interesting because they bought it from the times
[01:17:53.600 --> 01:17:55.600]   Is the times
[01:17:55.600 --> 01:18:01.280]   Says new york times apple has said it will start streaming its television offerings next year
[01:18:01.280 --> 01:18:05.200]   When it will begin competing against netflix amazon and hulu and earnest
[01:18:05.200 --> 01:18:08.320]   A little tidbit that no one had ever heard before
[01:18:08.320 --> 01:18:11.440]   About burying the lead berry
[01:18:11.440 --> 01:18:13.440]   Well, the lead is for a
[01:18:13.440 --> 01:18:21.600]   But this is this is where the reporting is based on the apple has acquired this property and it tends to and it tends to release it
[01:18:21.920 --> 01:18:25.600]   That they've got the means to uh to report on that
[01:18:25.600 --> 01:18:30.160]   Whenever I see something like a line like that. I have to ask myself
[01:18:30.160 --> 01:18:38.560]   Did they prosecute this part of the reporting as hard as they did every single other fact or did someone's or did somebody
[01:18:38.560 --> 01:18:41.600]   Who knew about the about the the acquisition deal?
[01:18:41.600 --> 01:18:46.480]   Said oh well, you know that apple's going to definitely have their own movie their own netflix type steve streaming service in the future
[01:18:46.480 --> 01:18:48.960]   It's it's kind of like
[01:18:48.960 --> 01:18:52.560]   They still have facts checkers because that would be one where yeah the
[01:18:52.560 --> 01:18:56.720]   You've worked with facts checkers. They would call you and say hey you have this line in here
[01:18:56.720 --> 01:18:59.840]   What's the source for that?
[01:18:59.840 --> 01:19:06.560]   Don't know how don't know how that one that one was edited but
[01:19:06.560 --> 01:19:12.400]   Unless I unless I see them unless I see a source for that or at least an exclamation of the type of source
[01:19:12.400 --> 01:19:15.520]   I'm willing to put a maybe on that and not say that as a
[01:19:16.400 --> 01:19:23.200]   I was about to say that just like how uh for some reason it was all over the all over the entertainment news that john goodman spoils that
[01:19:23.200 --> 01:19:26.800]   That in the reep in the next season of rosanne rosanne is dead
[01:19:26.800 --> 01:19:33.360]   Uh, and you see the quote that he gave which could be that he has seen a script and this is he's basically saying
[01:19:33.360 --> 01:19:37.360]   The plans that he knows of or he could be simply saying how is this going to be more interesting?
[01:19:37.360 --> 01:19:40.800]   I don't know it might be more it's going to be more interesting because she's dead or something and
[01:19:42.480 --> 01:19:46.560]   That's some point you have to ask some of the question the follow up are you saying right now, sir
[01:19:46.560 --> 01:19:51.360]   On on the record that this character is dead or are you saying on the record that you have information
[01:19:51.360 --> 01:19:56.960]   About apple creating a streaming service that is based or that is based around this this show so
[01:19:56.960 --> 01:20:02.320]   Take take part of it. It's like eating grapes. You take part of it. You throw away the stems
[01:20:02.320 --> 01:20:05.040]   Uh get your picks ready gentlemen
[01:20:05.040 --> 01:20:10.240]   We're going to the back of the book in just a second but first a word from our sponsor master class
[01:20:10.400 --> 01:20:15.440]   Oh, we love masterclass. How'd you like to learn photography from any lib of it's
[01:20:15.440 --> 01:20:21.680]   Or comedy writing from jut apatow how to direct a movie from ron howard how to cook
[01:20:21.680 --> 01:20:25.920]   From gordon ransy how to dunk from steven kurry steven kurry
[01:20:25.920 --> 01:20:28.720]   martin score saysy hellen miron
[01:20:28.720 --> 01:20:35.280]   rl stein erin sorcan teaches screenwriting this is masterclass folks and it's uh,
[01:20:35.280 --> 01:20:37.840]   amazing in fact
[01:20:38.400 --> 01:20:44.080]   I talked to these guys. How did you get all these people? How did you do it? David mamet teaches playwriting
[01:20:44.080 --> 01:20:46.720]   Warner hartzog filmmaking
[01:20:46.720 --> 01:20:51.440]   Gary because the manate one by the way is just great. Have you watched that one? He just yeah, it's
[01:20:51.440 --> 01:20:54.080]   He's amazing
[01:20:54.080 --> 01:20:56.480]   So I asked him and they said well, you know at first
[01:20:56.480 --> 01:21:03.440]   You know, we got a couple of people and then they told their friends and they told their friends and it turns out that people like
[01:21:04.400 --> 01:21:11.840]   Hertzog and mamet kind of want to pass it along pay it forward. They're actually interested in
[01:21:11.840 --> 01:21:20.160]   Telling people how they do what they do. They don't want to keep it a secret now you can now you can find out you can learn from the best
[01:21:20.160 --> 01:21:24.080]   And by the way, these classes are beautiful
[01:21:24.080 --> 01:21:29.040]   Here's here's uh han zimmer teaching films scoring in his studio
[01:21:29.040 --> 01:21:32.400]   And they're just beautifully shot
[01:21:32.880 --> 01:21:36.160]   Yeah, I can say I can say from a production perspective, you know from someone who does this
[01:21:36.160 --> 01:21:41.360]   Uh, they're spot on. I mean they didn't they spared no expense on the quality of of what they're doing there
[01:21:41.360 --> 01:21:46.320]   That's wonderful. Well, you know one of my favorites. I mentioned this before I hope you don't mind if I sound like a broken record
[01:21:46.320 --> 01:21:48.640]   But it still kind of blows my mind
[01:21:48.640 --> 01:21:54.720]   Uh is oh by the way my there's steven martin teaching comedy. That's a good one
[01:21:54.720 --> 01:21:56.880]   But it blows my mind samuel el jaxon
[01:21:56.880 --> 01:22:01.600]   Teaching acting and one of my favorite parts is this is a scene
[01:22:02.640 --> 01:22:04.640]   from uh, pulp fiction
[01:22:04.640 --> 01:22:08.080]   And he's actually directing these actors
[01:22:08.080 --> 01:22:11.680]   Through the scene in pulp fiction. You know that diner scene at the beginning
[01:22:11.680 --> 01:22:18.400]   Talking about motivation what you're thinking of what's going on. How would you like to learn how to act from samuel el jaxon now?
[01:22:18.400 --> 01:22:20.080]   Wouldn't that be awesome?
[01:22:20.080 --> 01:22:23.520]   These are real classes taught by the best malcolm gladwell on writing
[01:22:23.520 --> 01:22:27.840]   astronaut chris hatfield on space exploration what
[01:22:27.840 --> 01:22:30.640]   New classes are always being added
[01:22:31.120 --> 01:22:36.640]   Whether you're pursuing your passion or developing your career or frankly, I just think it's the best tv on tv
[01:22:36.640 --> 01:22:39.360]   I just least and i'll sit down and we'll watch a masterclass
[01:22:39.360 --> 01:22:44.560]   It's even been featured by the times the new york times vanity fair esp n
[01:22:44.560 --> 01:22:48.160]   We've been loving it and now we can tell you you can unlock
[01:22:48.160 --> 01:22:49.920]   access
[01:22:49.920 --> 01:22:52.160]   To every class you don't have to choose one
[01:22:52.160 --> 01:22:57.760]   For a year unlimited access to over 35 world-class masters
[01:22:58.320 --> 01:23:04.000]   For one very low annual price you got to do this now masterclass.com/macbreak
[01:23:04.000 --> 01:23:09.840]   And what a gift. I was going to give this to my son henry is uh 24 today. It's his 24th birthday
[01:23:09.840 --> 01:23:12.400]   And he said no i already have it dad i bought it
[01:23:12.400 --> 01:23:19.280]   So so i gave him something else masterclass.com/macbreak but it would be a great gift wouldn't it
[01:23:19.280 --> 01:23:24.080]   For a young person starting out in life bob woodward teaches investigative journalism
[01:23:24.720 --> 01:23:29.120]   Christina agallera teaches singing serena williams teaches tennis
[01:23:29.120 --> 01:23:32.400]   Ah
[01:23:32.400 --> 01:23:37.040]   Masterclass this is such a great deal go to masterclass.com/macbreak
[01:23:37.040 --> 01:23:41.600]   And to get that all access pass it also would be a great gift
[01:23:41.600 --> 01:23:43.680]   For somebody
[01:23:43.680 --> 01:23:48.160]   Especially a young person starting out. It just gets him excited about life gets me excited about life
[01:23:48.160 --> 01:23:53.680]   I'm a chess player the chance to learn how to play chess from the world champion gerry kasparov
[01:23:54.320 --> 01:24:01.280]   masterclass.com/macbreak all right rene richie time for your pick of the week my friend
[01:24:01.280 --> 01:24:07.360]   So i'm going to go a little bit retro with this and i'm going to pick apples leather case
[01:24:07.360 --> 01:24:12.640]   I don't usually wear use cases on my iphones because I like them the way johnny i have intended
[01:24:12.640 --> 01:24:15.360]   You know all naked and core to the universe
[01:24:15.360 --> 01:24:20.000]   But the glass iphones are slippery that the slipperiest phones i've had since the next is four
[01:24:20.000 --> 01:24:22.960]   Which when you put it in the middle of a conference table three minutes later
[01:24:22.960 --> 01:24:25.440]   It would be on the floor. Yeah, this isn't quite so bad
[01:24:25.440 --> 01:24:30.640]   But if there is any angle at all on anything it will find that angle and these cases
[01:24:30.640 --> 01:24:32.080]   I like them. I don't know if you can see on the thing
[01:24:32.080 --> 01:24:37.840]   But the patina that they get i've been using this one for a couple months and they just they age wonderfully you get the brown one
[01:24:37.840 --> 01:24:44.320]   It looks like indiana jones you get the red one it looks like iron man towards the middle of infinity war and a lot of the yellow one
[01:24:44.320 --> 01:24:47.840]   You know the old age sort of really really nicely
[01:24:48.320 --> 01:24:53.840]   And they met of course they're color matched every season with whatever new bands and other stuff that apple puts out
[01:24:53.840 --> 01:24:59.200]   So if you are a fan of the ensemble the look the outfit you can absolutely do that
[01:24:59.200 --> 01:25:05.280]   But it's just it's very simple. It's very elegant and it adds a little bit of friction to a device that otherwise
[01:25:05.280 --> 01:25:09.200]   Would probably slipstream through the universe all in its own power
[01:25:09.200 --> 01:25:13.760]   They're really nice and i am i've mentioned this before but i use the folio
[01:25:14.240 --> 01:25:19.920]   Apple folio leather case because i like to keep my you know a little money some cards and stuff my driver's license
[01:25:19.920 --> 01:25:25.680]   So if I you know this is basically my wallet and my iphone and there's something apple does with their leather
[01:25:25.680 --> 01:25:28.880]   I don't know what it is, but it not only ages will but it's very soft pliable
[01:25:28.880 --> 01:25:33.840]   I've never found a wallet case that I can have stuff in and closes flat, but this one does yes
[01:25:33.840 --> 01:25:38.960]   It stays open and closes. It's like these two remarkable things that i managed to do both
[01:25:38.960 --> 01:25:42.560]   And one advantage of a folio like this this is i think it's a hundred bucks yours is $70
[01:25:43.040 --> 01:25:44.880]   Is that it covers the screen?
[01:25:44.880 --> 01:25:45.200]   Yes
[01:25:45.200 --> 01:25:51.200]   So it is a little more it affords a little more protection than most cases because the the screen which is the most vulnerable part of the phone is
[01:25:51.200 --> 01:25:54.960]   Somewhat covered yeah, you know it's funny. I did not want to buy the apple cases
[01:25:54.960 --> 01:26:01.360]   Yeah, but i tried dozens and and then I this is the only one i'm stuck with the folio case
[01:26:01.360 --> 01:26:04.080]   Yep, thank you rene
[01:26:04.080 --> 01:26:06.080]   Andy and i co your pick of the week
[01:26:06.080 --> 01:26:10.160]   Uh-oh, and he is muted
[01:26:10.480 --> 01:26:15.200]   Are you mute yourself sir? Yes, uh, that's the pick that's it. Yes, I'm muted
[01:26:15.200 --> 01:26:18.800]   I muted myself because I had to go I've realized that I have the I had the thing with me
[01:26:18.800 --> 01:26:26.000]   But the thing is because this is a uh a camera strap that lets you carry like two two cameras like a gunslinger
[01:26:26.000 --> 01:26:30.480]   I I realized that I didn't I should go to the next room and get two cameras to put in there
[01:26:30.480 --> 01:26:33.040]   Baby be roaring for your camera
[01:26:33.040 --> 01:26:36.560]   Kind of like it's it is it is more like a gunslinger sort of thing
[01:26:36.880 --> 01:26:41.360]   That's the this one is the black rapid double breathe and I picked it
[01:26:41.360 --> 01:26:46.720]   I should definitely shouldn't have worn a black t-shirt, but essentially it's like later hose and for your cameras
[01:26:46.720 --> 01:26:51.040]   Where these two straps so you got one you got a different camera?
[01:26:51.040 --> 01:26:56.720]   Dangling from your on your left side and your right side and the great thing is that when you want to take a picture
[01:26:56.720 --> 01:27:00.880]   You just simply swing the camera up and it's right there just like you were holding it
[01:27:00.880 --> 01:27:05.040]   Just like you had it like dangling around your neck only like while you're walking it doesn't go
[01:27:05.840 --> 01:27:09.040]   Into your chest and you don't feel like quite quite such a tourist
[01:27:09.040 --> 01:27:16.320]   I love what walking around New York City because I'll have like a blazer or jacket on and this underneath the blazer
[01:27:16.320 --> 01:27:19.840]   You kind of don't look like a tourist even though you have not one but two cameras
[01:27:19.840 --> 01:27:25.200]   Uh slung around you there they do have versions of this that only have that will let you carry only one
[01:27:25.200 --> 01:27:28.800]   Uh, but it's kind of cool when you have the ones that will let you carry two because
[01:27:28.800 --> 01:27:32.720]   Uh, even if you don't have like two decent cameras like maybe
[01:27:33.440 --> 01:27:35.920]   One of the way I hit upon this by accident
[01:27:35.920 --> 01:27:41.120]   One of those accidental brilliance things where uh again when i'm just walking around the city
[01:27:41.120 --> 01:27:46.560]   I will have my uh my my phone in like a really good like metal
[01:27:46.560 --> 01:27:50.320]   Tripod bracket and then I can have my phone like on my left side here
[01:27:50.320 --> 01:27:55.840]   So not only easily being able to pick it out without having to dig through a pocket to get map information
[01:27:55.840 --> 01:28:03.120]   But sometimes like if if I want to do photography, I will take out like the the really cool really expensive camera
[01:28:03.360 --> 01:28:07.040]   But sometimes you just want to take a snapshot of something and you don't want to have to fuss and bother
[01:28:07.040 --> 01:28:10.640]   And so that's when you will like deploy the phone or in this case
[01:28:10.640 --> 01:28:16.640]   Uh my little pocket point and shoot the lumus camera. Uh, this is how by the way, I was uh
[01:28:16.640 --> 01:28:19.440]   Uh taking pictures of a mermaid parade
[01:28:19.440 --> 01:28:23.440]   Uh over the weekend and I had and the thing is I had I had my real
[01:28:23.440 --> 01:28:28.160]   Had my nice camera that had like a really really super long zoom on it which I took most my pictures on
[01:28:28.160 --> 01:28:30.720]   But sometimes I realized that like oh my god
[01:28:30.720 --> 01:28:33.680]   This is too much of a zoom or this now they're so close. I can't get them
[01:28:33.680 --> 01:28:39.120]   We're as if now I can just simply bring up this other camera here and uh and with a different focal length and get that
[01:28:39.120 --> 01:28:44.400]   Um now if you go on amazon and look for something like this you can find some of these for
[01:28:44.400 --> 01:28:50.720]   Uh much much much much much much less than 135 dollars, which is what the double breathe costs
[01:28:50.720 --> 01:28:56.560]   But the problem is that this has you might be concerned about what have if I just have this
[01:28:56.880 --> 01:29:00.480]   The screw that goes into the tripod mount wouldn't this camera drop off
[01:29:00.480 --> 01:29:07.200]   Well, no because it's made out of a really really good strong metal and also they have the sort of like locking ring on it
[01:29:07.200 --> 01:29:11.680]   So that it can't the the ring that attaches can't like disconnect itself
[01:29:11.680 --> 01:29:17.200]   Unintentionally, uh and the other thing is that there are all these little touches to it that I didn't appreciate
[01:29:17.200 --> 01:29:19.760]   Until I had this first version of it for
[01:29:19.760 --> 01:29:26.080]   Uh for a couple months versus the there are these stops that I love that you you can release this
[01:29:26.480 --> 01:29:30.640]   And then like clamp it down there. What this will do is like when I'm walking along
[01:29:30.640 --> 01:29:35.200]   It will keep it will keep the camera like right over my over my butt
[01:29:35.200 --> 01:29:37.360]   So that's not like swing. It's not
[01:29:37.360 --> 01:29:46.560]   It's not I don't want to be vulgar here, but uh those of us who are male. It's not helping their muffins
[01:29:46.560 --> 01:29:50.400]   No, I'm saying i'm saying that because this has the ability
[01:29:50.400 --> 01:29:53.200]   On a string it has the ability to swing
[01:29:53.200 --> 01:29:55.920]   And if you don't control like how far forward it can swing
[01:29:55.920 --> 01:30:00.720]   Might swing forward and down and then it's another childless summer for Andy not go
[01:30:00.720 --> 01:30:07.200]   Uh, but but these stops you can basically click them in so you can basically set them so that they're always like in the small of your back
[01:30:07.200 --> 01:30:09.600]   So even when you're like walking briskly, they're not
[01:30:09.600 --> 01:30:12.800]   Even even if you don't have testicles
[01:30:12.800 --> 01:30:16.640]   They're not they're not to swing in bouncing around everywhere. They're really in control
[01:30:16.640 --> 01:30:19.120]   So for all those reasons
[01:30:19.280 --> 01:30:23.760]   I think you should I would not trust another company to to make the sort of stuff
[01:30:23.760 --> 01:30:29.200]   Especially given that I really really can't afford to replace this lens and this camera
[01:30:29.200 --> 01:30:33.360]   A hundred thirty five dollars seems like not a whole lot of money to spend
[01:30:33.360 --> 01:30:38.720]   Given that I could save a hundred ten dollars and lose like four thousand dollars with a camera gear
[01:30:38.720 --> 01:30:42.400]   By the way, not just mermaids in that mermaid parade
[01:30:42.400 --> 01:30:44.800]   Lovely day
[01:30:44.800 --> 01:30:46.800]   For all sorts of sea monsters things
[01:30:47.600 --> 01:30:52.480]   It was technically the sea monster parade but the the mermaids of all ages were quite were quite one
[01:30:52.480 --> 01:30:54.800]   Where is this go on and why?
[01:30:54.800 --> 01:30:59.120]   This was this was this do you have to ask why?
[01:30:59.120 --> 01:31:02.800]   See this is this is this is what I don't understand about your job
[01:31:02.800 --> 01:31:05.600]   Oh, it's the Quahog festival
[01:31:05.600 --> 01:31:08.880]   The New England Quahog festival and sea creature parade
[01:31:08.880 --> 01:31:12.160]   I grew up with Quahogs
[01:31:12.160 --> 01:31:14.720]   Oh, what fun. What a great day for photography
[01:31:15.440 --> 01:31:17.440]   Expedition
[01:31:17.440 --> 01:31:19.440]   Please
[01:31:19.440 --> 01:31:26.240]   Yep, yep another childless summer for Andy ladies and gentlemen. Oh, and this is why blueberry syrup lemon ricotta pancakes
[01:31:26.240 --> 01:31:30.960]   Mm-hmm who needs children when you can have pancakes that good. There you go
[01:31:30.960 --> 01:31:35.280]   I got more money. I got money more money for pancakes. I don't have any children that want to want me to share it
[01:31:35.280 --> 01:31:44.560]   And he's in straight like you know well worth following I hn attk o
[01:31:44.880 --> 01:31:46.880]   Uh
[01:31:46.880 --> 01:31:47.440]   mr
[01:31:47.440 --> 01:31:52.640]   Let's see we did Andy would he Renee? There's only one person left mr. Alex lindsey your pick of the week
[01:31:52.640 --> 01:32:00.720]   So I had to test this one for a while because I wasn't sure if I was gonna like it. Um, this is the uh, this is the logitech
[01:32:00.720 --> 01:32:03.760]   slim combo so it's um it is
[01:32:03.760 --> 01:32:06.240]   and and um
[01:32:06.240 --> 01:32:10.560]   The way I use this iPad I I like it so I can there are
[01:32:11.040 --> 01:32:15.600]   Parts of it that I don't so the part of it is that I like is that I can actually take the keyboard off
[01:32:15.600 --> 01:32:20.160]   Like this do you have let me ask you this on your keyboard?
[01:32:20.160 --> 01:32:26.000]   At the top above the function keys. There's an a long oval. Is there a piece of rubber in there?
