;FFMETADATA1
title=One Nil to the Arsenal
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-11-29
track=846
language=English
genre=Podcast
comment=Musk vs Apple, China, Manchester United
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.720]   It's time for Mac break weekly Jason Snell and Ian Oco Alex Lindsey are all here
[01:33:11.880 --> 01:33:16.520]   They actually did a blind test they took a bunch of soccer players and they played with with uh
[01:33:17.080 --> 01:33:20.120]   Both balls and nobody could tell the difference
[01:33:20.120 --> 01:33:24.600]   So that and that was like the big final test was if if it's not the same ball
[01:33:24.600 --> 01:33:29.960]   You can't do it. It has to feel exactly like the same ball that you were in there before and the problem is though
[01:33:29.960 --> 01:33:35.800]   With football there's so much throwing that that that getting that just right. I mean, it's really minor
[01:33:35.800 --> 01:33:40.280]   You know my very very minor change. Yeah, it's a really really complicated
[01:33:40.280 --> 01:33:43.960]   I do think the best sport played on grass anywhere is
[01:33:44.440 --> 01:33:49.560]   Australian rules football. I wish that would suddenly take over that I would watch
[01:33:49.560 --> 01:33:52.280]   I used to watch I used to work for prime sports network
[01:33:52.280 --> 01:33:54.920]   That was one of their specialties was taking all these you know these
[01:33:54.920 --> 01:33:58.360]   Your sports that weren't in the United States and then redistributing to the United States
[01:33:58.360 --> 01:34:01.400]   I got to watch a lot of I watching Australian
[01:34:01.400 --> 01:34:04.920]   Just amazing like I was like these are the guys of the most
[01:34:04.920 --> 01:34:07.800]   You know just crazy like I was like I'll never
[01:34:07.800 --> 01:34:11.880]   It's a bunch of good looking buff guys and short shorts
[01:34:13.000 --> 01:34:15.000]   Malling each other
[01:34:15.000 --> 01:34:21.240]   So my my college football team is uh, University of California
[01:34:21.240 --> 01:34:24.440]   And they have a planter. Uh, he's a senior
[01:34:24.440 --> 01:34:29.640]   They have a punter who is an Australian rules football player who is part of an NFL program where they identify
[01:34:29.640 --> 01:34:31.960]   Aussie rules players and bring them to America
[01:34:31.960 --> 01:34:35.000]   And he got to the news after the Stanford Stanford game
[01:34:35.000 --> 01:34:39.000]   No after the UCLA game last week because he had a punt where they were coming into block it
[01:34:39.000 --> 01:34:43.240]   And he basically did his Aussie rules thing and ran to the side and then kicked it with his other foot
[01:34:43.240 --> 01:34:46.760]   Like you can do that and the answer is well. Yeah
[01:34:46.760 --> 01:34:53.080]   Half the other thing is the best part of punter that an Aussie rules football player
[01:34:53.080 --> 01:34:56.120]   That's a punter is that he's he's half punter half cornerback
[01:34:56.120 --> 01:34:59.800]   Like you know like if you get run if you get past the if you get past the all
[01:34:59.800 --> 01:35:03.720]   He's gonna take you down. It's gonna hurt a lot more than everybody else on the field
[01:35:03.720 --> 01:35:07.800]   I had a Twitter exchange with the sports editor of the San Francisco Chronicle where I said, you know
[01:35:07.800 --> 01:35:13.560]   I think this is a moneyball situation where maybe the NFL needs to look at Aussie rules punters because
[01:35:13.560 --> 01:35:19.320]   I think it could change that entire thing and and her response was yeah, I think so too after seeing that
[01:35:19.320 --> 01:35:24.440]   Well, you know the the um, I think it was like in Samoa that you you had a 60 times
[01:35:24.440 --> 01:35:29.640]   Per capita you had a 60 times better advantage of becoming a pro football player
[01:35:29.640 --> 01:35:35.000]   Then and and there you know because it was they just mined it, you know for for people because
[01:35:35.480 --> 01:35:39.480]   Uh, it was it had to do with size, but it also had to do with the fact that they don't have any equipment
[01:35:39.480 --> 01:35:44.440]   So they're playing on basically like barefields with no gear and it's awesome. They come over here a little rougher
[01:35:44.440 --> 01:35:49.800]   It's great sport great sport. My my favorites. My favorite my favorite moments in sports is when
[01:35:49.800 --> 01:35:55.960]   Somebody somebody does something so weird and so successful that immediately
[01:35:55.960 --> 01:35:58.840]   Everyone's flipping through rule books to see that has to be illegal
[01:35:58.840 --> 01:36:04.040]   Like that NASCAR driver who said, you know what? I wouldn't do that thing. I used to do on my on my playstation
[01:36:04.200 --> 01:36:09.000]   And just ride the ride the rail all the way out there and pass five freaking cars
[01:36:09.000 --> 01:36:15.400]   Like that can't possibly like like teen wolf right there's no rule against it. So it must be legal
[01:36:15.400 --> 01:36:20.840]   Yeah, the the the cal player like the other thing that he did that I thought was hilarious because it's just like all these things
[01:36:20.840 --> 01:36:22.920]   We assume he would take the snap
[01:36:22.920 --> 01:36:29.640]   And instead of just kicking it for dear life like so many american punters do he would just stand there and wait until the guys got
[01:36:29.640 --> 01:36:34.920]   Close to him and many kick it because he's that tough. I was like, it's good. It gets his guys downfield
[01:36:34.920 --> 01:36:38.360]   But I just I love the attitude of that which is like, hey, mate. What are you gonna do to me?
[01:36:38.360 --> 01:36:42.760]   They do that they do that a lot in soccer as well. I know he's makes I'm not really intimidated by you
[01:36:42.760 --> 01:36:45.160]   Yeah, that's so nervous
[01:36:45.160 --> 01:36:51.160]   Hey everybody leo le port here. I'm the founder and one of the hosts at the twit podcast
[01:36:51.160 --> 01:36:56.520]   Network i want to talk to you a little bit about what we do here at twit because I think it's unique
[01:36:57.080 --> 01:36:59.080]   and I think for anybody who is
[01:36:59.080 --> 01:37:04.280]   uh bringing a product or a service to a tech audience
[01:37:04.280 --> 01:37:07.720]   You need to know about what we do here at twit
[01:37:07.720 --> 01:37:11.400]   We've built an amazing audience of engaged intelligent
[01:37:11.400 --> 01:37:13.800]   affluent listeners
[01:37:13.800 --> 01:37:22.760]   Who listened to us and trust us when we recommend a product our mission statement is twit is to build a highly engaged community of tech enthusiasts
[01:37:23.640 --> 01:37:29.240]   But already you should be your ears should be perking up at that because highly engaged is good for you
[01:37:29.240 --> 01:37:32.600]   Tech enthusiasts if that's who you're looking for. This is the place
[01:37:32.600 --> 01:37:35.160]   We do it by offering them the knowledge they need
[01:37:35.160 --> 01:37:43.400]   To understand and use technology in today's world and I hear from our audience all the time part of that knowledge comes from our advertisers
[01:37:43.400 --> 01:37:51.720]   We are very careful. We pick advertisers with great products great services with integrity and introduce them
[01:37:52.120 --> 01:37:54.120]   to our audience with authenticity
[01:37:54.120 --> 01:38:00.760]   Uh and genuine enthusiasm and that makes our host red ads different from anything else you can buy
[01:38:00.760 --> 01:38:03.320]   We are literally bringing you
[01:38:03.320 --> 01:38:09.000]   To the attention of our audience and giving you a big fat endorsement
[01:38:09.000 --> 01:38:11.960]   We like to create partnerships with trusted brands
[01:38:11.960 --> 01:38:17.000]   Brands who are in it for the long run long-term partners that want to grow
[01:38:17.640 --> 01:38:24.120]   With us and we have so many great success stories tim broome who found an it pro tv in 2013
[01:38:24.120 --> 01:38:28.040]   Started advertising with us on day one has been with us ever since
[01:38:28.040 --> 01:38:33.240]   He said quote we would not be where we are today without the twit network
[01:38:33.240 --> 01:38:40.440]   I think the proof is in the pudding advertisers like it pro tv and audible that have been with us for more than 10 years
[01:38:40.440 --> 01:38:43.640]   They stick around because their ads work
[01:38:44.280 --> 01:38:46.840]   And honestly, isn't that why you're buying advertising?
[01:38:46.840 --> 01:38:51.000]   You get a lot with twit. We have a very full service attitude
[01:38:51.000 --> 01:38:54.840]   We almost think of it as kind of artisanal uh advertising
[01:38:54.840 --> 01:38:57.800]   Boutique advertising you'll get a full service
[01:38:57.800 --> 01:39:00.040]   continuity team
[01:39:00.040 --> 01:39:07.320]   People who are on the phone with you who are in touch with you who support you from with everything from copywriting to graphic design
[01:39:07.320 --> 01:39:09.800]   So you are not alone in this
[01:39:10.360 --> 01:39:15.080]   We embed our ads into the shows. They're not they're not added later
[01:39:15.080 --> 01:39:17.560]   They're part of the shows in fact often
[01:39:17.560 --> 01:39:24.200]   They're such a part of our shows that our other hosts will chime in on the ad saying yeah, I love that or just the other day
[01:39:24.200 --> 01:39:27.480]   One of our hosts said man. I really got to buy that
[01:39:27.480 --> 01:39:31.560]   That's an additional benefit to you because you're hearing people
[01:39:31.560 --> 01:39:35.240]   Our audience trusts saying yeah, that sounds great
[01:39:35.240 --> 01:39:39.080]   Uh, we deliver always over deliver on impressions
[01:39:39.160 --> 01:39:44.120]   So you know you're going to get the impressions you expect the ads are unique every time
[01:39:44.120 --> 01:39:49.320]   We don't pre-record them and roll them in we are genuinely doing those ads in the middle of the show
[01:39:49.320 --> 01:39:55.400]   Uh, we'll give you great onboarding services ad tech with pod sites. That's free for direct clients
[01:39:55.400 --> 01:39:59.800]   Gives you a lot of reporting gives you a great idea of how well your ads are working
[01:39:59.800 --> 01:40:05.640]   You'll get courtesy commercials. You actually can take our ads and share them across social media and landing pages
[01:40:05.800 --> 01:40:10.920]   That really extends the reach there are other free goodies too, including mentions in our weekly newsletter
[01:40:10.920 --> 01:40:15.720]   That sent to thousands of fans engaged fans who really want to see this stuff
[01:40:15.720 --> 01:40:19.320]   We give you bonus ads and social media promotion too
[01:40:19.320 --> 01:40:24.600]   So if you want to be a long-term partner introduce your product to a savvy
[01:40:24.600 --> 01:40:29.320]   Engaged tech audience visit twit.tv/advertise
[01:40:29.320 --> 01:40:33.560]   Check out those testimonials mark macrairie as a ceo of authentic
[01:40:33.640 --> 01:40:40.840]   You probably know i'm one of the biggest original podcast advertising companies. We've been with him for 16 years
[01:40:40.840 --> 01:40:46.920]   Mark said the feedback from many advertisers over 16 years across a range of product categories
[01:40:46.920 --> 01:40:53.080]   Everything from razors to computers is that if ads and podcasts are going to work for a brand
[01:40:53.080 --> 01:40:55.480]   They're going to work on twit shows
[01:40:55.480 --> 01:40:59.720]   I'm very proud of what we do because it's honest. It's got integrity
[01:40:59.720 --> 01:41:04.920]   It's authentic and it really is a great introduction to our audience
[01:41:04.920 --> 01:41:08.280]   Of your brand our listeners smart
[01:41:08.280 --> 01:41:12.680]   They're engaged they're tech savvy. They're dedicated to our network
[01:41:12.680 --> 01:41:18.600]   And that's one of the reasons we only work with high integrity partners that we've personally and thoroughly vetted
[01:41:18.600 --> 01:41:24.360]   I have absolute approval on everybody if you've got a great product. I want to hear from you
[01:41:24.840 --> 01:41:29.080]   Elevate your brand by reaching out today at advertise at twit.tv
[01:41:29.080 --> 01:41:33.960]   Break out of the advertising norm grow your brand with host red ads on twit.tv
[01:41:33.960 --> 01:41:38.200]   Visit twit.tv/advertise for more details or you can email us
[01:41:38.200 --> 01:41:45.960]   Advertise at twit.tv if you're ready to launch your campaign now. I can't wait to see your product. So give us a ring
[01:41:45.960 --> 01:41:51.000]   All right, uh, can we we've got nine minutes of stoppage? Uh, can we do this?
[01:41:51.960 --> 01:41:56.760]   Can we do this whole picks thing pretty quickly here? We'll start with you Jason. So now you have the most incentive
[01:41:56.760 --> 01:42:00.840]   Oh great, uh wreath kit. It's a great app. It's a process reader for
[01:42:00.840 --> 01:42:06.680]   Okay, new new version is out now 3.1 add smart folders, which is really great
[01:42:06.680 --> 01:42:09.880]   Because you can you can like filter your your feed items
[01:42:09.880 --> 01:42:13.080]   Based on uh, whatever criteria you want
[01:42:13.080 --> 01:42:17.000]   It's free within that purchase if you want to use some of these extra features like the smart folders, you know
[01:42:17.080 --> 01:42:21.960]   New version for a technology that's dead rss is really quite vital, isn't it?
[01:42:21.960 --> 01:42:27.960]   A lot of good rss readers out there for ios 2 which I think is really interesting right like this platform that is the
[01:42:27.960 --> 01:42:34.360]   You know a really good platform really solid modern platform and it's got lots of rss readers
[01:42:34.360 --> 01:42:39.640]   I mostly use net newswire, but reader is really good. Read kid is really good. There are a bunch of others
[01:42:39.640 --> 01:42:41.240]   reader
[01:42:41.240 --> 01:42:45.160]   There's so many I can't even decide which one to use that's the problem
[01:42:45.560 --> 01:42:52.840]   And I'll give my tip again, which is I also use feed bin and my secret is that I have all my newsletters sent to feed bin because feed bin
[01:42:52.840 --> 01:42:56.600]   Will will consume emails right and put them in your reader?
[01:42:56.600 --> 01:43:00.840]   And that is amazing because then I can open that newswire or read kit
[01:43:00.840 --> 01:43:05.640]   And all of those sub stack emails and all those other emails that I get they're all in the same place
[01:43:05.640 --> 01:43:09.800]   So I can read them all in one place. We'll uh, we'll uh, read kit do that
[01:43:09.800 --> 01:43:11.080]   Uh as well or no
[01:43:11.080 --> 01:43:15.000]   Is it like all these feet all these will use feed bin as a feed source
[01:43:15.000 --> 01:43:19.640]   You can use it so totally you can use it direct rss or you can use any of the feed syncing surfaces like
[01:43:19.640 --> 01:43:25.480]   Like uh the one feed bin that I use read kit read later in rss for mac iPhone and ipad
[01:43:25.480 --> 01:43:29.640]   Free within app purchases. It's good andy and aco we have
[01:43:29.640 --> 01:43:32.520]   Three minutes of stoppage left
[01:43:32.520 --> 01:43:33.480]   Okay
[01:43:33.480 --> 01:43:38.440]   Well, this is this this is a good one mine mine is a it's not a glue
[01:43:38.680 --> 01:43:44.760]   It's actually like a it's a liquid plastic though. I broke I broke my glasses snap them like clean in half
[01:43:44.760 --> 01:43:47.320]   Like at the bridge that's the worst place to do it because no
[01:43:47.320 --> 01:43:50.280]   It can't it's not enough to just stick together. It has to hold together
[01:43:50.280 --> 01:43:54.520]   And so after spending like two or three or four days trying to figure out what adhesive I wanted to use
[01:43:54.520 --> 01:43:56.680]   I tried out this thing that I said I read about
[01:43:56.680 --> 01:43:59.160]   Uh, it is it is not a glove I
[01:43:59.160 --> 01:44:04.440]   Here's the repair that made it as you can see I don't care about like the structure. It is holding it together
[01:44:04.760 --> 01:44:07.880]   Uh perfectly I can even bend it because it's not a glue
[01:44:07.880 --> 01:44:13.720]   It's actually plastic that it is actually deposited like on these glasses. It's very very lumpy
[01:44:13.720 --> 01:44:19.000]   It's also demonstrates that you never go out andy because I wouldn't want to wear those glasses
[01:44:19.000 --> 01:44:20.440]   No, no, I'm saying
[01:44:20.440 --> 01:44:21.160]   I
[01:44:21.160 --> 01:44:25.560]   I I'm I'm telling you that I that I left this what I'm going to do app now that I've shown this off
[01:44:25.560 --> 01:44:29.400]   I'm going to sand this down so that you don't actually see it right because it is just plastic
[01:44:29.400 --> 01:44:33.400]   So I wanted because I wanted to just I don't think you'll get the idea of like exactly how this works
[01:44:33.560 --> 01:44:39.160]   So you lump it on and it holds it together. No, what it what it does is it's really an interesting system
[01:44:39.160 --> 01:44:43.240]   It's again. It's not a glue the URL for bond. I guess actually not a glue.com
[01:44:43.240 --> 01:44:45.640]   So you get this little fairy wand for like
[01:44:45.640 --> 01:44:50.440]   List prices like 20 bucks speaking good for 10 bucks. Yeah, and what it consists of is
[01:44:50.440 --> 01:44:52.040]   a
[01:44:52.040 --> 01:44:54.200]   little like applicator pen here
[01:44:54.200 --> 01:45:00.120]   That deposits just like a little just like a little tiny pen like this liquid like
[01:45:00.600 --> 01:45:06.520]   Uncured plastic and then you all see then you have this little le this little ultraviolet light
[01:45:06.520 --> 01:45:11.000]   So all the the it doesn't drive by air. It doesn't drive by heat
[01:45:11.000 --> 01:45:13.560]   It cures it and turns this liquid into plastic
[01:45:13.560 --> 01:45:16.680]   So there was the upshot of that the upshot of that is that now
[01:45:16.680 --> 01:45:22.360]   It's unlike a two-part epoxy where it'll take a day for the for it to cure
[01:45:22.360 --> 01:45:27.400]   So you can you can stick it together, but you don't know if it's going to hold until a day later with this one
[01:45:27.480 --> 01:45:31.800]   You can literally draw a line like I basically I basically I know I know
[01:45:31.800 --> 01:45:36.440]   I again, I I'm telling you I'm telling you that I left it. I left it like this
[01:45:36.440 --> 01:45:38.520]   You can see what the process was like
[01:45:38.520 --> 01:45:40.040]   as I
[01:45:40.040 --> 01:45:45.000]   I just like taped it down to a piece of cardboard to hold it into place and then just draw a line of this liquid
[01:45:45.000 --> 01:45:50.120]   Shine this light for three or four seconds to turn into plastic another line another line another line
[01:45:50.120 --> 01:45:52.520]   So you can basically build up this this
[01:45:52.520 --> 01:45:57.160]   Yes, this big glob of plastic. That's actual not just hard and glue
[01:45:57.240 --> 01:46:01.960]   It is actually plastic like I said, this is not like I can bend this and it's not becoming a part
[01:46:01.960 --> 01:46:08.680]   And then when it's done you can touch it and it is it feels exactly like the plastic the acetate that's on these glasses
[01:46:08.680 --> 01:46:11.160]   So I can then take a take a
[01:46:11.160 --> 01:46:17.000]   A little piece of sandpaper around a chopstick or something and sand that down and basically turn it into nice smooth
[01:46:17.000 --> 01:46:21.720]   Smooth out all the glops. I just wanted to make sure that I had this really really nice
[01:46:22.120 --> 01:46:28.600]   Like bolus of hardened plastic around holding these two together. So yes, it does it does look ugly as is but again
[01:46:28.600 --> 01:46:32.040]   You can sand it you can paint it after you've a composter repair
[01:46:32.040 --> 01:46:36.680]   It'll fill gaps so that if you have like one of the demonstrations that they have on the site
[01:46:36.680 --> 01:46:41.640]   Is the like if you have like a power connector that has like sort of a cracked end to it or like a
[01:46:41.640 --> 01:46:47.320]   Missing the missing some insulation or something you can just basically layer some plastic on that and seal that up
[01:46:47.640 --> 01:46:52.840]   It's not necessarily flexible like rubber, but it's not it's not like super super hard plastic
[01:46:52.840 --> 01:46:57.560]   It has some flex to it so you can use it to fill in missing chunks you might have broken out of something
[01:46:57.560 --> 01:47:04.200]   The only disadvantage is that uh, it's it's not if it were like a two part epoxy and two part epoxy putty
[01:47:04.200 --> 01:47:05.960]   You can just basically
[01:47:05.960 --> 01:47:10.120]   Put this big glob of putty around something and you got it with this one
[01:47:10.120 --> 01:47:12.680]   You do have to build it up like a millimeter at a time because
[01:47:13.080 --> 01:47:16.600]   Uh again, you are curing it as you go every time you deposit a line
[01:47:16.600 --> 01:47:21.880]   So it's uh you have to keep each line to about or each layer to about one millimeter
[01:47:21.880 --> 01:47:26.280]   So that the light can get all the way down to the bottom and cure it the other the other thing that I just
[01:47:26.280 --> 01:47:31.960]   After reading about this like I could have put this I actually when I taped this to get when I taped this up onto the
[01:47:31.960 --> 01:47:36.040]   On that little board. I actually left a tiny tiny little gap between the halves
[01:47:36.040 --> 01:47:39.320]   So that not that's not just so that the glue could get into there
[01:47:39.480 --> 01:47:46.440]   But so that the light could get into there if I'd made this if if you're trying if you if I had tried to like glue like a handle back on a mug
[01:47:46.440 --> 01:47:52.520]   It might not have even worked because the glue the excuse me the the bond dick that's inside that joint is never going to see the light
[01:47:52.520 --> 01:47:55.640]   So it's never going to cure. But anyway, it's really really great stuff
[01:47:55.640 --> 01:48:03.000]   It's so useful that I'm kind of contemplating like buying another one of these for just like for my my overnight bag or my
[01:48:03.000 --> 01:48:04.760]   For when I take trips
[01:48:04.760 --> 01:48:10.760]   It seems as though a very quick solution to a problem that that is kind of indispensable
[01:48:10.760 --> 01:48:14.600]   And then the last thing is again, there's no curing time four seconds
[01:48:14.600 --> 01:48:21.000]   As I spent I spent like 15 minutes building up this again. This disgusting snot and fall that again
[01:48:21.000 --> 01:48:23.640]   I'm I'm going to sand down. I'm going to paint. It's gonna look fine
[01:48:23.640 --> 01:48:25.080]   But
[01:48:25.080 --> 01:48:29.880]   As about like five minutes after that was done. I could just wear these glasses and it was strong as it was ever going to be
[01:48:29.880 --> 01:48:31.240]   So nice big stuff
[01:48:31.240 --> 01:48:35.640]   UV curable resins as they say it's not a glue
[01:48:35.640 --> 01:48:39.480]   B-o-n-d-i-c at not a glue dot
[01:48:39.480 --> 01:48:42.040]   com
[01:48:42.040 --> 01:48:45.640]   And somebody says how is it? Andy doesn't have a twitch channel just you know
[01:48:45.640 --> 01:48:53.240]   Just like stuff like that. You know, there's stream all that stuff, you know, I don't know if she wanted live streamie planks tretigo alone
[01:48:53.240 --> 01:48:57.160]   That's
[01:48:57.160 --> 01:48:59.160]   Oh
[01:48:59.160 --> 01:49:04.200]   My god, don't say that. Hey, if there's money in it. If there's money that I'll go for that's why
[01:49:04.200 --> 01:49:09.560]   I think we'd watch you curing your your polymers frankly
[01:49:09.560 --> 01:49:14.440]   If you don't let me say his channel is like watching polymers cure not a euphemism
[01:49:14.440 --> 01:49:19.560]   Mr. Alex litch your title
[01:49:19.560 --> 01:49:26.680]   So so um my my my pick of the week is this was just released yesterday
[01:49:27.320 --> 01:49:33.720]   This is sound devices, which we use a lot of product sound devices boy. Do we use those? Yeah? Yeah? We use a lot of them and they have
[01:49:33.720 --> 01:49:41.080]   Basically rethought wireless transmission. So they bought a company called audio limited about five years ago four or five years ago
[01:49:41.080 --> 01:49:45.480]   And they you know at first it was just like reselling the stuff that they already made
[01:49:45.480 --> 01:49:53.080]   But they definitely started digging in and building new things and what they've built is is this what's called an a 20 rx
[01:49:53.080 --> 01:49:54.440]   and
[01:49:54.440 --> 01:49:56.440]   This is a receiver
[01:49:56.440 --> 01:49:58.760]   Now usually when we get these receivers
[01:49:58.760 --> 01:50:03.800]   They're one you per receiver like it is like for really high-end receivers
[01:50:03.800 --> 01:50:07.560]   They're these big you know you put them put them in a huge rack if i've got eight people
[01:50:07.560 --> 01:50:11.000]   I've got a rack that's like two feet high three feet high that are sub serving them
[01:50:11.000 --> 01:50:14.600]   They figured out how to get all of that into half of one you
[01:50:14.600 --> 01:50:18.040]   So it's it this this will this will receive up to
[01:50:18.040 --> 01:50:21.400]   16 fully diverse
[01:50:21.640 --> 01:50:22.920]   Signals
[01:50:22.920 --> 01:50:28.760]   It also had covers the entire wireless band or just about the entire wireless band of the world
[01:50:28.760 --> 01:50:31.960]   You can just pick where you want those signals to go and oh by the way
[01:50:31.960 --> 01:50:35.320]   If you want to change where that that that signal is
[01:50:35.320 --> 01:50:39.320]   In it you can just tell the the transmitter. Oh, I need you to move over here
[01:50:39.320 --> 01:50:44.360]   Like I can see it you can see literally on a web page or on the front of the receiver
[01:50:44.360 --> 01:50:47.640]   You can actually see all the frequencies that are going on and usually we have
[01:50:47.640 --> 01:50:50.280]   Specialists and all kinds of people like paying attention to that
[01:50:50.840 --> 01:50:52.840]   But you can say oh there's a bunch of stuff in this area
[01:50:52.840 --> 01:50:56.200]   Why don't I just move this this over somewhere else and and when I move it
[01:50:56.200 --> 01:51:00.920]   I literally just tap on the screen and then say which receiver I want to move over there
[01:51:00.920 --> 01:51:04.520]   And it just move and it automatically like I don't want to go to the receiver or the transmitter
[01:51:04.520 --> 01:51:07.400]   Oh, that's nice thing. It just tells the transmitter. I need you to move over here
[01:51:07.400 --> 01:51:09.880]   And it's gone for like a second then it's like okay now i'm over here
[01:51:09.880 --> 01:51:13.800]   Um, you control all the vault you don't have to change the gain on the transmitter
[01:51:13.800 --> 01:51:20.280]   So the you basically all those controls are all centralized so and then it's of course it sits on dante
[01:51:20.760 --> 01:51:23.880]   Or analog or a es, you know and and it is
[01:51:23.880 --> 01:51:29.080]   You know, there's a very few times that you look at a box and you're like, I can't believe they did this
[01:51:29.080 --> 01:51:31.880]   I can't believe that they put this all together
[01:51:31.880 --> 01:51:38.520]   And uh, and anyway, so it's it's a pretty it's a pretty amazing box. I mean this is a professional box
[01:51:38.520 --> 01:51:41.720]   It's got a professional price. I think it's starting to be fourteen thousand dollars
[01:51:41.720 --> 01:51:47.960]   This isn't like a 10 cent a 10 cent thing. This is that's 20 elixes. Oh, yeah, but but you could
[01:51:48.760 --> 01:51:53.320]   But you couldn't you couldn't get it any other way and and again every once in a while you see something
[01:51:53.320 --> 01:51:58.440]   You're just like that it may be a lot of money, but it is a disruptive piece of hardware
[01:51:58.440 --> 01:52:06.520]   That movie production tv tv live events. I mean, you know right now it doesn't there's no wireless handheld
[01:52:06.520 --> 01:52:11.560]   So it probably wouldn't be used in a concert but but a referee might use it at a football game potentially
[01:52:11.560 --> 01:52:14.600]   Yeah, yeah, and then and then the range is really
[01:52:15.320 --> 01:52:22.840]   Yeah, and yeah, no it is it solves a lot of problems because again when I so I do a lot of events that are in in a venue
[01:52:22.840 --> 01:52:25.640]   It has you know a bunch of seats in it and it's got to go to other venues
[01:52:25.640 --> 01:52:31.400]   And so we're miking everybody up and the problem we end up with is I've got this huge rack of gear to get this working
[01:52:31.400 --> 01:52:34.840]   And I and then if it doesn't work, I got to run over and manage the transmitter
[01:52:34.840 --> 01:52:36.840]   I got to run over and do all these other things and
[01:52:36.840 --> 01:52:43.800]   uh, it's just an I mean to take all of that out of the way and and again because it's on a web page that you can control it
[01:52:43.880 --> 01:52:46.040]   And that web page has total control over the system
[01:52:46.040 --> 01:52:52.760]   I can have a technician log in from 3 000 miles away and change the mics like literally change the frequencies
[01:52:52.760 --> 01:52:57.640]   Like I'm going to move these frequencies around and so I can have someone on the ground that may not know as much about the system is
[01:52:57.640 --> 01:53:03.240]   As you know, but can put the mics on you know like do those things and have somebody else running the whole thing
[01:53:03.240 --> 01:53:10.920]   You know and so it is it's really really interesting. We had uh, Paul isex who's the director of product management and design and gary
[01:53:10.920 --> 01:53:13.080]   trenda who was
[01:53:13.080 --> 01:53:16.920]   The there are applications engineer on this morning on office hours
[01:53:16.920 --> 01:53:21.720]   Spending an hour with us like walking through it and answering our questions and everything else
[01:53:21.720 --> 01:53:27.560]   And it was just an incredible, you know, you definitely if you if this it all sounds interesting you should look at that hour because it's just a really
[01:53:27.560 --> 01:53:32.600]   Um, you know, I kind of twisted a lot of arms as soon as I saw the release i'm like you got to come on the show
[01:53:32.600 --> 01:53:35.800]   Like I mean, I mean like when and i'm like tomorrow tomorrow
[01:53:35.800 --> 01:53:41.480]   On the show. So I was like I was so excited about it sound device has been on many times before but this is
[01:53:41.960 --> 01:53:46.680]   This is cool. This is really cool. Yeah, it's it's a it's a and i've been using of course
[01:53:46.680 --> 01:53:50.680]   Um, you know, i'm talking through a sound devices mix pre-3 right now
[01:53:50.680 --> 01:53:55.960]   Yeah, and so and so I you know I use a lot of sound devices equipment and so
[01:53:55.960 --> 01:54:01.160]   It's not just that they camp with something that on paper is really cool. It's a company that you know builds
[01:54:01.160 --> 01:54:06.120]   You know rugged, you know must 16 you know can't fail kind of equipment
[01:54:06.120 --> 01:54:08.440]   So you know that when they say oh it can do this thing it can
[01:54:09.080 --> 01:54:16.200]   Really do the thing that we went down to la to watch him shoot dexter. It was a big old like yep 16 channel sound devices
[01:54:16.200 --> 01:54:18.920]   Thing in the sound by the way
[01:54:18.920 --> 01:54:24.600]   One of the panelists on office hours. It turns out when we were down there. He was the sound engineer
[01:54:24.600 --> 01:54:27.960]   He was the sound recordist because I was like he mentioned that I was a dexter
[01:54:27.960 --> 01:54:32.200]   And I was like how did I didn't because I didn't know him back then, but he knew because he what you know from mac break
[01:54:32.200 --> 01:54:37.080]   He knew who who I was and so he probably a court. That's awesome. Yeah, he was probably the person
[01:54:37.080 --> 01:54:41.880]   Showrunner was a fan. Yeah, I'm looking at him going there. Yeah, I come on looking on like I know you you look familiar
[01:54:41.880 --> 01:54:44.680]   I can't quite figure out where he's like Dexter Dexter. So cool
[01:54:44.680 --> 01:54:47.800]   And he loves sound devices too
[01:54:47.800 --> 01:54:52.280]   Everybody's favorite. I don't usually do a pic, but this one I thought was kind of wild
[01:54:52.280 --> 01:54:58.840]   And I thought you might you might get a little kick out of it there. I didn't I was stunned to learn
[01:54:58.840 --> 01:55:01.400]   That there are more than 700
[01:55:01.400 --> 01:55:04.520]   Mac menu bar
[01:55:06.920 --> 01:55:12.600]   Programs and now what I meant for some reason the certificate on this is is died. I can't get in there anymore
[01:55:12.600 --> 01:55:15.880]   Mac menu bar calm
[01:55:15.880 --> 01:55:23.160]   Lists all of them see if you guys can go maybe it's just me maybe I maybe I was watching too much football
[01:55:23.160 --> 01:55:30.120]   Locked to a security threat. Well, I'm not allowed there. Well, I see in there. I see it. I see it
[01:55:30.120 --> 01:55:33.800]   So sisco umbrella is protecting us right now
[01:55:35.080 --> 01:55:39.640]   But yes, if you I would show it, but I can't mac menu bar calm. Well now I'm worried
[01:55:39.640 --> 01:55:47.160]   I was an interesting little insight. I Leo say oh well jeez. I've got a security program
[01:55:47.160 --> 01:55:49.960]   That's telling me this is a dangerous site Jason. I
[01:55:49.960 --> 01:56:03.640]   Maki users. They're like it sounds dangerous. Let's go. Let's go. Oh, it's probably dangerous to him. I'm probably fine
