;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[01:46:20.540 --> 01:46:25.500]   Didn't have any franchise value to drive you know attachment to it and then they tried with harry potter
[01:46:25.820 --> 01:46:30.540]   But like it makes no sound like you can catch a million pikachu's like there's a that that makes total sense in pokémon
[01:46:30.540 --> 01:46:36.060]   What are you gonna do catch a million haggards? I'm gonna hunt down a million bumblebees. It makes no in universe contextual sense
[01:46:36.060 --> 01:46:38.780]   to me like how
[01:46:38.780 --> 01:46:43.660]   Harry potter ended up being the worst most tedious aspects of pokémon it was it was just the things I don't like about the game
[01:46:43.660 --> 01:46:48.380]   Yeah, and that was all you could do. Yeah, I just I fear that they're taking the wrong lessons from these games
[01:46:48.380 --> 01:46:49.420]   Yeah
[01:46:49.420 --> 01:46:54.780]   They say a beta test betas will be out soon you could sign up at the website transformers heavy metal dot com
[01:46:55.580 --> 01:46:57.580]   um, yeah, I mean clearly
[01:46:57.580 --> 01:47:01.820]   Uh from nyantic the value now with this platform is
[01:47:01.820 --> 01:47:08.940]   Licensing, you know, yeah, because I imagine they're getting paid by transformers not vice versa, but I don't know who knows
[01:47:08.940 --> 01:47:16.140]   Maybe not maybe maybe they had to pay heavy heavy metal for that uh for that title. I don't know
[01:47:16.140 --> 01:47:22.460]   Uh, all right. Let's take a break. Well, there is one more story from bloomberg
[01:47:23.180 --> 01:47:28.860]   Well, where would we be without mark german apple has hired a former bmw executive
[01:47:28.860 --> 01:47:32.060]   For the apple car product
[01:47:32.060 --> 01:47:35.420]   Hmm
[01:47:35.420 --> 01:47:39.260]   Uh they hired oolik crunts
[01:47:39.260 --> 01:47:41.740]   Wait, did we do this we've done this story?
[01:47:41.740 --> 01:47:47.980]   Did we do this story? He was the guy with the skinny jeans keep hiring maybe there's somebody else okay
[01:47:49.500 --> 01:47:53.980]   No, he's not the skinny jeans guy that was uh that was from another company. That was a portion of our portion
[01:47:53.980 --> 01:48:00.060]   That's right. Yeah. Wow. That's interesting former senior executive at bmw's ag electric car division
[01:48:00.060 --> 01:48:02.060]   He will be
[01:48:02.060 --> 01:48:07.020]   Uh, I don't know what his title will be will he be leading? I don't know he was a senior vice president
[01:48:07.020 --> 01:48:11.340]   Um at bmw and then founded canoe
[01:48:11.340 --> 01:48:15.020]   You may remember canoe had this really interesting
[01:48:16.380 --> 01:48:20.540]   Idea to kind of a car as self driving vehicle you couldn't buy but you could rent
[01:48:20.540 --> 01:48:22.940]   Or lease
[01:48:22.940 --> 01:48:25.340]   So he left canoe and apple snapped him up
[01:48:25.340 --> 01:48:29.980]   That you're wanting to do as they are want to do
[01:48:29.980 --> 01:48:32.140]   Yep
[01:48:32.140 --> 01:48:36.940]   All right, let's take a break and then your picks of the week if you don't mind if you've got something prepared
[01:48:36.940 --> 01:48:40.460]   john, I uh, I have a little question for you
[01:48:40.460 --> 01:48:44.860]   Is this one that we read out loud or is this one? Yes, okay?
[01:48:45.340 --> 01:48:46.860]   Okay
[01:48:46.860 --> 01:48:48.860]   There have been changes made
[01:48:48.860 --> 01:48:52.700]   Can I tell you something?
[01:48:52.700 --> 01:48:55.420]   I do not like robo calls
[01:48:55.420 --> 01:48:58.140]   Am I am I uh, alone in all this?
[01:48:58.140 --> 01:49:03.340]   In fact, it's got to the point. That's fine. That's fine. That's fine. It's got to the point where I actually
[01:49:03.340 --> 01:49:09.980]   Often don't answer my phone anymore. Why tnt wants to change that our show today sponsored by
[01:49:10.940 --> 01:49:12.940]   The tnt active armor
[01:49:12.940 --> 01:49:15.740]   Look we live on our phones these days and
[01:49:15.740 --> 01:49:23.340]   We are always on them whether it's live streaming content listening to this show catching up with the family on weekly video calls
[01:49:23.340 --> 01:49:29.020]   Watching your favorite podcast and the last thing you want to be interrupted is you're in the middle of mac break weekly
[01:49:29.020 --> 01:49:31.740]   By somebody calling up to offer you
[01:49:31.740 --> 01:49:37.020]   Your car warranty. Hi your warranty is about to expire
[01:49:37.020 --> 01:49:39.660]   No, it's not
[01:49:39.660 --> 01:49:40.940]   No, it's not
[01:49:40.940 --> 01:49:44.300]   Thanks. Thankfully. AT&T is making customer security a priority
[01:49:44.300 --> 01:49:51.020]   Helping block those pesky calls is not complicated. It's AT&T active armor
[01:49:51.020 --> 01:49:59.820]   24/7 proactive network security and fraud call blocking to help stop threats and you know what I love about this
[01:49:59.820 --> 01:50:05.020]   It's no extra charge compatible device and service required. I actually have it
[01:50:05.740 --> 01:50:08.700]   AT&T.com/active armor if you want to know more
[01:50:08.700 --> 01:50:12.540]   Who wants to be bugged in the middle of mac break weekly?
[01:50:12.540 --> 01:50:18.460]   AT&T.com/active armor for details. Thank you
[01:50:18.460 --> 01:50:22.220]   Um
[01:50:22.220 --> 01:50:27.020]   I do before we do the picks of the week. I think it would be appropriate for me just to mention a couple of
[01:50:27.020 --> 01:50:29.660]   Self-serving plugs if you don't mind
[01:50:30.460 --> 01:50:35.980]   We are going on a cruise to Alaska Andy. I've I've had great times with you on those geek cruises
[01:50:35.980 --> 01:50:40.700]   I would not be on the show if we are not met on the geek cruise and you had short-handed for mac break
[01:50:40.700 --> 01:50:46.460]   Yes, I think that's right actually I remember stalking you in mac world expo, but that's maybe that was a separate event
[01:50:46.460 --> 01:50:49.580]   That was you
[01:50:49.580 --> 01:50:52.300]   If you go to cruises.tuit.tv
[01:50:52.300 --> 01:50:54.140]   We have decided to pick up the mantle
[01:50:54.140 --> 01:51:00.380]   Uh, Neil doesn't do the geek cruises anymore. He does scientific american cruises and stuff like that
[01:51:00.700 --> 01:51:02.940]   So we thought you know travel store called us and said
[01:51:02.940 --> 01:51:08.940]   What about a twit cruise and I thought and thought about it and Lisa and I talked and we said yeah, you know what let's give it a try
[01:51:08.940 --> 01:51:15.020]   So this will be our inaugural cruise. It's to Alaska. It's next year. Don't worry. It's not this year in 2022
[01:51:15.020 --> 01:51:18.060]   I just wanted to mention this to put this on your calendar
[01:51:18.060 --> 01:51:20.860]   July 16 through 23
[01:51:20.860 --> 01:51:23.500]   2022
[01:51:23.500 --> 01:51:28.700]   Uh, we're gonna have a number of events. We'll be talking to people if enough people sign up. We can invite somebody else
[01:51:29.500 --> 01:51:30.780]   hint hint
[01:51:30.780 --> 01:51:34.060]   Uh, it starts in Seattle. It's in in out of Seattle
[01:51:34.060 --> 01:51:39.340]   We will cruise the steven's passage. You've got to see the glaciers. They're so gorgeous. We'll go to juneau
[01:51:39.340 --> 01:51:41.180]   glacier bay
[01:51:41.180 --> 01:51:44.060]   I see straight point alaska sitka ketchikan
[01:51:44.060 --> 01:51:48.060]   On the way home. We stop in victoria, which is a beautiful stop
[01:51:48.060 --> 01:51:50.380]   What a pretty city
[01:51:50.380 --> 01:51:54.780]   And uh, that'll be fun. And then we end up in seattle on saturday july 23rd come with us
[01:51:54.780 --> 01:51:57.260]   if you want to know more go to cruise
[01:51:57.740 --> 01:51:59.740]   Dot twit dot tv
[01:51:59.740 --> 01:52:04.860]   And you know if this goes well, uh, it could be the beginning of the start of something big
[01:52:04.860 --> 01:52:08.380]   I'd like to bring back the geek cruises. I thought that was a lot of fun
[01:52:08.380 --> 01:52:10.940]   Yeah, really enjoyed doing those
[01:52:10.940 --> 01:52:15.900]   Because you know you get a bunch of people and I don't know it was 50 60 a hundred something like that
[01:52:15.900 --> 01:52:20.540]   Depending that different cruises had different number of people, but we would all be together. We'd eat together
[01:52:20.540 --> 01:52:23.580]   We'd always have uh cocktails before dinner
[01:52:24.060 --> 01:52:30.060]   in one of the lounges and it would just was really a fun time to get together and talk to like-minded geeks. So
[01:52:30.060 --> 01:52:33.580]   It's we'll see if we could bring that bring that back
[01:52:33.580 --> 01:52:41.180]   Uh, and then uh, the other thing I want to mention which is kind of related is club twit. We're doing what we can to
[01:52:41.180 --> 01:52:44.300]   uh, make twit more
[01:52:44.300 --> 01:52:45.820]   um
[01:52:45.820 --> 01:52:51.340]   Successful july say it was a little tough this year and uh sales were down quite a bit like 50
[01:52:51.740 --> 01:52:56.780]   That I think we've managed to keep the shows going but we want to give people a chance to support us to keep the shows going
[01:52:56.780 --> 01:53:01.260]   And give you some benefit too and that's going to be club twit at twit.tv/club
[01:53:01.260 --> 01:53:05.020]   Twit there's three benefits. I had free versions of all of our shows
[01:53:05.020 --> 01:53:09.180]   So if you don't want to hear the ads, although I know a lot of people do so there's actually a section
[01:53:09.180 --> 01:53:11.660]   On the club twit discord with the ads
[01:53:11.660 --> 01:53:16.620]   For people who miss them, but you can get all your shows ad free audio and video
[01:53:17.020 --> 01:53:21.100]   There is a discord which is a lot of fun. We set up a stage in the discord
[01:53:21.100 --> 01:53:25.740]   We're taking questions in the discord where it's a great place to visit to chat
[01:53:25.740 --> 01:53:28.300]   um, uh
[01:53:28.300 --> 01:53:32.780]   Um, and uh, I'm just
[01:53:32.780 --> 01:53:37.340]   You're being distracted by the great stuff of the discord actually
[01:53:37.340 --> 01:53:42.220]   Yeah, uh, we have a we put up a stage we do take questions in some of the shows which is a lot of fun
[01:53:42.700 --> 01:53:47.740]   So if you want that's another benefit actually turns out to be a bigger benefit than I thought I you know, we kind of threw that in
[01:53:47.740 --> 01:53:54.780]   Uh, but it's a lot of fun there in their fact. There's uh, there's uh conversations in the discord about other things like comics and uh
[01:53:54.780 --> 01:54:00.300]   anime and data science and hacking and hardware and yes, the twit cruise has its own
[01:54:00.300 --> 01:54:06.220]   Section in there and then the final piece of the puzzle. There's three different benefits is the twit plus feed
[01:54:06.220 --> 01:54:11.820]   Which includes stuff that just doesn't make it to the podcast often some of the best stuff happens before or after the shows
[01:54:12.380 --> 01:54:17.820]   Um, uh, there's all sorts of things in there. So you get all three seven bucks a month. That's it
[01:54:17.820 --> 01:54:21.180]   There's no yearly. There's it's just month to month canceling time
[01:54:21.180 --> 01:54:24.780]   We didn't want to sign up people for a year and then have them say oh, I don't like it
[01:54:24.780 --> 01:54:31.660]   So just seven bucks a month and uh, it's uh, I think it's worth it. I really do I really appreciate the support
[01:54:31.660 --> 01:54:37.180]   Uh, if you go to club, let's see it's this one's twit.tv slash club twit
[01:54:37.180 --> 01:54:39.820]   Twit.tv slash club twit
[01:54:40.380 --> 01:54:44.780]   Uh chicken head 21 says can we get the ads without the show and you absolutely can
[01:54:44.780 --> 01:54:48.300]   There is a whole section that's just the ads
[01:54:48.300 --> 01:54:52.700]   Just the ads and then people talk about the ads. So that's good
[01:54:52.700 --> 01:54:57.820]   All the ads all the time you can you can literally listen to a version
[01:54:57.820 --> 01:55:01.260]   With just the ads if you want
[01:55:01.260 --> 01:55:06.780]   Actually, I think for the audible ads that probably is a premium feature. You want the audible ads. We're going to charge you
[01:55:06.780 --> 01:55:09.260]   Uh, thank you everybody for your support
[01:55:09.260 --> 01:55:12.700]   Now it's time for the picks of the week. We'll start with you andi and not co
[01:55:12.700 --> 01:55:17.900]   Uh, they're um, Amtrak has just made an offer that they haven't made in a number of years
[01:55:17.900 --> 01:55:21.260]   And it's for some people it's going to be very very exciting for some people
[01:55:21.260 --> 01:55:24.780]   It's not going to be exciting at all, but i'm i'm here to speak to the first group
[01:55:24.780 --> 01:55:32.540]   They're they're coming back to the they're redoing the usa rail pass. Oh good. This is a pass where for 300 dollars
[01:55:32.540 --> 01:55:35.420]   Of you have the for 300 dollars
[01:55:36.380 --> 01:55:44.220]   You can spend 30 days making as many as 10 different stops anywhere on the amtrac network
[01:55:44.220 --> 01:55:49.260]   You for the it's normally 500 bucks if you go if you buy it before next week
[01:55:49.260 --> 01:55:51.500]   I think the 20th the price is down to 300
[01:55:51.500 --> 01:55:55.740]   You have 120 days to make your first trip
[01:55:55.740 --> 01:55:59.740]   And then after you make your first you have 30 days to use all 10 of your segments
[01:55:59.740 --> 01:56:01.980]   So that means that from any any
[01:56:02.780 --> 01:56:06.300]   And each segment on the map consists of wherever you get off
[01:56:06.300 --> 01:56:11.740]   Wherever you get off or have to get off the the train because of a connection that consists of one segment
[01:56:11.740 --> 01:56:16.620]   So that could mean this is this is this is the sort of thing that like gets me kind of inspired
[01:56:16.620 --> 01:56:18.700]   Because as soon as I thought about that i'm like
[01:56:18.700 --> 01:56:23.500]   Oh, I could do the andi and not go pan eastern seaboard good will tour
[01:56:23.500 --> 01:56:27.980]   Because like boston to new york that would be one new york to philadelphia would be two
[01:56:28.380 --> 01:56:33.180]   Philadelphia to washington would be three north of engina would be four
[01:56:33.180 --> 01:56:37.340]   I'd have to make the stop at northwood because that's where you cha that's where you have to change trains
[01:56:37.340 --> 01:56:40.780]   To go all the way direct to orlando so maybe go to disney world
[01:56:40.780 --> 01:56:44.540]   So that's five and then I could make my way back up stopping at different
[01:56:44.540 --> 01:56:49.100]   towns like on the way up and then I then I was looking at the rest of the map thing
[01:56:49.100 --> 01:56:54.380]   Well, gee you never been to like uh georgery never been to like tennessee and then I thought that oh
[01:56:55.180 --> 01:57:00.380]   Is there a train stop near dollywood and i'm like what if you just went from like dc to dollywood
[01:57:00.380 --> 01:57:01.260]   We have
[01:57:01.260 --> 01:57:03.260]   dollywood sounds like a nice place to be
[01:57:03.260 --> 01:57:06.460]   Uh, and of course you don't have to like do it all in like one trip
[01:57:06.460 --> 01:57:12.380]   If like I could also do it as like just boston to new york and go make like five different round trips to new york
[01:57:12.380 --> 01:57:15.020]   And for 300 bucks that would be 30 dollars per
[01:57:15.020 --> 01:57:20.300]   Per trip which would be at least half to a third to a quarter depending how long you go
[01:57:20.300 --> 01:57:21.900]   But once again
[01:57:21.900 --> 01:57:27.660]   Boston all the way to n Norfolk, virginia would be 30 dollars. That's usually like 180 dollar trip
[01:57:27.660 --> 01:57:33.500]   Uh, so it's very very tempting. I've done. No, I'm a big fan of amtrac as you've heard before
[01:57:33.500 --> 01:57:35.900]   uh, my usual
[01:57:35.900 --> 01:57:37.580]   Endurance is about
[01:57:37.580 --> 01:57:38.620]   dc
[01:57:38.620 --> 01:57:41.500]   About eight hours. Uh, although when I was the the last time
[01:57:41.500 --> 01:57:44.140]   The I did take this off for once
[01:57:44.140 --> 01:57:48.220]   Years ago when I had a book out and I decided i'm going to do like an amtrac book tour
[01:57:48.380 --> 01:57:52.300]   And I decided to go from boston all the way to chicago 22 hours
[01:57:52.300 --> 01:57:56.220]   Uh in one go and that's that's a thing man. That's a scene
[01:57:56.220 --> 01:57:58.540]   That's you want to bring a pillow you want to bring a cooler
[01:57:58.540 --> 01:58:01.340]   You want to bring something to put your feet on because this is all in coach
[01:58:01.340 --> 01:58:05.180]   Uh, so maybe you would need to have a certain adventure to do the 20 hour segments
[01:58:05.180 --> 01:58:08.220]   But a lot of these are just like three hours four hours five hours
[01:58:08.220 --> 01:58:12.780]   And it's a chance to I mean there's a to pick like a random stop here
[01:58:12.780 --> 01:58:17.260]   I might not necessarily want to go to king street, south carolina
[01:58:18.140 --> 01:58:20.140]   But again, if i'm on my way
[01:58:20.140 --> 01:58:22.940]   But if i'm on if i'm near if i'm if i'm in dc
[01:58:22.940 --> 01:58:25.260]   Anyway, to see some see some museums
[01:58:25.260 --> 01:58:28.860]   Maybe I will spend one of my segments to check out because just it's nice to go
[01:58:28.860 --> 01:58:31.660]   It's nice to go to dc to know that ham i really want to go to
[01:58:31.660 --> 01:58:36.700]   Uh, the uh, federal arca the us archives because I want to there's some things I want to research there
[01:58:36.700 --> 01:58:38.540]   But also gee if i'm in dc
[01:58:38.540 --> 01:58:43.420]   I'm only like two hours away from this other place i've never been to and now it only cost me like 30 bucks
[01:58:43.420 --> 01:58:47.340]   You don't have to plant and the great thing is you don't have to plan out your route and advance either
[01:58:47.340 --> 01:58:50.700]   It's just simply it's like it's like hopping the rails. It's like being a hobo
[01:58:50.700 --> 01:58:52.940]   You just simply decide that okay
[01:58:52.940 --> 01:58:57.660]   It's i'm within my through after you've done your first one now. I'm within my 30-day window
[01:58:57.660 --> 01:59:03.820]   I just simply open up the amp track app decide okay take me from where i am now to this other place and boom
[01:59:03.820 --> 01:59:06.540]   Your ticket is paid for because it's one of your 10 segments
[01:59:06.540 --> 01:59:07.660]   So
[01:59:07.660 --> 01:59:11.500]   I think that after the last year a lot of us are kind of interested in this
[01:59:11.500 --> 01:59:15.340]   I just want to be anywhere other than within the two mile radius of my house
[01:59:15.420 --> 01:59:20.060]   I've been I was for 14 months straight and for a lot of people myself included
[01:59:20.060 --> 01:59:25.100]   This is very very enticing once again if you get I think that the uh the discount
[01:59:25.100 --> 01:59:27.740]   Is up like on
[01:59:27.740 --> 01:59:30.860]   I got the the press release in front of me the discount is up on the
[01:59:30.860 --> 01:59:33.420]   22nd
[01:59:33.420 --> 01:59:38.140]   Sorry the 22nd so that's next week if you don't get it then then it goes up to 500 bucks
[01:59:38.140 --> 01:59:40.700]   Which is still a pretty good deal if you're gonna if you're gonna use it
[01:59:41.500 --> 01:59:47.260]   Thothfully and tactically, but yeah, that's you take the train all the time right to uh, DC
[01:59:47.260 --> 01:59:53.100]   New York to I've I've my rule is I don't fly anywhere closer than DC because
[01:59:53.100 --> 01:59:55.580]   especially to New York because
[01:59:55.580 --> 02:00:02.060]   uh the thing is you I get I get on the tr- I take like a 20 minute uber to a local train station
[02:00:02.060 --> 02:00:08.700]   I I walk directly from the train from the platform onto the train no security no no checks
[02:00:08.780 --> 02:00:15.820]   No, you have to check in an hour beforehand. It's you get to spend three hours like on it in a comfortable big like business class seat
[02:00:15.820 --> 02:00:21.020]   With with internet access because your your Wi-Fi hotspot works if you want to drink go to the bar car get a drink
[02:00:21.020 --> 02:00:25.260]   Or set up at a desk at a big table inside the bar car and get work done
[02:00:25.260 --> 02:00:29.420]   And then when you get off the train in New York city that drops you off right in the middle of midtown
[02:00:29.420 --> 02:00:34.220]   And your you feel as though your brain is there at the same time as your body whereas my god
[02:00:34.220 --> 02:00:35.340]   I mean it's 45
[02:00:35.340 --> 02:00:40.940]   42 43 minutes to fly to New York, but there's like two hours in front of that then two hours after that and all this
[02:00:40.940 --> 02:00:45.660]   In the airport stuff. I love trains. Um, so
[02:00:45.660 --> 02:00:48.220]   I
[02:00:48.220 --> 02:00:54.300]   Is it how comfortable are they these days? You said it's like a business class seat very no a coach seats are they're big
[02:00:54.300 --> 02:00:58.620]   They're big coach class seats. They're also very rarely now the excelis trains
[02:00:58.620 --> 02:01:01.180]   Look the the business class and the really high speed trains
[02:01:01.500 --> 02:01:06.140]   They tend to book up. Yeah, but the they're enough they put enough cars on to the coach section that
[02:01:06.140 --> 02:01:09.900]   Rarely am I do I have the seat next to it's a there?
[02:01:09.900 --> 02:01:15.020]   There's two seats by two seats very rarely is the seat next to me occupied and not only that
[02:01:15.020 --> 02:01:21.100]   But there's also a power outlet like at your like a regular nice like 110 volt power outlet at your seat
[02:01:21.100 --> 02:01:23.500]   So it's not even a chance. It's not even a case of oh well
[02:01:23.500 --> 02:01:27.900]   I can get 12 volts and maybe charge my phone it's like no if you can you can bring a microwave oven on board
[02:01:28.300 --> 02:01:32.060]   And you can if you want to bring a big hot pocket and
[02:01:32.060 --> 02:01:34.940]   You could do that you could if you had to
[02:01:34.940 --> 02:01:37.820]   Theoretically i'm putting this in play. I'm saying that theoretically
[02:01:37.820 --> 02:01:41.580]   I'm saying that it is the nicest time and all the other thing about Amtrak
[02:01:41.580 --> 02:01:45.500]   I'm sorry. This is going on to a rant because you heard a topic that I really like I love Amtrak
[02:01:45.500 --> 02:01:48.300]   And I loved we took the train a second. Yeah, it was so much fun
[02:01:48.300 --> 02:01:52.220]   It's great, but there have been so I guess they had the cars getting a little rundown now
[02:01:52.220 --> 02:01:56.540]   They're they're a little old, but they don't they're not scummy. They're not terrible to be in
[02:01:56.860 --> 02:02:01.180]   But but there the other thing that I always like to mention is that there have been when I'm in New York
[02:02:01.180 --> 02:02:04.620]   Sometimes I I think that I've I have enough
[02:02:04.620 --> 02:02:09.980]   I can on three hours of sleep that I can stay in New York until like midnight or 2 a.m
[02:02:09.980 --> 02:02:11.260]   And take the red i-home
[02:02:11.260 --> 02:02:15.260]   But I decide that at 5 p.m. That no, I don't want it. I can't stay awake that late
[02:02:15.260 --> 02:02:20.140]   And so I'll and so you just simply go go to the Amtrak app and say are there seats available?
[02:02:20.140 --> 02:02:23.180]   Okay, there's seats available on the 745 train home
[02:02:23.580 --> 02:02:27.180]   It will they will give you if there's no there's no charge for for rebooking
[02:02:27.180 --> 02:02:30.140]   They will give you full credit for whatever you paid for your first ticket
[02:02:30.140 --> 02:02:34.140]   But you know if the price if the if the price is higher because you're booking, you know the same day
[02:02:34.140 --> 02:02:37.100]   You pay the difference, but usually it's like maybe 20 30 40 bucks
[02:02:37.100 --> 02:02:41.980]   And again, it's such a humane way to do things you go boston to to New York
[02:02:41.980 --> 02:02:43.980]   Boston to New York
[02:02:43.980 --> 02:02:46.940]   Boston to New York routinely also boston to DC
[02:02:46.940 --> 02:02:50.460]   When I have how long is it to the city from boston
[02:02:51.260 --> 02:02:58.540]   About three hours three and a half hours the event the excel is a lot as uh as maybe about a half hour 45 minutes faster
[02:02:58.540 --> 02:03:02.220]   The only the only real disadvantage is that sometimes
[02:03:02.220 --> 02:03:05.180]   particularly if in New York
[02:03:05.180 --> 02:03:08.300]   Particularly if i'm going from New York back up north
[02:03:08.300 --> 02:03:12.220]   Delays can definitely happen usually they're on time
[02:03:12.220 --> 02:03:16.460]   But sometimes you might find yourself waiting 45 minutes to an hour not like you can
[02:03:16.460 --> 02:03:19.900]   Yeah, exactly and the trains are so on time
[02:03:20.780 --> 02:03:26.940]   And if they apologize if they're a minute late they actually make abject apologies they come in on the no clap
[02:03:26.940 --> 02:03:35.260]   So they did you hear that there was a one of the one of the bullet trains the the leader the director had to apologize because the train left 20 seconds early
[02:03:35.260 --> 02:03:36.540]   Yeah
[02:03:36.540 --> 02:03:38.780]   I we we we were in tokyo
[02:03:38.780 --> 02:03:43.260]   Uh actually I think was we took the bullet train to tokyo from usaka
[02:03:43.260 --> 02:03:48.940]   Um, we were told now don't tilly dally the doors will open you will have two minutes to get on
[02:03:49.500 --> 02:03:54.140]   And that's it so don't dilly dally hop on and get on and get on because they're leaving
[02:03:54.140 --> 02:04:00.620]   They keep to a schedule say we'll do if you use your phone all the sort of oh it's wonderful
[02:04:00.620 --> 02:04:04.300]   I love the tri I would love to see us with train travel maker
[02:04:04.300 --> 02:04:07.020]   Resurgence here in the states. It's just a great way to go
[02:04:07.020 --> 02:04:10.860]   I would love my dream is always it has always been to across the country in a roomette
[02:04:10.860 --> 02:04:15.500]   But that's that's that's my cut off point because it's like uh, but every time I think about doing it
[02:04:15.980 --> 02:04:20.860]   It's like, uh, but then for the amount of money I would spend on the experts for the roomette
[02:04:20.860 --> 02:04:22.540]   I could fly to
[02:04:22.540 --> 02:04:26.460]   Los angeles from san francisco and have the extra money for next to a couple of nights hotel
[02:04:26.460 --> 02:04:31.180]   And have that the same so yeah, we took when I was a kid in 1971 when we moved to california
[02:04:31.180 --> 02:04:33.580]   We took a roomette from chicago to oakland
[02:04:33.580 --> 02:04:37.900]   And it was it's a wonderful memory in fact so much so that leece and i
[02:04:37.900 --> 02:04:41.980]   Is pretty soon. I don't know when it would be next year the year after we're going to do the
[02:04:42.380 --> 02:04:46.140]   Canadian has the vioreal has a luxury cross-canada
[02:04:46.140 --> 02:04:52.700]   uh train trip that I it's also expensive it's like a cruise but you stop in all these great places and
[02:04:52.700 --> 02:04:59.100]   It's I mean, that's that's that's the nice thing especially again with this real past because it goes through cities that are not like right
[02:04:59.100 --> 02:05:01.580]   They're not like the top 10 tourist destinations
[02:05:01.580 --> 02:05:05.580]   But the thing is for the past 150 years they have been a major train stop
[02:05:05.580 --> 02:05:10.940]   So there are things right in that neighborhood right in that district and so it's in the same trip
[02:05:11.100 --> 02:05:13.340]   Yes, I can go to dc and see all those great museums
[02:05:13.340 --> 02:05:19.180]   But I can also stop at a small town go to a small diner come back on the train like three hours later
[02:05:19.180 --> 02:05:24.700]   Uh, and then have some really great pictures and some experiences that I would never have been able to plan beforehand
[02:05:24.700 --> 02:05:29.900]   Renee if we did a if we did a twit trains canada train trip would you come on it with us and
[02:05:29.900 --> 02:05:36.140]   I can't promise that i'd be on it with you because vernaid doesn't do well in confined spaces. Oh
[02:05:36.700 --> 02:05:45.100]   I'm a house animal house pet but uh, virile is amazing and the places it stops are so quintessentially in beautifully Canadian
[02:05:45.100 --> 02:05:49.900]   Well, I know people who've done short segments of it like across going from vancouver to
[02:05:49.900 --> 02:05:55.020]   Uh, Calgary through bamf, you know, there's just some amazing it is that's the rocky mountain here
[02:05:55.020 --> 02:05:57.820]   And that that by the way that is it is a dream of mine to do this
[02:05:57.820 --> 02:06:03.180]   Uh, and I'm and we will at some point. I'm just can't wait. I don't think go to maltryol on amp track
[02:06:03.660 --> 02:06:07.420]   You cannot you can that you can that's that's the end of the that's the end of the m track service
[02:06:07.420 --> 02:06:08.300]   Yeah, well
[02:06:08.300 --> 02:06:13.100]   I just can't do it all the time because my sister lived in New York and went to john jay college, uh to do her
[02:06:13.100 --> 02:06:18.940]   Um, not bachelor master's degree and so I would take that every few weeks and it was a nine-hour milk run
[02:06:18.940 --> 02:06:25.820]   Every time with an abundant amount of time at customs because sir take going through a train is it's something when you're at customs. Oh
[02:06:25.820 --> 02:06:32.540]   Papers papers, please don't don't bring your collection of furs because
[02:06:33.100 --> 02:06:35.100]   They'll definitely flag that they'll definitely
[02:06:35.100 --> 02:06:38.700]   And you have to surrender all your use from all your words on the way
[02:06:38.700 --> 02:06:40.860]   Uh
[02:06:40.860 --> 02:06:42.380]   Uh
[02:06:42.380 --> 02:06:44.380]   Ritchie or pick of the week
[02:06:44.380 --> 02:06:52.380]   Lumi see it all right. So these are the beats uh studio, but as they are I don't want to say it's it's a surprise
[02:06:52.380 --> 02:06:57.340]   Uh, you know, not really a surprise because beats have sort of been apples alt account
[02:06:57.340 --> 02:07:00.780]   You know, like us some of us have an alt account for all our rock bands that we want on instagram
[02:07:00.780 --> 02:07:02.940]   We don't you know to be following them along with all our friends
[02:07:02.940 --> 02:07:09.020]   This is apples alt account where they can experiment with different form factors and different sort of technologies and branding and do mickey
[02:07:09.020 --> 02:07:13.580]   Mouse licenses that the ghost of steve jobs would never allow on air pods proper
[02:07:13.580 --> 02:07:21.020]   So this is particularly interesting because they are 149 so cheaper than the air pods too, you know
[02:07:21.020 --> 02:07:25.660]   Like that would return to 159 much cheaper than the 249 air pods pro
[02:07:25.660 --> 02:07:28.300]   And they have some of the same capabilities
[02:07:28.940 --> 02:07:31.820]   Most you know for some people this will be a huge advantage. There is no
[02:07:31.820 --> 02:07:37.260]   Absolutely no stem on them. You just have this beats button and it's a clicky. It's not a capacitive button
[02:07:37.260 --> 02:07:39.100]   It is a real clicky button
[02:07:39.100 --> 02:07:45.660]   And you have different nibs and these fit in my poor mangle jiu jitsu judo mangled ear is better than any headset
[02:07:45.660 --> 02:07:48.380]   I have ever worn wired or wireless
[02:07:48.380 --> 02:07:54.060]   The the right ear actually stays in like these air pods. I'm keeping a i'm adjusting all the time during the show
[02:07:54.060 --> 02:07:55.660]   Um
[02:07:55.660 --> 02:07:58.620]   These just stay in I would do all sorts of outside activity at fitness plus
[02:07:59.180 --> 02:08:02.220]   The fit is wonderful. What you get is
[02:08:02.220 --> 02:08:05.500]   Active noise cancellation now
[02:08:05.500 --> 02:08:10.140]   Some people say it's better than air pods and people say it's worse better than sony worse
[02:08:10.140 --> 02:08:13.180]   The thing with active noise cancellation is it's not an absolute
